 4396 ; Бона иностранная ;  ;  ;  ;  ; 51 ; хъ0 ; 53 
 3392 ; 20 вон. Северная Корея. Год Свиньи ; 2009 ;  ; Латунь ; Proof ; 2 ; Mike! ; 222 
 3393 ; 20 вон. Северная Корея. Год Обезьяны ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3394 ; 20 вон. Северная Корея. Год Дракона ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3395 ; 20 вон. Северная Корея. Год Тигра ; 2009 ;  ; Латунь ; Proof ; 2 ; КАРКУША ; 227 
 3396 ; 20 вон. Северная Корея. Год Быка ; 2009 ;  ; Латунь ; Proof ; 3 ; Mike! ; 232 
 3397 ; 20 вон. Северная Корея. Год Собаки ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3398 ; 20 вон. Северная Корея. Год Крысы ; 2009 ;  ; Латунь ; Proof ; 2 ; Mike! ; 222 
 3399 ; 20 вон. Северная Корея. Год Змеи ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3400 ; 20 вон. Северная Корея. Год Козы ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3401 ; 20 вон. Северная Корея. Год Петуха ; 2009 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3402 ; 20 вон. Северная Корея. Год Лошади ; 2009 ;  ; Латунь ; Proof ; 6 ; КАРКУША ; 247 
 3403 ; 5 квача. Малави. 60 лет победы. Английский военный корабль ; 2005 ;  ; Латунь ; Proof ; 9 ; Pasik ; 378 
 3404 ; 5 квача. Малави. 60 лет победы. Военный корабль США ; 2005 ;  ; Латунь ; Proof ; 4 ; Mike! ; 347 
 3405 ; 5 квача. Малави. 60 лет победы. Военный корабль США ; 2005 ;  ; Латунь ; Proof ; 3 ; порт ; 340 
 3406 ; 5 квача. Малави. 60 лет победы. Корабль "Молотов" ; 2005 ;  ; Латунь ; Proof ; 2 ; Mike! ; 333 
 3407 ; 1000 лева. Болгария. 100 лет Болгарскому телеграфу ; 1998 ;  ; Cu-Ni ; AU ; 17 ; krugerrand ; 181 
 3408 ; 500 лева. Болгария. НАТО ; 1997 ;  ; Cu-Ni ; Proof ; 17 ; Mike! ; 155 
 3309 ; 1 доллар. США ; 1972 ;  ; Cu/Ni ; XF ; 19 ; koga ; 89 
 3310 ; 1 доллар. США. 200 лет независимости ; 1976 ;  ; Cu/Ni ; AU ; 59 ; dbnfvby ; 244 
 3311 ; 1 доллар. США. 14-ый президент ; 2010Р ;  ; Cu/Ni/Zn ; AU ; 20 ; alex995 ; 66 
 3312 ; 1/2 доллара. США. 200 лет независимости ; 1976 ;  ; Cu/Ni ; AU ; 42 ; dbnfvby ; 139 
 3313 ; 1/2 доллара. США ; 2011 ;  ; Cu/Ni ; AU ; 62 ; suhua ; 164 
 3314 ; 1/4 доллара. США. 200 лет независимости ; 1976 ;  ; Cu/Ni ; AU ; 25 ; dbnfvby ; 75 
 3315 ; 1 доллар. Канада ; 1968 ;  ; Cu/Ni ; AU ; 7 ; andreyM ; 104 
 3316 ; 50 центов. Канада ; 1975 ;  ; Cu/Ni ; AU ; 7 ; andreyM ; 104 
 3317 ; 5 центов. Канада ; 1975 ;  ; Cu/Ni ; AU ; 17 ; astax88 ; 22 
 3318 ; 50 тенге. Казахстан. 10 лет конституции ; 2005 ;  ; Cu/Ni ; AU ; 29 ; taigist ; 59 
 3319 ; 50 тенге. Казахстан. Космос ; 2006 ;  ; Cu/Ni ; AU ; 6 ; mamont ; 123 
 3320 ; 50 тенге. Казахстан. 20 лет первому космическому спутнику ; 2007 ;  ; Cu/Ni ; AU ; 60 ; mamont ; 125 
 3321 ; 50 тенге. Казахстан. Орден Отан ; 2007 ;  ; Cu/Ni ; AU ; 26 ; Vibel ; 61 
 3322 ; 50 тенге. Казахстан. Дикобраз ; 2009 ;  ; Cu/Ni ; AU ; 19 ; 100924 ; 53 
 3323 ; 50 тенге. Казахстан. Союз-аполлон ; 2009 ;  ; Cu/Ni ; AU ; 56 ; mamont ; 125 
 3324 ; 1/4 доллара. США ; 1938 ;  ; Ag ; F+ ; 45 ; Searcher ; 149 
 3325 ; 1/4 доллара. США ; 1944 ;  ; Ag ; F+ ; 41 ; dbnfvby ; 226 
 3326 ; 1 дайм. США. Меркурий ; 1942 ;  ; Ag ; F-VF ; 25 ; Vibel ; 89 
 3327 ; 1 дайм. США ; 1961 ;  ; Ag ; VF+ ; 33 ; Иа-Иа ; 80 
 3328 ; 5 центов.США ; 1927 ;  ; Cu/Ni ; F-VF ; 45 ; raise ; 51 
 3329 ; 5 центов.США ; 1943 ;  ; Cu/Ni ; VF ; 17 ; astax88 ; 23 
 3330 ; 25 пенсов. Тристан да Куна ; 2008 ;  ; Би/м ; AU ; 5 ; ratiandr ; 114 
 3331 ; 25 пенсов. Остров Столтенхоф. Корабль ; 2008 ;  ; Би/м ; AU ; 44 ; Pasik ; 150 
 3332 ; 1/2 пенни. Остров Столтенхоф. Корабль ; 2008 ;  ; Br ; AU ; 28 ; Pasik ; 108 
 3333 ; 1 цент. США ; 1898 ;  ; Cu/Zn ; F-VF ; 39 ; Pasik ; 184 
 3334 ; 1 цент. США ; 1913 ;  ; Cu/Zn ; F-VF ; 50 ; Pasik ; 164 
 3335 ; 3 пенса. Великобритания ; 1916 ;  ; Ag ; F-VF ; 19 ; Lobster76 ; 67 
 3336 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; VF ; 17 ; Luka78 ; 87 
 3337 ; 3 пенса. Великобритания ; 1937 ;  ; Ag ; VF+ ; 21 ; фёкла ; 108 
 3338 ; 50 пфеннигов. Германия. Нотгельд. Бармен ; 1917 ;  ; Zn ; F+ ; 38 ; DVZ ; 140 
 3339 ; 25 пфеннигов. Германия. Нотгельд. Буер ; ND ;  ; Zn ; F-VF ; 25 ; Akira ; 125 
 3340 ; 5 пфеннигов. Германия. Нотгельд. Бонн ; 1918 ;  ; Fe ; F+ ; 24 ; Опятор ; 112 
 3341 ; 10 пфеннигов. Германия. Нотгельд. Бинген ; 1918 ;  ; Fe ; F-VF ; 30 ; Leon17 ; 139 
 3342 ; 10 пфеннигов. Германия. Нотгельд. Гельзенкирхен ; 1918 ;  ; Fe ; F-VF ; 22 ; Опятор ; 120 
 3343 ; 500 марок. Веймар ; 1923А ;  ; Al ; XF+ ; 51 ; andreyM ; 137 
 3344 ; 200 марок. Веймар ; 1923А ;  ; Al ; VF-XF ; 20 ; raise ; 60 
 3345 ; 10 марок. ГДР. Фестиваль молодеди и студентов в Берлине ; 1973А ;  ; Cu-Ni ; AU ; 74 ; biruc ; 163 
 3346 ; 50 центов. Австралия. Серебряный юбилей ; 1977 ;  ; Cu-Ni ; VF-XF ; 33 ; Сакович ; 94 
 3347 ; 50 центов. Австралия.  Штат Западная Австралия ; 2001 ;  ; Cu-Ni ; VF ; 42 ; vc57 ; 152 
 3348 ; 50 центов. Австралия.  Штат Виктория ; 2001 ;  ; Cu-Ni ; VF ; 65 ; Сакович ; 146 
 3349 ; 50 центов. Австралия.  Штат Квинсленд ; 2001 ;  ; Cu-Ni ; VF- ; 34 ; vc57 ; 152 
 3350 ; 50 эре. Швеция ; 1939 ;  ; Ag ; VF ; 9 ; breizh ; 249 
 3351 ; 20 сентаво. Филиппины ; 1944 ;  ; Ag ; F-VF ; 21 ; raise ; 72 
 3352 ; 5 сен. Япония ; 1871 ;  ; Ag ; F-VF ; 24 ; Farah ; 765 
 3353 ; 50 сантимов. Франция ; 1913 ;  ; Ag ; VF-XF ; 63 ; suhua ; 171 
 3354 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; VF+ ; 10 ; Vibel ; 159 
 3355 ; 1/2 пенни. Ирландия ; 1805 ;  ; Cu ; F+ ; 60 ; грос79 ; 251 
 3356 ; 50 евроцентов. Словения. Образец ; 2003 ;  ; Латунь ; AU ; 12 ; Gell13 ; 104 
 3357 ; 20 евроцентов. Словения. Образец ; 2003 ;  ; Латунь ; AU ; 14 ; Gell13 ; 101 
 3358 ; 10 евроцентов. Словения. Образец ; 2003 ;  ; Латунь ; AU ; 20 ; TECHNO ; 170 
 3259 ; 1 дайм. США ; 1902 ;  ; Ag ; F+ ; 27 ; fox2011 ; 125 
 3260 ; 5 центов. США ; 1903 ;  ; Cu-Ni ; F+ ; 18 ; fox2011 ; 181 
 3261 ; 1 цент. США ; 1942 ;  ; Br ; F-VF ; 35 ; Pasik ; 42 
 3262 ; 1 риксбанкскиллинг. Швеция ; 1818 ;  ; Cu ; F+ ; 50 ; v1tal1y ; 161 
 3263 ; 1 флорин. Австрия. Напайка на 12 часов ; 1884 ;  ; Ag ; F-VF ; 20 ; Lasto4kaSPB ; 308 
 3264 ; 1 доллар. США. Упаковка ; 1980S ;  ; Cu/Ni ; Unc ; 24 ; Leonid-82 ; 70 
 3265 ; 1 франк. Албания ; 1937 ;  ; Ag ; VF ; 39 ; vitapool ; 319 
 3266 ; 1 перпер. Черногория ; 1912 ;  ; Ag ; AU/Unc ; 55 ; aleX13 ; 2220 
 3267 ; 10 центов. Канада. Провинция Новый Брауншвейг ; 1864 ;  ; Ag ; F-VF ; 53 ; чусер ; 2142 
 3268 ; 20 центов. Канада. Новый Брауншвейг ; 1862 ;  ; Ag ; VF+ ; 116 ; кве ; 3060 
 3269 ; 20 динаров. Югославия ; 1938 ;  ; Ag ; VF-XF ; 25 ; кве ; 357 
 3270 ; 5 пенго. Венгрия. 900 лет со дня смерти Святого Стефана ; 1938 ;  ; Ag ; AU ; 110 ; alex66 ; 3300 
 3271 ; 1 доллар. Британская Малайя. Стрейтс-Сетлментс. Георг V ; 1920 ;  ; Ag ; AU ; 35 ; Leon17 ; 2805 
 3272 ; Мангир. Крым. Шахин-Гирей ; 1191лх (1777) ;  ; Cu ; F-VF ; 23 ; raise ; 89 
 3273 ; 1 франк. Доминиканская Республика (попытка введения франка). Один год чеканки ; 1891 ;  ; Ag ; VF- ; 31 ; aleX13 ; 1224 
 3274 ; 1 франг ар. Албания ; 1937 ;  ; Ag ; AU ; 51 ; чусер ; 712 
 3275 ; 1 рупия. Восточная Индийская Компания ; 1835 ;  ; Ag ; VF+ ; 45 ; Микки 5 ; 1071 
 3276 ; 2 лата. Латвия. 75 лет Декларации независимости ; 1993 ;  ; Cu-Ni ; Proof ; 35 ; krugerrand ; 161 
 3277 ; 200000 карбованцев. Украина. Богдан Хмельницкий. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 49 ; Rober ; 101 
 3278 ; 1 цент. Южная Африка ; 1979 ;  ; Br ; XF ; 21 ; Болгарин ; 65 
 3279 ; 1/2  риала. Мускат и Оман. В пластиковой упаковке ; 1381лх ;  ; Ag ; XF ; 52 ; vc57 ; 403 
 3280 ; 20 бат. Тайланд. 36 год рождения короля. В пластиковой упаковке ; 1963 ;  ; Ag ; XF+ ; 50 ; Searcher ; 763 
 3281 ; 5 франков. Италия под Наполеоном. Субальпийская Республика ; 1801 ;  ; Ag ; F-VF ; 115 ; к315 ; 6015 
 3282 ; 3 пенса. Великобритания ; 1911 ;  ; Ag ; XF- ; 35 ; krugerrand ; 147 
 3283 ; 5 центов. Канада ; 1904 ;  ; Ag ; VF- ; 14 ; vc57 ; 104 
 3284 ; 1 крона. Швеция ; 1941 ;  ; Ag ; F-VF ; 70 ; don-juras ; 114 
 3285 ; 1 пенни. Великобритания ; 1797 ;  ; Cu ; F-VF ; 37 ; smel ; 294 
 3286 ; 5 сантимов. Франция ; 1913 ;  ; Cu ; VF+ ; 9 ; av ; 77 
 3287 ; 1/2 пенни. Великобритания ; 1943 ;  ; Cu ; F-VF ; 23 ; dikiy17 ; 23 
 3288 ; 1/2 пенни. Великобритания. Деформация ; 1861 ;  ; Cu ; F-VF ; 17 ; фёкла ; 48 
 3289 ; 5 песет. Перу. Попытка введения песеты ; 1880 ;  ; Ag ; VF- ; 29 ; глафира ; 1587 
 3290 ; 1 песо "сувенирный". Куба ; 1897 ;  ; Ag ; VF+ ; 28 ; graf zeppelin ; 2123 
 3291 ; 1 сукре. Эквадор. М.двор Лима ; 1897 ;  ; Ag ; VF ; 39 ; Searcher ; 1426 
 3292 ; 10 центов. Датская Вест-Индия ; 1857 ;  ; Ag ; VF ; 19 ; vengriya ; 417 
 3293 ; 10 центов-50 бит. Датская Вест-Индия ; 1905 ;  ; Ag ; F-VF ; 35 ; Leon17 ; 501 
 3294 ; 1/16 доллара. Анчурмания. Общий выпуск для английских колоний для Вест-Индии и островов в Индийском океане ; 1822 ;  ; Ag ; VF ; 36 ; ead ; 1565 
 3295 ; 1/8 доллара. Анчурмания. Общий выпуск для английских колоний для Вест-Индии и островов в Индийском океане ; 1822 ;  ; Ag ; VF- ; 24 ; карлсон77 ; 1555 
 3296 ; 1 шиллинг. Великобритания. Вильгельм III ; 1697 ;  ; Ag ; F-VF ; 42 ; alex1974 ; 2278 
 3297 ; 1 шиллинг. Великобритания. Анна ; 1711 ;  ; Ag ; VF- ; 37 ; alex1974 ; 2284 
 3298 ; 1 шиллинг. Великобритания. Георг I. Чеканка компании южных морей (SSC) ; 1723 ;  ; Ag ; F-VF ; 38 ; грос79 ; 980 
 3299 ; 1 шиллинг. Великобритания. Георг II ; 1750 ;  ; Ag ; F-VF ; 18 ; d-master ; 1200 
 3300 ; 1 пайса. Британская Восточная Африка - протекторат. Виктория ; 1898 ;  ; Br ; VF ; 26 ; глафира ; 572 
 3301 ; 1 сантим. Французская Cochinchine ; 1885 ;  ; Br ; VF ; 44 ; ead ; 597 
 3302 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; XF- ; 41 ; sikachai ; 867 
 3303 ; 1/2 риала. Мускат и Оман ; 1381лх ;  ; Ag ; VF ; 37 ; ИЮМов1 ; 407 
 3304 ; 1 доллар. Новая Зеландия, Елизавета II. Серебряный юбилей ; 1977 ;  ; Cu/Ni ; AU ; 35 ; Сакович ; 490 
 3305 ; 1 доллар. Новая Зеландия, Елизавета II. 200 лет открытия Новой Зеландии ; 1969 ;  ; Cu/Ni ; AU ; 48 ; andorf ; 714 
 3306 ; 1 крона. Тристан да Куна. Киты ; 2008 ;  ; Cu/Ni ; AU ; 17 ; Macbalmor ; 200 
 3307 ; 1 крона. О. Гоф. Сокол ; 2009 ;  ; Cu/Ni ; AU ; 18 ; Macbalmor ; 201 
 3308 ; 1 доллар. США ; 1971 ;  ; Cu/Ni ; XF+ ; 51 ; к315 ; 94 
 3209 ; 1 сантим. Испания ; 1870 ;  ; Br ; VF ; 18 ; andreyM ; 113 
 3210 ; 5 центов. Британская Малайзия, Герог VI ; 1945 ;  ; Ag ; VF+ ; 58 ; alskr ; 129 
 3211 ; 5 центов. Британская Малайзия, Герог VI ; 1948 ;  ; никелин ; VF ; 48 ; FEDOTOV1920 ; 51 
 3212 ; 2 анна. Британская Индия ; 1918 ;  ; никелин ; VF- ; 34 ; кве ; 164 
 3213 ; 1 пиастр. Британский Кипр ; 1943 ;  ; Br ; VF ; 74 ; kergudu ; 95 
 3214 ; 2 франка. Бельгия ; 1914 ;  ; Zn ; VF ; 26 ; В1951 ; 75 
 3215 ; 10 стотинок. Болгария ; 1906 ;  ; никелин ; F-VF ; 32 ; av ; 48 
 3216 ; 25 эре. Швеция ; 1930 ;  ; Ag ; VF ; 28 ; Vibel ; 57 
 3217 ; 10 эре. Швеция ; 1928 ;  ; Ag ; VF ; 20 ; Vibel ; 67 
 3218 ; 10 злотых. Польша ; 1933 ;  ; Ag ; VF ; 75 ; Harder ; 2040 
 3219 ; 2000 рейс. Бразилия ; 1924 ;  ; Ag ; VF-XF ; 32 ; eres ; 469 
 3220 ; 1 шиллинг. Австрия ; 1926 ;  ; Ag ; XF ; 14 ; Василевс ; 332 
 3221 ; 1 пенни. Австралия ; 1943 ;  ; Br ; F-VF ; 18 ; Болгарин ; 51 
 3222 ; 1 пенни. Австралия ; 1944 ;  ; Br ; F-VF ; 20 ; Vibel ; 41 
 3223 ; 1 крейцер. Австрия ; 1816A ;  ; Cu ; F+ ; 20 ; don-juras ; 116 
 3224 ; 5 сентаво. Мексика ; 1944 ;  ; Br ; XF+ ; 54 ; Буратино ; 77 
 3225 ; 1 цент. Нидерландская Индия ; 1937 ;  ; Br ; VF- ; 42 ; Буратино ; 110 
 3226 ; 5 центов. Уганда ; 1966 ;  ; Br ; XF ; 36 ; andorf ; 45 
 3227 ; 2 сантима. Бельгия ; 1911 ;  ; Br ; F-VF ; 60 ; В1951 ; 155 
 3228 ; 2-1/2 сантима. Люксембург ; 1901 ;  ; Br ; VF- ; 13 ; vc57 ; 194 
 3229 ; 1/12 анны. Британская Индия ; 1941 ;  ; Br ; VF ; 21 ; Eddy ; 62 
 3230 ; 1 цент. Нидерланды ; 1927 ;  ; Br ; VF ; 9 ; raise ; 38 
 3231 ; 5 франков. Бельгия ; 1941 ;  ; Zn ; F-VF ; 21 ; av ; 57 
 3232 ; 1 хеллер. Австрия ; 1901 ;  ; Br ; VF+ ; 11 ; Не Ваше ! ; 150 
 3233 ; 25 сентимо. Испания ; 1925 ;  ; Cu-Ni ; VF ; 47 ; Буратино ; 272 
 3234 ; 20 филлеров. Венгрия ; 1893 ;  ; Ni ; VF ; 23 ; Vibel ; 42 
 3235 ; 20 сентаво. Аргентина ; 1907 ;  ; Cu-Ni ; F-VF ; 13 ; MC17 ; 43 
 3236 ; 10 сентаво. Чили ; 1940 ;  ; Cu-Ni ; VF-XF ; 24 ; vc57 ; 79 
 3237 ; 100 лей. Румыния ; 1944 ;  ; Cu-Ni ; VF+ ; 11 ; Не Ваше ! ; 34 
 3238 ; 2 сентесимо. Уругвай ; 1941 ;  ; Cu-Ni ; VF- ; 36 ; ВМШ ; 57 
 3239 ; 1 песо. Чили ; 1933 ;  ; Cu-Ni ; VF+ ; 31 ; vc57 ; 104 
 3240 ; 1/2 анны. Восточная Индийская Компания. Британская Индия ; 1835 ;  ; Cu ; F ; 16 ; кабачок ; 267 
 3241 ; 10 мазун. Марокко ; 1321лх ;  ; Br ; F-VF ; 43 ; kae ; 258 
 3242 ; 25 пфеннигов. Германия. Нотгельд. Дюрен ; 1919 ;  ; Fe ; F-VF ; 38 ; Leon17 ; 293 
 3243 ; 10 пфеннигов. Германия. Нотгельд. Бремен ; 1920 ;  ; Fe ; F-VF ; 24 ; Leon17 ; 137 
 3244 ; 2 лиры. Италия. Виктор Иммануил III ; 1916R ;  ; Ag ; VF-XF ; 74 ; habenti ; 658 
 3245 ; 5 лир. Италия. Виктор Иммануил III ; 1927R ;  ; Ag ; VF-XF ; 40 ; grisha2401 ; 225 
 3246 ; 5 лир. Италия. Виктор Иммануил III ; 1927R ;  ; Ag ; VF-XF ; 48 ; sikachai ; 215 
 3247 ; 3 пенса. Новая Зеландия ; 1934 ;  ; Ag ; VF+ ; 20 ; Vibel ; 67 
 3248 ; 3 пенса. Новая Зеландия ; 1937 ;  ; Ag ; VF+ ; 33 ; Vibel ; 75 
 3249 ; 1/12 шиллинга. Джерси ; 1923 ;  ; Br ; XF ; 64 ; MC17 ; 93 
 3250 ; 1/24 шиллинга. Джерси ; 1926 ;  ; Br ; XF+ ; 55 ; Germanfox ; 147 
 3251 ; 4 добля. Гернси ; 1918Н ;  ; Br ; VF ; 22 ; raise ; 138 
 3252 ; 5 сентесими. Сан-Марино ; 1935R ;  ; Br ; VF-XF ; 32 ; Dahan ; 131 
 3253 ; 1 сентесимо. Сомали ; 1950 ;  ; Cu ; XF+ ; 28 ; suhua ; 190 
 3254 ; 5 крон. Швеция. 100 лет конституционной реформе ; 1966 ;  ; Ag ; AU ; 25 ; В1951 ; 490 
 3255 ; 2-1/2 гульдена. Нидерланды ; 1959 ;  ; Ag ; VF-XF ; 48 ; Searcher ; 403 
 3256 ; 1 крона. Великобритания ; 1888 ;  ; Ag ; VF- ; 32 ; Сакович ; 1275 
 3257 ; 2-1/2 гульдена. Нидерланды ; 1960 ;  ; Ag ; VF+ ; 100 ; Searcher ; 322 
 3258 ; 100 лева. Болгария ; 1934 ;  ; Ag ; VF-XF ; 36 ; Searcher ; 459 
 3159 ; 2,5 эскудо. Португалия ; 1985 ;  ; Cu-Ni ; AU ; 52 ; Буратино ; 51 
 3160 ; 50 сентаво. Португалия ; 1978 ;  ; Br ; XF ; 20 ; Болгарин ; 30 
 3161 ; 10 сентаво. Португалия ; 1966 ;  ; Br ; VF ; 12 ; Болгарин ; 25 
 3162 ; 1 эскудо. Португалия ; 1972 ;  ; Br ; VF+ ; 19 ; asparagus ; 20 
 3163 ; 2 руфии. Мальдивы ; 2007 ;  ; Латунь ; VF ; 30 ; Болгарин ; 53 
 3164 ; 5 рупий. Шри-Ланка ; 2009 ;  ; Латунь ; XF+ ; 11 ; 384020 ; 23 
 3165 ; 1 руфия. Мальдивы ; 2007 ;  ; Ni/St ; XF- ; 14 ; 384020 ; 24 
 3166 ; 2 рупии. Шри-Ланка ; 2009 ;  ; Ni/St ; XF- ; 23 ; Vibel ; 24 
 3167 ; 10 рупий. Шри-Ланка ; 2009 ;  ; Ni/St ; AU ; 54 ; ИЮМов1 ; 92 
 3168 ; 1/2 доллара. США ; 1944 ;  ; Ag ; F-VF ; 88 ; Searcher ; 193 
 3169 ; 1/2 доллара. США. Франклин ; 1952D ;  ; Ag ; VF+ ; 49 ; alex66 ; 543 
 3170 ; 2000 песет. Испания. Президентский совет ; 1995 ;  ; Ag ; VF+ ; 69 ; S12345 ; 710 
 3171 ; 2-1/2 гульдена. Нидерланды. 400 лет объединению Утрехта ; 1979 ;  ; Ni ; VF+ ; 35 ; vc57 ; 125 
 3172 ; 5 франков. Франция. Пьер Мендес-Франс ; 1992 ;  ; Cu-Ni ; VF-XF ; 48 ; В1951 ; 89 
 3173 ; 5 боливаров. Венесуэла ; 1977 ;  ; Cu-Ni ; VF ; 40 ; AIK60 ; 101 
 3174 ; 1 доллар. Канада. Конфедерация. Конституция ; 1982 ;  ; Cu-Ni ; VF-XF ; 28 ; vc57 ; 132 
 3175 ; 1 доллар. Британский Гон-Конг ; 1990 ;  ; Cu-Ni ; VF+ ; 67 ; vc57 ; 99 
 3176 ; 1 кобо. Нигерия ; 1973 ;  ; Br ; VF+ ; 22 ; andorf ; 23 
 3177 ; 1 франк. Франция ; 1989 ;  ; Cu-Ni ; XF ; 45 ; DVZ ; 150 
 3178 ; 5 франков. Мали. Бегемот ; 1961 ;  ; Al ; VF ; 45 ; andorf ; 486 
 3179 ; 50 сен. Индонезия ; 1959 ;  ; Al ; VF+ ; 23 ; ИЮМов1 ; 64 
 3180 ; 5 бат. Тайланд ; 1979 ;  ; Cu-Ni ; VF ; 19 ; asparagus ; 28 
 3181 ; 1 франк. Западные Африканские Штаты ; 1977 ;  ; St ; XF ; 18 ; astax88 ; 27 
 3182 ; 1 франк. Западные Африканские Штаты ; 1977 ;  ; St ; F+ ; 10 ; astax88 ; 22 
 3183 ; 1 франк. Западные Африканские Штаты ; 1977 ;  ; St ; VF-XF ; 6 ; Vibel ; 20 
 3184 ; 1 франк. Западные Африканские Штаты ; 1978 ;  ; St ; XF- ; 23 ; asparagus ; 21 
 3185 ; 5 франков. Западные Африканские Штаты ; 1977 ;  ; Al/Br ; VF+ ; 27 ; Болгарин ; 38 
 3186 ; 5 франков. Западные Африканские Штаты ; 1979 ;  ; Al/Br ; VF ; 13 ; Болгарин ; 22 
 3187 ; 5 франков. Западные Африканские Штаты ; 1982 ;  ; Al/Br ; XF ; 20 ; PaulMS ; 30 
 3188 ; 50 франков. Западные Африканские Штаты ; 1980 ;  ; Cu-Ni ; VF+ ; 22 ; Болгарин ; 55 
 3189 ; 5 франков. Центральные Африканские Штаты ; 1983 ;  ; Al/Br ; VF ; 25 ; alskr ; 101 
 3190 ; 10 франков. Центральные Африканские Штаты ; 1981 ;  ; Al/Br ; VF ; 7 ; Болгарин ; 21 
 3191 ; 25 франков. Центральные Африканские Штаты ; 1975 ;  ; Al/Br ; VF ; 9 ; alskr ; 31 
 3192 ; 50 франков. Центральные Африканские Штаты ; 1976 ;  ; Ni ; F-VF ; 35 ; 100924 ; 81 
 3193 ; 10 франков. Французская Экваториальная Африка. Камерун ; 1958 ;  ; Al/Br ; F-VF ; 30 ; ИЮМов1 ; 216 
 3194 ; 1 франк. Французская Экваториальная Африка ; 1948 ;  ; Al ; VF+ ; 37 ; alskr ; 234 
 3195 ; 1 доллар. США. Морган ; 1881 ;  ; Ag ; AU ; 25 ; zegov ; 1507 
 3196 ; 500 рейс. Португалия. Карлос I ; 1896 ;  ; Ag ; XF- ; 95 ; кве ; 867 
 3197 ; 500 рейс. Португалия. Людовик I ; 1889 ;  ; Ag ; VF-XF ; 125 ; Searcher ; 1019 
 3198 ; 500 рейс. Португалия. 400 лет открытия Индии ; 1898 ;  ; Ag ; VF+ ; 74 ; Searcher ; 809 
 3199 ; 1 крейцер. Германия, Франкфурт ; 1773 BN ;  ; билон ; F ; 26 ; Dahan ; 181 
 3200 ; 4 хеллера. Германия, Гессен-Кассель, Вильгельм II (1821-1847) ; 1827 ;  ; Br ; F-VF ; 32 ; бормоглот ; 200 
 3201 ; 1 хеллер. Германия, Гессен-Дармштадт, Людвиг III (1848-1877) ; 1855 ;  ; Br ; VF- ; 29 ; бормоглот ; 186 
 3202 ; 10 лир. Ватикан, Павел VI ; 1968 ;  ; Al ; AU ; 44 ; alskr ; 171 
 3203 ; 5 лир. Ватикан, Павел VI ; 1968 ;  ; Al ; AU ; 47 ; alskr ; 189 
 3204 ; 5 пиастров. Британский Египет, Хусейн Камиль (1915-1918) ; 1916 ;  ; Ag ; F-VF ; 31 ; viktorius ; 275 
 3205 ; 2 пиастра. Британский Египет, Хусейн Камиль (1915-1918) ; 1917 ;  ; Ag ; VF- ; 28 ; Man 11 ; 173 
 3206 ; 1/4 анны. Индия, Дунгарпур ; 1913 ;  ; Br ; F-VF ; 21 ; cochu ; 204 
 3207 ; 20 сен. Япония. 24-йгод Мэйдзи ; 1891 ;  ; Ag ; VF ; 58 ; Максимус ; 1231 
 3208 ; 10 сантимов. Испания, Альфонс XII ; 1878 ;  ; Br ; VF- ; 17 ; andreyM ; 93 
 3109 ; 1 пиастр. Французский Индо-Китай ; 1926 ;  ; Ag ; VF- ; 46 ; Dahan ; 827 
 3110 ; 20 сентаво. Куба ; 1949 ;  ; Ag ; VF+ ; 37 ; aleX13 ; 144 
 3111 ; 5 сентаво. Мексика ; 1888 ;  ; Ag ; F+ ; 38 ; don-juras ; 64 
 3112 ; 5 сентаво. Мексика ; 1901 ;  ; Ag ; F-VF ; 67 ; eres ; 269 
 3113 ; 1 песо. Куба. Годовщина победы в Плайя-Хирон - 19 апреля 1961г. С сертификатом ; 2001 ;  ; Cu-Ni ; AU ; 17 ; Оттар ; 234 
 3114 ; 1 песо. Куба. 40 лет партизанской борьбы против диктатуры Батисты. С сертификатом ; 1996 ;  ; Cu-Ni ; AU ; 30 ; Оттар ; 239 
 3115 ; 1 песо. Куба. Че Гевара (Героический партизан). С сертификатом ; 1997 ;  ; Cu-Ni ; AU ; 34 ; 384020 ; 276 
 3116 ; 10 марок. ГДР. Иоганн Гуттенберг ; 1968 ;  ; Ag ; AU ; 27 ; DM2713 ; 1581 
 3117 ; 2-1/2 гульдена. Нидерланды ; 1960 ;  ; Ag ; VF ; 13 ; Slonic ; 416 
 3118 ; 3 пенса. Великобритания ; 1922 ;  ; Ag ; VF- ; 19 ; фёкла ; 93 
 3119 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; VF ; 21 ; Slonic ; 123 
 3120 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF ; 15 ; Сакович ; 125 
