 5942 ; Лот бон (2 шт). Коста-Рика ;  ;  ;  ;  ; 11 ; alkona ; 90 
 3804 ; Монетовидный жетон. Германия ; ND ;  ; Al ; VF ; 7 ; Mike! ; 79 
 3805 ; 4 пфеннига. Ганновер ; 1796 ;  ; Cu ; VF- ; 8 ; Mike! ; 306 
 3806 ; 1 крейцер. Баден ; 1869 ;  ; Cu ; F+ ; 1 ; Mike! ; 111 
 3807 ; 2 фунта. Южная Георгия и Южные Сандвичевы острова. Альбатрос ; 2006 ;  ; Cu-Ni ; AU ; 37 ; Mike! ; 347 
 3808 ; 1 хеллер. Франкфурт на Майне ; 1863 ;  ; Cu ; VF ; 11 ; Mike! ; 272 
 3809 ; 1 крейцер. Нассау ; 1862 ;  ; Сu ; VF- ; 31 ; Mike! ; 228 
 3810 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; VF- ; 16 ; Mike! ; 283 
 3811 ; 20 рейс. Португалия ; 1891 ;  ; Cu ; F-VF ; 3 ; Mike! ; 111 
 3812 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 78 
 3813 ; 20 крон. Норвегия ; 1999 ;  ; Латунь ; VF ; 15 ; Mike! ; 184 
 3814 ; 50 миллионов марок. Германия. Вестфалия. Веймар ; 1923 ;  ; Al ; XF- ; 13 ; Mike! ; 350 
 3815 ; 20 пфеннигов ? ;  ;  ; Br ; VF- ; 1 ; Mike! ; 111 
 3816 ; 2-1/2 цента. Нидерландская Индия ; 1857 ;  ; Cu ; F ; 13 ; Масясик ; 200 
 3817 ; 5 чентезимо. Италия ; 1861 ;  ; Cu ; VF- ; 1 ; Mike! ; 111 
 3818 ; 50 пенсов. Фолклендские острова. 40 лет правления ; 1992 ;  ; Cu-Ni ; AU ; 40 ; Mike! ; 310 
 3819 ; 200 марок. Веймар ; 1923F ;  ; Al ; VF ; 11 ; Mike! ; 51 
 3820 ; 200 марок. Веймар ; 1923E ;  ; Al ; XF ; 9 ; Mike! ; 72 
 3821 ; 5 гульденов. Нидерландские Антиллы ; 2010 ;  ; Al/Br ; AU ; 1 ; Mike! ; 111 
 3822 ; 10 пенни. Токен ;  ;  ; Ж/м ; VF ; 1 ; Mike! ; 55 
 3823 ; 4 пфеннига. Пруссия ; 1855 ;  ; Cu ; F-VF ; 7 ; Mike! ; 192 
 3824 ; 25 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 12 ; Mike! ; 59 
 3825 ; 5 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; FV-F ; 7 ; Mike! ; 138 
 3826 ; 1-1/2 пфеннига. Брауншвейг-Вольфенбюттель ; 1767 ;  ; Сu ; F-VF ; 16 ; Снежков ; 249 
 3827 ; 200 марок. Веймар ; 1923D ;  ; Al ; XF ; 7 ; Mike! ; 51 
 3828 ; Дуит. Нидерланды. Гельдерландия. Деформация ; 1760 ;  ; Cu ; F ; 9 ; Mike! ; 135 
 3829 ; 1 хеллер. Франкфурт на Майне ; 1841 ;  ; Cu ; VF ; 12 ; Mike! ; 262 
 3830 ; 200 марок. Веймар ; 1923A ;  ; Al ; XF ; 9 ; Mike! ; 82 
 3831 ; 5 марок. Германия. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; F-VF ; 17 ; Mike! ; 147 
 3832 ; 1 пенни. Токен. Канада ; 1837 ;  ; Cu ; F+ ; 6 ; Mike! ; 196 
 3833 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3834 ; 3 пфеннига. Пруссия ; 1823D ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3835 ; 1 хеллер. Немецкая Ост-Африка ; 1904 ;  ; Br ; F+ ; 12 ; Mike! ; 238 
 3836 ; 5 бани. Румыния ; 1867 ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3837 ; 3 пфеннига. Липпе-Детмольд ; 1847A ;  ; Сu ; VF- ; 22 ; Mike! ; 362 
 3838 ; 3 марки. Веймар. ; 1922J ;  ; Al ; XF ; 20 ; Mike! ; 123 
 3839 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F ; 19 ; Jauho ; 126 
 3840 ; 1 пфенниг. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1779 ;  ; Cu ; VF ; 7 ; Mike! ; 203 
 3741 ; Жетон Shell ;  ;  ; Al/Br ; XF+ ; 6 ; ivn ; 49 
 3742 ; 25 сентимо. Испания ; 1937 ;  ; Cu-Ni ; VF-XF ; 7 ; DVZ ; 36 
 3743 ; 25 сентаво. Куба ; 1981 ;  ; Cu-Ni ; VF+ ; 11 ; SKeeper ; 62 
 3744 ; 1 доллар. Намибия ; 1993 ;  ; Al/Br ; VF+ ; 12 ; Марик ; 28 
 3745 ; 2 евро. Финляндия ; 2013 ;  ; Би/м ; XF+ ; 18 ; musik ; 168 
 3746 ; 1/12 шиллинга. Джерси ; 1957 ;  ; Br ; XF ; 12 ; Марик ; 35 
 3747 ; 5 эре. Дания ; 1927 ;  ; Br ; VF ; 6 ; DVZ ; 18 
 3748 ; 50 центов. Австралия ; 1971 ;  ; Cu-Ni ; XF ; 22 ; 6719 ; 39 
 3749 ; 10 раппен. Швейцария ; 1920 ;  ; Cu-Ni ; VF ; 3 ; kostya12.04.1994 ; 21 
 3750 ; 2 эре. Норвегия ; 1928 ;  ; Br ; VF ; 16 ; Jet ; 29 
 3751 ; 100 песет. Испания ; 1995 ;  ; Al/Br ; VF ; 15 ; ag58 ; 40 
 3752 ; 50 центов. Австралия ; 1976 ;  ; Cu-Ni ; VF-XF ; 27 ; 6719 ; 48 
 3753 ; 20 центов. Австралия ; 2006 ;  ; Cu-Ni ; XF ; 11 ; 6719 ; 32 
 3754 ; Жетон Shell ;  ;  ; Al/Br ; XF ; 12 ; sibirian ; 30 
 3755 ; 20 хеллеров. Австрия ; 1894 ;  ; Cu-Ni ; VF ; 13 ; нырок ; 72 
 3756 ; 50 центов. Намибия ; 1993 ;  ; Cu-Ni ; AU ; 18 ; Папа с рацией ; 48 
 3757 ; 1/2 динара. Иордания ; 1997 ;  ; Би/м ; VF+ ; 5 ; SKeeper ; 91 
 3758 ; 5 сентимо. Испания ; 1870 ;  ; Br ; F-VF ; 12 ; Westin ; 57 
 3759 ; 2 цента. Британские Карибские Территории ; 1964 ;  ; Br ; VF ; 29 ; gorbi ; 72 
 3760 ; 10 франков. Руанда ; 2003 ;  ; Al/Br ; XF ; 18 ; Марик ; 57 
 3761 ; 1 пенни. Фиджи ; 1967 ;  ; Cu-Ni ; VF ; 7 ; banks ; 90 
 3762 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; VF+ ; 17 ; WhiteMouse ; 155 
 3763 ; 50 франков. Марокко ; 1371 ;  ; Al/Br ; VF ; 4 ; gorbi ; 50 
 3764 ; 5 пфенигов. Германия ; 1898 ;  ; Cu-Ni ; VF ; 12 ; Марик ; 19 
 3765 ; 2 лева. Болгария. 1300 лет Болгарии Апрельское Оборище ; 1981 ;  ; Cu-Ni ; AU ; 15 ; sibirian ; 101 
 3766 ; Жетон Shell ;  ;  ; Al/Br ; XF- ; 5 ; ivn ; 50 
 3767 ; 5 центов. Африка ; 2008 ;  ; Br ; XF ; 8 ; Марик ; 13 
 3768 ; 50 центов. Аруба ; 1991 ;  ; Cu-Ni ; AU ; 13 ; ngwee ; 51 
 3769 ; 100 рейс. Португалия ; 1990 ;  ; Cu-Ni ; VF ; 8 ; Марик ; 68 
 3770 ; 1 доллар. США ; 1980 ;  ; Cu-Ni ; XF ; 33 ; sibirian ; 124 
 3771 ; Жетон Shell ;  ;  ; Al/Br ; XF ; 11 ; sibirian ; 30 
 3772 ; 1 бат. Тайланд ;  ;  ; Cu-Ni ; XF ; 11 ; Vanka ; 20 
 3773 ; 20 чентезимо. Италия ; 1921 ;  ; Cu-Ni ; VF ; 18 ; Марик ; 24 
 3774 ; 1 доллар. Канада ; 1988 ;  ; Al/Br ; VF-XF ; 4 ; Марик ; 51 
 3775 ; 1/2 кроны. Англия ; 1953 ;  ; Cu-Ni ; VF ; 5 ; dvlless ; 59 
 3776 ; 2 доллара. Гон-Конг ; 1994 ;  ; Cu-Ni ; VF ; 8 ; Randy027 ; 24 
 3777 ; 1 марка. Германия ; 1937A ;  ; Cu-Ni ; XF- ; 13 ; banks ; 348 
 3778 ; 10 драхм. Греция ; 1990 ;  ; Cu-Ni ; XF ; 7 ; спарта ; 21 
 3779 ; 10 юаней. Тайвань ;  ;  ; Cu-Ni ; VF+ ; 5 ; спарта ; 14 
 3780 ; 25 пфеннигов. Германия ; 1910A ;  ; Cu-Ni ; VF ; 9 ; Mick 1 ; 343 
 3781 ; 50 пфеннигов. Веймар ; 1928D ;  ; Cu-Ni ; XF ; 31 ; спарта ; 229 
 3782 ; 10 пфеннигов. Веймар ; 1924E ;  ; Al/Br ; VF- ; 3 ; спарта ; 102 
 3783 ; 5 пфеннигов. Германия ; 1939D ;  ; Al/Br ; XF ; 17 ; maleevsw ; 340 
 3784 ; 50 пфеннигов. Германия ; 1935E ;  ; Al ; F- ; 6 ; Jauho ; 209 
 3785 ; 5 центов. США ; 1892 ;  ; Cu-Ni ; F+ ; 1 ; Mike! ; 55 
 3786 ; 2 эре. Дания ; 1874 ;  ; Cu ; VF- ; 13 ; Mike! ; 90 
 3787 ; 1 пенни. Токен. Великобритания ; 1807 ;  ; Cu ; F ; 20 ; Mike! ; 206 
 3788 ; 1 песа. Немецкая Ост-Африка ; 1892 ;  ; Cu ; F ; 25 ; Mike! ; 232 
 3789 ; 1/12 шиллинга. Джерси ; 1911 ;  ; Br ; F-VF ; 5 ; Kamp ; 110 
 3790 ; 2 лева. Болгария. 1300 лет Болгарии. Восстание Асена и Петра ; 1981 ;  ; Cu-Ni ; AU ; 24 ; mesv ; 105 
 3691 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; F+ ; 10 ; Randy027 ; 65 
 3692 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF ; 21 ; Randy027 ; 51 
 3693 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF+ ; 7 ; kostya12.04.1994 ; 65 
 3694 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF+ ; 11 ; Randy027 ; 65 
 3695 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF+ ; 12 ; Randy027 ; 69 
 3696 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF+ ; 14 ; Randy027 ; 69 
 3697 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF+ ; 12 ; Randy027 ; 69 
 3698 ; 100 шиллингов. Австрия. Олимпиада ; 1976 ;  ; Ag ; XF ; 15 ; ZYZ ; 487 
 3699 ; 50 шиллингов. Австрия. Юлиус Рааб ; 1971 ;  ; Ag ; VF-XF ; 14 ; SKeeper ; 466 
 3700 ; 2 эре. Дания ; 1920 ;  ; Br ; VF ; 14 ; banks ; 67 
 3701 ; 1/4 анны. Британская Индия ; 1936 ;  ; Br ; VF ; 26 ; molodes ; 40 
 3702 ; 1 доллар. Канада ; 1969 ;  ; Cu-Ni ; XF ; 14 ; banks ; 90 
 3703 ; 1 злотый. Польша ; 1929 ;  ; Cu-Ni ; VF ; 10 ; t_v_v ; 22 
 3704 ; 2-1/2 гульдена. Нидерланды ; 1980 ;  ; Cu-Ni ; XF ; 14 ; t_v_v ; 50 
 3705 ; 50 грошей. Польша ; 1923 ;  ; Cu-Ni ; VF ; 6 ; Шипк ; 16 
 3706 ; 20 хеллеров. Австрия ; 1916 ;  ; Fe ; F-VF ; 13 ; нырок ; 102 
 3707 ; 3 стотинки. Болгария ; 1951 ;  ; Cu-Zn ; VF ; 17 ; Шипк ; 40 
 3708 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; VF ; 19 ; Шипк ; 59 
 3709 ; 5 рупий. Пакистан ; 2002 ;  ; Cu-Ni ; VF-XF ; 10 ; Anat-tall ; 57 
 3710 ; 50 чентезимо. Италия ; 1941 ;  ; St ; VF+ ; 16 ; DaMon15 ; 79 
 3711 ; 5 лип. Хорватия ; 1993 ;  ; Al/Br ; XF+ ; 14 ; maleevsw ; 100 
 3712 ; 5 денаров. Македония ; 1993 ;  ; Al/Br ; AU ; 16 ; omsk77 ; 27 
 3713 ; 100 эскудо. Португалия ; 1991 ;  ; Би/м ; XF ; 16 ; Александр974 ; 33 
 3714 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; XF ; 15 ; simonsimon ; 89 
 3715 ; 20 раппен. Швейцария ; 1943 ;  ; Cu-Ni ; VF-XF ; 8 ; buben ; 16 
 3716 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 6 ; sibirian ; 92 
 3717 ; 10 рупий. Шри-Ланка ; 1989 ;  ; Би/м ; VF ; 23 ; кротик ; 100 
 3718 ; 1 цент. Канада ; 1945 ;  ; Br ; VF ; 12 ; Westin ; 13 
 3719 ; 5 пфеннигов. Германия ; 1890A ;  ; Cu-Ni ; VF ; 7 ; Westin ; 17 
 3720 ; 50 эре. Швеция ; 2007 ;  ; Br ; XF ; 29 ; u10257 ; 46 
 3721 ; 1 эре. Швеция ; 1870 ;  ; Br ; F+ ; 11 ; DVZ ; 64 
 3722 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 21 ; sibirian ; 93 
 3723 ; 200 лир. Сан-Марино ; 1993 ;  ; Al/Br ; XF+ ; 18 ; dim66 ; 45 
 3724 ; 10 пенни. Веймар ; 1924A ;  ; Al/Br ; VF ; 17 ; WhiteMouse ; 23 
 3725 ; 200 лир. Сан-Марино ; 1993 ;  ; Al/Br ; AU ; 22 ; Папа с рацией ; 53 
 3726 ; 25 эскудо. Португалия ; 1983 ;  ; Cu-Ni ; XF ; 21 ; SKeeper ; 92 
 3727 ; 1 пенни. Южная Родезия ; 1942 ;  ; Cu-Ni ; F ; 14 ; t_v_v ; 53 
 3728 ; Жетон. Людовик XIV. D-31мм ;  ;  ; Br ; F+ ; 19 ; banks ; 206 
 3729 ; 2 кроны. Дания ; 1952 ;  ; Al/Br ; VF ; 16 ; banks ; 120 
 3730 ; 1/4 анны. Индия ; 1918 ;  ; Br ; F+ ; 8 ; Папа с рацией ; 33 
 3731 ; 50 эре. Швеция ; 2003 ;  ; Br ; AU ; 22 ; tss ; 48 
 3732 ; 10 стотинок. Болгария ; 1888 ;  ; Cu-Ni ; F+ ; 18 ; Rober ; 38 
 3733 ; 1 крона. Дания ; 1948 ;  ; Al/Br ; VF ; 12 ; DVZ ; 66 
 3734 ; 2 доллара. Австралия ; 1989 ;  ; Al/Br ; VF ; 20 ; aziya11 ; 101 
 3735 ; 2 сантима. Бельгия ; 1905 ;  ; Br ; VF- ; 21 ; banks ; 90 
 3736 ; 1 юань. Китай ; 1999 ;  ; Cu-Ni ; VF+ ; 3 ; kuder ; 20 
 3737 ; 1 пфенниг. Германия ; 1905A ;  ; Br ; VF ; 29 ; solder13 ; 62 
 3738 ; 1000 лир. Турция ; 1990 ;  ; Cu-Ni ; VF ; 6 ; Александр974 ; 21 
 3739 ; 5 сантимов. Франция. Токен ; 1921 ;  ; Al ; VF ; 11 ; banks ; 151 
 3740 ; Жетон Shell ;  ;  ; Al/Br ; XF ; 12 ; ivn ; 50 
 3641 ; 10 марок. Германия ; 1921 ;  ; Cu ; VF-XF ; 38 ; razum0610 ; 786 
 3642 ; 100 марок. Германия ; 1922 ;  ; Cu ; AU ; 62 ; mesv ; 800 
 3643 ; 50 миллионов марок. Германия ; 1923 ;  ; Al ; AU ; 32 ; razum0610 ; 1020 
 3644 ; 5 марок. Германия ; 1921 ;  ; Al ; AU ; 42 ; maleevsw ; 1496 
 3645 ; 2 миллиона марок. Германия ; 1923 ;  ; Al ; AU ; 45 ; mesv ; 1173 
 3646 ; 5000 лир Ватикан в коробке с сертификатом ;  ;  ; Ag ; Proof ; 35 ; LEXAI ; 1716 
 3647 ; 2000 лир Ватикан в коробке с сертификатом ;  ;  ; Ag ; AU ; 38 ; LEXAI ; 1857 
 3648 ; 3 пенса. Великобритания ; 191? ;  ; Ag ; VF+ ; 44 ; aziya11 ; 84 
 3649 ; 3 пенса. Великобритания ; 1911 ;  ; Ag ; VF ; 53 ; жора ; 86 
 3650 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF+ ; 63 ; aziya11 ; 84 
 3651 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 13 ; aziya11 ; 51 
 3652 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; VF ; 59 ; DaMon15 ; 204 
 3653 ; 3 пенса. Великобритания ; 1912 ;  ; Ag ; VF ; 16 ; aziya11 ; 77 
 3654 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; F+ ; 25 ; Randy027 ; 75 
 3655 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; VF ; 32 ; Randy027 ; 75 
 3656 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF+ ; 55 ; жора ; 77 
 3657 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; VF ; 26 ; vitapool ; 77 
 3658 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 17 ; Randy027 ; 79 
 3659 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF ; 17 ; Randy027 ; 79 
 3660 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; XF ; 48 ; aziya11 ; 51 
 3661 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; XF ; 21 ; Perfect163 ; 82 
 3662 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; XF ; 48 ; omsk77 ; 51 
 3663 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF+ ; 8 ; Randy027 ; 51 
 3664 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; VF+ ; 21 ; Randy027 ; 55 
 3665 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF ; 20 ; Randy027 ; 51 
 3666 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF+ ; 15 ; ASTRAL ; 77 
 3667 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; XF ; 50 ; vitapool ; 56 
 3668 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 19 ; Randy027 ; 75 
 3669 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 16 ; Randy027 ; 75 
 3670 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; F-VF ; 14 ; Randy027 ; 75 
 3671 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 14 ; Randy027 ; 75 
 3672 ; 3 пенса. Великобритания ; 1912 ;  ; Ag ; VF ; 8 ; Randy027 ; 58 
 3673 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF+ ; 59 ; krugerrand ; 82 
 3674 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; VF+ ; 56 ; Sky2 ; 85 
 3675 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; VF+ ; 11 ; aziya11 ; 68 
 3676 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF+ ; 26 ; Randy027 ; 85 
 3677 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 8 ; Tritiy2 ; 82 
 3678 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF+ ; 9 ; krugerrand ; 85 
 3679 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF+ ; 14 ; aziya11 ; 75 
 3680 ; 3 пенса. Великобритания ; 1911 ;  ; Ag ; F-VF ; 14 ; aziya11 ; 75 
 3681 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; XF ; 11 ; omsk77 ; 67 
 3682 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; XF ; 15 ; manson ; 57 
 3683 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; VF+ ; 10 ; Randy027 ; 65 
 3684 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; VF+ ; 13 ; Randy027 ; 69 
 3685 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF+ ; 13 ; Randy027 ; 67 
 3686 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF+ ; 26 ; Randy027 ; 65 
 3687 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF ; 22 ; Randy027 ; 68 
 3688 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF ; 14 ; aziya11 ; 57 
 3689 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; F ; 25 ; aziya11 ; 57 
 3690 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF ; 10 ; Randy027 ; 64 
 3591 ; 1 крона. Швеция ; 1939 ;  ; Ag ; VF-XF ; 15 ; Searcher ; 202 
 3592 ; 1 крона. Швеция ; 1932 ;  ; Ag ; VF ; 18 ; Searcher ; 156 
 3593 ; 1 крона. Швеция ; 1930 ;  ; Ag ; VF+ ; 21 ; Searcher ; 161 
 3594 ; 1 крона. Швеция ; 1925 ;  ; Ag ; VF ; 19 ; Searcher ; 225 
 3595 ; 1 крона. Швеция ; 1914 ;  ; Ag ; VF- ; 65 ; YAV71 ; 179 
 3596 ; 50 эре. Швеция ; 1954 ;  ; Ag ; VF+ ; 19 ; Randy027 ; 65 
 3597 ; 50 эре. Швеция ; 1949 ;  ; Ag ; VF ; 22 ; Randy027 ; 73 
 3598 ; 50 эре. Швеция ; 1946 ;  ; Ag ; VF+ ; 15 ; Randy027 ; 59 
 3599 ; 50 эре. Швеция ; 1950 ;  ; Ag ; VF+ ; 30 ; сама71 ; 87 
 3600 ; 50 эре. Швеция ; 1953 ;  ; Ag ; VF ; 25 ; Randy027 ; 66 
 3601 ; 50 эре. Швеция ; 1945 ;  ; Ag ; VF ; 15 ; Randy027 ; 73 
 3602 ; 50 эре. Швеция ; 1948 ;  ; Ag ; VF ; 15 ; Randy027 ; 73 
 3603 ; 50 эре. Швеция ; 1943 ;  ; Ag ; VF ; 15 ; Randy027 ; 71 
 3604 ; 50 эре. Швеция ; 1961 ;  ; Ag ; VF-XF ; 28 ; Александр974 ; 74 
 3605 ; 50 эре. Швеция ; 1955 ;  ; Ag ; VF ; 17 ; Randy027 ; 77 
 3606 ; 50 эре. Швеция ; 1944 ;  ; Ag ; VF- ; 17 ; Randy027 ; 78 
 3607 ; 50 эре. Швеция ; 1956 ;  ; Ag ; VF ; 17 ; Randy027 ; 79 
 3608 ; 50 эре. Швеция ; 1947 ;  ; Ag ; VF ; 19 ; Randy027 ; 78 
 3609 ; 50 эре. Швеция ; 1952 ;  ; Ag ; VF ; 20 ; Randy027 ; 79 
 3610 ; 50 эре. Швеция ; 1957 ;  ; Ag ; VF-XF ; 18 ; Randy027 ; 58 
 3611 ; 50 эре. Швеция ; 1934 ;  ; Ag ; F-VF ; 20 ; Randy027 ; 79 
 3612 ; 50 эре. Швеция ; 1919 ;  ; Ag ; F+ ; 17 ; Monata ; 79 
 3613 ; 50 эре. Швеция ; 1929 ;  ; Ag ; F-VF ; 15 ; Monata ; 79 
 3614 ; 50 эре. Швеция ; 1883 ;  ; Ag ; F+ ; 16 ; Monata ; 79 
 3615 ; 50 эре. Швеция ; 1930 ;  ; Ag ; VF- ; 14 ; Rober ; 77 
 3616 ; 50 эре. Швеция ; 1899 ;  ; Ag ; F ; 20 ; сама71 ; 102 
 3617 ; 50 эре. Швеция ; 1914 ;  ; Ag ; F ; 10 ; Randy027 ; 63 
 3618 ; 50 эре. Швеция ; 1911 ;  ; Ag ; F ; 32 ; Sterh ; 67 
 3619 ; 50 эре. Швеция ; 1936 ;  ; Ag ; VF ; 18 ; Monata ; 76 
 3620 ; 50 эре. Швеция ; 1938 ;  ; Ag ; VF ; 16 ; Monata ; 67 
 3621 ; 50 эре. Швеция ; 1935 ;  ; Ag ; VF ; 25 ; Monata ; 79 
 3622 ; 50 эре. Швеция ; 1912 ;  ; Ag ; F-VF ; 53 ; YAV71 ; 102 
 3623 ; 50 эре. Швеция ; 1931 ;  ; Ag ; VF- ; 18 ; Monata ; 74 
 3624 ; 50 эре. Швеция ; 1939 ;  ; Ag ; VF- ; 15 ; buben ; 67 
 3625 ; 50 эре. Швеция ; 1927 ;  ; Ag ; VF- ; 18 ; Randy027 ; 81 
 3626 ; 50 эре. Швеция ; 1933 ;  ; Ag ; VF ; 20 ; Randy027 ; 79 
 3627 ; 50 эре. Швеция ; 1916 ;  ; Ag ; F-VF ; 21 ; YAV71 ; 100 
 3628 ; 50 эре. Швеция ; 1928 ;  ; Ag ; F-VF ; 25 ; Randy027 ; 89 
 3629 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; VF-XF ; 56 ; Randy027 ; 150 
 3630 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; VF-XF ; 37 ; 6719 ; 138 
 3631 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; XF ; 25 ; ZYZ ; 134 
 3632 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; VF-XF ; 27 ; 6719 ; 144 
 3633 ; 10 гривен. Украина. Кий. . В коробке, с сертификатом ; 1998 ;  ; Ag ; Proof ; 34 ; kwacha_dm ; 2608 
 3634 ; 10 гривен. Украина. Синагога. В коробке, с сертификатом ; 2012 ;  ; Ag ; Proof ; 7 ; Mike! ; 1583 
 3635 ; 10 гривен. Украина. XXI Зимние олимпийские игры. В коробке, с сертификатом ; 2010 ;  ; Ag ; Proof ; 9 ; Mike! ; 1919 
 3636 ; 10 гривен. Украина. Батурин. В коробке, с сертификатом ; 2005 ;  ; Ag ; Proof ; 22 ; Mike! ; 2321 
 3637 ; 10 евро. Финляндия. Рунеберг. ; 2004 ;  ; Ag ; Proof ; 10 ; Mike! ; 1387 
 3638 ; 1 шиллинг 6 пенсов. Токен. Великобритания. В капсуле PCGS ; 1812 ;  ; Ag ; MS65 ; 29 ; ingar ; 17202 
 3639 ; 50 миллионов марок. Германия ; 1923 ;  ; Cu ; XF+ ; 42 ; Notgelder ; 1995 
 3640 ; 10000 марок. Германия ; 1923 ;  ; Cu ; AU ; 23 ; razum0610 ; 1020 
 3541 ; 1 крона. Швеция ; 1904 ;  ; Ag ; F-VF ; 20 ; zelya ; 187 
 3542 ; 1 крона. Швеция ; 1898 ;  ; Ag ; F-VF ; 11 ; zelya ; 179 
 3543 ; 1 крона. Швеция ; 1890 ;  ; Ag ; F ; 22 ; Searcher ; 153 
 3544 ; 1 крона. Швеция ; 1875 ;  ; Ag ; F ; 8 ; banks ; 133 
 3545 ; 1 крона. Швеция ; 1880 ;  ; Ag ; F ; 20 ; Searcher ; 183 
 3546 ; 1 крона. Швеция ; 1897 ;  ; Ag ; F-VF ; 9 ; Searcher ; 205 
 3547 ; 1 крона. Швеция ; 1906 ;  ; Ag ; F-VF ; 55 ; Searcher ; 187 
 3548 ; 1 крона. Швеция ; 1881 ;  ; Ag ; F-VF ; 11 ; Searcher ; 183 
 3549 ; 1 крона. Швеция ; 1876 ;  ; Ag ; F+ ; 28 ; Searcher ; 292 
 3550 ; 1 крона. Швеция ; 1883 ;  ; Ag ; F ; 14 ; Searcher ; 181 
 3551 ; 1 крона. Швеция ; 1966 ;  ; Ag ; XF ; 56 ; banks ; 97 
 3552 ; 1 крона. Швеция ; 1957 ;  ; Ag ; VF+ ; 19 ; banks ; 96 
 3553 ; 1 крона. Швеция ; 1962 ;  ; Ag ; VF+ ; 19 ; molodes ; 98 
 3554 ; 1 крона. Швеция ; 1952 ;  ; Ag ; VF+ ; 12 ; Searcher ; 98 
