 5958 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 7 ; psion22 ; 77 
 3206 ; 50 крон. Чехословакия. 100 лет со дня Рождения Янко Есенского ; 1974 ;  ; Ag ; AU ; 26 ; vasek ; 612 
 3207 ; 5 крон. Швеция ; 1955 ;  ; Ag ; XF ; 25 ; дилитант ; 404 
 3208 ; 1 крона. Швеция ; 1946 ;  ; Ag ; VF ; 13 ; митяй ; 134 
 3209 ; 1 крона. Швеция ; 1967 ;  ; Ag ; VF+ ; 14 ; SKeeper ; 102 
 3210 ; 10 мильемов. Египет. Фарук ; 1943 ;  ; Br ; VF+ ; 32 ; bek-1 ; 113 
 3211 ; 5 мильемов. Египет. Фарук ; 1943 ;  ; Br ; VF ; 22 ; nafuk ; 104 
 3212 ; 10 кэш. Китай. Династия Цин. Министерство финансов ; 1906 ;  ; Br ; F+ ; 11 ; bratss ; 204 
 3213 ; 10 кэш. Китай. Республика ;  ;  ; Br ; VF- ; 16 ; bratss ; 133 
 3214 ; 5 лир. Ватикан ; 1940 ;  ; Ag ; AU ; 45 ; kont ; 793 
 3215 ; 1/2 доллара. США ; 1945 ;  ; Ag ; VF+ ; 23 ; ed1 ; 554 
 3216 ; 2 марки. ФРГ ; 1979 ;  ; Cu-Ni ; VF ; 12 ; Maks87 ; 61 
 3217 ; 2 марки. ФРГ ; 1994 ;  ; Cu-Ni ; XF+ ; 30 ; dim66 ; 161 
 3118 ; 50 центов. Канада ; 1941 ;  ; Ag ; VF-XF ; 13 ; AstoR ; 464 
 3119 ; 50 центов. Канада ; 1942 ;  ; Ag ; XF- ; 49 ; AstoR ; 770 
 3120 ; 50 центов. Канада ; 1943 ;  ; Ag ; XF- ; 22 ; AstoR ; 469 
 3121 ; 50 центов. Канада ; 1944 ;  ; Ag ; XF- ; 22 ; AstoR ; 469 
 3122 ; 50 центов. Канада ; 1945 ;  ; Ag ; XF- ; 21 ; AstoR ; 469 
 3123 ; 50 центов. Канада ; 1946 ;  ; Ag ; XF- ; 13 ; AstoR ; 1259 
 3124 ; 50 центов. Канада ; 1947 ;  ; Ag ; VF-XF ; 13 ; AstoR ; 1259 
 3125 ; 50 центов. Канада ; 1948 ;  ; Ag ; XF- ; 133 ; AstoR ; 5145 
 3126 ; 5 лир. Италия ; 1927 ;  ; Ag ; XF+ ; 45 ; hugo ; 619 
 3127 ; 2 лиры. Италия ; 1916 ;  ; Ag ; XF ; 61 ; av ; 1318 
 3128 ; 5 злотых. Польша. Легионерский орел ; 1934 ;  ; Ag ; XF- ; 49 ; Schwer ; 2571 
 3129 ; 2 кроны. Дания ; 1930 ;  ; Ag ; XF+ ; 21 ; vesta78 ; 1032 
 3130 ; 2 кроны. Дания ; 1888 ;  ; Ag ; XF ; 51 ; asru ; 3570 
 3131 ; 2 кроны. Дания ; 1937 ;  ; Ag ; XF ; 28 ; vesta78 ; 805 
 3132 ; 10 злотых. Польша ; 1936 ;  ; Ag ; VF-XF ; 85 ; Для души ; 1881 
 3133 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 44 ; Moribor ; 444 
 3134 ; 5 злотых. Польша ; 1936 ;  ; Ag ; XF ; 54 ; Для души ; 3350 
 3135 ; 5 злотых. Польша ; 1935 ;  ; Ag ; XF- ; 40 ; Чашник ; 628 
 3136 ; 2 злотых. Польша ; 1934 ;  ; Ag ; VF+ ; 52 ; Чашник ; 1046 
 3137 ; 2 злотых. Польша ; 1936 ;  ; Ag ; VF ; 44 ; Vikki ; 700 
 3138 ; 10 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 60 ; bek-1 ; 1699 
 3139 ; 5 лева. Болгария ; 1894 ;  ; Ag ; VF-XF ; 13 ; first ; 1884 
 3140 ; 1 доллар. Канада. Кузнечное дело ; 1988 ;  ; Ag ; Proof ; 11 ; жора ; 601 
 3141 ; 200 злотых. Польша. 30 лет ПНР ; 1974 ;  ; Ag ; XF+ ; 36 ; елец ; 444 
 3142 ; 1 доллар. Канада. Виннипег ; 1974 ;  ; Ag ; AU ; 24 ; Reverse ; 540 
 3143 ; 10 марок. ФРГ. 50-летие движения немецкого сопротивления ; 1994A ;  ; Ag ; AU ; 14 ; massivejob ; 441 
 3144 ; 10 марок. ФРГ. 50-летие движения немецкого сопротивления ; 1994A ;  ; Ag ; AU ; 12 ; tamsimun ; 531 
 3145 ; 10 марок. ФРГ. 200-летие Бранденбургских ворот ; 1991A ;  ; Ag ; AU ; 16 ; electra ; 468 
 3146 ; 10 марок. ФРГ. 800-летие со дня смерти Генриха Льва ; 1995F ;  ; Ag ; AU ; 13 ; SKeeper ; 441 
 3147 ; 10 марок. ФРГ. 800-летие Немецкого монашеского ордена ; 1990J ;  ; Ag ; AU ; 15 ; canario ; 459 
 3148 ; 10 марок. ФРГ. 800-летие Гамбурга ; 1989J ;  ; Ag ; AU ; 15 ; кониевич ; 453 
 3149 ; 10 марок. ФРГ. 800-летие со дня смерти Фридриха I Барбароссы ; 1990F ;  ; Ag ; AU ; 13 ; massivejob ; 437 
 3150 ; 10 марок. ФРГ. 1000-летие Потсдама ; 1993F ;  ; Ag ; AU ; 13 ; paranoy ; 432 
 3151 ; 10 марок. ФРГ. 1000-летие Потсдама ; 1993F ;  ; Ag ; XF ; 8 ; кот баюн ; 407 
 3152 ; 10 марок. ФРГ.1000-летие Потсдама ; 1993F ;  ; Ag ; AU ; 13 ; Метро62 ; 444 
 3153 ; 10 марок. ФРГ. 150-летие со дня рождения Роберта Коха ; 1993J ;  ; Ag ; AU ; 12 ; paranoy ; 419 
 3154 ; 10 марок. ФРГ. 30-летие Римского договора ; 1987G ;  ; Ag ; AU ; 18 ; Метро62 ; 520 
 3155 ; 10 марок. ФРГ. 125-летие со дня рождения Кете Кольвиц ; 1992G ;  ; Ag ; AU ; 8 ; karl ; 407 
 3156 ; 10 марок. ФРГ. 125-летие со дня рождения Кете Кольвиц ; 1992G ;  ; Ag ; XF ; 13 ; vesta78 ; 407 
 3157 ; 10 марок. ФРГ. 250-летие рождения Иоганна Готфрида Гердера ; 1994G ;  ; Ag ; AU ; 12 ; partanen ; 441 
 3158 ; 10 марок. ФРГ. 50-летие со дня разрушения церкви Фрауэнкирхе в Дрездене ; 1995J ;  ; Ag ; AU ; 15 ; electra ; 450 
 3159 ; 10 марок. ФРГ. 50-летие со дня разрушения церкви Фрауэнкирхе в Дрездене ; 1995J ;  ; Ag ; AU ; 11 ; paranoy ; 407 
 3160 ; 10 марок. ФРГ. 150-летие ордена за науку и искусство ; 1992D ;  ; Ag ; AU ; 22 ; electra ; 509 
 3161 ; 10 марок. ФРГ. 150-летие со дня рождения Вильгельма Рентгена ; 1995D ;  ; Ag ; XF ; 19 ; electra ; 505 
 3162 ; 10 марок. ФРГ. 40-летие образования ФРГ ; 1989G ;  ; Ag ; AU ; 12 ; кониевич ; 441 
 3163 ; 10 марок. ФРГ. 750-летие Берлина ; 1987J ;  ; Ag ; AU ; 13 ; SKeeper ; 432 
 3164 ; 10 марок. ФРГ. 150-летие создания католического сообщества в Эльберфельде ; 1996A ;  ; Ag ; AU ; 13 ; SKeeper ; 433 
 3165 ; 10 марок. ФРГ. 2000-летие Бонна ; 1989D ;  ; Ag ; AU ; 9 ; karl ; 407 
 3166 ; 10 марок. ФРГ. 100-летие со дня рождения Артура Шопенгауэра ; 1988D ;  ; Ag ; AU ; 12 ; lui78 ; 441 
 3167 ; 10 марок. ФРГ. 100-летие со дня рождения Артура Шопенгауэра ; 1988D ;  ; Ag ; AU ; 11 ; Rober ; 432 
 3068 ; 50 крон. Чехословакия. 100 лет со дня рождения Станислава Неймана ; 1975 ;  ; Ag ; XF/AU ; 13 ; Valedgio_74 ; 561 
 3069 ; 100 крон. Чехословакия. 100 лет со дня смерти Янко Краля ; 1976 ;  ; Ag ; AU ; 35 ; ВМШ ; 703 
 3070 ; 50 крон. Чехословакия. 125 лет со дня смерти Яна Коллара ; 1977 ;  ; Ag ; AU ; 25 ; Valedgio_74 ; 573 
 3071 ; 100 крон. Чехословакия. 100-летие дня рождения Виктора Кэплэна ; 1976 ;  ; Ag ; AU ; 23 ; maleevsw ; 1530 
 3072 ; 100 крон. Чехословакия. 300-летие смерти Васлава Холлар ; 1977 ;  ; Ag ; AU ; 32 ; старом ; 684 
 3073 ; 50 крон. Чехословакия. 100 лет со дня рождения журналиста Зденека Неедлы ; 1978 ;  ; Ag ; AU ; 23 ; vicnic ; 765 
 3074 ; 100 крон. Чехословакия.  75-ая годовщина со дня рождения Юлиуса Фучика ; 1978 ;  ; Ag ; AU ; 38 ; Valedgio_74 ; 733 
 3075 ; 50 крон. Чехословакия. 650-летие чеканки монет в Кремнице ; 1978 ;  ; Ag ; AU ; 48 ; Valedgio_74 ; 1015 
 3076 ; 100 крон. Чехословакия. 600-летие смерти Чарльза IV ; 1978 ;  ; Ag ; AU ; 28 ; старом ; 640 
 3077 ; 100 крон. Чехословакия. 150 лет со дня рождения Яна Ботто ; 1979 ;  ; Ag ; AU ; 50 ; maleevsw ; 1030 
 3078 ; 100 крон. Чехословакия.150лет со дня рождения Питера Парлера ; 1980 ;  ; Ag ; AU ; 52 ; Valedgio_74 ; 1387 
 3079 ; 50 крон. Чехословакия. 30-я годовщина 9-го съезда коммунистической партии Чехословакии ; 1979 ;  ; Ag ; AU ; 48 ; maleevsw ; 1275 
 3080 ; 100 крон. Чехословакия. Спартакиада ; 1980 ;  ; Ag ; AU ; 43 ; maleevsw ; 950 
 3081 ; 100 крон. Чехословакия. 100 лет со дня рождения Богумира Смерал ; 1980 ;  ; Ag ; AU ; 26 ; dim66 ; 555 
 3082 ; 500 крон. Чехословакия. Людовик Штур ; 1981 ;  ; Ag ; XF/AU ; 24 ; ВМШ ; 1745 
 3083 ; 100 крон. Чехословакия. Гагарин ; 1981 ;  ; Ag ; AU ; 26 ; елец ; 1036 
 3084 ; 100 крон. Чехословакия. 100 лет со дня рождения профессора Отэкэра Спэнила ; 1981 ;  ; Ag ; AU ; 20 ; massivejob ; 561 
 3085 ; 100 крон. Чехословакия. 100-летие со дня рождения Ивана Олбрача ; 1982 ;  ; Ag ; AU ; 19 ; massivejob ; 561 
 3086 ; 25 крон. Чехословакия. 20 лет Победы ; 1965 ;  ; Ag ; XF+ ; 22 ; TaraskaPeter ; 732 
 3087 ; 10 крон. Чехословакия. Словацкое национальное восстание ; 1964 ;  ; Ag ; AU ; 35 ; dim66 ; 655 
 3088 ; 10 крон. Чехословакия. Ян Гус ; 1965 ;  ; Ag ; AU ; 38 ; TaraskaPeter ; 902 
 3089 ; 10 крон. Чехословакия. 1100-летие Великой Моравии ; 1966 ;  ; Ag ; AU ; 22 ; dim66 ; 560 
 3090 ; 10 крон. Чехословакия. Академия Наук ; 1967 ;  ; Ag ; XF/AU ; 38 ; vicnic ; 718 
 3091 ; 25 крон. Чехословакия. ; 1968 ;  ; Ag ; AU ; 32 ; Schwer ; 661 
 3092 ; 10 крон. Чехословакия. 100-летие Национального театра ; 1968 ;  ; Ag ; AU ; 79 ; ВМШ ; 1002 
 3093 ; 50 крон. Чехословакия. 50-летие Чехословакии ; 1968 ;  ; Ag ; XF/AU ; 29 ; нионила ; 1838 
 3094 ; 25 крон. Чехословакия. 25-летие Словацкого восстания ; 1969 ;  ; Ag ; XF ; 31 ; maleevsw ; 8670 
 3095 ; 25 крон. Чехословакия. 100 лет со дня смерти Яна Эвангелиста Пуркине ; 1969 ;  ; Ag ; XF ; 25 ; aziya11 ; 509 
 3096 ; 25 крон. Чехословакия.  25-я годовщина освобождения Чехословакии от немецкой оккупации ; 1970 ;  ; Ag ; AU ; 44 ; страус ; 710 
 3097 ; 25 крон. Чехословакия. 50 лет Национальному театру ; 1970 ;  ; Ag ; AU ; 41 ; maleevsw ; 1154 
 3098 ; 50 крон. Чехословакия.100 лет со дня рождения Владимира Ильича Ленина ; 1970 ;  ; Ag ; AU ; 52 ; нионила ; 2490 
 3099 ; 50 крон. Чехословакия. 50 лет коммунистической партии Чехословакии ; 1971 ;  ; Ag ; AU ; 31 ; maleevsw ; 917 
 3100 ; 50 крон. Чехословакия. 50 лет со дня смерти Павола Орсага Гвездослава ; 1971 ;  ; Ag ; XF ; 25 ; maleevsw ; 623 
 3101 ; 100 крон. Чехословакия.100 лет со дня смерти Йозефа Манеса ; 1971 ;  ; Ag ; XF ; 30 ; ВМШ ; 714 
 3102 ; 20 крон. Чехословакия. 100 лет со дня смерти Андрея Сладковича ; 1972 ;  ; Ag ; AU ; 35 ; Schwer ; 520 
 3103 ; 50 крон. Чехословакия. 50 лет со дня смерти Йозефа Мысльбека ; 1972 ;  ; Ag ; AU ; 19 ; vasek ; 502 
 3104 ; 50 крон. Чехословакия. 25-я годовщина победы коммунистической партии ; 1973 ;  ; Ag ; XF+/AU ; 50 ; maleevsw ; 708 
 3105 ; 50 крон. Чехословакия. 200 лет со дня рождения Йозефа Юнгмана ; 1973 ;  ; Ag ; XF ; 21 ; vasek ; 502 
 3106 ; 1 доллар. Канада ; 1960 ;  ; Ag ; XF ; 21 ; banks ; 793 
 3107 ; 1 доллар. Канада ; 1961 ;  ; Ag ; XF ; 16 ; viktorius ; 793 
 3108 ; 1 доллар. Канада ; 1962 ;  ; Ag ; AU ; 37 ; serg901 ; 843 
 3109 ; 1 доллар. Канада ; 1963 ;  ; Ag ; XF ; 13 ; Lena6975 ; 761 
 3110 ; 1 доллар. Канада ; 1964 ;  ; Ag ; XF+ ; 17 ; Vanka ; 746 
 3111 ; 1 доллар. Канада ; 1965 ;  ; Ag ; XF ; 13 ; Vanka ; 663 
 3112 ; 1 доллар. Канада ; 1966 ;  ; Ag ; XF+ ; 12 ; Vanka ; 746 
 3113 ; 1 доллар. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF+ ; 11 ; жора ; 928 
 3114 ; 50 центов. Канада ; 1937 ;  ; Ag ; XF- ; 47 ; AstoR ; 1235 
 3115 ; 50 центов. Канада ; 1938 ;  ; Ag ; XF- ; 58 ; AstoR ; 1259 
 3116 ; 50 центов. Канада ; 1939 ;  ; Ag ; VF-XF ; 16 ; AstoR ; 1259 
 3117 ; 50 центов. Канада ; 1940 ;  ; Ag ; XF- ; 35 ; AstoR ; 627 
 3018 ; 100 франков. Бельгия. Короли ; 1949 ;  ; Ag ; VF-XF ; 53 ; vicnic ; 915 
 3019 ; 100 франков. Бельгия. Короли ; 1951 ;  ; Ag ; VF-XF ; 35 ; Grey 13 ; 516 
 3020 ; 50 франков. Бельгия ; 1951 ;  ; Ag ; XF ; 21 ; vicnic ; 485 
 3021 ; 50 франков. Бельгия ; 1954 ;  ; Ag ; XF ; 18 ; av ; 459 
 3022 ; 5 лир. Италия ; 1873 ;  ; Ag ; VF-XF ; 20 ; жора ; 1049 
 3023 ; 5 лир. Италия ; 1878 ;  ; Ag ; VF-XF ; 31 ; Мотя ; 1563 
 3024 ; 1/2 кроны. Великобритания ; 1928 ;  ; Ag ; F-VF ; 16 ; alapabula ; 257 
 3025 ; 1/2 кроны. Великобритания ; 1936 ;  ; Ag ; VF ; 28 ; alapabula ; 301 
 3026 ; 1/2 кроны. Великобритания ; 1939 ;  ; Ag ; VF ; 21 ; alapabula ; 319 
 3027 ; 1 флорин. Великобритания ; 1921 ;  ; Ag ; VF- ; 17 ; дилитант ; 206 
 3028 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; VF+ ; 26 ; SKeeper ; 266 
 3029 ; 6 пенсов. Великобритания ; 1936 ;  ; Ag ; VF- ; 24 ; Moribor ; 147 
 3030 ; 6 пенсов. Великобритания ; 1942 ;  ; Ag ; VF ; 32 ; Moribor ; 161 
 3031 ; 1 крона. Швеция ; 1941 ;  ; Ag ; VF-XF ; 24 ; SKeeper ; 213 
 3032 ; 1 крона. Швеция ; 1937 ;  ; Ag ; XF- ; 16 ; SKeeper ; 231 
 3033 ; 1/2 доллара. США ; 1963 ;  ; Ag ; XF ; 19 ; unix ; 433 
 3034 ; 1/2 доллара. США ; 1964D ;  ; Ag ; XF ; 14 ; cfif24 ; 362 
 3035 ; 2 франка. Швейцария ; 1960 ;  ; Ag ; XF ; 15 ; АЛЕКСАНДР72 ; 408 
 3036 ; 2 франка. Швейцария ; 1963 ;  ; Ag ; XF+ ; 15 ; Grey 13 ; 396 
 3037 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; VF+ ; 21 ; massivejob ; 159 
 3038 ; 20 драхм. Греция ; 1960 ;  ; Ag ; AU ; 15 ; AstoR ; 634 
 3039 ; 30 драхм. Греция. Свадьба ; 1964 ;  ; Ag ; XF ; 21 ; AstoR ; 592 
 3040 ; 25 шиллингов. Австрия. Национальный театр в Вене ; 1955 ;  ; Ag ; AU ; 15 ; YSV_HYDRO ; 435 
 3041 ; 25 шиллингов. Австрия. Национальный театр в Вене ; 1955 ;  ; Ag ; AU ; 21 ; VVE ; 429 
 3042 ; 5 шиллингов. Южная Африка. 300 лет основания Кейптауна ; 1952 ;  ; Ag ; XF+ ; 27 ; Георг ; 1000 
 3043 ; 5 шиллингов. Южная Африка. 300 лет основания Кейптауна ; 1952 ;  ; Ag ; XF+ ; 38 ; елец ; 980 
 3044 ; 500 марок. Финляндия. Олимпийские игры ; 1952 ;  ; Ag ; XF ; 22 ; Георг ; 1221 
 3045 ; 5 марок. ФРГ. 200-летие со дня рождения Генрихa фон Клейст ; 1977G ;  ; Ag ; Proof ; 15 ; massivejob ; 342 
 3046 ; 5 марок. ФРГ. 150-летие Немецкого археологического института ; 1979J ;  ; Ag ; XF ; 16 ; canario ; 317 
 3047 ; 500 лир. Италия. 100 летие Италии ; 1961 ;  ; Ag ; XF+ ; 21 ; АнТонус ; 561 
 3048 ; 5 лит. Литва ; 1936 ;  ; Ag ; XF ; 34 ; melkore ; 909 
 3049 ; 1 пенго. Венгрия ; 1939 ;  ; Ag ; XF ; 37 ; Schwer ; 444 
 3050 ; 1 марка. Германия ; 1907D ;  ; Ag ; VF+ ; 28 ; ДУНКАН МАКЛАУД ; 357 
 3051 ; 1 шиллинг. Австралия ; 1946 ;  ; Ag ; VF ; 20 ; DaMon15 ; 213 
 3052 ; 1 шиллинг. Австралия ; 1946 ;  ; Ag ; VF ; 23 ; nfandeev ; 200 
 3053 ; 1 шиллинг. Австралия ; 1950 ;  ; Ag ; VF ; 16 ; DaMon15 ; 204 
 3054 ; 1 шиллинг. Австралия ; 1953 ;  ; Ag ; VF ; 14 ; DaMon15 ; 167 
 3055 ; 1 шиллинг. Австралия ; 1954 ;  ; Ag ; VF- ; 15 ; DaMon15 ; 176 
 3056 ; 1/2 дин. Перу ; 1916 ;  ; Ag ; XF ; 31 ; Cruizers ; 357 
 3057 ; 1 далер. Швеция ; 1715 ;  ; Cu ; F-VF ; 36 ; Папа с рацией ; 779 
 3058 ; 1 далер. Швеция ; 1715 ;  ; Cu ; F+ ; 17 ; nays ; 340 
 3059 ; 1 далер. Швеция ; 1718 ;  ; Cu ; F-VF ; 37 ; Папа с рацией ; 917 
 3060 ; 1 далер. Швеция ; 1718 ;  ; Cu ; F-VF ; 44 ; ГдРъ ; 825 
 3061 ; 1 далер. Швеция ; 1718 ;  ; Cu ; F-VF ; 32 ; Папа с рацией ; 643 
 3062 ; 30 драхм. Греция. 100 лет династии ; 1963 ;  ; Ag ; AU ; 41 ; AstoR ; 830 
 3063 ; 1 шиллинг. Австралия ; 1954 ;  ; Ag ; VF ; 20 ; nfandeev ; 197 
 3064 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; VF ; 10 ; unix ; 295 
 3065 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; VF-XF ; 18 ; massivejob ; 157 
 3066 ; 100 крон. Чехословакия. 150 лет со дня рождения Берджиха Сметаны ; 1974 ;  ; Ag ; XF ; 16 ; vasek ; 531 
 3067 ; 50 крон. Чехословакия. 100 лет со дня рождения Янко Есенского ; 1974 ;  ; Ag ; AU ; 30 ; Valedgio_74 ; 635 
 2968 ; 10 крон. Швеция. 90 лет со дня рождения Густава VI Адольфа ; 1972 ;  ; Ag ; XF- ; 15 ; CASH ; 408 
 2969 ; 2 кроны. Швеция. Серебряный юбилей правления (1872-1897). Гурт 4 отверстия ; 1897 ;  ; Ag ; VF ; 13 ; vesta78 ; 1020 
 2970 ; Крона Великобритания ; 1819 ;  ; Ag ; F-VF ; 71 ; alapabula ; 2876 
 2971 ; 1/2 кроны Великобритания ; 1896 ;  ; Ag ; VF+ ; 48 ; DaMon15 ; 1704 
 2972 ; 1/2 кроны Великобритания ; 1912 ;  ; Ag ; XF- ; 37 ; DaMon15 ; 1048 
 2973 ; 1/2 кроны Великобритания ; 1927 ;  ; Ag ; VF+ ; 27 ; unix ; 888 
 2974 ; 1/2 кроны Великобритания ; 1935 ;  ; Ag ; XF ; 28 ; TaraskaPeter ; 572 
 2975 ; Флорин Великобритания ; 1914 ;  ; Ag ; XF ; 30 ; DaMon15 ; 816 
 2976 ; Шиллинг Великобритания ; 1824 ;  ; Ag ; VF+ ; 50 ; AstoR ; 1536 
 2977 ; Шиллинг Великобритания ; 1887 ;  ; Ag ; XF+ ; 54 ; Чашник ; 1836 
 2978 ; Шиллинг Великобритания ; 1907 ;  ; Ag ; VF+ ; 23 ; alapabula ; 340 
 2979 ; Шиллинг Великобритания ; 1945 ;  ; Ag ; XF/AU ; 28 ; massivejob ; 444 
 2980 ; 6 пенсов Великобритания ; 1942 ;  ; Ag ; XF+ ; 45 ; massivejob ; 184 
 2981 ; 6 пенсов Великобритания ; 1943 ;  ; Ag ; AU ; 38 ; alehandr ; 235 
 2982 ; 3 пенса Великобритания ; 1917 ;  ; Ag ; VF-XF ; 38 ; Moribor ; 169 
 2983 ; 3 пенса Великобритания ; 1930 ;  ; Ag ; XF- ; 17 ; NAS2012 ; 118 
 2984 ; 3 пенса Великобритания ; 1938 ;  ; Ag ; XF ; 62 ; Moribor ; 118 
 2985 ; 3 пенса Великобритания ; 1940 ;  ; Ag ; XF+ ; 31 ; massivejob ; 138 
 2986 ; 3 пенса Великобритания ; 1941 ;  ; Ag ; AU ; 24 ; жора ; 179 
 2987 ; 1/2 гульдена Данциг ; 1923 ;  ; Ag ; XF ; 46 ; HARDCOROV ; 3319 
 2988 ; 10 пфеннигов Данциг ; 1923 ;  ; Ag ; XF- ; 39 ; unix ; 506 
 2989 ; 50 пфеннигов Германия ; 1928D ;  ; Ni ; XF ; 21 ; 06031983 ; 267 
 2990 ; 200 марок Германия ; 1923 ;  ; Al ; XF ; 17 ; melkore ; 92 
 2991 ; 3 марки Германия ; 1922 ;  ; Al ; AU ; 26 ; DIMA 57 ; 296 
 2992 ; 50 пфеннигов Германия ; 1921 ;  ; Al ; XF ; 22 ; dva12 ; 49 
 2993 ; 5 марок Германия банк Шлизвихь-Гольштейн ; 1923 ;  ; Al ; XF ; 27 ; Maks87 ; 208 
 2994 ; 2 кроны. Швеция ; 1906 ;  ; Ag ; VF ; 18 ; 333985 ; 900 
 2995 ; 2 кроны. Швеция ; 1880 ;  ; Ag ; VF- ; 21 ; 333985 ; 567 
 2996 ; 2 кроны. Швеция ; 1938 ;  ; Ag ; XF ; 19 ; manson ; 710 
 2997 ; 2 кроны. Швеция. 400-летие политических свобод ; 1921 ;  ; Ag ; AU ; 28 ; Rabot5 ; 894 
 2998 ; 2 кроны. Швеция. 300-летие образования поселения Делавэр ; 1938 ;  ; Ag ; AU ; 23 ; bob375 ; 797 
 2999 ; 2 кроны. Швеция. 300-летие смерти Густава II Адольфа ; 1932 ;  ; Ag ; AU ; 19 ; Alekss_27 ; 867 
 3000 ; 2 кроны. Дания. Совершеннолетие принцессы Маргрете ; 1958 ;  ; Ag ; AU ; 28 ; 333985 ; 725 
 3001 ; 2 кроны. Дания. 60-летие короля Христиана Х ; 1930 ;  ; Ag ; AU ; 25 ; unix ; 1111 
 3002 ; 2 кроны. Дания. 25-летие свадьбы короля Кристиана Х и королевы Александрины ; 1923 ;  ; Ag ; XF+ ; 16 ; Мотя ; 1247 
 3003 ; 1 доллар. США. Участие США в Олимпиаде в Сеуле ; 1988S ;  ; Ag ; Proof ; 11 ; Capt2 ; 1103 
 3004 ; 1/2 доллара. США. 250-летие Джорджа Вашингтона ; 1982 ;  ; Ag ; AU ; 15 ; аулгуцул ; 841 
 3005 ; 25 гульденов. Нидерландские Антиллы. 25-летие правления королевы Юлианы ; 1973 ;  ; Ag ; AU ; 15 ; гш888 ; 1899 
 3006 ; 1 крона. Швеция ; 1875 ;  ; Ag ; VF- ; 13 ; митяй ; 273 
 3007 ; 1 крона. Швеция ; 1907 ;  ; Ag ; VF- ; 12 ; митяй ; 250 
 3008 ; 1 крона. Швеция ; 1931 ;  ; Ag ; VF ; 5 ; митяй ; 203 
 3009 ; 1 крона. Швеция ; 1966 ;  ; Ag ; VF ; 8 ; SKeeper ; 114 
 3010 ; 1/4 бата. Тайланд ; 1919 ;  ; Ag ; F ; 27 ; Серж PirGS ; 516 
 3011 ; 20 сен. Япония ; 1907 ;  ; Ag ; VF ; 24 ; unix ; 344 
 3012 ; 10 сен. Япония ; 1913 ;  ; Ag ; VF+ ; 25 ; Olimpia ; 254 
 3013 ; 100 йен. Япония ; 1964 ;  ; Ag ; XF ; 18 ; canario ; 220 
 3014 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 37 ; cfif24 ; 354 
 3015 ; 1 эре. Швеция ; 1725 ;  ; Cu ; F-VF ; 19 ; Harder ; 340 
 3016 ; 1/6 эре. Швеция ; 1718 ;  ; Cu ; VF ; 37 ; kont ; 1600 
 3017 ; 250 франков. Бельгия ; 1976 ;  ; Ag ; XF ; 37 ; Папа с рацией ; 714 
 2918 ; 5 евро. Финляндия. 150-летие освобождения Аланских островов ; 2006 ;  ; Ж/м ; AU ; 21 ; bliznetz ; 663 
 2919 ; 1/2 кроны. Великобритания ; 1914 ;  ; Ag ; XF- ; 22 ; аулгуцул ; 1016 
 2920 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; XF+ ; 22 ; аулгуцул ; 585 
 2921 ; 1/2 кроны. Великобритания ; 1946 ;  ; Ag ; XF+ ; 18 ; аулгуцул ; 642 
 2922 ; 2 шиллинга. Великобритания ; 1941 ;  ; Ag ; AU ; 22 ; hugo ; 708 
 2923 ; 1 шиллинг. Великобритания ; 1945 ;  ; Ag ; AU ; 28 ; bob375 ; 510 
 2924 ; 1 шиллинг. Великобритания ; 1946 ;  ; Ag ; AU ; 14 ; аулгуцул ; 396 
 2925 ; 1 шиллинг. Великобритания ; 1887 ;  ; Ag ; XF+ ; 43 ; razum0610 ; 1199 
 2926 ; 1 доллар. Австралия. Год собаки ; 2006 ;  ; Ag ; AU ; 14 ; Rosomaha ; 1813 
 2927 ; 1 доллар. США ; 1886 ;  ; Ag ; XF+ ; 38 ; AstoR ; 2313 
 2928 ; 1 доллар. США ; 1889 ;  ; Ag ; VF-XF ; 25 ; 1drugov1 ; 2162 
 2929 ; 1 доллар. США ; 1921 ;  ; Ag ; XF ; 46 ; Sporti84 ; 2155 
 2930 ; 1 доллар. США ; 1922 ;  ; Ag ; XF ; 36 ; Sporti84 ; 1441 
 2931 ; 1 доллар. США ; 1923 ;  ; Ag ; XF ; 45 ; Sporti84 ; 1275 
 2932 ; 1 доллар. США ; 1926 ;  ; Ag ; XF- ; 42 ; Paradox76 ; 1339 
 2933 ; 5 долларов. Канада ; 2012 ;  ; Ag ; AU ; 13 ; SergeyAnatoljevich ; 1330 
 2934 ; 8 реалов. Мексика. Чиуауа ; 1877 ;  ; Ag ; XF ; 52 ; kont ; 2122 
 2935 ; 200 динаров. Югославия. ; 1977 ;  ; Ag ; AU ; 86 ; lui78 ; 1751 
