 251 ; Медаль В память войны 1853-1856. D-28мм ;  ;  ; Ж/м ; XF+ ; 33 ; Blister ; 4970 
 3391 ; Лот монет Финляндии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 15 ; митяй ; 320 
 3392 ; Лот монет Люксембурга: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 43 ; 2307 ; 337 
 3393 ; Лот монет Бельгии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2007, 2010, 2011 ;  ; Би/м, Cu/St,лат ; AU ; 22 ; t_v_v ; 227 
 3394 ; Лот монет Люксембурга: 2 евро (3шт) ; 2007-2009 ;  ; Би/м ; AU ; 23 ; митяй ; 398 
 3395 ; Лот монет Люксембурга, Словении, Бельгии: 2 евро (3шт) ; 2011 ;  ; Би/м ; AU ; 26 ; Sky2 ; 376 
 3396 ; Лот монет Люксембурга: 2 евро (3шт) ; 2004-2009 ;  ; Би/м ; AU ; 31 ; andreyM ; 403 
 3397 ; Лот монет Германии: 1 евро, 50,20,10,5,2,1 евроцентов (7шт) ; 2002-2011 ;  ; Cu/St, латунь ; AU ; 47 ; Aleks72 ; 228 
 3398 ; Лот монет Финляндии: 50,20,10,5,2,1 евроцентов (7шт) ; 2011 ;  ; Cu/St, латунь ; AU ; 13 ; Sky2 ; 169 
 3399 ; Лот монет Люксембурга: 5,2,1 евроцентов (3шт) ; 2011 ;  ; Cu/St ; AU ; 45 ; 2307 ; 101 
 3400 ; Лот монет США: 1 цент (2шт) ; 2010, 2010D ;  ; Cu-Zn ; AU ; 17 ; alex995 ; 24 
 3401 ; Лот монет США "Президенты": 1 доллар (5шт) ; 2009, 2011 ;  ; Латунь ; AU ; 103 ; mezenat ; 407 
 3402 ; Лот монет Израиля (5шт) ; 20 век ;  ; Al, Cu-Ni, ж/м ; VF-/VF ; 49 ; letchik91 ; 119 
 3403 ; Лот монет Финляндии (5шт) ; 1963-1998 ;  ; Cu-Ni, ж/м ; VF/VF+ ; 35 ; Умка1975 ; 62 
 3404 ; Лот монет Великобритании (12шт) ; 1971-2010 ;  ; Cu-Ni, ж/м ; VF/VF+ ; 16 ; Al0851 ; 126 
 3405 ; Лот монет Финляндии (5шт) ; 1978-1991 ;  ; Al, Cu-Ni ; VF/VF+ ; 29 ; 2262н ; 102 
 3406 ; Лот монет Финляндии (10шт) ; 1930-1965 ;  ; Cu-Ni, ж/м ; F-VF/VF ; 44 ; t_v_v ; 223 
 3407 ; Лот монет Хорватии (7шт) ; 1993-2011 ;  ; Al, Cu-Ni, ж/м ; VF+/XF+ ; 17 ; kostik_ne ; 124 
 3408 ; Лот монет Тринидад и Тобаго (5шт) ; 1975 ;  ; Cu-Ni, Cu ; Proof ; 36 ; Harlock ; 513 
 3409 ; Лот монет Чехии (4шт) ; 2002-2007 ;  ; Cu-Ni, ж/м ; VF+/XF ; 40 ; yurrgen ; 45 
 3410 ; Лот монет Кении (3шт). На одной отверстие ; 1967,1971 ;  ; Al/Br ; VF-/VF+ ; 37 ; kostik_ne ; 111 
 3411 ; Лот монет Бразилии (4шт) ; 1967,1983,1988 ;  ; Cu/Ni,St ; VF/XF ; 24 ; t_v_v ; 63 
 3412 ; Лот монет Румынии (5шт) ; 1952-1966 ;  ; Cu/Ni,Al/Br ; VF/VF+ ; 61 ; zx123 ; 107 
 3413 ; Лот монет Дании (4шт) ; 1928,1930,1936 ;  ; Cu ; VF-VF ; 14 ; vladimir-sirke ; 82 
 3414 ; Лот монет Швеции (4шт) ; 1895-1950 ;  ; Cu,Cu/Ni,Fe ; F+/VF ; 31 ; t_v_v ; 70 
 3415 ; Лот монет Германии, Австрии, Бельгии, Исландии, Нидерландов (11шт) ; 1856-1942 ;  ; Cu ; F+/F-VF ; 64 ; vfuflfy49 ; 629 
 3416 ; Лот монет Великобритании, Нидерландов, Стрейтс Сетлементс, Франции (8шт) ; 1854-1900 ;  ; Cu ; F/F+ ; 27 ; alskr ; 153 
 3417 ; Лот монет Великобритании и Британской Индии (4шт) ; 1903-1919 ;  ; Cu ; F/F-VF ; 27 ; ADD ; 55 
 3418 ; Лот монет Германии, Бельгии, Дании, Норвегии (8шт) ; 1916-1963 ;  ; Fe,Zn ; F/F+ ; 46 ; DVZ ; 277 
 3419 ; Лот монет Великобритании: 1 шиллинг, 6 пенсов (3шт) ; 1953-1963 ;  ; Cu-Ni ; VF-/VF ; 22 ; yurrgen ; 41 
 3420 ; Лот монет  США: 5 центов (5шт) ; 2004-2006 ;  ; Cu-Ni ; XF/AU ; 22 ; Халев ; 70 
 3421 ; Лот монет  США: 1/4 доллара (2шт) ; 1996 D,P ;  ; Cu-Ni ; VF/VF+ ; 34 ; demonspb ; 60 
 3422 ; Лот монет  США: 1/4 доллара (2шт) ; 1999 D,P ;  ; Cu-Ni ; VF/VF+ ; 30 ; yurrgen ; 72 
 3423 ; Лот монет  США: 1/4 доллара (2шт) ; 2000 D,P ;  ; Cu-Ni ; VF/VF+ ; 28 ; lubopitnaja ; 59 
 3424 ; Лот монет  США: 1/4 доллара (2шт) ; 2001 D,P ;  ; Cu-Ni ; VF/XF- ; 33 ; KYZIA ; 62 
 3425 ; Лот монет Испании, Италии, Франции, Нидерландов: 1 евроцент (10шт) ; 1999-2008 ;  ; Cu/St ; VF+/XF- ; 40 ; yurrgen ; 107 
 3426 ; Лот монет Германии: 1 евроцент (21шт) ; 2002-2008 ;  ; Cu/St ; VF+/XF- ; 26 ; Sky2 ; 55 
 3427 ; Лот монет Германии: 2 евроцента (9шт) ; 2002-2008 ;  ; Cu/St ; VF+/XF- ; 17 ; Sky2 ; 35 
 3328 ; 100 лир. Ватикан ; 1952 ;  ; St ; AU ; 64 ; taigist ; 155 
 3329 ; 50 пфеннигов. Германия. Нотгельд города ; 1917 ;  ; Zn ; VF ; 59 ; _1111_ ; 161 
 3330 ; 50 пфеннигов. Германия. Нотгельд города Хаген ; 1917 ;  ; Zn ; F-VF ; 39 ; patap100 ; 194 
 3331 ; 25 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; Zn ; F+ ; 18 ; dolche ; 92 
 3332 ; 10 пфеннигов. Германия. Нотгельд города Боттроп ; 1917 ;  ; Zn ; F+ ; 98 ; patap100 ; 194 
 3333 ; 10 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; Zn ; F+ ; 21 ; akliptic ; 92 
 3334 ; 10 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; Zn ; F+ ; 30 ; Скрудж ; 73 
 3335 ; 10 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; Zn ; F-VF ; 30 ; avt ; 105 
 3336 ; 10 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; Zn ; F-VF ; 10 ; Sterh ; 79 
 3337 ; 5 пфеннигов. Германия. Нотгельд города Оукенбург ; 1917 ;  ; Zn ; F+ ; 100 ; patap100 ; 197 
 3338 ; 5 пфеннигов. Германия ; 1917 ;  ; Zn ; F-VF ; 72 ; _1111_ ; 136 
 3339 ; 1/2 пенни. Токен. Англия. "Montrose" госпиталь для лечения от лунатизма ; 1799 ;  ; Cu ; VF ; 29 ; alko25 ; 781 
 3340 ; Коллекционный серебряный слиток. США. 90 лет Harley-Davidson. М-42,90гр. В буклете, с сертификатом ; 1992 ;  ; Ag999 ; Proof ; 79 ; murzik20 ; 4182 
 3341 ; 1 доллар. США. В пластикой упаковке ; 1972S ;  ; Ag ; Proof ; 37 ; Freezzzz ; 1020 
 3342 ; 1 крона. Великобритания. Юбилей 25 лет правления Елизаветы II. В пластикой упаковке ; 1977 ;  ; Cu-Ni ; AU ; 20 ; gandy ; 117 
 3343 ; 20 динаров. Югославия. Никола Тесла. В коробке, с сертификатом ; 1996 ;  ; Cu-Ni ; Unc ; 10 ; Mike! ; 320 
 3344 ; 10 лари. Грузия. 3000 лет государственной системе. В пластиковой упаковке ; 2000 ;  ; Би/м ; AU ; 15 ; vladzory ; 555 
 3345 ; 5000 динаров. Югославия. Саммит, Београд. С сертификатом ; 1989 ;  ; Cu-Ni-Zn ; XF+ ; 4 ; Ghjcnj ; 178 
 3346 ; 100 динаров. Югославия. Вук Караджич. С сертификатом ; 1987 ;  ; Cu-Ni ; AU ; 3 ; Ghjcnj ; 177 
 3347 ; 5 динаров. Югославия. Шахматная олимпиада. С сертификатом ; 1990 ;  ; Cu-Ni-Zn ; Proof ; 4 ; Mike! ; 171 
 3348 ; 1 марка. Финляндия. Упаковка ; 2001 ;  ; Cu-Ni ; Unc ; 5 ; krugerrand ; 368 
 3349 ; 1 лит. Литва. Чемпионат мира по баскетболу. В буклете ; 2011 ;  ; Cu/Ni ; Unc ; 35 ; env ; 169 
 3350 ; 50 пенсов. Великобритания. Олимпиада в Лондоне. Упаковка ; 2009 ;  ; Cu-Ni ; Unc ; 62 ; env ; 229 
 3351 ; Набор монет ОАЭ в рамке: 10шт ; 1990-2005 ;  ; Cu-Ni,Br ; VF/XF+ ; 2 ; Mike! ; 250 
 3352 ; Набор монет Болгарии: 1 лев, 50,20,10,5,2,1 стотинки (7шт). Упаковка ; 1962 ;  ; Cu-Ni,Cu-Zn ; AU ; 19 ; rem16 ; 194 
 3353 ; Набот монет США. 200 лет независимости США. 1 доллар, 1/2, 1/4 доллара. Упаковка. С сертификатом ; 1976S ;  ; Ag ; Unc ; 67 ; Harlock ; 1134 
 3354 ; Набор монгет США (6шт): 1,1/2,1/4 доллара, 1 дайм, 5,1 цент. В пластиковой капсуле ; 1980 ;  ; Cu/Ni,Cu ; Proof ; 77 ; veter 9 ; 477 
 3355 ; Набор монет США (10шт): 1/2 доллара, 5, 1 цент, 1 дайм+Жетон+1/4 доллара "Штаты" х5шт. Упаковка. С сертификатом ; 1999 ;  ; Cu/Ni,Cu/Ni в C ; Unc ; 36 ; veter 9 ; 308 
 3356 ; Набор монет Венгрии (9шт): 50,20,10,5,2,1 форинт, 50,20,10 хеллеров ; 1971-2003 ;  ; Cu/Ni,Al/Br,Al ; XF-/XF ; 44 ; Harlock ; 113 
 3357 ; Лот монет Словении: 9шт ; 1992-2005 ;  ; Al,Лат,Cu-Ni ; AU ; 17 ; 2372 ; 245 
 3358 ; Лот монет США (4шт): 5 центов ; 2005 ;  ; Cu/Ni ; AU ; 2 ; 439 ; 60 
 3359 ; Лот монет Сомали "Восточный гороскоп" (12шт) ; 2000 ;  ; St ; AU ; 78 ; Aleks72 ; 728 
 3360 ; Лот монет Норвегии, Швеции : 10 эре (3шт) ; 1973-1990 ;  ; Cu-Ni ; XF/AU ; 13 ; zamtex ; 21 
 3361 ; Лот монет Чехии (2шт) ; 1993, 1996 ;  ; Cu-Ni ; XF/XF+ ; 10 ; yurrgen ; 20 
 3362 ; Лот монет Эстонии (3шт) ; 1998-2000 ;  ; Cu-Ni, латунь ; AU ; 38 ; taigist ; 65 
 3363 ; Лот монет Испании: 5 песет (2шт) ; 1992, 1993 ;  ; латунь ; XF ; 11 ; yurrgen ; 20 
 3364 ; Лот монет США и Финлянлдии (2шт): 5 центов, 20 эвроцентов ; 1986,2002 ;  ; Cu/Ni,Лат ; VF/VF+ ; 24 ; Умка1975 ; 56 
 3365 ; Лот монет Германии (2шт): 10,5 пфеннигов ; 1940,1941 ;  ; Zn ; F+ ; 25 ; sibtec ; 95 
 3366 ; Лот монет Румынии (11шт) ; 1960-2001 ;  ; Cu/Ni,Al ; F-VF/VF- ; 31 ; vfuflfy49 ; 83 
 3367 ; Лот монет Чехии (12шт) ; 1993-2000 ;  ; Cu/Ni,Al/Br,Al ; VF-/VF+ ; 23 ; Al0851 ; 67 
 3368 ; Лот монет Венгрии (14шт) ; 1965-2005 ;  ; Cu/Ni,Al/Br,Al ; VF-/VF ; 19 ; vfuflfy49 ; 76 
 3369 ; Лот монет Бельгии (26шт) ; 1950-1991 ;  ; Cu/Ni,Al/Br,St ; VF-/XF- ; 67 ; AKsoN ; 159 
 3370 ; Лот монет Франции (50шт) ; XX  в ;  ; Cu/Ni,Al/Br ; VF-/VF-XF ; 93 ; vfuflfy49 ; 278 
 3371 ; Лот монет Кипра (5шт) ; 1991-1993 ;  ; Cu/Ni,Al/Br ; VF/VF+ ; 30 ; letchik91 ; 110 
 3372 ; Лот монет Великобритании (3шт): 1,1/2 пенни ; 1897,1921,1947 ;  ; Br ; F/F-VF ; 27 ; yurrgen ; 57 
 3373 ; Лот монет Польши и Чехословакии (5шт) ; 1923-1978 ;  ; Cu/Ni,Al ; F-VF/VF- ; 33 ; asparagus ; 55 
 3374 ; Лот монет Болгарии (6шт): 2,1 стотинка ; 1962,1974 ;  ; Al/Br ; VF-/VF ; 12 ; yurrgen ; 15 
 3375 ; Лот монет Германии (11шт) ; 1928-1965 ;  ; Cu/Ni,Al ; F/VF ; 28 ; zx123 ; 211 
 3376 ; Лот монет Востока (7шт) ; XX в ;  ; Al ; F/F+ ; 22 ; Harlock ; 151 
 3377 ; Лот монет Испании, Франции, Швеции, Греции, Венгрии, Бельгии, Италии, Великобритании, Нидерландов, Австрии, Востока (22шт) ; XX в ;  ; Cu/Ni,Al/Br,Al ; VF/VF+ ; 43 ; letchik91 ; 363 
 3278 ; 2 гривны. Украина. 125 лет Национальному Харьковскому университету ; 2010 ;  ; Cu-Ni ; AU ; 3 ; taigist ; 126 
 3279 ; 500 лева. Болгария. Атлантическая солидарность ; 1991 ;  ; Cu-Ni ; Proof ; 9 ; Harlock ; 177 
 3280 ; 50 лева. Болгария ; 1989 ;  ; Cu-Ni ; Proof ; 11 ; Harlock ; 177 
 3281 ; 50 лева. Болгария. 100 лет Гимнастике в Болгарии. С сертификатом ; 1994 ;  ; Cu-Ni ; Proof ; 9 ; krugerrand ; 153 
 3282 ; 20 лева. Болгария ; 1989 ;  ; Cu-Ni ; AU ; 4 ; Garrik 56 ; 129 
 3283 ; 5 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 7 ; vc57 ; 153 
 3284 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 4 ; Mike! ; 125 
 3285 ; 5 лева. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 144 
 3286 ; 5 лева. Болгария. Вторая международная ассамблея ; 1982 ;  ; Cu-Ni ; Proof ; 4 ; Mike! ; 125 
 3287 ; 5 лева. Болгария. 100 лет со дня рождения Владимира Димитрова ; 1982 ;  ; Cu-Ni ; Proof ; 3 ; vc57 ; 157 
 3288 ; 5 лева. Болгария. XXIII Генеральная конференция ; 1985 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 153 
 3289 ; 5 лева. Болгария. 90 лет организации туризма в Болгарии ; 1985 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 153 
 3290 ; 5 лева. Болгария. 25 лет Кремиковскому металлу ; 1988 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 153 
 3291 ; 5 лева. Болгария. 200 лет со дня рождения Васила Априлова ; 1989 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 153 
 3292 ; 2 лева. Болгария. Добри Чинтулов ; 1972 ;  ; Cu-Ni ; Proof ; 3 ; Freezzzz ; 126 
 3293 ; 2 лева. Болгария. 100 лет Апрельского восстания ; 1976 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 123 
 3294 ; 2 лева. Болгария. Первенство по футболу ; 1980 ;  ; Cu-Ni ; AU ; 4 ; nikta ; 129 
 3295 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 4 ; advokatx ; 129 
 3296 ; 2 лева. Болгария. Апрельское Оборище ; 1981 ;  ; Cu-Ni ; Proof ; 5 ; advokatx ; 132 
 3297 ; 2 лева. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 123 
 3298 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 4 ; advokatx ; 129 
 3299 ; 2 лева. Болгария. Кубок по футболу ; 1986 ;  ; Cu-Ni ; Proof ; 23 ; ML ; 193 
 3300 ; 2 лева. Болгария. XV Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 4 ; Mike! ; 125 
 3301 ; 2 лева. Болгария. Первенство по художественной гимнастике ; 1987 ;  ; Cu-Ni ; Proof ; 7 ; Mike! ; 134 
 3302 ; 2 лева. Болгария. Софийский университет. Клемент Охридски ; 1988 ;  ; Cu-Ni ; Proof ; 3 ; advokatx ; 126 
 3303 ; 2 лева. Болгария. Первенство Кану-каяк ; 1989 ;  ; Cu-Ni ; Proof ; 23 ; sev1 ; 197 
 3304 ; 1 лев. Болгария. 25 лет Социалистической революции ; 1969 ;  ; Cu-Ni ; AU ; 4 ; rem16 ; 129 
 3305 ; 1 лев. Болгария. XV Зимние Олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 3 ; rem16 ; 126 
 3306 ; 1/2 доллара. США ; 2011D ;  ; Cu-Ni ; AU ; 40 ; veter 9 ; 82 
 3307 ; 1/2 доллара. США ; 2011P ;  ; Cu-Ni ; AU ; 36 ; Ghjcnj ; 81 
 3308 ; 1/4 доллара. США. Национальный лес Маунт Худ ; 2010D ;  ; Cu-Ni ; AU ; 15 ; asparagus ; 35 
 3309 ; 1/4 доллара. США. Национальный лес Маунт Худ ; 2010P ;  ; Cu-Ni ; AU ; 19 ; yurrgen ; 31 
 3310 ; 1/4 доллара. США. Национальный парк Олимпик ; 2011D ;  ; Cu-Ni ; AU ; 24 ; KNK ; 32 
 3311 ; 1/4 доллара. США. Национальный парк Олимпик ; 2011P ;  ; Cu-Ni ; AU ; 21 ; yurrgen ; 31 
 3312 ; 1/4 доллара. США. Национальный парк Геттисберг ; 2011D ;  ; Cu-Ni ; AU ; 23 ; yurrgen ; 31 
 3313 ; 1/4 доллара. США. Национальный парк Геттисберг ; 2011P ;  ; Cu-Ni ; AU ; 31 ; asparagus ; 32 
 3314 ; 1/4 доллара. США. Национальный парк Виксбург ; 2011D ;  ; Cu-Ni ; AU ; 31 ; gord2 ; 55 
 3315 ; 1/4 доллара. США. Национальный парк Виксбург ; 2011P ;  ; Cu-Ni ; AU ; 34 ; gord2 ; 55 
 3316 ; 1/4 доллара. США. Национальный парк Глейшер ; 2011D ;  ; Cu-Ni ; AU ; 30 ; gord2 ; 55 
 3317 ; 1/4 доллара. США. Национальный парк Глейшер ; 2011P ;  ; Cu-Ni ; AU ; 28 ; SSS200 ; 32 
 3318 ; 1 пенни. Великобритания ; 1907 ;  ; Br ; F ; 17 ; Harlock ; 46 
 3319 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 22 ; KRASLAVA ; 348 
 3320 ; 3 евро. Словения. Любляна-столица книги ; 2010 ;  ; Би/м ; AU ; 20 ; Mike! ; 192 
 3321 ; 3 евро. Словения. Независимость Словении ; 2011 ;  ; Би/м ; AU ; 33 ; taigist ; 193 
 3322 ; 2 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 25 ; vc57 ; 153 
 3323 ; 20 пфеннигов. Германия. Нотгельд. Нюренберг ; ND ;  ; Al ; AU ; 77 ; patap100 ; 194 
 3324 ; 3 марки. Нотгельд ; 1921 ;  ; Al ; AU ; 201 ; _1111_ ; 1632 
 3325 ; 50 пфеннигов. Нотгельд, Ваттеншайд ; 1919 ;  ; Fe ; VF ; 34 ; patap100 ; 194 
 3326 ; 50 пфеннигов. Нотгельд, Шиллер ; 1918 ;  ; Fe ; VF ; 77 ; _1111_ ; 170 
 3327 ; 100 лир. Италия ; 1956 ;  ; St ; AU ; 27 ; asparagus ; 60 
 3228 ; 1 доллар. США ; 1972 ;  ; Cu/Ni ; XF ; 55 ; demonspb ; 131 
 3229 ; 8 доблей. Гернси ; 1959 ;  ; Br ; VF+ ; 22 ; andreyM ; 81 
 3230 ; 1/12 шиллинга. Джерси. Освобождение ; 1945 ;  ; Br ; VF-XF ; 60 ; Drill ; 153 
 3231 ; 25 сантимов. Испания. Революция ; 1937 ;  ; Cu/Ni ; VF ; 51 ; Aleks72 ; 177 
 3232 ; 10 пфеннигов. Германия ; 1917 ;  ; Zn ; F-VF ; 34 ; andreyM ; 35 
 3233 ; 1 цент. Маврикий ; 1971 ;  ; Cu ; XF+ ; 29 ; alskr ; 102 
 3234 ; 2 цента. Маврикий ; 1978 ;  ; Cu ; AU ; 51 ; Drill ; 185 
 3235 ; 5 центов. Маврикий ; 1969 ;  ; Cu ; AU ; 23 ; Drill ; 126 
 3236 ; 10 центов. Маврикий ; 1971 ;  ; Cu/Ni ; XF ; 72 ; Drill ; 122 
 3237 ; 1/4 рупии. Маврикий ; 1978 ;  ; Cu/Ni ; XF+ ; 27 ; Drill ; 84 
 3238 ; 1/2 рупии. Маврикий ; 1971 ;  ; Cu/Ni ; VF+ ; 30 ; Drill ; 110 
 3239 ; 1 рупия. Маврикий ; 1978 ;  ; Cu/Ni ; VF- ; 20 ; alskr ; 94 
 3240 ; 50 центов. Андорра. Проба ; 2003 ;  ; Ж/м ; AU ; 22 ; vladimir-sirke ; 113 
 3241 ; 10 центов. Болгария. Проба ; 2003 ;  ; Ж/м ; AU ; 19 ; vladimir-sirke ; 87 
 3242 ; 2 цента. Болгария. Проба ; 2003 ;  ; Ж/м ; AU ; 21 ; vladimir-sirke ; 87 
 3243 ; 1 цент. Болгария. Проба ; 2003 ;  ; Ж/м ; AU ; 27 ; vladimir-sirke ; 114 
 3244 ; 5 марок. ФРГ. Густав Штреземан ; 1978D ;  ; Ag ; AU ; 5 ; митяй ; 332 
 3245 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF- ; 25 ; Northman ; 96 
 3246 ; 2 злотых. Польша. Колобжег ; 2005 ;  ; Латунь ; AU ; 22 ; patap100 ; 102 
 3247 ; 2 злотых. Польша. Бжег ; 2007 ;  ; Латунь ; AU ; 27 ; Mart_11 ; 97 
 3248 ; 2 злотых. Польша. Ченстохова ; 2009 ;  ; Латунь ; AU ; 15 ; Mart_11 ; 82 
 3249 ; 2 злотых. Польша. Зофья Стриженска ; 2011 ;  ; Латунь ; AU ; 11 ; Mart_11 ; 82 
 3250 ; 2 злотых. Польша. Игнаций Ян Падеревский ; 2011 ;  ; Латунь ; AU ; 13 ; Mart_11 ; 97 
 3251 ; Торговый доллар. Великобритания ; 1906 ;  ; Ag ; VF+ ; 43 ; samurai 969 ; 2460 
 3252 ; 1 цент. США ; 1848 ;  ; Cu ; VF- ; 26 ; gabbels ; 1020 
 3253 ; 2 лари. Грузия. УЕФА ; 2006 ;  ; Cu-Ni ; Proof ; 13 ; nikta ; 365 
 3254 ; 5 марок. ФРГ. 500 лет со дня рождения Альбрехта Дюрера ; 1971D ;  ; Ag ; XF+ ; 26 ; 206811 ; 587 
 3255 ; 5 марок. ФРГ. 125 лет Франкфуртскому парламенту ; 1973G ;  ; Ag ; AU ; 22 ; westof ; 648 
 3256 ; 5 марок. ФРГ. 25 лет Конституционному закону ; 1974F ;  ; Ag ; AU ; 18 ; westof ; 570 
 3257 ; 5 марок. ФРГ. Год защиты Европейских памятников ; 1975F ;  ; Ag ; AU ; 28 ; 206811 ; 672 
 3258 ; 50 пфеннигов. Германия. 3-й рейх ; 1939A ;  ; Ni ; F ; 10 ; sidr ; 603 
 3259 ; 2 лева. Болгария ; 1891 ;  ; Ag ; VF+ ; 28 ; Ley ; 639 
 3260 ; 1 лев. Болгария ; 1912 ;  ; Ag ; VF-XF ; 32 ; Ley ; 362 
 3261 ; 2 динара. Сербия ; 1904 ;  ; Ag ; VF+ ; 19 ; krugerrand ; 609 
 3262 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; VF+ ; 6 ; kotyamoi ; 165 
 3263 ; 25 пфеннигов. Германия. Нотгельд. Мюнстер ; 1917 ;  ; Zn ; VF ; 4 ; Скрудж ; 161 
 3264 ; 25 пфеннигов. Германия. Нотгельд. Мюнстер ; 1917 ;  ; Zn ; VF- ; 3 ; Скрудж ; 157 
 3265 ; 10 пфеннигов. Германия. Нотгельд. Кассель ; 1917 ;  ; Zn ; F-VF ; 4 ; andreyM ; 134 
 3266 ; 10 пфеннигов. Германия. Нотгельд. Франкфурт на Майне. Отверстие ; 1917 ;  ; Zn ; F-VF ; 1 ; Mike! ; 133 
 3267 ; 10 пфеннигов. Германия. Нотгельд. Мюнстер ; 1918 ;  ; Fe ; VF- ; 4 ; Скрудж ; 139 
 3268 ; 3 марки. Веймар ; 1922J ;  ; Al ; VF ; 19 ; westof ; 133 
 3269 ; 1/100 марки. Гамбург ; 1923 ;  ; Al ; VF ; 11 ; riga1979 ; 271 
 3270 ; 1 пфенниг. Пруссия ; 1853A ;  ; Cu ; VF ; 17 ; micha375 ; 211 
 3271 ; 50 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF+ ; 9 ; Lena6975 ; 101 
 3272 ; 5 лева. Болгария. Крум ; 1930 ;  ; Cu-Ni ; VF ; 19 ; yurrgen ; 94 
 3273 ; 20 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF ; 1 ; Mike! ; 77 
 3274 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF+ ; 2 ; Mike! ; 55 
 3275 ; 10 прут. Израиль ; 1949 ;  ; Br ; VF ; 6 ; Mike! ; 111 
 3276 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 3 ; BAG ; 157 
 3277 ; 2 гривны. Украина. Василий Стус ; 2008 ;  ; Cu-Ni ; Proof ; 23 ; vladzory ; 197 
 3178 ; 1/4 доллара. США. Национальный парк Олимпик ; 2011P ;  ; Cu-Ni ; AU ; 21 ; yurrgen ; 51 
 3179 ; 1/4 доллара. США. Национальный парк Виксбург ; 2011D ;  ; Cu-Ni ; AU ; 14 ; yurrgen ; 44 
 3180 ; 1/4 доллара. США. Национальный парк Геттисберг ; 2011P ;  ; Cu-Ni ; AU ; 14 ; yurrgen ; 51 
 3181 ; 1/2 песо. Доминиканская Республика ; 1897 ;  ; Ag ; F+ ; 39 ; von_Schwarz ; 414 
 3182 ; 1 песо. Доминиканская Республика ; 1897 ;  ; Ag ; F-VF ; 55 ; ВЯЗ ; 1592 
 3183 ; 2 лиры. Ватикан, Папская область ; 1867 ;  ; Ag ; VG ; 59 ; Dahan ; 389 
 3184 ; 1 лира. Ватикан, Папская область ; 1866 ;  ; Ag ; F+ ; 90 ; alexnn ; 312 
 3185 ; 10 сольди.  Ватикан, Папская область ; 1868 ;  ; Ag ; F+ ; 57 ; alexnn ; 355 
 3186 ; 4 1/2 пиастра. Английский Кипр, Виктория ; 1901 ;  ; Ag ; VG ; 37 ; jj ; 279 
 3187 ; 50 сентаво. Испанские Филиппины, Альфонс XII ; 1885 ;  ; Ag ; VF+ ; 30 ; alexnn ; 396 
 3188 ; 1/2 байочи. Ватикан, Папская область ; 1850 ;  ; Cu ; F-VF ; 53 ; riga1979 ; 252 
 3189 ; 1 байочи. Ватикан, Папская область ; 1851 ;  ; Cu ; F-VF ; 61 ; riga1979 ; 395 
 3190 ; 1/12 реала. Республика Парагвай. Деформация ; 1845 ;  ; Cu ; F ; 22 ; Dahan ; 161 
 3191 ; 1/8 танги. Португальская Индия, Людовик I ; 1881 ;  ; Cu ; VF- ; 54 ; AnvlaSar6216 ; 291 
 3192 ; 1/4 танги. Португальская Индия, Людовик I ; 1886 ;  ; Cu ; F-VF ; 52 ; shest ; 227 
 3193 ; 1 марка. Финляндия ; 1922 ;  ; Cu/Ni ; VF-XF ; 26 ; pvg ; 260 
