 3652 ; 100 рублей ; 1991 ; билет ;  ;  ; 54 ; andreykag ; 169 
 2376 ; 1 лиард с надчеканом. Испанские Нидерланды. Брабант. Карл VI ; 1714 ;  ; Cu ; F-VF ; 63 ; чусер ; 356 
 2377 ; 2 соля. Французская колония. Гайяна. Людовик XVI ; 1782А ;  ; Биллон ; VF ; 62 ; kont ; 1562 
 2378 ; 1/2 дуита. Нидерландская Индия. VOC. Провинция Голландия ; 1770 ;  ; Cu ; F-VF ; 30 ; caterpi ; 238 
 2379 ; Мангир. Крым. Шахин-Гирей ; 1191лх (1777) ;  ; Cu ; F-VF ; 47 ; monetka555 ; 194 
 2380 ; 120 рейс. Португальская колония. Азорские острова. Надчекан 2 типа "Crowned GP" 1887г. Чекан на 80 рейсах Португалии Жоао V. Отверстие ; ND ;  ; Ag ; F+ ; 49 ; AndrCh58 ; 500 
 2281 ; 10 рупий. Индия. Махатма Ганди ; 1948 ;  ; Ag ; AU ; 53 ; кузнецов ; 1034 
 2282 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; XF ; 23 ; Инвестор ; 138 
 2283 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; AU ; 19 ; кузнецов ; 142 
 2284 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; AU ; 49 ; ganza ; 148 
 2285 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; AU ; 39 ; hugo ; 151 
 2286 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; XF ; 56 ; ganza ; 75 
 2287 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; XF+ ; 16 ; ganza ; 98 
 2288 ; 5 шиллингов. Австрия ; 1962 ;  ; Ag ; XF+ ; 14 ; krugerrand ; 95 
 2289 ; 5 шиллингов. Австрия ; 1968 ;  ; Ag ; AU ; 11 ; krugerrand ; 96 
 2290 ; 1 корона. Австрия ; 1912 ;  ; Ag ; XF+ ; 71 ; ganza ; 153 
 2291 ; 1 корона. Австрия ; 1914 ;  ; Ag ; AU ; 76 ; uuu ; 170 
 2292 ; 1 корона. Австрия ; 1915 ;  ; Ag ; AU ; 46 ; ganza ; 153 
 2293 ; 1 корона. Австрия ; 1916 ;  ; Ag ; AU ; 78 ; Инвестор ; 204 
 2294 ; 5 лир. Италия ; 1930 ;  ; Ag ; XF- ; 50 ; uuu ; 388 
 2295 ; 10 центов. Нидерланды ; 1895 ;  ; Ag ; VF-XF ; 47 ; ИЮМов1 ; 275 
 2296 ; 1 дайм. США ; 1929 ;  ; Ag ; XF+ ; 11 ; Alexpan ; 141 
 2297 ; 1 дайм. США ; 1941 ;  ; Ag ; VF-XF ; 40 ; Brabus ; 151 
 2298 ; 1 дайм. США ; 1942 ;  ; Ag ; XF ; 57 ; Gold_42 ; 124 
 2299 ; 1 дайм. США ; 1943 ;  ; Ag ; XF ; 31 ; Alexpan ; 134 
 2300 ; 1 дайм. США ; 1945 ;  ; Ag ; XF- ; 34 ; ganza ; 101 
 2301 ; 1/2 кроны. Великобритания ; 1949 ;  ; Cu/Ni ; XF ; 19 ; Рыба ; 363 
 2302 ; 10 драхм. Греция ; 1973 ;  ; Cu/Ni ; AU ; 44 ; dsp ; 189 
 2303 ; 20 франков. Французская Полинезия ; 1967 ;  ; Cu/Ni ; XF+ ; 51 ; kostya12.04.1994 ; 140 
 2304 ; 10 франков. Французская Полинезия ; 1967 ;  ; Cu/Ni ; AU ; 50 ; vb96 ; 119 
 2305 ; 1/192 риксдоллара. Цейлон ; 1802 ;  ; Cu ; VF- ; 83 ; klaid ; 1850 
 2306 ; 1 дуит. Нидерландская Восточная Индия ; 1736 ;  ; Cu ; F-VF ; 46 ; АРУС ; 221 
 2307 ; 1 дуит. Нидерландская Восточная Индия, Западная Фрисландия ; 1756 ;  ; Cu ; F-VF ; 19 ; shest ; 159 
 2308 ; 1 дуит. Нидерландская Восточная Индия, Зеландия ; 1786 ;  ; Cu ; VF- ; 28 ; shest ; 230 
 2309 ; 1/2 дуита. Нидерландская Восточная Индия, Утрехт ; 1757 ;  ; Cu ; F-VF ; 25 ; shest ; 230 
 2310 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 25 ; Smit ; 67 
 2311 ; 5 фунтов. Великобритания. В память Дианы - Принцессы Уэльской ; 1999 ;  ; Cu-Ni ; AU ; 78 ; kwacha_dm ; 499 
 2312 ; 20 марок. ГДР. Бранденбургские ворота ; 1990А ;  ; Ag ; Unc ; 29 ; 009 ; 667 
 2313 ; 1 лит. Литва ; 1925 ;  ; Ag ; XF+ ; 84 ; dsp ; 459 
 2314 ; 1 крона. Великобритания.  На коронацию ; 1953 ;  ; Cu-Ni ; AU ; 54 ; gors ; 291 
 2315 ; 25 новых пенсов. Великобритания. На бракосочетание Принца Чарльза и леди Дианы Спенсер ; 1981 ;  ; Cu-Ni ; AU ; 47 ; kostya12.04.1994 ; 220 
 2316 ; 2 марки. ГДР ; 1982А ;  ; Al ; AU ; 56 ; ZOLTAN333 ; 129 
 2317 ; 10 пфеннигов. ГДР ; 1953Е ;  ; Al ; VF+ ; 20 ; alskr ; 58 
 2318 ; 50 пфеннигов. ГДР ; 1950А ;  ; Al/Br ; XF ; 44 ; nik23455 ; 206 
 2319 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; AU ; 35 ; 2372 ; 102 
 2320 ; 10 марок. ГДР. Бухенвальд ; 1972A ;  ; Cu-Ni ; AU ; 31 ; lomaster75 ; 118 
 2321 ; 10 марок. ГДР. Фестиваль молодежи и студентов в Берлине ; 1973A ;  ; Cu-Ni ; AU ; 34 ; Опятор ; 108 
 2322 ; 10 марок. ГДР. 25 лет ГДР ; 1974A ;  ; Cu-Ni ; XF ; 26 ; zid200 ; 86 
 2323 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975A ;  ; Cu-Ni ; AU ; 37 ; Rober ; 175 
 2324 ; 10 марок. ГДР. 20 лет Национальной народной армии ; 1976A ;  ; Cu-Ni ; AU ; 49 ; alskr ; 172 
 2325 ; 10 марок. ГДР. 25 лет Национальной народной армии ; 1981A ;  ; Cu-Ni ; AU ; 42 ; Poiuyt ; 153 
 2326 ; 10 марок. ГДР. Эрнст Тельманн ; 1986A ;  ; Cu-Ni ; AU ; 60 ; sina ; 188 
 2327 ; 10 марок. ГДР. Спорт ГДР ; 1988A ;  ; Cu-Ni ; AU ; 36 ; alskr ; 167 
 2328 ; 10 марок. ГДР. 40 лет ГДР ; 1989A ;  ; Cu-Ni ; AU ; 37 ; alskr ; 306 
 2329 ; 10 марок. ГДР. 40 лет СЭВ ; 1989A ;  ; Cu-Ni ; AU ; 50 ; Майкл ; 765 
 2330 ; 10 марок. ГДР. 100 лет 1 мая ; 1990A ;  ; Cu-Ni ; AU ; 37 ; alskr ; 145 
 2231 ; 10 крон. Дания. М-4,48гр ; 1909 ;  ; Au ; AU ; 18 ; av ; 6243 
 2232 ; 1 дукат. Чехословакия. 5 лет Республике. М-3,49гр ; 1923 ;  ; Au ; AU ; 92 ; варяг2004 ; 7730 
 2233 ; 2 песо. Мексика. М-1,66гр ; 1920 ;  ; Au ; XF+ ; 35 ; Иа-Иа ; 3002 
 2234 ; 1/2 эскудо. Испания. М-1,67г. Отверстие 12 часов ; 1788 ;  ; Au ; F-VF ; 86 ; aviator ; 1879 
 2235 ; 100 долларов. Тувалу. 40 лет корнации. М-7,77гр ; 1993 ;  ; Au ; Proof ; 25 ; aluar ; 7806 
 2236 ; 25 лири. Мальта. Вступление в Европейский союз. М-3,99гр ; 2004 ;  ; Au ; Proof ; 45 ; aluar ; 4799 
 2237 ; 1 марка. Финляндия. М-8,64гр ; 2001 ;  ; Au ; Proof ; 23 ; СВл ; 10199 
 2238 ; 1/4 крюгерранда. Южная Африка. М-8,48гр ; 2005 ;  ; Au ; Proof ; 27 ; Dr.Goodwin ; 10510 
 2239 ; 4 доллара. Австралия. Чемпионат мира по футболу в Германии. М-1,24гр ; 2006 ;  ; Au ; Proof ; 41 ; nikta ; 1863 
 2240 ; 25 долларов. Острова Кука. Олимпийские игры 1996г. М-6,22гр ; 1995 ;  ; Au ; Proof ; 29 ; aluar ; 7142 
 2241 ; 100 франков. Джибути. Олимпийские игры 2000г. М-3,11гр ; 1999 ;  ; Au ; Proof ; 90 ; al_ser ; 4089 
 2242 ; 50 вату. Вануату. Олимпийские игры 2000г. М-3,11гр ; 1999 ;  ; Au ; Proof ; 15 ; nikta ; 3910 
 2243 ; 15 долларов. Австралия.Упаковка. М-3,11гр ; 1987 ;  ; Au ; Unc ; 11 ; b509 ; 4437 
 2244 ; 10 рублей. Белоруссия. Балет. М-1,24гр ; 2006 ;  ; Au ; Proof ; 60 ; Иа-Иа ; 1710 
 2245 ; 2 скуди. Сан-Марино. М-6,45г. В коробке, с сертификатом ; 2004 ;  ; Au ; Proof ; 16 ; SOS ; 7652 
 2246 ; 2 талера (3-1/2 гульдена). Брауншвейг-Вольфенбюттель ; 1851В ;  ; Ag ; XF ; 90 ; Георг ; 14578 
 2247 ; 2 талера (3-1/2 гульдена). Франкфурт на Майне ; 1862 ;  ; Ag ; VF-XF ; 75 ; purr ; 4256 
 2248 ; Талер. Австрия. Мария Терезия. Новодел ; 1780 ;  ; Ag ; VF-XF ; 70 ; monetka555 ; 567 
 2249 ; Талер. Ганновер ; 1841А ;  ; Ag ; VF+ ; 52 ; джокер ; 2040 
 2250 ; Талер. Ганновер ; 1848B ;  ; Ag ; XF+ ; 51 ; 009 ; 4647 
 2251 ; 5 марок. Пруссия ; 1876С ;  ; Ag ; F-VF/VF- ; 25 ; ramik321 ; 1145 
 2252 ; 5 марок. Бавария. 90 лет принцу-регенту Луитпольду ; 1911 ;  ; Ag ; AU ; 51 ; суслик ; 4600 
 2253 ; 5 марок. Германия ; 1934 ;  ; Ag ; VF+ ; 13 ; ramik321 ; 400 
 2254 ; 5 марок. Германия. Пауль фон Гинденбург ; 1935А ;  ; Ag ; VF-XF ; 15 ; ramik321 ; 373 
 2255 ; 5 марок. Германия. Пауль фон Гинденбург ; 1935F ;  ; Ag ; VF-XF ; 22 ; ramik321 ; 395 
 2256 ; 5 марок. Германия ; 1935G ;  ; Ag ; VF+ ; 15 ; kiks ; 374 
 2257 ; 5 марок. Германия ; 1935J ;  ; Ag ; VF+ ; 30 ; FED ; 737 
 2258 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936А ;  ; Ag ; XF ; 32 ; delf ; 512 
 2259 ; 5 марок. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 19 ; }|{ивотное ; 446 
 2260 ; 3 марки. Пруссия ; 1912А ;  ; Ag ; VF-XF ; 16 ; delf ; 550 
 2261 ; 3 марки. Пруссия. 25 лет правления ; 1913А ;  ; Ag ; VF-XF ; 65 ; Rober ; 878 
 2262 ; 3 марки. Веймар. 100 лет со дня смерти Гете ; 1932D ;  ; Ag ; Proof ; 58 ; К215 ; 3853 
 2263 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 92 ; mongol ; 1469 
 2264 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; XF ; 65 ; Gold_42 ; 296 
 2265 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; XF ; 25 ; кузнецов ; 211 
 2266 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937E ;  ; Ag ; VF-XF ; 22 ; brabus777 ; 204 
 2267 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938D ;  ; Ag ; VF ; 23 ; vitapool ; 206 
 2268 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938F ;  ; Ag ; XF ; 33 ; кузнецов ; 236 
 2269 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938G ;  ; Ag ; VF-XF ; 9 ; Инвестор ; 200 
 2270 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939А ;  ; Ag ; XF ; 22 ; кузнецов ; 219 
 2271 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939B ;  ; Ag ; XF+ ; 48 ; hugo ; 347 
 2272 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939D ;  ; Ag ; XF- ; 20 ; кузнецов ; 224 
 2273 ; 2 1/2 зильбергрош. Пруссия, Фридрих Вильгельм IV (1840-1861) ; 1843А ;  ; Ag ; VF- ; 17 ; сергей1234 ; 246 
 2274 ; 1 зильбергрош. Германия, Гессен-Кассель, Фридрих Вильгельм (1847-1866) ; 1865 ;  ; Ag ; VF+ ; 32 ; чусер ; 375 
 2275 ; 1 новый грош (10 пфеннигов). Саксония, Иоган (1854-1873) ; 1870В ;  ; Ag ; XF- ; 29 ; XO ; 412 
 2276 ; 1 грош. Ганновер, Георг V (1851-1866) ; 1866В ;  ; Ag ; VF ; 30 ; нумизмат ; 510 
 2277 ; 1/2 гроша. Ганновер, Георг V (1851-1866) ; 1858В ;  ; Ag ; VF ; 11 ; XO ; 314 
 2278 ; 6 пфеннигов. Ганновер, Георг V (1851-1866) ; 1855В ;  ; Ag ; VF+ ; 20 ; Буратино ; 357 
 2279 ; 1 крейцер. Германия, Саксен-Мейнинген. Бернхард (1803-1866) ; 1864 ;  ; Ag ; VF ; 22 ; XO ; 412 
 2280 ; 2 1/2 гульдена. Нидерланды ; 1939 ;  ; Ag ; AU ; 37 ; кузнецов ; 828 
 2165 ; Годовой набор монет "50 лет Советской": 1 рубль, 50,20,15,10 коп (5шт) + жетон. Упаковка ; 1967ЛМД ;  ; Cu-Ni,Cu-Z ; AU ; 44 ; alnov ; 1019 
 2166 ; Набор монет СССР (9шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к. Упаковка нарушена ; 1967 ;  ; Cu/Ni,Cu/Z ; AU ; 35 ; Gell13 ; 1689 
 2167 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ЛМД. Упаковка нарушена ; 1968 ;  ; Cu/Ni,Cu/Z ; AU ; 33 ; Gell13 ; 1685 
 2168 ; Годовой набор СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт) + 2 жетона. Пластиковая упаковка ; 1977ЛМД ;  ; Cu-Ni,Cu-Z ; Unc/AU ; 26 ; Майкл ; 867 
 2169 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ЛМД. Упаковка ; 1989 ;  ; Cu/Ni,Cu/Z ; Unc/AU ; 25 ; Gell13 ; 691 
 2170 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ММД. Упаковка ; 1989 ;  ; Cu/Ni,Cu/Z ; Unc/AU ; 5 ; Gell13 ; 663 
 2171 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ММД. Упаковка ; 1990 ;  ; Cu/Ni,Cu/Z ; Unc/AU ; 32 ; qaz21qaz ; 614 
 2172 ; Набор монет СССР (10шт): 1р,50к,20к,15к,10к,5к,3к,2к,1к+Жетон ЛМД. В пластиковой капсуле ; 1991 ;  ; Cu/Ni,Cu/Z ; AU ; 26 ; Tonyxxx82 ; 740 
 2173 ; Набор разменных монет (8шт): 5р,2р,1р,50к,10к,5к,1к+Жетон СПМД. Магнитные. Упаковка ; 2009 ;  ; Мельхиор/S ; Unc ; 26 ; logotype ; 724 
 2174 ; Лот юбилейных монет СССР(12шт): 1 рубль ; 1977-1990 ;  ; Cu-Ni ; AU ; 36 ; jimmysu ; 506 
 2175 ; Лот юбилейных монет СССР(11шт): 1 рубль ; 1983-1988 ;  ; Cu-Ni ; AU ; 30 ; себер ; 461 
 2176 ; Лот монет России (50 лет Советской власти и 100 лет со дня рождения Ленина): 1 рубль (4шт) ; 1967,1970 ;  ; Cu-Ni ; VF/VF-XF ; 16 ; SERG53 ; 23 
 2177 ; Лот монет СССР (4шт): 3 шт Юбилейные 1 р +1р 1964г ; 1964-1970 ;  ; Cu-Ni ; VF/XF ; 14 ; vovank29 ; 200 
 2178 ; Лот монет СССР (3шт): 50,20,15 копеек. На всех монетах отверстия ; 1922-1927 ;  ; Ag ; F-VF ; 25 ; Опятор ; 208 
 2179 ; Лот монет СССР (7шт): 20 копеек (Л/с шт 3копейки) ; 1980-1986 ;  ; Cu-Ni ; VF-XF/XF ; 61 ; vborisevich1 ; 281 
 2180 ; Лот монет СССР (6шт): 3 копейки (Л/с шт 20 копеек) ; 1982-1987 ;  ; Cu-Zn ; VF/XF- ; 15 ; vborisevich1 ; 82 
 2181 ; Лот монет СССР: 20,15 коп (6шт) ; 1931-1933 ;  ; Ni ; VF-/VF+ ; 50 ; BVN-2 ; 210 
 2182 ; Лот монет СССР: 20 копеек (6шт) ; 1932-1957 ;  ; Ni ; VF/VF-XF ; 7 ; Levin1978 ; 306 
 2183 ; Лот монет СССР: 20 копеек (12шт) ; 1946-1957 ;  ; Ni ; VF-/VF+ ; 26 ; alex2209 ; 144 
 2184 ; Лот монет СССР: 20 копеек (14шт) ; 1946-1957 ;  ; Ni ; VF-/VF ; 22 ; alex2209 ; 161 
 2185 ; Лот монет СССР: 20,15,10 коп (11шт) ; 1957-1991 ;  ; Ni,Cu-Ni ; XF/AU ; 49 ; 439 ; 57 
 2186 ; Лот монет СССР: 15 копеек (4шт) ; 1931-1957 ;  ; Ni ; VF/VFF+ ; 17 ; Дак ; 255 
 2187 ; Лот монет СССР: 10 копеек (15шт) ; 1949-1957 ;  ; Ni ; VF/VF-XF ; 24 ; asdtyu ; 157 
 2188 ; Лот монет СССР: 10 копеек (6шт) ; 1956-1980 ;  ; Ni, Cu-Ni ; VF/XF ; 1 ; alex550 ; 100 
 2189 ; Лот монет СССР (22шт): 5 копеек ; 1926-1957 ;  ; Br ; F/F+ ; 18 ; vovank29 ; 500 
 2190 ; Лот монет СССР (10шт): 5 копеек ; 1928-1950 ;  ; Br ; VF/VF+ ; 147 ; Levin1978 ; 3500 
 2191 ; Лот монет СССР: 5 копеек (4шт) ; 1930-1991 ;  ; Br, Cu-Zn ; VF-/XF ; 10 ; Levin1978 ; 300 
 2192 ; Лот монет СССР (7шт): 5 копеек ; 1948-1957 ;  ; Br ; VF/VF-XF ; 45 ; Danila-56 ; 352 
 2193 ; Лот монет СССР: 3 копейки (3шт) ; 1928, 1941, 1954 ;  ; Br ; VF/VF+ ; 55 ; Levin1978 ; 800 
 2194 ; Лот монет СССР (10шт): 3 копейки ; 1928-1956 ;  ; Br ; VF/VF+ ; 133 ; kvm ; 2346 
 2195 ; Лот монет СССР (10шт): 2 копейки ; 1926-1954 ;  ; Br ; VF-/VF+ ; 117 ; Iskatel ; 601 
 2196 ; Лот монет СССР (5шт): 1 копейка ; 1929-1953 ;  ; Br ; VF/VF-XF ; 92 ; Levin1978 ; 1000 
 2197 ; Лот монет СССР: 1 коп (5шт) ; 1986-1991 ;  ; Cu-Zn ; AU ; 9 ; BVN-2 ; 10 
 2198 ; Лот монет СССР: 1 коп (5шт) ; 1991 ;  ; Cu-Zn ; AU ; 4 ; BVN-2 ; 4 
 2199 ; Лот монет СССР: 20,10, 5, 1 руб, 50 копеек (9шт) ; 1991, 1992 ;  ; Cu-Ni, би/ ; AU ; 28 ; SERG53 ; 33 
 2200 ; Лот монет СССР и Банка России: 100,50,20,10,5,1 руб, 50,10 коп (11шт) ; 1991-1992 ;  ; Би/м,Cu-Ni ; AU ; 31 ; yadu ; 82 
 2201 ; Лот монет Банка России (2шт): 5 рублей. Магнитные ; 2009,2010СПМД ;  ; Б/м ; AU ; 68 ; logotype ; 151 
 2202 ; Лот монет Банка России (9шт): 10 рублей+2р Гагарин ; 2000-2005 ;  ; Би/м, Cu/N ; XF-/XF+ ; 21 ; jimmysu ; 150 
 2203 ; Лот монет Банка России (3шт) : 10 рублей (Ненецкий АО, Брянск, Юрьевец) ; 2010, СПМД ;  ; Би/м ; AU ; 48 ; КЛЯЧА ; 156 
 2204 ; Лот монет Банка России (4шт) : 10 рублей (Приозерск, Белгород, Республика Колмыкия) ; 2006-2009СПМД ;  ; Би/м ; AU ; 35 ; wadim.lbt ; 89 
 2205 ; Лот монет Банка России (3шт) : 10 рублей (Гдов, Приозерск, Азов) ; 2007-2008СПМД ;  ; Би/м ; AU ; 32 ; ask ; 102 
 2206 ; Лот монет Банка России (3шт) : 10 рублей (Гдов, Приозерск, Великий Устюг) ; 2007-2008СПМД ;  ; Би/м ; AU ; 46 ; yadu ; 189 
 2207 ; Лот жетонов (7шт) ;  ;  ; Ж/м, Б/м ; VF-/VF+ ; 28 ; ramik321 ; 59 
 2224 ; Соверен. Великобритания. М-7,98г ; 1958 ;  ; Au ; AU ; 20 ; gors ; 10199 
 2225 ; Соверен. Великобритания. М-7,98г ; 1963 ;  ; Au ; AU ; 25 ; gors ; 11042 
 2226 ; 20 крон. Швеция. М-8,96гр ; 1880 ;  ; Au ; AU ; 9 ; toto ; 13005 
 2227 ; 10 крон. Швеция. М-4,48гр ; 1894 ;  ; Au ; XF/AU ; 11 ; Fragle ; 6259 
 2228 ; 8 форинтов/20 франков. Венгрия. М-6,43гр ; 1886 ;  ; Au ; XF ; 15 ; SOS ; 7961 
 2229 ; 10 песо. Чили. М-5,99гр ; 1896 ;  ; Au ; XF ; 32 ; Иа-Иа ; 7729 
 2230 ; 10 корон. Австрия. 60 лет правления. М-3,38гр ; 1908 ;  ; Au ; XF/AU ; 65 ; shais1 ; 4770 
 2115 ; 5 копеек ; 1974 ;  ; Cu-Zn ; AU ; 15 ; tehnadzor ; 65 
 2116 ; 5 копеек ; 1975 ;  ; Cu-Zn ; AU ; 11 ; bgb007 ; 174 
 2117 ; 5 копеек ; 1976 ;  ; Cu-Zn ; AU ; 24 ; logotype ; 84 
 2118 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; VF-XF ; 6 ; Bagdan ; 7 
 2119 ; 15 копеек ; 1955 ;  ; Ni ; VF+ ; 11 ; asdtyu ; 11 
 2120 ; 10 копеек ; 1955 ;  ; Ni ; VF+ ; 5 ; KA-19 ; 6 
 2121 ; 3 копейки ; 1929 ;  ; Br ; VF ; 50 ; Lynx-a ; 90 
 2122 ; 3 копейки ; 1930 ;  ; Br ; VF ; 41 ; elac ; 40 
 2123 ; 2 копейки ; 1952 ;  ; Br ; VF+ ; 14 ; cotangens ; 15 
 2124 ; 1 копейка ; 1946 ;  ; Br ; VF+ ; 16 ; eat56 ; 16 
 2125 ; 50 копеек ; 1974 ;  ; Cu-Ni ; XF ; 24 ; FVA567 ; 99 
 2126 ; 50 копеек ; 1978 ;  ; Cu-Ni ; XF- ; 17 ; acidorov ; 90 
 2127 ; 20 копеек ; 1953 ;  ; Ni ; F-VF ; 10 ; страус ; 11 
 2128 ; 3 копейки ; 1946 ;  ; Br ; F-VF ; 2 ; страус ; 3 
 2129 ; 5 копеек ; 1935 ;  ; Br ; F ; 103 ; zid200 ; 1157 
 2130 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 14 ; solder13 ; 153 
 2131 ; 1 рубль ; 1964 ;  ; Cu-Ni ; XF+ ; 20 ; sergey8 ; 65 
 2132 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF-XF ; 50 ; sergey8 ; 81 
 2133 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 44 ; Tonyxxx82 ; 125 
 2134 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 20 ; ant70 ; 183 
 2135 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 43 ; ant70 ; 173 
 2136 ; 50 копеек ; 1991 ; ЛМД ; Cu-Ni ; AU ; 29 ; kvm ; 101 
 2137 ; 20 копеек ; 1939 ;  ; Ni ; VF+ ; 20 ; alex2209 ; 126 
 2138 ; 20 копеек ; 1955 ;  ; Ni ; AU ; 38 ; Levin1978 ; 114 
 2139 ; 20 копеек ; 1956 ;  ; Ni ; AU ; 51 ; alex2209 ; 57 
 2140 ; 20 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 7 ; alex2209 ; 15 
 2141 ; 10 копеек ; 1955 ;  ; Ni ; AU ; 35 ; andreykag ; 25 
 2142 ; 10 копеек ; 1957 ; В венке герба 15 лент ; Ni ; AU ; 12 ; alex2209 ; 69 
 2143 ; 1 копейка ; 1949 ;  ; Br ; AU ; 60 ; asdtyu ; 90 
 2144 ; 100 рублей ; 1992 ; ММД Биметалл ; Cu-Ni/Cu-Z ; XF/AU ; 77 ; kostian ; 500 
 2145 ; 5 рублей. Красная книга. Рыбный филин ; 1991ЛМД ;  ; Би/м ; AU ; 43 ; mr.kola ; 272 
 2146 ; 5 рублей. Красная книга. Виноторогий козел ; 1991ЛМД ;  ; Би/м ; AU ; 105 ; mr.kola ; 1058 
 2147 ; 10 рублей. Красная книга. Краснозобая казарка - ; 1992ЛМД ;  ; Би/м ; AU ; 54 ; mr.kola ; 1041 
 2148 ; 10 рублей. Красная книга. Среднеазиатская кобра ; 1992ЛМД ;  ; Би/м ; AU ; 28 ; mr.kola ; 483 
 2149 ; 10 рублей. Красная книга. Амурский тигр ; 1992ЛМД ;  ; Би/м ; AU ; 26 ; mr.kola ; 832 
 2150 ; 50 рублей. Красная книга. Туркменский зублефар ; 1993ЛМД ;  ; Би/м ; AU ; 61 ; mr.kola ; 261 
 2151 ; 50 рублей. Красная книга. Черноморская афалина ; 1993ЛМД ;  ; Би/м ; AU ; 50 ; маркел ; 1020 
 2152 ; 50 рублей. Красная книга. Дальневосточный аист ; 1993ЛМД ;  ; Би/м ; XF/AU ; 44 ; mr.kola ; 275 
 2153 ; 50 рублей. Красная книга. Гималайский медведь ; 1993ЛМД ;  ; Би/м ; AU ; 28 ; mr.kola ; 278 
 2154 ; 50 рублей. Красная книга. Кавказский тетерев ; 1993ЛМД ;  ; Би/м ; AU ; 24 ; mr.kola ; 266 
 2155 ; 50 рублей. Красная книга. Сапсан ; 1994ЛМД ;  ; Би/м ; AU ; 61 ; mr.kola ; 1122 
 2156 ; 50 рублей. Красная книга. Зубр ; 1994ЛМД ;  ; Би/м ; AU ; 35 ; маркел ; 1301 
 2157 ; 50 рублей. Красная книга. Фламинго ; 1994ЛМД ;  ; Би/м ; AU ; 35 ; Artemon ; 810 
 2158 ; 50 рублей. Красная книга. Песчаный слепыш ; 1994ЛМД ;  ; Би/м ; AU ; 96 ; mr.kola ; 1062 
 2159 ; 5 рублей. Рыбный филин ; 1991ЛМД ;  ; Би/м ; AU ; 65 ; маркел ; 213 
 2160 ; Жетон 10. Шпицберген. Подъем подлодки "Курск" ; 2001СПМД ;  ; Б/м ; Proof ; 49 ; лаер417 ; 1381 
 2161 ; Разменный знак 10. шпицберген. Кончина папы Иоанна Павла II ; 2005СПМД ;  ; Б/м ; Proof ; 61 ; Gell13 ; 1122 
 2162 ; Жетон. ЛМД. Упаковка ;  ;  ; Al ; Unc/AU ; 33 ; Brabus ; 61 
 2163 ; Жетон. ЛМД. Упаковка ;  ;  ; Cu-Zn ; AU ; 20 ; brabus777 ; 38 
 2164 ; 1 рубль. Пластиковая упаковка ; 1975 ; 30 лет Победы в войне 1941-1945 ; Cu-Ni ; Unc ; 58 ; ask ; 87 
 2065 ; 1 копейка ; 1975 ;  ; Cu-Zn ; AU ; 33 ; algol777 ; 46 
 2066 ; 1 копейка ; 1976 ;  ; Cu-Zn ; AU ; 17 ; Danila-56 ; 72 
 2067 ; 1 копейка ; 1977 ;  ; Cu-Zn ; AU ; 44 ; algol777 ; 53 
 2068 ; 1 копейка ; 1978 ;  ; Cu-Zn ; AU ; 5 ; wadim.lbt ; 11 
 2069 ; 1 копейка ; 1980 ;  ; Cu-Zn ; AU ; 15 ; kvm64 ; 16 
