 5920 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 31 ; йцукен ; 784 
 4078 ; 1 грош. Польша ; 1931 ;  ; Br ; VF+ ; 22 ; MDV ; 579 
 4079 ; 2 гроша. Польша ; 1923 ;  ; Лат ; VF-XF ; 72 ; zx123 ; 441 
 4080 ; 5 фенигов. Польша ; 1917 ;  ; Fe ; VF ; 36 ; lsp25 ; 456 
 4081 ; 10 фенигов. Польша ; 1917 ;  ; Fe ; VF ; 11 ; архыз ; 230 
 4082 ; 100 злотых. Польша. Польские короли. Пшемыслав II ; 1985 ;  ; Cu-Ni ; AU ; 21 ; evdiral ; 129 
 4083 ; 100 злотых. Польша. 40 лет образования Польской Народной Республики ; 1984 ;  ; Cu-Ni ; AU ; 11 ; Монетный ; 114 
 4084 ; 100 злотых. Польша. Центр здоровья матери ; 1985 ;  ; Cu-Ni ; AU ; 24 ; dim66 ; 116 
 4085 ; 50 злотых. Польша. Польские короли. Мешко I ; 1979 ;  ; Cu-Ni ; AU ; 15 ; lalula ; 97 
 4086 ; 50 злотых. Польша. Польские короли. Болеслав I Храбрый ; 1980 ;  ; Cu-Ni ; AU ; 13 ; lalula ; 81 
 4087 ; 50 злотых. Польша. Польские короли. Казимир I ; 1980 ;  ; Cu-Ni ; AU ; 9 ; lalula ; 81 
 4088 ; 50 злотых. Польша. Польские короли. Болеслав II ; 1981 ;  ; Cu-Ni ; AU ; 11 ; lalula ; 81 
 4089 ; 50 злотых. Польша. Генерал Сикорский ; 1981 ;  ; Cu-Ni ; AU ; 12 ; dim66 ; 114 
 4090 ; 50 злотых. Польша. Польские короли. Владислав I ; 1981 ;  ; Cu-Ni ; AU ; 29 ; tpls ; 139 
 3991 ; 5 лит. Литва ; 1936 ;  ; Ag ; VF ; 15 ; mmmm ; 561 
 3992 ; 10 центов. Цейлон ; 1900 ;  ; Ag ; XF ; 61 ; Rosomaha ; 1281 
 3993 ; 10 евро. Финляндия. 200 лет со дня смерти Андерса Чидениуса ; 2003 ;  ; Ag ; AU ; 26 ; bliznetz ; 1163 
 3994 ; 10 евро. Финляндия. 100 лет всеобщему избирательному праву ; 2006 ;  ; Ag ; AU ; 29 ; andy2012 ; 1479 
 3995 ; 10 евро. Финляндия. Минна Кант и равноправие ; 2010 ;  ; Ag ; AU ; 34 ; Walther ; 1542 
 3996 ; 5 евро. Австрия. Горные Лыжи ; 2013 ;  ; Cu ; AU ; 26 ; ZorroT ; 521 
 3997 ; 5 евро. Австрия. Венский вальс ; 2013 ;  ; Cu ; AU ; 29 ; ZorroT ; 514 
 3998 ; 1 пенни. Ирландия. Токен ; 1821 ;  ; Cu ; VF- ; 35 ; banks ; 1138 
 3999 ; 1000 лир. Сан Марино ; 2001 ;  ; Би/м ; AU ; 18 ; SKeeper ; 255 
 4000 ; 500 лир. Сан Марино ; 1999 ;  ; Би/м ; AU ; 23 ; orex ; 138 
 4001 ; 20 крон. Дания ; 2009 ;  ; Латунь ; AU ; 40 ; jj ; 357 
 4002 ; 50 тенге. Казахстан ; 2010 ;  ; Cu-Ni ; AU ; 16 ; kornum ; 381 
 4003 ; 50 тенге. Казахстан ; 2010 ;  ; Cu-Ni ; AU ; 23 ; Alekc19781 ; 319 
 4004 ; 50 тенге. Казахстан ; 2009 ;  ; Cu-Ni ; AU ; 28 ; Panther ; 251 
 4005 ; 5 долларов. Сингапур ; 1982 ;  ; Cu-Ni ; AU ; 37 ; SKeeper ; 401 
 4006 ; 1 лира. Турция ; 2010 ;  ; Би/м ; AU ; 9 ; kirkar ; 1179 
 4007 ; 1 лира. Турция ; 2010 ;  ; Би/м ; XF ; 19 ; SerKon ; 459 
 4008 ; 50 тари. Папуа Новая Гвинея ; 2008 ;  ; Cu-Ni ; AU ; 19 ; SKeeper ; 142 
 4009 ; 1 сентаво для лепрозория. Колумбия ; 1921 ;  ; Cu-Ni ; F ; 35 ; варяг42 ; 503 
 4010 ; 1 доллар. США. Олимпиада в Лос-Анжелесе ; 1983S ;  ; Ag ; AU ; 15 ; kornum ; 1202 
 4011 ; 1 доллар. Австралия. Австралийская Коала ; 2014 ;  ; Ag ; AU ; 10 ; supersergvv ; 1391 
 4012 ; 1 доллар. Канада. 100-летие города Реджайна ; 1982 ;  ; Ag ; XF+ ; 23 ; Вованыч ; 647 
 4013 ; 1 доллар. Австралия. Кукабарра ; 2004 ;  ; Ag ; AU ; 19 ; supersergvv ; 1446 
 4014 ; 1 доллар. Австралия. Кукабарра ; 1992 ;  ; Ag ; AU ; 13 ; asm1048576 ; 1853 
 4015 ; 1 доллар. Австралия. Кукабарра ; 1993 ;  ; Ag ; AU ; 5 ; supersergvv ; 1350 
 4016 ; 1 доллар. Австралия. Кукабарра ; 2013 ;  ; Ag ; AU ; 10 ; sahakala ; 1463 
 4017 ; 1 доллар. Австралия. Кукабарра ; 2007 ;  ; Ag ; AU ; 19 ; asm1048576 ; 1719 
 4018 ; 1 доллар. Австралия. Кукабарра ; 2003 ;  ; Ag ; AU ; 21 ; supersergvv ; 1665 
 4019 ; 1 доллар. Австралия. Кукабарра ; 2015 ;  ; Ag ; AU ; 5 ; supersergvv ; 1400 
 4020 ; 1 доллар. Австралия. Кукабарра ; 1994 ;  ; Ag ; AU ; 16 ; asm1048576 ; 1830 
 4021 ; 1 доллар. Австралия. Кукабарра ; 2005 ;  ; Ag ; AU ; 10 ; miranda ; 1491 
 4022 ; 1 доллар. Австралия. Кукабарра ; 2014 ;  ; Ag ; AU ; 6 ; supersergvv ; 1434 
 4023 ; 1 доллар. Австралия. Кукабарра ; 1997 ;  ; Ag ; AU ; 10 ; asm1048576 ; 1657 
 4024 ; 1 доллар. Австралия. Кукабарра ; 2012 ;  ; Ag ; AU ; 17 ; supersergvv ; 1632 
 4025 ; 1 доллар. Австралия. Кукабарра ; 2006 ;  ; Ag ; AU ; 9 ; asm1048576 ; 1824 
 4026 ; 1 гривна. Украина. Архангел Михаил ; 2012 ;  ; Ag ; AU ; 13 ; акто_то ; 1461 
 4027 ; 1 гривна. Украина. Архангел Михаил ; 2013 ;  ; Ag ; AU ; 11 ; supersergvv ; 1442 
 4028 ; 2 фунта Великобритания ; 2008 ;  ; Ag ; AU ; 32 ; D-503 ; 2456 
 4029 ; 1,5 евро. Австрия. Венская филармония ; 2013 ;  ; Ag ; AU ; 16 ; Мотя ; 1092 
 4030 ; 2 фунта. Великобритания ; 2011 ;  ; Ag ; AU ; 33 ; D-503 ; 2456 
 4031 ; 1 онза. Мексика ; 2011 ;  ; Ag ; AU ; 31 ; razum0610 ; 1848 
 4032 ; 2 фунта. Великобритания ; 2015 ;  ; Ag ; AU ; 28 ; ГраF ; 1211 
 4033 ; 1/4 доллара. США ; 1898 ;  ; Ag ; VF+ ; 84 ; SERGE5064 ; 4079 
 4034 ; 1/4 доллара. США ; 1928 ;  ; Ag ; VF- ; 50 ; DDW ; 612 
 4035 ; 5 центов. США ; 1897 ;  ; Cu-Ni ; VF ; 21 ; SERGE5064 ; 328 
 4036 ; 1 цент. США ; 1896 ;  ; Br ; VF- ; 19 ; MDV ; 306 
 4037 ; 10000. Северная Корея. XXIV Олимпийские игры в Сеуле. Футбол ; 1988 ;  ; Ag ; Proof ; 26 ; mountblade ; 1500 
 4038 ; 300 нгултрум. Бутан. Олимпийские игры ; 1992 ;  ; Ag ; Proof ; 31 ; vovaT25 ; 1396 
 4039 ; 10000. Северная Корея.XXIV олимпийские игры в Сеуле. Волейбол ; 1987 ;  ; Ag ; Proof ; 19 ; vovaT25 ; 1245 
 4040 ; 10000. Северная Корея.XXIV олимпийские игры в Сеуле ; 1988 ;  ; Ag ; Proof ; 20 ; ga2012 ; 1270 
 3941 ; 5 франков. Франция ; 1960 ;  ; Ag ; XF ; 13 ; SSS200 ; 341 
 3942 ; 100 франков. Франция ; 1989 ;  ; Ag ; XF+ ; 15 ; 8822 ; 699 
 3943 ; 1 рупия. Индия, Джайпур ; 19в ;  ; Ag ; VF- ; 10 ; PPS ; 1020 
 3944 ; 10 крон. Словакия. Князь Прибина ; 1944 ;  ; Ag ; XF ; 17 ; Ok203 ; 582 
 3945 ; 100 левов. Болгария. Борис III ; 1937 ;  ; Ag ; XF ; 15 ; first ; 710 
 3946 ; 25 шиллингов. Австрия. 800 лет Базилики Рождества Девы Марии в Мариацелле ; 1957 ;  ; Ag ; XF/AU ; 11 ; S1952 ; 411 
 3947 ; 1 дирхем. Марокко ; 1960 ;  ; Ag ; VF- ; 27 ; S1952 ; 200 
 3948 ; 2 кроны. Швеция ; 1956 ;  ; Ag ; XF+ ; 22 ; cotangens ; 202 
 3949 ; 3 пенса. Британская Восточная Африка ; 1940 ;  ; Cu-Ni ; VF ; 22 ; калинов мост ; 101 
 3950 ; 5 центов. Цейлон ; 1912 ;  ; Cu-Ni ; VF- ; 34 ; Andy M ; 238 
 3951 ; 100 толар. Словения. 10 лет Республике Словения и толару ; 2001 ;  ; Cu-Ni ; XF ; 33 ; jj ; 248 
 3952 ; 25 аурар. Исландия ; 1940 ;  ; Cu-Ni ; XF ; 13 ; andy2012 ; 216 
 3953 ; 10 марок. Эстония ; 1925 ;  ; Ni/Br ; VF ; 57 ; Вованыч ; 1388 
 3954 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF- ; 23 ; SKeeper ; 559 
 3955 ; 10 пара. Турция ; 1910-1916 ;  ; Ni ; VF+ ; 32 ; Ok203 ; 179 
 3956 ; 5 пара. Турция ; 1910-1915 ;  ; Ni ; XF+ ; 26 ; Ok203 ; 217 
 3957 ; 20 пара. Турция ; 1910-1914 ;  ; Ni ; XF ; 22 ; Ok203 ; 171 
 3958 ; 1 крона. Швеция ; 1966 ;  ; Ag ; VF-XF ; 5 ; 4444 ; 97 
 3959 ; 20 марок. Германия. Шиллер ; 1972А ;  ; Cu-Ni ; XF- ; 27 ; спарта ; 104 
 3960 ; 1000 рейс. Бразилия. Юбилейная ; 1922 ;  ; Br ; VF ; 28 ; mart_si ; 487 
 3961 ; 50 франков. Французская Западная Африка ; 1977 ;  ; Ni ; XF+ ; 21 ; Ok203 ; 74 
 3962 ; 25 пенсов. Джерси. 25-летие правления ; 1977 ;  ; Cu-Ni ; AU ; 25 ; kornum ; 225 
 3963 ; 1 крона. Остров Мэн. Битва у мыса С.Винсент ; 2005 ;  ; Cu-Ni ; AU ; 34 ; heavy_fly ; 387 
 3964 ; 1 крона. Остров Мэн. Битва на Ниле ; 2005 ;  ; Cu-Ni ; AU ; 17 ; heavy_fly ; 371 
 3965 ; 1 крона. Остров Мэн. Битва у Копенгагена ; 2005 ;  ; Cu-Ni ; AU ; 16 ; heavy_fly ; 371 
 3966 ; 1 крона. Остров Мэн. Адмирал Нельсон ; 2005 ;  ; Cu-Ni ; AU ; 23 ; gama ; 421 
 3967 ; 1 лат. Латвия. Олимпиада-06 ; 2005 ;  ; Ag ; AU ; 35 ; спарта ; 2392 
 3968 ; 1-1/2евро. Франция. Олимпиада в Турине. Биатлон ; 2005 ;  ; Ag ; Proof ; 27 ; vovaT25 ; 1798 
 3969 ; 5 евро. Сан-Марино. Олимпиада в Турине ; 2006 ;  ; Ag ; Proof ; 22 ; спарта ; 1762 
 3970 ; 5 евро. Италия. Олимпиада в Турине. Фигурное катание ; 2005 ;  ; Ag ; Proof ; 29 ; спарта ; 1632 
 3971 ; 10 евро. Италия. Олимпиада в Турине. Конькобежный спорт ; 2005 ;  ; Ag ; Proof ; 14 ; спарта ; 1807 
 3972 ; 10 евро. Италия. Олимпиада в Турине. Горные лыжи ; 2005 ;  ; Ag ; Proof ; 15 ; спарта ; 1917 
 3973 ; 5 евро. Италия. Олимпиада в Турине. Лыжи ; 2005 ;  ; Ag ; Proof ; 16 ; спарта ; 1441 
 3974 ; 10 динар. Андорра. Олимпиада в Турине ; 2005 ;  ; Ag ; Proof ; 22 ; спарта ; 1895 
 3975 ; 20 рублей. Белоруссия. Олимпиада в Турине. Хоккей ; 2005 ;  ; Ag ; Proof ; 22 ; спарта ; 1695 
 3976 ; 100 тенге. Казахстан. Олимпиада в Турине ; 2005 ;  ; Ag ; Proof ; 11 ; vovaT25 ; 1819 
 3977 ; 5 евро. Италия. Олимпиада в Турине. Прыжки ; 2005 ;  ; Ag ; Proof ; 7 ; спарта ; 1259 
 3978 ; 10 евро. Италия. Олимпиада в Турине. Хоккей ; 2005 ;  ; Ag ; Proof ; 30 ; спарта ; 1958 
 3979 ; 150 куна. Хорватия. Олимпиада в Турине ; 2006 ;  ; Ag ; Proof ; 17 ; спарта ; 1839 
 3980 ; 500 тугриков. Монголия. Олимпиада в Турине ; 2006 ;  ; Ag ; Proof ; 50 ; спарта ; 1914 
 3981 ; 10 долларов. Сьерра-Леоне. Олимпиада в Турине ; 2006 ;  ; Ag ; Proof ; 14 ; спарта ; 1914 
 3982 ; 10 евро. Испания. Олимпиада в Турине ; 2005 ;  ; Ag ; Proof ; 10 ; спарта ; 1838 
 3983 ; 10 злотых. Польша. Олимпиада в Турине ; 2006 ;  ; Ag ; Proof ; 12 ; спарта ; 1576 
 3984 ; 5 шиллингов. Великобритания ; 1953 ;  ; Cu-Ni ; XF+ ; 19 ; ГраF ; 296 
 3985 ; 2 кроны. Норвегия. 100-летие Конституции ; 1914 ;  ; Ag ; VF ; 44 ; почему ; 3070 
 3986 ; 1/4 доллара. США ; 1962 ;  ; Ag ; AU ; 26 ; dim66 ; 192 
 3987 ; 960 рейс. Бразилия ; 1811 ;  ; Ag ; VF-XF ; 48 ; Ю42 ; 4397 
 3988 ; 5 франокв. Бельгия ; 1873 ;  ; Ag ; VF+ ; 20 ; Мотя ; 1224 
 3989 ; 10 франков. Монако. 110 лет вступлению на престол Чарльза III ; 1966 ;  ; Ag ; XF ; 18 ; Rosomaha ; 1215 
 3990 ; 5 крон. Дания. Серебряная свадьба ; 1960 ;  ; Ag ; XF+ ; 38 ; andy2012 ; 710 
 3891 ; 10 злотых. Польша. 10 лет солидарности ; 2009 ;  ; Ag ; Proof ; 24 ; grot ; 1020 
 3892 ; 10 злотых. Польша. 85 лет образования полиции ; 2004 ;  ; Ag ; Proof ; 47 ; diskus72 ; 1143 
 3893 ; 10 злотых. Польша. Великопольское восстание ; 2008 ;  ; Ag ; Proof ; 29 ; molodes ; 709 
 3894 ; 10 злотых. Польша. 75-летие взлома шифра Энигмы ; 2007 ;  ; Ag ; Proof ; 23 ; molodes ; 771 
 3895 ; 10 злотых. Польша. Неймен ; 2009 ;  ; Ag ; Proof ; 24 ; дед морос ; 681 
 3896 ; 10 злотых. Польша. 90-летие создания Верховной палаты контроля ; 2009 ;  ; Ag ; Proof ; 27 ; diskus72 ; 750 
 3897 ; 10 злотых. Польша. Сибиряки ; 2008 ;  ; Ag ; Proof ; 29 ; adus ; 771 
 3898 ; 1 сом. Киргизия. 20 лет независимости ; 2011 ;  ; Cu-Ni ; Proof ; 45 ; Zarik ; 340 
 3899 ; 5 крон. Швеция. 100 лет ; 1966 ;  ; Ag ; AU ; 17 ; niko1968 ; 421 
 3900 ; 5 крон. Швеция. 150 лет ; 1959 ;  ; Ag ; XF+ ; 20 ; Rosomaha ; 370 
 3901 ; 2 кроны. Швеция ; 1906 ;  ; Ag ; VF+ ; 53 ; Walther ; 1597 
 3902 ; 1 крона. Швеция ; 1906 ;  ; Ag ; XF+ ; 80 ; tamsimun ; 7095 
 3903 ; 1 доллар. Канада. Серебряный юбилей ; 1977 ;  ; Ag ; XF+ ; 41 ; Victory-2001 ; 1101 
 3904 ; 1 крона. Остров Мэн. Независимость ; 1976 ;  ; Ag ; XF+ ; 66 ; cfif24 ; 1144 
 3905 ; 1 доллар. Канада. Универсиада в Эдмонтоне ; 1983 ;  ; Ag ; Proof ; 24 ; 0088 ; 640 
 3906 ; 1 доллар. Канада. Национальный парк ; 1985 ;  ; Ag ; Proof ; 31 ; water spirit ; 775 
 3907 ; 1 доллар. Канада. Регина ; 1982 ;  ; Ag ; Proof ; 22 ; Gyron ; 564 
 3908 ; 10 марок. Финляндия. 50 лет независимости ; 1967 ;  ; Ag ; AU ; 34 ; aleks.smol ; 726 
 3909 ; 6 пенсов. Великобритания ; 1708 ;  ; Ag ; VF ; 80 ; Jeff ; 3790 
 3910 ; Шиллинг. Великобритания ; 1723 ;  ; Ag ; F ; 59 ; alapabula ; 1721 
 3911 ; 1 шиллинг. ЮАР ; 1894 ;  ; Ag ; VF- ; 25 ; salim ; 507 
 3912 ; 5 марок. ГДР. Отто Лиленталь ; 1973 ;  ; Cu-Ni ; AU ; 26 ; Rosomaha ; 1328 
 3913 ; 1 крона. Остров Мэн. Самолеты 2МВ ; 1995 ;  ; Cu-Ni ; AU ; 66 ; -FUNT- ; 667 
 3914 ; 1 доллар. Канада ; 1984 ;  ; Cu-Ni ; XF ; 62 ; razum0610 ; 277 
 3915 ; 1 доллар. США ; 1976 ;  ; Cu-Ni ; XF ; 21 ; всыня ; 105 
 3916 ; 1 доллар. Бермуды ; 1987 ;  ; Cu-Ni ; AU ; 78 ; -FUNT- ; 512 
 3917 ; 1 доллар. Самоа и Сисифо ; 1970 ;  ; Cu-Ni ; AU ; 44 ; razum0610 ; 308 
 3918 ; 25 новых пенсов. Великобритания. Коронация ; 1977 ;  ; Cu-Ni ; XF ; 9 ; razum0610 ; 126 
 3919 ; 2 шиллинга 6 пенсов. Ирландия ; 1963 ;  ; Cu-Ni ; VF+ ; 6 ; d-master ; 104 
 3920 ; 10 франков. Франция ; 1983 ;  ; Cu-Ni ; AU ; 29 ; sibirian ; 126 
 3921 ; 10 франков. Франция ; 1988 ;  ; Cu-Ni ; XF+ ; 27 ; -FUNT- ; 157 
 3922 ; 1 пенни. Великобритания ; 1967 ;  ; Cu-Ni ; XF+ ; 12 ; Shap ; 16 
 3923 ; 1 пенни. ЮАР ; 1898 ;  ; Cu-Ni ; VF ; 32 ; Недорого ; 407 
 3924 ; 1/2 пенни. Великобритания. Токен ; 1791 ;  ; Cu-Ni ; VF- ; 14 ; kehha ; 385 
 3925 ; 1/2 пенни. Великобритания. Токен ; 1792 ;  ; Cu-Ni ; VF- ; 25 ; kehha ; 414 
 3926 ; 100 франков. Конго ; 1995 ;  ; Cu-Ni ; AU ; 39 ; -FUNT- ; 741 
 3927 ; 10 марок. Финляндия. Кекконен ; 1975 ;  ; Ag ; AU ; 17 ; adus ; 407 
 3928 ; Храмовая рупия ;  ;  ; Ж/м ; VF- ; 29 ; Ok203 ; 1163 
 3929 ; 20 марок. Германия. Генрих Манн ; 1971А ;  ; Cu-Ni ; AU ; 21 ; kornum ; 99 
 3930 ; 1 шиллинг. Германия. Гамбург ; 1727 ;  ; Ag ; F+ ; 17 ; S1952 ; 242 
 3931 ; 1/2 кроны. Великобритания ; 1920 ;  ; Ag ; VF- ; 7 ; S1952 ; 213 
 3932 ; 1 крона. Великобритания. Коронация Елизаветы II ; 1953 ;  ; Cu-Ni ; XF+ ; 47 ; didisister ; 369 
 3933 ; 25 новых пенсов. Великобритания. 25 лет на престоле Елизаветы II ; 1977 ;  ; Cu-Ni ; AU ; 24 ; Звездолёты ; 112 
 3934 ; 1 доллар. Британиская Канада. 100 лет Ванкуверу ; 1986 ;  ; Ag ; Proof ; 19 ; 🇷🇺Михаил ; 814 
 3935 ; 5 пиастров. Британский Египет ; 1917 ;  ; Ag ; VF ; 28 ; PPS ; 610 
 3936 ; 2 пиастра. Британский Египет ; 1917 ;  ; Ag ; VF+ ; 14 ; olancepok ; 340 
 3937 ; 1 шиллинг. Британская Восточная Африка ; 1950 ;  ; Cu-Ni ; VF+ ; 22 ; wwtar ; 107 
 3938 ; 50 центов. Британская Восточная Африка ; 1948 ;  ; Cu-Ni ; VF+ ; 14 ; d-master ; 91 
 3939 ; 20 франков. Франция ; 1938 ;  ; Ag ; XF- ; 11 ; S1952 ; 734 
 3940 ; 10 франков. Франция ; 1934 ;  ; Ag ; VF ; 12 ; тикси3 ; 255 
 3841 ; 5 евро. Финляндия ; 2005 ;  ; Би/м ; AU ; 11 ; komod ; 426 
 3842 ; 5 евро. Финляндия ; 2003 ;  ; Би/м ; AU ; 29 ; torbey ; 1632 
 3843 ; 5 евро. Финляндия ; 2006 ;  ; Би/м ; AU ; 20 ; molodes ; 722 
 3844 ; 20 долларов. Британские Виргинские острова ; 1985 ;  ; Ag ; Proof ; 27 ; SKeeper ; 744 
 3845 ; 20 долларов. Британские Виргинские острова ; 1985 ;  ; Ag ; Proof ; 9 ; SKeeper ; 707 
 3846 ; 1/2 кроны. Великобритания ; 1923 ;  ; Ag ; F ; 11 ; дилитант ; 158 
 3847 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; VF ; 13 ; Elephant ; 293 
 3848 ; 1/2 кроны. Великобритания ; 1928 ;  ; Ag ; VF- ; 18 ; 8822 ; 312 
 3849 ; 1/2 кроны. Великобритания ; 1940 ;  ; Ag ; VF- ; 16 ; Александ98 ; 293 
 3850 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; VF- ; 8 ; alapabula ; 255 
 3851 ; 1 флорин. Великобритания ; 1921 ;  ; Ag ; F ; 15 ; кот баюн ; 213 
 3852 ; 100 песет. Испания ; 1966 ;  ; Ag ; AU ; 13 ; ГраF ; 681 
 3853 ; 50 франков. Франция ; 1977 ;  ; Ag ; XF+ ; 18 ; bob375 ; 1035 
 3854 ; 50 франков. Франция ; 1971 ;  ; Ag ; AU ; 18 ; teso ; 1120 
 3855 ; 10 франков. Франция ; 1971 ;  ; Ag ; XF+ ; 13 ; dvlless ; 1030 
 3856 ; 10 лат. Латвия ; 1931 ;  ; Ag ; VF ; 17 ; zemlyk2014 ; 1122 
 3857 ; 100 марок. Финляндия. 75 лет независимости ; 1992 ;  ; Ag ; AU ; 21 ; vovaT25 ; 855 
 3858 ; 100 марок. Финляндия. Хоккей ; 1991 ;  ; Ag ; AU ; 27 ; mefody73 ; 951 
 3859 ; 50 марок. Финляндия. Кекконен ; 1981 ;  ; Ag ; AU ; 33 ; Rosomaha ; 581 
 3860 ; 50 марок. Финляндия. Калевала ; 1985 ;  ; Ag ; AU ; 26 ; sbsb777 ; 545 
 3861 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF- ; 14 ; ДмитрийЩ ; 1385 
 3862 ; 5 лат. Латвия ; 1931 ;  ; Ag ; VF ; 26 ; л842 ; 1219 
 3863 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF ; 7 ; Мотя ; 250 
 3864 ; 2 лата. Латвия ; 1925 ;  ; Ag ; XF ; 9 ; qver ; 318 
 3865 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF-XF ; 9 ; zemlyk2014 ; 289 
 3866 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF- ; 18 ; Мотя ; 121 
 3867 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF ; 13 ; Мотя ; 132 
 3868 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF ; 7 ; Мотя ; 127 
 3869 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF ; 3 ; Мотя ; 114 
 3870 ; 1 корона. Венгрия. Миллениум. Ремонт гурта 3 и 9 часов ; 1896 ;  ; Ag ; VF ; 17 ; MDV ; 714 
 3871 ; 100 лева. Болгария ; 1937 ;  ; Ag ; VF-XF ; 13 ; 8822 ; 622 
 3872 ; 50 сентаво. Куба ; 1953 ;  ; Ag ; VF ; 17 ; olancepok ; 582 
 3873 ; 10 злотых. Польша ; 1933 ;  ; Ag ; XF- ; 43 ; andrej888 ; 847 
 3874 ; 100 марок. Финляндия. 75 лет ; 1992 ;  ; Ag ; AU ; 23 ; aleks.smol ; 839 
 3875 ; 25 марок. Финляндия. Чемпионат в лахти ; 1978 ;  ; Ag ; AU ; 13 ; Недорого ; 547 
 3876 ; 10 шиллингов. Австрия ; 1967 ;  ; Ag ; XF- ; 16 ; 8822 ; 189 
 3877 ; 1 франк. Бельгия ; 1904 ;  ; Ag ; VF ; 30 ; orex ; 340 
 3878 ; 100 франков. Франция ; 1982 ;  ; Ag ; XF ; 19 ; kornum ; 663 
 3879 ; 1 гульден. Нидерланды ; 1847 ;  ; Ag ; VF ; 21 ; Yurival ; 669 
 3880 ; 1 крона. Великобритания ; 1821 ;  ; Ag ; F+ ; 65 ; alapabula ; 2335 
 3881 ; 1 рейс. Гватемала. Ремонт гурта 6 часов ; 1867 ;  ; Ag ; F ; 33 ; PPS ; 611 
 3882 ; Йузлук. Турция. Отверстие ; 1203 ;  ; Ag ; F ; 23 ; CASH ; 614 
 3883 ; 1 марка. Веймар ; 1935A ;  ; Cu-Ni ; VF-XF ; 14 ; Mike! ; 370 
 3884 ; 1 марка. Веймар ; 1936A ;  ; Cu-Ni ; VF+ ; 21 ; Mike! ; 367 
 3885 ; 1 франк. Французская колония. Гваделупе ; 1903 ;  ; Cu-Ni ; VF- ; 1 ; Mike! ; 1111 
 3886 ; 1 флорин. Великобритания ; 1929 ;  ; Ag ; F+ ; 17 ; alapabula ; 281 
 3887 ; Крона. Великобритания ; 1707 ;  ; Ag ; F-VF ; 137 ; Ю42 ; 12682 
 3888 ; Крона. Великобритания ; 1845 ;  ; Ag ; VF- ; 77 ; zelya ; 11220 
 3889 ; 1/2 доллара. США. Вашингтон. Упаковка ; 1982D ;  ; Ag ; AU ; 15 ; lavist ; 637 
 3890 ; 500 лир. Италия. Олимпиада ; 1984R ;  ; Ag ; Unc ; 25 ; mountblade ; 1022 
 3791 ; 50 гирш. Судан ; 1972 ;  ; Cu-Ni ; XF ; 17 ; teso ; 147 
 3792 ; 10 франков. Франция ; 1967 ;  ; Ag ; XF ; 22 ; cfif24 ; 793 
 3793 ; 1 шиллинг. Великобритания ; 1879 ;  ; Ag ; F+ ; 72 ; Yurival ; 1030 
 3794 ; 1 грошен. Пруссия ; 1864A ;  ; Ag ; F ; 48 ; Прокурор ; 388 
 3795 ; 50 эре. Швеция ; 1962 ;  ; cu-Ni ; XF- ; 15 ; niko1968 ; 25 
 3796 ; 10 эре. Швеция ; 1952 ;  ; Ag ; XF+ ; 16 ; niko1968 ; 79 
 3797 ; 25 эре. Швеция ; 1952 ;  ; Ag ; AU ; 13 ; orlov2015 ; 72 
 3798 ; 50 эре. Швеция ; 1955 ;  ; Ag ; XF+ ; 19 ; 4444 ; 155 
 3799 ; 1 крона. Швеция ; 1960 ;  ; Ag ; XF+ ; 13 ; krugerrand ; 97 
 3800 ; 1 крона. Швеция ; 1946 ;  ; Ag ; AU ; 13 ; cfif24 ; 169 
 3801 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; XF ; 15 ; л842 ; 101 
 3802 ; 1 крона. Швеция ; 1939 ;  ; Ag ; VF-XF ; 11 ; wwtar ; 202 
 3803 ; 5 марок. ФРГ. Бальтазар Ньюманн ; 1978F ;  ; Ag ; AU ; 35 ; дилитант ; 313 
 3804 ; 5 марок. ФРГ. Николай Коперник ; 1973J ;  ; Ag ; AU ; 22 ; Звездолёты ; 355 
 3805 ; 5 марок. ФРГ. Франкфуртский парламент ; 1973G ;  ; Ag ; AU ; 21 ; Exctas ; 270 
 3806 ; 5 марок. ФРГ. Год защиты памятников ; 1975F ;  ; Ag ; AU ; 28 ; дилитант ; 340 
 3807 ; 1 лира. Турция ; 1948 ;  ; Ag ; AU ; 43 ; Ok203 ; 765 
 3808 ; 1/4 доллара. США ; 1920 ;  ; Ag ; VF+ ; 68 ; SERGE5064 ; 2392 
 3809 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF ; 37 ; Gyron ; 392 
 3810 ; 2 кроны. Швеция. 300 лет ; 1938 ;  ; Ag ; XF- ; 26 ; Вованыч ; 837 
 3811 ; 2 кроны. Швеция ; 1939 ;  ; Ag ; XF+ ; 56 ; cfif24 ; 610 
