 5854 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 26 ; scipion ; 116 
 3578 ; 10 лир. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al ; Unc ; 11 ; aralsk ; 235 
 3579 ; 5 лир. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al ; Unc ; 23 ; aralsk ; 227 
 3580 ; 2 лиры. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al ; Unc ; 20 ; aralsk ; 227 
 3581 ; 1 лира. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al ; Unc ; 13 ; aralsk ; 226 
 3582 ; 1 цент. США ; 1941S ;  ; Br ; VF ; 31 ; нв1975 ; 88 
 3583 ; 1 цент. США ; 1944D ;  ; Br ; VF ; 23 ; нв1975 ; 88 
 3584 ; 1 цент. США ; 1944S ;  ; Br ; VF ; 7 ; oleghh7 ; 24 
 3585 ; 1 цент. США ; 1943S ;  ; Zn-St ; VF ; 17 ; нв1975 ; 96 
 3586 ; 1/12 талера. Пруссия ; 1783А ;  ; Ag ; F ; 51 ; esacsa ; 129 
 3587 ; 5 центов. США ; 1943S ;  ; Mg/Ag/Cu ; VF ; 17 ; Kolya2788 ; 36 
 3588 ; 5 центов. США ; 1943S ;  ; Mg/Ag/Cu ; XF ; 11 ; нв1975 ; 235 
 3589 ; 5 центов. США ; 1944P ;  ; Mg/Ag/Cu ; VF-XF ; 24 ; l1 ; 46 
 3590 ; 20 чентезимо. Италия ; 1909 ;  ; Ni ; XF ; 15 ; lirik ; 41 
 3591 ; 2 эре. Норвегия ; 1945 ;  ; Fe ; VF+ ; 18 ; rf47 ; 60 
 3592 ; 1 злотый. Польша ; 1929 ;  ; Ni ; XF ; 19 ; rf47 ; 37 
 3593 ; 100 лей. Румыния ; 1943 ;  ; Ni ; XF+ ; 30 ; gusar ; 57 
 3594 ; 2 франка. Бельгия ; 1923 ;  ; Ni ; VF ; 15 ; rf47 ; 44 
 3595 ; 1 крона. Словакия ; 1940 ;  ; Cu-Ni ; XF ; 11 ; kroman ; 83 
 3596 ; 10 лева. Болгария. Крум ; 1941 ;  ; Fe ; VF- ; 33 ; kroman ; 328 
 3597 ; 2 сент. Бельгия ; 1864 ;  ; Br ; VF+ ; 16 ; сама71 ; 45 
 3598 ; 1 сент. Бельгия ; 1899 ;  ; Br ; XF+ ; 13 ; l1 ; 55 
 3599 ; 1 пенни. Австралия ; 1919 ;  ; Br ; VF+ ; 15 ; witchhunter ; 89 
 3600 ; 20 монго. Монголия ; 1945 ;  ; Cu-Ni ; XF ; 21 ; alehandr ; 119 
 3601 ; 15 монго. Монголия ; 1945 ;  ; Cu-Ni ; XF ; 45 ; kornum ; 161 
 3602 ; 10 монго. Монголия ; 1945 ;  ; Cu-Ni ; XF ; 10 ; Mukoved ; 130 
 3603 ; 2 монго. Монголия. Аверс/Реверс 45 градусов ; 1945 ;  ; Cu-Zn ; XF ; 21 ; SKeeper ; 153 
 3604 ; 100 лей. Румыния ; 1936 ;  ; Ni ; XF+ ; 30 ; dsp ; 242 
 3605 ; 1/2 пенни. Австралия ; 1922 ;  ; Br ; XF ; 13 ; 1023oxana ; 126 
 3606 ; 1 лира. Италия ; 1922 ;  ; Ni ; VF-XF ; 21 ; страус ; 51 
 3607 ; 50 чентезимо. Италия ; 1920 ;  ; Ni ; VF+ ; 17 ; SKeeper ; 70 
 3608 ; 25 эре. Дания ; 1925 ;  ; Cu-Ni ; VF+ ; 9 ; Flagman ; 37 
 3609 ; 10 пара. Турция ; 1901-1904 ;  ; Ag ; VF ; 28 ; majkl ; 181 
 3610 ; 10 пара. Турция ; 1910-1916 ;  ; Ni ; AU ; 48 ; gusar ; 206 
 3611 ; 10 пара. Турция ; 1910-1916 ;  ; Ni ; XF+ ; 35 ; majkl ; 181 
 3612 ; 20 пара. Турция ; 1909-1914 ;  ; Ni ; VF+ ; 28 ; gusar ; 192 
 3613 ; 40 пара. Турция ; 1910-1917 ;  ; Ni ; VF+ ; 29 ; andy2012 ; 122 
 3614 ; Чиао-10 фен. Японская оккупация Китая ; 1940-1943 ;  ; Al ; VF ; 42 ; doiu33 ; 181 
 3615 ; Чиао-10 фен. Японская оккупация Китая ; 1933-1934 ;  ; Cu-Ni ; VF ; 83 ; murka1973 ; 222 
 3616 ; 5 пара. Турция ; 1839-1861 ;  ; Cu ; F+ ; 27 ; Monata ; 189 
 3617 ; 5 пара. Турция ; 1864 ;  ; Cu ; VF+ ; 21 ; off ; 161 
 3618 ; 20 крон. Дания. Ханс Кристиан Эрстед ; 2013 ;  ; Al/Br ; AU ; 26 ; aziya11 ; 228 
 3619 ; 20 крон. Дания. Нильс Бор ; 2013 ;  ; Al/Br ; AU ; 19 ; maleevsw ; 238 
 3620 ; 20 крон. Дания. Ханс Кристиан Эрстед ; 2013 ;  ; Al/Br ; AU ; 37 ; maleevsw ; 236 
 3621 ; 20 крон. Дания. Оле Рёмер ; 2013 ;  ; Al/Br ; AU ; 17 ; maleevsw ; 238 
 3622 ; 25 центов. Канада. Гармония ; 2000 ;  ; Cu-Ni ; AU ; 18 ; SKeeper ; 44 
 3623 ; 25 центов. Канада. Гордость ; 2000 ;  ; Cu-Ni ; AU ; 17 ; кс ; 44 
 3624 ; 25 центов. Канада. Достижения ; 2000 ;  ; Cu-Ni ; AU ; 14 ; кс ; 44 
 3625 ; 25 центов. Канада. Здоровье ; 2000 ;  ; Cu-Ni ; AU ; 14 ; кс ; 45 
 3526 ; 5 марок. ФРГ. 125-летие Национального собрания во Франкфурте ; 1973G ;  ; Ag ; AU ; 15 ; paranoy ; 247 
 3527 ; 5 марок. ФРГ ; 1975 ;  ; Cu/Ni ; XF ; 17 ; u10257 ; 111 
 3528 ; 2 марки. ФРГ. Курт Шумахер ; 1981D ;  ; Cu/Ni ; XF ; 28 ; solder13 ; 73 
 3529 ; 5 марок. ФРГ. Кельнский собор ; 1980F ;  ; Cu/Ni ; XF ; 27 ; aziya11 ; 143 
 3530 ; 5 марок. ФРГ. Отто Ханх ; 1979G ;  ; Cu/Ni ; XF+ ; 15 ; aziya11 ; 125 
 3531 ; 5 марок. ФРГ. Железная дорога ; 1985G ;  ; Cu/Ni ; XF+ ; 14 ; aziya11 ; 125 
 3532 ; 5 марок. ФРГ. 150 лет таможне ; 1984D ;  ; Cu/Ni ; AU ; 13 ; aziya11 ; 119 
 3533 ; 5 марок. ФРГ. 600 лет Хейдельбергскому университету ; 1986D ;  ; Cu/Ni ; AU ; 14 ; aziya11 ; 128 
 3534 ; 5 марок. ФРГ. Карл фон Штейн ; 1981G ;  ; Cu/Ni ; AU ; 9 ; aziya11 ; 113 
 3535 ; 5 марок. ФРГ. 200 лет со дня смерти Фридриха Великого ; 1986F ;  ; Cu/Ni ; XF ; 35 ; magpie ; 180 
 3536 ; 5 марок. ФРГ. Вальтер Фогельвейде ; 1980D ;  ; Cu/Ni ; AU ; 13 ; aziya11 ; 129 
 3537 ; 20 марок. ГДР. Карл Маркс ; 1983А ;  ; Cu/Ni ; AU ; 62 ; u10257 ; 206 
 3538 ; 20 марок. ГДР. Эрнст Тельманн ; 1971А ;  ; Cu/Ni ; XF+ ; 30 ; alik434 ; 113 
 3539 ; 20 марок. ГДР. Фридрих Шиллер ; 1972А ;  ; Cu/Ni ; AU ; 39 ; alik434 ; 117 
 3540 ; 20 марок. ГДР. Вильгельм Пик ; 1972А ;  ; Cu/Ni ; XF+ ; 19 ; alik434 ; 118 
 3541 ; 20 марок. ГДР. 30 лет ГДР ; 1979А ;  ; Cu/Ni ; AU ; 41 ; doiu33 ; 150 
 3542 ; 20 марок. ГДР. Отто Гротеволь ; 1973А ;  ; Cu/Ni ; XF+ ; 24 ; alik434 ; 116 
 3543 ; 10 марок. ГДР. Эрнст Тельманн ; 1986А ;  ; Cu/Ni ; XF+ ; 25 ; kornum ; 156 
 3544 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu/Ni ; XF+ ; 25 ; kost ; 86 
 3545 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu/Ni ; VF+ ; 15 ; alik434 ; 113 
 3546 ; 10 марок. ГДР. Совместный космический полет ; 1978А ;  ; Cu/Ni ; XF ; 30 ; alik434 ; 275 
 3547 ; 10 марок. ГДР. 40 лет ГДР ; 1989А ;  ; Cu/Ni ; AU ; 49 ; alik434 ; 247 
 3548 ; 10 марок. ГДР. 40 лет освобождения от фашизма ; 1985а ;  ; Cu/Ni ; AU ; 44 ; u10257 ; 355 
 3549 ; 10 марок. ГДР. 20 лет Варшавского договора ; 1975А ;  ; Cu/Ni ; XF+ ; 48 ; alik434 ; 236 
 3550 ; 10 марок. ГДР. 20 лет народной армии ; 1976А ;  ; Cu/Ni ; XF+ ; 46 ; alik434 ; 201 
 3551 ; 10 марок. ГДР. 25 лет народной армии ; 1981А ;  ; Cu/Ni ; XF ; 27 ; alik434 ; 176 
 3552 ; 10 марок. ГДР. Фестиваль ; 1973А ;  ; Cu/Ni ; XF+ ; 35 ; alik434 ; 105 
 3553 ; 10 марок. ГДР. День труда ; 1990А ;  ; Cu/Ni ; XF+ ; 32 ; alik434 ; 167 
 3554 ; 10 марок. ГДР. Спорт ГДР ; 1988А ;  ; Cu/Ni ; XF+ ; 33 ; Rober ; 206 
 3555 ; 10 марок. ГДР. 20 лет народной армии ; 1976А ;  ; Cu/Ni ; XF ; 21 ; kost ; 102 
 3556 ; 5 марок. ГДР ; 1969 ;  ; Ni/Br ; XF ; 23 ; TiBuL ; 59 
 3557 ; 50 пенсов. Джерси ; 1981 ;  ; Cu-Ni ; AU ; 37 ; SKeeper ; 135 
 3558 ; 3 евро. Словения. Первая олимпийская медаль ; 2012 ;  ; Би/м ; AU ; 12 ; arsenich-s ; 204 
 3559 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; AU ; 99 ; Vol4en0k ; 1108 
 3560 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 28 ; Vol4en0k ; 403 
 3561 ; 200000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Cu-Ni ; AU ; 7 ; svu14 ; 102 
 3562 ; 2 1/2 гульдена. Нидерланды. 400 лет союзу с Утрехтом ; 1979 ;  ; Cu/Ni ; XF ; 32 ; В1951 ; 123 
 3563 ; 2 1/2 гульдена. Нидерланды ; 1970 ;  ; Cu/Ni ; VF ; 9 ; kostya12.04.1994 ; 42 
 3564 ; 2 марки. ФРГ. Франц Йозеф Штраус ; 1990J ;  ; Cu/Ni, позол ; XF ; 23 ; doiu33 ; 363 
 3565 ; 1 доллар. Канада ; 1989 ;  ; Al/Br ; AU ; 38 ; 195267 ; 140 
 3566 ; 4 пфеннинга. Пруссия ; 1865А ;  ; Cu ; F+ ; 19 ; alik434 ; 272 
 3567 ; 1 пфенниг. Германия, Гессен-Дармштадт ; 1819 ;  ; Cu ; VF ; 13 ; TiBuL ; 159 
 3568 ; 1/4 стювера. Юлих-Берг. Карл Теодор ; 1786 ;  ; Cu ; VF ; 39 ; l1 ; 369 
 3569 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; XF ; 17 ; DVZ ; 79 
 3570 ; 10 марок. Финляндия ; 1996 ;  ; Би/м ; VF-XF ; 32 ; mefody73 ; 31 
 3571 ; 10 чентезими. Италия ; 1867 ;  ; Br ; VF+ ; 46 ; kornum ; 400 
 3572 ; Монета. Восток ;  ;  ; Br ; F ; 17 ; Slava O ; 273 
 3573 ; 1 тымф (18 грошей). Польша. Отверстие ; 1756 ;  ; Ag ; VG ; 50 ; aziya11 ; 319 
 3574 ; 200 лир. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al/Br ; Unc ; 25 ; kornum ; 153 
 3575 ; 100 лир. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; St ; Unc ; 17 ; aralsk ; 244 
 3476 ; 2 марки. ФРГ ; 1994G ;  ; Cu-Ni ; XF+ ; 7 ; DM2713 ; 82 
 3477 ; 1 крона. Швеция. Король Карл XVI Густав ; 2000 ;  ; Cu-Ni ; VF+ ; 29 ; DVZ ; 122 
 3478 ; 1 пенни. Великобритания ; 1921 ;  ; Br ; F+ ; 9 ; ag58 ; 20 
 3479 ; 25 центов. Британские Карибские территории ; 1965 ;  ; Cu-Ni ; VF ; 14 ; gorbi ; 40 
 3480 ; 10 центов. Австралия ; 1993 ;  ; Cu-Ni ; VF+ ; 18 ; ag58 ; 19 
 3481 ; 1/2 пенни. Великобритания ; 1966 ;  ; Br ; AU ; 13 ; Dukat ; 20 
 3482 ; 20 капик. Азербайджан ; 2006 ;  ; Лат/St ; AU ; 6 ; sibirian ; 10 
 3483 ; 2 евро. Финляндия. Туве Янсон ; 2014 ;  ; Би/м ; XF+ ; 5 ; спарта ; 146 
 3484 ; 1 крона. Остров Мэн. Миллениум ; 1979 ;  ; Cu-Ni ; AU ; 20 ; matehev ; 226 
 3485 ; 1 крона. Остров Мэн. Миллениум ; 1979 ;  ; Cu-Ni ; AU ; 17 ; matehev ; 227 
 3486 ; 1 крона. Остров Мэн. Миллениум ; 1979 ;  ; Cu-Ni ; AU ; 23 ; matehev ; 255 
 3487 ; 25 пенсов. Джерси. ; 1977 ;  ; Cu-Ni ; AU ; 17 ; jj ; 105 
 3488 ; 1/12 скиллинга. Швеция ; 1802 ;  ; Cu ; VF ; 34 ; rulka ; 432 
 3489 ; 2 сантима. Бельгия ; 1863 ;  ; Cu ; VF- ; 12 ; страус ; 32 
 3490 ; 2 сантима. Бельгия ; 1836 ;  ; Cu ; VF- ; 11 ; сама71 ; 31 
 3491 ; 1/12 анны. Британская Индия ; 1920 ;  ; Br ; XF- ; 17 ; kornum ; 102 
 3492 ; 25 сентимо. Испания ; 1927 ;  ; Cu-Ni ; VF ; 54 ; rulka ; 153 
 3493 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF ; 31 ; kornum ; 466 
 3494 ; 2 злотых. Польша ; 2003 ;  ; Латунь ; XF+ ; 29 ; Vol4en0k ; 113 
 3495 ; 5 долларов. Маршалловы острова. Свобода. ; 1995 ;  ; Cu-Ni ; AU ; 34 ; инструктор ; 224 
 3496 ; 100 франков. Франция ; 1957 ;  ; Cu-Ni ; XF+ ; 7 ; Bonyf ; 34 
 3497 ; 100 франков. Франция ; 1955 ;  ; Cu-Ni ; XF+ ; 11 ; Bonyf ; 34 
 3498 ; 5 центов. США ; 1930 ;  ; Cu-Ni ; VF ; 17 ; Bonyf ; 104 
 3499 ; 5 центов. США ; 1919 ;  ; Cu-Ni ; VF-XF ; 15 ; сама71 ; 153 
 3500 ; 5 центов. США ; 1937 ;  ; Cu-Ni ; XF ; 20 ; сама71 ; 255 
 3501 ; 5 песо. Куба ; 1999 ;  ; Би/м ; AU ; 21 ; ax-i-ox ; 1428 
 3502 ; 2 евро. Германия. Бавария ; 2012 ;  ; Би/м ; AU ; 14 ; Dahan ; 147 
 3503 ; 1 сентаво. Филиппины ; 1944 ;  ; Br ; XF+ ; 53 ; kornum ; 128 
 3504 ; 1 цент. США ; 1903 ;  ; Br ; XF ; 22 ; murka1973 ; 227 
 3505 ; 1/2 пенни. Великобритания ; 1966 ;  ; Br,краска ; XF+ ; 28 ; ranma555 ; 204 
 3506 ; 1/2 пенни. Великобритания ; 1928 ;  ; Br ; AU ; 30 ; 1023oxana ; 216 
 3507 ; 1 песо. Куба ; 1982 ;  ; Cu-Ni ; AU ; 17 ; 195267 ; 509 
 3508 ; Фартинг. Великобритания ; 1923 ;  ; Br ; AU ; 21 ; Bonyf ; 110 
 3509 ; Фартинг. Великобритания ; 1891 ;  ; Br ; XF ; 13 ; 1023oxana ; 217 
 3510 ; Фартинг. Великобритания ; 1806 ;  ; Br ; VF ; 17 ; 1023oxana ; 459 
 3511 ; 1/2 пенни. Великобритания ; 1901 ;  ; Br ; XF ; 19 ; 1023oxana ; 308 
 3512 ; 5 марок. ФРГ. 250-летие со дня рождения Иммануила Канта ; 1974D ;  ; Ag ; AU ; 24 ; alik434 ; 258 
 3513 ; 5 марок. ФРГ. 50-летие со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 10 ; paranoy ; 252 
 3514 ; 5 марок. ФРГ. 1975 - Всеевропейский год защиты памятников ; 1975F ;  ; Ag ; AU ; 14 ; kroman ; 258 
 3515 ; 5 марок. ФРГ. 100-летие со дня рождения Альберта Швейцера ; 1975G ;  ; Ag ; AU ; 13 ; paranoy ; 252 
 3516 ; 5 марок. ФРГ. 300-летие со дня смерти Ганса Гриммельсхаузена ; 1976D ;  ; Ag ; AU ; 17 ; karl ; 250 
 3517 ; 5 марок. ФРГ. 200-летие со дня рождения Карла Фридриха Гаусса ; 1977J ;  ; Ag ; AU ; 16 ; alik434 ; 306 
 3518 ; 5 марок. ФРГ. 200-летие со дня рождения Генриха фон Клейста ; 1977G ;  ; Ag ; AU ; 13 ; paranoy ; 252 
 3519 ; 5 марок. ФРГ. 100-летие со дня рождения Густава Штреземана ; 1978D ;  ; Ag ; AU ; 13 ; paranoy ; 252 
 3520 ; 5 марок. ФРГ. 225-летие со дня смерти Бальтазара Неймана ; 1978F ;  ; Ag ; AU ; 14 ; kroman ; 258 
 3521 ; 5 марок. ФРГ. 150-летие Немецкого археологического института ; 1979J ;  ; Ag ; XF+ ; 19 ; paranoy ; 252 
 3522 ; 5 марок. ФРГ. 500-летие со дня рождения Альбрехта Дюрера ; 1971D ;  ; Ag ; XF+ ; 17 ; paranoy ; 247 
 3523 ; 5 марок. ФРГ. 100-летие основания Германской империи ; 1971G ;  ; Ag ; XF+ ; 9 ; paranoy ; 250 
 3524 ; 5 марок. ФРГ. 375-летие со дня смерти Герхарда Меркатора ; 1969F ;  ; Ag ; AU ; 20 ; paranoy ; 252 
 3525 ; 5 марок. ФРГ. 200-летие со дня рождения Людвига ван Бетховена ; 1970F ;  ; Ag ; AU ; 23 ; gdrg2 ; 250 
 3426 ; 1 цент. Канада ; 1916 ;  ; Br ; VF+ ; 9 ; SKeeper ; 49 
 3427 ; 1 пенни. Гамбия ; 1966 ;  ; Br ; XF ; 19 ; matehev ; 147 
 3428 ; 1 цент. Канада ; 1903 ;  ; Br ; VF ; 38 ; kornum ; 181 
 3429 ; 1 цент. Канада ; 1859 ;  ; Br ; F-VF ; 14 ; derfalke ; 33 
 3430 ; 1 пенни. Ирландия ; 1942 ;  ; Br ; VF ; 18 ; derfalke ; 36 
 3431 ; 1/12 шиллинга. Джерси ; 1960 ;  ; Br ; XF ; 24 ; gdrg2 ; 56 
 3432 ; 50 сентаво. Мексика ; 1959 ;  ; Br ; XF ; 11 ; SKeeper ; 69 
 3433 ; 1 пенни. Фиджи ; 1940 ;  ; Cu-Ni ; VF ; 61 ; ВМШ ; 204 
 3434 ; 1 драхма. Греция ; 1926 ;  ; Cu-Ni ; F-VF ; 23 ; lirik ; 45 
 3435 ; 5 песо. Уругвай ; 1975 ;  ; Br ; VF-XF ; 25 ; DVZ ; 119 
 3436 ; 1/2 доллара. США ;  ;  ; Ag ; F+ ; 13 ; vitapool ; 194 
 3437 ; Мангир. Крым. Шахин-Гирей ; 1777 ;  ; Cu ; F ; 28 ; Ten Nochi ; 306 
 3438 ; 50 франков. Центральная Африка ; 1961 ;  ; Cu/Ni ; VF+ ; 16 ; Волк33 ; 222 
 3439 ; 1 чентезимо. Италия ; 1809 ;  ; Cu ; F ; 16 ; smel ; 227 
 3440 ; 1 рубль. Беларусь. Белоруский балет ; 2013 ;  ; Cu-Ni ; Proof ; 19 ; AB ; 327 
 3441 ; 1 рубль. Беларусь. 70 лет освобождения Беларуси ; 2014 ;  ; Cu-Ni ; Proof ; 23 ; potters.3 ; 570 
 3442 ; 1 рубль. Беларусь. Птица года. Удод ; 2013 ;  ; Cu-Ni ; Proof ; 19 ; AB ; 341 
 3443 ; 1 рубль. Беларусь. Подкова ; 2010 ;  ; Cu-Ni ; Proof ; 32 ; sibirian ; 302 
 3444 ; 1 рубль. Беларусь. Белый аист ; 2009 ;  ; Cu-Ni ; Proof ; 29 ; kolbur ; 355 
 3445 ; 1 рубль. Беларусь. Гончарство ; 2012 ;  ; Cu-Ni ; Proof ; 23 ; Bambr ; 308 
 3446 ; 1 рубль. Беларусь. Лев Сапега ; 2010 ;  ; Cu-Ni ; Proof ; 25 ; sibirian ; 302 
 3447 ; 1 рубль. Беларусь. 1025 лет крещения Руси ; 2013 ;  ; Cu-Ni ; Proof ; 17 ; u10257 ; 313 
 3448 ; 1 рубль. Беларусь. Слуцкие паласы ; 2013 ;  ; Cu-Ni ; Proof ; 19 ; aurin1 ; 442 
 3449 ; 1 рубль. Беларусь. Овен ; 2009 ;  ; Cu-Ni ; Proof ; 32 ; ОМОН10 ; 260 
 3450 ; 1 рубль. Беларусь. Аркадий Куляшов ; 2014 ;  ; Cu-Ni ; Proof ; 16 ; Bambr ; 306 
 3451 ; 10 рублей. Беларусь. Аладава ; 2007 ;  ; Ag ; Proof ; 34 ; Artemon ; 1019 
 3452 ; 100 мон. Япония ; ND ;  ; Br ; VF ; 32 ; ranma555 ; 600 
 3453 ; 200 марок. Веймар ; 1923A ;  ; Al ; XF ; 32 ; Vovs ; 120 
 3454 ; 500 рупий. Индонезия ; 2003 ;  ; Al ; XF ; 7 ; oksmi ; 16 
 3455 ; 20 тетри. Грузия ; 1993 ;  ; St ; XF- ; 8 ; gorbi ; 22 
 3456 ; 1/4 анны. Британская Индия ; 1886 ;  ; Br ; F-VF ; 44 ; Monata ; 83 
 3457 ; 1/2 анны. Британская Индия ; 1862 ;  ; Br ; F+ ; 53 ; witchhunter ; 101 
 3458 ; 1 пенни. Родезия и Ньясаленд ; 1963 ;  ; Br ; XF ; 18 ; trial ; 97 
 3459 ; 50 центов. Багамы ; 1969 ;  ; Cu-Ni ; XF ; 24 ; istleman ; 164 
 3460 ; 1 пенни. Британская Западная Африка ; 1936 ;  ; Cu-Ni ; AU ; 46 ; patriotXXX ; 254 
 3461 ; 1/4 кроны. Острова Теркс и Кайкос ; 1981 ;  ; Cu-Ni ; XF ; 39 ; mkm1968 ; 266 
 3462 ; 1 франк. Марокко ; ND ;  ; Cu-Ni ; VF ; 34 ; SKeeper ; 123 
 3463 ; 1 пенни. Британская Западная Африка ; 1940 ;  ; Cu-Ni ; VF ; 59 ; patriotXXX ; 203 
 3464 ; 25 центов. Эфиопия ; 1936 ;  ; Br ; VF ; 21 ; trial ; 65 
 3465 ; 10 центов. Восточная Африка ; 1941 ;  ; Br ; VF-XF ; 65 ; patriotXXX ; 156 
 3466 ; 1 пенни. Южная Родезия ; 1954 ;  ; Br ; VF+ ; 73 ; dsp ; 453 
 3467 ; 1/2 пенни. Британская Западная Африка ; 1952 ;  ; Br ; VF ; 49 ; irino4ka ; 189 
 3468 ; 1 филс. Ирак ; 1938 ;  ; Br ; VF ; 45 ; балбес ; 50 
 3469 ; 5 марок. ГДР. Бранденбургские ворота ; 1971А ;  ; Cu/Ni ; VF+ ; 25 ; TiBuL ; 55 
 3470 ; 5 марок. ГДР. Г. Мейссен ; 1972А ;  ; Cu/Ni ; VF ; 13 ; северянин ; 76 
 3471 ; 5 марок. ГДР. Дворец в Потсдаме ; 1986А ;  ; Cu/Ni ; AU ; 19 ; maleevsw ; 1134 
 3472 ; 5 марок. ГДР. Тильман Рименшнайдер ; 1981 ;  ; Cu/Ni ; AU ; 29 ; maleevsw ; 1024 
 3473 ; 5 марок. ФРГ. Штейн ; 1981 ;  ; Cu-Ni ; AU ; 32 ; gdrg2 ; 134 
 3474 ; 5 крон. Эстония. 75 лет Национальному банку Эстонии ; 1994 ;  ; Cu- Al-Zn ; XF+ ; 29 ; 6719 ; 76 
 3475 ; 5 крон. Эстония. 75 лет Эстонской Республике ; 1993 ;  ; Cu- Al-Zn ; XF+ ; 22 ; 6719 ; 84 
 3376 ; 5 оре. Норвегия ; 1915 ;  ; Cu ; VF-XF ; 13 ; SKeeper ; 153 
 3377 ; 1 лей. Румыния ; 1924 ;  ; Cu-Ni ; VF-XF ; 31 ; Александр007 ; 44 
 3378 ; 50 сантимов. Испания ; 1949 ;  ; Cu-Ni ; VF-XF ; 17 ; trial ; 42 
 3379 ; 1/2 марки. Германия. Нотгельд ; 1920 ;  ; Fe ; AU ; 32 ; colonel6262 ; 385 
 3380 ; 50 пфенниг. Германия. Нотгельд ; ND ;  ; Fe ; XF- ; 30 ; colonel6262 ; 1542 
 3381 ; 50 пфенниг. Германия. Нотгельд ; 1918 ;  ; Лат ; AU ; 23 ; dim66 ; 295 
 3382 ; 50 пфенниг. Германия. Нотгельд ; 1918 ;  ; Fe ; XF- ; 16 ; colonel6262 ; 385 
 3383 ; 50 пфенниг. Германия. Нотгельд ; 1917 ;  ; Zn ; XF- ; 13 ; colonel6262 ; 242 
 3384 ; 10 пфенниг. Германия. Нотгельд ; 1921 ;  ; Fe ; XF+ ; 24 ; 220W ; 278 
 3385 ; 10 пфенниг. Германия. Нотгельд ; 1920 ;  ; Zn ; XF ; 20 ; banks ; 242 
 3386 ; 10 пфенниг. Германия. Нотгельд ; 1918 ;  ; Zn ; XF- ; 23 ; Notgelder ; 328 
 3387 ; 10 пфенниг. Германия. Нотгельд ; ND ;  ; Fe ; XF- ; 19 ; colonel6262 ; 642 
 3388 ; 10 пфенниг. Германия. Нотгельд ; 1918 ;  ; Fe ; XF- ; 14 ; banks ; 255 
 3389 ; 5 пфенниг. Германия. Нотгельд ; 1918 ;  ; Zn ; XF ; 23 ; colonel6262 ; 597 
 3390 ; 5 пфенниг. Германия. Нотгельд ; ND ;  ; Zn ; VF ; 17 ; colonel6262 ; 268 
 3391 ; 5 пфенниг. Германия. Нотгельд ; 1919 ;  ; Fe ; VF ; 14 ; TiBuL ; 244 
 3392 ; 5 пфенниг. Германия. Нотгельд ; 1918 ;  ; Zn ; VF+ ; 19 ; colonel6262 ; 268 
 3393 ; 5 пфенниг. Германия. Нотгельд. Отверстие ; 1918 ;  ; Fe ; VF ; 15 ; banks ; 255 
 3394 ; 2 доллара. Багамы ; 1971 ;  ; Ag ; AU ; 31 ; alehandr ; 1031 
 3395 ; 1 доллар. Британские Виргинские острова ; 1973 ;  ; Ag ; Proof ; 19 ; ASTRAL ; 961 
 3396 ; 5 франков. Франция ; 1875 ;  ; Ag ; VF+ ; 12 ; svu14 ; 804 
 3397 ; 5 франков. Франция ; 1869 ;  ; Ag ; VF ; 11 ; VOLKODAVS5 ; 995 
 3398 ; 5 франков. Бельгия ; 1869 ;  ; Ag ; VF ; 9 ; derfalke ; 857 
 3399 ; 1 крона. Австралия ; 1937 ;  ; Ag ; VF ; 23 ; Ю42 ; 979 
 3400 ; 1/2 кроны. Великобритания ; 1909 ;  ; Ag ; VF ; 27 ; 1023oxana ; 773 
 3401 ; 1/2 доллара. США. Джордж Карвер и Букер Т.Вашингтон ; 1952 ;  ; Ag ; AU ; 13 ; paranoy ; 712 
 3402 ; 1/2 рупии. Индия ; 1943 ;  ; Ag ; XF ; 15 ; kornum ; 408 
 3403 ; 10 долларов. Либерия. Кеннеди ; 2000 ;  ; Cu-Ni ; AU ; 17 ; ЛБС ; 255 
 3404 ; 5 долларов. Маршалловы острова. Первый человек на Луне ; 1989 ;  ; Cu-Ni ; AU ; 18 ; SergeyDzen ; 363 
 3405 ; 1 доллар. Ямайка. Первый примьер-министр ; 1976 ;  ; Cu-Ni ; Proof ; 18 ; SKeeper ; 153 
 3406 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; XF+ ; 22 ; sibirian ; 81 
 3407 ; 25 новых пенсов. Великобритания. 80 лет королеве-матери ; 1980 ;  ; Cu-Ni ; AU ; 14 ; балбес ; 90 
