 3292 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 17 ; Poiuyt ; 21 
 2512 ; 50 шиллингов. Австрия. 100 лет Дунайскому вальсу ; 1967 ;  ; Ag ; AU ; 31 ; jef688 ; 301 
 2513 ; 1/2 марки. Германия ; 1905 ; A ; Ag ; VF ; 21 ; kostik_ne ; 69 
 2514 ; 1/2 марки. Германия ; 1906 ; A ; Ag ; VF ; 12 ; kostik_ne ; 92 
 2515 ; 1/2 марки. Германия ; 1906 ; F ; Ag ; VF ; 12 ; kostik_ne ; 47 
 2516 ; 1/2 марки. Германия ; 1907 ; A ; Ag ; VF ; 28 ; olegnw ; 102 
 2517 ; 1/2 марки. Германия ; 1914 ; A ; Ag ; AU ; 24 ; rustam ; 104 
 2518 ; 1/2 марки. Германия ; 1915 ; A ; Ag ; AU ; 18 ; rustam ; 104 
 2519 ; 5 злотых. Польша. Заделано отверстие 12 часов ; 1933 ;  ; Ag ; F-VF ; 35 ; jef688 ; 107 
 2520 ; 1 крона. Австрия. Франк Иосиф I ; 1896 ;  ; Ag ; F-VF ; 72 ; Михалыч ; 104 
 2521 ; 5 пфеннигов. Германия ; 1875 ; A ;  ; VF- ; 36 ; kostik_ne ; 35 
 2522 ; 500 марок. Финляндия. Олимпийские игры. Хельсинки ; 1952 ;  ; Ag ; VF ; 54 ; gary_sl ; 836 
 2423 ; 10 вон. Северная Корея. Корейский фольклор. Дети со скакалкой ; 1998 ;  ; Ag ; proof ; 12 ; Poiuyt ; 426 
 2424 ; 5 вон. Северная Корея. Гринды или Шароголовые дельфины ; 2001 ;  ; Ag ; proof ; 6 ; vasja ; 465 
 2425 ; 100 рупий. Непал. Международный год детей ; 1974 ;  ; Ag ; proof ; 42 ; kvnsmol ; 453 
 2426 ; 10 вон. Северная Корея. Корейский фольклор. Качели ; 1998 ;  ; Ag ; proof ; 24 ; pd ; 777 
 2427 ; 50 тала. Самоа и Сисифо. Кон-Тики ; 1988 ;  ; Pd  ; proof ; 46 ; romar ; 7975 
 2428 ; 1 фунт. Кипр. Всемирный фонд живой природы. 2 барана ; 1986 ;  ; Ag ; proof ; 28 ; ААФ ; 813 
 2429 ; 2 доллара. О-ва Кука. Йеллоустонский национальный парк. Гризли ; 1996 ;  ; Ag ; proof ; 30 ; KKK ; 465 
 2430 ; 2 гривны. Украина. Первая Конституция Украины ; 1997 ;  ; Cu/Ni ; proof ; 54 ; gary_sl ; 510 
 2431 ; 50 песо. Мексика. Кубок по футболу 1986 года ; 1985 ;  ; Ag ; proof ; 35 ; lawyer ; 408 
 2432 ; 50 песо. Мексика. Кубок по футболу 1986 года ; 1985 ;  ; Ag ; proof ; 60 ; Poiuyt ; 305 
 2433 ; 25 песо. Мексика. Кубок по футболу 1986 года ; 1985 ;  ; Ag ; proof ; 35 ; lesnik1 ; 411 
 2434 ; 1 вон. Северная Корея. Горал ; 2001 ;  ; Cu/Ni  ; proof ; 18 ; ААФ ; 326 
 2435 ; 5 юаней. Китай. Журавль ; 1997 ;  ; Br  ; AU ; 32 ; BVM ; 102 
 2436 ; 5 юаней. Китай. Фазан ; 1998 ;  ; Br  ; AU ; 15 ; ААФ ; 134 
 2437 ; 5 юаней. Китай. Ибис ; 1997 ;  ; Br  ; AU ; 31 ; ААФ ; 100 
 2438 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1936 ; D ; Ag ; VF+ ; 51 ; ved ; 579 
 2439 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; D ; Ag ; VF-XF ; 6 ; SKV ; 255 
 2440 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; G ; Ag ; VF+ ; 15 ; o.k. ; 204 
 2441 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1936 ; E ; Ag ; VF+ ; 42 ; ved ; 728 
 2442 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1938 ; D ; Ag ; XF+ ; 45 ; SKV ; 351 
 2443 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; F ; Ag ; VF-XF ; 10 ; SKV ; 255 
 2444 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; J ; Ag ; XF- ; 12 ; SKV ; 267 
 2445 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; A ; Ag ; VF-XF ; 18 ; alexey_s ; 211 
 2446 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1938 ; J ; Ag ; VF-XF ; 8 ; SKV ; 255 
 2447 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1938 ; B ; Ag ; XF- ; 8 ; SKV ; 255 
 2448 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; A ; Ag ; XF- ; 10 ; SKV ; 255 
 2449 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; G ; Ag ; VF-XF ; 27 ; SKV ; 253 
 2450 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; D ; Ag ; XF+ ; 24 ; Конрос бид 32 ; 420 
 2451 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1938 ; E ; Ag ; XF- ; 8 ; SKV ; 255 
 2452 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; А ; Ag ; VF-XF ; 10 ; SKV ; 255 
 2453 ; 3 пенса. Британская Западная Африка. Елизаветта II ; 1957 ;  ; Cu/Ni ; VF-XF ; 78 ; lawyer ; 3578 
 2454 ; 1 гривня. Украина ; 2001 ;  ; Br ; XF ; 12 ; Скрудж ; 12 
 2455 ; 2 гривны. Украина. 170 лет Киевскому Национальному университету им. Тараса Шевченко ; 2004 ;  ; Cu/Ni/Zn  ; proof ; 48 ; Скрудж ; 91 
 2456 ; 2 гривны. Украина. 200 лет со дня рождения Михайло Максимовича ; 2004 ;  ; Cu/Ni/Zn  ; proof ; 29 ; BVM ; 91 
 2457 ; 20 гривен. Украина. 350 лет со дня восстания казаков ; 1998 ;  ; Ag ; proof ; 22 ; gary_sl ; 747 
 2458 ; 1000 лева. Болгария. ЮНИСЕФ, Фонд ООН помощи детям. Поющий ребенок ; 1997 ;  ; Ag ; proof ; 73 ; ЕВС ; 587 
 2459 ; 1 доллар. Китай. Провинция Ганьсу ; 1914 ;  ; Ag ; VF ; 26 ; kolobokoff ; 729 
 2460 ; 1 доллар. Китай. Дракон ; 1911 ;  ; Ag ; VF ; 26 ; Гордиан ; 1326 
 2461 ; 50 центов. Китай. Провинция Гирин. Дракон ; 1906-1908 ;  ; Ag ; VF+ ; 39 ; oleko ; 521 
 2462 ; 50 центов. Китай. Провинция Гирин. Дракон ; 1901-1905 ;  ; Ag ; VF ; 59 ; oleko ; 566 
 2463 ; 20 центов. Китай. Провинция Гирин. Дракон ; 1901-1905 ;  ; Ag ; VF+ ; 23 ; oleko ; 417 
 2464 ; 1 цзяо. Китай. Великая Маньчжурская империя ; 1933-1939 ;  ; Cu/Ni ; VF ; 47 ; gelind ; 77 
 2465 ; 10 кэш. Китай. Провинция Гуандун. Дракон ; 1900-1906 ;  ; Cu ; VF+ ; 42 ; Coins911 ; 132 
 2466 ; 20 кэш. Китай. Дракон ; 20 век ;  ; Cu ; VF- ; 10 ; oleko ; 27 
 2467 ; 20 кэш. Китай. Дракон ; 20 век ;  ; Cu ; F-VF ; 7 ; SadKo ; 17 
 2468 ; 10 пфеннигов. ФРГ ; 1950 ; D ; Br ; VF+ ; 19 ; jagerV ; 20 
 2469 ; 10 пфеннигов. ФРГ ; 1970 ; F ; Br ; VF+ ; 12 ; vanamo ; 13 
 2470 ; 10 пфеннигов. ФРГ ; 1971 ; F ; Br ; VF-XF ; 13 ; BVM ; 14 
 2471 ; 10 пфеннигов. ФРГ ; 1972 ; J ; Br ; VF+ ; 12 ; vanamo ; 13 
 2472 ; 10 пфеннигов. ФРГ ; 1973 ; D ; Br ; VF+ ; 19 ; jagerV ; 20 
 2373 ; 10 бат. Тайланд. 60 лет Национальному Собранию ; 20 век ;  ; Cu/Ni ; AU ; 30 ; levsha ; 51 
 2374 ; 10 бат. Тайланд. 60 лет Королевской языковой академии ; 20 век ;  ; Cu/Ni ; AU ; 57 ; seaman ; 119 
 2375 ; 10 бат. Тайланд. 100 лет педагогическому институту ; 20 век ;  ; Cu/Ni ; AU ; 81 ; seaman ; 119 
 2376 ; 10 бат. Тайланд. Окончание университета принцессой Чулабхорн ; 20 век ;  ; Cu/Ni ; AU ; 53 ; seaman ; 149 
 2377 ; 10 бат. Тайланд. 80 лет матери короля ; 20 век ;  ; Cu/Ni ; AU ; 53 ; seaman ; 134 
 2378 ; 10 бат. Тайланд. Отец короля Рамы IX Махидон ; 20 век ;  ; Cu/Ni ; AU ; 36 ; seaman ; 129 
 2379 ; 10 бат. Тайланд. 120 лет Совета консультантов ; 20 век ;  ; Cu/Ni ; AU ; 73 ; seaman ; 131 
 2380 ; 10 бат. Тайланд. 64-ый день рождения короля ; 20 век ;  ; Cu/Ni ; AU ; 65 ; seaman ; 131 
 2381 ; 20 бат. Тайланд. 50-лет правления короля Рамы IX ; 20 век ;  ; Cu/Ni ; AU ; 36 ; seaman ; 169 
 2382 ; 10 бат. Тайланд. 100-летие Рамы VII ; 20 век ;  ; Cu/Ni ; AU ; 47 ; seaman ; 144 
 2383 ; 20 бат. Тайланд. 100-летие госпиталю Сирирай ; 20 век ;  ; Cu/Ni ; AU ; 52 ; seaman ; 172 
 2384 ; 20 бат. Тайланд. Собрание членов правления Азиатского банка развития ; 20 век ;  ; Cu/Ni ; AU ; 49 ; seaman ; 152 
 2385 ; 20 бат. Тайланд. Организация ООН по вопросам продовольствия и сельского хозяйства ; 20 век ;  ; Cu/Ni ; AU ; 93 ; seaman ; 156 
 2386 ; 20 бат. Тайланд. 90 лет сберегательному банку ; 20 век ;  ; Cu/Ni ; AU ; 53 ; smel ; 179 
 2387 ; 20 бат. Тайланд. 72-ой день рожнения короля ; 20 век ;  ; Cu/Ni ; AU ; 51 ; seaman ; 156 
 2388 ; 20 бат. Тайланд. Год информационных технологий ; 20 век ;  ; Cu/Ni ; AU ; 63 ; seaman ; 143 
 2389 ; 20 бат. Тайланд. 84 года аудиторскому совету ; 20 век ;  ; Cu/Ni ; AU ; 58 ; seaman ; 172 
 2390 ; 20 бат. Тайланд. 100 лет железной дороги ; 20 век ;  ; Cu/Ni ; AU ; 35 ; levsha ; 176 
 2391 ; 20 бат. Тайланд. Год защиты окружающей среды ; 20 век ;  ; Cu/Ni ; AU ; 53 ; seaman ; 156 
 2392 ; 20 бат. Тайланд. Юбилейная ; 20 век ;  ; Cu/Ni ; AU ; 55 ; seaman ; 175 
 2393 ; 10 бат. Тайланд. Рама III ; 20 век ;  ; Би/м ; AU ; 23 ; S8D36 ; 53 
 2394 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 21 ; S8D36 ; 84 
 2395 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 32 ; S8D36 ; 53 
 2396 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 13 ; S8D36 ; 84 
 2397 ; 10 бат. Тайланд. Совет по экономическому и социальному развитию ; 20 век ;  ; Би/м ; AU ; 35 ; S8D36 ; 53 
 2398 ; 10 бат. Тайланд. Азиатско-тихоокеанское экономическое сотрудничество ; 20 век ;  ; Би/м ; AU ; 57 ; S8D36 ; 177 
 2399 ; 10 бат. Тайланд. Таммасатский университет ; 20 век ;  ; Би/м ; AU ; 13 ; S8D36 ; 53 
 2400 ; 10 бат. Тайланд. 20-ый мировой праздник скаутов ; 20 век ;  ; Би/м ; AU ; 15 ; S8D36 ; 53 
 2401 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 13 ; S8D36 ; 51 
 2402 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 24 ; S8D36 ; 178 
 2403 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 37 ; seaman ; 93 
 2404 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 47 ; seaman ; 131 
 2405 ; 10 бат. Тайланд. 72-й день рождения короля ; 20 век ;  ; Би/м ; AU ; 16 ; levsha ; 51 
 2406 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 31 ; S8D36 ; 103 
 2407 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 12 ; levsha ; 51 
 2408 ; 10 бат. Тайланд. Международный союз охраны природы и природных ресурсов ; 20 век ;  ; Би/м ; AU ; 14 ; levsha ; 57 
 2409 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 32 ; levsha ; 51 
 2410 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 57 ; seaman ; 113 
 2411 ; 10 бат. Тайланд. 100-й день рождения матери короля ; 20 век ;  ; Би/м ; AU ; 26 ; levsha ; 51 
 2412 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 53 ; seaman ; 101 
 2413 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 57 ; seaman ; 107 
 2414 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 12 ; levsha ; 74 
 2415 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 29 ; seaman ; 117 
 2416 ; 10 бат. Тайланд. 13-е Азиатские игры, Банкгкок ; 20 век ;  ; Би/м ; AU ; 26 ; levsha ; 51 
 2417 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 23 ; levsha ; 51 
 2418 ; 10 бат. Тайланд. Юбилейная ; 20 век ;  ; Би/м ; AU ; 35 ; S8D36 ; 53 
 2419 ; 25 лева. Болгария. XXIV Летние Олимпийские игры. Прыжки в высоту ; 1988 ;  ; Ag ; proof ; 43 ; Poiuyt ; 477 
 2420 ; 2 паанга. Тонга. 25 лет всемирному фонду живой природы. 2 кита ; 1986 ;  ; Ag ; proof ; 27 ; xabib ; 553 
 2421 ; 25 пенсов. Фолклендские о-ва. Всемирный фонд живой природы. 3 птицы ; 1997 ;  ; Ag ; proof ; 31 ; Mike! ; 521 
 2422 ; 20 долларов. О-ва Кука. Олимпийские игры 1996 года. Прыжки в высоту, бег ; 1996 ;  ; Ag ; proof ; 70 ; Mike! ; 645 
 2323 ; 20 долларов. Кирибати. Олимпиада в Барселоне-мореплавание ; 1992 ;  ; Ag ; proof ; 50 ; Igorek81 ; 771 
 2324 ; 2 франка. Франция ; 1866 ;  ; Ag ; F-VF ; 50 ; Mike! ; 223 
 2325 ; 5 шиллингов. Австрия ; 1962 ;  ; Ag ; VF-XF ; 42 ; kvnsmol ; 101 
 2326 ; 25 центов. Нидерланды ; 1917 ;  ; Ag ; VF- ; 19 ; VR62 ; 128 
 2327 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; XF+ ; 78 ; kro ; 161 
 2328 ; 3 пенса. Великобритания ; 1874 ;  ; Ag ; VF ; 99 ; kostian1284 ; 493 
 2329 ; 50 пфеннигов. Германия ; 1939 ;  ; Al ; F-VF ; 31 ; ААФ ; 226 
 2330 ; 6 пенсов. Великобритания ; 1916 ;  ; Ag ; VF+ ; 63 ; kro ; 148 
 2331 ; 1 цент. Нидерланды ; 1876 ;  ; Cu Лак ; F-VF ; 46 ; jj ; 80 
 2332 ; 1 цент. Нидерланды ; 1878 ;  ; Br ; F-VF ; 31 ; VR62 ; 53 
 2333 ; 5 пфеннигов. Германия ; 1942 ;  ; Zn ; F-VF ; 11 ; ААФ ; 63 
 2334 ; 1 цент. Нидерланды ; 1883 ;  ; Br Лак ; F-VF ; 3 ; ААФ ; 82 
 2335 ; 50 пфеннигов. Веймар ; 1927 ;  ; Ni ; VF+ ; 45 ; tavitrof ; 140 
 2336 ; 1 пфенниг. Германия ; 1916 ;  ; Cu ; VF+ ; 52 ; Михалыч ; 90 
 2337 ; 10 сенти. Эстония ; 1931 ;  ; Cu/Br ; VF ; 22 ; o.k. ; 102 
 2338 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF+ ; 39 ; Скрудж ; 87 
 2339 ; 1 цент. США. Линкольн ; 1928 ;  ; Cu ; VF+ ; 13 ; nisni ; 44 
 2340 ; 20 геллеров. Австрия ; 1894 ;  ; Ni ; XF ; 43 ; vanamo ; 42 
 2341 ; 5 сили. Гвинея ; 1971 ;  ; Al  ; AU ; 17 ; ААФ ; 79 
 2342 ; 1 пенни. Великобритания ; 1888 ;  ; Br ; F-VF ; 14 ; kro ; 96 
 2343 ; 1 рапп. Швейцария ; 1909 ;  ; Br ; VF-XF ; 12 ; kont ; 62 
 2344 ; 1 шиллинг. Южная Родезия ; 1936 ;  ; Ag ; VF-XF ; 113 ; vengriya ; 700 
 2345 ; 3 пенса. Южная Родезия ; 1941 ;  ; Ag ; VF ; 48 ; rustam ; 176 
 2346 ; 1 шиллинг. Великобритания ; 1948 ;  ; Ag ; AU ; 58 ; kro ; 319 
 2347 ; 3 пенса. Австралия ; 1951 ;  ; Ag ; F-VF ; 35 ; kostik_ne ; 101 
 2348 ; 1 песо. Куба. Цитрусовые ; 1982 ;  ; Ag ; AU ; 46 ; kvnsmol ; 267 
 2349 ; 1 франк. Франция ; 1915 ;  ; Ag ; VF ; 59 ; Михалыч ; 104 
 2350 ; 50 геллеров. Чехословакия ; 1926 ;  ; Cu/Ni ; VF-XF ; 18 ; BVM ; 36 
 2351 ; 10 лева. Болгария ; 1943 ;  ; Cu/Ni ; VF ; 51 ; petrserebr ; 227 
 2352 ; 1 лей. Румыния ; 1910 ;  ; Ag ; F-VF ; 29 ; bethowen ; 272 
 2353 ; 1 пенни. Великобритания ; 1936 ;  ; Br ; VF ; 29 ; kro ; 51 
 2354 ; 1 пенни. Великобритания ; 1897 ;  ; Br ; F-VF ; 44 ; kro ; 101 
 2355 ; 1 пенни. Великобритания ; 1899 ;  ; Br ; VF- ; 5 ; kro ; 55 
 2356 ; 1 пенни. Автралия ; 1936 ;  ; Br ; VF ; 23 ; kostik_ne ; 36 
 2357 ; 1 пенни. Великобритания ; 1907 ;  ; Br ; VF- ; 8 ; kro ; 55 
 2358 ; 1 пенни. Великобритания ; 1909 ;  ; Br ; F-VF ; 83 ; kro ; 306 
 2359 ; 1 пенни. Великобритания ; 1921 ;  ; Br ; VF ; 20 ; san-stefano ; 105 
 2360 ; 1 пенни. Великобритания ; 1935 ;  ; Br ; VF+ ; 10 ; san-stefano ; 104 
 2361 ; 1 пенни. Великобритания ; 1914 ;  ; Br ; VF ; 36 ; kro ; 51 
 2362 ; 1 пенни. Великобритания ; 1917 ;  ; Br ; VF- ; 6 ; kro ; 51 
 2363 ; 1/2 пенни. Великобритания ; 1908 ;  ; Br ; F-VF ; 28 ; kro ; 74 
 2364 ; 1/2 пенни. Великобритания ; 1921 ;  ; Br ; VF ; 22 ; kro ; 74 
 2365 ; 5 центов. США. Убранан подвеска 12 часов ; 1926 ;  ; Cu/Ni ; F-VF ; 17 ; S8D36 ; 35 
 2366 ; 10 бат. Тайланд. Принцесса  Сириндхорн ; 20 век ;  ; Cu/Ni ; AU ; 27 ; levsha ; 61 
 2367 ; 10 бат. Тайланд. 100 лет Министерству внутренних дел ; 20 век ;  ; Cu/Ni ; AU ; 49 ; seaman ; 93 
 2368 ; 10 бат. Тайланд. Министерство селького хозяйства ; 20 век ;  ; Cu/Ni ; AU ; 59 ; seaman ; 93 
 2369 ; 10 бат. Тайланд. 100 лет Министерству юстиций ; 20 век ;  ; Cu/Ni ; AU ; 43 ; seaman ; 101 
 2370 ; 10 бат. Тайланд. 60 лет Министерству финансов ; 20 век ;  ; Cu/Ni ; AU ; 55 ; seaman ; 107 
 2371 ; 10 бат. Тайланд. Годовщина правления короля Рамы IX ; 20 век ;  ; Cu/Ni ; AU ; 14 ; VR62 ; 63 
 2372 ; 10 бат. Тайланд. 60 лет Тамассаткому университету ; 20 век ;  ; Cu/Ni ; AU ; 59 ; seaman ; 113 
 2273 ; 20 крейцеров. Венгрия ; 1869 ;  ; Ag ; VF- ; 54 ; kostian1284 ; 352 
 2274 ; 20 филлеров. Венгрия ; 1893 ;  ; Ni ; VF- ; 36 ; kostian1284 ; 59 
 2275 ; 1 дайм. США ; 1904 ;  ; Ag ; F+ ; 33 ; Volleo ; 79 
 2276 ; 1 цент. США. Линкольн ; 1927 ;  ; Cu ; VF ; 14 ; alexandervolkov ; 51 
 2277 ; 6 пенсов. Южная Родезия ; 1934 ;  ; Ag ; VF ; 46 ; kont ; 184 
 2278 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF+ ; 66 ; kvnsmol ; 161 
 2279 ; 5 центов. Литва ; 1936 ;  ; Br ; VF- ; 42 ; o.k. ; 92 
 2280 ; 2 сантима. Латвия ; 1928 ;  ; Br ; VF- ; 22 ; olegnw ; 63 
 2281 ; 10 долларов. Австралия. Южный кит ; 1996 ;  ; Ag ; proof ; 66 ; ЕВС ; 725 
 2282 ; 50 центов. Австралия. Год змеи ; 2001 ;  ; Ag ; proof ; 15 ; ААФ ; 417 
 2283 ; 1 доллар. Китай ; 1908 ;  ; Ag ; VF ; 55 ; 25051989 ; 1842 
 2284 ; 1 доллар. Китай ; 1912 ;  ; Ag ; VF ; 17 ; ВЯЗ ; 1100 
 2285 ; 20 центов. Китай ;  ;  ; Ag ; VF ; 14 ; oleko ; 340 
 2286 ; 10 центов. Китай ; 1890-1908 ;  ; Ag ; VF ; 40 ; oleko ; 160 
 2287 ; 20 пиастров. Египет ; 1923 ;  ; Ag ; VF ; 97 ; xabib ; 517 
 2288 ; 10 долларов. Намибия. 50 лет объединению наций ; 1995 ;  ; Cu/Ni ; AU ; 33 ; cornelius ; 204 
 2289 ; 1000 добра. Сан Томе и Принсипе. Олимпиада в Атленте-карате ; 1996 ;  ; Cu/Ni ; proof ; 41 ; Igorek81 ; 306 
 2290 ; 5 песо. Мексика. Для детей весь мир ; 1999 ;  ; Ag ; proof ; 57 ; S8D36 ; 476 
 2291 ; 10000 рупий. Индонезия. Охрана детей-игра в бадминтон ; 1990 ;  ; Ag ; proof ; 54 ; Mike! ; 532 
 2292 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; A ; Ag ; VF ; 29 ; o.k. ; 306 
 2293 ; 1 крона. Швеция ; 1890 ;  ; Ag ; F-VF ; 68 ; jef688 ; 149 
 2294 ; 1 крона. Швеция ; 1876 ;  ; Ag ; F ; 18 ; jj ; 128 
 2295 ; 1 ранд. Южная Африка. Туризм ; 2001 ;  ; Ag ; proof ; 24 ; ААФ ; 341 
 2296 ; 1/4 доллара. США ; 1976 ;  ; Cu/Ni ; XF ; 63 ; kro ; 116 
 2297 ; 1 эре. Дания ; 1899 ;  ; Br  ; VF- ; 40 ; В1951 ; 91 
 2298 ; 2 1/2 шиллинга. Южная Африка ; 1960 ;  ; Ag ; AU ; 44 ; udaw ; 524 
 2299 ; 5 песо. Куба. XVI игры Центральной Америки и Карибов-3 атлета ; 1981 ;  ; Ag ; proof ; 45 ; Alexsey2000 ; 300 
 2300 ; 1 гульден. Нидерланды ; 1915 ;  ; Ag ; F-VF ; 53 ; Михалыч ; 365 
 2301 ; 100 злотых. Польша. Защита окружающей среды-олень ; 1978 ;  ; Ag ; proof ; 40 ; gary_sl ; 422 
 2302 ; 10000 золтых. Польша. Визит папы Иоанна Павла II ; 1987 ;  ; Ag ; AU ; 11 ; ICEK ; 500 
 2303 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; G ; Ag ; XF ; 47 ; ВМШ ; 351 
 2304 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; J ; Ag ; XF ; 12 ; o.k. ; 203 
 2305 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ; B ; Ag ; XF ; 22 ; ЕВС ; 356 
 2306 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; F ; Ag ; VF-XF ; 44 ; o.k. ; 521 
 2307 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; XF ; 2 ; pd ; 222 
 2308 ; 2 сантима. Латвия ; 1926 ;  ; Br ; VF- ; 61 ; af ; 161 
 2309 ; 2 сантима. Латвия ; 1932 ;  ; Br ; VF-XF ; 47 ; olegnw ; 65 
 2310 ; 10 лат. Латвия. 75 лет декларации независимости ; 1993 ;  ; Ag ; proof ; 49 ; ВЯЗ ; 616 
 2311 ; 50 лит. Литва. Адам Мицкевич ; 1998 ;  ; Ag ; proof ; 44 ; gary_sl ; 830 
 2312 ; 1 лев. Болгария ; 1913 ;  ; Ag ; VF-XF ; 51 ; Михалыч ; 214 
 2313 ; 5 афгани. Афганистан ; 1980 ;  ; Cu/Ni  ; AU ; 22 ; ААФ ; 57 
 2314 ; 500 афгани. Афганистан. Джузепе Верди ; 2001 ;  ; Ag ; proof ; 40 ; xabib ; 402 
 2315 ; 2000 песо. Аргентина. Чемпионат мира по футболлу 1978г ; 1978 ;  ; Ag ; AU ; 101 ; lawyer ; 685 
 2316 ; 1 лира. Италия ; 1922 ;  ; Ni ; VF-XF ; 56 ; В1951 ; 125 
 2317 ; 10 бальбоа. Панама. Чемпионат по футболлу ; 1982 ;  ; Ag ; proof ; 35 ; jef688 ; 322 
 2318 ; 1000 франков. Экваториальная Гвинея. 150 лет марке г. Базель ; 1995 ;  ; Cu/Ni  ; proof ; 17 ; HARDCOROV ; 459 
 2319 ; 2 ранда. Южная Африка. 50 лет объединению наций ; 1995 ;  ; Ag ; proof ; 23 ; Mike! ; 665 
 2320 ; 1 ранд. Южная Африка. Год инвалидов ; 1986 ;  ; Ag ; proof ; 20 ; ААФ ; 340 
 2321 ; 10 пиастров. Иордания ; 1993 ;  ; Ni в St ; XF ; 24 ; VR62 ; 46 
 2322 ; 100 тугриков. Монголия. Год козла ; 2003 ;  ; Ag ; proof ; 40 ; nikoniko ; 714 
 2223 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 53 ; Михалыч ; 1983 
 2224 ; 3 марки. Сакс-Веймар-Айзенах. Свадьба эрцгерцога Вильгельма Эрнеста с Феодорой ; 1910 ; A ; Ag ; AU ; 95 ; pd ; 5718 
 2225 ; 3 марки. Пруссия. Вильгельм II ; 1909 ; A ; Ag ; VF+ ; 52 ; SKV ; 889 
 2226 ; 2 марки. Баден ; 1903 ; G ; Ag ; VF-XF ; 72 ; foma71 ; 1752 
 2227 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 37 ; rustam ; 1530 
 2228 ; Торговый доллар. Великобритания ; 1898 ;  ; Ag ; VF+ ; 11 ; rustam ; 748 
 2229 ; 1 пиастр. Французский Индо-Китай ; 1898 ;  ; Ag ; VF+ ; 10 ; pd ; 1301 
 2230 ; 2,5 гульдена. Нидерланды. Вильгельмина I ; 1930 ;  ; Ag ; VF-XF ; 56 ; партизан ; 750 
 2231 ; Талер. Мария Терезия. Австрия. Новодел ; 1780 ;  ; Ag ; AU ; 10 ; SSS777 ; 554 
 2232 ; Талер. Мария Терезия. Австрия. Новодел ; 1780 ;  ; Ag ; VF+/VF-XF ; 12 ; SSS777 ; 538 
 2233 ; 1/2 гульдена. Вюртемберг. Вильгельм I ; 1864 ;  ; Ag ; VF ; 55 ; region23 ; 768 
