 3216 ; Бона иностранная ;  ;  ;  ;  ; 10 ; allur65 ; 37 
 2381 ; 3 пенса. Великобритания. Георг VI ; 1938 ;  ; Ag ; XF ; 22 ; Akademik ; 150 
 2382 ; 5 центов. Стрейтс-Сетлментс. Британская Малайя. Георг V ; 1926 ;  ; Ag ; VF+ ; 9 ; caterpi ; 181 
 2383 ; 25 центов. Канада. Георг V - император ; 1938 ;  ; Ag ; XF+ ; 70 ; СВл ; 718 
 2384 ; Флорин. Австралия. Елизавета II ; 1953 ;  ; Ag ; VF+ ; 73 ; sinisha ; 377 
 2385 ; 10 мазун. Французская колония Марокко ; 1321лх ;  ; Cu ; VF ; 28 ; rokada77 ; 186 
 2386 ; 1 доллар (1 унция серебра). США ; 2005 ;  ; Ag ; Proof ; 39 ; fillin ; 765 
 2387 ; 5 долларов. Канада. Олимпиада в Монтреале ; 1975 ;  ; Ag ; AU ; 37 ; Reverse ; 563 
 2388 ; 10 франков. Конго. История автомобилей. С сертификатом ; 2003 ;  ; Ag ; Proof ; 25 ; Sky2 ; 509 
 2389 ; 5 евро. Австрия. Бетховен ; 2005 ;  ; Ag ; AU ; 45 ; serggei ; 520 
 2390 ; 2 злотых. Польша ; 1979 ;  ; Br ; XF ; 40 ; avg1974 ; 46 
 2391 ; 20 сентаво. Мексика ; 1978 ;  ; Cu-Ni ; VF-XF ; 8 ; alex995 ; 16 
 2392 ; 20 пара. Югославия ; 1978 ;  ; Br ; XF+ ; 9 ; ASA ; 16 
 2393 ; 10 пфенингов. Германия ; 1894 ;  ; Cu-Ni ; VF ; 49 ; JonSamyrai ; 90 
 2394 ; 10 франков. Марокко ; 1371 л.х. ;  ; Al/Br ; VF ; 21 ; JonSamyrai ; 27 
 2395 ; 5 центов. Литва ; 1925 ;  ; Br ; F-VF ; 39 ; kai2009 ; 84 
 2396 ; 50 стотинок. Болгария ; 1937 ;  ; Br ; VF-XF ; 58 ; kamensk61 ; 159 
 2397 ; 10 эре. Швеция ; 1970 ;  ; Cu-Ni ; AU ; 18 ; hjk1974 ; 36 
 2398 ; 20 центов. Эстония ; 1992 ;  ; Br ; XF+ ; 12 ; JonSamyrai ; 12 
 2399 ; 25 песет. Испания ; 1996 ;  ; Латунь ; VF-XF ; 16 ; xct ; 16 
 2400 ; 5 лева. Болгария ; 1885 ;  ; Ag ; VF ; 14 ; ВЯЗ ; 1242 
 2401 ; 20 лева. Болгария ; 1930 ;  ; Ag ; VF+ ; 34 ; AI ; 210 
 2402 ; 20 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF-XF ; 17 ; env ; 255 
 2403 ; 1 лев. Болгария ; 1960 ;  ; Cu-Ni ; XF- ; 41 ; himik-58 ; 100 
 2404 ; 50 стотинок. Болгария ; 1959 ;  ; Cu-Ni ; VF-XF ; 20 ; env ; 189 
 2405 ; 25 стотинок. Болгария ; 1951 ;  ; Cu-Ni ; XF- ; 14 ; Nirvanych ; 107 
 2406 ; 20 стотинок. Болгария ; 1954 ;  ; Cu-Ni ; XF+ ; 9 ; PaulMS ; 39 
 2407 ; 10 стотинок. Болгария ; 1951 ;  ; Cu-Ni ; XF+ ; 7 ; PaulMS ; 31 
 2408 ; 5 стотинок. Болгария ; 1951 ;  ; Br ; VF-XF ; 15 ; Nirvanych ; 39 
 2409 ; 3 стотинки. Болгария ; 1951 ;  ; Br ; AU ; 5 ; tisa66 ; 36 
 2410 ; 1 стотинка. Болгария ; 1951 ;  ; Br ; AU ; 14 ; митька ; 105 
 2411 ; 10 лева. Болгария ; 1997 ;  ; Латунь ; AU ; 34 ; env ; 44 
 2412 ; 50 стотинок. Болгария ; 2004 ;  ; Cu-Ni ; AU ; 34 ; Dom Perignon ; 32 
 2413 ; 50 стотинок. Болгария ; 2007 ;  ; Cu-Ni ; AU ; 32 ; seaman ; 51 
 2414 ; 10 лева. Болгария. XIX Зимняя Олимпиада. Лыжник ; 2001 ;  ; Ag ; Proof ; 37 ; велко ; 596 
 2415 ; 50 лева. Болгария. XVII Олимпийские игры. Лыжник ; 1992 ;  ; Ag ; Proof ; 12 ; Dave ; 416 
 2316 ; 1/2 гинеи (10 шиллингов 6 пенсов). Весовая гирька для взвешивания золотых иностранных монет и обмена на английские деньги. Великобритания ; ND ;  ; Br ; F-VF ; 26 ; hjk1974 ; 373 
 2317 ; Фартинг. Токен. Великобритания. Нью Кастл. Портрет Виктории ; ND ;  ; Cu ; VF+ ; 32 ; hjk1974 ; 912 
 2318 ; 1 пайса. Британская Восточная Африка. Момбаса. Виктория ; 1888 ;  ; Cu ; VF+ ; 85 ; shest ; 879 
 2319 ; 1/4 соверена. Модель. Великобритания. Виктория - королева ; ND ;  ; Br ; VF+ ; 68 ; Rober ; 119 
 2320 ; 5 рейс. Португалия. Карлос I ; 1906 ;  ; Cu ; XF+ ; 30 ; hjk1974 ; 406 
 2321 ; 5 геллеров. Немецкая Восточная Африка ; 1909J ;  ; Br ; VF+ ; 66 ; shest ; 2165 
 2322 ; 1 дуду. Французская Индия. Пондишер ; 1836 ;  ; Cu ; F-VF ; 38 ; vlkorchev ; 363 
 2323 ; 1 сантим. Франция ; 1899 ;  ; Cu ; XF+ ; 34 ; ares1953 ; 159 
 2324 ; 10 центов. Саравак ; 1934 ;  ; Cu-Ni ; VF ; 41 ; grimbo ; 405 
 2325 ; 25 центов. Нидерланды. Вильгельмина ; 1905 ;  ; Ag ; VF+ ; 31 ; pius ; 410 
 2326 ; 5 центов. Нидерланды. Вильгельм III ; 1850 ;  ; Ag ; VF-XF ; 20 ; overshtag ; 296 
 2327 ; 1 дайм (10 центов). США ; 1914 ;  ; Ag ; XF- ; 46 ; overshtag ; 520 
 2328 ; 50 сентаво. Филиппины под управлением США ; 1903 ;  ; Ag ; VF-XF ; 43 ; smel ; 441 
 2329 ; 1/4 реала. Гватемала ; 1886 ;  ; Ag ; XF+ ; 21 ; димитрий ; 314 
 2330 ; 1/2 гильдера. Британская колония Эссекьюбо и Демарейру. Георг III ; 1816 ;  ; Ag ; XF+ ; 119 ; forward ; 4284 
 2331 ; 6 пенсов. Токен. Великобритания. Графство Йорк. Георг III ; 1811 ;  ; Ag ; VF+ ; 29 ; hjk1974 ; 1848 
 2332 ; 5 долларов. Колония Британии. Соломоновы острова. Юбилей коронации. Елизавета II ; 1978 ;  ; Ag ; Proof ; 39 ; cash ; 729 
 2333 ; 1/2 кроны. Великобритания после объединения. Анна ; 1707 ;  ; Ag ; VF ; 45 ; hjk1974 ; 5084 
 2334 ; 1 шиллинг. Токен. Великобритания. Графство Шеффилд ; 1811 ;  ; Ag ; VF- ; 84 ; hjk1974 ; 1113 
 2335 ; 1 шиллинг. Великобритания. Георг VI. Английский лев ; 1942 ;  ; Ag ; VF+ ; 16 ; natallli ; 132 
 2336 ; 1 рупия. Индия ; ND ;  ; Ag ; VF ; 61 ; polux17 ; 611 
 2337 ; 1/4 рупии. Индия. Восточная Индийская компания. Вильям IV ; 1835 ;  ; Ag ; F-VF ; 80 ; Alexdav ; 826 
 2338 ; 1 рупия. Британская колония. Сейшельские острова. Георг VI - император ; 1939 ;  ; Ag ; VF+ ; 30 ; overshtag ; 593 
 2339 ; 1 шиллинг. Новая Зеландия. Георг VI - император ; 1943 ;  ; Ag ; AU ; 41 ; q1ai ; 306 
 2340 ; 20 центов. Британская колония. Остров Маврикий. Виктория ; 1877 ;  ; Ag ; VF+ ; 23 ; vova1604 ; 600 
 2341 ; 2 анны - 1 ми. Бирма. Редкий год, тип ; 1852 ;  ; Ag ; VF+ ; 58 ; hjk1974 ; 1047 
 2342 ; 1000 рейс. Португалия. Мария II ; 1845 ;  ; Ag ; VF- ; 139 ; Alexdav ; 5062 
 2343 ; 500 рейс. Португалия. Мария II ; 1851 ;  ; Ag ; VF- ; 91 ; AndrCh58 ; 2142 
 2344 ; 50 сентесимо. Французский Индо-Китай (Вьетнам). Редкий тип ; 1946 ;  ; Cu/Ni ; VF-XF ; 35 ; Abbat ; 591 
 2345 ; 1/2 доллара. США ; 1958 ;  ; Ag ; VF- ; 43 ; vitapool ; 161 
 2346 ; 10 центов. Восточная Африка. Георг VI - император ; 1941I ;  ; Cu ; XF ; 29 ; 542 ; 152 
 2347 ; 10 центов. Канада. 100 лет конфедерации ; 1967 ;  ; Ag ; XF+ ; 48 ; Скрудж ; 107 
 2348 ; 10 франков. Французская колония. Коморские острова ; 1964 ;  ; Al/Br ; VF+ ; 23 ; crow ; 337 
 2349 ; 1 франк. Французская территория афаров и иссов ; 1971 ;  ; Al ; VF-XF ; 33 ; kont ; 263 
 2350 ; 1/2 пиастра. Французская колония. Ливан ; ND(2МВ) ;  ; Br ; VF+ ; 25 ; von_Schwarz ; 206 
 2351 ; 500 рейс. Бразилия. Республика. 100 лет освобождения от Португалии ; 1922 ;  ; Al/Br ; VF-XF ; 34 ; vc57 ; 211 
 2352 ; 2 шиллинга. Великобритания. Елизавета II ; 1963 ;  ; Cu-Ni ; VF ; 13 ; nikolay ; 20 
 2353 ; 1 пенни. Великобритания. Георг VI- король ; 1949 ;  ; Br ; VF-XF ; 93 ; 001a001 ; 200 
 2354 ; 1 пенни. Великобритания. Георг VI- император ; 1948 ;  ; Br ; AU ; 63 ; FEDOTOV1920 ; 131 
 2355 ; 1/2 пенни. Великобритания. Эдуард VII ; 1906 ;  ; Br ; VF+ ; 23 ; ASA ; 237 
 2356 ; Фартинг. Великобритания. Георг VI  - император ; 1948 ;  ; Br ; AU ; 18 ; FEDOTOV1920 ; 94 
 2357 ; Фартинг. Великобритания. Георг VI  - император ; 1948 ;  ; Br,позолот ; VF-XF ; 25 ; vitapool ; 174 
 2358 ; Модель 1/2 соверена. Великобритания. Уэльс ; 1849 ;  ; Al/Br ; VF ; 65 ; murka1973 ; 200 
 2359 ; 2 драхмы. Весовая аптекарская гирька 3IJ ; ND ;  ; Cu ; VF- ; 55 ; kont ; 404 
 2360 ; 1/12 шиллинга. Джерси. Георг VI - император ; 1947 ;  ; Cu ; VF-XF ; 20 ; митька ; 107 
 2361 ; Фартинг. Британская колония. Остров Ямайка. Георг VI - король ; 1952 ;  ; Al/Br ; AU ; 54 ; seaman ; 531 
 2362 ; 1/12 пенни. Британская колония. Остров Фиджи. Редкий тип в др. металле. Георг VI ; 1942 ;  ; Al/Br ; AU ; 42 ; hjk1974 ; 363 
 2363 ; 6 пенсов. Новая Зеландия. Георг VI - король ; 1952 ;  ; Cu-Ni ; XF+ ; 9 ; Полянка ; 77 
 2364 ; 1 цент. Остров Маврикий. Георг VI - король ; 1949 ;  ; Cu ; AU ; 60 ; seaman ; 403 
 2365 ; 1/12 анны. Индия. Георг VI. Малый портрет ; 1939 ;  ; Cu ; XF- ; 17 ; Rober ; 57 
 2266 ; 5 квача. Малави. 60 лет победы. "Миссури" ; 2005 ;  ; Латунь ; Proof ; 7 ; mirmirmir ; 453 
 2267 ; 5 квача. Малави. 60 лет победы. Английский военный корабль ; 2005 ;  ; Латунь ; Proof ; 7 ; mirmirmir ; 407 
 2268 ; 1 доллар. США. Корейская война ; 1991D ;  ; Ag ; AU ; 6 ; QSL ; 1019 
 2269 ; 1 доллар. США. 50 лет со дня 2МВ ; 1995D ;  ; Ag ; AU ; 10 ; Mike! ; 1019 
 2270 ; 1 доллар. США. Джеймс Мэдисон ; 1993D ;  ; Ag ; AU ; 4 ; QSL ; 902 
 2271 ; 500 форинтов. Венгрия ; 1994 ;  ; Ag ; Proof ; 31 ; Ромбор ; 1180 
 2272 ; 500 форинтов. Венгрия ; 1993 ;  ; Ag ; Proof ; 9 ; Mike! ; 769 
 2273 ; 2000 форинтов. Венгрия. Европейский союз ; 1997 ;  ; Ag ; Proof ; 27 ; Алек ; 1100 
 2274 ; 100 крон. Швеция. 350 лет Шведской колонии в Делавере ; 1988 ;  ; Ag ; AU ; 19 ; udaw ; 944 
 2275 ; 100 динар. Югославия. Олимпиада ; 1983 ;  ; Ag ; Proof ; 29 ; ASA ; 668 
 2276 ; 10 долларов. Острова Кука. Животные подвергающиеся опасности ; 1990 ;  ; Ag ; Proof ; 25 ; smel ; 536 
 2277 ; 10 долларов. Острова Кука. 500 лет со дня открытия Америки ; 1990 ;  ; Ag ; Proof ; 15 ; cash ; 426 
 2278 ; 10 долларов. Острова Кука. 500 лет со дня открытия Америки ; 1990 ;  ; Ag ; Proof ; 10 ; ANDREYMAG ; 426 
 2279 ; 5 долларов. Ниуэ. Баунти ; 1992 ;  ; Ag ; Proof ; 27 ; pocoy ; 672 
 2280 ; 5 песо. Куба. Почтовый пароход ; 1993 ;  ; Ag ; Proof ; 1 ; Mike! ; 555 
 2281 ; 250 руфий. Мальдивы. Мальдивское судно ; 1990 ;  ; Ag ; Proof ; 2 ; Mike! ; 666 
 2282 ; 200 форинтов. Венгрия ; 1992 ;  ; Ag ; Proof ; 8 ; Mike! ; 550 
 2283 ; 500 франков. Тоголаис. Горх Фок ; 2000 ;  ; Ag ; Proof ; 20 ; Mike! ; 804 
 2284 ; 5000 вон. Северная Корея. XXIV Олимпиада в Сеуле ; 1986 ;  ; Ag ; Proof ; 29 ; Nirvanych ; 577 
 2285 ; Монетовидный жетон. Экю. Германия ; 1994 ;  ; Ag999 ; Proof ; 48 ; Алек ; 546 
 2286 ; 10 злотых. Польша. Иоанн Павел II ; 2005 ;  ; Ag ; Proof ; 36 ; Mike! ; 805 
 2287 ; 10 злотых. Польша. Олимпиада ; 2004 ;  ; Ag ; Proof ; 15 ; molodes ; 709 
 2288 ; 10000 лир. Сан-Марино. Корабль ; 1997 ;  ; Ag ; Proof ; 3 ; cash ; 680 
 2289 ; 5000 лир. Сан-Марино. Корабль ; 1995 ;  ; Ag ; Proof ; 3 ; cash ; 680 
 2290 ; 5000 лир. Сан-Марино. Васко да Гама ; 1997 ;  ; Ag ; Proof ; 9 ; Ромбор ; 1291 
 2291 ; 10000 лир. Сан-Марино. Америго Веспуччи ; 1995 ;  ; Ag ; Proof ; 10 ; Ромбор ; 1291 
 2292 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 18 ; world1 ; 313 
 2293 ; 500 марок. Веймар ; 1923А ;  ; Al ; AU ; 35 ; AI ; 225 
 2294 ; 200 марок. Веймар ; 1923А ;  ; Al ; AU ; 48 ; AI ; 164 
 2295 ; 5 евроцентов. Испания ; 2008 ;  ; Cu/St ; AU ; 13 ; Mixer ; 18 
 2296 ; 1 цент. США. Линкольн ; 2009D ;  ; Cu/Zn ; AU ; 17 ; vc57 ; 22 
 2297 ; 20 крон. Дания ; 2007 ;  ; Al/Br ; AU ; 26 ; alno51 ; 260 
 2298 ; 1 лев. Болгария ; 1882 ;  ; Ag ; AU ; 32 ; Alexdav ; 703 
 2299 ; 1 рупия. Индия. Штат Хайдерабад ; 1334лх ;  ; Ag ; XF- ; 32 ; AI ; 376 
 2300 ; 1/2 пенни. Токен. Великобритания. Ливерпуль. Корабль. Гуртовая надпись ; ND(18 век) ;  ; Cu ; VF ; 17 ; overshtag ; 1164 
 2301 ; 1 рупия. Британская Индия, Мадрас ; 1172 л.х. ;  ; Ag ; VF ; 72 ; polux17 ; 800 
 2302 ; Жетон. Австрийская Бельгия (Бургундия) ; 1752 ;  ; Cu ; VF- ; 55 ; Dahan ; 340 
 2303 ; 50 франков. Essai- пробная. В другом металле. Французские колонии в Центральной Африке. Конго, Габон и Чад ; 1961 ;  ; Cu-Ni ; AU ; 38 ; SV2009 ; 1386 
 2304 ; 25 сен. Индонезия. Провинция Irian Barat. Ява и Нидерландская Гвинея. Сукарно ; 1962 ;  ; Al ; XF/AU ; 26 ; keldish ; 699 
 2305 ; 2 бани. Румыния. Карл I - король ; 1900 ;  ; Cu ; XF+ ; 92 ; taran1 ; 617 
 2306 ; 1/6 скиллинга. Швеция. Карл XIV ; 1832 ;  ; Cu ; VF+ ; 107 ; hjk1974 ; 1316 
 2307 ; 1 цент. США. Индеец ; 1890 ;  ; Cu ; VF-XF ; 90 ; overshtag ; 509 
 2308 ; 1/2 пенни. Токен. Великобритания. South Shields. Корабль. Пусть процветает. Торговля углем ; 1794 ;  ; Cu ; VF ; 20 ; hjk1974 ; 1224 
 2309 ; Двойной флорин - 48 пенни. Подражание в меди. Ирландия. Виктория - старая ; 1901 ;  ; Cu ; AU ; 73 ; Lena6975 ; 682 
 2310 ; 1 пенни. Токен. Великобритания. Корнуэлл. Георг III ; 1811 ;  ; Cu ; F-VF ; 56 ; hjk1974 ; 861 
 2311 ; 1 пенни. Токен. Великобритания. Графство Шеффилд ; 1815 ;  ; Cu ; F-VF ; 29 ; sinisha ; 265 
 2312 ; 1/2 пенни. Токен. Великобритания. Лидс. Пусть процветают шерстяные мануфактуры ; 1793 ;  ; Cu ; F-VF ; 15 ; Al0851 ; 208 
 2313 ; 1/2 пенни. Токен. Великобритания. Птица-тукан ; ND ;  ; Cu ; F-VF ; 39 ; overshtag ; 552 
 2314 ; Фартинг. Токен. Великобритания. Южный Уэльс. Портрет Вильяма III ; 1793 ;  ; Cu ; VF- ; 20 ; hjk1974 ; 719 
 2315 ; 1/2 гинеи. Весовая гирька для взвешивания золотых иностранных монет и обмена на английские деньги. Великобритания ; 1772 ;  ; Br ; F ; 61 ; murka1973 ; 382 
 2216 ; 5 шиллингов. Южная Африка. 50 лет союзу Южной Арики ; 1960 ;  ; Ag ; AU ; 19 ; cash ; 645 
 2217 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; AU ; 20 ; 23011976 ; 670 
 2218 ; 30 драхм. Греция. На бракосочетание ; 1964 ;  ; Ag ; AU ; 25 ; 23011976 ; 683 
 2219 ; 2 франка. Франция ; 1915 ;  ; Ag ; AU ; 6 ; 23011976 ; 350 
 2220 ; 5 франков. Франция ; 1963 ;  ; Ag ; AU ; 4 ; 23011976 ; 255 
 2221 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; AU ; 5 ; AI ; 218 
 2222 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; AU ; 3 ; AI ; 208 
 2223 ; 1/2 доллара. США. Кеннеди ; 1969D ;  ; Ag ; AU ; 2 ; Mike! ; 203 
 2224 ; 1/4 доллара. США ; 20 век ;  ; Ag ; F-VF ; 13 ; natallli ; 119 
 2225 ; 1/4 доллара. США ; 20 век ;  ; Ag ; F-VF ; 3 ; world1 ; 113 
 2226 ; 1/4 доллара. США. Вашингтон ; 1943 ;  ; Ag ; F-VF ; 6 ; Mike! ; 120 
 2227 ; 1/4 доллара. США. Вашингтон ; 1964 ;  ; Ag ; XF- ; 15 ; Akademik ; 150 
 2228 ; 1 дайм. США. Рузвельт ; 1964 ;  ; Ag ; AU ; 27 ; Bur11 ; 102 
 2229 ; 1/4 бальбоа. Панама ; 1930 ;  ; Ag ; F-VF ; 18 ; natallli ; 161 
 2230 ; 1/2 франка. Швейцария ; 1960В ;  ; Ag ; XF ; 9 ; Mike! ; 71 
 2231 ; 20 центов. Британский Гон-Конг ; 1890 ;  ; Ag ; VF ; 101 ; kamensk61 ; 1071 
 2232 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; XF ; 1 ; Mike! ; 111 
 2233 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; VF-XF ; 1 ; Mike! ; 111 
 2234 ; 1 гульден. Нидерланды ; 1966 ;  ; Ag ; XF+ ; 1 ; Mike! ; 111 
 2235 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; XF+ ; 2 ; skif ; 114 
 2236 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; AU ; 2 ; Mike! ; 113 
 2237 ; 5 шиллингов. Австрия ; 1962 ;  ; Ag ; XF+ ; 11 ; skif ; 102 
 2238 ; 1 крона. Австрия ; 1915 ;  ; Ag ; XF+ ; 9 ; 23011976 ; 179 
 2239 ; 10 центов. Южная Африка ; 1961 ;  ; Ag ; AU ; 20 ; димитрий ; 165 
 2240 ; 2-1/2 эскудо. Португалия ; 1943 ;  ; Ag ; VF- ; 12 ; xabib ; 155 
 2241 ; 1 шиллинг. Великобритания ; 1820 ;  ; Ag ; F+ ; 3 ; Mike! ; 117 
 2242 ; 12 скиллингов. Норвегия. Отверстие 12 часов ; 1800-е гг ;  ; Ag ; F-VF ; 16 ; vlkorchev ; 263 
 2243 ; 2 сантима. Франция ; 1853 ;  ; Br ; VF+ ; 34 ; brent ; 340 
 2244 ; 2 фунта. Джерси. На серебряную свадьбу ; 1972 ;  ; Ag ; AU ; 6 ; Mike! ; 809 
 2245 ; 1 доллар. США. 500 лет со дня открытия Колумбом Америки ; 1992D ;  ; Ag ; AU ; 9 ; Mike! ; 1150 
 2246 ; 5 евро. Сан-Марино. Артуро Тосканини ; 2007 ;  ; Ag ; Proof ; 16 ; Mike! ; 711 
 2247 ; 50 монго. Монголия ; 1925 ;  ; Ag ; VF+ ; 11 ; димитрий ; 642 
 2248 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 15 ; Akademik ; 150 
 2249 ; 1 песо. Куба. Субмарина ; 2000 ;  ; Cu-Ni ; AU ; 8 ; lsp25 ; 285 
 2250 ; 1 песо. Куба. "Буэнавентура" ; 2000 ;  ; Cu-Ni ; AU ; 7 ; lsp25 ; 276 
 2251 ; 1 песо. Куба. "Хуан Себастьян Элькано" ; 2000 ;  ; Cu-Ni ; AU ; 11 ; Reverse ; 323 
 2252 ; 10 евро. ФРГ. Музей-остров в Берлине ; 2002А ;  ; Ag ; AU ; 2 ; Mike! ; 555 
 2253 ; 10 евро. ФРГ. 50 лет Немецкому телевиденью ; 2002G ;  ; Ag ; AU ; 2 ; Mike! ; 555 
 2254 ; 10 евро. ФРГ. Юстус Либих ; 2003J ;  ; Ag ; AU ; 29 ; hjk1974 ; 960 
 2255 ; 10 евро. Австрия. Дворец ; 2002 ;  ; Ag ; AU ; 2 ; Mike! ; 600 
 2256 ; 8 евро. Португалия. Евро-2004 ; 2003 ;  ; Ag ; AU ; 24 ; hjk1974 ; 950 
 2257 ; 12 евро. Испания. Хуан Карлос и София ; 2002 ;  ; Ag ; AU ; 19 ; hjk1974 ; 988 
 2258 ; 10 евро. Бельгия. Сименон ; 2003 ;  ; Ag ; AU ; 27 ; hjk1974 ; 1248 
 2259 ; 5 евро. Нидерланды ; 2003 ;  ; Ag ; AU ; 39 ; hjk1974 ; 912 
 2260 ; 10 евро. Нидерланды. На бракосочетание ; 2002 ;  ; Ag ; AU ; 4 ; Mike! ; 733 
 2261 ; 1/4 евро. Франция ; 2003 ;  ; Ag ; AU ; 39 ; hjk1974 ; 950 
 2262 ; 10 евро. Португалия ; 2003 ;  ; Ag ; AU ; 30 ; hjk1974 ; 1020 
 2263 ; 10 евро. Финляндия. Андерс Чидениус ; 2003 ;  ; Ag ; AU ; 28 ; Алек ; 1551 
 2264 ; 5 квача. Малави. 60 лет победы. "Молотов" ; 2005 ;  ; Латунь ; Proof ; 13 ; kamensk61 ; 614 
 2265 ; 5 квача. Малави. 60 лет победы ; 2005 ;  ; Латунь ; Proof ; 13 ; mirmirmir ; 412 
 2166 ; 5 марок. ФРГ. 100 лет со дня рождения Альберта Швейтзера ; 1975G ;  ; Ag ; AU ; 2 ; Mike! ; 223 
 2167 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 3 ; димитрий ; 228 
 2168 ; 20 марок. ГДР. Открытие Бранденбургских ворот ; 1990А ;  ; Cu-Ni ; AU ; 56 ; ВМШ ; 381 
 2169 ; 10 марок. ГДР. 100 лет со дня рождения Эрнста Тельманна ; 1986А ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 168 
 2170 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu-Ni ; AU ; 10 ; Павлов111 ; 100 
 2171 ; 10 марок. ГДР. 25 лет юбилею ; 1974А ;  ; Cu-Ni ; AU ; 13 ; pius ; 142 
 2172 ; 10 марок. ГДР. 20 лет Национальной народной армии ; 1976А ;  ; Cu-Ni ; AU ; 10 ; Mike! ; 222 
 2173 ; 5 марок. ГДР. Николай Вертель ; 1987А ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 261 
 2174 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni/Br ; AU ; 37 ; capitan.71 ; 150 
 2175 ; 5 марок. ГДР. Берлинская красная ратуша ; 1987А ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 261 
 2176 ; 5 марок. ГДР. Бранденбургские ворота ; 1971А ;  ; Cu-Ni ; XF ; 34 ; capitan.71 ; 150 
 2177 ; 5 марок. ГДР. 1-я Немецкая железная дорога ; 1988А ;  ; Cu-Ni ; AU ; 33 ; Майкл ; 387 
 2178 ; 5 марок. ГДР. Городской порт в Ростоке ; 1988А ;  ; Cu-Ni ; AU ; 32 ; Майкл ; 411 
 2179 ; 5 марок. ГДР. Берлинские часы ; 1987А ;  ; Cu-Ni ; AU ; 23 ; Майкл ; 354 
 2180 ; 3 марки. Веймар ; 1922G ;  ; Al ; F-VF ; 17 ; capitan.71 ; 105 
 2181 ; 200 марок. Веймар ; 1923А ;  ; Al ; F-VF ; 22 ; marych2006 ; 100 
 2182 ; 50 пфеннигов. Веймар ; 1921А ;  ; Al ; VF ; 1 ; Mike! ; 29 
 2183 ; 50 пфеннигов. Веймар ; 1920А ;  ; Al ; VF+ ; 13 ; marych2006 ; 51 
 2184 ; 50 пфеннигов. Веймар ; 1921А ;  ; Al ; VF+ ; 10 ; Павлов111 ; 38 
 2185 ; 10 пфеннигов. Германия ; 1937F ;  ; Al/Br ; VF- ; 25 ; tigris ; 104 
 2186 ; 10 пфеннигов. Германия ; 1938B ;  ; Al/Br ; F-VF ; 12 ; tigris ; 107 
 2187 ; 5 пфеннигов. Германия ; 1938A ;  ; Al/Br ; VF ; 17 ; alno51 ; 104 
 2188 ; 5 пфеннигов. Германия ; 1937D ;  ; Al/Br ; VF- ; 7 ; alno51 ; 104 
 2189 ; 5 пфеннигов. Германия ; 1939A ;  ; Al/Br ; XF- ; 11 ; alno51 ; 104 
 2190 ; 2 пфеннига. Германия ; 1938A ;  ; Br ; VF- ; 5 ; Mike! ; 77 
 2191 ; 2 евро. ФРГ. Саарленд ; 2009J ;  ; Би/м ; AU ; 30 ; juchok_93rus ; 250 
 2192 ; 2 евро. ФРГ. 10 лет введения ЕВРО ; 2009А ;  ; Би/м ; AU ; 27 ; juchok_93rus ; 266 
 2193 ; 1 доллар. США. XXIII Олимпиада в Лос-Анджелесе. Упаковка ; 1984P ;  ; Ag ; Unc ; 13 ; andriano ; 799 
 2194 ; 1 доллар. Канада ; 1966 ;  ; Ag ; AU ; 18 ; tv ; 583 
 2195 ; 1 доллар. США. Морган ; 1921D ;  ; Ag ; VF-XF ; 6 ; QSL ; 906 
 2196 ; 1 доллар. США ; 1922 ;  ; Ag ; XF/AU ; 9 ; andriano ; 884 
 2197 ; Торговый доллар. Великобритания ; 1899 ;  ; Ag ; VF+/XF- ; 16 ; Lucky ; 1428 
 2198 ; 5 франков. Франция ; 1851А ;  ; Ag ; VF ; 31 ; суслик ; 1204 
 2199 ; 5 франков. Франция ; 1877А ;  ; Ag ; VF ; 10 ; brent ; 1022 
 2200 ; 5 франков. Франция ; 1869 ;  ; Ag ; VF ; 9 ; суслик ; 944 
 2201 ; 10 франков. Франция. Свобода, равенство, братство ; 1965 ;  ; Ag ; AU ; 20 ; vlad16 ; 769 
 2202 ; 5 песет. Испания. Возможно убрана подвеска 12 часов ; 1871 ;  ; Ag ; F-VF ; 7 ; Mike! ; 888 
 2203 ; 5 лат. Латвия ; 1931 ;  ; Ag ; VF-XF ; 16 ; Sky2 ; 726 
