 5499 ; Почтовая карточка Китай ;  ;  ;  ;  ; 12 ; Краснодар ; 99 
 3991 ; 1 далер. Швеция ; 1718 ;  ; Cu ; VF- ; 73 ; asru ; 1281 
 3992 ; 6 курушей. Турция ; 1808 ;  ; Ag ; VF- ; 53 ; maymuse ; 1134 
 3993 ; 1 куруш. Турция ; 1876 ;  ; Ag ; VF ; 27 ; Olimpia ; 214 
 3994 ; 10 сен. Япония ; 1901-1917 ;  ; Ag ; VF ; 38 ; Digger55 ; 389 
 3995 ; 1/2 чона. Корея ; 1906-1910 ;  ; Br ; VF+ ; 57 ; Kubus ; 2958 
 3996 ; 1 сапек. Французский Индо-Китай ; 1901-1902 ;  ; Br ; F ; 49 ; Kubus ; 1666 
 3997 ; 10 кеш. Китай, провинция Чихли ; 20в ;  ; Cu ; F ; 22 ; Digger55 ; 233 
 3998 ; 1 фен. Китай, Маньчжоу-го ; 1945 ;  ; красная фибра ; F ; 21 ; lsp25 ; 1122 
 3999 ; 20 центов. Китай ;  ;  ; Ag ; VF ; 31 ; Digger55 ; 518 
 4000 ; 20 марок. Финляндия ; 1934 ;  ; Al/Br ; VF ; 23 ; Fontan ; 145 
 4001 ; 20 марок. Финляндия ; 1938 ;  ; Al/Br ; VF+ ; 13 ; Gudik ; 152 
 4002 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF+ ; 27 ; Gudik ; 153 
 4003 ; 50 марок. Финляндия ; 1953 ;  ; Al/Br ; VF+ ; 18 ; ZOLTAN333 ; 53 
 4004 ; 50 марок. Финляндия ; 1958 ;  ; Al/Br ; XF+ ; 41 ; tss ; 840 
 4005 ; 20 марок. Финляндия ; 1954 ;  ; Al/Br ; XF ; 9 ; ZOLTAN333 ; 42 
 4006 ; 10 марок. Финляндия ; 1953 ;  ; Al/Br ; XF ; 7 ; ZOLTAN333 ; 34 
 4007 ; 2 гривны. Украина. Богдан-Игорь Антоныч ; 2009 ;  ; Cu-Ni ; AU ; 28 ; Starushka ; 105 
 4008 ; 2 гривны. Украина. Андрей Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 11 ; SKeeper ; 102 
 4009 ; 2 гривны. Украина. Костомаров ; 2017 ;  ; Cu-Ni ; AU ; 10 ; kornum ; 204 
 4010 ; 2 гривны. Украина. Сидир Голубович ; 2008 ;  ; Cu-Ni ; AU ; 13 ; SKeeper ; 114 
 4011 ; 2 гривны. Украина. Борис Мартос ; 2009 ;  ; Cu-Ni ; AU ; 24 ; Ceregga ; 189 
 4012 ; 2 гривны. Украина. Николай Боголюбов ; 2009 ;  ; Cu-Ni ; AU ; 37 ; Ceregga ; 184 
 4013 ; 2 гривны. Украина. Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 9 ; SKeeper ; 102 
 4014 ; 2 гривны. Украина. Харьковский Политехнический университет ; 2010 ;  ; Cu-Ni ; AU ; 16 ; Ceregga ; 183 
 4015 ; 2 гривны. Украина. Львовский Национальный университет ; 2011 ;  ; Cu-Ni ; AU ; 30 ; AlexWhite ; 262 
 4016 ; 2 гривны. Украина. Одесский Национальный университет ; 2015 ;  ; Cu-Ni ; AU ; 11 ; Shurmon ; 117 
 4017 ; 2 гривны. Украина. Львовская Политехника ; 2010 ;  ; Cu-Ni ; AU ; 17 ; Ratmen ; 157 
 4018 ; Жетон. Украина. Львовская Политехника ;  ;  ; Cu-Ni ; AU ; 7 ; Vitaliy Gridasov ; 201 
 4019 ; 5 гривен. Украина. Евровидение ; 2017 ;  ; Cu-Ni ; AU ; 35 ; SKeeper ; 516 
 4020 ; 5 гривен. Украина. Киевская роспись ; 2017 ;  ; Cu-Ni ; AU ; 30 ; ЧЕРВОНЕЦ76 ; 414 
 4021 ; 5 гривен. Украина. Киевская роспись ; 2017 ;  ; Cu-Ni ; AU ; 23 ; Valera G ; 439 
 4022 ; 5 гривен. Украина. 125 лет трамваю ; 2017 ;  ; Cu-Ni ; AU ; 31 ; dinkini ; 193 
 4023 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; XF+ ; 45 ; Хромосян ; 599 
 4024 ; 5 гривен. Украина. Революция ; 2017 ;  ; Cu-Ni ; AU ; 48 ; страус ; 252 
 4025 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 11 ; тарнум ; 157 
 4026 ; 5 гривен. Украина. Дрогобич ; 2016 ;  ; Cu-Ni ; AU ; 34 ; логопед ; 165 
 4027 ; 5 гривен. Украина. Киевская роспись ; 2016 ;  ; Cu-Ni ; AU ; 19 ; SKeeper ; 305 
 4028 ; 5 гривен. Украина. Камянец-Подольский ; 2017 ;  ; Cu-Ni ; AU ; 17 ; AlexWhite ; 214 
 4029 ; 5 гривен. Украина. ООН ; 2016 ;  ; Cu-Ni ; AU ; 16 ; Ceregga ; 195 
 4030 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 21 ; Хромосян ; 555 
 4031 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 24 ; Хромосян ; 555 
 4032 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 36 ; SKeeper ; 423 
 4033 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 15 ; Хромосян ; 449 
 4034 ; 5 гривен. Украина ; 2016 ;  ; Cu-Ni ; AU ; 8 ; дед морос ; 150 
 3935 ; 5 пенни. Финляндия ; 1941 ;  ; Br ; VF ; 15 ; vasilyi66 ; 32 
 3936 ; 10 пфеннигов. Веймар ; 1924 ;  ; Al/Br ; VF ; 14 ; Ivanov ; 22 
 3937 ; 5 пфеннигов. Веймар ; 1924 ;  ; Al/Br ; VF ; 11 ; buben ; 21 
 3938 ; 5 пфеннигов. Веймар ; 1925 ;  ; Al/Br ; VF+ ; 18 ; buben ; 26 
 3939 ; 1 марка. Финляндия ; 1998 ;  ; Al/Br ; XF ; 14 ; kost ; 14 
 3940 ; 20 сенти. Танзания ; 1966 ;  ; Al/Br ; VF ; 11 ; птичка16 ; 50 
 3941 ; 5 гривен. Украина. Футбол. Харьков ; 2011 ;  ; Cu-Ni ; AU ; 22 ; suomi ; 567 
 3942 ; 5 гривен. Украина. Футбол. Варшава - Киев ; 2011 ;  ; Cu-Ni ; AU ; 17 ; doc2 ; 671 
 3943 ; 5 гривен. Украина. Футбол. Киев ; 2011 ;  ; Cu-Ni ; AU ; 14 ; doc2 ; 592 
 3944 ; 5 гривен. Украина. Футбол. Донецк ; 2011 ;  ; Cu-Ni ; AU ; 12 ; doc2 ; 647 
 3945 ; 5 гривен. Украина. Футбол. Львов ; 2011 ;  ; Cu-Ni ; AU ; 13 ; doc2 ; 555 
 3946 ; 2 гривны. Украина. Футбол ; 2004 ;  ; Cu-Ni ; XF+ ; 23 ; doc2 ; 291 
 3947 ; 1 гривна. Украина. Футбол ; 2012 ;  ; Лат ; XF+ ; 18 ; страус ; 19 
 3948 ; 1/2 доллара. США. Футбол ; 1994 ;  ; Cu-Ni ; Proof ; 28 ; aleksh ; 803 
 3949 ; 1 доллар. Канада ; 1987 ;  ; Cu-Ni ; AU ; 26 ; sibirian ; 98 
 3950 ; 20 центов. Фиджи ; 2003 ;  ; Cu-Ni ; XF+ ; 11 ; t_v_v ; 105 
 3951 ; 5 центов. США ; 1926 ;  ; Cu-Ni ; F+ ; 7 ; КроликовРазвожу ; 51 
 3952 ; 5 рупий. Сейшеллы ; 2007 ;  ; Cu-Ni ; XF ; 20 ; SKeeper ; 41 
 3953 ; 5 фунтов. Гибралтар ; 1988 ;  ; Cu-Ni ; XF+ ; 27 ; kwacha_dm ; 494 
 3954 ; 1 шиллинг. Нигерия ; 1959 ;  ; Cu-Ni ; VF ; 13 ; ag58 ; 47 
 3955 ; 1 анна. Индия, Хайдерабад ; 1942 ;  ; Cu ; VF+ ; 37 ; Olimpia ; 300 
 3956 ; 1 1/2 докда. Индия, Кач ; 1871 ;  ; Cu ; VF ; 40 ; mkm1968 ; 501 
 3957 ; 1 1/2 докда. Индия, Кач ; 1873 ;  ; Cu ; F+ ; 25 ; Olimpia ; 209 
 3958 ; 1 1/2 докда. Индия, Кач ; 1929 ;  ; Cu ; VF ; 16 ; OBITUARY ; 281 
 3959 ; 1/4 анны. Индия, Индор ; 19в ;  ; Cu ; VF- ; 13 ; ВЕПРЬ ; 227 
 3960 ; 1 цент. Нидерландская Индия ; 1942 ;  ; Cu ; AU ; 28 ; maymuse ; 81 
 3961 ; 1 цент. Британский Цейлон ; 1945 ;  ; Br ; XF+ ; 27 ; Olimpia ; 174 
 3962 ; 10 центов. Цейлон ; 1965 ;  ; Al/Br ; AU ; 39 ; Markgraf ; 86 
 3963 ; 10 пайс. Индия ; 1971 ;  ; Al ; XF ; 12 ; OBITUARY ; 37 
 3964 ; 10 пайс. Индия. F.A.O ; 1974 ;  ; Al ; XF ; 48 ; OBITUARY ; 105 
 3965 ; 10 пайс. Индия ; 1977 ;  ; Al ; XF ; 26 ; OBITUARY ; 89 
 3966 ; 20 пайс. Индия ; 1987 ;  ; Al ; XF- ; 13 ; buben ; 27 
 3967 ; 1 рупия. Индия ; 1980 ;  ; Cu/Ni ; XF+ ; 7 ; OBITUARY ; 14 
 3968 ; 1 цент. Британский Цейлон ; 1892 ;  ; Cu ; XF ; 48 ; Olimpia ; 546 
 3969 ; 1 цент. Британский Цейлон ; 1925 ;  ; Cu ; VF-XF ; 43 ; сама71 ; 294 
 3970 ; 25 пайс. Индия ; 1986 ;  ; Cu/Ni ; XF ; 14 ; OBITUARY ; 31 
 3971 ; 25 центов. Цейлон ; 1991 ;  ; Cu/Ni ; XF ; 21 ; Ivanp1ter ; 50 
 3972 ; 5 пайс. Индия ; 1963 ;  ; Cu/Ni ; XF ; 32 ; OBITUARY ; 88 
 3973 ; 5 пайс. Индия ; 1981 ;  ; Al ; XF ; 18 ; OBITUARY ; 31 
 3974 ; 1/2 рупии. Британская Индия ; 1944 ;  ; Ag ; XF ; 20 ; Звездолёты ; 251 
 3975 ; 1/4 гульдена. Нидерландская Индия ; 1941 ;  ; Ag ; XF+ ; 28 ; Ok203 ; 429 
 3976 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Br ; AU ; 16 ; Olimpia ; 79 
 3977 ; 1 пайса. Индия, Бахавалпур ; 1342-1343 г.х. ;  ; Cu ; VF ; 20 ; tar ; 165 
 3978 ; Монета. Индия ;  ;  ; Cu ; G ; 38 ; maymuse ; 346 
 3979 ; 1/10 гульдена. Нидерландская Индия ; 1920 ;  ; Ag ; VF+ ; 22 ; Alexdav ; 157 
 3980 ; 1/2 рупии. Португальская Индия ; 1936 ;  ; Ag ; XF ; 37 ; sasha1001 ; 1144 
 3981 ; 2 кроны. Швеция. 400 лет политической свободы ; 1921 ;  ; Ag ; XF ; 26 ; maymuse ; 765 
 3982 ; 25 эре. Швеция ; 1938 ;  ; Ag ; XF+ ; 29 ; plottsev ; 453 
 3983 ; 25 эре. Швеция ; 1883 ;  ; Ag ; XF ; 32 ; fyrk ; 612 
 3984 ; 2 эре. Швеция ; 1748 ;  ; Cu ; F+ ; 25 ; Olimpia ; 465 
 3885 ; Mмонета Непал ;  ;  ; Cu-Ni ; XF ; 9 ; Suxov ; 79 
 3886 ; 2 драхмы. Греция ; 1926 ;  ; Cu-Ni ; VF- ; 18 ; Ronald ; 88 
 3887 ; 50 пфеннигов. ГДР ; 1950 ;  ; Al/Br ; VF+ ; 9 ; Maks87 ; 126 
 3888 ; 5 гривен. Украина. Каменец-Подольский ; 2017 ;  ; Cu-Ni ; AU ; 14 ; v_bond ; 225 
 3889 ; 5 гривен. Украина. Луцкое братство ; 2017 ;  ; Cu-Ni ; AU ; 14 ; v_bond ; 238 
 3890 ; 5 гривен. Украина Трамвай Киева ; 2017 ;  ; Cu-Ni ; AU ; 10 ; Mike! ; 200 
 3891 ; 5 гривен. Украина. Евровидение ; 2017 ;  ; Cu-Ni ; AU ; 35 ; SKeeper ; 543 
 3892 ; 2 гривны. Украина. Михаил Петренко ; 2017 ;  ; Cu-Ni ; AU ; 27 ; Vitaliy Gridasov ; 300 
 3893 ; 2 гривны. Украина. Одесса ; 2017 ;  ; Cu-Ni ; AU ; 36 ; Valera G ; 405 
 3894 ; 2 гривны. Украина. Иван Айвазовский ; 2017 ;  ; Cu-Ni ; AU ; 22 ; Vitaliy Gridasov ; 363 
 3895 ; 2 гривны. Украина. Сайпий ; 2017 ;  ; Cu-Ni ; AU ; 8 ; Mike! ; 233 
 3896 ; 1 доллар. Белиз ; 1975 ;  ; Cu-Ni ; Proof ; 17 ; Mike! ; 453 
 3897 ; 100 прута. Израиль ;  ;  ; Cu-Ni ; VF ; 11 ; Mike! ; 79 
 3898 ; 25 лир. Израиль ; 1978 ;  ; Cu-Ni ; AU ; 30 ; Mike! ; 425 
 3899 ; 5 лир. Израиль ;  ;  ; Cu-Ni ; AU ; 21 ; chief com ; 63 
 3900 ; 10 злотых. Польша ; 1969 ;  ; Cu-Ni ; AU ; 25 ; Oleg73 ; 144 
 3901 ; 10 шекелей. Израиль ;  ;  ; Cu-Ni ; XF+ ; 12 ; Mike! ; 53 
 3902 ; 1 флорин. Ирландия ; 1955 ;  ; Cu-Ni ; VF ; 17 ; Suxov ; 114 
 3903 ; 1 лира. Израиль ;  ;  ; Cu-Ni ; XF ; 20 ; kornum ; 92 
 3904 ; 10 франков. Бурунди ; 1968 ;  ; Cu-Ni ; XF+ ; 13 ; Mike! ; 98 
 3905 ; 1/2 лиры. Израиль ;  ;  ; Cu-Ni ; AU ; 25 ; kornum ; 69 
 3906 ; 1/2 кроны. Великобритания ; 1948 ;  ; Cu-Ni ; XF ; 28 ; Mike! ; 62 
 3907 ; 20 франков. Марокко ; 1366 ;  ; Cu-Ni ; XF- ; 26 ; Palik ; 396 
 3908 ; 1 пенни. Австралия ; 1952 ;  ; Br ; VF+ ; 5 ; Mike! ; 43 
 3909 ; 10 прута. Израиль ;  ;  ; Br ; VF ; 25 ; Mike! ; 61 
 3910 ; 1 пенни. Родезия и Ньясаленд ; 1957 ;  ; Br ; VF- ; 12 ; tar ; 114 
 3911 ; 2 кроны. Исландия ; 1946 ;  ; Al/Br ; XF- ; 10 ; Mike! ; 28 
 3912 ; 10 прута. Израиль ;  ;  ; Al ; VF ; 7 ; Mike! ; 31 
 3913 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; VF+ ; 13 ; wolikaz ; 146 
 3914 ; 2 евро. Германия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; XF- ; 14 ; t_v_v ; 155 
 3915 ; 2 евро. Германия. Бремен ; 2010 ;  ; Би/м ; XF ; 12 ; grisha 37 ; 146 
 3916 ; 2 евро. Германия. Северная Вестфалия ; 2011 ;  ; Би/м ; XF ; 12 ; grisha 37 ; 146 
 3917 ; 2 евро. Германия. Гессен ; 2015 ;  ; Би/м ; XF ; 13 ; grisha 37 ; 147 
 3918 ; 2 евро. Германия. 25 лет немецкому союзу ; 2015 ;  ; Би/м ; XF- ; 14 ; grisha 37 ; 147 
 3919 ; 2 евро. Германия. 30 лет флагу Евросоюза ; 2015 ;  ; Би/м ; XF+ ; 17 ; nivva ; 159 
 3920 ; 2 евро. Германия. Рейнланд-Пфальц ; 2017 ;  ; Би/м ; XF+ ; 16 ; Alex1 ; 190 
 3921 ; 2 евро. Эстония. День знаний ; 2017 ;  ; Би/м ; AU ; 22 ; nivva ; 230 
 3922 ; 2 евро. Австрия. 30 лет флагу Евросоюза ; 2015 ;  ; Би/м ; XF ; 19 ; SuperLex ; 177 
 3923 ; 2 евро. Нидерланды ; 2013 ;  ; Би/м ; XF ; 10 ; vasek ; 148 
 3924 ; 2 евро. Италия. Кавур ; 2010 ;  ; Би/м ; VF+ ; 13 ; Матроскин ; 146 
 3925 ; 2 евро. Финляндия ; 2010 ;  ; Би/м ; XF ; 10 ; Vanka ; 177 
 3926 ; 2 евро. Финляндия ; 2015 ;  ; Би/м ; XF ; 14 ; t_v_v ; 169 
 3927 ; 1 фунт. Великобритания ; 2016 ;  ; Би/м ; AU ; 21 ; тарнум ; 174 
 3928 ; 1 марка. ФРГ ; 1968 ;  ; Cu-Ni ; VF+ ; 20 ; птичка16 ; 128 
 3929 ; 25 эре. Дания ; 1935 ;  ; Cu-Ni ; VF-XF ; 12 ; Flagman ; 59 
 3930 ; 50 сенти. Танзания ; 1966 ;  ; Cu-Ni ; VF+ ; 15 ; Yuraha76 ; 57 
 3931 ; 5 центов. США ; 1862 ;  ; Cu-Ni ; VG ; 22 ; ВЕПРЬ ; 341 
 3932 ; 1 цент. Канада ; 1976 ;  ; Br ; XF+ ; 11 ; Kortes55 ; 27 
 3933 ; 1 пфенниг. Веймар ; 1931 ;  ; Br ; VF ; 13 ; Kortes55 ; 22 
 3934 ; 1 цент. США ; 1878 ;  ; Br ; VF+ ; 30 ; Моряк-собиратель ; 2380 
 3835 ; 25 эре, Швеция ; 1953 ;  ; Ag ; XF ; 19 ; Mike! ; 67 
 3836 ; 25 эре, Швеция ; 1956 ;  ; Ag ; VF+ ; 9 ; radmir555 ; 100 
 3837 ; 10 эре. Швеция ; 1961 ;  ; Ag ; XF+ ; 9 ; Mike! ; 47 
 3838 ; 2000 песет. Испания. Упаковка ; 1996 ;  ; Ag ; AU ; 27 ; Mike! ; 1019 
 3839 ; 10 чентезимо. Италия ; 1866 ;  ; Br ; VF ; 26 ; fadeev.dima ; 241 
 3840 ; 10 пара. Египет ; 1277 ;  ; Br ; VF ; 28 ; Rodan Lewarx ; 510 
 3841 ; 10 сантимов. Тунис ; 1916 ;  ; Br ; F ; 18 ; maymuse ; 249 
 3842 ; 10 пара. Египет ; 1277 ;  ; Br ; VF ; 26 ; kornum ; 453 
 3843 ; 4 пара. Египет ; 1277 ;  ; Br ; VF- ; 29 ; Mike! ; 465 
 3844 ; 4 пфеннига. Веймар ; 1932 ;  ; Br ; VF-XF ; 36 ; fadeev.dima ; 602 
 3845 ; 1 пфенниг. Германия ; 1858 ;  ; Br ; VF- ; 18 ; Mike! ; 184 
 3846 ; 2 хеллера. Австрия ; 1912 ;  ; Br ; XF ; 23 ; Kortes55 ; 143 
 3847 ; 10чентезимо. Италия ; 1894 ;  ; Br ; VF- ; 47 ; kornum ; 357 
 3848 ; 5 сантимов. Тунис ; 1904 ;  ; Br ; XF- ; 36 ; Ronald ; 639 
 3849 ; 1 хеллер. Австрия ; 1914 ;  ; Br ; XF ; 21 ; osir12 ; 72 
 3850 ; 2 хеллера. Австрия ; 1900 ;  ; Br ; VF+ ; 22 ; Kortes55 ; 123 
 3851 ; 1 пфенниг. Германия ; 1787 ;  ; Br ; F- ; 27 ; Mike! ; 371 
 3852 ; 1 пфенниг. Германия ; 1858 ;  ; Br ; VF- ; 38 ; spiritusvini ; 466 
 3853 ; 2 хеллера. Австрия ; 1908 ;  ; Br ; VF- ; 11 ; fadeev.dima ; 51 
 3854 ; 1 цент. Тувалу ; 1976 ;  ; Br ; XF- ; 19 ; Kubus ; 430 
 3855 ; 4 пара. Египет ; 1277 ;  ; Br ; VF ; 14 ; vasek ; 350 
 3856 ; 1 франк Тунис ; 1941 ;  ; Al/Br ; VF ; 19 ; Kortes55 ; 150 
 3857 ; 1 франк. Марокко ; 1921 ;  ; Cu-Ni ; VF ; 20 ; Mike! ; 250 
 3858 ; 5/10 гирш. Египет ; 1293 ;  ; Cu-Ni ; F+ ; 19 ; Rodan Lewarx ; 222 
 3859 ; 20 пара. Турция ; 1327 ;  ; Cu-Ni ; VF ; 11 ; Mike! ; 67 
 3860 ; 10 хеллеров. Австрия ; 1909 ;  ; Cu-Ni ; XF ; 17 ; Mike! ; 82 
 3861 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; F+ ; 18 ; Mike! ; 45 
 3862 ; 25 сантимов. Тунис ; 1920 ;  ; Cu-Ni ; VF+ ; 38 ; Ronald ; 295 
 3863 ; 5 центов. Нидерланды ; 1907 ;  ; Cu-Ni ; VF ; 27 ; сама71 ; 261 
 3864 ; 25 сантимов. Тунис ; 1938 ;  ; Cu-Ni ; VF ; 52 ; Ronald ; 351 
 3865 ; 5 пенго. Венгрия ; 1943 ;  ; Cu-Ni ; XF- ; 13 ; fadeev.dima ; 352 
 3866 ; 200 марок. Веймар ; 1923 ;  ; Al ; XF ; 9 ; вишня43 ; 101 
 3867 ; 1 франк. Франция ; 1942 ;  ; Al ; VF+ ; 6 ; Mike! ; 32 
 3868 ; 3 марки. Веймар ; 1922 ;  ; Al ; VF ; 14 ; Mike! ; 65 
 3869 ; 200 марок. Веймар ; 1923 ;  ; Al ; VF ; 5 ; Mike! ; 20 
 3870 ; 50 пфеннигов. Веймар ; 1920 ;  ; Al ; VF+ ; 9 ; Gudik ; 34 
 3871 ; 1 пенго. Венгрия ; 1942 ;  ; Al ; VF ; 7 ; Mike! ; 22 
 3872 ; 3 марки. Веймар. Без надписи вокруг орла ; 1922 ;  ; Al ; VF+ ; 30 ; unicorn ; 350 
 3873 ; 5 куруш. Турция ; 1926 ;  ; Al/Br ; VF+ ; 27 ; Mike! ; 281 
 3874 ; 2 франка. Тунис ; 1926 ;  ; Al/Br ; VF- ; 20 ; кот баюн ; 159 
 3875 ; 5 чентезимо. Италия ; 1941 ;  ; Al/Br ; VF- ; 27 ; ZOLTAN333 ; 101 
 3876 ; 25 эре. Дания ; 1942 ;  ; Zn ; F- ; 9 ; Mike! ; 51 
 3877 ; 5 центов. Бельгия ; 1915 ;  ; Zn ; F- ; 5 ; dmivanych ; 31 
 3878 ; 10 центов. Бельгия ; 1915 ;  ; Zn ; F ; 10 ; dmivanych ; 51 
 3879 ; 8 грошей. Польша ; 1753 ;  ; Ag ; F ; 76 ; vak ; 3001 
 3880 ; 5 шиллингов. Австрия ; 1971 ;  ; Cu-Ni ; Proof ; 11 ; Gudik ; 79 
 3881 ; 10 рупий. Шри-Ланка ; 1998 ;  ; Би/м ; VF+ ; 33 ; Спанчбоб ; 320 
 3882 ; 5 лир. Ватикан ; 1953 ;  ; Al ; VF+ ; 13 ; Mike! ; 61 
 3883 ; 5 марок ГДР. 20 лет ГДР ; 1969 ;  ; Cu-Zn ; XF+ ; 33 ; uhfvv7 ; 102 
 3884 ; 1 леон. Сьерра-Леоне ; 1987 ;  ; Al/Br ; XF ; 32 ; Suxov ; 226 
 3785 ; 6 пенсов. Великобритания ; 1881 ;  ; Ag ; F- ; 24 ; виктор13 ; 340 
 3786 ; 5 лир. Израиль ;  ;  ; Ag ; XF ; 26 ; @ @ @ ; 681 
 3787 ; 1 франк. Швейцария ; 1899 ;  ; Ag ; F- ; 21 ; @ @ @ ; 283 
 3788 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; VF-XF ; 11 ; Kortes55 ; 100 
 3789 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; VF+ ; 7 ; Kortes55 ; 100 
 3790 ; 10 центов. Нидерланды ; 1937 ;  ; Ag ; VF+ ; 7 ; Mike! ; 75 
 3791 ; 10 центов. Нидерланды ; 1928 ;  ; Ag ; VF ; 5 ; @ @ @ ; 66 
 3792 ; 10 эре. Швеция ; 1949 ;  ; Ag ; XF- ; 9 ; @ @ @ ; 45 
 3793 ; 3 пенса. Южная Родезия ; 1952 ;  ; Cu-Ni ; VF ; 11 ; Markgraf ; 101 
 3794 ; 1 флорин. Великобритания ; 1890 ;  ; Ag ; F- ; 34 ; виктор13 ; 1134 
 3795 ; 50 сантимов. Франция ; 1918 ;  ; Ag ; VF+ ; 12 ; chief com ; 159 
 3796 ; 10 центов. Нидерланды ; 1930 ;  ; Ag ; VF ; 7 ; Mike! ; 65 
 3797 ; 25 эре. Швеция ; 1960 ;  ; Ag ; VF+ ; 14 ; ialaiola ; 79 
 3798 ; 1 дайм. США ; 1948 ;  ; Ag ; VF ; 11 ; @ @ @ ; 86 
 3799 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; XF- ; 7 ; @ @ @ ; 102 
 3800 ; 20 пара. Египет ; 1255 ;  ; Ag ; F ; 21 ; @ @ @ ; 306 
 3801 ; 1/4 рупии. Немецкая Ост-Африка ; 1910 ;  ; Ag ; VF- ; 24 ; ulysse ; 2040 
 3802 ; 1 дайм. США ; 1951 ;  ; Ag ; VF ; 1 ; птичка16 ; 150 
 3803 ; 10 центов. Нидерланды ; 1935 ;  ; Ag ; VF ; 20 ; Аврора ; 100 
 3804 ; 4 гроша. Пруссия ; 1803 ;  ; Ag ; VG ; 6 ; Mike! ; 222 
 3805 ; 1 флорин. Великобритания ; 1932 ;  ; Ag ; VF- ; 40 ; Mike! ; 216 
 3806 ; 25 центов. Нидерланды ; 1916 ;  ; Ag ; VF ; 16 ; CMSpb ; 102 
 3807 ; Монета Непал ;  ;  ; Cu-Ni ; XF ; 7 ; Kortes55 ; 100 
 3808 ; 10 центов. Нидерланды ; 1918 ;  ; Ag ; XF- ; 14 ; unicorn ; 120 
 3809 ; 10 центов. Нидерланды ; 1917 ;  ; Ag ; VF ; 11 ; Mike! ; 100 
 3810 ; 1 крона. Швеция ; 1965 ;  ; Ag ; XF+ ; 9 ; Mike! ; 150 
 3811 ; 1 марка. Финляндия ; 1867 ;  ; Ag ; XF+ ; 9 ; Mike! ; 93 
 3812 ; 1 франк. Швейцария ; 1887 ;  ; Ag ; VF- ; 17 ; жора ; 500 
 3813 ; 1 франк. Швейцария. Гурт снята напайка 12 и 6 часов ; 1850 ;  ; Ag ; F ; 26 ; banks ; 453 
 3814 ; 25 эре. Швеция ; 1953 ;  ; Ag ; XF ; 19 ; Mike! ; 67 
 3815 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF ; 7 ; Mike! ; 63 
 3816 ; 1 дайм. США ; 1953 ;  ; Ag ; XF ; 12 ; Mike! ; 104 
 3817 ; 1 франк. Швейцария ; 1901 ;  ; Ag ; F ; 20 ; жора ; 420 
 3818 ; 10 центов. Нидерланды ; 1918 ;  ; Ag ; F ; 5 ; Mike! ; 57 
 3819 ; 10 эре. Швеция ; 1949 ;  ; Ag ; VF+ ; 9 ; Mike! ; 46 
 3820 ; 1 зилбергрош. Пруссия ; 1861 ;  ; Ag ; VF- ; 18 ; Mike! ; 333 
 3821 ; 25 эре. Швеция ; 1953 ;  ; Ag ; VF+ ; 19 ; Mike! ; 67 
 3822 ; 4 гроша. Пруссия ; 1803 ;  ; Ag ; F ; 12 ; StasStas ; 333 
 3823 ; 6 крейцеров. Германия ; 1805 ;  ; Ag ; F- ; 23 ; smel ; 470 
 3824 ; 2-1/2 зилбергроша. Пруссия ; 1850 ;  ; Ag ; F- ; 13 ; StasStas ; 222 
 3825 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF+ ; 5 ; Yuraha76 ; 126 
 3826 ; 1 шиллинг. Великобритания ; 1921 ;  ; Ag ; VF- ; 39 ; Mike! ; 159 
 3827 ; 1 марка. Финляндия ; 1968 ;  ; Ag ; AU ; 3 ; Mike! ; 102 
 3828 ; 50 филс. Ирак ; 1931 ;  ; Ag ; VF- ; 19 ; Mike! ; 286 
 3829 ; 1/2 кроны. Великобритания ; 1937 ;  ; Ag ; XF+ ; 39 ; Mike! ; 395 
 3830 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; VF+ ; 7 ; Yuraha76 ; 101 
 3831 ; 10 центов. Нидерланды ; 1936 ;  ; Ag ; VF+ ; 3 ; Yuraha76 ; 101 
 3832 ; 10 центов. Нидерланды ; 1937 ;  ; Ag ; XF- ; 9 ; Mike! ; 63 
 3833 ; 10 центов. Нидерланды ; 1939 ;  ; Ag ; XF+ ; 9 ; radmir555 ; 100 
