 4804 ; Бона иностранная. Сербская Краина ; 1993 ;  ;  ;  ; 63 ; liderssen ; 206 
 3571 ; 25 эре. Швеция ; 1931 ;  ; Ag ; VF ; 12 ; себер ; 67 
 3572 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 9 ; себер ; 44 
 3573 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF ; 12 ; себер ; 46 
 3474 ; 2 лева. Болгария. Художественная гимнастика ; 1987 ;  ; Cu-Ni ; Proof ; 69 ; AlexAlex ; 152 
 3475 ; 2 лева. Болгария. Летняя Олимпиада ; 1988 ;  ; Cu-Ni ; Proof ; 56 ; AlexAlex ; 152 
 3476 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 31 ; v_bond ; 102 
 3477 ; 2 лева. Болгария. Климент Охридский ; 1988 ;  ; Cu-Ni ; Proof ; 20 ; Rober ; 101 
 3478 ; 2 лева. Болгария. Первенство по футболу ; 1986 ;  ; Cu-Ni ; Proof ; 49 ; v_bond ; 121 
 3479 ; 2 лева. Болгария. Восстание Асена и Петра ; 1981 ;  ; Cu-Ni ; Proof ; 23 ; t_v_v ; 69 
 3480 ; 2 лева. Болгария. Втрой совместный космический полет СССР-НРБ ; 1988 ;  ; Cu-Ni ; Proof ; 43 ; and1972 ; 113 
 3481 ; 2 лева. Болгария. Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 30 ; AlexAlex ; 77 
 3482 ; 2 лева. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; Proof ; 31 ; vc57 ; 96 
 3483 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 26 ; jj ; 85 
 3484 ; 2 лева. Болгария. Кану-каяк ; 1989 ;  ; Cu-Ni ; Proof ; 19 ; afanas ; 77 
 3485 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 32 ; v_bond ; 101 
 3486 ; 2 лева. Болгария. 1300 лет Болгарии. Мать с ребенком ; 1981 ;  ; Cu-Ni ; Proof ; 21 ; jj ; 84 
 3487 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 27 ; dmitry990 ; 65 
 3488 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 21 ; v_bond ; 101 
 3489 ; 1 лев. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; Proof ; 28 ; t_v_v ; 90 
 3490 ; 1 лев. Болгария. Первенство по футболу ; 1980 ;  ; Cu-Ni ; AU ; 41 ; AlexAlex ; 104 
 3491 ; 1 лев. Болгария. Летние олимпийские игры ; 1988 ;  ; Cu-Ni ; Proof ; 41 ; potapov0 ; 164 
 3492 ; 1 лев. Болгария. Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 20 ; and1972 ; 79 
 3493 ; 1 лев. Болгария. 100 лет Апрельского восстания ; 1976 ;  ; Cu ; AU ; 18 ; v_bond ; 123 
 3494 ; 3 пенса. Британская Западная Африка ; 1938 ;  ; Cu-Ni ; VF+/VF ; 10 ; Dahan ; 86 
 3495 ; 1 пайса. Индия. Штат Бахавалпур ; 1342лх ;  ; Cu ; VF-XF ; 30 ; asus ; 139 
 3496 ; 1 пайса. Индия. Штат Бахавалпур ; 1342лх ;  ; Cu ; VF ; 22 ; rik ; 135 
 3497 ; 1 цент. США. Линкольн. В капсуле NGC ; 2005S ;  ; Cu-Zn ; PF 69 ; 25 ; qaz21qaz ; 322 
 3498 ; 1 пенни. Великобритания ; 1953 ;  ; Br ; AU ; 60 ; olga42 ; 337 
 3499 ; 1 шиллинг. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 28 ; b197312 ; 181 
 3500 ; 1/2 кроны. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 44 ; b197312 ; 252 
 3501 ; 2 шиллинга. Великобритания ; 1953 ;  ; Cu-Ni ; XF+/AU ; 21 ; b197312 ; 197 
 3502 ; 6 пенсов. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 40 ; olga42 ; 215 
 3503 ; 3 пенса. Великобритания ; 1953 ;  ; Ni-лат ; AU ; 62 ; olga42 ; 408 
 3504 ; 1/2 кроны. Великобритания ; 1927 ;  ; Ag ; F-VF ; 89 ; ddv1981 ; 231 
 3505 ; 1/2 кроны. Великобритания ; 1928 ;  ; Ag ; F+ ; 53 ; ddv1981 ; 204 
 3506 ; 6 пенсов. Великобритания ; 1943 ;  ; Ag ; VF ; 14 ; dmitry990 ; 72 
 3507 ; 1 шиллинг. Великобритания ; 1924 ;  ; Ag ; F ; 32 ; маманя ; 95 
 3508 ; 1 гривна. Украина. Чемпионат Европы по футболу ; 2012 ;  ; Лат ; AU ; 68 ; faihu ; 143 
 3509 ; Мангир. Крым. Шахин-Гирей ; 1777 ;  ; Cu ; VG ; 23 ; ejik ; 74 
 3510 ; 25 новых пенсов. Великобритания. На серебряную свадьбу ; 1972 ;  ; Cu-Ni ; AU ; 6 ; фёкла ; 90 
 3511 ; 25 новых пенсов. Великобритания. На серебряную свадьбу ; 1972 ;  ; Cu-Ni ; XF+ ; 15 ; koga ; 90 
 3512 ; 25 новых пенсов. Великобритания. На серебряную свадьбу ; 1972 ;  ; Cu-Ni ; XF+ ; 7 ; DVZ ; 107 
 3513 ; 25 новых пенсов. Великобритания. На серебряную свадьбу ; 1972 ;  ; Cu-Ni ; AU ; 24 ; фёкла ; 105 
 3514 ; 25 новых пенсов. Великобритания. На серебряную свадьбу ; 1972 ;  ; Cu-Ni ; XF+ ; 4 ; фёкла ; 90 
 3515 ; 25 новых пенсов. Великобритания. 80 лет королеве-матери ; 1980 ;  ; Cu-Ni ; XF ; 33 ; фёкла ; 104 
 3516 ; 10000 злотых. Польша. 10 лет единству ; 1990 ;  ; Cu-Ni ; AU ; 13 ; chuk ; 72 
 3517 ; 10000 злотых. Польша. 200 лет Польской конституции ; 1991 ;  ; Cu-Ni ; AU ; 17 ; aziya11 ; 82 
 3518 ; 100 злотых. Польша. 40 лет ПНР ; 1984 ;  ; Cu-Ni ; AU ; 13 ; sellary ; 82 
 3519 ; 100 злотых. Польша. 70 лет Великогопольского восстания ; 1988 ;  ; Cu-Ni ; AU ; 20 ; and1972 ; 76 
 3520 ; 100 злотых. Польша. Польский центр здоровой женщины ; 1985 ;  ; Cu-Ni ; XF+ ; 22 ; грешник ; 72 
 3521 ; 500 злотых. Польша. 50 лет начала 2МВ ; 1989 ;  ; Cu-Ni ; XF ; 33 ; Play ; 53 
 3522 ; 50 злотых. Польша. Владислав Сикорский ; 1981 ;  ; Cu-Ni ; XF- ; 26 ; Sterh ; 29 
 3523 ; 50 злотых. Польша. Всемирный день еды ; 1981 ;  ; Cu-Ni ; XF ; 47 ; lubopitnaja ; 156 
 3424 ; 5 гривен. Украина. Сакское озеро ; 2007 ;  ; Cu-Ni ; Proof ; 36 ; bdd48 ; 137 
 3425 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 39 ; August31 ; 119 
 3426 ; 5 гривен. Украина. 725 лет городу Ровно ; 2008 ;  ; Cu-Ni ; Proof ; 28 ; ges ; 146 
 3427 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu-Ni ; Proof ; 48 ; jj ; 102 
 3428 ; 2 гривны. Украина. Лковыль ; 2010 ;  ; Cu-Ni ; Proof ; 14 ; bdd48 ; 123 
 3429 ; 5 гривен. Украина. Международный год лесов ; 2011 ;  ; Би/м ; AU ; 65 ; bdd48 ; 199 
 3430 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 11 ; Temak69 ; 111 
 3431 ; 1 крона. Эстония ; 2008 ;  ; Лат ; AU ; 28 ; -IROKEZ- ; 32 
 3432 ; 6 крейцеров. Германия, Вюртемберг ; 1808 ;  ; Ag ; F+ ; 25 ; smel ; 173 
 3433 ; 3 крейцера. Германия, Вюртемберг ; 1842 ;  ; Ag ; F ; 21 ; grisha2401 ; 163 
 3434 ; 2 штюбера. Германия, Клюве ; 1756С ;  ; билон ; VG ; 34 ; ejik ; 203 
 3435 ; 12 хеллеров. Германия, Аахен. Имперский город ; 1792 ;  ; Cu ; F ; 3 ; ratiandr ; 100 
 3436 ; 1 крейцер. Германия, Вюртемберг ; 1864 ;  ; Br ; VF ; 5 ; andreyM ; 155 
 3437 ; 5 крон. Швеция. 100 лет Конституционной реформе ; 1966 ;  ; Ag ; AU ; 62 ; гарик ; 373 
 3438 ; 5 крон. Дания. На бракосочетание принцессы Анны Марии ; 1964 ;  ; Ag ; AU ; 19 ; гарик ; 674 
 3439 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; XF+ ; 8 ; vesta78 ; 88 
 3440 ; 20 сантимов. Французский Индо-Китай ; 1941 ;  ; Cu-Ni ; VF+ ; 19 ; atos51 ; 102 
 3441 ; 100 лей. Румыния ; 1993 ;  ; Cu-Ni ; XF ; 28 ; гарик ; 29 
 3442 ; 5 центов. США ; 1910 ;  ; Cu-Ni ; F ; 17 ; гарик ; 46 
 3443 ; 1 доллар. Гон-Конг ; 1979 ;  ; Cu-Ni ; VF-XF ; 20 ; CaesarAugustus ; 40 
 3444 ; 10 кобо. Нигерия ; 1973 ;  ; Cu-Ni ; VF+ ; 41 ; -IROKEZ- ; 45 
 3445 ; 2 афгани. Афганистан ; 1957 ;  ; Cu-Ni ; VF ; 13 ; гарик ; 66 
 3446 ; 5 лир. Турция ; 1974 ;  ; St ; VF ; 14 ; гарик ; 28 
 3447 ; 1 цент. Стрейтс-Сетлментс ; 1887 ;  ; Cu ; F-VF ; 24 ; andreyM ; 258 
 3448 ; 1/2 пенни. Остров Святой Елены ; 1821 ;  ; Cu ; VF- ; 18 ; Unknown ; 500 
 3449 ; 10 сен. Япония ; 1921-1926 ;  ; Cu-Ni ; F ; 51 ; гарик ; 102 
 3450 ; 2 рупии. Индия ; 1994 ;  ; Cu-Ni ; VF ; 11 ; Slava O ; 38 
 3451 ; 2 евро. Греция. Олимпиада ; 2004 ;  ; Би/м ; VF-XF ; 26 ; asus ; 207 
 3452 ; 1/16 доллара. Британская Западная Индия ; 1822 ;  ; Ag ; VF- ; 29 ; гарик ; 1392 
 3453 ; 1 фаннам. Траванкор ; 1941 ;  ; Ag ; F-VF ; 29 ; mkm1968 ; 303 
 3454 ; 1 герш. Эфиопия ; 1898 ;  ; Ag ; VF-XF ; 14 ; maremark ; 809 
 3455 ; 10 крон. Дания. На бракосочетание принцессы Магрет ; серебр. ;  ; Ag ; AU ; 9 ; Zemlemer ; 888 
 3456 ; 10 крон. Чехословакия. Масарик ; серебр. ;  ; Ag ; XF ; 39 ; maremark ; 567 
 3457 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; XF ; 37 ; ejik ; 172 
 3458 ; 1 шиллинг. Великобритания ; 1917 ;  ; Ag ; F-VF ; 44 ; cherry ; 176 
 3459 ; 1/4 доллара. США. Вашингтон ; 1943 ;  ; Ag ; VF ; 30 ; фрегат ; 153 
 3460 ; 50 эре. Швеция ; 1949 ;  ; Ag ; VF+ ; 17 ; Sterh ; 67 
 3461 ; 25 эре. Швеция ; 1944 ;  ; Ag ; VF+ ; 10 ; paulus568 ; 59 
 3462 ; 10 эре. Швеция ; 1942 ;  ; Ag ; VF ; 23 ; ekzamen ; 36 
 3463 ; 10 эре. Швеция ; 1958 ;  ; Ag ; XF+ ; 18 ; dmitry990 ; 36 
 3464 ; 1/2 франка. Швейцария ; 1920 ;  ; Ag ; F-VF ; 17 ; Инвестор ; 149 
 3465 ; 1 цент. США. Индеец ; 1888 ;  ; Cu ; F-VF ; 25 ; gabbels ; 227 
 3466 ; 6 пенсов. Ирландия ; 1928 ;  ; Cu-Ni ; VF+ ; 29 ; SadKo ; 79 
 3467 ; 2 евро. Люксембург ; 2009 ;  ; Би/м ; AU ; 53 ; asus ; 156 
 3468 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 32 ; vc57 ; 216 
 3469 ; 5 лева. Болгария. Васил Априлов ; 1989 ;  ; Cu-Ni ; Proof ; 25 ; seger ; 92 
 3470 ; 5 лева. Болгария. ЭКСПО 85. Пловдив ; 1985 ;  ; Cu-Ni ; Proof ; 23 ; seger ; 92 
 3471 ; 5 лева. Болгария. Международная детская ассамблея ; 1985 ;  ; Cu-Ni ; Proof ; 48 ; t_v_v ; 77 
 3472 ; 5 лева. Болгария. 90 лет организации туризма в Болгарии ; 1985 ;  ; Cu-Ni ; Proof ; 10 ; t_v_v ; 77 
 3473 ; 5 лева. Болгария. 300 лет Чипровского восстания ; 1988 ;  ; Cu-Ni ; Proof ; 20 ; dmitry990 ; 123 
 3374 ; 2 кроны. Дания. Фредерик IX ; 1957 ;  ; Al/Br ; XF+ ; 14 ; kergudu ; 126 
 3375 ; 2 кроны. Дания ; 1925 ;  ; Al/Br ; VF+ ; 18 ; Zemlemer ; 112 
 3376 ; 1 крона. Дания ; 1925 ;  ; Al/Br ; VF- ; 28 ; av ; 105 
 3377 ; 1 крона. Дания ; 1929 ;  ; Al/Br ; VF ; 18 ; DVZ ; 108 
 3378 ; 1 крона. Дания ; 1936 ;  ; Al/Br ; VF ; 12 ; Zemlemer ; 265 
 3379 ; 1 крона. Дания ; 1941 ;  ; Al/Br ; VF+ ; 16 ; D-503 ; 269 
 3380 ; 1 крона. Дания. Фредерик IX ; 1953 ;  ; Al/Br ; XF+ ; 14 ; Argnist3000 ; 101 
 3381 ; 5 крон. Дания. Фредерик IX ; 1963 ;  ; Cu-Ni ; XF- ; 40 ; kergudu ; 69 
 3382 ; 1 доллар. Либерия ; 1976 ;  ; Cu-Ni ; XF+ ; 46 ; kgu ; 90 
 3383 ; 5 эре. Дания ; 1874 ;  ; Br ; VF ; 9 ; kgu ; 99 
 3384 ; 2 эре. Дания ; 1874 ;  ; Br ; VF+ ; 8 ; Рыжая_Кыся ; 77 
 3385 ; 2 эре. Дания ; 1889 ;  ; Br ; VF+ ; 10 ; kergudu ; 79 
 3386 ; 2 эре. Дания ; 1902 ;  ; Br ; VF- ; 7 ; Рыжая_Кыся ; 67 
 3387 ; 1 эре. Дания ; 1883 ;  ; Br ; VF+ ; 14 ; DVZ ; 114 
 3388 ; 5 эре. Дания ; 1921 ;  ; Br ; XF ; 17 ; av ; 206 
 3389 ; 5 милс. Палестина ; 1946 ;  ; Cu-Ni ; XF ; 23 ; kont ; 114 
 3390 ; 10 пфеннигов. Германия ; 1888А ;  ; Cu-Ni ; VF+ ; 21 ; demonspb ; 39 
 3391 ; 2 эре. Норвегия ; 1944 ;  ; St ; VF ; 6 ; kont ; 43 
 3392 ; 50 сентимов. Латвия ; 1922 ;  ; Cu-Ni ; VF- ; 10 ; Shkeep ; 66 
 3393 ; 50 бутут. Гамбия ; 1971 ;  ; Cu-Ni ; VF-XF ; 15 ; smel ; 48 
 3394 ; 2 1/2 гульдена. Нидерланды. 400 лет Утрихтской унии ; 1979 ;  ; Cu-Ni ; VF-XF ; 27 ; S1952 ; 48 
 3395 ; 5 эре. Дания ; 1934 ;  ; Br ; VF-XF ; 68 ; av ; 137 
 3396 ; 1 сент. Нидерландская Восточная Индия ; 1859 ;  ; Cu ; VF-XF ; 7 ; voldemar56 ; 259 
 3397 ; 1/2 сент. Нидерланды ; 1885 ;  ; Br ; VF+ ; 41 ; В1951 ; 152 
 3398 ; 2 франка. Франция ; 1936 ;  ; Al/Br ; VF-XF ; 30 ; suhua ; 53 
 3399 ; 10 эре. Норвегия ; 1942 ;  ; Zn ; VF ; 8 ; kont ; 88 
 3400 ; 1/2 скиллинга. Швеция ; 1802 ;  ; Cu ; F-VF ; 29 ; Al0851 ; 152 
 3401 ; 10 сентесими. Италия ; 1866 ;  ; Br ; VF- ; 16 ; Lena6975 ; 71 
 3402 ; 1/2 доллара. США. Эмигранты ; 1986 ;  ; Cu-Ni ; Proof ; 8 ; AIK60 ; 255 
 3403 ; 1 пенни. Великобритания. Виктория ; 1861 ;  ; Br ; F ; 47 ; маманя ; 82 
 3404 ; 1 пенни. Великобритания. Виктория ; 1892 ;  ; Br ; VF+ ; 56 ; olga42 ; 208 
 3405 ; 1 пенни. Великобритания. Эдвард VII ; 1907 ;  ; Br ; VF- ; 16 ; olga42 ; 24 
 3406 ; 1 пенни. Великобритания. Эдвард VII ; 1908 ;  ; Br ; VF- ; 22 ; suhua ; 30 
 3407 ; 1 пенни. Великобритания. Эдвард VII ; 1910 ;  ; Br ; VF- ; 24 ; suhua ; 24 
 3408 ; 1 пенни. Великобритания. Георг V ; 1927 ;  ; Br ; VF+ ; 29 ; olga42 ; 90 
 3409 ; 1 пенни. Великобритания. Георг V ; 1928 ;  ; Br ; VF ; 23 ; taa ; 50 
 3410 ; 1 пенни. Великобритания. Георг V ; 1929 ;  ; Br ; VF-XF ; 17 ; dmitry990 ; 42 
 3411 ; 1/4 реала. Гватемала ; 1896 ;  ; Ag ; AU ; 15 ; Инвестор ; 151 
 3412 ; 50 пара. Сербия ; 1915 ;  ; Ag ; XF ; 24 ; лесной ; 168 
 3413 ; 50 пара. Сербия ; 1915 ;  ; Ag ; VF-XF ; 23 ; Инвестор ; 144 
 3414 ; 0,2 лека. Албания ; 1941R ;  ; St ; XF ; 18 ; Sterh ; 90 
 3415 ; 1 лек. Албания ; 1930V ;  ; Ni ; VF-XF ; 20 ; Sterh ; 62 
 3416 ; 1 эре. Норвегия ; 1941 ;  ; Br ; VF+ ; 5 ; dmitry990 ; 14 
 3417 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; Proof ; 41 ; v_bond ; 92 
 3418 ; 5 гривен. Украина. Кузнец ; 2011 ;  ; Cu-Ni ; Proof ; 30 ; v_bond ; 107 
 3419 ; 5 гривен. Украина. Стельмах ; 2009 ;  ; Cu-Ni ; Proof ; 27 ; August31 ; 152 
 3420 ; 5 гривен. Украина. 20 лет независимости Украины ; 2011 ;  ; Cu-Ni ; Proof ; 46 ; Sky2 ; 157 
 3421 ; 5 гривен. Украина. Казацкая лодка ; 2010 ;  ; Cu-Ni ; Proof ; 87 ; ANDREYMAG ; 152 
 3422 ; 5 гривен. Украина. Дендрологический парк ; 2008 ;  ; Cu-Ni ; Proof ; 78 ; August31 ; 151 
 3423 ; 5 гривен. Украина. 850 лет городу Снятин ; 2008 ;  ; Cu-Ni ; Proof ; 20 ; ges ; 117 
 3324 ; 5 лева. Болгария. Хаджи Димитров и Стефан Караджа ; 1988 ;  ; Cu-Ni ; Proof ; 25 ; Sky2 ; 138 
 3325 ; 1 гривна. Украина. 60 лет освобождения Украины от фашизма ; 2004 ;  ; Латунь ; XF- ; 31 ; asus ; 89 
 3326 ; 1 гривна. Украина. 60 лет победы ; 2005 ;  ; Латунь ; VF-XF ; 26 ; АЛЬБЕРТ ; 84 
 3327 ; 1 гривна. Украина. 65 лет победы ; 2010 ;  ; Латунь ; AU ; 31 ; asus ; 75 
 3328 ; 1 гривна. Украина. Чемпионат Европы по футболу ; 2012 ;  ; Латунь ; AU ; 41 ; VELS ; 48 
 3329 ; 1 гривна. Украина. Чемпионат Европы по футболу ; 2012 ;  ; Латунь ; AU ; 33 ; suhua ; 71 
 3330 ; 5 гривен. Украина. Чемпионат Европы по футболу ; 2011 ;  ; Cu-Ni ; Proof ; 19 ; suhua ; 202 
 3331 ; 5 гривен. Украина. Чемпионат Европы по футболу ; 2011 ;  ; Cu-Ni ; Proof ; 34 ; sinitsinik ; 157 
 3332 ; 5 гривен. Украина. Чемпионат Европы по футболу ; 2011 ;  ; Cu-Ni ; Proof ; 33 ; sinitsinik ; 156 
 3333 ; 5 гривен. Украина. Чемпионат Европы по футболу ; 2011 ;  ; Cu-Ni ; Proof ; 33 ; sinitsinik ; 156 
 3334 ; 5 гривен. Украина. Чемпионат Европы по футболу ; 2011 ;  ; Cu-Ni ; Proof ; 26 ; faihu ; 206 
 3335 ; 20 кэш. Китай ;  ;  ; Cu ; F-VF ; 14 ; geracon2009 ; 51 
 3336 ; 2 пайса. Индия ; 1974 ;  ; Al ; VF+ ; 11 ; asus ; 48 
 3337 ; 1 рупия. Британские Сейшелы ; 1960 ;  ; Cu-Ni ; VF ; 16 ; suhua ; 71 
 3338 ; 100 рупий. Индонезия ; 1978 ;  ; Cu-Ni ; VF ; 8 ; alex995 ; 23 
 3339 ; 10 пфеннигов. Германия ; 1911А ;  ; Cu-Ni ; VF+ ; 26 ; demonspb ; 30 
 3340 ; 5 пфеннигов. Германия ; 1876J ;  ; Cu-Ni ; VF- ; 14 ; paulus568 ; 53 
 3341 ; 5 пфеннигов. Германия ; 1876А ;  ; Cu-Ni ; VF- ; 29 ; demonspb ; 37 
 3342 ; 10 монго. Монголия ; 1977 ;  ; Cu-Ni ; VF+ ; 8 ; Jordan ; 96 
 3343 ; 10 пенни. Ирландия ; 1996 ;  ; Cu-Ni ; XF ; 12 ; suhua ; 32 
 3344 ; 6 пенсов. Великобритания ; 1960 ;  ; Cu-Ni ; VF ; 7 ; Al0851 ; 25 
 3345 ; 2,5 эскудо. Португалия. Корабль ; 1969 ;  ; Cu-Ni ; VF-XF ; 8 ; bosc ; 26 
 3346 ; 1 доллар. США. 13-й президент ; 2010 ;  ; Латунь ; AU ; 71 ; -IROKEZ- ; 100 
 3347 ; 1 доллар. США. 15-й президент ; 2010 ;  ; Латунь ; AU ; 50 ; -IROKEZ- ; 86 
 3348 ; 1 доллар. США. 17-й президент ; 2011 ;  ; Латунь ; AU ; 24 ; -IROKEZ- ; 91 
 3349 ; 5 денаров. Македония. Рысь ; 1995 ;  ; Латунь ; AU ; 9 ; Mikle777 ; 51 
 3350 ; 1 гривна. Украина. Евро-2012 ; 2012 ;  ; Латунь ; AU ; 14 ; faihu ; 36 
 3351 ; 2 денара. Македония ; 1995 ;  ; Латунь ; AU ; 5 ; Mikle777 ; 51 
 3352 ; 1 денар. Македония ; 2006 ;  ; Латунь ; AU ; 46 ; -IROKEZ- ; 47 
 3353 ; 1 франк. Монако ; ND ;  ; Латунь ; VF+ ; 20 ; Jordan ; 120 
 3354 ; 1 драхма. Греция. Корабль ; 1986 ;  ; Латунь ; XF ; 30 ; Моряк-собиратель ; 102 
 3355 ; 1/4 шиллинга. Джерси ; 1957 ;  ; Латунь ; VF ; 4 ; t_v_v ; 31 
 3356 ; 1 пенни. Гана ; 1958 ;  ; Br ; XF+ ; 27 ; AnvlaSar6216 ; 131 
 3357 ; 1 сантим. Латвия ; 1924 ;  ; Br ; F ; 9 ; musik ; 51 
 3358 ; 1 цент. Южная Африка ; 1986 ;  ; Br ; VF-XF ; 4 ; CaesarAugustus ; 24 
 3359 ; 2 пенса. Гибралтар. 1704-2004 ; 2004 ;  ; Cu-Fe ; AU ; 21 ; Makys ; 110 
 3360 ; 20 тебе. Ботсвана ; 2007 ;  ; Ni/Fe ; AU ; 10 ; dsp ; 36 
 3361 ; 25 центов. Канада. Провинция Новая Скотия ; 1992 ;  ; Ni/Fe ; XF+ ; 25 ; грешник ; 50 
 3362 ; 1 крона. Швеция ; 1943G ;  ; Ag ; XF- ; 74 ; kgu ; 116 
 3363 ; 10 эре. Швеция ; 1939G ;  ; Ag ; VF+ ; 9 ; себер ; 39 
 3364 ; 10 эре. Швеция ; 1940G ;  ; Ag ; VF-XF ; 19 ; себер ; 39 
 3365 ; 10 эре. Швеция ; 1942G ;  ; Ag ; XF ; 21 ; kgu ; 45 
 3366 ; 10 эре. Швеция ; 1944G ;  ; Ag ; VF-XF ; 10 ; Al0851 ; 46 
 3367 ; 10 эре. Швеция ; 1950TS ;  ; Ag ; AU ; 34 ; Al0851 ; 51 
 3368 ; 10 эре. Швеция ; 1955TS ;  ; Ag ; XF+ ; 23 ; DVZ ; 41 
 3369 ; 10 сент. Нидерланды. Вильем III ; 1863 ;  ; Ag ; F-VF ; 16 ; alexnn ; 138 
 3370 ; 2 кроны. Дания. Фредерик IX ; 1949 ;  ; Al/Br ; VF-XF ; 10 ; kergudu ; 102 
 3371 ; 2 кроны. Дания. Фредерик IX ; 1953 ;  ; Al/Br ; XF ; 16 ; kergudu ; 157 
 3372 ; 2 кроны. Дания. Фредерик IX ; 1955 ;  ; Al/Br ; XF ; 14 ; kergudu ; 128 
 3373 ; 2 кроны. Дания. Фредерик IX ; 1956 ;  ; Al/Br ; XF ; 14 ; DVZ ; 142 
 3274 ; 10 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F-VF ; 14 ; aziya11 ; 91 
 3275 ; 25 пфеннигов. Германия. Нотгельд. Бохум ; 1918 ;  ; Fe ; F-VF ; 15 ; Опятор ; 124 
 3276 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F-VF ; 9 ; Опятор ; 114 
 3277 ; 20 филлеров. Венгрия ; 1917 ;  ; Fe ; F ; 5 ; vb96 ; 26 
 3278 ; 0,20 лек. Албания ; 1940 ;  ; St ; VF-XF ; 12 ; Sterh ; 83 
 3279 ; 5 миллим. Египет ; 1941 ;  ; Cu-Ni ; XF+ ; 13 ; voldemar56 ; 102 
 3280 ; 1/2 доллара. США. Кеннедия. 200 лет юбилею ; 1976 ;  ; Cu-Ni ; XF ; 7 ; CaesarAugustus ; 50 
 3281 ; 1 доллар. США. Эйзенхауэр ; 1972D ;  ; Cu-Ni ; XF ; 22 ; SadKo ; 94 
 3282 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; XF ; 6 ; Jordan ; 66 
 3283 ; 50 пенсов. Великобритания ; 2000 ;  ; Cu-Ni ; XF- ; 13 ; xct ; 62 
 3284 ; 1 франк. Бельгия ; 1922 ;  ; Cu-Ni ; VF ; 7 ; Jordan ; 34 
 3285 ; 10 филлеров. Венгрия ; 1908 ;  ; Cu-Ni ; VF+ ; 24 ; Argnist3000 ; 95 
 3286 ; 20 пара. Черногория ; 1908 ;  ; Cu-Ni ; VF+ ; 24 ; cotangens ; 220 
 3287 ; 5 франков. Франция ; 1996 ;  ; Cu-Ni ; XF- ; 30 ; vc57 ; 136 
 3288 ; 3 песо. Куба ; 1995 ;  ; Cu-Ni ; VF-XF ; 21 ; MC17 ; 49 
 3289 ; 5 лева. Болгария ; 1943 ;  ; Cu-Ni ; VF ; 18 ; Юбер ; 105 
 3290 ; 10 пара. Черногория ; 1914 ;  ; Cu-Ni ; XF ; 43 ; tss ; 227 
 3291 ; 1 колон. Коста-Рика ; 1975 ;  ; Cu-Ni ; VF ; 7 ; cotangens ; 31 
 3292 ; 1 лира. Италия ; 1924 ;  ; Cu-Ni ; VF ; 20 ; dsp ; 70 
 3293 ; 10 сантимов. Франция ; 1930 ;  ; Cu-Ni ; VF-XF ; 5 ; Komod ; 24 
 3294 ; 25 эре. Дания ; 1972 ;  ; Cu-Ni ; AU ; 19 ; voldemar56 ; 33 
 3295 ; 10 миллим. Египет ; 1938 ;  ; Cu-Ni ; VF-XF ; 28 ; Lena6975 ; 87 
 3296 ; 1 миллим. Египет ; 1938 ;  ; Cu-Ni ; VF ; 9 ; voldemar56 ; 62 
 3297 ; 5 центов. США ; 1936 ;  ; Cu-Ni ; VF- ; 23 ; маманя ; 58 
 3298 ; 1/2 лек. Албания ; 1926 ;  ; Cu-Ni ; VF ; 15 ; kont ; 113 
 3299 ; 10 сантимов. Бельгия ; 1939 ;  ; Cu-Ni ; VF-XF ; 20 ; Юбер ; 104 
 3300 ; 10 динаров. Югославия. Битва на Неретве ; 1983 ;  ; Cu-Ni ; XF+ ; 28 ; chuk ; 43 
