 5839 ; Бона иностранная Сомали ;  ;  ;  ; AU ; 12 ; gdrg2 ; 58 
 3352 ; 200 эскудо. Португалия ; 1991 ;  ; Cu-Ni ; XF ; 5 ; Sterh ; 83 
 3353 ; 50 центов. Белиз ; 1991 ;  ; Cu-Ni ; XF ; 16 ; Jeff ; 79 
 3354 ; 5 долларов. Гон-Конг ; 1978 ;  ; Cu-Ni ; XF ; 12 ; елец ; 206 
 3355 ; 1 доллар. Гон-Конг ; 1960 ;  ; Cu-Ni ; VF ; 23 ; елец ; 140 
 3356 ; 1 лира. Италия ; 1922 ;  ; Cu-Ni ; XF ; 32 ; kornum ; 261 
 3357 ; 5 центов. США ; 1930 ;  ; Cu-Ni ; VF ; 11 ; YP ; 128 
 3358 ; 1 рупия. Индия ; 1976 ;  ; Cu-Ni ; XF ; 10 ; bek-1 ; 47 
 3359 ; 50 песет. Испания ; 1992 ;  ; Cu-Ni ; VF ; 9 ; кот баюн ; 51 
 3360 ; 20 чентезимо. Италия ; 1918 ;  ; Cu-Ni ; F-VF ; 13 ; canario ; 67 
 3361 ; 25 сентавос. Гватемала ; 1978 ;  ; Cu-Ni ; VF- ; 5 ; кот баюн ; 51 
 3362 ; 1 сукре. Эквадор ; 1978 ;  ; Cu-Ni ; XF+ ; 6 ; вулканолог ; 46 
 3363 ; 50 центов. Южная Африка ; 1977 ;  ; Cu-Ni ; XF ; 7 ; кот баюн ; 51 
 3364 ; 2 руфии. Мальдивы ; 2007 ;  ; St/Лат ; XF ; 17 ; valerdon ; 100 
 3365 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF ; 16 ; кируш ; 40 
 3366 ; 20 франков. Бельгия ; 1982 ;  ; Al/Br ; VF+ ; 12 ; mr. Raccoon ; 30 
 3367 ; 200 лир. Италия ; 1993 ;  ; Al/Br ; XF- ; 17 ; SKeeper ; 31 
 3368 ; 20 франков. Полинезия ; 1969 ;  ; Cu-Ni ; VF ; 12 ; Zarik ; 106 
 3369 ; 1 писо. Филиппины ; 1972 ;  ; Cu-Ni ; VF- ; 8 ; canario ; 31 
 3370 ; 5 песо. Мексика ; 1977 ;  ; Cu-Ni ; XF ; 22 ; Jeff ; 43 
 3371 ; 100 филс. Ирак ; 1970-1979 ;  ; Cu-Ni ; VF ; 13 ; t_v_v ; 91 
 3372 ; 5000 лир. Турция ; 1992 ;  ; Cu-Ni ; AU ; 24 ; v_bond ; 42 
 3273 ; 1 ранд. ЮАР ; 1966 ;  ; Ag ; AU ; 19 ; gdrg2 ; 509 
 3274 ; 5 шиллингов. Британский Южно-Африканский союз. 300 лет основания Кейптауна ; 1952 ;  ; Ag ; XF+ ; 24 ; Elephant ; 1259 
 3275 ; 50 центов. Британская Канада ; 1965 ;  ; Ag ; VF-XF ; 35 ; Elephant ; 407 
 3276 ; 1 шиллинг. Британская Западная Африка ; 1942 ;  ; Br ; VF+ ; 33 ; kornum ; 456 
 3277 ; 6 пенсов. Британская Западная Африка ; 1940 ;  ; Cu-Ni ; VF ; 14 ; Andy M ; 228 
 3278 ; 3 пенса. Британская Западная Африка ; 1947 ;  ; Cu-Ni ; VF ; 15 ; kornum ; 153 
 3279 ; 1 пенни. Британская Западная Африка ; 1947 ;  ; Cu-Ni ; VF-XF ; 25 ; kornum ; 203 
 3280 ; 1/2 пенни. Британская Западная Африка ; 1947 ;  ; Cu-Ni ; XF- ; 13 ; kornum ; 171 
 3281 ; 10 центов. . Британская Восточная Африка ; 1945 ;  ; Br ; VF+ ; 19 ; kornum ; 114 
 3282 ; 5 центов. . Британская Восточная Африка ; 1943 ;  ; Br ; VF ; 18 ; SKeeper ; 90 
 3283 ; 1 цент. . Британская Восточная Африка ; 1952 ;  ; Br ; VF+ ; 11 ; бортик ; 148 
 3284 ; 1 пиастр. Ливан ; 1955 ;  ; Br ; XF ; 30 ; SerKon ; 157 
 3285 ; 1 шиллинг. Новая Зеландия ; 1950 ;  ; Cu-Ni ; VF+ ; 28 ; SKeeper ; 183 
 3286 ; 25 новых пенсов. Великобритания. Серебряный юбилей ; 1977 ;  ; Cu-Ni ; AU ; 7 ; Maks87 ; 104 
 3287 ; 1 даласи. Гамбия ; 1987 ;  ; Cu-Ni ; F+ ; 16 ; alapabula ; 79 
 3288 ; 1 доллар. Восточные Карибские Штаты ; 2002 ;  ; Cu-Ni ; VF ; 17 ; Александ98 ; 59 
 3289 ; 1 доллар. Восточные Карибские Штаты ; 2012 ;  ; Ni ; XF ; 34 ; Valerik ; 156 
 3290 ; 1/2 пенни. Австралия ; 1942 ;  ; Br ; VF+ ; 7 ; бортик ; 153 
 3291 ; 1/2 пенни. Австралия ; 1959 ;  ; Br ; VF ; 15 ; YP ; 149 
 3292 ; 1/2 пенни. Великобритания ; 1910 ;  ; Br ; VF ; 26 ; alapabula ; 115 
 3293 ; 1/2 пенни. Великобритания ; 1861 ;  ; Br ; F- ; 13 ; alapabula ; 57 
 3294 ; 1/2 пенни. Великобритания ; 1913 ;  ; Br ; F- ; 6 ; alapabula ; 50 
 3295 ; 2 новых пенса. Джерси ; 1980 ;  ; Br ; XF ; 11 ; kornum ; 66 
 3296 ; 1 пенни. Великобритания ; 1863 ;  ; Br ; F- ; 12 ; alapabula ; 123 
 3297 ; 1 пенни. Великобритания ; 1895 ;  ; Br ; VF ; 41 ; igor26 ; 691 
 3298 ; 1 пенни. Великобритания ; 1907 ;  ; Br ; VF- ; 45 ; жора ; 107 
 3299 ; 1 пенни. Великобритания ; 1913 ;  ; Br ; F-VF ; 6 ; alapabula ; 50 
 3300 ; 1 пенни. Великобритания ; 1915 ;  ; Br ; F-VF ; 30 ; alapabula ; 101 
 3301 ; 1 пенни. Великобритания ; 1918 ;  ; Br ; F-VF ; 8 ; alapabula ; 53 
 3302 ; 1 пенни. Великобритания ; 1935 ;  ; Br ; VF+ ; 8 ; TaraskaPeter ; 104 
 3303 ; 1 пенни. Великобритания ; 1910 ;  ; Br ; F-VF ; 13 ; вулканолог ; 22 
 3304 ; 1 пенни. Великобритания ; 1936 ;  ; Br ; AU ; 56 ; alapabula ; 239 
 3305 ; 1 пенни. Новая Зеландия ; 1953 ;  ; Br ; XF- ; 10 ; YP ; 149 
 3306 ; 1 пенни. Новая Зеландия ; 1952 ;  ; Br ; XF- ; 21 ; Alexdav ; 184 
 3307 ; 1 пенни. Австралия ; 1956 ;  ; Br ; VF ; 13 ; YP ; 149 
 3308 ; 1 пенни. Южная Африка ; 1937 ;  ; Br ; VF+ ; 40 ; Valerik ; 111 
 3309 ; 1/12 шиллинга. Джерси ; 1945 ;  ; Br ; XF ; 17 ; Zarik ; 155 
 3310 ; 1/12 шиллинга. Джерси ; 1960 ;  ; Br ; VF+ ; 15 ; divergent ; 79 
 3311 ; 1/12 шиллинга. Джерси ; 1913 ;  ; Br ; VF- ; 9 ; бортик ; 157 
 3312 ; 10 сентесими. Италия ; 1866 ;  ; Br ; F ; 9 ; divergent ; 53 
 3313 ; 10 сентимес. Франция ; 1856 ;  ; Br ; VF- ; 28 ; Jeff ; 217 
 3314 ; 10 центов. Восточная Африка ; 1925 ;  ; Br ; VF ; 7 ; SKeeper ; 61 
 3315 ; 2 новых пенса. Великобритания ; 1971 ;  ; Br ; XF ; 13 ; didisister ; 48 
 3316 ; 5 центов. Восточная Африка ; 1941 ;  ; Br ; VF ; 5 ; SKeeper ; 51 
 3317 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu-Ni ; AU ; 44 ; StanislavAK ; 150 
 3318 ; 50 тенге. Казахстан. Восток ; 2008 ;  ; Cu-Ni ; AU ; 36 ; fuzzyfly ; 387 
 3319 ; 50 тенге. Казахстан. Космическая станция ; 2012 ;  ; Cu-Ni ; AU ; 28 ; fuzzyfly ; 234 
 3320 ; 50 тенге. Казахстан. Буран ; 2014 ;  ; Cu-Ni ; AU ; 25 ; fuzzyfly ; 234 
 3321 ; 50 тенге. Казахстан. Ёж ; 2013 ;  ; Cu-Ni ; AU ; 13 ; aidih ; 157 
 3322 ; 2 евро. Германия ; 2015 ;  ; Би/м ; AU ; 36 ; didisister ; 271 
 3223 ; 1 доллар. США. В капсуле PCGS ; 1899 ;  ; Ag ; MS62 ; 43 ; dsidorov ; 2850 
 3224 ; 1/4 анны. Индия ; 1936 ;  ; Br ; VF ; 38 ; Olimpia ; 71 
 3225 ; 1/12 анны. Индия ; 1920 ;  ; Br ; XF+ ; 11 ; bratss ; 151 
 3226 ; 1 цент. Цейлон ; 1945 ;  ; Br ; AU ; 19 ; prince1959 ; 252 
 3227 ; 1/12 анны. Индия ; 1932 ;  ; Br ; XF+ ; 11 ; bratss ; 151 
 3228 ; 1 ен. Япония ;  ;  ; Br ; VF+ ; 17 ; cfif24 ; 180 
 3229 ; 1 рупия. Индия ; 1976 ;  ; Cu-Ni ; XF ; 33 ; Bacek ; 48 
 3230 ; 1 фен. Китай. Японская оккупация ;  ;  ; Br ; VF ; 27 ; Olimpia ; 453 
 3231 ; 10 центов. Китай ;  ;  ; Ag ; VF+ ; 25 ; Olimpia ; 2004 
 3232 ; 20 центов. Китай. Провинция Квантун ;  ;  ; Ag ; VF+ ; 25 ; bratss ; 888 
 3233 ; 1/4 гульдена. Нидерландская Индия ; 1942 ;  ; Ag ; XF ; 26 ; Ermak ; 195 
 3234 ; 2 монго. Монголия ; 1925 ;  ; Br ; VF ; 37 ; MDV ; 481 
 3235 ; 1 пайса. Индия. Бахавалпур ; 1343 ;  ; Br ; VF+ ; 17 ; Olimpia ; 283 
 3236 ; 2 пая. Индия ;  ;  ; Br ; VF ; 18 ; mkm1968 ; 225 
 3237 ; 50 сен. Япония ;  ;  ; Ag ; VF-XF ; 15 ; Прокурор ; 666 
 3238 ; 1 риал. Саудовская Аравия ; 1367 ;  ; Ag ; XF ; 52 ; Виталий 64 ; 1800 
 3239 ; 5 эре. Дания ; 1891 ;  ; Cu ; VF- ; 29 ; vihufa ; 363 
 3240 ; 20 франков. Швейцария. ; 2005 ;  ; Ag ; Proof ; 20 ; LEXAI ; 1391 
 3241 ; 20 франков. Швейцария. Упаковка ; 2001 ;  ; Ag ; Proof ; 14 ; Zarik ; 1416 
 3242 ; 5 франков. Швейцария ; 2000 ;  ; Би/м ; AU ; 24 ; vicnic ; 709 
 3243 ; 5 франков. Швейцария ; 1999 ;  ; Би/м ; AU ; 35 ; vicnic ; 709 
 3244 ; 1 рупия. Сейшеллы ; 1960 ;  ; Cu-Ni ; XF ; 32 ; kornum ; 457 
 3245 ; 1 пенни. Великобритания ; 1899 ;  ; Cu ; F ; 19 ; alapabula ; 58 
 3246 ; 1 цент. Саравак ; 1929 ;  ; Cu ; F- ; 15 ; unix ; 310 
 3247 ; 1 цент. Гон-Конг ; 1904 ;  ; Cu ; F ; 11 ; banks ; 153 
 3248 ; 5 эре. Дания ; 1928 ;  ; Cu ; F-VF ; 39 ; divergent ; 40 
 3249 ; 1 фартинг. Великобритания ; 1907 ;  ; Br ; VF+ ; 35 ; alapabula ; 153 
 3250 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu-Ni ; XF+ ; 47 ; Виктор Ф ; 220 
 3251 ; 25 новых пенсов. Свадебный ; 1972 ;  ; Cu-Ni ; XF+ ; 14 ; sibirian ; 96 
 3252 ; 25 новых пенсов. 25 лет правления Елизаветы Второй ; 1977 ;  ; Cu-Ni ; AU ; 9 ; canario ; 91 
 3253 ; 25 новых пенсов. Принц Чарльз и леди Диана ; 1981 ;  ; Cu-Ni ; AU ; 3 ; canario ; 110 
 3254 ; 6 пенсов. Великобритания ; 1946 ;  ; Ag ; XF+ ; 15 ; Andy M ; 144 
 3255 ; 1 шиллинг. Великобритания. Английский герб ; 1946 ;  ; Ag ; XF+ ; 53 ; Rusik ; 350 
 3256 ; 1 шиллинг. Великобритания. Шотландский герб ; 1946 ;  ; Ag ; XF+ ; 30 ; kornum ; 332 
 3257 ; 2 шиллинга. Великобритания ; 1946 ;  ; Ag ; XF ; 29 ; alapabula ; 318 
 3258 ; 1/2 кроны. Великобритания ; 1946 ;  ; Ag ; XF ; 36 ; Elephant ; 531 
 3259 ; 1/2 кроны. Великобритания ; 1923 ;  ; Ag ; XF ; 17 ; В1951 ; 560 
 3260 ; 1 флорин. Великобритания. 50 лет правления ; 1887 ;  ; Ag ; XF ; 46 ; Jeff ; 1534 
 3261 ; 1 шиллинг. Великобритания. 60 лет правления ; 1897 ;  ; Ag ; XF ; 102 ; Uri ; 2039 
 3262 ; 1 шиллинг. Южная Африка ; 1897 ;  ; Ag ; VF-XF ; 45 ; kornum ; 1017 
 3263 ; 2 пенса. Великобритания. В упаковке ; 1994 ;  ; Br ; Unc ; 22 ; бортик ; 67 
 3264 ; 1/2 пенни. Великобритания ; 1959 ;  ; Br ; AU ; 46 ; Valerik ; 217 
 3265 ; 3 пенса. Великобритания ; 1959 ;  ; Br ; XF+ ; 11 ; alapabula ; 53 
 3266 ; 20 тоэ. Папуа - Новая Гвинея ; 1977 ;  ; Cu-Ni ; Proof ; 32 ; alapabula ; 181 
 3267 ; 1 тугрик. Монголия ; ND ;  ; Al/Br ; VF+ ; 19 ; SKeeper ; 44 
 3268 ; 10 тоэ. Папуа - Новая Гвинея ; 1977 ;  ; Cu-Ni ; Proof ; 39 ; alapabula ; 192 
 3269 ; 5 тоэ. Папуа - Новая Гвинея ; 1977 ;  ; Cu-Ni ; Proof ; 26 ; alapabula ; 204 
 3270 ; 500 марок. Германия, Веймар ; 1923А ;  ; Al ; VF+ ; 9 ; sever55 ; 67 
 3271 ; 200 марок. Германия, Веймар ; 1923А ;  ; Al ; XF ; 8 ; oleg1129 ; 60 
 3272 ; 3 марки. Германия, Веймар ; 1922J ;  ; Al ; XF ; 17 ; Aurora810 ; 87 
 3173 ; 1/4 риала. Гватемала ; 1896 ;  ; Ag ; XF+ ; 33 ; AKrav ; 1134 
 3174 ; 5 марок. ФРГ ; 1957D ;  ; Ag ; VF ; 20 ; SERGE5064 ; 340 
 3175 ; 2 кроны. Швеция ; 1966 ;  ; Ag ; XF ; 26 ; vitapool ; 203 
 3176 ; 1 доллар. США ; 1974S ;  ; Ag ; Proof ; 73 ; kolibas ; 819 
 3177 ; 50 сен. Япония ;  ;  ; Ag ; VF- ; 16 ; cfif24 ; 567 
 3178 ; 25 шиллингов. Австрия. Вельсбах ; 1958 ;  ; Ag ; XF ; 15 ; Vanka ; 348 
 3179 ; 10 франков. Франция ; 1934 ;  ; Ag ; VF ; 10 ; кот баюн ; 238 
 3180 ; 5 пенго. Венгрия ; 1938 ;  ; Ag ; XF+ ; 48 ; asternox ; 2448 
 3181 ; 1 шилинг. Новая Зеландия ; 1940 ;  ; Ag ; F-VF ; 15 ; ВМШ ; 293 
 3182 ; 100 йен. Япония. Олимпиада ; 1964 ;  ; Ag ; XF ; 32 ; Прокурор ; 254 
 3183 ; 5 марок. ФРГ ; 1974J ;  ; Ag ; XF+ ; 23 ; vitapool ; 286 
 3184 ; 25 шиллингов. Австрия. Роззенгер ; 1969 ;  ; Ag ; XF+ ; 11 ; Vanka ; 405 
 3185 ; 25 шиллингов. Австрия. Венская биржа ; 1971 ;  ; Ag ; XF ; 17 ; vitapool ; 404 
 3186 ; 10 марок. Германия. Альберт Лортцинг. Сертификат ; 2001J ;  ; Ag, позолота ; AU ; 19 ; 330 каждому ; 599 
 3187 ; 10 марок. Германия. Монастырь Святой Екатерины в Штральзунде — 750-летие, Океанографический музей (Meersmuseum) — 50-летие. Сертификат ; 2001А ;  ; Ag, позолота ; AU ; 15 ; klv ; 641 
 3188 ; 10 марок. Германия. Федеральный Конституционный Суд: 50-летие. Сертификат ; 2001G ;  ; Ag, позолота ; AU ; 17 ; solder13 ; 601 
 3189 ; 10 марок. Германия. Экспо-2000 в Ганновере. Сертификат ; 2000А ;  ; Ag, позолота ; AU ; 22 ; 330 каждому ; 625 
 3190 ; 10 марок. Германия. Гёте. Сертификат ; 1999F ;  ; Ag, позолота ; AU ; 17 ; olgont ; 616 
 3191 ; 10 марок. Германия. 50 лет организации по защите детей. Сертификат ; 1999J ;  ; Ag, позолота ; AU ; 23 ; Victory-2001 ; 735 
 3192 ; 10 марок. Германия. 50 лет Конституции. Сертификат ; 1999D ;  ; Ag, позолота ; AU ; 20 ; gdrg2 ; 612 
 3193 ; 10 марок. Германия. 300-летие благотворительного фонда. Сертификат ; 1998А ;  ; Ag, позолота ; AU ; 31 ; klv ; 624 
 3194 ; 10 марок. Германия. 50 лет немецкой марке. Сертификат ; 1998F ;  ; Ag, позолота ; AU ; 29 ; klv ; 577 
 3195 ; 10 марок. Германия. Хильдегарда Бингенская. Сертификат ; 1998G ;  ; Ag, позолота ; AU ; 21 ; Victory-2001 ; 669 
 3196 ; 10 марок. Германия. Вестфальский мир. Сертификат ; 1998J ;  ; Ag, позолота ; AU ; 19 ; Фома ; 619 
 3197 ; 10 марок. Германия. Генрих Гейне ; 1997D ;  ; Ag, позолота ; AU ; 27 ; gdrg2 ; 516 
 3198 ; 10 марок. Германия. Филипп Мелангтон. Сертификат ; 1997J ;  ; Ag, позолота ; AU ; 23 ; gdrg2 ; 510 
 3199 ; 10 марок. Германия. 100 лет дизельному мотору. Сертификат ; 1997F ;  ; Ag, позолота ; XF+ ; 28 ; Фома ; 591 
 3200 ; 10 марок. Германия. Кольпинг. Сертификат ; 1996А ;  ; Ag, позолота ; AU ; 26 ; gdrg2 ; 510 
 3201 ; 10 марок. Германия. Генрих Лев. Сертификат ; 1995F ;  ; Ag, позолота ; XF ; 28 ; Фома ; 554 
 3202 ; 10 марок. Германия. Вильгельм Рентген. Сертификат ; 1995D ;  ; Ag, позолота ; AU ; 23 ; olgont ; 510 
 3203 ; 10 марок. Германия. Дрезденская церковь. Сертификат ; 1995J ;  ; Ag, позолота ; AU ; 32 ; olgont ; 589 
 3204 ; 10 марок. Германия. Карл Великий. Сертификат ; 2000G ;  ; Ag, позолота ; AU ; 32 ; 330 каждому ; 563 
 3205 ; 10 марок. Германия. 10 лет объединения Германии. Сертификат ; 2000D ;  ; Ag, позолота ; AU ; 23 ; Victory-2001 ; 577 
 3206 ; 10 марок. Германия. Иоганн Себастьян Бах. Сертификат ; 2000F ;  ; Ag, позолота ; AU ; 19 ; Victory-2001 ; 612 
 3207 ; 10 марок. Германия. 750 лет Берлину. Сертификат ; 1987J ;  ; Ag, позолота ; XF+ ; 21 ; Elephant ; 485 
 3208 ; 10 марок. Германия. 30-летие Римского договора. Сертификат ; 1987G ;  ; Ag, позолота ; AU ; 21 ; olgont ; 542 
 3209 ; 10 марок. Германия. Артур Шопенгауэр. Сертификат ; 1988D ;  ; Ag, позолота ; XF ; 14 ; Elephant ; 413 
 3210 ; 10 марок. Германия. Карл Зайсс. Сертификат ; 1988F ;  ; Ag, позолота ; AU ; 23 ; Фома ; 497 
 3211 ; 10 марок. Германия. 40 лет Республике Германия. Сертификат ; 1989G ;  ; Ag, позолота ; AU ; 15 ; olgont ; 422 
 3212 ; 10 марок. Германия. 2000 лет Бонну. Сертификат ; 1989D ;  ; Ag, позолота ; AU ; 16 ; olgont ; 451 
 3213 ; 10 марок. Германия. 800 лет Гамбургу. Сертификат ; 1989J ;  ; Ag, позолота ; AU ; 16 ; Elephant ; 431 
 3214 ; 10 марок. Германия. Кайзер Фридрих Барбаросса ; 1990F ;  ; Ag, позолота ; AU ; 17 ; olgont ; 501 
 3215 ; 10 марок. Германия. 800 лет немецкому ордену. Сертификат ; 1990J ;  ; Ag, позолота ; AU ; 23 ; Elephant ; 450 
 3216 ; 10 марок. Германия. Бранденбургские ворота. Сертификат ; 1991А ;  ; Ag, позолота ; AU ; 17 ; guronidze ; 512 
 3217 ; 10 марок. Германия. Катэ Кольвиц. Сертификат ; 1992G ;  ; Ag, позолота ; AU ; 15 ; Elephant ; 422 
 3218 ; 10 марок. Германия. Иоганн Готфрид фон Гердер. Сертификат ; 1994G ;  ; Ag, позолота ; AU ; 14 ; olgont ; 413 
 3219 ; 10 марок. Германия. 50 лет покушению на Гитлера. Сертификат ; 1994А ;  ; Ag, позолота ; AU ; 27 ; Фома ; 683 
 3220 ; 10 марок. Германия. Роберт Кох. Сертификат ; 1993J ;  ; Ag, позолота ; AU ; 18 ; Elephant ; 461 
 3221 ; 10 марок. Германия. 1000 лет Потсдаму. Сертификат ; 1993F ;  ; Ag, позолота ; AU ; 44 ; Фома ; 717 
 3222 ; 10 марок. Германия. Премия в области науки и искусства. Сертификат ; 1992D ;  ; Ag, позолота ; XF+ ; 14 ; lestes ; 413 
 3123 ; 1 доллар. США. Статуя Свободы ; 1986S ;  ; Ag ; Proof ; 57 ; cfif24 ; 1181 
 3124 ; 5 центов. США ; 1908 ;  ; Cu-Ni ; F+ ; 14 ; игорь 222 ; 306 
 3125 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; VF+ ; 13 ; andrej888 ; 434 
 3126 ; 100 крон. Чехословакия ; 1949 ;  ; Ag ; AU ; 15 ; andrej888 ; 498 
 3127 ; 20 эскудо. Португалия. Мост Салазара ; 1966 ;  ; Ag ; AU ; 11 ; триА ; 497 
 3128 ; 50 эскудо. Португалия. 125 лет Национальному Банку ; 1971 ;  ; Ag ; AU ; 29 ; ГраF ; 559 
 3129 ; 960 рейс. Бразилия ; 1816 ;  ; Ag ; XF- ; 90 ; kornum ; 9009 
 3130 ; 5 крон. Лихтенштейн ; 1904 ;  ; Ag ; XF ; 100 ; olancepok ; 10074 
 3131 ; 1 франк. Швейцария ; 1944 ;  ; Ag ; VF+ ; 12 ; Прокурор ; 306 
 3132 ; 100 песет. Испания. Каудильо Франко ; 1966 ;  ; Ag ; AU ; 10 ; Aurora810 ; 601 
 3133 ; 5 франков. Франция ; 1833 ;  ; Ag ; VF ; 16 ; Yurival ; 1122 
 3134 ; 20 крон. Чехословакия. Президент Томаш Масарик ; 1937 ;  ; Ag ; XF+ ; 9 ; canario ; 457 
 3135 ; 5 франков. Франция ; 1869 ;  ; Ag ; VF+ ; 12 ; Galagan1978 ; 1283 
 3136 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; VF+ ; 25 ; 333985 ; 144 
 3137 ; 5 шиллингов. Австрия ; 1963 ;  ; Ag ; XF ; 12 ; 333985 ; 160 
 3138 ; 5 эскудо. Португалия ; 1933 ;  ; Ag ; VF ; 9 ; кот баюн ; 201 
 3139 ; 5 эскудо. Португалия ; 1947 ;  ; Ag ; VF+ ; 6 ; Valerik ; 206 
 3140 ; 2,5 эскудо. Португалия ; 1947 ;  ; Ag ; VF+ ; 11 ; Valerik ; 200 
 3141 ; 2,5 эскудо. Португалия ; 1943 ;  ; Ag ; VF+ ; 16 ; olancepok ; 202 
 3142 ; 1 юань. Китай ;  ;  ; Ag ; F-VF ; 27 ; Olimpia ; 4029 
 3143 ; 1 юань. Китай ;  ;  ; Ag ; VF ; 42 ; Olimpia ; 4080 
 3144 ; 50 сен. Япония ;  ;  ; Ag ; AU ; 41 ; Andy M ; 456 
 3145 ; 1 крейцер. Вюртемберг ; 1873 ;  ; Ag ; VF- ; 19 ; krass ; 414 
 3146 ; 10 центов. Канада ; 1945 ;  ; Ag ; VF ; 38 ; Valerik ; 107 
 3147 ; 5 долларов. Острова Кука. Учебное парусное судно, барк «Седов» ; 2008 ;  ; Ag ; Proof ; 39 ; LEXAI ; 3672 
 3148 ; 10 злотых. Польша ; 1937 ;  ; Ag ; XF- ; 32 ; visitor ; 1825 
 3149 ; 10 злотых. Польша ; 1938 ;  ; Ag ; XF ; 43 ; bob375 ; 2558 
 3150 ; 10 злотых. Польша ; 1936 ;  ; Ag ; XF ; 18 ; lsp25 ; 794 
 3151 ; 10 злотых. Польша ; 1935 ;  ; Ag ; VF-XF ; 17 ; Elephant ; 761 
 3152 ; 10 злотых. Польша. Легионерский орел ; 1934 ;  ; Ag ; VF+ ; 65 ; СОВ ; 4343 
 3153 ; 10 злотых. Польша ; 1939 ;  ; Ag ; XF- ; 40 ; visitor ; 2948 
 3154 ; 10 злотых. Польша ; 1933 ;  ; Ag ; XF ; 9 ; lsp25 ; 712 
 3155 ; 10 злотых. Польша ; 1932 ;  ; Ag ; VF-XF ; 11 ; MDV ; 694 
 3156 ; 10 злотых. Польша ; 1932 ;  ; Ag ; VF-XF ; 15 ; lsp25 ; 703 
 3157 ; 10 злотых. Польша ; 1934 ;  ; Ag ; VF-XF ; 68 ; visitor ; 4555 
 3158 ; 5 злотых. Польша ; 1934 ;  ; Ag ; XF- ; 14 ; mask ; 293 
 3159 ; 5 злотых. Польша ; 1932 ;  ; Ag ; VF+ ; 13 ; Мотя ; 291 
 3160 ; 5 злотых. Польша. Легионерский орел ; 1934 ;  ; Ag ; XF ; 61 ; MDV ; 3685 
 3161 ; 5 злотых. Польша ; 1935 ;  ; Ag ; XF- ; 25 ; lsp25 ; 546 
 3162 ; 5 злотых. Польша ; 1936 ;  ; Ag ; VF-XF ; 41 ; bob375 ; 2313 
 3163 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 12 ; Cruizers ; 360 
 3164 ; 5 злотых. Польша ; 1936 ;  ; Ag ; XF- ; 27 ; 330 каждому ; 579 
 3165 ; 5 злотых. Польша ; 1930 ;  ; Ag ; F- ; 46 ; DDW ; 2607 
 3166 ; 5 злотых. Польша ; 1928 ;  ; Ag ; F+ ; 42 ; MDV ; 5793 
 3167 ; 5 экю. Люксембург ; 1995 ;  ; Cu-Ni ; XF- ; 29 ; Zarik ; 252 
 3168 ; 5 экю. Люксембург ; 1997 ;  ; Cu-Ni ; XF+ ; 15 ; bliznetz ; 341 
 3169 ; 1/2 доллара. США. 250 лет со дня рождения Джорджа Вашингтона ; 1982 ;  ; Ag ; Proof ; 31 ; Capt2 ; 793 
 3170 ; 50 долларов. Острова Кука. Олимпиада ; 1987 ;  ; Ag ; Proof ; 13 ; сама71 ; 1248 
 3171 ; 100 лева. Болгария ; 1937 ;  ; Ag ; XF ; 13 ; mmmm ; 777 
 3172 ; 1 флорин. Великобритания ; 1918 ;  ; Ag ; VF+ ; 41 ; Jeff ; 793 
 3073 ; 500 тугриков. Монголия. Олимпийские игры ; 2006 ;  ; Ag ; Proof ; 21 ; unix ; 1222 
 3074 ; 10 долларов. Сьерра Леоне. Олимпийские игры ; 2006 ;  ; Ag ; Proof ; 13 ; sibirian ; 1224 
 3075 ; 25 пенсов. Гибралтар. Серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 15 ; послесловие ; 1280 
 3076 ; 1 крона. Гибралтар. 80 лет Королеве матери ; 1980 ;  ; Ag ; Proof ; 21 ; послесловие ; 1204 
 3077 ; 5 долларов. Соломоновы острова ; 2002 ;  ; Ag ; Proof ; 12 ; сама71 ; 1204 
 3078 ; 10 долларов. Фиджи ; 2002 ;  ; Ag ; Proof ; 20 ; сама71 ; 1068 
 3079 ; 1 крона. Остров Мэн. 200-летие Американской Независимости ; 1976 ;  ; Ag ; Proof ; 40 ; Elephant ; 1251 
 3080 ; 1 крона. Остров Мэн. 25 лет коронации ; 1978 ;  ; Ag ; Proof ; 13 ; Elephant ; 1253 
 3081 ; 1 крона. Остров Мэн. Серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 78 ; Elephant ; 1035 
 3082 ; 5 долларов. Барбадес ; 1973 ;  ; Ag ; Proof ; 25 ; Elephant ; 1211 
 3083 ; 1 крона. Остров Мэн. 200-летие Американской Независимости ; 1976 ;  ; Ag ; Proof ; 29 ; Elephant ; 1023 
 3084 ; 25 пенсов. Гибралтар. Серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 8 ; Elephant ; 1024 
 3085 ; 10 динар. Андорра. XXVI Олимпийские игры ; 1994 ;  ; Ag ; Proof ; 13 ; Vanka ; 1018 
