 5840 ; Акция. США ; 1975 ;  ;  ;  ; 18 ; инкогнито ; 408 
 3751 ; 5 корон. Австрия. 60 лет правления  Франца-Иосифа I ; 1848 ;  ; Ag ; VF ; 53 ; olancepok ; 2380 
 3752 ; 5 корон. Австрия ; 1909 ;  ; Ag ; VF-XF ; 36 ; Cliff ; 1800 
 3753 ; 1 доллар. США ; 1921 ;  ; Ag ; VF-XF ; 22 ; Алек ; 1259 
 3754 ; 50 евроцентов. Ватикан ; 2011 ;  ; Латунь ; AU ; 23 ; wladico ; 57 
 3755 ; 1 гривна. Украина. 65 лет победы ; 2010 ;  ; Латунь ; AU ; 38 ; bonipari ; 71 
 3756 ; 1 дайм. США ; 1920 ;  ; Ag ; VF+ ; 14 ; сама71 ; 194 
 3757 ; 2 1/2 шварена. Германия, Бремен ; 1820 ;  ; Cu ; F-VF ; 34 ; DIMA 57 ; 215 
 3758 ; 10 евро. Германия. Археоптерикс ; 2011 ;  ; Cu/Ni ; AU ; 24 ; ag58 ; 591 
 3759 ; 10 евро. ФРГ. Чемпионат по женскому футболу ; 2011 ;  ; Cu/Ni ; AU ; 39 ; ag58 ; 579 
 3760 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF+ ; 73 ; кузяка ; 819 
 3761 ; 1 цент. США. Индеец ; 1907 ;  ; Br ; VF ; 20 ; kornum ; 68 
 3762 ; 5 евро. Финляндия. Чемпионат мира по хоккею на льду 2012 в Стокгольме ; 2012 ;  ; Би/м ; AU ; 20 ; klon ; 285 
 3763 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 24 ; dmit24 ; 112 
 3764 ; 2 пфеннинга. Германия ; 1938J ;  ; Br ; XF ; 52 ; 06031983 ; 151 
 3765 ; 5 пфеннингов. Германия ; 1938D ;  ; Al/Br ; VF+ ; 14 ; tolegv ; 66 
 3766 ; 1 шиллинг. Великобритания ; 1931 ;  ; Ag ; XF- ; 30 ; maleevsw ; 270 
 3767 ; 3 пенса. Австралия ; 1951 ;  ; Ag ; VF+ ; 21 ; 221267 ; 92 
 3768 ; 5 мил. Палестина ; 1939 ;  ; Cu-Ni ; VF ; 20 ; val211 ; 120 
 3769 ; 2 анны. Индия ; 1918 ;  ; Сu-Ni ; VF+ ; 34 ; Волк33 ; 153 
 3770 ; 500 злотых. Польша. Владислав II ; 1989 ;  ; Cu/Ni ; XF ; 19 ; qwert789789 ; 66 
 3771 ; 50 злотых. Польша. Владислав I ; 1981 ;  ; Cu/Ni ; XF ; 19 ; qwert789789 ; 66 
 3772 ; 100 лир. Ватикан ; 1977 ;  ; St ; AU ; 14 ; sibirian ; 57 
 3773 ; 1 крона. Остров Мен. 25 летний юбилей. С сертификатом ; 1977 ;  ; Cu/Ni ; AU ; 9 ; chebeer ; 296 
 3774 ; 10 марок. Финляндия ; 1931 ;  ; Al/Br ; VF-XF ; 16 ; Gyron ; 62 
 3775 ; 10 марок. Финляндия ; 1929 ;  ; Al/Br ; VF-XF ; 14 ; wladico ; 113 
 3776 ; 10 марок. Финляндия ; 1937 ;  ; Al/Br ; VF-XF ; 12 ; wladico ; 113 
 3777 ; 10 марок. Финляндия ; 1930 ;  ; Al/Br ; VF-XF ; 12 ; wladico ; 113 
 3778 ; Монета Восток ;  ;  ; Cu ; F ; 32 ; Monata ; 366 
 3779 ; 10 марок. Финляндия ; 1938 ;  ; Al/Br ; XF ; 12 ; andreyM ; 61 
 3680 ; 5 франков. Франция ; 1992 ;  ; Cu-Ni ; XF- ; 12 ; kornum ; 128 
 3681 ; 100 франков. Саарленд ; 1955 ;  ; Cu-Ni ; VF+ ; 30 ; igor26 ; 320 
 3682 ; 5 марок. ФРГ. Альберт Швейтцер ; 1975G ;  ; Ag ; XF ; 8 ; dmit24 ; 302 
 3683 ; 1 пенни. Ирландия ; 1928 ;  ; Br ; VF ; 9 ; Mike! ; 35 
 3684 ; 100 шиллингов. Австрия. 20 лет Государственному договору ; 1975 ;  ; Ag ; Proof ; 40 ; dmit24 ; 585 
 3685 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972G ;  ; Ag ; AU ; 13 ; dmit24 ; 407 
 3686 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; XF ; 19 ; Mike! ; 396 
 3687 ; 1 крейцер. Нассау ; 1862 ;  ; Сu ; VF- ; 19 ; Mike! ; 200 
 3688 ; 1 пфенниг. Липпе-Детмольд ; 1851A ;  ; Сu ; F ; 18 ; Mike! ; 274 
 3689 ; 10 крон. Дания. На смерть Фредерика IX и восшествие на престол Маргрет II ; 1972 ;  ; Ag ; AU ; 21 ; Ясер ; 788 
 3690 ; 2-1/2 чентезимо. Италия ; 1854 ;  ; Cu ; VF- ; 12 ; Mike! ; 79 
 3691 ; 10 крон. Дания. На бракосочетание принцессы Маргрет ; 1967 ;  ; Ag ; AU ; 23 ; газета ; 803 
 3692 ; 1 марка. Германия ; 1935A ;  ; Cu-Ni ; VF+ ; 52 ; Mike! ; 293 
 3693 ; 3 пфеннига. Липпе-Детмольд ; 1847A ;  ; Сu ; VF- ; 10 ; Mike! ; 276 
 3694 ; 5 чентезимо. Сардиния ; 1826 ;  ; Cu ; F-VF ; 10 ; Mike! ; 93 
 3695 ; 1 пфенниг. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1745 ;  ; Cu ; F ; 21 ; Mike! ; 215 
 3696 ; 6 пенсов. Великобритания ; 1946 ;  ; Ag ; VF- ; 10 ; Mike! ; 67 
 3697 ; 1 лира. Италия ; 1863 ;  ; Ag ; VF ; 9 ; Mike! ; 236 
 3698 ; 3 пфеннига. Германия ; 1819 ;  ; Сu ; F-VF ; 14 ; Mike! ; 227 
 3699 ; 5 франков. Франция ; 1992 ;  ; Cu-Ni ; VF-XF ; 11 ; Алек ; 125 
 3700 ; 20 крон. Норвегия ; 1999 ;  ; Латунь ; VF ; 9 ; Mike! ; 116 
 3701 ; 25 пенсов. Гернси. 25 лет правления ; 1977 ;  ; Cu-Ni ; XF ; 9 ; Jeff ; 204 
 3702 ; 10 крон. Дания. На бракосочетнаие ; 1968 ;  ; Ag ; AU ; 23 ; dmit24 ; 619 
 3703 ; 3 пфеннига. Пруссия ; 1823D ;  ; Cu ; F ; 6 ; Mike! ; 57 
 3704 ; 10 марок. ГДР. Совместный полет СССР- ГДР ; 1978A ;  ; Cu-Ni ; XF- ; 27 ; wladico ; 503 
 3705 ; 1-1/2 пфеннига. Брауншвейг-Вольфенбюттель ; 1767 ;  ; Сu ; F-VF ; 10 ; Mike! ; 234 
 3706 ; 25 эре. Дания ; 1894 ;  ; Ag ; VF+ ; 13 ; kornum ; 352 
 3707 ; 1 песо. Чили ; 1922 ;  ; Ag ; F+ ; 19 ; Mike! ; 278 
 3708 ; 2 кроны. Дания. На свадьбу принцессы Анны-Марии ; 1958 ;  ; Ag ; AU ; 28 ; газета ; 756 
 3709 ; 10 марок. ФРГ. 2000 лет Бонну ; 1989D ;  ; Ag ; AU ; 6 ; Mike! ; 346 
 3710 ; 10 долларов. Либерия. Кеннеди ; 2000 ;  ; Cu-Ni ; AU ; 47 ; Mike! ; 206 
 3711 ; 3 сантима. Вестфалия ; 1809 ;  ; Сu ; F+ ; 24 ; ВЕПРЬ ; 277 
 3712 ; 2 фунта. Британская территория в Индийском океане ; 2011 ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 288 
 3713 ; 5 крон. Дания. На серебряную свадьбу ; 1960 ;  ; Ag ; AU ; 28 ; St. Lenin ; 818 
 3714 ; 10 франков. Франция ; 1989 ;  ; Сu-Ni ; XF ; 9 ; Mike! ; 67 
 3715 ; 5 долларов. Либерия. Кенгуру ; 1997 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 250 
 3716 ; 5 куруш. Турция ; 1327 ;  ; Ag ; VF ; 28 ; Mike! ; 396 
 3717 ; 10 франков. Франция ; 1988 ;  ; Al/Br ; XF ; 9 ; Алек ; 136 
 3718 ; 1 эре. Дания ; 1909 ;  ; Br ; F-VF ; 9 ; banks ; 114 
 3719 ; 2 стотинки. Болгария ; 1912 ;  ; Cu ; VF- ; 8 ; Mike! ; 105 
 3720 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 129 
 3721 ; 4 пфеннига. Ганновер ; 1796 ;  ; Cu ; VF- ; 3 ; Mike! ; 333 
 3722 ; 5 долларов. Либерия. Носорог ; 1997 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 250 
 3723 ; 10 марок. ФРГ. Кетти Кольвитц ; 1992G ;  ; Ag ; XF ; 14 ; jj ; 401 
 3724 ; 10 марок. ФРГ. Олимпиада в Германии ; 1972J ;  ; Ag ; XF ; 14 ; Mike! ; 359 
 3725 ; 1 пфенниг. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1779 ;  ; Cu ; VF ; 13 ; St. Lenin ; 232 
 3726 ; 25 пенсов. Джерси. 25 лет правления ; 1977 ;  ; Cu-Ni ; XF+ ; 15 ; Jeff ; 201 
 3727 ; 1 крона. Фолклендские острова. 25 лет свободе ; 2007 ;  ; Cu-Ni ; AU ; 11 ; Jeff ; 303 
 3728 ; 4 пфеннига. Пруссия ; 1855 ;  ; Cu ; F-VF ; 15 ; Mike! ; 125 
 3729 ; 20 крон. Дания ; 2012 ;  ; Al/Br ; AU ; 37 ; maleevsw ; 323 
 3630 ; 10 франков. Марокко ; 1971 ;  ; Al/Br ; XF ; 2 ; dim66 ; 68 
 3631 ; 5 чентезимо. Италия ; 1861 ;  ; Cu ; VF- ; 23 ; Mike! ; 57 
 3632 ; 1 скиллинг. Дания ; 1853 ;  ; Cu ; VF+ ; 22 ; кве ; 370 
 3633 ; 1 крейцер. Австрия ; 1790S ;  ; Cu ; F-VF ; 3 ; Mike! ; 131 
 3634 ; 1 эре. Дания ; 1915 ;  ; Cu ; VF+ ; 9 ; dvlless ; 117 
 3635 ; 3 пфеннига. Германия ; 1867B ;  ; Cu ; VF+ ; 20 ; Mike! ; 340 
 3636 ; 1 крейцер. Баден ; 1869 ;  ; Cu ; F+ ; 10 ; Mike! ; 115 
 3637 ; 25 пфеннигов. Германия ; 1910A ;  ; Cu-Ni ; VF+ ; 22 ; Mike! ; 308 
 3638 ; 1 крейцер. Германия ; 1786 ;  ; Cu ; F+ ; 23 ; lestes ; 235 
 3639 ; 20 пара. Черногория ; 1906 ;  ; Cu-Ni ; VF ; 33 ; luchsva ; 334 
 3640 ; 1 пфенниг. Пруссия ; 1867C ;  ; Cu ; VF ; 8 ; DIMA 57 ; 168 
 3641 ; 2 риала. Испания ; 1816 ;  ; Ag ; VF ; 28 ; dmit24 ; 738 
 3642 ; 2-1/2 куруш. Турция ; 1949 ;  ; Al/Br ; VF ; 17 ; Серж PirGS ; 147 
 3643 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; XF ; 37 ; 06031983 ; 297 
 3644 ; 5 лей. Румыния ; 1930 ;  ; Al/Br ; F-VF ; 23 ; t_v_v ; 50 
 3645 ; 1 пфенниг. Данциг ; 1923 ;  ; Br ; VF+ ; 11 ; Mike! ; 184 
 3646 ; 5 центов. США ; 1935 ;  ; Cu-Ni ; VF ; 11 ; kornum ; 139 
 3647 ; 2 кроны. Дания ; 1925 ;  ; Al/Br ; VF ; 23 ; wladico ; 201 
 3648 ; 10 сенти. Эстония ; 1931 ;  ; Ni-Br ; VF+ ; 27 ; bonipari ; 150 
 3649 ; 4 пфеннига. Веймар ; 1932 ;  ; Br ; VF-XF ; 15 ; Mike! ; 398 
 3650 ; 2 кроны. Дания ; 1956 ;  ; Al/Br ; VF+ ; 7 ; Mike! ; 89 
 3651 ; 20 евро. Австрия. Евгений Савойский ; 2002 ;  ; Ag ; Proof ; 42 ; сама71 ; 1338 
 3652 ; 5 марок. ГДР. Отто Лиленталь ; 1973 ;  ; Cu-Ni ; XF+ ; 18 ; Mike! ; 663 
 3653 ; 1 дайм. США ; 1899 ;  ; Ag ; F ; 17 ; dmit24 ; 225 
 3654 ; 5 марок. ФРГ. ; 1971J ;  ; Ag ; VF+ ; 24 ; dmit24 ; 294 
 3655 ; 2 фунта. Южная Георгия и Южные Сандвичевы острова. Альбатрос ; 2006 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 275 
 3656 ; 1 пфенниг. Ганновер ; 1853 ;  ; Cu ; F ; 7 ; Mike! ; 114 
 3657 ; 10 франков. Франия ; 1986 ;  ; Cu-Ni ; XF ; 8 ; kornum ; 128 
 3658 ; 1 пфенниг. Брауншвейг-Вольфенбюттель ; 1804 ;  ; Сu ; F-VF ; 23 ; Mike! ; 272 
 3659 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; XF+ ; 25 ; Mike! ; 230 
 3660 ; 1 геллер. Нассау ; 1844 ;  ; Cu ; F-VF ; 18 ; Mike! ; 227 
 3661 ; 1 крона. Австрия ; 1913 ;  ; Ag ; XF ; 15 ; Mike! ; 268 
 3662 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 18 ; Mike! ; 123 
 3663 ; 1 доллар. Либерия. Гарри Трумэн ; 1995 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 261 
 3664 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; XF- ; 16 ; Mike! ; 179 
 3665 ; 5 марок. ФРГ. Фридрих Райффайзен ; 1968J ;  ; Ag ; AU ; 11 ; Mike! ; 312 
 3666 ; 4 пфеннига. Пруссия ; 1851 ;  ; Cu ; VF- ; 7 ; Mike! ; 114 
 3667 ; 10 марок. ФРГ. Артур Шрпенгауэр ; 1988D ;  ; Ag ; XF+ ; 13 ; jj ; 401 
 3668 ; 4-1/2 пиастра. Кипр ; 1938 ;  ; Ag ; VF-XF ; 36 ; Отто фон Бисмарк ; 1259 
 3669 ; 2 фунта. Южная Джорджия и Южные Сандвичевы острова. На бракосочетание ; 2011 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 222 
 3670 ; 1 далер. Швеция. Отверстие ; 1718 ;  ; Сu ; F ; 31 ; Mike! ; 200 
 3671 ; 20 марок. ГДР. Вильгельм Пик ; 1972A ;  ; Cu-Ni ; XF- ; 10 ; Mike! ; 161 
 3672 ; Монетовидный жетон. 30 (wert-marke) Германия ; ND ;  ; Br ; VF ; 15 ; Mike! ; 132 
 3673 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 20 ; смит ; 207 
 3674 ; 1/12 скиллинга. Швеция ; 1808 ;  ; Cu ; F ; 18 ; Mike! ; 195 
 3675 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; F-VF ; 11 ; Mike! ; 155 
 3676 ; 3 марки. Веймар ; 1922A ;  ; Al ; XF ; 16 ; Mike! ; 123 
 3677 ; 2 сентаво. Аргентина ; 1891 ;  ; Cu ; VF+ ; 9 ; kornum ; 159 
 3678 ; 4 пфеннига. Пруссия ; 1857 ;  ; Cu ; F+ ; 9 ; Mike! ; 125 
 3679 ; 3 пфеннига. Германия ; 1843 ;  ; Сu ; VF- ; 9 ; Mike! ; 203 
 3580 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF ; 12 ; kornum ; 90 
 3581 ; 10 мазун. Марокко ; 1330 ;  ; Br ; VF ; 11 ; Mike! ; 117 
 3582 ; 1 крейцер. Франкфурт ; ND ;  ; Ag ; VF+ ; 32 ; mkm1968 ; 600 
 3583 ; 10 эре. Дания ; 1897 ;  ; Ag ; VF- ; 10 ; Mike! ; 111 
 3584 ; 5 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; FV-F ; 14 ; Mike! ; 133 
 3585 ; 5 евро. Австрия. ЕС ; 2004 ;  ; Ag ; AU ; 21 ; Mike! ; 411 
 3586 ; 1000 шиллингов. Уганда. Бранденбургские ворота ; 2000 ;  ; Cu-Ni ; XF+ ; 13 ; Mike! ; 228 
 3587 ; 10 пфеннигов. Германия. Нотгельд. Золинген ; 1919 ;  ; Fe ; VF ; 37 ; ga2012 ; 250 
 3588 ; 5 сенти. Эстония ; 1931 ;  ; Br ; VF ; 8 ; karl ; 100 
 3589 ; 6 крейцеров. Австрия ; 1848 ;  ; Ag ; VF- ; 27 ; kornum ; 352 
 3590 ; 1 шиллинг. Гамбург ; 1726 ;  ; Ag ; F ; 16 ; Mike! ; 223 
 3591 ; 1 шиллинг. Гамбург ; 1726 ;  ; Ag ; F ; 13 ; Mike! ; 294 
 3592 ; 20 вон. Северная Корея. Год Козы ; 2009 ;  ; Латунь,краска ; Proof ; 10 ; Mike! ; 117 
 3593 ; 10 пара. Турция ; 1327 ;  ; Ni ; VF ; 21 ; kornum ; 148 
 3594 ; 20 пара. Турция ; 1327 ;  ; Ni ; VF+ ; 20 ; kornum ; 159 
 3595 ; 6 крейцеров. Вюртемберг ; 1811 ;  ; Ag ; F+ ; 24 ; DIMA 57 ; 388 
 3596 ; Дуит. Нидерланды. Гельдерландия. Деформация ; 1760 ;  ; Cu ; F ; 7 ; Mike! ; 79 
 3597 ; 20 вон. Северная Корея. Год Свиньи ; 2009 ;  ; Латунь,краска ; Proof ; 20 ; вмонетав ; 250 
 3598 ; Фартинг. Великобритания ; 1826 ;  ; Cu ; VF- ; 25 ; maleevsw ; 597 
 3599 ; 25 центов. Цейлон ; 1893 ;  ; Ag ; VF ; 51 ; buynyi76 ; 677 
 3600 ; 2 кроны. Швеция ; 1956 ;  ; Ag ; XF ; 14 ; Mike! ; 222 
 3601 ; 1 марка. Фрайберг ; 1921 ;  ; Керамика ; XF+ ; 13 ; Mike! ; 444 
 3602 ; 5 эре. Дания ; 1939 ;  ; Cu ; XF ; 7 ; Maksss163 ; 34 
 3603 ; 2 эре. Дания ; 1874 ;  ; Cu ; VF- ; 3 ; Mike! ; 90 
 3604 ; 1 пфенниг. Рейс-Обергрейц ; 1760 ;  ; Cu ; VF- ; 16 ; lestes ; 341 
 3605 ; Монетовидный жетон. Мейсен. D-42мм ; 1922 ;  ; Керамика ; XF+ ; 20 ; Лёха22 ; 400 
 3606 ; 2 эре. Швеция ; 1902 ;  ; Br ; VF ; 8 ; Mike! ; 54 
 3607 ; Дуит. Нидерланды. Гельдерландия. Деформация ; 1761 ;  ; Cu ; F ; 20 ; jj ; 181 
 3608 ; 4 пфеннига. Германия ; 1858A ;  ; Cu ; VF ; 30 ; kornum ; 408 
 3609 ; 1/12 скиллинга. Швеция ; 1808 ;  ; Cu ; VF- ; 16 ; kornum ; 283 
 3610 ; 1 пфенниг. Ганновер ; 1837B ;  ; Cu ; VF ; 29 ; St. Lenin ; 364 
 3611 ; 1 хеллер. Франкфурт на Майне ; 1841 ;  ; Cu ; VF ; 9 ; Mike! ; 214 
 3612 ; 10 евро. Австрия. Замок Амбрас ; 2002 ;  ; Ag ; AU ; 17 ; sveta6369 ; 707 
 3613 ; 5 евро. Австрия. Йозефплатц ; 2006 ;  ; Ag ; AU ; 17 ; Mike! ; 429 
 3614 ; 1/4 стубера. Юлих-Берг ; 1784 ;  ; Cu ; F+ ; 11 ; Mike! ; 114 
 3615 ; 3 пфеннига. Саксония ; 1794 ;  ; Cu ; F+ ; 15 ; jj ; 199 
 3616 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; VF-XF ; 29 ; kornum ; 410 
 3617 ; 2 риала. Испания ; 1781 ;  ; Ag ; F-VF ; 9 ; Mike! ; 512 
 3618 ; 50 пфеннигов. Веймар ; 1924A ;  ; Al/Br ; XF- ; 25 ; Mike! ; 516 
 3619 ; 100 песет. Испания ; 1999 ;  ; Al/Br ; XF ; 7 ; kornum ; 63 
 3620 ; 5 центов. США ; 1907 ;  ; Cu-Ni ; F-VF ; 3 ; Mike! ; 102 
 3621 ; 5 куруш. Турция ; 1956 ;  ; Al/Br ; VF ; 31 ; Серж PirGS ; 100 
 3622 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF-XF ; 35 ; 06031983 ; 399 
 3623 ; 10 куруш. Турция ; 1956 ;  ; Al/Br ; VF- ; 22 ; Monata ; 120 
 3624 ; 1 крона. Дания ; 1926 ;  ; Al/Br ; VF+ ; 24 ; wladico ; 150 
 3625 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; VF+ ; 17 ; Mike! ; 111 
 3626 ; 1 марка. Германия ; 1935A ;  ; Cu-Ni ; XF- ; 19 ; taa ; 340 
 3627 ; 20 франков. Марокко ; 1371 ;  ; Al/Br ; VF+ ; 2 ; swydeger ; 79 
 3628 ; 40 пара. Турция ; 1327 ;  ; Cu-Ni ; VF+ ; 35 ; Mike! ; 170 
 3629 ; 200 марок. Веймар ; 1923F ;  ; Al ; XF ; 14 ; 06031983 ; 71 
 3530 ; 1 пенни. Родезия и Ньясаленд ; 1963 ;  ; Br ; AU ; 21 ; Sky2 ; 215 
 3531 ; 10 квача. Малавия ; 2006 ;  ; Би/м ; XF ; 11 ; hasa18 ; 64 
 3532 ; 1 лира. Турция ; 2009 ;  ; Би/м ; VF- ; 11 ; Maksss163 ; 21 
 3533 ; 50 сентаво. Испания ; 1892 ;  ; Ag ; VF ; 30 ; кве ; 517 
 3534 ; 1 марка. Веймар ; 1924A ;  ; Ag ; VF ; 27 ; Mike! ; 476 
 3535 ; 1 лира. Турция. Черепаха ; 2009 ;  ; Би/м ; AU ; 35 ; Balagur ; 306 
 3536 ; 10 пфеннигов. Германия. Нотгельд. Трир ; ND ;  ; Zn ; F-VF ; 18 ; banks ; 159 
 3537 ; 10 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; F-VF ; 22 ; Mike! ; 186 
 3538 ; 10 пфеннигов. Германия. Нотгельд. Боттроп ; 1919 ;  ; Fe ; VF- ; 12 ; brigadir ; 177 
 3539 ; 1 эре. Дания ; 1904 ;  ; Cu ; VF+ ; 12 ; banks ; 143 
 3540 ; 2-1/2 цента. Нидерландская Индия ; 1857 ;  ; Cu ; F ; 8 ; Mike! ; 93 
 3541 ; 1 песета. Испания ; 1870 ;  ; Ag ; F ; 3 ; Mike! ; 206 
 3542 ; 5 эре. Дания ; 1894 ;  ; Cu ; VF+ ; 29 ; wladico ; 204 
 3543 ; 20 пфеннигов. Германия ; 1875D ;  ; Ag ; F ; 7 ; Mike! ; 114 
 3544 ; 1 пфенниг. Франкфурт на Майне ; 1819 ;  ; Cu ; F ; 19 ; St. Lenin ; 238 
 3545 ; 10 пфеннигов. Германия. Нотгельд. Виттен ; 1919 ;  ; Fe ; VF- ; 12 ; Mike! ; 177 
 3546 ; 10 пфеннигов. Германия. Нотгельд. Ваттеншейд ; 1919 ;  ; Fe ; F-VF ; 21 ; banks ; 174 
 3547 ; 1 хеллер. Франкфурт на Майне ; 1821 ;  ; Cu ; F+ ; 11 ; St. Lenin ; 159 
 3548 ; 1 хеллер. Франкфурт на Майне ; 1863 ;  ; Cu ; VF ; 15 ; St. Lenin ; 347 
 3549 ; 10 евро. Австрия. Иоганн Кеплер ; 2002 ;  ; Ag ; AU ; 24 ; Mike! ; 722 
 3550 ; 3 шиллинга. Гамбург ; 1726 ;  ; Ag ; F-VF ; 20 ; Mike! ; 212 
 3551 ; 1 гротен. Бремен ; 1840 ;  ; Ag ; VF+ ; 23 ; Mike! ; 370 
 3552 ; 1 крейцер. Гессен ; 1862 ;  ; Ag ; F+ ; 14 ; Mike! ; 186 
 3553 ; 1/2 марки. Германия ; 1906F ;  ; Ag ; F+ ; 12 ; Mike! ; 108 
 3554 ; 50 пфеннигов. Германия. Нотгельд. Виттен ; 1919 ;  ; Fe ; VF+ ; 28 ; Mike! ; 186 
 3555 ; 50 долларов. Ниуэ. Чемпионат мира по футболу ; 1988 ;  ; Ag ; Proof ; 23 ; Mike! ; 945 
 3556 ; 10 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F+ ; 8 ; Mike! ; 95 
 3557 ; 1 песева. Немецкая Ост-Африка ; 1890 ;  ; Br ; VF ; 29 ; Mike! ; 604 
 3558 ; 1 марка. Германия ; 1875A ;  ; Ag ; VF ; 12 ; Cliff ; 227 
 3559 ; 5 хеллеров. Немецкая Ост-Африка ; 1908J ;  ; Br ; F-VF ; 12 ; evgen 66 ; 567 
 3560 ; 10 сантимов. Тунис ; 1914 ;  ; Br ; VF ; 27 ; igor26 ; 374 
 3561 ; 50 сентаво. Испания ; 1880 ;  ; Ag ; VF ; 11 ; Mike! ; 367 
 3562 ; 5 пфеннигов. Германия. Нотгельд. Зост ; 1920 ;  ; Al ; XF ; 27 ; banks ; 301 
 3563 ; 20 вон. Северная Корея. Год Змеи ; 2009 ;  ; Латунь,краска ; Proof ; 17 ; Mike! ; 136 
 3564 ; 10 юаней. Китай. Панды ; 2010 ;  ; Ag ; AU ; 34 ; spstudio ; 2456 
 3565 ; 1 доллар. Гайана ; 1970 ;  ; Cu-Ni ; XF+ ; 9 ; Mike! ; 125 
 3566 ; 50 пфеннигов. Германия. Нотгельд. Трир ; 1919 ;  ; Fe ; F-VF ; 13 ; Mike! ; 231 
 3567 ; 1 цент. США ; 1902 ;  ; Br ; VF- ; 10 ; Mike! ; 61 
 3568 ; 1 гротен. Бремен ; 1743 ;  ; Ag ; F-VF ; 17 ; Mike! ; 305 
 3569 ; 50 пенсов. Фолклендские острова. 40 лет правления ; 1992 ;  ; Cu-Ni ; AU ; 19 ; Mike! ; 286 
 3570 ; 1000 квача. Замбия. Монетная система ; 1999 ;  ; Cu-Ni ; Proof ; 27 ; Mike! ; 223 
 3571 ; 1 крейцер. Австрия ; 1781S ;  ; Cu ; F ; 6 ; Mike! ; 93 
 3572 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu-Ni ; AU ; 10 ; Sky2 ; 227 
 3573 ; 20 вон. Северная Корея. Год Крысы ; 2009 ;  ; Латунь,краска ; Proof ; 13 ; Mike! ; 153 
 3574 ; 5 пфеннигов. Германия. Нотгельд. Розенгейм ; 1917 ;  ; Zn ; F+ ; 13 ; banks ; 159 
 3575 ; 10 пфеннигов. Германия. Нотгельд.  Кобленц ; 1918 ;  ; Fe ; F ; 8 ; Mike! ; 95 
 3576 ; 10 пфеннигов. Германия. Нотгельд. Бремен ; 1920 ;  ; Fe ; VF- ; 8 ; Mike! ; 208 
 3577 ; 5 пфеннигов. Германия. Нотгельд. Оффенбах ; 1917 ;  ; Zn ; F ; 18 ; banks ; 136 
 3578 ; 5 пфеннигов. Германия. Нотгельд. Оффенбах ; 1917 ;  ; Zn ; F ; 12 ; banks ; 127 
 3579 ; 1 шиллинг. Гамбург ; 172? ;  ; Ag ; F ; 22 ; Mike! ; 145 
 3480 ; 50 марок. Финляндия. Кекконен ; 1981 ;  ; Ag ; AU ; 13 ; prince1959 ; 510 
 3481 ; 10 марок. Финляндия. Кекконен ; 1975 ;  ; Ag ; XF+ ; 10 ; prince1959 ; 347 
 3482 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; VF+ ; 18 ; safanya ; 105 
 3483 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; AU ; 23 ; mishael07 ; 111 
 3484 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; XF- ; 11 ; safanya ; 93 
 3485 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; VF+ ; 11 ; safanya ; 93 
 3486 ; 1 марка. Финляндия ; 1968 ;  ; Ag ; VF-XF ; 20 ; safanya ; 93 
 3487 ; 1 крона. Швеция ; 1945 ;  ; Ag ; F-VF ; 11 ; aziya11 ; 92 
 3488 ; 50 эре.Швеция ; 1935 ;  ; Ag ; VF- ; 10 ; aziya11 ; 72 
 3489 ; 25 эре.Швеция ; 1943 ;  ; Ag ; VF-XF ; 8 ; aziya11 ; 48 
