 3299 ; Бона иностранная ;  ;  ;  ;  ; 16 ; and000 ; 43 
 2518 ; 1 песо. Мексика. 100 лет Конституции ; 1957 ;  ; Ag ; VF-XF ; 16 ; cochu ; 321 
 2519 ; 200 песо. Мексика. Мировой кубок первенства по футболу 1986г ; 1986 ;  ; Cu/Ni ; XF- ; 20 ; elitov ; 75 
 2520 ; 2 злотых. Польша ; 1924 ;  ; Ag ; VF- ; 26 ; Copirchik ; 3162 
 2521 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 42 ; ICEK ; 169 
 2522 ; 10 злотых. Польша. Тадеуш Костюшка ; 1960 ;  ; Cu/Ni ; VF+ ; 27 ; ICEK ; 478 
 2523 ; 10 крон. Норвегия.150 лет Конституции ; 1964 ;  ; Ag ; AU ; 28 ; jef688 ; 300 
 2524 ; 2 кроны. Норвегия. Хокон VII (1872-1957гг) ; 1917 ;  ; Ag ; VF ; 47 ; djr447 ; 1346 
 2525 ; 10 гульденов. Нидерланды. 25 лет освобождения ; 1970 ;  ; Ag ; AU ; 47 ; В1951 ; 340 
 2526 ; 10 крон. Дания. Смерть Фредерика IX и вступление Маргарет II ; 1972 ;  ; Ag ; AU ; 35 ; djr447 ; 360 
 2527 ; 2 кроны. Швеция. Густав V ; 1947 ;  ; Ag ; VF-XF ; 11 ; erfahren ; 128 
 2528 ; 5 франков. Марокко. Правитель Мохаммед V ; 1365 л.х ;  ; Al/Br ; VF+ ; 43 ; kay2 ; 50 
 2529 ; 5 рупий. Сейшельские острова ; 1977 ;  ; Cu/Ni ; VF+ ; 26 ; smel ; 46 
 2530 ; 20 песо. Гвинея-Бисcау ; 1977 ;  ; Cu/Ni ; VF+ ; 10 ; cochu ; 33 
 2531 ; 100 франков. Альгерия ; 1952 ;  ; Cu/Ni ; VF+ ; 43 ; Dahan ; 77 
 2532 ; 100 франков. Тунис ; 1950 ;  ; Cu/Ni ; VF+ ; 21 ; S8D36 ; 100 
 2533 ; 100 филсов. Иордания ; 1968 ;  ; Cu/Ni ; VF+ ; 11 ; vanamo ; 32 
 2534 ; 25 сантимов. Люксембург ; 1927 ;  ; Cu/Ni ; VF+ ; 18 ; S8D36 ; 46 
 2535 ; 50 пиастров. Ливан ; 1952 ;  ; Ag ; VF+ ; 39 ; vitapool ; 140 
 2536 ; 5 пиастров. Сирия ; 1935 ;  ; Al/Br ; VF+ ; 15 ; kont ; 90 
 2537 ; 25 пиастров. Сирия ; 1937 ;  ; Ag ; VF- ; 52 ; Igor11111968 ; 643 
 2538 ; 1 рупия. Пакистан ; 1949 ;  ; Ni ; VF- ; 29 ; S8D36 ; 82 
 2539 ; 1/2 рупии. Пакистан ; 1949 ;  ; Ni ; VF ; 14 ; selezsi ; 46 
 2540 ; 2 анны. Пакистан ; 1948 ;  ; Cu/Ni ; VF+ ; 25 ; kay2 ; 46 
 2541 ; 20 пара. Черногория ; 1914 ;  ; Ni ; VF- ; 74 ; gelind ; 125 
 2542 ; 50 марок. Финляндия. 80 лет президенту Кекконену ; 1981 ;  ; Ag ; AU ; 23 ; jef688 ; 297 
 2543 ; 10 марок. Финляндия. 75 лет президенту Кеконену ; 1975 ;  ; Ag ; AU ; 13 ; erfahren ; 263 
 2544 ; 10 марок. Финляндия. 100 лет президенту Паасикиви ; 1970 ;  ; Ag ; AU ; 69 ; jef688 ; 239 
 2545 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; AU ; 17 ; andem ; 201 
 2546 ; 10 марок. ФРГ. 150 лет со дня рождения Вильгельма Конрада Рентгена. 100 лет со дня изобретения Х-лучей ; 1995 ; D ; Ag ; AU ; 43 ; den_ff ; 353 
 2547 ; 10 марок. ФРГ. Немецкий союз ; 1991 ; А ; Ag ; AU ; 28 ; ЕВС ; 352 
 2548 ; 10 марок. ФРГ. 200 лет со дня рождения Артура Шопенгауэра ; 1988 ; D ; Ag ; AU ; 25 ; Copirchik ; 353 
 2549 ; 5 марок. ФРГ. 150 лет со дня смерти Карла Штейна ; 1981 ; G ; Cu/Ni ; AU ; 5 ; Mike! ; 90 
 2550 ; 5 марок. ФРГ. 750 лет со дня смерти Вальтера фон дер Фогельвейде ; 1980 ; D ; Cu/Ni ; AU ; 33 ; Mike! ; 105 
 2551 ; 5 марок. ФРГ. 200 лет со дня смерти Фридриха Гроссе ; 1986 ; F ; Cu/Ni ; AU ; 45 ; Grod ; 120 
 2552 ; 5 марок. ФРГ. 500 лет со дня рождения Мартина Лютера ; 1983 ; G ; Cu/Ni ; AU ; 31 ; Mike! ; 110 
 2553 ; 10 марок. ГДР. Национальная народная армия ; 1981 ; A ; Cu/Ni ; XF- ; 45 ; ВМШ ; 255 
 2554 ; 50 центов. Австралия. Елизаветта II ; 1966 ;  ; Ag ; XF+ ; 9 ; AMUR66 ; 255 
 2455 ; 1 перпер. Черногория ; 1912 ;  ; Ag ; VF-XF ; 105 ; hugo ; 1609 
 2456 ; 2 перпера. Черногория ; 1914 ;  ; Ag ; VF-XF ; 107 ; hugo ; 2042 
 2457 ; 100 милс. Палестина ; 1939 ;  ; Ag ; XF- ; 44 ; ВМШ ; 932 
 2458 ; 100 милс. Палестина ; 1933 ;  ; Ag ; XF- ; 45 ; Craftwerk ; 932 
 2459 ; 50 центов. Канада ; 1981 ;  ; Cu/Ni ; Proof ; 25 ; KKK ; 330 
 2460 ; 1 пенни. Нигерия ; 1959 ;  ; Br ; XF- ; 15 ; S8D36 ; 109 
 2461 ; 1 крона. Великобритания. Королева Виктория ; 1890 ;  ; Ag ; VF ; 50 ; lelik ; 1005 
 2462 ; 1 доллар. Канада. Елизаветта II ; 1984 ;  ; Ag ; Proof ; 13 ; KKK ; 441 
 2463 ; 5 франков. Швейцария ; 1966 ;  ; Ag ; AU ; 58 ; hugo ; 850 
 2464 ; 1 доллар. США. Мир ; 1926 ;  ; Ag ; VF-XF ; 44 ; natallli ; 545 
 2465 ; 5 марок. ФРГ. 250 лет со дня рождения Канта ; 1974 ; D ; Ag ; AU ; 4 ; sg1945 ; 250 
 2466 ; 10 марок. ФРГ. Олимпиада  в Мюнхене ; 1972 ; J ; Ag ; AU ; 36 ; hugo ; 496 
 2467 ; 1/2 доллара. США. Колумб ; 1892 ;  ; Ag ; VF+ ; 44 ; djr447 ; 781 
 2468 ; 3 пенса. Великобритания. Эдвард VII ; 1908 ;  ; Ag ; F-VF ; 8 ; kostian1284 ; 200 
 2469 ; 1 лева. Болгария. Фердинанд I ; 1891 ;  ; Ag ; VF- ; 7 ; smel ; 235 
 2470 ; 2 пфеннига. Пруссия ; 1852 ; А ; Cu ; VF ; 38 ; eddy ; 153 
 2471 ; 200 марок. Веймар ; 1923 ; D ; Al ; XF+ ; 66 ; alexey_s ; 83 
 2472 ; 50 пфеннигов. Веймар ; 1921 ; F ; Al ; XF+ ; 4 ; sg1945 ; 60 
 2473 ; 20 чентезимо. Италия. Виторио Эммануил III ; 1921 ;  ; Ni ; VF-XF ; 26 ; Copirchik ; 99 
 2474 ; 1 доллар. США ; 1921 ;  ; Ag ; VF+ ; 43 ; Larin ; 673 
 2475 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; AU ; 34 ; rizovtpl ; 290 
 2476 ; 50 крон. Чехословакия. 3 года восстанию в Праге ; 1948 ;  ; Ag ; AU ; 13 ; Craftwerk ; 166 
 2477 ; 5 марок. ФРГ ; 1965 ; D ; Ag ; VF+ ; 65 ; wins ; 290 
 2478 ; 1/4 бат. Тайланд ; 1915-1925 ;  ; Ag ; F-VF ; 8 ; d-master ; 132 
 2479 ; 10 чентезимов. Тунис ; 1912 ;  ; Br ; VF- ; 65 ; SadKo ; 111 
 2480 ; 1 назарана рупия. Индия ;  ;  ; Ag ; VF+ ; 39 ; easter2 ; 526 
 2481 ; 1/4 рупии. Британская Индия. Георг VI ; 1947 ;  ; Ni ; XF ; 47 ; veektor ; 64 
 2482 ; 1 франк. Французский Мадагаскар ; 1943 ;  ; Br ; XF ; 66 ; petrserebr ; 453 
 2483 ; 1 анна. Британская Индия. Георг V ; 1913 ;  ; Ni ; VF-XF ; 30 ; veektor ; 62 
 2484 ; 1/2 доллара. США. 300-летие пилигримов ; 1920 ;  ; Ag ; XF ; 18 ; lawyer ; 3446 
 2485 ; 50 центов. Австралия ; 1966 ;  ; Ag ; XF+ ; 49 ; vitapool ; 257 
 2486 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1939 ; А ; Ag ; VF-XF ; 45 ; histor ; 207 
 2487 ; 1/2 кроны. Новая Зеландия ; 1934 ;  ; Ag ; VF+ ; 8 ; vitapool ; 419 
 2488 ; 50 пара. Сербия ; 1915 ;  ; Ag ; VF+ ; 19 ; vitapool ; 224 
 2489 ; 50 пфеннигов. Веймар ; 1922 ;  ; Al ; VF-XF ; 19 ; vanamo ; 31 
 2490 ; 50 пфеннигов. Веймар ; 1920 ;  ; Al ; VF+ ; 28 ; Grod ; 33 
 2491 ; 10 шиллингов. Гернси. 900 лет завоеванию Англии норманнами ; 1966 ;  ; Cu/Ni ; VF-XF ; 21 ; igor_r65 ; 159 
 2492 ; 1 пенни. Великобритания ; 1797? ;  ; Cu ; F ; 32 ; jef688 ; 156 
 2493 ; 2 соль. Франция. Людовик XVI ; 1792 ;  ; Br ; F ; 45 ; SadKo ; 108 
 2494 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; VF- ; 57 ; sinisha ; 193 
 2495 ; 1 дюит. Голландия ; 1766 ;  ; Cu ; F ; 36 ; gelind ; 189 
 2496 ; 10 сольди. Ватикан ; 1867 ;  ; Ag ; VF- ; 64 ; gors ; 479 
 2497 ; 10 пара. Черногория ; 1906 ;  ; Ni ; VF- ; 52 ; Copirchik ; 206 
 2498 ; 1 крона. Словакия ; 1941 ;  ; Cu/Ni ; VF- ; 46 ; Copirchik ; 149 
 2499 ; 25 пара. Югославия ; 1920 ;  ; Ni/Br ; VF- ; 48 ; Copirchik ; 181 
 2500 ; 1 динар. Югославия ; 1925 ;  ; Ni/Br ; VF- ; 73 ; Copirchik ; 244 
 2501 ; 50 пара. Югославия ; 1925 ;  ; Ni/Br ; VF- ; 50 ; Copirchik ; 248 
 2502 ; 10 динар. Югославия ; 1931 ;  ; Ag ; VF- ; 17 ; Copirchik ; 306 
 2503 ; 10 динар. Югославия ; 1938 ;  ; Ni ; VF ; 20 ; Copirchik ; 70 
 2504 ; 2 динара. Югославия ; 1938 ;  ; Al/Br ; VF ; 33 ; Copirchik ; 51 
 2405 ; 1 бат. Тайланд. 5-ые азиатские игры ; 1966 ;  ; Cu/Ni ; XF+ ; 4 ; seaman ; 79 
 2406 ; 2,5 цента. Нидерландская Индия ; 1945 ;  ; Br ; XF+ ; 20 ; Dozen ; 204 
 2407 ; 1 цент. Нидерландская Индия ; 1920 ;  ; Br ; VF- ; 9 ; ADD ; 75 
 2408 ; 1 цент. Нидерландская Индия ; 1942 ;  ; Br ; XF- ; 11 ; Dozen ; 153 
 2409 ; 1 цент. Нидерландская Индия ; 1956 ;  ; Br ; VF- ; 88 ; Dozen ; 137 
 2410 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Br ; XF- ; 14 ; Dozen ; 230 
 2411 ; 5 центов. Нидерландская Индия ; 1921 ;  ; Cu/Ni ; F-VF ; 91 ; KKK ; 143 
 2412 ; 1/10 гульдена. Нидерландская Индия ; 1945 ;  ; Ag ; VF-XF ; 25 ; vitapool ; 211 
 2413 ; 1/10 гульдена. Нидерландская Индия ; 1928 ;  ; Ag ; VF- ; 41 ; vitapool ; 208 
 2414 ; 1/4 гульдена.  Нидерландская Индия ; 1917 ;  ; Ag ; VF- ; 32 ; Бамс ; 178 
 2415 ; 5 шиллингов. Сомалилэнд. Ричард Бертон ; 2002 ;  ; Al ; UNC/AU ; 47 ; Seishel ; 47 
 2416 ; 10 шиллингов. Сомалилэнд. Обезьяна ; 2002 ;  ; Латунь ; AU ; 50 ; Seishel ; 51 
 2417 ; 10 пфеннигов. ФРГ ; 1990 ; D ; Br/St ; XF+ ; 16 ; surf2k5 ; 17 
 2418 ; 10 пфеннигов. ФРГ ; 1994 ; A ; Br/St ; XF+ ; 14 ; surf2k5 ; 15 
 2419 ; 5 пфеннигов. ФРГ ; 1988 ; J ; Br/St ; XF ; 13 ; vanamo ; 13 
 2420 ; 5 пфеннигов. ФРГ ; 1990 ; J ; Br/St ; AU ; 26 ; surf2k5 ; 25 
 2421 ; 5 пфеннигов. ФРГ ; 1991 ; G ; Br/St ; AU ; 17 ; surf2k5 ; 22 
 2422 ; 5 пфеннигов. ФРГ ; 1993 ; J ; Br/St ; AU ; 26 ; surf2k5 ; 25 
 2423 ; 5 пфеннигов. ФРГ ; 1993 ; G ; Br/St ; VF-XF ; 13 ; vanamo ; 13 
 2424 ; 5 пфеннигов. ФРГ ; 1994 ; D ; Br/St ; AU ; 26 ; surf2k5 ; 25 
 2425 ; 5 пфеннигов. ФРГ ; 1995 ; J ; Br/St ; AU ; 15 ; surf2k5 ; 15 
 2426 ; 5 пфеннигов. ФРГ ; 1996 ; D ; Br/St ; AU ; 12 ; vanamo ; 21 
 2427 ; 20 марок. ГДР. 150 лет со дня рождения Карла Маркса ; 1968 ;  ; Ag ; AU ; 27 ; Dj ; 10534 
 2428 ; 20 марок. ГДР. 250 лет со дня смерти Канта ; 1974 ;  ; Ag ; AU ; 55 ; Dj ; 4717 
 2429 ; 20 марок. ГДР. 200 лет со дня рождения Вильгельма фон Гумбольдта ; 1967 ;  ; Ag ; AU ; 32 ; andron ; 3594 
 2430 ; 20 марок. ГДР. 250 лет со дня смерти Готфрида Вильгельма Лейбница ; 1966 ;  ; Ag ; AU ; 10 ; Dj ; 4533 
 2431 ; 20 марок. ГДР. 250 лет со дня смерти Канта ; 1974 ;  ; Ag ; AU ; 7 ; AAE2006 ; 1060 
 2432 ; 20 марок. ГДР. 150 лет со дня рождения Вильгельм Либкнехт ; 1976 ;  ; Ag ; AU ; 33 ; Dj ; 4533 
 2433 ; 20 марок. ГДР. 240 лет со дня рождения Гёте Иоганна Вольфганга ; 1969 ;  ; Ag ; AU ; 70 ; andron ; 2914 
 2434 ; 20 марок. ГДР. 175 лет со дня смерти Иоганна Хердера ; 1978 ;  ; Ag ; Proof ; 37 ; Dj ; 4533 
 2435 ; 20 марок. ГДР. 150 лет со дня рождения Фридриха Энгельса ; 1970 ;  ; Ag ; AU ; 43 ; СВл ; 6261 
 2436 ; 20 марок. ГДР. 150 лет со дня рождения карла Маркса ; 1968 ;  ; Ag ; AU ; 41 ; AAE2006 ; 1772 
 2437 ; 20 марок. ГДР. 60 лет со дня смерти Августа Бебеля ; 1973 ;  ; Ag ; AU ; 43 ; Dj ; 10382 
 2438 ; 20 марок. ГДР. 150 лет со дня рождения Фридриха Энгельса ; 1970 ;  ; Ag ; AU ; 27 ; AAE2006 ; 2047 
 2439 ; 20 марок. ГДР. Карл Либкнехт и Роза Люксембург ; 1971 ;  ; Ag ; AU ; 57 ; Dj ; 10534 
 2440 ; 10 марок. ГДР. 100 лет со дня рождения Альберта Швейтзера ; 1975 ;  ; Ag ; AU ; 33 ; AAE2006 ; 1540 
 2441 ; 10 марок. ГДР. Альбрехт Дюрер ; 1971 ;  ; Ag ; AU ; 95 ; Dj ; 2267 
 2442 ; 10 марок. ГДР. 150 лет со дня смерти Карла Марии фон Вебер ; 1976 ;  ; Ag ; AU ; 13 ; Dj ; 2267 
 2443 ; 10 марок. ГДР. 200 лет со дня рождения Бетховена ; 1970 ;  ; Ag ; AU ; 13 ; Dj ; 2267 
 2444 ; 10 марок. ГДР. 175 лет со дня рождения Генриха Гейна ; 1972 ;  ; Ag ; AU ; 13 ; Dj ; 2267 
 2445 ; 1 доллар. США ; 1922 ;  ; Ag ; XF ; 42 ; Niks ; 634 
 2446 ; 1 доллар. США ; 1921 ;  ; Ag ; VF-XF ; 67 ; Poiuyt ; 672 
 2447 ; 1 доллар. США ; 1896 ;  ; Ag ; XF ; 16 ; djr447 ; 1100 
 2448 ; 1 доллар. США. XXIII Олимпиада в Лос-Анжелесе ; 1983 ; Е ; Ag ; Proof ; 55 ; S8D36 ; 612 
 2449 ; 1 доллар. США. 200 лет конституции ; 1987 ; S ; Ag ; Proof ; 32 ; Copirchik ; 624 
 2450 ; 3 марки. Пруссия. 25 лет правления ; 1913 ; А ; Ag ; AU ; 41 ; histor ; 750 
 2451 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ; F ; Ag ; AU ; 78 ; ЕВС ; 2003 
 2452 ; 3 марки. Пруссия. Университет в Берлине ; 1910 ;  ; Ag ; XF+ ; 28 ; kolobokoff ; 1666 
 2453 ; 3 марки. Пруссия. Университет в Берлине ; 1910 ;  ; Ag ; AU ; 98 ; kolobokoff ; 2556 
 2454 ; 1 крона. Лихтенштейн ; 1904 ;  ; Ag ; VF ; 53 ; оскол ; 755 
 2355 ; 1 пфенниг. Германия ; 1939 ; D ; Br ; VF+ ; 5 ; surf2k5 ; 57 
 2356 ; 1 пфенниг. Германия ; 1939 ; F ; Br ; XF+ ; 35 ; Grod ; 59 
 2357 ; 1 пфенниг. Германия ; 1938 ; J ; Br ; VF+ ; 5 ; surf2k5 ; 57 
 2358 ; 1 пфенниг. Германия ; 1939 ; F ; Br ; XF ; 5 ; o.k. ; 57 
 2359 ; 2 эре. Дания ; 1874 ;  ; Br ; VF- ; 28 ; natallli ; 55 
 2360 ; 25 эре. Дания ; 1945 ;  ; Zn ; VF- ; 21 ; kay2 ; 194 
 2361 ; 5 эре. Дания ; 1943 ;  ; Zn ; VF- ; 27 ; vansy ; 44 
 2362 ; 10 эре. Дания ; 1944 ;  ; Zn ; VF- ; 12 ; kay2 ; 150 
 2363 ; 1 крона. Дания ; 1944 ;  ; Al/Br ; VF- ; 49 ; В1951 ; 140 
 2364 ; 10 филлеров. Венгрия ; 1894 ;  ; Ni ; VF- ; 12 ; kostian1284 ; 153 
 2365 ; 1 цент. Канада ; 1941 ;  ; Br ; VF+ ; 13 ; tikhonov78 ; 37 
 2366 ; 100 марок. Финляндия. А. Виртанен ; 1995 ;  ; Ag ; AU ; 19 ; Gari 77 ; 1020 
 2367 ; 1 бат. Тайланд. 8-ые азиатские игры ; 1978 ;  ; Cu/Ni ; AU ; 14 ; elitov ; 45 
 2368 ; 10 боливиано. Боливия ; 1951 ;  ; Br ; VF+ ; 15 ; AndrCh58 ; 150 
 2369 ; 1 ринггит. Малайзия. 9-ые юго-восточные игры ; 1977 ;  ; Cu/Ni ; AU ; 17 ; seaman ; 91 
 2370 ; 1 ранд. Южная Африка ; 1989 ;  ; Cu/Ni ; XF+ ; 20 ; dnm ; 42 
 2371 ; 2 лиры. Италия ; 1924 ;  ; Cu/Ni ; VF-XF ; 25 ; Copirchik ; 81 
 2372 ; 2 лиры. Италия ; 1940 ;  ; St ; XF- ; 7 ; Copirchik ; 102 
 2373 ; 1 лира. Италия ; 1922 ;  ; Ni ; XF+ ; 21 ; Copirchik ; 141 
 2374 ; 50 центов. Сан Томе и Принсипе ; 1929 ;  ; Ni/Br ; F ; 37 ; von_Schwarz ; 88 
 2375 ; 2 драхмы. Греция ; 1911 ;  ; Ag ; VF+ ; 45 ; S8D36 ; 1236 
 2376 ; 20 драхм. Греция ; 1930 ;  ; Ag ; VF+ ; 53 ; Ромбор ; 908 
 2377 ; 10 чентезимо. Ватикан ; 1937 ;  ; Br ; VF+ ; 23 ; Copirchik ; 303 
 2378 ; 2 лиры. Ватикан ; 1942 ;  ; St ; VF-XF ; 74 ; Copirchik ; 309 
 2379 ; 1 лира. Ватикан ; 1930 ;  ; Ni ; XF ; 15 ; Copirchik ; 369 
 2380 ; 50 чентезимо. Ватикан ; 1930 ;  ; Ni ; XF ; 25 ; vagvagvag ; 269 
 2381 ; 20 франков. Бельгия ; 1934 ;  ; Ag ; VF+ ; 63 ; djr447 ; 450 
 2382 ; 1 доллар. Галифакс. Фестиваль Джозефа Хоу ; 1975 ;  ; Cu/Ni ; AU ; 98 ; petrserebr ; 249 
 2383 ; 100 филсов. Иордания ; 1949 ;  ; Cu/Ni ; VF- ; 14 ; veektor ; 43 
 2384 ; 1 лира. Сирия ; 1950 ;  ; Ag ; VF ; 41 ; Craftwerk ; 201 
 2385 ; 1 фунт. Сирия ; 1974 ;  ; Ni ; VF+ ; 11 ; alex995 ; 34 
 2386 ; 1 крона. Остров Мэн. Серебрянный юбилей Св. Эдварда ; 1977 ;  ; Cu/Ni ; XF+ ; 15 ; lelik ; 144 
 2387 ; 1 крона. Остров Мэн. Полет космического шатла ; 1983 ;  ; Cu/Ni ; AU ; 25 ; vagvagvag ; 359 
 2388 ; 1 крона. Гибралтар. 175 лет со дня смерти Нельсона ; 1980 ;  ; Cu/Ni ; XF+ ; 18 ; KKK ; 255 
 2389 ; 1 крона. Гибралтар. Сохраним наш мир-Цетиозавр ; 1993 ;  ; Cu/Ni ; AU ; 35 ; KKK ; 366 
 2390 ; 10 франков. Новая Каледония ; 1970 ;  ; Ni ; AU ; 24 ; ADD ; 55 
 2391 ; 20 франков. Новая Каледония ; 1970 ;  ; Ni ; AU ; 22 ; cornelius ; 69 
 2392 ; 50 франков. Новая Каледония ; 1967 ;  ; Ni ; AU ; 44 ; cornelius ; 139 
 2393 ; 250 эскудо. Португалия. Олимпиада в Сеуле - легкая атлетика ; 1988 ;  ; Cu/Ni ; AU ; 18 ; Igorek81 ; 174 
 2394 ; 50 эскудо. Португалия. 100 лет со дня рождения маршала Кармона ; 1969 ;  ; Ag ; XF+ ; 47 ; vitapool ; 340 
 2395 ; 20 эскудо. Мозамбик ; 1955 ;  ; Ag ; XF+ ; 29 ; Craftwerk ; 428 
 2396 ; 500 динар. Босния и Герцоговина. Сохраним наш мир-Бронтозавр ; 1993 ;  ; Cu/Ni ; AU ; 55 ; petrserebr ; 322 
 2397 ; 1 доллар. Эритрея. Сохраним наш мир-Птеранодон ; 1993 ;  ; Cu/Ni ; AU ; 43 ; petrserebr ; 434 
 2398 ; 50 франков. Центральная Африка ; 1961 ;  ; Cu/Ni ; VF-XF ; 16 ; Dahan ; 69 
 2399 ; 1 рупия. Мауритус ; 1951 ;  ; Cu/Ni ; XF+ ; 18 ; seaman ; 261 
 2400 ; 50 центов. Либерия ; 1968 ;  ; Cu/Ni ; VF+ ; 5 ; vanamo ; 34 
 2401 ; 1 доллар. Либерия ; 1968 ;  ; Cu/Ni ; VF-XF ; 15 ; ppp ; 46 
 2402 ; 100 эскудо. Португалия. Чемпионат мира по футболу-Мексика ; 1986 ;  ; Cu/Ni ; AU ; 30 ; den_ff ; 100 
 2403 ; 2 фунта. Гернси. Игры Содружества ; 1986 ;  ; Cu/Ni ; AU ; 37 ; lelik ; 142 
 2404 ; 1 бат. Тайланд. 6-ые азиатские игры ; 1970 ;  ; Cu/Ni ; AU ; 6 ; seaman ; 68 
 2305 ; 5 сентаво. Куба ; 1961 ;  ; Cu/Ni ; VF- ; 66 ; смжд ; 83 
 2306 ; 40 сентаво. Куба. Камило Горнаран ; 1962 ;  ; Cu/Ni ; VF+ ; 76 ; смжд ; 143 
 2307 ; 1 доллар. США ; 1976 ;  ; Б/м ; AU ; 22 ; S8D36 ; 227 
 2308 ; 3 марки. Баден ; 1914 ; G ; Ag ; XF ; 52 ; Lisik ; 765 
 2309 ; 100 лева. Болгария ; 1934 ;  ; Ag ; VF ; 45 ; Copirchik ; 404 
 2310 ; 3 марки. Саксония ; 1909 ; Е ; Ag ; VF-XF ; 56 ; Niks ; 714 
 2311 ; 1 песо. Куба ; 1933 ;  ; Ag ; VF- ; 28 ; EA51 ; 910 
 2312 ; 1/4 доллара. США ; 1976 ;  ; Б/м ; AU ; 25 ; Grod ; 62 
 2313 ; 5 центов. США ; 1912 ;  ; Cu/Ni ; F-VF ; 11 ; Lisik ; 75 
 2314 ; 5 пенго. Венгрия. 10 лет правления адмирала Хорти ; 1930 ;  ; Ag ; VF- ; 44 ; Poiuyt ; 344 
 2315 ; 10 злотых. Польша. 70 лет восстанию 1863 года ; 1933 ;  ; Ag ; VF- ; 27 ; ICEK ; 1135 
 2316 ; 1 рупия. Португальская Индия ; 1882 ;  ; Ag ; XF- ; 137 ; Dozen ; 1122 
 2317 ; 20 центов. Китай ; 1914-1920 ;  ; Ag ; AU ; 14 ; Lisik ; 615 
 2318 ; Монета. Восток ;  ;  ; Ag ; VF ; 43 ; slav_1962 ; 281 
 2319 ; 100 крон. Чехословакия. 70 лет со дня рождения Сталина ; 1949 ;  ; Ag ; XF+ ; 50 ; gors ; 495 
 2320 ; 50 крон. Чехословакия. 100 лет со дня рождения Ленина ; 1970 ;  ; Ag ; AU ; 75 ; Dj ; 10532 
 2321 ; 10 лит. Литва. Витаутас Великий ; 1936 ;  ; Ag ; VF+ ; 101 ; xabib ; 741 
 2322 ; 1 песо. Филиппины ; 1908 ;  ; Ag ; VF-XF ; 33 ; tv ; 1041 
 2323 ; 1/2 доллара. США ; 1911 ;  ; Ag ; VF ; 51 ; Исаак-Б ; 901 
 2324 ; 1 дайм. США ; 1962 ;  ; Ag ; XF+ ; 11 ; Бамс ; 62 
 2325 ; 1/4 доллара. США ; 1857 ;  ; Ag ; VF- ; 61 ; Iskra ; 1530 
 2326 ; 25 шиллингов. Австрия. 100 лет со дня рождения Макса Рейнхардта ; 1973 ;  ; Ag ; XF ; 41 ; 542 ; 211 
 2327 ; 200 злотых. Польша ; 1976 ;  ; Ag ; AU ; 37 ; hugo ; 803 
 2328 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938 ; А ; Ag ; VF+ ; 28 ; histor ; 204 
 2329 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938 ; А ; Ag ; VF+ ; 65 ; histor ; 204 
 2330 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937 ; J ; Ag ; VF+ ; 31 ; o.k. ; 184 
 2331 ; 1/2 франка. Швейцария ; 1961 ;  ; Ag ; VF-XF ; 32 ; moneta ; 77 
 2332 ; 1/2 франка. Швейцария ; 1962 ;  ; Ag ; VF-XF ; 22 ; moneta ; 77 
 2333 ; 1/4 доллара. США ; 1944 ;  ; Ag ; VF- ; 22 ; jef688 ; 63 
 2334 ; 1/4 доллара. США ; 1952 ;  ; Ag ; VF ; 11 ; jef688 ; 61 
 2335 ; 1 дайм. США ; 1942 ;  ; Ag ; VF+ ; 11 ; kro ; 60 
 2336 ; 1/10 гульдена. Нидерланды. Антильские о-ва ; 1962 ;  ; Ag ; VF- ; 31 ; vitapool ; 214 
 2337 ; 6 пенсов. ЮАР ; 1952 ;  ; Ag ; VF- ; 36 ; vitapool ; 204 
 2338 ; 6 пенсов. Великобритания ; 1943 ;  ; Ag ; VF- ; 62 ; kro ; 261 
 2339 ; 6 пенсов. Новая Зеландия ; 1937 ;  ; Ag ; VF- ; 20 ; vitapool ; 224 
 2340 ; 5 крон. Эстония. 75 лет декларации независимости ; 1993 ;  ; Латунь ; AU ; 42 ; Скрудж ; 105 
 2341 ; 10 лева. Болгария ; 1930 ;  ; Cu/Ni ; F-VF ; 42 ; оскол ; 101 
 2342 ; 2 франка. Франция ; 1936 ;  ; Al/Br ; VF- ; 46 ; Grod ; 51 
 2343 ; 1 крона. Чехословакия ; 1937 ;  ; Cu/Ni ; VF ; 35 ; surf2k5 ; 36 
 2344 ; 1 франк. Люксембург ; 1939 ;  ; Cu/Ni ; VF+ ; 30 ; 542 ; 86 
 2345 ; 50 пфеннигов. Германия ; 1935 ; А ; Al ; F-VF ; 89 ; jagerV ; 159 
 2346 ; 10 пфеннигов. Германия ; 1938 ; G ; Al/Br ; VF ; 9 ; Mike! ; 89 
