 5643 ; Лот бон Монголии, 100 шт ;  ;  ;  ; AU ; 27 ; Rotas ; 1275 
 5004 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; MG ; 306 
 5005 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; mikhail342 ; 306 
 5006 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 30 ; basoff ; 816 
 5007 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; SS007 ; 567 
 5008 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 57 ; mikhail342 ; 3122 
 5009 ; Лот бон 50 рублей, 2 шт ; 1899 ;  ;  ;  ; 37 ; сортам70 ; 1269 
 5010 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; majkl ; 174 
 5011 ; Лот бон 25 рублей, 3 шт ;  ;  ;  ;  ; 64 ; Scarlett ; 305 
 3967 ; Лот монет Германии: 10шт ;  ;  ; Br ; VF/XF ; 20 ; kergudu ; 57 
 3968 ; Лот монет Малайзии: 5шт ; 1981-1988 ;  ; Cu-Ni,Br ; XF ; 39 ; kornum ; 129 
 3969 ; Лот монет Европы (7шт) ;  ;  ;  ; VF/XF ; 16 ; S1952 ; 75 
 3970 ; Лот монет Африки (7шт) ;  ;  ;  ; F/VF- ; 24 ; SKeeper ; 114 
 3971 ; Лот монет Германии: 9шт ;  ;  ; Zn,Al,Br ; F/F-VF ; 104 ; елец ; 370 
 3972 ; Лот монет Эстонии: 1,5 крон (3шт) ; 1993,1994,2008 ;  ; Al/Br ; XF+ ; 86 ; noviyok ; 258 
 3973 ; Лот монет Финляндии: 20шт ;  ;  ; Al ; VF+ ; 20 ; SKeeper ; 58 
 3974 ; Лот монет Финляндии: 5шт ;  ;  ; Al/Br ; XF ; 18 ; SKeeper ; 183 
 3975 ; Лот монет Финляндии: 10шт ;  ;  ; Al ; VF-XF ; 26 ; SKeeper ; 42 
 3976 ; Лот монет Сингапура: 6шт ;  ;  ; Сu-Ni ; VF+ ; 31 ; SKeeper ; 67 
 3977 ; Лот монет Великобритания: 5шт ;  ;  ; Cu-Ni ; VF ; 32 ; alapabula ; 239 
 3978 ; Лот монет Эстонии и Польши: 2шт ; 1923,1931 ;  ; Cu-Ni ; VF ; 32 ; Александ98 ; 127 
 3979 ; Лот монет Норвегии: 6шт ;  ;  ; Cu-Ni,Br ; VF/XF ; 36 ; 2372 ; 132 
 3980 ; Лот монет Сингапура: 3шт ; 1986-1988 ;  ; Cu-Ni ; XF ; 25 ; ermii ; 47 
 3981 ; Лот монет ГДР (20шт) ;  ;  ; Ж/м ; VF-/VF ; 23 ; SKeeper ; 130 
 3982 ; Лот монет Германии: 10шт ;  ;  ; Al/Br ; F+/XF ; 23 ; kergudu ; 41 
 3983 ; Лот монет Финляндии: 10шт ;  ;  ; Al/Br ; XF ; 40 ; хуч ; 227 
 3984 ; Лот монет Великобритания: 10шт ;  ;  ; Br ; VF/VF+ ; 24 ; alapabula ; 53 
 3985 ; Лот иностранных монет (30шт) ;  ;  ; Сu-Ni,Br/Al,Alж ; VF/XF ; 13 ; SKeeper ; 120 
 3986 ; Лот монет и жетонов (20шт) ;  ;  ; Cu/Ni,Al/Br, пл ; F/VF ; 9 ; SKeeper ; 46 
 3987 ; Лот монет Исландии: 6шт ;  ;  ; Cu-Ni,Br ; XF ; 43 ; SKeeper ; 151 
 3988 ; Лот монет Германии: 10шт ;  ;  ; Br ; XF+/AU ; 11 ; Метро62 ; 79 
 3989 ; Лот монет Польши: 9шт ;  ;  ; Al ; VF- ; 21 ; SKeeper ; 42 
 3990 ; Лот монет Норвегии, Японии, Китая, Дании (30шт) ;  ;  ; Сu-Ni,Br,Zn,ж/м ; F/XF ; 11 ; SKeeper ; 142 
 3991 ; Лот монет Великобритания: 10шт ;  ;  ; Сu-Ni ; VF/XF ; 32 ; SKeeper ; 164 
 3992 ; Лот монет Великобритания: 10шт ;  ;  ; Br ; VF/XF ; 22 ; banks ; 42 
 3993 ; Лот монет США: 20шт ;  ;  ; Br ; VF/XF ; 17 ; viv007 ; 101 
 3994 ; Лот монет Америки (7шт) ;  ;  ;  ; VF/XF ; 14 ; YAV71 ; 160 
 3995 ; Лот монет Азии (7шт) ;  ;  ;  ; VF-/XF ; 34 ; nfandeev ; 94 
 3996 ; Лот монет Финляндии: 10шт ;  ;  ; Al/Br ; XF ; 14 ; tss ; 46 
 3997 ; Лот монет Колумбии (3шт) ; 2014 ;  ; Cu-Ni,ж/м ; AU ; 47 ; andrpel ; 204 
 3998 ; Лот монет: Австрии, Великобритании, Норвегии, Чехии, Польши (25шт) ;  ;  ; Сu-Ni,Br,Al,ж/м ; VF/XF ; 17 ; vor0niko ; 110 
 3999 ; Лот монет Финляндии: 5шт ;  ;  ; Cu ; VF+ ; 15 ; dsidorov ; 142 
 4000 ; Лот монет Финляндии: 5шт ;  ;  ; Cu ; XF- ; 13 ; nfandeev ; 128 
 4001 ; Лот монет Великобритании (8шт) ;  ;  ; Cu-Ni,Ag ; VG-VF ; 20 ; елец ; 697 
 4002 ; Лот монет Таджикистана (5шт) ; 2001 ;  ; ж/м ; AU ; 93 ; bva150979 ; 620 
 4003 ; Лот монет Армении (5шт) ; 1994,2003 ;  ; Al,ж/м ; AU ; 16 ; кот баюн ; 125 
 4004 ; Лот монет Германии (19шт) ;  ;  ; Fe,Zn ; F+/VF ; 26 ; franklin ; 225 
 4005 ; Лот монет Франции: 7шт ; 1980-1999 ;  ; Cu-Ni,Al/Br ; VF/XF ; 37 ; ermii ; 111 
 4006 ; Лот монет США: 5 центов (16шт). Все разные ;  ;  ; Cu-Ni ; VF/XF ; 10 ; Bronco ; 219 
 4007 ; Лот монет Дании: 4шт ;  ;  ; Cu-Ni,Zn,Br ; VF/VF- ; 11 ; SKeeper ; 57 
 4008 ; Лот монет Великобритании: 20 пенсов (13шт) ;  ;  ; Cu-Ni ; XF ; 16 ; SKeeper ; 214 
 4009 ; Лот монет Бразилии: 4шт ;  ;  ; Би/м,St,Br ; VF/XF ; 31 ; Hotey ; 143 
 4010 ; Лот монет Казахстана (9шт) ; 1993-2000 ;  ; Cu-Ni,ж/м ; AU ; 32 ; [Nik] ; 157 
 4011 ; Лот монет Армении (4шт) ; 1994 ;  ; Al ; AU ; 30 ; 2605 ; 155 
 4012 ; Лот монет Тайваня (2шт) ;  ;  ; Cu-Ni ; VF/XF ; 16 ; 2605 ; 43 
 4013 ; Лот монет Болгарии и Украины: 11шт ;  ;  ; Al,Cu-Zn ; VF ; 32 ; Korsar59 ; 46 
 4014 ; Лот монет Германии (13шт) ;  ;  ; Cu-Ni ; VF-/VF+ ; 24 ; жора ; 201 
 4015 ; Лот монет Великобритании (10шт) ;  ;  ; Cu-Ni ; VF+/XF ; 40 ; Почта России ; 217 
 4016 ; Лот монет Великобритании (10шт) ;  ;  ; Cu-Ni ; VF/XF ; 13 ; Почта России ; 114 
 3917 ; 2000 песет. Испания. Олимпиада в Барселоне ; 1991 ;  ; Ag ; Proof ; 46 ; sdasda ; 1484 
 3918 ; 1 доллар. США ; 1923 ;  ; Ag ; XF ; 22 ; Коллекционеръ. ; 1599 
 3919 ; 4 кварто. Испания, Барселона ; 1809 ;  ; Cu ; F- ; 23 ; lestes ; 781 
 3920 ; 10000 вон. Южная Корея. Олимпиада в Сеуле. Футбол ; 1988 ;  ; Ag ; Proof ; 30 ; alexduk ; 1969 
 3921 ; 5000 вон. Южная Корея. Олимпиада в Сеуле. Борьба ; 1988 ;  ; Ag ; Proof ; 36 ; alexduk ; 1077 
 3922 ; 2-1/2 гульдена. Нидерланды ; 1938 ;  ; Ag ; XF ; 25 ; дитрих11 ; 1542 
 3923 ; 10 евро. ФРГ ; 2012 ;  ; Ag ; Proof ; 17 ; smn51 ; 1153 
 3924 ; 5 лирот. Израиль ; 1980 ;  ; Cu-Ni ; XF- ; 11 ; lva08 ; 33 
 3925 ; 5 долларов. Острова Кука. В коробке, с сертификатом. М-155,5г ; 2008 ;  ; Ag ; Unc ; 45 ; Мотя ; 7634 
 3926 ; 20 злотых. Польша. Коробка ; 2003 ;  ; Ag ; Proof ; 81 ; miranda ; 1642 
 3927 ; 5 фунтов. Великобритания. Трафальгарская битва. Коробка ; 2005 ;  ; Ag ; Proof ; 42 ; елец ; 3219 
 3928 ; 10 евро. Финляндия. Маннергейм. Коробка ; 2003 ;  ; Ag ; Proof ; 52 ; sbsb777 ; 2242 
 3929 ; 1 доллар. Австралия. Территория Антарктики. Коробка ; 2006 ;  ; Ag ; Proof ; 39 ; boryas1 ; 3010 
 3930 ; 1 доллар. Австралия. Буклет ; 2006 ;  ; Ag ; Proof ; 33 ; елец ; 3071 
 3931 ; Набор монет Бельгии (9шт). Битва при Ватерлоо. Буклет ; 2015 ;  ; би/м,ж/м ; Unc ; 29 ; helicop ; 1540 
 3932 ; Набор монет Сан-Марино (10шт). Буклет ; 1994 ;  ; би/м,б/м,ж/м ; Unc ; 22 ; Ok203 ; 2029 
 3933 ; Набор монет Словении (9шт + жетон). Буклет ; 2015 ;  ; би/м,жм ; Unc ; 26 ; sbsb777 ; 1577 
 3934 ; Набор монет Ирландии (8шт). Морская живность Ирландии. Буклет ; 2015 ;  ; би/м,жм ; Unc ; 14 ; shav959 ; 1341 
 3935 ; Набор монет Тайланда: 8шт. Буклет ;  ;  ; Би/м,Cu-Ni,Al/B ; AU ; 21 ; dencon ; 186 
 3936 ; Набор монет Сан-Марино (8шт). Буклет ; 2014 ;  ; би/м,жм ; Unc ; 37 ; 🇷🇺Михаил ; 1669 
 3937 ; 10 евро. Туве Янссон. В буклете ; 2004 ;  ;  ; AU ; 36 ; ermii ; 1465 
 3938 ; Набор монет Китая: 6шт. Буклет ; 1987-1997 ;  ; Al,Al/Br ; AU ; 8 ; Ok203 ; 150 
 3939 ; Набор монет Финляндии: 6шт + жетон. Пластиковая упаковка ; 1987 ;  ; Al/Br,Al,Cu-Ni ; AU ; 20 ; bliznetz ; 344 
 3940 ; Набор монет Финляндии: 6шт + жетон. Пластиковая упаковка ; 1989 ;  ; Al/Br,Al,Cu-Ni ; AU ; 30 ; banks ; 342 
 3941 ; Набор монет Финляндии: 6шт. Пластиковая упаковка ; 1987 ;  ; Al/Br,Al,Cu-Ni ; AU ; 13 ; Ok203 ; 1122 
 3942 ; Набор монет Финляндии: 6шт. Пластиковая упаковка ; 1983 ;  ; Al/Br,Al,Cu-Ni ; AU ; 35 ; Walther ; 341 
 3943 ; Набор монет Финляндии: 5шт + жетон. Буклет ; 1995 ;  ; Би/м,Al/Br,Cu-N ; AU ; 26 ; Walther ; 364 
 3944 ; Набор монет Финляндии: 5шт + жетон. Буклет ; 2000 ;  ; Би/м,Al/Br,Cu-N ; AU ; 7 ; Ok203 ; 1134 
 3945 ; Набор монет Финляндии: 6шт + жетон. Пластиковая упаковка ; 1989 ;  ; Al/Br,Al,Cu-Ni ; AU ; 20 ; banks ; 254 
 3946 ; Набор монет Финляндии: 6шт + жетон. Пластиковая упаковка ; 1988 ;  ; Al/Br,Al,Cu-Ni ; AU ; 18 ; Walther ; 276 
 3947 ; Набор монет Финляндии: 6шт + жетон. Пластиковая упаковка ; 1990 ;  ; Al/Br,Al,Cu-Ni ; AU ; 30 ; Walther ; 302 
 3948 ; Набор монет Германии, Португалии и Финляндии: 2 евро (3шт) ; 2006-2008 ;  ; Би/м ; AU ; 46 ; helicop ; 965 
 3949 ; Набор монет Финляндии: 5шт + жетон. Буклет ; 1995 ;  ; Би/м,Al/Br,Cu-N ; AU ; 27 ; Walther ; 334 
 3950 ; Набор монет Финляндии: 5шт + жетон. Буклет ; 1994 ;  ; Би/м,Al/Br,Cu-N ; AU ; 43 ; Walther ; 326 
 3951 ; Набор монет Сан Марино: 500,1000 лир (2шт). В коробке, с сертификатом ; 1983 ;  ; Ag ; Unc ; 37 ; плачу капустой ; 1193 
 3952 ; Набор  монет Приднестровской Республики: 1, 3, 5, 10 рублей (4шт). Буклет ; 2014 ;  ; Пластик ; AU ; 31 ; vak ; 362 
 3953 ; 2 фунта. Великобритания. Великий лондонский пожар ; 2016 ;  ; би/м ; Unc ; 51 ; andy2012 ; 969 
 3954 ; Лот монет Тайланда (21шт) ;  ;  ; Cu-Ni,Ж/м,Al ; VF/XF ; 39 ; Хаа ; 463 
 3955 ; Лот монет США (Штаты): 1/4 доллара (5шт). Буклет ; 2002 ;  ; Cu-Ni ; AU ; 26 ; dsidorov ; 283 
 3956 ; Лот монет США (12шт): 1 доллар. Президенты США ;  ;  ; лат ; AU ; 32 ; Nastrom ; 1438 
 3957 ; Лот монет ГДР (58шт) ;  ;  ; Al ; VF/XF ; 51 ; Почта России ; 473 
 3958 ; Лот монет Финляндии: 20шт ;  ;  ; Cu-Ni ; VF/XF ; 28 ; SKeeper ; 104 
 3959 ; Лот монет Cловении, Югославии (26шт) ;  ;  ; Сu-Ni,Br/Al,Al ; VF/XF ; 19 ; SKeeper ; 136 
 3960 ; Лот монет Великобритания: 10шт ;  ;  ; Cu-Ni ; VF/VF+ ; 25 ; alapabula ; 97 
 3961 ; Лот монет Джерси: 6шт ;  ;  ; Br,Cu-Ni ; XF ; 40 ; 2605 ; 313 
 3962 ; Лот монет Греции: 4шт ;  ;  ; Cu-Ni,Br ; VF ; 14 ; serega16041979 ; 26 
 3963 ; Лот монет Австрии: 5шт ;  ;  ; Al/Br ; XF ; 23 ; serega16041979 ; 42 
 3964 ; Лот монет Финляндии: 10шт ;  ;  ; Fe ; F/VF ; 31 ; SKeeper ; 137 
 3965 ; Лот монет Финляндии: 10шт ;  ;  ; Al/Br ; XF ; 27 ; SKeeper ; 89 
 3966 ; Лот монет Канады: 10шт ;  ;  ; Br ; VF/XF ; 16 ; vvf75 ; 40 
 3867 ; 2 евро. Кипр. 10 лет валютному союзу ; 2009 ;  ; би/м ; AU ; 15 ; fuzzyfly ; 304 
 3868 ; 2 евро. Австрия. 10 лет евро ; 2012 ;  ; би/м ; AU ; 17 ; BSR ; 300 
 3869 ; 2 евро. Франция. Кубок УЕФА ; 2016 ;  ; би/м ; AU ; 30 ; Гарыныч ; 403 
 3870 ; 2 евро. Нидерланды. Уильям-Александр и Беатрикс ; 2014 ;  ; би/м ; AU ; 27 ; BSR ; 267 
 3871 ; 2 евро. Кипр.30 лет флагу ЕС ; 2015 ;  ; би/м ; AU ; 23 ; ersh1 ; 392 
 3872 ; 2 евро. Сан-Марино ; 2013 ;  ; би/м ; AU ; 13 ; rbmamba ; 244 
 3873 ; 2 евро. Испания. Крепость Альгамбра ; 2011 ;  ; би/м ; AU ; 25 ; rbmamba ; 267 
 3874 ; 2 евро. Австрия. 200 лет национальному банку ; 2016 ;  ; би/м ; AU ; 31 ; ersh1 ; 392 
 3875 ; 2 евро. Люксембург. Герцог Анри ; 2015 ;  ; би/м ; AU ; 24 ; Hotey ; 269 
 3876 ; 2 евро. Германия. 25 лет Единства ; 2015 ;  ; би/м ; AU ; 34 ; X3.96rus ; 288 
 3877 ; 2 евро. Франция. 70 лет мира в Европе ; 2015 ;  ; би/м ; AU ; 22 ; 🇷🇺 ; 304 
 3878 ; 2 евро. Италия. Верди ; 2013 ;  ; би/м ; AU ; 26 ; Hotey ; 320 
 3879 ; 2 евро. Финляндия. Каллела ; 2015 ;  ; би/м ; AU ; 7 ; fuzzyfly ; 274 
 3880 ; 2 евро. Италия. Бокаччо ; 2013 ;  ; би/м ; AU ; 17 ; BSR ; 298 
 3881 ; 2 евро. Словакия. Кирил и Мефодий ; 2013 ;  ; би/м ; AU ; 20 ; BSR ; 271 
 3882 ; 2 евро. Греция. 150 лет союзу с Ионическими островами ; 2014 ;  ; би/м ; AU ; 21 ; BSR ; 327 
 3883 ; 2 евро. Франция.  70-летняя годовщина высадки союзников в Нормандии ; 2014 ;  ; би/м ; AU ; 17 ; thegreatmark ; 261 
 3884 ; 2 евро. Австрия. 10 лет евро ; 2012 ;  ; би/м ; XF ; 15 ; ermii ; 193 
 3885 ; 2 евро. Латвия. Рига - культурная столица Европы ; 2014 ;  ; би/м ; AU ; 34 ; rbmamba ; 288 
 3886 ; 2 евро. Люксембург. Герцоги Жан и Анри ; 2014 ;  ; би/м ; AU ; 7 ; fuzzyfly ; 254 
 3887 ; 2 евро. Португалия. Год фермерского хозяйства ; 2014 ;  ; би/м ; AU ; 14 ; BSR ; 300 
 3888 ; 2 евро. Италия. Эскпо в Милане ; 2115 ;  ; би/м ; AU ; 19 ; BSR ; 305 
 3889 ; 2 евро. Италия. Олимпиада в Турине ; 2006 ;  ; би/м ; AU ; 35 ; Hotey ; 258 
 3890 ; 2 евро. Люксембург. 100 лет со дня смерти Великого герцога Люксембургского Вильгельма IV ; 2012 ;  ; би/м ; AU ; 19 ; кот баюн ; 242 
 3891 ; 2 евро. Словакия. 10 лет Словакии в ЕС ; 2014 ;  ; би/м ; AU ; 18 ; Hotey ; 240 
 3892 ; 2 евро. Португалия. Красный Крест ; 2015 ;  ; би/м ; AU ; 19 ; BSR ; 290 
 3893 ; 2 евро. Эстония. Пауль Керес ; 2016 ;  ; би/м ; AU ; 23 ; ag58 ; 254 
 3894 ; 2 евро. Греция. Эль Греко ; 2014 ;  ; би/м ; AU ; 31 ; BSR ; 295 
 3895 ; 2 евро. Кипр. 10 лет евро ; 2012 ;  ; би/м ; AU ; 12 ; альтаир ; 296 
 3896 ; 2 евро. Греция ; 2002 ;  ; би/м ; VF+ ; 8 ; Hotey ; 190 
 3897 ; 1 евро. Словакия ; 2009 ;  ; би/м ; AU ; 8 ; ermii ; 108 
 3898 ; 500 лир. Италия. 20-летие Международного фонда сельскохозяйственного развития IFAD ; 1978 ;  ; би/м ; AU ; 7 ; кот баюн ; 66 
 3899 ; 50 центов. Словакия ; 2009 ;  ; ж/м ; AU ; 9 ; yourius ; 50 
 3900 ; 2 евро. Италия. Экспо в Милане. Буклет ; 2015 ;  ; би/м ; AU ; 45 ; Walther ; 505 
 3901 ; 20000 карбованцев. Украина. Леся Украинка. Сертификат ; 1996 ;  ; Cu-Ni ; Proof-Like ; 30 ; SunChess ; 187 
 3902 ; 20000 карбованцев. Украина.Чернобыль. Сертификат ; 1996 ;  ; Cu-Ni ; Proof-Like ; 27 ; Zarik ; 159 
 3903 ; 100 драхм. Греция. VI международный чемпионат в Афинах. Бег с барьерами ; 1997 ;  ; Al/Br ; XF- ; 25 ; кот баюн ; 132 
 3904 ; 20 пайс. Индия. 100 лет со дня рождения Махатмы Ганди ; 1969 ;  ; Al/Br ; VF ; 44 ; кот баюн ; 114 
 3905 ; 20000 карбованцев. Украина.Богдан Хмельницкий. В упаковке ; 1995 ;  ; Cu-Ni ; Proof-Like ; 40 ; Коллекционеръ. ; 157 
 3906 ; 1 рубль. Белоруссия. 2000 лет христианства ; 1999 ;  ; Cu-Ni ; Proof-Like ; 49 ; Хаа ; 1466 
 3907 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu-Ni ; XF ; 27 ; arsenich-s ; 95 
 3908 ; 500 лир. Италия ; 1995 ;  ; би/м ; XF ; 15 ; SKeeper ; 28 
 3909 ; 100 франков. Франция. 200 лет Конституции ; 1989 ;  ; Ag ; AU ; 21 ; 1023oxana ; 964 
 3910 ; 10 франков. Франция ; 1978 ;  ; Br ; XF ; 3 ; detonator ; 31 
 3911 ; 10 франков. Бельгия. Гуго Капет ; 1987 ;  ; Br ; XF ; 40 ; sveta6369 ; 136 
 3912 ; 5 франков. Бельгия ; 1870 ;  ; Ag ; XF ; 18 ; елец ; 1532 
 3913 ; 20 франков. Бельгия ; 1934 ;  ; Ag ; VF+ ; 28 ; Magger ; 587 
 3914 ; 1/2 кроны. Великобритания ; 1936 ;  ; Ag ; VF-XF ; 28 ; vor0niko ; 566 
 3915 ; 1 шиллинг. Великобритания ; 1811 ;  ; Ag ; F ; 21 ; nik2678 ; 1017 
 3916 ; 1 доллар. Британская Канада. 100 лет Конфедерации. Дикий гусь ; 1967 ;  ; Ag ; XF+ ; 13 ; Sporti84 ; 915 
 3817 ; 50 тенге. Казахстан. Космическая станция ; 2012 ;  ; Cu-Ni ; AU ; 18 ; eres ; 185 
 3818 ; 50 тенге. Казахстан. Богосмол ; 2012 ;  ; Cu-Ni ; AU ; 10 ; СССР1990 ; 171 
 3819 ; 50 тенге. Казахстан. Звезда ордена Данк ; 2008 ;  ; Cu-Ni ; AU ; 23 ; Vol4en0k ; 201 
 3820 ; 50 тенге. Казахстан. Знак Ордена курмет ; 2010 ;  ; Cu-Ni ; AU ; 27 ; Vol4en0k ; 204 
 3821 ; 50 тенге. Казахстан. Орден Парасат ; 2009 ;  ; Cu-Ni ; AU ; 19 ; Vol4en0k ; 204 
 3822 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; AU ; 18 ; aziya11 ; 100 
 3823 ; 50 тенге. Казахстан. Космический корабль "Восток" ; 2008 ;  ; Cu-Ni ; AU ; 26 ; u10257 ; 459 
 3824 ; 50 тенге. Казахстан. Алдар-Косе ; 2013 ;  ; Cu-Ni ; AU ; 16 ; aziya11 ; 98 
 3825 ; 50 тенге. Казахстан. Астана ; 1998 ;  ; Cu-Ni ; VF+ ; 38 ; Vol4en0k ; 405 
 3826 ; 50 тенге. Казахстан. Мухтар Эуезов ; 1997 ;  ; Cu-Ni ; VF ; 32 ; Vbuzik ; 400 
 3827 ; 50 тенге. Казахстан. 50 лет ООН ; 1995 ;  ; Cu-Ni ; VF ; 13 ; SKeeper ; 116 
 3828 ; 50 тенге. Казахстан. Караганда ; 2011 ;  ; Cu-Ni ; AU ; 18 ; dsp ; 88 
 3829 ; 50 тенге. Казахстан. Актобе ; 2011 ;  ; Cu-Ni ; AU ; 27 ; Vol4en0k ; 171 
 3830 ; 50 тенге. Казахстан. Усть-Каменогорск ; 2011 ;  ; Cu-Ni ; AU ; 18 ; VAPK ; 93 
 3831 ; 1 лира. Турция. Гиена ; 2014 ;  ; Би/м ; AU ; 49 ; Balagur ; 500 
 3832 ; 1 лира. Турция. Ушастый ёж ; 2014 ;  ; Би/м ; AU ; 36 ; Balagur ; 500 
 3833 ; 1 лира. Турция. Барс ; 2012 ;  ; Би/м ; AU ; 27 ; Hotey ; 255 
 3834 ; 1 лира. Турция. Ангорская кошка ; 2015 ;  ; Би/м ; AU ; 25 ; Zarik ; 179 
 3835 ; 100 эскудо. Португалия. Небесная навигация ; 1990 ;  ; Al/Br ; AU ; 13 ; Sandello ; 93 
 3836 ; 1 лира. Турция. Орел ; 2014 ;  ; Би/м ; AU ; 47 ; dencon ; 567 
 3837 ; 1 лира. Турция. Ангорская коза ; 2015 ;  ; Би/м ; AU ; 28 ; Hotey ; 220 
 3838 ; 1 лира. Турция. Олень ; 2012 ;  ; Би/м ; AU ; 20 ; Hotey ; 255 
 3839 ; 1 лира. Турция. Черепаха ; 2009 ;  ; Би/м ; AU ; 40 ; pol75 ; 338 
 3840 ; 1 лира. Турция. Конь ; 2014 ;  ; Би/м ; AU ; 54 ; dencon ; 567 
 3841 ; 2 злотых. Польша. Енджеюв ; 2009 ;  ; Al/Br ; XF ; 10 ; kornum ; 70 
 3842 ; 2 злотых. Польша. Ящерица ; 2009 ;  ; Al/Br ; AU ; 15 ; Jana ; 81 
 3843 ; 2 злотых. Польша. Старград Щецинский ; 2007 ;  ; Al/Br ; AU ; 16 ; mefody73 ; 77 
 3844 ; 2 злотых. Польша. Гдыня ; 2013 ;  ; Al/Br ; AU ; 27 ; kornum ; 72 
 3845 ; 2 злотых. Польша. Бизон ; 2013 ;  ; Al/Br ; AU ; 14 ; Sandello ; 83 
 3846 ; 2 злотых. Польша. Катер Гдыня ; 2011 ;  ; Al/Br ; AU ; 24 ; kornum ; 104 
 3847 ; 2 злотых. Польша. Летучая мышь ; 2010 ;  ; Al/Br ; AU ; 20 ; prostor.71 ; 72 
 3848 ; 2 злотых. Польша. Ясная гора ; 2009 ;  ; Al/Br ; XF ; 8 ; 312 ; 66 
 3849 ; 2 злотых. Польша. Барсук ; 2011 ;  ; Al/Br ; AU ; 13 ; Jana ; 83 
 3850 ; 2 злотых. Польша. Фрегат Ген Пуласки ; 2013 ;  ; Al/Br ; AU ; 25 ; kornum ; 128 
 3851 ; 2 злотых. Польша. Краков ; 2011 ;  ; Al/Br ; AU ; 15 ; Sandello ; 69 
 3852 ; 2 злотых. Польша. Конь ; 2014 ;  ; Al/Br ; AU ; 14 ; prostor.71 ; 72 
 3853 ; 2 злотых. Польша. Горлица ; 2010 ;  ; Al/Br ; AU ; 15 ; kornum ; 74 
 3854 ; 2 евро. Италия. Международная продовольственная программа ; 2004 ;  ; би/м ; AU ; 21 ; water spirit ; 304 
 3855 ; 2 евро. Италия. Европейская конституция ; 2005 ;  ; би/м ; AU ; 20 ; BSR ; 312 
 3856 ; 2 евро. Люксембург. Дворец Великого Герцога ; 2007 ;  ; би/м ; AU ; 18 ; саны4 ; 313 
 3857 ; 2 евро. Португалия. Председательство в ЕС ; 2007 ;  ; би/м ; AU ; 13 ; didisister ; 340 
 3858 ; 2 евро. Греция. Афины-2004 ; 2004 ;  ; би/м ; AU ; 21 ; helicop ; 327 
 3859 ; 2 евро. Люксембруг. Анри и Адольф ; 2008 ;  ; би/м ; AU ; 30 ; ersh1 ; 398 
 3860 ; 2 евро. Люксембург. Герцог Анри ; 2004 ;  ; би/м ; AU ; 14 ; ersh1 ; 354 
 3861 ; 2 евро. Италия. Олимпиада в Турине ; 2006 ;  ; би/м ; AU ; 21 ; BSR ; 300 
 3862 ; 2 евро. Финляндия. 50 лет членства в ООН ; 2005 ;  ; би/м ; AU ; 15 ; helicop ; 352 
 3863 ; 2 евро. Испания. Дон Кихот ; 2005 ;  ; би/м ; AU ; 28 ; BSR ; 419 
 3864 ; 2 евро. Италия. Карабиньеры ; 2014 ;  ; би/м ; AU ; 23 ; Hotey ; 357 
 3865 ; 2 евро. Бельгия. Первая Мировая война ; 2014 ;  ; би/м ; AU ; 27 ; thegreatmark ; 286 
 3866 ; 2 евро. Финляндия. Илмари Тапиовара ; 2014 ;  ; би/м ; AU ; 21 ; BSR ; 300 
 3767 ; 50 тенге. Казахстан. 20 лет тенге ; 2013 ;  ; Cu-Ni ; AU ; 17 ; Zarik ; 93 
 3768 ; 50 тенге. Казахстан. 20 лет тенге ; 2013 ;  ; Cu-Ni ; AU ; 14 ; aziya11 ; 73 
 3769 ; 50 тенге. Казахстан. Ермухан Бекмаханов ; 2015 ;  ; Cu-Ni ; AU ; 7 ; kornum ; 63 
 3770 ; 50 тенге. Казахстан. Ермухан Бекмаханов ; 2015 ;  ; Cu-Ni ; AU ; 5 ; v_bond ; 51 
 3771 ; 50 тенге. Казахстан. Жил-был пес ; 2014 ;  ; Cu-Ni ; AU ; 15 ; Jana ; 115 
 3772 ; 50 тенге. Казахстан. Жил-был пес ; 2014 ;  ; Cu-Ni ; AU ; 28 ; v_bond ; 115 
 3773 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; AU ; 12 ; aziya11 ; 73 
 3774 ; 50 тенге. Казахстан. Кокпар ; 2014 ;  ; Cu-Ni ; AU ; 25 ; u10257 ; 119 
 3775 ; 50 тенге. Казахстан. Айтыс ; 2011 ;  ; Cu-Ni ; AU ; 21 ; u10257 ; 156 
 3776 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu-Ni ; AU ; 21 ; v_bond ; 130 
