 3217 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 35 
 3016 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 5 ; hotin ; 105 
 2450 ; 20 злотых. Польша. Аллегория смерти ; 2003 ;  ; Ag ; Proof ; 63 ; Viktor58 ; 1530 
 2451 ; 25 долларов. Либерия. Титаник ; 2005 ;  ; Ж/м ; Proof ; 55 ; Poiuyt ; 636 
 2452 ; 1 доллар. Ос-ва Кука. Знаки Зодиака - Рак ; 2003 ;  ; Ag ; Proof ; 95 ; Viktor58 ; 1062 
 2453 ; 1 доллар. Ос-ва Кука. Знаки Зодиака - Близнецы ; 2003 ;  ; Ag ; Proof ; 42 ; yap1 ; 867 
 2454 ; 5 долларов. Северные Марианские острова. Бесконечная любовь. Сертификат ; 2005 ;  ; Ag ; UNC ; 61 ; zerkalozemli ; 4080 
 2455 ; 1 доллар. Ниуэ. 125 лет со дня изобретения лампочки Томасом Эдисоном. Сертификат ; 2005 ;  ; Ag ; Proof ; 55 ; Dozen ; 815 
 2456 ; 4000 форинтов. Венгрия. 100 лет художественному объединению г. Годолло ; 2001 ;  ; Ag ; UNC ; 95 ; xabib ; 573 
 2457 ; 2 доллара. Австралия. Год петуха ; 2005 ;  ; Ag ; Proof ; 34 ; xabib ; 1175 
 2458 ; 5000 квача. Замбия. Олимпиада 2000г ; 2000 ;  ; Ag ; Proof ; 69 ; gary_sl ; 804 
 2459 ; 2000 шиллингов. Уганда. Иллюзии. Дух горы. С сертификатом ; 2001 ;  ; Ag ; Proof ; 45 ; petrserebr ; 793 
 2460 ; 10 лит. Литва. 20 лет независимости Литвы. А. Сметона ; 1938 ;  ; Ag ; VF-XF ; 64 ; o.k. ; 1729 
 2461 ; 10 лит. Литва. Витаутас Великий ; 1936 ;  ; Ag ; XF ; 60 ; lesnik1 ; 820 
 2462 ; 5 лир. Израиль. Ханукка ; 1972 ;  ; Ag ; AU ; 33 ; dimon-2007 ; 362 
 2463 ; 2 кроны. Дания ; 1925 ;  ; Al/Br ; VF ; 14 ; D-503 ; 224 
 2464 ; 1 крона. Дания ; 1944 ;  ; Al/Br ; VF ; 6 ; D-503 ; 105 
 2465 ; 1 крона. Дания ; 1949 ;  ; Al/Br ; VF+ ; 25 ; selezsi ; 93 
 2466 ; 1 крона. Дания ; 1938 ;  ; Al/Br ; VF ; 20 ; Copirchik ; 95 
 2467 ; 20 чентезимо. Италия ; 1940 ;  ; St ; VF-XF ; 21 ; selezsi ; 65 
 2468 ; 20 чентезимо. Италия ; 1909 ;  ; Ni ; VF-XF ; 48 ; den_ff ; 124 
 2469 ; Набор монет Ватикана (5 шт): 200, 100, 20, 10, 5 лир ; 20 в. ;  ; Ag, Al/Br, ; AU ; 19 ; Dozen ; 602 
 2470 ; Набор монет Португалии (4 шт): 25, 5,  2,5,  1 эскудо. Чемпионат мира по хоккею на роликовых коньках ; 1982 ;  ; Cu/Ni, Ni/ ; AU ; 19 ; tong ; 408 
 2471 ; Набор монет Арубы (6 шт+ жетон): 2,5 , 1 флорин, 50, 25,10, 5 центов ; 1986 ;  ; Ni ; AU ; 60 ; Dozen ; 510 
 2472 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu/Ni ; XF+ ; 51 ; aqua ; 231 
 2473 ; 2 пфеннига. ФРГ ; 1990 ;  ; Br ; VF- ; 18 ; moneta ; 22 
 2474 ; 2 гривны. Украина. Михайло Дерегус ; 2004 ;  ; Cu/Ni/Zn ; Proof ; 66 ; Copirchik ; 139 
 2475 ; 200000 карбованцев. Украина. Богдан Хмельницкий ; 1995 ;  ; Cu/Ni ; Proof ; 55 ; mifod ; 408 
 2476 ; 200000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Cu/Ni ; AU ; 28 ; den_ff ; 204 
 2477 ; 10000 марок. Нотгельд ; 1923 ;  ; Ж/м ; AU ; 54 ; levsha ; 800 
 2478 ; 50 миллионов марок. Нотгельд ; 1923 ;  ; Al ; AU ; 31 ; Sky2 ; 600 
 2479 ; 10 марок. Нотгельд ; 1921 ;  ; Ж/м ; XF- ; 40 ; УГРЮМЫЙ ; 524 
 2480 ; 50 пенни. Финляндия ; 1921 ;  ; Cu-Ni ; VF-XF ; 14 ; solder13 ; 29 
 2481 ; 50 пенни. Финляндия ; 1923 ;  ; Cu-Ni ; VF-XF ; 18 ; solder13 ; 24 
 2482 ; 50 пенни. Финляндия ; 1929 ;  ; Cu-Ni ; VF-XF ; 19 ; В1951 ; 57 
 2483 ; 50 пенни. Финляндия ; 1935 ;  ; Cu-Ni ; XF ; 13 ; 542 ; 123 
 2484 ; 50 пенни. Финляндия ; 1936 ;  ; Cu-Ni ; XF ; 18 ; alex995 ; 19 
 2485 ; 50 пенни. Финляндия ; 1937 ;  ; Cu-Ni ; XF ; 19 ; alex995 ; 19 
 2486 ; 50 пенни. Финляндия ; 1938 ;  ; Cu-Ni ; XF+ ; 5 ; rse ; 85 
 2487 ; 50 пенни. Финляндия ; 1939 ;  ; Cu-Ni ; XF ; 5 ; djr447 ; 23 
 2488 ; 50 пенни. Финляндия ; 1940 ;  ; Cu-Ni ; XF ; 7 ; djr447 ; 53 
 2489 ; 50 пенни. Финляндия ; 1940 ;  ; Cu ; AU ; 16 ; bigmen ; 75 
 2490 ; 50 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 13 ; solder13 ; 53 
 2491 ; 50 пенни. Финляндия ; 1942 ;  ; Cu ; XF+ ; 9 ; 542 ; 53 
 2492 ; 50 пенни. Финляндия ; 1943 ;  ; Cu ; XF+ ; 7 ; В1951 ; 53 
 2493 ; 50 пенни. Финляндия ; 1943 ;  ; Fe ; XF ; 9 ; selezsi ; 68 
 2494 ; 50 пенни. Финляндия ; 1944 ;  ; Fe ; XF+ ; 33 ; rbcrf ; 67 
 2495 ; 50 пенни. Финляндия ; 1945 ;  ; Fe ; XF ; 28 ; djr447 ; 41 
 2496 ; 50 пенни. Финляндия ; 1946 ;  ; Fe ; XF+ ; 21 ; 542 ; 73 
 2497 ; 50 пенни. Финляндия ; 1947 ;  ; Fe ; XF ; 8 ; 542 ; 129 
 2498 ; 50 пенни. Финляндия ; 1948 ;  ; Fe ; VF-XF ; 5 ; 542 ; 204 
 2499 ; 50 пенни. Финляндия ; 1963 ;  ; Al-Br ; VF-XF ; 7 ; rse ; 62 
 2400 ; 5 франков. Конго. Защита животных - горилла ; 2005 ;  ; Кленовое д ; UNC ; 74 ; rbcrf ; 341 
 2401 ; 20 рублей. Беларусь. Серия Белорусских обрядов и фестивалей - Семуха. Сертификат ; 2006 ;  ; Ag ; UNC ; 80 ; джокер ; 894 
 2402 ; 1 рубль. Беларусь. Серия Белорусских обрядов и фестивалей - Семуха ; 2006 ;  ; Ag ; UNC ; 39 ; LovinCoin-2005 ; 500 
 2403 ; 20 рублей. Беларусь. Серия Сказки народов света - Симон музыкант. Сертификат ; 2005 ;  ; Ag ; UNC ; 43 ; Mike! ; 722 
 2404 ; 200000 карбованцев. Украина. 50 лет со дня окончания II Мировой войны. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 72 ; dimon-2007 ; 279 
 2405 ; 10 франков. Конго. Водопад Виктория. Сертификат ; 2003 ;  ; Ag ; Proof ; 24 ; Viktor58 ; 1224 
 2406 ; 1 доллар. Австралия. Австралийская Кукабурра ; 2003 ;  ; Ag ; Proof ; 31 ; timberwolf ; 716 
 2407 ; 10 франков. Конго. Полярная звезда-указатель навигации. Сертификат ; 2002 ;  ; Ag ; Proof ; 27 ; klm ; 1000 
 2408 ; 10 франков. Конго. Поросенок. Сертификат ; 2006 ;  ; Ag ; Proof ; 36 ; ton2519 ; 714 
 2409 ; 10 франков. Конго. Со вставленной в нее монетой 10 рублей Калининград. Сертификат. Коробка ; 2006 ;  ; Буковое де ; UNC ; 143 ; petrserebr ; 1817 
 2410 ; 20 рублей. Беларусь. Двеннадцать месяцев. В коробке с сертификатом ; 2006 ;  ; Ag ; UNC ; 35 ; СКИФ ; 747 
 2411 ; 20 рублей. Беларусь. Маленький принц. В коробке с сертификатом ; 2005 ;  ; Ag ; UNC ; 84 ; Гурий ; 858 
 2412 ; 10 долларов. Либерия. Вечная любовь. Лебеди. В коробке с сертификатом ; 2006 ;  ; Ag ; Proof ; 42 ; zemlya ; 2528 
 2413 ; "5 долларов. Британские Виргинские ос-ва. 150 лет выпуска ""Перевернутого лебедя"" (почтовая марка) в Западной Австралии. В коробке с сертификатом" ; 2005 ;  ; Титан ; UNC ; 54 ; ВЯЗ ; 579 
 2414 ; 1 доллар. Ос-ва Кука. Пожарная служба. В коробке с сертификатом ; 2006 ;  ; Ag ; Proof ; 49 ; fontanka ; 645 
 2415 ; 5 франков. Конго ;  ;  ;  ; Proof ; 55 ; petrserebr ; 247 
 2416 ; 8 долларов. Австралия. Год петуха ; 2005 ;  ; Ag ; Proof ; 37 ; salim ; 2710 
 2417 ; Набор монет Сингапура (3шт): 10 долларов, 2 доллара, Жетон. Год собаки. Сертификат. Коробка ; 2006 ;  ; Ag, Cu-Ni ; Proof ; 72 ; 4nuts ; 2441 
 2418 ; Набор монет Тувалу (5 шт): 1 доллар. Машины. В коробке с сертификатом ; 2006 ;  ; Ag, позоло ; Proof ; 70 ; Nalivaichenko ; 4068 
 2419 ; Набор иностранных монет (3 шт): 10 франков. Конго. Буссоль, 10 долларов. Либерия. Солнечные часы, 5 франков. Монета-ковш. Конго. В коробке с сертификатом ; 2004 ;  ; Ag, Fe ; UNC ; 38 ; petrserebr ; 1805 
 2420 ; 1 тройская унция серебра. Нью-Йорк, г.Ауберн ;  ;  ; Ag ; Proof ; 32 ; erfahren ; 1307 
 2421 ; 1 доллар. США ; 2001 ;  ; Ag ; AU ; 81 ; dusik311 ; 800 
 2422 ; 2 фунта. Великобритания ; 1998 ;  ; Ag ; Proof ; 48 ; KKK ; 837 
 2423 ; 4000 шиллингов. Сомали. Жираф. С сертификатом ; 2005 ;  ; Ag ; Proof ; 34 ; Mike! ; 510 
 2424 ; 4000 форинтов (состоит из 2-ух монет в 2000 форинтов). Венгрия ; 2000 ;  ; Ag ; Proof ; 97 ; Dozen ; 1129 
 2425 ; 1000 франков. Того. Всадник. С сертификатом ; 2004 ;  ; Ag ; UNC ; 37 ; levsha ; 808 
 2426 ; 5000 тугриков. Монголия. Сумо. В коробке с сертификатом ; 2005 ;  ; Ag ; Proof ; 42 ; 100924 ; 2464 
 2427 ; 1 доллар. Австралия. Австралийская десятичная монета. Сертификат. Коробка ; 2006 ;  ; Ag ; Proof ; 63 ; Arsak ; 1013 
 2428 ; Набор Австралийских монет (2шт): 5 долларов, 1 доллар. Австралийская Кукабурра. Сертификат. Коробка ; 1990-1992 ;  ; Ag ; AU ; 43 ; KKK ; 1683 
 2429 ; 1доллар. Австралия. Морские котики. Сертификат. Коробка ; 2005 ;  ; Ag ; AU ; 34 ; vovtey ; 837 
 2430 ; 1 доллар. Австралия. Чемпионат мира по футболу в Германии. Сертификат. Коробка ; 2006 ;  ; Ag ; Proof ; 44 ; PAS ; 918 
 2431 ; "Набор монет Чехословакии (8шт) ""Музыканты Бедржих Сметана, Антонин Дворжак"": 50крон, 20крон, 10крон, 5крон, 2кроны, 1крона, 50геллеров+ Жетон. Упаковка" ; 2005 ;  ; Fe-Ni,Al,C ; UNC ; 53 ; gary_sl ; 459 
 2432 ; Набор монет Кабо Верде (6шт): 100, 50, 20, 10, 5, 1 эскудо. Корабли. Упаковка ; 1994 ;  ; Би/м, Ni ; UNC ; 53 ; igor_r65 ; 568 
 2433 ; Набор монет Кабо Верде (6шт): 100, 50, 20, 10, 5, 1 эскудо. Птицы. Упаковка ; 1994 ;  ; Би/м, Ni ; UNC ; 37 ; СКИФ ; 344 
 2434 ; "Набор монет Кабо-Верде (6шт) ""Флора Кабо-Верде"": 100эскудо, 50эскудо, 20эскудо, 10эскудо, 5эскудо, 1 эскудо. Упаковка" ; 1994 ;  ; Cu-Ni/Br,  ; UNC ; 30 ; den_ff ; 313 
 2435 ; Набор монет Чехии (8 шт): 2, 1 евро,  50, 20, 10, 5, 2, 1 евроцентов. Упаковка ; 2004 ;  ; Би/м, Cu ; UNC ; 11 ; hantas ; 357 
 2436 ; Набор монет Данцига (8 шт): 2, 1 евро,  50, 20, 10, 5, 2, 1 евроцентов. Упаковка ; 2005 ;  ; Би/м, Cu ; UNC ; 82 ; Copirchik ; 653 
 2437 ; Набор монет Чехословакии  (8шт): 2евро, евро, 50 евроцентов, 20евроцентов, 10евроцентов, 5евроцентов, 2евроцента, 1евроцент. Упаковка ; 2004 ;  ; Ni, Cu ; UNC ; 66 ; Copirchik ; 408 
 2438 ; Набор монет Великобритании (9шт): 1/2кроны, 2шиллинга, 1шиллинг, 1/2шиллинга, 6пенсов, 1пенни, 1/2пенни, 3пенса+Жетон ; 1970 ;  ; Cu-Ni, Cu ; UNC ; 59 ; rizovtpl ; 1129 
 2439 ; Набор монет Швеции (4 шт + жетон): 10, 5, 1 крона, 50 эре. Упаковка ; 2005 ;  ; Cu/Ni, Cu/ ; UNC ; 82 ; gary_sl ; 306 
 2440 ; 5 долларов. Палау. Защита подводного мира-черный жемчуг. Сертификат. Коробка ; 2006 ;  ; Ag ; UNC ; 60 ; yap1 ; 1989 
 2441 ; 1000 квача. Замбия. Календарь. Коробка ; 2004 ;  ; Cu-Ni ; AU ; 51 ; mifod ; 510 
 2442 ; 1000 франков. Конго. Национальная армия. Сертификат. Коробка ; 2004 ;  ; Ag ; UNC ; 22 ; petrserebr ; 439 
 2443 ; 10 долларов. Либерия. Иоанн Павел II (Карол Войтыла). Сертификат. Коробка ; 2005 ;  ; Ag ; Proof ; 25 ; vovtey ; 1065 
 2444 ; 5 гривен. Украина. Близнецы. Сертифика. Коробка ; 2006 ;  ; Ag ; Proof ; 41 ; СКИФ ; 609 
 2445 ; 1 доллар. Острова Кука. Пожарная служба. Сертификат. Коробка ; 2006 ;  ; Ag ; Proof ; 31 ; salim ; 700 
 2446 ; 1 1/2 евро. Франция. Алиса в стране чудес. Сертификат. Коробка ; 2003 ;  ; Ag ; Proof ; 50 ; Viktor58 ; 2040 
 2447 ; 1 1/2 евро. Франция. Спящая красавица. Сертификат. Коробка ; 2003 ;  ; Ag ; Proof ; 39 ; Viktor58 ; 2040 
 2448 ; 1 1/2 евро. Франция. Пинокио. Сертификат. Коробка ; 2002 ;  ; Ag ; Proof ; 41 ; zemlya ; 1797 
 2449 ; Годовой набор монет Югославии (4шт): 100динар, 50динар, 20динар, 10динар ; 1987 ;  ; Cu-Ni ; UNC ; 25 ; den_ff ; 105 
 2350 ; 1/2 марки. Германия ; 1906 ; D ; Ag ; VF-XF ; 20 ; Бамс ; 75 
 2351 ; 50 пфеннигов. Германия ; 1876 ;  ; Ag ; F-VF ; 41 ; jef688 ; 174 
 2352 ; 1 флорин. Австрия ; 1879 ;  ; Ag ; XF- ; 20 ; УГРЮМЫЙ ; 357 
 2353 ; 1 крона. Австрия ; 1914 ;  ; Ag ; VF-XF ; 22 ; igor_r65 ; 204 
 2354 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 14 ; yuramo ; 181 
 2355 ; 50 марок. Финляндия. Чемпионат мира по хоккею ; 1982 ;  ; Ag ; AU ; 38 ; den_ff ; 516 
 2356 ; 1/2 юаня. Китай, Республика ; 1932 ;  ; Ag ; XF- ; 54 ; gors ; 408 
 2357 ; монета иностранная ;  ;  ; Cu ; F+ ; 28 ; ppp ; 153 
 2358 ; монета иностранная ;  ;  ; Cu ; F+ ; 20 ; kont ; 92 
 2359 ; 1 дайм. США ; 1964 ;  ; Ag ; VF+ ; 16 ; rbcrf ; 58 
 2360 ; 1 дайм. США ; 1952 ;  ; Ag ; XF- ; 22 ; hantas ; 65 
 2361 ; 1000 динар. Иран ;  ;  ; Ag ; F+ ; 16 ; kae ; 157 
 2362 ; 1 пфенниг. Германия ; 1937 ; А ; Br ; VF+ ; 10 ; sergant83 ; 45 
 2363 ; 1 пфенниг. Германия ; 1939 ; А ; Br ; VF-XF ; 11 ; sergant83 ; 46 
 2364 ; 1 пфенниг. Германия ; 1937 ; D ; Br ; VF-XF ; 25 ; igor_r65 ; 46 
 2365 ; 1 доллар. Канада. 100 лет Риджайне ; 1982 ;  ; Ag ; Proof ; 15 ; vovtey ; 402 
 2366 ; 1 доллар. Канада. 100 лет Калгари ; 1975 ;  ; Ag ; AU ; 13 ; mifod ; 370 
 2367 ; Талер. Готтинген. Новодел ; 1973 ;  ; Ag ; Proof ; 31 ; petrserebr ; 759 
 2368 ; Талер. Готтинген. Новодел ; 1973 ;  ; Ag ; Proof ; 41 ; petrserebr ; 765 
 2369 ; Талер. Бремен. Новодел ; 1974 ;  ; Ag ; Proof ; 19 ; skir ; 567 
 2370 ; Талер. Гильдешейн. Новодел ; 1973 ;  ; Ag ; Proof ; 17 ; petrserebr ; 759 
 2371 ; 50 крон. Чехословакия. 100 лет со дня рождения В.И. Ленина ; 1970 ;  ; Ag ; AU ; 138 ; Dj ; 7949 
 2372 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972 ; F ; Ag ; AU ; 15 ; PAS ; 450 
 2373 ; 1 пфенниг. Германия ; 1894 ;  ; Cu ; VF- ; 29 ; В1951 ; 156 
 2374 ; Талер. Белый лебедь. Германия. Новодел ; 1972 ;  ; Ag ; Proof ; 24 ; sherif-69 ; 781 
 2375 ; Талер. Радуга. Германия. Новодел ; 1972 ;  ; Ag ; Proof ; 41 ; Майкл ; 899 
 2376 ; Талер. Лаутенталь. Германия. Новодел ; 1972 ;  ; Ag ; Proof ; 22 ; omans ; 765 
 2377 ; Талер.  Благословение. Германия. Новодел ; 1972 ;  ; Ag ; Proof ; 33 ; omans ; 813 
 2378 ; "2 доллара ""Австралийская кукабурра. Австралия" ; 2007 ;  ; Ag ; Proof ; 32 ; KKK ; 1309 
 2379 ; "2 доллара ""Австралийская кукабурра. Австралия" ; 2005 ;  ; Ag ; Proof ; 29 ; romar ; 1321 
 2380 ; "2 доллара ""Австралийская кукабурра. Австралия" ; 2002 ;  ; Ag ; Proof ; 21 ; KKK ; 1350 
 2381 ; "2 доллара ""Австралийская кукабурра. Австралия" ; 2000 ;  ; Ag ; Proof ; 28 ; salim ; 1377 
 2382 ; "2 доллара ""Австралийская кукабурра. Австралия" ; 2006 ;  ; Ag ; Proof ; 21 ; Гурий ; 1389 
 2383 ; Венденталер. Люнебург. Новодел ; 1975 ;  ; Ag ; Proof ; 18 ; petrserebr ; 765 
 2384 ; Талер. Эмден. Новодел ; 1974 ;  ; Ag ; Proof ; 28 ; omans ; 835 
 2385 ; Талер. Висмар. Новодел ; 1975 ;  ; Ag ; Proof ; 12 ; petrserebr ; 762 
 2386 ; Талер. Брауншвейг. Новодел ; 1974 ;  ; Ag ; Proof ; 16 ; skir ; 717 
 2387 ; Шауталер. Статуя Роланда. Бремен. Новодел ; 1976 ;  ; Ag ; Proof ; 31 ; petrserebr ; 1500 
 2388 ; Талер. Гамбург. Новодел ; 1975 ;  ; Ag ; Proof ; 7 ; skir ; 609 
 2389 ; 1 марка. Люнебург. Новодел ; 1976 ;  ; Ag ; Proof ; 15 ; skir ; 448 
 2390 ; 1 марка. Люнебург. Новодел ; 1976 ;  ; Ag ; Proof ; 29 ; сытый ; 612 
 2391 ; Набор новодельных талеров (3 шт): Св. Якоб, Св. Андреас, св. Антоний. Германия ; 1974 ;  ; Ag ; Proof ; 46 ; petrserebr ; 1571 
 2392 ; Двойной талер. Айнбек. Новодел ; 1976 ;  ; Ag ; Proof ; 21 ; petrserebr ; 797 
 2393 ; Талер. Любек. Новодел ; 1975 ;  ; Ag ; Proof ; 27 ; Cook ; 765 
 2394 ; Талер. Германия. Новодел ; 1989 ;  ; Ag ; Proof ; 49 ; Cook ; 797 
 2395 ; Гульден. Германия. Новодел ; 1986 ;  ; Ag ; Proof ; 37 ; Cook ; 816 
 2396 ; 1 1/4 талера. Германия. Новодел ; 1976 ;  ; Ag ; Proof ; 25 ; petrserebr ; 1019 
 2397 ; Талер. Германия. Новодел ; 1986 ;  ; Ag ; AU ; 47 ; Майкл ; 947 
 2398 ; "Набор монет Британских Виргинских островов ""Птицы"" (6шт): 1доллар, 50центов, 25центов, 10центов, 5центов, 1цент" ;  ;  ; Br, Cu-Ni, ; proof ; 45 ; levsha ; 708 
 2399 ; Годовой набор монет Канады (6шт): 1доллар, 50центов, 25центов, 10центов, 5центов, 1цент ;  ;  ; Br, Ni ; AU ; 17 ; СКИФ ; 320 
 2300 ; 1 марка. Германия ; 1876 ; F ; Ag ; VF- ; 44 ; eddy ; 137 
 2301 ; 2 марки. Германия ; 1939 ; J ; Ag ; XF ; 52 ; lsp25 ; 161 
 2302 ; 1 марка. Германия ; 1907 ; А ; Ag ; VF+ ; 28 ; loyig ; 113 
 2303 ; 1 марка. Германия ; 1904 ; Е ; Ag ; VF+ ; 37 ; loyig ; 113 
 2304 ; 1 марка. Германия ; 1906 ; А ; Ag ; VF+ ; 38 ; hantas ; 113 
 2305 ; 2 марки. Пруссия ; 1904 ; А ; Ag ; VF+ ; 65 ; УГРЮМЫЙ ; 499 
 2306 ; 1 крона. Венгрия ; 1895 ;  ; Ag ; VF ; 58 ; Бамс ; 193 
 2307 ; 1/2 марки. Германия ; 1913 ; А ; Ag ; XF ; 27 ; igor_r65 ; 105 
 2308 ; 1/2 марки. Германия ; 1915 ; F ; Ag ; XF/VF+ ; 25 ; erfahren ; 74 
 2309 ; 5 марок. Германия. Церковь в Потсдаме ; 1935 ; F ; Ag ; VF ; 37 ; lsp25 ; 510 
 2310 ; 5 марок. Германия ; 1936 ; G ; Ag ; VF+ ; 26 ; ВМШ ; 519 
 2311 ; 5 марок. ФРГ. 500 лет со дня рождения Альберта Дюрера ; 1971 ; D ; Ag ; AU ; 61 ; djr447 ; 296 
 2312 ; 1 марка. Германия ; 1902 ; F ; Ag ; VF+ ; 41 ; 542 ; 119 
 2313 ; 1 марка. Германия ; 1876 ; J ; Ag ; VF- ; 25 ; 542 ; 114 
 2314 ; 2 франка. Швейцария ; 1944 ;  ; Ag ; VF+ ; 54 ; den_ff ; 177 
 2315 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; AU ; 36 ; igor_r65 ; 577 
 2316 ; 100000 лей. Румыния ; 1946 ;  ; Ag ; XF+ ; 65 ; lsp25 ; 633 
 2317 ; 1/2 доллара. США ; 1942 ;  ; Ag ; VF+ ; 46 ; vagvagvag ; 389 
 2318 ; 2 франка. Швейцария ; 1909 ;  ; Ag ; VF+ ; 55 ; В1951 ; 220 
 2319 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 30 ; yuramo ; 156 
 2320 ;  10 шиллингов. Гана ; 1958 ;  ; Ag ; VF- ; 45 ; Viktor58 ; 204 
 2321 ; 50 центов. Китай ; 1914 ;  ; Ag ; F-VF ; 63 ; gors ; 459 
 2322 ; 10 шиллингов. Ирландия ; 1966 ;  ; Ag ; XF+ ; 81 ; gary_sl ; 412 
 2323 ;  100 франков. Бельгия ; 1948 ;  ; Ag ; VF+ ; 78 ; vitapool ; 400 
 2324 ; 1/2 пенни. Ирландия. Свинья ; 1935 ;  ; Br ; VF+ ; 57 ; ton2519 ; 114 
 2325 ; 1/2 доллара. США ; 1943 ;  ; Ag ; VF ; 10 ; jef688 ; 219 
 2326 ; Монета иностранная. Восток ;  ;  ; Ag ; F+ ; 30 ; alex995 ; 41 
 2327 ; Монета иностранная. Восток ;  ;  ; Ag ; F-VF ; 35 ; VR62 ; 69 
 2328 ; 2 марки. Германия ; 1939 ; F ; Ag ; VF-XF ; 90 ; gors ; 264 
 2329 ; 10 долларов. Фиджи. Фонд спасения детей ; 1991 ;  ; Ag ; Proof ; 41 ; 0sain ; 600 
 2330 ; 10 долларов. Фиджи. Серебряный юбилей независимости ; 1995 ;  ; Ag ; AU ; 59 ; vitapool ; 544 
 2331 ; 1 доллар. Австралия. Кукабурра ; 1996 ;  ; Ag ; Proof ; 31 ; timberwolf ; 1173 
 2332 ; 50 центов. Австралия ; 1966 ;  ; Ag ; XF+ ; 24 ; димитрий ; 122 
 2333 ; 10 песо. Куба. Корабль ; 2002 ;  ; Ag ; Proof ; 23 ; zemlya ; 1561 
 2334 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; XF ; 55 ; igor_r65 ; 298 
 2335 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972 ; F ; Ag ; AU ; 32 ; 542 ; 402 
 2336 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937 ; Е ; Ag ; VF+ ; 76 ; hantas ; 360 
 2337 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1939 ; А ; Ag ; VF+ ; 12 ; gors ; 218 
 2338 ; 1 марка. Германия ; 1924 ; А ; Ag ; VF ; 89 ; ВМШ ; 650 
 2339 ; 100 лир. Италия ; 1910 ;  ; Б/м ; XF ; 23 ; ВЯЗ ; 466 
 2340 ; Риал. Йемен ; 1963 ;  ; Ag ; XF- ; 57 ; Ромбор ; 375 
 2341 ; 100 йен. Япония ; 1964 ;  ; Ag ; VF-XF ; 41 ; lesnik1 ; 462 
 2342 ; 1 динар. Сербия ; 1912 ;  ; Ag ; VF+ ; 43 ; УГРЮМЫЙ ; 183 
 2343 ; 10 евро. Нидерланды ; 2004 ;  ; Ag ; AU ; 29 ; gors ; 485 
 2344 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1939 ; J ; Ag ; XF+ ; 28 ; dusik311 ; 411 
 2345 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938 ; F ; Ag ; XF- ; 18 ; gors ; 333 
 2346 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937 ; Е ; Ag ; VF-XF ; 18 ; o.k. ; 207 
 2347 ; 1 марка. Германия ; 1876 ; Н ; Ag ; VF- ; 38 ; hantas ; 105 
 2348 ; 1/4 доллара. США. В капсуле Numismatics ; 1963 ;  ; Ag ; Proof70 ; 32 ; Vict_1 ; 201 
 2349 ; 1 марка. Германия ; 1885 ; А ; Ag ; VF- ; 25 ; vitapool ; 123 
 1493 ; 3 рубля ; 1993 ; ММД Федор Шаляпин  ; Ag ; Proof ; 18 ; den_ff ; 1148 
 1494 ; 3 рубля ; 1993 ; ЛМД Космонавты  ; Ag ; Proof ; 26 ; den_ff ; 1125 
 1495 ; 3 рубля ; 1990 ; ММД Флот Петра Великого  ; Ag ; Proof ; 17 ; nucl ; 1329 
 1496 ; 3 рубля ; 1990 ; ЛМД Встреча в верхах в интерес ; Ag ; Proof ; 23 ; nucl ; 1274 
 1497 ; 3 рубля ; 1988 ; ЛМД Сребреник Владимира  ; Ag ; Proof ; 44 ; svm-1 ; 2040 
 1498 ; 3 рубля ; 1993 ; ЛМД Кругосветка. Карта плавани ; Ag ; Proof ; 31 ; apolo-67 ; 1584 
 1499 ; 2 рубля ; 2001 ; ММД В.И.Даль - 200 лет  ; Ag ; Proof ; 19 ; Конрос бид 32 ; 941 
 1500 ; 1 рубль ; 1998 ; ММД Всемирные юношеские игры.  ; Ag ; Proof ; 11 ; KORNEJ ; 921 
 2258 ; 1/2 луидора. Франция. Людовик XV ; 1726 ;  ; Au ; VF- ; 32 ; GERAN ; 14899 
 2259 ; 20 франков Франция ; 1866 ; А ; Au ; VF-XF ; 18 ; levsha ; 5202 
 2260 ; 200 долларов. Фиджи. 25 лет всемирному фонду охраны дикой природы ; 1986 ;  ; Au ; Proof ; 30 ; Mike! ; 7565 
 2261 ; 50 долларов. Острова Кука ; 1997 ;  ; Au ; Proof ; 47 ; fontanka ; 4205 
