 4852 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 1 ; asus ; 111 
 3345 ; 10 сантимов. Бельгия ; 1898 ;  ; Cu-Ni ; VF ; 31 ; Northman ; 113 
 3346 ; 5 сантимов. Бельгия ; 1862 ;  ; Cu-Ni ; F-VF ; 8 ; ваньша ; 28 
 3347 ; 50 тенге. Казахстан. "Кыз Куу" ; 2008 ;  ; Cu-Ni ; AU ; 42 ; asparagus ; 57 
 3348 ; 50 тенге. Казахстан. Союз-Аполлон ; 2009 ;  ; Cu-Ni ; AU ; 33 ; педро ; 71 
 3349 ; 50 тенге. Казахстан. Тесау Кесу ; 2007 ;  ; Cu-Ni ; AU ; 46 ; ВМШ ; 105 
 3350 ; 50 тенге. Казахстан. Жубанов ; 2006 ;  ; Cu-Ni ; AU ; 31 ; t_v_v ; 70 
 3351 ; 50 тенге. Казахстан. Звезда Ордена ; 2009 ;  ; Cu-Ni ; AU ; 34 ; alex995 ; 51 
 3352 ; 50 тенге. Казахстан. Звезда Ордена ; 2008 ;  ; Cu-Ni ; AU ; 35 ; asparagus ; 59 
 3353 ; 50 тенге. Казахстан. Орден Парасат ; 2009 ;  ; Cu-Ni ; AU ; 10 ; legarder ; 58 
 3354 ; 50 тенге. Казахстан. Звезда Ордена ; 2009 ;  ; Cu-Ni ; AU ; 33 ; legarder ; 53 
 3355 ; 50 тенге. Казахстан. Улар ; 2006 ;  ; Cu-Ni ; AU ; 24 ; andorf ; 74 
 3356 ; 50 тенге. Казахстан. 10 лет Астане ; 2008 ;  ; Cu-Ni ; AU ; 19 ; t_v_v ; 75 
 3357 ; 10 марок. Финляндия. 100 лет со дня рождения президента Паасикиви ; 1970 ;  ; Ag ; XF ; 71 ; 417-03 ; 403 
 3358 ; 10 марок. Финляндия. 75 лет со дня рождения президента Кекконена ; 1975 ;  ; Ag ; XF ; 34 ; westof ; 412 
 3359 ; 1 крона. Дания ; 1916 ;  ; Ag ; VF ; 20 ; 417-03 ; 547 
 3360 ; 10 крон. Дания. На смерть Фредерика IX и восшествии на престол Маргрет II ; 1972 ;  ; Ag ; XF ; 23 ; MAXIM81 ; 575 
 3361 ; 500 лир. Италия ; 1960 ;  ; Ag ; VF+ ; 16 ; Кураков ; 296 
 3362 ; 25 эре. Швеция ; 1952 ;  ; Ag ; VF- ; 10 ; Sterh ; 40 
 3363 ; 10 эре. Швеция ; 1941 ;  ; Ag ; VF- ; 13 ; 417-03 ; 44 
 3364 ; 10 эре. Швеция ; 1955 ;  ; Ag ; VF+ ; 14 ; ваньша ; 40 
 3365 ; 10 эре. Швеция ; 1950 ;  ; Ag ; VF+ ; 40 ; ваньша ; 39 
 3366 ; 5 франков. Франция ; 1964 ;  ; Ag ; VF+ ; 27 ; spbra ; 323 
 3367 ; 5 евро. Финляндия. Аландские острова ; 2011 ;  ; Би/м ; AU ; 5 ; Кураков ; 274 
 3368 ; 5 евро. Финляндия. Лапландия ; 2011 ;  ; Би/м ; AU ; 5 ; aziya11 ; 273 
 3369 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 87 ; skiff1979nd ; 138 
 3370 ; 2 евро. Греция. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 78 ; asus ; 143 
 3371 ; 2 евро. Финляндия. 200 лет Банку Финляндии ; 2011 ;  ; Би/м ; AU ; 80 ; dsp ; 119 
 3372 ; 1 фунт. Египет ; 2007 ;  ; Би/м ; AU ; 6 ; Roman24 ; 47 
 3373 ; 50 пиастров. Египет ; 2007 ;  ; Би/м ; AU ; 11 ; Кураков ; 36 
 3374 ; 5 марок. ФРГ ; 1951D ;  ; Ag ; VF- ; 11 ; ratiandr ; 287 
 3375 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; XF ; 48 ; маманя ; 457 
 3376 ; 1 дайм. США. Рузвельт ; 1960D ;  ; Ag ; VF ; 41 ; маманя ; 97 
 3377 ; 2 злотых. Польша ; 1933 ;  ; Ag ; F-VF ; 7 ; And & And ; 113 
 3378 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; VF ; 34 ; alexnn ; 241 
 3379 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; VF-XF ; 2 ; Опятор ; 204 
 3380 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; VF ; 24 ; Опятор ; 204 
 3381 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; VF-XF ; 25 ; kotok ; 199 
 3382 ; 1 крона. Швеция ; 1946 ;  ; Ag ; XF ; 13 ; DVZ ; 99 
 3383 ; 1 крона. Швеция ; 1964 ;  ; Ag ; VF-XF ; 8 ; фрегат ; 91 
 3384 ; 1 крона. Швеция ; 1930 ;  ; Ag ; VF/F-VF ; 15 ; фрегат ; 123 
 3385 ; 1 крона. Швеция ; 1944 ;  ; Ag ; VF- ; 22 ; t_v_v ; 96 
 3286 ; 10 сантимов. Франция ; 1936 ;  ; Cu-Ni ; VF ; 10 ; legarder ; 34 
 3287 ; 1 флорин. Аруба ; 1986 ;  ; Cu-Ni ; VF ; 21 ; legarder ; 53 
 3288 ; 10 франков. Франция ; 1949 ;  ; Cu-Ni ; VF ; 19 ; t_v_v ; 45 
 3289 ; 50 липа. Хорватия ; 1996 ;  ; Cu-Ni ; XF- ; 20 ; СВл ; 83 
 3290 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; XF- ; 9 ; And & And ; 96 
 3291 ; 1 франк. Бельгия ; 1934 ;  ; Cu-Ni ; VF+ ; 27 ; av ; 51 
 3292 ; 20 пара. Черногория ; 1914 ;  ; Cu-Ni ; XF ; 42 ; Sky2 ; 361 
 3293 ; 50 сантимов. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 19 ; Komod ; 46 
 3294 ; 50 чентезимо. Италия ; 1925 ;  ; Cu-Ni ; VF- ; 15 ; ppp ; 46 
 3295 ; 20 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF+ ; 23 ; And & And ; 46 
 3296 ; 1 франк. Бельгия ; 1939 ;  ; Cu-Ni ; VF-XF ; 42 ; ppi ; 72 
 3297 ; 5 сантимов. Франция ; 1935 ;  ; Cu-Ni ; VF- ; 3 ; legarder ; 24 
 3298 ; 50 сентаво. Боливия ; 1939 ;  ; Cu-Ni ; AU ; 32 ; v_bond ; 79 
 3299 ; 5 песо. Аргентина ; 1963 ;  ; Cu-Ni ; VF-XF ; 15 ; bosc ; 38 
 3300 ; 10 хеллеров. Австрия ; 1909 ;  ; Cu-Ni ; VF ; 12 ; Northman ; 200 
 3301 ; 1 куна. Хорватия. Олимпиада ; 1996 ;  ; Cu-Ni ; XF- ; 15 ; СВл ; 906 
 3302 ; 1 гульден. Нидерланды ; 1980 ;  ; Cu-Ni ; XF+ ; 19 ; DM2713 ; 37 
 3303 ; 1/2 лека. Албания ; 1926 ;  ; Cu-Ni ; VF- ; 38 ; Sterh ; 63 
 3304 ; 100 рейс. Бразилия ; 1895 ;  ; Cu-Ni ; F-VF ; 15 ; MC17 ; 49 
 3305 ; 10 филлеров. Венгрия ; 1909 ;  ; Cu-Ni ; XF- ; 26 ; krugerrand ; 71 
 3306 ; 1 рупия. Индия ; 2003 ;  ; St ; AU ; 42 ; off ; 150 
 3307 ; 20 чентезимо. Италия ; 1942 ;  ; St ; XF- ; 17 ; саров ; 25 
 3308 ; 20 сантимов. Франция ; 1941 ;  ; Zn ; VF ; 53 ; DM2713 ; 310 
 3309 ; 5 центов. США ; 1936 ;  ; Cu-Ni ; F-VF ; 33 ; asus ; 53 
 3310 ; 10 хеллеров. Австрия ; 1915 ;  ; Cu-Ni ; VF ; 21 ; legarder ; 42 
 3311 ; 1 доллар. Малайзия ; 1990 ;  ; Cu-Ni ; AU ; 49 ; v_bond ; 136 
 3312 ; 2 пенго. Венгрия ; 1941 ;  ; Al ; VF ; 64 ; Northman ; 123 
 3313 ; 5 лир. Италия ; 1948 ;  ; Al ; VF- ; 56 ; FEDOTOV1920 ; 81 
 3314 ; 1 цент. США. Линкольн ; 1943S ;  ; Zn/St ; VF+ ; 36 ; vb96 ; 53 
 3315 ; 1 цент. США. Индеец ; 1905 ;  ; Cu ; F-VF ; 45 ; маманя ; 75 
 3316 ; 1 цент. США ; 1941 ;  ; Cu-Zn ; VF ; 38 ; asus ; 63 
 3317 ; 1 цент. США ; 1952 ;  ; Cu-Zn ; XF+ ; 26 ; asus ; 46 
 3318 ; 1 марка. Финляндия ; 1942 ;  ; Cu ; VF+ ; 54 ; asparagus ; 62 
 3319 ; 1/2 пенни. Новая Зеландия ; 1963 ;  ; Br ; XF ; 34 ; Tarkus ; 45 
 3320 ; 2 стотинки. Болгария ; 1912 ;  ; Br ; VF+ ; 25 ; cotangens ; 45 
 3321 ; 2 сантима. Бельгия ; 1912 ;  ; Br ; VF ; 31 ; krugerrand ; 62 
 3322 ; 1 сентаво. Аргентина ; 1890 ;  ; Cu ; VF ; 8 ; MC17 ; 46 
 3323 ; 1 крейцер. Австрия ; 1851А ;  ; Cu ; F+ ; 28 ; дед морос ; 59 
 3324 ; 1/2 крейцера. Австрия ; 1816B ;  ; Cu ; F-VF ; 26 ; дед морос ; 59 
 3325 ; 1/4 стивера. Нидерландская Индия ; 1823S ;  ; Cu ; F+ ; 29 ; дед морос ; 119 
 3326 ; 5 пара. Югославия ; 1979 ;  ; Латунь ; AU ; 25 ; hr-kot ; 25 
 3327 ; 1 денар. Македония ; 2000 ;  ; Латунь ; AU ; 19 ; t_v_v ; 41 
 3328 ; 10 фунтов. Сирия ; 2003 ;  ; Латунь ; XF+ ; 17 ; Mukoved ; 51 
 3329 ; 1/4 шиллинга. Джерси. 900 лет завоеванию Англии норманами ; 1966 ;  ; Ni-Лат ; AU ; 5 ; Makys ; 133 
 3330 ; 10 франков. Франция ; 1987 ;  ; Al/Br ; XF ; 21 ; off ; 40 
 3331 ; 2000 лей. Румыния ; 1946 ;  ; Al/Br ; VF- ; 47 ; MDV ; 132 
 3332 ; 10 пфеннигов. Веймар ; 1925А ;  ; Al/Br ; F-VF ; 21 ; legarder ; 42 
 3333 ; 2 франка. Франция ; 1923 ;  ; Al/Br ; VF ; 13 ; off ; 102 
 3334 ; 500 лир. Италия ; 1995 ;  ; Би/м ; XF ; 14 ; Komod ; 46 
 3335 ; 10 пфеннигов. Германия. Нотгельд. Хаген ; 1917 ;  ; Zn ; F-VF ; 19 ; aziya11 ; 85 
 3236 ; 10 центов. Ямайка ; 1969 ;  ; Cu-Ni ; XF ; 5 ; mirumir ; 24 
 3237 ; 1/4 доллара. США ; 1996Р ;  ; Cu-Ni ; XF- ; 16 ; legarder ; 21 
 3238 ; 10 центов. США ; 1974 ;  ; Cu-Ni ; XF+ ; 18 ; alex995 ; 23 
 3239 ; 5 центов. США. Бизон ; 2005 ;  ; Cu-Ni ; AU ; 26 ; andorf ; 43 
 3240 ; 1 гривна. Украина. Евро 2012 ; 2012 ;  ; Латунь ; AU ; 26 ; asparagus ; 27 
 3241 ; 5 динаров. Македония. Рысь ; 2001 ;  ; Латунь ; AU ; 31 ; asparagus ; 42 
 3242 ; 1 доллар. США. 12-й президент США ; 2009 ;  ; Латунь ; AU ; 27 ; комот ; 110 
 3243 ; 1 доллар. США. 5-й президент США ; 2003 ;  ; Латунь ; AU ; 68 ; комот ; 104 
 3244 ; 1 доллар. США. 2-й президент США ; 2007Р ;  ; Латунь ; AU ; 30 ; комот ; 104 
 3245 ; 2 цента. Южная Африка ; 1969 ;  ; Br ; AU ; 44 ; Valery2010 ; 266 
 3246 ; 1 сантим. Латвия ; 1928 ;  ; Br ; VF ; 21 ; vasek ; 44 
 3247 ; 1 сантим. Латвия ; 1922 ;  ; Br ; F-VF ; 36 ; Санитар ; 51 
 3248 ; 1 сантим. Латвия ; 1932 ;  ; Br ; VF ; 18 ; Al0851 ; 37 
 3249 ; 2 сантима. Латвия ; 1926 ;  ; Br ; VF+ ; 41 ; Санитар ; 71 
 3250 ; 2 сантима. Латвия ; 1932 ;  ; Br ; VF+ ; 21 ; Al0851 ; 33 
 3251 ; 1/2 пенни. Великобритания, Георг VI. Корабль ; 1950 ;  ; Br ; VF-XF ; 15 ; taigist ; 42 
 3252 ; 25 центов. Канада, Провинция Британская Колумбия ; 1992 ;  ; Ni/Fe ; AU ; 38 ; 100924 ; 102 
 3253 ; 5 лаари. Мальдивы. Рыбы ; 1984 ;  ; Al ; VF+ ; 33 ; GENA  2 05 ; 53 
 3254 ; 500 лева. Болгария. Атлантическая солидарность ; 1997 ;  ; Cu-Ni ; Proof ; 19 ; vasek ; 155 
 3255 ; 5 лева. Болгария. Детская ассамблея ; 1985 ;  ; Cu-Ni ; Proof ; 73 ; v_bond ; 116 
 3256 ; 5 лева. Болгария. Владимир Димитров ; 1982 ;  ; Cu-Ni ; Proof ; 12 ; t_v_v ; 69 
 3257 ; 2 лева. Болгария. Летняя олимпиада ; 1988 ;  ; Cu-Ni ; Proof ; 44 ; vc57 ; 102 
 3258 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 45 ; t_v_v ; 73 
 3259 ; 2 лева. Болгария. 1300 лет Болгарии. Восстание Асена и Петра ; 1981 ;  ; Cu-Ni ; Proof ; 18 ; aziya11 ; 82 
 3260 ; 2 лева. Болгария. Климент Охридский ; 1988 ;  ; Cu-Ni ; Proof ; 33 ; t_v_v ; 69 
 3261 ; 2 лева. Болгария. Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 58 ; t_v_v ; 66 
 3262 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 56 ; aziya11 ; 72 
 3263 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 64 ; off ; 114 
 3264 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 44 ; yuri.gruzdev ; 123 
 3265 ; 10 лева. Болгария ; 1943 ;  ; Cu-Ni ; VF ; 58 ; And & And ; 110 
 3266 ; 5 гривен. Украина. 600 лет городу Черновцы ; 2008 ;  ; Cu-Ni ; Proof ; 44 ; sinitsinik ; 159 
 3267 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; Proof ; 58 ; StanislavAK ; 120 
 3268 ; 2 гривны. Украина. 80 лет Бою под Крутами ; 1998 ;  ; Cu-Ni ; AU ; 63 ; sinitsinik ; 152 
 3269 ; 3 лари. Грузия. Баку-Тбилиси-Джейхан ; 2006 ;  ; Cu-Ni ; Proof ; 27 ; cotangens ; 255 
 3270 ; 1 доллар. Сьерра-Леоне. Юбилей королевы ; 2002 ;  ; Cu-Ni ; AU ; 26 ; педро ; 133 
 3271 ; 1 доллар. Восточные Карибские Штаты ; 1989 ;  ; Cu-Ni ; XF ; 53 ; sergey7 ; 196 
 3272 ; 10 динаров. Югославия. Сутиеская битва ; 1983 ;  ; Cu-Ni ; AU ; 27 ; Mukoved ; 62 
 3273 ; 10 динаров. Югославия. Битва на Неретве ; 1983 ;  ; Cu-Ni ; XF ; 33 ; t_v_v ; 37 
 3274 ; 1 писо. Филиппины ; 1972 ;  ; Cu-Ni ; XF ; 16 ; Sterh ; 26 
 3275 ; 100 песет. Испания. Кубок мира по футболу ; 1980 ;  ; Cu-Ni ; XF+ ; 29 ; potapov0 ; 103 
 3276 ; 50 пенсов. Великобритания ; 1998 ;  ; Cu-Ni ; XF ; 49 ; olga42 ; 92 
 3277 ; 50 центов. Австралия ; 1995 ;  ; Cu-Ni ; VF- ; 35 ; asparagus ; 46 
 3278 ; 1 доллар. Барбадос ; 1973 ;  ; Cu-Ni ; VF+ ; 28 ; Mukoved ; 57 
 3279 ; 5 марок. ФРГ. 100 лет Кафедральному собору ; 1980F ;  ; Cu-Ni ; XF+ ; 21 ; Gyron ; 144 
 3280 ; 1/2 доллара. США. Кеннеди. 200 лет юбилею ; 1976 ;  ; Cu-Ni ; AU ; 20 ; Sterh ; 37 
 3281 ; 1/4 доллара. США. Вашингтон. 200 лет юбилею ; 1976D ;  ; Cu-Ni ; XF ; 30 ; MaRgo ; 31 
 3282 ; 50 сентимо. Коста-Рика ; 1978 ;  ; Cu-Ni ; AU ; 9 ; v_bond ; 36 
 3283 ; 25 центов. Барбадос ; 2003 ;  ; Cu-Ni ; XF ; 5 ; legarder ; 24 
 3284 ; 2 колона. Коста-Рика ; 1970 ;  ; Cu-Ni ; VF- ; 22 ; asparagus ; 46 
 3285 ; 50 пенсов. Великобритания ; 2000 ;  ; Cu-Ni ; XF- ; 27 ; olga42 ; 92 
 3186 ; 1 корона. Австрия ; 1898 ;  ; Ag ; VF ; 19 ; фрегат ; 125 
 3187 ; 1 динар. Сербия ; 1915 ;  ; Ag ; VF+ ; 41 ; vvr ; 232 
 3188 ; 1/2 кроны. Великобритания ; 1900 ;  ; Ag ; VF- ; 89 ; zzzzz ; 669 
 3189 ; 25 марок. Финляндия. Зимняя олимпиада в Лахти ; 1978 ;  ; Ag ; AU ; 45 ; hugo ; 491 
 3190 ; 1/2 доллара. США. Эмигранты ; 1986 ;  ; Cu-Ni ; Proof ; 46 ; Smit ; 110 
 3191 ; 25 центов. Канада. Ньюфаундленд ; 1992 ;  ; Cu-Ni ; AU ; 5 ; v_bond ; 46 
 3192 ; 25 центов. Канада. Северо-Западные территории ; 1992 ;  ; Cu-Ni ; AU ; 12 ; dsp ; 57 
 3193 ; 25 центов. Канада. Манитоба ; 1992 ;  ; Cu-Ni ; AU ; 48 ; dsp ; 110 
 3194 ; 25 центов. Канада. Новая Скотия ; 1992 ;  ; Cu-Ni ; AU ; 24 ; dsp ; 123 
 3195 ; 25 центов. Канада. Юкон ; 1992 ;  ; Cu-Ni ; AU ; 11 ; Моряк-собиратель ; 47 
 3196 ; 2 эре. Швеция ; 1949 ;  ; Fe ; VF+ ; 9 ; legarder ; 20 
 3197 ; 1 эре. Швеция ; 1950 ;  ; Br ; VF-XF ; 13 ; legarder ; 24 
 3198 ; 1 эре. Норвегия ; 1937 ;  ; Br ; VF+ ; 9 ; alex995 ; 20 
 3199 ; 1 эре. Норвегия ; 1938 ;  ; Br ; VF- ; 9 ; legarder ; 20 
 3200 ; 1 эре. Норвегия ; 1940 ;  ; Br ; XF- ; 7 ; alex995 ; 18 
 3201 ; 1 эре. Норвегия ; 1948 ;  ; Br ; XF ; 7 ; legarder ; 24 
 3202 ; 1 эре. Дания ; 1941 ;  ; Zn ; F-VF ; 8 ; ppp ; 24 
 3203 ; 1 крона. Исландия ; 2005 ;  ; Cu-Ni ; XF ; 34 ; andorf ; 79 
 3204 ; 2 сент. Мальта ; 1972 ;  ; Cu-Ni ; XF ; 2 ; Сергей40 ; 26 
 3205 ; 50 чентезимо. Италия ; 1941R ;  ; St ; XF ; 11 ; лесной ; 35 
 3206 ; 20 чентезимо. Италия ; 1940R ;  ; St ; XF ; 4 ; саров ; 24 
 3207 ; 5 марок. ФРГ. 100 лет со дня рождения Стресмана ; 1978D ;  ; Ag ; AU ; 2 ; mr. Krab$ ; 306 
 3208 ; 50 пара. Сербия ; 1915 ;  ; Ag ; XF ; 30 ; maremark ; 153 
 3209 ; 1 лек. Албания ; 1930V ;  ; Ni ; VF+ ; 30 ; DVZ ; 126 
 3210 ; 0,2 лека. Албания ; 1941R ;  ; St ; XF+ ; 37 ; RF ; 150 
 3211 ; 1 шиллинг. Великобритания ; 1944 ;  ; Ag ; VF ; 28 ; asus ; 124 
 3212 ; 5 центов. Британский Цейлон ; 1890 ;  ; Br ; VF- ; 15 ; AGM62 ; 227 
 3213 ; 25 сантимов. Люксембург ; 1927 ;  ; Ni ; VF ; 25 ; dsp ; 49 
 3214 ; 1/4 доллара. США ; 1974 ;  ; Ni ; VF+ ; 15 ; Антон Семенович ; 26 
 3215 ; 1 лира. Израиль ; 1978 ;  ; Ni ; VF-XF ; 24 ; faihu ; 43 
 3216 ; 6 пенсов. Великобритания ; 1944 ;  ; Ag ; VF- ; 28 ; маманя ; 107 
 3217 ; 6 пенсов. Великобритания ; 1948 ;  ; Ag ; VF- ; 33 ; маманя ; 113 
 3218 ; 6 пенсов. Великобритания ; 1960 ;  ; Ag ; VF ; 26 ; маманя ; 113 
 3219 ; 6 пенсов. Новая Зеландия ; 1940 ;  ; Ag ; VF- ; 51 ; маманя ; 123 
 3220 ; 3 пенса. Новая Зеландия ; 1943 ;  ; Ag ; VF-XF ; 57 ; маманя ; 107 
 3221 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; VF ; 12 ; S1952 ; 104 
 3222 ; 50 сентимов. Франция ; 1917 ;  ; Ag ; XF ; 75 ; And & And ; 315 
 3223 ; 3 пенса. Австралия ; 1947 ;  ; Ag ; VF ; 8 ; t_v_v ; 101 
 3224 ; 1/2 франка. Швейцария ; 1916 ;  ; Ag ; F-VF ; 16 ; yrik ; 89 
 3225 ; 25 эре. Швеция ; 1919 ;  ; Ag ; VF+ ; 18 ; vvr ; 127 
 3226 ; 10 пфеннигов. Германия ; 1876B ;  ; Cu-Ni ; F-VF ; 23 ; Опятор ; 34 
 3227 ; 10 пфеннигов. Германия ; 1911А ;  ; Cu-Ni ; VF ; 24 ; legarder ; 79 
 3228 ; 10 пфеннигов. Германия ; 1912А ;  ; Cu-Ni ; VF ; 16 ; westof ; 77 
 3229 ; 10 пфеннигов. Германия ; 1921 ;  ; Fe ; F-VF ; 14 ; westof ; 24 
 3230 ; 5 пфеннигов. Германия ; 1921F ;  ; Fe ; F-VF ; 9 ; legarder ; 34 
 3231 ; 10 марок. ГДР. 20 лет Варшавского договора 1955-1975 ; 1975 ;  ; Cu-Ni ; AU ; 20 ; RuByLa ; 334 
 3232 ; 50 тенге. Казахстан. Наврус ; 2012 ;  ; Cu-Ni ; AU ; 38 ; dsp ; 101 
 3233 ; 2 шиллинга. Великобритания, Георг VI ; 1951 ;  ; Cu-Ni ; VF ; 17 ; legarder ; 78 
 3234 ; 2 шиллинга. Великобритания, Елизавета II ; 1962 ;  ; Cu-Ni ; VF ; 9 ; legarder ; 39 
 3235 ; 1 флорин. Новая Зеландия, Елизавета II ; 1962 ;  ; Cu-Ni ; VF ; 12 ; Mukoved ; 50 
 3136 ; 10 лит. Литва. 20 лет Республике ; 1938 ;  ; Ag ; XF ; 52 ; $$$ ; 1855 
 3137 ; 1/4 гульдена. Нидерландская Индия ; 1840 ;  ; Ag ; XF ; 60 ; shest ; 1683 
 3138 ; 50 крон. Словакия. 5-я годовщина независимости ; 1944 ;  ; Ag ; XF- ; 40 ; фрегат ; 381 
 3139 ; 100 крон. Чехословакия. 700 лет горному делу в Йоглавских горах ; 1949 ;  ; Ag ; XF- ; 59 ; MAXIM81 ; 323 
 3140 ; 20 крон. Словакия ; 1939 ;  ; Ag ; XF ; 49 ; Al75 ; 654 
 3141 ; 10 крон. Чехословакия. 10 лет Словакскому восстанию ; 1954 ;  ; Ag ; VF-XF ; 25 ; salim ; 332 
 3142 ; 10 крон. Чехословакия. 250 лет Техническому колледжу ; 1957 ;  ; Ag ; XF- ; 23 ; MAXIM81 ; 462 
 3143 ; 100 крон. Чехословакия. 700 лет горному делу в Йоглавских горах ; 1949 ;  ; Ag ; XF- ; 34 ; MAXIM81 ; 263 
 3144 ; 50 новых пенсов. Великобритания ; 1980 ;  ; Cu-Ni ; XF ; 21 ; olga42 ; 33 
 3145 ; 5 долларов. Гон-Конг ; 1933 ;  ; Cu-Ni ; VF-XF ; 20 ; Опятор ; 36 
 3146 ; 1 chm GAS (Платежное средство) Городской газовый завод в г Лигнице ; ND ;  ; Zn ; F ; 20 ; Man 11 ; 51 
 3147 ; 1/4 доллара. США. Делавэр ; 1999 ;  ; Cu-Ni ; VF/VF-XF ; 14 ; dpb ; 20 
 3148 ; 1 пайса. Индия. Штат Бахавалпур ; 1342лх ;  ; Cu ; VF- ; 22 ; Slava O ; 143 
 3149 ; 1 пайса. Индия. Штат Бахавалпур ; 1342лх ;  ; Cu ; VF- ; 19 ; DVZ ; 159 
 3150 ; 20 вон. Северная Корея. Китайский Гороскоп. Год Быка ; 2009 ;  ; Латунь ; Proof ; 32 ; murew ; 213 
 3151 ; Монетовидный жетон. Майсен №30879. d-42мм ; 1922 ;  ; Керамика ; XF ; 3 ; Sky2 ; 340 
 3152 ; 1 марка. Майсен. Айзенах. Мартин Лютер ; 1921 ;  ; Керамика ; XF ; 27 ; zuza ; 816 
 3153 ; 50 пфеннигов. Майсен. Липпштадт ; 1921 ;  ; Керамика ; XF ; 15 ; asus ; 280 
 3154 ; 5 марок. Саксония ; 1921 ;  ; Керамика ; XF- ; 42 ; zuza ; 882 
 3155 ; 50 пфеннигов. Саксония ; 1921 ;  ; Керамика ; XF ; 33 ; asus ; 201 
 3156 ; 1 гривна. Украина. Чемпионат мира по футболу ; 2012 ;  ; Латунь ; AU ; 37 ; GEV ; 251 
 3157 ; 1 гривна. Украина. Чемпионат мира по футболу ; 2012 ;  ; Латунь ; AU ; 33 ; andorf ; 104 
 3158 ; 1 дайм. США. Рузвельт ; 1960D ;  ; Ag ; VF+ ; 14 ; t_v_v ; 89 
 3159 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF-XF ; 35 ; alexnn ; 297 
 3160 ; 1/2 франка. Швейцария ; 1952 ;  ; Ag ; VF+ ; 21 ; alexda777 ; 70 
 3161 ; 100 йен. Япония ; 1961 ;  ; Ag ; VF ; 19 ; Northman ; 147 
 3162 ; 5 шиллингов. Великобритания. Фестиваль Великобритании 400 лет чекану 1 кроны ; 1951 ;  ; Cu-Ni ; AU ; 61 ; Makys ; 918 
 3163 ; 1 доллар. США. Эйщенхауэр ; 1971S ;  ; Ag ; AU ; 34 ; smax621 ; 651 
 3164 ; Двойной флорин. Великобритания ; 1889 ;  ; Ag ; VF- ; 31 ; murew ; 1527 
 3165 ; 1 шиллинг. Восточная Африка ; 1924 ;  ; Ag ; F-VF ; 56 ; джон08 ; 153 
 3166 ; 50 центов. Багамские Острова ; 1976 ;  ; Cu-Ni ; Proof ; 61 ; 100924 ; 579 
 3167 ; 25 центов. Багамские Острова ; 1976 ;  ; Cu-Ni ; Proof ; 91 ; alex1974 ; 299 
 3168 ; 5 центов. Багамские Острова ; 1976 ;  ; Cu-Ni ; Proof ; 46 ; legarder ; 46 
 3169 ; 1 цент. Багамские острова ; 1976 ;  ; Латунь ; Proof ; 25 ; alex1974 ; 96 
 3170 ; 1/2 кроны. Великобритания ; 1939 ;  ; Ag ; VF- ; 77 ; olga42 ; 251 
 3171 ; 2 шиллинга. Великобритания ; 1939 ;  ; Ag ; VF- ; 71 ; olga42 ; 310 
 3172 ; 1 шиллинг. Великобриатния ; 1939 ;  ; Ag ; VF- ; 42 ; Al0851 ; 126 
 3173 ; 6 пенсов. Великобритания ; 1939 ;  ; Ag ; VF- ; 33 ; маманя ; 73 
 3174 ; 1/2 кроны. Великобритания ; 1928 ;  ; Ag ; VF- ; 76 ; olga42 ; 306 
 3175 ; 1 флорин. Великобритания ; 1928 ;  ; Ag ; VF- ; 40 ; olga42 ; 281 
 3176 ; 6 пенсов. Австралия ; 1920 ;  ; Ag ; F-VF ; 11 ; t_v_v ; 101 
 3177 ; 1 крона. Гибралтар. В пластиковой упаковке ; 1969 ;  ; Cu-Ni ; AU ; 5 ; REC ; 155 
 3178 ; 1 доллар. США. 19-й президент США Резерфорд Бёрчард Хейз ; 2011D ;  ; Cu-Zn Ni/Cu ; AU ; 24 ; Mukoved ; 82 
 3179 ; 25 эре. Швеция ; 1914 ;  ; Ag ; F-VF ; 23 ; фрегат ; 46 
 3180 ; 25 эре. Швеция ; 1957 ;  ; Ag ; XF ; 14 ; Sterh ; 36 
