 1153 ; Медаль "Преуспевающему". Для выпускников мужских гимназий. М-24,76г. D-32мм ;  ;  ; Au ; XF+ ; 7 ; Продано в зале ; 82500 
 3255 ; 1 лира. Турция ; 1948 ;  ; Ag ; VF+ ; 45 ; aleX13 ; 465 
 3256 ; 1 дайм. США ; 1919 ;  ; Ag ; F ; 33 ; Sterh ; 86 
 3257 ; 20 центов. Китай. Провинция Гуандун ; 18(1929) ;  ; Ag ; XF+ ; 25 ; a-YAYAI ; 521 
 3258 ; 4 пфеннига. Германия, Саксен-Веймар-Эйзенах, Карл Август (1775-1828) ; 1813 ;  ; Br ; F+ ; 54 ; ИЮМов1 ; 157 
 3259 ; 1/4 крейцера. Германия, Саксен-Мейнинген, Бернхард (1803-1866) ; 1828 ;  ; Br ; F ; 21 ; koga ; 101 
 3260 ; 50 пфеннигов. Германия. Нотгельд города Франкенталь ; 1919 ;  ; St ; VF- ; 30 ; 206811 ; 250 
 3261 ; 10 пфеннигов. Германия. Нотгельд города Регенсбург ; ND (1917-1920) ;  ; Zn ; F-VF ; 29 ; Leon17 ; 143 
 3262 ; 5 пфеннигов. Германия. Нотгельд города Кассель ; 1917 ;  ; Zn ; VF- ; 26 ; asnik ; 114 
 3263 ; 5 пенни. Токен. Великобритания ; XX век ;  ; Br ; VF- ; 29 ; Pushan ; 104 
 3264 ; 1/4 рупии. Британская Индия, Георг VI ; 1945 ;  ; Ag ; AU ; 34 ; patap100 ; 201 
 3265 ; 1 анна. Британская Индия, Георг VI ; 1939 ;  ; Ni ; VF ; 7 ; vengriya ; 76 
 3266 ; 1/4 анны. Британская Индия, Георг V ; 1918 ;  ; Br ; VF ; 21 ; Юбер ; 72 
 3267 ; 1/4 анны. Британская Индия, Георг VI ; 1942 ;  ; Br ; VF+ ; 45 ; asdtyu ; 122 
 3268 ; 50 филс. Ирак, Фейсал I ; 1931 (1349 л.х.) ;  ; Ag ; F-VF ; 29 ; ВЕПРЬ ; 407 
 3269 ; 20 филс. Ирак, Фейсал I ; 1933 (1352 л.х.) ;  ; Ag ; F-VF ; 32 ; ВЕПРЬ ; 397 
 3270 ; 1 кырш. Турецкий Египет, Абдул Хамид II (1876-1909) ; 1904 (1293/29 л.х.) ;  ; Ni ; VF- ; 34 ; suhua ; 214 
 3271 ; 5/10 кырша. Турецкий Египет, Абдул Хамид II (1876-1909) ; 1905 (1293/30 л.х.) ;  ; Ni ; VF- ; 20 ; Aleks72 ; 150 
 3272 ; 2,5 эскудо. Португальская Ангола ; 1953 ;  ; Ni ; F-VF ; 15 ; suhua ; 101 
 3273 ; 50 центаво. Португальская Ангола ; 1953 ;  ; Br ; VF- ; 11 ; ADD ; 63 
 3274 ; 1 сен. Япония. 13-й год Мэйдзи ; 1880 ;  ; Br ; VF- ; 32 ; Aleks72 ; 255 
 3275 ; 1/2 сена. Япония. 18-й год Мэйдзи ; 1885 ;  ; Br ; VF ; 20 ; Aleks72 ; 267 
 3276 ; 10 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; VF- ; 11 ; asnik ; 114 
 3277 ; 10 пфеннигов. Германия. Нотгельд. Наумбург ; 1919 ;  ; Fe ; VF- ; 20 ; asnik ; 114 
 3278 ; 5 йен. Япония ; 1973 ;  ; Латунь ; XF ; 26 ; Aleks72 ; 36 
 3279 ; 5 соль. Перу. 150 лет независимости ; 1971 ;  ; Cu-Ni ; XF ; 22 ; suhua ; 161 
 3280 ; 20 злотых. Польша. Марсель Новотко ; 1976 ;  ; Cu-Ni ; XF+ ; 28 ; опричник ; 58 
 3281 ; 1 бат. Тайланд. 5-е азиатские игры в Бангкоке ; 1966 ;  ; Cu-Ni ; AU ; 66 ; triha ; 278 
 3282 ; 50 пфеннигов. Германия. Нотгельд. Бонн ; 1920 ;  ; Fe ; VF-XF ; 87 ; triha ; 155 
 3283 ; 25 пфеннигов. Германия. Нотгельд. Аахен ; 1920 ;  ; Fe ; VF-XF ; 38 ; 206811 ; 122 
 3284 ; 10 пфеннигов. Германия. Нотгельд. Аахен ; 1920 ;  ; Fe ; VF-XF ; 9 ; 100924 ; 124 
 3285 ; 10 пфеннигов. Германия. Нотгельд. Бонн ; 1920 ;  ; Fe ; XF ; 24 ; triha ; 155 
 3286 ; 10 пфеннигов. Германия. Нотгельд. Галле ; 1920 ;  ; Fe ; VF ; 25 ; asnik ; 126 
 3287 ; 10 пфеннигов. Германия. Нотгельд. Бинген на Рейне ; 1919 ;  ; Fe ; VF ; 7 ; asnik ; 102 
 3288 ; 10 пфеннигов. Германия. Нотгельд. Кобленц ; 1921 ;  ; Fe ; VF-XF ; 7 ; asnik ; 113 
 3289 ; 10 пфеннигов. Германия. Нотгельд. Тюрингер ; 1921 ;  ; Fe ; VF ; 14 ; asnik ; 114 
 3290 ; 10 пфеннигов. Германия. Нотгельд. Кобург ; 1917 ;  ; Fe ; VF ; 24 ; Leon17 ; 151 
 3291 ; 1 грош. Германия. Нотгельд. Аахен ; 1920 ;  ; Fe ; VF+ ; 10 ; viewer_conr ; 117 
 3292 ; 50 пфеннигов. Германия. Нотгельд. Ройтлинген ; 1918 ;  ; Zn ; VF ; 17 ; koga ; 102 
 3293 ; 10 пфеннигов. Германия. Нотгельд. Менген ; 1918 ;  ; Zn ; VF ; 17 ; asnik ; 166 
 3294 ; 5 пфеннигов. Германия. Нотгельд. Бонн ; 1919 ;  ; Zn ; F-VF ; 29 ; asnik ; 100 
 3295 ; 5 пфеннигов. Германия. Нотгельд. Бонн ; 1917 ;  ; Zn ; F-VF ; 22 ; asnik ; 100 
 3296 ; 5 сукре. Эквадор. Чекан Мехико. Гурт убраны напайки 1 час, 11 часов, 4 часа и 7 часов ; 1943 ;  ; Ag ; F+ ; 28 ; Ивпага ; 510 
 3197 ; 5 центов. Канада. Георг VI ; 1945 ;  ; St хромирован ; VF ; 9 ; suhua ; 57 
 3198 ; 1 доллар. США. Эйзенхауэр. 200 лет юбилею ; 1976 ;  ; Cu-Ni ; XF ; 29 ; Mike! ; 102 
 3199 ; 1 евро. Сан-Марино ; 2009 ;  ; Би/м ; AU ; 77 ; Evka ; 324 
 3200 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; XF+ ; 59 ; gandy ; 328 
 3201 ; 200 рейс.Бразилия ; 1898 ;  ; Cu-Ni ; VF- ; 11 ; suhua ; 141 
 3202 ; 15 крейцеров. Австрия ; 1807А ;  ; Cu ; F-VF ; 33 ; HARDCOROV ; 372 
 3203 ; 2 соль. Франция. Людовик XVI ; 1792W ;  ; Br ; F ; 12 ; велес ; 197 
 3204 ; 10 марок. Финляндия. Европейский чемпионат по атлетике ; 1971 ;  ; Ag ; AU ; 36 ; oldmaster ; 435 
 3205 ; 8 реалов. Мексика ; 1820 ;  ; Ag ; VF ; 74 ; aftimi ; 3285 
 3206 ; 20 марок. Польша, г. Лодзь. Гетто ; 1943 ;  ; Al ; VF ; 102 ; triha ; 3400 
 3207 ; 50 сентимо. Коста-Рика 1923 года надчеканка на 25 сентаво 1887г. Коста-Рика ; 1923 ;  ; Ag ; VF ; 26 ; ead ; 491 
 3208 ; 5 лева. Болгария ; 1885 ;  ; Ag ; VF ; 41 ; lsp25 ; 1256 
 3209 ; 5 лева. Болгария ; 1892 ;  ; Ag ; VF+ ; 37 ; кве ; 1377 
 3210 ; 5 лева. Болгария ; 1894 ;  ; Ag ; XF- ; 48 ; Searcher ; 1246 
 3211 ; 10 злотых. Польша. Деформация ; 1935 ;  ; Ag ; F ; 38 ; Mike! ; 379 
 3212 ; 1/2 доллара. США ; 1945 ;  ; Ag ; F+ ; 44 ; USS ; 359 
 3213 ; 1/2 доллара. США ; 1944 ;  ; Ag ; VF ; 41 ; CHARLI ; 357 
 3214 ; 5 лит. Литва ; 1925 ;  ; Ag ; XF- ; 42 ; lielais ; 769 
 3215 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF ; 109 ; molodes ; 263 
 3216 ; 1 франк. Франция ; 1917 ;  ; Ag ; VF ; 56 ; адвокат1 ; 260 
 3217 ; 1 крона. Тристан-да-Кунья. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; AU ; 41 ; suhua ; 245 
 3218 ; 50000 лир. Турция. ФАО ; 1999 ;  ; Al ; AU ; 61 ; Aleks72 ; 169 
 3219 ; 1/2 кори. Индия. Штат Катч ; 1928/1985 ;  ; Ag ; XF ; 35 ; бормоглот ; 203 
 3220 ; 1 кэш. Индия. Штат Траванкур ; ND(1901-10) ;  ; Cu ; VF- ; 35 ; Юбер ; 81 
 3221 ; 1 рубль. Белоруссия. Америго Веспуччи ; 2010 ;  ; Cu/Ni ; Proof-Like ; 86 ; Дядя Саша ; 463 
 3222 ; 1 рубль. Белоруссия. "Constitution" ; 2010 ;  ; Cu/Ni ; Proof-Like ; 42 ; Дядя Саша ; 463 
 3223 ; 1 рубль. Белоруссия. "Dar Pomorza " ; 2009 ;  ; Cu/Ni ; Proof-Like ; 115 ; ЕКХ ; 317 
 3224 ; 1 рубль. Белоруссия. "Седов" ; 2008 ;  ; Cu/Ni ; Proof-Like ; 124 ; Дядя Саша ; 459 
 3225 ; 1 рубль. Белоруссия. Легенда про черепаху ; 2010 ;  ; Cu/Ni ; Proof-Like ; 52 ; Selez ; 203 
 3226 ; 1 рубль. Белоруссия. 65 лет освобождения Белоруссии ; 2009 ;  ; Cu/Ni ; Proof-Like ; 49 ; pol75 ; 259 
 3227 ; 1 рубль. Белоруссия. Иудаизм ; 2010 ;  ; Cu/Ni ; Proof-Like ; 17 ; vladzory ; 255 
 3228 ; 1 рубль. Белоруссия. Птица года ; 2010 ;  ; Cu/Ni ; Proof-Like ; 40 ; vladzory ; 291 
 3229 ; 1 рубль. Белоруссия. "Cutty Sark" ; 2011 ;  ; Cu/Ni ; Proof-Like ; 60 ; Дядя Саша ; 459 
 3230 ; 1 рубль. Белоруссия. Силичи ; 2006 ;  ; Cu/Ni ; Proof-Like ; 29 ; Mmm ; 181 
 3231 ; 1 доллар. Китай. Провинция Гуандун. Дракон. С надчеканами с каждой стороны ; 1890-1909 ;  ; Ag ; VF ; 57 ; lhfrjy ; 2608 
 3232 ; 20 центов. Китай. Провинцимя Ху Пэн. Дракон. С надчеканами ; 1895-1907 ;  ; Ag ; VF ; 41 ; gandy ; 473 
 3233 ; 20 кэш. Китай. Провинция Ху Нань ; ND (1920) ;  ; Br ; F ; 57 ; gandy ; 151 
 3234 ; 10 кэш. Китай. Провинция Кирин. Дракон ; ND ;  ; Br ; VG ; 65 ; asdtyu ; 157 
 3235 ; 1 пенни. Австралия ; 1964 ;  ; Br ; VF ; 48 ; mclion1 ; 76 
 3236 ; 1/2 пенни. Великобритания ; 1964 ;  ; Br ; XF ; 12 ; mclion1 ; 30 
 3237 ; 1/2 пенни. Ирландия ; 1940 ;  ; Br ; VF ; 43 ; lielais ; 191 
 3238 ; 10 франков. Франция ; 1991 ;  ; Би/м ; VF ; 11 ; and1972 ; 27 
 3239 ; 1/4 доллара. США. Вашингтон ; 1981D ;  ; Cu-Ni ; VF ; 23 ; Сакович ; 51 
 3240 ; 10 центов. Австралия. Елизавета II ; 2006 ;  ; Cu-Ni ; XF ; 23 ; 100924 ; 48 
 3241 ; 5 песет. Испания ; 1980 ;  ; Cu-Ni ; AU ; 11 ; Aleks72 ; 19 
 3242 ; 5 пенсов. Джерси. Елизавета II ; 1991 ;  ; Cu-Ni ; XF ; 16 ; suhua ; 24 
 3243 ; 50 центов. Соломоновы острова. Елизавета II ; 2005 ;  ; Cu-Ni ; AU ; 22 ; Aleks72 ; 59 
 3244 ; 1 шиллинг. Великобритания ; 1956 ;  ; Cu-Ni ; VF- ; 24 ; t_v_v ; 23 
 3245 ; 10 пенсов. Ирландия ; 1993 ;  ; Cu-Ni ; VF ; 8 ; suhua ; 25 
 3246 ; 5 центов. Кайманские острова. Елизавета II. Креветка ; 2005 ;  ; Ni/Fe ; AU ; 10 ; suhua ; 51 
 3147 ; 2,5 эскудо. Португальский Тимор ; 1970 ;  ; Cu-Ni ; XF/AU ; 27 ; MATATOA ; 192 
 3148 ; 20 сентаво. Португальский Мозамбик ; 1961 ;  ; Br ; VF+ ; 22 ; ADD ; 146 
 3149 ; Фартинг. Великобритания. Георг V ; 1929 ;  ; Br ; XF ; 9 ; Юбер ; 100 
 3150 ; 1 рупия. Индия. Штат Банди. Виктория ; ND ;  ; Ag ; VF ; 53 ; чуток накину ; 816 
 3151 ; 2 шиллинга. Великобритания ; 1954 ;  ; Cu-Ni ; VF- ; 21 ; mclion1 ; 31 
 3152 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; VF+ ; 16 ; t_v_v ; 23 
 3153 ; 1 пенни. Великобритания ; 1947 ;  ; Br ; VF- ; 2 ; MATATOA ; 43 
 3154 ; 1/2 пенни. Великобритания ; 1914 ;  ; Br ; VF- ; 2 ; suhua ; 43 
 3155 ; 3 пенса. Великобритания ; 1954 ;  ; Ni/Латунь ; VF+ ; 8 ; demonspb ; 20 
 3156 ; 1 пенни. Ирландия ; 1965 ;  ; Br ; VF-XF ; 13 ; taigist ; 100 
 3157 ; 1 шиллинг. Великобритания ; 1935 ;  ; Ag ; XF+ ; 63 ; lielais ; 465 
 3158 ; Модель соверена. Великобритания. Герб Южного Уэльса ; ND ;  ; Al/Br ; VF- ; 45 ; чуток накину ; 219 
 3159 ; 1/12 шиллинга. Джерси. 2 тип ; 1923 ;  ; Cu ; VF ; 4 ; SergeyAnatoljevich ; 136 
 3160 ; 3 пенса. Новая Зеландия ; 1933 ;  ; Ag ; VF-XF ; 47 ; suhua ; 251 
 3161 ; 1/2 пенни. Британская колония. Южная Родезия ; 1951 ;  ; Br ; XF- ; 24 ; vc57 ; 199 
 3162 ; 1/2 пенни. Токен. Бронзовая имитация. Канада. Провинция Нижняя Канада. Георг III. Деформация ; 1820 ;  ; Br ; F+ ; 3 ; ead ; 209 
 3163 ; 1/2 пенни. Британская колония. Южная Родезия ; 1934 ;  ; Cu-Ni ; VF+ ; 25 ; Aleks72 ; 261 
 3164 ; 1 цент. Канада ; 1966 ;  ; Br ; AU ; 24 ; Ратамахатта ; 28 
 3165 ; Фартинг. Великобритания. Эдуард VIII ; 1902 ;  ; Br ; VF-XF ; 25 ; Dbrnjh ; 173 
 3166 ; Фартинг. Великобритания. Елизавета II ; 1953 ;  ; Br ; AU ; 36 ; bondars ; 69 
 3167 ; Фартинг. Великобритания. Георг VI ; 1938 ;  ; Br ; VF+ ; 5 ; MATATOA ; 47 
 3168 ; 5 центов. Новая Зеландия. Елизавета II 2 портрет ; 1983 ;  ; Cu-Ni ; Proof ; 32 ; MATATOA ; 93 
 3169 ; 5 эскудо. Португальская колония Восточный Тимор ; 1970 ;  ; Cu-Ni ; AU ; 8 ; MATATOA ; 142 
 3170 ; 10 шиллингов. Гернси. 900 лет завоевания Англии норманами. Вильям I - завоеватель ; 1966 ;  ; Cu-Ni ; AU ; 33 ; Aleks72 ; 383 
 3171 ; 1 рупия. Индия, Георг V ; 1918 ;  ; Ag ; XF+ ; 27 ; Searcher ; 816 
 3172 ; 1 дуит. Нидерландская Индия ; 1735 ;  ; Cu ; F-VF ; 80 ; MATATOA ; 263 
 3173 ; 1/2 пенни. Токен. Канада, о-в Принц Эдвард ; 1857 ;  ; Br ; F+ ; 16 ; sivid ; 257 
 3174 ; 50 сентавос. Португальская колония Ангола ; 1928 ;  ; Cu-Ni ; VF+ ; 26 ; MATATOA ; 621 
 3175 ; 50 сантимов. Французская Новая Каледония ; 1949 ;  ; Al ; AU ; 16 ; aleX13 ; 193 
 3176 ; 1/12 шиллинга. 2-й тип. Джерси, Георг V ; 1931 ;  ; Br ; XF- ; 6 ; MATATOA ; 126 
 3177 ; Фартинг. Великобритания, Георг VI ; 1937 ;  ; Br ; VF+ ; 3 ; MATATOA ; 44 
 3178 ; 1/12 шиллинга. Джерси. 2 тип ; 1926 ;  ; Cu ; VF-XF ; 17 ; MATATOA ; 151 
 3179 ; 1/2 пенни. Токен. Великобритания. ; 1799? ;  ; Cu ; VF ; 20 ; MATATOA ; 257 
 3180 ; 1/2 анны. Британская Индия ; 1877 ;  ; Br ; VF+ ; 22 ; MATATOA ; 317 
 3181 ; 5 франков. Франция. Заделано отверстие на 6 часов ; 1809 ;  ; Ag ; F+ ; 50 ; fajyz ; 1259 
 3182 ; 10 крон. Дания. На смерть Фредерика IX и вступление на престол Маргарет II ; 1972 ;  ; Ag ; AU ; 70 ; sivid ; 594 
 3183 ; 5 крон. Дания. На серебряную свадьбу ; 1960 ;  ; Ag ; AU ; 104 ; Searcher ; 852 
 3184 ; 2 кроны. Дания. 40 лет првления. Гурт ремонт 12 часов, возможно снята напайка ; 1903 ;  ; Ag ; F+ ; 75 ; fajyz ; 465 
 3185 ; 2 кроны. Дания ; 1916 ;  ; Ag ; XF- ; 71 ; Dbrnjh ; 954 
 3186 ; 5 франков. Франция ; 1824 ;  ; Ag ; F ; 53 ; SBl ; 2188 
 3187 ; 5 боливаров. Венесуэла ; 1936 ;  ; Ag ; F-VF ; 33 ; Ясер ; 1377 
 3188 ; 2 кроны. Швеция ; 1946 ;  ; Ag ; XF+ ; 37 ; suhua ; 432 
 3189 ; 2-1/2 гульдена. Нидерланды ; 1959 ;  ; Ag ; VF-XF ; 25 ; krugerrand ; 543 
 3190 ; 5 марок. ФРГ ; 1951D ;  ; Ag ; VF-XF ; 40 ; DATR ; 463 
 3191 ; 5 франков. Швейцария ; 1953B ;  ; Ag ; VF+ ; 21 ; sivid ; 453 
 3192 ; 500 лир. Италия ; 1958 ;  ; Ag ; VF+ ; 24 ; oldmaster ; 339 
 3193 ; 1 риал. Саудовская Аравия ; 1367(1947) ;  ; Ag ; VF+ ; 51 ; aleX13 ; 783 
 3194 ; 1 гульден. Нидерланды ; 1965 ;  ; Ag ; VF-XF ; 32 ; Aleks72 ; 259 
 3195 ; 2 лиры. Ватикан. Папский Штат ; 1867 ;  ; Ag ; VF ; 64 ; SBl ; 903 
 3196 ; 1 шиллинг. Великобритания. Георг II ; 1758 ;  ; Ag ; F-VF ; 69 ; k212 ; 2907 
 3097 ; 1 крона. Великобритания. Георг VI ; 1937 ;  ; Ag ; XF+/AU ; 60 ; DATR ; 1597 
 3098 ; 1 крона. Великобритания. Коронация ; 1953 ;  ; Cu-Ni ; AU ; 72 ; Сакович ; 266 
 3099 ; 1 пенни. Токен. Австралия. Мельбурн ; 1862 ;  ; Cu ; VF ; 78 ; sivid ; 2007 
 3100 ; 1 пенни. Токен. Австралия ; ND ;  ; Cu ; VF ; 38 ; ead ; 1237 
 3101 ; 1 пенни. Токен. Австралия. Тасмания. Хабарт-Таун ; ND ;  ; Cu ; VF ; 53 ; ead ; 1773 
 3102 ; 1 шиллинг. Ливония ; 1572 ;  ; Биллон ; F-VF ; 59 ; von_Schwarz ; 501 
 3103 ; 1 тикаль. Камбоджа. Большой размер ; CS1206/1847 ;  ; Ag ; VF ; 86 ; ead ; 8650 
 3104 ; 8 реалов с надчеканом MR 1889 Мозамбик на 8 реалах Мексики 1766 ;  ;  ; Ag ; VF ; 92 ; kont ; 14800 
 3105 ; 10 рейс. Португалия ; 1752 ;  ; Cu ; VF ; 52 ; 995953 ; 482 
 3106 ; 1 пенни. Токен. Англия. Бристоль ; 1811 ;  ; Cu ; VF ; 85 ; Ромбор ; 1010 
 3107 ; 1 пенни. Токен. Австралия. Мельбурн ; 1857 ;  ; Cu ; VF-XF ; 57 ; Sonic ; 1841 
 3108 ; 1 пенни. Токен. Австралия. Мельбурн ; 1862 ;  ; Cu ; VF- ; 45 ; 995953 ; 612 
 3109 ; 2 шиллинга. ЮАР. Георг VI ; 1948 ;  ; Ag ; Proof ; 32 ; shest ; 3053 
 3110 ; 2-1/2 шиллинга. ЮАР. Георг VI ; 1948 ;  ; Ag ; AU ; 38 ; shest ; 3057 
 3111 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 23 ; bondars ; 92 
 3112 ; 25 новых пенсов (спец.чекан в серебре). Великобритания. 25 лет правления ; 1977 ;  ; Ag ; Proof ; 68 ; 995953 ; 4643 
 3113 ; 1 флорин - 2 шиллинга. Австралия. Эдуард VII ; 1910 ;  ; Ag ; VF+ ; 86 ; Токен ; 4112 
 3114 ; 10 сентаво. Португальская Ангола ; 1974 ;  ; Al ; AU ; 59 ; ADD ; 549 
 3115 ; 1/2 пистоля. Англия. Монета для взвешивания французских золотых монет. Людовик XIV ;  ;  ; Br ; VF- ; 46 ; 995953 ; 578 
 3116 ; 1/2 гинеи - монета-гирька. Англия. Вильгельм III ;  ;  ; Br ; F-VF ; 50 ; jangl ; 389 
 3117 ; Крона. Англия. Карл II ; 1672 ;  ; Ag ; F-VF ; 25 ; Searcher ; 2499 
 3118 ; 50 центов. Британский Гондурас. Виктория ; 1895 ;  ; Ag ; F ; 36 ; Searcher ; 579 
 3119 ; 25 центов. Британский Гондурас. Георг V ; 1919 ;  ; Ag ; F+ ; 22 ; cochu ; 478 
 3120 ; 50 центов. Британский Гондурас. Георг V ; 1911 ;  ; Ag ; F+ ; 33 ; shest ; 745 
 3121 ; 2 скудо. Мальта (Орден). Эммануэль де Роган ; 1796 ;  ; Ag ; F ; 79 ; a-YAYAI ; 2022 
 3122 ; 1 стивер. Британская Гвиана. Колония Эссекибо и Димарейро. Токен. Георг III ; 1813 ;  ; Cu ; F-VF ; 66 ; kwacha_dm ; 701 
 3123 ; 1 стивер. Британская Гвиана. Токен. Сидящая Британия ; 1837 ;  ; Cu ; F+ ; 21 ; shest ; 1020 
 3124 ; 1/4 доллара. США. Штат Монтана ; 2007P ;  ; Cu-Ni ; XF ; 36 ; vtepjpen ; 51 
 3125 ; 1/4 доллара. США. Штат Кентуки ; 2001P ;  ; Cu-Ni ; XF ; 26 ; lielais ; 63 
 3126 ; 1/4 доллара. США. Штат. Мэрилэнд ; 2000P ;  ; Cu-Ni ; XF ; 14 ; Aleks72 ; 41 
 3127 ; 1/4 доллара. США. Штат Орегон ; 2005P ;  ; Cu-Ni ; XF ; 14 ; Aleks72 ; 41 
 3128 ; 1/4 доллара. США. Штат. Каназас ; 2005P ;  ; Cu-Ni ; XF ; 27 ; vtepjpen ; 55 
 3129 ; 1/4 доллара. США. Штат Аризона ; 2008D ;  ; Cu-Ni ; XF ; 42 ; lielais ; 61 
 3130 ; 6 пенсов. Новая Зеландия. Георг VI - император ; 1946 ;  ; Ag ; VF+ ; 22 ; ML ; 160 
 3131 ; Фартинг. Великобритания ; 1928 ;  ; Br ; XF+ ; 9 ; Юбер ; 92 
 3132 ; 25 матон. Эфиопия, Хайле Селассие I ; 1933 ;  ; Ni ; VF-XF ; 40 ; suhua ; 312 
 3133 ; 1 пенни. Южная Африка ; 1950 ;  ; Br ; VF+ ; 3 ; MATATOA ; 65 
 3134 ; 1/2 пенни. Великобритания. Георг V ; 1911 ;  ; Br ; XF+ ; 26 ; Aleks72 ; 88 
 3135 ; 5 центов. Канада. Георг V. Гурт убрана напайка 12 часов ; 1913 ;  ; Ag ; VF- ; 23 ; Aleks72 ; 90 
 3136 ; Монета Восток ; ND ;  ; Cu ; F ; 6 ; Sterh ; 34 
 3137 ; 1 доллар. Канада. Британская Колумбия. Елизавета II ; 1958 ;  ; Ag ; XF+ ; 43 ; krugerrand ; 600 
 3138 ; 1 пенни. Великобритания. Георг V ; 1911 ;  ; Br ; VF- ; 18 ; aleX13 ; 72 
 3139 ; 3 пенса. Великобритания. Елизавета II ; 1957 ;  ; Ni/Латунь ; VF- ; 10 ; Aleks72 ; 21 
 3140 ; 1 шиллинг. Австралия. Елизавета II ; 1961 ;  ; Ag ; XF ; 18 ; timujin82 ; 167 
 3141 ; 1 пенни. Великобритания, Елизавета II ; 1967 ;  ; Br ; AU ; 11 ; Aleks72 ; 51 
 3142 ; 1/4 реала. Гватемала ; 1890 ;  ; Ag ; VF-XF ; 77 ; MATATOA ; 337 
 3143 ; 2 шиллинга. Великобритания ; 1957 ;  ; Cu-Ni ; VF- ; 23 ; demonspb ; 24 
 3144 ; 1 пенни. Ямайка. Виктория ; 1889 ;  ; Cu-Ni ; VF- ; 87 ; AGM62 ; 405 
 3145 ; 1 пенни. Британская Западная Африка. Эдуард VIII не правил ; 1936 ;  ; Cu-Ni ; AU ; 47 ; MATATOA ; 334 
 3146 ; 1 пенни. Великобритания ; 1964 ;  ; Br ; VF ; 1 ; 555650 ; 32 
 3047 ; 100 лева. Болгария. Борис III ; 1934 ;  ; Ag ; VF-XF ; 43 ; MDV ; 666 
 3048 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF-XF ; 26 ; митька ; 355 
 3049 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 31 ; rem16 ; 138 
 3050 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 17 ; vitapool ; 147 
 3051 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 5 ; vitapool ; 135 
 3052 ; 1 доллар. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF ; 51 ; 206811 ; 818 
 3053 ; 1 доллар. Канада ; 1963 ;  ; Ag ; XF ; 48 ; Searcher ; 644 
 3054 ; 10 центов. Канада. Георг VI ; 1937 ;  ; Ag ; XF ; 34 ; СВл ; 502 
 3055 ; 10 центов. Канада. Георг VI ; 1940 ;  ; Ag ; XF- ; 29 ; oldmaster ; 189 
 3056 ; 10 центов. Канада. Георг VI ; 1943 ;  ; Ag ; VF-XF ; 41 ; suhua ; 236 
 3057 ; 10 центов. Канада. Георг VI ; 1950 ;  ; Ag ; VF-XF ; 21 ; suhua ; 211 
 3058 ; 10 центов. Канада. Георг VI ; 1952 ;  ; Ag ; XF ; 13 ; suhua ; 169 
 3059 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; VF-XF ; 11 ; suhua ; 306 
 3060 ; 20 крейцеров. Австрия ; 1829 ;  ; Ag ; VF ; 28 ; vitapool ; 395 
 3061 ; 2 1/2 гульдена. Нидерланды ; 1966 ;  ; Ag ; XF ; 88 ; Ясер ; 434 
 3062 ; 1 крона. Швеция. Густав V ; 1949 ;  ; Ag ; AU ; 38 ; Aleks72 ; 368 
 3063 ; 500 лир. Сан Марино ; 1973 ;  ; Ag ; AU ; 98 ; lielais ; 532 
 3064 ; 500 лир. Сан Марино ; 1974 ;  ; Ag ; AU ; 21 ; lielais ; 551 
 3065 ; 500 лир. Сан Марино ; 1975 ;  ; Ag ; AU ; 17 ; lielais ; 522 
 3066 ; 500 лир. Сан Марино ; 1976 ;  ; Ag ; AU ; 29 ; lielais ; 639 
 3067 ; 500 лир. Ватикан ; 1973 ;  ; Ag ; AU ; 26 ; lielais ; 638 
 3068 ; 500 лир. Ватикан ; 1976 ;  ; Ag ; AU ; 58 ; lielais ; 650 
 3069 ; 500 лир. Ватикан ; 1975 ;  ; Ag ; AU ; 35 ; CHARLI ; 1291 
 3070 ; Флорин-2 шиллинга. Ирландия ; 1928 ;  ; Ag ; VF ; 51 ; lielais ; 750 
 3071 ; 1 песо. Мексика ; 1957 ;  ; Ag ; AU ; 28 ; Aleks72 ; 229 
 3072 ; 1 песо. Мексика ; 1967 ;  ; Ag ; XF ; 19 ; patap100 ; 196 
 3073 ; 50 долларов. Острова Кука. 500 лет открытия Америки ; 1990 ;  ; Ag ; Proof ; 37 ; Ромбор ; 1009 
 3074 ; 25 шиллингов. Австрия.100 лет со дня рождения Макса Рейнхада ; 1973 ;  ; Ag ; AU ; 35 ; oldmaster ; 348 
 3075 ; 5 эскудо. Португальский Сан Том и Принсипе ; 1962 ;  ; Ag ; VF-XF ; 19 ; ead ; 270 
