 3247 ; Бона иностранная ;  ;  ;  ;  ; 28 ; latuza48186 ; 67 
 2478 ; 1 унция США. Дерижабль "Граф Цеппелин" ;  ;  ; Ag ; Proof ; 70 ; сытый ; 1590 
 2479 ; Набор монет Панамы: 1 бальбоа,1/2 бальбоа, 1/4 бальбоа, 1/10 бальбоа, 5 сентисимосов,1 сентесимо (6шт). Упаковка ; 1972 ;  ; Ag, Cu-NI, ; Unc ; 28 ; smel ; 604 
 2480 ; Набор монет Австралии: 1 доллар, 1,2,5,10,20,50 центов (7шт). Упаковка ; 1984 ;  ; Cu/Ni,Ж/м ; AU ; 37 ; Bigmouse ; 310 
 2481 ; Набор монет США (5шт): 1/2 доллара, 1/4 доллара, 1дайм, 5центов, 1цент. Упаковка ; 1964 ;  ; Ag, Cu ; Unc ; 98 ; rbcrf ; 399 
 2482 ; Набор монет Канады (7шт): Доллар, 50центов, 25центов, 10центов, 5центов, 1цент. В пластиковой капсуле ; 1982 ;  ; Ag, Ni, Br ; Proof ; 59 ; Bigmouse ; 1106 
 2483 ; Набор монет Ватикана (4шт): 10,20,50,100 лир ; 1971 ;  ; St,Al,Al/B ; AU ; 59 ; marsik ; 253 
 2484 ; Пробный набор евро (9шт). Исландия. В подарочной упаковке с сертификатом ; 2004 ;  ;  ; Unc ; 73 ; alien ; 2040 
 2485 ; Набор монет Израиля (6шт): 1лира, 1/2лиры, 25агора, 10агора, 5агора, 1агора. В пластиковой капсуле ; 1973 ;  ; Cu/Ni, Al ; AU ; 44 ; Bigmouse ; 209 
 2486 ; Набор монет Израиля (6шт): 1лира, 1/2лиры, 25агора, 10агора, 5агора, 1агора. В пластиковой капсуле ; 1974 ;  ; Cu/Ni, Al ; AU ; 43 ; vc57 ; 192 
 2487 ; Набор монет Израиля: 1,5,10,25 агор, 1/2 лиры, 1 лира. Упаковка ; 20 век ;  ; Cu/Ni,Al,A ; AU ; 11 ; koga ; 102 
 2488 ; Лот монет Кипра: 20,10,5,2,1 центов (5шт) ; 1983-1994 ;  ; Ni/Латунь ; AU ; 36 ; Bigmouse ; 214 
 2489 ; Лот монет Чехии и Чехословакии : 50 хеллеров, 2,10,20 крон (5шт) ; 1979-1997 ;  ; Cu/St,Ni/S ; VF+/XF+ ; 19 ; romchik_80 ; 62 
 2490 ; Лот монет Нидерландов: 5,25 центов, 5, 2-1/2 гульденов (5шт) ; 1965-1996 ;  ; Br,Cu/Ni ; VF+/XF+ ; 23 ; Bigmouse ; 87 
 2491 ; Лот монет Великобритании: 5,10,20 пенсов (4шт) ; 1974-1998 ;  ; Cu/Ni ; VF+/XF- ; 12 ; Xe72 ; 68 
 2492 ; Лот монет Великобритании: 1/2,1,2 пенса (4шт) ; 1977-1982 ;  ; Br ; VF+/AU ; 54 ; k212 ; 134 
 2493 ; Лот монет Испании: 25 песет (5шт) ; 1990-1998 ;  ; Ж/м ; VF-XF ; 30 ; vc57 ; 405 
 2494 ; Лот монет Греции: 50 лепт,1,2,10 драхм (7шт) ; 1954-1990 ;  ; Cu/Ni,Ж/м ; VF+/XF ; 46 ; romchik_80 ; 92 
 2495 ; Лот монет Испании: 1,50,100 песет (5шт) ; 1966-1996 ;  ; Cu/Ni,Al,Ж ; VF+/XF+ ; 43 ; Bigmouse ; 432 
 2496 ; Лот монет Латвии: 1,2,5,10,20,50 сантимов, 1 лат (8шт) ; 1992-2003 ;  ; Cu/Ni,Ж/м ; VF+/XF+ ; 96 ; av ; 266 
 2497 ; Лот монет Тибета, Болгарии, Италии: 2,10 чентезимо,2 лева, 7-1/2 скар, 1 шо (5шт) ; 19,20 век ;  ; Cu/Ni,Cu ; F+/VF- ; 83 ; HARDCOROV ; 459 
 2498 ; Лот монет Тибета: 5 шо,1 шо (2шт) ; 20 век ;  ; Cu ; VF- ; 30 ; hjk1974 ; 465 
 2499 ; Лот монет Восточной Африки: 50 центов, 1 шиллинг (2шт) ; 1921,1924 ;  ; Ag ; F+ ; 84 ; grimbo ; 402 
 2400 ; 1 пенни. Новая Гвинея ; 1936 ;  ; Cu ; XF+ ; 77 ; hjk1974 ; 476 
 2401 ; 3 пенса. Южная Родезия ; 1951 ;  ; Ag ; VF+ ; 25 ; vitapool ; 150 
 2402 ; 1/10 гульдена. Кюрасао ; 1947 ;  ; Ag ; VF ; 27 ; lsp25 ; 129 
 2403 ; 20 эскудо. Португалия. Открытие Салазарского моста ; 1966 ;  ; Ag ; AU ; 78 ; priorat13 ; 510 
 2404 ; 3 рейса. Португалия ; 1714 ;  ; Cu ; F ; 39 ; Alexdav ; 226 
 2405 ; 8 риалов. Мексика ; 1897 ;  ; Ag ; VF-XF ; 37 ; лиса ; 1045 
 2406 ; 50 сентаво. Мексика ; 1920 ;  ; Ag ; VF+ ; 16 ; SadKo ; 155 
 2407 ; 500 лир. Италия ; 1958R ;  ; Ag ; AU ; 47 ; rizovtpl ; 264 
 2408 ; 500 лир. Италия ; 1961 ;  ; Ag ; VF ; 21 ; soouo ; 204 
 2409 ; 500 лир. Ватикан ; 1974 ;  ; Ag ; AU ; 19 ; obob999 ; 267 
 2410 ; 5 лир. Италия ; 1927R ;  ; Ag ; VF-XF ; 36 ; vitapool ; 327 
 2411 ; 10 чентезимо. Италия ; 1867 ;  ; Cu ; F-VF ; 7 ; selezsi ; 46 
 2412 ; 1 пенни. Ямайка ; 1937 ;  ; Латунь ; VF-XF ; 40 ; ez ; 306 
 2413 ; 1 пенни. Ямайка ; 1938 ;  ; Латунь ; VF ; 40 ; PAVL-S40 ; 105 
 2414 ; 1 пенни. Ямайка ; 1967 ;  ; Латунь ; AU ; 25 ; ez ; 153 
 2415 ; 10 сентаво. Куба. 50 лет Республике ; 1952 ;  ; Ag ; XF- ; 65 ; jj ; 102 
 2416 ; 500 лир. Сан-Марино ; 1973 ;  ; Ag ; AU ; 10 ; soouo ; 255 
 2417 ; 25 центов. Цейлон ; 1899 ;  ; Ag ; F-VF ; 49 ; ez ; 102 
 2418 ; 5 центов. Гон-Конг ; 1893 ;  ; Ag ; VF-XF ; 15 ; lsp25 ; 200 
 2419 ; 5 центов. Гон-Конг ; 1904 ;  ; Ag ; VF+ ; 19 ; KKK ; 166 
 2420 ; 1 шиллинг. Восточная Африка ; 1949 ;  ; Cu/Ni ; VF+ ; 4 ; SadKo ; 90 
 2421 ; 50 центов. Восточная Африка ; 1948 ;  ; Cu/Ni ; VF+ ; 20 ; SadKo ; 77 
 2422 ; 10 центов. Восточная Африка ; 1945 ;  ; Br ; VF- ; 40 ; latuza48186 ; 50 
 2423 ; 1 пенни. Южная Африка ; 1957 ;  ; Br ; XF- ; 12 ; ez ; 106 
 2424 ; 1/4 анны. Ост Индийская компания ; 1835 ;  ; Cu ; VF- ; 13 ; hjk1974 ; 359 
 2425 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 33 ; soouo ; 202 
 2426 ; 1 дирхам. Марокко ; 1960 ;  ; Ag ; VF-XF ; 11 ; soouo ; 162 
 2427 ; Таньгка. Тибет ; 19 век ;  ; Ag ; VF+ ; 49 ; HARDCOROV ; 621 
 2428 ; 1 лира. Турция. Революция 27 мая ; 1960 ;  ; Ag ; VF+ ; 38 ; велко ; 316 
 2429 ; 5 филсов. Ирак ; 1975 ;  ; St ; AU ; 27 ; AlexWhite ; 89 
 2430 ; 5 филсов. Ирак. ФАО (Организация ООН по вопросам продовольствия и сельского хозяйства) ; 1975 ;  ; St ; AU ; 17 ; error1984 ; 100 
 2431 ; 100 йен. Япония. Олимпийские игры 1964. слоение 12 часов ; 1964 ;  ; Ag ; AU ; 29 ; vitapool ; 156 
 2432 ; 100 йен. Япония. Олимпийские игры 1964 ; 1964 ;  ; Ag ; AU ; 59 ; grimbo ; 510 
 2433 ; 100 йен. Япония ; 20 век ;  ; Ag ; XF+ ; 23 ; rbcrf ; 151 
 2434 ; 100 йен. Япония ; 20 век ;  ; Ag ; XF+ ; 24 ; ВЯЗ ; 164 
 2435 ; 5 сен. Япония ; 20 век ;  ; Cu/Ni ; VF ; 14 ; vc57 ; 51 
 2436 ; Монета медная. Китай ; XX в ;  ; Cu ; VF- ; 15 ; Tilla ; 77 
 2437 ; Монета медная. Китай ;  ;  ; Cu ; F-VF ; 25 ; Sterh ; 51 
 2438 ; 1/4 анны. Индия. Штат Сайлана ; 1912 ;  ; Cu ; VF ; 51 ; Tilla ; 1178 
 2439 ; 1000 рупий. Шри-Ланка. 50 лет независимости. В подарочной коробке с сертификатом ; 1998 ;  ; Ag ; Proof ; 45 ; ez ; 922 
 2440 ; 1000 рупий. Шри-Ланка. Чемпионат по крикету 1996г. В подарочной коробке с сертификатом ; 1999 ;  ; Ag ; Proof ; 78 ; ez ; 1530 
 2441 ; 1 корона. Венгрия ; 1893 ;  ; Ag ; VF- ; 18 ; kaa123 ; 91 
 2442 ; 2 пенго. Венгрия ; 1941 ;  ; Al ; VF- ; 16 ; vc57 ; 25 
 2443 ; 1 динар. Сербия ; 1915 ;  ; Ag ; AU ; 65 ; Бендер ; 400 
 2444 ; 5 франков. Швейцария ; 1999В ;  ; Cu/Ni ; AU ; 40 ; Bigmouse ; 92 
 2445 ; 1/2 франка. Швейцария ; 1944 ;  ; Ag ; VF+ ; 36 ; vc57 ; 63 
 2446 ; 50 лева. Болгария ; 1989 ;  ; Cu/Ni ; AU ; 15 ; велко ; 306 
 2447 ; 20 лева. Болгария. Второй совместный полет в космос СССР-НРБ ; 1988 ;  ; Ag ; Proof ; 39 ; sandy ; 554 
 2448 ; 20 лева. Болгария ; 1989 ;  ; Cu/Ni ; AU ; 15 ; rizovtpl ; 408 
 2449 ; 5 лева. Болгария. Георги Сава Раковски ; 1971 ;  ; Ag ; Proof ; 51 ; велко ; 567 
 2350 ; 1 доллар. США ; 1923S ;  ; Ag ; AU ; 23 ; да ; 645 
 2351 ; 1 доллар. США ; 1926S ;  ; Ag ; VF+ ; 12 ; Гурий ; 526 
 2352 ; 1/4 доллара. США. Вашингтон ; 1964 ;  ; Ag ; VF+ ; 45 ; Sky2 ; 107 
 2353 ; 1 дайм. США. Рузвельт ; 1956 ;  ; Ag ; VF ; 43 ; BOOL19 ; 95 
 2354 ; 1 дайм. США. Рузвельт ; 1963 ;  ; Ag ; VF+ ; 34 ; Sky2 ; 91 
 2355 ; 20 долларов. Канада ; 1987 ;  ; Ag ; Proof ; 19 ; bklad ; 722 
 2356 ; 25 центов. Канада. Сентябрь ; 1999 ;  ; Ni ; VF+ ; 11 ; romchik_80 ; 47 
 2357 ; 10 центов. Канада ; 1950 ;  ; Ag ; VF ; 8 ; BOOL19 ; 47 
 2358 ; 1 цент. Канада ; 1917 ;  ; Br ; VF+ ; 25 ; tikhonov78 ; 89 
 2359 ; 50 центов. Ньюфаундленд ; 1918 ;  ; Ag ; VF ; 44 ; ez ; 467 
 2360 ; 50 центов. Стрейтс-Сеттльмент ; 1920 ;  ; Ag ; VF-XF ; 44 ; ez ; 331 
 2361 ; 10 центов. Стрейтс-Сеттльмент ; 1927 ;  ; Ag ; XF ; 11 ; vitapool ; 154 
 2362 ; 1/4 цента. Стрейтс-Сетлментс ; 1901 ;  ; Cu ; VF- ; 13 ; ez ; 479 
 2363 ; 10 центов. Малайя ; 1941 ;  ; Ag ; AU ; 7 ; ez ; 110 
 2364 ; 5 долларов. Острова Кука. Мировой кубок по футболу ; 1991 ;  ; Ag ; AU ; 42 ; hjk1974 ; 602 
 2365 ; 20 сентаво. Филиппины ; 1945 ;  ; Ag ; XF+ ; 31 ; vc57 ; 204 
 2366 ; 50 пенсов. Фолклендские о-ва. Открытие аэропорта - Маунт Плезнт ; 1985 ;  ; Cu/Ni ; AU ; 43 ; ez ; 152 
 2367 ; 1 боливиано. Боливия. В капсуле PCGS ; 1872 ;  ; Ag ; MS64 ; 44 ; лиса ; 1836 
 2368 ; 1 крона. Гренландия ; 1926 ;  ; Al/Br ; VF+ ; 34 ; HARDCOROV ; 561 
 2369 ; 1 крона. Гренландия ; 1964 ;  ; Cu/Ni ; VF-XF ; 32 ; HARDCOROV ; 554 
 2370 ; 50 эре. Гренландия ; 1926 ;  ; Al/Br ; VF+ ; 13 ; alex1974 ; 729 
 2371 ; 25 эре. Гренландия ; 1926 ;  ; Cu/Ni ; VF-XF ; 25 ; alex1974 ; 609 
 2372 ; 2 кроны. Дания. 25 лет правления ; 1888 ;  ; Ag ; XF+ ; 62 ; mcseam ; 1200 
 2373 ; 2 кроны. Дания. 40 лет правления ; 1903 ;  ; Ag ; AU ; 54 ; udaw ; 1249 
 2374 ; 50 сантимов. Франция ; 1916 ;  ; Ag ; VF+ ; 48 ; nikolay ; 90 
 2375 ; 10 сентимов. Франция ; 1978 ;  ; Al/Br ; XF- ; 9 ; BOOL19 ; 36 
 2376 ; 5 сантимов. Франция ; 1916 ;  ; Br ; F-VF ; 8 ; koga ; 41 
 2377 ; 5 сентимов. Франция ; 1986 ;  ; Al/Br ; XF ; 5 ; BOOL19 ; 34 
 2378 ; 1 пиастр. Французский Индо-Китай ; 1887 ;  ; Ag ; VF ; 57 ; лиса ; 1228 
 2379 ; Фартинг. Ирландия ; 1806 ;  ; Cu ; VF- ; 39 ; RAPAN ; 579 
 2380 ; 1 пенни. Ирландия ; 1928 ;  ; Br ; VF-XF ; 23 ; ez ; 114 
 2381 ; 1 флорин. Австрия ; 1886 ;  ; Ag ; VF-XF ; 14 ; bklad ; 365 
 2382 ; 1 крона. Австрия ; 1895 ;  ; Ag ; VF ; 17 ; soouo ; 70 
 2383 ; 1 крона. Австрия ; 1915 ;  ; Ag ; VF-XF ; 54 ; bklad ; 126 
 2384 ; 5 евро. Австрия. 10 лет членству в Европейском союзе ; 2005 ;  ; Ag ; AU ; 52 ; soouo ; 363 
 2385 ; 3 крейцера. Австрия ; 1800 ;  ; Cu ; F+ ; 35 ; VR62 ; 74 
 2386 ; 1 крейцер. Австрия ; 1851 ;  ; Br ; VF-XF ; 36 ; Neo ; 138 
 2387 ; 1 гульден. Нидерланды ; 1897 ;  ; Ag ; VF- ; 57 ; mcseam ; 467 
 2388 ; 10 центов. Нидерланды ; 1939 ;  ; Ag ; VF-XF ; 37 ; natallli ; 49 
 2389 ; 1/10 гульдена. Нидерландские Антиллы ; 1962 ;  ; Ag ; VF- ; 19 ; vitapool ; 119 
 2390 ; 50 центов. Австралия ; 1966 ;  ; Ag ; AU ; 23 ; niger ; 500 
 2391 ; 50 центов. Австралия. Год обезьяны ; 2004 ;  ; Ag ; proof ; 19 ; niger ; 500 
 2392 ; 6 пенсов. Австралия ; 1958 ;  ; Ag ; XF- ; 29 ; Viktor58 ; 99 
 2393 ; 3 пенса. Австралия ; 1918 ;  ; Ag ; F-VF ; 12 ; vitapool ; 136 
 2394 ; 3 пенса. Австралия ; 1948 ;  ; Ag ; AU ; 33 ; seaman ; 150 
 2395 ; 1 пенни. Австралия ; 1928 ;  ; Br ; VF+ ; 51 ; SadKo ; 111 
 2396 ; 1 флорин. Новая Зеландия. Птица киви ; 1933 ;  ; Ag ; VF ; 9 ; tv ; 245 
 2397 ; 1 шиллинг. Новая Зеландия ; 1933 ;  ; Ag ; VF- ; 8 ; vitapool ; 101 
 2398 ; 1 шиллинг. Новая Зеландия. Война Маори ; 1935 ;  ; Ag ; VF ; 35 ; SadKo ; 189 
 2399 ; 1 шиллинг. Новая Гвинея ; 1938 ;  ; Ag ; VF-XF ; 14 ; vitapool ; 183 
 2300 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 24 ; soouo ; 300 
 2301 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 24 ; ez ; 255 
 2302 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 55 ; soouo ; 227 
 2303 ; 5 марок. ФРГ. 100 лет со дня рождения Альберта Швейцера ; 1975G ;  ; Ag ; AU ; 98 ; 1tomas ; 291 
 2304 ; 5 марок. ФРГ. 200 лет со дня рождения Карла Фридриха Гауса ; 1977J ;  ; Ag ; AU ; 49 ; sandy ; 357 
 2305 ; 20 пфеннигов. ГДР ; 1969 ;  ; Латунь ; VF+ ; 15 ; BOOL19 ; 28 
 2306 ; 10 пфеннигов. ФРГ ; 1950F ;  ; Br ; VF+ ; 9 ; BOOL19 ; 25 
 2307 ; 10 пфеннигов. ФРГ ; 1950G ;  ; Br ; VF+ ; 5 ; BOOL19 ; 14 
 2308 ; 10 пфеннигов. ФРГ ; 1972D ;  ; Br ; VF+ ; 5 ; BOOL19 ; 14 
 2309 ; 10 пфеннигов. ФРГ ; 1978J ;  ; Br ; VF+ ; 5 ; BOOL19 ; 14 
 2310 ; 10 пфеннигов. ФРГ ; 1979D ;  ; Br ; XF+ ; 5 ; BOOL19 ; 14 
 2311 ; 10 пфеннигов. ФРГ ; 1980J ;  ; Br ; VF-XF ; 5 ; BOOL19 ; 14 
 2312 ; 10 пфеннигов. ФРГ ; 1982D ;  ; Br ; VF-XF ; 3 ; BOOL19 ; 13 
 2313 ; 10 пфеннигов. ФРГ ; 1991G ;  ; Br ; XF+ ; 7 ; BOOL19 ; 23 
 2314 ; 5 пфеннигов. ФРГ ; 1950J ;  ; Br ; VF+ ; 5 ; BOOL19 ; 14 
 2315 ; 5 пфеннигов. ФРГ ; 1950F ;  ; Br ; VF+ ; 9 ; alex995 ; 13 
 2316 ; 5 пфеннигов. ФРГ ; 1972D ;  ; Br ; VF- ; 3 ; alex995 ; 4 
 2317 ; 5 пфеннигов. ФРГ ; 1976G ;  ; Br ; VF-XF ; 5 ; solder13 ; 14 
 2318 ; Жетон иностранный. Следы перечекана с монеты ;  ;  ; Cu ; VF- ; 16 ; bklad ; 73 
 2319 ; 1 пфенниг. ГДР ; 1950А ;  ; Al ; XF ; 8 ; spbra ; 11 
 2320 ; 1 пфенниг. ГДР ; 1950Е ;  ; Al ; VF-XF ; 17 ; ez ; 161 
 2321 ; 1 пфенниг. ГДР ; 1952А ;  ; Al ; AU ; 5 ; oks ; 5 
 2322 ; 1 пфенниг. ГДР ; 1953А ;  ; Al ; AU ; 7 ; ez ; 11 
 2323 ; 1 пфенниг. ГДР ; 1968А ;  ; Al ; XF+ ; 3 ; alex995 ; 3 
 2324 ; 1 пфенниг. ГДР ; 1984А ;  ; Al ; AU ; 5 ; ВМШ ; 9 
 2325 ; 1 пфенниг. ГДР ; 1985А ;  ; Al ; AU ; 5 ; ВМШ ; 9 
 2326 ; 1 торговый доллар. Великобритания ; 1901 ;  ; Ag ; VF+ ; 43 ; hjk1974 ; 2091 
 2327 ; 1 торговый доллар. Великобритания ; 1930 ;  ; Ag ; XF+ ; 37 ; да ; 1530 
 2328 ; 1 доллар. Канада. Шарлоттаун ; 1964 ;  ; Ag ; XF+ ; 29 ; vc57 ; 435 
 2329 ; 1 флорин. Великобритания ; 1913 ;  ; Ag ; XF+ ; 37 ; hjk1974 ; 1326 
 2330 ; 1/2 кроны. Великобритания. Георг VI ; 1943 ;  ; Ag ; XF- ; 60 ; SadKo ; 209 
 2331 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; XF ; 18 ; soouo ; 255 
 2332 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; XF ; 56 ; soouo ; 318 
 2333 ; 3 пенса. Великобритания ; 1894 ;  ; Ag ; VF- ; 30 ; ez ; 87 
 2334 ; 3 пенса. Великобритания ; 1913 ;  ; Ag ; XF+ ; 45 ; k212 ; 155 
 2335 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; VF ; 45 ; hjk1974 ; 131 
 2336 ; 3 пенса. Великобритания. Георг V ; 1918 ;  ; Ag ; VF+ ; 56 ; whitedeath ; 102 
 2337 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF-XF ; 42 ; SadKo ; 119 
 2338 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; XF- ; 36 ; tikhonov78 ; 95 
 2339 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; VF+ ; 45 ; lee ; 77 
 2340 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF-XF ; 42 ; BOOL19 ; 101 
 2341 ; 3 пенса. Великобритания ; 1937 ;  ; Ag ; XF+ ; 39 ; SadKo ; 113 
 2342 ; 1 пенни. Великобритания. Эдвард VII ; 1909 ;  ; Br ; VF ; 15 ; nikolay ; 51 
 2343 ; 1/2 рупии. Британская Индия ; 1944 ;  ; Ag ; XF+ ; 33 ; Dozen ; 408 
 2344 ; 1/4 рупии. Британская Индия ; 1945 ;  ; Ag ; XF+ ; 11 ; vc57 ; 238 
 2345 ; 2 анны. Британская Индия ; 1929 ;  ; Cu/Ni ; VF- ; 39 ; Dozen ; 153 
 2346 ; 1/4 анны. Британская Индия ; 1905 ;  ; Br ; VF+ ; 34 ; Dozen ; 204 
 2347 ; 1/10 пенни. Британская Западная Африка. Нигерия ; 1911 ;  ; Cu/Ni ; XF ; 30 ; ez ; 367 
 2348 ; 1 цент. Британское Северное Борнео ; 1885Н ;  ; Br ; VF+ ; 33 ; hjk1974 ; 508 
 2349 ; 1 цент. Британское Северное Борнео ; 1889Н ;  ; Br ; VF ; 21 ; hjk1974 ; 331 
 2250 ; 1/12 талера. Ганновер ; 1823LB ;  ; Ag ; AU ; 51 ; wagner ; 4065 
 2251 ; 5 марок. Саксония. Отверстие 12 часов ; 1876E ;  ; Ag ; VF ; 40 ; vika442 ; 788 
 2252 ; 5 марок. Германия. 450 лет со дня рождения Мартина Лютера ; 1933A ;  ; Ag ; XF ; 101 ; wagner ; 4034 
 2253 ; 5 марок. Германия. Церковь в Потсдаме ; 1935А ;  ; Ag ; VF ; 20 ; soouo ; 357 
 2254 ; 3 марки. Бавария ; 1910D ;  ; Ag ; AU ; 40 ; torus72 ; 1689 
 2255 ; 3 марки. Бавария. На 90-летие принца-регента Люитпольда ; 1911D ;  ; Ag ; AU ; 30 ; torus72 ; 1353 
 2256 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911F ;  ; Ag ; AU ; 55 ; wagner ; 1088 
 2257 ; 3 марки. Гамбург ; 1911J ;  ; Ag ; VF+ ; 26 ; vc57 ; 777 
 2258 ; 3 марки. Пруссия ; 1912A ;  ; Ag ; AU ; 25 ; wagner ; 918 
 2259 ; 3 марки. Гамбург ; 1912J ;  ; Ag ; Proof ; 51 ; МЮВ ; 3176 
 2260 ; 3 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; AU ; 7 ; джон007 ; 708 
 2261 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 30 ; lsp25 ; 1031 
 2262 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 50 ; lsp25 ; 975 
 2263 ; 3 марки. Бавария ; 1914D ;  ; Ag ; XF ; 23 ; lynx ; 1926 
 2264 ; 3 марки. Веймар ; 1922А ;  ; Al ; VF+ ; 25 ; soouo ; 108 
 2265 ; 3 марки. Веймар. 1000-летие Рейнланда ; 1925D ;  ; Ag ; XF+ ; 34 ; luda ; 1032 
 2266 ; 3 марки. Веймар. 1000-летие Рейнланда ; 1925E ;  ; Ag ; XF+ ; 22 ; ZOLTAN333 ; 2142 
 2267 ; 3 марки. Веймар. 700 лет независимости Любека ; 1926A ;  ; Ag ; AU ; 84 ; wagner ; 5049 
 2268 ; 3 марки. Веймар. Объединение Вальдека и Пруссии ; 1929 ;  ; Ag ; AU ; 36 ; wagner ; 5814 
 2269 ; 3 марки. Веймар. 10 лет Веймарской конституции ; 1929A ;  ; Ag ; AU ; 28 ; igor_r65 ; 1049 
 2270 ; 3 марки. Веймар. 10 лет Веймарской конституции ; 1929D ;  ; Ag ; XF ; 10 ; cochu ; 833 
 2271 ; 3 марки. Веймар. 1000-летие Мейсена ; 1929E ;  ; Ag ; AU ; 60 ; Бендер ; 1800 
 2272 ; 3 марки. Веймар. 1000 лет г. Мейсен ; 1929E ;  ; Ag ; XF+ ; 112 ; wagner ; 1517 
 2273 ; 3 марки. Веймар. 100 лет со дня рождения Гете ; 1932A ;  ; Ag ; AU ; 31 ; RAPAN ; 3434 
 2274 ; 2 марки. Бавария ; 1876D ;  ; Ag ; VF ; 17 ; Проф ; 624 
 2275 ; 2 марки. Пруссия ; 1888A ;  ; Ag ; XF+/AU ; 29 ; wagner ; 2550 
 2276 ; 2 марки. Пруссиия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 32 ; Бендер ; 700 
 2277 ; 2 марки. Бавария ; 1903D ;  ; Ag ; VF+ ; 14 ; lynx ; 616 
 2278 ; 2 марки. Шварцбург-Зондерхаузен. 25 лет правления ; 1905 ;  ; Ag ; AU ; 41 ; vadimn ; 4600 
 2279 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 42 ; wagner ; 1167 
 2280 ; 2 марки. Бавария. На 90-летие принца-регента Люитпольда ; 1911D ;  ; Ag ; AU ; 44 ; mcseam ; 1381 
 2281 ; 2 марки. Бавария. 90лет принцу-регенту Луитпольду ; 1911D ;  ; Ag ; AU ; 42 ; bier ; 908 
 2282 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 44 ; serg2000 ; 1046 
 2283 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 35 ; serg2000 ; 1134 
 2284 ; 2 марки. Бавария ; 1914D ;  ; Ag ; AU ; 34 ; wagner ; 4131 
 2285 ; 2 марки. Германия. 450 лет со дня рождения Мартина Лютера ; 1933D ;  ; Ag ; XF+ ; 84 ; джокер ; 1034 
 2286 ; 2 марки. Германия. 175 лет со дня рождения Шиллера ; 1934 ;  ; Ag ; XF- ; 116 ; mcseam ; 1986 
 2287 ; 1/2 марки. Германия ; 1915А ;  ; Ag ; AU ; 41 ; ICEK ; 714 
 2288 ; 50 пфеннигов. Веймар ; 1921F ;  ; Al ; XF+ ; 21 ; latuza48186 ; 75 
 2289 ; 10 пфеннигов. Германия ; 1912А ;  ; Cu/Ni ; VF+ ; 24 ; BOOL19 ; 36 
 2290 ; 5 пфеннигов. Германия ; 1946 ;  ; Zn ; VF+ ; 33 ; Xe72 ; 40 
 2291 ; 3 пфеннига. Пруссия ; 1868 ;  ; Br ; F-VF ; 19 ; tati1545 ; 123 
 2292 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; AU ; 50 ; HARDCOROV ; 216 
 2293 ; 20 марок. ГДР. Фридрих Шиллер ; 1972 ;  ; Cu/Ni ; AU ; 51 ; lsp25 ; 131 
 2294 ; 5 марок. ФРГ. 150 лет со дня рождения Макса Петтенкофера ; 1968D ;  ; Ag ; AU ; 50 ; ez ; 285 
 2295 ; 5 марок. ФРГ. 150 лет Немецкому Археологическому институту ; 1968J ;  ; Ag ; AU ; 36 ; soouo ; 300 
 2296 ; 5 марок. ФРГ. 500 лет со дня рождения Альбрехта Дюрера ; 1971D ;  ; Ag ; AU ; 26 ; sandy ; 313 
 2297 ; 5 марок. ФРГ. 500 лет со дня рождения Коперника ; 1973J ;  ; Ag ; AU ; 32 ; AlexWhite ; 357 
 2298 ; 5 марок. ФРГ. 250 лет со дня рождения Иммануила Канта ; 1974D ;  ; Ag ; AU ; 39 ; soouo ; 325 
 2299 ; 5 марок. ФРГ. Год защиты Европейских памятников ; 1975F ;  ; Ag ; AU ; 36 ; soouo ; 350 
 1696 ; 1 копейка ; 1939 ;  ; Br ; XF+ ; 46 ; vladimir232 ; 153 
 2201 ; Дукат-клипа. Нюрнберг. М-3,30гр ; 1700-е гг ;  ; Au ; XF- ; 76 ; Sky2 ; 7234 
