 3186 ; Бона иностранная ;  ;  ;  ;  ; 45 ; vladimirov ; 48 
 2648 ; 1 марка. Финляндия ; 1950 ;  ; Fe ; AU ; 22 ; mag ; 72 
 2649 ; 1 марка. Финляндия ; 1951 ;  ; Fe ; AU ; 14 ; kartem05 ; 63 
 2650 ; 1 марка. Финляндия ; 1951 ;  ; Cu ; AU ; 8 ; kartem05 ; 53 
 2651 ; 1 марка. Финляндия ; 1952 ;  ; Fe ; XF ; 23 ; solder13 ; 27 
 2652 ; 1 марка. Финляндия ; 1953 ;  ; Fe ; AU ; 47 ; СВл ; 75 
 2653 ; 1 марка. Финляндия ; 1954 ;  ; Ni/Fe ; AU ; 9 ; mag ; 55 
 2654 ; 1 марка. Финляндия ; 1955 ;  ; Ni/Fe ; AU ; 19 ; kartem05 ; 21 
 2655 ; 1 марка. Финляндия ; 1956 ;  ; Ni/Fe ; XF+ ; 9 ; kartem05 ; 10 
 2656 ; 1 марка. Финляндия ; 1957 ;  ; Ni/Fe ; AU ; 9 ; kartem05 ; 10 
 2657 ; 1 марка. Финляндия ; 1958 ;  ; Ni/Fe ; AU ; 4 ; Xe72 ; 15 
 2658 ; 1 марка. Финляндия ; 1959 ;  ; Ni/Fe ; AU ; 17 ; kartem05 ; 20 
 2659 ; 1 марка. Финляндия ; 1960 ;  ; Ni/Fe ; AU ; 11 ; Saneck ; 12 
 2660 ; 1 марка. Финляндия ; 1961 ;  ; Ni/Fe ; AU ; 15 ; kartem05 ; 27 
 2561 ; 1 шиллинг. Великобритания ; 1946 ;  ; Ag ; VF-XF ; 15 ; Пионер ; 97 
 2562 ; 20 пенсов. Великобритания ; 1982 ;  ; Cu/Ni ; VF+ ; 24 ; rbcrf ; 87 
 2563 ; 6 пенсов. Великобритания ; 1941 ;  ; Ag ; VF- ; 29 ; Timurka ; 105 
 2564 ; 6 пенсов. Великобритания ; 1953 ;  ; Cu/Ni ; VF- ; 58 ; vc57 ; 79 
 2565 ; 3 пенса. Великобритания ; 1960 ;  ; Ni/Латунь ; VF+ ; 27 ; Пионер ; 67 
 2566 ; 1 пенни. Великобритания ; 1921 ;  ; Br ; VF+ ; 21 ; Xe72 ; 76 
 2567 ; 1/2 пенни. Великобритания ; 1900 ;  ; Br ; VF+ ; 42 ; Пионер ; 201 
 2568 ; 1/2 пенни. Великобритания ; 1965 ;  ; Br ; VF ; 37 ; Артемыч ; 102 
 2569 ; 1 рупия. Британская Индия. Виктория ; 1880 ;  ; Ag ; VF+ ; 25 ; Пионер ; 567 
 2570 ; 1 рупия. Британская Индия. Виктория ; 1893 ;  ; Ag ; VF+ ; 9 ; slav_1962 ; 555 
 2571 ; 1/4 рупии. Британская Индия, Георг VI ; 1944 ;  ; Ag ; XF ; 16 ; gors ; 171 
 2572 ; 6 пенсов. Британская Южная Африка, Георг V ; 1932 ;  ; Ag ; AU ; 16 ; starplay ; 347 
 2573 ; 1000 крон. Исландия. 1100 лет открытия ; 1974 ;  ; Ag ; Proof ; 12 ; pjero ; 771 
 2574 ; 500 крон. Исландия. 1100 лет открытия ; 1974 ;  ; Ag ; Proof ; 25 ; 100924 ; 711 
 2575 ; 5 франков. Швейцария ; 1967В ;  ; Ag ; AU ; 40 ; elim-12 ; 258 
 2576 ; 1 франк. Швейцария ; 1912В ;  ; Ag ; VF- ; 2 ; Mike! ; 122 
 2577 ; 100 лева. Болгария. Борис III ; 1934 ;  ; Ag ; VF-XF ; 4 ; Mike! ; 261 
 2578 ; 100 лева. Болгария ; 1937 ;  ; Ag ; XF- ; 3 ; salim ; 212 
 2579 ; 20 лева. Болгария ; 1940 ;  ; Cu/Ni ; VF-XF ; 11 ; vc57 ; 104 
 2580 ; 5 лева. Болгария. Георгий С. Раковский ; 1971 ;  ; Ag ; AU ; 24 ; велко ; 383 
 2581 ; 1 лева. Болгария ; 1882 ;  ; Ag ; VF- ; 30 ; vitapool ; 169 
 2582 ; 1 лева. Болгария ; 1891 ;  ; Ag ; VF+ ; 51 ; Xe72 ; 260 
 2583 ; 1 лев. Болгария ; 1910 ;  ; Ag ; AU ; 45 ; vc57 ; 357 
 2584 ; 5 стотинок. Болгария ; 1951 ;  ; Латунь ; AU ; 29 ; ZAC ; 306 
 2585 ; 3 стотинки. Болгария ; 1951 ;  ; Латунь ; AU ; 33 ; ZAC ; 306 
 2586 ; 100 дианр. Югославия. Зимние Олимпийские игры. Фигурное катание ; 1984 ;  ; Ag ; Proof ; 15 ; kind ; 459 
 2587 ; 100 крон. Чехословакия. Клемент Готвальд ; 1951 ;  ; Ag ; AU ; 46 ; av ; 286 
 2588 ; 50 крон. Чехословакия ; 1947 ;  ; Ag ; AU ; 38 ; elim-12 ; 215 
 2589 ; 50 крон. Чехословакия ; 1948 ;  ; Ag ; AU ; 46 ; elim-12 ; 255 
 2590 ; 50 крон. Чехословакия. 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 73 ; Jars ; 714 
 2591 ; 20 крон. Чехословакия. Промышленность, земледелие, бизнес ; 1933 ;  ; Ag ; XF+ ; 26 ; av ; 261 
 2592 ; 20 крон. Чехословакия. Масарик ; 1937 ;  ; Ag ; AU ; 71 ; starplay ; 228 
 2593 ; 10 крон. Чехословакия ; 1931 ;  ; Ag ; VF-XF ; 30 ; Mike! ; 214 
 2594 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; AU ; 32 ; pak1313 ; 261 
 2595 ; 10 крон. Чехословакия. 250 лет инженерной школы Праги ; 1957 ;  ; Ag ; XF+ ; 20 ; PSP ; 383 
 2596 ; 5 крон. Чехословакия ; 1929 ;  ; Ag ; F-VF ; 39 ; salim ; 155 
 2597 ; 5 крон. Чехословакия ; 1938 ;  ; Ni ; XF+ ; 36 ; pak1313 ; 101 
 2598 ; 10 злотых. Польша ; 1933 ;  ; Ag ; VF ; 28 ; ICEK ; 3264 
 2599 ; 2 гроша. Польша ; 1931 ;  ; Cu ; VF+ ; 30 ; ВМШ ; 153 
 2600 ; 2 гроша. Польша ; 1932 ;  ; Cu ; VF-XF ; 11 ; ВМШ ; 153 
 2601 ; 1 рупия. Индия, Бехар. М-11гр ;  ;  ; Ag ; VF-XF ; 49 ; Tilla ; 1007 
 2602 ; 25 матонас. Эфиопия ; 1923 ;  ; Ni ; XF+ ; 20 ; Tilla ; 232 
 2603 ; 50 пиастров. Египет. Нил ; 1964 ;  ; Ag ; AU ; 29 ; xabib ; 360 
 2604 ; 25 пиастров. Египет. Порт Саид ; 1956 ;  ; Ag ; AU ; 17 ; Ромбор ; 408 
 2605 ; 5 фунтов. Египет. Сельскохозяйственный университет в Каире ; 1989 ;  ; Ag ; AU ; 33 ; smel ; 462 
 2606 ; 1 фунт. Египет. Асуанская плотина ; 1968 ;  ; Ag ; AU ; 13 ; gors ; 691 
 2607 ; 1 фунт. Египет. Президент Насер ; 1970 ;  ; Ag ; AU ; 23 ; gors ; 503 
 2608 ; 1 фунт. Египет ; 1976 ;  ; Ag ; AU ; 19 ; smel ; 354 
 2609 ; 1 фунт. Египет ; 1978 ;  ; Ag ; AU ; 22 ; smel ; 357 
 2610 ; 1 фунт. Египет. 25 годовщина университета ; 1978 ;  ; Ag ; AU ; 26 ; smel ; 357 
 2511 ; 1 рупия. Немецкая Восточная Африка ; 1910 ;  ; Ag ; VF- ; 47 ; Sky2 ; 1026 
 2512 ; 5 хеллеров. Немецкая Восточная Африка ; 1909 ;  ; Cu ; VF- ; 77 ; А_еЧъ ; 1530 
 2513 ; 1 хеллер. Немецкая Восточная Африка ; 1907 ;  ; Cu ; VF- ; 70 ; region23 ; 714 
 2514 ; 1/2 хеллера. Немецкая Восточная Африка ; 1905 ;  ; Cu ; VF ; 47 ; ved ; 1530 
 2515 ; 1 песа. Немецкая Восточная Африка ; 1890 ;  ; Cu ; AU ; 59 ; А_еЧъ ; 1561 
 2516 ; 1 флорин. Австрия ; 1858 ;  ; Ag ; AU ; 35 ; pjero ; 660 
 2517 ; 1 флорин. Австрия ; 1860 ;  ; Ag ; AU ; 17 ; Bayun48 ; 453 
 2518 ; 1 флорин. Австрия ; 1861 ;  ; Ag ; XF+/AU ; 18 ; elim-12 ; 453 
 2519 ; 1 флорин. Австрия ; 1878 ;  ; Ag ; AU ; 23 ; PSP ; 397 
 2520 ; 1 флорин. Австрия ; 1879 ;  ; Ag ; AU ; 16 ; Bayun48 ; 453 
 2521 ; 1 флорин. Австрия ; 1884 ;  ; Ag ; XF+/AU ; 46 ; elim-12 ; 453 
 2522 ; 1 флорин. Австрия ; 1889 ;  ; Ag ; XF+/AU ; 38 ; elim-12 ; 477 
 2523 ; 1000 крон. Австрия ; 1924 ;  ; Б/м ; AU ; 45 ; starplay ; 150 
 2524 ; 200 крон. Австрия ; 1924 ;  ; Cu ; XF+ ; 50 ; В1951 ; 99 
 2525 ; 100 крон. Австрия ; 1924 ;  ; Cu ; AU ; 36 ; Coins911 ; 128 
 2526 ; 2 кроны. Австрия ; 1912 ;  ; Ag ; AU ; 29 ; Almazin ; 453 
 2527 ; 2 кроны. Австрия ; 1913 ;  ; Ag ; AU ; 56 ; PSP ; 405 
 2528 ; 1 крона. Австрия. 60 лет правления Франца Иосифа ; 1908 ;  ; Ag ; AU ; 69 ; PSP ; 441 
 2529 ; 1 крона. Австрия ; 1913 ;  ; Ag ; AU ; 25 ; PiLaT ; 122 
 2530 ; 1 крона. Австрия ; 1914 ;  ; Ag ; AU ; 41 ; Xe72 ; 126 
 2531 ; 1 крона. Австрия ; 1915 ;  ; Ag ; AU ; 2 ; PSP ; 204 
 2532 ; 1 крона. Австрия ; 1915 ;  ; Ag ; AU ; 70 ; PSP ; 263 
 2533 ; 1 крона. Австрия ; 1916 ;  ; Ag ; AU ; 62 ; PSP ; 254 
 2534 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; VF+ ; 2 ; Mike! ; 83 
 2535 ; 10 шиллингов. Австрия ; 1858 ;  ; Ag ; VF+ ; 12 ; PiLaT ; 102 
 2536 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; XF+ ; 30 ; Mike! ; 88 
 2537 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; VF+ ; 3 ; vitapool ; 55 
 2538 ; 2 шиллинга. Австрия. Шуберт ; 1928 ;  ; Ag ; XF+ ; 24 ; PSP ; 314 
 2539 ; 2 шиллинга. Австрия. Фон дер Фогельвейде ; 1930 ;  ; Ag ; AU ; 29 ; hjcnjr ; 587 
 2540 ; 5 пенго. Венгрия. Хорти ; 1939 ;  ; Ag ; XF+ ; 47 ; av ; 1530 
 2541 ; 1 корона. Венгрия. Юбилейная ; 1896 ;  ; Ag ; XF ; 82 ; tt ; 950 
 2542 ; 5 франков. Франция, 2-я республика (1848-1851) ; 1848А ;  ; Ag ; VF+ ; 22 ; Sanya ; 821 
 2543 ; 5 франков. Франция ; 1995 ;  ; Cu/N ; AU ; 30 ; PiLaT ; 31 
 2544 ; 50 сантимов. Франция, 3-я республика ; 1907 ;  ; Ag ; VF- ; 57 ; salim ; 67 
 2545 ; 10 сантимов. Франция ; 1854 ;  ; Cu ; VF ; 30 ; Xe72 ; 169 
 2546 ; 10 сентимов. Франция. Наполеон III ; 1862 ;  ; Br ; VF ; 33 ; Xe72 ; 159 
 2547 ; 1 унция серебра. День Святого Валентина ;  ;  ; Ag ; AU ; 27 ; vasja ; 1734 
 2548 ; 1 доллар. США. Морган ; 1896 ;  ; Ag ; AU ; 17 ; Mike! ; 1041 
 2549 ; 1 доллар. США. Эйзенхауэр. 200 лет юбилею ; 1976E ;  ; Cu/Ni ; AU ; 4 ; Mike! ; 153 
 2550 ; 1 доллар. США. Эйзенхауэр ; 1978 ;  ; Cu/Ni ; AU ; 3 ; orel66 ; 144 
 2551 ; 1 доллар (1 унция). США ; 1995 ;  ; Ag ; AU ; 14 ; Larin ; 612 
 2552 ; 5 центов. США. Джефферсон ; 1939 ;  ; Cu/Ni ; F-VF ; 43 ; evgen72 ; 75 
 2553 ; 5 центов. США. Джефферсон ; 1954D ;  ; Cu/Ni ; VF- ; 53 ; evgen72 ; 75 
 2554 ; 20 долларов. Канада. Олимпийские игры в Калгари 1988 года. Конькобежец ; 1985 ;  ; Ag ; Proof ; 7 ; ksv1 ; 612 
 2555 ; 1 доллар. Канада. Манитоба ; 1970 ;  ; Ni ; AU ; 42 ; rbcrf ; 208 
 2556 ; Доллар. Канада. Торонто ; 1984 ;  ; Ag ; Proof ; 3 ; timberwolf ; 368 
 2557 ; 25 центов. Канада. Ванкувер ; 2008 ;  ; Ni/St ; AU ; 22 ; rbcrf ; 32 
 2558 ; 1 цент. Канада ; 1906 ;  ; Br ; VF ; 81 ; ZAC ; 232 
 2559 ; 1 крона. Великобритания. Георг V ; 1935 ;  ; Ag ; XF- ; 17 ; ВЯЗ ; 1296 
 2560 ; 1 шиллинг. Великобритания ; 1928 ;  ; Ag ; VF- ; 5 ; Timurka ; 108 
 2461 ; 1 марка. ГДР ; 1982 ;  ; Al ; AU ; 18 ; ZAC ; 82 
 2462 ; 50 пфеннигов. ГДР ; 1950 ;  ; Ж/м ; VF-XF ; 48 ; asru ; 47 
 2463 ; 50 пфеннигов. ГДР ; 1958 ;  ; Al ; VF ; 15 ; ZAC ; 101 
 2464 ; 50 пфеннигов. ГДР ; 1968 ;  ; Al ; VF-XF ; 30 ; ZAC ; 85 
 2465 ; 50 пфеннигов. ГДР ; 1971 ;  ; Al ; XF+ ; 24 ; ZAC ; 92 
 2466 ; 50 пфеннигов. ГДР ; 1982 ;  ; Al ; XF+ ; 17 ; ZAC ; 102 
 2467 ; 20 пфеннигов. ГДР ; 1969 ;  ; Ж/м ; VF- ; 15 ; смжд ; 102 
 2468 ; 10 пфеннигов. ГДР ; 1948 ;  ; Al ; VF ; 10 ; ZAC ; 62 
 2469 ; 10 пфеннигов. ГДР ; 1949 ;  ; Al ; XF- ; 9 ; evgen72 ; 20 
 2470 ; 10 пфеннигов. ГДР ; 1952 ;  ; Al ; VF-XF ; 25 ; ZAC ; 153 
 2471 ; 10 пфеннигов. ГДР ; 1953 ;  ; Al ; VF-XF ; 11 ; ZAC ; 50 
 2472 ; 10 пфеннигов. ГДР ; 1967 ;  ; Al ; VF+ ; 13 ; evgen72 ; 14 
 2473 ; 10 пфеннигов. ГДР ; 1968 ;  ; Al ; XF+ ; 3 ; surf2k5 ; 14 
 2474 ; 10 пфеннигов. ГДР ; 1971 ;  ; Al ; XF+ ; 11 ; ZAC ; 43 
 2475 ; 10 пфеннигов. ГДР ; 1972 ;  ; Al ; VF+ ; 15 ; ZAC ; 31 
 2476 ; 10 пфеннигов. ГДР ; 1973 ;  ; Al ; VF-XF ; 10 ; ZAC ; 62 
 2477 ; 10 пфеннигов. ГДР ; 1979 ;  ; Al ; XF ; 13 ; ZAC ; 25 
 2478 ; 10 пфеннигов. ГДР ; 1980 ;  ; Al ; XF- ; 7 ; ZAC ; 51 
 2479 ; 10 пфеннигов. ГДР ; 1982 ;  ; Al ; VF-XF ; 12 ; ZAC ; 82 
 2480 ; 10 пфеннигов. ГДР ; 1983 ;  ; Al ; AU ; 35 ; evgen72 ; 35 
 2481 ; 10 пфеннигов. ГДР ; 1989 ;  ; Al ; AU ; 23 ; ZAC ; 188 
 2482 ; 5 пфеннигов. ГДР ; 1949 ;  ; Al ; VF-XF ; 5 ; ZAC ; 31 
 2483 ; 5 пфеннигов. ГДР ; 1950 ;  ; Al ; XF+ ; 19 ; ZAC ; 136 
 2484 ; 5 пфеннигов. ГДР ; 1952 ;  ; Al ; XF ; 9 ; ZAC ; 135 
 2485 ; 5 пфеннигов. ГДР ; 1968 ;  ; Al ; VF-XF ; 8 ; смжд ; 36 
 2486 ; 5 пфеннигов. ГДР ; 1975 ;  ; Al ; VF-XF ; 3 ; surf2k5 ; 14 
 2487 ; 5 пфеннигов. ГДР ; 1983 ;  ; Al ; AU ; 27 ; ZAC ; 65 
 2488 ; 5 пфеннигов. ГДР ; 1988 ;  ; Al ; AU ; 7 ; ZAC ; 97 
 2489 ; 5 пфеннигов. ГДР ; 1990 ;  ; Al ; AU ; 19 ; ZAC ; 431 
 2490 ; 1 пфенниг. ГДР ; 1948 ;  ; Al ; VF-XF ; 37 ; ZAC ; 57 
 2491 ; 1 пфенниг. ГДР ; 1949 ;  ; Al ; AU ; 23 ; ZAC ; 153 
 2492 ; 1 пфенниг. ГДР ; 1949E ;  ; Al ; XF- ; 49 ; ZAC ; 334 
 2493 ; 1 пфенниг. ГДР ; 1950 ;  ; Al ; XF ; 18 ; ZAC ; 135 
 2494 ; 1 пфенниг. ГДР ; 1952 ;  ; Al ; XF+ ; 5 ; ZAC ; 31 
 2495 ; 1 пфенниг. ГДР ; 1953 ;  ; Al ; XF ; 5 ; asru ; 17 
 2496 ; 1 пфенниг. ГДР ; 1960 ;  ; Al ; AU ; 39 ; ВМШ ; 77 
 2497 ; 1 пфенниг. ГДР ; 1964 ;  ; Al ; VF-XF ; 15 ; ZAC ; 31 
 2498 ; 1 пфенниг. ГДР ; 1968 ;  ; Al ; XF ; 10 ; ZAC ; 62 
 2499 ; 1 пфенниг. ГДР ; 1986 ;  ; Al ; AU ; 7 ; ZAC ; 36 
 2500 ; 1 пфенниг. ГДР ; 1975 ;  ; Al ; AU ; 3 ; surf2k5 ; 14 
 2501 ; 1 пфенниг. ГДР ; 1978 ;  ; Al ; XF+ ; 5 ; ZAC ; 17 
 2502 ; 1 пфенниг. ГДР ; 1979 ;  ; Al ; AU ; 11 ; ZAC ; 48 
 2503 ; 1 пфенниг. ГДР ; 1980 ;  ; Al ; XF ; 7 ; ZAC ; 36 
 2504 ; 1 пфенниг. ГДР ; 1981 ;  ; Al ; XF+ ; 5 ; ZAC ; 17 
 2505 ; 1 пфенниг. ГДР ; 1982 ;  ; Al ; AU ; 7 ; ZAC ; 36 
 2506 ; 1 пфенниг. ГДР ; 1983 ;  ; Al ; XF+ ; 7 ; ZAC ; 36 
 2507 ; 1 пфенниг. ГДР ; 1984 ;  ; Al ; XF+ ; 7 ; ZAC ; 36 
 2508 ; 1 пфенниг. ГДР ; 1985 ;  ; Al ; XF+ ; 7 ; ZAC ; 36 
 2509 ; 1 пфенниг. ГДР ; 1987 ;  ; Al ; AU ; 9 ; ZAC ; 36 
 2510 ; 20 франков. Саар ; 1954 ;  ; Ж/м ; XF ; 11 ; pak1313 ; 130 
 2411 ; 20 марок. ГДР. Вильгельм Пик ; 1972 ;  ; Cu/Ni ; AU ; 22 ; PiLaT ; 175 
 2412 ; 20 марок. ГДР. Шиллер ; 1972 ;  ; Cu/Ni ; AU ; 37 ; Coins911 ; 116 
 2413 ; 20 марок. ГДР. Отто Гротеволь ; 1973 ;  ; Cu/Ni ; AU ; 25 ; ivdel1 ; 159 
 2414 ; 20 марок. ГДР. 30 лет ГДР ; 1979 ;  ; Cu/Ni ; AU ; 16 ; sinisha ; 345 
 2415 ; 20 марок. ГДР. Карл Маркс ; 1983 ;  ; Cu/Ni ; AU ; 14 ; sinisha ; 217 
 2416 ; 20 марок. ГДР. Бранденбургские ворота ; 1990 ;  ; Cu/Ni ; AU ; 6 ; sina ; 459 
 2417 ; 10 марок. ГДР. Бухенвальд ; 1972 ;  ; Cu/Ni ; AU ; 38 ; asru ; 104 
 2418 ; 10 марок. ГДР. 10-й молодежный фестиваль ; 1973А ;  ; Cu/Ni ; AU ; 9 ; sg1945 ; 306 
 2419 ; 10 марок. ГДР. Фестиваль молодежи и студентов ; 1973 ;  ; Cu/Ni ; AU ; 14 ; Bayun48 ; 78 
 2420 ; 10 марок. ГДР. 10-й молодежный фестиваль ; 1973A ;  ; Cu/Ni ; AU ; 3 ; PiLaT ; 116 
 2421 ; 10 марок. ГДР. 25 лет юбилею ; 1974A ;  ; Cu/Ni ; AU ; 39 ; sinisha ; 257 
 2422 ; 10 марок. ГДР. 25 лет ГДР ; 1974 ;  ; Cu/Ni ; AU ; 28 ; vc57 ; 145 
 2423 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975A ;  ; Cu/Ni ; AU ; 3 ; Mike! ; 253 
 2424 ; 10 марок. ГДР. 20 лет народной армии ; 1976 ;  ; Cu/Ni ; AU ; 12 ; sinisha ; 317 
 2425 ; 10 марок. ГДР. Космический полет ; 1978 ;  ; Cu/Ni ; VF-XF ; 8 ; sinisha ; 331 
 2426 ; 10 марок. ГДР. 25 лет народной армии ; 1981 ;  ; Cu/Ni ; AU ; 10 ; salim ; 438 
 2427 ; 10 марок. ГДР. 40 лет разгрома фашизма ; 1985 ;  ; Cu/Ni ; AU ; 12 ; 542 ; 416 
 2428 ; 10 марок. ГДР. 40 лет ГДР ; 1989 ;  ; Cu/Ni ; AU ; 6 ; sina ; 337 
 2429 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; AU ; 47 ; pjero ; 1000 
 2430 ; 10 марок. ФРГ. 1000 лет Потсдаму ; 1993F ;  ; Ag ; AU ; 47 ; pjero ; 994 
 2431 ; 5 марок. ФРГ. 250 лет со дня смерти Готфрида Вильгельма Лейбница ; 1966D ;  ; Ag ; AU ; 26 ; Mike! ; 836 
 2432 ; 5 марок. ФРГ. Вильгельм и Александр Гумбольдт ; 1967F ;  ; Ag ; AU ; 7 ; pjero ; 800 
 2433 ; 5 марок. ГДР. Город Мейсен ; 1972A ;  ; Cu/Ni ; XF+ ; 2 ; Mike! ; 123 
 2434 ; 5 марок. ФРГ. 200 лет со дня смерти Лессинга ; 1981J ;  ; Cu/Ni ; AU ; 7 ; Mike! ; 157 
 2435 ; 5 марок. ФРГ. 150 лет со дня смерти карла фон Штейна ; 1981G ;  ; Cu/Ni ; AU ; 6 ; pak1313 ; 155 
 2436 ; 5 марок. ФРГ. 150 лет со дня смерти Гете ; 1982D ;  ; Cu/Ni ; AU ; 5 ; pak1313 ; 155 
 2437 ; 5 марок. ФРГ. 10 лет конференции ООН по вопросам окружающей среды ; 1982F ;  ; Cu/Ni ; XF+ ; 6 ; pak1313 ; 155 
 2438 ; 5 марок. ГДР. Айслебен ; 1983 ;  ; Cu/Ni ; AU ; 17 ; hjcnjr ; 433 
 2439 ; 5 марок. ГДР. Старая ратуша Лейпциг ; 1984 ;  ; Cu/Ni ; AU ; 6 ; smel ; 359 
 2440 ; 5 марок. ФРГ. 175 лет со дня рождения Феликса Бартольди ; 1984J ;  ; Cu/Ni ; AU ; 6 ; pak1313 ; 155 
 2441 ; 5 марок. ФРГ. 175 лет со дня рождения Феликса Бартольди ; 1984J ;  ; Cu/Ni ; Proof ; 6 ; pak1313 ; 155 
 2442 ; 5 марок. ФРГ. Европейский год музыки ; 1985F ;  ; Cu/Ni ; AU ; 6 ; pak1313 ; 153 
 2443 ; 5 марок. ГДР. Потсдам ; 1986 ;  ; Cu/Ni ; AU ; 2 ; sina ; 227 
 2444 ; 5 марок. ГДР. Александрплатц ; 1987 ;  ; Cu/Ni ; AU ; 11 ; sina ; 317 
 2445 ; 5 марок. ГДР. Николай Вертель ; 1987 ;  ; Cu/Ni ; AU ; 15 ; sina ; 292 
 2446 ; 5 марок. ГДР. 500 лет почты ; 1990 ;  ; Cu/Ni ; AU ; 4 ; salim ; 314 
 2447 ; 2 марки. ГДР ; 1957 ;  ; Al ; VF-XF ; 24 ; Xe72 ; 30 
 2448 ; 2 марки. ГДР ; 1974 ;  ; Al ; VF+ ; 24 ; 542 ; 270 
 2449 ; 2 марки. ГДР ; 1975 ;  ; Al ; VF-XF ; 15 ; ZAC ; 24 
 2450 ; 2 марки. ГДР ; 1977 ;  ; Al ; VF-XF ; 21 ; ZAC ; 53 
 2451 ; 2 марки. ГДР ; 1978 ;  ; Al ; AU ; 32 ; ZAC ; 174 
 2452 ; 2 марки. ГДР ; 1979 ;  ; Al ; VF-XF ; 33 ; ZAC ; 278 
 2453 ; 2 марки. ГДР ; 1982 ;  ; Al ; XF- ; 23 ; ZAC ; 82 
 2454 ; 1 марка. ГДР ; 1956 ;  ; Al ; VF-XF ; 23 ; джокер ; 24 
 2455 ; 1 марка. ГДР ; 1972 ;  ; Al ; XF ; 11 ; ZAC ; 36 
 2456 ; 1 марка. ГДР ; 1973 ;  ; Al ; VF+ ; 27 ; ZAC ; 128 
 2457 ; 1 марка. ГДР ; 1975 ;  ; Al ; VF-XF ; 13 ; evgen72 ; 14 
 2458 ; 1 марка. ГДР ; 1975 ;  ; Al ; XF+ ; 13 ; ZAC ; 82 
 2459 ; 1 марка. ГДР ; 1977 ;  ; Al ; XF+ ; 35 ; ZAC ; 59 
 2460 ; 1 марка. ГДР ; 1979 ;  ; Al ; XF- ; 22 ; ZAC ; 337 
 2361 ; 1/2 марки. Германия ; 1918J ;  ; Ag ; XF- ; 24 ; PiLaT ; 67 
 2362 ; 500 марок. Германия ; 1923F ;  ; Al ; AU ; 47 ; 542 ; 244 
 2363 ; 200 марок. Германия ; 1923D ;  ; Al ; XF+ ; 50 ; surf2k5 ; 157 
 2364 ; 10 пфеннигов. Германия ; 1937A ;  ; Ж/м ; VF+ ; 29 ; evgen72 ; 59 
 2365 ; 10 пфеннигов. Германия ; 1938А ;  ; Al/Br ; XF ; 49 ; Sky2 ; 81 
 2366 ; 10 пфеннигов. Германия ; 1938A ;  ; Ж/м ; VF+ ; 18 ; evgen72 ; 59 
 2367 ; 10 пфеннигов. Германия ; 1938B ;  ; Ж/м ; VF+ ; 24 ; 542 ; 102 
 2368 ; 10 пфеннигов. Германия ; 1938G ;  ; Ж/м ; XF- ; 29 ; 542 ; 90 
 2369 ; 10 пфеннигов. Германия ; 1939A ;  ; Ж/м ; VF-XF ; 18 ; eddy ; 100 
 2370 ; 10 пфеннигов. Германия ; 1939D ;  ; Ж/м ; VF+ ; 7 ; evgen72 ; 46 
 2371 ; 10 пфеннигов. Германия ; 1939F ;  ; Ж/м ; VF+ ; 38 ; PiLaT ; 59 
 2372 ; 10 пфеннигов. Германия ; 1945Е ;  ; Zn ; VF ; 38 ; mcseam ; 323 
 2373 ; 5 пфеннигов. Германия ; 1937D ;  ; Ж/м ; VF+ ; 14 ; evgen72 ; 57 
 2374 ; 5 пфеннигов. Германия ; 1937E ;  ; Ж/м ; VF+ ; 17 ; evgen72 ; 61 
 2375 ; 5 пфеннигов. Германия ; 1937J ;  ; Ж/м ; VF+ ; 17 ; Blagorodie ; 50 
 2376 ; 5 пфеннигов. Германия ; 1938A ;  ; Ж/м ; XF- ; 27 ; Sky2 ; 102 
 2377 ; 5 пфеннигов. Германия ; 1938D ;  ; Ж/м ; VF+ ; 34 ; Blagorodie ; 57 
 2378 ; 5 пфеннигов. Германия ; 1938G ;  ; Ж/м ; VF ; 13 ; В1951 ; 50 
 2379 ; 5 пфеннигов. Германия ; 1939A ;  ; Ж/м ; VF+ ; 40 ; eddy ; 83 
 2380 ; 2 пфеннига. Германия ; 1937A ;  ; Cu ; VF-XF ; 14 ; evgen72 ; 57 
 2381 ; 2 пфеннига. Германия ; 1937D ;  ; Cu ; VF+ ; 5 ; evgen72 ; 57 
 2382 ; 2 пфеннига. Германия ; 1937F ;  ; Cu ; AU ; 38 ; Sky2 ; 226 
 2383 ; 2 пфеннига. Германия ; 1938A ;  ; Cu ; VF-XF ; 21 ; o.k. ; 38 
 2384 ; 2 пфеннига. Германия ; 1938D ;  ; Cu ; VF+ ; 13 ; 542 ; 42 
 2385 ; 2 пфеннига. Германия ; 1938J ;  ; Cu ; XF+ ; 26 ; o.k. ; 57 
 2386 ; 2 пфеннига. Германия ; 1939A ;  ; Cu ; XF+ ; 37 ; surf2k5 ; 59 
 2387 ; 2 пфеннига. Германия ; 1939B ;  ; Cu ; XF ; 27 ; surf2k5 ; 57 
 2388 ; 2 пфеннига. Германия ; 1939E ;  ; Cu ; VF-XF ; 18 ; 542 ; 171 
