 5898 ; Бона иностранная Дания ;  ;  ;  ; AU ; 37 ; Khab27 ; 317 
 3887 ; 5 евро. Финляндия. Буклет ; 2010 ;  ; Би/м ; AU ; 15 ; dsp ; 772 
 3888 ; Набор монет Испании: 50,20,10 евроцентов (3шт). Буклет ; 2001-2003 ;  ; Лат ; AU ; 22 ; archontbk ; 160 
 3889 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 21 ; archontbk ; 111 
 3890 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 21 ; archontbk ; 111 
 3891 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 21 ; archontbk ; 111 
 3892 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 23 ; nivva ; 114 
 3893 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 21 ; archontbk ; 111 
 3894 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 20 ; nivva ; 114 
 3895 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 18 ; archontbk ; 111 
 3896 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 18 ; archontbk ; 111 
 3897 ; Набор монет Ирландии: 5,2,1 евроцент (3шт). Буклет ; 2002 ;  ; Cu/St ; AU ; 16 ; archontbk ; 111 
 3898 ; 2 злотых. Польша. Футбол. Буклет ; 2011 ;  ; Латунь ; AU ; 29 ; seva777 ; 417 
 3899 ; Набор монет Канады (Ванкувер. Олимпиада): 1 доллар, 25 центов (14шт) ; 2007-2010 ;  ; Cu-Ni,Cu-i-Zn ; AU ; 40 ; torbey ; 1703 
 3900 ; 1 доллар. США. Пластиковая упаковка ; 1971S ;  ; Ag ; Proof ; 31 ; ASTRAL ; 850 
 3901 ; Набор монет Фолклендских островов: 5шт. Пластиковая упаковка ; 1974 ;  ; Cu-Ni,Br ; Unc/AU ; 20 ; D-503 ; 370 
 3902 ; 1 доллар США  + жетон. Упаковка ; 1971S ;  ; Ag ; AU ; 18 ; dim66 ; 548 
 3903 ; Набор монет о-в Мэн (4шт): 1 крона. Парламентская конференция ; 1984 ;  ; Cu-Ni ; AU ; 25 ; banks ; 1080 
 3904 ; Набор монет США (6шт): 1/4 доллара. Территории. Коробка. Сертификат ; 2009 ;  ; Ag ; Proof ; 60 ; CASH ; 2607 
 3905 ; Набор монет США (5шт): 1/2доллара, 1/4 доллара, 1 дайм, 5 центов, 1 цент ; 1969 ;  ;  ; Proof ; 27 ; electra ; 732 
 3806 ; 20 лепта. Греция ; 1926 ;  ; Cu-Ni ; F ; 10 ; t_v_v ; 71 
 3807 ; 250 риалов. Иран ; 1378 ;  ; Би/м ; AU ; 5 ; филипок ; 24 
 3808 ; 10 франков. Монако ; 1993 ;  ; Би/м ; XF+ ; 31 ; tolegv ; 181 
 3809 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 20 ; archontbk ; 207 
 3810 ; 5 песо. Мексика ; 2000 ;  ; Би/м ; XF ; 15 ; UnPreacher ; 33 
 3811 ; 10 бат. Тайланд ;  ;  ; Би/м ; AU ; 5 ; SKeeper ; 20 
 3812 ; 2 евро. Финляндия. Права человека ; 2008 ;  ; Би/м ; AU ; 30 ; bcg ; 459 
 3813 ; 100 лек. Албания ; 2000 ;  ; Би/м ; XF ; 16 ; кот баюн ; 101 
 3814 ; 2 эре. Швеция ; 1751 ;  ; Cu ; F- ; 28 ; Monata ; 602 
 3815 ; 50 хеллеров. Чехословакия ; 1947 ;  ; Br ; VF+ ; 20 ; Magger ; 100 
 3816 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF ; 17 ; Rosomaha ; 124 
 3817 ; 1 цент. Фиджи ; 1977 ;  ; Br ; AU ; 22 ; kornum ; 102 
 3818 ; 1 цент. Свазиленд ; 1975 ;  ; Br ; AU ; 11 ; v_bond ; 79 
 3819 ; 25 сантимов. Люксембург ; 1967 ;  ; Al ; VF ; 3 ; Allegro33 ; 28 
 3820 ; 1 пайса. Индия ; 1966 ;  ; Al ; VF ; 26 ; murman ; 51 
 3821 ; Монета Непал ;  ;  ; Al ; VF- ; 13 ; Jana ; 18 
 3822 ; 50 сен. Камбоджа ; 1959 ;  ; Al ; XF+ ; 16 ; kornum ; 159 
 3823 ; 5 центов. Сейшеллы ; 1977 ;  ; Al ; XF ; 21 ; kornum ; 92 
 3824 ; 5 лепта. Греция ; 1954 ;  ; Al ; XF ; 38 ; В1951 ; 136 
 3825 ; 50 пфеннигов. ГДР ; 1982 ;  ; Al ; XF+ ; 24 ; trio ; 62 
 3826 ; 20 сентаво. Португальская Ангола ; 1962 ;  ; Br ; XF ; 27 ; Markgraf ; 183 
 3827 ; 1 эре. Дания ; 1923 ;  ; Br ; VF ; 9 ; kergudu ; 95 
 3828 ; 1 крейцер. Франкфурт ; 1862 ;  ; Ag ; F ; 9 ; кот баюн ; 212 
 3829 ; 20 стотинок. Болгария ; 1917 ;  ; Zn ; F ; 15 ; fregat ; 113 
 3830 ; 5 марок. Германия. Нотгельд. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; F- ; 11 ; TiBuL ; 101 
 3831 ; 5 злотых. Польша ; 1974 ;  ; Al ; XF- ; 15 ; MDV ; 102 
 3832 ; 20 сентаво.Испания ; 1966 ;  ; Al ; XF- ; 19 ; gusar ; 40 
 3833 ; 20 сен. Камбоджа ; 1959 ;  ; Al ; XF+ ; 17 ; SKeeper ; 159 
 3834 ; 5 сентаво. Никарагуа ; 1974 ;  ; Al ; XF+ ; 7 ; kornum ; 57 
 3835 ; Монета Бангладеш ;  ;  ; Al ; XF+ ; 12 ; kornum ; 62 
 3836 ; 10 сен. Камбоджа ; 1959 ;  ; Al ; XF+ ; 30 ; kornum ; 216 
 3837 ; 2 лиры. Ватикан ; 1972 ;  ; Al ; XF+ ; 17 ; bcg ; 71 
 3838 ; 1 сентаво. Чили ; 1975 ;  ; Al ; XF+ ; 13 ; banks ; 45 
 3839 ; 200 лир. Италия ; 1966 ;  ; Al/Br ; XF+ ; 17 ; Эксмонета ; 48 
 3840 ; 2 злотых. Польша ; 2002 ;  ; Al/Br ; AU ; 27 ; Vol4en0k ; 152 
 3841 ; 5 марок. Финляндия ; 1979 ;  ; Al/Br ; XF ; 5 ; sibirian ; 51 
 3842 ; 100 крон. Исландия ; 2004 ;  ; Al/Br ; XF ; 22 ; 47154 ; 128 
 3843 ; 1 крона. Эстония ; 2008 ;  ; Al/Br ; AU ; 11 ; sibirian ; 23 
 3844 ; 6 секс евро ;  ;  ; Би/м ; AU ; 16 ; trio ; 80 
 3845 ; 6 секс евро ;  ;  ; Би/м ; AU ; 20 ; trio ; 92 
 3846 ; 6 секс евро ;  ;  ; Би/м ; AU ; 9 ; roza77 ; 72 
 3847 ; 6 секс евро ;  ;  ; Би/м ; AU ; 17 ; trio ; 89 
 3848 ; 6 секс евро ;  ;  ; Би/м ; AU ; 11 ; roza77 ; 75 
 3849 ; 6 секс евро ;  ;  ; Би/м ; AU ; 9 ; UnPreacher ; 81 
 3850 ; 6 секс евро ;  ;  ; Би/м ; AU ; 9 ; roza77 ; 72 
 3851 ; 6 секс евро ;  ;  ; Би/м ; AU ; 16 ; trio ; 85 
 3852 ; 6 секс евро ;  ;  ; Би/м ; AU ; 9 ; roza77 ; 72 
 3853 ; 6 секс евро ;  ;  ; Би/м ; AU ; 7 ; pref ; 67 
 3854 ; 6 секс евро ;  ;  ; Би/м ; AU ; 15 ; UnPreacher ; 110 
 3855 ; 5 марок. ФРГ ; 1974F ;  ; Ag ; XF+ ; 29 ; aleksss ; 320 
 3756 ; 5 шиллингов. Кения ; 1985 ;  ; Cu-Ni ; VF+ ; 10 ; murman ; 51 
 3757 ; 2 марки. ФРГ ; 1981D ;  ; Cu-Ni ; VF+ ; 27 ; solder13 ; 793 
 3758 ; 10 драхм. Греция ; 1959 ;  ; Cu-Ni ; VF-XF ; 6 ; spbfun ; 36 
 3759 ; 10 франков. Франция ; 1947 ;  ; Cu-Ni ; VF-XF ; 29 ; murman ; 73 
 3760 ; 25 сантимов. Франция ; 1930 ;  ; Cu-Ni ; VF ; 7 ; tolegv ; 22 
 3761 ; 1/2 доллара. США ; 1971G ;  ; Cu-Ni ; XF ; 10 ; Ной ; 55 
 3762 ; 20 раппен. Швейцария ; 1939 ;  ; Cu-Ni ; VF+ ; 25 ; Magger ; 77 
 3763 ; 1 франк Франция ; 1988 ;  ; Cu-Ni ; XF ; 14 ; Allegro33 ; 29 
 3764 ; 100 филс. Иордания ; 1978 ;  ; Cu-Ni ; XF ; 13 ; lirik ; 61 
 3765 ; 2 шиллинга 6 пенсов. Ирландия ; 1951 ;  ; Cu-Ni ; VF ; 27 ; Александ98 ; 165 
 3766 ; 20 центов. Сингапур ; 1968 ;  ; Cu-Ni ; XF ; 13 ; sibirian ; 32 
 3767 ; 5 франков. Люксембург ; 1976 ;  ; Cu-Ni ; XF ; 19 ; idsr ; 41 
 3768 ; 10 сентаво. Эквадор ; 1964 ;  ; Cu-Ni ; XF ; 18 ; kornum ; 72 
 3769 ; 1 франк. Бельгия ; 1940 ;  ; Cu-Ni ; VF+ ; 36 ; murman ; 87 
 3770 ; 25 центов. Эфиопия ;  ;  ; Cu-Ni ; XF ; 11 ; t_v_v ; 73 
 3771 ; 20 толари. Словения ; 2006 ;  ; Cu-Ni ; XF ; 18 ; SKeeper ; 70 
 3772 ; 2 кроны. Швеция ; 1969 ;  ; Cu-Ni ; XF+ ; 5 ; Lena6975 ; 62 
 3773 ; 40 пара. Турция ; 1334 ;  ; Cu-Ni ; VF ; 3 ; кот баюн ; 67 
 3774 ; 2 марки. ФРГ ; 1958 ;  ; Cu-Ni ; VF ; 9 ; Allegro33 ; 72 
 3775 ; 25 центов. Восточные Карибские штаты ; 2007 ;  ; Cu-Ni ; XF- ; 12 ; t_v_v ; 41 
 3776 ; 5 бат. Тайланд ;  ;  ; Cu-Ni ; XF ; 9 ; кот баюн ; 33 
 3777 ; 1 рупия. Индия ; 1976 ;  ; Cu-Ni ; XF ; 11 ; Monata ; 81 
 3778 ; 20 марок. ГДР. Бранденбургские ворота ; 1990 ;  ; Cu-Ni ; AU ; 27 ; Метро62 ; 614 
 3779 ; 20 сентаво. Мексика ; 1974 ;  ; Cu-Ni ; XF+ ; 3 ; кот баюн ; 33 
 3780 ; 2 марки. ФРГ ; 1994 ;  ; Cu-Ni ; XF- ; 14 ; dim66 ; 106 
 3781 ; 10 крон. Исландия ; 1994 ;  ; Cu-Ni ; XF- ; 8 ; кот баюн ; 31 
 3782 ; 20 сентаво. Чили ; 1924 ;  ; Cu-Ni ; VF- ; 20 ; t_v_v ; 81 
 3783 ; 10 пенсов. Гибралтар ; 2000 ;  ; Cu-Ni ; XF ; 20 ; V.I.P.E.R. ; 37 
 3784 ; 1 доллар. США ; 2010 ;  ; Al/Br ; AU ; 26 ; smn51 ; 143 
 3785 ; 1 лев. Болгария ; 1992 ;  ; Al/Br ; XF ; 8 ; Arlekino82 ; 53 
 3786 ; 1 крона. Дания ; 1945 ;  ; Al/Br ; VF+ ; 6 ; SKeeper ; 46 
 3787 ; 10 крон. Чехословакия ; 1993 ;  ; Al/Br ; XF- ; 18 ; SKeeper ; 159 
 3788 ; 5 марок. Финляндия ; 1972 ;  ; Al/Br ; XF ; 9 ; sibirian ; 62 
 3789 ; 5 пфеннигов. Веймар ; 1936A ;  ; Al/Br ; VF ; 21 ; trio ; 72 
 3790 ; 2 франка. Франция ; 1922 ;  ; Al/Br ; VF+ ; 6 ; V.I.P.E.R. ; 43 
 3791 ; 25 сатанг. Тайланд ;  ;  ; Al/Br ; XF- ; 16 ; gdrg2 ; 40 
 3792 ; 2 лева. Болгария ; 1992 ;  ; Al/Br ; XF- ; 13 ; Arlekino82 ; 61 
 3793 ; 5 марок. Финляндия ; 1993 ;  ; Al/Br ; AU ; 4 ; Timche ; 46 
 3794 ; 50 стотипнок. Болгария ; 1992 ;  ; Al/Br ; XF ; 11 ; Arlekino82 ; 69 
 3795 ; 25 песет. Испания ; 1991 ;  ; Al/Br ; XF ; 7 ; Александр974 ; 33 
 3796 ; 10 крон. Норвегия ; 1988 ;  ; Al/Br ; XF ; 13 ; idsr ; 91 
 3797 ; 5 сантимов. Сомали ; 1967 ;  ; Al/Br ; XF ; 18 ; ZOLTAN333 ; 114 
 3798 ; 1 крона. Исландия ; 1989 ;  ; Cu-Ni ; XF ; 10 ; idsr ; 42 
 3799 ; 20 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF+ ; 16 ; tolegv ; 79 
 3800 ; 10 центов. Австралия ; 2000 ;  ; Cu-Ni ; XF ; 12 ; spbfun ; 36 
 3801 ; 25 центов. Канада ; 2007 ;  ; Cu-Ni ; XF ; 14 ; trio ; 46 
 3802 ; 1 юань. Китай ; 2009 ;  ; Cu-Ni ; XF- ; 15 ; UnPreacher ; 21 
 3803 ; 5 крон. Исландия ; 2005 ;  ; Cu-Ni ; XF- ; 16 ; SKeeper ; 67 
 3804 ; 100 лир. Сан-Марино ; 1978 ;  ; Cu-Ni ; XF+ ; 19 ; pimych1988 ; 102 
 3805 ; 50 пайса. Пакистан ; 1978 ;  ; Cu-Ni ; XF ; 21 ; murman ; 72 
 3706 ; 50 эре. Норвегия ; 1967 ;  ; Cu-Ni ; XF- ; 13 ; V.I.P.E.R. ; 28 
 3707 ; 10 пенсов. Гибралтар ; 2005 ;  ; Cu-Ni ; XF- ; 16 ; t_v_v ; 65 
 3708 ; 50 хеллеров. Чехословакия ; 1922 ;  ; Cu-Ni ; VF ; 5 ; кот баюн ; 55 
 3709 ; 1 франк. Франция ; 1988 ;  ; Cu-Ni ; XF- ; 5 ; SKeeper ; 21 
 3710 ; 1 доллар. США. Джеймс Бьюкенен ; 2010 ;  ;  ; AU ; 25 ; oleghh7 ; 155 
 3711 ; 1 доллар. США. Линдон Джонсон ; 2015 ;  ; ж/м ; AU ; 34 ; electra ; 155 
 3712 ; 1 доллар. США. Сакагавея ; 2010 ;  ; ж/м ; AU ; 28 ; oleghh7 ; 153 
 3713 ; 10 батов. Тайланд ; 2007 ;  ; би/м ; AU ; 33 ; kornum ; 133 
 3714 ; 2 франка. Швейцария ; 1968 ;  ; Cu-Ni ; VF ; 33 ; valerdon ; 111 
 3715 ; 50 тенге. Казахстан. "Восток" ; 2008 ;  ; Cu-Ni ; XF ; 44 ; chest ; 245 
 3716 ; 50 тенге. Казахстан. 20 лет Конституции ; 2015 ;  ; Cu-Ni ; XF ; 30 ; Христ ; 201 
 3717 ; 2 шиллинга. Великобритания ; 1949 ;  ; Cu-Ni ; VF- ; 12 ; alapabula ; 48 
 3718 ; 1 пенни. Великобритания ; 1928 ;  ; Br ; VF- ; 32 ; жора ; 53 
 3719 ; 1/2 кроны. Великобритания ; 1948 ;  ; Cu-Ni ; XF- ; 43 ; хабар ; 73 
 3720 ; 1 пенни. Великобритания ; 1902 ;  ; Br ; VF- ; 31 ; nemeshika ; 102 
 3721 ; 1 фартинг. Великобритания ; 1926 ;  ; Br ; XF- ; 23 ; Lena6975 ; 68 
 3722 ; 1 фартинг. Великобритания ; 1905 ;  ; Br ; VF+ ; 13 ; Lena6975 ; 114 
 3723 ; 1 фартинг. Великобритания ; 1882 ;  ; Br ; VF ; 33 ; alapabula ; 272 
 3724 ; 10 пфеннигов. Германия ; 1906J ;  ; Cu-Ni ; VF- ; 7 ; SKeeper ; 31 
 3725 ; 200 песет. Испания ; 1992 ;  ; Cu-Ni ; VF+ ; 21 ; SKeeper ; 100 
 3726 ; 50 пенсов. Великобритания ; 2010 ;  ; Cu-Ni ; XF ; 22 ; SKeeper ; 127 
 3727 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; XF ; 16 ; murman ; 37 
 3728 ; 25 центов. Канада ; 1973 ;  ; Cu-Ni ; XF- ; 12 ; idsr ; 70 
 3729 ; 200 песо. Колумбия ; 2007 ;  ; Cu-Ni ; VF ; 5 ; кот баюн ; 41 
 3730 ; 1 крона. Чехословакия ; 1946 ;  ; Cu-Ni ; VF+ ; 3 ; Allegro33 ; 31 
 3731 ; 25 центов. Барбадос ; 1994 ;  ; Cu-Ni ; VF ; 13 ; DeusEx ; 26 
 3732 ; 1 бат. Тайланд ;  ;  ; Cu-Ni ; VF ; 7 ; кот баюн ; 46 
 3733 ; 10 сантимов. Бельгия ; 1920 ;  ; Cu-Ni ; VF- ; 5 ; SKeeper ; 21 
 3734 ; 50 центов. Остров Мэн ; 1984 ;  ; Cu-Ni ; XF+ ; 38 ; генерал777 ; 203 
 3735 ; 50 франков. Бельгия ; 2000 ;  ; Cu-Ni ; XF ; 31 ; SKeeper ; 240 
 3736 ; 25 эре. Швеция ; 1940 ;  ; Cu-Ni ; VF ; 5 ; SKeeper ; 25 
 3737 ; 10 центов. Канада ; 2008 ;  ; Cu-Ni ; XF+ ; 9 ; kornum ; 31 
 3738 ; 1 анна. Индия ; 1935 ;  ; Cu-Ni ; F+ ; 21 ; Александ98 ; 57 
 3739 ; 25 сентаво. Никарагуа ; 1954 ;  ; Cu-Ni ; VF ; 17 ; SKeeper ; 102 
 3740 ; 10 динаров. Македония ; 2008 ;  ; Cu-Ni ; XF ; 12 ; SKeeper ; 37 
 3741 ; 2 фунта. Сирия ; 1996 ;  ; St ; XF ; 20 ; дед морос ; 79 
 3742 ; 1 лира. Италия ; 1940 ;  ; St ; VF-XF ; 11 ; SKeeper ; 53 
 3743 ; 20 чентезимо. Италия ; 1941 ;  ; St ; VF-XF ; 20 ; murman ; 108 
 3744 ; 10 пиастров. Египет ; 1938 ;  ; Cu-Ni ; VF+ ; 13 ; Valeev ; 83 
 3745 ; 5 марок. ГДР. Ж/д ; 1988 ;  ; Cu-Ni ; XF+ ; 26 ; SKeeper ; 285 
 3746 ; 20 марок. ГДР. Эрнст Тельманн ; 1971 ;  ; Cu-Ni ; XF ; 9 ; mmmm ; 78 
 3747 ; 10 марок. Финляндия ; 1994 ;  ; Би/м ; XF- ; 5 ; bliznetz ; 132 
 3748 ; 2 евро Германия. Гессен ; 2015 ;  ; Би/м ; XF+ ; 19 ; наташа2712 ; 255 
 3749 ; 1 крона. Исландия ; 1984 ;  ; Cu-Ni ; XF ; 6 ; V.I.P.E.R. ; 27 
 3750 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF ; 21 ; Rosomaha ; 544 
 3751 ; 25 аурар. Исландия ; 1946 ;  ; Cu-Ni ; VF ; 7 ; SKeeper ; 48 
 3752 ; 20 центов. Сингапур ; 1976 ;  ; Cu-Ni ; XF ; 12 ; idsr ; 69 
 3753 ; 50 пфеннигов. Веймар ; 1927A ;  ; Cu-Ni ; VF ; 22 ; westof ; 312 
 3754 ; 1 риал. Бразилия ; 2013 ;  ; Би/м ; AU ; 15 ; murman ; 37 
 3755 ; 10 лева. Болгария ; 1943 ;  ; Cu-Ni ; VF ; 31 ; spbfun ; 108 
 3656 ; 1 доллар. Сьерра-Леоне. Папа Римский Иоан Павел II. 85 лет со дня рождения ; 2005 ;  ;  ; AU ; 16 ; vvsmith ; 312 
 3657 ; 1 крона. Остров Мэн. 200-летие скачек "Дерби" ; 1980 ;  ;  ; AU ; 14 ; SKeeper ; 299 
 3658 ; 1 крона. Остров Вознесения. Золотой юбилей свадьбы Елизаветы II и принца Филиппа ; 2011 ;  ;  ; AU ; 12 ; banks ; 325 
 3659 ; 2 фунта. Южная Джорджия и Сэндвичевы острова. Свадьба герцога и герцогини Кембриджских ; 2012 ;  ;  ; AU ; 40 ; vvsmith ; 350 
 3660 ; 50 тенге. Казахстан. Магжан Жумабаев ; 2013 ;  ; Cu-Ni ; XF+ ; 11 ; кот баюн ; 101 
 3661 ; 50 тенге. Казахстан. Колобок ; 2013 ;  ; Cu-Ni ; AU ; 19 ; vvsmith ; 102 
 3662 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu-Ni ; AU ; 15 ; кот баюн ; 101 
 3663 ; 5 крон. Норвегия ; 1978 ;  ; Cu-Ni ; AU ; 13 ; idsr ; 104 
 3664 ; 2 гривны. Украина. Богдан-Игорь Антоныч ; 2009 ;  ; Cu-Ni ; AU ; 17 ; TiBuL ; 195 
 3665 ; 25 новых пенсов. Гибралтар. Серебряная свадьба Елизаветы II и принца Филиппа ; 1972 ;  ; Cu-Ni ; XF+ ; 24 ; gdrg2 ; 221 
 3666 ; 1 сен. Япония ;  ;  ; Br ; VF ; 7 ; sergey2015 ; 57 
 3667 ; 20 сентаво. Мексика ; 1969 ;  ; Br ; XF ; 15 ; dim66 ; 61 
 3668 ; 2 раппен. Швейцария ; 1957 ;  ; Br ; VF+ ; 11 ; 312 ; 24 
 3669 ; 1 пенни. Ирландия ; 1942 ;  ; Br ; VF ; 9 ; Shera ; 34 
 3670 ; 2 сантима. Бельгия ; 1864 ;  ; Br ; F ; 9 ; кот баюн ; 41 
 3671 ; 1 пфенниг. Германия ; 1938A ;  ; Br ; VF ; 35 ; Bulgar ; 149 
 3672 ; 5 сенти. Эстония ; 1931 ;  ; Br ; F-VF ; 13 ; SKeeper ; 108 
 3673 ; 10 сентаво. Боливия ; 1965 ;  ; Br ; VF ; 13 ; Bronco ; 90 
 3674 ; 5 чентезимо. Италия ; 1861 ;  ; Br ; VF- ; 21 ; Magger ; 85 
 3675 ; 1 пенни. Гибралтар ; 2000 ;  ; Br ; XF+ ; 11 ; t_v_v ; 57 
 3676 ; 1 эре. Дания ; 1891 ;  ; Br ; VF ; 26 ; V.I.P.E.R. ; 104 
 3677 ; 1 раппен. Швейцария ; 1951 ;  ; Br ; VF+ ; 15 ; murman ; 27 
 3678 ; 1 цент. США ; 1905 ;  ; Br ; VF- ; 16 ; bcg ; 120 
 3679 ; 25 эре. Дания ; 1924 ;  ; Сu-Ni ; VF ; 6 ; SKeeper ; 34 
 3680 ; 10 раппен. Швейцария ; 1947 ;  ; Сu-Ni ; VF-XF ; 9 ; Krysaider ; 48 
 3681 ; 50 грошей. Польша ; 1923 ;  ; Сu-Ni ; VF ; 7 ; Allegro33 ; 34 
 3682 ; 10 марок. Финляндия ; 1993 ;  ; Би/м ; XF- ; 6 ; V.I.P.E.R. ; 37 
 3683 ; 20 сантимов. Франция ; 1942 ;  ; Zn ; VF ; 19 ; nfandeev ; 69 
 3684 ; 50 пфеннигов. Веймар ; 1920 ;  ; Al ; XF- ; 7 ; VAZ-2107 ; 41 
 3685 ; 25 центов. Канада ; 2005 ;  ; Cu-Ni ; XF+ ; 11 ; кот баюн ; 41 
 3686 ; 50 пфеннигов. Германия ; 1941 ;  ; Al ; VF ; 25 ; Blixa37 ; 320 
 3687 ; 25 сантимов. Испания ; 1994 ;  ; Al/Br ; XF- ; 13 ; Александр974 ; 36 
 3688 ; 10 франков. Франция ; 1983 ;  ; Al/Br ; XF ; 22 ; sveta6369 ; 151 
 3689 ; 5 пфеннигов. Германия ; 1939 ;  ; Al/Br ; XF ; 18 ; Blixa37 ; 168 
 3690 ; 2 пенса. Гибралтар ; 2000 ;  ; Br ; XF ; 18 ; t_v_v ; 59 
 3691 ; 5 евро. Финляндия ; 2012 ;  ; Би/м ; AU ; 19 ; саны4 ; 401 
 3692 ; 5 евро. Финляндия ; 2012 ;  ; Би/м ; AU ; 17 ; саны4 ; 401 
 3693 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; AU ; 39 ; VAZ-2107 ; 205 
 3694 ; 50 пенни. Финляндия ; 1998 ;  ; Cu-Ni ; AU ; 10 ; Sergio L ; 51 
 3695 ; 10 сентаво. Португалия ;  ;  ; Br ; VF+ ; 33 ; 220W ; 183 
 3696 ; 5 сенти. Эстония ; 1931 ;  ; Br ; VF ; 31 ; SKeeper ; 124 
 3697 ; 5 чентезимо. Италия ; 1939 ;  ; Br ; VF ; 40 ; spbfun ; 116 
 3698 ; 5 сантиимов Латвия ; 1922 ;  ; Br ; F-VF ; 19 ; V.I.P.E.R. ; 69 
 3699 ; 1/2 доллара. США ; 2000P ;  ; Cu-Ni ; XF+ ; 17 ; electra ; 136 
 3700 ; 5 макута. Конго ; 1967 ;  ; Cu-Ni ; XF ; 24 ; елец ; 93 
 3701 ; 10 крон. Исландия ; 2004 ;  ; Cu-Ni ; XF- ; 9 ; кент ; 34 
 3702 ; 100 лир. Сан-Марино ; 1976 ;  ; Cu-Ni ; XF+ ; 19 ; Westin ; 69 
 3703 ; 25 сантимов. Франция ; 1903 ;  ; Cu-Ni ; VF ; 10 ; tolegv ; 65 
 3704 ; 1 кордоба. Никарагуа ; 1972 ;  ; Cu-Ni ; VF ; 26 ; SKeeper ; 137 
 3705 ; 5 крон. Исландия ; 1992 ;  ; Cu-Ni ; XF- ; 17 ; V.I.P.E.R. ; 36 
 3606 ; 1 фартинг. Великобритания ; 1948 ;  ; Br ; XF ; 11 ; nemeshika ; 42 
 3607 ; 1 фартинг. Великобритания ; 1929 ;  ; Br ; XF ; 17 ; alapabula ; 97 
 3608 ; 1 фартинг. Великобритания ; 1928 ;  ; Br ; XF+ ; 34 ; dim66 ; 172 
 3609 ; 1 фартинг. Великобритания ; 1927 ;  ; Br ; XF+ ; 20 ; dim66 ; 198 
 3610 ; 1 фартинг. Великобритания ; 1925 ;  ; Br ; XF+ ; 44 ; триА ; 281 
 3611 ; 1 фартинг. Великобритания ; 1924 ;  ; Br ; XF+ ; 43 ; alapabula ; 257 
 3612 ; 3 пенса. Британская Австралия ; 1936 ;  ; Ag ; VF- ; 5 ; bratss ; 131 
 3613 ; 1 пенни. Британская Австралия ; 1933 ;  ; Cu ; VF- ; 13 ; SKeeper ; 128 
 3614 ; 1/2 пенни. Британская Австралия ; 1936 ;  ; Cu ; VF- ; 18 ; niger ; 130 
 3615 ; 2 шиллинга. Британский Южно-Африканский Союз ; 1954 ;  ; Ag ; VF- ; 29 ; banks ; 362 
 3616 ; 6 пенсов. Британский Южно-Африканский Союз ; 1934 ;  ; Ag ; VF ; 17 ; Rosomaha ; 212 
 3617 ; 3 пенса. Британский Южно-Африканский Союз ; 1954 ;  ; Ag ; F-VF ; 14 ; d-master ; 134 
 3618 ; 1 пенс. Британский Южно-Африканский Союз ; 1934 ;  ; Br ; VF ; 19 ; niger ; 128 
 3619 ; 1 пенс. Британский Южно-Африканский Союз ; 1948 ;  ; Br ; VF ; 15 ; Масясик ; 101 
 3620 ; 1 пенс. Британский Южно-Африканский Союз ; 1953 ;  ; Br ; VF ; 16 ; d-master ; 153 
 3621 ; 10 центов. Британская Восточная Африка ; 1939 ;  ; Br ; VF ; 14 ; SKeeper ; 76 
 3622 ; 5 центов. Британская Восточная Африка ; 1939 ;  ; Br ; VF ; 11 ; nfandeev ; 89 
 3623 ; 1 цент. Британская Восточная Африка ; 1942 ;  ; Br ; VF ; 13 ; SKeeper ; 82 
 3624 ; 1 шиллинг. Британская Восточная Африка ; 1938 ;  ; Br ; VF ; 44 ; кве ; 469 
 3625 ; 3 пенса. Британская Восточная Африка ; 1938 ;  ; Cu-Ni ; VF- ; 30 ; кве ; 340 
 3626 ; 1/4 гульдена. Нидерландские Антиллы ; 1965 ;  ; Ag ; VF ; 4 ; bethowen ; 153 
 3627 ; 1/10 гульдена. Нидерландские Антиллы ; 1970 ;  ; Ag ; VF ; 15 ; NAS2012 ; 227 
 3628 ; 5 монго. Монголия ;  ;  ; Al/Br ; VF ; 39 ; MDV ; 417 
