 3207 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cochu ; 51 
 2307 ; 4 пенса. Великобритания ; 1879 ;  ; Ag ; AU ; 43 ; k212 ; 1275 
 2308 ; 3 пенса. Великобритания. В капсуле NNC ; 1762 ;  ; Ag ; MS 64 ; 139 ; mifod ; 3887 
 2309 ; 3 пенса. Великобритания ; 1887 ;  ; Ag ; AU ; 47 ; mifod ; 524 
 2310 ; 3 пенса. Великобритания ; 1899 ;  ; Ag ; XF ; 26 ; LANKA ; 209 
 2311 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; XF+ ; 44 ; Almazin ; 189 
 2312 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; XF+ ; 34 ; nikolay ; 160 
 2313 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF+ ; 27 ; nikolay ; 138 
 2314 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; XF+/AU ; 34 ; hugo ; 209 
 2315 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; AU ; 24 ; hugo ; 567 
 2316 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; VF+ ; 25 ; LANKA ; 105 
 2317 ; 3 пенса. Великобритания ; 1937 ;  ; Ag ; AU ; 53 ; mifod ; 618 
 2318 ; 3 пенса. Великобритания ; 1938 ;  ; Ag ; VF+ ; 36 ; nikolay ; 137 
 2319 ; 3 пенса. Великобритания ; 1939 ;  ; Ag ; AU ; 19 ; hugo ; 680 
 2320 ; 3 пенса. Великобритания ; 1940 ;  ; Ag ; AU ; 44 ; hugo ; 502 
 2321 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; AU ; 26 ; pak1313 ; 327 
 2322 ; 2 пенса. Великобритания ; 1887 ;  ; Ag ; AU ; 40 ; hugo ; 911 
 2323 ; 2 пенса. Великобритания ; 1898 ;  ; Ag ; AU ; 61 ; mifod ; 1356 
 2324 ; 2 пенса. Великобритания ; 1902 ;  ; Ag ; AU ; 62 ; VDV ; 918 
 2325 ; 2 пенса. Великобритания ; 1939 ;  ; Ag ; AU ; 46 ; ВМШ ; 793 
 2326 ; 1 пенни. Великобритания ; 1889 ;  ; Ag ; XF+ ; 27 ; Alexdav ; 742 
 2327 ; 1 пенни. Великобритания ; 1898 ;  ; Ag ; AU ; 76 ; hugo ; 1066 
 2328 ; 1 пенни. Великобритания ; 1939 ;  ; Ag ; AU ; 33 ; rizovtpl ; 932 
 2329 ; 1 пенни. Великобритания. Образец ;  ;  ; Би/м ; XF ; 55 ; НБ ; 512 
 2330 ; 1 пенни. Великобритания. Образец ;  ;  ; Би/м ; VF+ ; 27 ; НБ ; 512 
 2331 ; 25 центов. Канада ; 1968 ;  ; Ag ; VF+ ; 21 ; SadKo ; 89 
 2332 ; 25 центов. Канада. Ванкувер ; 2007 ;  ; Ni/St ; AU ; 7 ; gutun ; 41 
 2333 ; 1 цент. Канада ; 1901 ;  ; Br ; VF ; 30 ; СВл ; 320 
 2334 ; 50  сантимов. Франция ; 1915 ;  ; Ag ; VF ; 45 ; nikolay ; 73 
 2335 ; 1 франк. Швейцария ; 1916 ;  ; Ag ; VF ; 43 ; nikolay ; 99 
 2336 ; 1/2 франка. Швейцария ; 1940 ;  ; Ag ; VF+ ; 26 ; nikolay ; 63 
 2337 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; VF-XF ; 27 ; korolek ; 67 
 2338 ; 3 пенса. Новая Зеландия ; 1946 ;  ; Ag ; AU ; 59 ; hugo ; 229 
 2339 ; 1/10 гульдена. Нидерландская Восточная Индия ; 1920 ;  ; Ag ; VF+ ; 36 ; геомут ; 205 
 2340 ; 1 шиллинг. Новая Гвинея ; 1935 ;  ; Ag ; XF- ; 17 ; геомут ; 345 
 2341 ; 10 центов. Малайя ; 1939 ;  ; Ag ; VF-XF ; 46 ; vitapool ; 130 
 2342 ; 50 центов. Восточная Африка ; 1922 ;  ; Ag ; F-VF ; 50 ; геомут ; 169 
 2343 ; 5 шиллингов. Южная Африка. 300 лет основания Кейптауна ; 1952 ;  ; Ag ; AU ; 35 ; Black_Orc ; 579 
 2344 ; 5 шиллингов. Южная Африка ; 1956 ;  ; Ag ; AU/XF+ ; 42 ; xabib ; 561 
 2345 ; 1 песо. Мексика ; 1967 ;  ; Ag ; XF/AU ; 18 ; zemlya ; 126 
 2346 ; 10 чентезимо. Италия ; 1867Т ;  ; Cu ; F-VF ; 26 ; natallli ; 47 
 2347 ; 5 злотых. Польша ; 1935 ;  ; Ag ; VF+ ; 65 ; korolek ; 327 
 2348 ; 2 гроша. Польша ; 1937 ;  ; Br ; VF-XF ; 11 ; avg1974 ; 101 
 2349 ; 1/2 лека. Албания ; 1940 ;  ; St ; VF-XF ; 19 ; В1951 ; 148 
 2350 ; 5 лат. Латвия ; 1929 ;  ; Ag ; XF ; 26 ; VDV ; 793 
 2351 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF ; 45 ; VDV ; 793 
 2252 ; 5 марок. Пруссия ; 1913 ;  ; Ag ; AU ; 48 ; lynx ; 1797 
 2253 ; 5 марок. Веймар. 1000-летия освобождения Рейланда ; 1925А ;  ; Ag ; AU ; 69 ; hjcnjr ; 3685 
 2254 ; 5 марок (медальные). Веймар ; 1927D ;  ; Ag ; AU ; 82 ; Sky2 ; 2549 
 2255 ; 5 марок. Германия. 175 лет со дня рождения Шиллера ; 1934F ;  ; Ag ; AU ; 10 ; bier ; 6014 
 2256 ; 5 марок. Пруссия. 200 лет Пруссии. Новодел ; 2001 ;  ; Ag ; Proof ; 33 ; 1999 ; 1622 
 2257 ; 3 марки. Пруссия ; 1910 ;  ; Ag ; XF+/AU ; 32 ; lynx ; 1004 
 2258 ; 3 марки. Пруссия ; 1911А ;  ; Ag ; VF-XF ; 16 ; pjero ; 634 
 2259 ; 3 марки. Бавария. 90 лет принцу-регенту Луитпольду ; 1911D ;  ; Ag ; AU ; 38 ; serg2000 ; 1406 
 2260 ; 3 марки. Бавария. 90 лет принцу-регенту Луитпольду ; 1911D ;  ; Ag ; AU ; 22 ; lynx ; 1071 
 2261 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 30 ; mcseam ; 1020 
 2262 ; 3 марки. Пруссия. 100 лет университету Бреслау ; 1911 ;  ; Ag ; AU ; 62 ; Alekss_27 ; 1712 
 2263 ; 3 мароки. Пруссия. Университет Бреслау ; 1911А ;  ; Ag ; AU ; 35 ; lynx ; 1999 
 2264 ; 3 марки. Саксония. 100 лет битвы Народов ; 1913 ;  ; Ag ; AU ; 40 ; Sky2 ; 1401 
 2265 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 54 ; est4o ; 1003 
 2266 ; 3 марки. Пруссия. 100 лет разгрому Наполеона ; 1913 ;  ; Ag ; AU ; 59 ; serg2000 ; 918 
 2267 ; 3 марки. Пруссия ; 1914А ;  ; Ag ; VF-XF ; 33 ; джон007 ; 600 
 2268 ; 3 марки. Пруссия ; 1914А ;  ; Ag ; VF+ ; 43 ; vitapool ; 736 
 2269 ; 3 марки. Бавария. Людвиг III ; 1914D ;  ; Ag ; AU/XF+ ; 28 ; 1999 ; 1224 
 2270 ; 3 марки. Веймар. 1000-летия освобождения Рейланда ; 1925А ;  ; Ag ; AU ; 36 ; golg ; 1151 
 2271 ; 3 марки. Веймар. Лессинг ; 1929А ;  ; Ag ; AU ; 82 ; ez ; 2859 
 2272 ; 3 марки. Веймар. 10 лет конституции ; 1929D ;  ; Ag ; AU ; 40 ; serg2000 ; 1261 
 2273 ; 3 марки. Веймар. 10 лет конституции Веймара ; 1929F ;  ; Ag ; AU ; 56 ; 1tomas ; 1461 
 2274 ; 3 марки. Вемар. Фон дер Фогельвейде ; 1930А ;  ; Ag ; XF+/AU ; 29 ; 1tomas ; 1792 
 2275 ; 3 марки. Веймар. Воссоединение Рейланда ; 1930J ;  ; Ag ; XF/AU ; 76 ; ez ; 2137 
 2276 ; 3 марки. Саксония. Юбилей реформации. Новодел ; 2003 ;  ; Ag ; Proof ; 64 ; serg2000 ; 956 
 2277 ; 2 марки. Пруссия. 200 лет Пруссии ; 1901 ;  ; Ag ; VF-XF ; 20 ; xabib ; 696 
 2278 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 36 ; джон007 ; 809 
 2279 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 42 ; lynx ; 1632 
 2280 ; 2 марки. Бавария. 90 лет принцу-регенту Луитпольду ; 1911D ;  ; Ag ; XF ; 26 ; kollega ; 1200 
 2281 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 38 ; lynx ; 1061 
 2282 ; 2 марки. Пруссия. 100 лет разгрому Наполеона ; 1913 ;  ; Ag ; AU ; 33 ; serg2000 ; 896 
 2283 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 40 ; serg2000 ; 751 
 2284 ; 2 марки. Германия. Мартин Лютер ; 1933А ;  ; Ag ; AU ; 22 ; kollega ; 906 
 2285 ; 1 марка. Германия ; 1959J ;  ; Cu/Ni ; XF ; 15 ; 542 ; 50 
 2286 ; 10 тысяч марок. Германия, Вестфалия, Нотгельд ; 1923 ;  ; Ж/м ; AU ; 98 ; zoom30 ; 850 
 2287 ; 100 марок. Германия, Вестфалия, Нотгельд ; 1923 ;  ; Al ; AU ; 41 ; Sky2 ; 826 
 2288 ; Двойной флорин. Великобритания ; 1887 ;  ; Ag ; AU ; 90 ; hugo ; 4017 
 2289 ; Двойной флорин. Великобритания ; 1887 ;  ; Ag ; AU ; 59 ; Almazin ; 2629 
 2290 ; Крона. Великобритания ; 1889 ;  ; Ag ; XF+/AU ; 37 ; jef688 ; 2591 
 2291 ; 1 крона. Великобритания ; 1889 ;  ; Ag ; XF+ ; 52 ; hugo ; 4513 
 2292 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu/Ni ; AU ; 31 ; lsp25 ; 113 
 2293 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; XF+ ; 48 ; SadKo ; 231 
 2294 ; 1 флорин. Великобритания ; 1928 ;  ; Ag ; XF+ ; 32 ; mifod ; 577 
 2295 ; 1 флорин. Великобритания ; 1931 ;  ; Ag ; XF+ ; 32 ; nikolay ; 444 
 2296 ; 1 флорин. Великобритания ; 1849 ;  ; Ag ; XF+ ; 79 ; veveshnik ; 1977 
 2297 ; 1 флорин. Великобритания ; 1849 ;  ; Ag ; XF+/AU ; 45 ; hugo ; 3820 
 2298 ; 1 шиллинг. Великобритания ; 1887 ;  ; Ag ; XF+ ; 52 ; mifod ; 788 
 2299 ; 1 шиллинг. Великобритания ; 1902 ;  ; Ag ; XF- ; 40 ; VDV ; 1075 
 2300 ; 1 шиллинг. Великобритания ; 1937 ;  ; Ag ; AU ; 35 ; hugo ; 591 
 2301 ; 1 шиллинг. Великобритания ; 1940 ;  ; Ag ; XF+/AU ; 23 ; nikolay ; 371 
 1710 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 44 ; fpd7 ; 111 
 1711 ; 3 рубля. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 100 ; hellraiser ; 300 
 1712 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; XF+ ; 28 ; tron ; 28 
 1713 ; 1 рубль ; 1970 ; 100 лет со дня рождения В.И.Ле ; Cu-Ni ; VF+ ; 23 ; romchik_80 ; 40 
 1714 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-194 ; Cu-Ni ; XF+ ; 52 ; romchik_80 ; 50 
 1715 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF+ ; 18 ; gelind ; 19 
 1716 ; 1 рубль ; 1965 ; 20 лет победы над Германией ; Cu-Ni ; VF+ ; 10 ; tron ; 10 
 1717 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; XF+ ; 28 ; fpd7 ; 28 
 1718 ; 1 рубль ; 1986 ; Международный год мира ; Cu-Ni ; AU ; 28 ; nikolay3 ; 28 
 1719 ; 1 рубль. Упаковка ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 31 ; pak1313 ; 167 
 1720 ; 1 рубль ; 1967 ; 50 лет Советской власти ; Cu-Ni ; VF+ ; 20 ; Danilas_ ; 19 
 1721 ; Лот монет СССР: 5,10,15,20 коп (20шт) ; 1953-1957 ;  ; Ni,Br ; VF+/XF- ; 37 ; breghnevs24 ; 227 
 1722 ; Лот монет СССР: 10,20 коп (20шт) ; 1953-1957 ;  ; Ni ; VF+/XF+ ; 22 ; breghnevs24 ; 227 
 1723 ; Лот монет СССР: 1,2,3,5,10,15 коп (10шт) ; 1983,1989 ;  ; Cu-Ni,Cu-Z ; AU ; 28 ; Инвестор ; 45 
 1724 ; Лот монет СССР: 20,15,3,2 коп (13шт) ; 1928-1950 ;  ; Br,Ni ; F+/VF ; 34 ; Donald ; 705 
 1725 ; Лот монет СССР: 1,2,3 коп (14шт) ; 1926-1957 ;  ; Br ; VF-/VF+ ; 45 ; veveshnik ; 500 
 1726 ; Лот монет СССР: 1,2,3,5,10,15,20 коп (40шт) ; 1957-1989 ;  ; Cu-Ni,Cu-Z ; VF+/AU ; 52 ; latuza48186 ; 53 
 1727 ; Набор монет. Упаковка ; 1996 ; 300 лет Российскому флоту ;  ; Unc ; 28 ; papa3 ; 2790 
 2220 ; Луидор. Франция. Людовик XVI. M-7,61 гр ; 1786А ;  ; Au ; VF-XF ; 57 ; kat24 ; 12500 
 2221 ; 20 марок. Пруссия. Вильгельм I. Ранний тип. М-7,95 гр ; 1872 ;  ; Au ; XF/XF+ ; 19 ; RAPAN ; 8226 
 2222 ; 20 марок. Пруссия. Фридрих. М-7,93 гр ; 1888 ;  ; Au ; XF+/AU ; 21 ; лиса ; 9161 
 2223 ; 20 марок. Пруссия. Вильгельм II. М-7,98 гр ; 1890 ;  ; Au ; AU ; 76 ; lynx ; 8559 
 2224 ; 8 флоринов-20 франков. Австрия. М-6,48 гр ; 1892 ;  ; Au ; AU ; 57 ; лиса ; 8896 
 2225 ; 20 крон. Австрия. М-6,79 гр ; 1894 ;  ; Au ; AU ; 53 ; лиса ; 7142 
 2226 ; 20 франков. Бельгия. М-6,46 гр ; 1875 ;  ; Au ; AU ; 71 ; лиса ; 7914 
 2227 ; 20 франков. Бельгия. М-6,46 гр ; 1914 ;  ; Au ; AU ; 54 ; лиса ; 7142 
 2228 ; 10 гульденов. Нидерланды. М-6,74 гр ; 1879 ;  ; Au ; AU ; 72 ; andem ; 9379 
 2229 ; 10 гульденов. Нидерланды. М-6,74 гр ; 1897 ;  ; Au ; AU ; 52 ; лиса ; 9195 
 2230 ; 10 гульденов. Нидерланды. М-6,74 гр ; 1917 ;  ; Au ; AU ; 61 ; andem ; 9110 
 2231 ; 50 долларов. Багамы. 10 июля - день независимости. М-15,72 гр ; 1973 ;  ; Au ; AU ; 38 ; sherif-69 ; 11887 
 2232 ; 5 юаней. Китай. Единорог ; 1996 ;  ; Au ; Proof-like ; 18 ; lomotok ; 2123 
 2233 ; 5 юаней. Китай. Единорог ; 1996 ;  ; Au ; Proof-like ; 25 ; zemlya ; 2166 
 2234 ; 5 юаней. Китай. Панда ; 1997 ;  ; Au ; Proof-like ; 15 ; lomotok ; 2081 
 2235 ; 10 долларов. Самоа и Сисифо. Корабль "Индевер" ; 1995 ;  ; Au ; Proof ; 33 ; andem ; 2654 
 2236 ; 1000 шиллингов. Танзания. Добыча золота ; 1998 ;  ; Au ; Proof ; 9 ; muslimgauze ; 1938 
 2237 ; 1000 шиллингов. Танзания. Добыча золота ; 1998 ;  ; Au ; Proof ; 11 ; muslimgauze ; 1938 
 2238 ; 1/25 кроны. Остров Мен. Кошка ; 1999 ;  ; Au ; Proof ; 30 ; Kleo ; 2552 
 2239 ; 20 долларов. Острова Кука. 500 лет Америке. Первая высадка человека на луну ; 1995 ;  ; Au ; Proof ; 15 ; muslimgauze ; 1960 
 2240 ; 20 долларов. Острова Кука. 500 лет Алерике - статуя Свободы ; 1995 ;  ; Au ; Proof ; 11 ; muslimgauze ; 1960 
 2241 ; 25 долларов. Ниуэ. Защита окружающей среды - дуб ; 1996 ;  ; Au ; Proof ; 11 ; muslimgauze ; 1960 
 2242 ; 500 тугриков. Монголия. Войска Чингиз-Хана ; 2000 ;  ; Au ; Proof ; 31 ; muslimgauze ; 2081 
 2243 ; 10 долларов. Фиджи. Дакувака - божество акулы ; 2000 ;  ; Au ; Proof ; 15 ; nikolay ; 2156 
 2244 ; Талер. Бавария ; 1809 ;  ; Ag ; VF-/VF+ ; 50 ; kollega ; 3066 
 2245 ; Талер. Пруссия. Коронационный ; 1861 ;  ; Ag ; VF-XF ; 37 ; obob999 ; 1791 
 2246 ; Талер. Пруссия. В честь победы над Францией ; 1871 ;  ; Ag ; VF-XF ; 51 ; lynx ; 1555 
 2247 ; 2/3 талера. Брауншвейг-Вольфенбюттель ; 1779K/MC ;  ; Ag ; VF+ ; 46 ; tau ; 2489 
 2248 ; 16 грошей. Ганновер ; 1832А ;  ; Ag ; VF+ ; 57 ; 1999 ; 1474 
 2249 ; 1 шиллинг. Великобритания. Георг III ; 1787 ;  ; Ag ; XF+ ; 53 ; 223355 ; 2415 
 2250 ; 1 шиллинг. Великобритания. Георг III ; 1787 ;  ; Ag ; XF/AU ; 34 ; pjero ; 3032 
 2251 ; 5 марок. Пруссия. 200 лет Пруссии ; 1901 ;  ; Ag ; AU ; 66 ; lynx ; 3108 
 1660 ; 2 копейки ; 1939 ;  ; Br ; VF+ ; 21 ; Пионер ; 39 
 1661 ; 2 копейки ; 1951 ;  ; Br ; VF- ; 28 ; tss ; 136 
 1662 ; 1 копейка ; 1937 ;  ; Br ; XF+ ; 39 ; sergfokin ; 269 
 1663 ; 20 копеек ; 1941 ; л/с звезда плоская ; Ni ; AU ; 53 ; erdnaj ; 2898 
 1664 ; 15 копеек ; 1938 ;  ; Ni ; VF-XF ; 2 ; GVBGVB ; 102 
 1665 ; 10 копеек ; 1939 ;  ; Ni ; VF-XF ; 4 ; o.k. ; 105 
 1666 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF- ; 17 ; solder13 ; 153 
 1667 ; 20 копеек ; 1924 ;  ; Ag ; F-VF ; 34 ; Инвестор ; 119 
 1668 ; 20 копеек ; 1925 ;  ; Ag ; VF+ ; 34 ; Инвестор ; 119 
 1669 ; 20 копеек ; 1928 ;  ; Ag ; VF-XF ; 34 ; Инвестор ; 119 
 1670 ; 20 копеек ; 1929 ;  ; Ag ; VF ; 39 ; Инвестор ; 90 
 1671 ; 15 копеек ; 1925 ;  ; Ag ; VF-XF ; 29 ; Инвестор ; 90 
 1672 ; 15 копеек ; 1927 ;  ; Ag ; VF-XF ; 12 ; ForeverYoung ; 93 
 1673 ; 10 копеек ; 1925 ;  ; Ag ; VF ; 34 ; Инвестор ; 119 
 1674 ; 20 копеек ; 1955 ;  ; Ni ; XF+ ; 62 ; Инвестор ; 90 
 1675 ; 15 копеек ; 1948 ;  ; Ni ; VF+ ; 28 ; Инвестор ; 90 
 1676 ; 10 копеек ; 1953 ;  ; Ni ; VF-XF ; 26 ; Инвестор ; 45 
 1677 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF- ; 20 ; bh ; 29 
 1678 ; 10 копеек ; 1967 ;  ; Cu-Ni ; AU ; 51 ; nikolay ; 317 
 1679 ; 50 копеек ; 1974 ;  ; Cu-Ni ; VF-XF ; 19 ; joss2010 ; 47 
 1680 ; 20 копеек ; 1946 ; л/с звезда плоская ; Ni ; F ; 5 ; GVBGVB ; 5 
 1681 ; 15 копеек ; 1935 ;  ; Ni ; F ; 17 ; alex995 ; 26 
 1682 ; 10 копеек ; 1955 ;  ; Ni ; VF ; 4 ; bh ; 4 
 1683 ; 10 копеек ; 1936 ;  ; Ni ; F ; 7 ; Рэп-6 ; 6 
 1684 ; 5 рублей ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; Proof ; 56 ; pak1313 ; 384 
 1685 ; 5 рублей ; 1989 ; Благовещенский собор в Москве ; Cu-Ni ; Proof ; 4 ; tisa66 ; 204 
 1686 ; 5 рублей ; 1990 ; Успенский собор в Москве ; Cu-Ni ; Proof ; 5 ; pak1313 ; 105 
 1687 ; 5 рублей ; 1988 ; Памятник в Новгороде "Тысячеле ; Cu-Ni ; Proof ; 21 ; masha ; 206 
 1688 ; 5 рублей ; 1991 ; Архангельский собор в Москве ; Cu-Ni ; Proof ; 12 ; kartem05 ; 132 
 1689 ; 5 рублей ; 1989 ; Собор Покрова на рву в Москве ; Cu-Ni ; Proof ; 17 ; lm5665 ; 141 
 1690 ; 5 рублей ; 1990 ; Большой дворец в Петродворце ; Cu-Ni ; Proof ; 18 ; masha ; 208 
 1691 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде ; Cu-Ni ; Proof ; 27 ; Coins911 ; 175 
 1692 ; 5 рублей ; 1991 ; Здание Госбанка СССР в Москве ; Cu-Ni ; Proof ; 10 ; lesnik1 ; 149 
 1693 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; Proof ; 16 ; alexey_s ; 167 
 1694 ; 5 рублей ; 1988 ; Софийский собор в Киеве ; Cu-Ni ; Proof ; 20 ; pak1313 ; 187 
 1695 ; 5 рублей ; 1990 ; Матенадаран.Ереван ; Cu-Ni ; Proof ; 19 ; lesnik1 ; 129 
 1696 ; 3 рубля ; 1992 ; "Северный конвой" ; Cu-Ni ; Proof ; 20 ; gors ; 363 
 1697 ; 3 рубля ; 1992 ; Международный год космоса ; Cu-Ni ; Proof ; 17 ; kartem05 ; 211 
 1698 ; 3 рубля ; 1992 ; 750 лет победы А.Невского ; Cu-Ni ; Proof ; 8 ; kartem05 ; 180 
 1699 ; 3 рубля ; 1995 ; Взятие Берлина ; Cu-Ni ; Proof ; 22 ; gors ; 516 
 1700 ; 3 рубля ; 1995 ; Встреча на Эльбе. ; Cu-Ni ; Proof ; 63 ; vatom22 ; 619 
 1701 ; 3 рубля ; 1995 ; Капитуляция Германии ; Cu-Ni ; Proof ; 16 ; vatom22 ; 370 
