 151 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; VF-XF ; 18 ; CapsulЪ ; 4600 
 4081 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 36 ; у44 ; 320 
 4082 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 13 ; Виталий 64 ; 500 
 4083 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 57 ; Sky2 ; 308 
 4084 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 83 ; Синица ; 416 
 4085 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; ac ; 3185 
 4086 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 55 ; AndrCh58 ; 287 
 4087 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Greenfields ; 83 
 3653 ; Лот монет Финляндии (30шт) ; 1963-1989 ;  ; Cu/Ni,Al/Br,Al ; VF+/XF+ ; 59 ; LAB-A ; 376 
 3654 ; Лот монет Финляндии (129шт) ; XX в ;  ; Cu/Ni,Al/Br,Ag ; VF/XF ; 57 ; DVZ ; 835 
 3655 ; Лот монет Кабо-Верде (корабли и черепаха): 5шт ; 1994 ;  ; Би/м,Лат,Cu-Ni ; F-VF/VF ; 53 ; smel ; 165 
 3656 ; Лот монет Кабо-Верде (растения и черепаха): 6шт ; 1994 ;  ; Би/м,Лат,Cu-Ni ; F-VF/VF+ ; 26 ; aurin1 ; 199 
 3657 ; Лот монет Аргентины: 2шт ; 1949-1950 ;  ; Al/Br ; VF-/VF ; 30 ; pvg ; 165 
 3658 ; Лот монет Белиза: 5шт ; 1991-2003 ;  ; Cu-Ni ; AU ; 23 ; Mikola_1 ; 163 
 3659 ; Лот монет Суринама: 6шт ; 1970-1989 ;  ; Cu-Ni,Br ; AU ; 29 ; BST ; 258 
 3660 ; Лот монет Фолклендских о-в: 4шт ; 1987-1992 ;  ; Cu-Ni,Br ; VF/VF-XF ; 71 ; МАВ21 ; 183 
 3661 ; Лот монет Перу: 3шт ; 1956-1963 ;  ; Лат ; F-VF/VF- ; 29 ; vc57 ; 114 
 3662 ; Лот монет Бразилии: 6шт ; 2002-2003 ;  ; Би/м,Лат,Br/St ; XF/AU ; 31 ; petpet ; 117 
 3663 ; Лот монет Ямайки: 5шт ; 1992-2000 ;  ; Би/м,Ni/S,Br/St ; VF/XF ; 39 ; 2262н ; 95 
 3664 ; Лот монет Британских Карибских Территорий (Елизавета II): 4шт ; 1955-1965 ;  ; Cu-Ni,Лат ; F/VF ; 42 ; sobiranel ; 161 
 3665 ; Лот монет Восточных Карибских Территорий: 5шт ; 1986-1999 ;  ; Cu-Ni,Al ; VF/XF- ; 17 ; t_v_v ; 112 
 3666 ; Лот монет Мексики: 3шт ; 1985-1986 ;  ; Cu-Ni,Лат,St ; VF/XF ; 11 ; werespider ; 93 
 3667 ; Лот монет Нидерландских Антильских о-в: 6шт ; 1989-1993 ;  ; Cu-Ni,Al,лат ; AU ; 64 ; Mikola_1 ; 258 
 3668 ; Лот монет США: 6шт ; 1966-2010 ;  ; Cu-Ni ; VF/AU ; 61 ; vk-man ; 97 
 3669 ; Лот монет Чили: 3шт ; 1976-1987 ;  ; Cu-Ni,Лат ; VF-/VF ; 42 ; BST ; 114 
 3670 ; Лот монет Исландии: 3шт ; 1959-1965 ;  ; Cu-Ni,Br ; VF/VF+ ; 43 ; pvg ; 289 
 3671 ; Лот монет Эквадор: 1 сукре (2шт) ; 1970-1975 ;  ; Cu-Ni ; VF ; 26 ; buver ; 39 
 3672 ; Лот монет Франции: 9шт ; 1960-1975 ;  ; Al/Br,St,Cu-Ni ; VF+/AU ; 22 ; KMTKMP ; 38 
 3673 ; Лот монет Испании: 10шт ; 1949 ;  ; Cu-Ni ; VG/VF ; 16 ; zx123 ; 51 
 3674 ; Лот монет Канады: 7шт ; 1968-1981 ;  ; Cu-Ni ; VF/XF ; 11 ; Vadik ; 50 
 3675 ; Лот монет Израиля: 8шт ;  ;  ; Cu-Ni,Al,лат ; VF/XF ; 48 ; aurin1 ; 223 
 3676 ; Лот монет Испании: 10шт ; 1975 ;  ; Лат ; VF/XF ; 16 ; KNK ; 32 
 3677 ; Лот монет Бельгии: 10шт ; 1941-1946 ;  ; Zn ; F/VF ; 30 ; DVZ ; 83 
 3678 ; Лот монет Канады: 10шт ; 1959-1985 ;  ; Br ; VF/XF ; 29 ; KMTKMP ; 35 
 3679 ; Лот монет Бразилии и Аргентины: 10шт ; 1949-1992 ;  ; Лат,St ; VF/AU ; 47 ; t_v_v ; 92 
 3680 ; Лот монет Нидерландов: 16шт ; 1951-1979 ;  ; Cu-Ni,Br ; VF/XF ; 23 ; волга ; 55 
 3681 ; Лот монет Испании: 10шт ; 1959-1997 ;  ; Cu-Ni,Лат,Al ; VF/XF ; 33 ; Vadik ; 59 
 3682 ; Лот монет Финляндии: 7шт ; 1920-1963 ;  ; Br,Лат,Al ; F/VF+ ; 21 ; koga ; 84 
 3683 ; Лот монет Греции: 6шт ; 1954-1966 ;  ; Cu-Ni,Al ; F-VF/VF ; 56 ; andreyM ; 63 
 3684 ; Лот монет Швеции: 10шт ; 1922-1956 ;  ; Br,Fe ; F-VF/VF ; 16 ; zx123 ; 47 
 3685 ; Лот монет Нидерландов, Бельгии и Франции: 8шт ; 1977-1993 ;  ; Cu-Ni,Al/Br ; VF/XF- ; 29 ; andreyM ; 34 
 3686 ; Лот монет Латвии: 17шт ; 1992-2008 ;  ; Cu-Ni,Al/Br,Br ; VF-/VF+ ; 35 ; DVZ ; 75 
 3687 ; Лот монет Литвы: 15шт ; 1991 ;  ; Al,Br ; VF/XF ; 47 ; волга ; 46 
 3688 ; Лот монет Казахстан, Туркменистан и Узбекистан: 10шт ; 1993-2000 ;  ; Cu-Ni,лат,Br ; VF/XF- ; 72 ; AGM62 ; 116 
 3689 ; Лот монет Финляндии: 13шт ; 1973-1993 ;  ; Al,Br,лат ; VF/XF ; 20 ; LAB-A ; 55 
 3690 ; Лот монет Украины: 21шт ; 1992-2009 ;  ; Al,St,лат ; VF/XF ; 24 ; asparagus ; 39 
 3691 ; Лот монет ФРГ: 1 марка, 50 пфеннигов (9шт) ; 1950-1990 ;  ; Cu-Ni ; VF/VF-XF ; 46 ; lubopitnaja ; 143 
 3692 ; Лот монет Кореи, Португалии и Швеции: 3шт ; 1921-1984 ;  ; Cu-Ni ; VF- ; 26 ; asparagus ; 34 
 3693 ; Лот монет Великобритании: 6 пенсов (2шт) ; 1955, 1959 ;  ; Cu-Ni ; VF+ ; 43 ; petpet ; 45 
 3694 ; Лот монет Великобритании: 1 шиллинг (2шт) ; 1953, 1954 ;  ; Cu-Ni ; VF-/VF ; 28 ; petpet ; 38 
 3695 ; Лот монет США: 1/4 доллара (2шт) ; 1999Р ;  ; Cu-Ni ; XF-/XF+ ; 16 ; military ; 50 
 3696 ; Лот монет США: 1/4 доллара (2шт) ; 2000 P,D ;  ; Cu-Ni ; XF-/XF+ ; 8 ; Gell13 ; 43 
 3697 ; Лот монет США: 1/4 доллара (2шт) ; 2000 P,D ;  ; Cu-Ni ; XF-/XF ; 16 ; Drunja33 ; 50 
 3698 ; Лот монет Германии, Франции: 5,2 евроцента (3шт) ; 2002, 2010 ;  ; Cu/St ; VF/VF+ ; 11 ; alex995 ; 22 
 3699 ; Лот монет Швеции: 18шт ; 1939-1971 ;  ; Br,Fe ; VF-/VF ; 28 ; Searcher ; 116 
 3700 ; Лот монет Швеции: 35шт ; 1912-1971 ;  ; Br,Fe ; F-VF/VF ; 42 ; tss ; 165 
 3701 ; Лот монет Швеции: 32шт ; 1920-1970 ;  ; Br,Fe ; F-VF/VF ; 36 ; tss ; 155 
 3702 ; Лот монет Швеции: 15шт ; 1953-1971 ;  ; Br ; VF-/VF ; 23 ; tss ; 73 
 3603 ; Лот монет Греции (9шт) ; 1976-1990 ;  ; Cu-Ni ; VF/VF+ ; 14 ; волга ; 39 
 3604 ; Лот монет Нидерланды (6шт) ; 1967-1980 ;  ; Cu-Ni ; VF+/VF-XF ; 31 ; alex995 ; 32 
 3605 ; Лот монет Греции (10шт) ; 1976-2000 ;  ; Cu-Ni ; VF/VF+ ; 18 ; DVZ ; 48 
 3606 ; Лот монет Греции (7шт) ; 1976-1990 ;  ; Cu-Ni ; VF/VF+ ; 11 ; vlad668 ; 35 
 3607 ; Лот монет Греции (10шт) ; 1976-1998 ;  ; Cu-Ni ; VF-XF/XF ; 9 ; vlad668 ; 35 
 3608 ; Лот монет Норвегии (5шт) ; 1969-1972 ;  ; Cu-Ni ; VF/VF+ ; 38 ; tlelaxu ; 56 
 3609 ; Лот монет Греции (10шт) ; 1976-1994 ;  ; Cu-Ni ; VF/VF+ ; 10 ; KMTKMP ; 35 
 3610 ; Лот монет Греции (8шт) ; 1976-1992 ;  ; Cu-Ni ; VF/VF+ ; 21 ; vlad668 ; 34 
 3611 ; Лот монет Греции (10шт) ; 1976-1990 ;  ; Cu-Ni ; VF/VF+ ; 22 ; Tartan ; 36 
 3612 ; Лот монет Испании (12шт) ; 1975-1984 ;  ; Cu-Ni ; VF/VF+ ; 35 ; Tartan ; 35 
 3613 ; Лот монет Украины (9шт) ; 1992-2007 ;  ; Ni, лат ; VF/VF-XF ; 12 ; волга ; 22 
 3614 ; Лот монет США (10шт) ; 1980-1989 ;  ; Cu-Zn ; VF/XF- ; 31 ; uharius ; 32 
 3615 ; Лот монет Норвегии (5шт) ; 1953-1972 ;  ; Br ; VF/VF+ ; 37 ; asparagus ; 46 
 3616 ; Лот монет Нидерланды (9шт) ; 1948-1966 ;  ; Cu-Ni ; VF-XF/XF ; 17 ; alex995 ; 32 
 3617 ; Лот монет Греции (5шт) ; 1976-1988 ;  ; Cu-Ni ; VF/VF+ ; 12 ; vlad668 ; 27 
 3618 ; Лот монет Норвегии (12шт) ; 1975-1977 ;  ; Cu-Ni ; VF/VF-XF ; 28 ; KMTKMP ; 46 
 3619 ; Лот монет Норвегии, Швеции (19шт) ; 1952-1973 ;  ; Cu-Ni ; VF/VF-XF ; 20 ; koga ; 54 
 3620 ; Лот монет Японии (5шт) ; 20 век ;  ; Br ; VF/VF+ ; 10 ; Tartan ; 36 
 3621 ; Лот монетДании (18шт) ; 19731981 ;  ; Br ; VF/VF+ ; 12 ; alex995 ; 51 
 3622 ; Лот монет Турции (3шт) ; 1992-1994 ;  ; Cu-Ni ; VF-/VF ; 21 ; vlad668 ; 36 
 3623 ; Лот монет Финляндии (20шт) ; 1963-1969 ;  ; Cu ; VF/XF ; 17 ; EgSasha ; 100 
 3624 ; Лот монет Норвегии (10шт) ; 1954-1968 ;  ; Cu-Ni ; VF/VF-XF ; 17 ; koga ; 34 
 3625 ; Лот монет Дании, Чехословакии (6шт) ; 1964-1990 ;  ; Br, латунь ; VF/VF+ ; 17 ; Tartan ; 34 
 3626 ; Лот монет Востока (7шт) ; XX ;  ; Ж/м ; VF/VF+ ; 41 ; StanislavAK ; 138 
 3627 ; Лот монет Востока (8шт) ; XX ;  ; Ж/м ; VF/VF+ ; 63 ; AGM62 ; 131 
 3628 ; Лот монет Норвегии (10шт) ; 1952-1967 ;  ; Cu-Ni ; VF/VF-XF ; 15 ; KMTKMP ; 38 
 3629 ; Лот монет Норвегии (10шт) ; 1952-1968 ;  ; Cu-Ni ; VF/VF-XF ; 7 ; koga ; 32 
 3630 ; Лот монет Норвегии (10шт) ; 1952-1969 ;  ; Cu-Ni ; VF/VF-XF ; 11 ; KMTKMP ; 32 
 3631 ; Лот монет Гамбии, Фиджи, Малави: 3шт ; 1989-1998 ;  ; Cu-Ni ; XF/AU ; 45 ; vc57 ; 116 
 3632 ; Лот монет Северной Кореи (Животные): 7шт ; 2002 ;  ; Al ; AU ; 27 ; t_v_v ; 185 
 3633 ; Лот монет Северной Кореи (Животные): 7шт ; 2002 ;  ; Al ; AU ; 79 ; МНП68 ; 197 
 3634 ; Лот монет Северной Кореи (Техника): 7шт ; 2002 ;  ; Al,лат ; AU ; 43 ; sikachai ; 315 
 3635 ; Лот монет Северной Кореи (Техника): 7шт ; 2002 ;  ; Al,лат ; AU ; 44 ; vova10 ; 357 
 3636 ; Лот монет Северной Кореи (Животные): 7шт ; 2002 ;  ; Al ; AU ; 74 ; vova10 ; 213 
 3637 ; Лот монет Уругвая: 4шт ; 2011 ;  ; Би/м,лат ; AU ; 31 ; BST ; 186 
 3638 ; Лот монет Уганды: 4шт ; 2007-2008 ;  ; Cu-Ni,лат ; AU ; 31 ; ask ; 123 
 3639 ; Лот монет Конго: 4шт ; 2004 ;  ; Ni/St ; AU ; 37 ; MC17 ; 159 
 3640 ; Лот монет Сомали: 4шт ; 2002 ;  ; Al,лат ; AU ; 14 ; sveta6369 ; 126 
 3641 ; Лот монет Сейшелл: 6шт ; 2003-2007 ;  ; Cu-Ni,лат ; AU ; 76 ; AGM62 ; 124 
 3642 ; Лот монет Мальдивы: 6шт ; 1990-2007 ;  ; Cu-Ni,лат,Al ; AU ; 34 ; AGM62 ; 185 
 3643 ; Лот монет Сейшелл: 6шт ; 2003-2007 ;  ; Cu-Ni,лат ; AU ; 32 ; alskr ; 124 
 3644 ; Лот монет Cомали (Китайский гороскоп): 10 шиллингов (12шт) ; 2000 ;  ; Ni/St ; AU ; 96 ; фёкла ; 417 
 3645 ; Лот монет Cомали (Гороскоп): 10 шиллингов (12шт) ; 2006 ;  ; Ni/St ; AU ; 33 ; фёкла ; 420 
 3646 ; Лот монет Македонии: 6шт ; 2008 ;  ; Cu-Ni,лат ; AU ; 39 ; AGM62 ; 166 
 3647 ; Лот монет Лаоса: 3шт ; 1952 ;  ; Al ; AU ; 52 ; pvg ; 206 
 3648 ; Лот монет Самоа: 5шт ; 2006 ;  ; Cu-Ni,лат ; AU ; 20 ; aurin1 ; 238 
 3649 ; Лот монет Сомалилэнда: 5шт ; 2002-2005 ;  ; Al,лат ; AU ; 5 ; POSHEXON ; 120 
 3650 ; Лот монет Замбии: 5шт ; 1992 ;  ; Cu-Ni,лат ; AU ; 46 ; Mikola_1 ; 185 
 3651 ; Лот монет Танзании: 5шт ; 1975-1992 ;  ; Cu-Ni,лат,Br ; AU ; 34 ; sveta6369 ; 218 
 3652 ; Лот монет Малави: 4шт ; 1989-1991 ;  ; Cu-Ni,Br ; AU ; 49 ; Mikola_1 ; 198 
 3553 ; Лот монет Финляндия: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 43 ; alex66 ; 201 
 3554 ; Лот монет Люксембурга: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 41 ; Рыба ; 438 
 3555 ; Лот монет Бельгии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2007-2011 ;  ; Би/м, Cu/St,лат ; AU ; 36 ; petpet ; 200 
 3556 ; Лот монет Германии: 1 евро, 50,20,10,5,2,1 евроцентов (шт) ; 2002-2011 ;  ; Би/м, Cu/St,лат ; AU ; 67 ; alex66 ; 206 
 3557 ; Лот монет Германии, Испании, Австрии, Финляндии, Нидерландов: 5 евроцентов (5шт) ; 1999-2007 ;  ; Cu/St ; XF/AU ; 34 ; vladimir-sirke ; 40 
 3558 ; Лот монет Австрии, Германии, Словении, Италии: 2 евроцентов (4шт) ; 2005-2009 ;  ; Cu/St ; XF-/XF ; 36 ; VladVK ; 55 
 3559 ; Лот монет Нидерландов, Германии, Австрии, Франции: 1 евроцентов (4шт) ; 2001-2009 ;  ; Cu/St ; XF-/XF ; 27 ; vladimir-sirke ; 38 
 3560 ; Лот монет США: 1 цент (3шт) ; 2009,2010 ;  ; Cu-Zn ; XF/XF+ ; 23 ; petpet ; 51 
 3561 ; Лот монет США: 1 цент (2шт) ; 2010 ;  ; Cu-Zn ; AU ; 15 ; EgSasha ; 31 
 3562 ; Лот монет США: 5 центов (5шт) ; 1963-1992 ;  ; Cu-Ni ; VF-/VF ; 24 ; alex995 ; 33 
 3563 ; Лот монет Великобритании (11шт) ; 1969-2008 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 51 ; asparagus ; 65 
 3564 ; Лот монет Норвегии, Чехии, Дании (4шт) ; 1982, 1987, 2000 ;  ; Cu-Ni, ж/м ; VF/XF ; 13 ; EgSasha ; 30 
 3565 ; Лот монет Израиля (7шт) ;  ;  ; Cu-Ni, ж/м ; VF+/XF ; 46 ; aurin1 ; 113 
 3566 ; Лот монет Финляндии (5шт) ; 1942-1963 ;  ; Fe, ж/м ; VF-/VF ; 27 ; vladimir-sirke ; 68 
 3567 ; Лот монет США (2шт) ; 1904, 1988 ;  ; Cu-Ni, ж/м ; VF-/XF ; 76 ; купидон ; 104 
 3568 ; Лот монет Финляндии (6шт) ; 1963-1988 ;  ; Al, ж/м ; VF/XF- ; 27 ; koga ; 34 
 3569 ; Лот монет Финляндии (4шт) ; 1920-1944 ;  ; Cu-Ni, ж/м ; VF-/VF ; 26 ; zx123 ; 53 
 3570 ; Лот монет Хорватии (7шт) ; 1993-2007 ;  ; Al, Cu-Ni, ж/м ; VF-/XF- ; 55 ; tlelaxu ; 70 
 3571 ; Лот монет Израиля (5шт) ;  ;  ; Al, Cu-Ni, ж/м ; VF-/VF+ ; 47 ; asparagus ; 47 
 3572 ; Лот монет Израиля (5шт) ;  ;  ; Al, Cu-Ni, ж/м ; VF-/VF ; 34 ; asparagus ; 47 
 3573 ; Лот монет Финляндии (4шт) ; 1982-1993 ;  ; Cu-Ni, ж/м ; VF-/VF+ ; 14 ; LAB-A ; 29 
 3574 ; Лот монет Филиппин (7шт) ; 1983-1993 ;  ; Al, Cu-Ni, лату ; XF/AU ; 69 ; aurin1 ; 213 
 3575 ; Лот монет Греции, Турции, Японии, Израиля, Португалии, Южной Африки, Кубы, Венесуэлы, Тайланда (10шт) ; 1977-2004 ;  ; Cu/Ni,Al/Br ; VF/XF+ ; 50 ; Спанчбоб ; 160 
 3576 ; Лот монет Дании, Венгрии, Великобритании, Германии, Австрии, Италии, Франции (10шт) ; 1972-2001 ;  ; Cu/Ni,Al/Br,St ; VF/XF+ ; 50 ; MC17 ; 76 
 3577 ; Лот монет Финляндии, Швеции (11шт) ; 1969-2004 ;  ; Би/м,Cu/Ni,лат ; VF/XF ; 80 ; Rober ; 149 
 3578 ; Лот монет Эстонии, Бельгии, Германии (9шт) ; 1991-2008 ;  ; Cu/Fe,Ni/Fe,Лат ; VF/VF-XF ; 51 ; t_v_v ; 51 
 3579 ; Лот монет Великобритании, Канады, США (6шт) ; 1920-1991 ;  ; Br,Cu/Ni ; VF-/VF ; 14 ; EgSasha ; 50 
 3580 ; Лот монет Германии, Польши, Италии, Румынии, Узбекистана, Исландии, Венгрии, Франции, Латвии, Франции, Кипра, Латвии (14шт) ; 1939-2001 ;  ; Cu/Ni,Al/Br,Al ; VF-/VF+ ; 25 ; zx123 ; 65 
 3581 ; Лот монет США: 5 центов (2шт) ; 2005 ;  ; Cu-Ni ; AU ; 6 ; petpet ; 27 
 3582 ; Лот евромонет Финляндии, Эстонии, Испании, Греции (11шт) ; 1999-2011 ;  ; Br,ж/м ; VF/VF-XF ; 39 ; USS ; 47 
 3583 ; Лот монет Египта (2шт) ; 20 век ;  ; Би/м ; VF/VF+ ; 24 ; asparagus ; 24 
 3584 ; Лот монет США (3шт) ; 1986-1997 ;  ; Cu-Ni ; VF-/VF ; 27 ; strestas ; 34 
 3585 ; Лот монет Великобритани (5шт) ; 1954-1966 ;  ; Cu-Ni ; VF+/XF ; 32 ; petpet ; 57 
 3586 ; Лот монет Дании (5шт) ; 1948-1961 ;  ; Zn ; VF-/VF ; 9 ; zx123 ; 27 
 3587 ; Лот монет США (10шт) ; 1968-2006 ;  ; Cu-Zn ; VF-/AU ; 16 ; Leprikon ; 30 
 3588 ; Лот монет Дании (3шт) ; 1954-1957 ;  ; Zn ; VF-/VF ; 11 ; zx123 ; 27 
 3589 ; Лот монет Бельгии (8шт) ; 1957-1993 ;  ; Br ; VF/VF+ ; 13 ; волга ; 35 
 3590 ; Лот монет Франции (8шт) ; 1976-1984 ;  ; Ni/Лат ; VF/VF+ ; 19 ; DVZ ; 48 
 3591 ; Лот монет Италии (5шт) ; 1956-1981 ;  ; St ; XF-/XF+ ; 24 ; alex995 ; 32 
 3592 ; Лот монет Норвегии (6шт) ; 1963-1983 ;  ; Cu-Ni ; VF/VF+ ; 17 ; zx123 ; 79 
 3593 ; Лот монет Новой Зеландии, Великобритании (3шт) ; 1966-1981 ;  ; Cu-Ni ; VF/VF+ ; 13 ; Tartan ; 28 
 3594 ; Лот монет США (10шт) ; 1964-2006 ;  ; Cu-Zn ; VF-/XF ; 13 ; KMTKMP ; 34 
 3595 ; Лот монет США (9шт) ; 1972-2002 ;  ; Cu-Zn ; VF-/VF-XF ; 9 ; KMTKMP ; 32 
 3596 ; Лот монет Нидерланды (10шт) ; 1950-1969 ;  ; Cu-Ni ; VF/XF ; 18 ; KMTKMP ; 44 
 3597 ; Лот монет Франции (10шт) ; 1975-1987 ;  ; Ni/Лат ; VF/VF+ ; 24 ; KMTKMP ; 83 
 3598 ; Лот монет Нидерланды (10шт) ; 1967-1980 ;  ; Cu-Ni ; VF-/VF ; 56 ; KMTKMP ; 62 
 3599 ; Лот монет Греции (10шт) ; 1976-1992 ;  ; Cu-Ni ; VF-XF/XF ; 22 ; KMTKMP ; 45 
 3600 ; Лот монет США (10шт) ; 1970-2004 ;  ; Cu-Zn ; VF/VF+ ; 19 ; KMTKMP ; 32 
 3601 ; Лот монет США (10шт) ; 1961-2007 ;  ; Cu-Zn ; VF+/XF- ; 11 ; KMTKMP ; 32 
 3602 ; Лот монет Франции (8шт) ; 1976-1984 ;  ; Ni/Лат ; VF-/VF+ ; 15 ; zx123 ; 37 
 3503 ; Лот монет Германии: 6шт ; 1938-1943 ;  ; Zn,лат ; F/VF ; 31 ; Alex75 ; 320 
 3504 ; Лот монет Германии: 8шт ; 1917-1943 ;  ; Br,Zn,Fe ; F/VF- ; 16 ; rik ; 216 
 3505 ; Лот монет Болгарии, Великобритании, Иордании (4шт) ; 1971-1992 ;  ; Cu/Ni,Cu,Al/Br ; VF/VF+ ; 25 ; asparagus ; 40 
 3506 ; Лот монет Греции, Швеции, Сейшельских о-в (3шт) ; 1982-1999 ;  ; Латунь ; XF-/XF+ ; 46 ; EgSasha ; 100 
 3507 ; Лот монет Германии: 3шт ; 1908-1939 ;  ; Br,Лат ; VF-/VF ; 44 ; zx123 ; 94 
 3508 ; Лот монет Великобритании, Барбадоса, Тувалу, Сальвадора: 4шт ; 1938-1985 ;  ; Br,Лат ; VF/VF+ ; 61 ; temichek ; 164 
 3509 ; Лот монет Польши: 2шт ; 1768,1812 ;  ; Cu ; F/F+ ; 66 ; МНП68 ; 324 
 3510 ; Лот монет Югославии (5шт) ; 1953-1986 ;  ; Cu/Ni,Al/Br,Al ; VF/XF ; 33 ; asparagus ; 61 
 3511 ; Лот монет Франции (4шт) ; 1958-1972 ;  ; Cu/Ni,Al/Br ; VF/VF+ ; 20 ; EgSasha ; 50 
 3512 ; Лот монет Швеции (4шт) ; XVIIв, 1933-1946 ;  ; Ag,Cu,Fe ; F/VF ; 39 ; барсик ; 94 
 3513 ; Лот монет Норвегии (4шт) ; 1960-1982 ;  ; Cu/Ni,Cu ; VF+/XF ; 24 ; 2262н ; 51 
 3514 ; Лот монет Великобритании, Германии, Эстонии, Финляндии (5шт) ; 1914-1948 ;  ; Cu/Ni,Cu,Al/Br ; F/F+ ; 62 ; koga ; 87 
 3515 ; Лот монет Сан Марино (3шт) ; 1973 ;  ; Al, St ; AU ; 71 ; asparagus ; 201 
 3516 ; Лот монет Тайланда (4шт) ;  ;  ; Cu-Ni, ж/м ; XF+/AU ; 11 ; alex995 ; 26 
 3517 ; Лот монет Дании: 10 эре (12шт) ; 1948-1972 ;  ; Cu-Ni ; VF+/XF- ; 28 ; EgSasha ; 120 
 3518 ; Лот монет Кабо-Верде (корабли и черепаха): 6шт ; 1994 ;  ; Br,Лат,Би/м,Cu- ; F/VF ; 45 ; Атлантик ; 227 
 3519 ; Лот монет Кабо-Верде (растения и черепаха): 6шт ; 1994 ;  ; Br,Лат,Би/м,Cu- ; VF/VF+ ; 34 ; МАВ21 ; 183 
 3520 ; Лот монет Дании, Великобритании, Польши, Нидерландов, Румынии, Югославии, Болгарии, Бразилии, Германии (11шт) ; 1895-1942 ;  ; Zn,Br,Ni,Лат ; VF-/VF+ ; 38 ; велес ; 334 
 3521 ; Лот иностранных монет (фауна): 13шт ; 1939-2005 ;  ; Al,Br,Cu-Ni ; VF/AU ; 37 ; MC17 ; 144 
 3522 ; Лот монет Швеции: 7шт ; 1971-2003 ;  ; Cu-Ni,Br ; VF/XF ; 34 ; EgSasha ; 58 
 3523 ; Лот монет ФРГ и ГДР: 3шт ; 1977-1991 ;  ; Cu-Ni,Al/Br,Al ; VF-/VF ; 21 ; EgSasha ; 35 
 3524 ; Лот монет Чехии: 4шт ; 1993-2001 ;  ; Cu-Ni,Al ; VF/XF ; 17 ; EgSasha ; 25 
 3525 ; Лот монет Дании и Нидерландов: 4шт ; 1975-1993 ;  ; Cu-Ni,Br ; VF/VF+ ; 15 ; asparagus ; 51 
 3526 ; Лот монет Турции: 3шт ; 1996-2002 ;  ; Cu-Ni-Zn ; VF/VF+ ; 18 ; EgSasha ; 50 
 3527 ; Лот монет Франции: 3шт ; 1980-1987 ;  ; Cu-Ni,Al/Br ; VF/VF-XF ; 16 ; rekaSvir ; 51 
 3528 ; Лот монет Бельгии: 4шт ; 1977-1996 ;  ; Cu-Ni ; VF-/XF ; 11 ; EgSasha ; 50 
 3529 ; Лот монет Греции: 3шт ; 1990-1992 ;  ; Cu-Ni,лат ; VF/XF ; 20 ; AGM62 ; 46 
 3530 ; Лот монет Чешской Р: 2шт ; 1995 ;  ; Cu-Ni ; VF-XF ; 4 ; alex995 ; 22 
 3531 ; Лот монет Исландии, Румынии, Турции, Испании, Югославии: 5шт ; 1957-2005 ;  ; Cu-Ni,Br,Al ; VF-/VF ; 10 ; Leprikon ; 28 
 3532 ; Лот монет Швейцарии: 7шт ; 1938-1993 ;  ; Cu-Ni,Лат ; VF/XF+ ; 32 ; AGM62 ; 75 
 3533 ; Лот монет Эстонии: 3шт ; 1992-2002 ;  ; Лат ; VF/VF+ ; 11 ; волга ; 12 
 3534 ; Лот монет Финляндии: 3шт ; 1991-1993 ;  ; Cu-Ni,Лат ; VF/VF+ ; 18 ; StanislavAK ; 24 
 3535 ; Лот монет Чешской Р и Чехословакии: 6шт ; 1953-2002 ;  ; Cu-Ni,Лат,Al ; VF/VF-XF ; 20 ; EgSasha ; 50 
 3536 ; Лот монет Израиля, Украины, Латвии и ФРГ + жетон (5шт) ; 1987-1992 ;  ; Лат,Cu-Ni ; VF-/VF ; 11 ; Harlock ; 24 
 3537 ; Лот монет Бельгии (4шт): 5,10,25 сантимов, 1 франк ; 1942-1944 ;  ; Zn ; F/F+ ; 22 ; В1951 ; 108 
 3538 ; Лот монет Великобритании (2шт): 1,2, шиллинга ; 1948-1956 ;  ; Cu/Ni ; VF- ; 34 ; petpet ; 100 
 3539 ; Лот монет Греции (3шт): 10 лепт, 2,10 драхм ; 1954-1988 ;  ; Al,Cu/Ni ; VF ; 16 ; EgSasha ; 50 
 3540 ; Лот монет Италии (3шт): 20 чентезими, 5 лир ; 1913-1954 ;  ; Cu/Ni,Ni,Al ; F/VF ; 33 ; zelya ; 42 
