 3277 ; Бона иностранная ;  ;  ;  ;  ; 60 ; necator ; 143 
 3007 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 11 ; jagerV ; 174 
 3008 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 14 ; jagerV ; 306 
 3009 ; 5 рублей. Юденич. 1 вып. ; 1919 ;  ;  ;  ; 45 ; tommi2679 ; 384 
 3010 ; 5 рублей. Юденич. 2 вып. ; 1919 ;  ;  ;  ; 41 ; Карл ; 385 
 3011 ; 1000 рублей. ; 1920 ; Азербайджан  ;  ;  ; 11 ; easter2 ; 102 
 3012 ; 25 рублей. Азербайджан ; 1918 ;  ;  ;  ; 4 ; Reichard ; 104 
 3013 ; 1 марка. Западная добровольч. Армия ; 1919 ;  ;  ;  ; 26 ; tatarin66 ; 707 
 3014 ; 1 марка. Западная добровольч. Армия ; 1919 ;  ;  ;  ; 32 ; derk02 ; 709 
 3015 ; 1 йена ;  ;  ;  ;  ; 28 ; 542 ; 143 
 3016 ; 3 рубля. Сибирское временное правительство ; 1919 ;  ;  ;  ; 78 ; tatarin66 ; 382 
 3017 ; 300 рублей. Сибирское временное правительство ; 1918 ;  ;  ;  ; 16 ; 1396 ; 1000 
 3018 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ;  ; 18 ; disman14 ; 170 
 3019 ; 25 рублей. Красноярск ; 1919 ;  ;  ;  ; 37 ; lsp25 ; 260 
 3020 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ;  ; 57 ; hotin ; 303 
 3021 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ;  ; 38 ; удод ; 153 
 3022 ; Листовка ;  ;  ;  ;  ; 3 ; niva ; 164 
 3023 ; 5 йен ;  ;  ;  ;  ; 30 ; smel ; 202 
 3024 ; 1 юань. Китай ; 1936 ;  ;  ;  ; 5 ; dtdt ; 102 
 3025 ; 10 йен ;  ;  ;  ;  ; 37 ; 542 ; 235 
 3026 ; 5 юаней. Китай ; 1937 ;  ;  ;  ; 7 ; vasiliy sh1 ; 202 
 2312 ; 2000 песет. Испания. 132 годовщина песеты ; 2001 ;  ; Ag ; AU ; 51 ; В1951 ; 561 
 2313 ; 1/2 доллара. США. 250 лет со дня рождения Джорджа Вашингтона ; 1982 ;  ; Ag ; AU ; 64 ; xabib ; 529 
 2314 ; 10 центов. Канада. Парусник ; 1965 ;  ; Ag ; VF+ ; 9 ; Kalugindv ; 69 
 2315 ; 25 центов. Канада. Елизаветта II ; 1961 ;  ; Ag ; VF-XF ; 11 ; nikoniko ; 150 
 2316 ; 5 фунтов. Великобритания. 100 лет со дня смерти Королевы Виктории ; 2001 ;  ; Cu/Ni ; VF-XF ; 29 ; D-503 ; 417 
 2317 ; 5 франков. Швейцария ; 1968 ;  ; Cu/Ni ; VF- ; 9 ; jef688 ; 56 
 2318 ; 500 песет. Испания ; 1987 ;  ; Cu/Al/Ni  ; VF- ; 20 ; jef688 ; 22 
 2319 ; 2 марки. Германия. Теодор Хеусс ; 1977 ;  ; Cu/Ni ; VF- ; 2 ; disman14 ; 204 
 2320 ; 5 злотых. Польша ; 1994 ;  ; Латунь в C ; VF-XF ; 16 ; topotun ; 49 
 2321 ; 5 злотых. Польша ; 1994 ;  ; Латунь в C ; VF+ ; 5 ; vanamo ; 18 
 2322 ; 2 фунта. Великобритания ; 1998 ;  ; Cu/Ni в NI ; VF-XF ; 45 ; topotun ; 367 
 2323 ; 100 эскудо. Португалия ; 1990 ;  ; Латунь в C ; VF-XF ; 10 ; topotun ; 102 
 2324 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Отверстие 12 часов ; 1938 ;  ; Ag ; F-VF ; 9 ; skir ; 92 
 2325 ; 20 центов. Китай. Провинция Гуандун ; 20 век ;  ; Ag ; VF-XF ; 14 ; Kalugindv ; 250 
 2326 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; AU ; 89 ; rustam ; 208 
 2327 ; 1 шиллинг. ЮАР. Оранжевое Свободное Государство ; 1896 ;  ; Ag ; VF- ; 27 ; xabib ; 573 
 2328 ; 1 кори. Индия. Кач. Георг V ; 1985 ;  ; Ag ; XF- ; 45 ; Dozen ; 184 
 2329 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 30 ; udaw ; 222 
 2330 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 27 ; jef688 ; 214 
 2331 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 25 ; udaw ; 175 
 2332 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br  ; XF+ ; 72 ; topotun ; 475 
 2333 ; 10 марок. Финляндия ; 1938 ;  ; Al/Br  ; XF ; 59 ; solder13 ; 201 
 2334 ; "5 марок. Финляндия. Ледокол ""Варма""" ; 1972 ;  ; Al/Br  ; AU ; 14 ; tavitrof ; 90 
 2335 ; "5 марок. Финляндия. Ледокол ""Варма""" ; 1973 ;  ; Al/Br  ; AU ; 65 ; jj ; 73 
 2336 ; "5 марок. Финляндия. Ледокол ""Варма""" ; 1974 ;  ; Al/Br  ; AU ; 33 ; solder13 ; 63 
 2337 ; "5 марок. Финляндия. Ледокол ""Варма""" ; 1975 ;  ; Al/Br  ; AU ; 24 ; avg1974 ; 137 
 2338 ; "5 марок. Финляндия. Ледокол ""Варма""" ; 1976 ;  ; Al/Br  ; AU ; 24 ; avg1974 ; 99 
 2339 ; 1 марка. Финляндия ; 1945 ;  ; Fe ; XF ; 2 ; disman14 ; 68 
 2340 ; 1 пенни. Финляндия ; 1924 ;  ; Cu ; XF+ ; 58 ; В1951 ; 79 
 2341 ; 20 пенни. Финляндия ; 1963 ;  ; Al/Br ; VF+ ; 5 ; vanamo ; 9 
 2342 ; 20 пенни. Финляндия ; 1964 ;  ; Al/Br ; VF+ ; 4 ; vanamo ; 9 
 2343 ; 20 пенни. Финляндия ; 1971 ;  ; Al/Br ; VF+ ; 5 ; vanamo ; 9 
 2344 ; 20 пенни. Финляндия ; 1972 ;  ; Al/Br ; VF-XF ; 4 ; vanamo ; 9 
 2345 ; 20 пенни. Финляндия ; 1973 ;  ; Al/Br ; XF- ; 10 ; jagerV ; 25 
 2346 ; 20 пенни. Финляндия ; 1974 ;  ; Al/Br ; XF+ ; 5 ; solder13 ; 15 
 2347 ; 20 пенни. Финляндия ; 1975 ;  ; Al/Br ; XF ; 6 ; avg1974 ; 27 
 2348 ; 20 пенни. Финляндия ; 1976 ;  ; Al/Br ; AU ; 4 ; Andrewa ; 6 
 2349 ; 20 пенни. Финляндия ; 1977 ;  ; Al/Br ; AU ; 4 ; Andrewa ; 6 
 2350 ; 20 пенни. Финляндия ; 1978 ;  ; Al/Br ; AU ; 7 ; tavitrof ; 9 
 2351 ; 20 пенни. Финляндия ; 1979 ;  ; Al/Br ; XF ; 6 ; Andrewa ; 7 
 2352 ; 20 пенни. Финляндия ; 1981 ;  ; Al/Br ; Unc/AU ; 6 ; topotun ; 26 
 2353 ; 20 пенни. Финляндия ; 1982 ;  ; Al/Br ; Unc/AU ; 29 ; topotun ; 66 
 2354 ; 20 пенни. Финляндия ; 1983 ;  ; Al/Br ; Unc/AU ; 9 ; 542 ; 20 
 2355 ; 20 пенни. Финляндия ; 1989 ;  ; Al/Br ; Unc/AU ; 10 ; topotun ; 34 
 2356 ; 10 пенни. Финляндия ; 1973 ;  ; Al/Br ; Unc/AU ; 14 ; jagerV ; 26 
 2357 ; 10 пенни. Финляндия ; 1974 ;  ; Al/Br ; Unc/AU ; 8 ; tavitrof ; 9 
 2358 ; 10 пенни. Финляндия ; 1975 ;  ; Al/Br ; Unc ; 7 ; vanamo ; 9 
 2359 ; 10 пенни. Финляндия ; 1976 ;  ; Al/Br ; Unc/AU ; 9 ; solder13 ; 20 
 2360 ; 10 пенни. Финляндия ; 1977 ;  ; Al/Br ; Unc ; 9 ; solder13 ; 20 
 2361 ; 10 пенни. Финляндия ; 1978 ;  ; Al/Br ; Unc/AU ; 10 ; solder13 ; 20 
 2262 ; Монетовидный жетон. Китай. Панда ; 1992 ;  ; Ag ; proof ; 3 ; Poiuyt ; 510 
 2263 ; Монетовидный жетон. Китай. Панда ; 1990 ;  ; Ag ; proof ; 4 ; kolobokoff ; 500 
 2264 ; Монетовидный жетон. Китай. Панда ; 1991 ;  ; Ag ; proof ; 2 ; kolobokoff ; 500 
 2265 ; Монетовидный жетон. Китай. Панда ; 1994 ;  ; Ag ; proof ; 3 ; Poiuyt ; 510 
 2266 ; 20 лева. Болгария. 150 лет со дня рождения Василия Левски ; 1987 ;  ; Ag ; proof ; 45 ; Dozen ; 276 
 2267 ; 1 марка. Германия ; 1874 ; А ; Ag ; VF- ; 45 ; SKV ; 100 
 2268 ; 1 марка. Германия ; 1874 ; D ; Ag ; F-VF ; 23 ; VEU3 ; 57 
 2269 ; 1 марка. Германия ; 1875 ; A ; Ag ; VF+ ; 45 ; Kalugindv ; 193 
 2270 ; 1 марка. Германия ; 1875 ; D ; Ag ; VF- ; 8 ; jef688 ; 55 
 2271 ; 1 марка. Германия ; 1875 ; E ; Ag ; VF- ; 29 ; DrAlex ; 61 
 2272 ; 1 марка. Германия ; 1875 ; F ; Ag ; VF- ; 11 ; von_Schwarz ; 59 
 2273 ; 1 марка. Германия ; 1875 ; G ; Ag ; F-VF ; 5 ; DrAlex ; 53 
 2274 ; 1 марка. Германия ; 1876 ; A ; Ag ; F-VF ; 5 ; jef688 ; 53 
 2275 ; 1 марка. Германия ; 1876 ; F ; Ag ; VF- ; 29 ; SKV ; 101 
 2276 ; 1 марка. Германия ; 1903 ; A ; Ag ; VF+ ; 27 ; удод ; 126 
 2277 ; 1 марка. Германия ; 1905 ; A ; Ag ; VF+ ; 41 ; SKV ; 133 
 2278 ; 1 марка. Германия ; 1906 ; A ; Ag ; VF+ ; 40 ; джон007 ; 134 
 2279 ; 1 марка. Германия ; 1914 ; A ; Ag ; XF+ ; 13 ; джон007 ; 100 
 2280 ; 1 марка. Германия ; 1914 ; J ; Ag ; AU ; 96 ; timberwolf ; 267 
 2281 ; 1 марка. Германия ; 1915 ; A ; Ag ; AU ; 51 ; af ; 211 
 2282 ; 1/2 марки. Германия ; 1905 ; A ; Ag ; VF ; 11 ; SKV ; 72 
 2283 ; 1/2 марки. Германия ; 1906 ; A ; Ag ; VF ; 13 ; SKV ; 72 
 2284 ; 1/2 марки. Германия ; 1906 ; G ; Ag ; VF ; 11 ; SKV ; 72 
 2285 ; 1/2 марки. Германия ; 1906 ; F ; Ag ; F-VF ; 11 ; SKV ; 72 
 2286 ; 1/2 марки. Германия ; 1907 ; A ; Ag ; VF ; 11 ; SKV ; 72 
 2287 ; 1/2 марки. Германия ; 1907 ; J ; Ag ; VF- ; 9 ; DrAlex ; 60 
 2288 ; 1/2 марки. Германия ; 1909 ; A ; Ag ; VF ; 10 ; SKV ; 62 
 2289 ; 1/2 марки. Германия ; 1914 ; A ; Ag ; AU ; 36 ; timberwolf ; 123 
 2290 ; 1/2 марки. Германия ; 1915 ; A ; Ag ; XF+ ; 27 ; rustam ; 86 
 2291 ; 1/2 марки. Германия ; 1915 ; G ; Ag ; AU ; 21 ; xabib ; 96 
 2292 ; 1/2 марки. Германия ; 1915 ; J ; Ag ; AU ; 20 ; xabib ; 104 
 2293 ; 1/2 марки. Германия ; 1916 ; A ; Ag ; AU ; 24 ; rustam ; 90 
 2294 ; 1/2 марки. Германия ; 1916 ; J ; Ag ; AU ; 49 ; rustam ; 160 
 2295 ; 1/2 марки. Германия ; 1918 ; J ; Ag ; VF- ; 59 ; Dozen ; 73 
 2296 ; Лот монет Германии: 1 марка (8 шт) ; 1875-1915 ;  ; Ag ; VF-/XF- ; 108 ; jef688 ; 500 
 2297 ; Лот монет Германии: 1/2 марки (8 шт) ; 1905-1915 ;  ; Ag ; VF-/XF+ ; 86 ; jef688 ; 367 
 2298 ; 10000 марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Ж/м  ; XF- ; 94 ; ARTI ; 616 
 2299 ; 1/2 доллара. США. Свобода ; 1943 ;  ; Ag ; VF+ ; 60 ; aqua ; 401 
 2300 ; 1/2 доллара. США. Свобода ; 1943 ; D ; Ag ; VF+ ; 104 ; ВМШ ; 591 
 2301 ; 3 пенса. Великобритания. Королева Виктория ; 1900 ;  ; Ag ; VF- ; 15 ; Chirchic ; 153 
 2302 ; 50 марок. Финляндия. Чемпионат мира по легкой атлетике ; 1983 ;  ; Ag ; AU ; 60 ; В1951 ; 462 
 2303 ; 25 марок. Финляндия. 80 лет Независимости ; 1997 ;  ; Латунь в C ; AU ; 48 ; seaman ; 2371 
 2304 ; 20 экю. Финляндия. Ганзейские ворота ; 1996 ;  ; Ag ; proof ; 27 ; СВл ; 1954 
 2305 ; 5 цзяо. Китай, Внутренняя Монголия, Японская Оккупация ; 1939 ;  ; Ni ; VF-XF ; 16 ; lsp25 ; 356 
 2306 ; 100 кэш. Китай, Республика. Провинция Ганьсу ; 1925 ;  ; Br ; VF ; 17 ; smel ; 365 
 2307 ; 2 цзяо (20 центов). Китай, Республика. Провинция Гуанси ; 1926 ;  ; Ag ; VF-XF ; 19 ; Мышеслон ; 267 
 2308 ; 1 рупия. Индия, Хайдерабад. 1318 год лунной хиджры ; 1900 ;  ; Ag ; VF+ ; 27 ; Dozen ; 714 
 2309 ; 1 сешлинг. Дания. Шлезвиг-Гольштейн. Кристиан VII (1784-1808гг) ; 1787 ;  ; Cu ; F-VF ; 71 ; Alexdav ; 475 
 2310 ; 20 экю. Финляндия. Рунеберг ; 1995 ;  ; Ag ; proof ; 23 ; СВл ; 1954 
 2311 ; 20 экю. Финляндия. Аврора Бореалис ; 1997 ;  ; Ag ; proof ; 11 ; AndrCh58 ; 1249 
 2212 ; Талер. Пруссия. Коронация Вильгельма и Августы ; 1861 ;  ; Ag ; AU ; 17 ; ЕВС ; 2054 
 2213 ; Талер. Бремен. 2-е стрелковые состязания ; 1865 ;  ; Ag ; VF-XF ; 23 ; pd ; 6195 
 2214 ; Талер. Франкфурт на Майне. 100-летний юбилей ; 1859 ;  ; Ag ; AU ; 1 ; pd ; 5000 
 2215 ; 2 гульдена. Бавария. Восстановление памятника Мадонне в Мюнхене ; 1855 ;  ; Ag ; XF+ ; 25 ; klm ; 3642 
 2216 ; Талер Саксония ; 1871 ; В ; Ag ; XF+ ; 77 ; pd ; 8618 
 2217 ; Талер. Нассау ; 1860 ;  ; Ag ; VF ; 50 ; sherif-69 ; 3615 
 2218 ; Талер Франкфурт ; 1862 ;  ; Ag ; XF+ ; 9 ; pd ; 4507 
 2219 ; Талер. Баден. Фридрих I ; 1869 ;  ; Ag ; VF+ ; 30 ; sherif-69 ; 3819 
 2220 ; Талер. Саксония ; 1863 ; В ; Ag ; VF+ ; 31 ; sherif-69 ; 3570 
 2221 ; Талер. Ганновер ; 1851 ; В ; Ag ; VF+ ; 33 ; klm ; 3595 
 2222 ; Талер. Гессе-Дармстадт. Людвиг III ; 1860 ;  ; Ag ; VF- ; 99 ; klm ; 3036 
 2223 ; Мадонненталер. Бавария ; 1866 ;  ; Ag ; XF+ ; 5 ; pd ; 5414 
 2224 ; 2/3 талера. Мекленбург-Шверин ; 1840 ;  ; Ag ; VF-XF/XF- ; 6 ; region23 ; 4873 
 2225 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 46 ; В1951 ; 2023 
 2226 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 52 ; rustam ; 1100 
 2227 ; 2 марки. Пруссия. 25 лет правления ; 1913 ;  ; Ag ; XF+/AU ; 36 ; bier ; 767 
 2228 ; 2-1/2 гульдена. Нидерланды ; 1939 ;  ; Ag ; AU ; 19 ; ВМШ ; 716 
 2229 ; 1/2 кроны. Великобритания ; 1945 ;  ; Ag ; XF ; 9 ; jagerV ; 359 
 2230 ; 1/2 доллара. США ; 1952 ;  ; Ag ; XF ; 15 ; Kalugindv ; 192 
 2231 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 12 ; disman14 ; 163 
 2232 ; 1 шиллинг. Великобритания ; 1891 ;  ; Ag ; VF- ; 36 ; 542 ; 459 
 2233 ; 1 пфенниг. Ганновер ; 1862 ;  ; Cu ; F-VF ; 2 ; sg1945 ; 408 
 2234 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; AU ; 58 ; rustam ; 300 
 2235 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; AU ; 71 ; rustam ; 250 
 2236 ; 1/2 доллара. США. Франклин ; 1963 ;  ; Ag ; AU ; 58 ; rustam ; 417 
 2237 ; 1/4 доллара. США. Вашингтон ; 1948 ; D ; Ag ; VF ; 26 ; rustam ; 204 
 2238 ; 1 дайм. США. Рузвельт ; 1949 ;  ; Ag ; XF+ ; 74 ; кашира ; 153 
 2239 ; 1 дайм. США. Меркури ; 1944 ;  ; Ag ; VF ; 25 ; neft4 ; 184 
 2240 ; 5 центов. США. Свобода ; 1906 ;  ; Cu/Ni ; VF- ; 39 ; Volleo ; 126 
 2241 ; 1 цент. США. Индеец ; 1907 ;  ;  ; VF+ ; 24 ; o.k. ; 101 
 2242 ; 1 цент. США. Индеец ; 1903 ;  ;  ; VF+ ; 40 ; tati1545 ; 143 
 2243 ; 1 цент. США. Индеец ; 1897 ;  ;  ; VF ; 55 ; Volleo ; 148 
 2244 ; 1/2 франка. Швейцария ; 1967 ;  ; Ag ; XF+ ; 3 ; pd ; 407 
 2245 ; 5 долларов. Канада. XXI олимпиада в Монтреале ; 1973 ;  ; Ag ; AU ; 79 ; do_cent ; 462 
 2246 ; 5 евро. Австрия. Расширение Евросоюза ; 2004 ;  ; Ag ; AU ; 41 ; SKV ; 341 
 2247 ; 1 доллар. Канада. Джон Девис ; 1987 ;  ; Ag ; proof ; 37 ; Chirchic ; 615 
 2248 ; 10 евро. ФРГ. Введение евро в денежный оборот ; 2002 ; F ; Ag ; proof ; 56 ; barbashin ; 709 
 2249 ; Медаль. 10 летний юбилей. Чехия ; 1928 ;  ; Ag ; XF+ ; 18 ; sherif-69 ; 612 
 2250 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; AU ; 66 ; SKV ; 303 
 2251 ; 10 долларов. Канада. XXI Олимпиада в Монтреале ; 1974 ;  ; Ag ; AU ; 105 ; xabib ; 821 
 2252 ; 5 песо. Куба. Апатозавр ; 1993 ;  ; Ag ; proof ; 162 ; кашира ; 1700 
 2253 ; 1 доллар. США. 100 лет Статуи Свободы ; 1986 ;  ; Ag ; proof ; 43 ; партизан ; 708 
 2254 ; Медаль. Иоанн Павел II. Италия ; 1978 ;  ; Br серебре ; AU ; 63 ; gelind ; 133 
 2255 ; 50 шиллингов. Австрия. 100 лет дунайскому вальсу ; 1967 ;  ; Ag ; AU ; 36 ; 542 ; 557 
 2256 ; 50 шиллингов. Австрия. 50 лет Республике ; 1968 ;  ; Ag ; AU ; 26 ; Kalugindv ; 546 
 2257 ; 50 шиллингов. Австрия. 150 лет Национальному банку ; 1966 ;  ; Ag ; AU ; 20 ; Kalugindv ; 546 
 2258 ; 100 песет. Испания ; 1966 ;  ; Ag ; AU ; 16 ; kay2 ; 357 
 2259 ; 10 долларов. Сомали. Обезьяны Африки ; 2000 ;  ; Ag ; proof ; 53 ; Poiuyt ; 591 
 2260 ; 5 песо. Куба. Трицераптос ; 1994 ;  ; Ag ; proof ; 80 ; кашира ; 1795 
 2261 ; Монетовидный жетон. Китай. Панда ; 1993 ;  ; Ag ; proof ; 2 ; kolobokoff ; 1200 
 1659 ; 20 копеек ; 1957 ; в венке герба 15 лент  ; Ni ; AU ; 10 ; Конрос бид 32 ; 27 
 1660 ; 10 копеек ; 1923 ;  ; Ag ; VF- ; 27 ; igo ; 31 
 1661 ; 5 копеек ; 1924 ; Гурт гладкий  ; Cu ; F-VF ; 33 ; zakon ; 417 
 1662 ; 3 копейки ; 1924 ; Гурт гладкий  ; Cu ; F-VF ; 60 ; zakon ; 373 
 1663 ; 3 копейки ; 1924 ; Гурт гладкий  ; Cu ; F-VF ; 1 ; disman14 ; 52 
 1664 ; 2 копейки ; 1924 ; Гурт рубчатый  ; Cu ; F+ ; 3 ; koga ; 34 
 1665 ; 1 копейка ; 1924 ; Гурт рубчатый  ; Cu ; F+ ; 3 ; koga ; 24 
 1666 ; 5 копеек ; 1970 ;  ; Cu-Zn ; VF ; 101 ; SVE ; 4079 
 1667 ; 5 копеек ; 1930 ;  ; Br ; F-VF ; 15 ; skir ; 16 
 1668 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 2 ; igo ; 3 
 1669 ; 3 копейки ; 1940 ;  ; Br ; F-VF ; 10 ; Andrewa ; 10 
 1670 ; 3 копейки ; 1956 ;  ; Br ; VF- ; 2 ; igo ; 3 
 1671 ; 3 копейки ; 1954 ;  ; Br ; VF- ; 2 ; igo ; 3 
 1672 ; 3 копейки ; 1950 ;  ; Br ; VF- ; 6 ; GOLDWIZARD ; 24 
 1673 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 16 ; skir ; 16 
 1674 ; 3 копейки ; 1950 ;  ; Br ; VF- ; 5 ; PVA13 ; 6 
 1675 ; 3 копейки ; 1955 ;  ; Br ; VF ; 2 ; GOLDWIZARD ; 3 
 1676 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; F-VF ; 0 ; Не продан ; 0 
 1677 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 1 ; barbashin ; 2 
 1678 ; 3 копейки ; 1952 ;  ; Br ; F-VF ; 2 ; barbashin ; 3 
 1679 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF ; 5 ; GOLDWIZARD ; 36 
 1680 ; 3 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF ; 3 ; GOLDWIZARD ; 16 
 1681 ; 3 копейки ; 1926 ;  ; Br ; VF ; 34 ; vanamo ; 45 
 1682 ; 3 копейки ; 1954 ;  ; Br ; F-VF ; 1 ; barbashin ; 2 
 1683 ; 3 копейки ; 1937 ;  ; Br ; VF+ ; 45 ; vanamo ; 72 
 1684 ; 3 копейки ; 1935 ; л/с звезда фигурная  ; Br ; VF- ; 56 ; o.k. ; 72 
 1685 ; 2 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF ; 4 ; Poiuyt ; 5 
 1686 ; 2 копейки ; 1949 ;  ; Br ; VF- ; 27 ; DrAlex ; 26 
 1687 ; Годовой набор монет СССР (10шт): 1р, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к + Жетон ЛМД. Упаковка ; 1988 ;  ; Cu/Ni, Cu/ ; Unc ; 21 ; dragonfly ; 609 
 2191 ; 5 талеров. Брауншвейг-Вольфенбюттель ; 1745 ;  ; Au ; VF- ; 30 ; drozd-24 ; 16646 
 2192 ; 4 эскудо. Испания ; 1820 ; m = 13,54 г ; Au ; VF+/XF- ; 23 ; MAXXX ; 15581 
 2193 ; 10 талеров Брауншвейг-Вольфенбюттель ; 1834 ; CVC ; Au ; VF-XF ; 67 ; cortes ; 68966 
 2194 ; 20 франков. Франция ; 1806 ;  ; Au ; VF+ ; 53 ; danaudio ; 6243 
 2195 ; 20 франков. Франция. Карл X ; 1828 ;  ; Au ; VF+/VF-XF ; 26 ; Gatchina ; 11475 
 2196 ; 20 франков. Франция. Луи-Наполеон ; 1852 ;  ; Au ; XF ; 19 ; кашира ; 6092 
 2197 ; Соверен. Великобритания. Королева Виктория ; 1876 ;  ; Au ; XF- ; 38 ; кашира ; 8967 
 2198 ; 100 франков. Монако. Альберт I ; 1896 ;  ; Au ; VF-XF ; 66 ; kolobokoff ; 27094 
 2199 ; 20 марок. Пруссия. Вильгельм I ; 1873 ; C ; Au ; VF-XF ; 23 ; klm ; 7035 
 2200 ; 20 марок. Бавария ; 1900 ; D ; Au ; AU ; 37 ; kat24 ; 9106 
 2201 ; 20 марок. Баден. Фридрих II ; 1913 ; G ; Au ; AU ; 44 ; region23 ; 16121 
 2202 ; 20 марок. Гамбург ; 1913 ; J ; Au ; AU ; 17 ; MAXXX ; 13673 
 2203 ; 20 марок. Пруссия. Вильгельм II ; 1913 ; А ; Au ; AU ; 23 ; kat24 ; 8092 
 2204 ; 10 франков. Франция. Наполеон III ; 1857 ; А ; Au ; VF- ; 44 ; klm ; 4570 
 2205 ; 10 франков. Франция. Наполеон III ; 1857 ; А ; Au ; VF ; 23 ; кузин ; 3570 
 2206 ; Соверен. Великобритания. Елизаветта II ; 1979 ;  ; Au ; proof ; 62 ; кашира ; 9704 
 2207 ; 100 долларов. Либерия. Кеннеди Джон Фицджералд (1917-1963гг). С сертификатом ; 2003 ;  ; Au ; proof ; 16 ; ЕВС ; 4258 
 2208 ; 100 долларов. Либерия. Зимородок (птица). С сертификатом ; 2002 ;  ; Au ; proof ; 40 ; кашира ; 5437 
 2209 ; Талер. Шварцбург-Рудольштадт. Свадьба принца Людвига Гюнтера IV ; 1780 ;  ; Ag ; XF ; 1 ; pd ; 14000 
 2210 ; 32 шиллинга. Мекленбург-Шверин ; 1797 ;  ; Ag ; VF+ ; 1 ; pd ; 5000 
 2211 ; Талер. Бавария. Переезд университета из Лансгута в Мюнхен ; 1826 ;  ; Ag ; VF+ ; 10 ; region23 ; 8160 
 1609 ; 5 рублей. Упаковка ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; proof ; 22 ; hjk1974 ; 450 
 1610 ; 5 рублей. Упаковка ; 1991 ; Архангельский собор в Москве  ; Cu-Ni ; proof ; 48 ; Vico ; 125 
 1611 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Штанга  ; Cu-Ni ; proof ; 54 ; holyLazar ; 538 
 1612 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами ; Cu-Ni ; XF+ ; 50 ; Nalivaichenko ; 69 
 1613 ; 20 копеек ; 1923 ;  ; Ag ; VF- ; 6 ; Poiuyt ; 24 
 1614 ; 15 копеек ; 1923 ;  ; Ag ; VF ; 1 ; disman14 ; 72 
 1615 ; 15 копеек ; 1927 ;  ; Ag ; VF- ; 3 ; sea dragon 64 ; 75 
 1616 ; 15 копеек ; 1929 ;  ; Ag ; VF- ; 4 ; PVA13 ; 116 
 1617 ; 15 копеек ; 1928 ;  ; Ag ; VF-XF ; 1 ; disman14 ; 72 
 1618 ; 15 копеек ; 1924 ;  ; Ag ; VF-XF ; 28 ; SKV ; 133 
 1619 ; 10 копеек ; 1930 ;  ; Ag ; VF ; 3 ; disman14 ; 74 
 1620 ; 10 копеек ; 1925 ;  ; Ag ; VF- ; 16 ; DrAlex ; 33 
 1621 ; 5 копеек ; 1926 ;  ; Br ; F-VF ; 31 ; andreyka80 ; 316 
 1622 ; 2 копейки ; 1926 ;  ; Br ; VF- ; 1 ; disman14 ; 62 
 1623 ; 2 копейки ; 1940 ;  ; Br ; VF- ; 1 ; disman14 ; 62 
 1624 ; 2 копейки ; 1931 ;  ; Br ; VF+ ; 8 ; GOLDWIZARD ; 42 
 1625 ; 2 копейки ; 1955 ;  ; Br ; VF- ; 1 ; disman14 ; 62 
 1626 ; 1 копейка ; 1938 ;  ; Br ; VF- ; 2 ; alexandervolkov ; 64 
 1627 ; 1 копейка ; 1950 ;  ; Br ; VF- ; 18 ; vladimir232 ; 153 
 1628 ; 1 копейка ; 1949 ;  ; Br ; XF ; 1 ; disman14 ; 62 
 1629 ; 1 копейка ; 1939 ;  ; Br ; VF ; 2 ; SVE ; 64 
 1630 ; 1 копейка ; 1953 ;  ; Br ; VF+ ; 1 ; disman14 ; 62 
