 3639 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 27 
 2617 ; 5 лева. Болгария. Международная детская ассамблея ; 1985 ;  ; Cu-Ni ; Proof ; 20 ; alskr ; 113 
 2618 ; 5 лева. Болгария. Международная детская ассамблея ; 1988 ;  ; Cu-Ni ; Proof ; 18 ; alskr ; 113 
 2619 ; 2 лева. Болгария. 100 лет Софийскому университету ; 1988 ;  ; Cu-Ni ; Proof ; 39 ; kiparis ; 107 
 2620 ; 2 лева. Болгария. 2-й совместный космический полет ; 1988 ;  ; Cu-Ni ; Proof ; 17 ; zsv ; 107 
 2621 ; 2000 рейс. Бразилия ; 1889 ;  ; Ag ; XF- ; 64 ; АРУС ; 1158 
 2622 ; 25 экю. Северная Ирландия. Европа. D-37мм. М-47,37г ; 1992 ;  ; Ag ; Proof ; 32 ; Ромбор ; 1381 
 2623 ; 10 евро. Остров Мэн. 10 лет членства Испании в ЕС ; 1996 ;  ; Ag ; Proof ; 31 ; murzik20 ; 561 
 2624 ; 5 лева. Болгария ; 1892 ;  ; Ag ; VF+ ; 41 ; vitapool ; 826 
 2625 ; 5 песет. Испания ; 1890 ;  ; Ag ; VF- ; 9 ; $$$ ; 809 
 2626 ; 10 злотых. Польша ; 1933 ;  ; Ag ; XF ; 127 ; гвен ; 593 
 2627 ; 5 франков. Швейцария ; 1953 ;  ; Ag ; XF+ ; 19 ; $$$ ; 379 
 2528 ; 1 пенни. Токен. Британская Канада. Фельдмаршал Веллингтон ; 1813 ;  ; Cu ; VF ; 74 ; misha154137 ; 1224 
 2529 ; 1/2 пенни. Токен. Британская Канада ; 1815 ;  ; Cu ; F-VF ; 61 ; 995953 ; 838 
 2530 ; 1 пиастр. Цифра "1" узкая. Британская колония Кипр. Виктория молодая ; 1879 ;  ; Cu ; VF ; 91 ; 995953 ; 2630 
 2531 ; 1 пиастр. Цифра "1" широкая. Британская колония Кипр. Виктория молодая ; 1891 ;  ; Cu ; VF ; 82 ; shest ; 2873 
 2532 ; 1/2 пиастра. Британская колония Кипр. Виктория молодая ; 1886 ;  ; Cu ; VF ; 47 ; 995953 ; 3247 
 2533 ; 1 су - 1/2 пенни. Токен. Канада. Монреаль. Нижняя Канада для французов ; ND ;  ; Cu ; F-VF ; 29 ; rokada77 ; 667 
 2534 ; 1 пенни. Австралия ; 1957 ;  ; Br ; VF- ; 34 ; kiparis ; 46 
 2535 ; 1/4 анны. Британская Индия. Брак монетного двора (сдвиг штемпеля) ; 1907 ;  ; Br ; F+ ; 13 ; Григорий ; 320 
 2536 ; 2 шиллинга. Великоборитания ; 1956 ;  ; Cu-Ni ; VF- ; 15 ; 161rus ; 51 
 2537 ; 1/2 пенни. Токен. Великобритания ; 1791 ;  ; Cu ; F-VF ; 44 ; Al0851 ; 250 
 2538 ; 1 цент. Британский Гондурас ; 1889 ;  ; Cu ; VF- ; 83 ; rokada77 ; 1309 
 2539 ; 20 рейс. Португальская колония. Бразилия. Иосиф I ; 1761 ;  ; Cu ; VF- ; 70 ; shest ; 845 
 2540 ; Монета медная Восток ;  ;  ; Cu ; F-VF ; 24 ; rokada77 ; 36 
 2541 ; 1 кас. Датская Азиатская Компания. Индия. Транквебар. Христиан V ; ND ;  ; Pb ; F+ ; 14 ; sonegr ; 104 
 2542 ; Мангир. Крым. Шахин-Гирей ; 1191лх (1777) ;  ; Cu ; F+ ; 21 ; Sky2 ; 181 
 2543 ; 3 рейса. Португалия. Мария I и Педро III. Корона высокая ; 1777 ;  ; Cu ; F+ ; 46 ; АРУС ; 359 
 2544 ; 4 пенса. Британская Гайяна. Георг VI ; 1942 ;  ; Ag925 ; XF ; 60 ; rokada77 ; 735 
 2545 ; 1 анна. Британская Индия ; 1935 ;  ; Cu-Ni ; XF+ ; 29 ; rokada77 ; 153 
 2546 ; 1/2 пенни. Токен. Канада. Банк Монреаля. Надпись только на английском ; 1844 ;  ; Cu ; VF+ ; 66 ; purr ; 1202 
 2547 ; 1 фартинг. 3 тип. Великобритания. Георг V (малый портрет) ; 1927 ;  ; Br ; VF+ ; 51 ; rokada77 ; 93 
 2548 ; 1/4 доллара. США. Нью-Йорк ; 2001Р ;  ; Cu-Ni ; XF- ; 17 ; dimon masskva ; 22 
 2549 ; 1 доллар. Модель. Британская колония Золотой Берег. Эдуард VIII правил 10 мес. Отказался от престола ; 1936 ;  ; Cu-Ni ; Proof ; 56 ; rokada77 ; 1124 
 2550 ; 1/4 стивера. Нидерландская Индия ; 1826 ;  ; Cu ; VF- ; 25 ; rokada77 ; 255 
 2551 ; 10 эскудо. Португальский Тимор ; 1964 ;  ; Ag ; XF/AU ; 23 ; AnvlaSar6216 ; 936 
 2552 ; 1 эскудо. Португальская колония. Мозамбик ; 1936 ;  ; Cu/Ni ; VF+ ; 34 ; AnvlaSar6216 ; 1200 
 2553 ; 1 пенни-токен. Великобритания, Шотландия, Эдинбург ; 1796 ;  ; Cu ; F+ ; 18 ; von_Schwarz ; 523 
 2554 ; 1/2 пенни-токен. Великобритания, Ирландия ; 1820 ;  ; Cu ; F-VF ; 14 ; Al0851 ; 384 
 2555 ; 1 дуит. Нидерланды. Провинция Гельдерландия ; 1788 ;  ; Cu ; VF ; 44 ; rokada77 ; 303 
 2556 ; 1 пенни. Австралия ; 1958 ;  ; Cu ; VF+ ; 29 ; _1111_ ; 51 
 2557 ; 1 мангир. Крым, Шахин-Гирей (3-ий год правления) ; 1191л.х. ;  ; Cu ; F-VF ; 23 ; Sky2 ; 202 
 2558 ; 1 су (1/2 пенни). Канада. Монреаль. Порт. Корабль ; 1852 ;  ; Cu ; F-VF ; 85 ; caterpi ; 753 
 2559 ; 1/2 пенни. Токен. Великобритания. Ливерпуль. Шерстяная мануфактура. Монах. Гуртовая надпись ; ND ;  ; Cu ; VF ; 75 ; caterpi ; 793 
 2560 ; 20 рейс. Португальская Бразилия для Сан-Томе и Принсипи. Жоао VI ; 1819 ;  ; Cu ; F-VF ; 85 ; caterpi ; 570 
 2561 ; 20 рейс. Португальская Бразилия. Жоао V ; 1731 ;  ; Cu ; F-VF ; 55 ; shest ; 771 
 2562 ; 1/2 пенни. Токен. Великобритания. Гуртовая надпись ; 1794 ;  ; Cu ; VF- ; 76 ; purr ; 1100 
 2563 ; 1/2 пенни. Токен. Великобритания. Брауншвейг ; 1795 ;  ; Cu ; VF- ; 78 ; caterpi ; 709 
 2564 ; 1 пенни. Австралия ; 1960 ;  ; Br ; VF ; 11 ; kiparis ; 34 
 2565 ; 1/4 рупии. Индия. Всадник на коне ; ND ;  ; Ag ; F-VF ; 29 ; Sterh ; 227 
 2566 ; 1 цент (без dei gratia - безбожный). 1 тип. Канада. Георг V ; 1911 ;  ; Br ; VF-XF ; 77 ; caterpi ; 265 
 2567 ; 1/2 пенни. Фиджи ; 1950 ;  ; Cu-Ni ; XF ; 19 ; caterpi ; 48 
 2568 ; 4 пенса. В другой пробе. Британская Гайяна. Георг VI ; 1945 ;  ; Ag500 ; XF/AU ; 80 ; caterpi ; 912 
 2569 ; 1 су - 1/2 пенни. Токен. Канада. Номинал и надписи на 2-х языках (английском и французском). Банк Монреаля ; 1837 ;  ; Cu ; VF- ; 119 ; caterpi ; 486 
 2570 ; 50 сентаво. Португальский Восточный Тимор ; 1970 ;  ; Br ; AU ; 27 ; Argnist3000 ; 185 
 2571 ; 10 прут. Израиль ;  ;  ; Al/Br ; XF- ; 32 ; dimon masskva ; 46 
 2572 ; 1/4 доллара. США. Флорида ; 2004Р ;  ; Cu-Ni ; XF ; 37 ; murzik20 ; 38 
 2573 ; Фартинг. 1 тип. Великобритания. Георг III - бычья голова ; 1923 ;  ; Br ; XF ; 78 ; georg20 ; 1551 
 2574 ; 1 добль. Гернси. 3 тип ; 1933Н ;  ; Br ; XF ; 45 ; caterpi ; 214 
 2575 ; 2 фунта. Гернси. Нормандская династия. Вильям II ; 1987 ;  ; Cu-Ni ; AU ; 71 ; caterpi ; 443 
 2576 ; 20 эскудо. Португальская колония.  Ангола ; 1952 ;  ; Ag ; AU ; 15 ; caterpi ; 918 
 2577 ; 1 эскудо. Португальская колония. Кабо Верде (О-в Зеленого мыса) ; 1949 ;  ; Cu/Ni ; VF-XF ; 65 ; vb96 ; 306 
 2478 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni-Br ; VF+ ; 17 ; Puchic ; 33 
 2479 ; 5 марок. ГДР. Иоганн Кеплер ; 1971 ;  ; Cu-Ni ; AU ; 48 ; sina ; 907 
 2480 ; 5 марок. ГДР. Бранденбургские ворота ; 1971A ;  ; Cu-Ni ; AU ; 23 ; ramik321 ; 101 
 2481 ; 5 марок. ГДР. Город Мейсен ; 1972A ;  ; Cu-Ni ; XF ; 27 ; zsv ; 90 
 2482 ; 5 марок. ГДР. Отто Лилиенталь ; 1973 ;  ; Cu-Ni ; AU ; 37 ; DM2713 ; 1020 
 2483 ; 5 марок. ГДР. Год женщин ; 1975 ;  ; Cu-Ni ; AU ; 18 ; DM2713 ; 520 
 2484 ; 5 марок. ГДР. Томас Манн ; 1975 ;  ; Cu-Ni ; AU ; 32 ; sina ; 819 
 2485 ; 5 марок. ГДР. Год борьбы с апартеидом ; 1978A ;  ; Cu-Ni ; AU ; 49 ; DM2713 ; 400 
 2486 ; 5 марок. ГДР. Адольф фон Менцель ; 1980 ;  ; Cu-Ni ; AU ; 26 ; DM2713 ; 1131 
 2487 ; 5 марок. ГДР. Фридрих Фробель ; 1982 ;  ; Cu-Ni ; AU ; 9 ; Майкл ; 1224 
 2488 ; 5 марок. ГДР. Вартбургский замок ; 1982A ;  ; Cu-Ni ; AU ; 38 ; salim ; 416 
 2489 ; 5 марок. ГДР. Восстановление женского монастыря в Дрездене ; 1985A ;  ; Cu-Ni ; AU ; 22 ; DM2713 ; 1200 
 2490 ; 5 марок. ГДР. Крепость в Дрездене ; 1985A ;  ; Cu-Ni ; AU ; 18 ; salim ; 405 
 2491 ; 5 марок. ГДР. Новый дворец в Потсдаме ; 1986A ;  ; Cu-Ni ; AU ; 24 ; Майкл ; 203 
 2492 ; 5 марок. ГДР. Сансуси в Потсдаме ; 1986A ;  ; Cu-Ni ; AU ; 42 ; 147 ; 203 
 2493 ; 5 марок. ГДР. Бранденбургские ворота ; 1987A ;  ; Cu-Ni ; AU ; 28 ; lsp25 ; 157 
 2494 ; 5 марок. ГДР. Александрплатц в Берлине ; 1987A ;  ; Cu-Ni ; AU ; 43 ; Vadik ; 203 
 2495 ; 5 марок. ГДР. Красная ратуша в Берлине ; 1987A ;  ; Cu-Ni ; AU ; 38 ; ЕКХ ; 203 
 2496 ; 5 марок. ГДР. Николай Вертель ; 1987A ;  ; Cu-Ni ; AU ; 35 ; jj ; 199 
 2497 ; 5 марок. ГДР. Верфь в Ростоке ; 1988A ;  ; Cu-Ni ; AU ; 56 ; 147 ; 239 
 2498 ; 5 марок. ГДР. Железная дорога в Саксонии ; 1988A ;  ; Cu-Ni ; AU ; 44 ; Vadik ; 215 
 2499 ; 5 марок. ГДР. Церковь Марии в Мюльхаузене ; 1989A ;  ; Cu-Ni ; AU ; 20 ; wolikaz ; 203 
 2500 ; 5 марок. ГДР. Церковь Катарины в Цвикау ; 1989A ;  ; Cu-Ni ; AU ; 41 ; wolikaz ; 224 
 2501 ; 5 марок. ГДР. 500 лет почте ; 1990A ;  ; Cu-Ni ; AU ; 22 ; DVZ ; 203 
 2502 ; 5 марок. ГДР. Цейхгауз ; 1990A ;  ; Cu-Ni ; AU ; 49 ; DVZ ; 152 
 2503 ; 3 пенса. Маунди. Рождественские деньги для слепых. Великобритания. Георг V. 1 тип ; 1916 ;  ; Ag900 ; XF+ ; 9 ; чусер ; 428 
 2504 ; 2 пенса. Маунди. Рождественские деньги для слепых. Великобритания. Георг V. 1 тип ; 1911 ;  ; Ag900 ; XF/AU ; 35 ; 995953 ; 1129 
 2505 ; 1 пенни. Маунди. Рождественские деньги для слепых. Великобритания. Георг V. 1 тип ; 1911 ;  ; Ag900 ; AU ; 79 ; Alexdav ; 1287 
 2506 ; 4 пенса. Маунди. Рождественские деньги для слепых. Великобритания. Эдуард VII ; 1905 ;  ; Ag ; XF+ ; 125 ; georg20 ; 1371 
 2507 ; 9 пиастров. Британская колония. Кипр. Виктория старая ; 1901 ;  ; Ag ; VF+ ; 95 ; 995953 ; 3795 
 2508 ; 4-1/2 пиастров. Британская колония. Кипр. Виктория старая ; 1901 ;  ; Ag ; VF+ ; 65 ; 995953 ; 1797 
 2509 ; 1/4 пиастра. Британская колония Кипр. Виктория молодая ; 1882Н ;  ; Cu ; VF ; 81 ; Alexdav ; 1434 
 2510 ; 1 рупия. Пробная. Индия Независимая. D-23,5мм. М-11,55г ; ND ;  ; Ag ; VF+ ; 76 ; mido137 ; 1848 
 2511 ; 1 дуит в другом металле в серебре. Нидерландская Индия. Восточная Индийская Компания. Провинция Голландия ; 1755 ;  ; Ag ; VF-XF ; 67 ; 995953 ; 1274 
 2512 ; 30 шамси. Британская колония. Йемен. Султанат Тари и Джорфикс ; 1344лх ;  ; Ag ; VF-XF ; 51 ; 995953 ; 3934 
 2513 ; 1 таэль. Оккупационные деньги 2МВ. Французский Индо-Китай. 2 тип ; 1943-1944 ;  ; Ag ; VF+ ; 73 ; чусер ; 5060 
 2514 ; 1 су (12 денье). Французские колонии в Америке. Людовик XV ; 1740 ;  ; Ag ; F ; 30 ; 995953 ; 1058 
 2515 ; 1 рупия. Португальская Индия ; 1935 ;  ; Ag ; AU ; 52 ; AnvlaSar6216 ; 1120 
 2516 ; 1 рупия. ГОА. Португальская Индия. Провинция ГОА. Посмертный выпуск ; 1806 ;  ; Ag ; VF- ; 84 ; kont ; 4028 
 2517 ; 1/2 цента. 1 тип. Стрейтс-Сетлментс. Британская Малайя. Виктория. Гурт гладкий ; 1872Н ;  ; Cu ; VF ; 49 ; shest ; 1734 
 2518 ; 1 десим. Франция. Провинциальный выпуск гор Страссбург. Монограмма Луи Наполеона ; 1815BB ;  ; Br ; VF ; 104 ; Alexdav ; 2295 
 2519 ; 1/2 цента. США ; 1834 ;  ; Cu ; VF- ; 146 ; 995953 ; 3860 
 2520 ; 15 пара. Токен. Британская колония. Египет. Александрия ; ND ;  ; Br ; VF- ; 71 ; 995953 ; 1208 
 2521 ; 5 центов. Мехик. Датская Западная Индия. Компания в Америке. О. Св. Томаса ; 1882 ;  ; Cu-Ni ; XF+ ; 51 ; forward ; 2015 
 2522 ; 1/2 пенни. Великобритания. Георг III ; 1807 ;  ; Cu ; XF+ ; 5 ; 995953 ; 1351 
 2523 ; 1/2 пенни. Токен. Великобритания. Бат. Блад - основатель города ; 1795 ;  ; Cu ; VF ; 62 ; purr ; 1161 
 2524 ; 1/2 пенни. Токен. Великобритания ; 1797 ;  ; Cu ; VF ; 48 ; purr ; 1235 
 2525 ; 1/2 пенни. Токен. Великобритания. Гурт шнур ; 1795 ;  ; Cu ; VF-XF ; 66 ; purr ; 1140 
 2526 ; Фартинг. Великобритания. Лондон. Исаак Ярлсман. Спарроу. Воздушный шар ; ND ;  ; Cu ; XF ; 117 ; 995953 ; 1209 
 2527 ; 1 стивер. Токен. Британская Гайяна (колония Эссекьюбо и Демарейру) ; 1813 ;  ; Cu ; VF ; 56 ; alex1974 ; 2500 
 2428 ; 6 грошей. Пруссия ; 1757C ;  ; Ag ; F ; 32 ; gelind ; 364 
 2429 ; 3 гроша. Пруссия ; 1780А ;  ; Ag ; F ; 16 ; Al0851 ; 136 
 2430 ; 3 гроша. Пруссия ; 1781А ;  ; Ag ; F+ ; 17 ; Lasto4kaSPB ; 151 
 2431 ; 3 гроша. Пруссия ; 1781А ;  ; Ag ; F+ ; 13 ; 161rus ; 142 
 2432 ; 3 гроша. Пруссия ; 1786А ;  ; Ag ; F-VF ; 42 ; grifon1 ; 130 
 2433 ; 1 зильбергрош. Пруссия, Вильгельм I (1861-1888) ; 1866A ;  ; Ag ; VF ; 20 ; АРУС ; 282 
 2434 ; 1/2 зильбергроша. Пруссия, Вильгельм I (1861-1888) ; 1867A ;  ; Ag ; VF-XF ; 18 ; serg2010 ; 394 
 2435 ; 1 шиллинг. Гамбург ; 1855 ;  ; Ag ; VF- ; 55 ; В1951 ; 275 
 2436 ; 1 сехслинг. Гамбург ; 1855 ;  ; Ag ; VF ; 33 ; jj ; 233 
 2437 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; XF ; 10 ; olimpic74 ; 92 
 2438 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; VF ; 13 ; jef688 ; 66 
 2439 ; 10 шиллингов. Австрия ; 1970 ;  ; Ag ; XF+ ; 16 ; nik23455 ; 87 
 2440 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; AU ; 12 ; Gold_42 ; 83 
 2441 ; 10 шиллингов. Австрия ; 1973 ;  ; Ag ; XF+ ; 8 ; krugerrand ; 90 
 2442 ; 5 шиллингов. Австрия ; 1964 ;  ; Ag ; XF ; 22 ; Dbrnjh ; 87 
 2443 ; 5 шиллингов. Австрия ; 1965 ;  ; Ag ; XF ; 27 ; Gold_42 ; 79 
 2444 ; 5 шиллингов. Австрия ; 1966 ;  ; Ag ; XF ; 11 ; vitapool ; 72 
 2445 ; 5 шиллингов. Австрия ; 1967 ;  ; Ag ; AU ; 20 ; sportmini ; 105 
 2446 ; 5 шиллингов. Австрия ; 1968 ;  ; Ag ; AU ; 7 ; Буратино ; 163 
 2447 ; 1 крона. Австрия ; 1914 ;  ; Ag ; XF ; 16 ; АРУС ; 116 
 2448 ; 1 крона. Австрия ; 1916 ;  ; Ag ; XF+ ; 20 ; АРУС ; 139 
 2449 ; 1 крона. Австрия ; 1916 ;  ; Ag ; AU ; 49 ; Буратино ; 214 
 2450 ; 50 эскудо. Португалия. Васко да Гама ; 1969 ;  ; Ag ; XF ; 15 ; staro ; 411 
 2451 ; 50 эскудо. Сан Томе и Принсипи. 500 лет открытию ; 1970 ;  ; Ag ; XF ; 20 ; ramik321 ; 399 
 2452 ; 20 эскудо. Португалия. 25 лет финансовой реформе ; 1953 ;  ; Ag ; VF+ ; 56 ; Dbrnjh ; 402 
 2453 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; XF ; 3 ; Vasya ; 120 
 2454 ; 20 марок. ГДР. Отто Гротеволь ; 1973A ;  ; Cu-Ni ; XF ; 2 ; Vasya ; 130 
 2455 ; 20 марок. ГДР. Вильгельм Пик ; 1972A ;  ; Cu-Ni ; XF ; 3 ; S1952 ; 126 
 2456 ; 20 марок. ГДР. Генрих Манн ; 1971 ;  ; Cu-Ni ; AU ; 2 ; Vasya ; 130 
 2457 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972A ;  ; Cu-Ni ; XF ; 17 ; vc57 ; 135 
 2458 ; 20 марок. ГДР. Карл Маркс ; 1983A ;  ; Cu-Ni ; AU ; 25 ; Rober ; 203 
 2459 ; 20 марок. ГДР. 30 лет ГДР ; 1979A ;  ; Cu-Ni ; XF+ ; 3 ; ramik321 ; 187 
 2460 ; 20 марок. ГДР. Открытие Бранденбургских ворот ; 1990A ;  ; Cu-Ni ; AU ; 20 ; 439 ; 255 
 2461 ; 10 марок. ГДР. Бухенвальд ; 1972A ;  ; Cu-Ni ; XF ; 7 ; nekff ; 139 
 2462 ; 10 марок. ГДР. Фестиваль молодежи и студентов в Берлине ; 1973A ;  ; Cu-Ni ; AU ; 20 ; zsv ; 79 
 2463 ; 10 марок. ГДР. 25 лет ГДР ; 1974A ;  ; Cu-Ni ; AU ; 19 ; nekff ; 110 
 2464 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975A ;  ; Cu-Ni ; AU ; 28 ; kb-antil77 ; 136 
 2465 ; 10 марок. ГДР. 20 лет Национальной народной армии ; 1976A ;  ; Cu-Ni ; AU ; 32 ; kb-antil77 ; 136 
 2466 ; 10 марок. ГДР. Совместный полет СССР - ГДР ; 1978A ;  ; Cu-Ni ; XF ; 40 ; partanen ; 208 
 2467 ; 10 марок. ГДР. 25 лет Национальной народной армии ; 1981A ;  ; Cu-Ni ; AU ; 27 ; olimpic74 ; 167 
 2468 ; 10 марок. ГДР. 700 лет Берлинскому монетному двору ; 1981 ;  ; Cu-Ni ; AU ; 90 ; sina ; 1224 
 2469 ; 10 марок. ГДР. 30 лет боевой дружине рабочего класса ; 1983A ;  ; Cu-Ni ; AU ; 78 ; salim ; 255 
 2470 ; 10 марок. ГДР. 40 лет освобождения от фашизма ; 1985A ;  ; Cu-Ni ; AU ; 46 ; sina ; 257 
 2471 ; 10 марок. ГДР. Эрнст Тельманн ; 1986A ;  ; Cu-Ni ; AU ; 56 ; lsp25 ; 210 
 2472 ; 10 марок. ГДР. Спорт ГДР ; 1988A ;  ; Cu-Ni ; AU ; 32 ; sina ; 137 
 2473 ; 10 марок. ГДР. 40 лет СЭВ ; 1989A ;  ; Cu-Ni ; AU ; 14 ; sina ; 727 
 2474 ; 10 марок. ГДР. 40 лет ГДР ; 1989A ;  ; Cu-Ni ; AU ; 48 ; jj ; 200 
 2475 ; 10 марок. ГДР. 100 лет 1 мая ; 1990A ;  ; Cu-Ni ; AU ; 43 ; lsp25 ; 136 
 2476 ; 5 марок. ГДР. Роберт Кох ; 1968 ;  ; Cu-Ni ; AU ; 50 ; sina ; 1007 
 2477 ; 5 марок. ГДР. Генрих Герт ; 1969 ;  ; Cu-Ni ; AU ; 23 ; sina ; 1007 
 2378 ; 20 франков. Швейцария. М-6,45г ; 1908В ;  ; Au ; AU ; 22 ; marinin70 ; 8490 
 2379 ; 20 франков. Швейцария. М-6,45г ; 1935 ;  ; Au ; AU ; 31 ; marinin70 ; 8490 
 2380 ; 5 крон. Швеция. М-2,24гр ; 1920W ;  ; Au ; AU ; 24 ; Иа-Иа ; 4682 
 2381 ; 20 лей. Медальные. Румыния. Румынские короли. М-6,55г ; 1944 ;  ; Au ; AU ; 18 ; _1111_ ; 9387 
 2382 ; 1/2 пахлави. Иран. М-4,01гр ; 1355л.х. ;  ; Au ; AU ; 24 ; toto ; 4866 
 2383 ; Монетовидный жетон. 10 лир. Италия. М-3,20гр ; 1943 ;  ; Au ; AU ; 29 ; marinin70 ; 3916 
 2384 ; 100 долларов. Багамские о-ва. Первая годовщина независимости. М-18,01гр ; 1974 ;  ; Au ; Proof ; 21 ; marinin70 ; 19876 
 2385 ; 100 долларов. Гайана. 10 лет Независимости. М-5,89г ; 1976 ;  ; Au ; Proof ; 58 ; marinin70 ; 6361 
 2386 ; 100 долларов. Канада. Эволюция автомобиля в XIX в. В подарочной коробке с сертификатом. М-13,33гр ; 1993 ;  ; Au ; Proof ; 18 ; marinin70 ; 13828 
 2387 ; 100 долларов. Канада. М-12,00гр ; 2004 ;  ; Au ; Proof ; 10 ; marinin70 ; 9433 
 2388 ; Талер. Венгрия ; 1775 ;  ; Ag ; VF+ ; 71 ; обломись ; 9068 
 2389 ; Талер. Австрия. Новодел ; 1780-ег ;  ; Ag ; AU ; 25 ; SergeyAnatoljevich ; 746 
 2390 ; Кроненталер. Италия, Милан ; 1795М ;  ; Ag ; VF+ ; 48 ; georg20 ; 3661 
 2391 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; XF ; 41 ; serg2010 ; 2057 
 2392 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; VF- ; 38 ; Lasto4kaSPB ; 2029 
 2393 ; 1/12 талера. Пруссия. Фридрих II ; 1750A ;  ; Биллон ; VF+ ; 100 ; Tche ; 1031 
 2394 ; 5 марок. Пруссия ; 1876A ;  ; Ag ; VF- ; 2 ; Vasya ; 1800 
 2395 ; 5 марок. Пруссия ; 1903A ;  ; Ag ; VF+ ; 5 ; ramik321 ; 937 
 2396 ; 5 марок. Германия. Церковь в Потсдаме ; 1934F ;  ; Ag ; VF+ ; 22 ; Сухов ; 461 
 2397 ; 5 марок. Германия. Церковь в Потсдаме ; 1935А ;  ; Ag ; VF+ ; 22 ; }|{ивотное ; 506 
 2398 ; 5 марок. Германия. Церковь в Потсдаме ; 1935D ;  ; Ag ; VF- ; 2 ; Mike! ; 333 
 2399 ; 5 марок. Германия. Пауль фон Гинденбург ; 1935F ;  ; Ag ; VF ; 5 ; ramik321 ; 347 
 2400 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF+ ; 15 ; }|{ивотное ; 512 
 2401 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF+ ; 18 ; }|{ивотное ; 363 
 2402 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936D ;  ; Ag ; VF-XF ; 8 ; ramik321 ; 477 
 2403 ; 5 марок. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; XF ; 49 ; evgen 66 ; 587 
 2404 ; 5 марок. Германия. Пауль фон Гинденбург ; 1939B ;  ; Ag ; VF-XF ; 115 ; }|{ивотное ; 550 
 2405 ; 3 марки. Университет Бреслау. Пруссия ; 1911А ;  ; Ag ; XF/AU ; 38 ; AVLid ; 4000 
 2406 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; VF-XF ; 9 ; lsp25 ; 1010 
 2407 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 10 ; Dbrnjh ; 1134 
 2408 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; VF-XF ; 5 ; lsp25 ; 729 
 2409 ; 2 марки. Бавария ; 1914D ;  ; Ag ; XF/AU ; 7 ; Sky2 ; 2552 
 2410 ; 2 марки. Германия. Пауль фон Гинденбург ; 1936G ;  ; Ag ; VF+ ; 47 ; }|{ивотное ; 1077 
 2411 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; XF- ; 13 ; Sky2 ; 224 
 2412 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF-XF ; 13 ; Sky2 ; 220 
 2413 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; XF- ; 9 ; Sky2 ; 225 
 2414 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938D ;  ; Ag ; VF-XF ; 13 ; Sky2 ; 213 
 2415 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; XF+ ; 25 ; murzik20 ; 303 
 2416 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939E ;  ; Ag ; XF ; 10 ; ВМШ ; 363 
 2417 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939E ;  ; Ag ; XF ; 31 ; Man 11 ; 340 
 2418 ; 1/2 марки. Германия ; 1905А ;  ; Ag ; F-VF ; 1 ; 542 ; 142 
 2419 ; 1/2 марки. Германия ; 1914A ;  ; Ag ; XF+ ; 4 ; first ; 155 
 2420 ; 1/2 марки. Германия ; 1915A ;  ; Ag ; XF ; 1 ; Mike! ; 145 
 2421 ; 6 крейцеров. Бавария ; 1816 ;  ; Ag ; F+ ; 17 ; vitapool ; 142 
 2422 ; 3 крейцера. Силезия ; 1780А ;  ; Ag ; F-VF ; 65 ; Lasto4kaSPB ; 397 
 2423 ; 6 грошей. Пруссия. Фридрих Вильгельм I ; 1720 ;  ; Ag ; F-VF ; 79 ; Георг ; 1062 
 2424 ; 6 грошей. Пруссия. М-2,79г ; 1755 ;  ; Ag ; F+ ; 36 ; gelind ; 283 
 2425 ; 6 грошей. Пруссия ; 1757C ;  ; Ag ; F+ ; 12 ; grifon1 ; 165 
 2426 ; 6 грошей. Пруссия ; 1757C ;  ; Ag ; F ; 13 ; vitapool ; 173 
 2427 ; 6 грошей. Пруссия ; 1757C ;  ; Ag ; F ; 20 ; jj ; 171 
