 3233 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bcs ; 77 
 2305 ; 1флорин. Австрия ; 1860A ;  ; Ag ; AU ; 88 ; Noks ; 677 
 2306 ; 2 шиллинга. Австрия. 200 лет со дня смерти принца Евгения Савойского ; 1936 ;  ; Ag ; AU ; 54 ; HILL77 ; 483 
 2307 ; 30 драхм. Греция. Бракосочетание ; 1964 ;  ; Ag ; AU ; 73 ; HILL77 ; 932 
 2308 ; 5 франков. Швейцария ; 1923В ;  ; Ag ; VF ; 16 ; ВЯЗ ; 518 
 2309 ; 5 франков. Швейцария ; 1923В ;  ; Ag ; VF+ ; 41 ; МИС ; 601 
 2310 ; Талер. Франкфурт на Майне. Фестиваль оружия в Германии ; 1862 ;  ; Ag ; VF+ ; 46 ; tau ; 2407 
 2311 ; 6 пенсов. Великобритания. Георг II ; 1745 ;  ; Ag ; VF+ ; 87 ; 4д4 ; 1941 
 2312 ; 4 пенса. Великобритания. Вильям и Мери. Деформация ; 1689 ;  ; Ag ; VF- ; 34 ; 4д4 ; 2397 
 2313 ; 4 пенса. Великобритания. Вильям IV ; 1837 ;  ; Ag ; XF- ; 55 ; Alexdav ; 2327 
 2314 ; 4 пенса. Великобритания. Георг V ; 1926 ;  ; Ag ; AU ; 66 ; Alexdav ; 2016 
 2315 ; 4 пенса. Великобритания. Георг VI ; 1946 ;  ; Ag ; AU ; 13 ; 223355 ; 1340 
 2316 ; 3 пенса. Великобритания. Чарльз II ; 1682 ;  ; Ag ; VF+ ; 41 ; 4д4 ; 2142 
 2317 ; 3 пенса. Великобритания. Георг III ; 1800 ;  ; Ag ; VF-XF ; 40 ; 4д4 ; 2570 
 2318 ; 2 пенса. Великобритания. Георг ; 1721 ;  ; Ag ; VF+ ; 61 ; 4д4 ; 3105 
 2319 ; 2 пенса. Великобритания. Георг III ; 1817 ;  ; Ag ; XF+ ; 85 ; Alexdav ; 2397 
 2320 ; 16 грошей. Брауншвейг-Вольфенбюттель ; 1798МС ;  ; Ag ; VF ; 31 ; SadKo ; 863 
 2321 ; 24 гроша. Брауншвейг-Вольфенбюттель ; 1800МС ;  ; Ag ; VF ; 30 ; SadKo ; 1095 
 2322 ; 2/3 талера. Брауншвейг-Вольфенбюттель ; 1765IDB ;  ; Ag ; VF ; 30 ; d-master ; 1249 
 2323 ; Талер. Мекленбург-Стрелитц ; 1870А ;  ; Ag ; VF+ ; 66 ; os ; 4056 
 2324 ; Талер. Вюртемберг ; 1859 ;  ; Ag ; F-VF ; 52 ; Алла ; 1999 
 2325 ; Талер. Нассау ; 1860Z ;  ; Ag ; VF+ ; 58 ; QSL ; 2694 
 2326 ; Талер. Ганновер ; 1857В ;  ; Ag ; VF- ; 20 ; Алла ; 1620 
 2327 ; Талер. Вюртемберг. Победа в Франко-Прусской войне ; 1871 ;  ; Ag ; VF+ ; 65 ; tau ; 2181 
 2328 ; 16 грошей. Брауншвейг-Вольфенбюттель ; 1792МС ;  ; Ag ; VF-XF ; 33 ; Проф ; 1300 
 2329 ; 16 грошей. Брауншвейг-Вольфенбюттель ; 1786МС ;  ; Ag ; VF+ ; 24 ; SadKo ; 926 
 2230 ; Талер. Бавария. М-27,88гр ; 1764 ;  ; Ag ; VF ; 4 ; МИС ; 1561 
 2231 ; Талер. Бавария. М-27,73гр ; 1760 ;  ; Ag ; VF+ ; 17 ; МИС ; 2154 
 2232 ; Талер. Бавария. М-28,03гр ; 1771 ;  ; Ag ; VF+ ; 19 ; инга ; 2550 
 2233 ; Талер. Бавария. М-27,91гр ; 1772 ;  ; Ag ; VF ; 18 ; Noks ; 2040 
 2234 ; Далер. Норвегия. М-28,94гр ; 1778HIAB ;  ; Ag ; VF+ ; 54 ; А_еЧъ ; 4343 
 2235 ; Талер. Бавария ; 1778 ;  ; Ag ; VF+ ; 59 ; yuramo ; 2054 
 2236 ; Талер. Пруссия. М-21,91гр ; 1781В ;  ; Ag ; VF- ; 14 ; SadKo ; 2111 
 2237 ; Талер. Пруссия. М-21,75гр ; 1786А ;  ; Ag ; F-VF ; 20 ; SadKo ; 2152 
 2238 ; Талер. Фюлда. М-28,00гр ; 1795 ;  ; Ag ; VF ; 17 ; region23 ; 9952 
 2239 ; Талер. Бавария ; 1806 ;  ; Ag ; VF ; 87 ; SadKo ; 3448 
 2240 ; Талер. Саксония ; 1807SGH ;  ; Ag ; VF- ; 38 ; QSL ; 2716 
 2241 ; Талер. Саксония ; 1816IGS ;  ; Ag ; VF ; 15 ; QSL ; 1555 
 2242 ; Талер. Пруссия ; 1814А ;  ; Ag ; VF ; 23 ; QSL ; 1766 
 2243 ; 2 гульдена. Бавария. Восстановление колонны с  Мадонной в Мюнхене ; 1855 ;  ; Ag ; VF- ; 40 ; tau ; 1536 
 2244 ; Талер. Вальдек-Пермонт. Редкий ; 1811FW ;  ; Ag ; VF+ ; 22 ; Георг ; 20276 
 2245 ; 5 лир. Италия ; 1848М ;  ; Ag ; VF ; 39 ; cochu ; 1457 
 2246 ; Талер. Ольденбург ; 1846 ;  ; Ag ; VF-XF ; 95 ; vatom22 ; 4784 
 2247 ; Талер. Ольденбург ; 1860 ;  ; Ag ; VF-XF ; 67 ; os ; 3734 
 2248 ; Талер. Ганновер. Свадьба принца Георга и герцогини Марии. Тираж 1010 шт. ; 1843S ;  ; Ag ; XF+ ; 56 ; Nico ; 12240 
 2249 ; Талер. Пруссия ; 1830А ;  ; Ag ; VF ; 49 ; QSL ; 2017 
 2250 ; Талер. Бавария ; 1869 ;  ; Ag ; VF ; 103 ; os ; 2123 
 2251 ; 2 гульдена. Франкфурт на Майне. 100 лет со дня рождения Гете. Ремонт гурта 12 часов ; 1849 ;  ; Ag ; VF- ; 8 ; QSL ; 2087 
 2252 ; 2 гульдена. Бавария. Восстановление колонны с  Мадонной в Мюнхене ; 1855 ;  ; Ag ; VF- ; 19 ; Mike! ; 1129 
 2253 ; 2/3 талера. Брауншвейг-Вольфенбюттель. Ремонт гурта 12 часов ; 1764IDB ;  ; Ag ; VF ; 29 ; skir ; 1619 
 2254 ; Талер. Бавария. Победа в Франко-Прусской войне ; 1871 ;  ; Ag ; VF-XF ; 83 ; olo3olo3 ; 2537 
 2255 ; Талер. Франкфурт на Майне ; 1862 ;  ; Ag ; VF+ ; 46 ; Alexdav ; 1853 
 2256 ; Талер. Франкфурт на Майне ; 1862 ;  ; Ag ; VF+ ; 33 ; Алла ; 1590 
 2257 ; Талер. Франкфурт на Майне ; 1860 ;  ; Ag ; VF+ ; 34 ; Алла ; 1592 
 2258 ; Талер. Пруссия ; 1862А ;  ; Ag ; VF+ ; 42 ; МИС ; 1122 
 2259 ; Талер. Пруссия. Победа над Францией ; 1871А ;  ; Ag ; VF- ; 49 ; МИС ; 1032 
 2260 ; Талер. Пруссия ; 1859А ;  ; Ag ; VF- ; 33 ; Алла ; 1053 
 2261 ; Талер. Пруссия. Коронационный ; 1861 ;  ; Ag ; VF-XF ; 70 ; bklad ; 1609 
 2262 ; Талер. Пруссия. Коронационный ; 1861 ;  ; Ag ; VF-XF ; 57 ; Mike! ; 1029 
 2263 ; 5 марок. Пруссия ; 1874A ;  ; Ag ; F-VF ; 31 ; QSL ; 888 
 2264 ; 5 марок. Пруссия ; 1900A ;  ; Ag ; VF- ; 39 ; QSL ; 824 
 2265 ; 5 марок. Гамбург ; 1903J ;  ; Ag ; VF ; 27 ; Алла ; 1062 
 2266 ; 5 марок. Бавария ; 1907D ;  ; Ag ; VF ; 40 ; Noks ; 944 
 2267 ; 5 марок. Вюртемберг ; 1907F ;  ; Ag ; VF- ; 36 ; QSL ; 925 
 2268 ; 5 марок. Пруссия ; 1913А ;  ; Ag ; VF- ; 51 ; QSL ; 798 
 2269 ; 5 марок. Пруссия ; 1914A ;  ; Ag ; XF- ; 17 ; skir ; 956 
 2270 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга ; 1935А ;  ; Ag ; XF+ ; 29 ; lesnik1 ; 388 
 2271 ; 5 марок. Германия. Подписная Кирха ; 1934A ;  ; Ag ; VF ; 50 ; EA51 ; 508 
 2272 ; Талер. Австрия ; 1863V ;  ; Ag ; VF+ ; 35 ; ВЯЗ ; 1734 
 2273 ; Талер. Саксония ; 1867В ;  ; Ag ; VF+ ; 37 ; QSL ; 2026 
 2274 ; Талер. Нассау ; 1863 ;  ; Ag ; VF ; 35 ; os ; 2657 
 2275 ; 2 марки. Пруссия. 200 лет Пруссии ; 1901 ;  ; Ag ; F-VF ; 17 ; skir ; 425 
 2276 ; 3 марки. Саксония ; 1909E ;  ; Ag ; VF+ ; 45 ; kolobokoff ; 918 
 2277 ; 3 марки. Пруссия ; 1910A ;  ; Ag ; VF+ ; 47 ; QSL ; 563 
 2278 ; 3 марки. Вюртемберг ; 1910F ;  ; Ag ; VF ; 42 ; QSL ; 778 
 2279 ; 3 марки. Бавария ; 1911D ;  ; Ag ; VF+ ; 61 ; QSL ; 716 
 1651 ; 3 копейки ; 1924 ; Гурт гладкий ; Cu ; F+ ; 34 ; ВЯЗ ; 51 
 1652 ; 2 копейки ; 1924 ; Гурт рубчатый ; Cu ; F ; 32 ; ВЯЗ ; 51 
 1653 ; 1 копейка ; 1924 ; Гурт рубчатый ; Cu ; F ; 32 ; ВЯЗ ; 53 
 1654 ; 3 копейки ; 1936 ; л/с звезда фигурная ; Br ; VF+ ; 3 ; Иван Фокич ; 160 
 1655 ; 2 копейки ; 1946 ;  ; Br ; VF+ ; 16 ; VR62 ; 17 
 1656 ; 1 копейка ; 1931 ;  ; Br ; VF ; 21 ; kolobok ; 114 
 1657 ; 1 копейка ; 1936 ;  ; Br ; VF-XF ; 33 ; mazda__3 ; 79 
 1658 ; 1 копейка ; 1936 ;  ; Br ; VF+ ; 3 ; ЧИС ; 22 
 1659 ; 1 копейка ; 1938 ;  ; Br ; VF-XF ; 4 ; o.k. ; 41 
 1660 ; 1 копейка ; 1938 ;  ; Br ; VF+ ; 3 ; Иван Фокич ; 32 
 1661 ; 1 копейка ; 1940 ;  ; Br ; XF ; 12 ; mazda__3 ; 47 
 1662 ; 1 копейка ; 1945 ;  ; Br ; VF+ ; 57 ; asru ; 69 
 1663 ; 1 копейка ; 1949 ;  ; Br ; XF- ; 21 ; Иван Фокич ; 45 
 1664 ; 1 копейка ; 1950 ;  ; Br ; VF+ ; 51 ; kolobok ; 55 
 1665 ; 15 копеек ; 1946 ;  ; Ni ; VF+ ; 49 ; belovaanna ; 150 
 1666 ; Лот монет России: 10,50,100 рублей (13шт) ; 1991-1993 ;  ; Cu-Ni, Би/ ; AU ; 9 ; holyLazar ; 260 
 2196 ; 1/25 кроны. Остров Мэн. Кошка ; 1997 ;  ; Au ; proof ; 30 ; Ronald ; 2040 
 2197 ; 25 долларов. Ниуэ. Кеннеди ; 1994 ;  ; Au ; proof ; 19 ; кашира ; 2244 
 2198 ; 1/25 рояла. Гибралтар ; 1998 ;  ; Au ; proof ; 31 ; кашира ; 2346 
 2199 ; 25 долларов. Ниуэ. Охрана живой природы ; 1996 ;  ; Au ; proof ; 51 ; nikolay ; 1249 
 2200 ; 20 франков. Франция м=6,42г ; 1852А ;  ; Au ; VF-XF ; 29 ; Бендер ; 5417 
 2201 ; 20 лир. Италия. Сардиния м=6,42г ; 1849 ;  ; Au ; XF- ; 24 ; nikolay ; 5626 
 2202 ; 20 франков. Франция м=6,45г ; 1861А ;  ; Au ; XF+ ; 81 ; Бендер ; 8568 
 2203 ; 10 гульденов. Нидерланды м=6,71г ; 1875 ;  ; Au ; AU ; 52 ; dimkan ; 6377 
 2204 ; 20 франков. Бельгия м=6,44г ; 1914 ;  ; Au ; VF-XF ; 46 ; tv ; 5781 
 2205 ; Соверен. Великобритания ; 1871 ;  ; Au ; AU ; 30 ; кашира ; 8708 
 2206 ; Соверен. Великобритания ; 1882 ;  ; Au ; XF+ ; 46 ; ghjk ; 8708 
 2207 ; 20 лир. Италия. М-6,46гр ; 1882R ;  ; Au ; AU ; 33 ; hugo ; 5983 
 2208 ; 20 франков. Швейцария. М-6,47гр ; 1899В ;  ; Au ; AU ; 41 ; кашира ; 7545 
 2209 ; 20 франков. Франция. М-6,49гр ; 1906 ;  ; Au ; AU ; 24 ; кашира ; 6630 
 2210 ; 20 марок. Гамбург. М-7,98гр ; 1894J ;  ; Au ; AU ; 34 ; кашира ; 7890 
 2211 ; 20 марок. Гамбург. М-7,93гр ; 1877J ;  ; Au ; XF- ; 34 ; nikolay ; 6388 
 2212 ; 20 марок. Пруссия. М-7,97гр ; 1887A ;  ; Au ; XF+ ; 33 ; ВЯЗ ; 6075 
 2213 ; 10 корон. Венгрия. М-3,39гр ; 1894 ;  ; Au ; XF ; 14 ; кашира ; 3253 
 2214 ; 10 корон. Венгрия. М-3,38гр ; 1897 ;  ; Au ; XF+ ; 38 ; Бендер ; 4108 
 2215 ; 10 марок. Пруссия. М-3,96гр ; 1872C ;  ; Au ; XF+ ; 12 ; Алла ; 4131 
 2216 ; 10 марок. Пруссия. М-3,95гр ; 1877С ;  ; Au ; VF+ ; 23 ; num1 ; 3778 
 2217 ; 10 марок. Пруссия. М-4,01гр ; 1905А ;  ; Au ; XF+ ; 13 ; Алла ; 4182 
 2218 ; 10 марок. Баден. М-3,92гр ; 1878G ;  ; Au ; VF ; 5 ; Алла ; 5102 
 2219 ; 10 марок. Вюртемберг. М-3,98гр ; 1910F ;  ; Au ; VF-XF ; 5 ; Алла ; 5102 
 2220 ; 10 франков. Швейцария. М-3,24гр ; 1915 ;  ; Au ; AU ; 18 ; vadimn ; 5248 
 2221 ; 1/2 соверена. Австралия. Сидней. М-3,93гр ; 1886 ;  ; Au ; VF-XF ; 29 ; кашира ; 4159 
 2222 ; 10 песо. Мексика. М-8,33гр ; 1917 ;  ; Au ; VF-XF ; 24 ; dimkan ; 7960 
 2223 ; 2-1/2 песо. Мексика. М-2,08гр ; 1945 ;  ; Au ; AU ; 17 ; nikolay ; 1964 
 2224 ; 2 песо. Мексика. М-1,69гр ; 1945 ;  ; Au ; AU ; 28 ; olo3olo3 ; 1723 
 2225 ; 2 талера. Пруссия ; 1856А ;  ; Ag ; VF+ ; 24 ; ВЯЗ ; 2754 
 2226 ; 2 талера. Саксония. Годовщина золотой свадьбы ; 1872В ;  ; Ag ; VF+ ; 45 ; os ; 3570 
 2227 ; Двойной талер. Ганновер. Георг V (1851-1866) ; 1854В ;  ; Ag ; VF ; 10 ; bier ; 2946 
 2228 ; Талер. Австрия. М-28,90гр ; 1716 ;  ; Ag ; XF- ; 65 ; Nico ; 6246 
 2229 ; Талер. Бавария. М-27,84гр ; 1761 ;  ; Ag ; VF ; 10 ; МИС ; 2128 
 1601 ; 15 копеек ; 1931 ;  ; Ni ; VF ; 16 ; corner ; 26 
 1602 ; 15 копеек ; 1931 ;  ; Ni ; AU ; 108 ; Иван Фокич ; 429 
 1603 ; 10 копеек ; 1932 ;  ; Ni ; F-VF ; 10 ; corner ; 42 
 1604 ; 20 копеек ; 1936 ; л/с звезда плоская ; Ni ; VF-XF ; 4 ; lesnik1 ; 41 
 1605 ; 20 копеек ; 1940 ; л/с звезда плоская ; Ni ; VF-XF ; 53 ; нумизмат ; 53 
 1606 ; 20 копеек ; 1954 ;  ; Ni ; VF-XF ; 11 ; kosmos75 ; 12 
 1607 ; 15 копеек ; 1936 ;  ; Ni ; VF+ ; 22 ; belovaanna ; 49 
 1608 ; 15 копеек ; 1935 ;  ; Ni ; VF-XF ; 26 ; Мордехай ; 70 
 1609 ; 15 копеек ; 1937 ;  ; Ni ; VF+ ; 85 ; vlkorchev ; 203 
 1610 ; 10 копеек ; 1936 ;  ; Ni ; XF- ; 9 ; obob999 ; 50 
 1611 ; 10 копеек ; 1939 ;  ; Ni ; F-VF ; 44 ; vlkorchev ; 119 
 1612 ; 5 копеек ; 1930 ;  ; Br ; XF+ ; 80 ; opop ; 765 
 1613 ; 5 копеек ; 1940 ;  ; Br ; XF ; 64 ; mazda__3 ; 205 
 1614 ; 3 копейки ; 1938 ;  ; Br ; XF- ; 20 ; Максимус 1 ; 43 
 1615 ; 3 копейки ; 1946 ;  ; Br ; VF ; 9 ; VR62 ; 10 
 1616 ; 3 копейки ; 1930 ;  ; Br ; VF- ; 20 ; VR62 ; 31 
 1617 ; 2 копейки ; 1931 ;  ; Br ; AU ; 72 ; shtuka ; 2665 
 1618 ; 2 копейки ; 1936 ;  ; Br ; VF+ ; 5 ; lelik35 ; 6 
 1619 ; 2 копейки ; 1937 ;  ; Br ; XF+ ; 17 ; topotun ; 459 
 1620 ; 2 копейки ; 1941 ;  ; Br ; VF ; 27 ; pmaster ; 27 
 1621 ; 1 копейка ; 1932 ;  ; Br ; AU ; 28 ; KVit68 ; 1020 
 1622 ; 1 копейка ; 1937 ;  ; Br ; VF-XF ; 56 ; shiraliv ; 209 
 1623 ; 1 копейка ; 1939 ;  ; Br ; VF+ ; 20 ; Сапёр ; 26 
 1624 ; 1 рубль ; 1965 ;  ; Cu-Ni ; AU ; 42 ; bcs ; 247 
 1625 ; 1 рубль ; 1961 ;  ; Cu-Ni ; AU ; 39 ; alexey_s ; 72 
 1626 ; 50 копеек ; 1961 ;  ; Cu-Ni ; XF+ ; 45 ; sergfokin ; 44 
 1627 ; 50 копеек ; 1961 ;  ; Cu-Ni ; AU ; 25 ; mazda__3 ; 291 
 1628 ; 50 копеек ; 1965 ;  ; Cu-Ni ; AU ; 112 ; tisa66 ; 522 
 1629 ; 5 копеек ; 1975 ;  ; Cu-Zn ; VF+ ; 21 ; VikNik ; 22 
 1630 ; 5 копеек ; 1965 ;  ; Cu-Zn ; AU ; 57 ; topotun ; 956 
 1631 ; 3 копейки ; 1965 ;  ; Cu-Zn ; AU ; 36 ; topotun ; 805 
 1632 ; 3 копейки ; 1961 ;  ; Cu-Zn ; AU ; 22 ; topotun ; 772 
 1633 ; 2 копейки ; 1965 ;  ; Cu-Zn ; AU ; 53 ; suhua ; 262 
 1634 ; 2 копейки ; 1970 ;  ; Cu-Zn ; XF+ ; 23 ; hjk1974 ; 46 
 1635 ; 1 копейка ; 1970 ;  ; Cu-Zn ; AU ; 41 ; and ; 222 
 1636 ; 1 копейка ; 1965 ;  ; Cu-Zn ; AU ; 16 ; hjk1974 ; 78 
 1637 ; 20 копеек ; 1965 ;  ; Cu-Ni ; AU ; 44 ; ghjk ; 1797 
 1638 ; 15 копеек ; 1965 ;  ; Cu-Ni ; AU ; 25 ; spektr ; 1062 
 1639 ; 15 копеек ; 1962 ;  ; Cu-Ni ; XF ; 9 ; mazda__3 ; 46 
 1640 ; 10 копеек ; 1965 ;  ; Cu-Ni ; AU ; 30 ; ghjk ; 1814 
 1641 ; 10 копеек ; 1932 ;  ; Ni ; VF-XF ; 38 ; belovaanna ; 150 
 1642 ; 20 копеек ; 1923 ;  ; Ag ; XF- ; 37 ; Иван Фокич ; 108 
 1643 ; 20 копеек ; 1927 ;  ; Ag ; VF+ ; 16 ; rmiller ; 43 
 1644 ; 15 копеек ; 1925 ;  ; Ag ; VF+ ; 12 ; Сапёр ; 40 
 1645 ; 15 копеек ; 1927 ;  ; Ag ; VF- ; 13 ; rmiller ; 33 
 1646 ; 10 копеек ; 1925 ;  ; Ag ; XF ; 32 ; chuprunov ; 200 
 1647 ; 10 копеек ; 1927 ;  ; Ag ; XF ; 22 ; mazda__3 ; 104 
 1648 ; 10 копеек ; 1928 ;  ; Ag ; XF+ ; 14 ; mazda__3 ; 79 
 1649 ; 20 копеек ; 1937 ; л/с звезда плоская ; Ni ; VF-XF ; 57 ; o.k. ; 129 
 1650 ; 20 копеек ; 1943 ; л/с звезда плоская ; Ni ; VF- ; 20 ; Иван Фокич ; 40 
 1551 ; 15 копеек ; 1946 ;  ; Ni ; VF- ; 12 ; kosmos75 ; 26 
 1552 ; 15 копеек ; 1948 ;  ; Ni ; VF ; 34 ; mazda__3 ; 33 
 1553 ; 15 копеек ; 1950 ;  ; Ni ; VF ; 19 ; kosmos75 ; 72 
 1554 ; 15 копеек ; 1952 ;  ; Ni ; VF+ ; 19 ; mazda__3 ; 51 
 1555 ; 15 копеек ; 1954 ;  ; Ni ; VF-XF ; 16 ; niva ; 21 
 1556 ; 15 копеек ; 1955 ;  ; Ni ; VF-XF ; 27 ; VR62 ; 31 
 1557 ; 15 копеек ; 1956 ;  ; Ni ; VF-XF ; 4 ; VR62 ; 5 
 1558 ; 15 копеек ; 1956 ;  ; Ni ; F-VF ; 5 ; kosmos75 ; 6 
 1559 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; VF+ ; 9 ; kosmos75 ; 10 
 1560 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; VF-XF ; 2 ; Инвестор ; 3 
 1561 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; VF-XF ; 5 ; kosmos75 ; 11 
 1562 ; 15 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 15 ; Петр I ; 14 
 1563 ; 10 копеек ; 1927 ;  ; Ag ; VF ; 21 ; o.k. ; 39 
 1564 ; 10 копеек ; 1952 ;  ; Ni ; VF- ; 12 ; mazda__3 ; 45 
 1565 ; 10 копеек ; 1953 ;  ; Ni ; VF+ ; 15 ; mazda__3 ; 34 
 1566 ; 10 копеек ; 1955 ;  ; Ni ; VF-XF ; 5 ; moneymax ; 5 
 1567 ; 10 копеек ; 1956 ; в венке герба 16 лент ; Ni ; VF+ ; 7 ; VR62 ; 7 
 1568 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 9 ; kosmos75 ; 10 
 1569 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 7 ; moneymax ; 8 
 1570 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 5 ; kosmos75 ; 10 
 1571 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 2 ; lelik35 ; 3 
 1572 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 10 ; Идеал ; 15 
 1573 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 11 ; moneymax ; 10 
 1574 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; AU ; 13 ; Петр I ; 12 
 1575 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 4 ; dariy ; 10 
 1576 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF- ; 2 ; lelik35 ; 3 
 1577 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 13 ; dariy ; 13 
 1578 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 3 ; moneymax ; 11 
 1579 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF ; 9 ; moneymax ; 10 
 1580 ; 10 копеек ; 1957 ; в венке герба 15 лент ; Ni ; XF+ ; 4 ; moneymax ; 11 
 1581 ; 5 копеек ; 1991 ; ЛМД ; Cu-Zn ; AU ; 7 ; asru ; 10 
 1582 ; 5 копеек ; 1991 ; ЛМД ; Cu-Zn ; AU ; 14 ; asru ; 26 
 1583 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 19 ; sk57 ; 31 
 1584 ; 5 копеек ; 1952 ;  ; Br ; VF- ; 34 ; aleksandr733 ; 33 
 1585 ; 2 копейки ; 1950 ;  ; Br ; VF- ; 10 ; kush07 ; 34 
 1586 ; 50 рублей ; 1992 ; ММД биметалл ; Cu-Zn ; AU ; 53 ; erdnaj ; 357 
 1587 ; 100 рублей ; 1992 ; ММД биметалл ; Cu-Ni ; AU ; 72 ; erdnaj ; 1122 
 1588 ; 100 рублей ; 1992 ; ЛМД биметалл ; Cu-Ni ; AU ; 33 ; erdnaj ; 111 
 1589 ; 50 рублей ; 1993 ; ММД плакир.сталь ; Cu-Zn ; AU ; 3 ; gcab ; 4 
 1590 ; 50 рублей ; 1993 ; ЛМД плакир.сталь ; Cu-Zn ; AU ; 5 ; vc57 ; 5 
 1591 ; 50 рублей ; 1993 ; ЛМД плакир.сталь ; Cu-Zn ; AU ; 20 ; erdnaj ; 21 
 1592 ; 50 рублей ; 1993 ; ЛМД плакир.сталь ; Cu-Zn ; AU ; 5 ; vc57 ; 13 
 1593 ; 15 копеек ; 1923 ;  ; Ag ; VF ; 13 ; moneymax ; 41 
 1594 ; 10 копеек ; 1922 ;  ; Ag ; VF- ; 50 ; alex995 ; 51 
 1595 ; 10 копеек ; 1923 ;  ; Ag ; F-VF ; 23 ; corner ; 32 
 1596 ; 10 копеек ; 1929 ;  ; Ag ; F-VF ; 19 ; kush07 ; 43 
 1597 ; 20 копеек ; 1922 ;  ; Ag ; VF ; 30 ; Сапёр ; 49 
 1598 ; 20 копеек ; 1923 ;  ; Ag ; VF ; 27 ; rmiller ; 41 
 1599 ; 20 копеек. Аверс/реверс 40 градусов ; 1932 ;  ; Ni ; VF+ ; 93 ; ghjk ; 411 
 1600 ; 20 копеек ; 1932 ;  ; Ni ; AU ; 42 ; niva ; 197 
 1501 ; 1 рубль ; 1980 ;  ; Cu-Ni ; AU ; 56 ; gutun ; 187 
 1502 ; 1 рубль ; 1981 ;  ; Cu-Ni ; AU ; 26 ; gutun ; 225 
 1503 ; 1 рубль ; 1982 ;  ; Cu-Ni ; AU ; 30 ; vlkorchev ; 234 
 1504 ; 1 рубль ; 1983 ;  ; Cu-Ni ; AU ; 53 ; vlkorchev ; 239 
 1505 ; 1 рубль ; 1984 ;  ; Cu-Ni ; AU ; 10 ; gutun ; 133 
 1506 ; 1 рубль ; 1985 ;  ; Cu-Ni ; AU ; 9 ; Poiuyt ; 47 
 1507 ; 1 рубль ; 1986 ;  ; Cu-Ni ; AU ; 36 ; paxa ; 70 
 1508 ; 1 рубль ; 1987 ;  ; Cu-Ni ; AU ; 22 ; bcs ; 88 
 1509 ; 1 рубль ; 1988 ;  ; Cu-Ni ; AU ; 27 ; elac ; 54 
 1510 ; 1 рубль ; 1990 ;  ; Cu-Ni ; AU ; 20 ; Poiuyt ; 43 
 1511 ; 1 рубль ; 1991 ; ЛМД ; Cu-Ni ; AU ; 34 ; aleksandr733 ; 193 
 1512 ; 1 рубль ; 1991 ; ММД ; Cu-Ni ; AU ; 13 ; alex995 ; 51 
 1513 ; 1 рубль ; 1977 ; Олимпиада 80.Эмблема Олимпийск ; Cu-Ni ; AU ; 22 ; shiraliv ; 19 
 1514 ; 1 рубль ; 1980 ; Олимпиада 80.Олимпийский факел ; Cu-Ni ; AU ; 29 ; bcs ; 44 
 1515 ; 1 рубль ; 1980 ; Олимпиада 80.Здание Моссовета ; Cu-Ni ; AU ; 42 ; shiraliv ; 97 
 1516 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; AU ; 38 ; Петр I ; 38 
 1517 ; 1 рубль ; 1979 ; Олимпиада 80.Здание МГУ ; Cu-Ni ; AU ; 23 ; fpd7 ; 25 
 1518 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Ме ; Cu-Ni ; AU ; 41 ; fpd7 ; 72 
 1519 ; 1 рубль ; 1983 ; 400 лет со дня смерти И.Федоро ; Cu-Ni ; AU ; 25 ; bcs ; 73 
 1520 ; 1 рубль ; 1985 ; Фестиваль молодежи и студентов ; Cu-Ni ; AU ; 37 ; Nirvanych ; 41 
 1521 ; 1 рубль ; 1987 ; 175 лет Бородино (обелиск) ; Cu-Ni ; AU ; 33 ; shiraliv ; 42 
 1522 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; AU ; 31 ; хрюндель ; 40 
 1523 ; 1 рубль ; 1984 ; 185 лет со дня рождения А.С.Пу ; Cu-Ni ; AU ; 40 ; Петр I ; 86 
