 5975 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; StanislavAK ; 31 
 3697 ; 2 гривны. Украина. Иван Багряный ; 2007 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 155 
 3698 ; 2 гривны. Украина. Василь Липкиевский ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 343 
 3699 ; 2 гривны. Украина. Королева Франции ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 414 
 3700 ; 2 гривны. Украина. Евгений Петрушевич ; 2008 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 143 
 3701 ; 2 гривны. Украина. Михаил Кравчук ; 2012 ;  ; Cu-Ni ; AU ; 23 ; Mike! ; 666 
 3702 ; 2 гривны. Украина. Нац филармония Украины ; 2013 ;  ; Cu-Ni ; AU ; 6 ; xxxl ; 199 
 3703 ; 2 гривны. Украина. Александр Корнийчук ; 2005 ;  ; Cu-Ni ; AU ; 15 ; Опятор ; 401 
 3704 ; 2 гривны. Украина. Нац Юридическая академия ; 2004 ;  ; Cu-Ni ; AU ; 33 ; Cosmos ; 1133 
 3705 ; 2 гривны. Украина. Борис Мартос ; 2009 ;  ; Cu-Ni ; AU ; 17 ; макс555 ; 172 
 3706 ; 2 гривны. Украина. Хоккей ; 2010 ;  ; Cu-Ni ; AU ; 13 ; smapd ; 300 
 3707 ; 2 гривны. Украина. Виноградарство и виноделие ; 2005 ;  ; Cu-Ni ; AU ; 19 ; Mike! ; 929 
 3708 ; 2 гривны. Украина. Дмитрий Луценко ; 2006 ;  ; Cu-Ni ; AU ; 18 ; Vol4en0k ; 255 
 3709 ; 2 гривны. Украина. Олег Ольжич ; 2007 ;  ; Cu-Ni ; AU ; 4 ; цеховик ; 147 
 3710 ; 2 гривны. Украина. Яков Гнехдовский ; 2015 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 175 
 3711 ; 2 гривны. Украина. Киевский Нац Экономический университет ; 2006 ;  ; Cu-Ni ; AU ; 6 ; xxxl ; 199 
 3712 ; 2 гривны. Украина. Сидр Ковпак ; 2012 ;  ; Cu-Ni ; AU ; 19 ; Mike! ; 1106 
 3713 ; 2 гривны. Украина. Чемпионат мира по футболу ; 2004 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 321 
 3714 ; 2 гривны. Украина. Спортивные соревнования ; 2007 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 234 
 3715 ; 2 гривны. Украина. Львовский нац Университет ; 2011 ;  ; Cu-Ni ; AU ; 7 ; xxxl ; 199 
 3716 ; 2 гривны. Украина. КИЕВМИСЬКБУД ; 2005 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 762 
 3717 ; 2 гривны. Украина. Чемпионат по легкой атлетике ; 2013 ;  ; Cu-Ni ; AU ; 13 ; chp85 ; 250 
 3718 ; 2 гривны. Украина. Лекарское товарищество ; 2010 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 203 
 3619 ; 2 гривны. Украина. Александр Ляпунов ; 2007 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 151 
 3620 ; 2 гривны. Украина. Львовская политехника ; 2010 ;  ; Cu-Ni ; AU ; 7 ; xxxl ; 199 
 3621 ; 2 гривны. Украина. 70 лет Карпатской Украины ; 2009 ;  ; Cu-Ni ; AU ; 12 ; xxxl ; 199 
 3622 ; 2 гривны. Украина. Запорожская область ; 2009 ;  ; Cu-Ni ; AU ; 9 ; xxxl ; 198 
 3623 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 144 
 3624 ; 2 гривны. Украина. Олимпиада ; 2012 ;  ; Cu-Ni ; AU ; 10 ; chp85 ; 400 
 3625 ; 2 гривны. Украина. Мария Заньковецкая ; 2004 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 255 
 3626 ; 5 гривен. Украина.  ЮНЕСКО ; 2004 ;  ; Би/м ; AU ; 13 ; Mike! ; 321 
 3627 ; 5 гривен. Украина. Джерело Життя ; 2007 ;  ; Би/м ; AU ; 16 ; Mike! ; 243 
 3628 ; 5 гривен. Украина. Киевский университет судебной экспертизы ; 2013 ;  ; Би/м ; AU ; 6 ; Mike! ; 1000 
 3629 ; 5 гривен. Украина. Ивано-Франковская область ; 2014 ;  ; Би/м ; AU ; 15 ; xxxl ; 399 
 3630 ; 5 гривен. Украина. Черкасская область ; 2014 ;  ; Би/м ; AU ; 19 ; xxxl ; 399 
 3631 ; 2 гривны. Украина. Мария Заньковецкая ; 2004 ;  ; Cu-Ni ; XF ; 9 ; Mike! ; 126 
 3632 ; 2 гривны. Украина. Бой под Крутами ; 1998 ;  ; Cu-Ni ; XF ; 13 ; Mike! ; 312 
 3633 ; 1 рубль. Приднестровье. Монастырь ; 2014 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 140 
 3634 ; 2 гривны. Украина. Серж Лифар ; 2004 ;  ; Cu-Ni ; VF-XF ; 7 ; Vanka ; 110 
 3635 ; 2 гривны. Украина. Летняя Олимпиада ; 2000 ;  ; Cu-Ni ; XF ; 29 ; Опятор ; 410 
 3636 ; 2 гривны. Украина. Иван Франко ; 2006 ;  ; Cu-Ni ; AU ; 36 ; кс ; 114 
 3637 ; 500 марок. Веймар ; 1923A ;  ; Al ; XF ; 15 ; k212 ; 209 
 3638 ; 200 марок. Веймар ; 1923A ;  ; Al ; VF+ ; 7 ; zhenek0301 ; 55 
 3639 ; 50 пфеннигов. Германия ; 1935F ;  ; Al ; F-VF ; 16 ; zhenek0301 ; 93 
 3640 ; 50 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Керамика ; F-VF ; 12 ; Dahan ; 278 
 3641 ; 10 пфеннигов. Веймар ; 1924A ;  ; al/Br ; VF- ; 17 ; prostor.71 ; 32 
 3642 ; 2 евро. Мальта. Независимость ; 2014 ;  ; Би/м ; AU ; 9 ; chief28 ; 230 
 3643 ; 2 евро. Словения. Франц Розман ; 2011 ;  ; Би/м ; AU ; 22 ; chief28 ; 203 
 3644 ; 2 евро. Финляндия. Хелен Шерфбек ; 2012 ;  ; Би/м ; XF+ ; 19 ; chief28 ; 161 
 3645 ; 2 евро. Италия. Галилео Галилей ; 2014 ;  ; Би/м ; AU ; 9 ; СТРАНА АГРЕССОР ; 257 
 3646 ; 2 евро. Латвия ; 2014 ;  ; Би/м ; AU ; 20 ; chief28 ; 230 
 3647 ; 2 евро. Италия ; 2010 ;  ; Би/м ; AU ; 34 ; xxxl ; 204 
 3648 ; 5 гривен. Украина. Слава Катерины ; 2013 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 400 
 3649 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 234 
 3650 ; 5 гривен. Украина. Нац музей им Тараса Шевченко ; 2009 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 245 
 3651 ; 5 гривен. Украина. Битва под Оршею ; 2014 ;  ; Cu-Ni ; AU ; 27 ; kornum ; 337 
 3652 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 12 ; цеховик ; 206 
 3653 ; 5 гривен. Украина. Синагога ; 2012 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 212 
 3654 ; 5 гривен. Украина. Суми ; 2005 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 345 
 3655 ; 5 гривен. Украина. Успенский собор Киево-Печерской лавры ; 1998 ;  ; Cu-Ni ; XF+ ; 6 ; Mike! ; 383 
 3656 ; 5 гривен. Украина. Спас ; 2010 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 316 
 3657 ; 5 гривен. Украина. Балаклава ; 2004 ;  ; Cu-Ni ; XF+ ; 29 ; Mike! ; 987 
 3658 ; 5 гривен. Украина. Казацкие поселения ; 2005 ;  ; Cu-Ni ; AU ; 6 ; Mike! ; 305 
 3659 ; 5 гривен. Украина. Никитский Ботанический сад ; 2012 ;  ; Cu-Ni ; AU ; 15 ; xxxl ; 299 
 3660 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; AU ; 10 ; цеховик ; 203 
 3661 ; 5 гривен. Украина. Писанка ; 2009 ;  ; Cu-Ni ; AU ; 16 ; Опятор ; 403 
 3662 ; 5 гривен. Украина. Освобождение Харькова ; 2013 ;  ; Cu-Ni ; AU ; 10 ; Mike! ; 654 
 3663 ; 5 гривен. Украина. Стельмах ; 2009 ;  ; Cu-Ni ; AU ; 7 ; xxxl ; 197 
 3664 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 9 ; u10257 ; 203 
 3665 ; 5 гривен. Украина. Нац премия Тараса Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 203 
 3666 ; 5 гривен. Украина. В Городецкий ; 2013 ;  ; Cu-Ni ; AU ; 19 ; макс555 ; 243 
 3667 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 15 ; макс555 ; 203 
 3668 ; 5 гривен. Украина. Театр Оперы и Балета ; 2007 ;  ; Cu-Ni ; AU ; 6 ; Mike! ; 300 
 3569 ; 5 гривен. Украина. Тернопольская область ; 2014 ;  ; Би/м ; AU ; 26 ; xxxl ; 399 
 3570 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 13 ; Mike! ; 407 
 3571 ; 5 гривен. Украина. Рада Европы ; 2009 ;  ; Би/м ; AU ; 10 ; xxxl ; 299 
 3572 ; 5 гривен. Украина. Волынская область ; 2014 ;  ; Би/м ; AU ; 12 ; xxxl ; 421 
 3573 ; 5 гривен. Украина. Львовская область ; 2014 ;  ; Би/м ; AU ; 9 ; xxxl ; 399 
 3574 ; 5 гривен. Украина. Цимбали ; 2006 ;  ; Би/м ; AU ; 7 ; xxxl ; 199 
 3575 ; 5 гривен. Украина. Год лесов ; 2011 ;  ; Би/м ; AU ; 11 ; Папа с рацией ; 315 
 3576 ; 5 гривен. Украина. Бугай ; 2007 ;  ; Би/м ; AU ; 13 ; Ивпага ; 251 
 3577 ; 5 гривен. Украина. Муз инструмент ; 2003 ;  ; Би/м ; AU ; 28 ; dinkini ; 1401 
 3578 ; 5 гривен. Украина. Ровненская  область ; 2014 ;  ; Би/м ; AU ; 9 ; xxxl ; 412 
 3579 ; 5 гривен. Украина. Ивано-Франковская область ; 2014 ;  ; Би/м ; AU ; 14 ; kornum ; 401 
 3580 ; 200000 карбованцев. Украина. Победа в ВОВ. Ошибка в надписи "у" ; 1995 ;  ; Cu-Ni ; Proof ; 42 ; Ratmen ; 1013 
 3581 ; 200000 карбованцев. Украина. Чернобыль ; 1995 ;  ; Cu-Ni ; AU ; 9 ; xxxl ; 199 
 3582 ; 200000 карбованцев. Украина. Богдан Хмельницкий ; 1995 ;  ; Cu-Ni ; Proof ; 11 ; xxxl ; 199 
 3583 ; 2 гривны. Украина. Запорожская область ; 2009 ;  ; Cu-Ni ; AU ; 9 ; xxxl ; 199 
 3584 ; 2 гривны. Украина. Азовка ; 2004 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 1000 
 3585 ; 2 гривны. Украина. Серж Лифар ; 2004 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 166 
 3586 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 20 ; Mike! ; 608 
 3587 ; 2 гривны. Украина. 20 лет независимости ; 2011 ;  ; Cu-Ni ; AU ; 32 ; Mike! ; 265 
 3588 ; 2 гривны. Украина. Николай Рерих ; 2014 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 222 
 3589 ; 2 гривны. Украина. Симон Петлюра ; 2009 ;  ; Cu-Ni ; AU ; 50 ; Mike! ; 340 
 3590 ; 2 гривны. Украина. Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 465 
 3591 ; 2 гривны. Украина. Нац университет Львовская политехника ; 2010 ;  ; Cu-Ni ; AU ; 17 ; xxxl ; 199 
 3592 ; 2 гривны. Украина. Сидр Голубович ; 2008 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 150 
 3593 ; 2 гривны. Украина. Харьковский нац университет ; 2004 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 203 
 3594 ; 2 гривны. Украина. Лесь Курбас ; 2007 ;  ; Cu-Ni ; AU ; 10 ; цеховик ; 161 
 3595 ; 2 гривны. Украина. Песчаный слепыш ; 2005 ;  ; Cu-Ni ; AU ; 27 ; макс555 ; 447 
 3596 ; 2 гривны. Украина. Декларация прав челловека ; 1998 ;  ; Cu-Ni ; XF ; 18 ; Vol4en0k ; 651 
 3597 ; 2 гривны. Украина. Черный гриф ; 2008 ;  ; Cu-Ni ; AU ; 14 ; xxxl ; 299 
 3598 ; 2 гривны. Украина. Киевский зоопарк ; 2008 ;  ; Cu-Ni ; AU ; 18 ; Mike! ; 236 
 3599 ; 2 гривны. Украина. Дрофа ; 2013 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 478 
 3600 ; 2 гривны. Украина. Художественная гимнастика ; 2013 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 234 
 3601 ; 2 гривны. Украина. Павел Чубинский ; 2009 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 145 
 3602 ; 2 гривны. Украина. Алена Телига ; 2007 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 168 
 3603 ; 2 гривны. Украина. Стерлядь ; 2012 ;  ; Cu-Ni ; AU ; 11 ; xxxl ; 299 
 3604 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 243 
 3605 ; 2 гривны. Украина. Андрей Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 7 ; макс555 ; 151 
 3606 ; 2 гривны. Украина. Юрий Кондратюк ; 1997 ;  ; Cu-Ni ; AU ; 25 ; Vol4en0k ; 5667 
 3607 ; 2 гривны. Украина. Максим Рильский ; 2005 ;  ; Cu-Ni ; XF ; 16 ; KHODOVNV77 ; 601 
 3608 ; 2 гривны. Украина. Стражеско ; 2005 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 150 
 3609 ; 2 гривны. Украина. Остап Вишня ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 255 
 3610 ; 2 гривны. Украина. Всеволод Голубович ; 2005 ;  ; Cu-Ni ; XF ; 33 ; Vol4en0k ; 340 
 3611 ; 2 гривны. Украина. Иван Франко ; 2006 ;  ; Cu-Ni ; AU ; 15 ; цеховик ; 149 
 3612 ; 2 гривны. Украина. Владимир Сергеев ; 2014 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 222 
 3613 ; 2 гривны. Украина. Николай Боголюбов ; 2009 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 141 
 3614 ; 2 гривны. Украина. Михаил Максимович ; 2004 ;  ; Cu-Ni ; AU ; 18 ; Vol4en0k ; 320 
 3615 ; 2 гривны. Украина. Владимир Короленко ; 2003 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 432 
 3616 ; 2 гривны. Украина. Богдан-Игорь Антоныч ; 2009 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 141 
 3617 ; 2 гривны. Украина. Нац университет им Тараса Шевченко ; 2004 ;  ; Cu-Ni ; AU ; 9 ; xxxl ; 199 
 3618 ; 2 гривны. Украина. Георгий Воронин ; 2008 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 144 
 3519 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF- ; 15 ; alehandr ; 40 
 3520 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF- ; 6 ; DaMon15 ; 50 
 3521 ; 10 марок. ГДР. Спорт ; 1988 ;  ; Cu-Ni ; XF+ ; 16 ; edgar ; 259 
 3522 ; 10 марок. ГДР. 1 мая ; 1990 ;  ; Cu-Ni ; XF+ ; 27 ; bek-1 ; 170 
 3523 ; 5 марок. ГДР. Бранденбургские ворота ; 1971 ;  ; Cu-Ni ; XF- ; 8 ; basil ; 104 
 3524 ; 5 марок. ГДР. Мейсен ; 1972 ;  ; Cu-Ni ; XF- ; 14 ; ВЯЗЪ ; 104 
 3525 ; 10 шиллингов. Австрия ; 1966 ;  ; Ag ; VF+ ; 19 ; Dahan ; 142 
 3526 ; 5 франков. Швейцария ; 1974 ;  ; Cu-Ni ; XF- ; 26 ; bva150979 ; 306 
 3527 ; 5 франков. Швейцария ; 1986 ;  ; Cu-Ni ; XF- ; 24 ; SKeeper ; 376 
 3528 ; 5 центов. Канада ; 1964 ;  ; Cu-Ni ; XF+ ; 9 ; кот баюн ; 50 
 3529 ; 200000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Cu-Ni ; AU ; 19 ; Аня ; 193 
 3530 ; Жетон. Benelux ; 2012 ;  ; Cu-Ni ; AU ; 11 ; xxxl ; 56 
 3531 ; 50 центов. Мальта ; 1972 ;  ; Cu-Ni ; XF ; 10 ; кот баюн ; 57 
 3532 ; 50 крон. Исландия ;  ;  ; Cu-Ni ; XF ; 14 ; SKeeper ; 144 
 3533 ; 1 лира. Мальта ; 2005 ;  ; Cu-Ni ; VF-XF ; 8 ; bva150979 ; 83 
 3534 ; 1 лира. Мальта ; 1986 ;  ; Cu-Ni ; VF-XF ; 21 ; sibirian ; 82 
 3535 ; 50 злотых. Польша. Игнатц Лукашевич ; 1983 ;  ;  ; XF ; 31 ; vesta78 ; 122 
 3536 ; 2 шиллинга. Великобритания ; 1950 ;  ;  ; VF ; 3 ; chag1985 ; 42 
 3537 ; 20 вон. Северная Корея. Летучая мышь ; 2005 ;  ; Латунь ; Proof ; 3 ; Mike! ; 300 
 3538 ; 20 вон. Северная Корея. Летучая мышь ; 2005 ;  ; Латунь ; Proof ; 3 ; Mike! ; 300 
 3539 ; 20 вон. Северная Корея. Бронтозавр ; 2007 ;  ; Латунь ; Proof ; 15 ; Mike! ; 315 
 3540 ; 20 вон. Северная Корея. Бронтозавр ; 2007 ;  ; Латунь ; Proof ; 3 ; Mike! ; 300 
 3541 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Латунь ; Proof ; 8 ; Mike! ; 459 
 3542 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Латунь ; Proof ; 6 ; Mike! ; 459 
 3543 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Латунь ; Proof ; 6 ; Mike! ; 459 
 3544 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Cu-Ni ; Proof ; 6 ; Mike! ; 459 
 3545 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Cu-Ni ; Proof ; 9 ; SKeeper ; 489 
 3546 ; 25 пенсов. Остров Святой Елены. Наполеоновские войны ; 2013 ;  ; Cu-Ni ; Proof ; 7 ; Mike! ; 488 
 3547 ; 1 доллар. Ниуэ. Год Змеи. Сертификат ; 2013 ;  ; Ag ; Proof ; 18 ; Reverse ; 2628 
 3548 ; 2 гривны. Украина. Львовская Политехника ; 2010 ;  ; Cu-Ni ; AU ; 7 ; Dahan ; 156 
 3549 ; 2 гривны. Украина. Кость Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 5 ; кот баюн ; 106 
 3550 ; 2 гривны. Украина. Павел Чубинский ; 2009 ;  ; Cu-Ni ; AU ; 16 ; StanislavAK ; 110 
 3551 ; 2 гривны. Украина. Богдан-Игорь Чубинский ; 2009 ;  ; Cu-Ni ; AU ; 13 ; StanislavAK ; 110 
 3552 ; 2 гривны. Украина. Андрей Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 19 ; StanislavAK ; 107 
 3553 ; 2 гривны. Украина. Технический университет ; 2010 ;  ; Cu-Ni ; AU ; 15 ; xxxl ; 148 
 3554 ; 2 гривны. Украина. Борис Гринченко ; 2013 ;  ; Cu-Ni ; AU ; 24 ; smirnov1957 ; 194 
 3555 ; 2 гривны. Украина. Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 17 ; smirnov1957 ; 313 
 3556 ; 2 гривны. Украина. 20 лет независимости ; 2011 ;  ; Cu-Ni ; AU ; 25 ; u10257 ; 225 
 3557 ; 2 гривны. Украина. Стерлядь ; 2012 ;  ; Cu-Ni ; AU ; 17 ; xxxl ; 245 
 3558 ; 2 гривны. Украина. Алексей Алчевский ; 2005 ;  ; Cu-Ni ; AU ; 34 ; burak69 ; 1632 
 3559 ; 2 гривны. Украина. 70 лет Карпатской Украины ; 2009 ;  ; Cu-Ni ; AU ; 22 ; xxxl ; 194 
 3560 ; 2 гривны. Украина. Киевский зоопарк ; 2008 ;  ; Cu-Ni ; AU ; 20 ; xxxl ; 194 
 3561 ; 2 гривны. Украина. ЗУНР ; 2008 ;  ; Cu-Ni ; AU ; 13 ; u10257 ; 215 
 3562 ; 5 гривен. Украина. Вышивание ; 2013 ;  ; Cu-Ni ; AU ; 29 ; dinkini ; 765 
 3563 ; 5 гривен. Украина. 70 лет освобождения Мелитополя ; 2013 ;  ; Cu-Ni ; AU ; 15 ; smirnov1957 ; 261 
 3564 ; 5 гривен. Украина. Год Астрономии ; 2009 ;  ; Cu-Ni ; AU ; 23 ; xxxl ; 204 
 3565 ; 5 гривен. Украина. Самолеты Украины ; 2005 ;  ; Cu-Ni ; AU ; 14 ; smirnov1957 ; 261 
 3566 ; 5 гривен. Украина. Битва за Днепр ; 2013 ;  ; Cu-Ni ; AU ; 11 ; smirnov1957 ; 261 
 3567 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 14 ; smirnov1957 ; 300 
 3568 ; 5 гривен. Украина. Рада Европы ; 2009 ;  ; Би/м ; AU ; 13 ; smirnov1957 ; 216 
 3469 ; 1 доллар. Австралия ; 1984 ;  ; Латунь ; XF- ; 11 ; кот баюн ; 67 
 3470 ; 1 доллар. Австралия ; 1999 ;  ; Латунь ; XF ; 12 ; sibirian ; 72 
 3471 ; 2 доллара. Австралия ; 1997 ;  ; Латунь ; VF+ ; 20 ; кот баюн ; 88 
 3472 ; 5 долларов. Австралия ; 1988 ;  ; Латунь ; XF+ ; 27 ; ZET ; 270 
 3473 ; 1 пенни. Австралия ; 1934 ;  ; Br ; VF ; 15 ; vladimirov ; 150 
 3474 ; 5 марок. ФРГ. Иоганн Гете ; 1982G ;  ; Cu-Ni ; XF ; 16 ; kornum ; 156 
 3475 ; 5 марок. ФРГ. Отто Хан ; 1979G ;  ; Cu-Ni ; AU ; 11 ; Victory-2001 ; 189 
 3476 ; 10 марок. Финляндия ; 1995 ;  ; БиМ ; AU ; 38 ; dmivanych ; 282 
 3477 ; 5 марок. Финляндия ; 2001 ;  ; Al-Br ; AU ; 43 ; VAZ-2107 ; 144 
 3478 ; 5 марок. Финляндия ; 1976 ;  ; Al-Br ; XF ; 26 ; VAZ-2107 ; 53 
 3479 ; 5 марок. Финляндия ; 1977 ;  ; Al-Br ; XF ; 29 ; VAZ-2107 ; 101 
 3480 ; 5 марок. Финляндия ; 1975 ;  ; Al-Br ; XF ; 18 ; VAZ-2107 ; 67 
 3481 ; 5 марок. Финляндия ; 1973 ;  ; Al-Br ; XF ; 19 ; VAZ-2107 ; 47 
 3482 ; 5 марок. Финляндия ; 1972 ;  ; Al-Br ; XF ; 22 ; banks ; 45 
 3483 ; 5 марок. Финляндия ; 1974 ;  ; Al-Br ; XF ; 18 ; Скрудж ; 46 
 3484 ; 10 марок. Финляндия ; 1960 ;  ; Al-Br ; XF ; 18 ; andy2012 ; 54 
 3485 ; 2 злотых. Польша. Олимпиада в Сочи ; 2014 ;  ; Лат ; AU ; 12 ; ZET ; 192 
 3486 ; 25 пенсов. Тристан-да-Кунья ; 2008 ;  ; Би/м ; AU ; 21 ; 100924 ; 392 
 3487 ; 25 пенсов. Тристан-да-Кунья. Остров Гоф ; 2009 ;  ; Би/м ; AU ; 16 ; 100924 ; 397 
 3488 ; 25 пенсов. Тристан-да-Кунья. Остров Гоф ; 2008 ;  ; Би/м ; AU ; 68 ; ojo ; 565 
 3489 ; 10 пенсов. Тристан-да-Кунья. Остров Столтенхоф ; 2008 ;  ; Cu-Ni ; AU ; 44 ; ojo ; 246 
 3490 ; 10 пенсов. Тристан-да-Кунья. ; 2008 ;  ; Cu-Ni ; AU ; 48 ; 100924 ; 216 
 3491 ; 20 пенсов. Тристан-да-Кунья. Остров Столтенхоф ; 2008 ;  ; Латунь ; AU ; 31 ; ojo ; 356 
 3492 ; 10 кэш. Китай ; 1920 ;  ; Cu ; VF- ; 39 ; штурман ; 253 
 3493 ; 20  кэш. Китай ; 1907 ;  ; Cu ; F-VF ; 7 ; штурман ; 120 
 3494 ; 25 пенсов. Остров Святой Елены. 300 лет ; 1973 ;  ; Cu-Ni ; XF ; 30 ; ZET ; 313 
 3495 ; 25 новых пенсов. Великобритания. На свадьбу Елизаветы и Филиппа ; 1972 ;  ; Cu-Ni ; XF ; 11 ; if-pechat ; 81 
 3496 ; 2 марки. ФРГ ; 1970G ;  ; Cu-Ni ; VF ; 25 ; teso ; 99 
 3497 ; 1 доллар. Сингапур ; 1975 ;  ; Cu-Ni ; XF ; 42 ; dmivanych ; 254 
 3498 ; 10 кэш. Китай ; 1920 ;  ; Cu ; VF- ; 27 ; штурман ; 125 
 3499 ; 1000 вон. Южная Корея. Олимпиада ; 1986 ;  ; Cu-Ni ; Proof ; 45 ; speranta ; 525 
 3500 ; 5 сен. Япония ; 1980 ;  ; Cu-Ni ; VF ; 47 ; kornum ; 279 
 3501 ; 5 рупий. Индонезия ; 1974 ;  ; Al ; XF ; 20 ; if-pechat ; 34 
 3502 ; 100 йен. Япония. Олимпиада ; 1972 ;  ; Cu-Ni ; XF ; 32 ; VAZ-2107 ; 123 
 3503 ; 2 лата. Латвия. ; 1993 ;  ; Cu-Ni ; Proof ; 38 ; krugerrand ; 551 
 3504 ; 2 евро. Эстония. 10 лет введения наличного евро ; 2012 ;  ; Би/м ; AU ; 30 ; chief28 ; 203 
 3505 ; 2 евро. Латвия ; 2015 ;  ; Би/м ; AU ; 19 ; visitor ; 203 
 3506 ; 1 евро. Испания ; 2001 ;  ; Би/м ; VF ; 9 ; Vikki ; 59 
 3507 ; 10 бат. Тайланд ;  ;  ; Би/м ; XF+ ; 49 ; 1023oxana ; 111 
 3508 ; 1 доллар. США. Сакагавеи ; 2015 ;  ; Cu-Ni-Zn ; AU ; 32 ; каи51 ; 151 
 3509 ; 1/4 доллара. США ; 2014 ;  ; Cu-Ni ; AU ; 35 ; 100924 ; 92 
 3510 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF ; 21 ; shaxter2015 ; 100 
 3511 ; 1/10 гульдена. Нидерландские Антиллы ; 1963 ;  ; Ag ; XF- ; 15 ; shaxter2015 ; 104 
 3512 ; 1 пфенниг. Рейсс-Оберграйц ; 1817 ;  ; Cu ; F ; 35 ; Папа с рацией ; 343 
 3513 ; 2 пфенниг. Саксен Mейнинген ; 1865 ;  ; Br ; VF ; 22 ; Папа с рацией ; 321 
 3514 ; 1/2 стюбера. Гессен-Дармштадт ; 1805 ;  ; Cu ; F ; 57 ; стрелка ; 842 
 3515 ; 6 пфенниг. Мюнстер ; 1762 ;  ; Cu ; F ; 43 ; Johnny Walker ; 773 
 3516 ; 1/2 крейцера. Бавария ; 1856 ;  ; Br ; XF ; 98 ; tamsimun ; 669 
 3517 ; 1 пфенниг. Данциг ; 1930 ;  ; Br ; F-VF ; 39 ; gandy ; 300 
 3518 ; 5 центов. Нидерландские Антиллы ; 1965 ;  ; Ni ; VF- ; 17 ; святослав35 ; 55 
