 5647 ; Конверт со спецгашением Гренландия ; 2001 ;  ;  ;  ; 11 ; dizdigator ; 101 
 5051 ; 20 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 11 ; Dimitr1 ; 228 
 5052 ; 20 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 14 ; gusar ; 216 
 5053 ; Лот деньги-марки 11 шт ;  ;  ;  ;  ; 61 ; student1977 ; 567 
 5054 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 18 ; юрастав ; 115 
 5055 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 19 ; 3ТЭП75 ; 84 
 5056 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 27 ; Energo ; 104 
 5057 ; Лот бон России 2 шт ; 1917 ;  ;  ;  ; 46 ; рЖавОй ; 277 
 5058 ; Лот бон России 2 шт ; 1917 ;  ;  ;  ; 47 ; Allex 73 ; 340 
 5059 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; SKH ; 341 
 5060 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; maler ; 329 
 5061 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; Holder31 ; 224 
 5062 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 10 ; ВЯЗЪ ; 302 
 5063 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 54 ; Sky2 ; 793 
 5064 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 29 ; ВС ; 228 
 5065 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 24 ; рЖавОй ; 132 
 5066 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; SANGOLD1 ; 118 
 5067 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; maler ; 429 
 5068 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 7 ; 333985 ; 114 
 5069 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 36 ; Black Cat ; 288 
 5070 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; murman ; 160 
 5071 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; Black Cat ; 138 
 5072 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; Holder31 ; 124 
 5073 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; Holder31 ; 120 
 5074 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; сборщик ; 104 
 5075 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 31 ; SKH ; 463 
 5076 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; Holder31 ; 102 
 5077 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; Матроскин ; 101 
 5078 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 29 ; murman ; 162 
 5079 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 10 ; ialaiola ; 83 
 5080 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 21 ; murman ; 185 
 5081 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; Holder31 ; 101 
 5082 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; SANGOLD1 ; 101 
 5083 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; miha5855 ; 81 
 5084 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; Санёк А... ; 136 
 5085 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; miha5855 ; 81 
 5086 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 8 ; ialaiola ; 79 
 5087 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 43 ; Ratmen ; 2040 
 5088 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 8 ; сортам70 ; 114 
 5089 ; Лот бон 4 шт ; 1918-19 ;  ;  ;  ; 18 ; Транжира ; 147 
 5090 ; 3 рубля ; 1919 ;  ;  ;  ; 58 ; alex2016 ; 510 
 5091 ; 100 рублей ; 1919 ;  ;  ;  ; 37 ; 1027 ; 794 
 5092 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 11 ; ВС ; 326 
 5093 ; 1000 рублей ; 1919 ;  ;  ;  ; 14 ; Energo ; 341 
 5094 ; 10000 рублей ; 1919 ;  ;  ;  ; 15 ; kehha ; 226 
 5095 ; 5000 рублей ; 1919 ;  ;  ; AU ; 22 ; Sky2 ; 771 
 5096 ; 250 рублей ; 1918 ;  ;  ;  ; 13 ; ВЯЗЪ ; 266 
 4679 ; Лот монет Мальты: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2008 ;  ; Би/м,Лат,Cu/St, ; AU ; 29 ; rbmamba ; 365 
 4680 ; Лот монет Австрии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2011-2015 ;  ; Би/м,Лат,Cu/St, ; AU ; 13 ; циркус ; 308 
 4681 ; Лот монет Словении: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2007-2009 ;  ; Би/м,Лат,Cu/St, ; AU ; 17 ; л842 ; 343 
 4682 ; Лот монет Италии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2008-2012 ;  ; Би/м,Лат,Cu/St, ; XF/AU ; 10 ; циркус ; 308 
 5001 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; krass ; 591 
 5002 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 57 ; Turist33 ; 1428 
 5003 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 31 ; Energo ; 556 
 5004 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; 3ТЭП75 ; 157 
 5005 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 41 ; ЛАВ-13 ; 1111 
 5006 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 44 ; anna53 ; 861 
 5007 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; Turist33 ; 208 
 5008 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF ; 36 ; ЛАВ-13 ; 352 
 5009 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; mrchegevara ; 232 
 5010 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 8 ; Turist33 ; 101 
 5011 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 8 ; 21011984andrei ; 51 
 5012 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; 21011984andrei ; 51 
 5013 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; 21011984andrei ; 55 
 5014 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; Energo ; 120 
 5015 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; 21011984andrei ; 53 
 5016 ; 10 рублей ; 1909 ; Тимашев. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 58 ; Ustin ; 1224 
 5017 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; an78gg ; 51 
 5018 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; an78gg ; 51 
 5019 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; an78gg ; 51 
 5020 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Mike! ; 67 
 5021 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 15 ; Mike! ; 65 
 5022 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 9 ; miha5855 ; 40 
 5023 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 7 ; SER 888 ; 40 
 5024 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 29 ; Ustin ; 100 
 5025 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 17 ; Turist33 ; 101 
 5026 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 35 ; Turist33 ; 215 
 5027 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 21 ; krass ; 450 
 5028 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; mrchegevara ; 51 
 5029 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 21 ; Turist33 ; 347 
 5030 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 25 ; sotnik ; 365 
 5031 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; Energo ; 181 
 5032 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; Mike! ; 77 
 5033 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 5 ; Energo ; 153 
 5034 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 20 ; папашаГарпагон ; 48 
 5035 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 6 ; Mike! ; 50 
 5036 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 7 ; Energo ; 200 
 5037 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 15 ; svv ; 818 
 5038 ; Лот бон России 10 шт ; 1898-1910 ;  ;  ;  ; 26 ; Инвестор ; 567 
 5039 ; Лот бон России 3 шт ; 1898-1909 ;  ;  ;  ; 43 ; avs ; 177 
 5040 ; Лот бон России 8 шт ; 1898-1909 ;  ;  ;  ; 15 ; Инвестор ; 714 
 5041 ; Лот бон России 5 шт ; 1909-19 ;  ;  ;  ; 31 ; cotangens ; 426 
 5042 ; Лот бон России 4 шт ;  ;  ;  ;  ; 30 ; папашаГарпагон ; 638 
 5043 ; Лот бон ( 10шт.) ; 1915 ;  ;  ;  ; 15 ; Инвестор ; 291 
 5044 ; Лот бон России 6 шт ;  ;  ;  ;  ; 34 ; இ ; 713 
 5045 ; Лот бон России 6 шт ;  ;  ;  ;  ; 34 ; папашаГарпагон ; 758 
 5046 ; 500 рублей ; 1915 ; Билеты государственного казначейства ;  ;  ; 53 ; Дмитрий163 ; 1134 
 4629 ; Лот монет Канады: 12шт ;  ;  ; Br ; VF+ ; 8 ; Markgraf ; 255 
 4630 ; Лот монет Японии (5шт) ;  ;  ; Al ; VF ; 10 ; страус ; 53 
 4631 ; Лот монет Испании: 24шт ;  ;  ; Лат,Al ; VF/XF ; 9 ; DeusEx ; 180 
 4632 ; Лот монет Великобритании: 6шт ;  ;  ; Br ; F-/VF ; 21 ; DeusEx ; 117 
 4633 ; Лот монет Канады: 7шт ;  ;  ; Cu ; F/F-VF ; 26 ; Markgraf ; 329 
 4634 ; Лот монет Японии (3шт) ;  ;  ; Zn ; F/F+ ; 10 ; ag58 ; 36 
 4635 ; Лот монет Японии (5шт) ;  ;  ; Al ; VF ; 4 ; страус ; 46 
 4636 ; Лот монет Японии (5шт) ;  ;  ; Al ; VF ; 15 ; ialaiola ; 43 
 4637 ; Лот монет Японии (3шт) ;  ;  ; Zn ; F/F+ ; 13 ; Jon Snow ; 57 
 4638 ; Лот монет Японии (5шт) ;  ;  ; Al ; VF ; 16 ; STANDART ; 56 
 4639 ; Лот монет Японии (3шт) ;  ;  ; Zn ; F/F+ ; 16 ; rem ; 32 
 4640 ; Лот монет Японии (3шт) ;  ;  ; Zn ; F/F+ ; 14 ; лексан 98 ; 36 
 4641 ; Лот монет США (3шт): 1/4 доллара ; 2001-2002 ;  ; би/м ; AU ; 8 ; Коррадо ; 150 
 4642 ; Лот монет США (3шт): 1/4 доллара ; 2007-2008 ;  ; би/м ; AU ; 11 ; Shurmon ; 100 
 4643 ; Лот монет США (3шт): 1/4 доллара ; 2007-2008 ;  ; би/м ; AU ; 7 ; Коррадо ; 150 
 4644 ; Лот монет США (3шт): 1/4 доллара ; 2006 ;  ; би/м ; AU ; 8 ; Коррадо ; 150 
 4645 ; Лот монет Дании: 7шт ;  ;  ; Cu-Ni,Br ; F/XF ; 21 ; Grettir Asmundarson ; 75 
 4646 ; Лот монет США: 1/4 доллара (14шт). Все разные ;  ;  ; Cu-Ni ; VF+/XF ; 3 ; Коррадо ; 255 
 4647 ; Лот монет США: 6шт ;  ;  ; Cu-Ni,Br ; VF/XF ; 13 ; рЖавОй ; 53 
 4648 ; Лот монет Израиля: 18шт ;  ;  ; Cu-Ni,Al/Br ; VF+/AU ; 23 ; buben ; 147 
 4649 ; Лот монет США (3шт): 1/4 доллара ; 1999-2008 ;  ; би/м ; AU ; 9 ; Коррадо ; 150 
 4650 ; Лот монет Швеции: 3шт. Отверстия, дефекты ; 1849,1850 ;  ; Cu ; G/VG ; 11 ; canario ; 114 
 4651 ; Лот монет Дании (11шт) ; 20 в ;  ; Cu-Ni,Br ; VF-/XF ; 9 ; DeusEx ; 69 
 4652 ; Лот монет Дании (28шт) ; 20 в ;  ; Cu-Ni,Br ; XF ; 5 ; Александр-78 ; 86 
 4653 ; Лот монет Португалии: 16шт ;  ;  ; Cu-Ni,Br ; VF/VF-XF ; 9 ; Sterh ; 80 
 4654 ; Лот евроцентов: 20 евроцентов (10шт) ;  ;  ; Латунь ; VF-XF/XF ; 17 ; рЖавОй ; 151 
 4655 ; Лот монет США: 1 дайм (9шт) ; 1974-2013 ;  ; Cu-Ni ; XF/AU ; 13 ; Александр-78 ; 72 
 4656 ; Лот монет Польши: 7шт ;  ;  ; Cu-Ni,Лат ; XF ; 5 ; Александр-78 ; 31 
 4657 ; Лот евроцентов: 50 евроцентов (5шт) ;  ;  ; Латунь ; VF/VF+ ; 10 ; рЖавОй ; 153 
 4658 ; Лот монет Таиланда: 5шт ;  ;  ; Cu-Ni,Лат,Би/м ; XF ; 3 ; Александр-78 ; 26 
 4659 ; Лот монет Франции: 7шт ;  ;  ; Al/Br,Al,St ; VF-/VF ; 17 ; Jek327 ; 74 
 4660 ; Лот монет США (3шт): 1/4 доллара ; 2000-2009 ;  ; би/м ; XF/AU ; 7 ; Коррадо ; 153 
 4661 ; Лот монет США (3шт): 1/4 доллара ; 2005-2009 ;  ; би/м ; AU ; 7 ; Коррадо ; 155 
 4662 ; Лот монет Ирана, Реза Пехлеви: 5шт ;  ;  ; Cu-Ni,Лат ; VF-/VF ; 46 ; val211 ; 234 
 4663 ; Лот монет Японии (3шт) ;  ;  ; Zn ; F/F+ ; 7 ; ag58 ; 30 
 4664 ; Лот монет США (3шт): 1/4 доллара ; 1999-2001 ;  ; би/м ; AU ; 8 ; Коррадо ; 153 
 4665 ; Лот монет США: 10шт ;  ;  ; Br ; XF/AU ; 6 ; Александр-78 ; 31 
 4666 ; Лот монет Чили: 4шт ;  ;  ; Al/Br ; F-/XF ; 11 ; rem ; 20 
 4667 ; Лот монет США (3шт): 1/4 доллара ; 1999-2000 ;  ; Cu-Ni ; XF+ ; 9 ; Shurmon ; 157 
 4668 ; Лот монет Швейцарии (25шт): 5,10раппенов ; 20в ;  ; Cu-Ni ; VF+/AU ; 19 ; А.А.Д ; 410 
 4669 ; Лот монет США: 1 цент (9шт) ;  ;  ; Br ; VF ; 4 ; SER 888 ; 26 
 4670 ; Лот монет Индии: 4шт ;  ;  ; Br ; F/VF ; 20 ; STANDART ; 152 
 4671 ; Лот монет Гон-Конга (4шт) ;  ;  ; Би/м,Cu-Ni ; VF+/XF ; 12 ; STANDART ; 101 
 4672 ; Лот монет Японии: 11шт ;  ;  ; Cu,Al,Zn ; VG/F- ; 15 ; STANDART ; 159 
 4673 ; Лот монет Гон-Конга (7шт) ;  ;  ; Би/м,Cu-Ni,ж/м ; VF/XF ; 10 ; Jek327 ; 74 
 4674 ; Лот монет Канады: 9шт ;  ;  ; Br ; VF ; 5 ; Александр-78 ; 28 
 4675 ; Лот монет Аргентины: 8шт ;  ;  ; Cu-Ni,Al/Br ; VF-/VF+ ; 12 ; Jek327 ; 32 
 4676 ; Лот монет Индии (5шт) ;  ;  ;  ; VF+/XF ; 21 ; DeusEx ; 61 
 4677 ; Лот монет мира: 5шт ; 1940-1954 ;  ; Cu-Ni,Zn ; VG/F ; 15 ; rem ; 36 
 4678 ; Лот монет Японии: 11шт ;  ;  ; Cu,Al ; F/VF- ; 12 ; дилитант ; 124 
 4579 ; Набор евро монет Германии: 1,2,5,10,20,50 евро центов, 1,2 евро (8шт.). Упаковка ; 2005D ;  ; Би/м,St/Br,Лат ; AU ; 21 ; v_bond ; 371 
 4580 ; 2 евро. Нидерланды. Объявление королевы Беатрикс о смене трона принцем Виллемом-Александром. Буклет ; 2013 ;  ; Би/м ; AU ; 28 ; Фома ; 283 
 4581 ; 2 евро. Бельгия. Олимпийские игры в в Рио-де-Жанейро. Буклет ; 2016 ;  ; Би/м ; AU ; 49 ; Snork ; 567 
 4582 ; Набор монет США (Штаты): 1/4 доллара (5шт). Пластиковая упаковка ; 2006 ;  ; Cu-Ni ; Proof ; 36 ; heavy_fly ; 553 
 4583 ; Набор монет США (Штаты): 1/4 доллара (5шт). Пластиковая упаковка ; 2005 ;  ; Cu-Ni ; Proof ; 38 ; vladimir-sirke ; 507 
 4584 ; Набор монет США (Штаты): 1/4 доллара (5шт). Пластиковая упаковка ; 2000 ;  ; Cu-Ni ; Proof ; 35 ; heavy_fly ; 654 
 4585 ; Набор монет США (Президенты): 1 доллар (4шт). Пластиковая упаковка ; 2007 ;  ; Cu-Ni-Zn ; Proof ; 20 ; vladimir-sirke ; 367 
 4586 ; Набор монет Великобритании: 1 фунт, 50,20,10,5,2,1 пенни (7шт). Пластиковая упаковка ; 2008 ;  ; Ag ; Proof ; 39 ; 1969107 ; 2765 
 4587 ; Лот монетовидных жетонов Словакии (8шт). Буклет ; 2004 ;  ; Би/м,Cu,Лат ; AU ; 9 ; molodes ; 477 
 4588 ; Набор монет Германии: 5, 2, 1 марка, 50,10,5,2,1 пфенниг (10шт). Буклет ; 2001D ;  ; Cu-Ni,Br,ж/м ; Proof ; 34 ; Фома ; 463 
 4589 ; Набор монет Словакии: 5шт. В красочном буклете ; 1993-2004 ;  ; Cu-Ni,Лат ; AU ; 17 ; Александр-78 ; 160 
 4590 ; Лот монет Канады: 48шт ;  ;  ; Br ; VF/XF ; 18 ; D-503 ; 143 
 4591 ; Лот монет Дании, Швеции и Финляндии: 18шт ;  ;  ; Cu-Ni,Br,Al/Br ; VF/XF ; 11 ; Oleg73 ; 87 
 4592 ; Лот монет Дании, Швеции и Исландии: 18шт ;  ;  ; Cu-Ni,Br,Zn ; F+/XF ; 9 ; canario ; 60 
 4593 ; Набор монет Египта: 12шт + банкнота ;  ;  ; Al/Br,Cu-Ni ; VF/XF+ ; 12 ; циркус ; 108 
 4594 ; Лот монет Германии: 45шт ;  ;  ; Fe,Zn,Br,Cu-Ni ; F/VF ; 12 ; STANDART ; 419 
 4595 ; Лот монет Германии: 48шт ;  ;  ; Zn,Cu-Ni,Al/Br ; F/VF ; 14 ; STANDART ; 273 
 4596 ; Лот монет Германии: 48шт ;  ;  ; Al ; VF/VF+ ; 3 ; Александр-78 ; 209 
 4597 ; Лот монет Латвии: 3шт. Упаковка ; 1992-2003 ;  ; Br,Лат ; Unc ; 17 ; Александр-78 ; 45 
 4598 ; Лот монет Дании: 5, 25 эре, 1, 5 крон (4шт) ; 1973 ;  ; Cu-Ni,Br ; Unc/AU ; 11 ; batuke ; 53 
 4599 ; Лот монет Дании: 5, 10, 25 эре, 1, 5 крон (5шт) ; 1975 ;  ; Cu-Ni,Br ; Unc/AU ; 20 ; u10257 ; 168 
 4600 ; Лот монет Дании: 5, 10 эре, 1, 5 крон (4шт) ; 1975 ;  ; Cu-Ni,Br ; Unc/AU ; 9 ; batuke ; 57 
 4601 ; Лот иностранных монет (300шт) ;  ;  ; Cu-Ni,Al,ж/мб/м ; VG/XF+ ; 14 ; viv007 ; 501 
 4602 ; Лот монет мира: 125шт ;  ;  ; Cu-Ni,Al/Br,Al ; VF-/XF+ ; 19 ; dudinjohn ; 503 
 4603 ; Лот монет США: 1/4 доллара 46шт ;  ;  ; Cu-Ni ; VF/XF ; 9 ; Коррадо ; 708 
 4604 ; Лот монет Германии: 40шт ; 1940-1991 ;  ; Cu-Ni,Al/Br ; F/XF ; 30 ; рЖавОй ; 398 
 4605 ; Лот монет ФРГ: 54шт ;  ;  ; Al/Br,Br ; VF+/XF ; 32 ; Александр-78 ; 180 
 4606 ; Лот монет Венгрии (19шт) ;  ;  ; Al/Br,Cu-Ni,Би/ ; VF/XF ; 16 ; uhfvv7 ; 108 
 4607 ; Лот монет Японии (5шт) ;  ;  ; Al ; VF ; 8 ; страус ; 51 
 4608 ; Лот монет Ирана (7шт) ; 21 в ;  ; Б/м,ж/м ; AU ; 32 ; sibirian ; 201 
 4609 ; Лот евроцентов: 50 евроцентов (9шт) ;  ;  ; Латунь ; VF/VF-XF ; 5 ; Savbeer ; 249 
 4610 ; Лот монет Швейцарии: 14шт ;  ;  ; Cu-Ni,Лат ; VF/XF ; 22 ; рЖавОй ; 68 
 4611 ; Лот иностранных монет (12шт) ;  ;  ; Al/Br,Cu-Ni,Br ; VF/VF+ ; 14 ; rusin ; 108 
 4612 ; Лот монет жетонов и монет 27шт ;  ;  ;  ; F/XF ; 39 ; Vitaliy Gridasov ; 257 
 4613 ; Лот монет Малайзии: 20 сен (14шт) ;  ;  ; Cu-Ni ; VF+/XF ; 11 ; Александр-78 ; 56 
 4614 ; Лот монет Дании: 1,2,5,10,25 эре, 1, 5 крон (7шт) ; 1972 ;  ; Cu-Ni,Zn,Br ; Unc/AU ; 20 ; modul ; 155 
 4615 ; Лот евроцентов: 5 евроцентов (32шт) ;  ;  ; Cu/St ; VF/VF+ ; 11 ; Александр-78 ; 159 
 4616 ; Лот монет США (Штаты): 1/4 доллара (11шт) ; 1999-2013 ;  ; Cu-Ni ; XF/AU ; 15 ; Shurmon ; 306 
 4617 ; Лот монет Греции (6шт) ;  ;  ;  ; VF/XF ; 14 ; Oleg73 ; 100 
 4618 ; Лот монет Франции (11шт) ; 1923-1943 ;  ; Al/Br,Al ; F/VF ; 13 ; Markgraf ; 73 
 4619 ; Лот монет Дании: 5 крон (5шт) ; 1969 ;  ; Cu-Ni ; XF ; 40 ; Grettir Asmundarson ; 276 
 4620 ; Лот монет Дании: 1,2,5,10,25 эре, 1, 5 крон (7шт) ; 1972 ;  ; Cu-Ni,Zn,Br ; Unc/AU ; 9 ; v_bond ; 135 
 4621 ; Лот монет США (3шт): 1/4 доллара ; 1999-2000 ;  ; би/м ; AU ; 19 ; Коррадо ; 150 
 4622 ; Лот пулов Средней Азии: 5шт ; 19,20 века ;  ; Cu ; VG ; 16 ; Sterh ; 119 
 4623 ; Лот монет Эстонии, Латвии и Литвы: 19шт ; 1925-2008 ;  ; Cu-Ni,Al/Br, ; VF/XF ; 10 ; Flagman ; 227 
 4624 ; Лот монет США (6шт): 1/4 доллара ;  ;  ; Cu-Ni ; XF/AU ; 33 ; Коррадо ; 200 
 4625 ; Лот монет США (3шт): 1/4 доллара ; 2003-2008 ;  ;  ; XF+/AU ; 5 ; Коррадо ; 150 
 4626 ; Лот иностранных монет (8шт) ;  ;  ;  ; VF+/XF ; 15 ; DeusEx ; 101 
 4627 ; Лот монет Кореи: 4шт ;  ;  ; Al ; XF+ ; 32 ; STANDART ; 159 
 4628 ; Лот монет США (3шт): 1/4 доллара ; 2004-2005 ;  ; би/м ; AU ; 8 ; Коррадо ; 150 
 4529 ; 2 пенса. Джерси ; 1987 ;  ; Br ; VF+ ; 18 ; зуммер ; 19 
 4530 ; 3 лей. Румыния ; 1963 ;  ; Ni ; VF+ ; 5 ; 3ТЭП75 ; 30 
 4531 ; 10 франков. Франция ; 1976 ;  ; Ж/м ; AU ; 13 ; Savbeer ; 73 
 4532 ; 25 эре. Швеция ; 1941 ;  ; Cu-Ni ; VF ; 9 ; STANDART ; 30 
 4533 ; 1 пфенниг. Германия ; 1940А ;  ; Zn ; F-VF ; 20 ; А.А.Д ; 57 
 4534 ; 1 пфенниг. Германия ; 1941А ;  ; Zn ; F ; 14 ; А.А.Д ; 77 
 4535 ; 50 пфенниг. Германия ; 1943В ;  ; Al ; VF ; 18 ; птичка16 ; 306 
 4536 ; 200 марок. Веймар ; 1923E ;  ; Al ; VF ; 7 ; STANDART ; 30 
 4537 ; 200 марок. Веймар ; 1923J ;  ; Al ; VF ; 7 ; STANDART ; 30 
 4538 ; 200 марок. Веймар ; 1923A ;  ; Al ; VF ; 8 ; 4758 ; 26 
 4539 ; 200 марок. Веймар ; 1923F ;  ; Al ; VF- ; 8 ; STANDART ; 30 
 4540 ; 50 тийин. Узбекистан ; 1994 ;  ; St/Ni ; XF ; 11 ; canario ; 30 
 4541 ; 20 тийин. Узбекистан ; 1994 ;  ; St/Ni ; XF ; 11 ; Александр-78 ; 25 
 4542 ; 20 франков. Бельгия ; 1996 ;  ; Ж/м ; XF ; 14 ; d-master ; 77 
 4543 ; 20 франков. Бельгия ; 1982 ;  ; Ж/м ; XF ; 10 ; Jek327 ; 30 
 4544 ; 500 шиллингов. Уганда ; 2003 ;  ; Ж/м ; XF ; 27 ; diskus72 ; 63 
 4545 ; 50 филлер. Венгрия ; 1969 ;  ; Al ; VF ; 5 ; 4758 ; 19 
 4546 ; 20 гяпик. Азербайджан ;  ;  ; St/Лат ; AU ; 5 ; Александр-78 ; 20 
 4547 ; 10 гяпик. Азербайджан ;  ;  ; St/Лат ; AU ; 5 ; Александр-78 ; 20 
 4548 ; Монета. ОАЭ ;  ;  ; Cu-Ni ; VF ; 5 ; 333985 ; 20 
 4549 ; 500 тенге. Казахстан. Союз-Аполлон. В коробке, с сертификатом ; 2009 ;  ; Ag,Та ; Proof ; 24 ; 6719 ; 3065 
