 1365 ; 10 копеек, в капсуле PCGS ; 1958 ;  ; Cu-Ni ; MS62 ; 18 ; to-to ; 69000 
 3956 ; Набор монет Сербии: 20,10,5,2,1 динаров (5шт) ; 2007 ;  ; Cu-Ni,Латунь,Al ; AU ; 17 ; vovtey ; 565 
 3957 ; Набор монет Сомали (Китайский гороскоп): 10 шиллингов (12шт). Упаковка ; 2000 ;  ; St ; Unc ; 41 ; ML ; 989 
 3958 ; Набор монет Люксембурга: 50,20,5,1 франков (4шт). Упаковка ; 1990 ;  ; Cu-Ni-Al,Ni,Ni/ ; Unc ; 61 ; krugerrand ; 372 
 3959 ; Набор монет ОАЭ: 10шт. В рамке ; 2001-2007 ;  ; Cu-Ni,Br ; XF/AU ; 3 ; vovtey ; 239 
 3960 ; Набор в буклете 10 динаров. Югославия. Битва у Неретвы. Битва у Сутиески. С сертификатом ; 1983 ;  ; Cu-Ni ; AU ; 3 ; MBP ; 195 
 3961 ; Набор монет Болгарии: 1 лев, 50,20,10,5,2,1 стотинка (7шт). Упаковка ; 1962 ;  ; Cu-Ni,Латунь ; Unc ; 38 ; dragonfly ; 367 
 3962 ; Набор монет Словении: 50,20,10,5,2,1 толари, 50,20,10 стотинов (9шт) ; 1992-2005 ;  ; Cu-Ni,Латунь,Al ; AU ; 25 ; lielais ; 336 
 3963 ; Набор монет Словакии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2009 ;  ; Би/м,Лат,Сu/St ; AU ; 5 ; oleg_055 ; 368 
 3964 ; Набор монет Финляндии: 5,1 марка, 50,20,10,5,1 пенни (7шт) ; 1973 ;  ; Al/Br,Cu-Ni,Al ; AU ; 33 ; dsp ; 255 
 3965 ; Набор монет Финляндии: 5,1 марка, 50,20,10,5,1 пенни (7шт) ; 1974 ;  ; Al/Br,Cu-Ni,Al ; AU ; 6 ; omahalov ; 316 
 3966 ; Набор монет Финляндии: 5,1 марка, 50,20,10,5,1 пенни (7шт) ; 1975 ;  ; Al/Br,Cu-Ni,Al ; AU ; 11 ; dsp ; 271 
 3967 ; Набор монет Финляндии: 5,1 марка, 50,20,10,5,1 пенни (7шт) ; 1976 ;  ; Al/Br,Cu-Ni,Al ; AU ; 34 ; dsp ; 219 
 3968 ; Набор монет Финляндии: 5,1 марка, 50,20,10,5,1 пенни (7шт) ; 1977 ;  ; Al/Br,Cu-Ni,Al ; AU ; 39 ; dsp ; 249 
 3869 ; 10 пенни. Финляндия ; 1968S ;  ; Al/Br ; Unc/AU ; 8 ; olga42 ; 11 
 3870 ; 10 пенни. Финляндия ; 1969S ;  ; Al/Br ; Unc/AU ; 7 ; olga42 ; 6 
 3871 ; 10 пенни. Финляндия ; 1970S ;  ; Al/Br ; Unc/AU ; 8 ; Dander ; 7 
 3872 ; 10 пенни. Финляндия ; 1971S ;  ; Al/Br ; Unc/AU ; 4 ; страус ; 5 
 3873 ; 10 пенни. Финляндия ; 1972S ;  ; Al/Br ; Unc/AU ; 3 ; pissimist ; 22 
 3874 ; 10 пенни. Финляндия ; 1973S ;  ; Al/Br ; Unc/AU ; 12 ; JENIY2005 ; 20 
 3875 ; 10 пенни. Финляндия ; 1974S ;  ; Al/Br ; Unc/AU ; 8 ; vladimir-sirke ; 12 
 3876 ; 10 пенни. Финляндия ; 1975S ;  ; Al/Br ; Unc/AU ; 6 ; Умка1975 ; 26 
 3877 ; 10 пенни. Финляндия ; 1976К ;  ; Al/Br ; Unc/AU ; 8 ; vladimir-sirke ; 24 
 3878 ; 10 пенни. Финляндия ; 1977К ;  ; Al/Br ; Unc/AU ; 15 ; митяй ; 52 
 3879 ; 10 пенни. Финляндия ; 1978К ;  ; Al/Br ; Unc/AU ; 18 ; tpls ; 24 
 3880 ; 10 пенни. Финляндия ; 1979К ;  ; Al/Br ; Unc/AU ; 10 ; С Урала ; 9 
 3881 ; 10 пенни. Финляндия ; 1980К ;  ; Al/Br ; Unc/AU ; 8 ; pissimist ; 7 
 3882 ; 10 пенни. Финляндия ; 1981К ;  ; Al/Br ; Unc/AU ; 6 ; kozerog ; 6 
 3883 ; 10 пенни. Финляндия ; 1982К ;  ; Al/Br ; Unc/AU ; 9 ; Drunja33 ; 30 
 3884 ; 10 пенни. Финляндия ; 1983К ;  ; Al ; Unc/AU ; 15 ; bondars ; 28 
 3885 ; 10 пенни. Финляндия ; 1984N ;  ; Al ; Unc/AU ; 13 ; t_v_v ; 21 
 3886 ; 10 пенни. Финляндия ; 1985N ;  ; Al ; Unc/AU ; 13 ; tpls ; 41 
 3887 ; 5 пенни. Финляндия ; 1963 ;  ; Cu ; AU ; 15 ; t_v_v ; 21 
 3888 ; 5 пенни. Финляндия ; 1964 ;  ; Cu ; AU ; 19 ; LAB-A ; 18 
 3889 ; 5 пенни. Финляндия ; 1965 ;  ; Cu ; Unc/AU ; 9 ; Dander ; 9 
 3890 ; 5 пенни. Финляндия ; 1966 ;  ; Cu ; AU ; 10 ; tpls ; 21 
 3891 ; 5 пенни. Финляндия ; 1967 ;  ; Cu ; Unc/AU ; 15 ; vladimir-sirke ; 16 
 3892 ; 5 пенни. Финляндия ; 1968 ;  ; Cu ; Unc/AU ; 25 ; olga42 ; 34 
 3893 ; 5 пенни. Финляндия ; 1969 ;  ; Cu ; Unc/AU ; 18 ; vladimir-sirke ; 24 
 3894 ; 5 пенни. Финляндия ; 1970 ;  ; Cu ; Unc/AU ; 11 ; vladimir-sirke ; 10 
 3895 ; 5 пенни. Финляндия ; 1971 ;  ; Cu ; AU ; 16 ; tpls ; 21 
 3896 ; 5 пенни. Финляндия ; 1972 ;  ; Cu ; Unc/AU ; 7 ; страус ; 9 
 3897 ; 5 пенни. Финляндия ; 1973 ;  ; Cu ; Unc/AU ; 16 ; JENIY2005 ; 20 
 3898 ; 5 пенни. Финляндия ; 1974 ;  ; Cu ; Unc/AU ; 6 ; LAB-A ; 8 
 3899 ; 5 пенни. Финляндия ; 1975 ;  ; Cu ; Unc/AU ; 8 ; Умка1975 ; 24 
 3900 ; 5 пенни. Финляндия ; 1976 ;  ; Cu ; Unc/AU ; 14 ; olga42 ; 14 
 3901 ; 5 пенни. Финляндия ; 1977 ;  ; Cu ; Unc/AU ; 26 ; митяй ; 43 
 3902 ; 5 пенни. Финляндия ; 1977 ;  ; Al ; Unc/AU ; 25 ; митяй ; 42 
 3903 ; 5 пенни. Финляндия ; 1978 ;  ; Al ; Unc/AU ; 6 ; olga42 ; 6 
 3904 ; 5 пенни. Финляндия ; 1979 ;  ; Al ; Unc/AU ; 12 ; DSvincoff ; 18 
 3905 ; 5 пенни. Финляндия ; 1980 ;  ; Al ; Unc/AU ; 12 ; DSvincoff ; 16 
 3906 ; 5 пенни. Финляндия ; 1981 ;  ; Al ; Unc/AU ; 29 ; zaalkind ; 49 
 3907 ; 5 пенни. Финляндия ; 1982 ;  ; Al ; Unc/AU ; 13 ; DSvincoff ; 19 
 3908 ; 5 пенни. Финляндия ; 1983 ;  ; Al ; Unc/AU ; 6 ; StanislavAK ; 6 
 3909 ; 5 пенни. Финляндия ; 1984 ;  ; Al ; Unc/AU ; 11 ; DSvincoff ; 17 
 3910 ; 5 пенни. Финляндия ; 1985 ;  ; Al ; Unc/AU ; 14 ; alex995 ; 14 
 3911 ; 5 пенни. Финляндия ; 1986 ;  ; Al ; Unc/AU ; 18 ; olga42 ; 18 
 3912 ; 5 пенни. Финляндия ; 1987 ;  ; Al ; Unc/AU ; 13 ; alex995 ; 21 
 3913 ; 5 пенни. Финляндия ; 1988 ;  ; Al ; Unc/AU ; 14 ; DSvincoff ; 20 
 3914 ; 5 пенни. Финляндия ; 1990 ;  ; Al ; Unc/AU ; 17 ; solder13 ; 24 
 3915 ; 1 пенни. Финляндия ; 1919 ;  ; Cu ; Unc/AU ; 17 ; bondars ; 82 
 3916 ; 1 пенни. Финляндия ; 1920 ;  ; Cu ; Unc/AU ; 45 ; LAB-A ; 50 
 3917 ; 1 пенни. Финляндия ; 1921 ;  ; Cu ; Unc/AU ; 23 ; coin17 ; 102 
 3918 ; 1 пенни. Финляндия ; 1922 ;  ; Cu ; Unc/AU ; 23 ; LAB-A ; 69 
 3819 ; 50 пенни. Финляндия ; 1964S ;  ; Al/Br ; Unc/AU ; 23 ; LAB-A ; 30 
 3820 ; 50 пенни. Финляндия ; 1965S ;  ; Al/Br ; Unc/AU ; 15 ; tpls ; 41 
 3821 ; 50 пенни. Финляндия ; 1966S ;  ; Al/Br ; Unc/AU ; 9 ; tpls ; 41 
 3822 ; 50 пенни. Финляндия ; 1967S ;  ; Al/Br ; Unc/AU ; 23 ; 542 ; 234 
 3823 ; 50 пенни. Финляндия ; 1968S ;  ; Al/Br ; Unc/AU ; 9 ; suhua ; 51 
 3824 ; 50 пенни. Финляндия ; 1969S ;  ; Al/Br ; Unc/AU ; 13 ; 542 ; 94 
 3825 ; 50 пенни. Финляндия ; 1970S ;  ; Al/Br ; Unc/AU ; 17 ; olga42 ; 28 
 3826 ; 50 пенни. Финляндия ; 1971S ;  ; Al/Br ; AU ; 25 ; t_v_v ; 25 
 3827 ; 50 пенни. Финляндия ; 1972S ;  ; Al/Br ; AU ; 29 ; StanislavAK ; 28 
 3828 ; 50 пенни. Финляндия ; 1973S ;  ; Al/Br ; Unc/AU ; 29 ; tpls ; 41 
 3829 ; 50 пенни. Финляндия ; 1974S ;  ; Al/Br ; AU ; 15 ; tpls ; 21 
 3830 ; 50 пенни. Финляндия ; 1975S ;  ; Al/Br ; Unc/AU ; 15 ; Умка1975 ; 91 
 3831 ; 50 пенни. Финляндия ; 1976К ;  ; Al/Br ; Unc/AU ; 9 ; Юбер ; 28 
 3832 ; 50 пенни. Финляндия ; 1977К ;  ; Al/Br ; Unc/AU ; 27 ; verba ; 33 
 3833 ; 50 пенни. Финляндия ; 1978К ;  ; Al/Br ; Unc/AU ; 15 ; tpls ; 27 
 3834 ; 50 пенни. Финляндия ; 1979К ;  ; Al/Br ; Unc/AU ; 11 ; tpls ; 57 
 3835 ; 50 пенни. Финляндия ; 1980К ;  ; Al/Br ; Unc/AU ; 40 ; suhua ; 69 
 3836 ; 50 пенни. Финляндия ; 1981К ;  ; Al/Br ; Unc/AU ; 18 ; kozerog ; 29 
 3837 ; 50 пенни. Финляндия ; 1982К ;  ; Al/Br ; Unc/AU ; 14 ; t_v_v ; 26 
 3838 ; 50 пенни. Финляндия ; 1983К ;  ; Al/Br ; Unc/AU ; 10 ; suhua ; 107 
 3839 ; 50 пенни. Финляндия ; 1984N ;  ; Al/Br ; Unc/AU ; 5 ; tpls ; 28 
 3840 ; 50 пенни. Финляндия ; 1985N ;  ; Al/Br ; Unc/AU ; 15 ; 542 ; 28 
 3841 ; 20 пенни. Финляндия ; 1963S ;  ; Al/Br ; Unc/AU ; 20 ; fokin ; 19 
 3842 ; 20 пенни. Финляндия ; 1964S ;  ; Al/Br ; Unc/AU ; 10 ; LAB-A ; 10 
 3843 ; 20 пенни. Финляндия ; 1965S ;  ; Al/Br ; Unc/AU ; 12 ; StanislavAK ; 11 
 3844 ; 20 пенни. Финляндия ; 1966S ;  ; Al/Br ; Unc/AU ; 25 ; fokin ; 24 
 3845 ; 20 пенни. Финляндия ; 1967S ;  ; Al/Br ; Unc/AU ; 17 ; tpls ; 41 
 3846 ; 20 пенни. Финляндия ; 1968S ;  ; Al/Br ; Unc/AU ; 13 ; tpls ; 41 
 3847 ; 20 пенни. Финляндия ; 1969S ;  ; Al/Br ; Unc/AU ; 21 ; 542 ; 93 
 3848 ; 20 пенни. Финляндия ; 1970S ;  ; Al/Br ; Unc/AU ; 17 ; 542 ; 31 
 3849 ; 20 пенни. Финляндия ; 1971S ;  ; Al/Br ; Unc/AU ; 8 ; vladimir-sirke ; 7 
 3850 ; 20 пенни. Финляндия ; 1972S ;  ; Al/Br ; Unc/AU ; 29 ; Drunja33 ; 27 
 3851 ; 20 пенни. Финляндия ; 1973S ;  ; Al/Br ; Unc/AU ; 13 ; JENIY2005 ; 26 
 3852 ; 20 пенни. Финляндия ; 1974S ;  ; Al/Br ; Unc/AU ; 11 ; tpls ; 21 
 3853 ; 20 пенни. Финляндия ; 1975S ;  ; Al/Br ; Unc/AU ; 11 ; Умка1975 ; 26 
 3854 ; 20 пенни. Финляндия ; 1976К ;  ; Al/Br ; Unc/AU ; 20 ; С Урала ; 19 
 3855 ; 20 пенни. Финляндия ; 1977К ;  ; Al/Br ; AU ; 12 ; митяй ; 72 
 3856 ; 20 пенни. Финляндия ; 1978К ;  ; Al/Br ; Unc/AU ; 8 ; страус ; 8 
 3857 ; 20 пенни. Финляндия ; 1979К ;  ; Al/Br ; Unc/AU ; 9 ; LAB-A ; 8 
 3858 ; 20 пенни. Финляндия ; 1980К ;  ; Al/Br ; Unc/AU ; 1 ; pissimist ; 20 
 3859 ; 20 пенни. Финляндия ; 1981К ;  ; Al/Br ; Unc/AU ; 15 ; kozerog ; 14 
 3860 ; 20 пенни. Финляндия ; 1982К ;  ; Al/Br ; Unc/AU ; 11 ; Drunja33 ; 9 
 3861 ; 20 пенни. Финляндия ; 1983К ;  ; Al/Br ; Unc/AU ; 13 ; tpls ; 24 
 3862 ; 20 пенни. Финляндия ; 1984N ;  ; Al/Br ; Unc/AU ; 20 ; t_v_v ; 29 
 3863 ; 20 пенни. Финляндия ; 1985N ;  ; Al/Br ; Unc/AU ; 15 ; tpls ; 30 
 3864 ; 10 пенни. Финляндия ; 1963S ;  ; Al/Br ; Unc/AU ; 16 ; t_v_v ; 21 
 3865 ; 10 пенни. Финляндия ; 1964S ;  ; Al/Br ; Unc/AU ; 16 ; LAB-A ; 15 
 3866 ; 10 пенни. Финляндия ; 1965S ;  ; Al/Br ; Unc/AU ; 8 ; LAB-A ; 8 
 3867 ; 10 пенни. Финляндия ; 1966S ;  ; Al/Br ; Unc/AU ; 5 ; StanislavAK ; 5 
 3868 ; 10 пенни. Финляндия ; 1967S ;  ; Al/Br ; Unc/AU ; 17 ; LAB-A ; 30 
 3769 ; 5 марок. Финляндия. Ледокол Варма ; 1978К ;  ; Al/Br ; Unc/AU ; 28 ; hr-kot ; 219 
 3770 ; 5 марок. Финляндия. Ледокол Урхо ; 1979К ;  ; Al/Br ; Unc/AU ; 26 ; lielais ; 196 
 3771 ; 5 марок. Финляндия. Ледокол Урхо ; 1980К ;  ; Al/Br ; Unc/AU ; 43 ; solder13 ; 286 
 3772 ; 5 марок. Финляндия. Ледокол Урхо ; 1981К ;  ; Al/Br ; Unc/AU ; 18 ; Рыба ; 150 
 3773 ; 5 марок. Финляндия. Ледокол Урхо ; 1982К ;  ; Al/Br ; Unc/AU ; 9 ; suhua ; 102 
 3774 ; 5 марок. Финляндия. Ледокол Урхо ; 1983К ;  ; Al/Br ; Unc/AU ; 11 ; suhua ; 114 
 3775 ; 5 марок. Финляндия. Ледокол Урхо ; 1983N ;  ; Al/Br ; Unc/AU ; 21 ; R2010 ; 153 
 3776 ; 5 марок. Финляндия. Ледокол Урхо ; 1984N ;  ; Al/Br ; Unc/AU ; 24 ; suhua ; 125 
 3777 ; 5 марок. Финляндия. Ледокол Урхо ; 1985N ;  ; Al/Br ; Unc/AU ; 10 ; suhua ; 114 
 3778 ; 5 марок. Финляндия. Ледокол Урхо ; 1986N ;  ; Al/Br ; Unc/AU ; 21 ; 542 ; 162 
 3779 ; 5 марок. Финляндия. Ледокол Урхо ; 1987М ;  ; Al/Br ; Unc/AU ; 25 ; LAB-A ; 135 
 3780 ; 5 марок. Финляндия. Ледокол Урхо ; 1988М ;  ; Al/Br ; Unc/AU ; 31 ; R2010 ; 184 
 3781 ; 5 марок. Финляндия. Ледокол Урхо ; 1989М ;  ; Al/Br ; Unc/AU ; 9 ; suhua ; 102 
 3782 ; 5 марок. Финляндия. Ледокол Урхо ; 1990М ;  ; Al/Br ; Unc/AU ; 18 ; R2010 ; 127 
 3783 ; 5 марок. Финляндия. Ледокол Урхо ; 1991М ;  ; Al/Br ; Unc/AU ; 25 ; suhua ; 189 
 3784 ; 5 марок. Финляндия. Ледокол Урхо ; 1992М ;  ; Al/Br ; Unc/AU ; 29 ; Рыба ; 189 
 3785 ; 5 марок. Финляндия. Ледокол Урхо ; 1993М ;  ; Al/Br ; Unc/AU ; 32 ; Рыба ; 196 
 3786 ; 5 марок. Финляндия. Пятнистый тюлень озера Сайма ; 1993М ;  ; Cu/Al/Ni ; AU ; 27 ; lielais ; 250 
 3787 ; 1 марка. Финляндия ; 1964S ;  ; Ag ; Unc/AU ; 35 ; Рыба ; 486 
 3788 ; 1 марка. Финляндия ; 1965S ;  ; Ag ; Unc/AU ; 53 ; ronzh ; 255 
 3789 ; 1 марка. Финляндия ; 1966S ;  ; Ag ; Unc/AU ; 70 ; denisok69 ; 317 
 3790 ; 1 марка. Финляндия ; 1967S ;  ; Ag ; Unc/AU ; 24 ; oldmaster ; 267 
 3791 ; 1 марка. Финляндия ; 1968S ;  ; Ag ; Unc/AU ; 31 ; suhua ; 283 
 3792 ; 1 марка. Финляндия ; 1969S ;  ; Cu/Ni ; Unc/AU ; 37 ; solder13 ; 124 
 3793 ; 1 марка. Финляндия ; 1970S ;  ; Cu/Ni ; Unc/AU ; 19 ; tpls ; 25 
 3794 ; 1 марка. Финляндия ; 1971S ;  ; Cu/Ni ; Unc/AU ; 9 ; торнадо ; 21 
 3795 ; 1 марка. Финляндия ; 1972S ;  ; Cu/Ni ; Unc/AU ; 9 ; С Урала ; 15 
 3796 ; 1 марка. Финляндия ; 1973S ;  ; Cu/Ni ; Unc/AU ; 8 ; JENIY2005 ; 15 
 3797 ; 1 марка. Финляндия ; 1974S ;  ; Cu/Ni ; Unc/AU ; 8 ; tpls ; 15 
 3798 ; 1 марка. Финляндия ; 1975S ;  ; Cu/Ni ; Unc/AU ; 8 ; Умка1975 ; 15 
 3799 ; 1 марка. Финляндия ; 1976К ;  ; Cu/Ni ; Unc/AU ; 7 ; Sterh ; 14 
 3800 ; 1 марка. Финляндия ; 1977К ;  ; Cu/Ni ; Unc/AU ; 17 ; verba ; 31 
 3801 ; 1 марка. Финляндия ; 1978К ;  ; Cu/Ni ; Unc/AU ; 13 ; LAB-A ; 20 
 3802 ; 1 марка. Финляндия ; 1979К ;  ; Cu/Ni ; Unc/AU ; 7 ; Sterh ; 14 
 3803 ; 1 марка. Финляндия ; 1980К ;  ; Cu/Ni ; Unc/AU ; 5 ; pissimist ; 24 
 3804 ; 1 марка. Финляндия ; 1981К ;  ; Cu/Ni ; Unc/AU ; 6 ; страус ; 13 
 3805 ; 1 марка. Финляндия ; 1982К ;  ; Cu/Ni ; Unc/AU ; 7 ; С Урала ; 14 
 3806 ; 1 марка. Финляндия ; 1983К ;  ; Cu/Ni ; Unc/AU ; 9 ; С Урала ; 24 
 3807 ; 1 марка. Финляндия ; 1983N ;  ; Cu/Ni ; Unc/AU ; 5 ; tpls ; 24 
 3808 ; 1 марка. Финляндия ; 1984N ;  ; Cu/Ni ; Unc/AU ; 13 ; kozerog ; 20 
 3809 ; 1 марка. Финляндия ; 1985N ;  ; Cu/Ni ; Unc/AU ; 6 ; JENIY2005 ; 14 
 3810 ; 1 марка. Финляндия ; 1986N ;  ; Cu/Ni ; Unc/AU ; 24 ; tpls ; 42 
 3811 ; 1 марка. Финляндия ; 1987N ;  ; Cu/Ni ; Unc/AU ; 18 ; solder13 ; 196 
 3812 ; 1 марка. Финляндия ; 1988M ;  ; Cu/Ni ; Unc/AU ; 6 ; tpls ; 28 
 3813 ; 1 марка. Финляндия ; 1989M ;  ; Cu/Ni ; Unc/AU ; 4 ; suhua ; 28 
 3814 ; 1 марка. Финляндия ; 1993М ;  ; Al/Br ; XF+ ; 16 ; t_v_v ; 21 
 3815 ; 1 марка. Финляндия ; 1994М ;  ; Al/Br ; AU ; 16 ; verba ; 21 
 3816 ; 1 марка. Финляндия ; 1995М ;  ; Al/Br ; XF+ ; 13 ; торнадо ; 21 
 3817 ; 1 марка. Финляндия ; 1998М ;  ; Al/Br ; AU ; 27 ; StanislavAK ; 26 
 3818 ; 50 пенни. Финляндия ; 1963S ;  ; Al/Br ; Unc/AU ; 18 ; tpls ; 51 
 3719 ; 1 доллар. США ; 1976D ;  ; Cu-Ni ; XF ; 53 ; suhua ; 183 
 3720 ; 1 крона. Швеция ; 1943 ;  ; Ag ; VF ; 30 ; imi ; 102 
 3721 ; 1 крона. Швеция ; 1945 ;  ; Ag ; VF ; 27 ; buver ; 107 
 3722 ; 1 крона. Швеция ; 1946 ;  ; Ag ; VF- ; 19 ; sever2010 ; 80 
 3723 ; 1 крона. Швеция ; 1954 ;  ; Ag ; XF ; 14 ; Aleks72 ; 230 
 3724 ; 50 эре. Швеция ; 1943 ;  ; Ag ; VF-XF ; 22 ; BarSan ; 129 
 3725 ; 50 эре. Швеция ; 1955 ;  ; Ag ; VF-XF ; 39 ; митяй ; 94 
 3726 ; 25 эре. Швеция ; 1950 ;  ; Ag ; XF ; 14 ; t_v_v ; 58 
 3727 ; 25 эре. Швеция ; 1953 ;  ; Ag ; XF ; 13 ; t_v_v ; 58 
 3728 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF-XF ; 14 ; t_v_v ; 58 
 3729 ; 10 эре. Швеция ; 1944 ;  ; Ag ; VF-XF ; 28 ; BarSan ; 90 
 3730 ; 10 эре. Швеция ; 1953 ;  ; Ag ; AU ; 25 ; митяй ; 73 
 3731 ; 1 франк. Бельгия ; 1923 ;  ; Cu-Ni ; VF+ ; 35 ; С Урала ; 73 
 3732 ; 2 марки. ФРГ ; 1994А ;  ; Cu-Ni ; XF- ; 57 ; 542 ; 230 
 3733 ; 2 марки. ФРГ ; 1989F ;  ; Cu-Ni ; XF- ; 48 ; 542 ; 171 
 3734 ; 10 сентимов. Франция ; 1911 ;  ; Br ; VF- ; 12 ; митька ; 90 
 3735 ; 5 эре. Швеция ; 1896 ;  ; Br ; VF ; 50 ; dsp ; 240 
 3736 ; 2 эре. Швеция ; 1881 ;  ; Br ; VF- ; 15 ; suhua ; 215 
 3737 ; 1/2 доллара. США ; 2011D ;  ; Cu-Ni ; AU ; 20 ; suhua ; 45 
 3738 ; 1/2 доллара. США ; 2011P ;  ; Cu-Ni ; AU ; 14 ; suhua ; 45 
 3739 ; 1/4 доллара. США. Национальный лес Маунд Худ ; 2010D ;  ; Cu-Ni ; AU ; 37 ; JENIY2005 ; 44 
 3740 ; 1/4 доллара. США. Национальный лес Маунд Худ ; 2010P ;  ; Cu-Ni ; AU ; 23 ; kozerog ; 42 
 3741 ; 1/4 доллара. США. Национальный парк Глейшер ; 2011D ;  ; Cu-Ni ; AU ; 17 ; asparagus ; 34 
 3742 ; 1/4 доллара. США. Национальный парк Глейшер ; 2011P ;  ; Cu-Ni ; AU ; 38 ; JENIY2005 ; 47 
 3743 ; 1/4 доллара. США. Национальный парк Олимпик ; 2011D ;  ; Cu-Ni ; AU ; 33 ; JENIY2005 ; 37 
 3744 ; 1/4 доллара. США. Национальный парк Олимпик ; 2011P ;  ; Cu-Ni ; AU ; 43 ; -=ANNA=- ; 46 
 3745 ; 1/4 доллара. США. Национальный парк Геттисберг ; 2011D ;  ; Cu-Ni ; AU ; 51 ; JENIY2005 ; 50 
 3746 ; 1/4 доллара. США. Национальный парк Геттисберг ; 2011P ;  ; Cu-Ni ; AU ; 33 ; strestas ; 35 
 3747 ; 1/4 доллара. США. Национальный парк Виксбург ; 2011D ;  ; Cu-Ni ; AU ; 43 ; JENIY2005 ; 43 
 3748 ; 1/4 доллара. США. Национальный парк Виксбург ; 2011P ;  ; Cu-Ni ; AU ; 40 ; kozerog ; 39 
 3749 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 36 ; dsp ; 269 
 3750 ; 3 евро. Словения. Любляна-столица книги ; 2010 ;  ; Би/м ; AU ; 23 ; pissimist ; 159 
 3751 ; 3 евро. Словения. Независимость Словении ; 2011 ;  ; Би/м ; AU ; 89 ; pissimist ; 159 
 3752 ; 2 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 88 ; jj ; 134 
 3753 ; 1000 марок. Финляндия. 100 лет  валютной системе Финляндии ; 1960SJ ;  ; Ag ; Unc/AU ; 73 ; patap100 ; 1504 
 3754 ; 500 марок. Финляндия. Олимпийские игры 1952г ; 1952Н ;  ; Ag ; Unc/AU ; 59 ; sos1 ; 1530 
 3755 ; 200 марок. Финляндия ; 1956Н ;  ; Ag ; Unc/AU ; 28 ; denisok69 ; 378 
 3756 ; 200 марок. Финляндия ; 1957Н ;  ; Ag ; Unc/AU ; 85 ; fokin ; 378 
 3757 ; 200 марок. Финляндия ; 1958Н ;  ; Ag ; Unc/AU ; 33 ; oldmaster ; 373 
 3758 ; 100 марок. Финляндия ; 1956Н ;  ; Ag ; Unc/AU ; 35 ; denisok69 ; 306 
 3759 ; 100 марок. Финляндия ; 1957Н ;  ; Ag ; Unc/AU ; 36 ; Gyron ; 357 
 3760 ; 100 марок. Финляндия ; 1958Н ;  ; Ag ; Unc/AU ; 72 ; fokin ; 306 
 3761 ; 100 марок. Финляндия ; 1959S ;  ; Ag ; Unc/AU ; 57 ; Рыба ; 1064 
 3762 ; 100 марок. Финляндия ; 1960S ;  ; Ag ; Unc/AU ; 42 ; Рыба ; 1850 
 3763 ; 5 марок. Финляндия. Ледокол Варма ; 1972S ;  ; Al/Br ; Unc/AU ; 42 ; lielais ; 177 
 3764 ; 5 марок. Финляндия. Ледокол Варма ; 1973S ;  ; Al/Br ; Unc/AU ; 7 ; suhua ; 222 
 3765 ; 5 марок. Финляндия. Ледокол Варма ; 1974S ;  ; Al/Br ; Unc/AU ; 45 ; omahalov ; 206 
 3766 ; 5 марок. Финляндия. Ледокол Варма ; 1975S ;  ; Al/Br ; Unc/AU ; 22 ; bondars ; 255 
 3767 ; 5 марок. Финляндия. Ледокол Варма ; 1976K ;  ; Al/Br ; Unc/AU ; 26 ; asparagus ; 144 
 3768 ; 5 марок. Финляндия. Ледокол Варма ; 1977К ;  ; Al/Br ; Unc/AU ; 60 ; митька ; 155 
 3669 ; 50 сантимов. Франция ; 1916 ;  ; Ag ; VF ; 37 ; suhua ; 111 
 3670 ; 10 эре. Швеция ; 1942 ;  ; Ag ; VF+ ; 20 ; BarSan ; 88 
 3671 ; 5 пиастров. Египет ; 1957 ;  ; Ag ; VF ; 54 ; Sphinx999 ; 327 
 3672 ; 50 пфеннигов. Германия ; 1876A ;  ; Ag ; VF- ; 60 ; Aleks72 ; 352 
 3673 ; 1/4 гульдена. Нидерландское Кюрасао ; 1947 ;  ; Ag ; F-VF ; 21 ; Sterh ; 76 
 3674 ; 1 шиллинг. Великобритания ; 1918 ;  ; Ag ; VF+ ; 50 ; imi ; 292 
 3675 ; 1 шиллинг. Австралия ; 1952 ;  ; Ag ; VF- ; 41 ; lielais ; 160 
 3676 ; 10 эре. Швеция ; 1937 ;  ; Ag ; VF ; 11 ; asparagus ; 65 
 3677 ; 20 сентаво. Куба ; 1949 ;  ; Ag ; VF ; 20 ; митяй ; 202 
 3678 ; 2 франка. Франция ; 1922 ;  ; al/Br ; XF ; 20 ; lielais ; 227 
 3679 ; 1 франк. Франция ; 1921 ;  ; al/Br ; XF ; 8 ; lielais ; 113 
 3680 ; 50 сентимов. Франция ; 1922 ;  ; al/Br ; XF ; 7 ; lielais ; 159 
 3681 ; 1 доллар. Австралия. Международный год пенсионеров ; 1999 ;  ; Лат ; VF+ ; 25 ; vc57 ; 108 
 3682 ; 1 крона. Дания ; 1947 ;  ; Лат ; XF ; 47 ; kergudu ; 163 
 3683 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; VF ; 61 ; o.k. ; 352 
 3684 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF+ ; 65 ; нумизмат ; 615 
