 3263 ; 5 рублей ; 1997 ;  ;  ;  ; 44 ; 1968 ; 102 
 2420 ; 1/4 рупии. Британская Индия ; 1944 ;  ; Ag ; VF-XF ; 3 ; GBK ; 82 
 2421 ; 20 сентаво. Куба ; 1920 ;  ; Ag ; AU ; 43 ; kont ; 363 
 2422 ; 20 сентаво. Куба ; 1948 ;  ; Ag ; AU ; 30 ; NFV ; 165 
 2423 ; 1/4 гульдена. Кюрасао ; 1944 ;  ; Ag ; VF-XF ; 20 ; alskr ; 94 
 2424 ; 1/4 гульдена. Нидерландские Антиллы ; 1965 ;  ; Ag ; VF-XF ; 45 ; Doro ; 86 
 2425 ; 1/4 гульдена. Нидерландские Антиллы ; 1967 ;  ; Ag ; XF+ ; 25 ; ВЭБ! ; 170 
 2426 ; 1/4 гульдена. Нидерландская Индия ; 1941 ;  ; Ag ; XF+ ; 31 ; alskr ; 97 
 2427 ; 1/10 гульдена. Нидерландская Индия ; 1914 ;  ; Ag ; VF ; 47 ; shest ; 146 
 2428 ; 1/10 гульдена. Кюрасао ; 1944 ;  ; Ag ; VF ; 46 ; skif ; 136 
 2429 ; 1/10 гульдена. Кюрасао ; 1944 ;  ; Ag ; VF-XF ; 19 ; alskr ; 97 
 2430 ; 1/10 гульдена. Нидерландская Индия ; 1942 ;  ; Ag ; XF+ ; 9 ; skif ; 114 
 2431 ; 10 центов. Стретс-Сетлментс ; 1919 ;  ; Ag ; VF ; 28 ; ввв ; 102 
 2432 ; 10 центов. Стретс-Сетлментс ; 1927 ;  ; Ag ; AU ; 38 ; ввв ; 160 
 2433 ; 5 центов. Стретс-Сетлментс ; 1926 ;  ; Ag ; VF-XF ; 44 ; ez ; 297 
 2434 ; 5 центов. Стретс-Сетлментс ; 1910 ;  ; Ag ; VF-XF ; 58 ; ez ; 518 
 2435 ; 2 кроны. Дания. 25 лет правления ; 1888 ;  ; Ag ; AU ; 53 ; ЕВС ; 1529 
 2436 ; 2 кроны. Дания. 40 лет правления ; 1903 ;  ; Ag ; AU ; 109 ; ЕВС ; 1765 
 2437 ; 1/4 рупии. Немецкая Ост-Африка ; 1891 ;  ; Ag ; VF+ ; 39 ; GEK71 ; 1434 
 2438 ; 1 крона. Великобритания ; 1897 ;  ; Ag ; VF+ ; 68 ; caterpi ; 1259 
 2439 ; 5 дирхем. Французское Марокко. Манетный двор Париж ; 1315лх ;  ; Ag ; VF-XF ; 58 ; EA51 ; 711 
 2440 ; 2 сентаво. Колумбия. Лазаретто- деньги для прокаженных ; 1921 ;  ; Cu-Ni ; VF ; 28 ; overshtag ; 453 
 2441 ; 1 стивер (1 пенни). Токен. Британская Гайана. Против бумажных денег (медь предпочтительнее бумаги) ; 1838 ;  ; Cu ; VF- ; 24 ; Гордиан ; 464 
 2442 ; 1 пенни. Великобритания. Виктория ; 1874H ;  ; Cu ; XF+ ; 21 ; MCA ; 2000 
 2443 ; 1 пенни. Великобритания. Георг VI ; 1938 ;  ; Cu ; AU ; 21 ; wagner ; 345 
 2444 ; 1/2 пенни. Токен. Великобритания. Ковентри. Гуртовая надпись Ковентри ; 1797 ;  ; Cu ; VF+ ; 35 ; sinisha ; 696 
 2445 ; 1/2 пенни. Токен. Великобритания. Hull ; 1791 ;  ; Cu ; VF- ; 35 ; ez ; 416 
 2446 ; 1/2 пенни. Токен. Великобритания. Лондон. Политический токен "Объединяйтесь для реформ в парламенте" ; 1795 ;  ; Cu ; VF- ; 58 ; von_Schwarz ; 820 
 2447 ; 1/2 пенни. Токен. Великобритания. Уэльс. Политический токен "Объединяйтесь для реформ в парламенте" ; ND ;  ; Cu ; F-VF ; 16 ; ez ; 227 
 2448 ; 1/2 пенни. Токен. Великобритания. Дублин "За честь и торговлю" ; 1794 ;  ; Cu ; VF- ; 27 ; overshtag ; 912 
 2449 ; 1/2 пенни. Токен. Великобритания. Масонский токен "Король - лорды, общество" ; 1795 ;  ; Cu ; VF ; 54 ; sinisha ; 1084 
 2450 ; 1/2 пенни. Токен. Великобритания. Норвич ; 1792 ;  ; Cu ; VF ; 47 ; overshtag ; 771 
 2451 ; 1/2 пенни. Токен. Великобритания. Клеркенвилль ; 1795 ;  ; Cu ; VF- ; 27 ; von_Schwarz ; 337 
 2452 ; 1/2 пенни. Токен. Великобритания. Манчестер ; ND (19 век) ;  ; Cu ; VF- ; 58 ; valrus ; 1273 
 2453 ; 1/13 шиллинга. Джерси. Виктория ; 1858 ;  ; Cu ; VF-XF ; 17 ; overshtag ; 495 
 2454 ; 1/24 шиллинга. Джерси. Виктория ; 1894 ;  ; Cu ; VF-XF ; 33 ; Dim888 ; 365 
 2455 ; 1/24 шиллинга. Джерси. Георг VI ; 1947 ;  ; Cu ; VF-XF ; 29 ; Dim888 ; 329 
 2456 ; 8 дублей. Гернси ; 1910H ;  ; Cu ; VF- ; 51 ; Ghb ; 594 
 2457 ; 4 дубля. Гернси ; 1910H ;  ; Cu ; VF ; 71 ; Ghb ; 700 
 2458 ; 1 цент. Канада. Виктория ; 1888 ;  ; Cu ; VF ; 22 ; ez ; 255 
 2459 ; 1 цент. Канада. Эдуард VII ; 1909 ;  ; Cu ; VF+ ; 17 ; vc57 ; 151 
 2460 ; 1 цент. Канада. Георг V ; 1912 ;  ; Cu ; VF ; 6 ; lakomb ; 114 
 2461 ; 1 цент. Ньюфаундленд. Канада. Виктория ; 1876 ;  ; Cu ; VF ; 35 ; ez ; 354 
 2462 ; 1 цент. Канада. Георг V. В легенде отсутствует "Dei Gra" (безбожный) ; 1911 ;  ; Cu ; VF ; 34 ; СВл ; 462 
 2363 ; 1 доллар. США ; 1924 ;  ; Ag ; AU ; 49 ; AIK60 ; 1275 
 2364 ; 1/2 кроны. Великобритания ; 1914 ;  ; Ag ; VF-XF ; 62 ; nikolay ; 351 
 2365 ; 25 рупий. Маврикий. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 45 ; Алек ; 708 
 2366 ; Монетовидный жетон (1 крона). Елизавета II. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 20 ; dsidorov ; 1025 
 2367 ; 25 пенсов. Гибралтар. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 34 ; минёр ; 476 
 2368 ; 25 новых пенсов. Великобритания. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 35 ; ez ; 691 
 2369 ; 25 пенсов. Гернси. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 17 ; ВЯЗ ; 566 
 2370 ; 25 пенсов. Джерси. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 36 ; dsidorov ; 750 
 2371 ; 25 пенсов. Тристан да Кунья. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 31 ; Ромбор ; 696 
 2372 ; 25 пенсов. Остров Святой Елены. На серебряный юбилей ; 1977 ;  ; Ag ; Proof ; 13 ; valrus ; 554 
 2373 ; 25 пенсов. Гернси. Елизавета II - королева-мать ; 1980 ;  ; Ag ; Proof ; 22 ; минёр ; 432 
 2374 ; 10 долларов. Тувалу. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Ag ; Proof ; 36 ; Алек ; 740 
 2375 ; 25 пенсов. Тристан да Кунья. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Ag ; Proof ; 11 ; минёр ; 327 
 2376 ; 25 новых пенсов. Великобритания. На бракосочетание Принца Чарльза и Леди Дианы ; 1981 ;  ; Ag ; Proof ; 26 ; ВЯЗ ; 510 
 2377 ; 1 крона. Гибралтар. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Ag ; Proof ; 32 ; Алек ; 707 
 2378 ; 25 пенсов. Остров Святой Елены. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Ag ; Proof ; 34 ; valrus ; 784 
 2379 ; 50 пенсов. Фолклендские острова. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Ag ; Proof ; 31 ; ROTAN ; 623 
 2380 ; 1/2 кроны. Великобритания ; 1915 ;  ; Ag ; VF-XF ; 49 ; Yuraschka ; 362 
 2381 ; 1/2 кроны. Великобритания ; 1916 ;  ; Ag ; VF+ ; 41 ; nikolay ; 341 
 2382 ; 1/2 кроны. Великобритания ; 1918 ;  ; Ag ; VF-XF ; 41 ; nikolay ; 354 
 2383 ; 1 флорин. Великобритания ; 1887 ;  ; Ag ; AU ; 36 ; mara ; 1835 
 2384 ; 25 новых пенсов. Великобритания. 80 лет со дня рождения Елизаветы II ; 1980 ;  ; Cu-Ni ; AU ; 30 ; dimon-2007 ; 110 
 2385 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 21 ; Doro ; 74 
 2386 ; 25 новых пенсов. Великобритания. На бракосочетание Принца Чарльза и Леди Дианы ; 1981 ;  ; Cu-Ni ; AU ; 25 ; GBK ; 132 
 2387 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; AU ; 28 ; vitas123 ; 114 
 2388 ; 1 флорин. Австралия ; 1944 ;  ; Ag ; XF- ; 33 ; ввв ; 303 
 2389 ; 1 флорин. Австралия ; 1943 ;  ; Ag ; VF-XF ; 51 ; xoma ; 255 
 2390 ; 5 франков. Франция ; 1960 ;  ; Ag ; VF-XF ; 67 ; waffe_ss ; 319 
 2391 ; 2 шиллинга. Южная Африка ; 1954 ;  ; Ag ; VF+ ; 63 ; димитрий ; 250 
 2392 ; 2-1/2 гульдена. Нидерланды ; 1960 ;  ; Ag ; XF- ; 21 ; Rober ; 252 
 2393 ; 1 гульден. Нидерланды ; 1923 ;  ; Ag ; VF+ ; 25 ; димитрий ; 340 
 2394 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; VF-XF ; 31 ; skif ; 148 
 2395 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; XF ; 42 ; skif ; 120 
 2396 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; XF- ; 31 ; skif ; 132 
 2397 ; 1 гульден. Нидерланды ; 1964 ;  ; Ag ; XF- ; 25 ; ВЭБ! ; 132 
 2398 ; 1 гульден. Нидерланды ; 1965 ;  ; Ag ; XF- ; 36 ; xoma ; 147 
 2399 ; 1/10 гульдена. Нидерландская Индия ; 1941 ;  ; Ag ; XF+ ; 54 ; skif ; 177 
 2400 ; 1 франк. Франция ; 1915 ;  ; Ag ; XF+ ; 27 ; skif ; 111 
 2401 ; 50 сантимов. Франция ; 1918 ;  ; Ag ; XF+ ; 15 ; coin17 ; 123 
 2402 ; 6 крейцеров. Австрия ; 1849А ;  ; Ag ; VF+ ; 54 ; Doro ; 337 
 2403 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; XF+ ; 33 ; GBK ; 160 
 2404 ; 25 центов. Нидерланды ; 1943 ;  ; Ag ; XF+ ; 17 ; zx123 ; 111 
 2405 ; 25 центов. Нидерланды ; 1939 ;  ; Ag ; XF- ; 8 ; В1951 ; 90 
 2406 ; 25 центов. Нидерланды ; 1944 ;  ; Ag ; XF+ ; 1 ; elltor ; 87 
 2407 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; AU ; 31 ; skif ; 97 
 2408 ; 10 центов. Нидерланды ; 1936 ;  ; Ag ; VF-XF ; 71 ; Doro ; 89 
 2409 ; 10 центов. Нидерланды ; 1939 ;  ; Ag ; VF-XF ; 15 ; semen81 ; 110 
 2410 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF-XF ; 61 ; Doro ; 73 
 2411 ; 10 центов. Нидерланды ; 1919 ;  ; Ag ; XF- ; 11 ; SAV ; 147 
 2412 ; 10 центов. Нидерланды ; 1944 ;  ; Ag ; AU ; 23 ; skif ; 121 
 2313 ; 1 пфенниг. Германия ; 1941D ;  ; Zn ; F-VF ; 10 ; AIK60 ; 20 
 2314 ; 1 пфенниг. Германия ; 1941J ;  ; Zn ; VF- ; 13 ; AIK60 ; 40 
 2315 ; 1 пфенниг. Германия ; 1941A ;  ; Zn ; VF- ; 8 ; AIK60 ; 19 
 2316 ; 1 пфенниг. Германия ; 1942E ;  ; Zn ; VF ; 34 ; AIK60 ; 41 
 2317 ; 1 пфенниг. Германия ; 1942D ;  ; Zn ; F-VF ; 8 ; AIK60 ; 19 
 2318 ; 1 пфенниг. Германия ; 1942J ;  ; Zn ; F-VF ; 7 ; koga ; 14 
 2319 ; 1 пфенниг. Германия ; 1942B ;  ; Zn ; F-VF ; 8 ; koga ; 15 
 2320 ; 1 пфенниг. Германия ; 1942G ;  ; Zn ; F-VF ; 8 ; koga ; 15 
 2321 ; 1 пфенниг. Германия ; 1942A ;  ; Zn ; VF- ; 8 ; koga ; 15 
 2322 ; 1 пфенниг. Германия ; 1943A ;  ; Zn ; F-VF ; 7 ; koga ; 14 
 2323 ; 1 пфенниг. Германия ; 1943G ;  ; Zn ; F-VF ; 6 ; koga ; 14 
 2324 ; 1 пфенниг. Германия ; 1943D ;  ; Zn ; VF- ; 7 ; 19990215 ; 14 
 2325 ; 1 пфенниг. Германия ; 1943B ;  ; Zn ; VF- ; 6 ; koga ; 14 
 2326 ; 1 пфенниг. Германия ; 1943F ;  ; Zn ; VF- ; 4 ; alex995 ; 12 
 2327 ; 1 пфенниг. Германия ; 1943J ;  ; Zn ; F-VF ; 6 ; alex995 ; 13 
 2328 ; 1 пфенниг. Германия ; 1944D ;  ; Zn ; F-VF ; 6 ; koga ; 14 
 2329 ; 1 пфенниг. Германия ; 1944F ;  ; Zn ; VF- ; 9 ; AIK60 ; 15 
 2330 ; 1 пфенниг. Германия ; 1944G ;  ; Zn ; VF- ; 4 ; 19990215 ; 13 
 2331 ; 1 пфенниг. Германия ; 1944B ;  ; Zn ; F-VF ; 7 ; koga ; 14 
 2332 ; 10 пфеннигов. Германия ; 1917 ;  ; Zn ; VF- ; 10 ; alskr ; 44 
 2333 ; 10 пфеннигов. Германия ; 1917 ;  ; Fe ; VF- ; 15 ; tavitrof ; 28 
 2334 ; 10 пфеннигов. Германия ; 1918 ;  ; Zn ; F+ ; 5 ; AIK60 ; 19 
 2335 ; 10 пфеннигов. Германия ; 1919 ;  ; Zn ; F+ ; 3 ; alex995 ; 12 
 2336 ; 10 пфеннигов. Германия ; 1920 ;  ; Zn ; F-VF ; 7 ; koga ; 14 
 2337 ; 10 пфеннигов. Германия ; 1921 ;  ; Zn ; VF- ; 6 ; alex995 ; 13 
 2338 ; 10 пфеннигов. Германия ; 1922 ;  ; Zn ; VF ; 7 ; tavitrof ; 14 
 2339 ; 5 пфеннигов. Германия ; 1916A ;  ; Fe ; F-VF ; 6 ; koga ; 17 
 2340 ; 5 пфеннигов. Германия ; 1917A ;  ; Fe ; VF- ; 9 ; alskr ; 18 
 2341 ; 5 пфеннигов. Германия ; 1918A ;  ; Fe ; VF- ; 4 ; e(0_o)e ; 13 
 2342 ; 5 пфеннигов. Германия ; 1920F ;  ; Fe ; VF ; 12 ; tavitrof ; 19 
 2343 ; 5 пфеннигов. Германия ; 1921A ;  ; Fe ; F-VF ; 9 ; koga ; 18 
 2344 ; 2 пфеннига. Веймар ; 1924A ;  ; Br ; VF- ; 16 ; semen81 ; 24 
 2345 ; 2 пфеннига. Веймар ; 1925A ;  ; Br ; VF+ ; 24 ; coin17 ; 79 
 2346 ; 1 пфенниг. Веймар ; 1924J ;  ; Br ; VF- ; 6 ; e(0_o)e ; 15 
 2347 ; 1 пфенниг. Веймар ; 1924D ;  ; Br ; VF- ; 8 ; koga ; 18 
 2348 ; 1 пфенниг. Веймар ; 1929A ;  ; Br ; VF ; 13 ; tavitrof ; 23 
 2349 ; 1 пфенниг. Веймар ; 1933A ;  ; Br ; VF ; 16 ; koga ; 27 
 2350 ; 1 пфенниг. Веймар ; 1936A ;  ; Br ; F-VF ; 9 ; e(0_o)e ; 16 
 2351 ; 2 пфеннига. Германия ; 1911A ;  ; Cu ; VF ; 11 ; tavitrof ; 18 
 2352 ; 2 пфеннига. Германия ; 1912A ;  ; Cu ; VF- ; 12 ; koga ; 20 
 2353 ; 1 пфенниг. Германия. Деформация ; 1906A ;  ; Cu ; VF- ; 4 ; koga ; 13 
 2354 ; 1 пфенниг. Германия. Деформация ; 1907A ;  ; Cu ; F-VF ; 4 ; koga ; 13 
 2355 ; 1 пфенниг. Германия ; 1911A ;  ; Cu ; VF- ; 4 ; Doro ; 13 
 2356 ; 1 пфенниг. Германия ; 1912A ;  ; Cu ; VF- ; 4 ; Doro ; 13 
 2357 ; 1 доллар. США. Морган ; 1879 ;  ; Ag ; XF- ; 24 ; loshuligan ; 1500 
 2358 ; 1 доллар. США. Морган ; 1884S ;  ; Ag ; VF+ ; 54 ; waffe_ss ; 1335 
 2359 ; 1 доллар. США. Морган ; 1886 ;  ; Ag ; XF+ ; 47 ; Синоптик ; 1249 
 2360 ; 1 доллар. США. Морган ; 1889 ;  ; Ag ; AU ; 50 ; Вилкофф ; 1200 
 2361 ; 1 доллар. США. Морган ; 1890 ;  ; Ag ; AU ; 25 ; Синоптик ; 1249 
 2362 ; 1 доллар. США. Морган ; 1921 ;  ; Ag ; AU ; 33 ; Синоптик ; 1145 
 2263 ; 1/2 марки. Германия ; 1907F ;  ; Ag ; VF+ ; 43 ; skif ; 102 
 2264 ; 1/2 марки. Германия ; 1916A ;  ; Ag ; XF- ; 5 ; aleX13 ; 105 
 2265 ; 200 марок. Веймар ; 1923A ;  ; Al ; VF ; 40 ; Dom Perignon ; 47 
 2266 ; 50 пфеннигов. Веймар ; 1921A ;  ; Al ; VF+ ; 16 ; Arkhangel ; 25 
 2267 ; 50 пфеннигов. Веймар ; 1922G ;  ; Al ; XF- ; 23 ; lakomb ; 36 
 2268 ; 50 пфеннигов. Веймар ; 1920A ;  ; Al ; VF+ ; 13 ; solder13 ; 19 
 2269 ; 50 пфеннигов. Веймар ; 1922F ;  ; Al ; VF-XF ; 17 ; solder13 ; 26 
 2270 ; 50 пфеннигов. Веймар ; 1921D ;  ; Al ; F-VF ; 6 ; koga ; 14 
 2271 ; 10 пфеннигов. Германия ; 1900A ;  ; Cu-Ni ; VF ; 9 ; koga ; 15 
 2272 ; 10 пфеннигов. Германия ; 1900G ;  ; Cu-Ni ; VF ; 5 ; koga ; 14 
 2273 ; 10 пфеннигов. Германия ; 1900D ;  ; Cu-Ni ; VF ; 6 ; koga ; 15 
 2274 ; 10 пфеннигов. Германия ; 1901A ;  ; Cu-Ni ; VF ; 6 ; koga ; 15 
 2275 ; 10 пфеннигов. Германия ; 1906A ;  ; Cu-Ni ; VF+ ; 10 ; koga ; 17 
 2276 ; 10 пфеннигов. Германия ; 1907A ;  ; Cu-Ni ; VF+ ; 10 ; koga ; 18 
 2277 ; 10 пфеннигов. Германия ; 1908A ;  ; Cu-Ni ; VF+ ; 8 ; koga ; 15 
 2278 ; 10 пфеннигов. Германия ; 1908D ;  ; Cu-Ni ; VF+ ; 6 ; koga ; 15 
 2279 ; 10 пфеннигов. Германия ; 1911A ;  ; Cu-Ni ; VF+ ; 10 ; koga ; 18 
 2280 ; 10 пфеннигов. Германия ; 1911D ;  ; Cu-Ni ; VF ; 8 ; koga ; 17 
 2281 ; 10 пфеннигов. Германия ; 1912D ;  ; Cu-Ni ; VF+ ; 10 ; koga ; 18 
 2282 ; 10 пфеннигов. Германия ; 1912A ;  ; Cu-Ni ; XF- ; 48 ; ayy ; 49 
 2283 ; 10 пфеннигов. Германия ; 1913A ;  ; Cu-Ni ; VF-XF ; 13 ; peza_64 ; 19 
 2284 ; 10 пфеннигов. Германия ; 1914A ;  ; Cu-Ni ; VF-XF ; 9 ; lakomb ; 26 
 2285 ; 10 пфеннигов. Германия ; 1915A ;  ; Cu-Ni ; XF- ; 6 ; koga ; 14 
 2286 ; 5 пфеннигов. Германия ; 1900A ;  ; Cu-Ni ; VF ; 11 ; Doro ; 19 
 2287 ; 5 пфеннигов. Германия ; 1906A ;  ; Cu-Ni ; VF ; 8 ; koga ; 15 
 2288 ; 5 пфеннигов. Германия ; 1907A ;  ; Cu-Ni ; VF ; 8 ; koga ; 15 
 2289 ; 5 пфеннигов. Германия ; 1908A ;  ; Cu-Ni ; VF+ ; 10 ; feniks79 ; 18 
 2290 ; 5 пфеннигов. Германия ; 1911A ;  ; Cu-Ni ; VF+ ; 6 ; GBK ; 14 
 2291 ; 5 пфеннигов. Германия ; 1914A ;  ; Cu-Ni ; VF-XF ; 13 ; luchano ; 23 
 2292 ; 10 пфеннигов. Веймар ; 1924E ;  ; Al/Br ; VF ; 10 ; koga ; 17 
 2293 ; 10 пфеннигов. Веймар ; 1924J ;  ; Al/Br ; VF- ; 8 ; koga ; 17 
 2294 ; 10 пфеннигов. Веймар ; 1924A ;  ; Al/Br ; VF+ ; 12 ; lakomb ; 20 
 2295 ; 10 пфеннигов. Веймар ; 1925A ;  ; Al/Br ; VF+ ; 9 ; koga ; 16 
 2296 ; 5 пфеннигов. Веймар ; 1923A ;  ; Al/Br ; VF+ ; 12 ; SAV ; 28 
 2297 ; 5 пфеннигов. Веймар ; 1924A ;  ; Al/Br ; VF- ; 14 ; coin17 ; 32 
 2298 ; 5 пфеннигов. Веймар ; 1924D ;  ; Al/Br ; VF ; 9 ; koga ; 18 
 2299 ; 5 пфеннигов. Веймар ; 1924J ;  ; Al/Br ; VF+ ; 16 ; o.k. ; 28 
 2300 ; 5 пфеннигов. Веймар ; 1925A ;  ; Al/Br ; VF+ ; 10 ; solder13 ; 19 
 2301 ; 5 пфеннигов. Веймар ; 1925D ;  ; Al/Br ; VF ; 10 ; koga ; 18 
 2302 ; 5 пфеннигов. Веймар ; 1936A ;  ; Al/Br ; VF+ ; 28 ; coin17 ; 36 
 2303 ; 10 пфеннигов. Германия ; 1940A ;  ; Zn ; VF- ; 25 ; AIK60 ; 59 
 2304 ; 10 пфеннигов. Германия ; 1941D ;  ; Zn ; VF- ; 18 ; o.k. ; 28 
 2305 ; 10 пфеннигов. Германия ; 1941A ;  ; Zn ; VF- ; 21 ; AIK60 ; 57 
 2306 ; 10 пфеннигов. Германия ; 1943A ;  ; Zn ; VF ; 17 ; o.k. ; 55 
 2307 ; 10 пфеннигов. Германия ; 1944A ;  ; Zn ; VF ; 28 ; o.k. ; 36 
 2308 ; 5 пфеннигов. Германия ; 1940A ;  ; Zn ; F-VF ; 13 ; AIK60 ; 20 
 2309 ; 5 пфеннигов. Германия ; 1940B ;  ; Zn ; F-VF ; 10 ; e(0_o)e ; 19 
 2310 ; 5 пфеннигов. Германия ; 1941A ;  ; Zn ; VF- ; 15 ; o.k. ; 24 
 2311 ; 1 пфенниг. Германия ; 1940D ;  ; Zn ; VF- ; 7 ; o.k. ; 19 
 2312 ; 1 пфенниг. Германия ; 1940A ;  ; Zn ; F-VF ; 7 ; koga ; 14 
 2213 ; 2 ранда. ЮАР. М-8,02г ; 1967 ;  ; Au ; AU ; 28 ; sony ; 10000 
 2214 ; 2 шу. Япония. М-1,66г ; 1832-1858 ;  ; Au ; VF-XF ; 60 ; savlad ; 2505 
 2215 ; 2 шу. Япония. М-0,76г ; 1860-1869 ;  ; Au ; VF-XF ; 34 ; жора ; 1192 
 2216 ; 2 бу. Япония. М-3,04г ; 1868-1869 ;  ; Au ; VF-XF ; 57 ; savlad ; 3642 
 2217 ; Монета золотая. Индия. М-0,38г ;  ;  ; Au ; XF ; 43 ; mido137 ; 744 
 2218 ; Монета золотая. Индия. М-0,37г ;  ;  ; Au ; XF ; 25 ; kotyamoi ; 603 
 2219 ; Монета золотая. Индия. М-0,37г ;  ;  ; Au ; VF+ ; 23 ; кузин ; 591 
 2220 ; Монета золотая. Индия. М-0,4г ;  ;  ; Au ; XF- ; 24 ; sinisha ; 603 
 2221 ; 1 экю. Франция. Ремонт 12 часов ; 1705 ;  ; Ag ; F-VF ; 110 ; locator79 ; 1709 
 2222 ; Талер. Зальцбург. Ремонт 12 часов ; 1761 ;  ; Ag ; VF ; 69 ; Mmm ; 4271 
 2223 ; 1/12 талера. Пруссия ; 1701CS ;  ; Ag ; VF ; 28 ; OOOKKK ; 772 
 2224 ; 1/12 талера. Брауншвейг-Вольфенбюттель ; 1705HCH ;  ; Ag ; VF+ ; 61 ; usan ; 1190 
 2225 ; 3 крейцера. Германия, Баден ; 1815 ;  ; Ag ; F-VF ; 21 ; semen81 ; 163 
 2226 ; 1/8 гульдена. Нидерландская Индия (Батавская республика) ; 1802 ;  ; Ag ; XF ; 65 ; forward ; 2313 
 2227 ; 1 эскалин(шиллинг). Австрийские Нидерланды Бельгия, Мария Терезия ; 1750 ;  ; Ag ; F-VF ; 62 ; ввв ; 451 
 2228 ; 5 марок. Пруссия ; 1907A ;  ; Ag ; VF+/VF-XF ; 12 ; mva.37 ; 948 
 2229 ; 5 марок. Бавария ; 1913D ;  ; Ag ; XF+ ; 76 ; lokki2000 ; 1117 
 2230 ; 5 марок. Германия. Церковь в Потсдаме ; 1934A ;  ; Ag ; VF ; 2 ; Mike! ; 300 
 2231 ; 5 марок. Германия. Церковь в Потсдаме ; 1934D ;  ; Ag ; VF ; 4 ; alskr ; 323 
 2232 ; 5 марок. Германия. Церковь в Потсдаме ; 1934J ;  ; Ag ; VF+ ; 4 ; Mike! ; 313 
 2233 ; 5 марок. Германия. Пауль фрн Гинденбург ; 1935А ;  ; Ag ; F-VF ; 48 ; AIK60 ; 192 
 2234 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF-XF ; 12 ; минёр ; 415 
 2235 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936D ;  ; Ag ; VF+ ; 9 ; минёр ; 452 
 2236 ; 5 марок. Германия. Пауль фон Гинденбург ; 1938А ;  ; Ag ; VF-XF ; 63 ; AIK60 ; 416 
 2237 ; 3 марки. Баден ; 1911G ;  ; Ag ; VF-XF ; 16 ; Lott ; 1311 
 2238 ; 3 марки. Саксония. Битва под Лейпцигом. Убрана подвеска 12 часов ; 1913Е ;  ; Ag ; F-VF ; 58 ; минёр ; 529 
 2239 ; 3 марки. Веймар ; 1924А ;  ; Ag ; XF ; 67 ; ez ; 1558 
 2240 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; XF+ ; 17 ; lokki2000 ; 906 
 2241 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF ; 3 ; molodes ; 222 
 2242 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF-XF ; 2 ; Mike! ; 213 
 2243 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; VF-XF ; 2 ; Mike! ; 213 
 2244 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; VF-XF ; 2 ; Mike! ; 213 
 2245 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937E ;  ; Ag ; VF+ ; 15 ; Vadsux ; 225 
 2246 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937F ;  ; Ag ; VF+ ; 2 ; Mike! ; 213 
 2247 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF-XF ; 2 ; Mike! ; 213 
 2248 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; XF ; 2 ; Mike! ; 213 
 2249 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF+ ; 7 ; Vadsux ; 238 
 2250 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF-XF ; 3 ; peza_64 ; 218 
 2251 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938D ;  ; Ag ; VF-XF ; 2 ; Mike! ; 213 
 2252 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938E ;  ; Ag ; VF+ ; 7 ; Vadsux ; 240 
