 3607 ; Бона иностранная ;  ;  ;  ;  ; 25 ; tigris ; 71 
 2369 ; 1 доллар. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; AU ; 61 ; nik23455 ; 532 
 2370 ; 50 динаров. Югославия ; 1938 ;  ; Ag ; XF- ; 51 ; Mike! ; 301 
 2371 ; 10 злотых. Польша. Пилсудский ; 1939 ;  ; Ag ; XF- ; 50 ; alskr ; 816 
 2372 ; 100 крон. Чехословакия. Сталин ; 1949 ;  ; Ag ; XF/AU ; 79 ; rac717166 ; 1224 
 2373 ; 50 крон. Словакия. 5 годовщина независимости ; 1944 ;  ; Ag ; XF+ ; 31 ; salim ; 287 
 2374 ; 1 тенге. Бухара, Абд ал- Ахад ; 1892 (1311л.х.) ;  ; Ag ; F+ ; 40 ; sparrow ; 96 
 2375 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; VF ; 14 ; ADD ; 99 
 2376 ; 10 франков. Франция ; 1930 ;  ; Ag ; F-VF ; 28 ; pref ; 116 
 2377 ; 10 эре. Швеция ; 1931 ;  ; Ag ; VF- ; 9 ; Sani ; 38 
 2378 ; 10 эре. Швеция ; 1960 ;  ; Ag ; VF ; 10 ; Sani ; 40 
 2379 ; 25 эре. Швеция ; 1955 ;  ; Ag ; VF ; 6 ; igor6353 ; 100 
 2380 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; F-VF ; 76 ; miha ; 102 
 2381 ; 1 дайм. США ; 1943 ;  ; Ag ; VF- ; 17 ; molchun ; 227 
 2382 ; 1 метикал. Мозамбик ; 1980 ;  ; Al/Br ; XF- ; 32 ; alskr ; 36 
 2283 ; 1/2 пенни. Токен. Великобритания. Чичестер и Портсмут. Джон Говард - Филантроп. Гуртовая надпись ; 1794 ;  ; Cu ; VF+ ; 24 ; Sky2 ; 943 
 2284 ; 1 рупия. Португальская Индия ; 1935 ;  ; Ag ; VF-XF ; 62 ; staro ; 1116 
 2285 ; 1 доллар. Модель в другом металле. Австралия. Эдуард VIII не правил ; 1936 ;  ; Cu ; AU ; 58 ; rokada77 ; 807 
 2286 ; 1 су (1/2 пенни). Канада. Монреаль. Порт. Корабль ; 1852 ;  ; Cu ; F-VF ; 17 ; rokada77 ; 510 
 2287 ; 1 добль. 1 тип. Один год. Гернси ; 1830 ;  ; Cu ; VF- ; 26 ; егор ; 450 
 2288 ; Фартинг. 1 тип. Великобритания. Большой портрет ; 1912 ;  ; Br ; VF- ; 45 ; Al0851 ; 106 
 2289 ; Фартинг. Токен. Канада. Штат Колумбия ; ND ;  ; Cu ; VF- ; 43 ; rokada77 ; 691 
 2290 ; 5 кэш. Индия. Штат Майсор. Слон ; ND ;  ; Cu ; F ; 36 ; Sterh ; 167 
 2291 ; Монета медная. Восток ;  ;  ; Cu ; VG ; 2 ; raise ; 13 
 2292 ; 2 шиллинга. Великобритания ; 1965 ;  ; Cu-Ni ; F-VF ; 25 ; Al0851 ; 42 
 2293 ; 6 пенсов. Новая Зеландия ; 1955 ;  ; Cu-Ni ; VF+ ; 24 ; zx123 ; 71 
 2294 ; 50 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; F+ ; 24 ; Al0851 ; 36 
 2295 ; 10 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; F-VF ; 35 ; 161rus ; 63 
 2296 ; 1/4 доллара. США. Нью Хэмпшир ; 2000P ;  ; Cu-Ni ; XF- ; 15 ; sasa1369 ; 30 
 2297 ; 1 доллар. Канада. 100 лет Военному флоту ; 2010 ;  ; Cu-Ni-Zn ; AU ; 28 ; Dim888 ; 259 
 2298 ; 20 сенти. Литва ; 1925 ;  ; Al/Br ; VF- ; 57 ; o.k. ; 101 
 2299 ; 10 сенти. Литва ; 1925 ;  ; Al/Br ; VF- ; 46 ; verunk1 ; 169 
 2300 ; 6 пенсов. Австралия ; 1918М ;  ; Ag ; AU ; 46 ; murka1973 ; 863 
 2301 ; 1 лат. Латвия ; 1924 ;  ; Ag ; AU/VF- ; 28 ; verunk1 ; 157 
 2302 ; 1 рубль. Белоруссия. Наполеон Орда (1807-1883) ; 2007 ;  ; Cu/Ni ; Proof ; 53 ; Drum ; 223 
 2303 ; 200000 карбованцев. Украина. 50 лет ВОВ. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 10 ; staro ; 125 
 2304 ; 200000 карбованцев. Украина. Богдан Хмельницкий. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 20 ; staro ; 197 
 2305 ; 1000 эскудо. Португалия. Океан. Экспо 98 ; 1998 ;  ; Ag ; AU ; 41 ; ramik321 ; 441 
 2306 ; 500 эскудо. Португалия. Возвращение Макао Китаю ; 1999 ;  ; Ag ; AU ; 38 ; DVZ ; 306 
 2307 ; 10 эскудо. Португальская Ангола ; 1952 ;  ; Ag ; VF ; 39 ; aleX13 ; 306 
 2308 ; 500 лир. Сан-Марино ; 1973 ;  ; Ag ; AU ; 18 ; ramik321 ; 265 
 2309 ; 50 сентаво. Мексика ; 1944 ;  ; Ag ; XF+ ; 28 ; Ходор ; 302 
 2310 ; 25 сентаво. Мексика ; 1853 ;  ; Ag ; XF- ; 36 ; COIN961 ; 918 
 2311 ; 1000 йен. Япония. Олимпиада в Токио ; 1964 ;  ; Ag ; AU ; 137 ; Георг ; 1287 
 2312 ; 100 йен. Япония. Олимпиада в Токио ; 1964 ;  ; Ag ; XF ; 7 ; Опятор ; 183 
 2313 ; 1 флорин. Великобритания ; 1928 ;  ; Ag ; VF+ ; 9 ; DVZ ; 203 
 2314 ; 3 пенса. Великобритания ; 1922 ;  ; Ag ; VF ; 66 ; Рыба ; 90 
 2315 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 63 ; 161rus ; 102 
 2316 ; 1 франк. Французская Полинезия ; 1965 ;  ; Al ; AU ; 37 ; Sani ; 82 
 2317 ; 50 франков. Франция. Свобода, равенство, братство ; 1975 ;  ; Ag ; AU ; 30 ; Иа-Иа ; 607 
 2318 ; 1 крона. Бермудские острова. 350 лет основания колонии ; 1959 ;  ; Ag ; AU ; 58 ; Алек ; 1510 
 2319 ; 1 крона. Бермудские острова ; 1964 ;  ; Ag ; AU ; 24 ; Dim888 ; 532 
 2320 ; 50 центов. Австралия ; 1966 ;  ; Ag ; AU ; 15 ; tpls ; 393 
 2321 ; 1/2 кроны. Великобритания ; 1939 ;  ; Ag ; VF-XF ; 14 ; cash ; 160 
 2322 ; 1 цент. Канада ; 1899 ;  ; Br ; F+ ; 41 ; DVZ ; 122 
 2323 ; 1 цент. Канада ; 1916 ;  ; Br ; VF- ; 3 ; ratiandr ; 45 
 2324 ; 1 крона. Великобритания. Георг IV ; 1821 ;  ; Ag ; VF ; 75 ; vodianoy ; 2839 
 2325 ; 4 соль. Боливия ; 1830JL ;  ; Ag ; F-VF ; 109 ; xabib ; 692 
 2326 ; 5000 рейс. Бразилия. Сантос Дюмонт ; 1937 ;  ; Ag ; XF ; 9 ; COIN961 ; 237 
 2327 ; 100 йен. Япония ; 20 век ;  ; Ag ; XF+ ; 15 ; molchun ; 125 
 2328 ; 3 пенса. Новая Зеландия. Джордж V ; 1934 ;  ; Ag ; XF ; 31 ; sparrow ; 83 
 2329 ; 3 пенса. Новая Зеландия ; 1937 ;  ; Ag ; XF ; 25 ; Sterh ; 72 
 2330 ; 3 пенса. Южная Африка ; 1959 ;  ; Ag ; Unc/AU ; 57 ; tpls ; 110 
 2331 ; 1 шиллинг. Австралия ; 1960 ;  ; Ag ; VF ; 4 ; Ходор ; 104 
 2332 ; 1 шиллинг. Австралия ; 1961 ;  ; Ag ; VF ; 22 ; sparrow ; 88 
 2233 ; 10 пфеннигов. Германия ; 1940J ;  ; Zn ; VF ; 50 ; Marych ; 77 
 2234 ; 10 пфеннигов. Германия ; 1941A ;  ; Zn ; VF ; 33 ; Marych ; 49 
 2235 ; 10 пфеннигов. Германия ; 1941D ;  ; Zn ; F-VF ; 39 ; Marych ; 63 
 2236 ; 10 пфеннигов. Германия ; 1941E ;  ; Zn ; VF- ; 22 ; Marych ; 136 
 2237 ; 10 пфеннигов. Германия ; 1941F ;  ; Zn ; VF- ; 23 ; Marych ; 137 
 2238 ; 10 пфеннигов. Германия ; 1941G ;  ; Zn ; VF- ; 34 ; Marych ; 125 
 2239 ; 10 пфеннигов. Германия ; 1945A ;  ; Zn ; F-VF ; 54 ; ВМШ ; 310 
 2240 ; 10 пфеннигов. Германия ; 1945E ;  ; Zn ; F-VF ; 126 ; кве ; 1390 
 2241 ; 25 сентимов. Французская колония. Камбоджа. Нородом I ; 1860 ;  ; Ag ; F-VF ; 39 ; fordewind ; 2405 
 2242 ; 3 су. 2 тип с линейным ободком. Французская колония. Isles de France et de bourbon (О-ва Реюньон и Маврикий). Один год чеканки ; 1781A ;  ; Ag ; F ; 66 ; overshtag ; 2133 
 2243 ; 1 дуит в другом металле в серебре. Нидерландская Индия. Восточно-Индийская компания. Провинция Голландия ; 1755 ;  ; Ag ; VF+ ; 81 ; overshtag ; 2613 
 2244 ; 1 рупия. Португальская Индия. ГОА. Мария I (1788-1799). Время правления Жао - принца-регета ; 1806 ;  ; Ag ; VF- ; 79 ; kont ; 4393 
 2245 ; 160 рейс. Португальская колония. Бразилия. Жао - принц-регент в изгнании. Рио-де-Жанейро ; 1813R ;  ; Ag ; F-VF ; 85 ; shest ; 1661 
 2246 ; 12 хумси. Йемен. Султанат. Сейюм Тарим ; 1897 (1315лх) ;  ; Ag ; VF ; 123 ; overshtag ; 2142 
 2247 ; 18 пенсов - 1-1/2 шиллинга. Серебряный токен. Великобритания. Peterborouch ; 1811 ;  ; Ag ; F-VF ; 27 ; overshtag ; 2513 
 2248 ; 1/2 кроны. 1 тип. Великобритания. Георг IV. 1 портрет ; 1820 ;  ; Ag ; VF ; 103 ; vicnic ; 6200 
 2249 ; 6 пенсов. 2 тип. Великобритания. Георг IV. 1 портрет ; 1825 ;  ; Ag ; VF+ ; 36 ; overshtag ; 1508 
 2250 ; 1 доллар (юань). 7 иероглифов. Другой тип. Китай ; 1919 ;  ; Ag ; AU ; 79 ; hugo ; 3513 
 2251 ; 2 шиллинга. Родезия и Ньясаленд. В другом металле ; 1955 ;  ; Ag ; Proof-Like ; 67 ; shest ; 3176 
 2252 ; 6 пенсов. Родезия и Ньясаленд. В другом металле ; 1955 ;  ; Ag ; Proof-Like ; 80 ; shest ; 1010 
 2253 ; 3 пенса. Родезия и Ньясаленд. В другом металле ; 1955 ;  ; Ag ; Proof-Like ; 24 ; shest ; 907 
 2254 ; 1 рупия. Индия. Штат Камшир ; 1876 ;  ; Ag ; VF+ ; 84 ; samsey ; 1450 
 2255 ; 4 пенса. Британская Гайяна и Западная Индия. Виктория ; 1891 ;  ; Ag ; AU ; 67 ; overshtag ; 1344 
 2256 ; 4 пенса. Британская Гайяна и Западная Индия. Эдуард VII ; 1910 ;  ; Ag ; XF/AU ; 51 ; hugo ; 2614 
 2257 ; 4 пенса. Британская Гайяна и Западная Индия. Георг V ; 1911 ;  ; Ag ; VF-XF ; 77 ; kont ; 956 
 2258 ; 4 пенса. Британская Гайяна. Георг VI ; 1942 ;  ; Ag925 ; XF ; 56 ; overshtag ; 850 
 2259 ; 4 пенса. В другой пробе. Британская Гайяна. Георг VI ; 1945 ;  ; Ag500 ; XF/AU ; 67 ; overshtag ; 831 
 2260 ; 10 центов. Восточная Африка и Уганда протекторат ; 1907 ;  ; Cu-Ni ; VF ; 72 ; max1958 ; 720 
 2261 ; 1 цент. Восточная Африка и Уганда протекторат ; 1909 ;  ; Cu-Ni ; VF+ ; 69 ; max1958 ; 709 
 2262 ; 1/2 цента. Восточная Африка и Уганда протекторат ; 1909 ;  ; Cu-Ni ; VF ; 74 ; max1958 ; 1587 
 2263 ; 1/2 цента. Британская Канада. Провинция Новая Шотландия ; 1861 ;  ; Cu ; VF ; 130 ; staro ; 1428 
 2264 ; 1/2 стивера. Британская колония. О. Цейлон. Георг III ; 1815 ;  ; Cu ; F-VF ; 86 ; aleX13 ; 2299 
 2265 ; 1/2 дуита. Нидерландская Индия. Восточная Индийская компания. Провинция Голландия ; 1770 ;  ; Cu ; F ; 22 ; overshtag ; 200 
 2266 ; 1 цент. Тип. Liberty Cap. США. Гуртовая надпись ; 1793-1796 ;  ; Cu ; F/VG ; 90 ; overshtag ; 4498 
 2267 ; 1/2 пенни. США. Северо-Американский токен. Корабль и Сидящая Ирландия ; 1781 ;  ; Cu ; F+ ; 30 ; forward ; 1495 
 2268 ; 1/4 цента. Фартинг. Токен военного времени. США. Нью-Йорк. Портрет Дж. Вашингтона ; ND ;  ; Cu ; VF+ ; 49 ; overshtag ; 1093 
 2269 ; 15 рейс (1/4 танги). Надчекан "15" на 15 рейсах Португальской Индии Жао VI. Португальская Индия. ГОА ; ND(1846) ;  ; Cu ; VG ; 59 ; shest ; 976 
 2270 ; 1 далер. Заемные деньги Карла XII. Швеция. Юпитер с орлом ; 1718SM ;  ; Cu ; VF ; 57 ; кве ; 4080 
 2271 ; 1/2 пенни. 1 тип. Великобритания. Георг II - молодой ; 1730 ;  ; Cu ; VF- ; 28 ; чусер ; 1502 
 2272 ; 1/2 пенни. Великобритания. Бирмингем. Монетная и медная компания. Гурт надпись ; 1792 ;  ; Cu ; VF- ; 19 ; kont ; 1024 
 2273 ; 1/2 пенни. Великобритания. Бристоль. Мост. Разговор 2- мужчин: - Я хочу купить что-нибудь дешево. - Тогда идите на Бридж стрит ; 1795 ;  ; Cu ; F-VF ; 44 ; sergeygor ; 1440 
 2274 ; 1/2 пенни. Великобритания. Бат. Блад - основатель города. Гурт шнур ; 1795 ;  ; Cu ; VF ; 23 ; overshtag ; 858 
 2275 ; 1/2 пенни. Британская Канада ; 1815 ;  ; Cu ; F-VF ; 38 ; overshtag ; 685 
 2276 ; 1/2 пенни. Остров Мэн ; 1758 ;  ; Cu ; VF- ; 38 ; overshtag ; 1730 
 2277 ; 1/4 пенни (фартинг). Великобритания. Исаак Ньютон ; 1793 ;  ; Cu ; VF- ; 23 ; Ramzess ; 1225 
 2278 ; 1 пенни. Великобритания. Бат. Блад - основатель города. 2 тип. Гуртовая надпись ; 1794 ;  ; Cu ; VF- ; 48 ; чусер ; 1138 
 2279 ; 1 гинея. Весовая гирька для взвешивания золотых монет. Великобритания. Георг I ;  ;  ; Cu ; F-VF ; 41 ; badiba-coin ; 1375 
 2280 ; 1/5 рупии (1 mat=2mu). Британская Бирма ; 1865 ;  ; Ag ; VF- ; 95 ; Sky2 ; 1019 
 2281 ; 2 шиллинга. Модель. Великобритания. Нюрнберг. D-12мм ; 1887 ;  ; Zn ; F-VF ; 103 ; Рыба ; 487 
 2282 ; 10 рупий. Британская колония. Сейшельские острова ; 1974 ;  ; Ag ; Proof ; 55 ; omahalov ; 933 
 2183 ; 5 пфеннигов. Германия ; 1919D ;  ; Fe ; VF-XF ; 31 ; Анатоль ; 55 
 2184 ; 5 пфеннигов. Германия ; 1919E ;  ; Fe ; XF ; 24 ; ship-nik ; 34 
 2185 ; 5 пфеннигов. Германия ; 1919F ;  ; Fe ; VF+ ; 18 ; Опятор ; 19 
 2186 ; 5 пфеннигов. Германия ; 1919J ;  ; Fe ; XF+ ; 40 ; kroxa ; 39 
 2187 ; 10 пфеннигов. Германия ; 1930D ;  ; Al/Br ; VF- ; 50 ; Анатоль ; 102 
 2188 ; 10 пфеннигов. Германия ; 1930E ;  ; Al/Br ; XF- ; 33 ; Майкл ; 102 
 2189 ; 10 пфеннигов. Германия ; 1930F ;  ; Al/Br ; VF-XF ; 21 ; Marych ; 37 
 2190 ; 10 пфеннигов. Германия ; 1930G ;  ; Al/Br ; VF ; 18 ; Marych ; 49 
 2191 ; 10 пфеннигов. Германия ; 1930J ;  ; Al/Br ; VF+ ; 16 ; Marych ; 41 
 2192 ; 10 пфеннигов. Германия ; 1931F ;  ; Al/Br ; VF ; 14 ; Marych ; 66 
 2193 ; 10 пфеннигов. Германия ; 1932A ;  ; Al/Br ; VF ; 15 ; Опятор ; 19 
 2194 ; 10 пфеннигов. Германия ; 1932E ;  ; Al/Br ; XF ; 10 ; Marych ; 49 
 2195 ; 10 пфеннигов. Германия ; 1934A ;  ; Al/Br ; XF- ; 14 ; Marych ; 43 
 2196 ; 10 пфеннигов. Германия ; 1934D ;  ; Al/Br ; XF ; 19 ; Marych ; 49 
 2197 ; 5 пфеннигов. Германия ; 1924A ;  ; Al/Br ; VF-XF ; 14 ; vol ; 22 
 2198 ; 5 пфеннигов. Германия ; 1924D ;  ; Al/Br ; VF+ ; 19 ; Опятор ; 19 
 2199 ; 5 пфеннигов. Германия ; 1924F ;  ; Al/Br ; VF+ ; 22 ; Marych ; 45 
 2200 ; 5 пфеннигов. Германия ; 1924G ;  ; Al/Br ; VF- ; 14 ; Marych ; 16 
 2201 ; 5 пфеннигов. Германия ; 1924J ;  ; Al/Br ; VF ; 21 ; Marych ; 33 
 2202 ; 5 пфеннигов. Германия ; 1924A ;  ; Al/Br ; VF+ ; 22 ; Marych ; 51 
 2203 ; 5 пфеннигов. Германия ; 1924D ;  ; Al/Br ; VF-XF ; 21 ; Marych ; 20 
 2204 ; 5 пфеннигов. Германия ; 1924E ;  ; Al/Br ; VF+ ; 11 ; Marych ; 32 
 2205 ; 5 пфеннигов. Германия ; 1924G ;  ; Al/Br ; VF+ ; 13 ; Marych ; 37 
 2206 ; 5 пфеннигов. Германия ; 1924J ;  ; Al/Br ; VF ; 12 ; Marych ; 33 
 2207 ; 2 пфеннига. Германия ; 1924A ;  ; Cu ; VF+ ; 49 ; Анатоль ; 57 
 2208 ; 2 пфеннига. Германия ; 1924D ;  ; Cu ; VF- ; 35 ; Опятор ; 36 
 2209 ; 2 пфеннига. Германия ; 1924E ;  ; Cu ; VF- ; 8 ; МАВ21 ; 28 
 2210 ; 2 пфеннига. Германия ; 1924F ;  ; Cu ; VF-XF ; 22 ; sparrow ; 41 
 2211 ; 2 пфеннига. Германия ; 1924G ;  ; Cu ; XF- ; 16 ; Опятор ; 33 
 2212 ; 2 пфеннига. Германия ; 1924J ;  ; Cu ; VF- ; 14 ; Опятор ; 17 
 2213 ; 2 пфеннига. Германия ; 1924A ;  ; Cu ; VF ; 14 ; Опятор ; 33 
 2214 ; 2 пфеннига. Германия ; 1924D ;  ; Cu ; VF+ ; 9 ; Опятор ; 31 
 2215 ; 2 пфеннига. Германия ; 1924E ;  ; Cu ; VF+ ; 20 ; Marych ; 43 
 2216 ; 2 пфеннига. Германия ; 1924F ;  ; Cu ; XF- ; 23 ; DVZ ; 36 
 2217 ; 2 пфеннига. Германия ; 1924G ;  ; Cu ; VF+ ; 27 ; DVZ ; 40 
 2218 ; 2 пфеннига. Германия ; 1924J ;  ; Cu ; XF- ; 21 ; DVZ ; 31 
 2219 ; 1 пфенниг. Германия ; 1927A ;  ; Cu ; VF-XF ; 26 ; Анатоль ; 37 
 2220 ; 1 пфенниг. Германия ; 1928D ;  ; Cu ; VF+ ; 27 ; МАВ21 ; 45 
 2221 ; 1 пфенниг. Германия ; 1929G ;  ; Cu ; XF- ; 21 ; molchun ; 51 
 2222 ; 1 пфенниг. Германия ; 1930A ;  ; Cu ; VF-XF ; 18 ; Опятор ; 19 
 2223 ; 1 пфенниг. Германия ; 1931E ;  ; Cu ; XF ; 12 ; Marych ; 36 
 2224 ; 1 пфенниг. Германия ; 1933A ;  ; Cu ; XF+ ; 26 ; lsp25 ; 51 
 2225 ; 1 пфенниг. Германия ; 1934G ;  ; Cu ; XF ; 22 ; lsp25 ; 78 
 2226 ; 1 пфенниг. Германия ; 1935A ;  ; Cu ; XF+ ; 18 ; lsp25 ; 71 
 2227 ; 1 пфенниг. Германия ; 1936A ;  ; Cu ; XF ; 24 ; lsp25 ; 79 
 2228 ; 10 пфеннигов. Германия ; 1940B ;  ; Zn ; VF ; 46 ; Marych ; 72 
 2229 ; 10 пфеннигов. Германия ; 1940D ;  ; Zn ; F-VF ; 35 ; Marych ; 125 
 2230 ; 10 пфеннигов. Германия ; 1940E ;  ; Zn ; VF- ; 28 ; Marych ; 124 
 2231 ; 10 пфеннигов. Германия ; 1940F ;  ; Zn ; VF ; 47 ; Marych ; 126 
 2232 ; 10 пфеннигов. Германия ; 1940G ;  ; Zn ; VF- ; 37 ; Marych ; 126 
 2133 ; 10 пфеннигов. Германия ; 1888D ;  ; Cu-Ni ; VF+ ; 48 ; DVZ ; 47 
 2134 ; 10 пфеннигов. Германия ; 1889A ;  ; Cu-Ni ; VF- ; 14 ; Опятор ; 20 
 2135 ; 10 пфеннигов. Германия ; 1892A ;  ; Cu-Ni ; VF ; 22 ; marinessav ; 20 
 2136 ; 10 пфеннигов. Германия ; 1893A ;  ; Cu-Ni ; VF+ ; 19 ; Опятор ; 20 
 2137 ; 10 пфеннигов. Германия ; 1897A ;  ; Cu-Ni ; VF- ; 19 ; Опятор ; 20 
 2138 ; 10 пфеннигов. Германия ; 1899F ;  ; Cu-Ni ; VF-XF ; 19 ; Опятор ; 20 
 2139 ; 10 пфеннигов. Германия ; 1900A ;  ; Cu-Ni ; VF ; 25 ; МАВ21 ; 34 
 2140 ; 10 пфеннигов. Германия ; 1903G ;  ; Cu-Ni ; XF- ; 23 ; xct ; 39 
 2141 ; 10 пфеннигов. Германия ; 1904J ;  ; Cu-Ni ; XF- ; 11 ; xct ; 33 
 2142 ; 10 пфеннигов. Германия ; 1905F ;  ; Cu-Ni ; VF+ ; 9 ; Опятор ; 20 
 2143 ; 10 пфеннигов. Германия ; 1906G ;  ; Cu-Ni ; VF+ ; 11 ; xct ; 30 
 2144 ; 10 пфеннигов. Германия ; 1908A ;  ; Cu-Ni ; XF- ; 19 ; Опятор ; 22 
 2145 ; 10 пфеннигов. Германия ; 1911G ;  ; Cu-Ni ; XF- ; 21 ; xct ; 27 
 2146 ; 10 пфеннигов. Германия ; 1912E ;  ; Cu-Ni ; XF ; 20 ; Опятор ; 20 
 2147 ; 10 пфеннигов. Германия ; 1913D ;  ; Cu-Ni ; XF+ ; 20 ; Опятор ; 20 
 2148 ; 5 пфеннигов. Германия ; 1874A ;  ; Cu-Ni ; VF- ; 12 ; ship-nik ; 20 
 2149 ; 5 пфеннигов. Германия ; 1875C ;  ; Cu-Ni ; VF ; 10 ; ship-nik ; 20 
 2150 ; 5 пфеннигов. Германия ; 1888A ;  ; Cu-Ni ; VF+ ; 31 ; ship-nik ; 35 
 2151 ; 5 пфеннигов. Германия ; 1890D ;  ; Cu-Ni ; VF- ; 11 ; marinessav ; 21 
 2152 ; 5 пфеннигов. Германия ; 1891A ;  ; Cu-Ni ; VF ; 9 ; Опятор ; 21 
 2153 ; 5 пфеннигов. Германия ; 1894A ;  ; Cu-Ni ; VF ; 8 ; ship-nik ; 20 
 2154 ; 5 пфеннигов. Германия ; 1897D ;  ; Cu-Ni ; VF-XF ; 9 ; Опятор ; 21 
 2155 ; 5 пфеннигов. Германия ; 1898A ;  ; Cu-Ni ; VF+ ; 11 ; molchun ; 21 
 2156 ; 5 пфеннигов. Германия ; 1899D ;  ; Cu-Ni ; VF-XF ; 16 ; Опятор ; 21 
 2157 ; 5 пфеннигов. Германия ; 1900A ;  ; Cu-Ni ; VF+ ; 32 ; МАВ21 ; 36 
 2158 ; 5 пфеннигов. Германия ; 1905E ;  ; Cu-Ni ; XF ; 20 ; xct ; 33 
 2159 ; 5 пфеннигов. Германия ; 1910F ;  ; Cu-Ni ; XF- ; 17 ; Опятор ; 21 
 2160 ; 5 пфеннигов. Германия ; 1911J ;  ; Cu-Ni ; XF ; 29 ; Опятор ; 31 
 2161 ; 5 пфеннигов. Германия ; 1912A ;  ; Cu-Ni ; XF ; 19 ; Опятор ; 21 
 2162 ; 5 пфеннигов. Германия ; 1913F ;  ; Cu-Ni ; XF ; 17 ; ship-nik ; 20 
 2163 ; 2 пфеннига. Германия ; 1875C ;  ; Cu ; VF- ; 21 ; molchun ; 28 
 2164 ; 2 пфеннига. Германия ; 1876F ;  ; Cu ; VF- ; 10 ; Опятор ; 20 
 2165 ; 2 пфеннига. Германия ; 1906D ;  ; Cu ; VF ; 22 ; Анатоль ; 29 
 2166 ; 2 пфеннига. Германия ; 1907A ;  ; Cu ; XF ; 7 ; Опятор ; 33 
 2167 ; 2 пфеннига. Германия ; 1908J ;  ; Cu ; XF ; 24 ; zx123 ; 32 
 2168 ; 2 пфеннига. Германия ; 1911G ;  ; Cu ; XF ; 30 ; partanen ; 44 
 2169 ; 2 пфеннига. Германия ; 1912F ;  ; Cu ; XF- ; 7 ; DVZ ; 42 
 2170 ; 2 пфеннига. Германия ; 1913A ;  ; Cu ; XF+ ; 6 ; vodianoy ; 46 
 2171 ; 2 пфеннига. Германия ; 1916D ;  ; Cu ; XF ; 21 ; DVZ ; 51 
 2172 ; 5 пфеннигов. Германия ; 1915A ;  ; Fe ; VF-XF ; 18 ; Опятор ; 17 
 2173 ; 5 пфеннигов. Германия ; 1915F ;  ; Fe ; VF+ ; 20 ; omahalov ; 21 
 2174 ; 5 пфеннигов. Германия ; 1915F ;  ; Fe ; XF ; 19 ; ШВС59 ; 61 
 2175 ; 5 пфеннигов. Германия ; 1915G ;  ; Fe ; VF- ; 11 ; Опятор ; 11 
 2176 ; 5 пфеннигов. Германия ; 1915J ;  ; Fe ; VF+ ; 14 ; omahalov ; 49 
 2177 ; 5 пфеннигов. Германия ; 1917A ;  ; Fe ; VF ; 22 ; Опятор ; 22 
 2178 ; 5 пфеннигов. Германия ; 1918A ;  ; Fe ; VF ; 11 ; Опятор ; 21 
 2179 ; 5 пфеннигов. Германия ; 1918E ;  ; Fe ; VF+ ; 23 ; димитрий ; 23 
 2180 ; 5 пфеннигов. Германия ; 1918F ;  ; Fe ; VF-XF ; 10 ; Опятор ; 21 
 2181 ; 5 пфеннигов. Германия ; 1918J ;  ; Fe ; XF ; 14 ; Опятор ; 22 
 2182 ; 5 пфеннигов. Германия ; 1919A ;  ; Fe ; VF ; 14 ; Опятор ; 19 
 2083 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; XF ; 10 ; ADD ; 102 
 2084 ; 5 шиллингов. Австрия ; 1968 ;  ; Ag ; AU ; 7 ; tpls ; 294 
 2085 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; XF+ ; 18 ; lesnik1 ; 100 
 2086 ; 1 крона. Австрия ; 1916 ;  ; Ag ; AU ; 16 ; vodianoy ; 238 
 2087 ; 1 крона. Австрия ; 1913 ;  ; Ag ; AU ; 65 ; tasmandevil ; 143 
 2088 ; 1 крона. Австрия ; 1914 ;  ; Ag ; XF+ ; 16 ; tasmandevil ; 124 
 2089 ; 1 крона. Австрия ; 1915 ;  ; Ag ; AU ; 16 ; tasmandevil ; 157 
 2090 ; 1 рупия. Британская Индия ; 1940 ;  ; Ag ; VF-XF ; 36 ; _1111_ ; 318 
 2091 ; 1 шиллинг. Великобритания ; 1939 ;  ; Ag ; VF+ ; 22 ; ayy ; 150 
 2092 ; 2 кроны. Эстонияю. Крепость Томпеа ; 1930 ;  ; Ag ; VF ; 37 ; miha ; 366 
 2093 ; 25 сенти. Эстония ; 1928 ;  ; Ni/Br ; VF ; 71 ; aleX13 ; 308 
 2094 ; 5 марок. Эстония ; 1924 ;  ; Ni/Br ; VF ; 28 ; dsp ; 314 
 2095 ; 10 центов. Восточная Африка ; 1936 ;  ; Br ; VF ; 9 ; ADD ; 160 
 2096 ; 1/12 шиллинга. Джерси ; 1933 ;  ; Br ; VF-XF ; 49 ; toto ; 126 
 2097 ; 1/24 шиллинга. Джерси ; 1937 ;  ; Br ; XF- ; 61 ; Dim888 ; 128 
 2098 ; 1 шиллинг. Восточная Африка ; 1950 ;  ; Cu-Ni ; VF+ ; 26 ; zx123 ; 61 
