 5894 ; Бона иностранная ;  ;  ;  ;  ; 3 ; OlegFox ; 21 
 3701 ; 1 лира. Турция ; 2005 ;  ; Би/м ; XF+ ; 6 ; Indys ; 20 
 3702 ; 1000 лир. Италия ; 1998 ;  ; Би/м ; XF+ ; 8 ; Komod ; 77 
 3703 ; 200 эскудо. Португалия ; 1995 ;  ; Би/м ; XF+ ; 21 ; roman302 ; 148 
 3704 ; 200 эскудо. Португалия ; 1991 ;  ; Би/м ; VF-XF ; 15 ; Elephant ; 43 
 3705 ; 2 евро. Франция. Шарль де Голь ; 2010 ;  ; Би/м ; XF- ; 23 ; толстяк ; 177 
 3706 ; 2 евро. Финляндия. Хелен Шерфбек ; 2012 ;  ; Би/м ; XF+ ; 13 ; толстяк ; 113 
 3707 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 11 ; 45фунт ; 108 
 3708 ; 2 евро. Финляндия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 9 ; brat52 ; 105 
 3709 ; 2 евро. Италия. Конституционная реформа ; 2005 ;  ; Би/м ; XF ; 18 ; толстяк ; 169 
 3710 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 13 ; Nik74 ; 290 
 3711 ; 500 лир. Сан-Марино ; 1987 ;  ; Би/м ; XF ; 17 ; daadar ; 108 
 3712 ; 500 лир. Сан-Марино ; 1986 ;  ; Би/м ; XF ; 13 ; тарнум ; 93 
 3713 ; 10 сентимов. Франция ; 1862 ;  ; Cu ; VF ; 8 ; taa ; 77 
 3714 ; 2 сентаво. Аргентина ; 1891 ;  ; Cu ; VF ; 19 ; наташа2712 ; 110 
 3715 ; 2 новых пенса. Джерси ; 1971 ;  ; Br ; XF+ ; 3 ; Legio ; 55 
 3716 ; 5 миллимов. Ливия ; 1952 ;  ; Br ; XF ; 14 ; gusar ; 83 
 3717 ; 10 сентимов. Тунис ; 1891 ;  ; Cu ; F ; 50 ; DVZ ; 142 
 3718 ; 1 цент. США ; 1907 ;  ; Br ; VF- ; 9 ; viktor2205 ; 47 
 3719 ; 20 рейс. Бразиялия ; 1869 ;  ; Cu ; VF+ ; 29 ; faga2003 ; 308 
 3720 ; 200 эскудо. Португалия. Первое посольство ; 1993 ;  ; Cu-Ni ; AU ; 8 ; Omeron ; 121 
 3721 ; 5 рупий. Маврикий ; 1991 ;  ; Cu-Ni ; AU ; 9 ; gusar ; 57 
 3722 ; 20 центов. Австралия ; 2010 ;  ; Cu-Ni ; XF- ; 7 ; avstraliez2 ; 26 
 3723 ; 2 франка. Франция ; 1993 ;  ; Cu-Ni ; AU ; 6 ; gusar ; 57 
 3724 ; 100 франков. Франция ; 1955 ;  ; Cu-Ni ; XF ; 20 ; bv812 ; 77 
 3725 ; 1/4 доллара. США ; 1963D ;  ; Ag ; XF ; 24 ; Yamilov ; 253 
 3726 ; 5 евро. Финляндия. Чемпионат мира по хоккею на льду 2012 в Стокгольме ; 2012 ;  ; Би/м ; AU ; 30 ; Friday ; 327 
 3727 ; 3 евро. Словения. Любляна-столица книги ; 2010 ;  ; Би/м ; AU ; 20 ; molodes ; 163 
 3728 ; 3 евро. Словения. Первая Олимпийская медаль ; 2012 ;  ; Би/м ; AU ; 23 ; mefody73 ; 175 
 3729 ; 2 евро. Словения. 100 лет со дня рождения Франца Розмана ; 2011 ;  ; Би/м ; AU ; 17 ; толстяк ; 169 
 3730 ; 2 евро. Бельгия. 100 лет Международному женскому дню ; 2011 ;  ; Би/м ; AU ; 15 ; толстяк ; 115 
 3731 ; 2 евро. Словакия. 20 лет формирования Вишеградской группы ; 2011 ;  ; Би/м ; AU ; 9 ; brat52 ; 111 
 3732 ; 2 евро. Финляндия "10 лет наличному обращению евро" ; 2012 ;  ; Би/м ; AU ; 8 ; D-503 ; 111 
 3733 ; 2 евро. Германия "10 лет наличному обращению евро" ; 2012 ;  ; Би/м ; AU ; 7 ; Savbeer ; 111 
 3734 ; 2 евро. Австрия "10 лет наличному обращению евро" ; 2012 ;  ; Би/м ; AU ; 15 ; Darhik ; 144 
 3735 ; 2 евро. Словакия "10 лет наличному обращению евро" ; 2012 ;  ; Би/м ; AU ; 7 ; Savbeer ; 111 
 3736 ; 2 евро. Словения "10 лет наличному обращению евро" ; 2012 ;  ; Би/м ; AU ; 6 ; brat52 ; 82 
 3737 ; 2 евро. Германия. Замок Нойшванштайн ; 2012 ;  ; Би/м ; AU ; 22 ; толстяк ; 161 
 3738 ; 2 евро. Люксембург. 100 лет со дня смерти Великого герцога Люксембургского ; 2012 ;  ; Би/м ; AU ; 15 ; brat52 ; 112 
 3739 ; 2 евро. Словения. Ботанический сад в Любляне ; 2010 ;  ; Би/м ; AU ; 16 ; толстяк ; 179 
 3740 ; 2 евро. Ватикан ; 2010 ;  ; Би/м ; AU ; 50 ; gavrosh ; 1260 
 3741 ; 2 евро. Греция ; 2010 ;  ; Би/м ; AU ; 16 ; толстяк ; 181 
 3742 ; 2 евро. Италия ; 2012 ;  ; Би/м ; AU ; 17 ; djon.777 ; 164 
 3643 ; 20 рейс. Перечекан. Португальская колония. Азорские острова. Мария I. Перечекан на 10 рейсах Португалии 1790г ; 1795 ;  ; Cu ; F-VF ; 47 ; opus ; 693 
 3644 ; 1 пенни. Токен. Англия. Cripplegate ; 1797 ;  ; Cu ; AU ; 55 ; джокер ; 2520 
 3645 ; 200 эскудо. Португалия/ Rjkev, ; 1991 ;  ; Cu-Ni ; AU ; 8 ; Волк33 ; 102 
 3646 ; 5 крон. Дания ; 1961 ;  ; Cu-Ni ; XF ; 25 ; kergudu ; 44 
 3647 ; 1 лира. Мальта ; 1991 ;  ; Cu-Ni ; XF- ; 10 ; Anatol435 ; 74 
 3648 ; 200 песет. Испания ; 1986 ;  ; Cu-Ni ; VF-XF ; 6 ; alex995 ; 23 
 3649 ; 1 шиллинг. Восточная Африка ; 1952 ;  ; Cu-Ni ; XF ; 12 ; banks ; 155 
 3650 ; 1/2 доллара. США ; 1979D ;  ; Cu-Ni ; XF ; 9 ; Yamilov ; 38 
 3651 ; 2 доллара. Гон-Конг ; 1986 ;  ; Cu-Ni ; VF ; 19 ; nik23455 ; 42 
 3652 ; 1/2 рупии. Маврикий ; 2009 ;  ; Cu-Ni ; XF ; 10 ; buben ; 41 
 3653 ; 25 центов. Барбадос ; 1973 ;  ; Cu-Ni ; XF ; 11 ; faga2003 ; 30 
 3654 ; 50 сен. Бруней ; 1970 ;  ; Cu-Ni ; XF- ; 17 ; Tche ; 102 
 3655 ; 1 доллар. Гон-Конг ; 1994 ;  ; Cu-Ni ; VF ; 5 ; bethowen ; 45 
 3656 ; 1 франк. Франция ; 1992 ;  ; Cu-Ni ; AU ; 10 ; gusar ; 62 
 3657 ; 10 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; XF- ; 8 ; valent77 ; 54 
 3658 ; 1 руфия. Мальдивы ; 1982 ;  ; Cu-Ni ; AU ; 11 ; gusar ; 62 
 3659 ; 1/2 доллара. США ; 1976D ;  ; Cu-Ni ; AU ; 6 ; Yamilov ; 51 
 3660 ; 1 франк. Люксембург ; 1970 ;  ; Cu-Ni ; XF ; 18 ; Pipe ; 28 
 3661 ; 50 эре. Норвегия ; 1929 ;  ; Cu-Ni ; VF ; 5 ; Komod ; 57 
 3662 ; 5 сентимов. Люксембург ; 1908 ;  ; Cu-Ni ; VF ; 18 ; av ; 130 
 3663 ; 2 евро. Финляндия ; 2009 ;  ; Би/м ; XF+ ; 13 ; Legio ; 160 
 3664 ; 2 евро. Испания ; 2005 ;  ; Би/м ; XF ; 18 ; толстяк ; 180 
 3665 ; 2 евро. Финляндия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF+ ; 9 ; molodes ; 107 
 3666 ; 2 евро. Финляндия ; 2006 ;  ; Би/м ; XF ; 15 ; толстяк ; 153 
 3667 ; 2 евро. Эстония ; 2012 ;  ; Би/м ; XF ; 7 ; brat52 ; 101 
 3668 ; 2 евро. Италия ; 2004 ;  ; Би/м ; XF ; 16 ; толстяк ; 155 
 3669 ; 500 лир. Сан-Марино ; 1993 ;  ; Би/м ; AU ; 15 ; тарнум ; 102 
 3670 ; 500 лир. Италия ; 1998 ;  ; Би/м ; AU ; 21 ; тарнум ; 95 
 3671 ; 1 франк. Французская Полинезия ; 1987 ;  ; Al ; VF ; 7 ; wagner ; 36 
 3672 ; 2 лиры. Италия ; 1939 ;  ; St ; XF+ ; 20 ; gusar ; 115 
 3673 ; 20 чентезимо. Италия ; 1941 ;  ; St ; XF ; 4 ; alex995 ; 23 
 3674 ; 10 пфеннигов. Германия. Нотгельд. Эльберфельд ; ND ;  ; St ; VF- ; 19 ; Jauho ; 306 
 3675 ; 10 пфеннигов. Германия. Нотгельд. Крефельд ; ND ;  ; Zn ; F-VF ; 9 ; Jauho ; 184 
 3676 ; 1 пенни. Великобритания ; 1891 ;  ; Cu ; VF- ; 11 ; taa ; 87 
 3677 ; 2 хеллера. Австрия ; 1894 ;  ; Cu ; VF+ ; 14 ; taa ; 57 
 3678 ; 1 эре. Дания ; 1912 ;  ; Br ; VF+ ; 14 ; DVZ ; 153 
 3679 ; 1 цент США ; 1906 ;  ; Br ; VF- ; 11 ; t_v_v ; 49 
 3680 ; 1 батат. Гамбия ; 1971 ;  ; Br ; AU ; 10 ; Mukoved ; 41 
 3681 ; 1 пенни. Финляндия ; 1919 ;  ; Cu ; XF ; 15 ; faga2003 ; 51 
 3682 ; 5 марок. Финляндия ; 1978 ;  ; Al/Br ; XF ; 16 ; vicktor_2014 ; 66 
 3683 ; 200 лир. Италия ; 1994 ;  ; Al/Br ; AU ; 4 ; Legio ; 55 
 3684 ; 200 лир. Сан-Марино ; 1993 ;  ; Al/Br ; AU ; 4 ; Legio ; 55 
 3685 ; 200 лир. Сан-Марино ; 1995 ;  ; Al/Br ; AU ; 21 ; dudinjohn ; 44 
 3686 ; 200 лир. Сан-Марино ; 1996 ;  ; Al/Br ; AU ; 8 ; Legio ; 55 
 3687 ; 200 лир. Италия ; 1996 ;  ; Al/Br ; AU ; 10 ; tpls ; 88 
 3688 ; 100 песет. Испания ; 1995 ;  ; Al/Br ; XF ; 7 ; Valeev ; 24 
 3689 ; 5 пиастров. Ливан ; 1936 ;  ; Al/Br ; VF ; 46 ; vb96 ; 174 
 3690 ; 1 доллар. Канада ; 1988 ;  ; Al/Br ; XF+ ; 16 ; dudinjohn ; 42 
 3691 ; 20 франков. Марокко ; 1371 ;  ; Al/Br ; VF ; 8 ; radmila2003 ; 51 
 3692 ; 1 фунт. Великобритания ; 2009 ;  ; Al/Br ; VF ; 22 ; banks ; 82 
 3593 ; 1 гривна. Украина. 65 лет победы ; 2010 ;  ; Лат ; AU ; 21 ; Vebr ; 77 
 3594 ; 1 соль. Перу ; 2011 ;  ; Cu/Ni ; AU ; 26 ; Omeron ; 92 
 3595 ; 10 бат. Тайланд. F.A.O. ; 1996 ;  ; Би/м ; AU ; 13 ; тарнум ; 63 
 3596 ; 50 тебе. Папуа Новой Гвинеи ; 2008 ;  ; St ; AU ; 47 ; daadar ; 79 
 3597 ; 1 писо. Филиппины ; 2008 ;  ; Би/м ; AU ; 6 ; тарнум ; 46 
 3598 ; 1 фунт. Судан ; 2011 ;  ; St ; AU ; 33 ; cotangens ; 99 
 3599 ; 50000 лир. Турция. F.A.O. ; 1999 ;  ; Al ; XF ; 6 ; t_v_v ; 24 
 3600 ; 10 юаней. Тайвань ; 1999 ;  ; Cu/Ni ; AU ; 11 ; gusar ; 51 
 3601 ; 10 юаней. Тайвань ;  ;  ; Cu/Ni ; XF+ ; 10 ; cotangens ; 41 
 3602 ; 20 рупий. Пакистан ; 2011 ;  ; Cu/Ni ; XF ; 14 ; Dahan ; 58 
 3603 ; 20 рупий. Пакистан. 60 лет дружбе Пакистана и Китая ; 2011 ;  ; Cu/Ni ; XF ; 15 ; wagner ; 61 
 3604 ; 10 рупий. Пакистан ; 2009 ;  ; Cu/Ni ; XF ; 13 ; sedoy66 ; 64 
 3605 ; 10 рупий. Пакистан ; 2007 ;  ; Cu/Ni ; XF ; 15 ; Dahan ; 69 
 3606 ; 1 рупия. Пакистан ; 1981 ;  ; Cu/Ni ; XF ; 9 ; cotangens ; 42 
 3607 ; 1 рупия. Пакистан ; 1977 ;  ; Cu/Ni ; XF ; 11 ; DVZ ; 46 
 3608 ; 5 пиастров. Египет ; 20в ;  ; Cu ; XF+ ; 31 ; gusar ; 57 
 3609 ; 50 тенге. Казахстан. Богомол ; 2012 ;  ; Cu/Ni ; XF+ ; 14 ; Алек ; 68 
 3610 ; 50 тенге. Казахстан. Навруз ; 2012 ;  ; Cu/Ni ; XF+ ; 8 ; brat52 ; 36 
 3611 ; 5 рупий. Шри Ланка ; 2007 ;  ; Лат ; XF+ ; 15 ; sveta6369 ; 79 
 3612 ; 100 песо. Аргентина ; 1981 ;  ; Лат ; AU ; 28 ; Волк33 ; 42 
 3613 ; 2 песо. Аргентина ; 2010 ;  ; Cu/Ni ; AU ; 13 ; GnbxLetc ; 69 
 3614 ; 2 песо. Аргентина ; 2006 ;  ; Cu/Ni ; XF ; 8 ; cotangens ; 42 
 3615 ; 2 песо. Аргентина. Национальный герой ; 2007 ;  ; Cu/Ni ; XF+ ; 7 ; GnbxLetc ; 79 
 3616 ; 10 динар. Югославия. Сутеска ; 1983 ;  ; Cu/Ni ; XF ; 15 ; S1952 ; 36 
 3617 ; 10 динар. Югославия. Неретва ; 1983 ;  ; Cu/Ni ; XF ; 14 ; krugerrand ; 35 
 3618 ; 20 динар. Сербия ; 2010 ;  ; Cu/Ni ; AU ; 6 ; Sterh ; 24 
 3619 ; 20 динар. Сербия ; 2011 ;  ; Cu/Ni ; AU ; 8 ; gusar ; 26 
 3620 ; 20 динар. Сербия ; 2006 ;  ; Cu/Ni ; XF+ ; 12 ; Sterh ; 25 
 3621 ; 20 динар. Сербия ; 2009 ;  ; Cu/Ni ; XF+ ; 11 ; Alex666Alex ; 27 
 3622 ; 5 динар. Югославия ; 1975 ;  ; Cu/Ni ; XF- ; 15 ; asternox ; 310 
 3623 ; 1 динар. Югославия ; 1996 ;  ; Cu/Ni ; XF+ ; 4 ; cotangens ; 28 
 3624 ; 5 пара. Югославия ; 1996 ;  ; Лат ; XF ; 19 ; монетков ; 200 
 3625 ; 5 пара. Югославия ; 1979 ;  ; Лат ; XF ; 3 ; cotangens ; 12 
 3626 ; 1 лат. Латвия. Еж ; 2012 ;  ; Cu/Ni ; AU ; 14 ; xladon ; 123 
 3627 ; 1 лат. Латвия. Сердце ; 2011 ;  ; Cu/Ni ; AU ; 23 ; banks ; 88 
 3628 ; 1 лат. Латвия. Новогодняя елка ; 2009 ;  ; Cu/Ni ; AU ; 14 ; banks ; 79 
 3629 ; 1 лат. Латвия. Кольцо ; 2009 ;  ; Cu/Ni ; AU ; 14 ; v_bond ; 92 
 3630 ; 1 лит. Литва. Вильнюс ; 2009 ;  ; Cu/Ni ; AU ; 5 ; t_v_v ; 31 
 3631 ; 1 лит. Литва ; 2010 ;  ; Cu/Ni ; AU ; 4 ; banks ; 23 
 3632 ; Монета иностранная. Восток ; 1985 ;  ; Al ; AU ; 5 ; cotangens ; 24 
 3633 ; 10 рупий. Индия ; 2010 ;  ; Би/м ; XF ; 28 ; simon56 ; 90 
 3634 ; 10 рупий. Индия ; 2011 ;  ; Би/м ; AU ; 31 ; LEXAI ; 85 
 3635 ; 5 рупий. Индия ; 2010 ;  ; Лат ; AU ; 9 ; DVZ ; 67 
 3636 ; 5 рупий. Индия ; 2011 ;  ; Лат ; AU ; 7 ; DVZ ; 67 
 3637 ; 5 рупий. Индия ; 2010 ;  ; Лат ; AU ; 7 ; Опятор ; 67 
 3638 ; 5 рупий. Индия ; 1995 ;  ; Лат ; XF ; 10 ; Опятор ; 42 
 3639 ; 5 рупий. Индия ; 2009 ;  ; Лат ; XF+ ; 8 ; GnbxLetc ; 51 
 3640 ; 5 рупий. Индия ; 2011 ;  ; Лат ; XF- ; 16 ; DVZ ; 71 
 3641 ; 5 рупий. Индия ; 2010 ;  ; Лат ; AU ; 7 ; DVZ ; 67 
 3642 ; 1 песа. Немецкая Ост-Африка ; 1892 ;  ; Br ; VF+ ; 35 ; Antys10 ; 827 
 3543 ; 25 пфеннигов. Германия. Нотгельд города Мюнстер ; 1917 ;  ; St ; F-VF ; 22 ; faga2003 ; 184 
 3544 ; 10 пфеннигов. Германия. Нотгельд города Висбаден ; 1917 ;  ; St ; F-VF ; 20 ; faga2003 ; 184 
 3545 ; 10 пфеннигов. Германия. Нотгельд города Посен ; 1917 ;  ; Zn ; F-VF ; 26 ; avg1974 ; 306 
 3546 ; 10 пфеннигов. Германия. Нотгельд города Франкфурт ; 1917 ;  ; St ; F-VF ; 17 ; banks ; 164 
 3547 ; 5 пфеннигов. Германия. Нотгельд города Унтервесер ; 1919 ;  ; St ; F-VF ; 16 ; Jauho ; 184 
 3548 ; 1 доллар. США ; 1879S ;  ; Ag ; F+ ; 12 ; Yamilov ; 1326 
 3549 ; 20 крейцер. Священная Римская Империя Австрия ; 1787B ;  ; Ag ; VF ; 39 ; bigben ; 816 
 3550 ; 1/4 флорина. Австрийская Империя ; 1859B ;  ; Ag ; VF-XF ; 21 ; нумизмат ; 791 
 3551 ; 1 крона. Дания ; 1916 ;  ; Ag ; XF ; 24 ; Pipe ; 918 
 3552 ; 2 кроны. Дания. 25 лет правления Христиана X ; 1937 ;  ; Ag ; XF- ; 21 ; Searcher ; 811 
 3553 ; 25 эре. Дания ; 1921 ;  ; Ni ; VF+ ; 10 ; D-503 ; 160 
 3554 ; 2 пиастра. Египет ; 1929 ;  ; Ag ; VF- ; 31 ; ТИПУН АЙХУН ; 426 
 3555 ; 2 пиастра. Египет ; 1937 ;  ; Ag ; XF ; 20 ; ТИПУН АЙХУН ; 227 
 3556 ; 1 писо. Филиппины. Папа Павел VI ; 1970 ;  ; Cu/Ni ; AU ; 9 ; banks ; 216 
 3557 ; 50 бат. Тайланд. F.A.O. ; 1996 ;  ; Cu/Ni ; AU ; 9 ; wagner ; 87 
 3558 ; 10 франков. Центральная Африка. Проба. Упаковка ; 1981 ;  ; Латунь ; AU ; 9 ; Emv ; 184 
 3559 ; 2 фунта. Остров Мен. 4 содружественные юношеские игры ; 2011 ;  ; Би/м ; AU ; 46 ; тарнум ; 257 
 3560 ; 2 рупии. Шри-Ланка. F.A.O. ; 1995 ;  ; Cu/Ni ; XF+ ; 9 ; t_v_v ; 34 
 3561 ; 1 лилангени.Свазиленд. F.A.O. ; 1981 ;  ; Cu/Ni ; AU ; 13 ; СТРЕКОЗА ; 102 
 3562 ; 20 центов. Австралия. Международный женский день ; 2011 ;  ; Cu/Ni ; AU ; 11 ; gusar ; 57 
 3563 ; 20 центов. Австралия. 100 лет такси Австралии ; 2010 ;  ; Cu/Ni ; AU ; 10 ; gusar ; 57 
 3564 ; 20 центов. Австралия. Международный год волонтеров ; 2011 ;  ; Cu/Ni ; AU ; 10 ; DVZ ; 57 
 3565 ; 1 доллар. Австралия ; 2011 ;  ; Лат ; AU ; 63 ; Волк33 ; 171 
 3566 ; 5 крузейро. Бразилия ; 1985 ;  ; St ; XF+ ; 11 ; t_v_v ; 34 
 3567 ; 1 крузейро. Бразилия ; 1985 ;  ; St ; XF+ ; 9 ; banks ; 36 
 3568 ; 2 1/2 эскудо. Португалия. F.A.O. ; 1983 ;  ; Cu/Ni ; XF ; 16 ; bukashka ; 61 
 3569 ; 5 эскудо. Португалия. F.A.O. ; 1983 ;  ; Cu/Ni ; XF ; 23 ; bukashka ; 90 
 3570 ; 5 писо. Филиппины ; 2005 ;  ; Лат ; AU ; 7 ; cotangens ; 33 
 3571 ; 500 лир. Сан Марино ; 1982 ;  ; Би/м ; AU ; 32 ; тарнум ; 92 
 3572 ; 500 лир. Сан-Марино. F.A.O. ; 1995 ;  ; Би/м ; AU ; 32 ; тарнум ; 90 
 3573 ; 200 лир. Сан Марино. F.A.O. ; 1994 ;  ; Лат ; AU ; 19 ; бортик ; 42 
 3574 ; 1 лира. Сан Марино. F.A.O. ; 1977 ;  ; Al ; AU ; 7 ; бортик ; 34 
 3575 ; 1 писо. Филиппины. Жозе Рискаль ; 2011 ;  ; Cu/Ni ; AU ; 9 ; DVZ ; 46 
 3576 ; 1 доллар. Восточные Каррибские территории ; 2008 ;  ; Cu/Ni ; AU ; 18 ; ИЮМов1 ; 194 
 3577 ; 100 вату. Вануату ; 2002 ;  ; Латунь ; AU ; 13 ; wagner ; 59 
 3578 ; 10 долларов. Намибия. 20 лет банку ; 2010 ;  ; Би/м ; AU ; 34 ; simon56 ; 204 
 3579 ; 20 пенсов. Фолклендские о-ва ; 1987 ;  ; Лат ; AU ; 10 ; Elephant ; 42 
 3580 ; 10 рупий. Шри-Ланка. 2500 лет буддизму ; 2011 ;  ; St ; AU ; 41 ; СТРЕКОЗА ; 75 
 3581 ; 1 доллар. Австралия. 100 лет обществу пенсионеров ; 2009 ;  ; Лат ; XF ; 18 ; Волк33 ; 92 
 3582 ; 1 пенни. Гернси ; 1985 ;  ; Br ; XF ; 7 ; t_v_v ; 28 
 3583 ; 1 цент. Барбадос ; 2005 ;  ; Cu ; XF+ ; 9 ; banks ; 18 
 3584 ; 5 сантимов. Панама ; 1980 ;  ; Cu/Ni ; XF+ ; 7 ; bv812 ; 34 
 3585 ; 2 песо. Аргентина ; 2010 ;  ; Би/м ; AU ; 39 ; gusar ; 79 
 3586 ; 1 песо. Куба. Производство сахара ; 1981 ;  ; Cu/Ni ; AU ; 17 ; aureo2 ; 184 
 3587 ; 2 1/2 сантимов. Панама ; 1973 ;  ; Cu/Ni ; AU ; 6 ; bv812 ; 34 
 3588 ; 1 бальбоа. Панама ; 2011 ;  ; Би/м ; AU ; 28 ; bv812 ; 123 
 3589 ; 1 пиастр. Судан ; 2006 ;  ; Лат ; XF ; 17 ; banks ; 90 
 3590 ; 1 лек. Албания ; 1964 ;  ; Al ; VF ; 16 ; krugerrand ; 51 
 3591 ; 1 пиастр. Ливан ; 1955 ;  ; Лат ; XF ; 19 ; DVZ ; 57 
 3592 ; 500 сом. Узбекистан ; 2011 ;  ; Cu/Ni ; XF+ ; 19 ; AMZYA ; 51 
 3493 ; 1 рубль. Беларусь. Соломоплетение ; 2010 ;  ; Cu-Ni ; Proof ; 42 ; AB ; 246 
 3494 ; 1 рубль. Беларусь. Змей Горынычь ; 2009 ;  ; Cu-Ni ; Proof ; 45 ; burlak ; 300 
 3495 ; 1 рубль. Беларусь. Памятники архитектуры Беларуси ; 2005 ;  ; Cu-Ni ; Proof ; 40 ; Недорого ; 765 
 3496 ; 1 рубль. Беларусь. Дунин-Марцинкевич ; 2008 ;  ; Cu-Ni ; Proof ; 29 ; AB ; 313 
 3497 ; 1 рубль. Беларусь. Гнчарное дело ; 2012 ;  ; Cu-Ni ; Proof ; 49 ; burlak ; 273 
 3498 ; 1 рубль. Беларусь. Гарадзенский ; 2008 ;  ; Cu-Ni ; Proof ; 27 ; v_bond ; 257 
 3499 ; 1 рубль. Беларусь. "Седов" ; 2008 ;  ; Cu-Ni ; Proof ; 37 ; Schwer ; 352 
 3500 ; 1 рубль. Беларусь. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 31 ; brat52 ; 241 
 3501 ; 1 рубль. Беларусь. Легенда про черепаху ; 2010 ;  ; Cu-Ni ; Proof ; 9 ; Elephant ; 253 
 3502 ; 1 рубль. Беларусь. Дзяды ; 2008 ;  ; Ag ; AU ; 36 ; kovrovchanin ; 612 
 3503 ; 2 злотых. Польша. Михаил Седледский ; 2001 ;  ; Лат ; AU ; 11 ; СЁМА ; 157 
 3504 ; 2 злотых. Польша. Игнатий Домейко ; 2007 ;  ; Лат ; AU ; 16 ; aleksey-m2 ; 68 
 3505 ; 2 злотых. Польша. Подводная лодка "Орел" ; 2010 ;  ; Лат ; AU ; 18 ; aleksey-m2 ; 73 
 3506 ; 2 злотых. Польша. Эсминец "Гром" ; 2012 ;  ; Лат ; AU ; 17 ; aleksey-m2 ; 70 
 3507 ; 2 злотых. Польша. Рудин -музей в Опатуве ; 2012 ;  ; Лат ; AU ; 8 ; aleksey-m2 ; 68 
 3508 ; 2 злотых. Польша. Болтная черепаха ; 2002 ;  ; Лат ; AU ; 21 ; Tornado ; 231 
 3509 ; 2 злотых. Польша. Семьи, спасшие евреев ; 2012 ;  ; Лат ; AU ; 9 ; aleksey-m2 ; 68 
 3510 ; 2 злотых. Польша. Джозеф Конрад ; 2007 ;  ; Лат ; AU ; 19 ; aleksey-m2 ; 68 
 3511 ; 2 злотых. Польша. Арктовский и Добровольский ; 2007 ;  ; Лат ; AU ; 14 ; aleksey-m2 ; 68 
 3512 ; 2 злотых. Польша. 90-летие восстановления независимости ; 2008 ;  ; Лат ; AU ; 14 ; aleksey-m2 ; 69 
 3513 ; 50 пфеннигов. ГДР ;  ;  ; Al/Br ; VF-XF ; 36 ; sme15 ; 285 
 3514 ; 1 крейцер. Австрия ; 1751 ;  ; Ag ; F-VF ; 48 ; $$$ ; 922 
 3515 ; Солид ; 1751 ;  ; Cu ; F+ ; 19 ; $$$ ; 505 
 3516 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 11 ; Savbeer ; 124 
 3517 ; 2 евро. Финляндия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 14 ; 231 ; 111 
 3518 ; 2 евро. Германия. Бремен ; 2010 ;  ; Би/м ; VF-XF ; 16 ; толстяк ; 144 
 3519 ; 2 евро. Финляндия. ЕС ; 2005 ;  ; Би/м ; VF-XF ; 14 ; толстяк ; 169 
 3520 ; 20 крон. Дания ; 2012 ;  ; Латунь ; AU ; 23 ; jj ; 174 
 3521 ; 20 крон. Дания ; 2003 ;  ; Латунь ; XF ; 30 ; DVZ ; 178 
 3522 ; 1 крона. Швеция ; 2000 ;  ; Cu-Ni ; VF-XF ; 14 ; hf426 ; 92 
 3523 ; 1 крона. Швеция ; 2009 ;  ; Cu-Ni ; AU ; 14 ; gusar ; 56 
 3524 ; 20 пара. Черногория ; 1906 ;  ; Cu-Ni ; VF ; 14 ; балбес ; 192 
 3525 ; 200000 карбованцев. Украина. 50 лет. Победы. Упаковка ; 1995 ;  ; Cu-Ni ; Proof-like ; 24 ; gola78 ; 133 
 3526 ; 200000 карбованцев. Украина. Богдан Хмельницкий ; 1995 ;  ; Cu-Ni ; Proof-like ; 12 ; aleksey-m2 ; 117 
 3527 ; 50 центов. Великобритания ; 2006 ;  ; Cu-Ni ; VF-XF ; 21 ; бортик ; 45 
 3528 ; 1 доллар. США ; 1923 ;  ; Ag ; XF ; 22 ; Yamilov ; 1222 
 3529 ; 1/4 доллара. США ; 1957D ;  ; Ag ; F-VF ; 35 ; Searcher ; 225 
 3530 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; XF+ ; 23 ; vicktor_2014 ; 906 
 3531 ; 50 марок. Финляндия. 80 лет со дня рождения Кекконена ; 1981 ;  ; Ag ; AU ; 2 ; Mike! ; 550 
 3532 ; 25 марок. Финляндия. 60 лет независимости ; 1977 ;  ; Ag ; AU ; 28 ; Mike! ; 550 
 3533 ; 25 марок. Финляндия. 750 лет Турку ; 1979 ;  ; Ag ; AU ; 19 ; Mamuka ; 709 
 3534 ; 100 марок. Финляндия. Лыжи ; 1989 ;  ; Ag ; AU ; 32 ; Mike! ; 922 
 3535 ; 1/12 талера. Германия, Брауншвейг-Вольфенбюттель ; 1791МС ;  ; Ag ; VG ; 16 ; Elephant ; 252 
 3536 ; 6 пфеннигов. Германия, Брауншвейг-Вольфенбюттель ; 1741 ;  ; Ag ; F-VF ; 22 ; джокер ; 308 
