 4822 ; Бона иностранная. Исландия. 50 крон ; 1961 ;  ;  ;  ; 24 ; ИЮМов1 ; 226 
 3335 ; 2 кроны. Швеция ; 1966 ;  ; Ag ; XF ; 11 ; suhua ; 250 
 3336 ; 1 крона. Швеция ; 1924 ;  ; Ag ; VF+ ; 18 ; fokuss ; 371 
 3337 ; 1 крона. Швеция ; 1946 ;  ; Ag ; VF ; 11 ; caiman67 ; 126 
 3338 ; 1 крона. Швеция ; 1955 ;  ; Ag ; VF-XF ; 9 ; caiman67 ; 190 
 3339 ; 1 крона. Швеция ; 1947 ;  ; Ag ; XF- ; 7 ; caiman67 ; 159 
 3340 ; 1 крона. Швеция ; 1937 ;  ; Ag ; XF- ; 19 ; suhua ; 423 
 3341 ; 1 крона. Швеция ; 1963 ;  ; Ag ; XF ; 10 ; caiman67 ; 97 
 3342 ; 50 эре. Швеция ; 1961 ;  ; Ag ; XF ; 16 ; matehev ; 150 
 3343 ; 50 эре. Швеция ; 1945 ;  ; Ag ; VF-XF ; 7 ; caiman67 ; 181 
 3344 ; 50 эре. Швеция ; 1934 ;  ; Ag ; VF ; 17 ; caiman67 ; 181 
 3345 ; 25 эре. Швеция ; 1902 ;  ; Ag ; VF- ; 5 ; gvg1975 ; 62 
 3346 ; 25 эре. Швеция ; 1960 ;  ; Ag ; XF ; 5 ; Ubud40 ; 51 
 3347 ; 25 эре. Швеция ; 1947 ;  ; Ag ; XF- ; 7 ; Ubud40 ; 44 
 3348 ; 25 эре. Швеция ; 1931 ;  ; Ag ; VF ; 5 ; suhua ; 82 
 3349 ; 10 эре. Швеция ; 1960 ;  ; Ag ; XF+ ; 3 ; коллега5 ; 40 
 3350 ; 10 эре. Швеция ; 1945 ;  ; Ag ; VF+ ; 5 ; Ubud40 ; 33 
 3351 ; 10 эре. Швеция ; 1935 ;  ; Ag ; VF+ ; 7 ; Ubud40 ; 29 
 3352 ; 10 эре. Швеция ; 1902 ;  ; Ag ; VF- ; 5 ; suhua ; 51 
 3353 ; 10 эре. Швеция ; 1942 ;  ; Ag ; XF ; 5 ; gvg1975 ; 42 
 3354 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; XF+ ; 11 ; LAB-A ; 212 
 3355 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 7 ; ppi ; 225 
 3356 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 21 ; коллега5 ; 225 
 3357 ; 100 марок. Финляндия ; 1958 ;  ; Ag ; AU ; 5 ; kergudu ; 204 
 3358 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 15 ; коллега5 ; 194 
 3359 ; 10 центов. Нидерланды ; 1917 ;  ; Ag ; F+ ; 8 ; барсик ; 37 
 3360 ; 1 марка. Веймар ; 1924A ;  ; Ag ; VF ; 17 ; zelya ; 296 
 3361 ; 5 марок. ФРГ ; 1963D ;  ; Ag ; XF- ; 14 ; dsp ; 317 
 3362 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; AU ; 16 ; caiman67 ; 327 
 3363 ; 5 франков. Франция ; 1962 ;  ; Ag ; VF-XF ; 15 ; caiman67 ; 341 
 3364 ; 10 шиллингов. Австрия ; 1967 ;  ; Ag ; XF+ ; 23 ; ВЭБ! ; 398 
 3365 ; 3 пенса. Великобритания ; 1922 ;  ; Ag ; VF+ ; 13 ; imi ; 107 
 3366 ; 6 пенсов. Великобритания ; 1935 ;  ; Ag ; VF- ; 25 ; маманя ; 98 
 3367 ; 1/2 доллара. США. Кеннеди ; 1969D ;  ; Ag ; AU ; 13 ; Ubud40 ; 224 
 3368 ; 1 дайм. США. Меркури ; 1943D ;  ; Ag ; VF ; 13 ; Rober ; 172 
 3369 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 13 ; matehev ; 200 
 3370 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 21 ; alexpakh ; 550 
 3371 ; 1 гульден. Нидерланды ; 1930 ;  ; Ag ; VF+ ; 14 ; fokuss ; 264 
 3372 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; XF- ; 13 ; Drunja33 ; 180 
 3373 ; 1 франк. Швейцария ; 1956 ;  ; Ag ; XF- ; 6 ; caiman67 ; 143 
 3374 ; 1/2 франка. Швейцария ; 1905 ;  ; Ag ; F+ ; 9 ; WikiLeaks ; 83 
 3375 ; 25 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; AU ; 33 ; ddv1981 ; 258 
 3376 ; 25 центов. Канада ; 1944 ;  ; Ag ; VF+ ; 22 ; caiman67 ; 174 
 3377 ; 10 центов. Канада ; 1962 ;  ; Ag ; XF- ; 11 ; matehev ; 156 
 3378 ; 10 центов. Канада ; 1950 ;  ; Ag ; XF- ; 9 ; caiman67 ; 113 
 3379 ; 2 шиллинга. Великобритания ; 1942 ;  ; Ag ; VF ; 22 ; caiman67 ; 267 
 3280 ; 1 лат. Латвия ; 1924 ;  ; Ag ; XF- ; 36 ; коллега5 ; 179 
 3281 ; 1/4 доллара. США ; 1964 ;  ; Ag ; XF ; 15 ; suhua ; 407 
 3282 ; 25 гурдов. Гаити. 10 лет революции. D-60мм. М-115,98гр ; 1967 ;  ; Ag ; Proof ; 43 ; А.А.А. ; 4872 
 3283 ; 3 пенса. Великобритания ; 1914 ;  ; Ag ; F-VF ; 39 ; WikiLeaks ; 105 
 3284 ; 6 пенсов. Великобритания ; 1942 ;  ; Ag ; VF ; 46 ; спартак ; 153 
 3285 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 39 ; Rober ; 241 
 3286 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 10 ; fokuss ; 72 
 3287 ; 20 раппен. Швейцария ; 1850 ;  ; Биллон ; F- ; 8 ; nepohozii ; 55 
 3288 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF ; 11 ; matehev ; 72 
 3289 ; 25 эре. Швеция ; 1960 ;  ; Ag ; XF- ; 21 ; caiman67 ; 46 
 3290 ; 100 йен. Япония ; 1960 ;  ; Ag ; XF ; 22 ; caiman67 ; 219 
 3291 ; 3 пенса. Южная Африка ; 1942 ;  ; Ag ; VF ; 19 ; спартак ; 87 
 3292 ; 10 пара. Турция ; 1901 ;  ; Ag ; F+ ; 29 ; aziya11 ; 147 
 3293 ; 6 пенсов. Новая Зеландия ; 1943 ;  ; Ag ; VF- ; 25 ; спартак ; 153 
 3294 ; 200 злотых. Польша. 30 лет ПНР ; 1974 ;  ; Ag ; AU ; 16 ; asus ; 455 
 3295 ; 25 крон. Чехословакия. 25 лет Освобождения ; 1970 ;  ; Ag ; XF ; 46 ; ВМШ ; 572 
 3296 ; 50 шиллингов. Австрия. Шуберт ; 1978 ;  ; Ag ; AU ; 29 ; mr. Krab$ ; 614 
 3297 ; 1 доллар. Канада. Жак Картье ; 1984 ;  ; Cu-Ni ; AU ; 35 ; vc57 ; 193 
 3298 ; 1 доллар. Канада. Британская Колумбия ; 1971 ;  ; Cu-Ni ; XF+ ; 21 ; gurtov ; 151 
 3299 ; 1 доллар. Канада. Манитоба ; 1970 ;  ; Cu-Ni ; XF+ ; 18 ; gurtov ; 151 
 3300 ; 2 гривны. Украина. 70 лет провозглашения Карпатской Украины ; 2009 ;  ; Cu-Ni ; Proof ; 9 ; terner230 ; 174 
 3301 ; 1 доллар. Канада. Конфедерация 1867,Конституция 1982. ; 1982 ;  ; Cu-Ni ; XF+ ; 22 ; POSHEXON ; 133 
 3302 ; 10 бат. Тайланд. ФАО ; 1996 ;  ; Би/м ; AU ; 29 ; lubopitnaja ; 119 
 3303 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu-Ni ; XF- ; 18 ; ppi ; 235 
 3304 ; 5 марок. ГДР. Бранденбургские ворота ; 1971А ;  ; Cu-Ni ; XF- ; 12 ; ppi ; 204 
 3305 ; 5 марок. ГДР. Майсен ; 1972A ;  ; Cu-Ni ; AU ; 30 ; ppi ; 322 
 3306 ; 5 марок. ФРГ. Мартин Лютер ; 1983G ;  ; Cu-Ni ; AU ; 39 ; evgen 66 ; 202 
 3307 ; 10 пенни. Ирландия ; 1993 ;  ; Cu/Ni ; XF ; 11 ; vaps ; 47 
 3308 ; 2 короны. Австрия ; 1913 ;  ; Ag ; XF+ ; 40 ; Dima-72 ; 567 
 3309 ; 1 корона. Австрия ; 1914 ;  ; Ag ; XF+ ; 22 ; mrotkin ; 220 
 3310 ; 5 шиллингов. Ямайка. VIII Британские и студенческие игры ; 1966 ;  ; Cu/Ni ; AU ; 25 ; REC ; 202 
 3311 ; 1 крона. Гибралтар. Елизавета II ; 1967 ;  ; Cu/Ni ; AU ; 45 ; Makys ; 180 
 3312 ; 5 крон. Исландия ; 1987 ;  ; Cu/Ni ; XF- ; 12 ; sparrow ; 41 
 3313 ; 5 центов. Острова Кука. F.A.O. ; 2000 ;  ; Cu/Ni ; AU ; 28 ; stingr ; 62 
 3314 ; 10 шекелей. Израиль. Античная ладья ; 1982 ;  ; Cu/Ni ; VF+ ; 14 ; matehev ; 92 
 3315 ; 10 крон. Исландия ; 2004 ;  ; Cu/Ni ; AU ; 22 ; 1456 ; 51 
 3316 ; 20 центов. Свазиленд. Слон ; 2005 ;  ; Cu/Ni ; AU ; 32 ; vaps ; 92 
 3317 ; 50 грошей. Польша ; 1949 ;  ; Cu/Ni ; VF ; 17 ; Стрепет ; 42 
 3318 ; 50 пенсов. Великобритания. Игры содружества ; 1973 ;  ; Cu/Ni ; XF ; 18 ; фёкла ; 67 
 3319 ; 5 пенсов. Великобритания, Елизавета II ; 1994 ;  ; Cu/Ni ; XF- ; 7 ; Olegan059 ; 31 
 3320 ; 1 аурар. Исландия ; 1966 ;  ; Br ; AU ; 27 ; strorublei ; 123 
 3321 ; 1 пенни. Джерси. Крепость ; 1989 ;  ; Br ; XF ; 18 ; ASlab ; 51 
 3322 ; 2 1/2 цента. Нидерландские Антиллы ; 1975 ;  ; Br ; AU ; 31 ; v_bond ; 60 
 3323 ; 1/2 пенни. Великобритания. Корабль ; 1959 ;  ; Br ; VF+ ; 12 ; bull72 ; 51 
 3324 ; 2 пенса. Новая Зеландия ; 1978 ;  ; Br ; AU ; 18 ; stingr ; 41 
 3325 ; 1 пенни. Джерси. Елизавета II ; 1980 ;  ; Br ; XF+ ; 7 ; ВАР1959 ; 51 
 3326 ; 1 сентаво. Эквадор ; 2003 ;  ; Cu/Fe ; AU ; 18 ; vb96 ; 63 
 3327 ; 10 лаари. Мальдивы. Корабль ; 1984 ;  ; Al ; XF- ; 30 ; bull72 ; 90 
 3328 ; 5 франков. Малагасия ; 1972 ;  ; Ni/Fe ; XF- ; 18 ; Mukoved ; 72 
 3329 ; 20 центов. Южная Африка ; 1992 ;  ; Al/Br ; VF-XF ; 33 ; stingr ; 72 
 3230 ; 1 лев. Болгария. Чемпионат мира по футболу ; 1980 ;  ; Cu/Ni ; AU ; 22 ; ASlab ; 104 
 3231 ; 1 лев. Болгария. XXIV летние олимпийские игры. Бег ; 1988 ;  ; Cu/Ni ; Proof ; 20 ; krugerrand ; 92 
 3232 ; 1 лев. Болгария. Международная выставка охоты ; 1981 ;  ; Cu/Ni ; Proof ; 12 ; seger ; 90 
 3233 ; 1 лев. Болгария. XV зимние олимпийские игры. Хоккей ; 1987 ;  ; Cu/Ni ; Proof ; 12 ; caiman67 ; 86 
 3234 ; 1 лев. Болгария. 100 лет апрельского восстания ; 1976 ;  ; Br ; AU ; 17 ; indigo-rus ; 90 
 3235 ; 5 гривен. Украина. Тарас Шевченко ; 2011 ;  ; Cu/Ni ; Proof ; 8 ; August31 ; 135 
 3236 ; 2 гривны. Украина. Трава Украины ; 2010 ;  ; Cu/Ni ; Proof ; 20 ; terner230 ; 137 
 3237 ; 2 гривны. Украина. 125 лет харьковскому политехническому институту ; 2010 ;  ; Cu/Ni ; Proof ; 10 ; caiman67 ; 139 
 3238 ; 200 динар. Югославия. 8-ые средиземноморские игры, Сплит 1979г ; 1978 ;  ; Ag ; Proof ; 8 ; ddv1981 ; 1184 
 3239 ; 25 лева. Болгария. 40 лет социалистической Болгарии ; 1984 ;  ; Ag ; Proof ; 35 ; ddv1981 ; 566 
 3240 ; 20 лева. Болгария. 110 лет освобождения Болгарии ; 1988 ;  ; Ag ; Proof ; 22 ; ddv1981 ; 655 
 3241 ; 5 лева. Болгария. 200 дет со дня рождения Васил Априлова ; 1989 ;  ; Cu/Ni ; Proof ; 9 ; Mukoved ; 73 
 3242 ; 5 лева. Болгария. 25 лет металлургическому комбинату "Кремиковцы" ; 1988 ;  ; Cu/Ni ; Proof ; 11 ; джон007 ; 77 
 3243 ; 5 лева. Болгария. Софроний Врачанский ; 1989 ;  ; Cu/Ni ; Proof ; 18 ; POSHEXON ; 105 
 3244 ; 5 лева. Болгария. 2-ая международная ассамблея "Знамя мира" ; 1982 ;  ; Cu/Ni ; Proof ; 21 ; brat52 ; 68 
 3245 ; 5 лева. Болгария. Международная ассамблея "Знамя мира" ; 1988 ;  ; Cu/Ni ; Proof ; 17 ; seger ; 97 
 3246 ; 2 лева. Болгария. XXII мировое первенство по гребле ; 1989 ;  ; Cu/Ni ; Proof ; 14 ; caiman67 ; 92 
 3247 ; 2 лева. Болгария. Космос ; 1988 ;  ; Cu/Ni ; Proof ; 12 ; Mukoved ; 84 
 3248 ; 1 динар. Сербия ; 1879 ;  ; Ag ; F+ ; 25 ; S1952 ; 220 
 3249 ; 10 стотинок. Болгария ; 1913 ;  ; Cu/Ni ; VF+ ; 17 ; krugerrand ; 67 
 3250 ; 10 стотинок. Болгария ; 1906 ;  ; Cu/Ni ; VF- ; 24 ; seger ; 50 
 3251 ; 10 стотинок. Болгария ; 1888 ;  ; Cu/Ni ; F-VF ; 13 ; POSHEXON ; 109 
 3252 ; 5 стотинок. Болгария ; 1913 ;  ; Cu/Ni ; VF+ ; 10 ; seger ; 47 
 3253 ; 50 стотинок. Болгария. Универсиада ; 1977 ;  ; Cu/Ni ; XF ; 24 ; ppi ; 104 
 3254 ; 5 сантимов. Франция ; 1923 ;  ; Cu/Ni ; VF+ ; 12 ; av ; 78 
 3255 ; 10 стотинок. Болгария ; 1881 ;  ; Cu ; F-VF ; 14 ; evilpap ; 114 
 3256 ; 2 стотинки. Болгария ; 1901 ;  ; Cu ; VF- ; 9 ; Рыжая_Кыся ; 69 
 3257 ; 2 стотинки. Болгария ; 1912 ;  ; Cu ; VF+ ; 24 ; krugerrand ; 104 
 3258 ; 1/2 доллара. США. 200 лет независимости США ; 1976D ;  ; Cu-Ni ; AU ; 19 ; rf ; 89 
 3259 ; 1/2 доллара. США. 200 лет независимости США ; 1976D ;  ; Cu-Ni ; AU ; 10 ; brat52 ; 83 
 3260 ; 5 песо. Колумбия ; 1988? ;  ; Cu-Ni ; AU ; 39 ; v_bond ; 94 
 3261 ; 1/2 сент. Нидерланды ; 1885 ;  ; Br ; VF+ ; 20 ; kergudu ; 129 
 3262 ; 1/2 сент. Нидерланды ; 1901 ;  ; Br ; VF ; 17 ; ИЮМов1 ; 126 
 3263 ; 1/2 сент. Нидерланды ; 1903 ;  ; Br ; XF- ; 17 ; suhua ; 123 
 3264 ; 1/2 сент. Нидерланды ; 1906 ;  ; Br ; XF- ; 23 ; kergudu ; 135 
 3265 ; 1/2 сент. Нидерланды ; 1936 ;  ; Br ; AU ; 33 ; udaw ; 173 
 3266 ; 2 эре. Дания ; 1928 ;  ; Br ; VF ; 8 ; sparrow ; 28 
 3267 ; 2 эре. Дания ; 1937 ;  ; Br ; XF- ; 5 ; buben ; 24 
 3268 ; 1 эре. Дания ; 1928 ;  ; Br ; VF ; 3 ; alex995 ; 19 
 3269 ; 1 эре. Дания ; 1936 ;  ; Br ; XF- ; 5 ; sparrow ; 28 
 3270 ; 1 эре. Дания ; 1938 ;  ; Br ; XF ; 4 ; rf ; 13 
 3271 ; 50 лепт. Греция ; 1976 ;  ; Латунь ; VF ; 10 ; DVZ ; 30 
 3272 ; 1 эскудо. Португалия ; 1973 ;  ; Br ; XF- ; 10 ; dsp ; 24 
 3273 ; 20 динар. Югославия ; 1955 ;  ; Al/Br ; VF ; 3 ; xct ; 12 
 3274 ; 20 центов. Австралия ; 2010 ;  ; Cu-Ni ; AU ; 20 ; v_bond ; 79 
 3275 ; 10 центов. Нидерланды ; 1936 ;  ; Ag ; F-VF ; 20 ; matehev ; 105 
 3276 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu/Ni ; Proof ; 24 ; evilpap ; 184 
 3277 ; 1 доллар (1 унция серебра). США ; 2012 ;  ; Ag ; AU ; 30 ; asus ; 1434 
 3278 ; 500 лир. Италия ; 1959 ;  ; Ag ; XF ; 29 ; митяй ; 526 
 3279 ; 2 лата. Латвия ; 1925 ;  ; Ag ; XF- ; 45 ; Плейшнер ; 281 
 3180 ; 5 талари. Словения. Битва при Сисаке ; 1993 ;  ; Латунь ; AU ; 13 ; salim ; 72 
 3181 ; 5 талари. Словения. Жига Зойс ; 1997 ;  ; Латунь ; AU ; 19 ; stingr ; 79 
 3182 ; 5 талари. Словения. 50 лет падения фашизма ; 1995 ;  ; Латунь ; AU ; 24 ; vc57 ; 110 
 3183 ; 5 талари. Словения. 1000 лет глаголице ; 1994 ;  ; Латунь ; AU ; 9 ; salim ; 57 
 3184 ; 5 талари. Словения. 50 лет банке Словении ; 1994 ;  ; Латунь ; AU ; 17 ; salim ; 72 
 3185 ; 5 талари. Словения. 5 лет независимости ; 1996 ;  ; Латунь ; AU ; 10 ; Fox13 ; 79 
 3186 ; 5 талари. Словения. 100 лет первой Железной дороге ; 1996 ;  ; Латунь ; AU ; 20 ; vc57 ; 92 
 3187 ; 5 талари. Словения. 100 лет олимпиаде. Гимнастика ; 1996 ;  ; Латунь ; AU ; 12 ; potapov0 ; 79 
 3188 ; 1000 оева. Болгария. Телеграф ; 1998 ;  ; Cu/Ni/Zn ; Proof ; 13 ; vasek ; 114 
 3189 ; 500 лева. Болгария. НАТО ; 1997 ;  ; Cu/Ni/Zn ; Proof ; 18 ; POSHEXON ; 116 
 3190 ; 50 лева. Болгария. 100 лет гимнастике ; 1994 ;  ; Cu/Ni ; Proof ; 15 ; salim ; 108 
 3191 ; 50 лева. Болгария ; 1989 ;  ; Cu/Ni ; AU ; 23 ; krugerrand ; 78 
 3192 ; 20 лева. Болгария ; 1989 ;  ; Cu/Ni ; AU ; 13 ; b197312 ; 104 
 3193 ; 20 лева. Болгария. Климент Охридский ; 1988 ;  ; Ag ; Proof ; 29 ; ddv1981 ; 359 
 3194 ; 5 лева. Болгария. ЮНЕСКО ; 1985 ;  ; Cu/Ni ; Proof ; 13 ; indigo-rus ; 75 
 3195 ; 5 лева. Болгария. 90 лет туризму ; 1985 ;  ; Cu/Ni ; Proof ; 20 ; Mukoved ; 87 
 3196 ; 5 лева. Болгария. 100 лет со дня рождения Владимира Димитрова ; 1982 ;  ; Cu/Ni ; Proof ; 38 ; pplichko ; 85 
 3197 ; 5 лева. Болгария. Хаджи Димитр и Стефан Караджа ; 1988 ;  ; Cu/Ni ; Proof ; 17 ; brat52 ; 87 
 3198 ; 5 лева. Болгария. Детская ассамблея ; 1985 ;  ; Cu/Ni ; Proof ; 10 ; indigo-rus ; 91 
 3199 ; 5 лева. Болгария. 300 лет Чипровского восстания ; 1988 ;  ; Cu/Ni ; Proof ; 11 ; seger ; 104 
 3200 ; 5 лева. Болгария. 2-ая международная детская ассамблея ; 1982 ;  ; Cu/Ni ; Proof ; 8 ; indigo-rus ; 89 
 3201 ; 5 лева. Болгария. Выставка юных изобретателей ; 1985 ;  ; Cu/Ni ; Proof ; 17 ; indigo-rus ; 84 
 3202 ; 5 лева. Болгария. Софроний Врачанский ; 1989 ;  ; Cu/Ni ; Proof ; 16 ; POSHEXON ; 103 
 3203 ; 5 лева. Болгария. Кремиковский ; 1988 ;  ; Cu/Ni ; Proof ; 9 ; indigo-rus ; 89 
 3204 ; 5 лева. Болгария. Детская ассамблея ; 1988 ;  ; Cu/Ni ; Proof ; 13 ; Mukoved ; 87 
 3205 ; 5 лева. Болгария. 200 лет со дня рождения Василия Априлова ; 1989 ;  ; Cu/Ni ; Proof ; 9 ; indigo-rus ; 73 
 3206 ; 5 лева. Болгария. Мировое первенство по футболу ; 1980 ;  ; Cu/Ni ; AU ; 18 ; sveta6369 ; 92 
 3207 ; 5 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 17 ; Mukoved ; 88 
 3208 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 24 ; brat52 ; 87 
 3209 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 23 ; brat52 ; 92 
 3210 ; 2 лева. Болгария. Восстание на Асен и Петр ; 1981 ;  ; Cu/Ni ; Proof ; 19 ; vasek ; 85 
 3211 ; 2 лева. Болгария. 2-ой совместный космический полет СССР и НРБ ; 1988 ;  ; Cu/Ni ; Proof ; 26 ; caiman67 ; 94 
 3212 ; 2 лева. Болгария. Климент Охридский ; 1988 ;  ; Cu/Ni ; Proof ; 9 ; vasek ; 84 
 3213 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 19 ; seger ; 97 
 3214 ; 2 лева. Болгария. XXII мировое первенство по гребле ; 1989 ;  ; Cu/Ni ; Proof ; 12 ; matehev ; 104 
 3215 ; 2 лева. Болгария. XXIV летние олимпийские игры ; 1988 ;  ; Cu/Ni ; Proof ; 14 ; caiman67 ; 88 
 3216 ; 2 лева. Болгария. Чемпионат мира по футболу ; 1986 ;  ; Cu/Ni ; Proof ; 19 ; caiman67 ; 92 
 3217 ; 2 лева. Болгария. Международная выставка охоты ; 1981 ;  ; Cu/Ni ; Proof ; 16 ; brat52 ; 82 
 3218 ; 2 лева. Болгария. Мировое первенство по художественной гимнастике ; 1987 ;  ; Cu/Ni ; Proof ; 15 ; caiman67 ; 88 
 3219 ; 2 лева. Болгария. Добри Чинтулов ; 1972 ;  ; Cu/Ni ; AU ; 19 ; seger ; 99 
 3220 ; 2 лева. Болгария. Мировое первенство по футболу ; 1980 ;  ; Cu/Ni ; AU ; 24 ; ASlab ; 92 
 3221 ; 2 лева. Болгария. Йордан Йовков ; 1980 ;  ; Cu/Ni ; AU ; 14 ; Mukoved ; 82 
 3222 ; 2 лева. Болгария. 100 лет апрельского восстания ; 1976 ;  ; Cu/Ni ; AU ; 11 ; Mukoved ; 84 
 3223 ; 2 лева. Болгария. Международная выставка охоты ; 1981 ;  ; Cu/Ni ; AU ; 10 ; Mukoved ; 84 
 3224 ; 2 лева. Болгария. 100 лет со дня Сербско-Болгарской войны ; 1981 ;  ; Cu/Ni ; Proof ; 15 ; aziya11 ; 90 
 3225 ; 2 лева. Болгария. Рильский монастырь ; 1981 ;  ; Cu/Ni ; Proof ; 19 ; aziya11 ; 90 
 3226 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 11 ; b197312 ; 116 
 3227 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 31 ; v_bond ; 116 
 3228 ; 2 лева. Болгария. Церковь Бояна ; 1981 ;  ; Cu/Ni ; Proof ; 26 ; vaps ; 113 
 3229 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu/Ni ; AU ; 9 ; niko1968 ; 147 
 3130 ; 1 анна. Британская Индия. Георг VI ; 1940 ;  ; Ni ; VF ; 24 ; Olegan059 ; 78 
 3131 ; 1 анна. Британская Индия. Георг VI ; 1944 ;  ; Br ; VF ; 19 ; sparrow ; 53 
 3132 ; 1 песета. Испания. Альфонс XII ; 1885 ;  ; Ag ; VF- ; 31 ; riga1979 ; 325 
 3133 ; 20 пара. Турция. Османская Империя. Махмуд II ; 1833(1223/28) ;  ; Ag ; VF ; 19 ; aziya11 ; 301 
 3134 ; 2 марки. ФРГ. Вилли Брандт ; 1994F ;  ; Cu/Ni ; XF ; 6 ; Tarkus ; 79 
 3135 ; 10 пфеннигов. Германия, Нотгельд ; 1921 ;  ; Fe ; VF ; 9 ; gerber68 ; 110 
 3136 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; XF+ ; 15 ; Rober ; 211 
 3137 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 18 ; Rober ; 182 
 3138 ; 1 марка. Финляндия ; 1941 ;  ; Cu ; XF ; 13 ; П.А.Н. ; 57 
 3139 ; 5 марок. Финляндия. Ледокол ; 1974 ;  ; Al/Br ; AU ; 43 ; ppi ; 164 
 3140 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF ; 7 ; caiman67 ; 34 
 3141 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF ; 16 ; sotnik ; 1530 
 3142 ; 30 драхм. Греция. Королевская семья ; 1963 ;  ; Ag ; VF+ ; 26 ; caiman67 ; 790 
 3143 ; 5 крон. Дания. Принцесса Анна-Мария ; 1964 ;  ; Ag ; AU ; 19 ; cvb ; 867 
 3144 ; 1 динар. Югославия ; 1904 ;  ; Ag ; VF+ ; 9 ; ppi ; 245 
 3145 ; 2 1/2 эскудо. Португалия ; 1951 ;  ; Ag ; AU ; 34 ; caiman67 ; 317 
 3146 ; 100 рейс. Португалия ; 1910 ;  ; Ag ; AU ; 20 ; ddv1981 ; 365 
 3147 ; 5 крон. Швеция ; 1972 ;  ; Cu/Ni ; XF ; 7 ; DVZ ; 31 
 3148 ; 1 доллар. Новая Зеландия ; 1980 ;  ; Cu/Ni ; AU ; 53 ; cotangens ; 159 
 3149 ; 1 доллар. Нолвая Зеландия. Парламент ; 1978 ;  ; Cu/Ni ; AU ; 37 ; vc57 ; 192 
 3150 ; 1 лек. Албания ; 1930 ;  ; Cu/Ni ; VF ; 25 ; POSHEXON ; 108 
 3151 ; 1 лек. Албания ; 1930 ;  ; Cu/Ni ; VF ; 15 ; POSHEXON ; 108 
 3152 ; 50 центов. Австралия ; 1981 ;  ; Cu/Ni ; XF+ ; 24 ; Lenchik_2M ; 57 
 3153 ; 20 сантимов. Латвия ; 1922 ;  ; Cu/Ni ; VF ; 9 ; коллега5 ; 124 
 3154 ; 10 сантимов. Латвия ; 1922 ;  ; Cu/Ni ; VF ; 13 ; caiman67 ; 75 
 3155 ; 1 сантим. Латвия ; 1938 ;  ; Cu ; XF ; 25 ; коллега5 ; 61 
 3156 ; 1 цент. США ; 1897 ;  ; Cu ; F-VF ; 15 ; Aleks72 ; 290 
 3157 ; 1 цент. США ; 1943 ;  ; Zn ; VF ; 15 ; eres ; 83 
 3158 ; 10 крон. Чехословакия. Стефаник ; 1991 ;  ; Латунь ; AU ; 26 ; Tarkus ; 100 
 3159 ; 10 крон. Чехословакия. Масарик ; 1990 ;  ; Латунь ; AU ; 22 ; tpls ; 102 
 3160 ; 10 крон. Чехословакия. Расин ; 1992 ;  ; Латунь ; XF+ ; 12 ; Tarkus ; 72 
 3161 ; 5 центов. США ; 1936 ;  ; Cu/Ni ; VF- ; 15 ; gandy ; 133 
 3162 ; 1 дайм. США ; 1944 ;  ; Ag ; XF ; 38 ; gandy ; 226 
 3163 ; 1/2 афгани. Афганистан ; 1931 ;  ; Ag ; VF ; 27 ; vc57 ; 375 
 3164 ; 20 чентезими. Италия ; 1914 ;  ; Cu/Ni ; VF- ; 10 ; av ; 57 
 3165 ; 2 цента. Бельгия ; 1878 ;  ; Cu ; VF- ; 16 ; sparrow ; 64 
 3166 ; 10 франков. Франция ; 1987 ;  ; Al/Br ; AU ; 28 ; stingr ; 80 
