 5647 ; Конверт со спецгашением Гренландия ;  ;  ;  ;  ; 11 ; гоша334 ; 102 
 5194 ; Чек Украинский народный кооперативный банк ;  ;  ;  ;  ; 25 ; Sparks ; 680 
 5195 ; 10 копеек ; 1989 ;  ;  ;  ; 5 ; 4758 ; 51 
 5196 ; 10 копеек ; 1978 ;  ;  ;  ; 5 ; 4758 ; 51 
 5097 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; VAZ-2107 ; 101 
 5098 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; hoop ; 77 
 5099 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 42 ; krass ; 211 
 5100 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; TDV ; 123 
 5101 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; rik ; 81 
 5102 ; Лот бон России 2 шт ;  ;  ;  ;  ; 37 ; TDV ; 205 
 5103 ; Лот бон России 3 шт ; 1918-19 ;  ;  ;  ; 45 ; TDV ; 771 
 5104 ; Лот бон России 3 шт ;  ;  ;  ;  ; 10 ; магаз ; 126 
 5105 ; Лот бон России 4 шт ; 1919-38 ;  ;  ;  ; 37 ; TDV ; 706 
 5106 ; Лот бон 3 рубля, 20 штук в листе ;  ;  ;  ;  ; 29 ; магаз ; 1019 
 5107 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 15 ; VAZ-2107 ; 101 
 5108 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 24 ; g.s.g ; 252 
 5109 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 37 ; sharapov.s21 ; 301 
 5110 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 11 ; lsp25 ; 319 
 5111 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 38 ; TDV ; 205 
 5112 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 13 ; Sky2 ; 318 
 5113 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 20 ; TDV ; 88 
 5114 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 13 ; Sky2 ; 227 
 5115 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 16 ; kop ; 234 
 5116 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 51 ; TDV ; 600 
 5117 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 45 ; kop ; 1836 
 5118 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 26 ; sharapov.s21 ; 663 
 5119 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 17 ; rolan1 ; 721 
 5120 ; 3 рубля ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 27 ; rolan1 ; 710 
 5121 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 19 ; rolan1 ; 714 
 5122 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 32 ; hhmm ; 793 
 5123 ; 25 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 33 ; rolan1 ; 710 
 5124 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; AU ; 33 ; Andreyspb ; 2052 
 5125 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 52 ; sotnik ; 2604 
 5126 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 8 ; MG ; 825 
 5127 ; 500 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 32 ; ZIMOGOR ; 1050 
 5128 ; 1 рубль ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 20 ; lsp25 ; 1530 
 5129 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 23 ; sotnik ; 1587 
 5130 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; XF+ ; 27 ; Sky2 ; 2856 
 5131 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 25 ; இ ; 1385 
 5132 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 37 ; физмат ; 918 
 5133 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 71 ; физмат ; 2223 
 5134 ; Лот бон 3 шт ; 1921-23 ;  ;  ;  ; 58 ; вэл ; 645 
 5135 ; Лот бон  ( 2шт.) ;  ;  ;  ;  ; 8 ; uz ; 234 
 5136 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 26 ; cr3041 ; 551 
 5137 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ;  ; 21 ; 13 ; 312 
 5138 ; 2 копейки ; 1924 ; Разменные казн.боны ;  ;  ; 45 ; bonipari ; 2507 
 5139 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 26 ; uz ; 625 
 5140 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 22 ; oleg61 ; 480 
 5141 ; 3 червонца ; 1937 ; Билет ;  ;  ; 26 ; TDV ; 375 
 5142 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 29 ; 1027 ; 385 
 5143 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 32 ; இ ; 797 
 5144 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 19 ; cr3041 ; 231 
 5145 ; Лот бон СССР 2 шт ; 1938 ;  ;  ;  ; 37 ; cr3041 ; 405 
 5146 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 33 ; Vb[fksx ; 1173 
 5047 ; Лот бон России 4 ш ;  ;  ;  ;  ; 28 ; இ ; 496 
 5048 ; Лот бон России 2 шт ; 1910-12 ;  ;  ;  ; 43 ; Hikon ; 561 
 5049 ; Лот бон России 2 шт ; 1909-17 ;  ;  ;  ; 20 ; uz ; 108 
 5050 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 25 ; lsp25 ; 295 
 5051 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 11 ; самка кота ; 318 
 5052 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 27 ; Dimitr1 ; 222 
 5053 ; 20 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 21 ; pos ; 230 
 5054 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 11 ; hhmm ; 232 
 5055 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 19 ; X3.96rus ; 294 
 5056 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 17 ; Dimitr1 ; 201 
 5057 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 17 ; cr3041 ; 204 
 5058 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 19 ; Energo ; 305 
 5059 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; VAZ-2107 ; 114 
 5060 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; to-to ; 101 
 5061 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 25 ; VAZ-2107 ; 152 
 5062 ; 100 рублей ; 1919 ;  ;  ;  ; 19 ; Нумик2016 ; 15867 
 5063 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ; AU ; 28 ; Sky2 ; 2907 
 5064 ; 500 рублей ; 1920 ;  ;  ;  ; 36 ; пмт79 ; 1221 
 5065 ; 100 рублей ; 1920 ;  ;  ;  ; 29 ; пмт79 ; 1039 
 5066 ; 5000 рублей ; 1919 ;  ;  ;  ; 20 ; sharapov.s21 ; 567 
 5067 ; 5000 рублей ; 1919 ;  ;  ;  ; 30 ; ВС ; 625 
 5068 ; 10000 рублей ; 1919 ;  ;  ;  ; 35 ; cr3041 ; 306 
 5069 ; 10000 рублей ; 1919 ;  ;  ;  ; 18 ; ВС ; 521 
 5070 ; 100 рублей ; 1919 ;  ;  ;  ; 30 ; kop ; 1020 
 5071 ; 250 рублей ; 1918 ;  ;  ;  ; 20 ; ZIMOGOR ; 589 
 5072 ; 10 рублей ; 1918 ;  ;  ;  ; 14 ; Krys ; 463 
 5073 ; 1000 рублей ; 1919 ;  ;  ;  ; 14 ; Energo ; 500 
 5074 ; 500 рублей ; 1920 ;  ;  ;  ; 31 ; இ ; 347 
 5075 ; 500 рублей ; 1920 ;  ;  ;  ; 25 ; sharapov.s21 ; 220 
 5076 ; 500 рублей ; 1920 ;  ;  ;  ; 18 ; cr3041 ; 153 
 5077 ; 25 рублей г.Одесса ; 1917 ;  ;  ;  ; 22 ; kop ; 681 
 5078 ; 10 рублей г.Одесса ; 1917 ;  ;  ;  ; 30 ; evdiral ; 1020 
 5079 ; 250 рублей г. Житомир ; 1920 ;  ;  ;  ; 20 ; физмат ; 709 
 5080 ; 20 рублей. Сцепка 4шт. ;  ; Денежные знаки ;  ;  ; 12 ; cr3041 ; 123 
 5081 ; 1 рубль ; 1918 ; Областной кредитный билет Урала. ;  ;  ; 18 ; бич ; 264 
 5082 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 42 ; X3.96rus ; 306 
 5083 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 23 ; трутень ; 120 
 5084 ; 200 рублей ; 1919 ;  ;  ;  ; 15 ; oleg61 ; 612 
 5085 ; 200 рублей ; 1919 ;  ;  ;  ; 31 ; ВС ; 510 
 5086 ; 500 рублей ; 1920 ;  ;  ;  ; 17 ; pref ; 101 
 5087 ; 5 рублей ; 1918 ; Закавказье ;  ;  ; 24 ; 1027 ; 494 
 5088 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 61 ; இ ; 529 
 5089 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 34 ; bonipari ; 288 
 5090 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 31 ; Четырехлистник ; 308 
 5091 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 50 ; இ ; 569 
 5092 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 27 ; prostor.71 ; 250 
 5093 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; XF ; 36 ; Sky2 ; 1020 
 5094 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 48 ; krass ; 338 
 5095 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; Holder31 ; 162 
 5096 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 5 ; юрастав ; 101 
 4536 ; Лот монет Тринидад и Тобаго: 7шт ;  ;  ; Cu-Ni,Br ; VF/Proof ; 17 ; vak ; 193 
 4537 ; Лот монет Словении: 5шт ;  ;  ; Al/Br,Cu-Ni ; XF ; 20 ; vasek ; 80 
 4538 ; Лот монет Венгрии: 8шт ;  ;  ; Al/Br,Al,Cu-Ni ; VF/XF ; 10 ; MAPKu3 ; 34 
 4539 ; Лот монет Греции: 3шт ;  ;  ; Al/Br ; VF ; 14 ; Jek327 ; 82 
 5001 ; 5 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; Нумик2016 ; 7933 
 5002 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; квв76 ; 567 
 5003 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 48 ; sotnik ; 1111 
 5004 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 53 ; sotnik ; 1157 
 5005 ; Лот бон 100 рублей, 3 шт ; 1910 ;  ;  ;  ; 47 ; палыч218 ; 928 
 5006 ; Лот бон 100 рублей 2 шт ; 1910 ;  ;  ;  ; 76 ; X3.96rus ; 701 
 5007 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 34 ; ZOLTAN333 ; 1066 
 5008 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 25 ; 7890 ; 440 
 5009 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; палыч218 ; 207 
 5010 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; krosh500 ; 86 
 5011 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 31 ; krass ; 294 
 5012 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; krosh500 ; 182 
 5013 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; спарта ; 51 
 5014 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; Energo ; 99 
 5015 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; serg98 ; 45 
 5016 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; X3.96rus ; 50 
 5017 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; VVX ; 45 
 5018 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; магаз ; 44 
 5019 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 6 ; Energo ; 101 
 5020 ; Лот бон 10 рублей 3 шт ;  ;  ;  ;  ; 16 ; krass ; 181 
 5021 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Ustin ; 150 
 5022 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; магаз ; 41 
 5023 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; магаз ; 41 
 5024 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; 333985 ; 42 
 5025 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; serg98 ; 46 
 5026 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; mrchegevara ; 45 
 5027 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; X3.96rus ; 50 
 5028 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; an78gg ; 45 
 5029 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 19 ; VVX ; 41 
 5030 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 29 ; Energo ; 53 
 5031 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; САС ; 50 
 5032 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; нв1975 ; 202 
 5033 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; Energo ; 107 
 5034 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; Grizli69 ; 77 
 5035 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 57 ; Ustin ; 200 
 5036 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 27 ; спарта ; 174 
 5037 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 5 ; спарта ; 123 
 5038 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 5 ; САС ; 50 
 5039 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 5 ; зузубр ; 50 
 5040 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 61 ; Ustin ; 4624 
 5041 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 33 ; Energo ; 97 
 5042 ; Лот бон 1 рубль 5 шт ; 1898 ;  ;  ;  ; 22 ; mrchegevara ; 209 
 5043 ; Лот бон 1 рубль 2 шт ; 1898 ;  ;  ;  ; 11 ; зузубр ; 226 
 5044 ; Лот бон 5 рублей 2 шт ; 1909 ;  ;  ;  ; 15 ; Energo ; 107 
 5045 ; Лот бон России 5 шт ; 1905-09 ;  ;  ;  ; 38 ; sergey35 ; 138 
 5046 ; Лот бон России 5 шт ; 1905-09 ;  ;  ;  ; 20 ; триори ; 200 
 4486 ; Лот монет США (4шт):1/4 доллара ;  ;  ;  ; XF/AU ; 19 ; artem64 ; 98 
 4487 ; Лот монет Израиля: 5шт ;  ;  ; Cu-Ni,Лат ; XF ; 11 ; buben ; 57 
 4488 ; Лот монет Коста-Рики (5шт) ; 1985-1995 ;  ; Cu-Ni,Al/Br ; XF ; 16 ; heavy_fly ; 77 
 4489 ; Лот монет Великобритании: 5шт ;  ;  ; Br ; VF ; 23 ; buben ; 51 
 4490 ; Лот монет США (3шт): 1/4 доллара ; 2004-2009 ;  ; Cu-Ni ; XF/XF+ ; 30 ; xoltecl ; 134 
 4491 ; Лот монет Куба (5шт) ;  ;  ; Al,Ni ; VF/XF ; 24 ; hoop ; 69 
 4492 ; Лот иностранных монет: 5шт ;  ;  ; Br,Cu-Ni ; VF-/XF ; 7 ; лексан 98 ; 78 
 4493 ; Лот монет Польши: 7шт ;  ;  ; Cu-Ni,Al/Br,Al ; VF/XF ; 26 ; MAPKu3 ; 72 
 4494 ; Лот монет США (3шт): 1/4 доллара ; 2005-2015 ;  ; Cu-Ni ; XF/XF+ ; 29 ; тарнум ; 120 
 4495 ; Лот монет Турции: 5шт ; 18-19 века ;  ; Ag ; F- ; 14 ; modul ; 203 
 4496 ; Лот монет США (5шт) ; 1916-1994 ;  ;  ; VF-/XF ; 17 ; El dinero ; 122 
 4497 ; Лот монет Швеции, Нидерландов, Италии, США, Латвии: 13шт ;  ;  ; Ag ; F/VF ; 7 ; El dinero ; 619 
 4498 ; Лот монет мира: 20шт ;  ;  ; Ag ; F/F-VF ; 15 ; 220W ; 2122 
 4499 ; Лот монет иностранных (8шт) ;  ;  ;  ; F/XF ; 5 ; S1952 ; 56 
 4500 ; Лот монет США (2шт): 5 центов ; 2004-2005 ;  ; Cu-Ni ; AU ; 35 ; ialaiola ; 64 
 4501 ; Лот монет Польши: 21шт ;  ;  ; Al/Br,Al,Би/м ; VF/XF ; 3 ; Парарам ; 410 
 4502 ; Лот монет Украины: 6шт ;  ;  ; Лат,St ; VF/XF ; 5 ; Maksss163 ; 18 
 4503 ; Лот монет Великобритании: 1,2,5,10,20,50 пенсов, 1 фунт (7шт) ;  ;  ; Br,Cu-Ni,Лат ; VF/AU ; 10 ; пинокио ; 92 
 4504 ; Лот монет мира: 25шт ;  ;  ; Cu-Ni,Br,Zn ; VF-/VF+ ; 21 ; yov99 ; 408 
 4505 ; Лот монет Монголии: 5шт ;  ;  ; Cu-Ni,Al ; VF ; 25 ; LeftRight ; 75 
 4506 ; Лот монет США: 1/4 доллара (2шт) ; 2001,2006 ;  ; Cu-Ni ; XF ; 29 ; xoltecl ; 89 
 4507 ; Лот иностранных монет (7шт) ;  ;  ; St,Fe,Al,би/м ; VF/AU ; 19 ; юрий73 ; 185 
 4508 ; Лот монет Германии (7шт): 10,5,2пфеннигов ;  ;  ; Al,Br,Cu ; VF ; 9 ; SER 888 ; 21 
 4509 ; Лот монет США (2шт): 1/4 доллара ; 2003 ;  ; Cu-Ni ; XF+ ; 26 ; xoltecl ; 89 
 4510 ; Лот монет Финляндии (3шт): 10 марок,1 марка ; 1977-1993 ;  ;  ; VF/VF+ ; 13 ; buben ; 41 
 4511 ; Лот монет Барбадоса (5шт) ; 2011-2012 ;  ; Б/м,ж/м ; AU ; 26 ; teso ; 161 
 4512 ; Лот монет США (Штаты): 15шт ;  ;  ; Cu-Ni ; VF-XF ; 25 ; ialaiola ; 340 
 4513 ; Лот монет Польши: 2шт ;  ;  ; Би/м,Cu-Ni ; VF+/XF ; 10 ; modul ; 65 
 4514 ; Лот монет Цейлона: 7шт ;  ;  ; Cu-Ni,Br ; F/XF ; 7 ; Серж PirGS ; 374 
 4515 ; Лот евроцентов: 5шт ;  ;  ; Лат,Cu/St ; XF/AU ; 9 ; nivva ; 31 
 4516 ; Лот монет Финляндии: 15шт ;  ;  ; Al/Br,Al,Cu-Ni ; VF/XF ; 11 ; yov99 ; 57 
 4517 ; Лот монет Японии: 5шт ;  ;  ; Al/Br ; VF/XF ; 23 ; пинокио ; 261 
 4518 ; Лот монет Казахстана (4шт) ; 2015-2016 ;  ; Cu-Ni,ж/м ; AU ; 5 ; ulysse ; 114 
 4519 ; Лот монет Италии: 11шт ;  ;  ; St ; VF ; 7 ; Вадим Скифский ; 51 
 4520 ; Лот монет Кубы и Испании: 6шт ;  ;  ; Cu-Ni,Al/Br ; VF ; 7 ; batuke ; 37 
 4521 ; Лот монет Анголы и Сирии: 8шт ;  ;  ; Cu-Ni,Al/Br ; VF ; 3 ; teso ; 246 
 4522 ; Лот монет Швеции: 4шт ;  ;  ; Fe ; VF ; 16 ; rem ; 34 
 4523 ; Лот монет США (4шт): 1 цент ; 2009 ;  ; Cu ; AU ; 17 ; heavy_fly ; 91 
 4524 ; Лот монет Венгрии: 3шт ;  ;  ; Cu-Ni,Al ; VF ; 9 ; uhfvv7 ; 43 
 4525 ; Лот монет Латвии (9шт) ; 20в ;  ; Al/Br,би/м ; VF/VF+ ; 29 ; DVZ ; 297 
 4526 ; Лот монет Ирака: 3шт ;  ;  ; Cu-Ni ; VF ; 7 ; mix69531 ; 34 
 4527 ; Лот монет Монголии: 4шт ;  ;  ; Cu-Ni ; VF ; 68 ; LeftRight ; 222 
 4528 ; Лот монет Афганистана и Ливии: 5шт ;  ;  ; Cu-Ni,Br ; VF ; 13 ; 312 ; 156 
 4529 ; Лот иностранных монет (3шт) ;  ;  ; Cu-Ni ; VF+/XF ; 8 ; killer777 ; 21 
 4530 ; Лот монет Островов: 9шт ;  ;  ; Cu-Ni,Br ; Proof ; 19 ; Мурзик ; 773 
 4531 ; Лот монет мира: 23шт ;  ;  ; Би/м,St,Cu-Ni ; VF/XF ; 25 ; юрий73 ; 340 
 4532 ; Лот монет Югославии: 6шт ;  ;  ; Лат,Cu-Ni ; AU ; 21 ; El dinero ; 228 
 4533 ; Лот монет Исландии: 8шт ;  ;  ; Al/Br,Cu-Ni ; XF/AU ; 27 ; Markgraf ; 105 
 4534 ; Лот монет иностранных: 15шт ;  ;  ; Cu-Ni,Br ; VF+/XF+ ; 11 ; юрий73 ; 453 
 4535 ; Лот монет США: 1 цент (10шт) ; 1980-1989 ;  ; Br ; VF+/AU ; 9 ; bezop144 ; 48 
 4436 ; Лот монет Мексики (5шт) ; 1906-1974 ;  ;  ; F-/XF+ ; 9 ; yov99 ; 55 
 4437 ; Лот монет иностранных (19шт) ; 20в ;  ; Al,Al/Br,Cu-Ni ; VF/XF ; 5 ; yov99 ; 57 
 4438 ; Лот монет Швеции: 3шт ;  ;  ; Cu-Ni ; VF ; 7 ; yov99 ; 53 
 4439 ; Лот монет Бельгии и Франции: 14шт ;  ;  ; Al/Br,Cu-Ni ; VF/XF ; 17 ; А.А.Д ; 67 
 4440 ; Лот монет Финляндии: 4шт ;  ;  ; Cu-Ni ; VF ; 8 ; Noble ; 102 
 4441 ; Лот монет иностранных: 10шт ;  ;  ; Cu-Ni,Br,Al ; VF/XF+ ; 9 ; Markgraf ; 181 
 4442 ; Лот монет иностранных: 6шт ;  ;  ; Ag ; VG/F ; 20 ; орликиг ; 315 
 4443 ; Лот монет Дании (5шт): 5крон,1крона,50эре,25эре ; 20в ;  ; Cu-Ni,Cu-Zn ; VF/XF ; 12 ; buben ; 57 
 4444 ; Лот монет Украины (2шт): 1 гривна ; 2012-2015 ;  ; Al/Br ; AU ; 12 ; Мурзик ; 31 
 4445 ; Лот монет Франции: 3шт ;  ;  ; Cu-Ni,Би/м ; VF/XF ; 15 ; Jek327 ; 61 
 4446 ; Лот монет Венгрии (9шт) ; 20в ;  ; би/м,б/м ; F-VF/VF ; 6 ; Maxnum ; 21 
 4447 ; Лот монет Африки: 11шт ;  ;  ; Cu-Ni,Br,лат ; VF/XF+ ; 30 ; zx123 ; 542 
 4448 ; Лот монет иностранных: 16шт ;  ;  ; Cu-Ni,Br ; XF-/AU ; 11 ; Серж PirGS ; 374 
 4449 ; Лот монет иностранных: 16шт ;  ;  ; Cu-Ni,Br ; VF+/XF+ ; 17 ; юрий73 ; 377 
 4450 ; Лот монет Кубы: 6шт ;  ;  ; Cu-Ni ; VF ; 30 ; vb96 ; 308 
 4451 ; Лот монет США : 1/4 доллара (16шт) Парки ;  ;  ; Cu-Ni ; XF+/AU ; 36 ; Гарыныч ; 453 
 4452 ; Лот монет Украины (2шт): 1 гривна ; 2012-2015 ;  ; Al/Br ; XF/AU ; 7 ; Мурзик ; 21 
 4453 ; Лот монет Гон-Конга и Китая: 13шт ;  ;  ; Al,Al/Br,Cu-Ni ; VF/XF ; 25 ; Markgraf ; 203 
 4454 ; Лот монет Ямайки: 8шт ;  ;  ; Cu-Ni,Br ; XF/AU ; 22 ; Markgraf ; 359 
 4455 ; Лот монет мира (5шт) ; 1954-1972 ;  ;  ; F/VF+ ; 32 ; mix69531 ; 51 
 4456 ; Лот монет США: 1 цент (10шт) ; 1960-1969 ;  ; Br ; VF/XF- ; 9 ; miranda ; 43 
 4457 ; Лот монет Франции: 8шт ;  ;  ; Cu-Ni,Al/Br ; VF/XF ; 6 ; Flagman ; 38 
 4458 ; Лот монет Африки: 12шт ;  ;  ; Cu-Ni,Br ; VF/XF ; 21 ; велес ; 453 
 4459 ; Лот монет Франции: 3шт ;  ;  ; Al/Br,Al ; VF ; 17 ; chks69 ; 125 
 4460 ; Лот монет Китая: 4шт ;  ;  ; Cu-Ni ; VF ; 11 ; пинокио ; 27 
