 4828 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 42 ; jj ; 74 
 3179 ; 10 крон. Словакия ; 1944 ;  ; Ag ; XF ; 41 ; kostik_ne ; 686 
 3180 ; 10 пиастров. Египет ; 1917 ;  ; Ag ; VF- ; 26 ; Dahan ; 471 
 3181 ; 1 шиллинг. Новая Гвинея ; 1936 ;  ; Ag ; XF- ; 3 ; Алек ; 385 
 3182 ; 1 шиллинг. Великобритания ; 1926 ;  ; Ag ; F-VF ; 50 ; olga42 ; 156 
 3183 ; 20 лева. Болгария ; 1930 ;  ; Ag ; VF- ; 26 ; Sterh ; 91 
 3184 ; 50 эре. Швеция ; 1933 ;  ; Ag ; F+ ; 24 ; Searcher ; 143 
 3185 ; 25 эре. Швеция ; 1940 ;  ; Ag ; VF ; 39 ; MORAN ; 67 
 3186 ; 100 йен. Япония ; 1965 ;  ; Ag ; XF ; 45 ; Gordey72 ; 148 
 3187 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; VF+ ; 18 ; MORAN ; 108 
 3188 ; 3 пенса. Южная Родезия ; 1932 ;  ; Ag ; F-VF ; 57 ; ИЮМов1 ; 161 
 3189 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF- ; 19 ; Searcher ; 102 
 3190 ; 3 пенса. Великобритания ; 1937 ;  ; Ag ; VF+ ; 23 ; MORAN ; 107 
 3191 ; 1/10 гульдена. Нидерланские Антиллы ; 1966 ;  ; Ag ; VF ; 26 ; pref ; 46 
 3192 ; 1/10 гульдена. Нидерланская Индия ; 1942S ;  ; Ag ; XF+ ; 27 ; dases ; 74 
 3193 ; 10 эре. Швеция. Деформация ; 1956 ;  ; Ag ; F ; 23 ; ваньша ; 24 
 3194 ; 1 крона. Великобритания. Виктория. Снята напайка 12 часов ; 1887 ;  ; Ag ; VF ; 48 ; samurai 969 ; 2006 
 3195 ; 1 шиллинг. Великобритания. Виктория ; 1895 ;  ; Ag ; F-VF ; 67 ; Павлов75 ; 344 
 3196 ; 1 шиллинг. Великобритания. Виктория ; 1856 ;  ; Ag ; F ; 12 ; buben ; 185 
 3197 ; 1 пенни. Модель. Великобритания. Виктория ; ND ;  ; Би/м ; VF+ ; 59 ; Searcher ; 709 
 3198 ; 1 пенни. Великобритания ; 1797 ;  ; Cu ; F ; 30 ; mkm1968 ; 332 
 3199 ; 1 пфенниг. ГДР ; 1980А ;  ; Al ; XF ; 4 ; faihu ; 41 
 3200 ; 10 шиллингов. Австрия ; 1973 ;  ; Ag ; XF+ ; 21 ; Jordan ; 199 
 3201 ; 5 центов. Канада. Виктория ; 1896 ;  ; Ag ; VF+ ; 71 ; zzzzz ; 407 
 3202 ; 10 центов. Стрейтс-Сетлментс ; 1898 ;  ; Ag ; F-VF ; 46 ; alexnn ; 294 
 3203 ; 1 пенни. Австралия, Георг VI. Кенгуру ; 1938 ;  ; Br ; VF ; 36 ; rbmamba ; 57 
 3204 ; 5 центов. Британский Гонконг, Виктория ; 1888 ;  ; Ag ; VF ; 16 ; ANNT4 ; 294 
 3205 ; 1/2 доллара. США. Эмигранты ; 1986 ;  ; Cu-Ni ; Proof ; 24 ; olga555 ; 234 
 3206 ; 1 рубль. Беларусь. Международный фестиваль искусств. Славянский базар в Витебске ; 2011 ;  ; Cu-Ni ; Proof ; 45 ; klimvita ; 167 
 3207 ; 1 рубль. Беларусь. Знаки зодиака. Дева ; 2009 ;  ; Cu-Ni ; Proof ; 52 ; krasnodar3000 ; 278 
 3208 ; 1 рубль. Беларусь. Знаки зодиака. Телец ; 2009 ;  ; Cu-Ni ; Proof ; 54 ; Brabus ; 204 
 3209 ; 1 пенни. Британская Австралия, Георг VI ; 1951 ;  ; Br ; VF ; 33 ; маманя ; 53 
 3210 ; 1/2 пенни. Британская Австралия, Георг VI ; 1950 ;  ; Br ; VF ; 14 ; дед морос ; 44 
 3211 ; 10 злотых. Польша. 700 лет Варшаве ; 1965 ;  ; Cu-Ni ; VF-XF ; 43 ; 1gold ; 105 
 3212 ; 5 марок. ГДР. Мейссен ; 1972A ;  ; Cu-Ni ; VF ; 18 ; Юбер ; 98 
 3213 ; 1/2 доллара. США. Джеймс Медисон ; 1993S ;  ; Ag ; Proof ; 48 ; veter 9 ; 775 
 3214 ; 50 пара. Сербия ; 1915 ;  ; Ag ; VF-XF ; 65 ; vasek ; 170 
 3215 ; 0,2 лека. Албания ; 1941R ;  ; St ; XF- ; 10 ; kostik_ne ; 115 
 3216 ; 1 лек. Албания ; 1930V ;  ; Ni ; VF- ; 38 ; kostik_ne ; 101 
 3217 ; 2 эре. Норвегия ; 1937 ;  ; Br ; VF ; 2 ; RF ; 13 
 3218 ; 1 эре. Норвегия ; 1931 ;  ; Br ; VF+ ; 3 ; -IROKEZ- ; 24 
 3219 ; 1 эре. Норвегия ; 1937 ;  ; Br ; VF ; 2 ; RF ; 30 
 3120 ; 100 песет. Испания ; 1993 ;  ; латунь ; VF+ ; 35 ; E.C. ; 101 
 3121 ; 50 центов. Австралия. Серебряный юбилей ; 1977 ;  ; Cu-Ni ; XF+ ; 12 ; Al0851 ; 38 
 3122 ; 50 центов. Австралия. Игры Содружества ; 1982 ;  ; Cu-Ni ; VF ; 26 ; Юбер ; 51 
 3123 ; 2-1/2 гульдена. Нидерланды ; 1979 ;  ; Cu-Ni ; VF+ ; 18 ; Юбер ; 75 
 3124 ; 2-1/2 гульдена. Нидерланды ; 1980 ;  ; Cu-Ni ; AU ; 23 ; a9 ; 202 
 3125 ; 1 доллар. Либерия. 80 лет ; 2006 ;  ; Cu-Ni ; AU ; 13 ; Oleg2000 ; 300 
 3126 ; 50 пенсов. Великобритания. Бег ; 2004 ;  ; Cu-Ni ; VF ; 58 ; olga42 ; 155 
 3127 ; 50 пенсов. Великобритания ; 1973 ;  ; Cu-Ni ; XF ; 5 ; Юбер ; 79 
 3128 ; 1 колон. Коста-Рика ; 1974 ;  ; Cu-Ni ; VF- ; 8 ; aurin1 ; 46 
 3129 ; 1 доллар. Новая Зеландия. 25 лет коронации ; 1978 ;  ; Cu-Ni ; AU ; 21 ; a9 ; 179 
 3130 ; 1 доллар. Новая Зеландия. 25 лет коронации ; 1978 ;  ; Cu-Ni ; AU ; 34 ; AGM62 ; 160 
 3131 ; 1 доллар. Новая Зеландия ; 1980 ;  ; Cu-Ni ; AU ; 7 ; a9 ; 159 
 3132 ; 1 доллар. Новая Зеландия. Игры Содружества ; 1974 ;  ; Cu-Ni ; AU ; 6 ; a9 ; 155 
 3133 ; 10 пфеннигов. Германия. Нотгельд. Трир. Аверс/Реверс 45 градусов ; ND ;  ; Fe ; F+ ; 53 ; ganza ; 147 
 3134 ; 10 пфеннигов. Германия. Нотгельд. Люден ; 1918 ;  ; Fe ; F-VF ; 25 ; s8888888888 ; 288 
 3135 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F-VF ; 6 ; s8888888888 ; 222 
 3136 ; 10 пфеннигов. Германия. Нотгельд. Бонн ; 1919 ;  ; Fe ; F+ ; 14 ; Опятор ; 117 
 3137 ; 2 лека. Албания ; 1939 ;  ; St ; VF+ ; 35 ; Sterh ; 90 
 3138 ; 20 пара. Черногория ; 1914 ;  ; Cu-Ni ; XF ; 16 ; кве ; 261 
 3139 ; 10 сентимов. Франция ; 1943 ;  ; Zn ; VF-XF ; 13 ; DVZ ; 79 
 3140 ; 20 сентимов. Франция ; 1943 ;  ; Zn ; VF-XF ; 11 ; DVZ ; 79 
 3141 ; 1 марка. Финляндия ; 1942 ;  ; Cu ; VF ; 15 ; Northman ; 45 
 3142 ; 1 цент. США. Линкольн ; 1951 ;  ; Cu ; VF ; 23 ; Northman ; 75 
 3143 ; 5 пара. Югославия ; 1979 ;  ; латунь ; AU ; 10 ; a9 ; 26 
 3144 ; 10 миллим. Египет ; 1938 ;  ; Cu-Ni ; XF+ ; 9 ; кве ; 83 
 3145 ; 1 миллим. Египет ; 1938 ;  ; Cu-Ni ; XF ; 5 ; кве ; 194 
 3146 ; 1 фунт. Сирия ; 1978 ;  ; Ni ; VF+ ; 18 ; Опятор ; 75 
 3147 ; 1 доллар. Австралия. Год пенсионеров ; 1999 ;  ; латунь ; VF+ ; 10 ; rbmamba ; 80 
 3148 ; 5 гривен. Украина. 850 лет городу Снятин ; 2008 ;  ; Cu-Ni ; Proof ; 25 ; krasnodar3000 ; 124 
 3149 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; Proof ; 41 ; krasnodar3000 ; 153 
 3150 ; 5 гривен. Украина. 725 лет городу Ровно ; 2008 ;  ; Cu-Ni ; Proof ; 54 ; krasnodar3000 ; 167 
 3151 ; 5 гривен. Украина. Стельмах ; 2009 ;  ; Cu-Ni ; Proof ; 75 ; krasnodar3000 ; 177 
 3152 ; 5 гривен. Украина. 225 лет городу Симферополь ; 2009 ;  ; Cu-Ni ; AU ; 12 ; Germanfox ; 163 
 3153 ; 5 гривен. Украина. Кузнец ; 2011 ;  ; Cu-Ni ; Proof ; 58 ; krasnodar3000 ; 156 
 3154 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; Proof ; 36 ; krasnodar3000 ; 151 
 3155 ; 5 гривен. Украина. 175 лет Дендрологическому парку ; 2008 ;  ; Cu-Ni ; Proof ; 49 ; krasnodar3000 ; 146 
 3156 ; 5 гривен. Украина. Сакское озеро ; 2007 ;  ; Cu-Ni ; Proof ; 28 ; krasnodar3000 ; 218 
 3157 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; Proof ; 39 ; krasnodar3000 ; 179 
 3158 ; 5 гривен. Украина. Казацкая лодка ; 2010 ;  ; Cu-Ni ; Proof ; 25 ; krasnodar3000 ; 157 
 3159 ; 5 гривен. Украина. 15 лет независимости Украины ; 2006 ;  ; Cu-Ni ; AU ; 29 ; Опятор ; 129 
 3160 ; 5 гривен. Украина. Самолеты Украины ; 2005 ;  ; Cu-Ni ; AU ; 13 ; bethowen ; 177 
 3161 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; Proof ; 55 ; krasnodar3000 ; 153 
 3162 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu-Ni ; Proof ; 43 ; krasnodar3000 ; 114 
 3163 ; 2 гривны. Украина. Павел Чубинский ; 2009 ;  ; Cu-Ni ; Proof ; 54 ; krasnodar3000 ; 120 
 3164 ; 5 гривен. Украина. 20 лет независимости Украины ; 2011 ;  ; Cu-Ni ; Proof ; 83 ; krasnodar3000 ; 153 
 3165 ; 5 гривен. Украина. Международный год лесов ; 2011 ;  ; Би/м ; AU ; 65 ; щекин ; 165 
 3166 ; 5 гривен. Украина. Бугай ; 2007 ;  ; Би/м ; AU ; 77 ; щекин ; 131 
 3167 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 29 ; dsp ; 111 
 3168 ; 1 крона. Эстония ; 2008 ;  ; Лат ; AU ; 13 ; buba1986 ; 25 
 3169 ; 1 лат. Латвия. Ёж ; 2012 ;  ; Cu-Ni ; AU ; 45 ; vc57 ; 161 
 3070 ; 500 лева. Болгария. Атлантическая солидарность ; 1997 ;  ; Cu-Ni ; Proof ; 17 ; kostik_ne ; 148 
 3071 ; 1000 лева. Болгария. 100 лет Болгарскому телеграфу ; 1998 ;  ; Cu-Ni ; Proof ; 11 ; salim ; 155 
 3072 ; 5 лир. Италия. Ломбардия ; 1848М ;  ; Ag ; XF- ; 63 ; кве ; 7418 
 3073 ; 1 крона. Великобритания ; 1820 ;  ; Ag ; F+ ; 114 ; немец ; 1389 
 3074 ; 5 крон. Швеция. 150 лет конституции ; 1959 ;  ; Ag ; XF ; 50 ; vitapool ; 411 
 3075 ; 5 кран. Иран ; 1320 ;  ; Ag ; XF+ ; 42 ; суслик ; 1505 
 3076 ; 2 кроны. Дания. 60 лет со дня рождения ; 1930 ;  ; Ag ; VF-XF ; 80 ; princ datskii ; 726 
 3077 ; 20 эскудо. Португальский Мозамбик ; 1960 ;  ; Ag ; VF+ ; 32 ; Searcher ; 403 
 3078 ; 2 шиллинга-6 пенсов. Ирландия ; 1940 ;  ; Ag ; F-VF ; 27 ; ВМШ ; 581 
 3079 ; 1 дайм. США ; 1905O ;  ; Ag ; F+ ; 68 ; gabbels ; 677 
 3080 ; 1/2 дайма. США ; 1857 ;  ; Ag ; F-VF ; 89 ; gabbels ; 955 
 3081 ; 5 долларов. Гон-Конг ; 1993 ;  ; cu-Ni ; VF- ; 7 ; гарик ; 51 
 3082 ; 2 рупии. Шри-Ланка ; 1995 ;  ; cu-Ni ; AU ; 27 ; гарик ; 62 
 3083 ; 100 лир. Ватикан ; 1955 ;  ; St ; XF ; 23 ; немец ; 51 
 3084 ; 50 чентезимо. Италия ; 1942R ;  ; St ; AU ; 25 ; v_bond ; 93 
 3085 ; 5 центов. США ; 20 век ;  ; Ni ; F ; 43 ; yunker ; 56 
 3086 ; 20 раппен. Швейцария ; 1881 ;  ; cu-Ni ; F-VF ; 40 ; гарик ; 75 
 3087 ; 25 центов. Бельгия ; 1942 ;  ; Zn ; F-VF ; 13 ; гарик ; 24 
 3088 ; 10 сантимов. Люксембург ; 1901 ;  ; cu-Ni ; XF- ; 42 ; Komod ; 101 
 3089 ; 1 цент. США. Индеец ; 1906 ;  ; Cu ; F-VF ; 33 ; alex550 ; 204 
 3090 ; 1 цент. США. Индеец ; 1907 ;  ; Cu ; F+ ; 20 ; маманя ; 79 
 3091 ; 5 центов. США ; 1899 ;  ; Cu-Ni ; VF- ; 40 ; gabbels ; 459 
 3092 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; AU ; 49 ; john282 ; 510 
 3093 ; 10 злотых. Польша. 60 лет Варшавскому восстанию ; 2004 ;  ; Ag ; Proof ; 26 ; М662 ; 734 
 3094 ; 10 злотых. Польша. Константин Гольжинский ; 2005 ;  ; Ag ; Proof ; 95 ; alexpakh ; 698 
 3095 ; 10 злотых. Польша. Сибирские изгнаия ; 2008 ;  ; Ag,цирконий ; Proof ; 50 ; 1gold ; 1106 
 3096 ; 10 злотых. Польша. 100 лет TOPR ; 2009 ;  ; Ag ; Proof ; 66 ; krasnodar3000 ; 759 
 3097 ; 20 вон. Северная Корея. Год Кролика ; 2010 ;  ; Al ; Proof ; 64 ; olga42 ; 306 
 3098 ; 5 экю. Швейцария. Самолеты (Боинг B-17, Мессершмидт-109) ; 1995 ;  ; Cu-Ni ; AU ; 71 ; ВМШ ; 359 
 3099 ; 2 евро. Германия. Бремен ; 2010A ;  ; Би/м ; AU ; 28 ; SKeeper ; 152 
 3100 ; 50 лева. Болгария. 100 лет гимнастике Болгарии ; 1994 ;  ; Cu-Ni ; Proof ; 29 ; v_bond ; 124 
 3101 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 26 ; Юбер ; 75 
 3102 ; 2 лева. Болгария. Кану-Каяк ; 1989 ;  ; Cu-Ni ; Proof ; 27 ; t_v_v ; 73 
 3103 ; 2 лева. Болгария. Второй совместный полет СССР-НРБ ; 1988 ;  ; Cu-Ni ; Proof ; 16 ; t_v_v ; 73 
 3104 ; 2 лева. Болгария. Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 13 ; Юбер ; 73 
 3105 ; 2 лева. Болгария. Восстание Асена и Петра ; 1981 ;  ; Cu-Ni ; AU ; 25 ; д166 ; 80 
 3106 ; 1 лев. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 16 ; v_bond ; 82 
 3107 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; Proof ; 39 ; Опятор ; 129 
 3108 ; 2 гривны. Украина. 125 лет Политехническому  институту ; 2010 ;  ; Cu-Ni ; Proof ; 48 ; krasnodar3000 ; 147 
 3109 ; 2 гривны. Украина. Запорожская область ; 2009 ;  ; Cu-Ni ; Proof ; 48 ; krasnodar3000 ; 155 
 3110 ; 2 лева. Болгария. Климент Охридский ; 1966 ;  ; Cu-Ni ; XF ; 13 ; yuri.gruzdev ; 113 
 3111 ; 1 лев. Болгария ; 1969 ;  ; Cu-Ni ; F-VF ; 8 ; Юбер ; 44 
 3112 ; 5 долларов. Австралия. Олимпиада ; 2000 ;  ; Латунь ; AU ; 14 ; aziya11 ; 361 
 3113 ; 5 долларов. Австралия. Олимпиада ; 2000 ;  ; Латунь ; AU ; 16 ; potapov0 ; 395 
 3114 ; 5 долларов. Австралия. Олимпиада ; 2000 ;  ; Латунь ; AU ; 11 ; potapov0 ; 367 
 3115 ; 5 сентаво. Мексика ; 1944 ;  ; Br ; AU ; 20 ; Valery2010 ; 171 
 3116 ; 1 миллим. Египет ; 1950 ;  ; Br ; XF- ; 12 ; himik-58 ; 181 
 3117 ; 5 миллим. Египет ; 1941 ;  ; Cu-Ni ; VF-XF ; 5 ; кве ; 65 
 3118 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF- ; 13 ; Юбер ; 39 
 3119 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF- ; 9 ; vasek ; 102 
 3020 ; 10 долларов. Сьерра-Леоне. Медоед ; 2008 ;  ; Cu-Ni, оксидир ; AU ; 65 ; Ник 2 ; 520 
 3021 ; 10 долларов. Сьерра-Леоне. Дукер ; 2008 ;  ; Cu-Ni, оксидир ; AU ; 24 ; Ник 2 ; 465 
 3022 ; 10 долларов. Сьерра-Леоне. Bush baby ; 2008 ;  ; Cu-Ni, оксидир ; AU ; 14 ; Ник 2 ; 465 
 3023 ; 10 долларов. Сьерра-Леоне. Бегемот ; 2008 ;  ; Cu-Ni, оксидир ; AU ; 40 ; Ник 2 ; 465 
 3024 ; 1 доллар. Ниуэ. Год Свиньи ; 2007 ;  ; Ag ; AU ; 17 ; uncounted ; 1271 
 3025 ; 1 доллар. Ниуэ. Год Крысы ; 2008 ;  ; Ag, краска ; XF ; 42 ; usacom ; 1338 
 3026 ; 1 доллар. Австралия. Год Быка ; 2009 ;  ; Ag, позолота ; AU ; 15 ; aziya11 ; 1284 
 3027 ; 1 доллар. Австралия. 50 лет Острову Рождества ; 2008 ;  ; Ag, краска ; Proof ; 14 ; 100924 ; 1683 
 3028 ; 1 доллар. Австралия. Кукабарра ; 2009 ;  ; Ag ; AU ; 23 ; АЛЬБЕРТ ; 1127 
 3029 ; 5 долларов. Острова Кука. France II ; ND ;  ; Ag ; Proof ; 35 ; Алек ; 1794 
 3030 ; 5 долларов. Острова Кука. Kruzenstern ; ND ;  ; Ag ; Proof ; 8 ; Алек ; 1787 
 3031 ; 5 долларов. Острова Кука. Кристиан Радик ; ND ;  ; Ag ; Proof ; 8 ; Алек ; 1765 
 3032 ; 5 долларов. Острова Кука. Thomas W.Lawson ; ND ;  ; Ag ; Proof ; 18 ; Алек ; 1749 
 3033 ; 5 долларов. Острова Кука. Preussen ; ND ;  ; Ag ; Proof ; 26 ; Алек ; 1779 
 3034 ; 5 долларов. Острова Кука. Седов ; ND ;  ; Ag ; Proof ; 27 ; Алек ; 1809 
 3035 ; 5 квача. Малави. Путешествие по Африке ; 2006 ;  ; Ag, краска ; Proof ; 17 ; Иа-Иа ; 1226 
 3036 ; 100 драм.  Армения. Футбол. Пеле ; 2008 ;  ; Ag, краска ; Proof ; 35 ; potapov0 ; 1814 
 3037 ; 100 драм. Армения. Стрелец ; 2008 ;  ; Ag, краска ; Proof ; 46 ; Artemon ; 1280 
 3038 ; 5 лат. Латвия ; 1932 ;  ; Ag ; AU ; 67 ; Harder ; 1365 
 3039 ; 1 бальбоа. Панама. Нуньес де Бальбоа ; 1947 ;  ; Ag ; AU ; 58 ; кве ; 1768 
 3040 ; 10 евро. Греция. Олимпиада. Штанга ; 2004 ;  ; Ag ; Proof ; 97 ; Толяныч ; 1661 
 3041 ; 10 евро. Греция. Олимпиада. Прыжки через барьеры ; 2004 ;  ; Ag ; Proof ; 70 ; Толяныч ; 1635 
 3042 ; 10 евро. Греция. Олимпиада. Бег ; 2004 ;  ; Ag ; Proof ; 66 ; Толяныч ; 1540 
 3043 ; 10 евро. Греция. Олимпиада. Волейбол ; 2004 ;  ; Ag ; Proof ; 48 ; Толяныч ; 1525 
 3044 ; 10 евро. Греция. Олимпиада. Футбол ; 2004 ;  ; Ag ; Proof ; 178 ; Толяныч ; 1683 
 3045 ; 100 шиллингов. Сомали. Олимпиада. Бег ; 2001 ;  ; Ag ; Proof ; 95 ; джокер ; 711 
 3046 ; 100 лева. Болагрия ; 1937 ;  ; Ag ; XF ; 24 ; lsp25 ; 452 
 3047 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; XF+ ; 100 ; kostik_ne ; 250 
 3048 ; 2 драхмы. Крит. Снята напайка 12 часов ; 1901 ;  ; Ag ; F ; 170 ; Санитар ; 2841 
 3049 ; 2 динара. Сербия ; 1915 ;  ; Ag ; XF ; 101 ; варяг2004 ; 575 
 3050 ; 20 куруш. Турция ; 1293 ;  ; Ag ; VF ; 43 ; DVZ ; 740 
 3051 ; Йузлук. Турция ; 1203 ;  ; Ag ; VF- ; 147 ; kont ; 925 
 3052 ; 1 доллар. США ; 1922S ;  ; Ag ; XF ; 52 ; Gordey72 ; 1157 
 3053 ; 100 рейс. Португалия ; 1910 ;  ; Ag ; XF+ ; 86 ; kostik_ne ; 363 
 3054 ; 5 куруш. Турция ; 1277 ;  ; Ag ; VF- ; 96 ; дед морос ; 247 
 3055 ; 10 пиастров. Египет ; 1939 ;  ; Ag ; XF+ ; 24 ; ВМШ ; 591 
 3056 ; 5 пиастров. Египет ; 1939 ;  ; Ag ; XF+ ; 17 ; Northman ; 310 
 3057 ; 2 пиастра. Египет ; 1944 ;  ; Ag ; XF ; 36 ; Jordan ; 255 
 3058 ; 2 пиастра. Египет ; 1937 ;  ; Ag ; XF- ; 16 ; Northman ; 198 
 3059 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 96 ; MBP ; 222 
 3060 ; 2 лева. Болгария ; 1913 ;  ; Ag ; XF ; 94 ; варяг2004 ; 412 
 3061 ; 1 лев. Болгария ; 1910 ;  ; Ag ; XF- ; 58 ; Harder ; 227 
 3062 ; 1 франг. Албания ; 1937 ;  ; Ag ; XF ; 70 ; S1952 ; 465 
 3063 ; 1 доллар. Новая зеландия. Игры содружества ; 1974 ;  ; Cu-Ni ; AU ; 21 ; v_bond ; 126 
 3064 ; 1 доллар. Новая зеландия. Игры содружества ; 1980 ;  ; Cu-Ni ; AU ; 27 ; v_bond ; 102 
 3065 ; 5 лева. Болгария. Генеральная конференция ; 1985 ;  ; Cu-Ni ; Proof ; 23 ; sasa1369 ; 90 
 3066 ; 5 лева. Болгария. Кремиковский металл ; 1988 ;  ; Cu-Ni ; Proof ; 20 ; MaRgo ; 92 
 3067 ; 5 лева. Болгария. Хаджи Димитр и Стефан Караджа ; 1988 ;  ; Cu-Ni ; Proof ; 20 ; v_bond ; 124 
 3068 ; 5 лева. Болгария. 90 лет туризму ; 1985 ;  ; Cu-Ni ; Proof ; 33 ; Юбер ; 116 
 3069 ; 5 лева. Болгария. Владимир Димитров ; 1982 ;  ; Cu-Ni ; Proof ; 21 ; sasa1369 ; 90 
 2970 ; 5 песет. Испания ; 1871 ;  ; Ag ; VF- ; 48 ; zelya ; 1154 
 2971 ; 5 франков. Бельгия ; 1871 ;  ; Ag ; VF-XF ; 37 ; Searcher ; 1133 
 2972 ; Торговый доллар. Великобритания ; 1930 ;  ; Ag ; XF ; 66 ; zzzzz ; 2244 
 2973 ; 5 франков. Бельгия. На бракосочетание ; 1853 ;  ; Ag ; XF- ; 59 ; Алек ; 4454 
 2974 ; 1 песо. Мексика ; 1903 ;  ; Ag ; VF-XF ; 26 ; Al75 ; 1362 
 2975 ; 20 куруш. Турция ; 1327(1917) ;  ; Ag ; VF-XF ; 49 ; kont ; 1210 
 2976 ; 5 долларовЛиберия. Футбол. Германия. С сертификатом. D-64мм ; 2006 ;  ; Cu-Ni ; AU ; 62 ; джокер ; 1224 
 2977 ; 1 доллар. США. Олимпиада Лос-Анджелес. В коробке ; 1984S ;  ; Ag ; Proof ; 42 ; olga555 ; 1625 
 2978 ; 1 лат. Латвия. Зоопарк. В коробке ; 2012 ;  ; Ag ; Proof ; 81 ; 100924 ; 2142 
 2979 ; 20 рублей. Беларусь. Пресвятая Богородица/ С сертификатом ; 2011 ;  ; Ag ; Proof ; 50 ; Dr.Goodwin ; 2607 
 2980 ; 1 доллар. США. Морган ; 1880S ;  ; Ag ; XF ; 46 ; alex550 ; 2550 
 2981 ; 100 лева. Болгария ; 1930 ;  ; Ag ; XF ; 50 ; lsp25 ; 465 
 2982 ; 25 песо. Мексика. Олимпиада ; 1968 ;  ; Ag ; AU ; 85 ; fajyz ; 644 
 2983 ; 500 лей. Румыния ; 1944 ;  ; Ag ; VF+ ; 71 ; кве ; 465 
 2984 ; 5 корон. Венгрия ; 1908 ;  ; Ag ; VF-XF ; 129 ; vituzik ; 1173 
 2985 ; 100000 лей. Румыния ; 1946 ;  ; Ag ; XF ; 68 ; Lena6975 ; 777 
 2986 ; 250 лей. Румыния ; 1940 ;  ; Ag ; VF-XF ; 91 ; кве ; 552 
 2987 ; 1 шиллинг. Великобритания ; 1939 ;  ; Ag ; VF-XF ; 24 ; seregaoreshin ; 177 
 2988 ; 5 лева. Болгария ; 1885 ;  ; Ag ; VF+ ; 142 ; lsp25 ; 1392 
 2989 ; 1 флорин. Австрия ; 1861 ;  ; Ag ; XF+ ; 108 ; кве ; 818 
 2990 ; 1 флорин. Австрия ; 1875 ;  ; Ag ; XF ; 32 ; кве ; 769 
 2991 ; 1 флорин. Австрия ; 1879 ;  ; Ag ; XF ; 73 ; кве ; 566 
 2992 ; 1 флорин. Австрия ; 1884 ;  ; Ag ; XF ; 55 ; alexnn ; 653 
 2993 ; 1 флорин. Австрия ; 1887 ;  ; Ag ; XF ; 38 ; кве ; 896 
 2994 ; 1 флорин. Австрия ; 1892 ;  ; Ag ; XF+ ; 25 ; кве ; 727 
 2995 ; 5 франков. Франция ; 1842 ;  ; Ag ; VF ; 57 ; lsp25 ; 1265 
 2996 ; 5 франков. Франция ; 1851A ;  ; Ag ; VF-XF ; 64 ; Алек ; 1855 
 2997 ; 5 франков. Франция ; 1873A ;  ; Ag ; XF- ; 91 ; Searcher ; 1465 
 2998 ; 1 форинт. Венгрия ; 1889 ;  ; Ag ; XF ; 44 ; zelya ; 526 
 2999 ; 1 рупия. Британская Индия ; 1904 ;  ; Ag ; XF- ; 23 ; Searcher ; 656 
 3000 ; 8 реалов. Мексика ; 1829 ;  ; Ag ; F ; 49 ; zelya ; 1272 
 3001 ; 5 песет. Испания ; 1876 ;  ; Ag ; VF+ ; 65 ; Lena6975 ; 1428 
 3002 ; 10 злотых. Польша ; 1935 ;  ; Ag ; XF ; 34 ; lsp25 ; 645 
 3003 ; 10 злотых. Польша ; 1936 ;  ; Ag ; XF ; 55 ; lsp25 ; 604 
 3004 ; 1 флорин. Великобритания ; 1929 ;  ; Ag ; VF-XF ; 21 ; Jordan ; 425 
 3005 ; 1 лира. Италия ; 1863 ;  ; Ag ; VF-XF ; 64 ; Harder ; 563 
 3006 ; 1 лира. Италия ; 1909 ;  ; Ag ; XF- ; 143 ; princ datskii ; 986 
 3007 ; 1 лей. Румыния ; 1914 ;  ; Ag ; VF+ ; 47 ; джон08 ; 306 
 3008 ; 1 лев. Болгария ; 1913 ;  ; Ag ; XF- ; 46 ; first ; 161 
 3009 ; 50 центов. Канада ; 1961 ;  ; Ag ; VF+ ; 15 ; Searcher ; 317 
 3010 ; 1 лира. Италия ; 1907R ;  ; Ag ; XF ; 78 ; Harder ; 1587 
