 5651 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 14 ; mart_si ; 42 
 4035 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF- ; 24 ; vitapool ; 79 
 4036 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF- ; 16 ; vitapool ; 101 
 4037 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; VF+ ; 10 ; vitapool ; 152 
 4038 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 21 ; kaktus1 ; 114 
 4039 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF ; 19 ; vitapool ; 79 
 4040 ; 3 пенса. Великобритания ; 1912 ;  ; Ag ; VF- ; 29 ; vitapool ; 79 
 4041 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; F-VF ; 16 ; vitapool ; 67 
 4042 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF- ; 13 ; POUL ; 67 
 4043 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; VF ; 18 ; vitapool ; 79 
 4044 ; 3 пенса. Великобритания ; 1940 ;  ; Ag ; VF-XF ; 12 ; vitapool ; 155 
 4045 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF-XF ; 23 ; DeusEx ; 160 
 4046 ; 1 герш. Эфиопия ;  ;  ; Ag ; VF ; 28 ; mkm1968 ; 441 
 4047 ; 50 сен. Япония ;  ;  ; Ag ; VF ; 16 ; vitapool ; 464 
 4048 ; 2 пайса. Непал ; 1966 ;  ; Al ; VF- ; 5 ; [Nik] ; 51 
 4049 ; 10 халала. Саудовская Аравия ; 1976 ;  ; Cu-Ni ; XF ; 7 ; ЮрийVRN ; 27 
 4050 ; 5 вон. Корея ; 1972 ;  ; Лат ; VF ; 34 ; Dahan ; 102 
 4051 ; 10 центов. Родезия ; 1964 ;  ; Cu-Ni ; VF+ ; 34 ; noviyok ; 212 
 4052 ; 5 халала. Саудовская Аравия ; 1976 ;  ; Cu-Ni ; XF- ; 11 ; 312 ; 25 
 4053 ; 1/2 цента. Сьерра Леоне ; 1964 ;  ; Br ; XF ; 10 ; Zarik ; 51 
 4054 ; 1 цент. Гандурас ; 1980 ;  ; Br ; XF ; 9 ; [Nik] ; 46 
 4055 ; 10 халала. Саудовская Аравия ; 1972 ;  ; Cu-Ni ; XF- ; 8 ; 312 ; 28 
 4056 ; 1 мон. Корея ; ND (1836) ;  ; Cu ; F ; 21 ; mkm1968 ; 329 
 4057 ; 1 мон. Корея ; ND (1742) ;  ; Cu ; F ; 21 ; Monata ; 375 
 4058 ; 1 мон. Корея ; 1857 ;  ; Cu ; F ; 14 ; Monata ; 357 
 4059 ; 1 мон. Корея ; ND ;  ; Cu ; F ; 9 ; mkm1968 ; 340 
 4060 ; 1 мон. Корея ; ND (1823) ;  ; Cu ; F ; 11 ; mkm1968 ; 340 
 4061 ; 2 мон. Корея. D-30мм ; 1742-1752 ;  ; Cu ; F ; 5 ; Olimpia ; 296 
 4062 ; 1 сон. Корея. Японская оккупация ; 1905-1910 ;  ; Cu ; F-VF ; 26 ; Недорого ; 1020 
 4063 ; 1/2 янг. Корея ;  ;  ; Cu-Ni ; VF- ; 9 ; Olimpia ; 781 
 4064 ; 1 янг. Корея ;  ;  ; Ag ; VF- ; 41 ; Olimpia ; 5348 
 4065 ; 50 лепта. Греция ; 1901 ;  ; Ag ; VF-XF ; 44 ; Папа Свин ; 5573 
 3966 ; 2000 динаров. Иран ; 1332 ;  ; Ag ; VF- ; 36 ; Ok203 ; 1548 
 3967 ; 5 франков. Бельгия (Медальные) ; 1880 ;  ; Cu ; VF+ ; 47 ; Недорого ; 3657 
 3968 ; 20 крон. Дания ; 2009 ;  ; Лат ; AU ; 15 ; Bronco ; 303 
 3969 ; 20 крон. Дания ; 2007 ;  ; Лат ; AU ; 21 ; Bronco ; 426 
 3970 ; 1/10 марки. Гамбург ; 1923 ;  ; Al ; VF- ; 13 ; vladmarkin ; 104 
 3971 ; 1 крона. Остров Мэн. 300-летие монетного обращения. Упаковка ; 1979 ;  ; Cu-Ni ; AU ; 28 ; lestes ; 333 
 3972 ; 25 центов. Канада. Упаковка ; 2012 ;  ; Ni/St ; AU ; 19 ; корса ; 62 
 3973 ; 5 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF ; 7 ; mix69531 ; 37 
 3974 ; 6 пенсов. Великобритания ; 1936 ;  ; Ag ; F ; 11 ; CASH ; 63 
 3975 ; 10 франков. Франция ; 1948 ;  ; Cu-Ni ; XF- ; 10 ; mix69531 ; 36 
 3976 ; 1 рубль. Белоруссия. Софья Гельшанская ; 2006 ;  ; Cu/Ni ; Proof ; 35 ; heavy_fly ; 528 
 3977 ; 1 рубль. Белоруссия. Покатигорошек ; 2009 ;  ; Cu/Ni ; Proof ; 17 ; heavy_fly ; 411 
 3978 ; 1 рубль. Белоруссия. Теннис ; 2005 ;  ; Cu/Ni ; Proof ; 17 ; heavy_fly ; 434 
 3979 ; 1 рубль. Белоруссия. Телец ; 2009 ;  ; Cu/Ni ; Proof ; 25 ; л842 ; 392 
 3980 ; 1 рубль. Белоруссия. Новоселье ; 2008 ;  ; Cu/Ni ; Proof ; 24 ; heavy_fly ; 477 
 3981 ; 1 рубль. Белоруссия. Беловежская пуща ; 2009 ;  ; Cu/Ni ; Proof ; 23 ; л842 ; 480 
 3982 ; 1 рубль. Белоруссия.Вольная борьба ; 2003 ;  ; Cu/Ni ; Proof ; 16 ; heavy_fly ; 477 
 3983 ; 2 лари. Грузия. Чемпионат мира по футболу ; 2006 ;  ; Cu/Ni ; Proof ; 32 ; heavy_fly ; 408 
 3984 ; 5 евро. Финляндия. Природа ; 2014 ;  ; Би/м ; AU ; 27 ; агрессор ; 500 
 3985 ; 5 евро. Финляндия. Природа ; 2014 ;  ; Би/м ; AU ; 24 ; dsp ; 500 
 3986 ; 50 тенге. Казахстан. Кыз куу ; 2008 ;  ; Cu/Ni ; XF ; 12 ; Alex1012 ; 222 
 3987 ; 50 тенге. Казахстан. 20 лет конституции ; 2015 ;  ; Cu/Ni ; XF ; 17 ; kornum ; 128 
 3988 ; 50 тенге. Казахстан. "Буран" ; 2014 ;  ; Cu/Ni ; XF+ ; 17 ; Balagur ; 255 
 3989 ; 50 тенге. Казахстан. Бата ; 2015 ;  ; Cu/Ni ; XF+ ; 11 ; kornum ; 135 
 3990 ; 50 тенге. Казахстан. Беташар ; 2009 ;  ; Cu/Ni ; XF ; 29 ; grimbo ; 206 
 3991 ; 50 тенге. Казахстан. "жил был пес" ; 2014 ;  ; Cu/Ni ; XF+ ; 46 ; flutter ; 368 
 3992 ; 50 тенге. Казахстан. Первый космонавт Ю. Гагарин ; 2011 ;  ; Cu/Ni ; XF ; 24 ; Balagur ; 532 
 3993 ; 50 тенге. Казахстан. Еж ; 2013 ;  ; Cu/Ni ; XF ; 20 ; REC ; 123 
 3994 ; 50 тенге. Казахстан. Отау Котеру ; 2010 ;  ; Cu/Ni ; XF+ ; 25 ; Alex1012 ; 310 
 3995 ; 50 тенге. Казахстан. Навруз ; 2012 ;  ; Cu/Ni ; XF+ ; 12 ; REC ; 102 
 3996 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu/Ni ; XF+ ; 19 ; u10257 ; 129 
 3997 ; 50 тенге. Казахстан. 100 лет М.Габдуллину ; 2015 ;  ; Cu/Ni ; XF ; 13 ; kornum ; 159 
 3998 ; 50 тенге. Казахстан. 70 лет победы ; 2015 ;  ; Cu/Ni ; XF ; 9 ; SD315 ; 123 
 3999 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu/Ni ; XF+ ; 10 ; REC ; 104 
 4000 ; 50 тенге. Казахстан. Устюртский Муфлон ; 2015 ;  ; Cu/Ni ; XF+ ; 17 ; lestes ; 153 
 4001 ; 50 тенге. Казахстан. Тайказан ; 2014 ;  ; Cu/Ni ; XF+ ; 10 ; aziya11 ; 125 
 4002 ; 50 тенге. Казахстан. Магжан Жумабаев ; 2013 ;  ; Cu/Ni ; XF+ ; 9 ; kornum ; 102 
 4003 ; 50 тенге. Казахстан. Алдар-Косе ; 2013 ;  ; Cu/Ni ; XF+ ; 25 ; kornum ; 123 
 4004 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu/Ni ; XF+ ; 45 ; pol75 ; 173 
 4005 ; 50 тенге. Казахстан. Космическая станция "Мир" ; 2012 ;  ; Cu/Ni ; XF+ ; 13 ; aidih ; 136 
 4006 ; 50 тенге. Казахстан. Абай ; 2015 ;  ; Cu/Ni ; XF+ ; 8 ; kornum ; 124 
 4007 ; 50 тенге. Казахстан. Год ассамблеи народа Казахстана ; 2015 ;  ; Cu/Ni ; XF+ ; 8 ; kornum ; 128 
 4008 ; 50 тенге. Казахстан. 550 лет Казахскому ханству ; 2015 ;  ; Cu/Ni ; XF+ ; 10 ; kornum ; 115 
 4009 ; 20 тенге. Казахстан. Мухтар Ауэзов ; 1997 ;  ; Cu/Ni ; VF+ ; 15 ; Дюк ; 310 
 4010 ; 20 тенге. Казахстан. 50 лет ООН ; 1995 ;  ; Cu/Ni ; AU ; 18 ; Zarik ; 153 
 4011 ; 20 тенге. Казахстан. 150-летие Жамбыла Жабаева ; 1996 ;  ; Cu/Ni ; XF+ ; 9 ; aidih ; 80 
 4012 ; 20 тенге. Казахстан. Сатбаев ; 1999 ;  ; Cu/Ni ; VF+ ; 52 ; Vol4en0k ; 827 
 4013 ; 50 тенге. Казахстан ; 2015 ;  ; Cu/Ni ; AU ; 15 ; Скарапея77 ; 138 
 4014 ; 50 тенге. Казахстан ; 2015 ;  ; Cu/Ni ; AU ; 13 ; kornum ; 105 
 4015 ; 50 тенге. Казахстан ; 2015 ;  ; Cu/Ni ; AU ; 10 ; kornum ; 105 
 3916 ; 5 марок. ГДР. Веймар ; 1982 ;  ; Cu-Ni ; XF+ ; 23 ; Дюк ; 567 
 3917 ; 5 марок. ФРГ ; 1984 ;  ; Cu-Ni ; XF+ ; 13 ; canario ; 186 
 3918 ; 5 марок. ФРГ. Ж/д ; 1985 ;  ; Cu-Ni ; XF ; 63 ; Rusik ; 248 
 3919 ; 5 марок. ФРГ. Мейсен ; 1972 ;  ; Cu-Ni ; XF ; 14 ; canario ; 102 
 3920 ; 5 марок. ФРГ. Хейдельбургский университет ; 1986 ;  ; Cu-Ni ; XF ; 12 ; canario ; 184 
 3921 ; 5 марок. ФРГ. 100 лет Кельнскому собору ; 1980 ;  ; Cu-Ni ; XF ; 55 ; canario ; 185 
 3922 ; 2 пфеннига. Веймар ; 1924J ;  ; Br ; XF+ ; 12 ; prince1959 ; 42 
 3923 ; 1 пфенниг. Веймар ; 1934A ;  ; Br ; XF ; 18 ; prince1959 ; 73 
 3924 ; 1 пфенниг. Германия ; 1912A ;  ; Br ; XF ; 41 ; Angal ; 132 
 3925 ; 1 пфенниг. Германия ; 1937F ;  ; Br ; XF ; 22 ; prince1959 ; 104 
 3926 ; Фартинг. Великобритания ; 1942 ;  ; Br ; AU ; 55 ; триА ; 116 
 3927 ; 5 пфеннигов. Веймар ; 1936A ;  ; Al/Br ; XF+ ; 29 ; prince1959 ; 255 
 3928 ; 10 пфеннигов. Веймар ; 1932E ;  ; Al/Br ; XF- ; 20 ; prince1959 ; 232 
 3929 ; 1/4 шиллинга. Джерси ; 1966 ;  ; Al/Br ; XF ; 18 ; karl ; 102 
 3930 ; 1/4 шиллинга. Джерси ; 1957 ;  ; Al/Br ; XF ; 9 ; whatis.ru ; 51 
 3931 ; 5 центов. Гон-Конг ; 1971 ;  ; Al/Br ; AU ; 14 ; igor26 ; 104 
 3932 ; 10 пфеннигов. Германия ; 1915A ;  ; Cu-Ni ; XF+ ; 31 ; kornum ; 345 
 3933 ; 5 пфеннигов. Германия ; 1912G ;  ; Cu-Ni ; XF ; 22 ; electra ; 79 
 3934 ; 25 милс. Кипр ; 1963 ;  ; Cu-Ni ; XF ; 11 ; Zarik ; 51 
 3935 ; 5 центов. США ; 1923 ;  ; Cu-Ni ; VF ; 21 ; SERGE5064 ; 581 
 3936 ; 25 сантимов. Люксембург ; 1960 ;  ; Al ; VF+ ; 33 ; Matveich1991 ; 102 
 3937 ; 2 грошена. Австрия ; 1965 ;  ; Al ; XF ; 8 ; TaraskaPeter ; 34 
 3938 ; 10 центов. Нидерланды ; 1937 ;  ; Ag ; XF ; 17 ; mask ; 89 
 3939 ; 10 марок. ГДР Фестиваль ; 1973 ;  ; Cu-Ni ; XF ; 25 ; калинов мост ; 60 
 3940 ; Торговый доллар США (жетон) ; 1974 ;  ; Cu-Ni ; XF+ ; 17 ; Nastrom ; 92 
 3941 ; 10 марок. ГДР Варшавский договор ; 1975 ;  ; Cu-Ni ; XF ; 46 ; andrpel ; 368 
 3942 ; 10 марок. ГДР Нац народная армия ; 1918 ;  ; Cu-Ni ; XF ; 35 ; Rusik ; 532 
 3943 ; 10 марок. ГДР Бухенвальд ; 1972 ;  ; Cu-Ni ; XF ; 7 ; canario ; 113 
 3944 ; 10 марок. ГДР 1 мая ; 1990 ;  ; Cu-Ni ; XF ; 28 ; Gyron ; 255 
 3945 ; 2 евро. Ватикан. Проба ; 2008 ;  ; Би/м ; AU ; 18 ; Hotey ; 191 
 3946 ; 2 евро. Словакия. Проба ; 2009 ;  ; Би/м ; AU ; 17 ; 100924 ; 191 
 3947 ; 2 евро. Ватикан. Проба ; 2006 ;  ; Би/м ; XF ; 21 ; roza77 ; 184 
 3948 ; 20 евроцентов. Великобритания. Проба ; 2003 ;  ; Лат ; XF ; 52 ; alapabula ; 413 
 3949 ; 10 чентезимо. Италия ; 1866 ;  ; Cu ; VF- ; 27 ; t_v_v ; 75 
 3950 ; 10 чентезимо. Италия ; 1863 ;  ; Cu ; F-VF ; 14 ; кот баюн ; 67 
 3951 ; 2 сентаво. Аргентина ; 1885 ;  ; Cu ; VF- ; 6 ; shaxter2015 ; 57 
 3952 ; 2 сентаво. Аргентина ; 1890 ;  ; Cu ; VF- ; 24 ; shaxter2015 ; 82 
 3953 ; 1 сентаво. Аргентина ; 1890 ;  ; Cu ; F-VF ; 20 ; t_v_v ; 92 
 3954 ; 10 лепта. Греция ; 1878 ;  ; Cu ; F ; 21 ; Tche ; 105 
 3955 ; 10 лепта. Греция ; 1869 ;  ; Cu ; F-VF ; 23 ; Zagranka ; 104 
 3956 ; 5 лепта. Греция ; 1869 ;  ; Cu ; F-VF ; 18 ; СТРЕКОЗА ; 108 
 3957 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; VF ; 25 ; Zagranka ; 96 
 3958 ; 5 сентимо. Венесуэла ; 1969 ;  ; Cu-Ni ; XF ; 10 ; kornum ; 57 
 3959 ; 2 франка. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 22 ; canario ; 57 
 3960 ; 5 бани. Румыния ; 1900 ;  ; Cu-Ni ; VF ; 16 ; Dahan ; 186 
 3961 ; 20 чентезимо. Италия ; 1894 ;  ; Cu-Ni ; VF- ; 13 ; batuke ; 63 
 3962 ; 20 франков. Тунис ; 1950 ;  ; Cu-Ni ; VF+ ; 19 ; kornum ; 128 
 3963 ; 12-1/2 сентимо. Венесуэла ; 1946 ;  ; Cu-Ni ; XF ; 26 ; Zagranka ; 176 
 3964 ; 1 сатанг. Тайланд ; 1944 ;  ; Zn ; VF ; 56 ; Недорого ; 217 
 3965 ; 10 франков. Марокко ; 1366 ;  ; Ag ; VF+ ; 36 ; Zagranka ; 357 
 3866 ; 2 евро. Словакия ; 2015 ;  ; Би/м ; AU ; 14 ; v_bond ; 257 
 3867 ; 2 евро. Словения ; 2015 ;  ; Би/м ; AU ; 19 ; didisister ; 269 
 3868 ; 1 лира. Турция ; 2015 ;  ; Би/м ; AU ; 15 ; alapabula ; 214 
 3869 ; 1 лира. Турция ; 2015 ;  ; Би/м ; AU ; 13 ; alapabula ; 214 
 3870 ; 2 евро. Финляндия ; 2015 ;  ; Би/м ; AU ; 10 ; v_bond ; 255 
 3871 ; 2 евро. Греция ; 2015 ;  ; Би/м ; AU ; 22 ; dsp ; 315 
 3872 ; 2 евро. Бельгия ; 2015 ;  ; Би/м ; AU ; 29 ; ersh1 ; 308 
 3873 ; 2 евро. Испания ; 2015 ;  ; Би/м ; AU ; 11 ; didisister ; 257 
 3874 ; 2 евро. Латвия ; 2015 ;  ; Би/м ; AU ; 7 ; fuzzyfly ; 200 
 3875 ; 2 евро. Италия ; 2014 ;  ; Би/м ; AU ; 16 ; fuzzyfly ; 257 
 3876 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 13 ; fuzzyfly ; 224 
 3877 ; 2 евро. Греция ; 2015 ;  ; Би/м ; AU ; 25 ; dsp ; 332 
 3878 ; 2 евро. Португалия ; 2015 ;  ; Би/м ; AU ; 7 ; didisister ; 301 
 3879 ; 2 евро. Австрия ; 2015 ;  ; Би/м ; AU ; 12 ; nivva ; 257 
 3880 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; XF+ ; 25 ; u10257 ; 163 
 3881 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; XF+ ; 10 ; Дюк ; 105 
 3882 ; 50 тенге. Казахстан ; 2011 ;  ; Cu-Ni ; AU ; 17 ; Alex1012 ; 121 
 3883 ; 50 тенге. Казахстан ; 2013 ;  ; Cu-Ni ; XF+ ; 9 ; aidih ; 90 
 3884 ; 50 тенге. Казахстан ; 2013 ;  ; Cu-Ni ; AU ; 15 ; sasa1369 ; 101 
 3885 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 10 ; Дюк ; 133 
 3886 ; 50 тенге. Казахстан ; 2012 ;  ; Cu-Ni ; XF+ ; 11 ; Скарапея77 ; 204 
 3887 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 22 ; kornum ; 215 
 3888 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 23 ; SD315 ; 174 
 3889 ; 50 тенге. Казахстан ; 2012 ;  ; Cu-Ni ; AU ; 25 ; sasa1369 ; 101 
 3890 ; 5 гривен. Украина. 110 лет Киевскому фуникулеру ; 2015 ;  ; Cu-Ni ; AU ; 16 ; vadsev73 ; 192 
 3891 ; 1 юань. Китай ; 2001 ;  ; Ni ; VF+ ; 5 ; MaximusM ; 30 
 3892 ; 20 шиллингов. Кения ; 1998 ;  ; Би/м ; VF ; 27 ; [Nik] ; 42 
 3893 ; 100 франков. Руанда ; 2007 ;  ; Би/м ; VF+ ; 11 ; whatis.ru ; 82 
 3894 ; 1 пенни. Австралия ; 1951 ;  ; Br ; VF ; 22 ; kvl9293 ; 59 
 3895 ; 1 цент. Мальта ; 1977 ;  ; Br ; XF ; 12 ; lestes ; 104 
 3896 ; 3 марки. Веймар ; 1922J ;  ; Al ; VF+ ; 15 ; t_v_v ; 68 
 3897 ; 50 пфенниг. Веймар ; 1921D ;  ; Al ; VF+ ; 7 ; 06031983 ; 81 
 3898 ; 5 марок. ГДР Лейпциг ; 1984 ;  ; Cu-Ni ; XF ; 20 ; Дюк ; 408 
 3899 ; 10 марок. ГДР 25 лет правления ; 1974 ;  ; Cu-Ni ; XF ; 26 ; Rusik ; 177 
 3900 ; 10 марок. ГДР ГДР спорт ; 1988 ;  ; Cu-Ni ; XF ; 46 ; andrpel ; 282 
 3901 ; 10 марок. ГДР. 20 лет нац народной армии ; 1976 ;  ; Cu-Ni ; XF ; 11 ; WhiteMouse ; 200 
 3902 ; 10 марок. ГДР. 40 лет освобождения ; 1985 ;  ; Cu-Ni ; XF ; 19 ; Victory-2001 ; 532 
 3903 ; 10 марок. ГДР. Совместный полет СССР  - ГДР ; 1978 ;  ; Cu-Ni ; XF ; 18 ; Gyron ; 354 
 3904 ; 10 марок. ГДР. 30 лет рабочему классу ; 1983 ;  ; Cu-Ni ; XF ; 16 ; Rusik ; 591 
 3905 ; 10 марок. ГДР. 40 лет ГДР ; 1989 ;  ; Cu-Ni ; XF+ ; 14 ; zodiak ; 227 
 3906 ; 20 марок. ГДР. Шилер ; 1972 ;  ; Cu-Ni ; XF+ ; 11 ; REC ; 114 
 3907 ; 20 марок. ГДР. Маркс ; 1983 ;  ; Cu-Ni ; XF+ ; 7 ; Victory-2001 ; 509 
 3908 ; 20 марок. ГДР. Пик ; 1972 ;  ; Cu-Ni ; XF ; 9 ; REC ; 123 
 3909 ; 20 марок. ГДР. Гротеволь ; 1973 ;  ; Cu-Ni ; XF ; 10 ; zodiak ; 125 
 3910 ; 20 марок. ГДР. Манн ; 1971 ;  ; Cu-Ni ; XF ; 9 ; canario ; 126 
 3911 ; 5 марок. ГДР. Лейпциг ; 1984 ;  ; Cu-Ni ; XF ; 21 ; Дюк ; 419 
 3912 ; 5 марок. ФРГ. Лессинг ; 1981 ;  ; Cu-Ni ; XF ; 17 ; canario ; 186 
 3913 ; 5 марок. ФРГ. Гроссе ; 1986 ;  ; Cu-Ni ; XF ; 16 ; gama ; 180 
 3914 ; 5 марок. ГДР. Цвейгхаус ; 1990 ;  ; Cu-Ni ; XF+ ; 30 ; zodiak ; 200 
 3915 ; 5 марок. ГДР. ; 1983 ;  ; Cu-Ni ; XF+ ; 21 ; jj ; 413 
 3816 ; 50 пенсов. Остров Мен. Велосипедист ; 2012 ;  ; Cu/Ni ; XF+ ; 15 ; kornum ; 134 
 3817 ; 50 пенсов. Гибралтар ; 2009 ;  ; Cu/Ni ; XF+ ; 29 ; mask ; 114 
 3818 ; 50 пенсов. Остров Мен. Мотоциклист ; 2012 ;  ; Cu/Ni ; XF+ ; 16 ; генерал777 ; 385 
 3819 ; 1 даласи. Гамбия ; 2011 ;  ; Cu/Ni ; XF+ ; 21 ; kornum ; 133 
 3820 ; Жетон. Австралия. Коалы ; 2011 ;  ; Б/м ; Proof ; 38 ; alapabula ; 567 
 3821 ; 5 сантимов. Франция ; 1853 ;  ; Br ; VF- ; 13 ; mudritos ; 169 
 3822 ; 10 чентезимо. Италия ; 1866 ;  ; Br ; F ; 21 ; mudritos ; 72 
 3823 ; 10 чентезимо. Италия ; 1867 ;  ; Br ; F ; 11 ; mudritos ; 50 
 3824 ; 2 франка. Франция ; 1925 ;  ; Al/Br ; VF ; 7 ; LEXAI ; 27 
 3825 ; 2 франка. Франция ; 1937 ;  ; Al/Br ; VF- ; 7 ; igor26 ; 35 
 3826 ; 2 франка. Франция ; 1941 ;  ; Al/Br ; XF ; 19 ; igor26 ; 74 
 3827 ; 2 франка. Франция ; 1922 ;  ; Al/Br ; VF ; 47 ; andrpel ; 211 
 3828 ; 25 сентаво. Никарагуа ; 1972 ;  ; Cu-Ni ; VF ; 15 ; valerdon ; 62 
 3829 ; 10 франков. Марокко ; 1371 ;  ; Al/Br ; VF ; 14 ; whatis.ru ; 68 
 3830 ; 5 гривен. Украина. 70 лет освобождения Мелитополя ; 2013 ;  ; Cu-Ni ; AU ; 30 ; u10257 ; 306 
 3831 ; 5 гривен. Украина. 500 лет битвы под Оршей ; 2014 ;  ; Cu-Ni ; AU ; 18 ; u10257 ; 189 
 3832 ; 5 гривен. Украина. Одесса ; 2014 ;  ; Cu-Ni ; AU ; 14 ; vadsev73 ; 236 
 3833 ; 5 гривен. Украина. 70 лет Корсунь- Шевченской операции ; 2014 ;  ; Cu-Ni ; AU ; 35 ; WhiteMouse ; 281 
 3834 ; 5 гривен. Украина. Тарас Шевченко ; 2014 ;  ; Cu-Ni ; AU ; 16 ; canario ; 204 
 3835 ; 5 гривен. Украина. Подгорецкий замок ; 2015 ;  ; Cu-Ni ; AU ; 19 ; vadsev73 ; 201 
 3836 ; 5 гривен. Украина. 260 лет Киевскому военному госпиталю ; 2015 ;  ; Cu-Ni ; AU ; 18 ; jj ; 328 
 3837 ; 5 гривен. Украина. Чернивецкая область ; 2015 ;  ; Би/м ; AU ; 13 ; canario ; 222 
 3838 ; 5 гривен. Украина. Закарпатская область ; 2016 ;  ; Би/м ; AU ; 41 ; Vol4en0k ; 501 
 3839 ; 2 гривны. Украина. Галшка Гулевичивна ; 2015 ;  ; Cu-Ni ; AU ; 20 ; 22moohi ; 153 
 3840 ; 2 гривны. Украина. 400 лет Киево-Могилевской академии ; 2015 ;  ; Cu-Ni ; AU ; 16 ; canario ; 203 
 3841 ; 2 гривны. Украина. Петро Прокапович ; 2015 ;  ; Cu-Ni ; AU ; 17 ; canario ; 153 
 3842 ; 2 гривны. Украина. Яков Гниздовский ; 2015 ;  ; Cu-Ni ; AU ; 12 ; 22moohi ; 153 
 3843 ; 2 гривны. Украина. Александр Мурашко ; 2015 ;  ; Cu-Ni ; AU ; 9 ; aidih ; 147 
 3844 ; 2 гривны. Украина. Лесь Курбас ; 2007 ;  ; Cu-Ni ; AU ; 10 ; canario ; 153 
 3845 ; 2 гривны. Украина. Олешкивские пески ; 2015 ;  ; Cu-Ni ; AU ; 14 ; xxxl ; 218 
 3846 ; 2 гривны. Украина. Михаил Вербицкий ; 2015 ;  ; Cu-Ni ; AU ; 21 ; canario ; 173 
 3847 ; 2 гривны. Украина. Стерлядь ; 2012 ;  ; Cu-Ni ; AU ; 9 ; vadsev73 ; 215 
 3848 ; 2 гривны. Украина. Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 20 ; mitisson ; 403 
 3849 ; 2 гривны. Украина. Иван Карпенко-Карий ; 2015 ;  ; Cu-Ni ; AU ; 13 ; xxxl ; 153 
 3850 ; 2 гривны. Украина. Джон Джеймс ; 2014 ;  ; Cu-Ni ; AU ; 9 ; vadsev73 ; 172 
 3851 ; 2 евро. Литва ; 2015 ;  ; Би/м ; AU ; 11 ; ag58 ; 250 
 3852 ; 2 евро. Люксембург ; 2015 ;  ; Би/м ; AU ; 22 ; karal ; 263 
 3853 ; 2 евро. Финляндия ; 2013 ;  ; Би/м ; AU ; 11 ; didisister ; 296 
 3854 ; 2 евро. Франция ; 2014 ;  ; Би/м ; AU ; 5 ; fuzzyfly ; 224 
 3855 ; 2 евро. Словакия ; 2014 ;  ; Би/м ; AU ; 5 ; fuzzyfly ; 224 
 3856 ; 2 евро. Испания ; 2014 ;  ; Би/м ; AU ; 15 ; v_bond ; 235 
 3857 ; 2 евро. Испания ; 2015 ;  ; Би/м ; AU ; 8 ; didisister ; 255 
 3858 ; 2 евро. Латвия ; 2015 ;  ; Би/м ; AU ; 9 ; v_bond ; 235 
 3859 ; 2 евро. Финляндия ; 2014 ;  ; Би/м ; AU ; 5 ; fuzzyfly ; 224 
 3860 ; 2 евро. Латвия ; 2015 ;  ; Би/м ; AU ; 13 ; ag58 ; 249 
 3861 ; 2 евро. Испания ; 2014 ;  ; Би/м ; AU ; 13 ; v_bond ; 255 
 3862 ; 2 евро. Мальта ; 2013 ;  ; Би/м ; AU ; 11 ; ♂ ; 275 
 3863 ; 2 евро. Финляндия ; 2015 ;  ; Би/м ; AU ; 9 ; didisister ; 249 
 3864 ; 2 евро. Люксембург ; 2014 ;  ; Би/м ; AU ; 14 ; ag58 ; 249 
 3865 ; 2 евро. Мальта ; 2015 ;  ; Би/м ; AU ; 21 ; ♂ ; 308 
 3766 ; 3 марки. Германия ; 1922А ;  ; Al ; VF+ ; 31 ; whatis.ru ; 71 
 3767 ; 4 пфеннинга. Германия ; 1932А ;  ; Br ; VF ; 48 ; ♂ ; 595 
 3768 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Br ; VF ; 19 ; Zagranka ; 53 
 3769 ; 1 крейцер. Баден ; 1869 ;  ; Br ; VF ; 19 ; banks ; 207 
 3770 ; 4 пфеннинга. Германия ; 1871С ;  ; Br ; F ; 13 ; Zagranka ; 148 
 3771 ; 3 пфеннинга. Пруссия ; 1852А ;  ; Br ; F+ ; 11 ; von_Schwarz ; 86 
