 6040 ; Бона иностранная Египет ;  ;  ;  ; AU ; 7 ; Ustin ; 51 
 5033 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 7 ; Knight1972 ; 102 
 5034 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 13 ; Knight1972 ; 132 
 5035 ; 250 рублей ; 1918 ;  ;  ;  ; 15 ; газета ; 216 
 5036 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; karal ; 151 
 5037 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; Knight1972 ; 365 
 5038 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 24 ; опохмелов ; 261 
 5039 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; molodes ; 155 
 5040 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; avilych ; 165 
 5041 ; Талон на чай ;  ;  ;  ;  ; 24 ; Первый Самураец ; 351 
 5042 ; Талон на обед ;  ;  ;  ;  ; 18 ; Первый Самураец ; 351 
 5043 ; Талон на обед ;  ;  ;  ;  ; 18 ; Первый Самураец ; 351 
 5044 ; 25 пенни ; 1918 ;  ;  ;  ; 20 ; DIMA 57 ; 148 
 5045 ; 50 пенни ; 1918 ;  ;  ;  ; 11 ; collector64 ; 113 
 5046 ; 5 копеек ; 1989 ;  ;  ;  ; 6 ; allur65 ; 55 
 5047 ; Билет лотореи ; 1937 ;  ;  ;  ; 9 ; K.V.N. ; 404 
 5048 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; я8844 ; 395 
 5049 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 7 ; collector64 ; 105 
 5050 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 24 ; collector64 ; 135 
 5051 ; 50 рублей ; 1919 ;  ;  ;  ; 42 ; dragonfly ; 692 
 5052 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 55 ; Дядя Миша ; 563 
 5053 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 41 ; solder13 ; 444 
 5054 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; gavrspb ; 151 
 5055 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; majkl ; 101 
 5056 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; cr2952 ; 55 
 5057 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; majkl ; 77 
 5058 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; медалькин ; 151 
 5059 ; 200 рублей ; 1919 ;  ;  ;  ; 21 ; ZIMOGOR ; 844 
 5060 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 33 ; alexbari ; 131 
 5061 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ;  ; 27 ; Gorood ; 104 
 5062 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 12 ; collector64 ; 123 
 5063 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 14 ; collector64 ; 164 
 5064 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 15 ; 333985 ; 340 
 5065 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 9 ; новичок ; 611 
 5066 ; 500 рублей ; 1920 ;  ;  ;  ; 15 ; kop ; 355 
 4168 ; Лот монет Арубы (5шт) ; 2006 ;  ; Cu-Ni ; AU ; 58 ; rusalko ; 201 
 4169 ; Лот монет Греции и Вануату: 8шт ;  ;  ; Cu-Ni,лат ; VF/XF ; 91 ; t_v_v ; 351 
 4170 ; Лот иностранных монет (14шт) ;  ;  ; Br ; F-XF ; 40 ; SvetaFil ; 496 
 4171 ; Лот монет евро: 20,5 евроцентов (2шт) ; 2008,2011 ;  ; Cu/St,лат ; XF- ; 12 ; Христ ; 42 
 4172 ; Лот монет Израиля: 6шт ;  ;  ; Cu-Ni,Al,лат ; XF ; 5 ; Пурки Драго ; 63 
 4173 ; Лот монет Ю.Кореи: 3шт ;  ;  ; Лат,Cu-Ni ; VF/VF+ ; 28 ; element ; 46 
 4174 ; Лот монет Югославии: 4шт ; 1955-1974 ;  ; Al/Br ; VF ; 19 ; 2605 ; 82 
 4175 ; Лот монет Великобритании: 7шт ;  ;  ; Cu-Ni,Br,Би/м ; VF/XF ; 15 ; brigadir ; 370 
 4176 ; Лот монет Великобритании и Австралии (6шт) ; 1921-1954 ;  ; Ag ; F/F+ ; 26 ; Emv ; 537 
 4177 ; Лот монет Германии (3шт): 10 пфеннигов ; 1943 ;  ; Zn ; VF ; 36 ; qver ; 510 
 4178 ; Лот монет Великобритании: 6 пенсов (3шт) ; 1964-1967 ;  ; Cu-Ni ; VF+ ; 15 ; DaMon15 ; 69 
 4179 ; Лот монет Великобритании: 4шт ;  ;  ; Лат,Br,Cu-Ni ; VF ; 16 ; mefody73 ; 101 
 4180 ; Лот монет Бальгийского Конго: 2шт ; 1958,1959 ;  ; Al ; VF/F-VF ; 39 ; rusalko ; 203 
 4181 ; Лот монет ГДР (8шт): 5 пфеннигов ; 1948-1972, 1953Е ;  ; Al ; VF/XF ; 38 ; corsar ; 96 
 4182 ; Лот монет Германии: 50,2,1 пфенниг (10шт) ; 1937-1946 ;  ; Al,Cu ; VF-/XF ; 40 ; Emv ; 773 
 4183 ; Лот иностранных монет (7шт) ; 1926-2005 ;  ; Cu/Ni,Ag,Zn,Cu ; F+/VF+ ; 16 ; SvetaFil ; 193 
 4184 ; Лот монет мира: 20шт ;  ;  ; Cu-Ni,Br,лат ; VF/XF ; 8 ; никсер ; 158 
 4185 ; Лот монет Кубы: 6шт ;  ;  ; Cu-Ni,Br ; XF/AU ; 23 ; banks ; 219 
 4186 ; Лот монет Японии: 10шт ;  ;  ; Al,Br,латунь ; VF/XF ; 42 ; if-pechat ; 327 
 4187 ; Лот монет Греции: 10шт ;  ;  ; Cu-Ni,Лат ; XF ; 40 ; DVZ ; 629 
 4188 ; Лот монет Великобритании и Австралии (6шт) ; 1921-1954 ;  ; Ag ; F/F+ ; 52 ; cotaclysm ; 618 
 4189 ; Лот монет Югославии , Польши и СССР: 21шт ;  ;  ; Cu-Ni,Cu-Zn ; VF/XF ; 29 ; Vol4en0k ; 153 
 4190 ; Лот евроцентов: 7шт ;  ;  ; Лат,Cu/St ; XF/VF-XF ; 23 ; д4775 ; 44 
 4191 ; Лот монет Коста-Рики и Испании: 4шт ;  ;  ; Лат,Cu-Ni ; VF/VF-XF ; 16 ; 2605 ; 105 
 4192 ; Лот монет Нагорного Карабаха: 7шт ;  ;  ; Al,Лат ; AU ; 55 ; Фест ; 236 
 4193 ; Лот монет Литвы: 3шт ;  ;  ; Al ; AU ; 60 ; element ; 67 
 4194 ; Лот монет Дании (8шт) ;  ;  ; Br ; F-XF ; 10 ; zahar04 ; 51 
 4195 ; Лот монет Германии, Швеции, Нидерланды (4шт) ;  ;  ; Ag ; VF-XF ; 35 ; corsar ; 281 
 4196 ; Лот монет Европы: 18шт ;  ;  ; Cu-Ni,br,лат ; VF/XF ; 44 ; Flagman ; 510 
 4197 ; Лот монет Албании: 3шт ;  ;  ; Zn ; XF ; 28 ; aralsk ; 257 
 4198 ; Лот монет Бельгии и Польши: 2шт ; 1923,1931 ;  ; Cu-Ni ; VF ; 12 ; SKeeper ; 87 
 4199 ; Лот монет Дании, Нидерландов, Греции, Норвегии: 45шт ;  ;  ; Al,Zn,Cu-Ni,Br ; VF/XF ; 62 ; element ; 668 
 4200 ; Лот монет Таджикистана, Туркменистана, Киргизии, Югославии, Азербайджана, Грузии, Приднестровской Молдавской Республики, Узбекистана, Казахстана: 51шт ;  ;  ; Al,Cu-Ni,Br ; VF/XF ; 93 ; Vol4en0k ; 2574 
 4201 ; Лот монетовидных жетонов Мальта (7шт) ; 2003 ;  ; Би/м,Ж/м ; XF ; 25 ; Христ ; 401 
 5001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 16 ; жора ; 210 
 5002 ; 2 копейки ; 1917 ; Деньги-марки ;  ;  ; 14 ; жора ; 200 
 5003 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 11 ; zsefvg ; 90 
 5004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 6 ; moneta1924 ; 80 
 5005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 6 ; moneta1924 ; 80 
 5006 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 6 ; moneta1924 ; 80 
 5007 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 7 ; ddimitris77 ; 101 
 5008 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 29 ; вулканолог ; 93 
 5009 ; 40 рублей ;  ; Денежные знаки ;  ;  ; 9 ; вулканолог ; 16 
 5010 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 27 ; sg ; 793 
 5011 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 32 ; sg ; 771 
 5012 ; 10 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 31 ; K.V.N. ; 716 
 5013 ; 5 рублей ; 1920 ; Денежный знак Дальне-Восточной республикиДенежный знак Дальне-Восточной республики ;  ;  ; 15 ; dragonfly ; 714 
 5014 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 3 ; maximilian2204 ; 225 
 5015 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 7 ; газета ; 215 
 5016 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 9 ; новичок ; 509 
 4118 ; Набор монет Индонезии: 7шт. Буклет ; 1970-1979 ;  ; Cu-Ni,Al ; AU ; 28 ; СТРЕКОЗА ; 291 
 4119 ; Набор монет США: 6шт. Буклет ; 1979-1986 ;  ; Cu-Ni,Br ; AU ; 47 ; sveta6369 ; 252 
 4120 ; Набор монет Фолклендских островов: 6шт. Буклет ; 1985 ;  ; Cu-Ni,Br ; AU ; 17 ; Хаа ; 329 
 4121 ; Набор монет Арубы: 6шт. Буклет ; 1981-1986 ;  ; Cu-Ni ; AU ; 13 ; Хаа ; 306 
 4122 ; Набор монет Финляндии: 6шт. Буклет ; 1982-1984 ;  ; Cu-Ni,A/Br,Al ; AU ; 20 ; dsp ; 255 
 4123 ; Набор монет Австрии: 8шт. Буклет ; 1981,1982 ;  ; Cu-Ni,A/Br ; AU ; 15 ; sveta6369 ; 579 
 4124 ; Набор монет Новой Зеландии: 6шт. Буклет ; 1982,1983 ;  ; Cu-Ni,Br ; AU ; 24 ; Rosomaha ; 294 
 4125 ; Набор монет Чили: 5шт. Буклет ; 1982-1986 ;  ; Al/Br ; AU ; 31 ; gusar ; 362 
 4126 ; Набор монет Кореи: 6шт. Буклет ; 1983,1984 ;  ; Cu-Ni,A/Br,Al ; AU ; 22 ; sveta6369 ; 204 
 4127 ; Набор монет Гон-Конга: 7шт. Буклет ; 1979-1982 ;  ; Cu-Ni,A/Br ; AU ; 21 ; СТРЕКОЗА ; 765 
 4128 ; Набор монет Индонезии: 7шт. Буклет ; 1970-1979 ;  ; Cu-Ni,Al ; AU ; 32 ; СТРЕКОЗА ; 270 
 4129 ; Набор монет Португалии: 4шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Al/Br ; AU ; 18 ; if-pechat ; 129 
 4130 ; Набор монет Пакистана: 5шт. Буклет ; 1984 ;  ; Cu-Ni,Al ; AU ; 41 ; sveta6369 ; 229 
 4131 ; Набор монет Новой Зеландии: 6шт. Буклет ; 1980-1981 ;  ; Cu-Ni,Br ; AU ; 25 ; heavy_fly ; 320 
 4132 ; Набор монет Замбии: 6шт. Буклет ; 1968-1983 ;  ; Cu-Ni,Br ; AU ; 17 ; СТРЕКОЗА ; 561 
 4133 ; Набор монет Азербайджана: 4шт. Буклет ; 1992-1993 ;  ; Al ; VF-XF/XF ; 43 ; Хаа ; 708 
 4134 ; Набор монет Испании: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 1999-2003 ;  ; Би/м,Cu/St,лат ; AU ; 13 ; nivva ; 306 
 4135 ; Набор монет Германии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2002 ;  ; Би/м,Cu/St,лат ; AU ; 14 ; watcher77 ; 501 
 4136 ; Набор монет Нидерландов: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2000-2001 ;  ; Би/м,Cu/St,лат ; XF ; 18 ; nivva ; 408 
 4137 ; Лот монет Барбадоса: 2,1 доллар, 25,10,5,1 цент (6шт). Упаковка ; 1973 ;  ; Cu-Ni,Лат,Br ; Proof ; 58 ; Экзот ; 399 
 4138 ; Набор монет Мальты: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2008 ;  ; Би/м,Cu/St,лат ; AU ; 25 ; watcher77 ; 663 
 4139 ; Набор монет Германии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Упаковка ; 2002 ;  ; Би/м,Cu/St,лат ; AU ; 22 ; Sava05 ; 695 
 4140 ; Набор монет Омана: 4шт. Упаковка ;  ;  ; Br,Cu-Ni ; AU ; 37 ; shootermen ; 193 
 4141 ; Набор монет Венгрии: 7шт. Упаковка ;  ;  ; Лат,Cu-Ni,Би/м ; AU ; 21 ; 2605 ; 220 
 4142 ; Набор монет Франции: 9шт. Упаковка ;  ;  ; Cu-Ni,позолота ; VF/XF ; 22 ; DVZ ; 514 
 4143 ; Набор монет Чили: 5шт. Упаковка ;  ;  ; Лат,Al,Би/м ; AU ; 23 ; sveta6369 ; 316 
 4144 ; Набор монет ОАЭ: 6шт. Упаковка ;  ;  ; Cu-Ni,br ; AU ; 30 ; sveta6369 ; 305 
 4145 ; Набор монет Словении: 9шт. Упаковка ;  ;  ; Лат,Cu-Ni,Al ; AU ; 18 ; teso ; 273 
 4146 ; Набор монет Индонезии: 5шт. Упаковка ;  ;  ; Al ; AU ; 22 ; sveta6369 ; 279 
 4147 ; Набор монет Греции: 7шт. Упаковка ;  ;  ; Металл, позолот ; VF/XF ; 18 ; wwn ; 382 
 4148 ; Набор монет Финляндии: 5шт. Упаковка ;  ;  ; Металл, позолот ; VF/XF ; 74 ; dsp ; 362 
 4149 ; Набор монет Нидерландов: 5шт. Упаковка ;  ;  ; Металл, позолот ; VF/XF ; 13 ; DVZ ; 354 
 4150 ; Набор монет Бельгии: 5шт. Упаковка ;  ;  ; Металл, позолот ; VF/XF ; 11 ; sveta6369 ; 333 
 4151 ; Набор монет Португалии: 7шт. Упаковка ;  ;  ; Металл, позолот ; VF/XF ; 33 ; DVZ ; 465 
 4152 ; 2 евро. Сан-Марино. Джакомо Пуччини Буклет ; 2014 ;  ; Би/м ; Unc ; 9 ; факс ; 1873 
 4153 ; Набор монет Словакии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) + жетон. Буклет ; 2014 ;  ; Би/м,Лат,Cu/St ; Unc ; 33 ; KHODOVNV77 ; 2141 
 4154 ; 2 евро. Сан-Марино. Донато Браманте Буклет ; 2014 ;  ; Би/м ; Unc ; 5 ; факс ; 1836 
 4155 ; Набор монет Канады: 1 доллар, 50,25,10,5,1 цент (6шт). Упаковка ; 1983 ;  ; Cu-Ni,Br ; AU ; 47 ; svoi1970 ; 301 
 4156 ; Набор монет Канады: 1 доллар, 50,25,10,5,1 цент (6шт). Упаковка ; 1968 ;  ;  ; AU ; 34 ; svoi1970 ; 301 
 4157 ; Лот монет Швейцарии: 2шт ; 1977,1981 ;  ; Cu-Ni ; VF-XF ; 11 ; факс ; 136 
 4158 ; Лот евроцентов Сан-Марино: 3шт ; 2006 ;  ; Cu/St ; AU ; 27 ; д4775 ; 134 
 4159 ; Лот евроцентов Эстонии: 3шт ; 2011 ;  ; Cu/St ; AU ; 12 ; Христ ; 65 
 4160 ; Лот монет Италии: 6шт ; 1919-1941 ;  ; Cu-Ni,St,Br ; F-VF/XF ; 32 ; d-master ; 164 
 4161 ; Лот монет Китая: 3шт ;  ;  ; Br ; F-VF ; 35 ; maymuse ; 387 
 4162 ; Лот монет Италии: 6шт ;  ;  ; St,Al ; VF-XF/AU ; 30 ; Jek327 ; 105 
 4163 ; Лот монет Италии: 6шт ;  ;  ; St,лат ; XF/AU ; 16 ; Jek327 ; 86 
 4164 ; Лот монет Кипра: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2014 ;  ; Би/м,Лат,Cu/St ; AU ; 46 ; ersh1 ; 896 
 4165 ; Лот монет Германии, Польши, Бельгии (3шт ;  ;  ; Fe,Zn ; F-VF ; 27 ; banks ; 141 
 4166 ; Лот монет Израиля: 16шт ;  ;  ; Cu-Ni,Лат ; VF-/XF- ; 17 ; Серж PirGS ; 113 
 4167 ; Лот монет Тайланда: 20шт ;  ;  ; Cu-Ni,Би/м,лат ; XF/AU ; 21 ; hugo ; 548 
 4068 ; 1 рубль. Беларусь. Удод ; 2013 ;  ; Cu-Ni ; Proof ; 13 ; Sandello ; 453 
 4069 ; 1 рубль. Беларусь. Сретение ; 2010 ;  ; Cu-Ni ; Proof ; 48 ; SKeeper ; 386 
 4070 ; 1 рубль. Беларусь. Легенла про гиля ; 2014 ;  ; Cu-Ni ; Proof ; 25 ; Sandello ; 622 
 4071 ; 1 рубль. Беларусь. Овен ; 2009 ;  ; Cu-Ni ; Proof ; 11 ; KHODOVNV77 ; 499 
 4072 ; 1 рубль. Беларусь. Рыбы ; 2009 ;  ; Cu-Ni ; Proof ; 21 ; KHODOVNV77 ; 499 
 4073 ; 1 рубль. Беларусь. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 15 ; SKeeper ; 308 
 4074 ; 1 рубль. Беларусь. Аркадий Куляшов ; 2014 ;  ; Cu-Ni ; Proof ; 12 ; SKeeper ; 337 
 4075 ; 1 рубль. Беларусь. Подкова ; 2010 ;  ; Cu-Ni ; Proof ; 16 ; Sandello ; 414 
 4076 ; 1 рубль. Беларусь. Захаров ; 2010 ;  ; Cu-Ni ; Proof ; 23 ; msm ; 432 
 4077 ; 1 рубль. Беларусь. 1025-летия крещения Руси ; 2013 ;  ; Cu-Ni ; Proof ; 15 ; Sandello ; 408 
 4078 ; 1 рубль. Беларусь. Мария с ребенком ; 2013 ;  ; Cu-Ni ; Proof ; 32 ; mart_si ; 510 
 4079 ; 10 сантимов. Люксембург ; 1901 ;  ; Cu-Ni ; VF- ; 32 ; allur65 ; 53 
 4080 ; 2 евро. Люксембург ; 2011 ;  ; Би/м ; AU ; 40 ; ersh1 ; 238 
 4081 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 30 ; element ; 172 
 4082 ; 2 евро. Люксембург ; 2014 ;  ; Би/м ; AU ; 32 ; element ; 234 
 4083 ; 2 евро. Португалия. Фернао Мендес Пинто ; 2011 ;  ; Би/м ; AU ; 35 ; Bronco ; 476 
 4084 ; 2 евро. Португалия ; 2014 ;  ; Би/м ; AU ; 31 ; ersh1 ; 237 
 4085 ; 2 евро. Бельгия. 100 лет 1МВ ; 2014 ;  ; Би/м ; AU ; 33 ; dsp ; 242 
 4086 ; 2 евро. Монако ; 2013 ;  ; Би/м ; AU ; 26 ; ersh1 ; 354 
 4087 ; 2 евро. Греция ; 2013 ;  ; Би/м ; AU ; 19 ; natpulkovo ; 213 
 4088 ; 2 евро. Словакия. Кирилл и Мефодий ; 2013 ;  ; Би/м ; AU ; 34 ; av45621 ; 249 
 4089 ; 2 евро. Словения ; 2014 ;  ; Би/м ; AU ; 35 ; natpulkovo ; 234 
 4090 ; 2 евро. Словакия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 9 ; факс ; 249 
 4091 ; 2 евро. Франция ; 2014 ;  ; Би/м ; AU ; 16 ; archontbk ; 234 
 4092 ; 2 евро. Словакия ; 2011 ;  ; Би/м ; AU ; 17 ; nivva ; 169 
 4093 ; 2 евро. Словакия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 15 ; DVZ ; 217 
 4094 ; 2 евро. Словакия. Вышеградская встреча ; 2011 ;  ; Би/м ; AU ; 39 ; aziya11 ; 239 
 4095 ; 1 евро. Сан-Марино ; 2014 ;  ; Би/м ; AU ; 21 ; nivva ; 140 
 4096 ; 200 лир. Италия ; 1999 ;  ; Латунь ; AU ; 28 ; kornum ; 187 
 4097 ; 100 франков. Марокко ; 1953 ;  ; Ag ; VF ; 17 ; vesta78 ; 267 
 4098 ; 10 рублей. Беларусь. Преподобная Ефросиния Полоцкая. Сертификат ; 2008 ;  ; Ag ; Proof ; 25 ; alexey_s ; 3062 
 4099 ; 10 рублей. Беларусь. Преподобный Сергий Радонежский. Сертификат ; 2008 ;  ; Ag ; Proof ; 16 ; alexey_s ; 2552 
 4100 ; 10 рублей. Беларусь. Святитель Николай Чудотворец. Сертификат ; 2008 ;  ; Ag ; Proof ; 14 ; alexey_s ; 2552 
 4101 ; 20 рублей. Беларусь. Рогволод Полоцкий. Сертификат ; 2006 ;  ; Ag ; Proof ; 10 ; pol75 ; 2552 
 4102 ; Набор монет Норвегии: 5шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Al/Br ; AU ; 22 ; dsp ; 237 
 4103 ; Набор монет Ямайки: 6шт. Буклет ; 1975 ;  ; Cu-Ni,Al ; AU ; 41 ; Rosomaha ; 310 
 4104 ; Набор монет Венгрии: 10шт. Буклет ; 1983-1984 ;  ; Al,Al/Br,Cu-Ni ; AU ; 26 ; Хаа ; 357 
 4105 ; Набор монет Венгрии: 10шт. Буклет ; 1984 ;  ; Al,Al/Br,Cu-Ni ; AU ; 20 ; off ; 357 
 4106 ; Набор монет Кореи: 6шт. Буклет ;  ;  ; Cu-Ni,Al/Br,Al ; AU ; 44 ; sveta6369 ; 203 
 4107 ; Набор монет Коста-Рики:7 шт. Буклет ; 1983-1984 ;  ; St,Al ; AU ; 20 ; heavy_fly ; 306 
 4108 ; Набор монет Японии: 6шт. Буклет ;  ;  ; Cu-Ni,Al/Br,Br ; AU ; 13 ; off ; 328 
 4109 ; Набор монет Багам: 5шт. Буклет ; 1969-1984 ;  ; Cu-Ni,Al/Br,Al ; AU ; 22 ; Хаа ; 255 
 4110 ; Набор монет Макао: 5шт. Буклет ; 1982,1983 ;  ; Cu-Ni,Al/Br ; AU/XF ; 29 ; teso ; 609 
 4111 ; Набор монет Иордании: 7шт. Буклет ;  ;  ; Cu-Ni,Br ; AU ; 53 ; СТРЕКОЗА ; 1181 
 4112 ; Набор монет Финляндии: 6шт. Буклет ; 1982,1983 ;  ; Cu-Ni,Al/Br,Al ; AU ; 17 ; dsp ; 214 
 4113 ; Набор монет Фиджи: 6шт. Буклет ; 1982 ;  ; Cu-Ni,Br ; AU ; 24 ; sveta6369 ; 561 
 4114 ; Набор монет Бутана: 5шт. Буклет ; 1979 ;  ; Cu-Ni,Br ; AU ; 52 ; Хаа ; 663 
 4115 ; Набор монет Италии: 7шт. Буклет ; 1979-1985 ;  ; Би/м,Al,Al/Br ; AU ; 20 ; off ; 271 
 4116 ; Набор монет Омана: 8шт. Буклет ;  ;  ; Cu-Ni,Al/Br ; AU ; 33 ; СТРЕКОЗА ; 867 
 4117 ; Набор монет Уругвая: 7шт. Буклет ; 1980-1981 ;  ; Cu-Ni,Al/Br ; AU ; 25 ; gusar ; 1019 
 4018 ; 20 бат. Тайланд. 50 лет Ветеранской организации Тайланда (День Ветеранов) ; 1998 ;  ; Cu-Ni ; AU ; 14 ; kornum ; 159 
 4019 ; 2 бата. Тайланд. ; 2005 ;  ; Cu-Ni ; AU ; 12 ; gusar ; 36 
 4020 ; 2 бата. Тайланд. ; 2012 ;  ; Латунь ; AU ; 7 ; Vanka ; 15 
 4021 ; 2 бата. Тайланд. ; 2011 ;  ; Латунь ; AU ; 12 ; albertf ; 16 
 4022 ; 2 бата. Тайланд. ; 2009 ;  ; Латунь ; AU ; 7 ; Vanka ; 15 
 4023 ; 10 бат. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 107 
 4024 ; 10 бат. Тайланд ; 2007 ;  ; Би/м ; AU ; 25 ; генерал777 ; 177 
 4025 ; 10 бат. Тайланд ; 1994 ;  ; Cu-Ni ; AU ; 15 ; maleevsw ; 171 
 4026 ; 10 бат. Тайланд ; 1993 ;  ; Cu-Ni ; AU ; 9 ; t_v_v ; 92 
 4027 ; 10 бат. Тайланд ; 2003 ;  ; Би/м ; AU ; 6 ; maleevsw ; 72 
 4028 ; 10 бат. Тайланд ; 1993 ;  ; Cu-Ni ; AU ; 16 ; v_bond ; 128 
 4029 ; 10 бат. Тайланд ; 2007 ;  ; Би/м ; AU ; 17 ; v_bond ; 136 
 4030 ; 10 бат. Тайланд ; 1996 ;  ; Би/м ; AU ; 13 ; kornum ; 116 
 4031 ; 20 бат. Тайланд ; 2005 ;  ; Cu-Ni ; AU ; 19 ; v_bond ; 148 
 4032 ; 10 бат. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 15 ; maleevsw ; 148 
 4033 ; 10 бат. Тайланд ; 1994 ;  ; Cu-Ni ; AU ; 11 ; maleevsw ; 148 
 4034 ; 10 бат. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 15 ; kornum ; 114 
 4035 ; 10 бат. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 114 
 4036 ; 20 бат. Тайланд ; 2007 ;  ; Cu-Ni ; AU ; 7 ; .gk ; 80 
 4037 ; 2 бата. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 9 ; kornum ; 72 
 4038 ; 2 бата. Тайланд ; 1995 ;  ; Cu-Ni ; XF+ ; 9 ; kornum ; 72 
 4039 ; 2 бата. Тайланд ; 1985 ;  ; Cu-Ni ; XF ; 15 ; генерал777 ; 148 
 4040 ; 2 бата. Тайланд ; 1994 ;  ; Cu-Ni ; AU ; 9 ; kornum ; 72 
 4041 ; 2 бата. Тайланд ; 1988 ;  ; Cu-Ni ; AU ; 7 ; kornum ; 72 
 4042 ; 2 бата. Тайланд ; 1988 ;  ; Cu-Ni ; AU ; 8 ; kornum ; 72 
 4043 ; 2 бата. Тайланд ; 1995 ;  ; Cu-Ni ; AU ; 8 ; kornum ; 72 
 4044 ; 2 бата. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 8 ; kornum ; 72 
 4045 ; 2 бата. Тайланд ; 1986 ;  ; Cu-Ni ; AU ; 10 ; kornum ; 82 
 4046 ; 2 бата. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 8 ; kornum ; 72 
 4047 ; 2 бата. Тайланд ; 1989 ;  ; Cu-Ni ; AU ; 12 ; kornum ; 79 
 4048 ; 2 бата. Тайланд ; 1988 ;  ; Cu-Ni ; AU ; 10 ; kornum ; 82 
 4049 ; 2 бата. Тайланд ; 1991 ;  ; Cu-Ni ; AU ; 18 ; kornum ; 77 
 4050 ; 2 бата. Тайланд ; 1992 ;  ; Cu-Ni ; AU ; 8 ; kornum ; 72 
