 5954 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 25 ; alex1974 ; 50 
 4281 ; 5 марок. ГДР. Николай Вертель. В конверте, с маркой ; 1987 ;  ; Cu-Ni ; AU ; 29 ; magpie ; 331 
 4282 ; 5 марок. ФРГ. 25 лет конституции. Конверт, марка ; 1974F ;  ; Ag ; AU ; 17 ; moneta1924 ; 402 
 4283 ; 5 марок. ФРГ. Швейтцер. Конверт, марка ; 1975G ;  ; Ag ; AU ; 11 ; moneta1924 ; 363 
 4284 ; 10 марок. ФРГ. 800 лет Гамбургу. Конверт, марка ; 1989J ;  ; Ag ; AU ; 14 ; ЛБС ; 498 
 4285 ; 10 марок. ФРГ. Олимпиада в Мюнхене. Конверт, марка ; 1972G ;  ; Ag ; AU ; 11 ; Новик ; 508 
 4286 ; 10 марок. ФРГ. Кетти Кольвитц. Конверт, марка ; 1992G ;  ; Ag ; AU ; 16 ; salim ; 468 
 4287 ; 10 марок. ФРГ. Орден "За заслуги". Конверт, марка ; 1992D ;  ; Ag ; AU ; 18 ; Новик ; 536 
 4288 ; 10 марок. ФРГ. Барбаросса. Конверт, марка ; 1990F ;  ; Ag ; AU ; 26 ; Новик ; 530 
 4289 ; 10 марок. ФРГ. Бранденбургские ворота. Конверт, марка ; 1991A ;  ; Ag ; AU ; 19 ; Фома ; 519 
 4290 ; 10 центов. Мальта. В конверте, с маркой ; 1972 ;  ; Cu-Ni ; AU ; 3 ; Виктор Ф ; 80 
 4291 ; 10 центов. Мальта. В конверте, с маркой ; 1972 ;  ; Cu-Ni ; AU ; 7 ; Vanka ; 78 
 4292 ; 10 центов. Мальта. В конверте, с маркой ; 1972 ;  ; Cu-Ni ; AU ; 16 ; sibirian ; 81 
 4293 ; 10 центов. Мальта. В конверте, с маркой ; 1972 ;  ; Cu-Ni ; AU ; 12 ; Новик ; 80 
 4294 ; 10 донг. Вьетнам. В конверте, с маркой ; 1990 ;  ; Cu-Ni ; AU ; 28 ; vb96 ; 449 
 4295 ; 5 миллимов. Египет. В конверте, с маркой ; 1984 ;  ; Al/Br ; AU ; 7 ; Vanka ; 72 
 4296 ; 1 песо. Мексика. В конверте, с маркой ; 1981 ;  ; Cu-Ni ; AU ; 9 ; banks ; 84 
 4297 ; 1 песо. Мексика. В конверте, с маркой ; 1981 ;  ; Cu-Ni ; AU ; 11 ; banks ; 90 
 4198 ; 25 центов. Восточные Карибские штаты ; 2002 ;  ; Cu-Ni ; VF-XF ; 20 ; Папа с рацией ; 47 
 4199 ; 1 крона. Швеция ; 1973 ;  ; Cu-Ni ; XF ; 22 ; Lena6975 ; 38 
 4200 ; 50 центов. Австралия ; 2001 ;  ; Cu-Ni ; VF-XF ; 15 ; sibirian ; 49 
 4201 ; 1 доллар. Гон-Конг ; 1970 ;  ; Cu-Ni ; VF ; 7 ; Вованыч ; 23 
 4202 ; 1 доллар. Сингапур ; 1967 ;  ; Cu-Ni ; XF ; 42 ; SKeeper ; 202 
 4203 ; 1 лира. Мальта ; 1986 ;  ; Cu-Ni ; VF+ ; 23 ; bcg ; 82 
 4204 ; 5 центов. Канада ; 2002 ;  ; Cu-Ni ; VF+ ; 5 ; велес ; 21 
 4205 ; 1 флорин. Малави ; 1964 ;  ; Cu-Ni ; VF ; 25 ; kornum ; 235 
 4206 ; 20 франков. Французский Алжир ; 1949 ;  ; Cu-Ni ; VF ; 10 ; t_v_v ; 76 
 4207 ; 50 пенсов. Великобритания ; 2012 ;  ; Cu-Ni ; VF ; 12 ; teso ; 101 
 4208 ; 25 центов. Канада ; 2010 ;  ; Cu-Ni ; ZF ; 11 ; andy2012 ; 57 
 4209 ; 2 анны. Индия ; 1946 ;  ; Cu-Ni ; VF ; 22 ; salim ; 128 
 4210 ; 50 центов. Эфиопия ;  ;  ; Cu-Ni ; VF ; 8 ; t_v_v ; 57 
 4211 ; 100 миллимов. Кипр ; 1955 ;  ; Cu-Ni ; VF ; 27 ; visitor ; 217 
 4212 ; Монета. Грузия ; 2006 ;  ; Cu-Ni ; VF ; 18 ; Папа с рацией ; 65 
 4213 ; 2 марки. ФРГ ; 1970 ;  ; Cu-Ni ; VF ; 25 ; NL.minkki ; 98 
 4214 ; 5 рупий. Маврикий ; 1991 ;  ; Cu-Ni ; VF ; 7 ; кот баюн ; 55 
 4215 ; 1 флорин. Австралия ; 1961 ;  ; Ag ; F-VF ; 17 ; кот баюн ; 201 
 4216 ; 500 боливаров. Венесуэла ; 198 ;  ; Cu-Ni ; VF-XF ; 8 ; t_v_v ; 57 
 4217 ; 10 франков. Люксембург ; 1974 ;  ; Cu-Ni ; VF-XF ; 7 ; Враг ; 42 
 4218 ; Монетовидный жетон. 1 доллар. Канада. Калгари ; 1977 ;  ; Cu-Ni ; XF ; 19 ; banks ; 204 
 4219 ; 25 центов. Канада ; 2004 ;  ; Cu-Ni ; XF ; 12 ; t_v_v ; 54 
 4220 ; 2,5 эскудо. Португальская Ангола ; 1967 ;  ; Cu-Ni ; VF-XF ; 16 ; dudinjohn ; 92 
 4221 ; 10 филлеров. Венгрия ; 1894 ;  ; Cu-Ni ; VF-XF ; 13 ; кот баюн ; 77 
 4222 ; 5 миллимов. Египет ; 1941 ;  ; Cu-Ni ; VF ; 5 ; кот баюн ; 55 
 4223 ; 10 пенсов. Джерси ; 1992 ;  ; Cu-Ni ; XF ; 9 ; jj ; 50 
 4224 ; 200 песет. Испания ; 1987 ;  ; Cu-Ni ; XF ; 10 ; Вованыч ; 36 
 4225 ; 25 новых пенсов. Великобритания. Коронация ; 1977 ;  ; Cu-Ni ; XF ; 15 ; alexbari ; 113 
 4226 ; 5 ранд. Южная Африка ; 2001 ;  ; Cu-Ni ; XF ; 26 ; балбес ; 90 
 4227 ; 50 сентаво. Эквадор ; 2000 ;  ; Cu-Ni ; VF ; 20 ; t_v_v ; 36 
 4228 ; 20 центов. Новая Зеландия ; 2006 ;  ; Cu-Ni ; XF ; 43 ; heavy_fly ; 109 
 4229 ; 10 центов. Фиджи ; 2000 ;  ; Cu-Ni ; XF ; 7 ; велес ; 38 
 4230 ; 20 чентезимо. Италия ; 1922 ;  ; Cu-Ni ; VF ; 16 ; V.I.P.E.R. ; 59 
 4231 ; 100 рейс. Бразилия ; 1901 ;  ; Cu-Ni ; VF ; 16 ; Allegro33 ; 95 
 4232 ; 5 раппен. Швейцария ; 1932 ;  ; Cu-Ni ; XF ; 16 ; YAV71 ; 20 
 4233 ; 10 раппен. Швейцария ; 1884 ;  ; Cu-Ni ; F-VF ; 19 ; кот баюн ; 32 
 4234 ; 1 хеллер. Швейцария ; 1946 ;  ; Zn ; VF ; 13 ; кот баюн ; 77 
 4235 ; 25 центов. Нидерланды ; 1941 ;  ; Zn ; F-VF ; 6 ; кот баюн ; 79 
 4236 ; 10 евро. Эстония. XXII Олимпийские игры в Сочи. В коробке, с сертификатом ; 2014 ;  ; Ag ; Proof ; 48 ; Potap ; 3264 
 4237 ; 5 евро. Сан-Марино. Коробка, сертификаты ; 2006 ;  ; Ag ; Proof ; 23 ; LEXAI ; 1489 
 4238 ; 10 евро. Сан-Марино. Коробка, сертификаты ; 2005 ;  ; Ag ; Proof ; 24 ; Димон777 ; 1855 
 4239 ; 500 тенге. Казахстан. Ястребиная сова. В коробке, с сертификатом ; 2011 ;  ; Ag ; Proof ; 40 ; seva777 ; 2274 
 4240 ; 1 фунт. Кипр. 50 лет Римскому договору ; 2007 ;  ; Ag ;  ; 14 ; banks ; 1427 
 4241 ; 12 евро. Эстония. Олимпиада. В коробке, с сертификатом ; 2012 ;  ; Ag ; Proof ; 44 ; Димон777 ; 2874 
 4242 ; 1/2 доллара. США. 250 лет Джорджу Вашингтону. Сертификат ; 1982S ;  ; Ag ; Proof ; 21 ; V-2 ; 791 
 4243 ; 2 лева. Болгария. Цикломен. Буклет ; 2014 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 444 
 4244 ; 5 гривен. Укпаина. Елецкий Свято-Успенский монастырь. В буклете ; 2012 ;  ; Cu/Ni ; Unc ; 22 ; кс ; 290 
 4245 ; 5 гривен. Укпаина. 1025 лет крещения Руси. В буклете ; 2013 ;  ; Cu/Ni ; Unc ; 26 ; mart_si ; 477 
 4246 ; 1/4 доллара. США. Монтана ; 2007 ;  ; Ag ; Proof ; 17 ; derfalke ; 244 
 4247 ; 10 марок Финляндия. ЕС. Буклет ; 1999 ;  ; Би/м ; AU ; 40 ; yourius ; 966 
 4148 ; 10 пфеннигов. Германия ; 1876A ;  ; Cu-Ni ; VF ; 5 ; bva150979 ; 91 
 4149 ; 10 центов Гибралтар ; 1996 ;  ; Cu-Ni ; XF ; 16 ; Папа с рацией ; 45 
 4150 ; 5 марок. Эстония ; 1924 ;  ; Cu-Ni ; VF ; 51 ; VAPK ; 744 
 4151 ; 50 нгве. Замбия ; 1972 ;  ; Cu-Ni ; VF ; 22 ; d-master ; 88 
 4152 ; 10 сатанг. Тайланд ;  ;  ; Cu-Ni ; VF ; 9 ; t_v_v ; 59 
 4153 ; 1 рупия. Сейшеллы ; 1997 ;  ; Cu-Ni ; XF ; 12 ; sibirian ; 42 
 4154 ; 25 центов. Нидерландские Антиллы ; 2007 ;  ; Cu-Ni ; AU ; 15 ; лопе де вега ; 58 
 4155 ; 25 центов. Канада ; 1973 ;  ; Cu-Ni ; XF ; 15 ; кот баюн ; 55 
 4156 ; 6 пенсов. Новая Зеландия ; 1958 ;  ; Cu-Ni ; VF ; 18 ; heavy_fly ; 83 
 4157 ; 1 юань. Китай ; 1999 ;  ; Cu-Ni ; XF ; 4 ; Yamilov ; 21 
 4158 ; 2 кроны. Швеция ; 1971 ;  ; Cu-Ni ; XF ; 14 ; kergudu ; 57 
 4159 ; 200 песет. Испания ; 1993 ;  ; Cu-Ni ; XF ; 37 ; vb96 ; 305 
 4160 ; 1 доллар. США ; 1974 ;  ; Cu-Ni ; VF ; 7 ; всыня ; 107 
 4161 ; 1/2 доллара. США ; 1981 ;  ; Cu-Ni ; VF-XF ; 10 ; heavy_fly ; 113 
 4162 ; 5 пиастров. Иордания ; 2000 ;  ; Cu-Ni ; VF-XF ; 12 ; V.I.P.E.R. ; 37 
 4163 ; 100 боливаров. Венесуэла ; 2002 ;  ; Cu-Ni ; XF ; 18 ; филипок ; 27 
 4164 ; 20 раппен. Швейцария ; 1924 ;  ; Cu-Ni ; VF-XF ; 10 ; Flagman ; 26 
 4165 ; 25 сантимов. Бельгия ; 1922 ;  ; Cu-Ni ; F-VF ; 6 ; кот баюн ; 34 
 4166 ; 1 доллар. США ; 1976 ;  ; Cu-Ni ; VF-XF ; 11 ; всыня ; 114 
 4167 ; 1/2 доллара. США ; 1976 ;  ; Cu-Ni ; VF-XF ; 30 ; heavy_fly ; 97 
 4168 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; XF ; 17 ; DIMA 57 ; 125 
 4169 ; 10 юаней. Тайвань ;  ;  ; Cu-Ni ; VF-XF ; 11 ; sibirian ; 35 
 4170 ; 100 филс. Иордания ; 1949 ;  ; Cu-Ni ; VF-XF ; 22 ; gusar ; 128 
 4171 ; 50 песо. Мексика ; 1984 ;  ; Cu-Ni ; VF-XF ; 17 ; t_v_v ; 81 
 4172 ; 1 крузейро. Бразилия ;  ;  ; Cu-Ni ; VF-XF ; 9 ; Bronco ; 104 
 4173 ; 2 марки. ФРГ ; 1967 ;  ; Cu-Ni ; VF ; 17 ; NL.minkki ; 69 
 4174 ; 1 рупия. Индия ; 1976 ;  ; Cu-Ni ; VF-XF ; 16 ; V.I.P.E.R. ; 27 
 4175 ; 50 центов. Канада ; 1969 ;  ; Cu-Ni ; XF ; 17 ; heavy_fly ; 63 
 4176 ; 50 сентимо. Коста-Рика ; 1972 ;  ; Cu-Ni ; AU ; 23 ; vb96 ; 137 
 4177 ; 5 песет. Испания ; 1949 ;  ; Cu-Ni ; XF ; 11 ; teso ; 97 
 4178 ; 10 милс. Палестина ; 1946 ;  ; Cu-Ni ; VF ; 43 ; Ronald ; 303 
 4179 ; 100 рейс. Бразилия ; 1893 ;  ; Cu-Ni ; F-VF ; 14 ; t_v_v ; 73 
 4180 ; 50 сентимо. Испания ; 1949 ;  ; Cu-Ni ; VF- ; 11 ; матрос1973 ; 57 
 4181 ; 500 ливр. Ливан ; 2000 ;  ; Cu-Ni ; VF-XF ; 12 ; Rober ; 57 
 4182 ; 20 центов. Новая Зеландия ; 1969 ;  ; Cu-Ni ; XF ; 18 ; grytuman ; 65 
 4183 ; 1 крона. Швеция ; 2013 ;  ; Cu-Ni ; VF-XF ; 32 ; vb96 ; 203 
 4184 ; 2 рупии. Индия ; 1997 ;  ; Cu-Ni ; VF-XF ; 11 ; V.I.P.E.R. ; 23 
 4185 ; 50 сен.  Малайзия ; 2007 ;  ; Cu-Ni ; VF-XF ; 44 ; лопе де вега ; 116 
 4186 ; 50 центов. Сингапур ; 2013 ;  ; Cu-Ni ; AU ; 7 ; кот баюн ; 55 
 4187 ; 50 пенсов. Великобритания ; 1969 ;  ; Cu-Ni ; XF ; 7 ; sibirian ; 36 
 4188 ; 2 шиллинга. Гамбия ; 1966 ;  ; Cu-Ni ; VF-XF ; 26 ; SKeeper ; 362 
 4189 ; 1 франк. Франция ; 1988 ;  ; Cu-Ni ; XF ; 17 ; Rober ; 37 
 4190 ; 50 сен. Малайзия ; 1988 ;  ; Cu-Ni ; XF ; 13 ; teso ; 42 
 4191 ; 5 лит. Литва ; 1991 ;  ; Cu-Ni ; VF-XF ; 29 ; bva150979 ; 1481 
 4192 ; 50 йен. Япония ;  ;  ; Cu-Ni ; VF-XF ; 19 ; Dmitry21 ; 79 
 4193 ; 2 метикайс. Мозамбик ; 2006 ;  ; Cu-Ni ; XF ; 29 ; Папа с рацией ; 65 
 4194 ; 1 патака. Португальское Макао ; 1983 ;  ; Cu-Ni ; VF ; 33 ; dudinjohn ; 90 
 4195 ; 20 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; VF ; 7 ; Враг ; 16 
 4196 ; Жетон телефонный ;  ;  ; Cu-Ni ; VF ; 9 ; цеховик ; 34 
 4197 ; 50 центов. Новая зеландия ; 2006 ;  ; Cu-Ni ; XF ; 25 ; 47154 ; 67 
 4098 ; 250 риалов. Ирак ; 1278 ;  ; Би/м ; XF ; 9 ; ForNum77 ; 35 
 4099 ; 1 риал. Бразилия ; 2004 ;  ; Би/м ; XF ; 18 ; chp85 ; 53 
 4100 ; 2 фунта. Великобритания ; 2010 ;  ; Би/м ; VF ; 7 ; gerber68 ; 273 
 4101 ; 5 рандов. Южная Африка ; 2005 ;  ; Би/м ; VF-XF ; 16 ; -IROKEZ- ; 72 
 4102 ; 10 бат. Тайланд ;  ;  ; Би/м ; XF ; 19 ; генерал777 ; 115 
 4103 ; 10 писо. Филиппины ; 2003 ;  ; Би/м ; VF-XF ; 4 ; Жираф ; 34 
 4104 ; 1/2 франка. Монако ; 1982 ;  ; Cu-Ni ; XF ; 33 ; SKeeper ; 120 
 4105 ; 10 центов. Канада ; 2001 ;  ; Cu-Ni ; XF ; 17 ; кс ; 57 
 4106 ; 50 йен. Япония ;  ;  ; Cu-Ni ; XF ; 15 ; Dmitry21 ; 65 
 4107 ; 10 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; VF ; 3 ; кот баюн ; 55 
 4108 ; 10 раппен. Швейцария ; 1932 ;  ; Cu-Ni ; XF ; 35 ; -IROKEZ- ; 44 
 4109 ; 10 хеллеров. Австрия ; 1916 ;  ; Cu-Ni ; VF ; 11 ; smel ; 39 
 4110 ; 1 шиллинг. Австралия ; 1953 ;  ; Ag ; F-VF ; 23 ; кот баюн ; 161 
 4111 ; 2 бата. Тайланд ;  ;  ; Cu-Ni ; AU ; 13 ; v_bond ; 65 
 4112 ; 5 центов. Либерия ; 1960 ;  ; Cu-Ni ; VF ; 15 ; -IROKEZ- ; 91 
 4113 ; 500 драхм. Греция ; 2004 ;  ; Cu-Ni ; VF-XF ; 23 ; Папа с рацией ; 127 
 4114 ; 25 центов. Нидерланды ; 1948 ;  ; Cu-Ni ; VF-XF ; 13 ; gusar ; 46 
 4115 ; 5 центов. Канада ; 1953 ;  ; St ; VF-XF ; 6 ; кс ; 36 
 4116 ; 10 франков. Французская Полинезия ; 1973 ;  ; Cu-Ni ; XF ; 19 ; SKeeper ; 56 
 4117 ; 50 пфеннигов. Веймар ; 1921 ;  ; Al ; F-VF ; 3 ; кот баюн ; 55 
 4118 ; 10 киндарка. Албания ; 1964 ;  ; Al ; VF-XF ; 22 ; Tche ; 128 
 4119 ; 500 марок. Веймар ; 1923A ;  ; Al ; VF ; 5 ; alexey_s ; 57 
 4120 ; 5 пфеннигов. Германия. Нотгельд. Линнеп ; 1920 ;  ; Al ; XF ; 26 ; banks ; 216 
 4121 ; 1 шиллинг. Австрия ; 1952 ;  ; Al ; XF ; 10 ; -IROKEZ- ; 159 
 4122 ; 5 рупий. Индонезия ; 1974 ;  ; Al ; XF ; 15 ; chp85 ; 57 
 4123 ; 10 пайс. Индия ; 1982 ;  ; Al ; XF ; 42 ; teso ; 171 
 4124 ; 1 лира. Италия ; 1940 ;  ; St ; VF-XF ; 11 ; кот баюн ; 56 
 4125 ; 100 лир. Италия ; 1979 ;  ; St ; XF ; 5 ; кот баюн ; 33 
 4126 ; 5 лир. Турция ; 1979 ;  ; St ; XF ; 7 ; Sterh ; 30 
 4127 ; 5 эре. Норвегия ; 1941 ;  ; St ; VF ; 18 ; Папа с рацией ; 58 
 4128 ; 5 песо. Мексика ; 1972 ;  ; Cu-Ni ; XF ; 43 ; Hamlet ; 87 
 4129 ; 50 эре. Норвегия ; 1926 ;  ; Cu-Ni ; VF ; 9 ; кот баюн ; 55 
 4130 ; 50 франко. Гвинея ; 1994 ;  ; Cu-Ni ; VF-XF ; 28 ; кот баюн ; 118 
 4131 ; 5 шиллингов. Танзания ; 1987 ;  ; Cu-Ni ; VF-XF ; 9 ; teso ; 101 
 4132 ; 5 долларов. Гон-Конг ; 1976 ;  ; Cu-Ni ; VF-XF ; 32 ; SKeeper ; 123 
 4133 ; 50 риалов. Иран ; 1377 ;  ; Cu-Ni ; VF-XF ; 7 ; кот баюн ; 55 
 4134 ; 2 анны. Индия ; 1918 ;  ; Cu-Ni ; VF ; 10 ; t_v_v ; 87 
 4135 ; 20 пара. Турция ; 1327 ;  ; Cu-Ni ; VF ; 10 ; кот баюн ; 57 
 4136 ; 50 эре. Норвегия ; 1948 ;  ; Cu-Ni ; VF-XF ; 5 ; кот баюн ; 36 
 4137 ; 10 сентаво. Никарагуа ; 1965 ;  ; Cu-Ni ; VF ; 13 ; t_v_v ; 48 
 4138 ; 5 раппен. Швейцария ; 1915 ;  ; Cu-Ni ; VF ; 12 ; Flagman ; 20 
 4139 ; 25 эре. Дания ; 1924 ;  ; Cu-Ni ; VF ; 9 ; кот баюн ; 55 
 4140 ; 5 шиллингов. Танзания ; 1972 ;  ; Cu-Ni ; VF ; 18 ; t_v_v ; 77 
 4141 ; 5 центов. США ; 1940 ;  ; Cu-Ni ; VF ; 24 ; DDW ; 95 
 4142 ; 20 франков. Марокко ; 1366 ;  ; Cu-Ni ; VF-XF ; 7 ; SKeeper ; 102 
 4143 ; 25 центов. Канада ; 2000 ;  ; Cu-Ni ; VF-XF ; 24 ; t_v_v ; 50 
 4144 ; 20 толари. Словения ; 2005 ;  ; Cu-Ni ; VF-XF ; 29 ; SKeeper ; 51 
 4145 ; 1 марка. Веймар ; 1934J ;  ; Cu-Ni ; VF+ ; 16 ; westof ; 346 
 4146 ; 1 флорин. Аруба ; 1997 ;  ; Cu-Ni ; VF ; 7 ; t_v_v ; 44 
 4147 ; 100 франков. Тунис ; 1950 ;  ; Cu-Ni ; VF ; 20 ; SKeeper ; 193 
 4048 ; 5 пенни. Финляндия ; 1941 ;  ; Br ; XF ; 11 ; VAZ-2107 ; 51 
 4049 ; 2 цента. Новая Зеландия ; 1967 ;  ; Br ; XF ; 22 ; лопе де вега ; 102 
 4050 ; 1 крейцер. Австрия ; 1800 ;  ; Br ; F ; 14 ; t_v_v ; 57 
 4051 ; 2 раппен. Швейцария ; 1941 ;  ; Br ; VF-XF ; 14 ; -IROKEZ- ; 100 
 4052 ; 50 эре. Швеция ; 2008 ;  ; Br ; VF-XF ; 13 ; chag1985 ; 39 
 4053 ; 1 эре. Норвегия ; 1933 ;  ; Br ; VF ; 6 ; natpulkovo ; 34 
 4054 ; 1 раппен. Швейцария ; 1954 ;  ; Br ; VF+ ; 7 ; ForNum77 ; 34 
 4055 ; 10 центов. Новая Зеландия ; 2006 ;  ; Br ; XF ; 43 ; ForNum77 ; 69 
 4056 ; 1/6 скиллинга. Швеция ; 1849 ;  ; Br ; F-VF ; 15 ; -IROKEZ- ; 124 
 4057 ; 5 чентезимо. Италия ; 1861 ;  ; Br ; F-VF ; 17 ; Враг ; 95 
 4058 ; 3 пфеннига. Пруссия ; 1863A ;  ; Br ; F-VF ; 7 ; SirPi ; 101 
 4059 ; 5 сантимов. Латвия ; 1922 ;  ; Br ; VF ; 5 ; Враг ; 57 
 4060 ; 1 цент. Южная Африка ; 1961 ;  ; Al/Br ; VF-XF ; 12 ; SKeeper ; 63 
 4061 ; 1 доллар. Австралия ; 1999 ;  ; Al/Br ; VF ; 14 ; кот баюн ; 101 
 4062 ; 1 доллар. Австралия ; 1997 ;  ; Al/Br ; VF ; 37 ; Rosomaha ; 250 
 4063 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; XF ; 7 ; кот баюн ; 55 
 4064 ; Жетон Shell ; 1952 ;  ; Al/Br ; XF ; 10 ; dinkini ; 57 
 4065 ; 200 лир. Италия ; 1992 ;  ; Al/Br ; XF ; 21 ; ForNum77 ; 51 
 4066 ; 5 марок. Финляндия ; 1948 ;  ; Al/Br ; XF ; 18 ; kergudu ; 45 
 4067 ; 20 марок. Финляндия ; 1956 ;  ; Al/Br ; VF-XF ; 20 ; VAZ-2107 ; 55 
 4068 ; 10 пара. Турция ; 1341 ;  ; Al/Br ; VF ; 23 ; cboker ; 359 
 4069 ; 200 лир. Италия ; 1993 ;  ; Al/Br ; VF ; 16 ; V.I.P.E.R. ; 30 
 4070 ; 1 доллар. США ; 2008P ;  ; Al/Br ; AU ; 19 ; 01618 ; 123 
 4071 ; 5 марок. Финляндия ; 1989 ;  ; Al/Br ; VF-XF ; 19 ; VAZ-2107 ; 51 
 4072 ; 100 драхм. Греция ; 1999 ;  ; Al/Br ; XF ; 25 ; Папа с рацией ; 133 
 4073 ; Жетон Shell ;  ;  ; Al/Br ; XF ; 7 ; dinkini ; 57 
 4074 ; 2 франка. Тунис ; 1945 ;  ; Al/Br ; VF ; 9 ; Bomba 47 ; 96 
 4075 ; Жетон Shell ;  ;  ; Al/Br ; XF ; 7 ; dinkini ; 57 
 4076 ; 10 пфеннигов. Веймар ; 1925A ;  ; Al/Br ; VF ; 6 ; 312 ; 34 
 4077 ; 1 франк. Франция ; 1922 ;  ; Al/Br ; VF ; 11 ; Хаа ; 102 
 4078 ; 1 фунт. Великобритания ; 2008 ;  ; Al/Br ; VF ; 12 ; Папа с рацией ; 116 
 4079 ; 5 рупий. Шри-Ланка ; 2003 ;  ; Al/Br ; XF ; 20 ; Экзот ; 101 
 4080 ; 50 авос. Макао ; 1993 ;  ; Al/Br ; XF ; 6 ; V.I.P.E.R. ; 34 
 4081 ; 5 пиастров. Ливан ; 1972 ;  ; Al/Br ; XF ; 20 ; kornum ; 67 
 4082 ; 5 пфеннигов. Германия ; 1938A ;  ; Al/Br ; VF-XF ; 25 ; CASABLANCA ; 331 
 4083 ; 25 песет. Испания ; 1994 ;  ; Al/Br ; VF-XF ; 32 ; nikfed ; 57 
 4084 ; 1 доллар. Канада ; 2004 ;  ; Al/Br ; XF ; 13 ; t_v_v ; 102 
 4085 ; 1 анна. Индия ; 1944 ;  ; Al/Br ; VF ; 6 ; t_v_v ; 34 
 4086 ; 5 франков. Французская Африка ; 1956 ;  ; Al/Br ; F-VF ; 9 ; YAV71 ; 51 
 4087 ; Жетон Людовик XVI ; 1793 ;  ; Al/Br ; F-VF ; 17 ; bva150979 ; 139 
 4088 ; Стокгольмский газовый жетон ; 1929 ;  ; Br ; VF ; 15 ; NL.minkki ; 97 
 4089 ; 1 лира. Турция ; 2009 ;  ; Би/м ; XF ; 23 ; ForNum77 ; 51 
 4090 ; 50 куруш. Турция ; 2006 ;  ; Би/м ; XF ; 13 ; chag1985 ; 50 
 4091 ; 10 бат. Тайланд ;  ;  ; Би/м ; XF ; 3 ; chag1985 ; 50 
 4092 ; 1 песо. Аргентина ; 1995 ;  ; Би/м ; XF ; 11 ; кот баюн ; 40 
 4093 ; 1 лира. Турция ; 2005 ;  ; Би/м ; XF ; 7 ; molchok2015 ; 21 
 4094 ; 100 филс. Бахрейн ; 2000 ;  ; Би/м ; XF ; 8 ; Rober ; 61 
 4095 ; 10 марок. Финляндия ; 1993 ;  ; Би/м ; XF ; 7 ; molchok2015 ; 61 
 4096 ; 20 шиллингов. Кения ; 2005 ;  ; Би/м ; VF-XF ; 4 ; Папа с рацией ; 57 
 4097 ; 2 доллара. Канада ; 1996 ;  ; Би/м ; VF-XF ; 37 ; molchok2015 ; 165 
 3998 ; 5 сентесимо. Испания ; 1870 ;  ; Br ; F-VF ; 10 ; Папа с рацией ; 57 
 3999 ; 10 прута. Израиль ;  ;  ; Br ; VF-XF ; 19 ; gusar ; 104 
 4000 ; 1/2 пенни. Великобритания ; 1874 ;  ; Br ; VF ; 16 ; banks ; 232 
 4001 ; 2 цента. США ; 1865 ;  ; Br ; F-VF ; 21 ; страус ; 867 
 4002 ; 2 эре. Норвегия ; 1897 ;  ; Br ; VF ; 29 ; natpulkovo ; 137 
 4003 ; 5 сантимов. Тунис ; 1891 ;  ; Br ; F-VF ; 15 ; кот баюн ; 91 
 4004 ; 1 эре. Швеция ; 1772 ;  ; Br ; F ; 40 ; dsp ; 305 
 4005 ; 5 эре. Швеция ; 1916 ;  ; Br ; VF ; 14 ; -IROKEZ- ; 57 
 4006 ; 1 скиллинг. Дания ; 1852 ;  ; Br ; VF ; 46 ; asru ; 1439 
 4007 ; 1/4 скиллинга. Швеция ; 1821 ;  ; Br ; F-VF ; 8 ; -IROKEZ- ; 90 
 4008 ; 10 кэш. Китай ;  ;  ; Br ; VF- ; 13 ; DIMA 57 ; 136 
 4009 ; Жетон. Швеция. D-27мм ;  ;  ; Br ; VF ; 17 ; dsp ; 186 
 4010 ; 1 филлер. Венгрия ; 1927 ;  ; Br ; VF ; 20 ; Александр007 ; 104 
 4011 ; 2 эре. Швеция ; 1875 ;  ; Br ; VF ; 91 ; tss ; 949 
 4012 ; 1 пфенниг. Германия ; 1912A ;  ; Br ; VF ; 19 ; bva150979 ; 82 
 4013 ; 2 пфеннига. Германия ; 1937A ;  ; Br ; XF ; 18 ; CASABLANCA ; 290 
 4014 ; 12 хеллеров.  Аахен ;  ;  ; Br ; F ; 22 ; murka1973 ; 200 
 4015 ; 1 эре. Дания ; 1883 ;  ; Br ; F-VF ; 18 ; yourius ; 79 
 4016 ; 1 эре. Норвегия ; 1893 ;  ; Br ; VF ; 15 ; natpulkovo ; 160 
 4017 ; Монета Марокко ; 126? ;  ; Br ; F+ ; 13 ; Monata ; 186 
 4018 ; 1 цент. Гон-Конг ; 1925 ;  ; Br ; F-VF ; 9 ; Shera ; 104 
 4019 ; 20 фенигов. Босния и Герцоговина ; 1998 ;  ; Br ; VF ; 7 ; филипок ; 36 
 4020 ; 10 пенни. Финляндия ; 1942 ;  ; Br ; XF ; 29 ; VAZ-2107 ; 93 
 4021 ; 1 сентаво. Филиппины ; 1931 ;  ; Br ; VF ; 6 ; YAV71 ; 57 
