 5828 ; Бона иностранная. Куба ; 1896 ;  ;  ;  ; 29 ; umbrella ; 340 
 3196 ; 20 тенге. Казахстан. 50 лет ООН ; 1995 ;  ; Cu-Ni ; AU ; 7 ; lalula ; 57 
 3197 ; 5000 лир. Турция ; 1995 ;  ; Cu-Ni-Zn ; XF+ ; 9 ; qwertyh ; 26 
 3198 ; 2 кроны. Эстония. Крепость Томпеа ; 1930 ;  ; Ag ; XF+ ; 42 ; Apot ; 1530 
 3199 ; 2 кроны. Эстония. Крепость Томпеа ; 1930 ;  ; Ag ; XF+ ; 33 ; 220W ; 793 
 3200 ; 10 сентимов. Франция ; 1862 ;  ; Cu ; XF- ; 21 ; dencon ; 288 
 3201 ; 1/12 шиллинга. Джерси ; 1909 ;  ; Cu ; VF-XF ; 22 ; OVK ; 227 
 3202 ; 5 эре. Швеция ; 1872 ;  ; Cu ; VF ; 32 ; hf426 ; 542 
 3203 ; 1/2 пенни. Великобритания ; 1868 ;  ; Cu ; F-VF ; 17 ; gavrosh ; 83 
 3204 ; 1/2 пенни. Великобритания ; 1861 ;  ; Cu ; VF- ; 15 ; locman ; 44 
 3205 ; 1/2 скиллинга. Швеция ; 1803 ;  ; Cu ; VF- ; 29 ; sanni4ka ; 363 
 3206 ; 1/4 скиллинга. Швеция ; 1808 ;  ; Cu ; VF ; 43 ; кве ; 468 
 3207 ; 2 эре. Швеция ; 1864 ;  ; Cu ; XF- ; 38 ; hf426 ; 528 
 3208 ; 2 эре. Швеция ; 1896 ;  ; Cu ; VF ; 8 ; Searcher ; 101 
 3209 ; 2 эре. Швеция ; 1874 ;  ; Cu ; VF-XF ; 27 ; sanni4ka ; 279 
 3210 ; 1 эре. Швеция ; 1873 ;  ; Cu ; VF-XF ; 32 ; vesta78 ; 363 
 3211 ; 2 пфеннига. Пруссия ; 1849A ;  ; Cu ; VF+ ; 30 ; кве ; 306 
 3212 ; 5 пфеннигов. Германия ; 1875A ;  ; Cu-Ni ; VF+ ; 33 ; taa ; 101 
 3213 ; 1 цент. США. Индеец ; 1887 ;  ; Br ; VF- ; 17 ; Oleht ; 148 
 3214 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu-Ni ; XF- ; 30 ; alexey_s ; 242 
 3215 ; 20 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF ; 20 ; СТРЕКОЗА ; 37 
 3216 ; 20 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF ; 20 ; 220W ; 37 
 3217 ; 10 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; F+ ; 14 ; vesta78 ; 36 
 3218 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF- ; 20 ; СТРЕКОЗА ; 37 
 3219 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF- ; 19 ; СТРЕКОЗА ; 36 
 3220 ; 10 лева. Болгария. Космос ; 1979 ;  ; Ag ; AU ; 28 ; lsp25 ; 517 
 3221 ; 20 лева. Болгария. Космос ; 1988 ;  ; Ag ; Proof ; 23 ; ААФ ; 451 
 3222 ; 1 крона. Австро-Венгрия. Миллениум ; 1896 ;  ; Ag ; VF+ ; 48 ; Aleech ; 1484 
 3223 ; 20 драхм. Греция ; 1930 ;  ; Ag ; VF ; 67 ; Ю42 ; 918 
 3224 ; 150 динаров. Югославия. Средиземноморские игры ; 1978 ;  ; Ag ; XF- ; 27 ; lirik ; 827 
 3225 ; 5 динаров. Югославия. 30 лет победы ; 1975 ;  ; Cu-Ni ; AU ; 39 ; Стрепет ; 210 
 3226 ; 500 вон. Южная Корея ; 2010 ;  ; Cu-Ni ; VF+ ; 16 ; ВЯЗЪ ; 36 
 3227 ; 4 сентаво. Португалия ; 1917 ;  ; Cu-Ni ; VF- ; 37 ; В1951 ; 199 
 3228 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; F ; 34 ; _1111_ ; 160 
 3229 ; 5 толаров. Словения ; 1999 ;  ; латунь ; XF ; 7 ; qwertyh ; 26 
 3230 ; 1 доллар. США ; 1921D ;  ; Ag ; VF ; 22 ; Klevakin2005 ; 1383 
 3231 ; 5 злотых. Польша. Порт Гдыня ; 1936 ;  ; Ag ; VF+ ; 107 ; sibirian ; 1901 
 3132 ; 10 марок. ФРГ. Олимпиада в Германии ; 1972J ;  ; Ag ; XF ; 13 ; Zигмунт ; 354 
 3133 ; 10 марок. ФРГ. Попытка устранить Гитлера 20 июля 1944г ; 1994A ;  ; Ag ; VF-XF ; 23 ; dic79 ; 453 
 3134 ; 10 марок. ФРГ. Фридрих Барбаросса ; 1990F ;  ; Ag ; XF ; 18 ; Zигмунт ; 410 
 3135 ; 10 марок. ФРГ. 2000 лет Бонну ; 1989D ;  ; Ag ; XF+ ; 8 ; Zигмунт ; 354 
 3136 ; 10 марок. ФРГ. Дизельный двигатель ; 1997F ;  ; Ag ; XF+ ; 21 ; solder13 ; 445 
 3137 ; 5 марок. ФРГ. Гуттенберг ; 1968G ;  ; Ag ; XF+ ; 21 ; alex995 ; 340 
 3138 ; 5 марок. ФРГ. Густав Стресеманн ; 1978D ;  ; Ag ; AU ; 16 ; Jauho ; 340 
 3139 ; 5 марок. ФРГ. Франкфуртский парламент ; 1973G ;  ; Ag ; AU ; 15 ; alex995 ; 351 
 3140 ; 5 марок. ФРГ. Единая Германия ; 1971G ;  ; Ag ; XF ; 20 ; Zигмунт ; 344 
 3141 ; 5 марок. ФРГ. Теодор Фонтане ; 1969G ;  ; Ag ; Proof ; 16 ; garret/25/24/1978 ; 359 
 3142 ; 5 марок. ФРГ. Кант ; 1974D ;  ; Ag ; XF ; 15 ; Александр007 ; 340 
 3143 ; 5 марок. ФРГ. Альберт Швейтцер ; 1975G ;  ; Ag ; XF+ ; 14 ; Zигмунт ; 344 
 3144 ; 5 марок. ФРГ. Лейбниц ; 1966D ;  ; Ag ; AU ; 17 ; Jauho ; 357 
 3145 ; 5 марок. ФРГ. Фон Гриммельсгаузен ; 1976D ;  ; Ag ; AU ; 14 ; garret/25/24/1978 ; 340 
 3146 ; 5 марок. ФРГ. Райффайзен ; 1968J ;  ; Ag ; XF+ ; 16 ; mart_si ; 351 
 3147 ; 5 марок. ФРГ. Вильгельм и Александр фон Гумбольдт ; 1967F ;  ; Ag ; AU ; 17 ; jj ; 374 
 3148 ; 5 марок. ФРГ. 150 лет Немецкому Археологическому институту ; 1979J ;  ; Ag ; AU ; 13 ; garret/25/24/1978 ; 340 
 3149 ; 5 марок. ФРГ. Клейст ; 1977G ;  ; Ag ; Proof ; 13 ; Elephant ; 351 
 3150 ; 5 марок. ФРГ. Карл Фридрих Гаусс ; 1977J ;  ; Ag ; AU ; 14 ; Elephant ; 345 
 3151 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 16 ; Jauho ; 354 
 3152 ; 5 марок. ФРГ. Бетховен ; 1970F ;  ; Ag ; XF+ ; 15 ; Aquila ; 360 
 3153 ; 5 марок. ФРГ. Альбрехт Дюрер ; 1971D ;  ; Ag ; XF+ ; 12 ; Elephant ; 345 
 3154 ; 5 марок. ФРГ. Макс Петтенкофер ; 1968D ;  ; Ag ; XF ; 13 ; Jauho ; 352 
 3155 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; XF+ ; 15 ; chernomak ; 352 
 3156 ; 5 марок. ФРГ. 25 лет Конституции ; 1974F ;  ; Ag ; AU ; 15 ; Elephant ; 348 
 3157 ; 5 марок. ФРГ. Фон Гриммельсгаузен ; 1976D ;  ; Ag ; Proof ; 30 ; chernomak ; 714 
 3158 ; 5 марок. ФРГ. Год защиты европейских памятников ; 1975F ;  ; Ag ; AU ; 13 ; Zигмунт ; 333 
 3159 ; 5 марок. ФРГ. Клейст ; 1977G ;  ; Ag ; XF ; 13 ; Zигмунт ; 340 
 3160 ; 5 злотых. Польша ; 1932 ;  ; Ag ; XF- ; 20 ; СТРЕКОЗА ; 337 
 3161 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 9 ; max8888 ; 253 
 3162 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 11 ; ВЯЗЪ ; 174 
 3163 ; 1 крейцер. Австрия ; 1816 ;  ; Cu ; F ; 11 ; vangog3 ; 45 
 3164 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F+ ; 3 ; fedor880v ; 44 
 3165 ; 5 франков. Франция ; 1874 ;  ; Ag ; VF+ ; 19 ; Колян ; 1213 
 3166 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; VF ; 28 ; Oleht ; 285 
 3167 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; VF+ ; 37 ; Oleht ; 303 
 3168 ; 1 доллар. Канада. XI игры Содружества в Эдмонтоне ; 1978 ;  ; Ag ; XF ; 9 ; Elephant ; 444 
 3169 ; 500 лир. Италия. 200 лет со дня рождения Аллесандро Мандзони ; 1985 ;  ; Ag ; AU ; 38 ; vicnic ; 888 
 3170 ; 500 лир. Италия. 350-летие книги "Диалог о двух системах мира" Галилео Галилея ; 1982 ;  ; Ag ; AU ; 38 ; наташа2712 ; 568 
 3171 ; 500 лир. Ватикан ; 1973 ;  ; Ag ; AU ; 21 ; OgAnVi ; 487 
 3172 ; 500 лир. Ватикан ; 1974 ;  ; Ag ; AU ; 26 ; OgAnVi ; 487 
 3173 ; 1 песо. Уругвай ; 1942 ;  ; Ag ; VF ; 25 ; fillin ; 352 
 3174 ; 1 доллар. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 20 ; gusar ; 793 
 3175 ; 1/2 доллара. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 30 ; ddimad ; 410 
 3176 ; 1/4 доллара. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 18 ; ААФ ; 193 
 3177 ; 1 песо. Уругвай ; 1942 ;  ; Ag ; VF ; 17 ; vc57 ; 357 
 3178 ; 10 центов. Канада. Эдвард VII ; 1905 ;  ; Ag ; VF ; 14 ; ratiandr ; 105 
 3179 ; 10 центов. Канада. Эдвард VII ; 1910 ;  ; Ag ; VF ; 14 ; qwertyh ; 97 
 3180 ; 1 дайм. США ; 1902 ;  ; Ag ; VF+ ; 45 ; Plumber ; 227 
 3181 ; 1 пенни. Великобритания. Виктория ; 1897 ;  ; Br ; F-VF ; 22 ; qwertyh ; 26 
 3082 ; 1 шиллинг. Австралия ; 1943 ;  ; Ag ; VF+ ; 14 ; banks ; 125 
 3083 ; 6 пенсов. Австралия ; 1955 ;  ; Ag ; VF+ ; 16 ; Sky2 ; 72 
 3084 ; 6 пенсов. Австралия ; 1959 ;  ; Ag ; VF ; 12 ; Sky2 ; 72 
 3085 ; 10 пфеннигов. Нотгельд, Дармштадт ; 1917 ;  ; Zn ; F ; 11 ; doiu33 ; 94 
 3086 ; 6 пенсов. Австралия ; 1960 ;  ; Ag ; XF ; 9 ; Sky2 ; 72 
 3087 ; 6 пенсов. Великобритания ; 1945 ;  ; Ag ; VF ; 21 ; Sky2 ; 79 
 3088 ; 5 шиллингов. Южная Африка. 50 лет Южно-Африканскому объединению ; 1960 ;  ; Ag ; XF ; 16 ; Elephant ; 701 
 3089 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 7 ; locman ; 152 
 3090 ; 1 шиллинг. Великобритания ; 1890 ;  ; Ag ; VF- ; 23 ; fedor880v ; 312 
 3091 ; 1 корона. Венгрия ; 1915 ;  ; Ag ; XF- ; 15 ; Magger ; 360 
 3092 ; 2 лата. Латвия ; 1925 ;  ; Ag ; XF- ; 9 ; doc2 ; 298 
 3093 ; 1 шиллинг. Австралия ; 1958 ;  ; Ag ; VF- ; 19 ; SPRogov ; 114 
 3094 ; 500 лир. Италия. 100 лет унификации Италии ; 1961 ;  ; Ag ; XF ; 40 ; Волк33 ; 340 
 3095 ; 500 лир. Италия. 2000 лет со дня смерти Горация ; 1993 ;  ; Ag ; AU ; 38 ; наташа2712 ; 568 
 3096 ; 5000 лир. Италия. Джовани Антонио ; 1997 ;  ; Ag ; AU ; 22 ; S1952 ; 867 
 3097 ; 50 пенсов. Остров Мен. Рождество ; 2000 ;  ; Cu/Ni ; XF+ ; 22 ; Недорого ; 161 
 3098 ; 50 пенсов. Остров Мен. Рождество ; 2007 ;  ; Cu/Ni ; XF ; 16 ; vc57 ; 157 
 3099 ; 50 пенсов. Остров Мен. Рождество ; 2001 ;  ; Cu/Ni ; XF ; 18 ; vc57 ; 157 
 3100 ; 1 фунт. Остров Мен. Часовня Св. Джона ; 2007 ;  ; Лат ; XF+ ; 12 ; arsenich-s ; 139 
 3101 ; 1 фунт. Великобритания ; 1991 ;  ; Лат ; XF+ ; 26 ; vc57 ; 204 
 3102 ; 200 эскудо. Португалия. XXVI олимпийские игры ; 1996 ;  ; Би/м ; XF ; 15 ; Gera_K ; 204 
 3103 ; 2 марки. Босния и Герцоговина. Голубь мира ; 2003 ;  ; Би/м ; XF ; 28 ; ZIMOGOR ; 90 
 3104 ; 2 шиллинга. Австрия. Шуберт ; 1928 ;  ; Ag ; AU ; 14 ; gusar ; 537 
 3105 ; 2 шиллинга. Австрия. Теодор Бильрот ; 1929 ;  ; Ag ; AU ; 19 ; bugor ; 609 
 3106 ; 2 шиллинга. Австрия. Вальтер фон дер Фогельвейде ; 1930 ;  ; Ag ; AU ; 16 ; bugor ; 600 
 3107 ; 2 шиллинга. Австрия. Вольфганг Амадей Моцарт ; 1931 ;  ; Ag ; AU ; 19 ; alexpakh ; 643 
 3108 ; 2 шиллинга. Австрия. Йозеф Гайдн ; 1932 ;  ; Ag ; AU ; 25 ; bugor ; 816 
 3109 ; 2 шиллинга. Австрия. Игнац Зейпель ; 1933 ;  ; Ag ; AU ; 19 ; bugor ; 609 
 3110 ; 2 шиллинга. Австрия. Энгельберт Дольфус ; 1934 ;  ; Ag ; AU ; 19 ; bugor ; 609 
 3111 ; 2 шиллинга. Австрия. Карл Люгер ; 1935 ;  ; Ag ; AU ; 21 ; bugor ; 700 
 3112 ; 2 шиллинга. Австрия. Евгений Савойский ; 1936 ;  ; Ag ; AU ; 19 ; bugor ; 609 
 3113 ; 2 шиллинга. Австрия. Церковь Св. Чарля ; 1937 ;  ; Ag ; AU ; 26 ; alexpakh ; 643 
 3114 ; 5 центов. Канада ; 1919 ;  ; Ag ; VF ; 29 ; gavrosh ; 160 
 3115 ; 10 марок. ФРГ. Рентген ; 1995D ;  ; Ag ; XF ; 15 ; doc2 ; 510 
 3116 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 26 ; Новик ; 444 
 3117 ; 10 марок. ФРГ. 10 лт единой Германии ; 2000D ;  ; Ag ; XF ; 19 ; mesv ; 509 
 3118 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972F ;  ; Ag ; AU ; 20 ; Zигмунт ; 435 
 3119 ; 10 марок. ФРГ. 150 лет ордену "За заслуги" ; 1992D ;  ; Ag ; XF ; 13 ; gerber68 ; 410 
 3120 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; XF- ; 19 ; наташа2712 ; 370 
 3121 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; XF ; 15 ; Zигмунт ; 402 
 3122 ; 10 марок. ФРГ. 800 лет Тевтонскому ордену ; 1990J ;  ; Ag ; AU ; 18 ; dic79 ; 463 
 3123 ; 10 марок. ФРГ. Артур Шопенгауэр ; 1988D ;  ; Ag ; XF ; 18 ; Zигмунт ; 421 
 3124 ; 10 марок. ФРГ. Карл Цейс ; 1988F ;  ; Ag ; XF+ ; 14 ; Александр007 ; 446 
 3125 ; 10 марок. ФРГ. Генрих Гайне ; 1997D ;  ; Ag ; AU ; 16 ; ВМШ ; 453 
 3126 ; 10 марок. ФРГ. Хердер ; 1994G ;  ; Ag ; VF-XF ; 16 ; Zигмунт ; 419 
 3127 ; 10 марок. ФРГ. 40 лет ФРГ ; 1989G ;  ; Ag ; AU ; 16 ; Zигмунт ; 412 
 3128 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; XF ; 10 ; Zигмунт ; 407 
 3129 ; 10 марок. ФРГ. Филипп Меланхтон ; 1997J ;  ; Ag ; XF+ ; 16 ; Zигмунт ; 437 
 3130 ; 10 марок. ФРГ. Кати Кольвитц ; 1992G ;  ; Ag ; XF- ; 20 ; Zигмунт ; 420 
 3131 ; 10 марок. ФРГ. Бранденбургские ворота ; 1991A ;  ; Ag ; XF ; 13 ; Zигмунт ; 375 
 3032 ; 1 мариенгрош. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1762 ;  ; Ag ; F+ ; 43 ; umbrella ; 516 
 3033 ; 6 крейцеров. Австрия ; 1849 ;  ; Ag ; F-VF ; 28 ; ratiandr ; 151 
 3034 ; 3 крейцера. Австрия ; 1830 ;  ; Ag ; VF ; 59 ; Tosha ; 564 
 3035 ; 6 грот. Бремен ; 1857 ;  ; Ag ; VF ; 37 ; В1951 ; 481 
 3036 ; 6 крейцеров. Франкфурт на Майне ; 1844 ;  ; Ag ; VF ; 37 ; mkm1968 ; 435 
 3037 ; 6 крейцеров. Франкфурт на Майне ; 1854 ;  ; Ag ; VF ; 42 ; _1111_ ; 1143 
 3038 ; 1 крейцер. Франкфурт на Майне ; 1773 ;  ; Ag ; VF ; 36 ; umbrella ; 690 
 3039 ; 1хеллер. Франкфурт на Майне ; 1821 ;  ; Cu ; VF- ; 13 ; zelya ; 99 
 3040 ; 1хеллер. Франкфурт на Майне ; 1853 ;  ; Cu ; VF ; 13 ; ratiandr ; 100 
 3041 ; 1хеллер. Франкфурт на Майне ; 1862 ;  ; Cu ; VF ; 21 ; banks ; 114 
 3042 ; 20 кеш. Китай ; 1939 ;  ; Лат ; VF ; 66 ; DIMA 57 ; 396 
 3043 ; 1 цент. Нидерландская Индия ; 1856 ;  ; Сu ; VF ; 37 ; OVK ; 277 
 3044 ; 50 лева. Болгария. XVII зимние олимпийские игры. Лыжник ; 1992 ;  ; Ag ; Proof ; 22 ; rubber ; 783 
 3045 ; 2 лева. Болгария. 1300 лет Болгарии. Объединение Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 27 ; rubber ; 138 
 3046 ; 2 лева. Болгария. 1300 лет Болгарии. Рильский монастырь ; 1981 ;  ; Cu/Ni ; Proof ; 20 ; rubber ; 159 
 3047 ; 1000 эскудо. Португалия. Иберо ; 1992 ;  ; Ag ; XF+ ; 24 ; Алек ; 1122 
 3048 ; 25 лева. Болгария. 40 лет Болгарии ; 1984 ;  ; Ag ; Proof ; 27 ; rubber ; 793 
 3049 ; 25 центов.Британский Цейлон ; 1922 ;  ; Ag ; VF ; 21 ; 8888 ; 257 
 3050 ; 1 десим. Монако ; 1838 ;  ; Cu ; VF- ; 33 ; VelesDS ; 535 
 3051 ; 50 сентаво. Филиппины. Генерал Дуглас Мак Артур ; 1947 ;  ; Ag ; XF+ ; 33 ; 8888 ; 567 
 3052 ; 1 рупия. Британская Индия ; 1890 ;  ; Ag ; VF+ ; 33 ; Волк33 ; 1134 
 3053 ; 50 франков. Франция ; 1979 ;  ; Ag ; AU ; 19 ; tamsimun ; 1275 
 3054 ; 1 крона. Остров Мен. Жизнь королевы-матери ; 1999 ;  ; Cu/Ni ; AU ; 17 ; spstudio ; 279 
 3055 ; 2 1/2 шиллинга. Южная Африка ; 1956 ;  ; Ag ; F-VF ; 10 ; наташа2712 ; 322 
 3056 ; 25 сентаво. Сальвадор ; 1944 ;  ; Ag ; XF ; 35 ; tamsimun ; 428 
 3057 ; 5 франков. Швейцария ; 1931 ;  ; Ag ; VF+ ; 12 ; vicnic ; 510 
 3058 ; 500 крон. Исландия. 1100 лет поселениям ; 1974 ;  ; Ag ; AU ; 30 ; buynyi76 ; 1036 
 3059 ; 1 пенни. Великобритания ; 1806 ;  ; Cu ; F-VF ; 43 ; Gera_K ; 306 
 3060 ; 25 песо. Мексика. Олимпиада в Мексике 1968г ; 1968 ;  ; Ag ; XF- ; 15 ; max8888 ; 636 
 3061 ; 5 песо. Мексика. 200 лет со дня рождения Идальго ; 1953 ;  ; Ag ; XF- ; 12 ; max2008 ; 1135 
 3062 ; 5 песо. Мексика. Идальго ; 1956 ;  ; Ag ; XF ; 23 ; gusar ; 523 
 3063 ; 1 песо. Мексика ; 1943 ;  ; Ag ; XF- ; 26 ; СТРЕКОЗА ; 714 
 3064 ; 50 сентаво. Мексика ; 1945 ;  ; Ag ; XF ; 27 ; RusScat ; 636 
 3065 ; 1 крона. Остров Мен. Первый человек на Луне ; 2000 ;  ; Cu/Ni ; AU ; 17 ; кашира ; 261 
 3066 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; XF ; 17 ; pref ; 173 
 3067 ; 100 франков. Франция. Содружество ; 1988 ;  ; Ag ; XF- ; 11 ; В1951 ; 526 
 3068 ; 2 песеты. Испания ; 1870 ;  ; Ag ; VF- ; 29 ; OVK ; 516 
 3069 ; 100 франков. Франция. Пантеон ; 1984 ;  ; Ag ; XF ; 21 ; Lone Ranger ; 699 
 3070 ; 100 песет. Испания ; 1966 ;  ; Ag ; AU ; 22 ; gusar ; 523 
 3071 ; 10 франков. Франция ; 1933 ;  ; Ag ; VF ; 17 ; Ю42 ; 340 
 3072 ; 5 марок. ФРГ ; 1951D ;  ; Ag ; VF-XF ; 10 ; maximus1968 ; 213 
 3073 ; 1 флорин. Великобритания ; 1928 ;  ; Ag ; F-VF ; 12 ; qwertyh ; 92 
 3074 ; 2 шиллинга. Великобритания ; 1941 ;  ; Ag ; VF+ ; 14 ; vitapool ; 166 
 3075 ; 2 шиллинга. Великобритания ; 1946 ;  ; Ag ; VF ; 10 ; vitapool ; 144 
 3076 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; VF+ ; 27 ; Алек ; 203 
 3077 ; 2 шиллинга. Великобритания ; 1942 ;  ; Ag ; VF+ ; 5 ; 12nerv ; 134 
 3078 ; 2 шиллинга. Великобритания ; 1939 ;  ; Ag ; VF+ ; 7 ; vitapool ; 160 
 3079 ; 10 франков. Франция ; 1931 ;  ; Ag ; VF+ ; 28 ; тикси3 ; 303 
 3080 ; 1 шиллинг. Австралия ; 1957 ;  ; Ag ; VF- ; 19 ; arlekin ; 101 
 3081 ; 25 центов. Канада. 100 лет конфедерации ; 1967 ;  ; Ag ; XF- ; 5 ; mask ; 153 
 2982 ; 30 драхм. Греция. Королевская династия ; 1963 ;  ; Ag ; XF ; 37 ; Волк33 ; 559 
 2983 ; 100 крон. Чехословакия. 30 лет коммунистической партии ; 1951 ;  ; Ag ; XF ; 24 ; obr73 ; 518 
 2984 ; 100 крон. Чехословакия. 600 лет университету им. Чарльза ; 1948 ;  ; Ag ; AU ; 19 ; gusar ; 555 
 2985 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; AU ; 17 ; gusar ; 555 
 2986 ; 100 крон. Чехословакия. 700 лет горному делу ; 1949 ;  ; Ag ; XF+ ; 13 ; massivejob ; 510 
 2987 ; 1 доллар. США. 200 лет Капитолию ; 1994D ;  ; Ag ; AU ; 25 ; Klevakin2005 ; 1232 
 2988 ; 1 рупия. Восточно Индийская компания ; 1835 ;  ; Ag ; XF- ; 44 ; Sky2 ; 1599 
 2989 ; 1 рупия. Британская Индия ; 1919 ;  ; Ag ; XF+ ; 18 ; max8888 ; 696 
 2990 ; 1 рупия. Португальская Индия ; 1904 ;  ; Ag ; VF-XF ; 54 ; OVK ; 1609 
 2991 ; 2 кроны. Дания. На смерть Кристиана IX и восшествии на престол Фредерика VIII ; 1906 ;  ; Ag ; XF- ; 40 ; lunt DSL ; 1900 
 2992 ; 2 кроны. Дания. На смерть Фредерика VIII и восшествии на престол Кристиана X ; 1912 ;  ; Ag ; XF ; 41 ; gansbeer ; 1587 
 2993 ; 2 кроны. Дания. 25 лет правления ; 1937 ;  ; Ag ; XF+ ; 31 ; dvg ; 714 
 2994 ; 2 кроны. Дания. На серебряную свадьбу ; 1923 ;  ; Ag ; XF ; 42 ; AMZYA ; 950 
 2995 ; 2 кроны. Дания. 60 лет королю ; 1930 ;  ; Ag ; XF+ ; 30 ; reeb13 ; 918 
 2996 ; 2 кроны. Дания. Противотуберкулезная компания ; 1953 ;  ; Ag ; AU ; 20 ; doc2 ; 900 
 2997 ; 1 крона. Великобритания ; 1890 ;  ; Ag ; VF- ; 19 ; Мери ; 1536 
 2998 ; 1/2 кроны. Великобритания ; 1906 ;  ; Ag ; VF ; 20 ; DVZ ; 720 
 2999 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; XF- ; 13 ; Алек ; 356 
 3000 ; 1/2 кроны. Великобритания ; 1898 ;  ; Ag ; VF ; 21 ; WikiLeaks ; 741 
 3001 ; 1/2 кроны. Великобритания ; 1941 ;  ; Ag ; VF-XF ; 11 ; Elephant ; 340 
 3002 ; 1 флорин. Великобритания ; 1917 ;  ; Ag ; VF ; 24 ; Johnny Walker ; 418 
 3003 ; 1 флорин. Великобритания ; 1921 ;  ; Ag ; VF+ ; 36 ; Хаа ; 756 
 3004 ; 2 шиллинга. Великобритания ; 1939 ;  ; Ag ; XF- ; 11 ; massivejob ; 267 
 3005 ; 1 доллар. США. Статуя Свободы ; 1986 ;  ; Ag ; AU ; 18 ; alexey_s ; 1351 
 3006 ; 1 доллар. США. 500 лет открытию Колумба ; 1992 ;  ; Ag ; AU ; 45 ; etalon ; 2514 
 3007 ; 1 доллар. США ; 1925 ;  ; Ag ; XF+ ; 25 ; vicnic ; 1571 
 3008 ; 1 доллар. США. Кубок мира по футболу ; 1994 ;  ; Ag ; Proof ; 40 ; etalon ; 1585 
 3009 ; 1/2 доллара. США. 250 лет со дня рождения Джорджа Вашингтона ; 1982D ;  ; Ag ; AU ; 37 ; птичкин ; 1168 
 3010 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 16 ; dow57 ; 310 
 3011 ; 1/2 доллара. США ; 1967 ;  ; Ag ; AU ; 16 ; stamukha ; 405 
 3012 ; 1/2 доллара. США. Кубок мира по футболу ; 1994P ;  ; Cu-Ni ; Proof ; 16 ; sibirian ; 235 
 3013 ; 1/2 доллара. США. Гражданская война ; 1995S ;  ; Cu-Ni ; AU ; 29 ; kehha ; 612 
 3014 ; 1 рупия. Немецкая Ост-Африка ; 1904A ;  ; Ag ; VF-XF ; 42 ; chernomak ; 3264 
 3015 ; 12 мариенгрошей. Брауншвейг-Вольфенбюттель ; 1774 ;  ; Ag ; VF ; 27 ; mkm1968 ; 578 
 3016 ; 1 шиллинг. Великобритания ; 1928 ;  ; Ag ; VF-XF ; 10 ; massivejob ; 164 
 3017 ; 6 пенсов. Великобритания ; 1758 ;  ; Ag ; VF ; 46 ; Хаа ; 1122 
 3018 ; 6 пенсов. Великобритания ; 1921 ;  ; Ag ; VF+ ; 32 ; sveta6369 ; 207 
 3019 ; 6 пенсов. Великобритания ; 1936 ;  ; Ag ; VF ; 32 ; Sky2 ; 108 
 3020 ; 6 пенсов. Великобритания ; 1944 ;  ; Ag ; VF ; 18 ; qwertyh ; 104 
 3021 ; 3 пенса. Великобритания ; 1891 ;  ; Ag ; XF ; 49 ; Plumber ; 483 
 3022 ; 3 пенса. Великобритания ; 1902 ;  ; Ag ; F-VF ; 12 ; DVZ ; 104 
 3023 ; 3 пенса. Великобритания ; 1903 ;  ; Ag ; F-VF ; 13 ; qwertyh ; 56 
 3024 ; 3 пенса. Великобритания ; 1938 ;  ; Ag ; XF ; 24 ; fedor880v ; 120 
 3025 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; VF+ ; 13 ; fedor880v ; 105 
