 5926 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Rober ; 31 
 4046 ; Набор монет Сан-Марино: 500,100,50,20,10,5,2,1 лира (8шт). Упаковка ; 1973 ;  ; Ag,лат,St,Al ; AU ; 35 ; Алек ; 584 
 4047 ; Набор монет Сан-Марино: 500,100,50,20,10,5,2,1 лира (8шт). Упаковка ; 1974 ;  ; Ag,лат,St,Al ; AU ; 30 ; Недорого ; 642 
 4048 ; Набор монет Новой Зеландии: 1 доллар, 50,20,10,5,2,1 цент (7шт). Упаковка ; 1967 ;  ; Cu-Ni,Br ; AU ; 41 ; Алек ; 246 
 4049 ; Набор монет Новой Зеландии: 1/2 кроны, 1 флорин, 1 шиллинг, 6,3 пенса, 1,1/2 пенни (7шт). Упаковка ; 1965 ;  ; Cu-Ni,Br ; AU ; 35 ; Алек ; 596 
 4050 ; Набор монет Израиля: 1,1/2 лиры, 25,10,5,1 агорот (6шт) ; 1971 ;  ; Cu-Ni,Al/Br,Al ; AU ; 14 ; aziya11 ; 184 
 4051 ; Набор монет Тайланда: 12шт ;  ;  ; Cu-Ni,Al/Br ; F-VF/XF ; 31 ; .gk ; 279 
 4052 ; Набор монет Сан-Марино: 500,200,100,50,20,10,5,2,1 лира (9шт). Упаковка ; 1978 ;  ; Ag,лат,St,Al ; AU ; 20 ; Недорого ; 686 
 4053 ; Набор монет Египта: 12шт ;  ;  ; Cu-Ni,Al/Br,Al ; VF/XF ; 15 ; DVZ ; 80 
 4054 ; Набор монет Тайланда: 12шт ;  ;  ; Cu-Ni,Al/Br ; VF/AU ; 16 ; .gk ; 93 
 4055 ; Набор монет Словении (12шт): 5 толарев. В буклете ; 1994-1996 ;  ; Латунь ; Unc ; 12 ; zx123 ; 461 
 3956 ; 1 песо. Куба. Чемпионат мира по футболу. Италия-90 ; 1990 ;  ; Cu-Ni ; AU ; 30 ; nikta ; 848 
 3957 ; 1 песо. Куба. XI Панамериканские Игры. Волейбол ; 1990 ;  ; Cu-Ni ; AU ; 11 ; Volodya_Rus ; 235 
 3958 ; 1 песо. Куба. Чемпионат Европы по футболу ; 1988 ;  ; Cu-Ni ; AU ; 11 ; Volodya_Rus ; 235 
 3959 ; 1 песо. Куба. XIV игры Центральной Америки и стран Карибского бассейна. Бокс ; 1981 ;  ; Cu-Ni ; AU ; 9 ; Volodya_Rus ; 235 
 3960 ; 1 песо. Куба. XI Панамериканские Игры. Прыжки в высоту ; 1990 ;  ; Cu-Ni ; AU ; 15 ; rodstvennik ; 307 
 3961 ; 1 песо. Куба. XIV игры Центральной Америки и стран Карибского бассейна. Атлеты ; 1981 ;  ; Cu-Ni ; AU ; 23 ; v_bond ; 209 
 3962 ; 1 песо. Куба. XI Панамериканские Игры. Регби ; 1990 ;  ; Cu-Ni ; AU ; 13 ; rodstvennik ; 310 
 3963 ; 1 песо. Куба. XIV игры Центральной Америки и стран Карибского бассейна. Атлеты ; 1981 ;  ; Cu-Ni ; AU ; 11 ; Volodya_Rus ; 206 
 3964 ; 1 песо. Куба. Зимние Олимпийские игры в Сараево. Хоккей ; 1983 ;  ; Cu-Ni ; AU ; 29 ; Nik74 ; 665 
 3965 ; 1 песо. Куба. XIV Игры Центральной Америки и Карибского бассейна: Крокодил ; 1981 ;  ; Cu-Ni ; AU ; 29 ; VOLAT ; 234 
 3966 ; 1 песо. Куба. Зимние Олимпийские игры 1988 в Калгари: Конькобежный спорт ; 1986 ;  ; Cu-Ni ; AU ; 31 ; Bonyf ; 306 
 3967 ; 1 песо. Куба. Чемпионат мира по футболу ; 1989 ;  ; Cu-Ni ; AU ; 17 ; rodstvennik ; 561 
 3968 ; 1 песо. Куба. Чемпионат мира по футболу 1990 в Италии. ALEMANIA ; 1990 ;  ; Cu-Ni ; AU ; 39 ; rodstvennik ; 503 
 3969 ; 1 песо. Куба. Зимние Олимпийские игры 1988 в Калгари: Конькобежный спорт ; 1986 ;  ; Cu-Ni ; AU ; 20 ; Bonyf ; 235 
 3970 ; 1 доллар. Сиерра Леоне. Серия "Обезьяны". Капуцин ; 2009 ;  ; Cu-Ni ; AU ; 20 ; Санитар ; 189 
 3971 ; 1 доллар. Сиерра Леоне. Серия "Обезьяны". Орангутанг ; 2010 ;  ; Cu-Ni ; AU ; 20 ; Санитар ; 207 
 3972 ; 1 доллар. Сиерра Леоне. Серия "Обезьяны". Обезьяна "Диана" ; 2009 ;  ; Cu-Ni ; AU ; 12 ; Санитар ; 181 
 3973 ; 1 доллар. Сиерра Леоне. Серия "Обезьяны". Гиббон ; 2011 ;  ; Cu-Ni ; AU ; 13 ; Всадник без плаща ; 185 
 3974 ; 1 доллар. Сиерра Леоне. Серия "Обезьяны". Горилла ; 2011 ;  ; Cu-Ni ; AU ; 12 ; Санитар ; 182 
 3975 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Слон ; 2001 ;  ; Cu-Ni ; AU ; 32 ; Graphic ; 341 
 3976 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Леопард ; 2001 ;  ; Cu-Ni ; AU ; 12 ; Graphic ; 204 
 3977 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Носорог ; 2001 ;  ; Cu-Ni ; AU ; 12 ; Graphic ; 204 
 3978 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Буйвол ; 2001 ;  ; Cu-Ni ; AU ; 10 ; Graphic ; 204 
 3979 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Слон, лев, носорог, буйвол, леопард ; 2001 ;  ; Cu-Ni ; AU ; 20 ; Tornado ; 312 
 3980 ; 1 доллар. Сиерра Леоне. Серия "Большая пятерка Африки". Лев ; 2001 ;  ; Cu-Ni ; AU ; 55 ; Graphic ; 294 
 3981 ; 1 крона. Остров Мэн. Военная медаль Норвегии ; 2004 ;  ; Cu-Ni ; AU ; 13 ; v_bond ; 200 
 3982 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Паровоз Union Pacific Big Boy ; 1998 ;  ; Cu-Ni ; AU ; 14 ; v_bond ; 200 
 3983 ; 1 крона. Фолклендские острова. Горацио Нельсон ; 2006 ;  ; Cu-Ni ; XF+ ; 9 ; RAPAN ; 204 
 3984 ; 1 крона. Остров Мэн. 50-летие высадки союзных войск в Нормандии: Военный транспорт и десантное судно ; 1994 ;  ; Cu-Ni ; XF+ ; 9 ; ANDREYMAG ; 200 
 3985 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Паровоз Mallard ; 1998 ;  ; Cu-Ni ; AU ; 15 ; v_bond ; 209 
 3986 ; 1 крона. Остров Мэн. 100-летие управляемого полета ; 2003 ;  ; Cu-Ni ; XF+ ; 13 ; alex1974 ; 200 
 3987 ; 1 доллар. Сиерра Леоне. Америго Веспуччи ; 1999 ;  ; Cu-Ni ; AU ; 21 ; kirin.valer ; 204 
 3988 ; 1 крона. Остров Мэн. 200-летие Трафальгарского сражения. Битва за Копенгаген 1801 ; 2005 ;  ; Cu-Ni ; XF ; 10 ; brat52 ; 152 
 3989 ; 1 доллар. Британские Виргинские острова. 100-летие Военно-Морской Авиации ; 2009 ;  ; Cu-Ni ; XF+ ; 15 ; brat52 ; 159 
 3990 ; 1 крона. Остров Мэн. Человек в полёте: самолёт Флайер-1 братьев Райт 1903 год ; 1995 ;  ; Cu-Ni ; XF+ ; 11 ; alex1974 ; 189 
 3991 ; 1 крона. Остров Мэн. Титаник ; 2012 ;  ; Cu-Ni ; XF ; 15 ; RAPAN ; 340 
 3992 ; 1 крона. Остров Мэн. 25-летие первого полета Конкорда ; 1994 ;  ; Cu-Ni ; XF ; 15 ; molodes ; 222 
 3993 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Паровоз № 1 "Сазерленд" ; 1998 ;  ; Cu-Ni ; AU ; 11 ; molodes ; 215 
 3994 ; 1 крона. Остров Мэн. Самолёты Второй мировой войны: Норт Америкэн Р-51 Мустанг ; 1995 ;  ; Cu-Ni ; XF ; 9 ; molodes ; 182 
 3995 ; 1 крона. Остров Мэн. Великие исследователи: Васко да Гама ; 1998 ;  ; Cu-Ni ; XF ; 9 ; ANDREYMAG ; 227 
 3996 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Паровоз LNER Flying Scotsman ; 1998 ;  ; Cu-Ni ; AU ; 13 ; molodes ; 215 
 3997 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Восточный экспресс ; 1998 ;  ; Cu-Ni ; AU ; 11 ; molodes ; 215 
 3998 ; 1 крона. Остров Мэн. 140-летие пограничного корабля «Звезда Индии» ; 2003 ;  ; Cu-Ni ; AU ; 14 ; Volodya_Rus ; 246 
 3999 ; 1 крона. Остров Мэн. 200-летие Трафальгарского сражения. Битва за Копенгаген 18011 крона. Остров Мэн. 200-летие Трафальгарского сражения. Битва за Копенгаген 1801 ; 2005 ;  ; Cu-Ni ; XF+ ; 16 ; гоша334 ; 232 
 4000 ; 1 крона. Остров Мэн. Человек в полёте: Мессершмитт ; 1995 ;  ; Cu-Ni ; AU ; 34 ; alex1974 ; 443 
 4001 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Американский паровоз "Генерал" ; 1998 ;  ; Cu-Ni ; AU ; 21 ; molodes ; 198 
 4002 ; 1 крона. Остров Мэн. 125 лет Паровой железной дороге. Горная железная дорога в Швейцарии ; 1998 ;  ; Cu-Ni ; AU ; 19 ; v_bond ; 206 
 4003 ; 1 крона. Остров Мэн. Титаник ; 2012 ;  ; Cu-Ni ; AU ; 25 ; Schwer ; 337 
 4004 ; 1 доллар. Сиерра Леоне. Чарльз Дарвин и корабль «Бигль» ; 1999 ;  ; Cu-Ni ; AU ; 9 ; gerber68 ; 216 
 4005 ; 1 доллар. Британские Виргинские острова. Сэр Фрэнсис Дрейк ; 2004 ;  ; Cu-Ni ; AU ; 16 ; Volodya_Rus ; 216 
 3906 ; 1 марка. Финляндия ; 1941 ;  ; Cu ; VF- ; 10 ; sparrow ; 34 
 3907 ; 5 лат. Латвия ; 1932 ;  ; Ag ; AU ; 20 ; viktorius ; 1157 
 3908 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 20 ; rubber ; 90 
 3909 ; 2 евро. Словакия. 20 лет Вишеградской группы ; 2011 ;  ; Би/м ; AU ; 6 ; brat52 ; 111 
 3910 ; 2 гривны. Украина. Георгий Квитка-Основяненко ; 2008 ;  ; Cu/Ni ; Proof ; 9 ; vics54 ; 161 
 3911 ; 10 бат. Тайланд ; 2001 ;  ; Би/м ; XF ; 16 ; Ravin ; 23 
 3912 ; 20 центов. Австралия. На свадьбу принца Вильяма и Кетрин Мидлтон ; 2011 ;  ; Cu-Ni ; AU ; 22 ; Vovian ; 102 
 3913 ; 10 пфеннигов. Германия ; 1908F ;  ; Cu/Ni ; VF ; 13 ; d1t ; 31 
 3914 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 15 ; Vovian ; 101 
 3915 ; 25 песет. Испания. Олимпийские игры 1992 в Барселоне. Король Хуан Карлос I ; 1991 ;  ; Ni-Br ; XF+ ; 11 ; don-juras ; 31 
 3916 ; 25 песет. Испания. Золотая башня в Севильи - Торре дель Оро ; 1992 ;  ; Ni-Br ; XF ; 8 ; Legio ; 46 
 3917 ; 25 песет. Испания. Кастилия-ла-Манча. Дон Кихот и ветряная мельница ; 1996 ;  ; Сu-Zn-Ni ; AU ; 12 ; hobot ; 57 
 3918 ; 1 франк. Катанга. Южная провинция Бельгийского Конго ; 1961 ;  ; Вr ; AU/XF ; 25 ; наташа2712 ; 155 
 3919 ; 50 дирхамов. Ливия. Всадник на лошади ; 1979 ;  ; Cu-Ni ; AU ; 17 ; Graphic ; 79 
 3920 ; 10 дирхамов. Ливия. Всадник на лошади ; 1979 ;  ; Cu-Ni ; AU ; 7 ; Серж PirGS ; 46 
 3921 ; 5 дирхамов. Ливия. Всадник на лошади ; 1979 ;  ; St/Лат ; AU ; 12 ; sparrow ; 92 
 3922 ; 1 дирхам. Ливия. Всадник на лошади ; 1979 ;  ; St/Лат ; AU ; 15 ; sparrow ; 92 
 3923 ; 10 рупий. Индия. 75 лет Резервному банку ; 2010 ;  ; Би/м ; AU ; 19 ; Серж PirGS ; 116 
 3924 ; 5 рупий. Индия. 75 лет Резервному банку ; 2010 ;  ; Латунь ; AU ; 14 ; LVIMU ; 80 
 3925 ; 2 рупии. Индия. 75 лет Резервному банку ; 2010 ;  ; Ni ; AU ; 24 ; LVIMU ; 100 
 3926 ; 1 рупия. Индия. 75 лет Резервному банку ; 2010 ;  ; Ni ; AU ; 15 ; LVIMU ; 46 
 3927 ; 10 сенти. Сомали. Ягненок ; 1976 ;  ; St-Ni ; AU ; 23 ; vc57 ; 99 
 3928 ; 5 сенти. Сомали.  Кукуруза, апельсины и колосья пшеницы ; 1976 ;  ; St-Ni ; AU ; 9 ; Серж PirGS ; 77 
 3929 ; 10 центов. Канада. Корабль — шхуна Bluenose из Новой Шотландии ; 1981 ;  ; Ni ; Proof ; 9 ; Алексей Сомелье ; 101 
 3930 ; 5 центов. Канада. Бобр канадский ; 1974 ;  ; Cu-Ni ; XF/AU ; 14 ; killer000 ; 67 
 3931 ; 1 цент. Канада. Два кленовых листа ; 1975 ;  ; Br ; AU ; 14 ; Ravin ; 26 
 3932 ; 1/4 доллара. США. Штат Род-Айленд. Яхта в заливе Наррагансетт на фоне автомобильного моста ; 2000 ;  ; Cu-Zn-Ni ; AU ; 9 ; d1t ; 45 
 3933 ; 6 пенсов. Великобритания ; 1943 ;  ; Ag ; VF+ ; 11 ; Basile ; 152 
 3934 ; 1 пенни. Великобритния ; 1967 ;  ; Br ; XF- ; 24 ; Атлантик ; 31 
 3935 ; 1/2 пенни. Великобритания ; 1962 ;  ; Br ; VF+ ; 6 ; alex995 ; 13 
 3936 ; 200000 карбованцев. Украина. Город герой-Киев ; 1995 ;  ; Cu-Ni ; Proof ; 53 ; vics54 ; 830 
 3937 ; 1 доллар. Острова Кука. Один год Евро. 500 ЕВРО ; 2003 ;  ; Cu-Ni ; AU ; 10 ; v_bond ; 138 
 3938 ; 1 доллар. Острова Кука. Один год Евро. 500 ЕВРО ; 2003 ;  ; Cu-Ni ; AU ; 14 ; Rotas ; 153 
 3939 ; 5 песо. Колумбия. 6-е Панамериканские Игры в Кали ; 1971 ;  ; Cu/St ; AU ; 16 ; Sterh ; 42 
 3940 ; 2 злотых. Польша. Олимпиада-96 ; 1996 ;  ; Cu-Ni ; AU ; 12 ; Bonyf ; 680 
 3941 ; 100 драм. Армения. Олимпиада по шахматам в Ереване ; 1996 ;  ; Cu-Ni ; AU ; 12 ; buynyi76 ; 93 
 3942 ; 2 лева. Болгария. Кубок мира по футболу ; 1986 ;  ; Cu-Ni ; Proof ; 7 ; rubber ; 90 
 3943 ; 2 лева. Болгария. Художественная гимнастика ; 1987 ;  ; Cu-Ni ; Proof ; 12 ; rubber ; 90 
 3944 ; 2 лева. Болгария. Гребля ; 1989 ;  ; Cu-Ni ; Proof ; 13 ; rubber ; 90 
 3945 ; 2 лева. Болгария. XV Зимние олимпийские игры. Лыжи ; 1987 ;  ; Cu-Ni ; Proof ; 5 ; rubber ; 79 
 3946 ; 1 лев. Болгария. . XV Зимние олимпийские игры. Хоккей ; 1987 ;  ; Cu-Ni ; Proof ; 23 ; kovrovchanin ; 137 
 3947 ; 20000 злотых. Польша. XVII Зимние Олимпийские игры ; 1993 ;  ; Cu-Ni ; AU ; 32 ; MDV ; 414 
 3948 ; 2 злотых. Польша. 100 лет Олимпийским играм современности ; 1995 ;  ; Cu-Ni ; AU ; 32 ; Komod ; 510 
 3949 ; 20000 злотых. Польша. XVII Зимние Олимпийские игры ; 1994 ;  ; Cu-Ni ; AU ; 21 ; Komod ; 410 
 3950 ; 20 злотых. Польша. Олимпиада ; 1980 ;  ; Cu-Ni ; AU ; 9 ; лесной ; 104 
 3951 ; 100 крон. Чехословакия. Кубок Европы по хоккею ; 1985 ;  ; Cu-Ni ; AU ; 39 ; Nik74 ; 523 
 3952 ; 1 юань. Китай. XI Азиатские игры ; 1990 ;  ; Cu/St ; AU ; 27 ; v_bond ; 157 
 3953 ; 1 песо. Куба. Футбол. Италия-90 ; 1988 ;  ; Cu-Ni ; AU ; 15 ; Volodya_Rus ; 296 
 3954 ; 1 песо. Куба. Сараево-84. Лыжный спорт ; 1983 ;  ; Cu-Ni ; AU ; 39 ; rodstvennik ; 357 
 3955 ; 1 песо. Куба. Чемпионат Европы по футболу ; 1988 ;  ; Cu-Ni ; AU ; 22 ; Volodya_Rus ; 225 
 3856 ; 20 сентаво. Мексика ; 1960 ;  ; Br ; VF+ ; 16 ; zzzzzz ; 116 
 3857 ; 50 сантимов. Франция ; 1922 ;  ; Al/Br ; VF ; 24 ; sparrow ; 57 
 3858 ; 1 фунт. Египет ; 2008 ;  ; Би/м ; XF ; 18 ; knulla ; 31 
 3859 ; 1 пфенниг. Германия ; 1905A ;  ; Cu ; VF ; 13 ; buben ; 24 
 3860 ; 5 эре. Дания ; 1935 ;  ; Br ; VF ; 10 ; nik23455 ; 39 
 3861 ; 1 цент. США ; 1901 ;  ; Br ; VF ; 13 ; sos1 ; 181 
 3862 ; 5 эре. Дания ; 1941 ;  ; Al ; F-VF ; 10 ; Legio ; 16 
 3863 ; 1 крона. Норвегия ; 1926 ;  ; Cu/Ni ; VF ; 9 ; alex995 ; 21 
 3864 ; 1 бат. Тайланд ; 1962 ;  ; Cu/Ni ; XF ; 13 ; Серж PirGS ; 42 
 3865 ; 1 пенни. Южная Африка ; 1944 ;  ; Br ; VF ; 11 ; наташа2712 ; 57 
 3866 ; 1/2 пенни. Великобритания ; 1888 ;  ; Cu ; VF- ; 10 ; gavrosh ; 91 
 3867 ; 5 эре. Швеция ; 1940 ;  ; Br ; VF-XF ; 8 ; Searcher ; 18 
 3868 ; 6 пенсов. Великобритания ; 1962 ;  ; Cu/Ni ; AU ; 7 ; Legio ; 34 
 3869 ; 1 лира. Италия ; 1940 ;  ; St ; VF-XF ; 7 ; krugerrand ; 102 
 3870 ; 1 цент. США ; 1907 ;  ; Cu ; F-VF ; 15 ; Yamilov ; 261 
 3871 ; 1/2 эре. Швеция ; 1858 ;  ; Cu ; VF ; 14 ; Klin ; 276 
 3872 ; 2 эре. Норвегия ; 1944 ;  ; St ; VF+ ; 21 ; DVZ ; 42 
 3873 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF ; 14 ; Basile ; 179 
 3874 ; 5 сентаво. Мексика ; 1944 ;  ; Cu ; AU ; 43 ; ALEX150 ; 81 
 3875 ; 5 эре.Норвегия ; 1928 ;  ; Br ; VF ; 8 ; Legio ; 33 
 3876 ; 10 стотинок. Болгария ; 1913 ;  ; Cu/Ni ; XF ; 10 ; наташа2712 ; 65 
 3877 ; 5 центов. США ; 1899 ;  ; Cu/Ni ; F-VF ; 8 ; Yamilov ; 45 
 3878 ; 1 пенни. Австралия ; 1942 ;  ; Br ; VF ; 11 ; ALEX150 ; 73 
 3879 ; Жетон. Damhus tivoli ;  ;  ; Б/м ; VF ; 9 ; krugerrand ; 28 
 3880 ; 2 лева. Болгария ; 1925 ;  ; Ni ; VF- ; 20 ; sparrow ; 77 
 3881 ; 3 марки. Веймар ; 1922A ;  ; Al ; VF ; 14 ; sparrow ; 87 
 3882 ; 2-1/2 цента. Нидерланды ; 1890 ;  ; Br ; VF ; 20 ; arlekin ; 42 
 3883 ; 1 пфенниг. Пруссия ; 1846A ;  ; Cu ; VF- ; 15 ; vesta78 ; 51 
 3884 ; 1 цент. США ; 1902 ;  ; Cu ; F-VF ; 13 ; Yamilov ; 118 
 3885 ; 5 эре. Швеция ; 1892 ;  ; Cu ; XF ; 24 ; hf426 ; 24 
 3886 ; 5 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 15 ; sparrow ; 32 
 3887 ; 5 пенни. Финляндия ; 1918 ;  ; Cu ; VF-XF ; 17 ; musik ; 209 
 3888 ; 10 филлеров. Австро-Венгерская Империя ; 1915КВ ;  ; Ni ; VF ; 35 ; sparrow ; 114 
 3889 ; 10 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 13 ; sparrow ; 33 
 3890 ; 3 пфеннига. Пруссия ; 1842А ;  ; Br ; F-VF ; 7 ; t_v_v ; 25 
 3891 ; 20 лей. Румыния ; 1942 ;  ; Zn ; VF- ; 7 ; krugerrand ; 34 
 3892 ; 1 корона. Австро-Венгрия ; 1894 ;  ; Ag ; VF- ; 22 ; старьёвщик ; 255 
 3893 ; 25 пенни. Финляндия ; 1942 ;  ; Cu ; XF+ ; 7 ; sparrow ; 57 
 3894 ; 2 хеллера. Австрия ; 1910 ;  ; Br ; VF ; 18 ; vb96 ; 69 
 3895 ; 2 филлера. Венгрия ; 1914 ;  ; Br ; VF+ ; 8 ; ursus ; 99 
 3896 ; 2 филлера. Австро-Венгерская Империя ; 1895КВ ;  ; Br ; VF ; 6 ; ursus ; 57 
 3897 ; 1/6 эре. Швеция ; 1718 ;  ; Br ; F ; 12 ; hf426 ; 58 
 3898 ; 5 злотых. Польша ; 1934 ;  ; Ag ; XF ; 23 ; Tornado ; 502 
 3899 ; 1 франк. Бельгия ; 1943 ;  ; Zn ; VF- ; 8 ; knulla ; 19 
 3900 ; 5 пенни. Финляндия ; 1934 ;  ; Cu ; XF- ; 12 ; sparrow ; 19 
 3901 ; 5 пенни. Финляндия ; 1920 ;  ; Cu ; XF- ; 11 ; sparrow ; 16 
 3902 ; 20 стотинок. Болгария ; 1912 ;  ; Cu/Ni ; VF ; 13 ; sparrow ; 77 
 3903 ; 25 пенни. Финляндия ; 1921 ;  ; Cu/Ni ; VF-XF ; 16 ; Legio ; 34 
 3904 ; 20 раппен. Швейцария ; 1891В ;  ; Ni ; F-VF ; 15 ; killer000 ; 30 
 3905 ; 500 марок. Веймар ; 1923A ;  ; Al ; XF ; 20 ; Basile ; 255 
 3806 ; 2 злотых. Польша. Ёж ; 1996 ;  ; Латунь ; AU ; 15 ; Germanfox ; 2144 
 3807 ; 2 злотых. Польша. Футбол ; 2002 ;  ; Латунь ; AU ; 21 ; 19Vlad72 ; 82 
 3808 ; 10 злотых. Польша ; 1977 ;  ; Cu-Ni ; AU ; 42 ; MDV ; 131 
 3809 ; 10 злотых. Польша ; 1975 ;  ; Cu-Ni ; VF-XF ; 32 ; MDV ; 144 
 3810 ; 10 злотых. Польша ; 1984 ;  ; Cu-Ni ; AU ; 44 ; MDV ; 102 
 3811 ; 10 хеллеров. Чехословакия ; 1929 ;  ; Br ; F-VF ; 69 ; av ; 215 
 3812 ; 5000 риалов. Иран ; 1379 ;  ; Cu-Ni ; XF ; 71 ; mkm1968 ; 245 
 3813 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF+ ; 35 ; SANGOLD1 ; 793 
 3814 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 27 ; SANGOLD1 ; 556 
 3815 ; 2 кроны. Эстония. Замок Тоомпеа ; 1930 ;  ; Ag ; XF ; 44 ; olancepok ; 567 
 3816 ; 1/4 бальбоа. Панама ; 1962 ;  ; Ag ; AU ; 7 ; avs ; 276 
 3817 ; 6 пенсов. Британские Фиджи ; 1935 ;  ; Ag ; VF ; 22 ; Mukoved ; 204 
 3818 ; 1 франк. Французский Камерун ; 1924 ;  ; Al/Br ; XF- ; 17 ; colonel6262 ; 261 
 3819 ; 1 франк. Французский Камерун ; 1926 ;  ; Al/Br ; VF-XF ; 20 ; alskr ; 283 
 3820 ; 50 сентимес. Французский Камерун ; 1924 ;  ; Al/Br ; XF- ; 21 ; alskr ; 281 
 3821 ; 10 франков. Саарланд ; 1954 ;  ; Al/Br ; XF ; 16 ; лесной ; 108 
 3822 ; 1 франк. Катанга ; 1961 ;  ; Br ; VF-XF ; 14 ; lestes ; 215 
 3823 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF+ ; 38 ; gerber68 ; 810 
 3824 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 39 ; Basile ; 663 
 3825 ; 2 кроны. Эстония. Замок Тоомпеа ; 1930 ;  ; Ag ; XF ; 52 ; zzzzzz ; 624 
 3826 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; F+ ; 23 ; Rusik ; 410 
 3827 ; 10 марок. ФРГ. 500 лет со дня рождения Филиппа Меланхтона ; 1997J ;  ; Ag ; AU ; 25 ; korshun-777 ; 558 
 3828 ; 3 пфеннинга. Пруссия ; 1865А ;  ; Br ; VF- ; 27 ; vesta78 ; 137 
 3829 ; 5 марок. ГДР. Первая железная дорога в Германии ; 1988 ;  ; Cu/Ni ; AU ; 14 ; vesta78 ; 257 
 3830 ; 5 марок. ГДР. 750 лет Берлину - Красная Ратуша ; 1987 ;  ; Cu/Ni ; AU ; 29 ; vesta78 ; 204 
 3831 ; 5 марок. ГДР. 750 лет Берлину. Николай Виртель ; 1987 ;  ; Cu/Ni ; AU ; 16 ; krugerrand ; 171 
 3832 ; 10 марок. ГДР. 30 лет милиции ; 1983А ;  ; Cu/Ni ; AU ; 17 ; СТРЕКОЗА ; 220 
 3833 ; 20 марок. ГДР. Бранденбургские ворота ; 1990А ;  ; Cu/Ni ; AU ; 28 ; valent77 ; 120 
 3834 ; 50 тенге. Казахстан. Улар Алтайский ; 2006 ;  ; Cu-Ni ; AU ; 17 ; Vebr ; 139 
 3835 ; 50 тенге. Казахстан. Улар Алтайский ; 2006 ;  ; Cu-Ni ; AU ; 13 ; gigajohn ; 137 
 3836 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; VF-XF ; 21 ; vicktor_2014 ; 132 
 3837 ; 1/2 пенни. Великобритания, Георг V ; 1933 ;  ; Br ; VF+ ; 9 ; DVZ ; 62 
 3838 ; 10 сантимов. Бельгия ; 1920 ;  ; Cu-Ni ; VF ; 19 ; alex995 ; 20 
 3839 ; 1/2 франка. Швейцария ; 1943 ;  ; Ag ; VF-XF ; 14 ; vituzik ; 179 
 3840 ; 2 злотых. Польша ; 1958 ;  ; Al ; F-VF ; 13 ; СЁМА ; 24 
 3841 ; 10 центов. Канада ; 1960 ;  ; Ag ; XF- ; 15 ; t_v_v ; 101 
 3842 ; 5 чентезими. Италия ; 1861 ;  ; Br ; VF- ; 14 ; ppp ; 82 
 3843 ; 1 лира. Турция ; 1970 ;  ; St ; XF- ; 8 ; sparrow ; 16 
 3844 ; 5 пенни. Ирландия ; 1970 ;  ; Cu/Ni ; VF+ ; 10 ; Mukoved ; 46 
 3845 ; 2 новых пенса. Великобритания ; 1971 ;  ; Br ; VF+ ; 13 ; комот ; 14 
 3846 ; 10 лепт. Греция ; 1959 ;  ; Al ; VF ; 10 ; Legio ; 19 
 3847 ; 25 эре. Дания ; 1924 ;  ; Cu/Ni ; VF ; 18 ; DVZ ; 73 
 3848 ; 2 1/2 цента. Нидерланды ; 1880 ;  ; Cu ; F-VF ; 13 ; SadKo ; 111 
 3849 ; 5 ранд. Южная Африка ; 1995 ;  ; Cu-Ni ; VF ; 4 ; ИЮМов1 ; 107 
 3850 ; 1/2 пенни. Великобритания ; 1960 ;  ; Br ; XF+ ; 18 ; Ravin ; 23 
 3851 ; 25 песет. Испания ; 1957 ;  ; Cu/Ni ; VF+ ; 16 ; FEDOTOV1920 ; 57 
 3852 ; 5 песет. Испания ; 1949 ;  ; Cu/Ni ; XF ; 6 ; ИЮМов1 ; 77 
 3853 ; 1/2 пенни. Великобритания ; 1928 ;  ; Cu ; F-VF ; 15 ; kolbur ; 16 
