 3207 ; Бона иностранная ;  ;  ;  ;  ; 34 ; бездельник22 ; 204 
 3005 ; 30 шагив ; 1918 ; Украина.Тип почтовых марок  ;  ;  ; 27 ; Ilyas ; 125 
 3006 ; 50 шагив (фальшивая) ; 1918 ;  ;  ;  ; 48 ; tiout ; 101 
 2557 ; 100 лева. Болгария. Борис III ; 1934 ;  ; Ag ; VF-XF ; 7 ; велко ; 300 
 2558 ; 100 марок. Финляндия. Союз инвалидов войны ; 1990 ;  ; Ag ; AU ; 37 ; Gari 77 ; 999 
 2559 ; 100 марок. Финляндия. Хельсинский у-тет ; 1990 ;  ; Ag ; AU ; 31 ; Gari 77 ; 1183 
 2560 ; 100 марок. Финляндия. Чемпионат Европы по легкой атлетике ; 1994 ;  ; Ag ; AU ; 25 ; seaman ; 1438 
 2561 ; 5 марок. Веймар. 1000 лет Рейнланду ; 1925 ; А ; Ag ; AU ; 12 ; ЕВС ; 4064 
 2562 ; 3 марки. Веймар. 10 лет Веймарской конституции ; 1929 ; А ; Ag ; AU ; 13 ; ЕВС ; 1736 
 2563 ; 3 марки. Веймар. 1000 лет рейнланду ; 1925 ; А ; Ag ; XF/XF+ ; 16 ; ЕВС ; 1636 
 2564 ; 3 марки. Веймар. 1000 лет Мейсену ; 1929 ; Е ; Ag ; XF+ ; 13 ; ЕВС ; 2039 
 2565 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975 ; J ; Ag ; AU ; 27 ; wins ; 257 
 2566 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 36 ; Sky2 ; 1574 
 2567 ; 2 кроны. Швеция. Оскар II ; 1893 ;  ; Ag ; F-VF ; 20 ; Poiuyt ; 317 
 2568 ; 1/2 доллара. США. Кеннеди ; 1964 ; D ; Ag ; AU ; 8 ; Zohan ; 176 
 2569 ; 10 пфеннигов. ФРГ ; 1949 ; F ; Br/St ; VF ; 23 ; semen81 ; 35 
 2570 ; 50 пфеннигов. ФРГ ; 1981 ; D ; Cu/Ni ; VF-XF ; 24 ; Coins911 ; 25 
 2571 ; 1 дайм. США. Рузвельт ; 1987 ; P ; Cu/Ni ; XF+ ; 32 ; кашира ; 33 
 2572 ; 1 пфенниг. ФРГ ; 1978 ; G ; Cu/St ; XF ; 16 ; Coins911 ; 16 
 2573 ; 2 евро. ФРГ. Шлезвиг-Гольштейн ; 2006 ;  ; Би/м ; AU ; 42 ; Глол ; 352 
 2574 ; 2 евро. ФРГ. Мекленбург ; 2007 ;  ; Би/м ; AU ; 37 ; Глол ; 395 
 2575 ; 2 евро. ФРГ. 50 лет образования Евросоюза ; 2007 ;  ; Би/м ; AU ; 47 ; Глол ; 407 
 2576 ; 2 евро. ФРГ. Гамбург ; 2008 ;  ; Би/м ; AU ; 35 ; Глол ; 348 
 2577 ; 5 пфеннигов. Германия ; 1941 ; А ; Zn ; XF+ ; 46 ; Coins911 ; 188 
 2578 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu/Ni ; AU ; 22 ; nucl ; 208 
 2579 ; 1 марка. Германия ; 1915 ; А ; Ag ; XF+ ; 38 ; 223355 ; 170 
 2580 ; 3 пенса. Великобритания. Георг VI ; 1939 ;  ; Ag ; AU ; 59 ; zerkalozemli ; 1934 
 2581 ; 2 пенса. Великобритания. Королева Виктория ; 1887 ;  ; Ag ; AU ; 26 ; zerkalozemli ; 1249 
 2582 ; 2 пенса. Великобритания. Георг VI ; 1939 ;  ; Ag ; AU ; 23 ; zerkalozemli ; 1683 
 2583 ; 5 пенсов. Ирландия. Георг III ; 1805 ;  ; Ag ; XF ; 38 ; hjk1974 ; 1487 
 2584 ; 2-1/2 гульдена. Нидерланды. Королева Джулиана ; 1961 ;  ; Ag ; VF+ ; 17 ; В1951 ; 308 
 2585 ; 1 дайм. США. Меркури ; 1942 ;  ; Ag ; VF ; 3 ; ЮМК ; 116 
 2586 ; 1 дайм. США. Меркури ; 1943 ; D ; Ag ; VF- ; 23 ; Mike! ; 131 
 2587 ; 1 доллар. Австралия. Год обезьяны ; 2004 ;  ; Ag ; Proof ; 10 ; Lеnin ; 705 
 2588 ; 1 доллар. Австралия. Год козы ; 2003 ;  ; Ag ; Proof ; 2 ; Lеnin ; 703 
 2589 ; 1 доллар. Канада. Коробка ; 1973 ;  ; Ag ; AU ; 6 ; Mike! ; 450 
 2590 ; 1 рубль. Беларусь. Горнолыжный центр ;  ;  ;  ; proof ; 20 ; serg2000 ; 120 
 2591 ; 5 пенни. Финляндия ; 1918 ;  ; Cu ; VF+ ; 43 ; elac ; 51 
 2592 ; 5 пенни. Финляндия ; 1919 ;  ; Cu ; VF+ ; 26 ; solder13 ; 25 
 2593 ; 5 пенни. Финляндия ; 1920 ;  ; Cu ; VF- ; 19 ; kladoiskatel ; 18 
 2594 ; 5 пенни. Финляндия ; 1921 ;  ; Cu ; VF+ ; 28 ; tss ; 32 
 2595 ; 5 пенни. Финляндия ; 1922 ;  ; Cu ; VF-XF ; 24 ; Coins911 ; 31 
 2596 ; 5 пенни. Финляндия ; 1927 ;  ; Cu ; VF+ ; 17 ; Poiuyt ; 16 
 2597 ; 5 пенни. Финляндия ; 1928 ;  ; Cu ; VF+ ; 12 ; mag ; 15 
 2598 ; 5 пенни. Финляндия ; 1932 ;  ; Cu ; VF+ ; 24 ; solder13 ; 24 
 2599 ; 5 пенни. Финляндия ; 1934 ;  ; Cu ; VF- ; 10 ; tss ; 15 
 2600 ; 5 пенни. Финляндия ; 1935 ;  ; Cu ; XF- ; 13 ; mag ; 13 
 2601 ; 5 пенни. Финляндия ; 1936 ;  ; Cu ; VF+ ; 10 ; mag ; 36 
 2602 ; 5 пенни. Финляндия ; 1937 ;  ; Cu ; XF ; 10 ; mag ; 26 
 2603 ; 5 пенни. Финляндия ; 1938 ;  ; Cu ; XF ; 5 ; rse ; 23 
 2604 ; 5 пенни. Финляндия ; 1939 ;  ; Cu ; VF+ ; 6 ; tss ; 16 
 2605 ; 5 пенни. Финляндия ; 1940 ;  ; Cu ; VF+ ; 8 ; tss ; 21 
 2606 ; 5 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 16 ; Coins911 ; 26 
 2507 ; 1 франк. Швейцария ; 1945 ; В ; Ag ; VF+ ; 10 ; ЮМК ; 204 
 2508 ; 1/2 франка. Швейцария ; 1959 ; В ; Ag ; XF ; 3 ; Mike! ; 88 
 2509 ; 20 крон. Чехословакия. Промышленность, земледелие, бизнес ; 1934 ;  ; Ag ; VF-XF ; 2 ; Lеnin ; 300 
 2510 ; 20 крон. Чехословакия. Промышленность, земледелие, бизнес ; 1933 ;  ; Ag ; XF ; 14 ; В1951 ; 326 
 2511 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; XF ; 3 ; Mike! ; 244 
 2512 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; VF+ ; 15 ; оскол ; 271 
 2513 ; 5 крон. Чехословакия ; 1929 ;  ; Ag ; VF ; 33 ; Mike! ; 238 
 2514 ; 10 евро. Великобритания. Европа ; 1997 ;  ; Ag ; AU ; 50 ; Глол ; 1584 
 2515 ; 10 гульденов. Нидерланды. 25 лет правления ; 1973 ;  ; Ag ; AU ; 5 ; jef688 ; 320 
 2516 ; 2-1/2 гульдена. Нидерланды. Королева Джулиана ; 1959 ;  ; Ag ; VF+ ; 12 ; Mike! ; 277 
 2517 ; 1 гульден. Нидерланды. Королева Джулиана ; 1957 ;  ; Ag ; VF-XF ; 1 ; Mike! ; 112 
 2518 ; 25 центов. Нидерланды. Королева Вильгельмина I ; 1941 ;  ; Ag ; VF ; 29 ; ЮМК ; 110 
 2519 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1941 ;  ; Ag ; VF+ ; 23 ; kladoiskatel ; 57 
 2520 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1930 ;  ; Ag ; VF- ; 16 ; kladoiskatel ; 56 
 2521 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1928 ;  ; Ag ; VF ; 20 ; kladoiskatel ; 53 
 2522 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1936 ;  ; Ag ; VF ; 22 ; Mike! ; 88 
 2523 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1939 ;  ; Ag ; XF ; 15 ; В1951 ; 61 
 2524 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1918 ;  ; Ag ; F ; 4 ; kladoiskatel ; 45 
 2525 ; 10 центов. Нидерланды. Королева Вильгельмина I ; 1918 ;  ; Ag ; F-VF ; 28 ; kladoiskatel ; 59 
 2526 ; 1 доллар. США. Морган ; 1900 ;  ; Ag ; VF-XF ; 17 ; Hant  ; 1271 
 2527 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; AU ; 12 ; dusik311 ; 196 
 2528 ; 1/2 доллара. США. Кеннеди ; 1966 ;  ; Ag ; AU ; 12 ; dusik311 ; 196 
 2529 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; XF+ ; 6 ; buzykin ; 192 
 2530 ; 5 центов. США. Джефферсон ; 1941 ;  ; Cu/Ni ; VF- ; 8 ; 1983 ; 26 
 2531 ; 5 центов. США. Джефферсон ; 1939 ;  ; Cu/Ni ; VF- ; 44 ; tss ; 74 
 2532 ; 5 центов. США. Джефферсон ; 1941 ;  ; Cu/Ni ; VF ; 3 ; ЮМК ; 22 
 2533 ; 1 дайм. США. Меркури ; 1929 ; S ; Ag ; VF ; 48 ; кашира ; 165 
 2534 ; 1 дайм. США. Меркури ; 1936 ;  ; Ag ; VF ; 48 ; кашира ; 168 
 2535 ; 1 песо (тройская унция серебра). Мексика ; 1979 ;  ; Ag ; XF ; 21 ; erfahren ; 906 
 2536 ; 1 песо. Мексика ; 1962 ;  ; Ag ; VF+ ; 3 ; tikhonov78 ; 126 
 2537 ; 1 песо. Мексика ; 1963 ;  ; Ag ; VF ; 3 ; semen81 ; 126 
 2538 ; 20 франков. Франция ; 1933 ;  ; Ag ; VF+ ; 2 ; Mike! ; 300 
 2539 ; 2 франка. Франция. Наполеон III ; 1866 ;  ; Ag ; VF- ; 16 ; palex7 ; 309 
 2540 ; 100 песет. Испания. Франциско Франко Каудильо ; 1966 ;  ; Ag ; XF ; 4 ; Mike! ; 347 
 2541 ; 5 эскудо. Португалия ; 1943 ;  ; Ag ; VF- ; 8 ; Mike! ; 225 
 2542 ; 1/4 рупии. Ост Индийская Компания. Королева Виктория ; 1840 ;  ; Ag ; AU ; 51 ; mifod ; 621 
 2543 ; 2 анны. Ост Индийская Компания. Королева Виктория ; 1841 ;  ; Ag ; AU ; 50 ; tv ; 620 
 2544 ; 6 пенсов. Австралия. Георг VI ; 1951 ;  ; Ag ; VF+ ; 4 ; semen81 ; 153 
 2545 ; 10 центов. Канада. 100 лет конфедерации ; 1967 ;  ; Ag ; AU ; 4 ; Mike! ; 153 
 2546 ; 5 драхм. Греция ; 1930 ;  ; Ni ; VF ; 16 ; smel ; 130 
 2547 ; 1 марка. Эстония ; 1926 ;  ; Ni/Br ; AU ; 65 ; av ; 1001 
 2548 ; 1/2 доллара. США ; 1899 ;  ; Ag ; F-VF ; 54 ; cochu ; 707 
 2549 ; 20 лева. НРБ. 110 лет освобождения Болгарии от Османского ига ; 1988 ;  ; Ag ; Proof ; 7 ; S8D36 ; 373 
 2550 ; 2 лева. Болгария. Фердинанд I ; 1891 ;  ; Ag ; VF+ ; 7 ; Copirchik ; 333 
 2551 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu/Ni ; AU ; 7 ; Банзай ; 203 
 2552 ; 1 лев. Болгария. Первенство по футболу ; 1980 ;  ; Cu/Ni ; AU ; 9 ; rizovtpl ; 114 
 2553 ; 20 стотинок. НРБ ; 1954 ;  ; Cu/Ni ; AU ; 4 ; Gop ; 153 
 2554 ; 20 пара. Турция. Правитель Абдул Азиз. 4-й год правления ; 1277 лх ;  ; Cu ; VF ; 12 ; von_Schwarz ; 188 
 2555 ; 10 пара. Турция. Правитель Абдул Азиз. 4-й год правления ; 1277 лх ;  ; Cu ; VF+ ; 5 ; slav_1962 ; 161 
 2556 ; 100 марок. Финляндия. Сибелиус ; 1999 ;  ; Ag ; AU ; 24 ; СВл ; 3062 
 2457 ; 100 шиллингов. Австрия. 700 лет Гмундену ; 1978 ;  ; Ag ; AU ; 9 ; Abbat ; 500 
 2458 ; 50 шиллингов. Австрия. 100 лет со дня рождения Карла Реннера ; 1970 ;  ; Ag ; AU ; 3 ; erfahren ; 306 
 2459 ; 50 шиллингов. Австрия. 100 лет со дня рождения Теодора Корнера ; 1973 ;  ; Ag ; AU ; 3 ; Peugene ; 306 
 2460 ; 50 шиллингов. Австрия. 600 лет Венскому у-ту ; 1965 ;  ; Ag ; AU ; 20 ; Mike! ; 439 
 2461 ; 50 шиллингов. Австрия. Зимние Олимпийские игры в Инсбруке ; 1964 ;  ; Ag ; AU ; 4 ; Mike! ; 333 
 2462 ; 50 шиллингов. Австрия. 300 лет Инсбрукскому у-ту ; 1970 ;  ; Ag ; XF+ ; 17 ; smel ; 430 
 2463 ; 50 шиллингов. Австрия. Венский интернациональный показ цветов ; 1974 ;  ; Ag ; AU ; 5 ; erfahren ; 320 
 2464 ; 50 шиллингов. Австрия. 50 лет Австрийскому радио ; 1974 ;  ; Ag ; AU ; 3 ; jef688 ; 306 
 2465 ; 50 шиллингов. Австрия. 80 лет со дня рождения Джулиуса Рааба ; 1971 ;  ; Ag ; AU ; 3 ; jef688 ; 306 
 2466 ; 50 шиллингов. Австрия. 1200 лет Зальцбургскому кафедральному собору ; 1974 ;  ; Ag ; AU ; 27 ; mifod ; 501 
 2467 ; 25 шиллингов. Австрия. Национальный театр в Вене ; 1955 ;  ; Ag ; AU ; 2 ; Mike! ; 300 
 2468 ; 25 шиллингов. Австрия. 100 лет со дня рождения Ференца Легара ; 1948 ;  ; Ag ; AU ; 2 ; Mike! ; 223 
 2469 ; 25 шиллингов. Австрия. 100 лет со дня рождения Вельсбаха ; 1958 ;  ; Ag ; XF+ ; 1 ; Mike! ; 225 
 2470 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; VF+ ; 3 ; Mike! ; 118 
 2471 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; VF-XF ; 2 ; semen81 ; 115 
 2472 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; XF- ; 1 ; Mike! ; 112 
 2473 ; 2 шиллинга. Австрия. 175 лет со дня рождения Моцарта ; 1931 ;  ; Ag ; AU ; 18 ; Mike! ; 783 
 2474 ; 2 шиллинга. Австрия. 100 лет со дня рождения Теодора Бильрота ; 1929 ;  ; Ag ; AU ; 26 ; 0sain ; 543 
 2475 ; 2 шиллинга. Австрия. 200 лет со дня смерти принца Евгения Савойского ; 1936 ;  ; Ag ; XF+/AU ; 26 ; Peugene ; 480 
 2476 ; 2 шиллинга. Австрия. 200 лет со дня смерти Франца Шуберта ; 1928 ;  ; Ag ; VF+ ; 37 ; AZEF ; 460 
 2477 ; 10 шиллингов. Австрия ; 1968 ;  ; Ag ; AU ; 1 ; Mike! ; 112 
 2478 ; 10 шиллингов. Австрия ; 1970 ;  ; Ag ; AU ; 1 ; Mike! ; 112 
 2479 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; XF+ ; 2 ; Mike! ; 113 
 2480 ; 10 шиллингов. Австрия ; 1959 ;  ; Ag ; XF ; 2 ; palex7 ; 115 
 2481 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; XF ; 45 ; moneta ; 248 
 2482 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; XF ; 6 ; rbcrf ; 80 
 2483 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; VF-XF ; 1 ; Mike! ; 72 
 2484 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; XF ; 5 ; Mike! ; 78 
 2485 ; 5 шиллингов. Австрия ; 1966 ;  ; Ag ; XF ; 4 ; Mike! ; 80 
 2486 ; 5 шиллингов. Австрия ; 1962 ;  ; Ag ; VF-XF ; 3 ; Mike! ; 86 
 2487 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; VF-XF ; 3 ; Mike! ; 86 
 2488 ; 5 шиллингов. Австрия ; 1960 ;  ; Ag ; XF+ ; 31 ; moneta ; 250 
 2489 ; 5 крейцеров. Австрия ; 1835 ; A ; Ag ; F-VF ; 32 ; Mike! ; 213 
 2490 ; Талер. Мария Терезия. Австрия. Новодел ; 1780 ;  ; Ag ; AU ; 3 ; Mike! ; 500 
 2491 ; 2 кроны. Эстония. Крепость Томпеа в Таллине ; 1930 ;  ; Ag ; VF- ; 8 ; EA51 ; 235 
 2492 ; 5 лит. Литва ; 1925 ;  ; Ag ; VF+ ; 41 ; tss ; 850 
 2493 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF-XF ; 31 ; tss ; 837 
 2494 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 4 ; Mike! ; 119 
 2495 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 4 ; tss ; 121 
 2496 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF- ; 13 ; tss ; 143 
 2497 ; 200 злотых. Польша. 30 лет Польской Народной Республике ; 1974 ;  ; Ag ; AU ; 4 ; Mike! ; 213 
 2498 ; 5 франков. Швейцария ; 1932 ; В ; Ag ; VF+ ; 62 ; lsp25 ; 657 
 2499 ; 5 франков. Швейцария ; 1953 ; В ; Ag ; VF+ ; 43 ; lsp25 ; 399 
 2500 ; 5 франков. Швейцария. 100 лет Готхардской железной дороге ; 1982 ;  ; Cu/Ni ; AU ; 38 ; Mike! ; 506 
 2501 ; 5 франков. Швейцария. 100 лет Готхардской железной дороге ; 1982 ;  ; Cu/Ni ; AU ; 45 ; В1951 ; 518 
 2502 ; 5 франков. Швейцария. 500 лет битвы при Земпах ; 1986 ; В ; Cu/Ni ; AU ; 37 ; Copirchik ; 509 
 2503 ; 5 франков. Швейцария. Европейский год музыки ; 1985 ;  ; Cu/Ni ; AU ; 18 ; Copirchik ; 517 
 2504 ; 5 франков. Швейцария. 100 лет со дня рождения Эрнеста Ансерме ; 1983 ;  ; Cu/Ni ; AU ; 12 ; Copirchik ; 517 
 2505 ; 5 франков. Швейцария. 100 лет со дня рождения Августа Пикарда ; 1984 ;  ; Cu/Ni ; AU ; 45 ; Copirchik ; 509 
 2506 ; 1 франк. Швейцария ; 1920 ; В ; Ag ; VF- ; 6 ; semen81 ; 125 
 2407 ; 10 пфеннигов. Германия ; 1938 ; E ; Al/Br ; VF+ ; 3 ; VR62 ; 106 
 2408 ; 5 пфеннигов. Германия ; 1937 ; A ; Al/Br ; VF+ ; 22 ; 542 ; 120 
 2409 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF-XF ; 2 ; o.k. ; 84 
 2410 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF-XF ; 4 ; igor_r65 ; 88 
 2411 ; 5 пфеннигов. Германия ; 1937 ; A ; Al/Br ; VF+ ; 2 ; o.k. ; 84 
 2412 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; XF ; 15 ; 1972 ; 108 
 2413 ; 5 пфеннигов. Германия ; 1938 ; A ; Al/Br ; VF-XF ; 2 ; o.k. ; 84 
 2414 ; 5 пфеннигов. Германия ; 1937 ; A ; Al/Br ; VF+ ; 3 ; o.k. ; 76 
 2415 ; 5 пфеннигов. Германия ; 1938 ; A ; Al/Br ; VF ; 1 ; Mike! ; 72 
 2416 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF+ ; 1 ; Mike! ; 72 
 2417 ; 5 пфеннигов. Германия ; 1938 ; A ; Al/Br ; VF+ ; 4 ; o.k. ; 78 
 2418 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF+ ; 2 ; o.k. ; 74 
 2419 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; XF- ; 3 ; tss ; 86 
 2420 ; 5 пфеннигов. Германия ; 1937 ; A ; Al/Br ; F-VF ; 1 ; Mike! ; 62 
 2421 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF-XF ; 14 ; 1972 ; 108 
 2422 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; F-VF ; 1 ; Mike! ; 62 
 2423 ; 2 пфеннига. Германия ; 1908 ; A ; Cu ; VF-XF ; 46 ; igor_r65 ; 159 
 2424 ; 2 пфеннига. Веймар ; 1924 ; G ; Br ; XF ; 45 ; ICEK ; 236 
 2425 ; 1 пфенниг. Германия ; 1939 ; F ; Br ; XF ; 4 ; ВМШ ; 57 
 2426 ; 1 пфенниг. Германия ; 1937 ; A ; Br ; VF-XF ; 3 ; o.k. ; 56 
 2427 ; 1 пфенниг. Германия ; 1940 ; A ; Br ; VF+ ; 3 ; o.k. ; 55 
 2428 ; 1 пфенниг. Германия ; 1938 ; A ; Br ; VF-XF ; 1 ; Mike! ; 52 
 2429 ; 1 пфенниг. Германия ; 1937 ; D ; Br ; VF+ ; 2 ; asgard ; 54 
 2430 ; 1 пфенниг. Германия ; 1939 ; A ; Br ; XF- ; 8 ; sergant83 ; 63 
 2431 ; 1 пфенниг. Германия ; 1939 ; A ; Br ; XF+ ; 9 ; Mike! ; 68 
 2432 ; 1 пфенниг. Германия ; 1937 ; A ; Br ; VF-XF ; 2 ; Arkhangel ; 54 
 2433 ; 1 пфенниг. Германия ; 1938 ; D ; Br ; VF+ ; 2 ; sergant83 ; 54 
 2434 ; 1 пфенниг. Германия ; 1938 ; A ; Br ; XF- ; 12 ; 1972 ; 74 
 2435 ; 10 пфеннигов. Германия ; 1937 ; A ; Al/Br ; VF- ; 1 ; Mike! ; 102 
 2436 ; 5 пфеннигов. Германия ; 1939 ; D ; Al/Br ; VF- ; 2 ; ВМШ ; 74 
 2437 ; 1 пфенниг. Германия ; 1937 ; А ; Br ; VF+ ; 15 ; tuz ; 80 
 2438 ; 5 пфеннигов. Германия ; 1938 ; А ; Al/Br ; VF-XF ; 1 ; Mike! ; 72 
 2439 ; 10 пфеннигов. Германия ; 1938 ; G ; Al/Br ; VF ; 1 ; Mike! ; 102 
 2440 ; 5 пфеннигов. Германия ; 1938 ; F ; Al/Br ; VF+ ; 2 ; o.k. ; 74 
 2441 ; 5 пфеннигов. Германия ; 1938 ; J ; Al/Br ; VF ; 1 ; Mike! ; 72 
 2442 ; 3 пфеннинга. Пруссия ; 1856 ; А ; Cu ; F-VF ; 34 ; Mike! ; 204 
 2443 ; 10 пфеннигов. Германия ; 1938 ; А ; Al/Br ; VF ; 4 ; 1972 ; 111 
 2444 ; 10 пфеннигов. Германия ; 1938 ; Е ; Al/Br ; VF ; 1 ; Mike! ; 102 
 2445 ; 5 пфеннигов. Германия ; 1938 ; D ; Al/Br ; VF+ ; 2 ; o.k. ; 74 
 2446 ; 1 пфенниг. Германия ; 1937 ; D ; Br ; VF- ; 1 ; Mike! ; 52 
 2447 ; 1 пфеннинг. Пруссия ; 1862 ; А ; Cu ; F ; 33 ; semen81 ; 123 
 2448 ; 10 пфеннигов. Германия ; 1937 ; А ; Al/Br ; VF- ; 2 ; Mike! ; 103 
 2449 ; 1 пфенниг. Германия ; 1939 ; G ; Br ; VF- ; 1 ; Mike! ; 52 
 2450 ; 1/100 марки. Гамбург ; 1923 ;  ; Al ; VF ; 66 ; Mike! ; 284 
 2451 ; 50 пфеннигов. Веймар ; 1929 ; A ; NI ; VF ; 40 ; ICEK ; 493 
 2452 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1937 ; A ; Ag ; VF+ ; 39 ; Mike! ; 462 
 2453 ; 1 пфеннинг. Пруссия ; 1867 ; A ; Cu ; F ; 2 ; semen81 ; 54 
 2454 ; 1 крейцер. Австрия ; 1800 ;  ;  ; F+ ; 17 ; VR62 ; 152 
 2455 ; 1 пфеннинг. Пруссия ; 1863 ; A ; Cu ; F ; 2 ; semen81 ; 80 
 2456 ; Талер. Австрия. Новодел ; 1780 ;  ; Ag ; AU ; 7 ; Poiuyt ; 477 
 2357 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975 ; A ; Cu/Ni ; AU ; 34 ; смжд ; 448 
 2358 ; 10 марок. ГДР. Совместный космический полет СССР-ГДР ; 1978 ; A ; Cu/Ni ; AU ; 20 ; кашира ; 503 
 2359 ; 10 марок. ГДР. 10 лет молодежным фестивальным играм ; 1973 ; A ; Cu/Ni ; AU ; 15 ; Chirchic ; 150 
 2360 ; 10 марок. ГДР. Бухенвальдский мемориал ; 1972 ; A ; Cu/Ni ; AU ; 16 ; Chirchic ; 155 
 2361 ; 5 марок. ГДР. Берлинский таймер ; 1987 ; A ; Cu/Ni/Zn ; AU ; 14 ; Abbat ; 291 
 2362 ; 5 марок. ГДР. Бранденбургские ворота ; 1987 ; A ; Cu/Ni ; AU ; 34 ; Copirchik ; 719 
 2363 ; 5 марок. ГДР. Бранденбургские ворота ; 1971 ; A ; Cu/Ni ; AU ; 20 ; semen81 ; 105 
 2364 ; 5 марок. ГДР. Берлин ; 1987 ; A ; Cu/Ni/Zn ; AU ; 47 ; Copirchik ; 735 
 2365 ; 5 марок. ГДР. Иоганн Кеплер ; 1971 ;  ; Cu/Ni ; AU ; 29 ; Copirchik ; 1145 
 2366 ; 5 марок. ГДР. Дворец Санссуси в Потсдаме ; 1986 ; A ; Cu/Ni/Zn ; AU ; 13 ; smel ; 285 
 2367 ; 5 марок. ГДР. Музей военного оружия ; 1990 ; A ; Cu/Ni ; AU ; 37 ; 542 ; 529 
 2368 ; 5 марок. ГДР. 500 лет почтовой службе ; 1990 ; A ; Cu/Ni/Zn ; AU ; 29 ; 542 ; 518 
 2369 ; 5 марок. ГДР. Новый дворец в Потсдаме ; 1986 ; A ; Cu/Ni ; AU ; 25 ; Copirchik ; 728 
 2370 ; 5 марок. ГДР. Дом где родился Мартин Лютер ; 1983 ; A ; Cu/Ni ; AU ; 23 ; Copirchik ; 838 
 2371 ; 5 марок. ГДР. 100 лет со дня смерти Филиппа Рейса ; 1974 ;  ; Cu/Ni ; AU ; 54 ; Gop ; 1833 
 2372 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni/Br ; AU ; 46 ; Chirchic ; 104 
 2373 ; 5 марок. ГДР. 75 лет со дня смерти Иоганнеса Брамса ; 1972 ;  ; Cu/Ni ; AU ; 38 ; Gop ; 1870 
 2374 ; 5 марок. ГДР. Коттедж Гете в Веймаре ; 1982 ; A ; Cu/Ni/Zn ; AU ; 24 ; Abbat ; 856 
 2375 ; 5 марок. ГДР. Церковь Святого Томаса в Лейпциге ; 1984 ; A ; Cu/Ni ; AU ; 3 ; Abbat ; 442 
 2376 ; 5 марок. ГДР. 200 лет со дня рождения Фридриха Фробеля ; 1982 ;  ; Cu/Ni ; AU ; 30 ; Gop ; 1989 
 2377 ; 5 марок. ГДР. Красная ратуша в Берлине ; 1987 ; A ; Cu/Ni/Zn ; AU ; 13 ; smel ; 285 
 2378 ; 5 марок. ГДР. Город Мейссен ; 1972 ; A ; Cu/Ni ; AU ; 8 ; Mike! ; 131 
 2379 ; 5 марок. ГДР. Церковь Святой Катарины ; 1989 ; A ; Cu/Ni/Zn ; AU ; 34 ; Copirchik ; 751 
 2380 ; 10 марок. ФРГ. 250 лет со дня смерти Баха ; 2000 ; J ; Ag ; Proof ; 22 ; mifod ; 875 
 2381 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972 ; G ; Ag ; Proof ; 4 ; Mike! ; 510 
 2382 ; 10 марок. ФРГ. 50 лет федеральному суду ; 2001 ; A ; Ag ; Proof ; 15 ; Copirchik ; 854 
