 3241 ; Бона иностранная ;  ;  ;  ;  ; 38 ; кузин ; 171 
 2569 ; 10 эре. Швеция ; 1949 ;  ; Ag ; XF+ ; 19 ; evgen72 ; 37 
 2570 ; 10 эре. Швеция ; 1950 ;  ; Ag ; AU ; 29 ; evgen72 ; 42 
 2571 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF+ ; 22 ; evgen72 ; 42 
 2572 ; 10 эре. Швеция ; 1955 ;  ; Ag ; AU ; 13 ; hjk1974 ; 48 
 2573 ; 10 эре. Швеция ; 1956 ;  ; Ag ; AU ; 13 ; sandy ; 43 
 2574 ; 10 эре. Швеция ; 1957 ;  ; Ag ; AU ; 28 ; evgen72 ; 42 
 2575 ; 10 эре. Швеция ; 1958 ;  ; Ag ; XF+ ; 14 ; evgen72 ; 46 
 2576 ; 10 эре. Швеция ; 1959 ;  ; Ag ; AU ; 13 ; hjk1974 ; 43 
 2577 ; 10 эре. Швеция ; 1960 ;  ; Ag ; AU ; 7 ; hugo ; 104 
 2578 ; 10 эре. Швеция ; 1961 ;  ; Ag ; AU ; 11 ; rizovtpl ; 32 
 2579 ; 2 эре. Швеция ; 1882 ;  ; Br ; F+ ; 5 ; МИС ; 104 
 2580 ; Набор монет канады: 1 доллар, 50,25,10,5,1 центов (6шт) ; 1959 ;  ; Ag,Cu/Ni,B ; AU ; 31 ; СВл ; 1009 
 2581 ; Набор монет Дании (5шт): 5крон, 1крона, 25эре, 10эре, 5эре. Упаковка ; 1975 ;  ; Cu в Fe, C ; Unc ; 73 ; Zohan ; 522 
 2582 ; Набор монет Дании (5шт): 5крон, 1крона, 25эре, 10эре, 5эре. Упаковка ; 1976 ;  ; Cu в Fe, C ; Unc ; 22 ; gary_sl ; 225 
 2583 ; Набор монет Дании (5шт): 5крон, 1крона, 25эре, 10эре, 5эре. Упаковка ; 1978 ;  ; Cu в Fe, C ; Unc ; 18 ; gary_sl ; 215 
 2584 ; Набор монет Ватикана (8шт): 500лир, 100лир, 50лир, 20лир, 10лир, 5лир, 2лиры, 1лира ; 1972 ;  ; Ag,St,Al/B ; AU ; 34 ; tau ; 725 
 2585 ; Набор монет Ватикана: 200 лир, 1000 лир (2шт) ; 20 век ;  ; Al/Br, Би/ ; AU ; 21 ; RUblik ; 415 
 2586 ; Набор монет Израиля (6шт): 1лира, 1/2лиры, 25агора, 10агора, 5агора, 1агора. Упаковка ; 1948-1968 ;  ; Al/Br,Al,C ; AU ; 27 ; gary_sl ; 263 
 2587 ; Набор монет Израиля (6шт): 1лира, 1/2лиры, 25агора, 10агора, 5агора, 1агора. Упаковка ; 1967 ;  ; Al/Br,Al,C ; AU ; 9 ; lelik ; 203 
 2588 ; Набор монет Израиля (6шт): 1лира, 1/2лиры, 25агора, 10агора, 5агора, 1агора. Упаковка ; 1969 ;  ; Al/Br,Al,C ; AU ; 32 ; gary_sl ; 263 
 2589 ; Набор монет Новой Зеландии (6шт): 50центов, 20центов, 10центов, 5центов, 2цента, 1цент. Упаковка ; 1968 ;  ; Cu/Ni, Br ; AU ; 29 ; ALCOM ; 245 
 2590 ; Набор монет Новой Зеландии (7шт): 1доллар, 50центов, 20центов, 10центов, 5центов, 2цента, 1цент ; 1969 ;  ; Cu/Ni, Br ; AU ; 22 ; vc57 ; 329 
 2591 ; Набор монет Дании (7шт): 5крон, 1крона, 25эре, 10эре, 5эре, 2эре, 1эре ; 1970 ;  ; Zn,Br,Cu/N ; AU ; 21 ; RUblik ; 147 
 2592 ; Набор монет Швейцарии (8шт): 5франков, 2франка, 1франк, 1/2франка, 20раппен, 10раппен, 5раппен, 1раппен ; 1976 ;  ; Br,Cu/Ni, ; AU ; 42 ; RUblik ; 532 
 2593 ; Набор монет Франции (8шт): 10франков, 5франков, 1франк, 1/2франка, 20сантимов, 10сантимов, 5сантимов, 1сантим. Упаковка в оригинальной коробке ; 1973 ;  ; Ag, Ni в C ; Unc ; 41 ; Abbat ; 918 
 2594 ; Набор монет Греции (7шт): 50драхм, 20драхм, 10драхм, 5драхм, 2драхмы, 1драхма, 50лепт. В пластиковой капсуле ; 1982 ;  ; Cu/Ni,Ni/Л ; AU ; 19 ; gary_sl ; 259 
 2495 ; 1 монго. Монголия ; 1937-1938 ;  ; Al/Br ; AU ; 62 ; HSS ; 72 
 2496 ; 5 евроцентов. Мальта ; 2008 ;  ; Cu/St ; AU ; 39 ; rbcrf ; 50 
 2497 ; 5 евроцентов. Мальта ; 2008 ;  ; Cu/St ; AU ; 16 ; vc57 ; 26 
 2498 ; 2 евроцента. Мальта ; 2008 ;  ; Cu/St ; AU ; 19 ; rbcrf ; 50 
 2499 ; 2 евроцента. Мальта ; 2008 ;  ; Cu/St ; AU ; 26 ; vc57 ; 26 
 2500 ; 1 евроцент. Мальта ; 2008 ;  ; Cu/St ; AU ; 9 ; rbcrf ; 50 
 2501 ; 1 евроцент. Мальта ; 2008 ;  ; Cu/St ; AU ; 17 ; suhua ; 25 
 2502 ; 5 евроцентов. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 25 ; suhua ; 60 
 2503 ; 2 евроцента. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 61 ; topotun ; 151 
 2504 ; 1 евроцент. Сан-Марино ; 2006 ;  ; Cu/St ; AU ; 31 ; Saneck ; 73 
 2505 ; 1 злотый. Польша ; 1929 ;  ; Ni ; VF ; 29 ; av ; 113 
 2506 ; 1 злотый. Польша ; 1949 ;  ; Cu/Ni ; VF- ; 12 ; Abbat ; 36 
 2507 ; 50 грошей. Польша ; 1923 ;  ; Ni ; VF+ ; 14 ; bay ; 28 
 2508 ; 50 грошей. Польша ; 1949 ;  ; Cu/Ni ; VF ; 5 ; Abbat ; 5 
 2509 ; 20 грошей. Польша ; 1923 ;  ; Ni ; XF+ ; 12 ; Abbat ; 69 
 2510 ; 10 грошей. Польша. Заделано отверстие 12 часов ; 1812IB ;  ; Ag ; F-VF ; 118 ; oks ; 379 
 2511 ; 2 гроша. Польша ; 1934 ;  ; Br ; VF-XF ; 50 ; avg1974 ; 152 
 2512 ; 1 грош. Польша ; 1923 ;  ; Br ; AU ; 153 ; avg1974 ; 2265 
 2513 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu/Ni ; VF+ ; 31 ; lsp25 ; 240 
 2514 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; XF ; 87 ; pak1313 ; 606 
 2515 ; 5 пфеннигов. Данциг ; 1923 ;  ; Cu/Ni ; F-VF ; 21 ; vc57 ; 182 
 2516 ; 5 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF+ ; 65 ; kishkis ; 500 
 2517 ; 2 пфеннига. Данциг ; 1926 ;  ; Br ; VF-XF ; 44 ; pak1313 ; 371 
 2518 ; 1 пфенниг. Данциг ; 1937 ;  ; Br ; VF-XF ; 28 ; lsp25 ; 348 
 2519 ; 250 динар. Югославия. Зимние олимпийские игры ; 1984 ;  ; Ag ; Proof ; 40 ; СВл ; 2772 
 2520 ; 200 крон. Словакия. 50 лет Словацкой народной галереи ; 1998 ;  ; Ag ; Proof ; 11 ; PAVL-S40 ; 513 
 2521 ; 5 лева. Болгария. 30 лет Социалистической власти ; 1974 ;  ; Ag ; Proof ; 48 ; HSS ; 510 
 2522 ; 1 лев. Болгария ; 1960 ;  ; Cu/Ni ; AU ; 41 ; Paul68 ; 819 
 2523 ; 50 стотинок. Болгария ; 1959 ;  ; Cu/Ni ; VF+ ; 34 ; Paul68 ; 555 
 2524 ; 25 стотинок. Болгария ; 1951 ;  ; Cu/Ni ; VF-XF ; 30 ; Paul68 ; 797 
 2525 ; 20 стотинок. Болгария ; 1954 ;  ; Cu/Ni ; AU ; 21 ; Paul68 ; 824 
 2526 ; 10 стотинок. Болгария ; 1951 ;  ; Cu/Ni ; AU ; 17 ; Paul68 ; 722 
 2527 ; 5 стотинок. Болгария ; 1951 ;  ; Br ; AU ; 21 ; Paul68 ; 722 
 2528 ; 3 стотинки. Болгария ; 1951 ;  ; Br ; AU ; 19 ; Paul68 ; 722 
 2529 ; 1 стотинка. Болгария ; 1951 ;  ; Br ; AU ; 43 ; Paul68 ; 1239 
 2530 ; 50 динар. Югославия ; 1955 ;  ; Al/Br ; VF ; 12 ; Xe72 ; 22 
 2531 ; 100 лей. Румыния ; 1936 ;  ; Ni ; XF ; 55 ; pak1313 ; 308 
 2532 ; 100 лей. Румыния ; 1944 ;  ; Ni в St ; VF- ; 32 ; sandy ; 69 
 2533 ; 20 лей. Румыния. Король Карл II ; 1930 ;  ; Ni/Латунь ; VF+ ; 12 ; Xe72 ; 79 
 2534 ; 10 лей. Румыния. Революция ; 1990 ;  ; Ni/St ; VF-XF ; 47 ; selezsi ; 58 
 2535 ; 1 лей. Румыния ; 1911 ;  ; Ag ; VF ; 45 ; vc57 ; 157 
 2536 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; XF+ ; 32 ; korolek ; 394 
 2537 ; 100 крон. Чехословакия. 700 лет горному делу в Йоглавских горах ; 1949 ;  ; Ag ; AU ; 22 ; korolek ; 394 
 2538 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF- ; 11 ; lesnik1 ; 204 
 2539 ; 5 крон. Чехословакия ; 1969 ;  ; Cu/Ni ; VF- ; 16 ; Xe72 ; 28 
 2540 ; Крона. Чехословакия ; 1962 ;  ; Al/Br ; F-VF ; 8 ; Xe72 ; 22 
 2541 ; 5 марок. Эстония ; 1922 ;  ; Cu/Ni ; VF+ ; 19 ; o.k. ; 306 
 2542 ; 3 марки. Эстония ; 1922 ;  ; Cu/Ni ; VF+ ; 22 ; o.k. ; 306 
 2543 ; 1 марка. Эстония ; 1922 ;  ; Cu/Ni ; F-VF ; 56 ; Михалыч57 ; 311 
 2544 ; 20 сенти. Эстония ; 1935 ;  ; Ni/Br ; VF+ ; 26 ; o.k. ; 55 
 2445 ; 10 эскудо. Ангола ; 1969 ;  ; Cu/Ni ; VF-XF ; 33 ; PAVL-S40 ; 174 
 2446 ; 2 шиллинга. Родезия. Скульптура птицы ; 1964 ;  ; Cu/Ni ; XF- ; 13 ; vc57 ; 79 
 2447 ; 1/2 бальбоа. Панама ; 1968 ;  ; Ag ; XF ; 44 ; Xe72 ; 285 
 2448 ; 1/2 цента. Стрейтс-Сетлемент ; 1884 ;  ; Cu ; F+ ; 46 ; ez ; 357 
 2449 ; 10 центов. Цейлон ; 1893 ;  ; Ag ; F ; 56 ; ez ; 153 
 2450 ; 1 цент. Индонезия ; 1939 ;  ; Br ; VF ; 13 ; tau ; 40 
 2451 ; 9 пиастров. Кипр ; 1919 ;  ; Ag ; VF ; 60 ; Dozen ; 487 
 2452 ; 50 франков. Новая Каледония ; 1983 ;  ; Ni ; VF+ ; 21 ; selezsi ; 104 
 2453 ; 100 франков. Вануату, о-ва Новые Гебриды ; 1966 ;  ; Ag ; AU ; 70 ; Mike! ; 929 
 2454 ; 100 франков. О-в Воссоединения ; 1964 ;  ; Ni ; VF+ ; 79 ; alex1974 ; 381 
 2455 ; 5 фунтов. О-в Мен. 150 лет колледжу вооружений ; 1984АА ;  ; Вирениум ; AU ; 59 ; gary_sl ; 408 
 2456 ; 20 центов. Сьерра-Леоне ; 1964 ;  ; Cu/Ni ; VF+ ; 17 ; tau ; 82 
 2457 ; 50 пара. Сербия ; 1915 ;  ; Ag ; F+ ; 22 ; Mike! ; 100 
 2458 ; 10 пара. Черногория ; 1913 ;  ; Ni ; F+ ; 25 ; HARDCOROV ; 188 
 2459 ; 50 сантимов. Камбоджи ; 1953 ;  ; Al ; F-VF ; 30 ; smel ; 60 
 2460 ; 50 драхм. Греция ; 1980 ;  ; Cu/Ni ; AU ; 48 ; 542 ; 189 
 2461 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF- ; 32 ; Гурий ; 101 
 2462 ; 10 драхм. Греция ; 1959 ;  ; Ni ; XF+ ; 30 ; d-master ; 59 
 2463 ; 5 драхм. Греция ; 1954 ;  ; Cu/Ni ; VF+ ; 18 ; selezsi ; 61 
 2464 ; 5 драхм. Греция ; 1966 ;  ; Cu/Ni ; VF+ ; 10 ; selezsi ; 32 
 2465 ; 5 лепт. Греция ; 1878К ;  ; Cu ; F+ ; 33 ; oks ; 94 
 2466 ; 1 дирхам. Объединенные Арабские Эмираты ; 1973 ;  ; Cu/Ni ; VF+ ; 24 ; alex995 ; 25 
 2467 ; 50 филс. Объединенные Арабские Эмираты ; 1973 ;  ; Cu/Ni ; VF-XF ; 7 ; alex995 ; 26 
 2468 ; 25 филс. Объединенные Арабские Эмираты ; 1973 ;  ; Cu/Ni ; VF+ ; 17 ; Xe72 ; 45 
 2469 ; 1 фунт. Египет. Асуанская дамба ; 1968 ;  ; Ag ; AU ; 36 ; PAVL-S40 ; 385 
 2470 ; Монета в дукаче. Египет ;  ;  ; Ag ; F-VF ; 58 ; SadKo ; 200 
 2471 ; 50 филсов. Южная Аравия ; 1964 ;  ; Cu/Ni ; VF-XF ; 16 ; vlkorchev ; 77 
 2472 ; 25 филсов. Южная Аравия ; 1964 ;  ; Cu/Ni ; VF ; 59 ; Igor11111968 ; 257 
 2473 ; 10 центов. Восточная Африка ; 1936 ;  ; Br ; VF ; 23 ; vc57 ; 65 
 2474 ; 1 пенни. Южная Африка ; 1926 ;  ; Br ; VF ; 41 ; vc57 ; 147 
 2475 ; 1 песа. Немецкая Восточная Африка ; 1892 ;  ; Cu ; F ; 28 ; МИС ; 171 
 2476 ; 5 сентаво. Филиппины ; 1968 ;  ; Латунь ; VF- ; 8 ; selezsi ; 32 
 2477 ; 1 рупия. Индия ; 1976 ;  ; Cu/Ni ; XF+ ; 13 ; selezsi ; 46 
 2478 ; 1/8 стувера. Суматра ; 1826 ;  ; Cu ; F+ ; 37 ; vlkorchev ; 224 
 2479 ; 500 франков. Марокко ; 1956 ;  ; Ag ; AU ; 4 ; PAVL-S40 ; 510 
 2480 ; 20 франков. Тунис ; 1353 лх ;  ; Ag ; VF- ; 59 ; PAVL-S40 ; 1036 
 2481 ; 10 франков. Тунис ; 1353 лх ;  ; Ag ; VF ; 62 ; PAVL-S40 ; 634 
 2482 ; 5 франков. Тунис ; 1355 лх ;  ; Ag ; VF ; 35 ; МИС ; 417 
 2483 ; 5 франков. Тунис ; 1939 ;  ; Ag ; VF+ ; 42 ; ВМШ ; 577 
 2484 ; 1 франк. Тунис ; 1892А ;  ; Ag ; VF- ; 47 ; МИС ; 207 
 2485 ; 1 франк. Тунис ; 1908А ;  ; Ag ; VF ; 61 ; vc57 ; 276 
 2486 ; 1 франк. Тунис ; 1917А ;  ; Ag ; VF-XF ; 26 ; noviks ; 320 
 2487 ; Монета медная. Китай ;  ;  ; Cu ; VF+ ; 39 ; vc57 ; 79 
 2488 ; 20 кэш. Китай ; XX в ;  ; Cu ; VF+ ; 19 ; vc57 ; 102 
 2489 ; 2 сена. Япония ; XX в ;  ; Cu ; VF+ ; 43 ; jef688 ; 179 
 2490 ; 1 сен. Япония ; XX в ;  ; Br ; VF+ ; 42 ; smel ; 267 
 2491 ; 1 тугрик. Монголия ; 1925 ;  ; Ag ; AU ; 31 ; HSS ; 2100 
 2492 ; 10 монго. Монголия ; 1925-1926 ;  ; Ag ; XF+ ; 28 ; HSS ; 475 
 2493 ; 10 монго. Монголия ; 1937-1938 ;  ; Cu/Ni ; AU ; 22 ; ВМШ ; 123 
 2494 ; 2 монго. Монголия ; 1937-1938 ;  ; Al/Br ; AU ; 38 ; HSS ; 408 
 2395 ; 1 пиастр. Французский Индокитай ; 1901 ;  ; Ag ; F-VF ; 31 ; Гурий ; 637 
 2396 ; 10 центов. Французский Индо-Китай ; 1921 ;  ; Ag ; F-VF ; 38 ; МИС ; 132 
 2397 ; 100 франков. Франция. Новые Гибриды ; 1966 ;  ; Ag ; XF+ ; 34 ; vlkorchev ; 1001 
 2398 ; 100 франков. Люксембург. 600 лет юбилею ; 1946 ;  ; Ag ; AU ; 65 ; uin72 ; 1748 
 2399 ; 5 крон. Норвегия ; 1986 ;  ; Cu/Ni ; AU ; 29 ; pak1313 ; 188 
 2400 ; 1 крона. Норвегия ; 1950 ;  ; Cu/Ni ; XF ; 19 ; sandy ; 45 
 2401 ; 1 крона. Норвегия ; 1970 ;  ; Cu/Ni ; VF+ ; 22 ; Xe72 ; 74 
 2402 ; 5 франков. Бельгия ; 1948 ;  ; Cu/Ni ; VF- ; 10 ; alex995 ; 22 
 2403 ; 25 сантимов. Бельгия ; 1946 ;  ; Zn ; VF ; 21 ; vc57 ; 47 
 2404 ; 1 сантим. Бельгия ; 1899 ;  ; Cu ; VF ; 29 ; vc57 ; 105 
 2405 ; Флорин. Ирландия ; 1966 ;  ; Ag ; AU ; 64 ; nikolay ; 524 
 2406 ; 1/2 пенни. Ирландия ; 1805 ;  ; Cu ; F-VF ; 44 ; ez ; 539 
 2407 ; Крона. Исландия ; 1946 ;  ; Al/Br ; VF-XF ; 24 ; selezsi ; 74 
 2408 ; 5 раппен. Швейцария ; 1909В ;  ; Cu/Ni ; VF- ; 14 ; vc57 ; 35 
 2409 ; 5 крон. Дания ; 1964 ;  ; Cu/Ni ; VF+ ; 27 ; PAVL-S40 ; 64 
 2410 ; Крона. Дания ; 1946 ;  ; Al/Br ; VF+ ; 17 ; Xe72 ; 49 
 2411 ; 1 ригсмонтскиллинг. Дания ; 1856 ;  ; Br ; VF ; 62 ; hjk1974 ; 194 
 2412 ; Дуит. Нидерланды, Овериссель ; 1765 ;  ; Cu ; F ; 35 ; jj ; 98 
 2413 ; 1 цент. Нидерланды ; 1884 ;  ; Cu ; VF- ; 22 ; МИС ; 43 
 2414 ; 50 центов. Австралия. 200 лет со дня путешествия Кука в Австралию ; 1970 ;  ; Cu/Ni ; AU ; 23 ; ez ; 209 
 2415 ; 50 центов. Австралия. Серебряный юбилей королевы ; 1977 ;  ; Cu/Ni ; AU ; 41 ; ez ; 181 
 2416 ; 6 пенсов. Австралия ; 1948 ;  ; Ag ; VF-XF ; 54 ; ez ; 156 
 2417 ; Пенни. Австралия ; 1941 ;  ; Br ; VF-XF ; 15 ; Пионер ; 37 
 2418 ; 1/2 пенни. Австралия ; 1936 ;  ; Br ; VF-XF ; 8 ; ez ; 77 
 2419 ; 10 чентезими. Италия ; 1894BI ;  ; Cu ; F-VF ; 26 ; МИС ; 90 
 2420 ; 20 лир. Италия ; 1862 ;  ; Ж/м ; VF-XF ; 47 ; Poiuyt ; 184 
 2421 ; 5 лир. Италия ; 1929 ;  ; Ag ; VF+ ; 66 ; 542 ; 258 
 2422 ; 100 лир. Ватикан ; 1956 ;  ; St ; XF ; 54 ; Xe72 ; 102 
 2423 ; 100 лир. Ватикан. Пеликаны ; 1989 ;  ; St ; AU ; 30 ; Xe72 ; 140 
 2424 ; 50 лир. Ватикан. Создание Евы из бедра Адама ; 1988 ;  ; St ; AU ; 35 ; Fox 56 ; 160 
 2425 ; 50 лир. Ватикан. Солидарность ; 1989 ;  ; St ; AU ; 24 ; pak1313 ; 110 
 2426 ; 50 песет. Испания ; 1957 ;  ; Cu/Ni ; VF+ ; 23 ; СВл ; 63 
 2427 ; 5 сантимов. Испания ; 1878 ;  ; Br ; VF- ; 33 ; evgen72 ; 73 
 2428 ; 400 рейс. Бразилия ; 1936 ;  ; Cu/Ni ; VF ; 43 ; sandy ; 104 
 2429 ; 10 сентаво. Бразилия ; 1967 ;  ; Cu/Ni ; VF ; 8 ; selezsi ; 36 
 2430 ; 5 эскудо. Португалия ; 1965 ;  ; Cu/Ni ; VF ; 12 ; Xe72 ; 35 
 2431 ; 1 эскудо. Португальская Индия ; 1959 ;  ; Cu/Ni ; XF+ ; 31 ; PAVL-S40 ; 306 
 2432 ; 1 эскудо. Португалия ; 1971 ;  ; Br ; XF+ ; 14 ; IronWill ; 36 
 2433 ; 20 сентаво. Португалия ; 1956 ;  ; Br ; F-VF ; 12 ; 542 ; 79 
 2434 ; 1 доллар. Калгари. Солнечный салют ; 1979 ;  ; Б/м ; XF+ ; 34 ; СВл ; 213 
 2435 ; 50 франков. Гвинея. Ахмед Секу Туре ; 1969 ;  ; Cu/Ni ; VF+ ; 55 ; Санитар ; 287 
 2436 ; 8 дублей. Гернси ; 1889 ;  ; Br ; VF ; 24 ; HSS ; 278 
 2437 ; 4 дубля. Гернси ; 1830 ;  ; Cu ; F-VF ; 31 ; ez ; 222 
 2438 ; 4 дубля. Гернси ; 1864 ;  ; Br ; VF ; 28 ; 542 ; 371 
 2439 ; 1/24 шиллинга. Джерси ; 1894 ;  ; Br ; VF- ; 31 ; HSS ; 308 
 2440 ; 1/24 шиллинга. Джерси ; 1923 ;  ; Br ; VF- ; 45 ; vc57 ; 249 
 2441 ; Шиллинг. Фиджи ; 1965 ;  ; Cu/Ni ; XF+ ; 39 ; vc57 ; 128 
 2442 ; 1 пенни. Фиджи ; 1965 ;  ; Cu/Ni ; XF+ ; 14 ; PAVL-S40 ; 66 
 2443 ; 1 флорин. Новая зеландия. Птица киви ; 1965 ;  ; Cu/Ni ; VF-XF ; 28 ; vc57 ; 133 
 2444 ; 1 шиллинг. Новая зеландия. Война Маори ; 1947 ;  ; Cu/Ni ; VF+ ; 40 ; ez ; 255 
 2345 ; 20 хеллеров. Австрия ; 1916 ;  ; Fe ; VF- ; 23 ; kostian1284 ; 57 
 2346 ; 2 хеллера. Австрия ; 1893 ;  ; Br ; F-VF ; 15 ; natallli ; 39 
 2347 ; 2 хеллера. Австрия ; 1914 ;  ; Br ; VF+ ; 18 ; alex995 ; 33 
 2348 ; 1 грош. Австро-Венгрия ; 1950 ;  ; Al ; VF-XF ; 20 ; oks ; 77 
 2349 ; 1 лиард. Австрийские Нидерланды ; 1792 ;  ; Cu ; F+ ; 40 ; vlkorchev ; 181 
 2350 ; Двойной флорин. Великобритания ; 1887 ;  ; Ag ; VF-XF ; 5 ; uin72 ; 2392 
 2351 ; Флорин. Великобритания ; 1887 ;  ; Ag ; XF- ; 120 ; МИС ; 1450 
 2352 ; 2 шиллинга. Великобритания ; 1967 ;  ; Cu/Ni ; VF ; 23 ; nikolay ; 51 
 2353 ; 1 шиллинг. Великобритания ; 1758 ;  ; Ag ; AU ; 9 ; 4758 ; 4080 
 2354 ; Шиллинг. Великобритания ; 1785 ;  ; Ag ; VF-XF ; 174 ; RAPAN ; 4819 
 2355 ; 3 пенса. Великобритания ; 1903 ;  ; Ag ; XF+ ; 64 ; hjk1974 ; 821 
 2356 ; 3 пенса. Великобритания. Георг V ; 1919 ;  ; Ag ; VF ; 17 ; nikolay ; 126 
 2357 ; 1 пенни. Великобритания ; 1797 ;  ; Cu ; F+ ; 32 ; ez ; 165 
 2358 ; 1 пенни. Великобритания ; 1899 ;  ; Br ; VF- ; 39 ; vc57 ; 147 
 2359 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF- ; 19 ; Xe72 ; 35 
 2360 ; 1/2 пенни. Великобритания ; 1775 ;  ; Cu ; F+ ; 22 ; ez ; 227 
 2361 ; 1/2 пенни. Великобритания ; 1941 ;  ; Br ; VF ; 39 ; nikolay ; 58 
 2362 ; 1 фартинг. Великобритания ; 1878 ;  ; Br ; VF ; 59 ; ez ; 214 
 2363 ; 1 рупия. Британская Индия ; 1892 ;  ; Ag ; F-VF ; 6 ; МИС ; 510 
 2364 ; 1/4 анны. Британская Индия ; 1887 ;  ; Br ; VF- ; 38 ; Dozen ; 414 
 2365 ; 1 пенни. Британская Западная Африка ; 1943 ;  ; Cu/Ni ; VF- ; 29 ; ez ; 81 
 2366 ; 1 доллар. США. Эйзенхауэр ; 1972D ;  ; Cu/Ni ; XF+ ; 2 ; Mike! ; 113 
 2367 ; 1 доллар. США. 100 лет юбилею. Эйзенхауэр ; 1976Е ;  ; Cu/Ni ; VF-XF ; 2 ; l e n i n ; 123 
 2368 ; 50 центов. США ; 1834 ;  ; Ag ; F-VF ; 30 ; 1983 ; 1834 
 2369 ; 1/2 доллара. США ; 1953Е ;  ; Ag ; VF+ ; 39 ; мурзилка ; 204 
 2370 ; 1 дайм. США. ; 1945 ;  ; Ag ; VF+ ; 108 ; uin72 ; 209 
 2371 ; 5 центов. США. Индеец ; 20в ;  ; Cu/Ni ; VF- ; 41 ; МИС ; 57 
 2372 ; 1 цент. Канада ; 1915 ;  ; Br ; VF-XF ; 20 ; rbcrf ; 63 
 2373 ; 5 франков. Франция ; 1856 ;  ; Ag ; VF- ; 42 ; noviks ; 1083 
 2374 ; 5 франков. Франция ; 1868 ;  ; Ag ; VF- ; 37 ; lelik ; 910 
 2375 ; 5 франков. Франция. Свобода, равенство, братство ; 1873 ;  ; Ag ; F-VF ; 82 ; nikolay ; 615 
 2376 ; 2 франка. Франция ; 1867 ;  ; Ag ; F-VF ; 54 ; jj ; 272 
 2377 ; 2 франка. Франция ; 1898 ;  ; Ag ; AU ; 103 ; Abbat ; 518 
 2378 ; 1 франк. Франция ; 1866 ;  ; Ag ; F ; 18 ; nikolay ; 59 
 2379 ; 1 франк. Франция ; 1867 ;  ; Ag ; F+ ; 18 ; nikolay ; 72 
 2380 ; 1 франк. Франция ; 1912 ;  ; Ag ; VF+ ; 68 ; МИС ; 265 
 2381 ; 1 франк. Франция ; 1916 ;  ; Ag ; VF+ ; 28 ; jef688 ; 85 
 2382 ; 1 франк. Франция ; 1920 ;  ; Ag ; VF+ ; 45 ; nikolay ; 105 
 2383 ; 50 центов. Франция ; 1864А ;  ; Ag ; F-VF ; 21 ; vika442 ; 218 
 2384 ; 50 центов. Франция ; 1866А ;  ; Ag ; F-VF ; 67 ; МИС ; 209 
 2385 ; 50 центов. Франция ; 1867А ;  ; Ag ; F ; 30 ; nikolay ; 81 
 2386 ; 50 центов. Франция ; 1868 ;  ; Ag ; F ; 35 ; МИС ; 160 
 2387 ; 50 центов. Франция ; 1881А ;  ; Ag ; F-VF ; 32 ; PAVL-S40 ; 128 
 2388 ; 50 центов. Франция ; 1881А ;  ; Ag ; F-VF ; 20 ; jef688 ; 91 
 2389 ; Десятина. Франция ; 1815BB ;  ; Br ; F-VF ; 52 ; Abbat ; 544 
 2390 ; 10 сантимов. Франция ; 1882 ;  ; Биллон ; F+ ; 32 ; salim ; 92 
 2391 ; 5 сантимов. Франция ; 1854 ;  ; Br ; F+ ; 6 ; salim ; 61 
 2392 ; 5 сантимов. Франция ; 1916 ;  ; Br ; VF ; 28 ; Xe72 ; 79 
 2393 ; 2 сантима. Франция ; 1878 ;  ; Cu ; VF- ; 40 ; 542 ; 140 
 2394 ; Монета. Франция ; 1586 ;  ; Cu ; F+ ; 52 ; Abbat ; 412 
 2295 ; 500 марок. Веймар ; 1923А ;  ; Al ; F+ ; 18 ; VR62 ; 45 
 2296 ; 200 марок. Веймар ; 1923А ;  ; Al ; AU ; 23 ; талерс ; 276 
 2297 ; 3 марки. Веймар ; 1922А ;  ; Al ; VF- ; 34 ; ВМШ ; 211 
 2298 ; 50 миллионов марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Br ; AU ; 67 ; kaas ; 3081 
 2299 ; 50 пфеннигов. Нотгельд. Блехен ; 1918 ;  ; Zn ; VF ; 33 ; Майкл ; 204 
 2300 ; 50 пфеннигов. Нотгельд. Оберндорф ; 1918 ;  ; Fe ; VF ; 8 ; oks ; 157 
 2301 ; 50 пфеннигов. Германия. Бонн. Бетховен ; 1920 ;  ; Fe ; XF- ; 32 ; талерс ; 306 
 2302 ; 25 пфеннигов. Нотгельд. Анхальт ; 1924 ;  ; Fe ; VF+ ; 40 ; Sky2 ; 204 
 2303 ; 10 пфеннигов. Нотгельд ; 20 век ;  ; Zn ; VF ; 35 ; талерс ; 203 
 2304 ; 10 пфеннигов. Нотгельд. Кобленц ; 1918 ;  ; Fe ; VF-XF ; 22 ; oks ; 129 
