 3561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Poiuyt ; 34 
 2323 ; 2 хеллера. Австрия ; 1914 ;  ; Cu ; VF+ ; 4 ; leksrock ; 29 
 2324 ; 2 грахмы. Греция ; 1962 ;  ; Cu/Ni ; VF- ; 34 ; flYUGgerr ; 36 
 2325 ; 20 сентаво. Куба ; 1962 ;  ; Cu/Ni ; VF+ ; 31 ; Оттар ; 47 
 2326 ; 1 франк. Бельгия ; 1942 ;  ; Zn ; F-VF ; 21 ; leksrock ; 20 
 2327 ; 100 лей. Румыния ; 1944 ;  ; Ni/Fe ; VF+ ; 19 ; Sani ; 51 
 2328 ; 1/2 нового шекеля. Израиль ; 1985-1991 ;  ; Al/Br ; VF ; 12 ; flYUGgerr ; 18 
 2329 ; 50 пфеннигов. Германия ; 1940В ;  ; Al ; F+ ; 49 ; 542 ; 63 
 2330 ; 2 франка. Французская Полинезия ; 1984 ;  ; Al ; XF ; 28 ; ask ; 42 
 2331 ; 1 доллар. США. Морган ; 1890S ;  ; Ag ; VF ; 31 ; neron.73 ; 1043 
 2332 ; 1/2 пенни. Токен. Великобритания ; 1794 ;  ; Cu ; F ; 101 ; huvud ; 204 
 2333 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; VF-XF ; 40 ; nik23455 ; 152 
 2334 ; 5 марок. ФРГ. 150 лет со дня смерти Гете ; 1982D ;  ; Cu-Ni ; AU ; 5 ; kaa123 ; 176 
 2335 ; 5 марок. ГДР. Цвейгхаус музей ; 1990A ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 250 
 2336 ; 100 франков. Франция. Мария Кюри ; 1984F ;  ; Ag ; AU ; 14 ; vitapool ; 381 
 2337 ; 1/2 доллара. США. Кеннеди ; 1972D ;  ; Cu-Ni ; AU/XF ; 27 ; serggei ; 114 
 2338 ; 2 кроны. Дания ; 1925 ;  ; Al/Br ; VF- ; 15 ; zx123 ; 81 
 2339 ; 1/2 скиллинга. Норвегия ; 1840 ;  ; Cu ; F-VF ; 61 ; jef688 ; 313 
 2340 ; 2 эре. Дания ; 1914 ;  ; Cu ; VF+ ; 59 ; keldish ; 227 
 2341 ; Крона. Великобритания ; 1821 ;  ; Ag ; VF- ; 93 ; jef688 ; 1526 
 2342 ; 1 доллар. США ; 1884 ;  ; Ag ; AU ; 23 ; 1999 ; 1325 
 2343 ; 1 доллар. США ; 1889 ;  ; Ag ; AU ; 6 ; rused ; 1041 
 2344 ; 1 доллар. США ; 1921 ;  ; Ag ; AU ; 17 ; kip ; 1084 
 2345 ; 1 доллар. США ; 1994 ;  ; Ag ; AU ; 70 ; 542 ; 1209 
 2346 ; 25 крон. Норвегия. 25 лет освобождения ; 1970 ;  ; Ag ; Unc/AU ; 55 ; dimon-2007 ; 645 
 2347 ; 100 мун. Япония ; 1835-1870 ;  ; Cu ; VF ; 124 ; murka1973 ; 665 
 2348 ; 200 марок. Веймар ; 1923 ;  ; Al ; XF+ ; 24 ; Павлов75 ; 79 
 2349 ; 50 пфеннигов. Веймар ; 1920 ;  ; Al ; XF+ ; 21 ; volkov ; 34 
 2350 ; 1 пфенниг. Германия, 3-й рейх ; 1940 ;  ; Zn ; VF ; 20 ; Павлов75 ; 37 
 2351 ; 2 мараведи. Испания, Фердинанд VII ; 1828 ;  ; Br ; VF- ; 92 ; свет ; 396 
 2352 ; 5 франков. Бельгия, Леопольд I ; 1851 ;  ; Ag ; VF- ; 92 ; jef688 ; 1019 
 2353 ; 1 пенни. Великобритания, Георг V ; 1931 ;  ; Br ; VF- ; 18 ; dikiy17 ; 25 
 2254 ; 50 центов. Плантационный токен. Британское Северное Борнео. O.Labuk ; ND ;  ; Cu ; VF-XF ; 30 ; overshtag ; 4180 
 2255 ; 1 цент. Mexic. Датская территория в Карибском море (West India) o. St.Tomas. Delavalle & Co ; ND ;  ; Cu-Ni ; VF-XF ; 25 ; aftimi ; 2173 
 2256 ; 1 пайса. Танзания. Британский протекторат ; 1299лх ;  ; Cu ; VF-XF ; 31 ; Митрич ; 915 
 2257 ; 2 рейса. Португалия для Мозамбик. Один год чеканки ; 1853 ;  ; Cu ; VF+ ; 78 ; AndrCh58 ; 1809 
 2258 ; 1 цент. Стрейт-Сетлментс. Британская колония в Малайе ; 1908 ;  ; Cu ; VF-XF ; 159 ; kont ; 744 
 2259 ; 1/2 пенни. 3 тип. Великобритания. Виктория старая ; 1899 ;  ; Cu ; XF+ ; 53 ; dsp ; 714 
 2260 ; 2 добля. Гернси ; 1885Н ;  ; Cu ; XF- ; 42 ; overshtag ; 414 
 2261 ; 1/2 кроны. Великобритания ; 1970 ;  ; Cu-Ni ; Proof ; 20 ; Al0851 ; 360 
 2262 ; Монетовидный жетон. 1 ruyter. 400 лет основания Флиссингена ; 2007 ;  ; Би/м ; AU ; 30 ; alex1974 ; 318 
 2263 ; Монетовидный жетон. 2 ruyter. 400 лет основания Флиссингена ; 2007 ;  ; Би/м ; AU ; 9 ; alex1974 ; 244 
 2264 ; 1/4 рупии. Индия ; ND ;  ; Биллон ; F-VF ; 40 ; Sterh ; 125 
 2265 ; 20 скиллингов. Датская Америка. Датская Западная Индия ; 1840 ;  ; Ag ; VF+ ; 26 ; kont ; 4700 
 2266 ; 1 шиллинг. Серебряный токен. Великобритания. Бирмингем. Workhouse ; 1811 ;  ; Ag ; XF+ ; 74 ; hugo ; 2728 
 2267 ; 5 кори. Индия. Штат Катч ; 1884 ;  ; Ag ; VF-XF ; 12 ; overshtag ; 718 
 2268 ; 1 рупия. Британская колония. Маврикий ; 1938 ;  ; Ag ; VF+/VF-XF ; 57 ; max1958 ; 1558 
 2269 ; 2-1/2 шиллинга. Южная Африка. 2 тип ; 1932 ;  ; Ag ; AU/XF ; 76 ; hugo ; 2029 
 2270 ; 3 тенге. Бухара, Алим-Хан ; (1337л.х.)1918 ;  ; Cu ; VF ; 54 ; von_Schwarz ; 356 
 2271 ; 3 макуты. Португальская колония. Ангола ; 1927 ;  ; Cu-Ni ; XF+ ; 64 ; vb96 ; 505 
 2272 ; 1/2 пенни. Токен. Канада, Торонто. "Не поработаешь, не поешь". Деформация, царапины ; ND ;  ; Cu ; F-VF  Забо ; 67 ; apelsinov ; 648 
 2273 ; 10 рейс. Португальская колония. Мозамбик ; 1853 ;  ; Cu ; F-VF ; 52 ; чусер ; 461 
 2274 ; 2 цента. США ; 1864 ;  ; Cu ; VF ; 59 ; staro ; 1227 
 2275 ; 1 дуит. Нидерланды. Провинция Голландия ; 1742 ;  ; Cu ; VF- ; 41 ; ask ; 314 
 2276 ; 100 рейс. Португалия. Лиссабон. Альфонс VI ; ND ;  ; Ag ; F ; 74 ; von_Schwarz ; 956 
 2277 ; Фартинг. Великобритания. 3 тип ; 1826 ;  ; Cu ; VF- ; 100 ; Рыба ; 401 
 2278 ; 1/4 доллара. США. Джорджия ; 1999D ;  ; Cu-Ni ; AU ; 4 ; caterpi ; 155 
 2279 ; 1/4 доллара. США. Нью-Джерси ; 1999P ;  ; Cu-Ni ; XF+ ; 27 ; 542 ; 51 
 2280 ; 1/4 доллара. США. Западная Вирджиния ; 2005D ;  ; Cu-Ni ; AU ; 19 ; 542 ; 51 
 2281 ; 1 доллар. Канада ; 1995 ;  ; Cu-Ni-Zn ; AU ; 27 ; Dim888 ; 147 
 2282 ; 1 пфенниг. Брауншвейг-Вольфенбюттель ; 1820MC ;  ; Cu ; VF- ; 61 ; murew ; 288 
 2283 ; 1/4 цента. Токен военного времени. США. Вашингтон ; 1863 ;  ; Cu ; VF-XF ; 44 ; чусер ; 552 
 2284 ; Токен. Мексика. Pitonisa Popok. Деформация ; ND ;  ; Латунь ; F+ ; 47 ; чусер ; 293 
 2285 ; 10 рейс. Португалия ; 1833 ;  ; Cu ; F+ ; 56 ; AndrCh58 ; 400 
 2286 ; 1 пенни. Токен (госчекан). Канада. Провинция Верхняя Канада. Английский тип ; 1854 ;  ; Cu ; VF- ; 59 ; Vahid ; 501 
 2287 ; 1/2 пенни. Великобритания ; 1806 ;  ; Cu ; VF- ; 96 ; грос79 ; 564 
 2288 ; 40 рейс. Португалия. Лиссабон. Иоанн V ; ND ;  ; Ag ; F-VF ; 31 ; Novich ; 484 
 2289 ; 1 пфенниг. Ганновер ; 1834A ;  ; Cu ; VF- ; 92 ; Nicas4 ; 208 
 2290 ; 1/4 доллара. США. Масачусетс ; 2000P ;  ; Cu-Ni ; AU ; 23 ; Dmitriy86 ; 30 
 2291 ; 1/4 доллара. США. Коннектикут ; 1999P ;  ; Cu-Ni ; AU ; 20 ; alex995 ; 30 
 2292 ; 1/4 доллара. США. Теннеси ; 2002P ;  ; Cu-Ni ; AU ; 18 ; 542 ; 51 
 2293 ; 1/4 доллара. США. Южная Каролина ; 2000P ;  ; Cu-Ni ; AU ; 23 ; Dmitriy86 ; 38 
 2294 ; 1 доллар. Канада. Зимние Олимпийские игры в Ванкувере ; 2010 ;  ; Cu-Ni-Zn ; AU ; 93 ; СВл ; 357 
 2295 ; 1 рупия. Модель. Британская колония. О.Маврикий. Эдуард VIII правил 10 мес ; 1936 ;  ; Cu-Ni ; Proof ; 40 ; Al0851 ; 1018 
 2296 ; 5000 вон. Южная Корея. XXIV Олимпиада. Сеул ; 1987 ;  ; Ag ; Proof ; 17 ; Gell13 ; 425 
 2297 ; 1 крона. Великобритания, Виктория. Золотой юбилей ; 1887JEB ;  ; Ag ; XF ; 29 ; sima ; 1846 
 2298 ; 1/2 кроны. Великобритания, Виктория. Золотой юбилей ; 1887JEB ;  ; Ag ; XF+ ; 102 ; lesnik1 ; 1599 
 2299 ; 1 шиллинг. Великобритания. Георг IV ; 1826 ;  ; Ag ; VF ; 28 ; грос79 ; 740 
 2300 ; 1/2 рупии. Восточно-Индийская компания ; 1840 ;  ; Ag ; VF+ ; 33 ; dagoff ; 799 
 2301 ; 1 шиллинг. Великобритания, Виктория ; 1872 ;  ; Ag ; VF ; 42 ; nik23455 ; 611 
 2302 ; 1 шиллинг. Великобритания, Виктория ; 1897 ;  ; Ag ; VF+ ; 30 ; lesnik1 ; 636 
 2303 ; 6 пенсов. Великобритания, Виктория, Золотой юбилей ; 1887JEB ;  ; Ag ; XF ; 19 ; Dim888 ; 614 
 2204 ; 5 пфеннигов. Германия ; 1907E ;  ; Cu-Ni ; XF- ; 26 ; zelya ; 100 
 2205 ; 5 пфеннигов. Германия ; 1908J ;  ; Cu-Ni ; XF- ; 26 ; zelya ; 100 
 2206 ; 5 пфеннигов. Германия ; 1909D ;  ; Cu-Ni ; XF+ ; 22 ; zelya ; 100 
 2207 ; 5 пфеннигов. Германия ; 1910G ;  ; Cu-Ni ; XF ; 26 ; zelya ; 100 
 2208 ; 5 пфеннигов. Германия ; 1911D ;  ; Cu-Ni ; XF+ ; 24 ; zelya ; 70 
 2209 ; 5 пфеннигов. Германия ; 1913D ;  ; Cu-Ni ; XF ; 12 ; zelya ; 60 
 2210 ; 5 пфеннигов. Германия ; 1914J ;  ; Cu-Ni ; XF+ ; 20 ; zelya ; 70 
 2211 ; 5 пфеннигов. Германия ; 1915E ;  ; Cu-Ni ; AU ; 21 ; 542 ; 214 
 2212 ; 50 пфеннигов. ГДР ; 1950A ;  ; Cu ; AU ; 101 ; zelya ; 370 
 2213 ; 50 пфеннигов. ГДР ; 1971A ;  ; Al ; AU ; 28 ; zelya ; 50 
 2214 ; 50 пфеннигов. ГДР ; 1973A ;  ; Al ; AU ; 33 ; suhua ; 51 
 2215 ; 50 пфеннигов. ГДР ; 1983A ;  ; Al ; AU ; 33 ; suhua ; 157 
 2216 ; 20 пфеннигов. ГДР ; 1969 ;  ; Br ; AU ; 35 ; zelya ; 61 
 2217 ; 20 пфеннигов. ГДР ; 1971 ;  ; Br ; VF- ; 18 ; suhua ; 19 
 2218 ; 20 пфеннигов. ГДР ; 1972A ;  ; Br ; VF-XF ; 31 ; suhua ; 157 
 2219 ; 20 пфеннигов. ГДР ; 1973A ;  ; Br ; XF ; 35 ; suhua ; 292 
 2220 ; 20 пфеннигов. ГДР ; 1974A ;  ; Br ; XF ; 29 ; suhua ; 51 
 2221 ; 20 пфеннигов. ГДР ; 1983A ;  ; Br ; AU ; 17 ; suhua ; 57 
 2222 ; 20 пфеннигов. ГДР ; 1984A ;  ; Br ; AU ; 23 ; suhua ; 55 
 2223 ; 20 пфеннигов. ГДР ; 1989A ;  ; Br ; AU ; 13 ; suhua ; 157 
 2224 ; 5 пфеннигов. ГДР ; 1948A ;  ; Al ; VF ; 10 ; alex995 ; 11 
 2225 ; 5 пфеннигов. ГДР ; 1949A ;  ; Al ; VF+ ; 12 ; flYUGgerr ; 11 
 2226 ; 5 пфеннигов. ГДР ; 1950A ;  ; Al ; XF ; 16 ; suhua ; 31 
 2227 ; 5 пфеннигов. ГДР ; 1952A ;  ; Al ; XF+ ; 20 ; suhua ; 41 
 2228 ; 5 пфеннигов. ГДР ; 1952E ;  ; Al ; AU ; 48 ; suhua ; 259 
 2229 ; 5 пфеннигов. ГДР ; 1953E ;  ; Al ; XF ; 22 ; 542 ; 101 
 2230 ; 5 пфеннигов. ГДР ; 1968A ;  ; Al ; AU ; 8 ; zelya ; 30 
 2231 ; 5 пфеннигов. ГДР ; 1972A ;  ; Al ; AU ; 13 ; suhua ; 31 
 2232 ; 5 пфеннигов. ГДР ; 1979A ;  ; Al ; AU ; 6 ; zelya ; 20 
 2233 ; 5 пфеннигов. ГДР ; 1983A ;  ; Al ; Unc ; 6 ; zelya ; 20 
 2234 ; 5 пфеннигов. ГДР ; 1988A ;  ; Al ; AU ; 14 ; suhua ; 21 
 2235 ; 5 пфеннигов. ГДР ; 1989A ;  ; Al ; AU ; 12 ; zelya ; 20 
 2236 ; 1 пенни. Манди. Рождественские деньги для слепых. 4-ый тип. Великобритания, Георг III (бычья голова) ; 1818 ;  ; Ag ; AU ; 117 ; zavadskiyoa ; 3764 
 2237 ; 2 пенса. Манди. Рождественские деньги для слепых. 4-ый тип. Великобритания, Георг III (бычья голова) ; 1817 ;  ; Ag ; AU ; 118 ; zavadskiyoa ; 3726 
 2238 ; 4 пенса. Манди. Рождественские деньги для слепых. 4-ый тип. Великобритания, Георг III (бычья голова) ; 1817 ;  ; Ag ; XF+ ; 144 ; hugo ; 3055 
 2239 ; 1 стивер. Британская колония в Южной Америке. Эссекьюбо и Димарейру. Георг III - бычья голова ; 1813 ;  ; Cu ; VF-XF ; 93 ; shest ; 2758 
 2240 ; 1 рупия. Британская Индия. Штат Алвар. 1 тип ; 1882 ;  ; Ag ; VF+ ; 94 ; KKK ; 1340 
 2241 ; Фартинг. Британская территория. О. Мэн ; 1839 ;  ; Cu ; XF ; 62 ; overshtag ; 1372 
 2242 ; 1 сапекуе. Французская колония. Cochinchine ; 1879 ;  ; Cu ; AU ; 79 ; hobot ; 1416 
 2243 ; 160 рейс. Португальская колония. Бразилия. Корона высокая. Рио-де-Жанейро ; 1701 ;  ; Ag ; VF- ; 52 ; AndrCh58 ; 698 
 2244 ; 2 франка. 3-ий тип. Французский протекторат Тунис, Мухаммад Аль Назир ; 1916 ;  ; Ag ; XF/AU ; 81 ; alcher ; 1530 
 2245 ; 1/2 пуффина. Британская частная территория. Ланди ; 1965 ;  ; Cu ; AU ; 59 ; overshtag ; 714 
 2246 ; 1 цент. Токен военного времени. США. Нью-Йорк ; 1837 ;  ; Cu ; VF ; 54 ; чусер ; 677 
 2247 ; 1/2 пенни. Токен. Великобритания. Графство Кент. Мир и процветание. Лев и мельница. Гуртовая надпись ; 1794 ;  ; Cu ; VF- ; 24 ; overshtag ; 748 
 2248 ; 5 солей. Токен. Французская территория. Siege de Mayence ; 1793 ;  ; Al/Br ; F-VF ; 36 ; чусер ; 724 
 2249 ; 10 рейс. Португальская колония. Азорские острова ; 1750 ;  ; Cu ; F-VF ; 101 ; overshtag ; 1026 
 2250 ; 1/4 цента. Британская колония. О.Саравак ; 1896Н ;  ; Cu ; VF-XF ; 23 ; shest ; 909 
 2251 ; 2 соля. Франция ; 1792 ;  ; Cu ; VF- ; 92 ; Митрич ; 804 
 2252 ; 10 сентимов. Камбоджа. Французская территория ; 1860 ;  ; Cu ; VF- ; 83 ; shest ; 1042 
 2253 ; 1 цент. Токен военного времени. Миллионы на оборону. США ; 1837 ;  ; Cu ; F-VF ; 49 ; overshtag ; 679 
 2154 ; 50 пфеннигов. Германия ; 1922A ;  ; Al ; XF ; 22 ; zelya ; 40 
 2155 ; 50 пфеннигов. Германия ; 1922D ;  ; Al ; AU ; 24 ; гвен ; 46 
 2156 ; 50 пфеннигов. Германия ; 1922E ;  ; Al ; AU ; 48 ; 542 ; 110 
 2157 ; 50 пфеннигов. Германия ; 1935A ;  ; Al ; VF+ ; 39 ; гвен ; 50 
 2158 ; 50 пфеннигов. Германия ; 1935E ;  ; Al ; VF-XF ; 56 ; lsp25 ; 123 
 2159 ; 50 пфеннигов. Германия ; 1935F ;  ; Al ; VF ; 42 ; гвен ; 50 
 2160 ; 50 пфеннигов. Германия ; 1939A ;  ; Al ; AU ; 28 ; gelind ; 223 
 2161 ; 50 пфеннигов. Германия ; 1939E ;  ; Al ; VF+ ; 40 ; lsp25 ; 92 
 2162 ; 50 пфеннигов. Германия ; 1939J ;  ; Al ; AU ; 47 ; zx123 ; 327 
 2163 ; 50 пфеннигов. Германия ; 1940A ;  ; Al ; XF- ; 48 ; gelind ; 113 
 2164 ; 50 пфеннигов. Германия ; 1940B ;  ; Al ; AU ; 75 ; hugo ; 397 
 2165 ; 50 пфеннигов. Германия ; 1940E ;  ; Al ; XF ; 46 ; Павлов75 ; 181 
 2166 ; 50 пфеннигов. Германия ; 1940F ;  ; Al ; VF+ ; 45 ; gelind ; 204 
 2167 ; 50 пфеннигов. Германия ; 1940J ;  ; Al ; VF+ ; 48 ; 542 ; 161 
 2168 ; 50 пфеннигов. Германия ; 1941A ;  ; Al ; VF+ ; 33 ; 542 ; 204 
 2169 ; 50 пфеннигов. Германия ; 1941D ;  ; Al ; XF ; 43 ; gelind ; 174 
 2170 ; 50 пфеннигов. Германия ; 1942A ;  ; Al ; VF+ ; 35 ; gelind ; 159 
 2171 ; 50 пфеннигов. Германия ; 1942F ;  ; Al ; AU ; 110 ; hugo ; 466 
 2172 ; 10 пфеннигов. Германия ; 1888A ;  ; Cu-Ni ; VF ; 62 ; 542 ; 104 
 2173 ; 10 пфеннигов. Германия ; 1893E ;  ; Cu-Ni ; VF+ ; 47 ; 542 ; 102 
 2174 ; 10 пфеннигов. Германия ; 1896A ;  ; Cu-Ni ; VF-XF ; 25 ; Al0851 ; 51 
 2175 ; 10 пфеннигов. Германия ; 1898D ;  ; Cu-Ni ; VF+ ; 9 ; Al0851 ; 41 
 2176 ; 10 пфеннигов. Германия ; 1899E ;  ; Cu-Ni ; VF-XF ; 7 ; alex995 ; 12 
 2177 ; 10 пфеннигов. Германия ; 1900A ;  ; Cu-Ni ; VF+ ; 15 ; flYUGgerr ; 21 
 2178 ; 10 пфеннигов. Германия ; 1901J ;  ; Cu-Ni ; F-VF ; 12 ; zelya ; 21 
 2179 ; 10 пфеннигов. Германия ; 1902A ;  ; Cu-Ni ; VF+ ; 7 ; partanen ; 21 
 2180 ; 10 пфеннигов. Германия ; 1903F ;  ; Cu-Ni ; VF-XF ; 44 ; 542 ; 102 
 2181 ; 10 пфеннигов. Германия ; 1904A ;  ; Cu-Ni ; VF-XF ; 8 ; Tolya77 ; 21 
 2182 ; 10 пфеннигов. Германия ; 1906A ;  ; Cu-Ni ; XF- ; 27 ; zelya ; 30 
 2183 ; 10 пфеннигов. Германия ; 1907A ;  ; Cu-Ni ; XF ; 17 ; zelya ; 30 
 2184 ; 10 пфеннигов. Германия ; 1908J ;  ; Cu-Ni ; XF- ; 30 ; zelya ; 101 
 2185 ; 10 пфеннигов. Германия ; 1909A ;  ; Cu-Ni ; VF-XF ; 23 ; 542 ; 101 
 2186 ; 10 пфеннигов. Германия ; 1910D ;  ; Cu-Ni ; VF+ ; 18 ; 542 ; 101 
 2187 ; 10 пфеннигов. Германия ; 1911A ;  ; Cu-Ni ; XF ; 18 ; zid200 ; 18 
 2188 ; 10 пфеннигов. Германия ; 1912D ;  ; Cu-Ni ; AU ; 52 ; 439 ; 105 
 2189 ; 10 пфеннигов. Германия ; 1914J ;  ; Cu-Ni ; XF ; 26 ; 542 ; 101 
 2190 ; 10 пфеннигов. Германия ; 1915D ;  ; Cu-Ni ; XF- ; 36 ; zelya ; 60 
 2191 ; 10 пфеннигов. Германия ; 1916D ;  ; Cu-Ni ; XF+ ; 48 ; zelya ; 100 
 2192 ; 5 пфеннигов. Германия ; 1876B ;  ; Cu-Ni ; VF+ ; 20 ; 542 ; 72 
 2193 ; 5 пфеннигов. Германия ; 1889E ;  ; Cu-Ni ; XF- ; 36 ; zelya ; 70 
 2194 ; 5 пфеннигов. Германия ; 1890E ;  ; Cu-Ni ; XF ; 45 ; zelya ; 90 
 2195 ; 5 пфеннигов. Германия ; 1892D ;  ; Cu-Ni ; VF+ ; 62 ; 542 ; 119 
 2196 ; 5 пфеннигов. Германия ; 1895F ;  ; Cu-Ni ; VF+ ; 11 ; 542 ; 31 
 2197 ; 5 пфеннигов. Германия ; 1896A ;  ; Cu-Ni ; VF-XF ; 7 ; 542 ; 31 
 2198 ; 5 пфеннигов. Германия ; 1897A ;  ; Cu-Ni ; VF+ ; 4 ; partanen ; 21 
 2199 ; 5 пфеннигов. Германия ; 1898G ;  ; Cu-Ni ; VF+ ; 22 ; 542 ; 21 
 2200 ; 5 пфеннигов. Германия ; 1899G ;  ; Cu-Ni ; VF-XF ; 5 ; Al0851 ; 41 
 2201 ; 5 пфеннигов. Германия ; 1901G ;  ; Cu-Ni ; XF ; 38 ; zelya ; 90 
 2202 ; 5 пфеннигов. Германия ; 1904F ;  ; Cu-Ni ; XF- ; 31 ; 542 ; 102 
 2203 ; 5 пфеннигов. Германия ; 1905F ;  ; Cu-Ni ; XF ; 26 ; zelya ; 100 
 2104 ; 5 пфеннигов. Германия ; 1937A ;  ; Br ; XF- ; 41 ; suhua ; 85 
 2105 ; 5 пфеннигов. Германия ; 1937D ;  ; Br ; VF+ ; 13 ; lsp25 ; 123 
 2106 ; 5 пфеннигов. Германия ; 1937E ;  ; Br ; VF+ ; 16 ; 542 ; 153 
 2107 ; 5 пфеннигов. Германия ; 1937F ;  ; Br ; XF- ; 20 ; gelind ; 95 
 2108 ; 5 пфеннигов. Германия ; 1937G ;  ; Br ; VF+ ; 43 ; 542 ; 202 
 2109 ; 5 пфеннигов. Германия ; 1937J ;  ; Br ; VF+ ; 33 ; gelind ; 102 
 2110 ; 5 пфеннигов. Германия ; 1938B ;  ; Br ; VF+ ; 18 ; lsp25 ; 101 
 2111 ; 5 пфеннигов. Германия ; 1938D ;  ; Br ; VF+ ; 38 ; suhua ; 85 
 2112 ; 5 пфеннигов. Германия ; 1938G ;  ; Br ; XF ; 29 ; 542 ; 200 
 2113 ; 5 пфеннигов. Германия ; 1939A ;  ; Br ; XF ; 32 ; suhua ; 95 
 2114 ; 5 пфеннигов. Германия ; 1939E ;  ; Br ; VF ; 30 ; 542 ; 143 
 2115 ; 5 пфеннигов. Германия ; 1940G ;  ; Br ; VF-XF ; 25 ; 542 ; 160 
 2116 ; 2 пфеннига. Германия ; 1937A ;  ; Br ; XF- ; 13 ; murew ; 59 
 2117 ; 2 пфеннига. Германия ; 1938A ;  ; Br ; VF-XF ; 31 ; murew ; 67 
 2118 ; 2 пфеннига. Германия ; 1938D ;  ; Br ; VF-XF ; 20 ; suhua ; 79 
 2119 ; 2 пфеннига. Германия ; 1938F ;  ; Br ; VF+ ; 17 ; murew ; 63 
 2120 ; 2 пфеннига. Германия ; 1938G ;  ; Br ; VF+ ; 13 ; 542 ; 85 
 2121 ; 2 пфеннига. Германия ; 1938J ;  ; Br ; XF ; 53 ; smaci ; 86 
 2122 ; 2 пфеннига. Германия ; 1939A ;  ; Br ; XF ; 22 ; dikiy17 ; 79 
 2123 ; 2 пфеннига. Германия ; 1939D ;  ; Br ; XF ; 14 ; murew ; 51 
 2124 ; 2 пфеннига. Германия ; 1939E ;  ; Br ; VF+ ; 9 ; suhua ; 34 
 2125 ; 2 пфеннига. Германия ; 1939F ;  ; Br ; VF-XF ; 9 ; suhua ; 36 
 2126 ; 2 пфеннига. Германия ; 1939G ;  ; Br ; XF+ ; 14 ; suhua ; 79 
 2127 ; 2 пфеннига. Германия ; 1940A ;  ; Br ; AU ; 42 ; hugo ; 101 
 2128 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; XF/AU ; 14 ; murew ; 51 
 2129 ; 1 пфенниг. Германия ; 1937J ;  ; Br ; VF-XF ; 7 ; murew ; 51 
 2130 ; 1 пфенниг. Германия ; 1938A ;  ; Br ; AU ; 41 ; hugo ; 101 
 2131 ; 1 пфенниг. Германия ; 1938B ;  ; Br ; VF ; 9 ; suhua ; 32 
 2132 ; 1 пфенниг. Германия ; 1938D ;  ; Br ; VF+ ; 13 ; suhua ; 57 
 2133 ; 1 пфенниг. Германия ; 1938E ;  ; Br ; XF ; 34 ; suhua ; 50 
 2134 ; 1 пфенниг. Германия ; 1938F ;  ; Br ; XF ; 40 ; suhua ; 61 
 2135 ; 1 пфенниг. Германия ; 1938J ;  ; Br ; AU ; 14 ; Sani ; 36 
 2136 ; 1 пфенниг. Германия ; 1939A ;  ; Br ; AU ; 26 ; hugo ; 101 
 2137 ; 1 пфенниг. Германия ; 1939D ;  ; Br ; VF ; 7 ; ved ; 32 
 2138 ; 1 пфенниг. Германия ; 1939F ;  ; Br ; VF ; 11 ; suhua ; 36 
 2139 ; 1 пфенниг. Германия ; 1939G ;  ; Br ; XF+ ; 18 ; suhua ; 36 
 2140 ; 1 пфенниг. Германия ; 1940A ;  ; Br ; XF+ ; 42 ; Dmitriy86 ; 85 
 2141 ; 1 пфенниг. Германия ; 1917A ;  ; Al ; AU ; 38 ; AMZYA ; 79 
 2142 ; 1 пфенниг. Германия ; 1917D ;  ; Al ; AU ; 79 ; 542 ; 161 
 2143 ; 1 пфенниг. Германия ; 1917E ;  ; Al ; AU ; 42 ; 542 ; 157 
 2144 ; 1 пфенниг. Германия ; 1917F ;  ; Al ; XF- ; 27 ; ratiandr ; 51 
 2145 ; 1 пфенниг. Германия ; 1917G ;  ; Al ; XF/AU ; 25 ; Vasya ; 53 
 2146 ; 1 пфенниг. Германия ; 1917J ;  ; Al ; VF-XF ; 49 ; 542 ; 101 
 2147 ; 50 пфеннигов. Германия ; 1919A ;  ; Al ; AU ; 61 ; zx123 ; 101 
 2148 ; 50 пфеннигов. Германия ; 1919D ;  ; Al ; XF- ; 19 ; 542 ; 124 
 2149 ; 50 пфеннигов. Германия ; 1919E ;  ; Al ; AU ; 19 ; 542 ; 57 
 2150 ; 50 пфеннигов. Германия ; 1920A ;  ; Al ; XF+ ; 21 ; zelya ; 40 
 2151 ; 50 пфеннигов. Германия ; 1920E ;  ; Al ; AU ; 46 ; 542 ; 101 
 2152 ; 50 пфеннигов. Германия ; 1921E ;  ; Al ; XF- ; 29 ; 542 ; 57 
 2153 ; 50 пфеннигов. Германия ; 1921D ;  ; Al ; AU ; 41 ; гвен ; 49 
 2054 ; 10 центов. Нидерланды ; 1939 ;  ; Ag ; XF- ; 37 ; Sterh ; 37 
 2055 ; 1/10 гульдена. Нидерландские Антиллы ; 1959 ;  ; Ag ; VF+ ; 58 ; 384020 ; 62 
 2056 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; AU ; 55 ; zydor ; 276 
 2057 ; 1 дайм. США. Меркури ; 1945 ;  ; Ag ; VF-XF ; 70 ; Sky2 ; 143 
 2058 ; 1 крона. Швеция ; 1945 ;  ; Ag ; XF ; 16 ; zx123 ; 59 
