 6048 ; Бона иностранная ;  ;  ;  ;  ; 57 ; qver ; 512 
 3816 ; 2 франка Франция ; 1934 ;  ; Al/Br ; VF ; 5 ; sneg ; 51 
 3817 ; 10 пенни. Финляндия ; 1973 ;  ; Al/Br ; XF+ ; 6 ; нормировщик9 ; 11 
 3818 ; 100 песет. Испания ; 1995 ;  ; Al/Br ; XF ; 52 ; teso ; 160 
 3819 ; 25 песет. Испания ; 1998 ;  ; Al/Br ; AU ; 15 ; nikfed ; 79 
 3820 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; AU ; 15 ; В1951 ; 53 
 3821 ; 100 лир. Италия ; 1979 ;  ; St ; XF ; 18 ; ag58 ; 33 
 3822 ; 200 марок. Веймар ; 1923G ;  ; Al ; VF ; 12 ; qver ; 34 
 3823 ; 1 форинт. Венгрия ; 1965 ;  ; Al ; XF ; 16 ; sneg ; 35 
 3824 ; 2 злотых. Польша ; 1958 ;  ; Al ; XF ; 27 ; dim66 ; 159 
 3825 ; 3 марки. Веймар ; 1922J ;  ; Al ; VF ; 19 ; цеховик ; 97 
 3826 ; Жетон. 25. Стокгольм ;  ;  ; Al ; VF- ; 20 ; Man 11 ; 101 
 3827 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 21 ; aziya11 ; 201 
 3828 ; 10 марок. Финляндия. ЕС ; 1995 ;  ; Би/м ; AU ; 10 ; NL.minkki ; 255 
 3829 ; 100 эскудо. Португалия ; 1989 ;  ; Би/м ; XF ; 8 ; Jet ; 33 
 3830 ; 25 эре Дания ; 1941 ;  ; Zn ; VF ; 14 ; visitor ; 153 
 3831 ; 2 хеллера. Швейцария ; 1942 ;  ; Zn ; VF ; 9 ; dvlless ; 97 
 3832 ; 1 эре. Норвегия ; 1943 ;  ; Fe ; VF ; 7 ; sneg ; 77 
 3833 ; 10 сантимов. Бельгия ; 1905 ;  ; Cu-Ni ; VF ; 17 ; andy2012 ; 34 
 3834 ; 1 шиллинг Ирландия ; 1964 ;  ; Cu-Ni ; VF+ ; 8 ; d-master ; 44 
 3835 ; 1 бат. Тайланд ;  ;  ; Cu-Ni ; VF+ ; 21 ; vb96 ; 57 
 3836 ; 1 франк. Франция ; 1992 ;  ; Cu-Ni ; XF ; 12 ; Lapin79 ; 71 
 3837 ; 2 бата. Тайланд ;  ;  ; Cu-Ni ; XF ; 11 ; kornum ; 79 
 3838 ; 10 грошей. Польша ; 1923 ;  ; Cu-Ni ; XF ; 17 ; Бармалей ; 93 
 3839 ; 20 раппен. Швейцария ; 1930 ;  ; Cu-Ni ; XF ; 7 ; Flagman ; 82 
 3840 ; 2 марки. ФРГ ; 1970J ;  ; Cu-Ni ; VF+ ; 7 ; Fontan ; 101 
 3841 ; 10 хеллеров. Австрия ; 1916 ;  ; Cu-Ni ; VF ; 8 ; ag58 ; 41 
 3842 ; 2 ранда. ЮАР ; 2008 ;  ; Cu-Ni ; XF ; 24 ; sneg ; 66 
 3843 ; 20 раппен. Швейцария ; 1929 ;  ; Cu-Ni ; VF ; 3 ; kostya12.04.1994 ; 57 
 3844 ; 2 марки. ФРГ ; 1962G ;  ; Cu-Ni ; VF+ ; 17 ; Fontan ; 131 
 3845 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; XF ; 29 ; Ozon ; 51 
 3846 ; 10 сантимов. Люксембург ; 1924 ;  ; Cu-Ni ; VF ; 16 ; alexei.96 ; 41 
 3847 ; 1 марка. Финляндия ; 1969 ;  ; Cu-Ni ; XF ; 14 ; teso ; 26 
 3848 ; 5 центов. США ;  ;  ; Cu-Ni ; VF ; 13 ; serg901 ; 63 
 3849 ; 5 рапеен. Швейцария ; 1903 ;  ; Cu-Ni ; VF ; 12 ; Lapin79 ; 41 
 3850 ; 50 пфеннигов. Веймар ; 1929A ;  ; Cu-Ni ; VF-XF ; 20 ; bva150979 ; 255 
 3751 ; 25 чертам. Бутан ; 1979 ;  ; Латунь ; AU ; 13 ; Lapin79 ; 70 
 3752 ; 50 тенге. Казахстан. Усть-Каменогорск ; 2011 ;  ; Cu-Ni ; AU ; 32 ; Опятор ; 258 
 3753 ; 2 злотых. Польша. Конь польский ; 2014 ;  ; Al/Br ; AU ; 31 ; Masik ; 128 
 3754 ; 2 злотых. Польша. Ян Карский ; 2014 ;  ; Al/Br ; AU ; 17 ; Masik ; 108 
 3755 ; 2 злотых. Польша. Ракетный катер "Гдыня" ; 2013 ;  ; Al/Br ; AU ; 12 ; TiBuL ; 92 
 3756 ; 2 злотых. Польша. Ракетный фрегат "Поласки" ; 2013 ;  ; Al/Br ; AU ; 13 ; Masik ; 114 
 3757 ; 2 злотых. Польша. Зубр ; 2013 ;  ; Al/Br ; AU ; 21 ; Masik ; 102 
 3758 ; 2 злотых. Польша. Футбольный клуб "Варта" ; 2013 ;  ; Al/Br ; AU ; 17 ; seva777 ; 108 
 3759 ; 2 злотых. Польша. Краков ; 2011 ;  ; Al/Br ; AU ; 15 ; Masik ; 102 
 3760 ; 2 злотых. Польша. Летучая мышь ; 2010 ;  ; Al/Br ; AU ; 11 ; An12 ; 100 
 3761 ; 5 злотых. Польша. 25 лет свободе ;  ;  ; Би/м ; AU ; 15 ; TiBuL ; 128 
 3762 ; 5 злотых. Польша. Королевский замок в Варшаве ;  ;  ; Би/м ; AU ; 15 ; TiBuL ; 136 
 3763 ; 50 тенге. Казахстан. Серко ; 2014 ;  ; Cu-Ni ; AU ; 27 ; himak ; 308 
 3764 ; 50 тенге. Казахстан. Тарас Шевченко. Упаковка ; 2014 ;  ; Cu-Ni ; AU ; 10 ; k1reeff ; 118 
 3765 ; 50 тенге. Казахстан. Шокан. Упаковка ; 2014 ;  ; Cu-Ni ; AU ; 9 ; heavy_fly ; 127 
 3766 ; 50 тенге. Казахстан. Шокан ; 2014 ;  ; Cu-Ni ; AU ; 21 ; Vebr ; 108 
 3767 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu-Ni ; AU ; 27 ; kornum ; 155 
 3768 ; 50 тенге. Казахстан. 20 лет тенге ; 2013 ;  ; Cu-Ni ; AU ; 28 ; ML144 ; 99 
 3769 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu-Ni ; AU ; 28 ; tanker1975 ; 75 
 3770 ; 50 тенге. Казахстан. М.Жумбаев ; 2013 ;  ; Cu-Ni ; XF ; 26 ; heavy_fly ; 82 
 3771 ; 50 тенге. Казахстан. Ёж ; 2013 ;  ; Cu-Ni ; XF ; 17 ; ML144 ; 146 
 3772 ; 50 тенге. Казахстан. Колобок ; 2013 ;  ; Cu-Ni ; XF ; 26 ; 6719 ; 108 
 3773 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; XF+ ; 14 ; roza77 ; 89 
 3774 ; 50 тенге. Казахстан. Адар-Косе ; 2013 ;  ; Cu-Ni ; AU ; 25 ; парам ; 128 
 3775 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu-Ni ; AU ; 42 ; spbra ; 153 
 3776 ; 50 тенге. Казахстан. Космическая станция "Мир" ; 2012 ;  ; Cu-Ni ; XF+ ; 27 ; Vebr ; 176 
 3777 ; 50 тенге. Казахстан. Ястребиная сова ; 2011 ;  ; Cu-Ni ; XF+ ; 27 ; seva777 ; 410 
 3778 ; 50 тенге. Казахстан. 20 лет независимости ; 2011 ;  ; Cu-Ni ; XF ; 20 ; kornum ; 90 
 3779 ; 50 тенге. Казахстан. Дикобраз ; 2009 ;  ; Cu-Ni ; AU ; 23 ; loguten ; 320 
 3780 ; 50 тенге. Казахстан. А.Жубанов ; 2006 ;  ; Cu-Ni ; XF+ ; 24 ; Vebr ; 144 
 3781 ; 50 тенге. Казахстан. Махамбет ; 2003 ;  ; Cu-Ni ; XF ; 24 ; buynyi76 ; 143 
 3782 ; 50 тенге. Казахстан. Орден Алтын Кырын ; 2006 ;  ; Cu-Ni ; AU ; 27 ; Vebr ; 207 
 3783 ; 50 тенге. Казахстан. Орден Данк ; 2008 ;  ; Cu-Ni ; AU ; 17 ; buynyi76 ; 192 
 3784 ; 50 тенге. Казахстан. Костанай ; 2013 ;  ; Cu-Ni ; AU ; 23 ; Опятор ; 216 
 3785 ; 50 тенге. Казахстан. Талдыкорган ; 2013 ;  ; Cu-Ni ; AU ; 25 ; Опятор ; 206 
 3786 ; 50 тенге. Казахстан. Тарез ; 2013 ;  ; Cu-Ni ; AU ; 21 ; Vebr ; 115 
 3787 ; 50 тенге. Казахстан. Актау ; 2012 ;  ; Cu-Ni ; AU ; 26 ; Опятор ; 153 
 3788 ; 50 тенге. Казахстан. Павлодар ; 2012 ;  ; Cu-Ni ; AU ; 29 ; Vebr ; 192 
 3789 ; 50 тенге. Казахстан. Атырау ; 2012 ;  ; Cu-Ni ; AU ; 26 ; Опятор ; 206 
 3790 ; 50 тенге. Казахстан. Караганда ; 2011 ;  ; Cu-Ni ; AU ; 30 ; Опятор ; 216 
 3791 ; 200 лир. Италия ; 1996 ;  ; Al/Br ; XF+ ; 19 ; visitor ; 51 
 3792 ; 1 крона. Дания ; 1948 ;  ; Al/Br ; VF ; 7 ; Legio ; 36 
 3793 ; 1 квача. Замбия ; 1989 ;  ; Al/Br ; XF ; 6 ; smel ; 70 
 3794 ; 5 крон. Эстония ; 1994 ;  ; Al/Br ; XF ; 21 ; Serg104 ; 41 
 3795 ; 100 песет. Испания ; 1997 ;  ; Al/Br ; VF ; 12 ; t_v_v ; 79 
 3796 ; 100 песет. Испания ; 1993 ;  ; Al/Br ; VF ; 8 ; karl ; 48 
 3797 ; 20 пенни. Ирландия ; 1996 ;  ; Al/Br ; XF ; 26 ; teso ; 97 
 3798 ; 20 шиллингов. Австрия ; 1980 ;  ; Al/Br ; XF ; 21 ; Fontan ; 125 
 3799 ; 10 крон. Словакия ; 1995 ;  ; Al/Br ; XF ; 20 ; sneg ; 65 
 3800 ; 5 марок. Финляндия ; 1983 ;  ; Al/Br ; XF+ ; 24 ; anshel ; 77 
 3701 ; 10 злотых. Польша. 25 лет войска польского ; 1968 ;  ; Cu/Ni ; VF+ ; 22 ; TiBuL ; 115 
 3702 ; 10000 злотых. Польша. Солидарность ; 1990 ;  ; Cu/Ni ; VF-XF ; 19 ; Victory-2001 ; 134 
 3703 ; 50 злотых. Польша. Болеслав II ; 1981 ;  ; Cu/Ni ; XF ; 15 ; TiBuL ; 79 
 3704 ; 100 злотых. Польша. Ядвига ; 1988 ;  ; Cu/Ni ; XF+ ; 18 ; stark-2006 ; 124 
 3705 ; 10 злотых. Польша. Болеслав Прус ; 1983 ;  ; Cu/Ni ; XF- ; 13 ; TiBuL ; 100 
 3706 ; 20 злотых. Польша. Год женщины ; 1975 ;  ; Cu/Ni ; XF ; 20 ; TiBuL ; 115 
 3707 ; 10 злотых. Польша. Болеслав Прус ; 1977 ;  ; Cu/Ni ; XF ; 19 ; dim66 ; 102 
 3708 ; 100 злотых. Польша. Ядвига ; 1988 ;  ; Cu/Ni ; XF ; 19 ; Victory-2001 ; 120 
 3709 ; 500 злотых. Польша. 50 лет  обороны польского народа ; 1989 ;  ; Cu/Ni ; XF ; 23 ; stark-2006 ; 184 
 3710 ; Монета. Восток ;  ;  ; Cu ; F- ; 7 ; aziya11 ; 61 
 3711 ; 50 тенге. Казахстан. Магжан Жумабаев ; 2013 ;  ; Cu/Ni ; XF ; 42 ; 6719 ; 62 
 3712 ; 50 тенге. Казахстан. Мукан Телебаев ; 2013 ;  ; Cu/Ni ; XF ; 12 ; Vebr ; 83 
 3713 ; 2 евро. Германия. Гессен ; 2015 ;  ; Би/м ; AU ; 33 ; ersh1 ; 220 
 3714 ; 2 евро. Германия. 25 лет объединения Германии ; 2015 ;  ; Би/м ; AU ; 33 ; nivva ; 286 
 3715 ; 1 доллар. Канада ; 2011 ;  ; Лат ; XF ; 47 ; shura 7 ; 150 
 3716 ; 2 доллара. Канада ; 2014 ;  ; Би/м ; AU ; 23 ; kornum ; 258 
 3717 ; 1/2 сен. Япония ;  ;  ; Br ; VF+ ; 21 ; An12 ; 114 
 3718 ; 2 гривны. Украина. Георгий Воронин ; 2008 ;  ; Cu/Ni ; AU ; 11 ; KHODOVNV77 ; 501 
 3719 ; 2 гривны. Украина. Львовский национальный университет им. И. Франка ; 2011 ;  ; Cu/Ni ; AU ; 13 ; KHODOVNV77 ; 601 
 3720 ; 2 гривны. Украина. Национальный университет"Львовский политехник" ; 2010 ;  ; Cu/Ni ; AU ; 5 ; KHODOVNV77 ; 401 
 3721 ; 2 гривны. Украина. Константин Левицкий ; 2009 ;  ; Cu/Ni ; AU ; 15 ; KHODOVNV77 ; 501 
 3722 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu/Ni ; AU ; 19 ; KHODOVNV77 ; 501 
 3723 ; 2 гривны. Украина. Евгений Петрушевич ; 2008 ;  ; Cu/Ni ; AU ; 9 ; KHODOVNV77 ; 501 
 3724 ; 2 гривны. Украина. Борис Мартос ; 2009 ;  ; Cu/Ni ; AU ; 7 ; KHODOVNV77 ; 501 
 3725 ; 1 пенни. Южная Африка ; 1958 ;  ; Br ; XF ; 24 ; sax ; 73 
 3726 ; 1 эскудо. Кабо Верде ; 1994 ;  ; Br/Fe ; AU ; 8 ; Alina ; 57 
 3727 ; 6 пенсов. Великобритания. Ангнлийский щит ; 1967 ;  ; Cu-Ni ; AU ; 10 ; kornum ; 67 
 3728 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; AU ; 23 ; sneg ; 41 
 3729 ; 1 пенни. Великобритания ; 1953 ;  ; Br ; AU ; 14 ; 1023oxana ; 357 
 3730 ; 1/2 пенни. Великобритания ; 1953 ;  ; Br ; AU ; 13 ; 1023oxana ; 351 
 3731 ; Фартинг. Великобритания ; 1929 ;  ; Br ; AU ; 24 ; igor26 ; 55 
 3732 ; Фартинг. Великобритания ; 1953 ;  ; Br ; AU ; 17 ; dsidorov ; 100 
 3733 ; 3 пенса. Великобритания ; 1953 ;  ; Ni/Br ; AU ; 25 ; кв-4 ; 189 
 3734 ; 1/2 крны. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 22 ; dim66 ; 310 
 3735 ; 2 шиллинга. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 30 ; AID57 ; 327 
 3736 ; 1 шиллинг. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 15 ; кв-4 ; 182 
 3737 ; 1 шиллинг. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 15 ; кв-4 ; 204 
 3738 ; 6 пенсов. Великобритания. Шотландский щит ; 1953 ;  ; Cu-Ni ; AU ; 13 ; dsidorov ; 136 
 3739 ; 20 марок. ГДР. Генрих Манн ; 1971 ;  ; Cu-Ni ; XF ; 15 ; WhiteMouse ; 101 
 3740 ; 10 марок. ГДР. 40 лет ГДР ; 1989А ;  ; Cu-Ni ; XF+ ; 21 ; WhiteMouse ; 240 
 3741 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu-Ni ; XF ; 11 ; stark-2006 ; 90 
 3742 ; 10 марок. ГДР. Фестиваль ; 1973А ;  ; Cu-Ni ; XF+ ; 22 ; stark-2006 ; 101 
 3743 ; 10 марок. ГДР ; 1974А ;  ; Cu-Ni ; XF ; 19 ; Rober ; 79 
 3744 ; 10 марок. ГДР. 20 лет варшавскому договору ; 1975А ;  ; Cu-Ni ; XF ; 32 ; Rober ; 151 
 3745 ; 5 гривен. Украина. 70 лет освобождения Донбаса ; 2013 ;  ; Cu-Ni ; AU ; 27 ; Schwer ; 448 
 3746 ; 5 гривен. Украина. 70 лет Корсунь-Шевченковская битва ; 2014 ;  ; Cu-Ni ; AU ; 25 ; heavy_fly ; 259 
 3747 ; 5 гривен. Украина. Николаев ; 2009 ;  ; Cu-Ni ; XF+ ; 27 ; KHODOVNV77 ; 601 
 3748 ; 2 гривны. Украина. 100 лет хоккею ; 2010 ;  ; Cu-Ni ; AU ; 23 ; KHODOVNV77 ; 701 
 3749 ; 2 пфеннига. Германия ; 1937F ;  ; Br ; VF-XF ; 30 ; dim66 ; 211 
 3750 ; 1 пфенниг Германия ; 1937E ;  ; Br ; XF- ; 15 ; dim66 ; 120 
 3651 ; 25 новых пенсов. Великобритания. На свадьбу ; 1981 ;  ; Cu-Ni ; XF ; 7 ; Ozon ; 115 
 3652 ; 50 центов. Новая Зеландия ; 1977 ;  ; Cu-Ni ; XF ; 14 ; teso ; 101 
 3653 ; 50 пфеннигов. Германия ; 1935D ;  ; Al ; VF- ; 30 ; цеховик ; 61 
 3654 ; 200 марок. Веймар ; 1923F ;  ; Al ; VF ; 15 ; цеховик ; 47 
 3655 ; 5 марок. Финляндия ; 1979 ;  ; Al/Br ; AU ; 33 ; Саня79 ; 83 
 3656 ; 5 марок. Финляндия ; 1993 ;  ; Al/Br ; XF ; 11 ; sneg ; 32 
 3657 ; 5 марок. Финляндия ; 1973 ;  ; Al/Br ; AU ; 26 ; sibirian ; 81 
 3658 ; 200 лир. Италия ; 1992 ;  ; Al/Br ; XF+ ; 21 ; Legio ; 48 
 3659 ; 20 марок. Финляндия ; 1938 ;  ; Al/Br ; XF- ; 30 ; папашаГарпагон ; 312 
 3660 ; 20 марок. Финляндия ; 1934 ;  ; Al/Br ; XF- ; 31 ; нормировщик9 ; 255 
 3661 ; 20 марок. Финляндия ; 1937 ;  ; Al/Br ; XF- ; 16 ; Rosomaha ; 200 
 3662 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; XF- ; 14 ; hanim ; 245 
 3663 ; 10 марок. Финляндия ; 1929 ;  ; Al/Br ; VF+ ; 18 ; папашаГарпагон ; 41 
 3664 ; 10 марок. Финляндия ; 1932 ;  ; Al/Br ; VF+ ; 7 ; An12 ; 58 
 3665 ; 10 марок. Финляндия ; 1931 ;  ; Al/Br ; VF+ ; 10 ; папашаГарпагон ; 128 
 3666 ; 10 марок. Финляндия ; 1938 ;  ; Al/Br ; XF- ; 8 ; папашаГарпагон ; 73 
 3667 ; 10 марок. Финляндия ; 1930 ;  ; Al/Br ; VF ; 11 ; LAB-A ; 47 
 3668 ; 5 марок. Финляндия ; 1951 ;  ; Al/Br ; VF+ ; 20 ; AID57 ; 57 
 3669 ; 5 марок. Финляндия ; 1950 ;  ; Al/Br ; VF+ ; 14 ; Lapin79 ; 50 
 3670 ; 5 марок. Финляндия ; 1949 ;  ; Al/Br ; VF ; 2 ; prostor.71 ; 3 
 3671 ; 5 марок. Финляндия ; 1933 ;  ; Al/Br ; VF+ ; 13 ; нормировщик9 ; 105 
 3672 ; 5 марок. Финляндия ; 1946 ;  ; Al/Br ; F ; 1 ; 312 ; 2 
 3673 ; 5 марок. Финляндия ; 1938 ;  ; Al/Br ; VF+ ; 9 ; An12 ; 57 
 3674 ; 5 марок. Финляндия ; 1948 ;  ; Al/Br ; VF ; 5 ; sneg ; 46 
 3675 ; 5 марок. Финляндия ; 1947 ;  ; Al/Br ; VF+ ; 9 ; sneg ; 31 
 3676 ; 5 марок. Финляндия ; 1937 ;  ; Al/Br ; VF+ ; 7 ; папашаГарпагон ; 46 
 3677 ; 5 марок. Финляндия ; 1931 ;  ; Al/Br ; VF ; 6 ; Бармалей ; 106 
 3678 ; 200 эскудо. Португалия. Педро Альварес Кабрал ; 1999 ;  ; Cu-Ni ; AU ; 24 ; Hamlet ; 242 
 3679 ; 200 эскудо. Португалия. Китай ; 1996 ;  ; Cu-Ni ; AU ; 11 ; VAM ; 250 
 3680 ; 200 эскудо. Португалия. Васко да Гама ; 1998 ;  ; Cu-Ni ; AU ; 20 ; dim66 ; 241 
 3681 ; 200 эскудо. Португалия. Острова Солор и Тимор ; 1998 ;  ; Cu-Ni ; AU ; 25 ; SKeeper ; 240 
 3682 ; 3 даалдерса. Нидерланды ; 1996 ;  ; Cu-Ni ; AU ; 32 ; sibirian ; 250 
 3683 ; 25 центов. Канада. ; 2000 ;  ; Cu-Ni ; XF ; 39 ; sneg ; 81 
 3684 ; 200 эскудо. Португалия. Небесная навигация ; 1991 ;  ; Cu-Ni ; XF+ ; 10 ; СТРЕКОЗА ; 120 
 3685 ; 2 евро. Германия. Мекленбург-Ворпоммерн ; 2007 ;  ; Би/м ; XF ; 27 ; ersh1 ; 240 
 3686 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 16 ; Ozon ; 143 
 3687 ; 2 евро. Германия ; 2004 ;  ; Би/м ; XF ; 11 ; nivva ; 197 
 3688 ; 2 евро. Финляндия ; 2006 ;  ; Би/м ; XF ; 24 ; WhiteMouse ; 136 
 3689 ; 2 евро. Франция ; 1999 ;  ; Би/м ; XF ; 19 ; Ozon ; 136 
 3690 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 9 ; sever55 ; 174 
 3691 ; 2 евро. Германия ; 2002 ;  ; Би/м ; XF ; 15 ; Devera ; 119 
 3692 ; 2 евро. Италия ; 2002 ;  ; Би/м ; XF ; 16 ; Ozon ; 126 
 3693 ; 2 евро. Италия ; 2005 ;  ; Би/м ; XF ; 17 ; Devera ; 129 
 3694 ; 20 злотых. Польша. Корабль ; 1980 ;  ; Cu/Ni ; XF ; 9 ; Victory-2001 ; 296 
 3695 ; 50 злотых. Польша. F.A.O. ; 1981 ;  ; Cu/Ni ; XF ; 16 ; stark-2006 ; 85 
 3696 ; 50 злотых. Польша. Болеслав III ; 1982 ;  ; Cu/Ni ; XF ; 17 ; Victory-2001 ; 115 
 3697 ; 50 злотых. Польша. Владислав Сикорской ; 1981 ;  ; Cu/Ni ; XF ; 25 ; stark-2006 ; 112 
 3698 ; 10 злотых. Польша. 25 лет войска польского ; 1968 ;  ; Cu/Ni ; XF ; 21 ; Victory-2001 ; 113 
 3699 ; 20 злотых. Польша. Год женщины ; 1975 ;  ; Cu/Ni ; XF ; 21 ; Victory-2001 ; 139 
 3700 ; 50 злотых. Польша. Болеслав II ; 1981 ;  ; Cu/Ni ; XF ; 19 ; stark-2006 ; 112 
 3601 ; 1 цент. Ямайка. Упаковка ; 1973 ;  ; Br ; Proof ; 15 ; Lapin79 ; 57 
 3602 ; 2 евро. Финляндия. Туве Янссон ; 2014 ;  ; Би/м ; XF ; 25 ; sever55 ; 200 
 3603 ; 1 фартинг. Великобритания ; 1956 ;  ; Br ; AU ; 13 ; dim66 ; 36 
 3604 ; 5 пенни. Финляндия ; 1941 ;  ; Br ; AU ; 22 ; dim66 ; 102 
 3605 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu/Ni ; AU ; 22 ; DIMA 57 ; 136 
 3606 ; 50 тенге. Казахстан. Медведь ; 2008 ;  ; Cu-Ni ; XF+ ; 48 ; k1reeff ; 375 
 3607 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu-Ni ; AU ; 25 ; 6719 ; 76 
 3608 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu-Ni ; AU ; 28 ; нормировщик9 ; 133 
 3609 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; XF+ ; 20 ; 6719 ; 111 
 3610 ; 20 тенге. Казахстан. 20 лет тенге ; 2013 ;  ; Cu-Ni ; AU ; 20 ; Vebr ; 121 
 3611 ; 20 крон. Норвегия ; 2014 ;  ; Лат ; XF+ ; 42 ; vb96 ; 419 
 3612 ; 2 евро. Франция. 10 лет введения евро ; 2009 ;  ; Би/м ; XF- ; 26 ; ersh1 ; 240 
 3613 ; 2 евро. Германия. 10 лет введения евро ; 2009 ;  ; Би/м ; XF ; 24 ; ersh1 ; 187 
 3614 ; 2 евро. Греция. 10 лет введения евро ; 2009 ;  ; Би/м ; XF ; 24 ; ersh1 ; 250 
 3615 ; 2 евро. Франция. 10 лет введения наличного евро ; 2012 ;  ; Би/м ; XF ; 29 ; альтаир ; 219 
 3616 ; 2 евро. Германия. 10 лет введения наличного евро ; 2012 ;  ; Би/м ; XF ; 29 ; ersh1 ; 235 
 3617 ; 2 евро. Эстония.10 лет введения наличного евро ; 2012 ;  ; Би/м ; XF+ ; 10 ; всыня ; 160 
 3618 ; 2 евро. Австрия. 10 лет введения наличного евро ; 2012 ;  ; Би/м ; XF+ ; 31 ; ersh1 ; 215 
 3619 ; 10 экю. Нидерланды ; 1995 ;  ; Cu/Ni ; AU ; 26 ; VitorioVeneto ; 166 
 3620 ; 10 экю. Нидерланды ; 1993 ;  ; Cu/Ni ; AU ; 21 ; VitorioVeneto ; 170 
 3621 ; 21/2 экю. Нидерланды ; 1992 ;  ; Cu/Ni ; AU ; 17 ; VitorioVeneto ; 162 
 3622 ; 1 доллар. Ниуэ ; 2010 ;  ; Cu/Ni ; AU ; 50 ; Reverse ; 532 
 3623 ; 1 доллар. Либерия. Экспедиция в Кон-Тики ; 1997 ;  ; Cu/Ni ; AU ; 28 ; Bronco ; 538 
 3624 ; 1 крона. Гибралтар. Трафальгарская битва ; 2005 ;  ; Cu/Ni ; AU ; 21 ; Bronco ; 711 
 3625 ; 2 доллара. Барбадос ; 1980 ;  ; Cu/Ni ; AU ; 22 ; REC ; 516 
 3626 ; 25 пенсов. Джерси. ; 1977 ;  ; Cu/Ni ; AU ; 13 ; unix ; 159 
 3627 ; 25 пенсов. Джерси. ; 1977 ;  ; Cu/Ni ; AU ; 10 ; Семен ; 160 
 3628 ; 10 даласис. Гамбия. Визит Папы ; 1992 ;  ; Cu/Ni ; AU ; 39 ; SKeeper ; 514 
 3629 ; 1 доллар. Либерия ; 1993 ;  ; Cu/Ni ; AU ; 19 ; SKeeper ; 303 
 3630 ; 1 крон. Фолклендские о-ва. Самолеты ; 2008 ;  ; Cu/Ni ; AU ; 29 ; Reverse ; 535 
 3631 ; 1 крон. Фолклендские о-ва. Самолеты ; 2008 ;  ; Cu/Ni ; AU ; 22 ; Reverse ; 528 
 3632 ; 10 писо. Филиппины ; 1988 ;  ; Cu/Ni ; AU ; 25 ; andy2012 ; 101 
 3633 ; 50 пенсов. Остров Вознесения. Принц Андрю ; 1984 ;  ; Cu/Ni ; AU ; 52 ; Reverse ; 522 
 3634 ; 1 крона. Тристан да Кунья ; 2011 ;  ; Cu/Ni ; AU ; 20 ; Reverse ; 308 
 3635 ; 1 доллар. Виргинские о-ва. Июнь 1944г ; 2004 ;  ; Cu/Ni ; XF+ ; 27 ; Reverse ; 546 
 3636 ; 1 доллар. Виргинские о-ва. Принц Георг ; 2013 ;  ; Cu/Ni ; AU ; 27 ; Reverse ; 513 
 3637 ; 1 доллар. Виргинские о-ва.  Авиация ; 2009 ;  ; Cu/Ni ; AU ; 25 ; Reverse ; 546 
 3638 ; 1 крона. Остров Мен. Год океана. Акула ; 1998 ;  ; Cu/Ni ; AU ; 30 ; Reverse ; 619 
 3639 ; 1 крона. Остров Мен. Кошка ; 1996 ;  ; Cu/Ni ; XF ; 21 ; chebeer ; 411 
 3640 ; 1 крона. Остров Мен. Год океана. Парусники ; 1998 ;  ; Cu/Ni ; AU ; 23 ; Bronco ; 634 
 3641 ; 1 крона. Остров Мен. Птицы ; 1996 ;  ; Cu/Ni ; AU ; 10 ; chebeer ; 454 
 3642 ; 1 крона. Остров Мен. Самолеты ; 2009 ;  ; Cu/Ni ; AU ; 19 ; Reverse ; 545 
 3643 ; 1 крона. Остров Мен. Самолет ; 1995 ;  ; Cu/Ni ; AU ; 25 ; Reverse ; 510 
 3644 ; 500 ир. Сан-Марино. ФАО ; 1995 ;  ; Би/м ; AU ; 24 ; t_v_v ; 93 
 3645 ; 500 ир. Сан-Марино. ; 1994 ;  ; Би/м ; AU ; 15 ; kornum ; 101 
 3646 ; 500 ир. Сан-Марино. ; 1992 ;  ; Би/м ; AU ; 16 ; t_v_v ; 92 
