 5875 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 21 ; u10257 ; 100 
 3844 ; 5 гривен. Украина. Богуслав ; 2008 ;  ; Cu-Ni ; AU ; 11 ; SKeeper ; 153 
 3845 ; 5 гривен. Украина. Корсунь-Шевченковская битва ; 2014 ;  ; Cu-Ni ; AU ; 9 ; страус ; 157 
 3846 ; 5 гривен. Украина. Збараж ; 2011 ;  ; Cu-Ni ; AU ; 9 ; SKeeper ; 153 
 3847 ; 10 марок. ФРГ. Гете. Буклет ; 1999F ;  ; Ag ; AU ; 23 ; klv ; 558 
 3848 ; 10 марок. ФРГ. 300 лет Франковскому пожертвованию. Буклет ; 1998A ;  ; Ag ; AU ; 23 ; старом ; 553 
 3849 ; 10 марок. ФРГ. 10 лет единой Германии. Буклет ; 2000D ;  ; Ag ; AU ; 21 ; sever55 ; 580 
 3850 ; 10 марок. ФРГ. Лортциг. Буклет ; 2001J ;  ; Ag ; AU ; 29 ; klv ; 558 
 3851 ; 10 марок. ФРГ. 50 лет. Буклет ; 2001G ;  ; Ag ; AU ; 28 ; sever55 ; 600 
 3852 ; 10 марок. ФРГ. Бах. Буклет ; 2000F ;  ; Ag ; AU ; 19 ; klv ; 558 
 3853 ; 10 марок. ФРГ. Природа, Техника, Человек. Буклет ; 2000A ;  ; Ag ; AU ; 23 ; klv ; 568 
 3854 ; 10 марок. ФРГ. 100 лет Дизельному мотору. Буклет ; 1997 ;  ; Ag ; AU ; 34 ; 8822 ; 816 
 3855 ; 10 марок. ФРГ. 1200 лет Аахену. Буклет ; 2000G ;  ; Ag ; AU ; 18 ; sever55 ; 561 
 3856 ; 10 марок. ФРГ. Хильдегард. Буклет ; 1998G ;  ; Ag ; AU ; 14 ; dim66 ; 512 
 3857 ; 10 марок. ФРГ. 50 лет. Буклет ; 1999J ;  ; Ag ; AU ; 16 ; dim66 ; 551 
 3858 ; 10 марок. ФРГ. 50 лет. Буклет ; 1999D ;  ; Ag ; AU ; 25 ; dim66 ; 579 
 3859 ; 10 марок. ФРГ. Вестфалия. Буклет ; 1998J ;  ; Ag ; AU ; 23 ; mefody73 ; 568 
 3860 ; 10 марок. ФРГ. Гейне. Буклет ; 1997D ;  ; Ag ; AU ; 20 ; dim66 ; 512 
 3861 ; 10 марок. ФРГ. Стральзунд. Буклет ; 2001A ;  ; Ag ; AU ; 29 ; старом ; 605 
 3862 ; 5 пенго. Венгрия + Банкнота. Конверт, марка ; 1945 ;  ; Al ; AU ; 36 ; dencon ; 410 
 3863 ; Набор монет Германии 5,2,1 евроцент  (3шт) ; 2005 ;  ; cu/St ; AU ; 7 ; Vanka ; 50 
 3864 ; Лот монет Германии и Австрии: 13шт ;  ;  ; Br,Fe,Al ; F-/XF ; 20 ; YAV71 ; 232 
 3865 ; Набор монет Германии 50 пфеннигов (2шт) ; 1982,1994 ;  ; Cu-Ni,Al ; AU ; 28 ; dim66 ; 84 
 3866 ; 100 франков. Франция ; 1989 ;  ; Ag ; Proof ; 16 ; vovaT25 ; 1074 
 3867 ; 1 марка. Германия. Буклет ; 1992 ;  ; Cu-Ni ; AU ; 23 ; banks ; 120 
 3868 ; 1 евро. Германия. Буклет ; 2002 ;  ; Би/м ; AU ; 21 ; banks ; 127 
 3869 ; Набор монет США: 1 доллар (4шт). В пластиковой упаковке ; 2007 ;  ; Ж/м ; Proof ; 36 ; forserg ; 601 
 3870 ; Набор монет Польши: 9шт + жетон. Буклет ; 2007-2010 ;  ; Cu-Ni,Лат ; AU ; 22 ; Zarik ; 579 
 3871 ; Набор монет Уругвая: 4шт. Буклет ; 2011 ;  ; Лат,Би/м ; AU ; 20 ; елец ; 143 
 3772 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 9 ; boroda ; 153 
 3773 ; 5 гривен. Украина. 110 лет Киевскому фуникулеру ; 2015 ;  ; Cu-Ni ; AU ; 7 ; boroda ; 147 
 3774 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF+ ; 14 ; krugerrand ; 305 
 3775 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF-XF ; 15 ; predicat ; 308 
 3776 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF-XF ; 11 ; Мотя ; 273 
 3777 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF-XF ; 15 ; Мотя ; 157 
 3778 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF+ ; 9 ; DeusEx ; 155 
 3779 ; 10 сентимо. Испания ; 1878 ;  ; Br ; VF ; 28 ; дилитант ; 102 
 3780 ; 1 далер. Швеция ; 1718 ;  ; Br ; F+ ; 31 ; vihufa ; 616 
 3781 ; 1 доллар. США ; 1972D ;  ; Cu-Ni ; XF+ ; 21 ; Звездолёты ; 131 
 3782 ; 1 доллар. США ; 1971D ;  ; Cu-Ni ; XF+ ; 12 ; Звездолёты ; 128 
 3783 ; 2 марки. ФРГ. "Гашеная" монета ; 1979 ;  ; Cu-Ni ; VF ; 31 ; kont ; 310 
 3784 ; 5 долларов. Либерия ; 2000 ;  ; Cu-Ni ; Proof ; 26 ; gama ; 337 
 3785 ; 2  хеллера. Австрия ; 1914 ;  ; Br ; VF ; 13 ; Александр974 ; 37 
 3786 ; 2 пфеннига. Германия ; 1875 ;  ; Br ; VF ; 11 ; страус ; 39 
 3787 ; 2 пфеннига. Германия ; 1904 ;  ; Br ; VF ; 17 ; Zarik ; 45 
 3788 ; 1 пфенниг. Веймар ; 1931E ;  ; Br ; XF ; 24 ; corsar ; 41 
 3789 ; 20 хеллеров. Австрия ; 1894 ;  ; Cu-Ni ; VF- ; 20 ; Dirt ; 51 
 3790 ; 20 хеллеров. Австрия ; 1918 ;  ; Fe ; F-VF ; 20 ; tolegv ; 37 
 3791 ; 2 хеллера. Австрия ; 1918 ;  ; Fe ; F-VF ; 9 ; krugerrand ; 45 
 3792 ; 50 пфеннигов. Веймар ; 1928 ;  ; Cu-Ni ; VF ; 37 ; Zarik ; 152 
 3793 ; 1 марка. Веймар ; 1933 ;  ; Cu-Ni ; F+ ; 14 ; иржик86 ; 238 
 3794 ; 100 песет. Испания ; 1980 ;  ; Cu-Ni ; XF ; 17 ; Александр974 ; 66 
 3795 ; 50 песет. Испания ; 1980 ;  ; Cu-Ni ; XF ; 14 ; Aurora810 ; 82 
 3796 ; 50 пенни. Финлнядия ; 1939 ;  ; Cu-Ni ; XF ; 8 ; dim66 ; 57 
 3797 ; 5 марок. ГДР. Мейсен ; 1972 ;  ; Cu-Ni ; XF- ; 14 ; SKeeper ; 70 
 3798 ; 200 песет. Испания ; 1996 ;  ; Cu-Ni ; XF+ ; 24 ; karl ; 186 
 3799 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; XF ; 15 ; дитрих11 ; 114 
 3800 ; 200 песет. Испания ; 1986 ;  ; Cu-Ni ; XF- ; 13 ; Враг ; 28 
 3801 ; 5 сен Япония ;  ;  ; Cu-Ni ; VF ; 12 ; NL.minkki ; 160 
 3802 ; Монета Непал ;  ;  ; Cu-Ni ; XF ; 31 ; Dahan ; 116 
 3803 ; 1 крона. Дания ; 1963 ;  ; Cu-Ni ; XF ; 10 ; SKeeper ; 23 
 3804 ; 5 марок. Финляндия ; 1993 ;  ; Al/Br ; XF+ ; 18 ; страус ; 55 
 3805 ; 25 песет. Испания ; 1995 ;  ; Al/Br ; XF ; 7 ; Шипк ; 35 
 3806 ; 10 марок. Финляндия ; 1931 ;  ; Al/Br ; XF ; 23 ; tss ; 184 
 3807 ; 2 кроны. Дания ; 1952 ;  ; Al/Br ; VF+ ; 16 ; SKeeper ; 68 
 3808 ; 5 марок. Финляндия ; 1972 ;  ; Al/Br ; XF ; 16 ; sibirian ; 81 
 3809 ; Жетон ;  ;  ; Al/Br ; XF- ; 15 ; Zarik ; 51 
 3810 ; 100 песет. Испания ;  ;  ; Al/Br ; XF ; 14 ; Александ98 ; 75 
 3811 ; 20 хеллеров. Немецкая Ост-Африка ; 1916 ;  ; Al/Br ; F ; 24 ; Юнг ; 274 
 3812 ; 10 пфеннигов. Германия ; 1937E ;  ; Al/Br ; VF+ ; 46 ; vvp ; 765 
 3813 ; 1 крона. Дания ; 1925 ;  ; Al/Br ; VF ; 16 ; Heawen ; 49 
 3814 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF-XF ; 15 ; tss ; 187 
 3815 ; 5 марок. Финляндия ; 1979 ;  ; Al/Br ; XF ; 16 ; bliznetz ; 111 
 3816 ; 5 марок. Финляндия ; 1951 ;  ; Al/Br ; XF ; 9 ; tss ; 79 
 3817 ; 20 марок. Финляндия ; 1961 ;  ; Al/Br ; XF- ; 39 ; tss ; 227 
 3818 ; 50 пенни. Финляндия ; 1987 ;  ; Al/Br ; XF+ ; 34 ; andy2012 ; 114 
 3819 ; 50 марок. Финляндия ; 1953 ;  ; Al/Br ; VF+ ; 17 ; kotok ; 101 
 3820 ; 10 марок. ГДР. Мемориал в Бухенвальде ; 1972 ;  ; Cu-Ni ; XF ; 21 ; new life ; 102 
 3821 ; 20 марок. ГДР. 85 лет со дня рождения Эрнста Тельмана ; 1971 ;  ; Cu-Ni ; XF ; 10 ; cotangens ; 67 
 3722 ; 50 тенге. Казахстан. Атырау Запайка ; 2012 ;  ; Cu-Ni ; AU ; 35 ; Vol4en0k ; 312 
 3723 ; 50 тенге. Казахстан. Павлодар. Запайка ; 2012 ;  ; Cu-Ni ; AU ; 29 ; Vol4en0k ; 312 
 3724 ; 5 юаней. Китай ; 2011 ;  ; Латунь ; AU ; 33 ; Sky2 ; 225 
 3725 ; 1 юань. Китай. 70 лет победы ; 2015 ;  ; Cu-Ni ; AU ; 37 ; seva777 ; 324 
 3726 ; 1/2 пенни. Австралия ; 1964 ;  ; Br ; XF ; 26 ; whatis.ru ; 134 
 3727 ; 10 марок. ГДР. Мемориал в Бухенвальде ; 1972 ;  ; Cu-Ni ; XF ; 11 ; Jana ; 114 
 3728 ; 20 марок. ГДР. 85 лет со дня рождения Эрнста Тельмана ; 1971 ;  ; Cu-Ni ; XF ; 13 ; corsar ; 70 
 3729 ; 20 марок. ГДР. 100 лет со дня рождения Генриха Манна ; 1971 ;  ; Cu-Ni ; XF ; 13 ; Aurora810 ; 126 
 3730 ; 50 центов. Австралия ; 1977 ;  ; Cu-Ni ; XF ; 14 ; SKeeper ; 96 
 3731 ; 1 пенни. Австралия ; 1949 ;  ; Br ; VF- ; 4 ; SKeeper ; 35 
 3732 ; 4 крейцера. Австрия ; 1860 ;  ; Br ; F ; 10 ; t_v_v ; 88 
 3733 ; 25 сантимов. Бельгия ; 1944 ;  ; Zn ; F-VF ; 9 ; Zигмунт ; 40 
 3734 ; 50 пфеннигов. Веймар ; 1921A ;  ; Al ; XF- ; 7 ; Zигмунт ; 38 
 3735 ; 50 пфеннигов. Веймар ; 1920D ;  ; Al ; XF- ; 5 ; dim66 ; 32 
 3736 ; 200 марок. Веймар ; 1923D ;  ; Al ; XF- ; 19 ; t_v_v ; 57 
 3737 ; 1 флорин. Австралия ; 1946 ;  ; Ag ; VF ; 14 ; Zarik ; 334 
 3738 ; 100 шиллингов. Австрия. Нестрой ; 1976 ;  ; Ag ; Proof ; 45 ; елец ; 1024 
 3739 ; 3 пенса. Австралия ; 1959 ;  ; Ag ; XF ; 18 ; SKeeper ; 89 
 3740 ; 6 пенсов. Австралия ; 1963 ;  ; Ag ; VF ; 16 ; 47154 ; 115 
 3741 ; 20 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF ; 7 ; ag58 ; 38 
 3742 ; 10 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF ; 5 ; qver ; 36 
 3743 ; 10 стотинок. Болгария ; 1888 ;  ; Cu-Ni ; F ; 11 ; страус ; 42 
 3744 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF ; 6 ; митяй ; 38 
 3745 ; 1 стотинка. Болгария ; 1912 ;  ; Br ; F ; 7 ; karl ; 45 
 3746 ; 2 стотинк. Болгария ; 1912 ;  ; Br ; VF+ ; 18 ; krugerrand ; 102 
 3747 ; 2 лева. Болгария ; 1910 ;  ; Ag ; VF+ ; 41 ; сама71 ; 969 
 3748 ; 1/2 рупия. Афганистан ;  ;  ; Ag ; F-VF ; 36 ; mkm1968 ; 459 
 3749 ; 1 рупия. Афганистан ; 1349 ;  ; Ag ; VF- ; 26 ; mkm1968 ; 459 
 3750 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; XF- ; 13 ; egozov ; 153 
 3751 ; 10 шиллингов. Австрия ; 1967 ;  ; Ag ; XF- ; 5 ; Масясик ; 169 
 3752 ; 10 центов. Канада ; 1910 ;  ; Ag ; VF ; 25 ; zx123 ; 238 
 3753 ; 25 центов. Канада ; 1943 ;  ; Ag ; F+ ; 24 ; Александ98 ; 104 
 3754 ; 50 центов. Канада ; 1958 ;  ; Ag ; XF ; 8 ; Масясик ; 379 
 3755 ; 10 центов. Канада ; 1955 ;  ; Ag ; F ; 25 ; Александ98 ; 77 
 3756 ; 25 эре. Дания ; 1891 ;  ; Ag ; F+ ; 15 ; zx123 ; 255 
 3757 ; 2 франка. Франция ; 1866 ;  ; Ag ; F ; 37 ; wv ; 276 
 3758 ; 20 лепта. Греция ; 1874 ;  ; Ag ; F+ ; 15 ; нионила ; 416 
 3759 ; 1 дайм. США ; 1947 ;  ; Ag ; VF+ ; 7 ; DeusEx ; 113 
 3760 ; 25 центов. Канада ; 1912 ;  ; Ag ; VF+ ; 13 ; Ю42 ; 745 
 3761 ; 1000 динаров. Иран ; 1299 ;  ; Ag ; VF ; 25 ; Ok203 ; 720 
 3762 ; 1 песо. Чили ; 1933 ;  ; Cu-Ni ; VF+ ; 16 ; Zarik ; 123 
 3763 ; 20 раппен. Швейцария ; 1903 ;  ; Cu-Ni ; VF ; 15 ; Прокурор ; 153 
 3764 ; 5 пфеннигов. Данциг ; 1928 ;  ; Cu-Ni ; VF- ; 27 ; агент Холдер ; 403 
 3765 ; 1 цент. Канада ; 1911 ;  ; Br ; VF- ; 5 ; Масясик ; 77 
 3766 ; 1 цент. Канада ; 1903 ;  ; Br ; VF- ; 12 ; t_v_v ; 83 
 3767 ; 1 цент. Канада ; 1884 ;  ; Br ; VF ; 45 ; kornum ; 308 
 3768 ; 100 крон. Эстония. Ласточки ; 1992 ;  ; Ag ; AU ; 19 ; Redkyt ; 1274 
 3769 ; 2 фунта. Великобритания. XXX Летние Олимпийские игры ; 2012 ;  ; Би/м ; Proof ; 41 ; елец ; 1134 
 3770 ; 5 гривен. Украина. 500 лет битвы под Оршей ; 2014 ;  ; Cu-Ni ; AU ; 56 ; Sky2 ; 369 
 3771 ; 5 гривен. Украина. Успенский собор ; 2015 ;  ; Cu-Ni ; AU ; 7 ; boroda ; 191 
 3672 ; 2 гривны. Украина. Олимпиада ; 2000 ;  ; Cu-Ni ; VF-XF ; 8 ; Mike! ; 714 
 3673 ; 5 гривен. Украина. 2500 лет Балаклава ; 2004 ;  ; Cu-Ni ; AU ; 16 ; kornum ; 1134 
 3674 ; 2 гривны. Украина. Борис Лятошинский ; 2005 ;  ; Cu-Ni ; AU ; 6 ; Mike! ; 579 
 3675 ; 5 гривен. Украина. Театр оперы и балета ; 2007 ;  ; Cu-Ni ; AU ; 4 ; Mike! ; 353 
 3676 ; 5 гривен. Украина. Снятин ; 2008 ;  ; Cu-Ni ; AU ; 3 ; 338 ; 257 
 3677 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 612 
 3678 ; 2 гривны. Украина. Леонид Глебов ; 2002 ;  ; Cu-Ni ; VF-XF ; 18 ; Mike! ; 411 
 3679 ; 20 вон. Северная Корея. Год Козы ; 2009 ;  ; Латунь ; Proof ; 3 ; Mike! ; 222 
 3680 ; 20 вон. Северная Корея. Год Собаки ; 2009 ;  ; Латунь ; Proof ; 3 ; Mike! ; 222 
 3681 ; 20 вон. Северная Корея. Год Кролика ; 2009 ;  ; Латунь ; Proof ; 10 ; alapabula ; 350 
 3682 ; 2 гривны. Украина. Борис Лятошинский ; 2005 ;  ; Cu-Ni ; AU ; 15 ; lbah1 ; 567 
 3683 ; 5 гривен. Украина. Киевский фуникулер ; 2015 ;  ; Cu-Ni ; AU ; 4 ; lbah1 ; 263 
 3684 ; 5 гривен. Украина. Лира ; 2004 ;  ; Би/м ; AU ; 41 ; Опятор ; 571 
 3685 ; 2 гривны. Украина. Стерлядь ; 2012 ;  ; Cu-Ni ; AU ; 13 ; starkov_n ; 300 
 3686 ; 5 гривен. Украина. Самолеты Украины ; 2005 ;  ; Cu-Ni ; AU ; 10 ; Mike! ; 343 
 3687 ; 5 гривен. Украина. Судак ; 2012 ;  ; Cu-Ni ; AU ; 4 ; Mike! ; 388 
 3688 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; XF ; 15 ; Mike! ; 665 
 3689 ; 1 флорин. Австрия ; 1878 ;  ; Ag ; XF+ ; 25 ; egozov ; 1143 
 3690 ; 3 пфеннига. Пруссия ; 1823D ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3691 ; 1/2 крейцера. Баден ; 1851 ;  ; Cu ; VF- ; 4 ; Mike! ; 222 
 3692 ; 1 франк. Марокко ;  ;  ; Cu-Ni ; VF+ ; 8 ; Mike! ; 155 
 3693 ; 5 гривен. Украина. Вышивание ; 2013 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 555 
 3694 ; 5 гривен. Украина. Чигирин ; 2012 ;  ; Cu-Ni ; AU ; 3 ; 338 ; 257 
 3695 ; 2 гривны. Украина. Олимпиада ; 2000 ;  ; Cu-Ni ; XF ; 12 ; Mike! ; 809 
 3696 ; 1/4 кетцаля. Гватемала ; 1946 ;  ; Ag ; VF- ; 6 ; Grey 13 ; 567 
 3697 ; 10 франков. Люксембург ; 1976 ;  ; Cu-Ni ; XF ; 6 ; митяй ; 59 
 3698 ; 5 гривен. Украина. Казацкие поселения ; 2005 ;  ; Cu-Ni ; XF+ ; 14 ; 338 ; 319 
 3699 ; 200000 карбованцев. Украина. Олимпиада ; 1996 ;  ; Cu-Ni ; Proof ; 7 ; Sky2 ; 371 
 3700 ; 200 эскудо. Португалия. Олимпиада ; 1992 ;  ; Cu-Ni ; AU ; 10 ; t_v_v ; 114 
 3701 ; 5 гривен. Украина. Ивано-Франковская область ; 2014 ;  ; Би/м ; AU ; 1 ; Mike! ; 373 
 3702 ; 20 марок. ГДР. Эрнст Тельманн ; 1971 ;  ; Cu-Ni ; XF ; 8 ; new life ; 151 
 3703 ; 5 гривен. Украина. Харьков ; 2004 ;  ; Cu-Ni ; XF ; 6 ; Mike! ; 1234 
 3704 ; 100 песет. Испания ; 1999 ;  ; Латунь ; XF ; 4 ; митяй ; 70 
 3705 ; 200000 карбованцев. Украина. Одесса. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 27 ; PolAn ; 941 
 3706 ; 1 флорин. Великобритания ; 1920 ;  ; Ag ; F+ ; 35 ; дилитант ; 206 
 3707 ; 50 тенге. Казахстан. Ассамблея. Запайка ; 2015 ;  ; Cu-Ni ; AU ; 20 ; Vol4en0k ; 170 
 3708 ; 50 тенге. Казахстан. 70 лет победы. Запайка ; 2015 ;  ; Cu-Ni ; AU ; 27 ; Vol4en0k ; 265 
 3709 ; 50 тенге. Казахстан. Буран. Запайка ; 2014 ;  ; Cu-Ni ; AU ; 20 ; Vol4en0k ; 216 
 3710 ; 50 тенге. Казахстан. МКС. Запайка ; 2013 ;  ; Cu-Ni ; AU ; 22 ; Vol4en0k ; 316 
 3711 ; 50 тенге. Казахстан. 20 лет конституции. Запайка ; 2015 ;  ; Cu-Ni ; AU ; 18 ; Vol4en0k ; 181 
 3712 ; 50 тенге. Казахстан. Тайказан. Запайка ; 2014 ;  ; Cu-Ni ; AU ; 22 ; Vol4en0k ; 175 
 3713 ; 50 тенге. Казахстан. 550 лет Казахскому ханству. Запайка ; 2015 ;  ; Cu-Ni ; AU ; 17 ; Vol4en0k ; 170 
 3714 ; 50 тенге. Казахстан. Сирко. Запайка ; 2014 ;  ; Cu-Ni ; AU ; 43 ; Vol4en0k ; 261 
 3715 ; 50 тенге. Казахстан. Тарас Шевченко. Запайка ; 2014 ;  ; Cu-Ni ; AU ; 27 ; Vol4en0k ; 265 
 3716 ; 50 тенге. Казахстан. 70 лет победы. Запайка ; 2015 ;  ; Cu-Ni ; AU ; 11 ; kornum ; 214 
 3717 ; 50 тенге. Казахстан. Ёж. Запайка ; 2013 ;  ; Cu-Ni ; AU ; 28 ; Vol4en0k ; 316 
 3718 ; 50 тенге. Казахстан. ШоканЗапайка ; 2014 ;  ; Cu-Ni ; AU ; 19 ; Vol4en0k ; 214 
 3719 ; 50 тенге. Казахстан. АбайЗапайка ; 2015 ;  ; Cu-Ni ; AU ; 26 ; Vol4en0k ; 203 
 3720 ; 50 тенге. Казахстан. Манул. Запайка ; 2014 ;  ; Cu-Ni ; AU ; 41 ; Vol4en0k ; 514 
 3721 ; 50 тенге. Казахстан. Актау Запайка ; 2012 ;  ; Cu-Ni ; AU ; 31 ; Vol4en0k ; 312 
 3622 ; 50 центов. Канада ; 1940 ;  ; Ag ; XF ; 27 ; 8822 ; 793 
 3623 ; 5 марок. ГДР. Мейсен ; 1972 ;  ; Cu-Ni ; XF ; 14 ; new life ; 155 
 3624 ; 200 эскудо. Португалия. Навигация ; 1991 ;  ; Cu-Ni ; XF ; 3 ; Mike! ; 111 
 3625 ; 6 пенсов. Австралия ; 1955 ;  ; Ag ; VF ; 3 ; Mike! ; 131 
 3626 ; 5 гривен. Украина. Полтава ; 2001 ;  ; Cu-Ni ; XF ; 24 ; Mike! ; 516 
 3627 ; 5 бат. Тайланд ;  ;  ; Cu-Ni ; XF ; 10 ; кот баюн ; 77 
 3628 ; 200 эскудо. Португалия. Президентство в ЕС ; 1992 ;  ; Cu-Ni ; XF+ ; 3 ; Mike! ; 111 
 3629 ; 1 экю. Нидерланды ; 1998 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 155 
 3630 ; 100 эскудо. Португалия. Амадео ди Соза ; 1987 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 111 
 3631 ; 200 эскудо. Португалия. Президентство в ЕС ; 1992 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 111 
 3632 ; 5 сантимов. Франция ; 1916 ;  ; Cu ; VF ; 3 ; Mike! ; 121 
 3633 ; 100 рейс Португалия ; 1900 ;  ; Cu-Ni ; F-VF ; 1 ; Mike! ; 111 
 3634 ; 20 центов. Австралия ; 2010 ;  ; Cu-Ni ; XF ; 3 ; Mike! ; 111 
 3635 ; 2-1/2сантима. Люксембург ; 1854 ;  ; Br ; VF ; 3 ; Zarik ; 126 
 3636 ; 6 пенсов. Австралия ; 1963 ;  ; Ag ; VF ; 4 ; Zarik ; 134 
 3637 ; 1 песета. Испания ; 1900 ;  ; Ag ; F-VF ; 11 ; Mike! ; 300 
 3638 ; 200 эскудо. Португалия. Экспо 98 ; 1998 ;  ; Би/м ; AU ; 5 ; Mike! ; 111 
 3639 ; 25 эре. Швеция ; 1958 ;  ; Ag ; VF ; 5 ; Mike! ; 66 
 3640 ; 10 франков. Монако ; 1976 ;  ; Латунь ; XF ; 17 ; kornum ; 235 
 3641 ; 100 эскудо. Португалия. Бартоломео Диас ; 1988 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 111 
 3642 ; 50 пенсов. Фолклендские острова. ; 1985 ;  ; Cu-Ni ; XF ; 3 ; Mike! ; 333 
 3643 ; 200 эскудо. Португалия. Эспингарда ; 1993 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 111 
 3644 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3645 ; 5 гривен. Украина. Ровненская область ; 2014 ;  ; Би/м ; AU ; 13 ; Mike! ; 394 
 3646 ; 2 гривны. Украина. Вячеслав Прокопович ; 2006 ;  ; Cu-Ni ; AU ; 5 ; 338 ; 257 
 3647 ; 200 эскудо. Португалия. Эспингарда ; 1993 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 111 
 3648 ; 10 сантимов. Франция ; 1903 ;  ; Cu ; VF ; 3 ; Mike! ; 121 
 3649 ; 1/10 гульдена. Нидерландская Индия ; 1930 ;  ; Ag ; VF+ ; 28 ; predicat ; 200 
 3650 ; 1 пфенниг. Бавария ; 1871 ;  ; Cu ; VF ; 1 ; Mike! ; 222 
 3651 ; 25 шиллингов. Австрия. Раймунд ; 1966 ;  ; Ag ; AU ; 17 ; Mike! ; 475 
 3652 ; 5 гривен. Украина. Спас ; 2010 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 232 
 3653 ; 10 франков. Франция ; 1930 ;  ; Ag ; VF+ ; 24 ; prince1959 ; 450 
 3654 ; 5 гривен. Украина. Освобождение Харькова ; 2013 ;  ; Cu-Ni ; AU ; 34 ; Mike! ; 503 
 3655 ; 20 вон. Северная Корея. Год Лошади ; 2009 ;  ; Латунь ; Proof ; 3 ; Mike! ; 222 
 3656 ; 25 центов. Канада ; 1967 ;  ; Ag ; XF ; 9 ; Sky2 ; 261 
 3657 ; 2 марки. ФРГ ; 1965J ;  ; Cu-Ni ; XF- ; 13 ; Mike! ; 198 
 3658 ; 1 корона. Венгрия ; 1894 ;  ; Ag ; F-VF ; 13 ; wv ; 306 
 3659 ; 2 цента. Нидерландская Индия ; 1838 ;  ; Cu ; VG ; 1 ; Mike! ; 111 
 3660 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 3 ; 338 ; 257 
 3661 ; 2 гривны. Украина. Мария Заньковецкая ; 2004 ;  ; Cu-Ni ; AU ; 6 ; lbah1 ; 301 
 3662 ; 5 гривен. Украина. Судовые экспертизы ; 2013 ;  ; Би/м ; AU ; 3 ; Mike! ; 555 
 3663 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 336 
 3664 ; 200 000 карбованцев. Украина. Киев ; 1995 ;  ; Cu-Ni ; Proof ; 59 ; lbah1 ; 800 
 3665 ; 5 гривен. Украина. Слава Катерины ; 2013 ;  ; Cu-Ni ; AU ; 30 ; jj ; 451 
 3666 ; 2 гривны. Украина. Владимир Ивасюк ; 2009 ;  ; Cu-Ni ; AU ; 3 ; 338 ; 257 
 3667 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu-Ni ; AU ; 19 ; 338 ; 351 
 3668 ; 2 гривны. Украина. Дрофа ; 2013 ;  ; Cu-Ni ; AU ; 38 ; Mike! ; 517 
 3669 ; 5 гривен. Украина. Черкаская область ; 2014 ;  ; Би/м ; AU ; 9 ; Mike! ; 320 
 3670 ; 2 гривны. Украина. Яков Гнездовский ; 2015 ;  ; Cu-Ni ; AU ; 4 ; lbah1 ; 263 
 3671 ; 5 гривен. Украина. Чистая вода ; 2007 ;  ; Би/м ; AU ; 10 ; 338 ; 293 
 3572 ; 2 гривны. Украина. Петр Григоренко ; 2007 ;  ; Cu-Ni ; XF- ; 3 ; 338 ; 257 
 3573 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; AU ; 6 ; Mike! ; 233 
 3574 ; 20 вон. Северная Корея. Год Петуха ; 2009 ;  ; Латунь ; Proof ; 6 ; Mike! ; 257 
 3575 ; 5 гривен. Украина. Битва под Оршею ; 2014 ;  ; Cu-Ni ; AU ; 5 ; 338 ; 257 
 3576 ; 2 гривны. Украина. Анна Ярославна ; 2014 ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 360 
