 5861 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 19 ; dmivanych ; 120 
 3831 ; 5 марок. Германия. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; F-VF ; 1 ; Mike! ; 200 
 3832 ; 1 крейцер. Гессен ; 1862 ;  ; Ag ; F+ ; 12 ; Mike! ; 140 
 3833 ; 10 пенни. Токен ;  ;  ; Ж/м ; VF ; 1 ; Mike! ; 111 
 3834 ; 2 гривны. Украина. Чемпионат по легкой атлетике ; 2013 ;  ; Cu-Ni ; AU ; 12 ; aziya11 ; 140 
 3835 ; 2 гривны. Украина. 100 лет Киевскому зоопарку ; 2008 ;  ; Cu-Ni ; AU ; 12 ; Опятор ; 126 
 3836 ; 2 гривны. Украина. Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 13 ; Опятор ; 350 
 3837 ; 2 гривны. Украина. Киевский Национальный Экономический институт ; 2006 ;  ; Cu-Ni ; AU ; 38 ; Vol4en0k ; 327 
 3838 ; 2 гривны. Украина. Анна Ярославна ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Недорого ; 227 
 3839 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu-Ni ; AU ; 29 ; Vol4en0k ; 295 
 3840 ; 2 гривны. Украина. 20 лет СНГ ; 2011 ;  ; Cu-Ni ; AU ; 32 ; Опятор ; 268 
 3841 ; 2 гривны. Украина. Киевский Национальный Экономический институт ; 2006 ;  ; Cu-Ni ; AU ; 17 ; Недорого ; 218 
 3842 ; 2 гривны. Украина. ЗУНР ; 2008 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 132 
 3843 ; 2 гривны. Украина. Василь Стус ; 2008 ;  ; Cu-Ni ; AU ; 13 ; Vol4en0k ; 239 
 3844 ; 5 гривен. Украина. Бугай ; 2007 ;  ; Cu-Ni ; AU ; 14 ; Vol4en0k ; 185 
 3845 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; AU ; 12 ; sibirian ; 81 
 3846 ; 10 писо. Филиппины. Народная революция ; 1988 ;  ; Cu-Ni ; AU ; 7 ; Недорого ; 77 
 3847 ; 10 писо. Филиппины. Народная революция ; 1988 ;  ; Cu-Ni ; AU ; 7 ; Недорого ; 77 
 3848 ; 100 эскудо. Португалия. Мадейра ; 1989 ;  ; Cu-Ni ; AU ; 15 ; karl ; 120 
 3849 ; 10 марок. ГДР. 25 лет ГДР ; 1974 ;  ; Cu-Ni ; AU ; 12 ; edgar ; 101 
 3850 ; 50 нгве. Замбия.  Всемирный день еды ; 1969 ;  ; Cu-Ni ; XF+ ; 9 ; SKeeper ; 123 
 3851 ; 1 доллар. Соломоновы острова ; 2005 ;  ; Cu-Ni ; XF+ ; 21 ; Taras58 ; 140 
 3852 ; 2 марки. ФРГ. Макс Планк ; 1967 ;  ; Cu-Ni ; XF ; 9 ; TiBuL ; 114 
 3853 ; 25 сантимов. Франция ; 1904 ;  ; Cu-Ni ; VF ; 9 ; юрий73 ; 87 
 3854 ; 2 марки. ФРГ. ; 1994 ;  ; Cu-Ni ; XF ; 23 ; andy2012 ; 114 
 3855 ; 1 динар. Югославия ; 1994 ;  ; Латунь ; AU ; 5 ; kornum ; 48 
 3856 ; 20 франков. Руанда ; 1977 ;  ; Латунь ; XF+ ; 19 ; Недорого ; 73 
 3857 ; 1 доллар. Белиз ; 1990 ;  ; Латунь ; VF ; 13 ; Недорого ; 72 
 3858 ; 1 доллар. Белиз ; 2012 ;  ; Латунь ; AU ; 9 ; SKeeper ; 97 
 3859 ; 50 огуйя. Мавритания. ; 2010 ;  ; Би/м ; AU ; 3 ; SKeeper ; 79 
 3860 ; 100 лек. Албания ; 2000 ;  ; Би/м ; AU ; 11 ; Taras58 ; 101 
 3861 ; 10 метикай. Мозамбик ; 2006 ;  ; Би/м ; XF+ ; 15 ; Taras58 ; 79 
 3862 ; 100 лек. Албания ; 2000 ;  ; Би/м ; XF+ ; 23 ; Недорого ; 72 
 3863 ; 50 огуйя. Мавритания. ; 2010 ;  ; Би/м ; AU ; 9 ; SKeeper ; 89 
 3864 ; 5 гривен. Украина. Голодомор ; 2007 ;  ; Cu-Ni ; XF ; 21 ; Vol4en0k ; 270 
 3865 ; 5 гривен. Украина. Киевский Ботанический сад ; 2012 ;  ; Cu-Ni ; AU ; 19 ; zoloto ; 201 
 3866 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu-Ni ; AU ; 33 ; zoloto ; 178 
 3767 ; 2 фунта. Южная Георгия и Южные Сандвичевы острова. Альбатрос ; 2006 ;  ; Cu-Ni ; AU ; 26 ; Mike! ; 236 
 3768 ; 1 хеллер. Франкфурт на Майне ; 1863 ;  ; Cu ; VF ; 13 ; Mike! ; 294 
 3769 ; 6 пенсов. Великобритания ; 1933 ;  ; Ag ; VF ; 1 ; Mike! ; 111 
 3770 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 123 
 3771 ; 5 центов. США ; 1907 ;  ; Cu-Ni ; F-VF ; 1 ; Mike! ; 111 
 3772 ; 1/12 скиллинга. Швеция ; 1808 ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3773 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F ; 7 ; Mike! ; 139 
 3774 ; 10 пфеннигов. Германия. Нотгельд.  Кобленц ; 1918 ;  ; Fe ; F ; 1 ; Mike! ; 111 
 3775 ; 1 пфенниг. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1779 ;  ; Cu ; VF ; 21 ; Mike! ; 324 
 3776 ; 1 крейцер. Баден ; 1869 ;  ; Cu ; F+ ; 1 ; Mike! ; 111 
 3777 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; AU ; 2 ; SPBSPB ; 340 
 3778 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; VF-XF ; 1 ; Mike! ; 111 
 3779 ; 10 франков. Франция ; 1989 ;  ; Сu-Ni ; XF ; 8 ; юрий73 ; 111 
 3780 ; 500 милс.  Кипр. ФАО ; 1970 ;  ; Cu-Ni ; XF+ ; 17 ; Mike! ; 400 
 3781 ; 50 пенсов. Фолклендские острова. 40 лет правления ; 1992 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 207 
 3782 ; 1 цент. США ; 1902 ;  ; Br ; VF- ; 13 ; 6719 ; 144 
 3783 ; Монетовидный жетон. Германия ; ND ;  ; Al ; VF ; 1 ; Mike! ; 155 
 3784 ; 6 пенсов. Великобритания ; 1946 ;  ; Ag ; VF- ; 1 ; Mike! ; 111 
 3785 ; 2-1/2 цента. Нидерландская Индия ; 1857 ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3786 ; 1 крейцер. Нассау ; 1862 ;  ; Сu ; VF- ; 1 ; Mike! ; 222 
 3787 ; 2-1/2 чентезимо. Италия ; 1854 ;  ; Cu ; VF- ; 1 ; Mike! ; 200 
 3788 ; 5 евро. Австрия. ЕС ; 2004 ;  ; Ag ; AU ; 1 ; Mike! ; 444 
 3789 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 1 ; Mike! ; 123 
 3790 ; 1 геллер. Нассау ; 1844 ;  ; Cu ; F-VF ; 7 ; Mike! ; 204 
 3791 ; 20 крон. Норвегия ; 1999 ;  ; Латунь ; VF ; 13 ; Mike! ; 126 
 3792 ; 2-1/2 шварена. Гамбург ; 1802 ;  ; Cu ; F ; 19 ; Mike! ; 294 
 3793 ; 10 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; F-VF ; 1 ; Mike! ; 200 
 3794 ; 5 центов. США ; 1892 ;  ; Cu-Ni ; F+ ; 1 ; Mike! ; 111 
 3795 ; 1 пфенниг. Ганновер ; 1853 ;  ; Cu ; F ; 1 ; Mike! ; 131 
 3796 ; 1 цент. США ; 1907 ;  ; Br ; VF- ; 11 ; WikiLeaks ; 152 
 3797 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; VF- ; 3 ; SPBSPB ; 239 
 3798 ; 1 песа. Немецкая Ост-Африка ; 1892 ;  ; Cu ; F ; 14 ; Mike! ; 203 
 3799 ; 4 пфеннига. Ганновер ; 1796 ;  ; Cu ; VF- ; 1 ; Mike! ; 333 
 3800 ; 2 риала. Испания ; 1781 ;  ; Ag ; F-VF ; 9 ; Mike! ; 531 
 3801 ; 5 чентезимо. Сардиния ; 1826 ;  ; Cu ; F-VF ; 1 ; Mike! ; 123 
 3802 ; 1 шиллинг. Гамбург ; 1726 ;  ; Ag ; F ; 7 ; Mike! ; 253 
 3803 ; 1 хеллер. Немецкая Ост-Африка ; 1904 ;  ; Br ; F+ ; 27 ; Mike! ; 284 
 3804 ; Дуит. Нидерланды. Гельдерландия. Деформация ; 1760 ;  ; Cu ; F ; 1 ; Mike! ; 123 
 3805 ; 1 хеллер. Немецкая Ост-Африка ; 1906 ;  ; Br ; F ; 4 ; Mike! ; 216 
 3806 ; 20 вон. Северная Корея. Живая природа ; 2010 ;  ; Al ; Proof ; 4 ; Mike! ; 235 
 3807 ; 20 вон. Северная Корея. Год Обезьяны ; ND ;  ; Латунь ; Proof ; 12 ; 6719 ; 330 
 3808 ; 20 вон. Северная Корея. Живая природа ; 2010 ;  ; Al ; Proof ; 8 ; Mike! ; 204 
 3809 ; 20 вон. Северная Корея. Корабль ; 2003 ;  ; Латунь ; Proof ; 16 ; Mike! ; 238 
 3810 ; 10 вон. Северная Корея. Фауна Азии ; 2007 ;  ; Al ; Proof ; 3 ; Mike! ; 204 
 3811 ; 20 вон. Северная Корея. Год Быка ; ND ;  ; Латунь ; Proof ; 6 ; Mike! ; 277 
 3812 ; 20 вон. Северная Корея. Корабль ; 2003 ;  ; Латунь ; Proof ; 16 ; Mike! ; 238 
 3813 ; 20 вон. Северная Корея. Касатка ; 2001 ;  ; Латунь ; Proof ; 22 ; Mike! ; 238 
 3814 ; 20 вон. Северная Корея. Год Змеи ; ND ;  ; Латунь ; Proof ; 6 ; Mike! ; 277 
 3815 ; 20 вон. Северная Корея. Год Кролика ; ND ;  ; Латунь ; Proof ; 10 ; Mike! ; 236 
 3816 ; 20 вон. Северная Корея. Кит ; 2001 ;  ; Латунь ; Proof ; 6 ; Mike! ; 204 
 3717 ; 2 лева. Болгария. Мировое первенство по футболу ; 1986 ;  ; Cu/Ni ; Proof ; 7 ; Vanka ; 75 
 3718 ; 2 лева. Болгария. 1300 лет болгарии ; 1981 ;  ; Cu/Ni ; AU ; 14 ; SKeeper ; 104 
 3719 ; 2 лева. Болгария. Восстание на Асен и Петр ; 1981 ;  ; Cu/Ni ; AU ; 10 ; DVZ ; 97 
 3720 ; 2 лева. Болгария. 15 зимние олимпийские игры ; 1987 ;  ; Cu/Ni ; Proof ; 19 ; Rober ; 105 
 3721 ; 1/12 скиллинга. Швеция ; 1805 ;  ; Cu ; VF+ ; 21 ; krugerrand ; 152 
 3722 ; 100 лир. Турция ; 1990 ;  ; Латунь ; VF+ ; 6 ; ANGEL 23 ; 8 
 3723 ; 25 марок. Финляндия. 80 лет независимости ; 1997 ;  ; Би/м ; AU ; 25 ; Denis88 ; 464 
 3724 ; 10 марок. Финляндия. ЕС ; 1995 ;  ; Би/м ; AU ; 22 ; нионила ; 235 
 3725 ; 10 марок. Финляндия. ; 1995 ;  ; Би/м ; AU ; 10 ; anshel ; 38 
 3726 ; 2 евро. Финляндия. Туве Янсон ; 2014 ;  ; Би/м ; AU ; 17 ; Dim1410 ; 208 
 3727 ; 2 евро. Финляндия. 200 лет автономии Финляндии ; 2009 ;  ; Би/м ; XF+ ; 22 ; nivva ; 184 
 3728 ; 2 евро. Финляндия. Силланпаа ; 2013 ;  ; Би/м ; XF+ ; 23 ; valencio ; 180 
 3729 ; 2 евро. Финляндия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF+ ; 19 ; mishakl ; 204 
 3730 ; 2 евро. Финляндия ; 2013 ;  ; Би/м ; XF+ ; 7 ; Westin ; 135 
 3731 ; 50 центов. Намибия ; 1993 ;  ; Cu-Ni ; AU ; 11 ; Gallery ; 28 
 3732 ; 50 пенсов. Великобритания ; 1979 ;  ; Cu-Ni ; AU ; 27 ; igor26 ; 65 
 3733 ; 50 центов. Свазиленд ; 1996 ;  ; Cu-Ni ; AU ; 11 ; SKeeper ; 60 
 3734 ; 200 песет. Испания ; 1991 ;  ; Cu-Ni ; VF+ ; 8 ; Allegro33 ; 73 
 3735 ; 2 доллара. Гон-Конг ; 1982 ;  ; Cu-Ni ; XF- ; 11 ; SKeeper ; 49 
 3736 ; 20 вон. Северная Корея. Летучая мышь ; 2005 ;  ; латунь ; Proof ; 10 ; 6719 ; 300 
 3737 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; VF+ ; 3 ; VVL ; 204 
 3738 ; 25 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 3 ; Mike! ; 70 
 3739 ; 4 пфеннига. Пруссия ; 1857 ;  ; Cu ; F+ ; 1 ; Mike! ; 123 
 3740 ; 1 песета. Испания ; 1883 ;  ; Ag ; VF- ; 5 ; Mike! ; 257 
 3741 ; 50 сентимо. Испания ; 1892 ;  ; Ag ; VF ; 2 ; SPBSPB ; 227 
 3742 ; 1-1/2 пфеннига. Брауншвейг-Вольфенбюттель ; 1767 ;  ; Сu ; F-VF ; 1 ; Mike! ; 222 
 3743 ; 5 чентезимо. Италия ; 1861 ;  ; Cu ; VF- ; 3 ; Mike! ; 152 
 3744 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; VF+ ; 1 ; Mike! ; 111 
 3745 ; 1 хеллер. Франкфурт на Майне ; 1821 ;  ; Cu ; F+ ; 7 ; kostya12.04.1994 ; 150 
 3746 ; 2 эре. Швеция ; 1902 ;  ; Br ; VF ; 2 ; Uri ; 114 
 3747 ; 3 пфеннига. Пруссия ; 1823D ;  ; Cu ; F ; 1 ; Mike! ; 111 
 3748 ; 50 сентимо. Испания ; 1869 ;  ; Ag ; VF- ; 1 ; Mike! ; 222 
 3749 ; 200 марок. Веймар ; 1923F ;  ; Al ; VF ; 1 ; Mike! ; 88 
 3750 ; 1 пфенниг. Франкфурт на Майне ; 1819 ;  ; Cu ; F ; 9 ; banks ; 272 
 3751 ; 20 крейцеров. Венгрия. Ремонт гурта 12, 6 часов ; 1779 ;  ; Ag ; F-VF ; 1 ; Mike! ; 400 
 3752 ; 2 эре. Дания ; 1874 ;  ; Cu ; VF- ; 1 ; Mike! ; 123 
 3753 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; VF+ ; 1 ; Mike! ; 111 
 3754 ; 2 фунта. Британские территории в Индийском океане. Принц Вильям и Кейт Мидлтон ; 2010 ;  ; Cu-Ni ; AU ; 27 ; gdrg2 ; 289 
 3755 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; VF- ; 31 ; Mike! ; 300 
 3756 ; 1000 квача. Замбия. Монетная система ; 1999 ;  ; Cu-Ni ; Proof ; 34 ; Mike! ; 324 
 3757 ; 1 гротен. Бремен ; 1743 ;  ; Ag ; F-VF ; 23 ; WikiLeaks ; 477 
 3758 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; VF+ ; 1 ; Mike! ; 111 
 3759 ; 1 хеллер. Франкфурт на Майне ; 1841 ;  ; Cu ; VF ; 10 ; Mike! ; 294 
 3760 ; 3 пфеннига. Германия ; 1819 ;  ; Сu ; F-VF ; 17 ; jj ; 203 
 3761 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF ; 1 ; Mike! ; 123 
 3762 ; 5 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; FV-F ; 1 ; Mike! ; 200 
 3763 ; 5 бани. Румыния ; 1867 ;  ; Cu ; F ; 1 ; Mike! ; 123 
 3764 ; 500 динаров. Босния и Герцоговина. Защита планеты Земля ; 1995 ;  ; Cu-Ni ; AU ; 23 ; SKeeper ; 294 
 3765 ; 4 пфеннига. Пруссия ; 1855 ;  ; Cu ; F-VF ; 1 ; Mike! ; 222 
 3766 ; 200 марок. Веймар ; 1923A ;  ; Al ; XF ; 1 ; Mike! ; 71 
 3667 ; 1 песо. Куба. Национальная конференци ; 1979 ;  ; Cu/Ni ; XF+ ; 6 ; salim ; 278 
 3668 ; 1 песо. Куба. 15 зимние олимпийские игры в Калгари ; 1986 ;  ; Cu/Ni ; AU ; 7 ; chebeer ; 278 
 3669 ; 1 песо. Куба. 14 юношеские спортивные игры ; 1981 ;  ; Cu/Ni ; AU ; 5 ; chebeer ; 278 
 3670 ; 1 песо. Куба. Олимпиада в Лос-Анджелесе ; 1983 ;  ; Cu/Ni ; AU ; 6 ; генерал777 ; 347 
 3671 ; 1 песо. Куба. F.A.O. ; 1981 ;  ; Cu/Ni ; AU ; 3 ; salim ; 340 
 3672 ; 1 песо. Куба. Карлос-Мануэль де Кеспедис ; 1977 ;  ; Cu/Ni ; AU ; 5 ; Oleht ; 351 
 3673 ; 1 песо. Куба. Игры 23 олимпиады ; 1983 ;  ; Cu/Ni ; AU ; 17 ; генерал777 ; 337 
 3674 ; 1 песо. Куба. Игнасио Аграмонте ; 1977 ;  ; Cu/Ni ; AU ; 5 ; Oleht ; 351 
 3675 ; 100 эскудо. Португалия. Нуну Триштан ; 1987 ;  ; Cu/Ni ; AU ; 11 ; karl ; 122 
 3676 ; 100 эскудо. Португалия. Бартоломеу Диаш ; 1988 ;  ; Cu/Ni ; VF-XF ; 7 ; karl ; 120 
 3677 ; 1 гривна. Украина ; 1996 ;  ; Лат ; XF ; 14 ; VVL ; 126 
 3678 ; 1 гривна. Украина. Чемпионат мира по футболу ; 2012 ;  ; Лат ; XF ; 34 ; 800 ; 55 
 3679 ; 2 евро. Финляндия. Римский договор ; 2007 ;  ; Би/м ; AU ; 15 ; Димон777 ; 222 
 3680 ; 2 евро. Финляндия. Расширение ЕС ; 2004 ;  ; Би/м ; AU ; 19 ; Akatava ; 1460 
 3681 ; 1 доллар. США. Независимость ; 1976 ;  ; Cu/Ni ; XF- ; 22 ; SPBSPB ; 125 
 3682 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu/Ni ; XF+ ; 12 ; SPBSPB ; 77 
 3683 ; 25 пенсов. Великобритания. Свадьба принца Чарльза и леди Дианы ; 1981 ;  ; Cu/Ni ; AU ; 9 ; 6719 ; 75 
 3684 ; 5 гривен. Украина. 50 лет вхождения Крыма в состав Украины ; 2004 ;  ; Би/м ; AU ; 21 ; Vol4en0k ; 1175 
 3685 ; 5 евро. Финляндия. 90 лет независимости ; 2007 ;  ; Би/м ; AU ; 13 ; sibirian ; 367 
 3686 ; 50 злотых. Польша. Владислав I ; 1981 ;  ; Cu/Ni ; XF+ ; 17 ; SKeeper ; 71 
 3687 ; 1 доллар. США. Сакагавеа ; 2000 ;  ; Лат ; AU ; 19 ; chebeer ; 120 
 3688 ; 1 доллар. Канада ; 2012 ;  ; Al/Br ; AU ; 15 ; kostya12.04.1994 ; 85 
 3689 ; 1 лира. Турция. Леопард ; 2012 ;  ; Би/м ; AU ; 12 ; kolbur ; 161 
 3690 ; 1 лира. Турция. Олень ; 2012 ;  ; Би/м ; AU ; 31 ; SadKo ; 161 
 3691 ; 1/2 доллара. США ; 1976 ;  ; Cu/Ni ; VF ; 11 ; Kolya2788 ; 32 
 3692 ; 5 центов. США ; 1955 ;  ; Cu/Ni ; XF- ; 12 ; сама71 ; 26 
 3693 ; 10 евро. ФРГ. Рихард Вагнер ; 2013D ;  ; Ag ; Proof ; 15 ; SPBSPB ; 615 
 3694 ; 10 крон. Норвегия ; 2011 ;  ; Cu/Zn ; XF ; 15 ; DVZ ; 101 
 3695 ; 10 киндарка. Албания ; 1988 ;  ; Al ; AU ; 13 ; Taras58 ; 42 
 3696 ; 1 лек. Албания ; 1964 ;  ; Al ; VF ; 9 ; buben ; 38 
 3697 ; 1 шо. Тибет ; 20в ;  ; Cu ; F-VF ; 11 ; cotangens ; 164 
 3698 ; 10 кванза. Ангола ; 2012 ;  ; Би/м ; AU ; 13 ; cotangens ; 200 
 3699 ; 1 далер. Швеция ; 1716 ;  ; Cu ; F+ ; 28 ; ilgamax ; 827 
 3700 ; 1 кванза. Ангола ; 2012 ;  ; Лат ; AU ; 13 ; SKeeper ; 102 
 3701 ; 1000 песо. Колумбия ; 2014 ;  ; Би/м ; AU ; 9 ; bakal73 ; 90 
 3702 ; 1 лира. Турция. 150 лет судебной системе ; 2012 ;  ; Би/м ; AU ; 19 ; dencon ; 117 
 3703 ; 25 песет. Испания ; 1991 ;  ; Лат ; AU ; 28 ; ag58 ; 36 
 3704 ; 10 марок. Финляндия. ЕС ; 1995 ;  ; Би/м ; AU ; 13 ; cotangens ; 276 
 3705 ; 1 копейка. Крым. Шахин Гирей (4 год правления) ; 1777 ;  ; Cu ; VF ; 62 ; buhar1956 ; 3816 
 3706 ; 5 евро. Финляндия. 10 чемпионат миар по легкой атлетике ; 2005 ;  ; Би/м ; AU ; 19 ; sibirian ; 367 
 3707 ; 2 эре. Швеция ; 1761 ;  ; Cu ; F-VF ; 26 ; SadKo ; 233 
 3708 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 14 ; VVE ; 79 
 3709 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; Proof ; 11 ; t_v_v ; 89 
 3710 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 10 ; DVZ ; 92 
 3711 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 17 ; aziya11 ; 79 
 3712 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 8 ; DVZ ; 97 
 3713 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 7 ; SKeeper ; 92 
 3714 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 19 ; Rober ; 91 
 3715 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 6 ; SKeeper ; 79 
 3716 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu/Ni ; AU ; 17 ; Rober ; 85 
 3617 ; 3 тенге. Бухара ; 20в ;  ; Cu ; VF ; 17 ; andreizemlia ; 510 
 3618 ; 3 тенге. Бухара ; 20в ;  ; Cu ; VF ; 18 ; andreizemlia ; 459 
 3619 ; Бешлык. Крым. Шахин Гирей ; 1777 ;  ; Cu ; F-VF ; 25 ; banks ; 172 
 3620 ; 2-1/2 цента Нидерландская Индия ; 1945 ;  ; Br ; XF- ; 13 ; Sotnik78 ; 85 
 3621 ; 2 драхмы. Греция ; 1973 ;  ; Cu-Ni ; AU ; 3 ; SKeeper ; 40 
 3622 ; 10 эре. Норвегия ; 1947 ;  ; Cu-Ni ; VF+ ; 7 ; Шипк ; 16 
 3623 ; 10 раппен. Швейцария ; 1981 ;  ; Cu-Ni ; VF ; 3 ; SKeeper ; 20 
 3624 ; 50 пенсов. Ирландия ; 1983 ;  ; Cu-Ni ; VF+ ; 23 ; Bambr ; 138 
 3625 ; 5000 лир. Турция ; 1992 ;  ; Cu-Ni-Zn ; AU ; 38 ; andy2012 ; 58 
 3626 ; 100 рейс. Бразилия ; 1942 ;  ; Br ; VF ; 13 ; ВМШ ; 59 
 3627 ; 10 пенни. Финляндия ; 1935 ;  ; Cu ; AU ; 13 ; musik ; 102 
 3628 ; 1 пфенниг. Германия ; 1913 ;  ; Cu ; VF ; 3 ; zemlyk2014 ; 30 
 3629 ; 1 цент. США ; 1958 ;  ; Cu ; XF ; 7 ; нв1975 ; 51 
 3630 ; 50 эре. Швеция ; 1998 ;  ; Cu ; AU ; 15 ; hf426 ; 51 
 3631 ; 2 эре. Дания ; 1874 ;  ; Cu ; F-VF ; 10 ; zelya ; 91 
 3632 ; 2 эре. Швеция ; 1765 ;  ; Cu ; F+ ; 11 ; Gallery ; 41 
 3633 ; 1 эре. Швеция ; 1918 ;  ; Fe ; VF ; 22 ; banks ; 145 
 3634 ; 1 марка. Финляндия ; 1948 ;  ; Fe ; VF ; 7 ; юрий73 ; 62 
 3635 ; 10 пфеннигов. Германия ; 1919A ;  ; Fe ; F-VF ; 5 ; северянин ; 31 
 3636 ; 100 песет. Испания ; 1997 ;  ; Al/Br ; XF- ; 9 ; SKeeper ; 36 
 3637 ; 1 крона. Дания ; 1948 ;  ; Al/Br ; VF ; 5 ; Шипк ; 46 
 3638 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; AU ; 8 ; sibirian ; 48 
 3639 ; 200 лир. Италия ; 1981 ;  ; Al/Br ; XF ; 15 ; kornum ; 67 
 3640 ; 5 марок. Финляндия ; 1973 ;  ; Al/Br ; XF+ ; 9 ; TiBuL ; 79 
 3641 ; 20 сантимат. Марокко ; 1987 ;  ; Al/Br ; AU ; 18 ; gusar ; 42 
 3642 ; 5 пфеннигов. Веймар ; 1925A ;  ; Al/Br ; VF ; 21 ; Gallery ; 29 
 3643 ; 10 крон. Словакия ; 1994 ;  ; Al/Br ; AU ; 23 ; ag58 ; 41 
 3644 ; 5 марок. Финляндия ; 1984 ;  ; Al/Br ; VF-XF ; 3 ; TiBuL ; 40 
 3645 ; 10 ентов. Эфиопия ;  ;  ; Al/Br ; XF ; 13 ; Esaul M ; 43 
 3646 ; 100 эскудо. Португалия. Астрономическая навигация ; 1990 ;  ; Cu/Ni ; AU ; 15 ; karl ; 131 
 3647 ; 100 эскудо. Португалия. Открытие мыса Кабо Бенжадор ; 1987 ;  ; Cu/Ni ; AU ; 12 ; SKeeper ; 117 
 3648 ; 100 эскудо. Португалия. Диогу Кан ; 1987 ;  ; Cu/Ni ; AU ; 9 ; karl ; 120 
 3649 ; 100 эскудо. Португалия. Мадейра ; 1989 ;  ; Cu/Ni ; AU ; 14 ; Хаа ; 114 
 3650 ; 100 эскудо. Португалия. Канары ; 1989 ;  ; Cu/Ni ; AU ; 22 ; Хаа ; 159 
 3651 ; 100 эскудо. Португалия. Международный год инвалидов ; 1984 ;  ; Cu/Ni ; AU ; 5 ; SKeeper ; 97 
 3652 ; 25 эскудо. Португалия. Международный год инвалидов ; 1984 ;  ; Cu/Ni ; XF+ ; 15 ; SKeeper ; 51 
 3653 ; 50 тенге. Казахстан.Алдар-Косе ; 2013 ;  ; Cu/Ni ; AU ; 18 ; 6719 ; 153 
 3654 ; 50 тенге. Казахстан. Айтыс ; 2011 ;  ; Cu/Ni ; AU ; 10 ; 6719 ; 102 
 3655 ; 50 тенге. Казахстан.120 лет со дня рождения Магжана Жумабаева ; 2013 ;  ; Cu/Ni ; AU ; 9 ; TiBuL ; 48 
 3656 ; 10000 злотых. Польша. Солидарность ; 1990 ;  ; Cu/Ni ; XF ; 9 ; SKeeper ; 41 
 3657 ; 500 злотых. Польша. 50 лет победы во II МВ ; 1989 ;  ; Cu/Ni ; XF+ ; 10 ; страус ; 79 
 3658 ; 500 злотых. Польша. Владислав II ; 1989 ;  ; Cu/Ni ; XF+ ; 11 ; SKeeper ; 79 
 3659 ; 20 злотых. Польша. Игры 22 олимпиады ; 1980 ;  ; Cu/Ni ; XF+ ; 18 ; kost ; 87 
 3660 ; 20 злотых. Польша. Марсель Новотко ; 1976 ;  ; Cu/Ni ; XF ; 11 ; cotangens ; 31 
 3661 ; 10 злотых. Польша.Казимир ; 1964 ;  ; Cu/Ni ; XF ; 11 ; Vanka ; 135 
 3662 ; 10 злотых. Польша. Тадеуш Костюшко ; 1970 ;  ; Cu/Ni ; XF+ ; 10 ; dudinjohn ; 46 
