 3235 ; Бона иностранная ;  ;  ;  ;  ; 7 ; у44 ; 42 
 2613 ; 1 динар. Сербия ; 1915 ;  ; Ag ; XF- ; 21 ; Arsak ; 156 
 2614 ; 5 злотых. Польша ; 1933 ;  ; Ag ; F-VF ; 37 ; димитрий ; 100 
 2615 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 32 ; димитрий ; 107 
 2616 ; 100 йен. Япония. Олимпийские игры ; 1964 ;  ; Ag ; AU ; 33 ; димитрий ; 151 
 2617 ; 10 центов. Китай. Провинция Гуандун ; ND (1890-1908) ;  ; Ag ; VF ; 47 ; shest ; 357 
 2618 ; 5 лир. Италия ; 1927R ;  ; Ag ; VF+ ; 60 ; Arsak ; 157 
 2619 ; 100 динаров. Иран ; 1319лх ;  ; Cu-Ni ; XF- ; 20 ; димитрий ; 161 
 2620 ; 1 доллар. Ямайка. Первый премьер-министр Бустаманте. Упаковка ; 1971 ;  ; Cu-Ni ; Proof ; 45 ; NFV ; 146 
 2621 ; 25 центов. Тринидад и Тобаго. Упаковка ; 1976 ;  ; Cu-Ni ; Proof ; 34 ; poiskklada ; 45 
 2622 ; 1 рупия. Британская Индия ; 1892 ;  ; Ag ; XF- ; 47 ; masluak ; 609 
 2623 ; 1 рупия. Британская Индия ; 1940 ;  ; Ag ; VF-XF ; 61 ; masluak ; 408 
 2624 ; 1 рупия. Британская Индия ; 1904 ;  ; Ag ; XF- ; 50 ; masluak ; 532 
 2625 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 56 ; vitas123 ; 251 
 2626 ; 1 флорин. Австралия ; 1951 ;  ; Ag ; VF-XF ; 29 ; димитрий ; 305 
 2627 ; 1 флорин. Австралия ; 1954 ;  ; Ag ; VF+ ; 21 ; masluak ; 370 
 2628 ; 6 пенсов. Австралия ; 1963 ;  ; Ag ; AU ; 9 ; masluak ; 159 
 2629 ; 6 пенсов. Австралия ; 1942D ;  ; Ag ; VF-XF ; 15 ; masluak ; 113 
 2630 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; VF-XF ; 22 ; димитрий ; 86 
 2631 ; 6 пенсов. Великобритания ; 1941 ;  ; Ag ; VF+ ; 14 ; masluak ; 204 
 2632 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; VF+ ; 10 ; masluak ; 238 
 2633 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; XF- ; 12 ; masluak ; 269 
 2634 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; AU ; 17 ; masluak ; 262 
 2535 ; 5 рейс. Португальская Бразилия, Рио-де-Жанейро. Иосиф I ; 1768 ;  ; Cu ; F+ ; 34 ; vlkorchev ; 122 
 2536 ; 2 атт. Тайланд, Рама V ; 1887 ;  ; Cu ; VF+ ; 60 ; сте ; 416 
 2537 ; 50 центов. Бельгийское Конго, Руанда-Урунди ; 1955 ;  ; Al ; AU ; 89 ; sos1 ; 219 
 2538 ; 25 пара. Хорвария, Сербия ; 1920 ;  ; Cu/Ni ; VF- ; 32 ; sos1 ; 153 
 2539 ; 10 пара. Сербия ; 1912 ;  ; Cu/Ni ; XF ; 25 ; al_ser ; 77 
 2540 ; 50 сен. Малайзия ; 1998 ;  ; Cu/Ni ; VF-XF ; 13 ; caterpi ; 20 
 2541 ; 2 злотых. Польша ; 1936 ;  ; Ag ; XF+ ; 33 ; TRT_TT ; 407 
 2542 ; 2 сенти. Эстония ; 1934 ;  ; Br ; XF- ; 42 ; Luidor ; 57 
 2543 ; 1 крона. Эстония ; 2008 ;  ; Латунь ; AU ; 10 ; димитрий ; 10 
 2544 ; 10 лева. Болгария. 100 лет освобождения от Османского ига. Коробка ; 1978 ;  ; Ag ; XF ; 31 ; lsp25 ; 407 
 2545 ; 1 крейцер. Германия, Бранденбург-Ансбах, Александр (1757-1791) ; 1790 ;  ; билон ; VF- ; 34 ; alno51 ; 329 
 2546 ; 1 пфениг. Германия, Франкфурт. Деформация ; 1790 ;  ; Br ; F-VF ; 33 ; alno51 ; 51 
 2547 ; 1 лиард. Австрийские Нидерланды Бельгия, Мария Терезия ; 1778 ;  ; Br ; VF- ; 45 ; сте ; 510 
 2548 ; 5 франков. Франция, Наполеон I Император Республики, Тулуза ; 1804 ;  ; Ag ; VF ; 31 ; locator79 ; 2593 
 2549 ; 1 франк. Франция, 2-я республика ; 1849А ;  ; Ag ; VF- ; 93 ; sina ; 152 
 2550 ; 20 сантимов. Франция, Наполеон III. Деформация ; 1866К ;  ; Ag ; VF ; 45 ; закрыт ; 183 
 2551 ; 5 франков. Франция, Луи Филипп I ; 1831В ;  ; Ag ; VF ; 18 ; vika442 ; 723 
 2552 ; 100 франков. Франция, Свобода, Равенство, Братство ; 1988 ;  ; Ag ; AU ; 28 ; 439 ; 430 
 2553 ; 1/2 пенни. Великобритания, Георг III ; 1807 ;  ; Cu ; VF+ ; 23 ; masluak ; 739 
 2554 ; 2 стивера. Британский Цейлон, Георг III. М=17,5 гр ; 1815 ;  ; Cu ; VF- ; 33 ; TRT_TT ; 1602 
 2555 ; 20 центов (2 цзяо). Китай, Цин, Провинция Цзяннань ; 1901-1908 ;  ; Ag ; XF+ ; 41 ; vc57 ; 285 
 2556 ; 20 пара. Сербия ; 1912 ;  ; никелин ; VF- ; 17 ; kaa123 ; 81 
 2557 ; 10 пара. Сербия ; 1883 ;  ; никелин ; XF+ ; 31 ; Sterh ; 67 
 2558 ; 1 рупия. Республика Шриланка ; 1982 ;  ; никелин ; VF+ ; 5 ; S1952 ; 6 
 2559 ; 5 центов. Республика Шриланка ; 1975 ;  ; Br ; VF-XF ; 30 ; vc57 ; 72 
 2560 ; 5 франков. Швейцария. Лугано ; 1883 ;  ; Ag ; VF-XF ; 48 ; fillin ; 2086 
 2561 ; 5 франков. Швейцария. Фрибур ; 1881 ;  ; Ag ; VF+ ; 43 ; fillin ; 2073 
 2562 ; 10 долларов. Острова Кука. XXV Олимпийские игры. Барселона ; 1990 ;  ; Ag ; Proof ; 29 ; Igorek81 ; 347 
 2563 ; 50 лева. Болгария. XVII Зимние Олимпийские игры ; 1992 ;  ; Ag ; Proof ; 16 ; Nirvanych ; 355 
 2564 ; 10 долларов. Острова Кука. 500 лет Америке ; 1990 ;  ; Ag ; Proof ; 77 ; o.k. ; 479 
 2565 ; 10 долларов. Острова Кука. Живая природа подвергающаяся опасности ; 1990 ;  ; Ag ; Proof ; 52 ; Ronald ; 437 
 2566 ; 200 нгультрам. Бутан. Олимпийские игры ; 1996 ;  ; Ag ; Proof ; 40 ; Igorek81 ; 419 
 2567 ; 1000 эскудо. Португалия ; 1998 ;  ; Ag ; AU ; 52 ; Mike! ; 391 
 2568 ; 250 песо. Уругвай. Лассо-американская серия ; 1997 ;  ; Ag ; Proof ; 51 ; Алек ; 522 
 2569 ; 500 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Лыжник ; 1984 ;  ; Ag ; Proof ; 77 ; Igorek81 ; 408 
 2570 ; 500 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Лыжник ; 1984 ;  ; Ag ; Proof ; 21 ; Igorek81 ; 375 
 2571 ; 500 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Биатлон ; 1983 ;  ; Ag ; Proof ; 66 ; Igorek81 ; 434 
 2572 ; 500 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Лыжник ; 1983 ;  ; Ag ; Proof ; 47 ; Igorek81 ; 439 
 2573 ; 500 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Лыжник ; 1982 ;  ; Ag ; Proof ; 66 ; Igorek81 ; 425 
 2574 ; 250 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1983 ;  ; Ag ; Proof ; 72 ; Igorek81 ; 355 
 2575 ; 250 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1982 ;  ; Ag ; Proof ; 54 ; димитрий ; 348 
 2576 ; 250 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1983 ;  ; Ag ; Proof ; 61 ; al_ser ; 308 
 2577 ; 250 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1984 ;  ; Ag ; Proof ; 26 ; димитрий ; 310 
 2578 ; 250 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1984 ;  ; Ag ; Proof ; 96 ; lesnik1 ; 634 
 2579 ; 100 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево. Хоккей ; 1982 ;  ; Ag ; Proof ; 66 ; l.f.1978 ; 316 
 2580 ; 100 динаров. Югославия. XIV Зимние Олимпийские игры. Сараево ; 1983 ;  ; Ag ; Proof ; 40 ; l.f.1978 ; 285 
 2581 ; 1/2 франка. Швейцария ; 1959B ;  ; Ag ; XF+ ; 27 ; poiskklada ; 79 
 2582 ; 3 пенса. Австралия ; 1959 ;  ; Ag ; XF ; 7 ; masluak ; 133 
 2583 ; 10 сентаво. Филиппины ; 1944D ;  ; Ag ; XF+ ; 19 ; vc57 ; 102 
 2584 ; 10 эре. Швеция ; 1959 ;  ; Ag ; XF+ ; 26 ; luchano ; 27 
 2485 ; 5 франков. Франция ; 1869 ;  ; Ag ; XF- ; 40 ; zx123 ; 882 
 2486 ; 2-1/2 гульдена. Нидерланды. Вильгельм I ; 1840 ;  ; Ag ; VF+ ; 76 ; HARDCOROV ; 3168 
 2487 ; 80 рейс (тостао). Португалия. Лиссабон. Иоанн V ; ND ;  ; Ag ; VF ; 30 ; alex1974 ; 665 
 2488 ; 1 аббаси. Азербайджан. Нахичевань. М-4,19г ; 1133лх ;  ; Ag ; VF ; 77 ; overshtag ; 2448 
 2489 ; 1 пенни. Британская Западная Африка ; 1936 ;  ; Cu-Ni ; AU ; 16 ; overshtag ; 275 
 2490 ; 1 доллар. Бермудские острова. Тонущий корабль ; 1997 ;  ; Cu-Ni ; AU ; 40 ; overshtag ; 1428 
 2491 ; 1 крона. Модель. Маврикий. Эдуард VIII (не правил) ; 1936 ;  ; Б/м ; AU ; 80 ; masluak ; 6113 
 2492 ; 1 пенни. Великобритания ; 1889 ;  ; Br ; AU ; 51 ; masluak ; 2700 
 2493 ; 1 пенни. Великобритания ; 1936 ;  ; Br ; AU ; 48 ; overshtag ; 354 
 2494 ; 8 дублей. Гернси ; 1966 ;  ; Br ; Proof-Like ; 55 ; masluak ; 4077 
 2495 ; 10 центов. Восточная Африка. Георг VI ; 1937 ;  ; Cu ; AU ; 23 ; masluak ; 600 
 2496 ; 1/2 пенни (трамвайный токен). Великобритания. Глазго ; ND ;  ; Пластик ; VF ; 26 ; overshtag ; 416 
 2497 ; 6 пенсов. Британская Западная Африка ; 1940 ;  ; Al/Br ; XF ; 41 ; masluak ; 999 
 2498 ; 1/2 цента-2,5 бита. Датская Западная Индия ; 1905P ;  ; Cu ; XF- ; 98 ; А_еЧъ ; 930 
 2499 ; Монета Кавказ с надчеканом ; ND ;  ; Cu ; F-VF ; 31 ; Георг ; 1853 
 2500 ; Монета Кавказ с надчеканом ; ND ;  ; Cu ; F-VF ; 17 ; overshtag ; 567 
 2501 ; Монета Иран с надчеканом. Павлин и сабля ; ND ;  ; Cu ; VF- ; 21 ; overshtag ; 283 
 2502 ; 1 лиард с надчеканом (лев на задних лапах). Испанские Нидерланды. Брабант. Карл VI ; ND ;  ; Cu ; F-VF ; 23 ; overshtag ; 357 
 2503 ; 4 сольди. Италия. Республика Генуя ; 1814 ;  ; Cu ; F-VF ; 81 ; sina ; 593 
 2504 ; 5 пара. Югославия ; 1920 ;  ; Zn ; VF+ ; 43 ; overshtag ; 408 
 2505 ; 10 фенигов. Польша. Немецкая оккупация в 1МВ ; 1917F ;  ; Fe ; VF+ ; 32 ; grot ; 331 
 2506 ; 8 мараведи. Двойной надчекан для изменения номинала 16 и снова 8 мараведи. Испания ;  ;  ; Cu ; F-VF ; 36 ; kont ; 525 
 2507 ; 1/2 пенни. Гана ; 1858 ;  ; Cu ; Proof-Like ; 14 ; vc57 ; 142 
 2508 ; 1 динеро. Малакка (Индонезия Португальская). Себастьян I (1557-1578) ; ND ;  ; Cu ; F-VF ; 27 ; kont ; 509 
 2509 ; Квадратная плата. 2 батта, оттиск в меди. Проба. Тайланд ; ND ;  ; Cu ; VF+ ; 30 ; overshtag ; 2358 
 2510 ; 5 франков. Французское Конго. Катанга ; 1961 ;  ; Cu ; XF+ ; 27 ; vc57 ; 308 
 2511 ; 1 соль. Франция. Оккупация гор. Siege и Mayence ; 1793 ;  ; Cu ; VF- ; 53 ; ALEK98 ; 354 
 2512 ; 1/2 пенни. Токен. Стрейтс-Сетлментс. Виктория ; 1916 ;  ; Cu ; VF-XF ; 23 ; masluak ; 550 
 2513 ; 1 пенни. Гана ; 1858 ;  ; Cu ; AU ; 36 ; 138246 ; 56 
 2514 ; 1 песо. Куба. Серия "Пираты Карибского моря". Капитан Anne Bonny ; 1995 ;  ; Cu-Ni ; AU ; 88 ; overshtag ; 1004 
 2515 ; 25 центов. Нотгельд. Франция. Прованс ; 1921 ;  ; Al ; AU ; 45 ; sina ; 218 
 2516 ; 50 прутас. Израиль ; 20 век ;  ; Cu-Ni ; XF ; 85 ; *** ; 201 
 2517 ; 1/2 цента. Южная Африка ; 1961 ;  ; Al/Br ; AU ; 36 ; masluak ; 200 
 2518 ; Аббаси. Шемахинское ханство ; 1189 л.х. ;  ; Ag ; VF+ ; 29 ; caterpi ; 765 
 2519 ; Флорин. Великобритания, Георг V ; 1935 ;  ; Ag ; XF+ ; 42 ; azef ; 737 
 2520 ; 1/2 пенни. Великобритания, Георг V ; 1935 ;  ; Cu ; XF- ; 36 ; azef ; 357 
 2521 ; 1/2 кроны. Южная Родезия, Георг VI ; 1947 ;  ; Cu/Ni ; VF+ ; 15 ; masluak ; 370 
 2522 ; 5 пенсов. Южная Африка ; 1964 ;  ; Ag ; AU ; 28 ; ВЭБ! ; 222 
 2523 ; 1 шиллинг. Южная Африка, Елизавета II ; 1956 ;  ; Ag ; XF+ ; 57 ; vc57 ; 306 
 2524 ; 1/2 пенни. Фиджи, Елизавета II ; 1954 ;  ; Cu/Ni ; AU ; 42 ; masluak ; 311 
 2525 ; 1 пенни-Токен. Великобритания, Ирландия ; 1812 ;  ; Cu ; F-VF ; 69 ; masluak ; 691 
 2526 ; 10 милс. Британская Палестина ; 1941 ;  ; Cu/Ni ; AU ; 40 ; ВМШ ; 227 
 2527 ; 3 пенса. Южная Родезия, Георг VI ; 1944 ;  ; Ag ; XF ; 32 ; vc57 ; 306 
 2528 ; 1 анна. Индия, Георг V ; 1917 ;  ; Cu/Ni ; VF+ ; 82 ; masluak ; 219 
 2529 ; 50 центов. Гон-Конг, Елизавета II ; 1972 ;  ; Cu/Ni ; XF- ; 30 ; masluak ; 203 
 2530 ; 25 центов. Канада, Северо-Западная территория ; 1867-1992 ;  ; Cu/Ni ; AU ; 29 ; masluak ; 151 
 2531 ; 1 кэш. Индия ; 1928-1949 ;  ; Cu ; VF ; 7 ; caterpi ; 112 
 2532 ; 1/24 риксдаллера. Британский Цейлон ; 1815 ;  ; Cu ; VF- ; 28 ; masluak ; 1250 
 2533 ; 1/4 доллара. США. Штат Миссисипи ; 2002 ;  ; Cu/Ni ; AU ; 23 ; Reverse ; 37 
 2534 ; 2000 рейс. Бразилия ; 1924 ;  ; Ag ; XF- ; 50 ; igor_r65 ; 187 
 2435 ; 1 боливар. Венесуэла ; 1945 ;  ; Ag ; VF-XF ; 54 ; igor_r65 ; 227 
 2436 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; VF-XF ; 36 ; димитрий ; 73 
 2437 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF+ ; 38 ; sina ; 135 
 2438 ; 1 франк. Франция ; 1916 ;  ; Ag ; VF-XF ; 39 ; димитрий ; 71 
 2439 ; 50 сантимов. Франция ; 1918 ;  ; Ag ; VF+ ; 22 ; nikolay ; 65 
 2440 ; 1 гульден. Нидерланды ; 1958 ;  ; Ag ; VF-XF ; 17 ; Viktor58 ; 204 
 2441 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; XF ; 14 ; Rober ; 87 
 2442 ; 6 пенсов. ЮАР. Отверстие 3 часа ; 1894 ;  ; Ag ; F-VF ; 29 ; poiskklada ; 77 
 2443 ; 20 сентаво. Филиппины ; 1944 ;  ; Ag ; AU ; 41 ; закрыт ; 140 
 2444 ; 1/2 кроны. Ирландия ; 1928 ;  ; Ag ; VF- ; 32 ; vitapool ; 308 
 2445 ; 20 сентаво. Куба ; 1916 ;  ; Ag ; VF+ ; 18 ; vc57 ; 108 
 2446 ; 20 сентаво. Куба ; 1915 ;  ; Ag ; VF-XF ; 38 ; vc57 ; 107 
 2447 ; 20 сентаво. Куба ; 1920 ;  ; Ag ; VF ; 29 ; димитрий ; 76 
 2448 ; 6 пенсов. Великобритания. Георг VI ; 1937 ;  ; Ag ; AU ; 43 ; masluak ; 300 
 2449 ; 1/2 быра. Эфиопия. Менелик II ; 1887 ;  ; Ag ; VF+ ; 70 ; HARDCOROV ; 426 
 2450 ; 3 пенса. Австралия. Георг V ; 1936 ;  ; Ag ; XF+ ; 29 ; rokada77 ; 429 
 2451 ; 1 франк с надчеканом "sedan". Франция. Наполеон III ; ND ;  ; Ag ; F+ ; 15 ; rokada77 ; 94 
 2452 ; 1/2 кроны. Великобритания. Георг VI ; 1949 ;  ; Cu-Ni ; VF-XF ; 57 ; masluak ; 300 
 2453 ; 1 рупия. Маврикий. Георг VI ; 1951 ;  ; Cu-Ni ; VF ; 12 ; TRT_TT ; 306 
 2454 ; 1/2 рупия. Маврикий. Елизавета II ; 1971 ;  ; Cu-Ni ; VF+ ; 9 ; masluak ; 300 
 2455 ; 2 доллара. Новая Зеландия ; 1990 ;  ; Al/Br ; XF ; 18 ; masluak ; 313 
 2456 ; 3 пенса. Великобритания. Елизавета II ; 1953 ;  ; Al/Br ; AU ; 40 ; vc57 ; 313 
 2457 ; 2 цента. Маврикий. Герг VI ; 1945 ;  ; Cu ; XF+ ; 76 ; masluak ; 787 
 2458 ; 1/2 пайсы. Индия. Георг VI ; 1917 ;  ; Cu ; VF-XF ; 72 ; masluak ; 320 
 2459 ; 6 пенсов. Южная Родезия. Георг VI ; 1950 ;  ; Cu-Ni ; XF+ ; 28 ; shest ; 357 
 2460 ; Монета Индия ; 20 век ;  ; Cu-Ni ; XF ; 24 ; KKK ; 123 
 2461 ; 100 франков. Джибути ; 1991 ;  ; Cu-Ni ; AU ; 19 ; rokada77 ; 143 
 2462 ; 20 пара. Сербия ; 1912 ;  ; Cu-Ni ; XF ; 20 ; NFV ; 149 
 2463 ; 2 пара. Сербия ; 1904 ;  ; Al/Br ; VF ; 28 ; al_ser ; 76 
 2464 ; 10 пара. Югославия ; 1920 ;  ; Zn ; VF ; 18 ; sos1 ; 229 
 2465 ; 20 сентаво. Португалия ; 1924 ;  ; Cu ; VF-XF ; 49 ; zx123 ; 75 
 2466 ; 5 франков. Французское Марокко ; 1370лх ;  ; Al ; AU ; 22 ; zx123 ; 61 
 2467 ; 1/12 шиллинга. Джерси. 900 лет завоевания Англии ; 1966 ;  ; Cu ; VF-XF ; 9 ; rokada77 ; 110 
 2468 ; 1 пенни. Токен. Великобритания. Шеффилд ; 1813 ;  ; Cu ; VF- ; 44 ; masluak ; 1199 
 2469 ; 1 танга. Португальская Индия ; 1947 ;  ; Cu ; VF ; 36 ; vc57 ; 157 
 2470 ; 25 сантимов. Тунис. Протекторат Франции ; 1919 ;  ; Cu-Ni ; XF ; 25 ; Tilla ; 89 
 2471 ; 10 чентезимо. Италия. Наполеон ; 1811М ;  ; Ag200 ; VF ; 77 ; vitas123 ; 561 
 2472 ; 1 лев. Болгария ; 1882 ;  ; Ag ; XF+/AU ; 35 ; не отдам ; 426 
 2473 ; 10 сантимов. Французский Индо-Китай. М-2,7г ; 1908 ;  ; Ag ; VF-XF ; 20 ; не отдам ; 275 
 2474 ; 100 фен. Японская оккупация Китая ; 1940 ;  ; Cu-Ni ; AU ; 19 ; overshtag ; 906 
 2475 ; 1/2 кроны. Новая Зеландия. Георг VI ; 1944 ;  ; Ag ; XF ; 42 ; masluak ; 1009 
 2476 ; 50 бит-10 центов. Датская Западная Индия. Христиан IX ; 1905 ;  ; Ag ; VF-XF ; 36 ; А_еЧъ ; 894 
 2477 ; 12 скиллингов. Датская Америка (Западная Индия). Фредерик V ; 1764 ;  ; Ag ; VF ; 52 ; valrus ; 7163 
 2478 ; 1/4 гильдери. Эссикьюбо и Демерейро (Британская Гайана). Георг III ; 1816 ;  ; Ag ; VF-XF ; 53 ; overshtag ; 2539 
 2479 ; 1 рупия с тигром. Токен. Индия. Бенгалия. 19 frozen ; ND ;  ; Ag ; VF- ; 78 ; overshtag ; 532 
 2480 ; 2000 рейс. Бразилия. Педро II ; 1869 ;  ; Ag ; VF-XF ; 57 ; ВЯЗ ; 1437 
 2481 ; 20 крейцеров. Австрия.  Трансильвания ; 1803С ;  ; Ag ; XF- ; 48 ; locator79 ; 669 
 2482 ; 10 шиллингов. Ирландия ; 1966 ;  ; Ag ; XF ; 35 ; Алек ; 722 
 2483 ; 500 рейс. Португалия. Луис I ; 1879 ;  ; Ag ; XF ; 66 ; overshtag ; 1110 
 2484 ; 1 дирхам. Французское Марокко. Fes Hazram ; 1274лх ;  ; Ag ; VF+ ; 19 ; Tilla ; 691 
 2385 ; Фартинг. Великобритания ; 1932 ;  ; Br ; VF-XF ; 16 ; masluak ; 254 
 2386 ; Фартинг. Великобритания ; 1917 ;  ; Br ; VF+ ; 18 ; masluak ; 306 
 2387 ; Фартинг. Великобритания ; 1924 ;  ; Br ; VF-XF ; 26 ; masluak ; 300 
 2388 ; Фартинг. Великобритания ; 1929 ;  ; Br ; VF-XF ; 31 ; masluak ; 200 
 2389 ; Фартинг. Великобритания ; 1928 ;  ; Br ; VF-XF ; 19 ; masluak ; 255 
 2390 ; Фартинг. Великобритания ; 1930 ;  ; Br ; XF- ; 32 ; vitas123 ; 306 
 2391 ; Фартинг. Великобритания ; 1931 ;  ; Br ; XF+ ; 38 ; azef ; 204 
 2392 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF+ ; 23 ; masluak ; 300 
 2393 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; XF- ; 18 ; pref ; 234 
 2394 ; 2 пенса. Великбритания. Деформация ; 1887 ;  ; Ag ; AU ; 32 ; dsidorov ; 800 
 2395 ; 1 шиллинг. Великобритания ; 1787 ;  ; Ag ; AU ; 76 ; masluak ; 3500 
 2396 ; 1/2 кроны. Великобритания ; 1889 ;  ; Ag ; XF- ; 53 ; masluak ; 1500 
 2397 ; 1 крона. Великобритания ; 1933 ;  ; Ag ; XF- ; 37 ; masluak ; 1250 
 2398 ; 1 шиллинг. Южная Африка ; 1943 ;  ; Ag ; VF-XF ; 44 ; masluak ; 412 
 2399 ; 10 франков. Франция ; 1930 ;  ; Ag ; VF+ ; 24 ; Sterh ; 83 
 2400 ; 10 центов. Стрейтс-Сетлментс ; 1919 ;  ; Ag ; F-VF ; 18 ; masluak ; 108 
 2401 ; 10 центов. Стрейтс-Сетлментс ; 1919 ;  ; Ag ; F-VF ; 37 ; masluak ; 204 
 2402 ; 10 центов. Стрейтс-Сетлментс ; 1927 ;  ; Ag ; AU ; 27 ; masluak ; 300 
 2403 ; 10 центов. Стрейтс-Сетлментс ; 1926 ;  ; Ag ; F-VF ; 13 ; masluak ; 300 
 2404 ; 10 центов. Стрейтс-Сетлментс ; 1910 ;  ; Ag ; F-VF ; 6 ; masluak ; 101 
 2405 ; 5 центов. Южная Африка ; 1963 ;  ; Ag ; VF+ ; 21 ; masluak ; 204 
 2406 ; 1/4 гульдена. Нидерландская Индия ; 1941 ;  ; Ag ; XF- ; 37 ; Rober ; 78 
 2407 ; 6 пенсов. Австралия ; 1942 ;  ; Ag ; VF-XF ; 21 ; masluak ; 204 
 2408 ; 25 центов. Нидерланды ; 1943 ;  ; Ag ; XF ; 40 ; димитрий ; 61 
 2409 ; 3 пенса. Австралия ; 1944 ;  ; Ag ; VF-XF ; 20 ; masluak ; 153 
 2410 ; 10 центов. Нидерланды ; 1936 ;  ; Ag ; XF- ; 31 ; Sterh ; 32 
 2411 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; XF+ ; 23 ; димитрий ; 66 
 2412 ; 1/10 гульдена. Нидерландская Индия ; 1914 ;  ; Ag ; VF- ; 28 ; димитрий ; 29 
 2413 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 25 ; димитрий ; 26 
 2414 ; 5 сентесимо. Панама ; 1904 ;  ; Ag ; VF- ; 19 ; vc57 ; 83 
 2415 ; 1 дайм. США. Барбер. Отверстие 12 часов ; 1899 ;  ; Ag ; F-VF ; 15 ; paxa ; 37 
 2416 ; 25 центов. Нидерланды ; 1944 ;  ; Ag ; AU ; 33 ; feniks79 ; 55 
 2417 ; 10 сентаво. Филиппины ; 1944D ;  ; Ag ; AU ; 47 ; vc57 ; 99 
 2418 ; 3 пенса. Новая Зеландия ; 1955 ;  ; Ag ; XF+ ; 11 ; masluak ; 204 
 2419 ; 1/4 бальбоа. Панама ; 1953 ;  ; Ag ; VF+ ; 9 ; vc57 ; 59 
 2420 ; 1/10 гульдена. Кюрасао ; 1947 ;  ; Ag ; AU ; 21 ; vc57 ; 105 
 2421 ; 10 сентаво. Филиппины ; 1945D ;  ; Ag ; XF+ ; 18 ; Pyrros ; 81 
 2422 ; 25 центов. Канада ; 1938 ;  ; Ag ; VF ; 14 ; masluak ; 255 
 2423 ; 10 центов. Цейлон ; 1893 ;  ; Ag ; VF ; 25 ; masluak ; 255 
 2424 ; 6 пенсов. Новая Зеландия ; 1934 ;  ; Ag ; VF ; 17 ; masluak ; 204 
 2425 ; 1/4 рупии. Британская Индия ; 1944 ;  ; Ag ; VF+ ; 46 ; masluak ; 347 
 2426 ; 20 сентаво. Куба. 50 лет республике ; 1952 ;  ; Ag ; VF+ ; 38 ; димитрий ; 142 
 2427 ; 50 сентаво. Испания ; 1880 ;  ; Ag ; VF- ; 67 ; vitapool ; 127 
 2428 ; 1 крона. Австрия ; 1893 ;  ; Ag ; VF ; 60 ; num1 ; 104 
 2429 ; 3 пенса. Австралия ; 1950 ;  ; Ag ; XF+ ; 19 ; masluak ; 157 
 2430 ; 1 шиллинг. Австралия ; 1942 ;  ; Ag ; VF-XF ; 35 ; ВМШ ; 313 
 2431 ; 1 шиллинг. Австралия ; 1960 ;  ; Ag ; VF-XF ; 12 ; masluak ; 123 
 2432 ; 1 шиллинг. Австралия ; 1959 ;  ; Ag ; VF+ ; 16 ; masluak ; 138 
 2433 ; 1 флорин. Австралия ; 1944 ;  ; Ag ; XF ; 22 ; igor_r65 ; 306 
 2434 ; 5 шиллингов. Австрия ; 1964 ;  ; Ag ; XF+ ; 27 ; ВЭБ! ; 221 
 2335 ; 1 доллар. США. Джеймстаун ; 2007P ;  ; Ag ; Proof ; 35 ; o.k. ; 1019 
 2336 ; 1/2 доллара. США. 250 лет со дня рождения Вашингтона ; 1982S ;  ; Ag ; Proof ; 18 ; dsidorov ; 417 
 2337 ; 1/4 доллара. США. Калифорния ; 2005S ;  ; Ag ; Proof ; 64 ; crazybober ; 560 
 2338 ; 1/4 доллара. США. Западная Вирджиния ; 2005S ;  ; Ag ; Proof ; 41 ; dsidorov ; 584 
 2339 ; 1/4 доллара. США. Орегон ; 2005S ;  ; Ag ; Proof ; 35 ; crazybober ; 560 
 2340 ; 1/4 доллара. США. Миннесота ; 2005S ;  ; Ag ; Proof ; 29 ; crazybober ; 560 
 2341 ; 1/4 доллара. США. Канзас ; 2005S ;  ; Ag ; Proof ; 41 ; 100924 ; 608 
