 5458 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 14 ; vvf75 ; 50 
 3239 ; 5 динаров. Югославия ; 1975 ;  ; Cu-Ni ; XF- ; 15 ; Mike! ; 101 
 3240 ; 10 динаров. Югославия. Сутиеская битва ; 1983 ;  ; Cu-Ni ; XF ; 15 ; Mike! ; 191 
 3241 ; 1 лира. Италия ; 1924 ;  ; Cu-Ni ; VF ; 14 ; Magger ; 78 
 3242 ; 50 центов. Фиджи ; 1979 ;  ; Cu-Ni ; XF+ ; 25 ; Хаа ; 348 
 3243 ; 3 пенса. Австралия ; 1916 ;  ; Ag ; F+ ; 16 ; Mike! ; 129 
 3244 ; 3 пенса. Австралия ; 1934 ;  ; Ag ; VF ; 5 ; Mike! ; 121 
 3245 ; 3 пенса. Австралия ; 1921 ;  ; Ag ; F-VF ; 7 ; vor0niko ; 125 
 3246 ; 10 лева. Болгария ; 1930 ;  ; Cu-Ni ; VF- ; 21 ; Mike! ; 59 
 3247 ; 1 сантим. Монако ; 1978 ;  ; St ; XF+ ; 41 ; Mike! ; 459 
 3248 ; 25 эре. Дания ; 1929 ;  ; Cu-Ni ; VF ; 8 ; Mike! ; 58 
 3249 ; 10 евро. Германия. Шуман ; 2010 ;  ; Ag ; AU ; 16 ; Mike! ; 1107 
 3250 ; 2 злотых. Польша ; 1924 ;  ; Ag ; F- ; 26 ; Mike! ; 1339 
 3251 ; 2 злотых. Польша ; 2004 ;  ; Al/Br ; XF ; 19 ; кот баюн ; 101 
 3252 ; 1 шиллинг. Австрия ; 1925 ;  ; Ag ; VF- ; 9 ; Mike! ; 286 
 3253 ; 50 сен. Япония ; 1910 ;  ; Ag ; VF+ ; 20 ; Mike! ; 924 
 3254 ; 5 евро. Португалия ; 2004 ;  ; Ag ; XF+ ; 9 ; Mike! ; 432 
 3255 ; 1 динар. Югославия ; 1938 ;  ; Al/Br ; VF ; 13 ; Mike! ; 83 
 3256 ; Монетовидный жетон 1 марка Германия ; 1953 ;  ; al ; VF+ ; 6 ; eres ; 251 
 3257 ; 5 гривен. Украина. Елецкий Свято-Успенский монастырь ; 2012 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 171 
 3258 ; 2 гривны. Украина. Стерлядь Пресноводная ; 2012 ;  ; Cu-Ni ; AU ; 19 ; rusin ; 295 
 3259 ; 5 гривен. Украина. 110 лет Киевскому фуникулеру ; 2015 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 197 
 3260 ; 2 гривны. Украина. Музыкальная академия им П.И.Чайковского ; 2013 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 164 
 3261 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 684 
 3262 ; 5 гривен. Украина. Судинок М.Волошина ; 2013 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 190 
 3263 ; 2 гривны. Украина. Зоопарк ; 2008 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 216 
 3164 ; 1000 эскудо. Португалия. ; 1996 ;  ; Ag ; AU ; 23 ; asm1048576 ; 702 
 3165 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF-XF ; 33 ; Maxim914 ; 1326 
 3166 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF+ ; 28 ; Elephant ; 1105 
 3167 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF-XF ; 32 ; себер ; 1258 
 3168 ; 2,5 эскудо. Португалия ; 1944 ;  ; Ag ; VF- ; 9 ; нюанс ; 102 
 3169 ; 2,5 эскудо. Португалия ; 1945 ;  ; Ag ; VF- ; 11 ; нюанс ; 197 
 3170 ; 3 пенса. Южная Африка ; 1949 ;  ; Ag ; VF+ ; 19 ; алим ; 65 
 3171 ; 3 пенса. Южная Африка ; 1933 ;  ; Ag ; VF-XF ; 17 ; Andy M ; 217 
 3172 ; 3 пенса. Великобритания. Отверстие ; 1931 ;  ; Ag ; VF ; 5 ; vor0niko ; 53 
 3173 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF+ ; 5 ; Moribor ; 101 
 3174 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF ; 5 ; 4758 ; 82 
 3175 ; 3 пенса. Великобритания ; 1932 ;  ; Ag ; VF ; 5 ; Moribor ; 101 
 3176 ; 10 сент. Нидерланды ; 1939 ;  ; Ag ; VF-XF ; 24 ; porte33 ; 101 
 3177 ; 10 сент. Нидерланды ; 1938 ;  ; Ag ; XF ; 15 ; жора ; 101 
 3178 ; 10 сент. Нидерланды ; 1919 ;  ; Ag ; VF ; 11 ; ufa ; 123 
 3179 ; 10 сент. Нидерланды ; 1937 ;  ; Ag ; VF+ ; 8 ; доллар капут ; 67 
 3180 ; 10 сент. Нидерланды ; 1936 ;  ; Ag ; XF- ; 7 ; доллар капут ; 68 
 3181 ; 10 сент. Нидерланды ; 1928 ;  ; Ag ; VF ; 21 ; sveta6369 ; 101 
 3182 ; 1 доллар. США. 200 лет независимости ; 1976D ;  ; Cu-Ni ; XF ; 8 ; S.A.I. ; 155 
 3183 ; 1/2 крона. Великобритания ; 1955 ;  ; Cu-Ni ; XF ; 17 ; Moribor ; 122 
 3184 ; 10 эре. Швеция ; 1958 ;  ; Ag ; XF ; 13 ; Fontan ; 36 
 3185 ; 1 сольди. Женева ; 1825 ;  ; Ag ; F ; 22 ; папа может ; 635 
 3186 ; 10 эре. Швеция ; 1918 ;  ; Ag ; VF- ; 7 ; Magger ; 46 
 3187 ; Монета иностранная ; 17779 ;  ; Ag ; F ; 15 ; папа может ; 277 
 3188 ; 4 скиллинга. Швеция ; 1842 ;  ; Ag ; F ; 10 ; jj ; 220 
 3189 ; Монета иностранная ; 1950 ;  ;  ; VF-XF ; 14 ; Александ98 ; 53 
 3190 ; 1 флорин. Великобритания ; 1915 ;  ; Ag ; VF-XF ; 19 ; aleksss ; 785 
 3191 ; 1 флорин. Великобритания ; 1919 ;  ; Ag ; XF- ; 20 ; aleksss ; 700 
 3192 ; 1 флорин. Великобритания ; 1916 ;  ; Ag ; XF- ; 31 ; alapabula ; 1025 
 3193 ; 25 сент. Нидерланды ; 1919 ;  ; Ag ; VF ; 25 ; franklin ; 104 
 3194 ; 10 сент. Нидерланды ; 1938 ;  ; Ag ; XF ; 35 ; Lex2000 ; 101 
 3195 ; 10 сент. Нидерланды ; 1937 ;  ; Ag ; XF ; 5 ; lva08 ; 101 
 3196 ; 10 сент. Нидерланды ; 1939 ;  ; Ag ; XF ; 27 ; Lex2000 ; 101 
 3197 ; 10 сент. Нидерланды ; 1936 ;  ; Ag ; XF ; 19 ; Lex2000 ; 100 
 3198 ; 10 сент. Нидерланды ; 1944 ;  ; Ag ; XF ; 10 ; sveta6369 ; 101 
 3199 ; 10 сент. Нидерланды ; 1941 ;  ; Ag ; XF ; 29 ; Lex2000 ; 100 
 3200 ; 3 пенса. Великобритания ; 1919 ;  ; Ag ; VF- ; 17 ; carniks ; 137 
 3201 ; 3 пенса. Великобритания ; 1940 ;  ; Ag ; VF+ ; 5 ; vor0niko ; 101 
 3202 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; XF- ; 3 ; 4758 ; 82 
 3203 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF-XF ; 5 ; Moribor ; 101 
 3204 ; 1 цент. Французский Индо-Китай ; 1887 ;  ; Br ; VF+ ; 36 ; Mike! ; 313 
 3205 ; 1 крейцер. Германия ; 1819 ;  ; Br ; VF ; 10 ; Mike! ; 387 
 3206 ; 2 эре. Швеция ; 1875 ;  ; Br ; VF ; 5 ; Mike! ; 85 
 3207 ; 25 пара. Югославия ; 1938 ;  ; Br ; F ; 12 ; Mike! ; 101 
 3208 ; 4 доллара. Сент-Винсент ; 1970 ;  ; Cu-Ni ; XF+ ; 32 ; Mike! ; 2000 
 3209 ; 2 гривны. Украина. Мурашко ; 2015 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 164 
 3210 ; 2 гривны. Украина. Сикорский ; 2009 ;  ; Cu-Ni ; AU ; 20 ; sergey2015 ; 318 
 3211 ; 5 гривен. Украина. Днепрогес ; 2002 ;  ; Би/м ; AU ; 43 ; Mike! ; 2005 
 3212 ; 200 марок. Веймар ; 1923F ;  ; Al ; VF+ ; 20 ; Mike! ; 79 
 3213 ; 2 гривны. Украина. Лятошинский ; 2005 ;  ; Cu-Ni ; AU ; 31 ; Mike! ; 551 
 3114 ; 10 марок. ФРГ. Кольпинг. В упаковке ; 1996A ;  ; Ag ; Proof ; 20 ; alexduk ; 459 
 3115 ; 10 марок. ФРГ. Бранденбургские ворота. Упаковка нарушена ; 1991А ;  ; Ag ; Proof ; 24 ; salim ; 577 
 3116 ; 10 марок. ФРГ. Иоганн Готтфрид Гердер. Упаковка нарушена ; 1994G ;  ; Ag ; Proof ; 18 ; Lex2000 ; 531 
 3117 ; 10 марок. ФРГ. Годовщина покушения на Гитлера. В упаковке ; 1994А ;  ; Ag ; Proof ; 30 ; Lex2000 ; 667 
 3118 ; 10 марок. ФРГ. Годовщина покушения на Гитлера. В упаковке ; 1994А ;  ; Ag ; Proof ; 28 ; guronidze ; 825 
 3119 ; 10 марок. ФРГ. Годовщина поркушения на Гитлера. В упаковке ; 1994А ;  ; Ag ; Proof ; 23 ; solder13 ; 701 
 3120 ; 10 марок. ФРГ. Катэ Кольвиц. В упаковке ; 1992G ;  ; Ag ; Proof ; 26 ; Lex2000 ; 531 
 3121 ; 10 марок. ФРГ. 50 лет мира и согласия. В упаковке ; 1995J ;  ; Ag ; Proof ; 16 ; Aurora810 ; 515 
 3122 ; 10 марок. ФРГ. Генрих Лев. В упаковке ; 1995F ;  ; Ag ; Proof ; 22 ; Lex2000 ; 554 
 3123 ; 10 марок. ФРГ. Кайзер Фридрих Барбаросса. В упаковке ; 1990F ;  ; Ag ; Proof ; 16 ; Alisa79 ; 531 
 3124 ; 10 марок. ФРГ. Роберт Кох. В упаковке ; 1993J ;  ; Ag ; Proof ; 14 ; Lex2000 ; 553 
 3125 ; 10 марок. ФРГ. Роберт Кох. В упаковке ; 1993J ;  ; Ag ; Proof ; 14 ; Aurora810 ; 585 
 3126 ; 10 марок. ФРГ. Роберт Кох. В упаковке ; 1993J ;  ; Ag ; Proof ; 10 ; alexduk ; 526 
 3127 ; 10 марок. ФРГ. 750 лет Берлину. В упаковке ; 1987J ;  ; Ag ; Proof ; 34 ; Noble ; 677 
 3128 ; 10 марок. ФРГ. Римский доготов. В упаковке ; 1987G ;  ; Ag ; Proof ; 26 ; Noble ; 681 
 3129 ; 10 марок. ФРГ. Кольпинг. В упаковке ; 1996А ;  ; Ag ; Proof ; 19 ; Lex2000 ; 531 
 3130 ; 10 марок. ФРГ. Ф.Мелангтон. В упаковке ; 1997J ;  ; Ag ; Proof ; 23 ; Lex2000 ; 577 
 3131 ; 10 марок. ФРГ. Ф.Мелангтон. В упаковке ; 1997D ;  ; Ag ; Proof ; 24 ; A.L.E.X.D.U.K ; 582 
 3132 ; 10 марок. ФРГ. Ф.Мелангтон. В упаковке ; 1997А ;  ; Ag ; Proof ; 23 ; magpie ; 742 
 3133 ; 10 марок. ФРГ. 1000 лет Потсдаму. В упаковке ; 1993F ;  ; Ag ; Proof ; 33 ; Noble ; 673 
 3134 ; 10 марок. ФРГ. Кольпинг. В упаковке ; 1996А ;  ; Ag ; Proof ; 31 ; Lex2000 ; 653 
 3135 ; 10 злотых. Польша. Легионерскйи орел ; 1934 ;  ; Ag ; VF+ ; 74 ; bob375 ; 3400 
 3136 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF ; 38 ; murew ; 346 
 3137 ; 5 марок. Финляндия ; 1931 ;  ; Al/Br ; VF-XF ; 13 ; rusin ; 101 
 3138 ; 5 лир. Ватикан ; 1958 ;  ; Al ; VF+ ; 9 ; lva08 ; 114 
 3139 ; 5 гривен. Украина. 50 лет вхождения Крыма в состав Украины ; 2004 ;  ; Би/м ; AU ; 50 ; Mike! ; 1500 
 3140 ; 2 пенго. Венгрия ; 1938 ;  ; Ag ; VF+ ; 17 ; Mike! ; 432 
 3141 ; 2 динара. Сербия ; 1904 ;  ; Ag ; XF- ; 57 ; Maxim914 ; 1121 
 3142 ; 1 шиллинг. Южная Африка ; 1954 ;  ; Ag ; F-VF ; 28 ; Mike! ; 150 
 3143 ; 1 шиллинг. Австралия ; 1955 ;  ; Ag ; VF- ; 6 ; Mike! ; 122 
 3144 ; 3 пенса. Австралия ; 1927 ;  ; Ag ; F-VF ; 5 ; Mike! ; 104 
 3145 ; 2000 динаров. Иран ; 1329 ;  ; Ag ; VF ; 19 ; Mike! ; 777 
 3146 ; 10 эре. Швеция ; 1929 ;  ; Ag ; VF- ; 10 ; Mike! ; 57 
 3147 ; 10 франков. Люксембург ; 1929 ;  ; Ag ; VF ; 15 ; Mike! ; 589 
 3148 ; 3 пенса. Великобритания ; 1938 ;  ; Lat ; VF-XF ; 33 ; Moribor ; 50 
 3149 ; 1 фартинг. Великобритания ; 1938 ;  ; Br ; XF+ ; 13 ; didisister ; 65 
 3150 ; 6 пенсов. Великобритания ; 1938 ;  ; Ag ; VF-XF ; 27 ; alapabula ; 453 
 3151 ; 1 шиллинг. Великобритания. Английский герб ; 1938 ;  ; Ag ; XF- ; 9 ; alehandr ; 300 
 3152 ; 1 шиллинг. Великобритания. Шотландский герб ; 1938 ;  ; Ag ; XF ; 17 ; Ssid ; 305 
 3153 ; 1 фунт. Великобритания. Новый герб. Пятый портер Елизаветы II ; 2015 ;  ; Lat ; XF+ ; 25 ; mr.812 ; 329 
 3154 ; 1 флорин. Великобритания ; 1916 ;  ; Ag ; XF ; 10 ; Чашник ; 1448 
 3155 ; 2 доллара. Барбадос ; 1974 ;  ; Cu-Ni ; Proof ; 26 ; sahakala ; 524 
 3156 ; 5 долларов. Барбадос. Фонтан ; 1974 ;  ; Ag ; Proof ; 28 ; olancepok ; 1436 
 3157 ; 10 долларов. Барбадос. Нептун ; 1974 ;  ; Ag ; Proof ; 54 ; karuzo ; 1794 
 3158 ; 50 сен. Япония ; 1907 ;  ; Ag ; VF ; 28 ; Magger ; 714 
 3159 ; 10 сен. Япония ; 1897 ;  ; Ag ; VF- ; 16 ; ЛБС ; 363 
 3160 ; 10 сен. Япония ; 1914 ;  ; Ag ; VF ; 15 ; sveta6369 ; 303 
 3161 ; 5 шиллингов. Великобритания. Елизавета II ; 1953 ;  ; Cu-Ni ; AU ; 25 ; DeusEx ; 225 
 3162 ; 1 доллар. Австралия. Австралийская Антарктическая территория ; 2007 ;  ; Ag ; Proof ; 35 ; boryas1 ; 2561 
 3163 ; 50 сен. Япония ; 1871 ;  ; Ag ; VF ; 69 ; папашаГарпагон ; 3933 
 3064 ; 20 мунгу. Монголия ; 1937 ;  ; Cu-Ni ; VF ; 19 ; папашаГарпагон ; 181 
 3065 ; 5 лат. Латвия ; 1932 ;  ; Ag ; VF-XF ; 26 ; Мотя ; 1317 
 3066 ; 1 пенни. Великобритания ; 1797 ;  ; Br ; F ; 24 ; nays ; 680 
 3067 ; 1 пенни. Финляндия ; 1919 ;  ; Cu ; XF+ ; 30 ; lupus47 ; 104 
 3068 ; 1 доллар. США. 200 лет независимости ; 1976 ;  ; Cu-Ni ; AU ; 9 ; 55tcvetkov55 ; 108 
 3069 ; 1 доллар. США ; 1979 ;  ; Cu-Ni ; AU ; 10 ; Звездолёты ; 105 
 3070 ; 1/2 доллара. США ; 1968D ;  ; Ag ; AU ; 28 ; логопед ; 385 
 3071 ; 1/2 доллара. США ; 1977 ;  ; Cu-Ni ; AU ; 13 ; жора ; 51 
 3072 ; 1/2 доллара. США. 200 лет независимости ; 1976 ;  ; Cu-Ni ; AU ; 17 ; Hmel ; 60 
 3073 ; 5 центов. США ; 1911 ;  ; Cu-Ni ; VF+ ; 23 ; Виталий 64 ; 714 
 3074 ; 25 сум. Узбекистан. 800 лет со дня рождения Жалолиддина Мангуберды ; 1999 ;  ; Ni ; AU ; 6 ; lestes ; 226 
 3075 ; 20 злотых. Польша. Ящерица ; 2009 ;  ; Ag ; Proof ; 17 ; obr73 ; 1549 
 3076 ; 1 флорин. Великобритания ; 1915 ;  ; Ag ; VF+ ; 26 ; alapabula ; 722 
 3077 ; 1 флорин. Великобритания ; 1918 ;  ; Ag ; VF+ ; 13 ; carniks ; 571 
 3078 ; 1 флорин. Великобритания ; 1919 ;  ; Ag ; VF+ ; 14 ; carniks ; 625 
 3079 ; 100 крон. Чехословакия. 70 лет Сталину ; 1949 ;  ; Ag ; XF ; 26 ; flutter ; 1216 
 3080 ; 1/2 экю. Франция. В капсуле NGC ; 1729D ;  ; Ag ; XF45 ; 125 ; ZOLTAN333 ; 9575 
 3081 ; 5 марок. ФРГ. Гутенберг ; 1968G ;  ; Ag ; XF+ ; 38 ; smirnov1957 ; 306 
 3082 ; 5 марок. ФРГ. Н.Коперник ; 1973J ;  ; Ag ; AU ; 8 ; karuzo ; 324 
 3083 ; 5 марок. ФРГ. Т.Фонтейн ; 1969G ;  ; Ag ; XF+ ; 31 ; rem ; 310 
 3084 ; 5 марок. ФРГ. Ганс Якоб Кристоф фон Гриммельхаусен ; 1976D ;  ; Ag ; AU ; 30 ; Lex2000 ; 333 
 3085 ; 5 марок. ФРГ. Немецкий археологический институт ; 1979J ;  ; Ag ; AU ; 32 ; Lex2000 ; 361 
 3086 ; 5 марок. ФРГ. Альбрехт Дюрер ; 1971D ;  ; Ag ; XF+ ; 13 ; Lex2000 ; 328 
 3087 ; 5 марок. ФРГ. Иммануил Кант ; 1974D ;  ; Ag ; XF+ ; 21 ; ремпутьмаш ; 317 
 3088 ; 5 марок. ФРГ. Иммануил Кант ; 1974D ;  ; Ag ; XF ; 28 ; ремпутьмаш ; 306 
 3089 ; 5 марок. ФРГ. Генрих фон Кляйст ; 1977G ;  ; Ag ; XF+ ; 6 ; ремпутьмаш ; 327 
 3090 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 20 ; smirnov1957 ; 305 
 3091 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 23 ; Lex2000 ; 301 
 3092 ; 5 марок. ФРГ. Макс Петтенкофер ; 1968D ;  ; Ag ; XF+ ; 21 ; ремпутьмаш ; 301 
 3093 ; 5 марок. ФРГ. Европейский год защиты памятников ; 1975F ;  ; Ag ; AU ; 27 ; 3ТЭП75 ; 306 
 3094 ; 5 марок. ФРГ. Европейский год защиты памятников ; 1975F ;  ; Ag ; AU ; 24 ; Lex2000 ; 348 
 3095 ; 5 марок. ФРГ. Бальтазар Нойманн ; 1978F ;  ; Ag ; AU ; 22 ; rem ; 319 
 3096 ; 5 марок. ФРГ. Немецкий парламент ; 1971G ;  ; Ag ; XF ; 30 ; Lex2000 ; 352 
 3097 ; 5 марок. ФРГ. Немецкий парламент ; 1971G ;  ; Ag ; XF+ ; 25 ; canario ; 306 
 3098 ; 5 марок. ФРГ. Фридрих Райффайзен ; 1968J ;  ; Ag ; AU ; 34 ; Lex2000 ; 357 
 3099 ; 5 марок. ФРГ. 25 лет ФРГ ; 1974F ;  ; Ag ; AU ; 29 ; Lex2000 ; 362 
 3100 ; 5 марок. ФРГ. Франкфуртское национальное собрание ; 1973G ;  ; Ag ; XF+ ; 9 ; smirnov1957 ; 300 
 3101 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 28 ; ремпутьмаш ; 363 
 3102 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; XF+ ; 20 ; ремпутьмаш ; 320 
 3103 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 26 ; bob375 ; 320 
 3104 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 27 ; 3ТЭП75 ; 324 
 3105 ; 5 марок. ФРГ. Альберт Швайцер ; 1975G ;  ; Ag ; AU ; 28 ; Lex2000 ; 331 
 3106 ; 5 марок. ФРГ. Густав Штрессманн ; 1978D ;  ; Ag ; XF+ ; 20 ; xxxl ; 295 
 3107 ; 5 марок. ФРГ. Карл Фридрих Гаусс ; 1977J ;  ; Ag ; XF+ ; 23 ; Lex2000 ; 313 
 3108 ; 10 марок. ФРГ. 2000 лет Бонну. Упаковка нарушена ; 1989D ;  ; Ag ; Proof ; 17 ; solder13 ; 612 
 3109 ; 10 марок. ФРГ. 40 лет ФРГ. В упаковке ; 1989G ;  ; Ag ; Proof ; 41 ; артега ; 531 
 3110 ; 10 марок. ФРГ. Орден за заслуги в науке и искусстве. В упаковке ; 1992D ;  ; Ag ; Proof ; 28 ; karuzo ; 590 
 3111 ; 10 марок. ФРГ. Карл Зайсс. В упаковке ; 1988F ;  ; Ag ; Proof ; 36 ; Aurora810 ; 658 
 3112 ; 10 марок. ФРГ. В.Рентген. В упаковке ; 1995D ;  ; Ag ; Proof ; 26 ; karuzo ; 566 
 3113 ; 10 марок. ФРГ. Тевтонский орден. В упаковке ; 1990J ;  ; Ag ; Proof ; 21 ; A.L.E.X.D.U.K ; 554 
 3014 ; 1 доллар. Канада. 100 лет вхождения острова Принца Эдуарда в Конфедерацию ; 1973 ;  ; Cu-Ni ; XF+ ; 14 ; kornum ; 215 
 3015 ; 20 драхм. Греция ; 1960 ;  ; Ag ; XF ; 14 ; rusin ; 228 
 3016 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF+ ; 25 ; F-VF ; 1406 
 3017 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF-XF ; 16 ; 3ТЭП75 ; 242 
 3018 ; 1 крона. Венгри ; 1898 ;  ; Ag ; XF- ; 24 ; qver ; 546 
 3019 ; 10 крон. Дания. Свадьба принцессы Маргарет ; 1967 ;  ; Ag ; AU ; 28 ; Alekss_27 ; 824 
 3020 ; 2 кроны. Швеция. Золотая свадьба ; 1907 ;  ; Ag ; XF+ ; 25 ; Jeff ; 1216 
 3021 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; XF+ ; 15 ; grafs ; 181 
 3022 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; XF ; 13 ; grafs ; 192 
 3023 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 14 ; lva08 ; 102 
 3024 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF-XF ; 16 ; Matveich1991 ; 113 
 3025 ; 2 франка. Швейцария ; 1886 ;  ; Ag ; VF ; 14 ; Al777 ; 779 
 3026 ; 5 марок. ФРГ ; 1973D ;  ; Ag ; XF+ ; 27 ; xxxl ; 298 
 3027 ; 5 франков. Франция ; 1868ВВ ;  ; Ag ; VF+ ; 14 ; Jeff ; 1274 
 3028 ; 100 франков. Франция. Свобода, равенстов,братство ; 1988 ;  ; Ag ; XF+ ; 5 ; S1952 ; 693 
 3029 ; 100 франков. Франция. Генерал Ла Файет ; 1987 ;  ; Ag ; XF ; 14 ; obr73 ; 907 
 3030 ; 5 франков. Бельгия ; 1850 ;  ; Ag ; VF+ ; 37 ; olancepok ; 2620 
 3031 ; 500 франков. Бельгия. 150 лет образования Бельгии ; 1980 ;  ; Ag ; XF+ ; 5 ; папа может ; 404 
 3032 ; 10 центов. Британский Цейлон ; 1894 ;  ; Ag ; F ; 16 ; кот баюн ; 192 
 3033 ; 1 доллар. Британская Канада. 100 лет Парментской библиотеке ; 1976 ;  ; Ag ; AU ; 22 ; olancepok ; 714 
 3034 ; 5 песет. Испания ; 1894 ;  ; Ag ; VF ; 20 ; Настенька ; 1017 
 3035 ; 6 кварто. Испания, Каталония ; 1838 ;  ; Cu ; F ; 28 ; 2262н ; 989 
 3036 ; 1 доллар. США. Эйзенхауэр ; 1971 ;  ; Ag ; XF+ ; 13 ; S.A.I. ; 600 
 3037 ; 10000 вон. Южная Корея. Олимпиада в Сеуле. Велосипед ; 1988 ;  ; Ag ; Proof ; 29 ; karuzo ; 1842 
 3038 ; 5000 вон. Южная Корея. Олимпиада в Сеуле ; 1988 ;  ; Ag ; Proof ; 28 ; karuzo ; 1202 
 3039 ; 2 франка. Франция. Торговая палата ; 1922 ;  ; Br ; VF ; 8 ; кот баюн ; 38 
 3040 ; 20 рупий. Непал ; 1975 ;  ; Ag ; F+ ; 19 ; Серж PirGS ; 682 
 3041 ; 10 рупий. Непал ; 1974 ;  ; Ag ; VF ; 10 ; kornum ; 303 
 3042 ; 1 франк. Франция. Торговая палата ; 1921 ;  ; Br ; VF ; 9 ; Yuri_Che ; 36 
 3043 ; 1/2 кроны. Великобритания ; 1948 ;  ; Cu-Ni ; VF ; 3 ; S1952 ; 55 
 3044 ; 10 долларов. Либерия. ЧМ по футболу в 2006г. Сборная Аргентины ; 2005 ;  ; Ag ; Proof ; 34 ; football ; 1420 
 3045 ; 100 песо. Мексика. ЧМ по футболу в 1986г. ; 1986 ;  ; Ag ; Proof ; 27 ; shav959 ; 2256 
 3046 ; 25 гурдов. Гаити. ЧМ по футболу в Германии в 1974г. ; 1973 ;  ; Ag ; Proof ; 18 ; mefody73 ; 816 
 3047 ; 500 квача. Замбия. ЧМ по футболу ; 2001 ;  ; Ag ; Proof ; 23 ; mountblade ; 1326 
 3048 ; 500 франков. Того. ЧМ по футболу в Германии в 2006 году ; 2001 ;  ; Ag ; Proof ; 27 ; mountblade ; 1326 
 3049 ; 5 долларов. Либерия. Европа-2000 ;  ;  ; Cu-Ni ; AU ; 13 ; x-file ; 191 
 3050 ; 1 крона. Остров Мэн. ЧМ по футболу в Мексике в 1986 году ; 1986 ;  ; Cu-Ni ; AU ; 24 ; Звездолёты ; 300 
 3051 ; 1 крона. Остров Мэн. Олимпиада в Лос-Анджелесе в 1984 году ; 1984 ;  ; Cu-Ni ; AU ; 28 ; val211 ; 294 
 3052 ; 5 шиллингов. Танзания ; 1971 ;  ; Cu-Ni ; AU ; 28 ; v_bond ; 105 
 3053 ; 1 доллар. Австралия. Год Быка ; 2009 ;  ; Ag ; AU ; 42 ; 7854 ; 2792 
 3054 ; 2/3 скиллинга. Швеция ; 1843 ;  ; Cu ; VF ; 26 ; dfg ; 240 
 3055 ; 1/4 скиллинга. Швеция ; 1808 ;  ; Cu ; VF+ ; 22 ; krugerrand ; 203 
 3056 ; 1/4 скиллинга. Швеция ; 1825 ;  ; Cu ; VF+ ; 25 ; Zarik ; 193 
 3057 ; 1/12 скиллинга. Швеция ; 1805 ;  ; Cu ; XF- ; 34 ; lva08 ; 264 
 3058 ; 1/6 скиллинга. Швеция ; 1839 ;  ; Br ; VF ; 34 ; murew ; 242 
 3059 ; Дайм. США ; 1914D ;  ; Ag ; F-VF ; 23 ; игорь 222 ; 255 
 3060 ; Дайм. США ; 1916 ;  ; Ag ; F+ ; 9 ; dfg ; 261 
 3061 ; Дайм. США ; 1916 ;  ; Ag ; F+ ; 21 ; Cooper338 ; 255 
 3062 ; 1 миллион карбованцев. Украина. Григорий сковорода. Упаковка ; 1996 ;  ; Ag ; Proof ; 76 ; Maxim914 ; 2349 
 3063 ; 1 лат. Латвия ; 1924 ;  ; Ag ; XF- ; 22 ; alehandr ; 289 
 2964 ; 1/2 марки. Германия ; 1915F ;  ; Ag ; XF- ; 10 ; melkore ; 128 
 2965 ; 1/2 марки. Германия ; 1915A ;  ; Ag ; AU ; 35 ; lva08 ; 214 
 2966 ; 1/2 марки. Германия ; 1916A ;  ; Ag ; VF-XF ; 17 ; sever55 ; 170 
 2967 ; 1/2 марки. Германия ; 1916A ;  ; Ag ; XF ; 16 ; melkore ; 153 
 2968 ; 1 рупия. Германская Ост-Африка ; 1901 ;  ; Ag ; VF-XF ; 85 ; ЛБС ; 5022 
