 4687 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 150 
 3151 ; 10000 марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Al/Br ; VF-XF ; 35 ; гарик ; 861 
 3152 ; 1 песо. Куба ; 1933 ;  ; Ag ; VF ; 56 ; Ley ; 1820 
 3153 ; 500 марок. Веймар ; 1923А ;  ; Al ; XF- ; 69 ; дитрих11 ; 122 
 3154 ; 3 марки. Веймар ; 1922 ;  ; Al ; VF-XF ; 36 ; sidr ; 126 
 3155 ; 10 пфеннигов. Веймар. Нотгельд города Нойвид-на-Рейне ; 1919 ;  ; St ; VF ; 57 ; Leon17 ; 347 
 3156 ; 10 пфеннигов. Веймар. Нотгельд города Крефельд ; 1919F ;  ; Zn ; VF- ; 36 ; Leon17 ; 161 
 3157 ; 10 пфеннигов. Веймар. Нотгельд города Шпейер ; 1919F ;  ; Zn ; F-VF ; 54 ; Leon17 ; 159 
 3158 ; 10 пфеннигов. Веймар. Нотгельд города Крефельд ; 1919G ;  ; St ; VF ; 40 ; Leon17 ; 235 
 3159 ; 6 пенсов. Великобритания, Елизавета II ; 1953 ;  ; Ni ; AU ; 39 ; Gorizn ; 83 
 3160 ; 8 дублей. Британский о-в Гернси, Георг VI ; 1949 ;  ; Br ; VF-XF ; 26 ; Rober ; 79 
 3161 ; 4 дубля. Британский о-в Гернси, Георг V ; 1914 ;  ; Br ; VF+ ; 30 ; Улетный ; 104 
 3162 ; 1 дубль. Британский о-в Гернси, Эдуард VII ; 1902 ;  ; Br ; XF ; 57 ; гарик ; 77 
 3163 ; 1/2 рупии. Британская Индия, Георг VI ; 1944 ;  ; Ag ; VF ; 63 ; viktorius ; 194 
 3164 ; 1/4 рупии. Британская Индия, Георг VI ; 1943 ;  ; Ag ; VF-XF ; 47 ; Slava O ; 238 
 3165 ; 1 цент. Британский Стрейтс-Сетелментс, Эдуард VII ; 1903 ;  ; Br ; VF- ; 16 ; ИЮМов1 ; 314 
 3166 ; 1/4 цента. Британский Стрейтс-Сетелментс, Виктория ; 1884 ;  ; Br ; F ; 22 ; atos51 ; 326 
 3167 ; 5 франков. Франция, 4-я республика (1946-1958) ; 1947 ;  ; Br ; VF- ; 38 ; В1951 ; 179 
 3168 ; 10 сантимов. Тунис ; 1917A ;  ; Br ; VF- ; 21 ; kergudu ; 141 
 3169 ; 20 эскудо. Португальский Мозамбик ; 1960 ;  ; Ag ; VF- ; 49 ; гарик ; 221 
 3170 ; 2 пиастра. Египет. Фарук ; 1937 ;  ; Ag ; VF+ ; 19 ; опричник ; 175 
 3171 ; 2 пиастра. Египет. Фарук ; 1944 ;  ; Ag ; VF-XF ; 25 ; Gera_K ; 214 
 3172 ; 1/2 мильема. Египет, Фуад I ; 1924 ;  ; Br ; XF- ; 38 ; ead ; 461 
 3173 ; 50 лева. Болгария, Борис III ; 1930 ;  ; Ag ; VF+ ; 34 ; alexnn ; 393 
 3174 ; 2 цзяо (20 центов). Китай, Республика. Провинция Гуандун ; 1918 ;  ; Ag ; XF ; 31 ; ZOLTAN333 ; 640 
 3175 ; 10 кэш. Китай, Республика ; ND (1920-1921) ;  ; Br ; F+ ; 25 ; shest ; 93 
 3176 ; 10 пфеннигов. Германия. Нотгельд. Хаген ; 1917 ;  ; Zn ; F+ ; 44 ; alek99 ; 53 
 3177 ; 20 рублей. Беларусь. Олимпийские игры. Биатлон. С сертификатом ; 2001 ;  ; Ag ; Proof ; 42 ; sev1 ; 1592 
 3178 ; 20 рублей. Беларусь. Каравай. Свадьба. С сертификатом ; 2006 ;  ; Ag ; Proof ; 18 ; Lasto4kaSPB ; 1528 
 3179 ; 1 рубль. Беларусь. Вольная борьба ; 2003 ;  ; Cu-Ni ; Proof ; 56 ; Selez ; 255 
 3180 ; 1 рубль. Беларусь. Теннис ; 2005 ;  ; Cu-Ni ; Proof ; 19 ; olimpic74 ; 128 
 3181 ; 1 лат. Латвия. Баранка ; 2005 ;  ; Cu-Ni ; AU ; 9 ; suhua ; 148 
 3182 ; 1 лат. Латвия. Шишка ; 2006 ;  ; Cu-Ni ; AU ; 13 ; bdd48 ; 129 
 3183 ; 50 центов. Китай ; 1932 ;  ; Ag ; VF-XF ; 82 ; прохожий ; 2500 
 3084 ; 1 доллар. Сьерра-Леоне. Горилла ; 2005 ;  ; Cu-Ni ; Unc ; 14 ; andorf ; 221 
 3085 ; 1 доллар. Сьерра-Леоне. Жираф ; 2005 ;  ; Cu-Ni ; Unc ; 35 ; pol75 ; 211 
 3086 ; 1 доллар. Сьерра-Леоне. Крокодил ; 2005 ;  ; Cu-Ni ; Unc ; 51 ; andorf ; 241 
 3087 ; 1 доллар. Сьерра-Леоне. Антилопа ; 2006 ;  ; Cu-Ni ; Unc ; 38 ; andorf ; 211 
 3088 ; 1 доллар. Сьерра-Леоне. Верблюд ; 2006 ;  ; Cu-Ni ; Unc ; 35 ; 100924 ; 211 
 3089 ; 1 доллар. Сьерра-Леоне. Лев ; 2006 ;  ; Cu-Ni ; Unc ; 57 ; 100924 ; 226 
 3090 ; 1 доллар. Сьерра-Леоне. Обезьяна ; 2006 ;  ; Cu-Ni ; Unc ; 47 ; 100924 ; 216 
 3091 ; 1 доллар. Сьерра-Леоне. Носорог ; 2007 ;  ; Cu-Ni ; Unc ; 23 ; andorf ; 236 
 3092 ; 1 доллар. Сьерра-Леоне. Зебра ; 2007 ;  ; Cu-Ni ; Unc ; 35 ; 100924 ; 221 
 3093 ; 1 доллар. Сьерра-Леоне. Слон ; 2007 ;  ; Cu-Ni ; Unc ; 39 ; 100924 ; 236 
 3094 ; 1 доллар. Сьерра-Леоне. Гепард ; 2007 ;  ; Cu-Ni ; Unc ; 31 ; andorf ; 227 
 3095 ; 1 лира. Турция. Черепаха ; 2009 ;  ; Би/м ; AU ; 12 ; vc57 ; 153 
 3096 ; 1 лира. Турция. Слон ; 2009 ;  ; Би/м ; AU ; 38 ; olga42 ; 164 
 3097 ; 1 лира. Турция. Собака ; 2010 ;  ; Би/м ; AU ; 21 ; ворон ; 158 
 3098 ; 1 лира. Турция. Кошка ; 2010 ;  ; Би/м ; AU ; 28 ; кашира ; 310 
 3099 ; 1 лира. Турция. Лев ; 2011 ;  ; Би/м ; AU ; 27 ; rbcrf ; 181 
 3100 ; 1 лира. Турция. Медведь ; 2011 ;  ; Би/м ; AU ; 24 ; salim ; 174 
 3101 ; 1 рубль. Беларусь. Международный фестиваль искусств. Славянский базар в Витебске ; 2011 ;  ; Cu-Ni ; Proof ; 44 ; mrotkin ; 206 
 3102 ; 1 рубль. Беларусь. Знаки зодиака. Рак ; 2009 ;  ; Cu-Ni ; Proof ; 43 ; SEVER-14 ; 269 
 3103 ; 1 рубль. Беларусь. Знаки зодиака. Водолей ; 2009 ;  ; Cu-Ni ; Proof ; 22 ; Опятор ; 203 
 3104 ; 1 рубль. Беларусь. Знаки зодиака. Рыбы ; 2009 ;  ; Cu-Ni ; Proof ; 13 ; ваня03 ; 226 
 3105 ; 1 рубль. Беларусь. Знаки зодиака. Овен ; 2009 ;  ; Cu-Ni ; Proof ; 10 ; klimvita ; 153 
 3106 ; 1 рубль. Беларусь. Знаки зодиака. Телец ; 2009 ;  ; Cu-Ni ; Proof ; 31 ; Опятор ; 203 
 3107 ; 1 рубль. Беларусь. Знаки зодиака. Дева ; 2009 ;  ; Cu-Ni ; Proof ; 41 ; SEVER-14 ; 351 
 3108 ; 1 рубль. Беларусь. Знаки зодиака. Скорпион ; 2009 ;  ; Cu-Ni ; Proof ; 30 ; Krechet ; 203 
 3109 ; 2 эре. Норвегия ; 1921 ;  ; Br ; VF- ; 22 ; страус ; 22 
 3110 ; 1 доллар. США. 19-й президент США Резерфорд Бёрчард Хейз ; 2011D ;  ; Cu-Zn Ni/Cu ; AU ; 31 ; Avraham ; 90 
 3111 ; 2 эре. Норвегия ; 1923 ;  ; Br ; VF ; 14 ; astra-53 ; 27 
 3112 ; 2 эре. Норвегия ; 1928 ;  ; Br ; VF- ; 25 ; astra-53 ; 31 
 3113 ; 2 эре. Норвегия ; 1936 ;  ; Br ; VF ; 14 ; astra-53 ; 21 
 3114 ; 2 эре. Норвегия ; 1937 ;  ; Br ; VF ; 23 ; astra-53 ; 31 
 3115 ; 1 крона. Дания. Фредерик IX ; 1967 ;  ; Cu-Ni ; VF+ ; 9 ; lessnoy ; 24 
 3116 ; 2 динара. Македония ; 2001 ;  ; Латунь ; VF+ ; 5 ; Ратамахатта ; 22 
 3117 ; 5 песо. Аргентина ; 1977 ;  ; Латунь ; XF- ; 18 ; alskr ; 25 
 3118 ; 25 курушей. Турция ; 1961 ;  ; St ; VF-XF ; 13 ; alskr ; 23 
 3119 ; 10 сентаво. Португалия ; 1966 ;  ; Br ; VF ; 15 ; surinoff ; 21 
 3120 ; 5 сенити. Тонго ; 1981 ;  ; Cu-Ni ; VF+ ; 18 ; 100924 ; 92 
 3121 ; 10 авос. Макао ; 1993 ;  ; Латунь ; XF ; 20 ; Опятор ; 26 
 3122 ; 5 франков. Франция ; 1852А ;  ; Ag ; F+ ; 78 ; balakmisha ; 2040 
 3123 ; 5 долларов. Белиз ; 1974 ;  ; Ag ; Proof ; 100 ; 2 wise monkey ; 1173 
 3124 ; 25 сентимов. Филиппины ; 1976 ;  ; Cu-Ni ; Proof ; 17 ; alskr ; 42 
 3125 ; Монета. Азия ; 1327лх ;  ; Cu-Ni ; VF+ ; 70 ; suhua ; 113 
 3126 ; 1 пайса. Индия. Бахавалпур ; 1342лх ;  ; Cu ; F-VF ; 31 ; Slava O ; 120 
 3127 ; 10 евро (монетовидный жетон). Германия ; 1998 ;  ; Б/м ; Proof ; 49 ; vc57 ; 148 
 3128 ; 100 шиллингов. Австрия. 900 лет крепости Хоэнзальцбург ; 1977 ;  ; Ag ; XF+ ; 57 ; 525 ; 553 
 3129 ; 100 шиллингов. Австрия. 700 лет Гмундену ; 1978 ;  ; Ag ; XF+ ; 42 ; 525 ; 565 
 3130 ; 100 шиллингов. Австрия. 200 лет Иннфиртель ; 1979 ;  ; Ag ; XF ; 35 ; smel ; 567 
 3131 ; 100 шиллингов. Австрия. Фестиваль и Конгресс-Холл в Брегенце ; 1979 ;  ; Ag ; XF ; 31 ; hr-kot ; 566 
 3132 ; 50 шиллингов. Австрия. 100 лет со дня рождения Карла Реннера ; 1970 ;  ; Ag ; XF+ ; 16 ; 525 ; 712 
 3133 ; 50 шиллингов. Австрия. 80 лет со дня рождения Джулиуса Рааба ; 1971 ;  ; Ag ; AU ; 47 ; 525 ; 805 
 3034 ; 2 пфеннига. Веймар ; 1925A ;  ; Br ; VF ; 52 ; 384020 ; 69 
 3035 ; 1 пфенниг. Веймар ; 1935G ;  ; Br ; VF- ; 63 ; sidr ; 128 
 3036 ; 3 пенса. Нигерия. Британский Протекторат ; 1959 ;  ; Ni/Лат ; VF-XF ; 5 ; suhua ; 105 
 3037 ; 1 новая пенни. Гернси ; 1971 ;  ; Br ; XF- ; 20 ; Germanfox ; 81 
 3038 ; 5 крон. Швеция. 150 лет конситуции ; 1959 ;  ; Ag ; VF-XF ; 109 ; Dbrnjh ; 555 
 3039 ; 2 кроны. Швеция ; 1946 ;  ; Ag ; VF-XF ; 69 ; pissimist ; 401 
 3040 ; 100 эскудо. Португалия. Открытие Канарских островов ; 1989 ;  ; Cu/Ni ; XF+ ; 14 ; ADD ; 153 
 3041 ; 1 крона. Ос-в Столтенхоф ; 2008 ;  ; Cu/Ni ; AU ; 11 ; suhua ; 128 
 3042 ; 5 квача. Малави. Путешествие по Африке ; 2006 ;  ; Ag ; Proof ; 72 ; pref ; 797 
 3043 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; VF- ; 85 ; генадич ; 126 
 3044 ; 5 евро. Финляндия. Провинция Сатакунта ; 2010 ;  ; Би/м ; AU ; 39 ; gary_sl ; 320 
 3045 ; 5 евро. Финляндия ; 2010 ;  ; Би/м ; AU ; 28 ; gary_sl ; 316 
 3046 ; 5 евро. Финляндия. Провинция Хяме ; 2011 ;  ; Би/м ; AU ; 22 ; molodes ; 327 
 3047 ; 5 евро. Финляндия. Провинция Карелия ; 2011 ;  ; Би/м ; AU ; 21 ; zenith_ka ; 341 
 3048 ; 5 евро. Финляндия. Провинция Уусимаа ; 2011 ;  ; Би/м ; AU ; 23 ; zenith_ka ; 368 
 3049 ; 5 евро. Финляндия. Провинция Саво ; 2011 ;  ; Би/м ; AU ; 25 ; molodes ; 327 
 3050 ; 3 евро. Словения ; 2010 ;  ; Би/м ; AU ; 32 ; kompman ; 163 
 3051 ; 3 евро. Словения ; 2011 ;  ; Би/м ; AU ; 18 ; kompman ; 163 
 3052 ; 10 марок. Финляндия. 10-й Европейский чемпионат по атлетике ; 1971 ;  ; Ag ; AU ; 71 ; dubosar ; 402 
 3053 ; 50 марок. Финляндия. 80 лет со дня рождения президента Кекконена ; 1981 ;  ; Ag ; XF+ ; 69 ; mix55 ; 604 
 3054 ; 5 крон. Швеция ; 1955 ;  ; Ag ; XF ; 88 ; страус ; 289 
 3055 ; 1 дайм. США. Рузвельт ; 1964D ;  ; Ag ; XF+ ; 78 ; suhua ; 102 
 3056 ; 25 эре. Швеция ; 1956 ;  ; Ag ; VF+ ; 63 ; опричник ; 122 
 3057 ; 100 песет. Испания ; 1980 ;  ; Cu-Ni ; XF+ ; 48 ; ADD ; 61 
 3058 ; 100 песет. Испания ; 1980 ;  ; Cu-Ni ; XF+ ; 19 ; Gera_K ; 42 
 3059 ; 1 крона. Великобритания. 25-лети правления Георга V ; 1935BM ;  ; Ag ; XF+ ; 63 ; Рыба ; 1362 
 3060 ; 1 шиллинг. Великобритания. Виктория. Золотой юбилей ; 1887JEB ;  ; Ag ; XF ; 43 ; trifons ; 899 
 3061 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF+ ; 61 ; obr73 ; 1326 
 3062 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF- ; 55 ; obr73 ; 850 
 3063 ; 5 сент. Нидерланды. Вильем III ; 1850 ;  ; Ag ; VF+ ; 36 ; Flagman ; 378 
 3064 ; 5 евро. Португалия. Исторический центр ; 2005 ;  ; Ag ; AU ; 107 ; maremark ; 556 
 3065 ; 1/4 доллара. США ; 1915 ;  ; Ag ; F-VF ; 81 ; Моряк-собиратель ; 375 
 3066 ; 1 дайм. США ; 1943 ;  ; Ag ; XF+ ; 37 ; suhua ; 198 
 3067 ; 5 центов. США ; 1943Р ;  ; Ag ; XF ; 31 ; Павлов75 ; 200 
 3068 ; 5 центов. США ; 1883 ;  ; Cu-Ni ; VF+ ; 109 ; чуток накину ; 451 
 3069 ; 50 стотинок. Болгария. Фердинанд I ; 1912 ;  ; Ag ; XF- ; 11 ; alexnn ; 207 
 3070 ; 50 стотинок. Болгария. Фердинанд I ; 1913 ;  ; Ag ; XF- ; 5 ; Lena6975 ; 161 
 3071 ; 50 крон. Чехо-Славацкая Федеративная Республика. Святая Агнесса Чешская ; 1990 ;  ; Ag ; AU ; 26 ; alexnn ; 360 
 3072 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; VF+ ; 13 ; ткм ; 125 
 3073 ; 20  сентаво. Боливия ; 1880 ;  ; Ag ; VF- ; 33 ; jef688 ; 229 
 3074 ; 1 франгар. Албания ; 1935R ;  ; Ag ; XF- ; 44 ; Дергроссекёниг ; 463 
 3075 ; 5 евро. Португалия. Исторический центр ; 2005 ;  ; Ag ; AU ; 85 ; maremark ; 425 
 3076 ; 2,5 евро. Португалия. Исторический центр г. Порту. Всемирное культурное наследие ; 2008 ;  ; Cu-Ni ; AU ; 32 ; vc57 ; 188 
 3077 ; 2,5 евро. Португалия. Белемская башня. Всемирное культурное наследие ; 2009 ;  ; Cu-Ni ; AU ; 32 ; vb96 ; 213 
 3078 ; 2,5 евро. Португалия. Дворцовая площадь в Лиссабоне ; 2010 ;  ; Cu-Ni ; AU ; 52 ; DM2713 ; 228 
 3079 ; 2,5 евро. Португалия. Чемпионат мира по футболу 2010 в ЮАР ; 2010 ;  ; Cu-Ni ; AU ; 20 ; ваня03 ; 261 
 3080 ; 1 доллар. США. 19-й президент США Резерфорд Бёрчард Хейз ; 2011D ;  ; Cu-Zn Ni/Cu ; AU ; 60 ; Антон Семенович ; 65 
 3081 ; 1 рубль. Беларусь. 10 лет ЕврАзЭС ; 2010 ;  ; Cu-Ni ; Proof ; 35 ; Опятор ; 208 
 3082 ; 5 фунтов. Великобритания. 90 лет Королеве-Матери ; 1990 ;  ; Cu-Ni ; AU ; 64 ; Lena6975 ; 315 
 3083 ; 1 доллар. Сьерра-Леоне. Бегемот ; 2005 ;  ; Cu-Ni ; Unc ; 68 ; pol75 ; 211 
 2984 ; 100 крон. Чехословакия. 75 лет со дня рождения Юлиуса Фучика ; 1978 ;  ; Ag ; AU ; 107 ; СВл ; 541 
 2985 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; AU ; 35 ; Rober ; 295 
 2986 ; 50 крон. Чехословакия. 3-е Пражское восстание ; 1948 ;  ; Ag ; XF+ ; 56 ; salim ; 281 
 2987 ; 50 крон. Чехословакия. 125 лет со дня смерти Яна Коллара ; 1977 ;  ; Ag ; AU ; 106 ; S1952 ; 327 
 2988 ; 25 крон. Чехословакия. 20 лет освобождения Чехословакии ; 1965 ;  ; Ag ; XF ; 27 ; Дергроссекёниг ; 413 
 2989 ; 10 крон. Чехословакия. Ян Амос Каменский ; 1957 ;  ; Ag ; XF ; 29 ; obr73 ; 363 
 2990 ; 50 долларов. Маршалловы острова. Первый космический полет Шатла ; 1989 ;  ; Ag ; Proof ; 30 ; Dahan ; 924 
 2991 ; 10 марок. ФРГ. 30 лет Европейскому союзу ; 1987G ;  ; Ag ; AU ; 2 ; 199z ; 500 
 2992 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; AU ; 117 ; дитрих11 ; 408 
 2993 ; 10 марок. ФРГ. 200 лет со дня рождения Артура Шопенгауэра ; 1988D ;  ; Ag ; AU ; 12 ; Опятор ; 365 
 2994 ; 10 марок. ФРГ. 100 лет со дня смерти Карла Цейса ; 1988F ;  ; Ag ; AU ; 41 ; Опятор ; 388 
 2995 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; AU ; 117 ; vitapool ; 329 
 2996 ; 10 марок. ФРГ. 800 лет Тевтонскому ордену ; 1990J ;  ; Ag ; AU ; 12 ; maremark ; 459 
 2997 ; 10 марок. ФРГ. 125 лет со дня рождения Кетти Кольвитц ; 1992G ;  ; Ag ; AU ; 59 ; alexnn ; 354 
 2998 ; 10 марок. ФРГ. 1000 лет Потсдаму ; 1993F ;  ; Ag ; AU ; 46 ; Опятор ; 360 
 2999 ; 10 марок. ФРГ. 150 лет со дня рождения Роберта Коха ; 1993J ;  ; Ag ; XF/AU ; 3 ; vitapool ; 313 
 3000 ; 10 марок. ФРГ. 250 лет со дня рождения Иоганна Готфрида Хердера ; 1994G ;  ; Ag ; AU ; 83 ; дитрих11 ; 341 
 3001 ; 10 марок. ФРГ. 150 лет со дня рождения Вильгельма Конрада Рентгена. 100 лет рентгеновским лучам ; 1995D ;  ; Ag ; AU ; 51 ; vitapool ; 351 
 3002 ; 10 марок. ФРГ. 50 лет миру и согласию ; 1995J ;  ; Ag ; AU ; 49 ; Опятор ; 381 
 3003 ; 10 марок. ФРГ. 150 лет со дня основания Колпингверка ; 1996A ;  ; Ag ; AU ; 38 ; Опятор ; 388 
 3004 ; 5 марок. ФРГ. 500 лет со дня рождения Альбрехта Дюрера ; 1971D ;  ; Ag ; XF ; 1 ; 199z ; 500 
 3005 ; 5 марок. ФРГ. Образование Немецкого государства ; 1971G ;  ; Ag ; XF+ ; 30 ; vitapool ; 242 
 3006 ; 5 марок. ФРГ. 125 лет Франкфуртскому парламенту ; 1973G ;  ; Ag ; AU ; 40 ; suhua ; 306 
 3007 ; 5 марок. ФРГ. 25 лет конституционному закону ; 1974F ;  ; Ag ; AU ; 34 ; suhua ; 310 
 3008 ; 1/2 доллара. США. Кеннеди ; 1972 ;  ; Cu-Ni ; XF ; 61 ; Avraham ; 257 
 3009 ; 8 риалов. Испания ; 1795 ;  ; Ag ; F-VF ; 76 ; $ab$er ; 1487 
 3010 ; 5 франков. Швейцария ; 1950B ;  ; Ag ; VF-XF ; 52 ; Шура8$ ; 491 
 3011 ; 2 песеты. Испания ; 1870 ;  ; Ag ; F-VF ; 45 ; E.C. ; 395 
 3012 ; 50 сентимо. Испания ; 1926 ;  ; Ag ; VF-XF ; 68 ; E.C. ; 239 
 3013 ; 1 пиастр. Либия ; 1952 ;  ; Cu-Ni ; AU ; 22 ; suhua ; 91 
 3014 ; 50 центов. Британское Северное Борнео ; 1958 ;  ; Cu-Ni ; VF ; 4 ; suhua ; 108 
 3015 ; 2 лека. Албания ; 1939R ;  ; St ; VF+ ; 21 ; митька ; 240 
 3016 ; 10 стело. Всемирный союз Эсперантистов. Нидерланды. Universala Ligo ; 1959 ;  ; Cu-Ni ; XF+ ; 53 ; vicnic ; 567 
 3017 ; 50 пфеннигов. Веймар ; 1928D ;  ; Ni ; VF-XF ; 19 ; sidr ; 800 
 3018 ; 20 сентаво. Аргентина ; 1920 ;  ; Cu-Ni ; VF- ; 44 ; astra-53 ; 43 
 3019 ; 10 центов. Родезия ; 1964 ;  ; Cu-Ni ; VF- ; 11 ; MC17 ; 35 
 3020 ; 2 шиллинга. Гамбия ; 1966 ;  ; Cu-Ni ; XF ; 47 ; ИЮМов1 ; 388 
 3021 ; 4 дубля. Гернси ; 1830 ;  ; Cu ; VF- ; 41 ; jj ; 122 
 3022 ; 5 эре. Швеция ; 1899 ;  ; Br ; VF- ; 46 ; Рыжая_Кыся ; 46 
 3023 ; 1 фартинг. Великобритания ; 1955 ;  ; Br ; XF ; 63 ; Pushan ; 86 
 3024 ; 1 пиастр. Кипр ; 1942 ;  ; Br ; VF ; 27 ; suhua ; 123 
 3025 ; 1 цент. Бельгия ; 1912 ;  ; Br ; XF- ; 81 ; cvettka ; 209 
 3026 ; 1/12 анны. Британская Индия ; 1923 ;  ; Br ; XF ; 34 ; Slava O ; 114 
 3027 ; 1/12 анны. Британская Индия ; 1923 ;  ; Br ; XF ; 32 ; Slava O ; 163 
 3028 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Br ; AU ; 50 ; astra-53 ; 50 
 3029 ; 2 анны. Британская Индия ; 1944 ;  ; Латунь ; VF+ ; 58 ; Slava O ; 164 
 3030 ; 1/2 пенни. Фиджи ; 1954 ;  ; Cu-Ni ; AU ; 37 ; suhua ; 110 
 3031 ; 5 стело. Всемирный союз Эсперантистов. Нидерланды. Universala Ligo ; 1959 ;  ; Латунь ; VF+ ; 25 ; alex1974 ; 473 
 3032 ; 1 пенни. Ирландия ; 1964 ;  ; Br ; VF+ ; 14 ; koga ; 27 
 3033 ; Фартинг. Великобритания ; 1936 ;  ; Br ; VF ; 32 ; Germanfox ; 55 
 2934 ; 1/4 доллара. США. 200 лет. Вашингтон ; 1976S ;  ; Ag ; AU ; 96 ; Avraham ; 313 
 2935 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; VF-XF ; 35 ; shais1 ; 1064 
 2936 ; 1 флорин. Австралия. 50 лет юбилею ; 1951 ;  ; Ag ; VF+ ; 30 ; salim ; 319 
 2937 ; 1 шиллинг. Великобритания ; 1931 ;  ; Ag ; VF- ; 13 ; pissimist ; 251 
 2938 ; 1 шиллинг. Великобритания ; 1928 ;  ; Ag ; VF ; 19 ; pissimist ; 251 
 2939 ; 1 шиллинг. Великобритания ; 1930 ;  ; Ag ; VF- ; 27 ; gtnhjd ; 218 
 2940 ; 1 рупия. Индия. Штат Хайдарабад ; 1330 ;  ; Ag ; VF ; 65 ; Slava O ; 421 
 2941 ; 5 лир. Италия ; 1927R ;  ; Ag ; VF+ ; 31 ; alexnn ; 315 
 2942 ; 100 йен. Япония ; 1959 ;  ; Ag ; XF- ; 40 ; pissimist ; 201 
 2943 ; 100 йен. Япония ; 1960 ;  ; Ag ; XF+ ; 42 ; spstudio ; 204 
 2944 ; 50 сентимо. Испания ; 1880 ;  ; Ag ; F+ ; 41 ; maremark ; 176 
 2945 ; 50 сентимо. Испания ; 1880 ;  ; Ag ; F+ ; 28 ; Gorizn ; 176 
 2946 ; Монетовидный жетон. D-28мм ; 1963 ;  ; Б/м ; AU ; 77 ; Lasto4kaSPB ; 365 
 2947 ; 25 рупий. Сейшеллы. Олимпийские игры. Парусный спорт ; 1995 ;  ; Ag ; Proof ; 53 ; shais1 ; 1605 
 2948 ; 50 крон. Чехословакия. 100 лет со дня рождения В.И. Ленина ; 1970 ;  ; Ag ; AU ; 47 ; страус ; 956 
 2949 ; 20 марок. ГДР. Клара Цеткин ; 1982 ;  ; Ag ; AU ; 61 ; Дергроссекёниг ; 2550 
 2950 ; 20 марок. ГДР. Бранденбургские ворота ; 1990А ;  ; Ag ; XF ; 59 ; maremark ; 1041 
 2951 ; 10 марок. ГДР. Иоганн Гутенберг ; 1968 ;  ; Ag ; XF ; 16 ; Rober ; 1061 
 2952 ; 10 марок. ГДР. Генрих Гейне ; 1972 ;  ; Ag ; AU ; 27 ; Дергроссекёниг ; 1624 
 2953 ; 10 марок. ГДР. Герхард Иоганн Шарнхорст ; 1980 ;  ; Ag ; AU ; 14 ; Rober ; 1158 
 2954 ; 10 марок. ГДР. Георг Вильгельм Фридрих Гегель ; 1981 ;  ; Ag ; AU ; 14 ; Дергроссекёниг ; 1134 
 2955 ; 10 марок. ГДР. Рихард Вагнер ; 1983 ;  ; Ag ; AU ; 25 ; Alekss_27 ; 1134 
 2956 ; 10 марок. ГДР. Иоганн Готфрид Шадов ; 1989А ;  ; Ag ; AU ; 48 ; дитрих11 ; 3468 
 2957 ; 20 марок. ГДР. Эрнст Тельманн ; 1971А ;  ; Cu/Ni ; XF ; 9 ; lomaster75 ; 117 
 2958 ; 20 марок. ГДР. Генрих Манн ; 1971 ;  ; Cu/Ni ; XF ; 8 ; gtnhjd ; 114 
 2959 ; 20 марок. ГДР. Отто Гротеволь ; 1973А ;  ; Cu/Ni ; XF ; 17 ; partanen ; 157 
 2960 ; 20 марок. ГДР. Вильгельм Пик ; 1972А ;  ; Cu/Ni ; XF ; 8 ; gtnhjd ; 114 
 2961 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972А ;  ; Cu/Ni ; AU ; 50 ; lomaster75 ; 251 
 2962 ; 20 марок. ГДР. Карл Маркс ; 1983А ;  ; Cu/Ni ; XF ; 22 ; Krechet ; 203 
 2963 ; 20 марок. ГДР. 30 лет ГДР ; 1979А ;  ; Cu/Ni ; AU ; 20 ; lomaster75 ; 227 
 2964 ; 20 марок. ГДР. Бранденбургские ворота ; 1990А ;  ; Cu/Ni ; AU ; 20 ; Дергроссекёниг ; 146 
 2965 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu/Ni ; XF- ; 34 ; salim ; 111 
 2966 ; 10 марок. ГДР. Фестиваль молодежи и студентов ; 1973А ;  ; Cu/Ni ; AU ; 7 ; salim ; 111 
 2967 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu/Ni ; AU ; 10 ; Krechet ; 117 
 2968 ; 10 марок. ГДР. Варшавский договор ; 1975А ;  ; Cu/Ni ; AU ; 18 ; пруха ; 200 
 2969 ; 10 марок. ГДР. 20 лет национальной армии ; 1976А ;  ; Cu/Ni ; AU ; 23 ; salim ; 191 
 2970 ; 10 марок. ГДР. Совместный полет в космос ; 1978А ;  ; Cu/Ni ; XF- ; 9 ; Дергроссекёниг ; 209 
