 5991 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 28 ; sibirian ; 28 
 3721 ; 20 рублей. Беларусь. Турандот ; 2008 ;  ; Ag ; AU ; 46 ; safanya ; 1807 
 3722 ; 5 юаней. Китай ; 2011 ;  ; Латунь ; AU ; 36 ; Dmitry21 ; 340 
 3723 ; 1 доллар. США. Сакагавеа ; 2015D ;  ; Cu-Ni-Zn ; AU ; 38 ; alexey_s ; 191 
 3724 ; 1/2 доллара. США ; 2015D ;  ; Cu-Ni ; AU ; 22 ; heavy_fly ; 104 
 3725 ; 1/2 доллара. США ; 2015P ;  ; Cu-Ni ; AU ; 14 ; heavy_fly ; 110 
 3726 ; 2 евро. Люксембург. Великие герцоги ; 2012 ;  ; Би/м ; AU ; 21 ; bliznetz ; 306 
 3727 ; 5 евро. Финляндия. Регионы ; 2011 ;  ; Би/м ; AU ; 15 ; molchok2015 ; 351 
 3728 ; 2 евро. Эстония. 10 лет евро ; 2012 ;  ; Би/м ; AU ; 15 ; bliznetz ; 306 
 3729 ; 10 евро. ФРГ. Фридрих II ; 2012А ;  ; Cu/Ni ; AU ; 13 ; igorchek ; 512 
 3730 ; 25 центов. Тринидад и Тобаго ; 1975 ;  ; Cu/Ni ; Proof ; 23 ; igorchek ; 163 
 3731 ; 10 центов. Барбадос ; 1975 ;  ; Cu/Ni ; Proof ; 25 ; 000SABik ; 146 
 3732 ; 25 центов. Барбадос ; 1975 ;  ; Cu/Ni ; Proof ; 13 ; igorchek ; 101 
 3733 ; 10 евро. ФРГ. Женский футбол ; 2011 ;  ; Cu/Ni ; AU ; 12 ; кс ; 523 
 3734 ; 25 новых пенсов. Великобритания. Серебряный юбилей правления ; 1977 ;  ; Cu/Ni ; AU ; 16 ; igorchek ; 104 
 3735 ; 10 центов. Тринидад и Тобаго ; 1975 ;  ; Cu/Ni ; Proof ; 23 ; igorchek ; 163 
 3736 ; 25 новых пенсов. Великобритания. Серебряный юбилей свадьбы Елизаветы II и принца Филиппа ; 1972 ;  ; Cu/Ni ; AU ; 18 ; mask ; 101 
 3737 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; VF-XF ; 33 ; igorchek ; 287 
 3738 ; 2 кроны. Швеция ; 1959 ;  ; Ag ; XF ; 27 ; igorchek ; 312 
 3739 ; 1 крона. Швеция ; 1898 ;  ; Ag ; VF- ; 38 ; safanya ; 267 
 3740 ; 1 крона. Швеция ; 1930 ;  ; Ag ; VF- ; 46 ; safanya ; 179 
 3741 ; 1 крона. Швеция ; 1941 ;  ; Ag ; VF ; 39 ; Elizium ; 200 
 3742 ; 50 эре. Швеция ; 1931 ;  ; Ag ; F-VF ; 45 ; safanya ; 113 
 3743 ; 50 эре. Швеция ; 1930 ;  ; Ag ; F-VF ; 21 ; Rosomaha ; 123 
 3744 ; 50 эре. Швеция ; 1928 ;  ; Ag ; VF- ; 42 ; igorchek ; 133 
 3745 ; 50 эре. Швеция ; 1883 ;  ; Ag ; F-VF ; 13 ; Rosomaha ; 171 
 3746 ; 25 сентимес. Франция ; 1905 ;  ; Cu-Ni ; VF+ ; 29 ; Хаа ; 156 
 3747 ; 1/10 бальбао. Панама ; 1962 ;  ; Ag ; XF+ ; 43 ; слот ; 306 
 3748 ; 5 крон. Дания ; 1971 ;  ; Cu-Ni ; VF+ ; 16 ; l1 ; 48 
 3749 ; 100 филс. Бахрейн ; 1992 ;  ; Би/м ; XF ; 39 ; karlgustav ; 92 
 3750 ; 1 злотый. Польша ; 1929 ;  ; Ni ; VF ; 24 ; boypraff ; 61 
 3751 ; 5 крон. Норвегия ; 1966 ;  ; Cu-Ni ; VF-XF ; 20 ; teso ; 73 
 3752 ; 50 грошей. Польша ; 1923 ;  ; Ni ; VF-XF ; 12 ; irmilah ; 57 
 3753 ; 1 афгани. Авганистан ; 1961 ;  ; Cu-Ni ; VF-XF ; 19 ; t_v_v ; 46 
 3754 ; 5 лева. Болгария. Крум ; 1943 ;  ; Cu-Ni ; VF+ ; 19 ; Александр007 ; 71 
 3755 ; 1/2 пенни. Канада. Токен ; 1850 ;  ; Br ; VF-XF ; 89 ; ЛБС ; 475 
 3756 ; 25 эре. Швеция ; 1934 ;  ; Ag ; F-VF ; 33 ; safanya ; 77 
 3757 ; 25 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 32 ; igorchek ; 63 
 3758 ; 25 эре. Швеция ; 1937 ;  ; Ag ; VF- ; 22 ; igorchek ; 65 
 3759 ; 25 эре. Швеция ; 1940 ;  ; Ag ; VF- ; 27 ; igorchek ; 57 
 3760 ; 1/12 анны. Британская Индия ; 1934 ;  ; Br ; AU ; 52 ; ZET ; 386 
 3761 ; 200 шиллингов. Занзибар ; 1998 ;  ; Латунь ; AU ; 48 ; v_bond ; 309 
 3762 ; 1 крона. Швеция ; 1966 ;  ; Ag ; XF ; 14 ; karlgustav ; 101 
 3763 ; 1 крона. Швеция ; 1942 ;  ; Ag ; XF ; 23 ; didgitecks ; 228 
 3764 ; 1 крона. Швеция ; 1961 ;  ; Ag ; XF ; 13 ; karlgustav ; 101 
 3765 ; 2 кроны. Швеция. 300 лет поселению Делавер ; 1938 ;  ; Ag ; AU ; 46 ; mmmm ; 725 
 3766 ; 5 крон. Швеция. 70 лет Густаву Адольфу ; 1952 ;  ; Ag ; XF ; 17 ; Gyron ; 720 
 3767 ; 10 крон. Швеция. 90 лет Густаву Адольфу ; 1972 ;  ; Ag ; XF ; 10 ; 1999 ; 561 
 3768 ; 2 кроны. Швеция. Годовщина золотой свадьбы ; 1907 ;  ; Ag ; XF- ; 41 ; alehandr ; 1016 
 3769 ; 2 кроны. Швеция. 300 лет смерти Густава Адольфа ; 1932 ;  ; Ag ; AU ; 12 ; gdrg2 ; 1062 
 3770 ; 2 кроны. Швеция. Серебряный юбилей правления (1872-1897) ; 1897 ;  ; Ag ; XF- ; 54 ; V-2 ; 1106 
 3671 ; 10 марок. ФРГ. Роберт Кох ; 1993J ;  ; Ag ; XF ; 28 ; igorchek ; 425 
 3672 ; 5 евро. Финляндия. Утка ; 2014 ;  ; Би/м ; AU ; 19 ; ersh1 ; 462 
 3673 ; 5 евро. Финляндия. Ястреб ; 2014 ;  ; Би/м ; AU ; 13 ; AID57 ; 435 
 3674 ; 5 евро. Финляндия. Ласточка ; 2014 ;  ; Би/м ; AU ; 14 ; AID57 ; 434 
 3675 ; 5 евро. Финляндия. Лиса ; 2014 ;  ; Би/м ; AU ; 13 ; AID57 ; 435 
 3676 ; 5 евро. Финляндия. Бобр ; 2015 ;  ; Би/м ; AU ; 22 ; andrei71 ; 484 
 3677 ; 1 лира. Турция.  Коза ; 2015 ;  ; Би/м ; AU ; 20 ; Monata ; 306 
 3678 ; 1 лира. Турция. Кошка ; 2015 ;  ; Би/м ; AU ; 24 ; Monata ; 324 
 3679 ; 25 песо. Мексика. Олимпиада ; 1968 ;  ; Ag ; XF ; 28 ; igorchek ; 614 
 3680 ; 20 халлери. Чехословакия ; 1927 ;  ; Cu-Ni ; VF ; 36 ; maleevsw ; 179 
 3681 ; 50 пфенниг. Германия ; 1940A ;  ; Al ; VF+ ; 19 ; bva150979 ; 204 
 3682 ; 5 пфенниг. Германия ; 1939A ;  ; Al/Br ; VF-XF ; 26 ; 000SABik ; 211 
 3683 ; 1/12 шиллинга. Джерси ; 1945 ;  ; Br ; XF ; 31 ; edgar ; 111 
 3684 ; 5 пфенниг. Германия ; 1941F ;  ; Zn ; VF-XF ; 32 ; bva150979 ; 312 
 3685 ; 10 пфенниг. Германия ; 1944B ;  ; Zn ; XF ; 15 ; игорь 222 ; 257 
 3686 ; 10 пфенниг. Германия ; 1942A ;  ; Zn ; VF+ ; 13 ; serow1975 ; 153 
 3687 ; 8 дублей. Гернси ; 1885 ;  ; Br ; VF-XF ; 51 ; kornum ; 333 
 3688 ; 10 сентимес. Франция ; 1911 ;  ; Br ; VF-XF ; 59 ; mmmm ; 310 
 3689 ; 1/4 анны. Британская Индия ; 1920 ;  ; Br ; XF- ; 40 ; alexey_s ; 114 
 3690 ; 3 пфенниг. Пруссия ; 1867А ;  ; Br ; VF ; 34 ; слот ; 225 
 3691 ; 10 евро Германия 400 лет закону Кеплера ; 2009 ;  ; Ag ; Proof ; 34 ; СТРАНА АГРЕССОР ; 1020 
 3692 ; 10 евро Германия Альберт Эйнштейн ; 2005 ;  ; Ag ; Proof ; 27 ; andrei71 ; 1037 
 3693 ; 10 евро Германия Расширение ЕС ; 2004 ;  ; Ag ; Proof ; 29 ; andrei71 ; 939 
 3694 ; 10 евро Германия 1200 лет Магдебургу ; 2005 ;  ; Ag ; Proof ; 21 ; andrei71 ; 918 
 3695 ; 10 евро Германия Документа Кассель ; 2002 ;  ; Ag ; Proof ; 24 ; andrei71 ; 1066 
 3696 ; 10 евро Германия Национальный парк Ваттенмер ; 2004 ;  ; Ag ; Proof ; 44 ; andrei71 ; 1211 
 3697 ; 10 евро Германия Чемпионат мира по футболу 2006 ; 2006 ;  ; Ag ; Proof ; 40 ; boypraff ; 1051 
 3698 ; 10 евро Германия 200 лет Юстус фон Либих ; 2003 ;  ; Ag ; Proof ; 24 ; andrei71 ; 1020 
 3699 ; 10 евро Германия 100 лет метро ; 2002 ;  ; Ag ; Proof ; 30 ; andrei71 ; 1061 
 3700 ; 10 евро Германия Чемпионат мира по футболу 2006 ; 2006 ;  ; Ag ; Proof ; 37 ; andrei71 ; 1041 
 3701 ; 10 евро Германия Баухаус Дессау ; 2004 ;  ; Ag ; Proof ; 29 ; andrei71 ; 1016 
 3702 ; 10 евро Германия Национальный парк Баварский лес ; 2005 ;  ; Ag ; Proof ; 35 ; Папа с рацией ; 1015 
 3703 ; 10 евро Германия 50 лет народному восстанию в ГДР ; 2003 ;  ; Ag ; Proof ; 26 ; ВЯЗ ; 869 
 3704 ; 10 евро Германия Остров музеев Берлин ; 2002 ;  ; Ag ; Proof ; 27 ; кс ; 962 
 3705 ; 10 евро Германия 200 лет со дня смерти Ф.Шиллера ; 2005 ;  ; Ag ; Proof ; 33 ; andrei71 ; 1002 
 3706 ; 12 евро Испания Христофор Колумб ; 2006 ;  ; Ag ; AU ; 41 ; ЛБС ; 1286 
 3707 ; 12 евро Испания 25 лет конституции ; 2003 ;  ; Ag ; AU ; 34 ; кс ; 930 
 3708 ; 12 евро Испания Председательство в ЕС ; 2002 ;  ; Ag ; AU ; 27 ; кс ; 888 
 3709 ; 5/10 крейцера . Австрия ; 1885 ;  ; Br ; VF-XF ; 48 ; Папа с рацией ; 255 
 3710 ; 1 сен. Япония ; 20в ;  ; Br ; VF+ ; 33 ; banks ; 81 
 3711 ; 10 крейцеров. Австрия ; 1872 ;  ; Ag ; XF ; 69 ; Чашник ; 305 
 3712 ; 10 пиастров. Египет ; 1974 ;  ; Cu-Ni ; VF-XF ; 28 ; Папа с рацией ; 152 
 3713 ; 1 пфенниг. Веймар ; 1924D ;  ; Br ; F ; 13 ; кот баюн ; 45 
 3714 ; 10 пфенниг. Германия. Нотгельд ; 1918 ;  ; Zn ; VF ; 20 ; NL.minkki ; 171 
 3715 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF ; 17 ; safanya ; 42 
 3716 ; 1/10 гульдена. Нидерландская Индия ; 1941 ;  ; Ag ; XF ; 29 ; Папа с рацией ; 104 
 3717 ; 1 марка. ФРГ ; 1950 ;  ; Cu-Ni ; VF ; 34 ; shaxter2015 ; 51 
 3718 ; 20 чентезими. Италия ; 1921 ;  ; Cu-Ni ; VF-XF ; 62 ; boypraff ; 93 
 3719 ; 100 эскудо. Португалия. ; 1997 ;  ; Ag ; AU ; 15 ; igorchek ; 691 
 3720 ; 1 доллар. США ; 1979 ;  ; Ag ; XF ; 45 ; Fliege1 ; 1964 
 3621 ; 2 1/2 цента. Нидерландская Индия ; 1945 ;  ; Cu ; VF- ; 24 ; Папа с рацией ; 111 
 3622 ; 1 цент. Малайя ; 1943 ;  ; Cu ; VF ; 18 ; igorchek ; 69 
 3623 ; 1 цент. Малайя ; 1943 ;  ; Cu ; VF ; 18 ; vladimirov ; 68 
 3624 ; 1 цент. Малайя ; 1939 ;  ; Cu ; VF ; 27 ; vladimirov ; 68 
 3625 ; 1 цент. Малайя ; 1939 ;  ; Cu ; VF ; 13 ; igorchek ; 45 
 3626 ; 1 цент. Малайя ; 1920 ;  ; Cu ; VF ; 17 ; igorchek ; 57 
 3627 ; 1 цент. Малайя ; 1920 ;  ; Cu ; VF ; 9 ; igorchek ; 49 
 3628 ; 1/2 цента. Саравак ; 1870 ;  ; Cu ; VF- ; 18 ; mkm1968 ; 155 
 3629 ; 1 цент. Малайя и Британское Борнео ; 1962 ;  ; Cu ; XF- ; 25 ; Tche ; 179 
 3630 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Cu ; AU ; 18 ; irmilah ; 79 
 3631 ; 5 долларов. Сингапур. 25 лет независимости ; 1990 ;  ; Лат ; AU ; 38 ; SKeeper ; 456 
 3632 ; 1 пайса. Индия, Датия ; 1806-1837 ;  ; Cu ; VF- ; 24 ; mkm1968 ; 475 
 3633 ; 1 пайса. Индия, Датия ; 1806-1837 ;  ; Cu ; VF- ; 21 ; mkm1968 ; 401 
 3634 ; 2 гани. Индия ; 1298-1312 ;  ; Ag ; F-VF ; 52 ; Папа с рацией ; 405 
 3635 ; 1 динейро. Испания ; 1708 ;  ; Cu ; F+ ; 27 ; d-master ; 186 
 3636 ; 2 гани. Индия, Дейли ; 1298-1312 ;  ; Ag ; F-VF ; 52 ; Папа с рацией ; 435 
 3637 ; Фалус. Индия ; 1402-1440 ;  ; Cu ; F+ ; 23 ; Monata ; 308 
 3638 ; Фалус. Индия ; 1402-1440 ;  ; Cu ; F+ ; 22 ; Monata ; 278 
 3639 ; 8 мараведи. Испания ; 15-16вв ;  ; Cu ; F-VF ; 11 ; vb96 ; 186 
 3640 ; 20 крон. Словакия. Кирилл и Мефодий ; 1941 ;  ; Ag ; VF-XF ; 27 ; igorchek ; 490 
 3641 ; 1/2 доллара. США ; 1965 ;  ; Ag ; VF+ ; 23 ; жора ; 227 
 3642 ; 2 лата. Латвия ; 1925 ;  ; Ag ; F-VF ; 26 ; if-pechat ; 239 
 3643 ; 25 пиастров. Египет ; 1964 ;  ; Ag ; XF ; 33 ; 1023oxana ; 793 
 3644 ; 20 рублей. Беларусь. Метание ядра ; 2003 ;  ; Ag ; Proof ; 36 ; safanya ; 1708 
 3645 ; 2 эре. Швеция ; 1763 ;  ; Cu ; F-VF ; 19 ; Родя ; 301 
 3646 ; 10 центов Каймановы о-ва ; 1974 ;  ; Cu/Ni ; Proof ; 57 ; igorchek ; 277 
 3647 ; 25 центов Каймановы о-ва ; 1974 ;  ; Cu/Ni ; Proof ; 18 ; DJ obava ; 239 
 3648 ; 1/2 пенни. Британская Западная африка ; 1920 ;  ; Cu/Ni ; VF ; 19 ; t_v_v ; 57 
 3649 ; 1 цент. США. Индеец ; 1863 ;  ; Cu/Ni ; VF+ ; 29 ; нв1975 ; 793 
 3650 ; 1 пенни. Британская Западная африка ; 1937 ;  ; Cu/Ni ; AU ; 23 ; Rosomaha ; 174 
 3651 ; 1/10 пенни. Британская Западная африка ; 1908 ;  ; Cu/Ni ; AU ; 19 ; Rosomaha ; 258 
 3652 ; 3 пенса. Австралия ; 1963 ;  ; Ag ; AU ; 29 ; heavy_fly ; 254 
 3653 ; 6 пенсов. Австралия ; 1963 ;  ; Ag ; AU ; 29 ; hugo ; 510 
 3654 ; 1 шиллинг. Австралия ; 1963 ;  ; Ag ; AU ; 33 ; sax ; 615 
 3655 ; 1 флорин. Австралия ; 1963 ;  ; Ag ; AU ; 43 ; CASABLANCA ; 898 
 3656 ; 1 флорин. Австралия. Открытие дома Парламента ; 1927 ;  ; Ag ; XF- ; 49 ; heavy_fly ; 918 
 3657 ; 3 пенса. Австралия ; 1921 ;  ; Ag ; VF+ ; 16 ; Rosomaha ; 89 
 3658 ; 1 флорин. Великобритания ; 1936 ;  ; Ag ; VF-XF ; 21 ; didgitecks ; 550 
 3659 ; 2 1/2 шиллинга. Южная Африка ; 1953 ;  ; Ag ; VF-XF ; 44 ; Rosomaha ; 370 
 3660 ; 2 1/2 шиллинга. Южная Африка ; 1958 ;  ; Ag ; VF-XF ; 47 ; banks ; 378 
 3661 ; 1 доллар. США ; 1977D ;  ; Cu-Ni ; XF ; 17 ; heavy_fly ; 157 
 3662 ; 1 доллар. США ; 1972D ;  ; Cu-Ni ; XF ; 14 ; heavy_fly ; 157 
 3663 ; 1 доллар. США ; 1974D ;  ; Cu-Ni ; XF ; 14 ; oleghh7 ; 171 
 3664 ; 1 доллар. США ; 1978 ;  ; Cu-Ni ; XF ; 12 ; oleghh7 ; 147 
 3665 ; 1 доллар. США ; 1971D ;  ; Cu-Ni ; XF ; 17 ; heavy_fly ; 162 
 3666 ; 1 крона. Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; VF-XF ; 17 ; всыня ; 91 
 3667 ; 25 новых пенсов. Великобритания. 25 лет свадьбы ; 1972 ;  ; Cu-Ni ; XF ; 19 ; Александ98 ; 104 
 3668 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; VF-XF ; 13 ; кот баюн ; 91 
 3669 ; 1/2 доллара. США ; 1976D ;  ; Cu-Ni ; XF ; 18 ; цеховик ; 90 
 3670 ; 1 доллар. Канада. Келсей ; 1990 ;  ; Ag ; Proof ; 29 ; igorchek ; 936 
 3571 ; 5 гривен. Украина. Мотор-Сич ; 2007 ;  ; Cu-Ni ; AU ; 17 ; Метро62 ; 185 
 3572 ; 5 гривен. Украина. Битва за Днепр ; 2013 ;  ; Cu-Ni ; AU ; 18 ; Rober ; 204 
 3573 ; 5 гривен. Украина. Водокрещение ; 2006 ;  ; Cu-Ni ; AU ; 8 ; KHODOVNV77 ; 305 
 3574 ; 5 гривен. Украина. Казацкая гавань ; 2010 ;  ; Cu-Ni ; AU ; 15 ; архыз ; 204 
 3575 ; 5 гривен. Украина. Елецкий Свято-Успенский монастырь ; 2012 ;  ; Cu-Ni ; AU ; 7 ; Недорого ; 184 
 3576 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 5 ; Недорого ; 167 
 3577 ; 5 гривен. Украина. Збараж ; 2011 ;  ; Cu-Ni ; AU ; 17 ; kornum ; 203 
 3578 ; 5 гривен. Украина. Синагога ; 2012 ;  ; Cu-Ni ; AU ; 11 ; каи51 ; 157 
 3579 ; 5 гривен. Украина. Чернивцы ; 2008 ;  ; Cu-Ni ; AU ; 10 ; kornum ; 192 
 3580 ; 5 гривен. Украина. Казацкие поселения ; 2005 ;  ; Cu-Ni ; AU ; 7 ; KHODOVNV77 ; 375 
 3581 ; 2 гривны. Украина. 20 лет СНГ ; 2011 ;  ; Cu-Ni ; AU ; 9 ; Balagur ; 157 
 3582 ; 2 гривны. Украина. Песчаный слепыш ; 2005 ;  ; Cu-Ni ; AU ; 13 ; KHODOVNV77 ; 410 
 3583 ; 2 гривны. Украина. Галшка Гулевичивна ; 2015 ;  ; Cu-Ni ; AU ; 6 ; Cosmos ; 150 
 3584 ; 2 гривны. Украина. Киевский нац университет им Тараса Шевченко ; 2004 ;  ; Cu-Ni ; AU ; 7 ; Недорого ; 143 
 3585 ; 50 эре. Швеция ; 1973 ;  ; Cu/Ni ; XF ; 20 ; boypraff ; 22 
 3586 ; 25 эре. Швеция ; 1919 ;  ; Ag ; VF-XF ; 18 ; safanya ; 147 
 3587 ; 25 эре. Швеция ; 1914 ;  ; Ag ; VF-XF ; 25 ; tss ; 201 
 3588 ; 25 эре. Швеция ; 1916 ;  ; Ag ; VF+ ; 20 ; tss ; 159 
 3589 ; 25 эре. Швеция ; 1921 ;  ; Cu/Ni ; XF- ; 25 ; Александр007 ; 159 
 3590 ; 25 эре. Швеция ; 1933 ;  ; Ag ; VF+ ; 14 ; igorchek ; 93 
 3591 ; 25 эре. Швеция ; 1945 ;  ; Ag ; VF-XF ; 20 ; aple ; 140 
 3592 ; 25 эре. Швеция ; 1957 ;  ; Ag ; VF ; 10 ; aple ; 68 
 3593 ; 25 эре. Швеция ; 1960 ;  ; Ag ; VF-XF ; 21 ; if-pechat ; 79 
 3594 ; 25 эре. Швеция ; 1961 ;  ; Ag ; VF-XF ; 19 ; teso ; 72 
 3595 ; 1 далер. Швеция ; 1718 ;  ; cu ; VF ; 43 ; ilgamax ; 733 
 3596 ; 1/12 скиллинга. Швеция ; 1812 ;  ; cu ; VF ; 22 ; Папа с рацией ; 184 
 3597 ; 2 эре. Швеция ; 1858 ;  ; cu ; VF ; 22 ; Папа с рацией ; 191 
 3598 ; 1 эре. Швеция ; 1858 ;  ; cu ; VF ; 17 ; kergudu ; 101 
 3599 ; 1 эре. Швеция ; 1858 ;  ; cu ; VF ; 27 ; kergudu ; 181 
 3600 ; 1 эре. Швеция ; 1872 ;  ; cu ; VF ; 20 ; Александр007 ; 139 
 3601 ; 2 эре. Швеция ; 1875 ;  ; cu ; VF ; 16 ; V.I.P.E.R. ; 38 
 3602 ; 1/6 скиллинга. Швеция ; 1836 ;  ; cu ; VF ; 41 ; Александр007 ; 306 
 3603 ; 1 эре. Швеция ; 1875 ;  ; cu ; VF ; 35 ; tss ; 203 
 3604 ; 1 эре. Швеция ; 1874 ;  ; cu ; VF ; 27 ; karl ; 137 
 3605 ; 1 эре. Швеция ; 1907 ;  ; cu ; VF ; 22 ; kergudu ; 77 
 3606 ; 1 эре. Швеция ; 1904 ;  ; cu ; VF ; 38 ; andreyg ; 208 
 3607 ; 5 долларов (1 унция серебра). Канада. Кленовый лист ; 2012 ;  ; Ag ; AU ; 36 ; Devera ; 1054 
 3608 ; 1 флорин. Великобритания ; 1921 ;  ; Ag ; VF+ ; 38 ; aple ; 528 
 3609 ; 2 шиллинга. Великобритания ; 1942 ;  ; Ag ; VF-XF ; 31 ; DaMon15 ; 342 
 3610 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; VF-XF ; 50 ; DaMon15 ; 332 
 3611 ; 10 центов. Малайя ; 1939 ;  ; Ag ; VF-XF ; 23 ; ЛБС ; 124 
 3612 ; 5 центов. Стрейтс Сетлементс ; 1910 ;  ; Ag ; VF+ ; 37 ; smel ; 214 
 3613 ; 50 сен. Япония ; 1922-1938 ;  ; Ag ; VF-XF ; 29 ; NL.minkki ; 278 
 3614 ; 10 сен. Япония ; 1907-1917 ;  ; Ag ; VF-XF ; 23 ; banks ; 153 
 3615 ; 5 центов. Малайя ; 1941 ;  ; Ag ; XF- ; 17 ; Markgraf ; 180 
 3616 ; 1 цент. Британская Индия ; 1862 ;  ; Cu ; F-VF ; 24 ; SKeeper ; 276 
 3617 ; 1 цент. Стрейтс Сетлементс ; 1897 ;  ; Cu ; VF- ; 31 ; banks ; 257 
 3618 ; 1 цент. Саравак ; 1863 ;  ; Cu ; F-VF ; 34 ; visitor ; 363 
 3619 ; 1 цент. Британские Северное Борнео ; 1890 ;  ; Cu ; VF- ; 74 ; SKeeper ; 352 
 3620 ; 1 цент. Саравак ; 1889 ;  ; Cu ; VF- ; 30 ; SKeeper ; 255 
 3521 ; 25 эре. Швеция ; 1950 ;  ; Ag ; VF ; 12 ; 47154 ; 57 
 3522 ; 3 пенса. Австралия ; 1963 ;  ; Ag ; VF ; 16 ; кот баюн ; 98 
 3523 ; 10 эре. Швеция ; 1955 ;  ; Ag ; VF-XF ; 12 ; safanya ; 57 
 3524 ; 10 эре. Швеция ; 1931 ;  ; Ag ; F-VF ; 12 ; safanya ; 42 
 3525 ; 2-1/2 грамо. Доминикана ;  ;  ; Ag ; F-VF ; 24 ; CASH ; 101 
 3526 ; 2 пиастра. Египет ; 1937 ;  ; Ag ; F-VF ; 15 ; vesta78 ; 159 
 3527 ; 1/2 рупии. Индия ; 1945 ;  ; Ag ; XF ; 38 ; цеховик ; 312 
 3528 ; 50 эре. Швеция ; 1906 ;  ; Ag ; F-VF ; 31 ; Rosomaha ; 304 
 3529 ; 50 эре. Швеция ; 1939 ;  ; Ag ; VF ; 14 ; igorchek ; 111 
 3530 ; 50 курушю Турция ; 1947 ;  ; Ag ; F-VF ; 12 ; Серж PirGS ; 159 
 3531 ; 1 рупия. Индия ; 1893 ;  ; Ag ; F-VF ; 43 ; Dahan ; 237 
 3532 ; 1 рупия. Индия ; 1904 ;  ; Ag ; F-VF ; 34 ; d-master ; 828 
 3533 ; 50 эре. Швеция ; 1898 ;  ; Ag ; F-VF ; 38 ; CASABLANCA ; 510 
 3534 ; 5 франков. Тунис ; 1355 ;  ; Ag ; VF ; 34 ; ASTRAL ; 841 
 3535 ; 1/10 гулдьдена. Нидерландская Индия ; 1882 ;  ; Ag ; F-VF ; 16 ; vesta78 ; 123 
 3536 ; 6 крейцеров. Германия ; 1808 ;  ; Ag ; F ; 29 ; кот баюн ; 148 
 3537 ; 1 шиллинг. Великобритания ; 1937 ;  ; Ag ; VF ; 19 ; VAZ-2107 ; 183 
 3538 ; 500 лир. Италия ; 1960 ;  ; Ag ; VF ; 6 ; svoi1970 ; 301 
 3539 ; 1 крона. Австрия ; 1914 ;  ; Ag ; VF-XF ; 17 ; Elizium ; 199 
 3540 ; 1/10 гульдена. Нидерландское Кюрасао ; 1948 ;  ; Ag ; VF ; 10 ; t_v_v ; 104 
 3541 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF ; 14 ; кот баюн ; 71 
 3542 ; 10 центов. Нидерланды ; 1915 ;  ; Ag ; VF+ ; 12 ; Flagman ; 93 
 3543 ; 1 песо. Мексика ; 1966 ;  ; Ag ; VF+ ; 15 ; aple ; 202 
 3544 ; 1 злотый. Польша ; 1925 ;  ; Ag ; VF ; 36 ; vitapool ; 1546 
 3545 ; 5 гривен. Украина. Мечеть Хана-Узбека I ; 2014 ;  ; Cu-Ni ; AU ; 19 ; v_bond ; 198 
 3546 ; 5 гривен. Украина. Судинок М.Волошина ; 2013 ;  ; Cu-Ni ; AU ; 19 ; Fox13 ; 191 
 3547 ; 5 гривен. Украина. В. Городецкий ; 2013 ;  ; Cu-Ni ; AU ; 13 ; Метро62 ; 250 
 3548 ; 5 гривен. Украина. Битва под Оршей ; 2014 ;  ; Cu-Ni ; AU ; 31 ; u10257 ; 365 
 3549 ; 200000 карбованцев. Украина. Олимпиада ; 1996 ;  ; Cu-Ni ; AU ; 38 ; Метро62 ; 315 
 3550 ; 5 гривен. Украина. Самолеты Украины ; 2003 ;  ; Cu-Ni ; AU ; 28 ; KHODOVNV77 ; 1020 
 3551 ; 2 гривны. Украина. Паралимпийские игры ; 2012 ;  ; Cu-Ni ; AU ; 11 ; chp85 ; 174 
 3552 ; 2 гривны. Украина. Черный гриф ; 2008 ;  ; Cu-Ni ; AU ; 43 ; 000SABik ; 251 
 3553 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 28 ; Sandello ; 470 
 3554 ; 2 гривны. Украина. Михаил Вербицкий ; 2015 ;  ; Cu-Ni ; AU ; 21 ; Cosmos ; 190 
 3555 ; 5 гривен. Украина. Грошовая денежная система ; 2006 ;  ; Cu-Ni ; AU ; 13 ; falcom.v ; 250 
 3556 ; 5 гривен. Украина. Ужгород ; 2013 ;  ; Cu-Ni ; AU ; 6 ; Dahan ; 171 
 3557 ; 5 гривен. Украина. Последний шлях кобзаря ; 2011 ;  ; Cu-Ni ; AU ; 4 ; Метро62 ; 171 
 3558 ; 5 гривен. Украина. Антарктическая станция ; 2006 ;  ; Cu-Ni ; AU ; 7 ; KHODOVNV77 ; 202 
 3559 ; 5 гривен. Украина. Ужгород ; 2013 ;  ; Cu-Ni ; AU ; 10 ; 2372 ; 171 
