 151 ; Медаль "За храбрость". Новодел. D-28мм ;  ;  ; Cu ; VF-XF ; 31 ; 222211 ; 2833 
 3315 ; 20 вон. Северная Корея. Год Лошади ; 2008 ;  ; Латунь ; Proof ; 31 ; SANGOLD1 ; 303 
 3316 ; 20 вон. Северная Корея. Год Обезьяны ; 2008 ;  ; Латунь ; Proof ; 28 ; pol75 ; 312 
 3317 ; 20 вон. Северная Корея. Год Крысы ; 2008 ;  ; Латунь ; Proof ; 32 ; SANGOLD1 ; 315 
 3318 ; 20 вон. Северная Корея. Год Кролика ; 2008 ;  ; Латунь ; Proof ; 22 ; SANGOLD1 ; 305 
 3319 ; 20 вон. Северная Корея. Год Козы ; 2008 ;  ; Латунь ; Proof ; 18 ; SANGOLD1 ; 255 
 3320 ; 20 вон. Северная Корея. Год Змеи ; 2008 ;  ; Латунь ; Proof ; 13 ; kgu ; 300 
 3321 ; 20 вон. Северная Корея. Год Дракона ; 2008 ;  ; Латунь ; Proof ; 19 ; ML ; 363 
 3322 ; 20 вон. Северная Корея. Год Быка ; 2009 ;  ; Латунь ; Proof ; 58 ; УФА ; 310 
 3323 ; 20 вон. Северная Корея. Год Тигра ; 2010 ;  ; Латунь ; Proof ; 69 ; pol75 ; 607 
 3324 ; 10 монго. Монголия ; 1937 ;  ; Cu-Ni ; VF+ ; 34 ; MDV ; 127 
 3325 ; 1/4 доллара. США ; 1943 ;  ; Ag ; VF- ; 26 ; Serg78 ; 168 
 3326 ; 2 сантима. Франция ; 1862 ;  ; Cu ; VF- ; 19 ; solder13 ; 96 
 3327 ; 400 рейс. Португалия ; 1798 ;  ; Ag ; VF ; 66 ; AndrCh58 ; 2696 
 3328 ; 10 чентезими. Италия ; 1893 ;  ; Cu ; F+ ; 23 ; Leon17 ; 37 
 3329 ; 2 пфеннига. Германия ; 1875 ;  ; Cu ; VF ; 15 ; 206811 ; 102 
 3330 ; 3 марки. Веймар.  3 года конституции Веймара ; 1922А ;  ; Al ; F+ ; 22 ; Lasto4kaSPB ; 42 
 3331 ; 3 марки. Веймар.  3 года конституции Веймара ; 1922А ;  ; Al ; F-VF ; 15 ; Leon17 ; 41 
 3332 ; 50 пфеннигов. Веймар ; 1921А ;  ; Al ; VF ; 19 ; Leon17 ; 31 
 3333 ; 2 геллева. Австрия ; 1894 ;  ; Cu ; VF- ; 5 ; Leon17 ; 26 
 3334 ; 8 доблей. Гернси ; 1856 ;  ; Br ; VF-XF ; 30 ; Tarkus ; 104 
 3335 ; 1 пенни. Австралия ; 1952 ;  ; Br ; VF- ; 5 ; Leon17 ; 50 
 3336 ; 1 пенни. Южная Африка ; 1945 ;  ; Br ; VF- ; 7 ; Сакович ; 60 
 3337 ; 1/12 шиллинга. Джерси ; 1945 ;  ; Br ; VF+ ; 18 ; Leon17 ; 75 
 3338 ; 1/12 шиллинга. Джерси. 900 лет нормандским завоеваниям ; 1966 ;  ; Cu ; VF+ ; 18 ; Leon17 ; 59 
 3339 ; 3 гутенпфеннига. Германия, Саксен-Веймар-Эйзенах, Карл Август (1758-1828) ; 1760 FS ;  ; Cu ; F ; 32 ; 206811 ; 179 
 3340 ; 1 пфенниг. Ганновер, Георг V (1851-1866) ; 1861 B ;  ; Br ; VF+ ; 32 ; ИЮМов1 ; 194 
 3341 ; 3 марки. Веймар ; 1922 A ;  ; Al ; XF ; 52 ; Dbrnjh ; 97 
 3342 ; 50 пфеннигов. Германия. Нотгельд города Золинген ; 1917 ;  ; St ; VF- ; 18 ; sos1 ; 183 
 3343 ; 25 пфеннигов. Германия. Нотгельд города Варендорф ; 1920 ;  ; St ; F-VF ; 12 ; Опятор ; 102 
 3344 ; 10 пфеннигов. Германия. Нотгельд города Франкфурт на Майне ; 1919 ;  ; Zn ; F ; 15 ; demonspb ; 100 
 3345 ; 1/2 рупии. Британская Индия, Георг VI ; 1940 ;  ; Ag ; VF+ ; 39 ; harley-doctor ; 413 
 3346 ; 1/2 пайсы. Британская Индия, Георг V ; 1915 ;  ; Br ; VF+ ; 21 ; AGM62 ; 115 
 3347 ; 6 пенни. Токен. Великобритания ; Начало XX века ;  ; Al ; F ; 25 ; alex1974 ; 146 
 3348 ; 5 сантимов. Франция, 3-я республика ; 1916 ;  ; Br ; VF+ ; 14 ; УФА ; 92 
 3349 ; 20 франков. Французскя Полинезия ; 1999 ;  ; Ni ; XF ; 22 ; Sterh ; 42 
 3350 ; 10 франков. Французскя Полинезия ; 1986 ;  ; Ni ; AU ; 23 ; Sterh ; 44 
 3351 ; 1 цент. Французсий Индо-Китай, 3-я республика ; 1939 A ;  ; Br ; VF-XF ; 16 ; ead ; 104 
 3352 ; 50 сен. Япония. 12-й год Тайсё ; 1923 ;  ; Ag ; VF+ ; 62 ; гарик ; 404 
 3353 ; 5 сен. Япония. 23-й год Мэйдзи ; 1890 ;  ; Ni ; VF ; 38 ; Aleks72 ; 157 
 3354 ; 2 сена. Япония. 13-й год Мэйдзи ; 1880 ;  ; Br ; F-VF ; 27 ; Havanna ; 261 
 3355 ; 50 центаво. Португалия ; 1960 ;  ; Ni ; VF+ ; 32 ; t_v_v ; 32 
 3356 ; 10 центаво. Португалия ; 1925 ;  ; Br ; VF ; 55 ; krugerrand ; 163 
 3357 ; 2 лева. Болгария ; 1925 ;  ; Ni ; VF- ; 20 ; MDV ; 93 
 3358 ; 1 лев. Болгария ; 1925 ;  ; Ni ; VF- ; 22 ; MDV ; 89 
 3359 ; 100 франков. Марокко ; 1953 (1372 л.х.) ;  ; Ag ; XF+ ; 98 ; AnvlaSar6216 ; 498 
 3360 ; 50 франков. Марокко ; 1951 (1371 л.х.) ;  ; Br ; XF+ ; 50 ; Vasya ; 108 
 3361 ; 10 франков. Марокко ; 1951 (1371 л.х.) ;  ; Br ; AU ; 29 ; AnvlaSar6216 ; 45 
 3262 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 48 ; 206811 ; 1005 
 3263 ; 20 сент. Франция. Наполеон III ; 1860В ;  ; Ag ; VF- ; 39 ; alexnn ; 392 
 3264 ; 10 сент. Нидерланды ; 1941 ;  ; Ag ; AU ; 36 ; StanislavAK ; 79 
 3265 ; 5 сентаво. Гватемала ; 1956 ;  ; Ag ; VF-XF ; 44 ; pissimist ; 302 
 3266 ; 100 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 64 ; lsp25 ; 385 
 3267 ; 100 лева. Болгария. Борис III ; 1934 ;  ; Ag ; VF+ ; 57 ; Ley ; 481 
 3268 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 35 ; lsp25 ; 163 
 3269 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 7 ; vitapool ; 117 
 3270 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 13 ; vitapool ; 114 
 3271 ; 20 лева. Болгария. Борис III ; 1930 ;  ; Ag ; VF+ ; 40 ; vitapool ; 105 
 3272 ; 1 рейхсмарка. Германия ; 1934А ;  ; Ni ; XF+ ; 24 ; ZOLTAN333 ; 472 
 3273 ; 1 рейхсмарка. Германия ; 1934А ;  ; Ni ; AU ; 31 ; SANGOLD1 ; 498 
 3274 ; 1 рейхсмарка. Германия ; 1935А ;  ; Ni ; XF+ ; 20 ; FED ; 628 
 3275 ; 1 рейхсмарка. Германия ; 1936А ;  ; Ni ; XF+ ; 25 ; FED ; 628 
 3276 ; 50 пфеннигов. Германия ; 1942А ;  ; Al ; F+ ; 17 ; demonspb ; 65 
 3277 ; 2 цента. США ; 1864 ;  ; Cu-Zn ; VF- ; 26 ; kgu ; 1300 
 3278 ; 2 цента. США ; 1865 ;  ; Cu-Zn ; VF ; 39 ; kgu ; 1157 
 3279 ; 1 цент. США ; 1853 ;  ; Cu ; VF- ; 40 ; BOLMAR ; 988 
 3280 ; 1 цент. США ; 1856 ;  ; Cu ; VF- ; 22 ; BOLMAR ; 941 
 3281 ; 2 мил. Палестина ; 1927 ;  ; Br ; VF+ ; 16 ; Havanna ; 143 
 3282 ; 2 мил. Палестина ; 1945 ;  ; Br ; VF+ ; 15 ; Havanna ; 132 
 3283 ; 5 пфеннигов. Германия ; 1938D ;  ; Латунь ; VF- ; 11 ; sibtec ; 204 
 3284 ; 5 пфеннигов. Веймар ; 1925D ;  ; Латунь ; VF- ; 3 ; kgu ; 27 
 3285 ; 1/2 пенни. Великобритания. Георг V ; 1915 ;  ; Br ; XF- ; 39 ; dgekson ; 81 
 3286 ; 5 марок. ГДР. Квартал Николая ; 1987A ;  ; Cu-Ni ; AU ; 18 ; ANNT4 ; 164 
 3287 ; 5 фунтов. Великобритания. 90 лет Королеве-Матери ; 1990 ;  ; Cu-Ni ; AU ; 19 ; kgu ; 333 
 3288 ; 1 крона. Швеция. Густав V ; 1948TS ;  ; Ag ; VF ; 35 ; alexnn ; 227 
 3289 ; 20 франков. Бельгия. Леопольд III ; 1935 ;  ; Ag ; VF- ; 34 ; lielais ; 320 
 3290 ; 50 пфеннигов. Германия ; 1927А ;  ; Ni ; XF ; 29 ; vb96 ; 200 
 3291 ; 1 крона. Швеция. Густав V ; 1946TS ;  ; Ag ; XF+ ; 64 ; krugerrand ; 177 
 3292 ; 10 центов. Канада. Георг VI ; 1950 ;  ; Ag ; VF+ ; 16 ; ML ; 53 
 3293 ; 20 эскудо Португалия. 25 лет финансовой реформе ; 1953 ;  ; Ag ; XF ; 31 ; krugerrand ; 579 
 3294 ; 6 стюверов. Утрех. Голландия ; 1678 ;  ; Ag ; VF- ; 51 ; kgu ; 850 
 3295 ; 1 крона. Швеция. Густав VI ; 1968U ;  ; Ag ; VF-XF ; 26 ; vitapool ; 85 
 3296 ; 50 эре. Швеция ; 1953TS ;  ; Ag ; VF+ ; 12 ; t_v_v ; 56 
 3297 ; 25 эре. Швеция ; 1956TS ;  ; Ag ; VF-XF ; 14 ; страус ; 45 
 3298 ; 10 эре. Швеция ; 1957TS ;  ; Ag ; XF ; 28 ; vladimir_mu ; 50 
 3299 ; 5 гривен. Украина. Юбилей 50 лет ЕС ; 2009 ;  ; Би/м ; AU ; 35 ; Опятор ; 150 
 3300 ; 5 гривен. Украина. 1100 лет Чернигову ; 2007 ;  ; Cu-Ni ; Proof ; 16 ; sibiryak62 ; 238 
 3301 ; 5 гривен. Украина. "Тростянец"- национальный дендрологический парк ; 2008 ;  ; Cu-Ni ; Proof ; 15 ; Опятор ; 156 
 3302 ; 5 гривен. Украина. 725 лет Первому письменному упоминанию о Ровно ; 2008 ;  ; Cu-Ni ; Proof ; 16 ; vc57 ; 157 
 3303 ; 5 гривен. Украина. Международный год астрономии Каперник ; 2009 ;  ; Cu-Ni ; Proof ; 43 ; sasa1369 ; 147 
 3304 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; Proof ; 9 ; jj ; 153 
 3305 ; 5 гривен. Украина. Спасы ; 2010 ;  ; Cu-Ni ; Proof ; 26 ; viewer_conr ; 181 
 3306 ; 5 гривен. Украина. 925 лет Луцк ; 2010 ;  ; Cu-Ni ; Proof ; 55 ; jj ; 152 
 3307 ; 5 гривен. Украина. Киевская абсерватория ; 2010 ;  ; Cu-Ni ; Proof ; 18 ; Опятор ; 161 
 3308 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; Proof ; 29 ; sasa1369 ; 187 
 3309 ; 5 гривен. Украина. Гопак ; 2011 ;  ; Cu-Ni ; Proof ; 36 ; bethowen ; 277 
 3310 ; 1 рубль. Беларусь. Болотная черепаха ; 2010 ;  ; Cu-Ni ; Proof ; 60 ; SergeyAnatoljevich ; 421 
 3311 ; 1 рубль. Беларусь. Иудаизм. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 31 ; pol75 ; 235 
 3212 ; 100 лир. Италия. ФАО ; 1979R ;  ; St ; AU ; 9 ; 100924 ; 116 
 3213 ; 1 лек. Албания ; 1930V ;  ; Ni ; VF ; 63 ; Sterh ; 114 
 3214 ; 1 далер. Швеция ; 1718 ;  ; Cu ; VF- ; 54 ; dsp ; 668 
 3215 ; 1/4 анны. Восточная Индийская Компания ; 1835 ;  ; Cu ; VF- ; 21 ; Юбер ; 135 
 3216 ; 1 цент. Британская Малайя ; 1940 ;  ; Br ; VF- ; 20 ; Сакович ; 176 
 3217 ; 5 сентесимо. Сан-Марино ; 1869 ;  ; Cu ; F-VF ; 28 ; ask ; 151 
 3218 ; 2 сентима. Гаити ; 1881 ;  ; Cu ; F-VF ; 47 ; Недорого ; 208 
 3219 ; 20 рейс. Портгуалия ; 1884 ;  ; Cu ; F+ ; 9 ; ask ; 58 
 3220 ; 2 марки. ФРГ ; 1951G ;  ; Cu-Ni ; VF ; 55 ; Vasya ; 828 
 3221 ; 5 крон. Дания ; 1973 ;  ; Cu-Ni ; AU ; 19 ; тимпо ; 126 
 3222 ; 10 сентаво. Мексика ; 1936 ;  ; Cu-Ni ; VF ; 11 ; vb96 ; 76 
 3223 ; 12-1/2 сентимо. Венесуэла ; 1946 ;  ; Cu-Ni ; VF+ ; 17 ; hobot ; 112 
 3224 ; 2 лиры. Италия ; 1924R ;  ; Cu-Ni ; VF ; 21 ; av ; 85 
 3225 ; 50 сентимов. Марокко ; ND ;  ; Ni ; VF ; 32 ; vc57 ; 105 
 3226 ; 5 центов. США ; 1937 ;  ; Cu-Ni ; VF ; 46 ; гарик ; 57 
 3227 ; 1 цент. США. Индеец ; 1901 ;  ; Br ; VF+ ; 27 ; ML ; 408 
 3228 ; 10 раппен. Швецария ; 1920 ;  ; Cu-Ni ; F-VF ; 7 ; Рыжая_Кыся ; 22 
 3229 ; 20 центов. Малайя и Британское Борнео ; 1954 ;  ; Cu-Ni ; VF- ; 13 ; 542 ; 108 
 3230 ; 10 центов. Британская Малайя ; 1949 ;  ; Cu-Ni ; VF+ ; 30 ; Сакович ; 56 
 3231 ; 3 марки. Эстония ; 1922 ;  ; Cu-Ni ; VF ; 44 ; lielais ; 261 
 3232 ; 20 франков. Саарленд ; 1954 ;  ; Al/Br ; VF+ ; 18 ; Vasya ; 123 
 3233 ; 1 цент. Гайана ; 1967 ;  ; Латунь ; VF ; 21 ; AIK60 ; 68 
 3234 ; 10 пфеннигов. Германия. Нотгельд. Дюрен ; 1918 ;  ; Fe ; F+ ; 16 ; ML ; 153 
 3235 ; 1 пфенниг. Пруссия ; 1861A ;  ; Cu ; VF ; 73 ; Aleks72 ; 140 
 3236 ; 1 ригсмонтскиллинг. Дания ; 1842 ;  ; Cu ; VF ; 44 ; ML ; 514 
 3237 ; 20 рейс. Бразилия ; 1869 ;  ; Br ; VF- ; 26 ; MC17 ; 102 
 3238 ; 2 скиллинга. Дания ; 1809 ;  ; Cu ; VF ; 15 ; verba ; 488 
 3239 ; 1 пфенниг. Данциг ; 1930 ;  ; Br ; VF ; 24 ; Flagman ; 172 
 3240 ; 1 цент. Канада ; 1905 ;  ; Br ; VF+ ; 7 ; AGM62 ; 126 
 3241 ; 10 центов. Восточная Африка ; 1937 ;  ; Br ; VF ; 14 ; Aleks72 ; 74 
 3242 ; 5 аурар. Исландия ; 1946 ;  ; Br ; VF ; 12 ; lielais ; 42 
 3243 ; 2 цента. Британские Карибские Территории. Восточная группа ; 1955 ;  ; Br ; VF ; 11 ; 542 ; 65 
 3244 ; 1 цент. Стрейтс-Сетлментс ; 1920 ;  ; Br ; VF+ ; 6 ; Aleks72 ; 87 
 3245 ; 50 центов. Малайя и Британское Борнео ; 1954 ;  ; Cu-Ni ; VF ; 27 ; kergudu ; 43 
 3246 ; 1 доллар. США ; 1934D ;  ; Ag ; XF ; 47 ; garsn ; 1530 
 3247 ; 1 доллар. США ; 1935 ;  ; Ag ; XF ; 49 ; kgu ; 1542 
 3248 ; 1/2 доллара. США. Всемирная выставка. Колумб ; 1893 ;  ; Ag ; XF- ; 75 ; ML ; 1947 
 3249 ; 1/2 доллара. США. Букер Т Вашингтон ; 1946 ;  ; Ag ; XF ; 52 ; ML ; 1615 
 3250 ; 1/2 доллара. США. Кеннади ; 1964 ;  ; Ag ; AU ; 19 ; ML ; 490 
 3251 ; 1/2 доллара. США. 200 лет независимости США ; 1976S ;  ; Ag ; AU ; 15 ; ML ; 408 
 3252 ; 1/4 доллара. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 44 ; alexnn ; 320 
 3253 ; 2 кроны. Швеция. 400 лет политической свободы Швеции ; 1921 ;  ; Ag ; AU ; 60 ; verba ; 826 
 3254 ; 500 рейс. Бразилия. Петр II ; 1867 ;  ; Ag ; VF+ ; 34 ; patap100 ; 456 
 3255 ; 5000 рейс. Бразилия ; 1936 ;  ; Ag ; XF+ ; 28 ; дед морос ; 293 
 3256 ; 1 песо. Куба. Юбилей 100 лет ; 1953 ;  ; Ag ; VF-XF ; 35 ; garsn ; 1009 
 3257 ; 20 сентаво. Куба ; 1915 ;  ; Ag ; VF+ ; 26 ; Havanna ; 206 
 3258 ; 20 сентаво. Куба ; 1920 ;  ; Ag ; VF-XF ; 14 ; Иа-Иа ; 141 
 3259 ; 1 шиллинг. Великобритания. Виктория. Золотой юбилей ; 1887JEB ;  ; Ag ; VF-XF ; 23 ; garsn ; 697 
 3260 ; 6 пенсов. Великобритания. Вильем IV ; 1834 ;  ; Ag ; VF- ; 80 ; Павлов75 ; 391 
 3261 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; XF+ ; 30 ; Лёня Голубков ; 1326 
 3162 ; 1 франк. Швейцария ; 1887 ;  ; Ag ; F+ ; 36 ; WikiLeaks ; 128 
 3163 ; 20 пиастров. Египет ; 1956 ;  ; Ag ; VF ; 44 ; MDV ; 414 
 3164 ; 1/2 кроны. Великобритания ; 1929 ;  ; Ag ; VF ; 41 ; Сакович ; 360 
 3165 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; XF ; 23 ; Serg78 ; 401 
 3166 ; 10 сантимов. Французский Индо-Китай ; 1925 ;  ; Ag ; VF- ; 31 ; asparagus ; 168 
 3167 ; 1/4 гульдена. Нидерландское Кюрасао ; 1947 ;  ; Ag ; VF- ; 30 ; ask ; 164 
 3168 ; 10 центов. Канада ; 1919 ;  ; Ag ; VF ; 14 ; zev ; 204 
 3169 ; 1 крона. Австрия ; 1916 ;  ; Ag ; VF-XF ; 15 ; ML ; 180 
 3170 ; 1 флорин. Великобритания ; 1923 ;  ; Ag ; F-VF ; 45 ; alexnn ; 612 
 3171 ; 50 сантимов. Франция ; 1919 ;  ; Ag ; XF- ; 24 ; solder13 ; 179 
 3172 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; AU ; 28 ; hugo ; 187 
 3173 ; 2 шиллинга. Великобритания ; 1938 ;  ; Ag ; VF- ; 10 ; Serg78 ; 276 
 3174 ; 40 сентимо. Испания ; 1867 ;  ; Ag ; VF- ; 31 ; vvr ; 816 
 3175 ; 25 центов. Канада ; 1963 ;  ; Ag ; VF- ; 30 ; дед морос ; 111 
 3176 ; 6 пенсов. Австралия ; 1942D ;  ; Ag ; VF- ; 31 ; Юбер ; 81 
 3177 ; 10 эре. Швеция ; 1955 ;  ; Ag ; XF- ; 39 ; страус ; 41 
 3178 ; 20 франков. Бельгия ; 1949 ;  ; Ag ; VF- ; 11 ; Юбер ; 169 
 3179 ; 2 кроны. Дания ; 1876 ;  ; Ag ; F+ ; 30 ; ML ; 359 
 3180 ; 1 крона. Дания ; 1915 ;  ; Ag ; VF-XF ; 75 ; av ; 873 
 3181 ; 1 шиллинг. Великобритания ; 1886 ;  ; Ag ; F ; 15 ; evgen72 ; 150 
 3182 ; 50 эре. Швеция ; 1907 ;  ; Ag ; F+ ; 57 ; StanislavAK ; 102 
 3183 ; 500 лир. Италия ; 1960 ;  ; Ag ; AU ; 75 ; lielais ; 325 
 3184 ; 1/2 доллара. США ; 1935S ;  ; Ag ; VF+ ; 42 ; ML ; 724 
 3185 ; 2 франка. Швейцария ; 1907 ;  ; Ag ; VF ; 28 ; Havanna ; 276 
 3186 ; 2 шиллинга. Великобритания ; 1946 ;  ; Ag ; VF+ ; 27 ; Serg78 ; 284 
 3187 ; 1/2 франка. Швейцария ; 1957 ;  ; Ag ; XF- ; 38 ; Havanna ; 64 
 3188 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; VF ; 9 ; Юбер ; 123 
 3189 ; 1 франк. Франция ; 1919 ;  ; Ag ; VF-XF ; 29 ; solder13 ; 215 
 3190 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; VF+ ; 19 ; nbvv ; 157 
 3191 ; 10 чентезимо. Италия ; 1894 ;  ; Cu ; F-VF ; 32 ; dgekson ; 100 
 3192 ; 10 центов. Восточная Африка ; 1928 ;  ; Br ; F-VF ; 32 ; 542 ; 75 
 3193 ; 8 мараведи. Испания ; 1842 ;  ; Cu ; F ; 19 ; MC17 ; 255 
 3194 ; 10 филс. Иордания ; 1949 ;  ; Br ; F-VF ; 11 ; Юбер ; 79 
 3195 ; 1/4 пенни. Токен. Гибралтар ; 1802 ;  ; Cu ; F-VF ; 44 ; Havanna ; 607 
 3196 ; 10 фен. Китай. Маньчжурия ; 1939 ;  ; Cu-Ni ; VF- ; 41 ; Slava O ; 101 
 3197 ; 1 рупия. Пакастан ; 1949 ;  ; Cu-Ni ; VF ; 30 ; vc57 ; 99 
 3198 ; 5 центов. Нидерланды ; 1907 ;  ; Cu-Ni ; VF ; 20 ; В1951 ; 201 
 3199 ; 10 марок. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; VF- ; 23 ; smel ; 159 
 3200 ; 10 лир. Ватикан ; 1950 ;  ; Al ; XF- ; 25 ; Недорого ; 204 
 3201 ; 20 песев. Гана ; 1967 ;  ; Cu-Ni ; VF- ; 51 ; ИЮМов1 ; 93 
 3202 ; 5 центов. Британские Карибские территории. Восточная группа ; 1956 ;  ; Латунь ; XF+ ; 6 ; 542 ; 98 
 3203 ; 50 франков. Французский Алжир ; 1949 ;  ; Cu-Ni ; VF ; 24 ; vc57 ; 128 
 3204 ; 10 мазун. Марокко ; 1320 ;  ; Br ; VF ; 46 ; гарик ; 195 
 3205 ; 1/2 скиллинга. Швеция ; 1802 ;  ; Cu ; VF+ ; 40 ; ML ; 531 
 3206 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 39 ; dsp ; 407 
 3207 ; 5 евро. Финляндия. Остроботния ; 2011 ;  ; Би/м ; AU ; 25 ; Smit ; 338 
 3208 ; 1 доллар. США. Эйзенхауэр ; 1971 ;  ; Cu-Ni ; XF+ ; 24 ; lielais ; 99 
 3209 ; 1 доллар. США. Эйзенхауэр ; 1971 ;  ; Cu-Ni ; XF ; 11 ; SadKo ; 83 
 3210 ; 1 крона. Великобритания. Коронация ; 1953 ;  ; Cu-Ni ; AU ; 22 ; ML ; 305 
 3211 ; 100 лир. Ватикан ; 1962 ;  ; St ; AU ; 50 ; ML ; 357 
 3112 ; 1/2 пенни. Токен. Великобритания. Графство Кройдон ; 1797 ;  ; Cu ; F-VF ; 45 ; гвоздика6 ; 301 
 3113 ; 1 дуит. Нидерландская Восточная Индия ; 1752 ;  ; Cu ; F-VF ; 15 ; shest ; 182 
 3114 ; 1/2 пенни. Токен. Великобритания, Бирмингем ; 1793 ;  ; Cu ; F-VF ; 62 ; ML ; 690 
 3115 ; 20 рейс. Португальская Бразилия для Сан-Томе и Принсипи. Жоао VI ; 1819 ;  ; Cu ; F-VF ; 49 ; shest ; 814 
 3116 ; 1 дуит. Нидерланды. Провинция Утрехт ; 1790 ;  ; Cu ; VF ; 21 ; гвоздика6 ; 412 
 3117 ; 10 центов. Канада. Ньюфаундленд. Георг V ; 1912 ;  ; Ag ; F-VF ; 36 ; WikiLeaks ; 226 
 3118 ; 1 фениг. Польша, оккупация ; 1918 ;  ; Fe ; VF ; 25 ; MDV ; 303 
 3119 ; 1 кэш. Индия, провинция Майсер. Слон ; ND ;  ; Cu ; F-VF ; 32 ; kont ; 203 
 3120 ; 1/2 пенни. Токен. Великобритания. Серия: Веллингтон - герой Англиия ; 1814 ;  ; Cu ; F-VF ; 31 ; ML ; 720 
 3121 ; 1/2 дуита. Нидерландская Индия. Провинция Утрехт ; 1754 ;  ; Cu ; F-VF ; 26 ; гвоздика6 ; 225 
 3122 ; 1/26 шиллинга. Джерси. Виктория ; 1844 ;  ; Cu ; VF+ ; 45 ; В1951 ; 299 
 3123 ; 1 цент. Канада. Георг V ; 1918 ;  ; Br ; VF-XF ; 9 ; Сакович ; 102 
 3124 ; 1 пенни. Австралия, Георг VI ; 1943 ;  ; Br ; VF+ ; 33 ; Сакович ; 104 
 3125 ; 1 цент. Маврикий, Георг V ; 1921 ;  ; Br ; VF ; 25 ; Сакович ; 213 
 3126 ; 5 центов. Канада, Георг V ; 1922 ;  ; Cu-Ni ; XF+ ; 25 ; zev ; 160 
 3127 ; 3 пенса. Великобритания, Георг VI ; 1943 ;  ; Ni/латунь ; VF+ ; 7 ; гвоздика6 ; 32 
 3128 ; 1 цент. Канада, Георг V ; 1916 ;  ; Br ; XF- ; 16 ; zev ; 91 
 3129 ; 6 пенсов. Новая Зеландия, Елизавета II ; 1943 ;  ; Cu-Ni ; VF-XF ; 11 ; Сакович ; 51 
 3130 ; 3 пенса. Великобритания, Елизавета II ; 1963 ;  ; Ni/латунь ; VF+ ; 3 ; гвоздика6 ; 28 
 3131 ; 1 пенни. Ирландия ; 1968 ;  ; Br ; AU ; 39 ; Скрудж ; 59 
 3132 ; 1 пенни. Новая Зеландия, Георг VI ; 1951 ;  ; Br ; XF- ; 34 ; lessnoy ; 152 
 3133 ; 1/4 анны. Британская Индия, Георг V ; 1927 ;  ; Br ; AU ; 19 ; kergudu ; 104 
 3134 ; 1 пайса. Индия. Тонк ; 1932 (1350) ;  ; Br ; VF-XF ; 3 ; гвоздика6 ; 306 
 3135 ; 1 пенни. Великобритания, Георг V ; 1912 ;  ; Br ; VF+ ; 17 ; Pushan ; 62 
 3136 ; 1 патака. Португальское Макао ; 1968 ;  ; Cu-Ni ; AU ; 29 ; shest ; 111 
 3137 ; Фартинг. Великобритания. Георг V ; 1918 ;  ; Br ; VF-XF ; 18 ; Pushan ; 153 
 3138 ; 1 пенни. Великобритания. Георг V ; 1922 ;  ; Br ; VF ; 25 ; ML ; 150 
 3139 ; 1 пенни. Южная Африка ; 1937 ;  ; Br ; VF+ ; 25 ; ML ; 202 
 3140 ; 1 пенни. Австралия. Георг V ; 1920 ;  ; Br ; VF+ ; 11 ; Сакович ; 101 
 3141 ; 2 стивера. Нидерландская Индия (Индонезия) ; 1836V ;  ; Cu ; F+ ; 18 ; shest ; 235 
 3142 ; 1/2 пенни. Британская Западная Африка. Эдуард VIII - не правил ; 1936 ;  ; Cu-Ni ; AU ; 22 ; vb96 ; 373 
 3143 ; 1 цент. Канада. Георг V ; 1912 ;  ; Br ; VF+ ; 7 ; Сакович ; 96 
 3144 ; Фартинг. Великобритания ; 1932 ;  ; Br ; XF- ; 10 ; ML ; 152 
 3145 ; 50 сентаво. Португальская колония. Ангола ; 1957 ;  ; Cu ; AU ; 28 ; ADD ; 107 
 3146 ; 5 марок. ФРГ ; 1951F ;  ; Ag ; XF ; 75 ; mezenat ; 482 
 3147 ; 1 крона. Швеция ; 1910 ;  ; Ag ; VF- ; 26 ; vladimir_mu ; 210 
 3148 ; 5 крон. Швеция ; 1955 ;  ; Ag ; XF+ ; 13 ; Serg78 ; 239 
 3149 ; 1 крона. Швеция ; 1946 ;  ; Ag ; VF ; 30 ; vitapool ; 93 
 3150 ; 2 кроны. Дания. На серебряную свадьбу ; 1923 ;  ; Ag ; XF- ; 72 ; av ; 1022 
