 5463 ; Лот бон иностранных 8 шт ;  ;  ;  ;  ; 20 ; TiBuL ; 68 
 3748 ; 50 сентимес. Франция ; 1941 ;  ; Al/Br ; XF ; 22 ; kergudu ; 41 
 3749 ; 25 пенни. Финляндия ; 1939 ;  ; Cu-Ni ; AU ; 10 ; папашаГарпагон ; 32 
 3750 ; 25 пенни. Финляндия ; 1944 ;  ; Fe ; XF ; 5 ; Jeff ; 12 
 3751 ; 25 пенни. Финляндия ; 1940 ;  ; Cu-Ni ; AU ; 14 ; flutter ; 102 
 3752 ; 25 пенни. Финляндия ; 1937 ;  ; Cu-Ni ; AU ; 8 ; dmivanych ; 32 
 3753 ; 25 пенни. Финляндия ; 1935 ;  ; Cu-Ni ; XF ; 17 ; flutter ; 34 
 3754 ; 25 пенни. Финляндия ; 1936 ;  ; Cu-Ni ; AU ; 17 ; kornum ; 102 
 3755 ; 25 пенни. Финляндия ; 1934 ;  ; Cu-Ni ; AU ; 22 ; Whosaid ; 118 
 3756 ; 25 пенни. Финляндия ; 1927 ;  ; Cu-Ni ; XF ; 35 ; kergudu ; 52 
 3757 ; 50 пенни. Финляндия ; 1946 ;  ; Fe ; XF ; 8 ; kotok ; 17 
 3758 ; 25 пенни. Финляндия ; 1921 ;  ; Cu-Ni ; XF ; 11 ; flutter ; 21 
 3759 ; 50 пенни. Финляндия ; 1944 ;  ; Fe ; XF- ; 16 ; barbos ; 25 
 3760 ; 50 пенни. Финляндия ; 1943 ;  ; Fe ; XF- ; 14 ; Либра ; 113 
 3761 ; 50 пенни. Финляндия ; 1934 ;  ; Cu-Ni ; AU ; 30 ; Либра ; 167 
 3762 ; 50 пенни. Финляндия ; 1940 ;  ; Cu-Ni ; AU ; 22 ; tpls ; 118 
 3763 ; 50 пенни. Финляндия ; 1936 ;  ; Cu-Ni ; XF ; 18 ; Либра ; 159 
 3764 ; 50 пенни. Финляндия ; 1937 ;  ; Cu-Ni ; AU ; 22 ; tpls ; 115 
 3765 ; 50 пенни. Финляндия ; 1945 ;  ; Fe ; XF ; 12 ; buben ; 33 
 3766 ; 40 пара. Турция ;  ;  ; Ni ; VF- ; 21 ; aziya11 ; 35 
 3767 ; 200 песет. Испания ; 1986 ;  ; Cu-Ni ; XF ; 9 ; dmivanych ; 30 
 3768 ; 1 цент. Шри Ланка ; 1971 ;  ; Al ; XF ; 9 ; калинов мост ; 18 
 3769 ; 5 сатанг. Таиланд ;  ;  ; Al/Br ; VF ; 16 ; Zarik ; 39 
 3770 ; 100 франков. Франция ; 1955 ;  ; Cu-Ni ; XF ; 35 ; Хаа ; 92 
 3771 ; 10 эре. Дания ; 1925 ;  ; Cu-Ni ; VF ; 10 ; buben ; 34 
 3772 ; 10 драхм. Греция ; 1959 ;  ; Cu-Ni ; VF ; 12 ; Хаа ; 19 
 3773 ; 1 франк. Французская Полинезия ; 1965 ;  ; Al ; VF+ ; 13 ; Звездолёты ; 27 
 3674 ; 10 марок. Финляндия ; 1934 ;  ; Al/Br ; VF ; 13 ; SKeeper ; 220 
 3675 ; 10 марок. Финляндия ; 1956 ;  ; Al/Br ; VF ; 10 ; Jeff ; 25 
 3676 ; 10 марок. Финляндия ; 1952 ;  ; Al/Br ; VF ; 8 ; buben ; 14 
 3677 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; VF ; 35 ; Либра ; 589 
 3678 ; 1 марка. Финляндия ; 1921 ;  ; Cu-Ni ; XF ; 8 ; vicnic ; 54 
 3679 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF ; 11 ; SKeeper ; 91 
 3680 ; 5 марок. Германия, Веймар. D - 32mm ; 1921 ;  ; Al ; XF ; 20 ; taa ; 657 
 3681 ; 1 доллар. Канада. Игры содружества в Эдмонтоне ; 1978 ;  ; Ag ; AU ; 7 ; adus ; 612 
 3682 ; 5 шиллингов. Великобритания. Коронация Елизаветы II ; 1953 ;  ; Cu-Ni ; XF ; 30 ; mr.812 ; 271 
 3683 ; 2 фунта. Великобритания. Великая Хартия Вольностей - 800 лет принятия ; 2016 ;  ; би/м ; AU ; 36 ; istleman ; 1022 
 3684 ; 2 доллара. Барбадос ; 1974 ;  ; Cu-Ni ; Proof ; 25 ; makcpeyn100 ; 399 
 3685 ; 5 долларов. Барбадос. Фонтан ; 1974 ;  ; Ag ; Proof ; 47 ; ДУНКАН МАКЛАУД ; 1055 
 3686 ; 1 доллар. Барбадос ; 1974 ;  ; Cu-Ni ; Proof ; 46 ; SKeeper ; 152 
 3687 ; 25 центов. Барбадос ; 1974 ;  ; Cu-Ni ; Proof ; 12 ; SKeeper ; 50 
 3688 ; 10 центов. Барбадос ; 1974 ;  ; Cu-Ni ; Proof ; 15 ; Maks87 ; 46 
 3689 ; 5 центов. Барбадос ; 1974 ;  ; Lat ; Proof ; 15 ; Визитер ; 50 
 3690 ; 1 цент. Барбадос ; 1974 ;  ; Br ; Proof ; 5 ; Maks87 ; 38 
 3691 ; 50 оре. Швеция ; 1973 ;  ; Cu-Ni ; VF-XF ; 4 ; Визитер ; 11 
 3692 ; 50 оре. Швеция ; 1946 ;  ; Cu-Ni ; VF ; 13 ; SKeeper ; 37 
 3693 ; 10 марок. Финляндия ; 1938 ;  ; Al/Br ; VF ; 9 ; SKeeper ; 141 
 3694 ; 10 марок. Финляндия ; 1936 ;  ; Al/Br ; VF ; 13 ; mr.gold ; 157 
 3695 ; 10 марок. Финляндия ; 1932 ;  ; Al/Br ; VF ; 19 ; SKeeper ; 61 
 3696 ; 10 марок. Финляндия ; 1928 ;  ; Al/Br ; VF ; 23 ; Либра ; 168 
 3697 ; 10 марок. Финляндия ; 1929 ;  ; Al/Br ; VF ; 9 ; mr.gold ; 63 
 3698 ; 10 марок. Финляндия ; 1930 ;  ; Al/Br ; VF ; 19 ; Либра ; 182 
 3699 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF ; 11 ; SKeeper ; 73 
 3700 ; 20 марок. Финляндия ; 1937 ;  ; Al/Br ; VF ; 17 ; Либра ; 186 
 3701 ; 20 марок. Финляндия ; 1935 ;  ; Al/Br ; VF ; 25 ; mr.gold ; 301 
 3702 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF ; 11 ; SKeeper ; 102 
 3703 ; 1 сент. Эстония ; 1939 ;  ; Cu ; XF ; 23 ; krugerrand ; 765 
 3704 ; 10 сенту. Литва ; 1925 ;  ; Br ; VF ; 73 ; lesnik1 ; 290 
 3705 ; 10 пфеннигов. Германия ; 1942A ;  ; Zn ; VF ; 8 ; rusin ; 34 
 3706 ; 1 цент. Нидерланды ; 1941 ;  ; Zn ; VF ; 5 ; zodiak ; 18 
 3707 ; 5 пфеннигов. Германия ; 1940A ;  ; Zn ; VF ; 7 ; flutter ; 51 
 3708 ; 10 пфеннигов. Германия ; 1944B ;  ; Zn ; VF-XF ; 16 ; musik ; 159 
 3709 ; 25 новых пенсов. Великобритания. Свадьба принца Чарльза и Леди Дианы ; 1981 ;  ; Cu-Ni ; XF ; 42 ; SKeeper ; 104 
 3710 ; 1 пфенниг. Германия ; 1942A ;  ; Zn ; VF ; 11 ; flutter ; 57 
 3711 ; 5 пфеннигов. Германия ; 1941B ;  ; Zn ; VF ; 10 ; flutter ; 51 
 3712 ; 2 евро. Мальта. Первые выборы ; 2011 ;  ; Би/м ; AU ; 44 ; fuzzyfly ; 546 
 3713 ; 1/2 кроны. Великобритания ; 1950 ;  ; Cu-Ni ; VF-XF ; 8 ; ml10 ; 97 
 3714 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu-Ni ; XF ; 38 ; bek-1 ; 100 
 3715 ; 1/10 пенни. Британская Западная Африка ; 1908 ;  ; Cu-Ni ; AU ; 37 ; камсигал ; 333 
 3716 ; 1/10 пенни. Британская Западная Африка ; 1936 ;  ; Cu-Ni ; AU ; 46 ; spiritusvini ; 226 
 3717 ; 1/10 пенни. Британская Западная Африка ; 1932 ;  ; Cu-Ni ; AU ; 19 ; spiritusvini ; 226 
 3718 ; 1/10 пенни. Британская Западная Африка ; 1919 ;  ; Cu-Ni ; AU ; 23 ; prince1959 ; 267 
 3719 ; 1 фартинг. Великобритания ; 1940 ;  ; Br ; XF ; 23 ; кве ; 77 
 3720 ; 1 фартинг. Великобритания ; 1941 ;  ; Br ; AU ; 25 ; prince1959 ; 368 
 3721 ; 1 пенни. Ирландия ; 1949 ;  ; Br ; VF ; 9 ; SKeeper ; 20 
 3722 ; 1 фартинг. Великобритания ; 1939 ;  ; Br ; XF ; 15 ; кве ; 42 
 3723 ; 2 гривны. Украина. 20 лет Независимости ; 2011 ;  ; Cu-Ni ; AU ; 29 ; dmivanych ; 186 
 3624 ; 1 марка. Финляндия ; 1942 ;  ; Cu ; XF ; 10 ; kost ; 32 
 3625 ; 1 марка. Финляндия ; 1943 ;  ; Cu ; XF ; 15 ; Либра ; 136 
 3626 ; 1 марка. Финляндия ; 1940 ;  ; Cu ; AU ; 51 ; Либра ; 510 
 3627 ; 1 марка. Финляндия ; 1951 ;  ; Cu ; AU ; 5 ; vicnic ; 46 
 3628 ; 1 марка. Финляндия ; 1950 ;  ; Cu ; AU ; 6 ; Либра ; 46 
 3629 ; 1 марка. Финляндия ; 1943 ;  ; Fe ; XF ; 8 ; flutter ; 23 
 3630 ; 1 марка. Финляндия ; 1944 ;  ; Fe ; XF- ; 12 ; Jeff ; 23 
 3631 ; 1 марка. Финляндия ; 1945 ;  ; Fe ; XF+ ; 5 ; banks ; 45 
 3632 ; 1 марка. Финляндия ; 1947 ;  ; Fe ; XF ; 15 ; Либра ; 51 
 3633 ; 1 марка. Финляндия ; 1948 ;  ; Fe ; AU ; 5 ; banks ; 45 
 3634 ; 1 марка. Финляндия ; 1949 ;  ; Fe ; AU ; 6 ; lva08 ; 46 
 3635 ; 1 марка. Финляндия ; 1951 ;  ; Fe ; AU ; 26 ; spar ; 46 
 3636 ; 1 марка. Финляндия ; 1950 ;  ; Fe ; AU ; 7 ; banks ; 77 
 3637 ; 50 пенни. Финляндия ; 1929 ;  ; Cu-Ni ; AU ; 16 ; prince1959 ; 222 
 3638 ; 1 марка. Финляндия ; 1952 ;  ; Fe ; AU ; 25 ; prince1959 ; 340 
 3639 ; 50 пенни. Финляндия ; 1940 ;  ; Cu ; AU ; 25 ; prince1959 ; 453 
 3640 ; 50 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 16 ; flutter ; 120 
 3641 ; 50 пенни. Финляндия ; 1942 ;  ; Cu ; XF ; 18 ; prince1959 ; 135 
 3642 ; 50 пенни. Финляндия ; 1943 ;  ; Cu ; XF ; 13 ; spar ; 80 
 3643 ; 5 оре. Швеция ; 1962 ;  ; Br ; VF-XF ; 6 ; SirJey ; 9 
 3644 ; 5 оре. Швеция ; 1963 ;  ; Br ; VF-XF ; 5 ; niko1968 ; 13 
 3645 ; 5 оре. Швеция ; 1959 ;  ; Br ; VF-XF ; 4 ; Визитер ; 12 
 3646 ; 5 оре. Швеция ; 1960 ;  ; Br ; VF ; 3 ; niko1968 ; 18 
 3647 ; 5 оре. Швеция ; 1961 ;  ; Br ; XF ; 11 ; andreyg ; 47 
 3648 ; 5 оре. Швеция ; 1956 ;  ; Br ; XF- ; 7 ; niko1968 ; 11 
 3649 ; 5 оре. Швеция ; 1938 ;  ; Br ; VF ; 7 ; kergudu ; 20 
 3650 ; 5 оре. Швеция ; 1942 ;  ; Fe ; VF ; 11 ; Jeff ; 18 
 3651 ; 5 оре. Швеция ; 1950 ;  ; Fe ; VF ; 4 ; barbos ; 11 
 3652 ; 1/4 скиллинга. Швеция ; 1819 ;  ; Cu ; F-VF ; 11 ; Maks87 ; 114 
 3653 ; 1 скиллинг. Швеция ; 1828 ;  ; Cu ; VF ; 15 ; Jeff ; 220 
 3654 ; 2 оре. Норвегия ; 1928 ;  ; Br ; VF ; 11 ; Maks87 ; 12 
 3655 ; 1 оре. Швеция ; 1864 ;  ; Cu ; VF ; 25 ; asru ; 286 
 3656 ; 1/2 пенни. Великобритания ; 1813 ;  ; Cu ; VF ; 39 ; ml10 ; 688 
 3657 ; 2 шиллинга. Великобритания ; 1949 ;  ; Cu-Ni ; VF ; 8 ; ag58 ; 25 
 3658 ; 50 марок. Финляндия ; 1953 ;  ; Al/Br ; VF ; 16 ; kergudu ; 53 
 3659 ; 1 марка. Финляндия ; 1923 ;  ; Cu-Ni ; XF ; 124 ; kotolev1 ; 976 
 3660 ; 2 евро. Финляндия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 31 ; fuzzyfly ; 327 
 3661 ; 50 пенсов. Великобритания ; 1978 ;  ; Cu-Ni ; AU ; 30 ; калинов мост ; 110 
 3662 ; 10 новых пенсов. Великобритания ; 1970 ;  ; Cu-Ni ; VF- ; 8 ; wv ; 11 
 3663 ; 1 шиллинг. Великобритания ; 1966 ;  ; Cu-Ni ; VF ; 5 ; fasere ; 25 
 3664 ; 2 шиллинга. Великобритания ; 1948 ;  ; Cu-Ni ; VF ; 7 ; ml10 ; 34 
 3665 ; 1 пенни. Великобритания ; 1967 ;  ; Al/Br ; XF ; 13 ; Maks87 ; 21 
 3666 ; 5 центов. Гонг-Конг ; 1978 ;  ; Лат ; VF ; 4 ; вэл ; 11 
 3667 ; 3 пенса. Великобритания ; 1937 ;  ; Лат ; AU ; 17 ; tpls ; 186 
 3668 ; 3 пенса. Великобритания ; 1967 ;  ; Лат ; XF- ; 21 ; DaMon15 ; 32 
 3669 ; 50 евроцентов. Люксембург ; 2015 ;  ; Латунь ; XF ; 27 ; наташа2712 ; 65 
 3670 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; VF ; 7 ; SKeeper ; 124 
 3671 ; 20 марок. Финляндия ; 1954 ;  ; Al/Br ; VF ; 19 ; Jeff ; 53 
 3672 ; 5 марок. Финляндия ; 1993 ;  ; Al/Br ; VF ; 3 ; Марик ; 30 
 3673 ; 20 марок. Финляндия ; 1956 ;  ; Al/Br ; VF ; 11 ; Либра ; 58 
 3574 ; 100 филс. Иордания ; 1949 ;  ; Cu-Ni ; XF ; 7 ; Zarik ; 57 
 3575 ; 50 пенсов. Англия ; 1973 ;  ; Cu-Ni ; XF ; 20 ; SKeeper ; 94 
 3576 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; VF ; 9 ; Maks87 ; 51 
 3577 ; 1 марка Эстония ; 1926 ;  ; Cu-Ni ; VF-XF ; 22 ; дед морос ; 903 
 3578 ; 1 цянь. Китай. Династия Цин ; 1662-1723 ;  ; Br ; F ; 11 ; Папа Свин ; 99 
 3579 ; 1 сент Эстония ; 1939 ;  ; Cu ; XF ; 24 ; krugerrand ; 880 
 3580 ; 1 оре. Норвегия ; 1926 ;  ; Br ; VF ; 6 ; kergudu ; 19 
 3581 ; 10 хеллеров. Немецкая Восточная Африка ; 1910 ;  ; Cu-Ni ; VF ; 37 ; dmivanych ; 1011 
 3582 ; 1 хеллер. Немецкая Восточная Африка ; 1908 ;  ; Cu ; VF- ; 38 ; камсигал ; 333 
 3583 ; 50 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; F-VF ; 16 ; taa ; 186 
 3584 ; 50 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Fe ; F-VF ; 15 ; visitor ; 186 
 3585 ; 25 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; VF ; 12 ; visitor ; 145 
 3586 ; 50 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VG ; 9 ; banks ; 114 
 3587 ; 5 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF ; 29 ; Александр007 ; 216 
 3588 ; 1 грош. Германия. Нотгельд ; 1920 ;  ; Fe ; VF ; 34 ; taa ; 179 
 3589 ; 25 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Fe ; F-VF ; 36 ; visitor ; 264 
 3590 ; 25 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF ; 5 ; kehha ; 92 
 3591 ; 50 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; VF ; 23 ; banks ; 182 
 3592 ; 50 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Fe ; VF ; 26 ; taa ; 237 
 3593 ; 25 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; VF+ ; 12 ; visitor ; 145 
 3594 ; 50 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF- ; 33 ; taa ; 186 
 3595 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Fe ; VF- ; 12 ; vladmarkin ; 153 
 3596 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF ; 22 ; visitor ; 271 
 3597 ; 10 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Fe ; VF ; 10 ; taa ; 108 
 3598 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Fe ; F-VF ; 19 ; mkm1968 ; 150 
 3599 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; F-VF ; 4 ; banks ; 90 
 3600 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Fe ; F-VF ; 12 ; visitor ; 153 
 3601 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Fe ; F+ ; 16 ; vladmarkin ; 153 
 3602 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; F+ ; 14 ; banks ; 182 
 3603 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Fe ; F-VF ; 8 ; aziya11 ; 102 
 3604 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Fe ; VF ; 14 ; Александр007 ; 192 
 3605 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; F-VF ; 8 ; aziya11 ; 102 
 3606 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF ; 13 ; taa ; 139 
 3607 ; 10 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; F-VF ; 28 ; mkm1968 ; 161 
 3608 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF ; 19 ; taa ; 244 
 3609 ; 10 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Fe ; VF ; 18 ; taa ; 153 
 3610 ; 20 пфеннигов. Германия. Нотгельд ;  ;  ; Fe ; F-VF ; 20 ; aziya11 ; 102 
 3611 ; 20 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Fe ; VF ; 28 ; Александр007 ; 239 
 3612 ; 10 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; VF ; 13 ; kehha ; 113 
 3613 ; 1 марка. Финляндия ; 1928 ;  ; Cu-Ni ; XF+ ; 9 ; spar ; 83 
 3614 ; 1 марка. Финляндия ; 1929 ;  ; Cu-Ni ; XF+ ; 13 ; Либра ; 51 
 3615 ; 1 марка. Финляндия ; 1930 ;  ; Cu-Ni ; XF+ ; 8 ; spar ; 32 
 3616 ; 1 марка. Финляндия ; 1931 ;  ; Cu-Ni ; AU ; 41 ; CASH ; 81 
 3617 ; 1 марка. Финляндия ; 1940 ;  ; Cu-Ni ; AU ; 18 ; lva08 ; 46 
 3618 ; 1 марка. Финляндия ; 1932 ;  ; Cu-Ni ; XF+ ; 11 ; tpls ; 118 
 3619 ; 1 марка. Финляндия ; 1933 ;  ; Cu-Ni ; AU ; 8 ; lva08 ; 46 
 3620 ; 1 марка. Финляндия ; 1939 ;  ; Cu-Ni ; AU ; 16 ; flutter ; 81 
 3621 ; 1 марка. Финляндия ; 1937 ;  ; Cu-Ni ; AU ; 16 ; flutter ; 83 
 3622 ; 1 марка. Финляндия ; 1938 ;  ; Cu-Ni ; AU ; 14 ; кониевич ; 136 
 3623 ; 1 марка. Финляндия ; 1941 ;  ; Cu ; AU ; 15 ; tpls ; 136 
 3524 ; 1 доллар. Игровой токен. Лас-Вегас ;  ;  ; Cu-Ni ; XF ; 14 ; Zarik ; 126 
 3525 ; 10 лева. Болгария ; 1930 ;  ; Cu-Ni ; VF ; 7 ; lva08 ; 77 
 3526 ; 50 стотинок. Болгария ; 1977 ;  ; Cu-Ni ; VF ; 36 ; kont ; 152 
 3527 ; Монета иностранная ; 1976 ;  ; Cu-Ni ; VF+ ; 42 ; kont ; 239 
 3528 ; 5 миллимов Египет ; 1917 ;  ; Cu-Ni ; VF ; 29 ; Trampl ; 122 
 3529 ; 5 пиастров. Египет ; 1977 ;  ; Cu-Ni ; XF ; 73 ; Trampl ; 229 
 3530 ; 20 филлеров Венгрия ; 1894 ;  ; Cu-Ni ; VF ; 13 ; dmivanych ; 101 
 3531 ; 10 сентаво. Сальвадор ; 1977 ;  ; Cu-Ni ; VF- ; 21 ; Maks87 ; 65 
 3532 ; 3 кроны. Чеховловакии ; 1968 ;  ; Cu-Ni ; VF+ ; 6 ; Zarik ; 32 
 3533 ; 1 динар. Югославия ; 1925 ;  ; Cu-Ni ; F+ ; 11 ; fadeev.dima ; 136 
 3534 ; 10 рупий. Маврикий ; 2000 ;  ; Cu-Ni ; XF ; 9 ; Vanha ; 30 
 3535 ; 50 пара. Югославия ; 1925 ;  ; Cu-Ni ; F+ ; 12 ; Александ98 ; 101 
 3536 ; 10 сентаво. Боливия ; 1937 ;  ; Cu-Ni ; VF+ ; 43 ; kornum ; 257 
 3537 ; 5 центов. Канада ; 1947 ;  ; Cu-Ni ; VF-XF ; 11 ; ag58 ; 34 
 3538 ; 10 марок. Эстония ; 1925 ;  ; Cu-Ni ; VF ; 18 ; dmivanych ; 1071 
 3539 ; 50 сентаво. Испания ; 1949 ;  ; Cu-Ni ; VF ; 8 ; Агрессор ; 31 
 3540 ; 50 сентаво. Испания ; 1963 ;  ; Cu-Ni ; XF ; 10 ; СТРЕКОЗА ; 24 
 3541 ; 20 филлеров. Венгрия ; 1926 ;  ; Cu-Ni ; VF ; 19 ; dmivanych ; 101 
 3542 ; 10 пенсов. Фолклендские о-ва ; 1998 ;  ; Cu-Ni ; XF ; 25 ; Zarik ; 60 
 3543 ; 10 центов. Гайана ; 1967 ;  ; Cu-Ni ; XF ; 13 ; Vanha ; 43 
 3544 ; 50 риалов. Иран ; 1349 ;  ; Cu-Ni ; XF ; 14 ; kornum ; 161 
 3545 ; 100 песет. Испания ; 1949 ;  ; Cu-Ni ; XF ; 26 ; dmivanych ; 169 
 3546 ; 10 пенсов. Гибралтар ; 1989 ;  ; Cu-Ni ; VF ; 9 ; orex ; 26 
 3547 ; 50 центов. Сингапур ; 1984 ;  ; Cu-Ni ; XF ; 17 ; калинов мост ; 53 
 3548 ; 50 франков. Африканский монетный союз ; 1942 ;  ; Cu-Ni ; VF ; 5 ; калинов мост ; 38 
 3549 ; 5 риалов. Иран ; 1334 ;  ; Cu-Ni ; VF ; 3 ; Vanha ; 28 
 3550 ; 10 лева. Болгария ; 1992 ;  ; Cu-Ni ; XF ; 5 ; ВЯЗЪ ; 31 
 3551 ; 10 сентаво. Гватемала ; 1881 ;  ; Cu-Ni ; XF ; 9 ; Hotey ; 41 
 3552 ; 50 пенсов. Англия ; 2011 ;  ; Cu-Ni ; XF ; 14 ; Jeff ; 134 
 3553 ; 1 юань. Китай ; 1997 ;  ; Cu-Ni ; VF+ ; 5 ; Марик ; 11 
 3554 ; 20 хеллеров. Чехосвловакия ; 1924 ;  ; Cu-Ni ; VF ; 9 ; Vanha ; 48 
 3555 ; 10 кобо. Нигерия ; 1976 ;  ; Cu-Ni ; VF ; 28 ; kornum ; 144 
 3556 ; 25 сентаво. Эквадор ; 2000 ;  ; Cu-Ni ; VF ; 7 ; Jeff ; 35 
 3557 ; 5 рупий. Сейшеллы ; 1976 ;  ; Cu-Ni ; XF+ ; 79 ; kornum ; 319 
 3558 ; 20 стотинок. Болгария ; 1888 ;  ; Cu-Ni ; F-VF ; 17 ; fadeev.dima ; 95 
 3559 ; 25 центов Канада ; 2002 ;  ; Cu-Ni ; VF-XF ; 6 ; SKeeper ; 20 
 3560 ; 1 колон. Коста-Рика ; 1948 ;  ; Cu-Ni ; VF ; 18 ; Jeff ; 83 
 3561 ; 50 эре. Норвегия ; 1967 ;  ; Cu-Ni ; XF ; 6 ; 1728 ; 22 
 3562 ; 1 метикалМозамбик ; 2006 ;  ; Cu-Ni ; XF+ ; 32 ; kornum ; 71 
 3563 ; 20 злотых. Польша ; 1973 ;  ; Cu-Ni ; XF+ ; 10 ; kornum ; 37 
 3564 ; 25 песет. Испания ; 1957 ;  ; Cu-Ni ; XF+ ; 8 ; kergudu ; 21 
 3565 ; 50 сенн. Малайзия ; 1967 ;  ; Cu-Ni ; XF ; 15 ; калинов мост ; 47 
 3566 ; 25 эре. Швеция ; 1947 ;  ; Cu-Ni ; VF ; 6 ; Jeff ; 16 
 3567 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; VF ; 7 ; kergudu ; 61 
 3568 ; 1 динар. Тунис ; 1990 ;  ; Cu-Ni ; XF ; 8 ; visitor ; 51 
 3569 ; 1 рупия. Пакистан ; 1977 ;  ; Cu-Ni ; XF ; 29 ; Zarik ; 124 
 3570 ; 2-1/2 пиастра. Сирия ; 1973 ;  ; Cu-Ni ; VF ; 33 ; mkm1968 ; 171 
 3571 ; 5 сантимов. Франция ; 1936 ;  ; Cu-Ni ; XF ; 22 ; Хаа ; 44 
 3572 ; 1/2 динара. Тунис ; 1983 ;  ; Cu-Ni ; XF ; 18 ; калинов мост ; 41 
 3573 ; 5 сентаво. Куба ; 1981 ;  ; Cu-Ni ; XF ; 13 ; сибиряк76 ; 53 
 3474 ; Монета. Немецкая Восточная Африка ; 1891 ;  ; Cu ; VF ; 56 ; fadeev.dima ; 797 
 3475 ; 2 евро. Латвия. Рига - культурная столица Европы ; 2014 ;  ; би/м ; AU ; 19 ; ♂ ; 204 
 3476 ; 2 евро. Латвия. Рига - культурная столица Европы ; 2014 ;  ; би/м ; AU ; 13 ; domovoy ; 201 
 3477 ; 2 гривны. Украина. Кравчук ; 2012 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 513 
 3478 ; 2 гривны. Украина. Институт виноделия ; 2005 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 796 
 3479 ; 5 гривен. Украина. Ивано-Франковская область ; 2014 ;  ; Би/м ; AU ; 11 ; msm ; 361 
 3480 ; 5 гривен. Украина. Тарас Шевченко ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 222 
 3481 ; 5 гривен. Украина. Сорочинская ярмарка ; 2005 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 236 
 3482 ; 5 гривен. Украина. Архив Украины ; 2003 ;  ; Би/м ; AU ; 12 ; Mike! ; 648 
 3483 ; 2 гривны. Украина. Улас Самчук ; 2005 ;  ; Cu-Ni ; AU ; 23 ; xxxl ; 536 
 3484 ; 5 гривен. Украина. Самолеты Украины ; 2005 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 273 
 3485 ; 2 гривны. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 626 
 3486 ; 2 гривны. Украина. Азовка ; 2004 ;  ; Cu-Ni ; XF+ ; 22 ; Mike! ; 640 
 3487 ; 2 гривны. Украина. Борис Лятошинский ; 2005 ;  ; Cu-Ni ; AU ; 26 ; Mike! ; 551 
 3488 ; 5 гривен. Украина. Львовская оласть ; 2014 ;  ; Би/м ; AU ; 13 ; msm ; 386 
 3489 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 37 ; Mike! ; 299 
 3490 ; 2 гривны. Украина. Дрофа ; 2013 ;  ; Cu-Ni ; AU ; 16 ; Cosmos ; 600 
