 3536 ; Бона иностранная ;  ;  ;  ;  ; 25 ; brindamur ; 46 
 2579 ; 1 пенни. Родезии и Ньясаленда ; 1963 ;  ; Br ; XF ; 8 ; гарик ; 74 
 2580 ; 1/2 пенни. Родезии и Ньясаленда ; 1958 ;  ; Br ; VF ; 19 ; 542 ; 77 
 2481 ; 1 злотый. Чехословакия ; 1938 ;  ; Cu/Ni ; XF ; 25 ; dagoff ; 77 
 2482 ; 1 пфенниг. Ганновер. Георг III (1760-1820гг) ; 1819 ;  ; Br ; F-VF ; 16 ; димитрий ; 133 
 2483 ; 1 пфенниг. Пруссия. Фридрих Вильгельм III (1797-1840гг) ; 1827A ;  ; Br ; F+ ; 14 ; грос79 ; 152 
 2484 ; 50 пфеннигов. Германия. Нотгельд. Бонн. Бетховен ; 1920 ;  ; Fe ; XF- ; 7 ; Sky2 ; 105 
 2485 ; 500 марок. Веймар ; 1923D ;  ; Al ; VF-XF ; 28 ; Опятор ; 102 
 2486 ; 200 марок. Веймар ; 1923E ;  ; Al ; XF ; 18 ; Rober ; 78 
 2487 ; 3 марки. Веймар ; 1922A ;  ; Al ; AU ; 25 ; Матадор ; 138 
 2488 ; 50 пфеннигов. Веймар ; 1922J ;  ; Al ; XF+ ; 33 ; Матадор ; 75 
 2489 ; 1 пфенниг. Германия ; 1939A ;  ; Br ; VF-XF ; 49 ; smaci ; 104 
 2490 ; 1 пфенниг. Германия ; 1942A ;  ; Zn ; F-VF ; 27 ; Опятор ; 102 
 2491 ; 2 шиллинга. Велиобритания. Георг VI ; 1940 ;  ; Ag ; VF ; 25 ; А2Т ; 184 
 2492 ; 1 пенни. Великобритания. Георг V ; 1926 ;  ; Br ; VF ; 26 ; volkov ; 57 
 2493 ; 1 пенни. Великобритания. Георг VI ; 1948 ;  ; Br ; VF+/VF- ; 38 ; страус ; 41 
 2494 ; 5 шиллингов. Британский Южно-Африканский Союз. Георг VI ; 1952 ;  ; Ag ; AU ; 19 ; грос79 ; 900 
 2495 ; 1 цент. Британский Стрейтс-Сетлментс. Виктория ; 1876 ;  ; Br ; F-VF ; 36 ; tigris ; 228 
 2496 ; 1/4 анны. Британская Ост-Индийская компания. Виктория ; 1858 ;  ; Br ; F-VF ; 30 ; гарик ; 139 
 2497 ; 10 драхм. Греция. Константин ; 1971 ;  ; Cu-Ni ; VF-XF ; 72 ; Let ; 143 
 2498 ; 10 драхм. Греция. Павел ; 1959 ;  ; Cu-Ni ; XF+ ; 53 ; abrek112 ; 101 
 2499 ; 5 драхм. Греция ; 1930 ;  ; Cu-Ni ; VF ; 55 ; vb96 ; 152 
 2500 ; 5 франков. Франция. Свобода, равенство, братство ; 1875A ;  ; Ag ; VF+ ; 115 ; samsey ; 1180 
 2501 ; 50 франков. Франция ; 1951B ;  ; Al/Br ; VF ; 11 ; DVZ ; 51 
 2502 ; 5 сантимов. Франция. Наполеон III ; 1855A ;  ; Br ; F+ ; 29 ; Серый_Михей ; 183 
 2503 ; 5 чентезимо. Италия. Виктор Эммануил II ; 1862N ;  ; Br ; F-VF ; 14 ; Blagorodie ; 51 
 2504 ; 5 гульденов. Нидерланды. Беатриса ; 1988 ;  ; Al/Br ; AU ; 33 ; DVZ ; 101 
 2505 ; 1 франк. Швейцария ; 1981 ;  ; Cu-Ni ; VF+ ; 15 ; dsp ; 23 
 2506 ; 10 крон. Швеция. Карл XVI Густав ; 2008 ;  ; Al/Br ; AU ; 61 ; andorf ; 206 
 2507 ; 10 крон. Швеция. Карл XVI Густав ; 2000 ;  ; Al/Br ; XF ; 12 ; Savelij68 ; 47 
 2508 ; 5 крон. Швеция. Карл XVI Густав ; 1984 ;  ; Cu-Ni ; VF ; 14 ; FOCU$ ; 23 
 2509 ; 1 крона. Швеция. Густав VI Адольф ; 1973 ;  ; Cu-Ni ; VF- ; 21 ; FOCU$ ; 24 
 2510 ; 1 крона. Швеция. Карл XVI Густав ; 1988 ;  ; Cu-Ni ; VF ; 17 ; sansan ; 24 
 2511 ; 1 крона. Швеция. Карл XVI Густав ; 2008 ;  ; Cu-Ni ; XF ; 12 ; andorf ; 26 
 2512 ; 1 крона. Швеция. Карл XVI Густав. Юбилейная ; 2009 ;  ; Cu-Ni ; XF/AU ; 54 ; dsp ; 273 
 2513 ; 1 далер. Швеция ; 1715 ;  ; Cu ; F-VF ; 38 ; QSL ; 903 
 2514 ; 25 эре. Швеция ; 1943 ;  ; Ag ; VF ; 19 ; Sani ; 45 
 2515 ; 10 эре. Швеция ; 1953 ;  ; Ag ; VF- ; 3 ; Sani ; 31 
 2516 ; 1 шиллинг. Великобритания ; 1943 ;  ; Ag ; VF ; 88 ; А2Т ; 153 
 2517 ; 5 долларов (1 унция серебра). Канада ; 2004 ;  ; Ag9999 ; AU ; 36 ; Ю42 ; 1224 
 2518 ; Монета иностранная ; 1707? ;  ; Ag ; F ; 7 ; 3273 ; 77 
 2519 ; 5 долларов. Багамские острова ; 1971 ;  ; Ag ; AU ; 44 ; суслик ; 1249 
 2520 ; 20 марок. ГДР. Луис Кранах 1472-1573 ; 1972 ;  ; Ag ; AU ; 69 ; Alekss_27 ; 1947 
 2521 ; 1 рейхспфенинг. Германия ; 1939В ;  ; Br ; VF+ ; 36 ; Сухов ; 104 
 2522 ; 1 рейхспфенинг. Германия ; 1939G ;  ; Br ; XF ; 19 ; murew ; 83 
 2523 ; 50 сен. Япония ; 1906-1912 ;  ; Ag ; VF ; 29 ; samsey ; 422 
 2524 ; 10 центов. Французский Индокитай ; 1937 ;  ; Ag ; VF+ ; 51 ; vb96 ; 415 
 2525 ; 6 пенсов. Великобритания ; 1855 ;  ; Ag ; VF- ; 61 ; AB85 ; 275 
 2526 ; 1/3 фартинга. Великобритания, Мальта ; 1881 ;  ; Br ; XF- ; 61 ; $$$ ; 861 
 2527 ; 1 центаво. Сальвадор ; 1972 ;  ; Br ; VF+ ; 20 ; abrek112 ; 90 
 2528 ; 2 цента. Новая Зеландия, Елизавета II ; 1974 ;  ; Br ; F-VF ; 21 ; kostian ; 22 
 2529 ; 1/12 анны. Британская Индия ; 1923 ;  ; Br ; VF-XF ; 24 ; гарик ; 78 
 2530 ; 1 крона. О-в Мэн. 12 мировые игры в Испании ; 1982 ;  ; Cu-Ni ; Proof ; 93 ; ИВОЛГА ; 487 
 2431 ; 50 пенсов. Великобритания ; 1973 ;  ; Cu-Ni ; VF ; 54 ; Рыба ; 55 
 2432 ; 10 сентимов. Испания ; 1870 ;  ; Br ; F ; 26 ; sina ; 45 
 2433 ; 1 шиллинг. Великобритания ; 1885 ;  ; Ag ; VF- ; 27 ; Poiuyt ; 232 
 2434 ; 1 песо. Куба. Мао Дзе Дун ; 2002 ;  ; Cu/Ni ; AU ; 65 ; Ролло ; 724 
 2435 ; 1 песо. Куба ; 2000 ;  ; Ni/St ; AU ; 39 ; ИВОЛГА ; 224 
 2436 ; 2 рупии. Индия ; 1999 ;  ; Cu/Ni ; VF ; 40 ; DVZ ; 101 
 2437 ; 2 рупии. Индия ; 2001 ;  ; Cu/Ni ; VF ; 21 ; kostian ; 48 
 2438 ; 10 сантимов. Испания ; 1878 ;  ; Cu ; VF ; 18 ; Вилкофф ; 376 
 2439 ; 20 франков. Марокко ; 1371Л.х. ;  ; Al/Br ; XF+ ; 44 ; 384020 ; 140 
 2440 ; 1 фунт. Великобритания ; 1984 ;  ; Ni/Латунь ; Proof ; 79 ; dsp ; 408 
 2441 ; 1 гульден. Нидерланды ; 1931 ;  ; Ag ; VF ; 34 ; tigris ; 245 
 2442 ; 1/2 гульдена. Нидерланды ; 1922 ;  ; Ag ; VF+ ; 25 ; vc57 ; 340 
 2443 ; 1 флорин. Великобритания ; 1890 ;  ; Ag ; F-VF ; 56 ; Рыба ; 554 
 2444 ; 20 франков. Бельгия ; 1935 ;  ; Ag ; XF+ ; 20 ; zx123 ; 267 
 2445 ; 1 шиллинг. Восточная Африка ; 1924 ;  ; Ag ; VF-XF ; 37 ; 37T ; 257 
 2446 ; 1 шиллинг. Великобритания ; 1887 ;  ; Ag ; VF-XF ; 35 ; грос79 ; 519 
 2447 ; 500 эскудо. Португалия. Васко да Гама ; 1998 ;  ; Ag ; XF ; 28 ; QSL ; 270 
 2448 ; 1 крона. Австрия ; 1914 ;  ; Ag ; XF ; 36 ; QSL ; 152 
 2449 ; 20 марок. ГДР. Эрнст Тельманн ; 1971А ;  ; Cu-Ni ; XF+ ; 25 ; Опятор ; 77 
 2450 ; 20 марок. ГДР. Генрих Манн ; 1971 ;  ; Cu-Ni ; VF+ ; 13 ; alskr ; 82 
 2451 ; 20 марок. ГДР. Вильгельм Пик ; 1972А ;  ; Cu-Ni ; VF-XF ; 7 ; Опятор ; 76 
 2452 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972А ;  ; Cu-Ni ; XF- ; 25 ; Опятор ; 71 
 2453 ; 20 марок. ГДР. Отто Гротеволь ; 1973А ;  ; Cu-Ni ; XF ; 71 ; Опятор ; 92 
 2454 ; 10 марок. ГДР. Фестиваль молодежи и студентов в Берлине ; 1973А ;  ; Cu-Ni ; XF/AU ; 13 ; oae79 ; 104 
 2455 ; 10 марок. ГДР. 25 лет юбилею ; 1974А ;  ; Cu-Ni ; XF+ ; 25 ; Komod ; 92 
 2456 ; 10 марок. ГДР. 20 лет Национальной народной армии ; 1976А ;  ; Cu-Ni ; XF+ ; 34 ; salim ; 169 
 2457 ; 10 марок. ГДР. Национальная народная армия ; 1981А ;  ; Cu-Ni ; AU ; 30 ; Mike! ; 217 
 2458 ; 10 марок. ГДР. 30 лет дружине рабочего класса ; 1983А ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 261 
 2459 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni-Br ; VF-XF ; 7 ; vc57 ; 53 
 2460 ; 5 марок. ГДР. Город Мейсен ; 1972А ;  ; Cu-Ni ; XF ; 27 ; vc57 ; 95 
 2461 ; 1 доллар. США ; 1925 ;  ; Ag ; XF+ ; 31 ; Ю42 ; 1020 
 2462 ; 1 корона. Венгрия ; 1916 ;  ; Ag ; XF+ ; 48 ; nik23455 ; 191 
 2463 ; 200 форинтов. Венгрия. 300 лет со дня рождения Ференца Ракоци II ; 1976 ;  ; Ag ; AU ; 74 ; Lena6975 ; 691 
 2464 ; 100 франков. Франция. Декарт ; 1991 ;  ; Ag ; AU ; 56 ; abrek112 ; 459 
 2465 ; 25 шиллингов. Австрия. 50 лет со дня смерти Карла Зирера ; 1972 ;  ; Ag ; XF-/AU ; 16 ; soouo ; 250 
 2466 ; 200 эскудо. Португалия. Жао II ; 1995 ;  ; Cu-Ni ; AU ; 2 ; 542 ; 130 
 2467 ; 200 эскудо. Португалия. Бенто де Гоис. Карта Китая ; 1997 ;  ; Cu-Ni ; AU ; 4 ; 542 ; 127 
 2468 ; 200 эскудо. Португалия. Острова Солор и Тимор ; 1995 ;  ; Cu-Ni ; AU ; 2 ; 542 ; 130 
 2469 ; 200 эскудо. Португалия. Тордесильясский договор ; 1994 ;  ; Cu-Ni ; AU ; 4 ; 542 ; 105 
 2470 ; 200 эскудо. Португалия. Западные мореплавания ; 1991 ;  ; Cu-Ni ; AU ; 2 ; geg ; 100 
 2471 ; 100 эскудо. Португалия. Ниньо Тристао ; 1987 ;  ; Cu-Ni ; AU ; 26 ; 542 ; 127 
 2472 ; 5 форинтов. Венгрия. Кошут ; 1968 ;  ; Cu-Ni ; VF-XF ; 24 ; В1951 ; 53 
 2473 ; 50 пенсов. Великобритания ; 2005 ;  ; Cu-Ni ; VF ; 51 ; dsp ; 113 
 2474 ; 20 пенсов. Джерси ; 2007 ;  ; Cu-Ni ; AU ; 15 ; olimpic74 ; 42 
 2475 ; 5 пенсов. Джерси ; 1993 ;  ; Cu-Ni ; XF ; 16 ; Скрудж ; 30 
 2476 ; 10 форинтов. Венгрия ; 2007 ;  ; Cu-Ni ; VF+ ; 9 ; DVZ ; 21 
 2477 ; 5 форинтов. Венгрия ; 2007 ;  ; Al/Br ; AU ; 9 ; Komod ; 21 
 2478 ; 1 пенни. Южная Африка ; 1941 ;  ; Br ; VF- ; 24 ; zx123 ; 43 
 2479 ; 2 эре. Швеция ; 1939 ;  ; Br ; VF+ ; 4 ; volkov ; 35 
 2480 ; Монета. Египет? ; 1963 ;  ; Al/Br ; AU ; 33 ; dsp ; 150 
 2381 ; 10 марок. ФРГ. 800 лет Тевтонскому ордену ; 1990JU ;  ; Ag ; AU ; 37 ; Sveta ; 331 
 2382 ; 10 марок. ФРГ. 100 лет открытия рентгеновских лучей ; 1995D ;  ; Ag ; AU ; 23 ; sveta6369 ; 303 
 2383 ; 5 марок. ФРГ.  25 лет Конституционному закону ; 1974F ;  ; Ag ; AU ; 30 ; Опятор ; 217 
 2384 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 27 ; Sani ; 209 
 2385 ; 5 марок. ФРГ. Генрих фон Клейст ; 1977G ;  ; Ag ; AU ; 23 ; Sani ; 221 
 2386 ; 5 марок. ФРГ. Отто Хан ; 1979G ;  ; Cu-Ni ; AU ; 11 ; liger ; 153 
 2387 ; 5 марок. ФРГ. Кёльнский собор ; 1980F ;  ; Cu-Ni ; AU ; 13 ; liger ; 113 
 2388 ; 5 марок. ФРГ. Карл Райхсфрайхер фон Штайн ; 1981G ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 113 
 2389 ; 5 марок. ФРГ. Иоганн Вольфганг фон Гете ; 1982D ;  ; Cu-Ni ; AU ; 8 ; v o r o n o k ; 113 
 2390 ; 5 марок. ФРГ. Карл Маркс ; 1983J ;  ; Cu-Ni ; AU ; 47 ; Rober ; 253 
 2391 ; 5 марок. ФРГ. Европейский год музыки ; 1985F ;  ; Cu-Ni ; AU ; 5 ; partanen ; 92 
 2392 ; 5 марок. ФРГ. Фридрих Великий ; 1986F ;  ; Cu-Ni ; AU ; 17 ; страус ; 153 
 2393 ; 5 марок. ГДР. Генрих Гертц ; 1969 ;  ; Cu-Ni ; AU ; 43 ; peza_64 ; 815 
 2394 ; 5 марок. ГДР. Отто Лиленталь ; 1973 ;  ; Cu-Ni ; AU ; 57 ; vlad26 ; 1005 
 2395 ; 5 марок. ГДР. Фердинанд фон Шилль ; 1976 ;  ; Cu-Ni ; AU ; 66 ; oae79 ; 818 
 2396 ; 5 марок. ГДР. Фридрих Готтлиб Клопсток ; 1978 ;  ; Cu-Ni ; AU ; 51 ; oae79 ; 694 
 2397 ; 1 крона. Великобритания ; 1935 ;  ; Ag ; VF- ; 54 ; nik23455 ; 1402 
 2398 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; XF- ; 22 ; sveta6369 ; 288 
 2399 ; 100 крон. Чехословакия. Сталин ; 1949 ;  ; Ag ; AU ; 25 ; Vasya ; 751 
 2400 ; 1 флорин (2 шиллинга). Великобритания ; 1900 ;  ; Ag ; VF+ ; 81 ; kont ; 1009 
 2401 ; 1 шиллинг. Восточная Африка ; 1941 ;  ; Ag ; VF-XF ; 34 ; dagoff ; 236 
 2402 ; 3 пенса. Австралия ; 1943 ;  ; Ag ; XF ; 22 ; lamazo ; 77 
 2403 ; 1/3 фартинга. Великобритания ; 1835 ;  ; Ag ; VF+ ; 80 ; sg1945 ; 1558 
 2404 ; 1/4 гульдена. Нидерландская Индия ; 1941P ;  ; Ag ; AU ; 40 ; olimpic74 ; 194 
 2405 ; 1/10 гульдена. Нидерландская Индия ; 1942S ;  ; Ag ; AU ; 38 ; Sani ; 157 
 2406 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF ; 4 ; zelya ; 105 
 2407 ; 1 дайм. США. Рузвельт ; 1982D ;  ; Cu-Ni ; VF-XF ; 16 ; alex995 ; 18 
 2408 ; 5 пиастров. Египет ; 1984 ;  ; Al/Br ; VF- ; 28 ; валери ; 36 
 2409 ; 1000 эскудо. Португалия. 25 лет апрельской революции ; 1999 ;  ; Ag ; AU ; 20 ; soouo ; 313 
 2410 ; 500 эскудо. Португалия. Васко да Гама ; 1998 ;  ; Ag ; AU ; 11 ; shais1 ; 306 
 2411 ; 500 эскудо. Португалия. Возвращение Макао Китаю ; 1999 ;  ; Ag ; XF- ; 36 ; vitapool ; 153 
 2412 ; 2000 песо. Чили. 250 лет монетному делу Чили ; 1993 ;  ; Ag ; AU ; 19 ; abrek112 ; 579 
 2413 ; 1 боливар. Венесуэла ; 1965 ;  ; Ag ; AU ; 5 ; tigris ; 219 
 2414 ; 50 сентаво. Мексика ; 1944 ;  ; Ag ; XF/AU ; 16 ; staro ; 239 
 2415 ; 25 сентаво. Мексика ; 1950 ;  ; Ag ; VF ; 38 ; А2Т ; 85 
 2416 ; 20 сентаво. Филиппины ; 1944D ;  ; Ag ; VF-XF ; 41 ; А2Т ; 132 
 2417 ; 10 сентаво. Филиппины ; 1944D ;  ; Ag ; XF ; 38 ; Vasya ; 111 
 2418 ; 3 пенса. Великобритания ; 1933 ;  ; Ag ; VF-XF ; 40 ; lamazo ; 63 
 2419 ; 3 пенса. Великобритания ; 1921 ;  ; Ag ; VF- ; 47 ; Vasya ; 93 
 2420 ; 1 ранд. Южная Африка ; 1966 ;  ; Ag ; AU ; 58 ; vc57 ; 324 
 2421 ; 500 эскудо. Португалия. Эса де Кейрош ; 2000 ;  ; Ag ; AU ; 83 ; jj ; 239 
 2422 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF-XF ; 12 ; lamazo ; 126 
 2423 ; 25 сентаво. Мексика ; 1953 ;  ; Ag ; VF ; 22 ; страус ; 104 
 2424 ; 1 крона. Великобритания ; 1935 ;  ; Ag ; F-VF ; 68 ; Mike! ; 619 
 2425 ; 1 доллар (1 унция серебра). США ; 1991 ;  ; Ag ; AU ; 24 ; 542 ; 996 
 2426 ; 1 доллар (1 унция серебра). США ; 1988 ;  ; Ag ; AU ; 94 ; 542 ; 1000 
 2427 ; 1/2 доллара. США. Кеннеди ; 1967 ;  ; Ag ; AU ; 47 ; Sani ; 228 
 2428 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; AU ; 44 ; Eddy ; 244 
 2429 ; 1 марка. Германия ; 1939А ;  ; Ni ; XF ; 42 ; liger ; 319 
 2430 ; 2 шиллинга. Великобритания ; 1964 ;  ; Cu-Ni ; VF ; 26 ; Vasya ; 27 
 2308 ; Лот монет Банка России:100, 50,10,5,1 руб (10шт) ; 1992,1993 ;  ; Би/м,Cu-Ni ; XF/AU ; 23 ; Tonyxxx82 ; 120 
 2309 ; Лот юбилейных монет Банка России (8шт): 2 рубля(Мурманск, Новороссийск, Смоленск, Тула, Гагарин, Ленинград, Сталинград, Москва) ; 2000,2001 ;  ; Cu-Ni ; XF-/XF+ ; 38 ; jimmysu ; 76 
 2310 ; Лот монет Банка России: 2,1 рубль (Гагарин, Пушкин, 10 лет СНГ) 7шт ; 1999-2001 ;  ; Cu-Ni-Zn ; XF-/AU ; 48 ; kinolog ; 204 
 2311 ; Лот юбилейных монет Банка России (15шт): 2 рубля (Гагарин),10 рублей (Читинская обл, Саха, Сахалинская обл, Москва, Краснодарский край, Ленинградская обл, 50 лет победы, Орловская обл, Татарстан, Гагарин, 55 лет победы, Тверская обл, Алтай) ; 2000-2006 ;  ; Би/м,Cu-Ni ; XF-/AU ; 32 ; Sveta ; 261 
 2312 ; Лот юбилейных монет Банка России (9шт): 10 рублей (Ленинградская обл, Липецкая обл, Ростовская обл, Татарстан, Краснодарский край, Архангельская обл, Хакасия, Кировская обл, Читинская обл) ; 2005-2009 ;  ; Би/м ; XF+/AU ; 43 ; Sveta ; 194 
 2313 ; Лот монет Банка России (18шт):10 рублей ; 2000-2009 ;  ; Би/м ; XF/AU ; 22 ; Maksut ; 267 
 2314 ; Лот юбилейных монет Банка России (9шт): 10 рублей (Алтай, Саха, Сахалинская обл, Еврейская автономная обл, Приморский край, Орловская обл, Новосибирская обл, Тверская обл, респ. Башкортостан) ; 2005-2009 ;  ; Би/м ; XF/AU ; 30 ; Sveta ; 157 
 2315 ; Лот монет Банка России (16шт): 10 рублей ; 2001-2009 ;  ; Би/м ; XF/AU ; 19 ; Следопыт ; 238 
 2316 ; Лот юбилейных монет Банка России (9шт): 10 рублей (Смоленск, Азов, Юрьевец, Галич, Брянск, Великий Новгород, Дорогобуж, Кемь, Ряжск) ; 2003-2010 ;  ; Би/м ; AU ; 62 ; Sveta ; 261 
 2317 ; Лот юбилейных монет Банка России (9шт): 10 рублей (55 лет победы, Казань, Выборг, Кострома, Каргополь, Кемь, Мценск, Гагарин, Дмитров) ; 2000-2009 ;  ; Би/м ; XF/AU ; 113 ; Sveta ; 234 
 2318 ; Лот монет Банка России: 10 рублей (Древние города, РФ) 9шт ; 2005-2009 ;  ; Би/м ; XF/AU ; 16 ; jimmysu ; 153 
 2319 ; Лот монет Банка России, СССР: 10,15,20,50 копеек, 10,20,50 рублей (44шт) ; 1961-1993 ;  ; Fe/Br,Cu-N ; VF-/VF-XF ; 8 ; Lobster76 ; 29 
 2320 ; Лот монет Банка России, СССР:и 50 копеек, 5,10,20,50 рублей (31шт) ; 1991-1993 ;  ; Fe/Br,Cu-N ; VF+/XF+ ; 17 ; Slonic ; 18 
 2321 ; Лот монет Банка России, СССР: 3,5,10,15,20,50 копеек, 10,20,50 рублей (26шт) ; 1961-1993 ;  ; Fe/Br,Cu-N ; VF/XF ; 13 ; Filin77 ; 26 
 2322 ; Лот монет СССР: 1,2 копейки (22шт) ; 1961-1991 ;  ; Cu-Zn ; VF-/XF+ ; 38 ; ServaProntiy ; 126 
 2346 ; 20 марок. Пруссия. М-7,96г ; 1902А ;  ; Au ; XF/AU ; 25 ; marinin70 ; 11940 
 2347 ; 20 марок. Пруссия. М-7,96г ; 1913А ;  ; Au ; XF/AU ; 33 ; marinin70 ; 11940 
 2348 ; 25 фунтов. Гибралтар. М-7,77 ; 1975 ;  ; Au ; AU ; 32 ; dsp ; 12750 
 2349 ; 20 долларов. Ямайка. 10 лет независимости. М-15,74г ; 1972 ;  ; Au ; AU ; 19 ; marinin70 ; 23347 
 2350 ; 2 талера. Франкфурт на Майне ; 1861 ;  ; Ag ; XF ; 40 ; Sanya ; 6777 
 2351 ; Талер. Франкфурт на Майне ; 1764PCB ;  ; Ag ; VF ; 60 ; sergey2100 ; 5667 
 2352 ; Талер. Саксония ; 1794IEC ;  ; Ag ; VF-XF ; 12 ; sergey2100 ; 6368 
 2353 ; Талер. Пруссия ; 1814А ;  ; Ag ; VF- ; 47 ; Sanya ; 1887 
 2354 ; Талер. Брауншвейг-Вольфенбюттель ; 1840CVC ;  ; Ag ; VF+ ; 28 ; Sanya ; 3115 
 2355 ; Талер. Франкфурт на Майне. Немецкий охотничий фестиваль ; 1862 ;  ; Ag ; XF/AU ; 63 ; Sanya ; 6687 
 2356 ; 5 марок. Мекленбург-Шверин. Бракосочетание Фридриха Франца IV ; 1904А ;  ; Ag ; XF+ ; 56 ; tau ; 7650 
 2357 ; 5 марок. Медальные. Веймар ; 1927D ;  ; Ag ; AU/Unc ; 34 ; hugo ; 2925 
 2358 ; 3 марки. Веймар. 200 лет со дня рождения Готхольда Лессинга ; 1929E ;  ; Ag ; VF-XF ; 55 ; RF ; 1826 
 2359 ; 3 марки. Веймар. 700 лет со дня смерти Фогельвейде ; 1930A ;  ; Ag ; AU ; 54 ; Tche ; 2831 
 2360 ; 3 марки. Веймар. Освобождение Рейнланда ; 1930A ;  ; Ag ; AU ; 93 ; torus72 ; 2943 
 2361 ; 3 марки. Веймар. 100 лет со дня смерти Гете ; 1932E ;  ; Ag ; AU ; 56 ; QSL ; 2761 
 2362 ; 2 марки. Германия. 450 лет со дня рождения Мартина Лютера ; 1933A ;  ; Ag ; VF-XF ; 30 ; liger ; 850 
 2363 ; 2 марки. Германия. Подписная Кирха ; 1934A ;  ; Ag ; F+ ; 36 ; pref ; 237 
 2364 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938В ;  ; Ag ; VF+ ; 26 ; Sveta ; 227 
 2365 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939A ;  ; Ag ; VF-XF ; 50 ; вий444 ; 263 
 2366 ; 1 марка. Веймар ; 1924J ;  ; Ag ; VF+ ; 56 ; xabib ; 873 
 2367 ; 16 гут грошей. Ганновер ; 1826 ;  ; Ag ; VF-XF ; 47 ; serg2010 ; 3111 
 2368 ; 1 зильбергрош. Пруссия. Фридрих Вильгельм IV (1840-1861гг) ; 1852A ;  ; Ag ; F+ ; 4 ; QSL ; 204 
 2369 ; 1 грошен. Ганновер. Георг V (1851-1866гг) ; 1862B ;  ; Биллон ; F-VF ; 3 ; sina ; 163 
 2370 ; 1 крейцер. Бавария ; 1771 ;  ; Ag ; F ; 46 ; sina ; 153 
 2371 ; 10 марок. ГДР. 150 лет со дня смерти Гегеля ; 1981 ;  ; Ag ; AU ; 48 ; vol ; 1122 
 2372 ; 20 марок. ГДР. 125 лет со дня рождения Клары Цеткин ; 1982 ;  ; Ag ; AU ; 42 ; oae79 ; 1848 
 2373 ; 10 марок. ГДР. Восстановление оперы в Дрездене ; 1985А ;  ; Ag ; AU ; 35 ; Майкл ; 1719 
 2374 ; 10 марок. ГДР. 700 лет Берлинскому монетному двору ; 1981 ;  ; Cu-Ni ; AU ; 24 ; Alekss_27 ; 1277 
 2375 ; 5 марок. ГДР. 125 лет со дня смерти Фридриха Людвига Яна ; 1977 ;  ; Cu-Ni ; AU ; 24 ; ВМШ ; 1122 
 2376 ; 5 марок. ГДР. 175 лет со дня смерти Фридриха Клопстока ; 1978 ;  ; Cu-Ni ; AU ; 17 ; salim ; 720 
 2377 ; 5 марок. ГДР. 125 лет со дня рождения Макса Планка ; 1983 ;  ; Cu-Ni ; AU ; 33 ; peza_64 ; 1438 
 2378 ; 1 доллар. США. Морган ; 1890 ;  ; Ag ; VF- ; 90 ; Sani ; 893 
 2379 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF+ ; 28 ; QSL ; 734 
 2380 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; AU ; 33 ; Rober ; 310 
 2258 ; Набор монет ; 2000 ; Города-герои. (7 монет по 2 руб) ; Cu-Ni ; XF/AU ; 48 ; Следопыт ; 204 
 2259 ; Лот монет СССР: 5,3,2,1 коп (4шт) ; 1924 ;  ; Cu ; F/F-VF ; 15 ; 2174 ; 143 
 2260 ; Лот монет СССР: 50 коп (13шт) ; 1968-1988 ;  ; Cu-Ni ; XF-/XF+ ; 3 ; Tonyxxx82 ; 306 
 2261 ; Лот монет СССР: 20,15,10 коп (14шт) ; 1955-1957 ;  ; Ni ; AU/VF-XF ; 9 ; kuzia ; 159 
 2262 ; Лот монет СССР: 15, 10 копеек (13шт) ; 1956-1991 ;  ; Ni,Cu/Ni ; VF/XF+ ; 15 ; Tonyxxx82 ; 60 
 2263 ; Лот монет СССР: 10 копеек (12шт) ; 1956-1988 ;  ; Ni,Cu/Ni ; VF-/XF ; 14 ; Следопыт ; 48 
 2264 ; Лот монет СССР: 10 копеек (11шт) ; 1955-1988 ;  ; Ni,Cu/Ni ; VF+/AU ; 37 ; Следопыт ; 79 
 2265 ; Лот монет СССР: 10 копеек (13шт) ; 1955-1988 ;  ; Ni,Cu/Ni ; VF-/XF ; 34 ; Следопыт ; 77 
 2266 ; Лот монет СССР: 10 копеек (15шт) ; 1956-1988 ;  ; Ni,Cu/Ni ; VF-/XF+ ; 33 ; Следопыт ; 76 
 2267 ; Лот монет СССР: 10 копеек (13шт) ; 1956-1991 ;  ; Cu/Ni ; VF/XF ; 15 ; Tonyxxx82 ; 51 
 2268 ; Лот монет СССР (25шт): 10 копеек ; 1961-1991 ;  ; Cu/Ni ; XF-/AU ; 13 ; kvm64 ; 35 
