 351 ; Медаль "За труды и храбрость при взятии Праги 24 октября 1794г" Екатерина II Новодел ;  ;  ; Br ; XF ; 38 ; Брат ; 20000 
 6342 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; aletta ; 114 
 6343 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; aletta ; 69 
 6344 ; Почтовая карточка ;  ;  ;  ;  ; 27 ; attila375 ; 300 
 6345 ; Почтовая карточка ;  ;  ;  ;  ; 9 ; aletta ; 108 
 6346 ; Почтовая карточка. "Сфинкс" ;  ;  ;  ;  ; 19 ; Frosto70 ; 250 
 6347 ; Почтовая карточка. "Признание в любви" ;  ;  ;  ;  ; 15 ; aletta ; 139 
 6348 ; Почтовая карточка. "Рождение Венеры" ;  ;  ;  ;  ; 7 ; aletta ; 115 
 6349 ; Почтовая карточка. "В купальне" ;  ;  ;  ;  ; 9 ; aletta ; 159 
 6350 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; aletta ; 108 
 6351 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; aletta ; 108 
 6352 ; Почтовая карточка. "Искусство порождает любовь" ;  ;  ;  ;  ; 44 ; Леонс ; 170 
 6353 ; Почтовая карточка ;  ;  ;  ;  ; 22 ; Леонс ; 265 
 6354 ; Почтовая карточка ;  ;  ;  ;  ; 25 ; О)(ОТНИК ; 108 
 6355 ; Почтовая карточка. "В близи источника" ;  ;  ;  ;  ; 19 ; Голдер ; 129 
 6356 ; Почтовая карточка. "Сестры" ;  ;  ;  ;  ; 13 ; aletta ; 137 
 6357 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 3 ; aletta ; 115 
 6358 ; КПД. Нидерланды ;  ;  ;  ;  ; 3 ; aletta ; 13 
 6359 ; КПД. Нидерланды ;  ;  ;  ;  ; 3 ; aletta ; 13 
 6360 ; КПД. Нидерланды ;  ;  ;  ;  ; 3 ; aletta ; 13 
 6401 ; Работа Сергея Зиновкина из серии - Inktober. День 10 - Снег ;  ;  ;  ;  ; 60 ; Snake1 ; 699 
 6402 ; Работа Сергея Зиновкина из серии - Inktober. День 17 - Орнамент ;  ;  ;  ;  ; 42 ; Ибранец ; 533 
 6403 ; Набор авторских открыток Марии Песоцкой. С Новым годом! (7 шт.) ;  ;  ;  ;  ; 37 ; Snake1 ; 416 
 6404 ; Работа Дарьи Шадриной. В зимнем лесу ;  ;  ;  ;  ; 29 ; aleks1943 ; 1557 
 6405 ; Работа Дарьи Шадриной. Кот-Ждун ;  ;  ;  ;  ; 24 ; Ибранец ; 1020 
 6406 ; Набор авторских открыток Дарьи Шадриной. Новый год! (4 шт.) ;  ;  ;  ;  ; 23 ; Плохой Комедиант ; 793 
 6407 ; Ежемесячник-блокнот COMPOSITION B5 на 2017 год, фламинго. Leuchtturm1917 ;  ;  ;  ;  ; 5 ; SS007 ; 200 
 6268 ; Почтовая карточка. Генерал- лейтенант Барон П.В.Врангель с Кубанскими казаками ;  ;  ;  ;  ; 32 ; Гектор8 ; 2500 
 6269 ; Почтовая карточка. Кавалер ордена Св. Станислава ;  ;  ;  ;  ; 18 ; Гектор8 ; 1520 
 6270 ; Почтовая карточка. I-ая Мировая Война. Лагерь для военнопленных. Солдаты Антанты ;  ;  ;  ;  ; 9 ; РО ; 294 
 6271 ; Почтовая карточка. I-ая Мировая Война. Лагерь для военнопленных. Лазарет ;  ;  ;  ;  ; 8 ; РО ; 294 
 6272 ; Почтовая карточка. I-ая Мировая Война. Лагерь для военнопленных ;  ;  ;  ;  ; 8 ; РО ; 294 
 6273 ; Почтовая карточка. I-ая Мировая Война. Лагерь для военнопленных. Негры среди пленных солдат стран Антанты ;  ;  ;  ;  ; 23 ; Frosto70 ; 850 
 6274 ; Почтовая карточка. Действующая Армия. Томский отряд. На пути к позициям. Автомобили отряда ;  ;  ;  ;  ; 7 ; Литкинс ; 351 
 6275 ; Почтовая карточка. Действующая Армия. Томский отряд. Аппарат "Гелиос" ;  ;  ;  ;  ; 5 ; Литкинс ; 329 
 6276 ; Почтовая карточка. Кубанские Казаки. (частная открытка, не для тиражирования) ;  ;  ;  ;  ; 23 ; Гектор8 ; 1835 
 6277 ; Почтовая карточка. I-ая Мировая Война. Лагерь для военнопленных ;  ;  ;  ;  ; 13 ; Литкинс ; 500 
 6278 ; Почтовая карточка. I-ая Мировая Война. Действующая Армия ;  ;  ;  ;  ; 11 ; salim ; 344 
 6279 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 8 ; salim ; 249 
 6280 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 11 ; salim ; 277 
 6281 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 12 ; palermo ; 283 
 6282 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 10 ; salim ; 357 
 6283 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 9 ; salim ; 255 
 6284 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 9 ; salim ; 261 
 6285 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 9 ; РО ; 261 
 6286 ; Почтовая карточка. Русская Армия ;  ;  ;  ;  ; 15 ; palermo ; 283 
 6287 ; Почтовая карточка. Действующая Армия. Наша пехота варит картофель (Прошла почту 471 пехотный Козловский полк) ; 1915 ;  ;  ;  ; 11 ; Кеннер ; 1326 
 6288 ; Почтовая карточка. Марокко ( 4шт.) ;  ;  ;  ;  ; 15 ; vladmarkin ; 204 
 6289 ; Почтовая карточка. Сингапур ( 4шт.) ;  ;  ;  ;  ; 7 ; пара ; 126 
 6290 ; Почтовая карточка. Сингапур. Кашмир ( 4шт.) ;  ;  ;  ;  ; 9 ; vladmarkin ; 204 
 6291 ; Почтовая карточка. Коломбо. Пенанг ( 4шт.) ;  ;  ;  ;  ; 7 ; vladmarkin ; 204 
 6292 ; Почтовая карточка. Африканские типы ( 4шт.) ;  ;  ;  ;  ; 15 ; vladmarkin ; 204 
 6293 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 2 ; Logistik ; 140 
 6294 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6295 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 2 ; Logistik ; 140 
 6296 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 3 ; cr2952 ; 143 
 6297 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 2 ; Logistik ; 140 
 6298 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 2 ; krass ; 140 
 6299 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 3 ; krass ; 143 
 6300 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6301 ; Почтовая карточка Glamour Erotica ;  ;  ;  ;  ; 3 ; krass ; 143 
 6302 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6303 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 2 ; Logistik ; 140 
 6304 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6305 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6306 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 10 ; Кеннер ; 194 
 6307 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6308 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6309 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6310 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6311 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6312 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 8 ; Df 788 ; 218 
 6313 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6314 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 6 ; Кеннер ; 194 
 6315 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 3 ; Голдер ; 143 
 6316 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 3 ; Logistik ; 140 
 6317 ; Почтовая карточка.  Milo Manaro ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6218 ; Почтовая карточка. Охота на волков ;  ;  ;  ;  ; 9 ; Рисковый ; 51 
 6219 ; Почтовая карточка. Лоси ;  ;  ;  ;  ; 5 ; Рисковый ; 105 
 6220 ; Почтовая карточка. Утро в сосновом лесу ;  ;  ;  ;  ; 7 ; Рисковый ; 80 
 6221 ; Почтовая карточка ;  ;  ;  ;  ; 7 ; птичка16 ; 38 
 6222 ; Почтовая карточка. Охота на лосей ;  ;  ;  ;  ; 19 ; Рисковый ; 104 
 6223 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 6 ; Рисковый ; 57 
 6224 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 15 ; alapabula ; 286 
 6225 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 29 ; RAPAN ; 441 
 6226 ; Почтовая карточка ;  ;  ;  ;  ; 13 ; RAPAN ; 130 
 6227 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 21 ; RAPAN ; 159 
 6228 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 25 ; alapabula ; 295 
 6229 ; Почтовая карточка. Севастополь ;  ;  ;  ;  ; 23 ; RAPAN ; 166 
 6230 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 29 ; Джентльмен удачи ; 219 
 6231 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 33 ; doc2 ; 412 
 6232 ; Почтовая карточка. Калуга ;  ;  ;  ;  ; 7 ; doc2 ; 237 
 6233 ; Почтовая карточка. Пенза ;  ;  ;  ;  ; 11 ; Frosto70 ; 386 
 6234 ; Почтовая карточка. Сестрорецк ;  ;  ;  ;  ; 30 ; seer ; 347 
 6235 ; Почтовая карточка. Кронштадт ;  ;  ;  ;  ; 22 ; doc2 ; 915 
 6236 ; Почтовая карточка. Новая Ладога ;  ;  ;  ;  ; 26 ; пасечник ; 240 
 6237 ; Почтовая карточка. Пенза ;  ;  ;  ;  ; 9 ; von_Schwarz ; 255 
 6238 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 13 ; masha_93 ; 82 
 6239 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 6 ; Расти ; 57 
 6240 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 18 ; masha_93 ; 204 
 6241 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 17 ; flutter ; 666 
 6242 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 16 ; yuri.gruzdev ; 206 
 6243 ; Почтовая карточка. Тихвин ;  ;  ;  ;  ; 19 ; пасечник ; 295 
 6244 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 8 ; птичка16 ; 104 
 6245 ; Почтовая карточка. Петроград ;  ;  ;  ;  ; 8 ; von_Schwarz ; 262 
 6246 ; Почтовая карточка. Сестрорецк ;  ;  ;  ;  ; 21 ; seer ; 340 
 6247 ; Почтовая карточка. Окрестности Сестрорецка ;  ;  ;  ;  ; 27 ; seer ; 354 
 6248 ; Почтовая карточка. Кронштадт ;  ;  ;  ;  ; 15 ; von_Schwarz ; 524 
 6249 ; Почтовая карточка. Сестрорецк ;  ;  ;  ;  ; 21 ; seer ; 305 
 6250 ; Почтовая карточка. Третье Парголово ;  ;  ;  ;  ; 23 ; Serjd ; 239 
 6251 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 24 ; Agava ; 308 
 6252 ; Почтовая карточка. Дубовая роща ;  ;  ;  ;  ; 13 ; seer ; 305 
 6253 ; Почтовая карточка. Петроград ;  ;  ;  ;  ; 17 ; vlad77 ; 108 
 6254 ; Почтовая карточка. Озерки ;  ;  ;  ;  ; 21 ; Serjd ; 237 
 6255 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 15 ; Serjd ; 180 
 6256 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 8 ; tpls ; 128 
 6257 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 13 ; von_Schwarz ; 227 
 6258 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 7 ; von_Schwarz ; 263 
 6259 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 15 ; vlad77 ; 130 
 6260 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 15 ; контраст ; 157 
 6261 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 13 ; von_Schwarz ; 523 
 6262 ; Почтовая карточка. С-Петербург ;  ;  ;  ;  ; 11 ; vlad77 ; 135 
 6263 ; Лот почтовых карточек (6 штук) ;  ;  ;  ;  ; 22 ; Рисковый ; 192 
 6264 ; Почтовая карточка. Худ. Елизавета Бёмъ ;  ;  ;  ;  ; 9 ; Сhatsky ; 255 
 6265 ; Почтовая карточка. I-ая Мировая Война. Военная почта. Страны Антанты ;  ;  ;  ;  ; 9 ; РО ; 104 
 6266 ; Почтовая карточка. Детский Дом для детей политических заключённых "Биркенгоф" в Ворпсведе" ;  ;  ;  ;  ; 17 ; vlad77 ; 156 
 6267 ; Почтовая карточка. Генерал- лейтенант Барон П.В.Врангель с Кубанскими казаками ;  ;  ;  ;  ; 17 ; Frosto70 ; 1570 
 6121 ; Комплект марок. Болгария. 46 шт ;  ;  ;  ;  ; 17 ; Redkyt ; 74 
 6122 ; Комплект марок. Куба. 50 шт ;  ;  ;  ;  ; 19 ; Redkyt ; 98 
 6123 ; Комплект марок. Чехословакия. 47 шт ;  ;  ;  ;  ; 6 ; Sandello ; 39 
 6124 ; Комплект марок. Венгрия. 45 шт ;  ;  ;  ;  ; 12 ; Redkyt ; 62 
 6125 ; Комплект марок. СССР. 1938-1946. 20 шт ;  ;  ;  ;  ; 24 ; гоша334 ; 224 
 6126 ; Квартблоки марок. СССР. 1973-1976. 10 шт ;  ;  ;  ;  ; 31 ; nikeanich ; 49 
 6127 ; Комплект марок. Belgien. 1969. 37 шт ;  ;  ;  ;  ; 29 ; Джентльмен удачи ; 319 
 6128 ; Комплект марок. Liechtenstein. 1968. 21 шт ;  ;  ;  ;  ; 9 ; тикси3 ; 27 
 6129 ; Комплект марок. Liechtenstein. 1968. 23 шт ;  ;  ;  ;  ; 9 ; тикси3 ; 27 
 6130 ; Комплект марок. Berlin. 1968. 9 шт ;  ;  ;  ;  ; 13 ; alapabula ; 79 
 6131 ; Комплект марок.Berlin. 1969. 23 шт ;  ;  ;  ;  ; 7 ; Redkyt ; 18 
 6132 ; Комплект марок. 1973. 35 шт ;  ;  ;  ;  ; 3 ; Житель12 ; 10 
 6133 ; Комплект марок. 1970. 35 шт ;  ;  ;  ;  ; 13 ; Rober ; 22 
 6134 ; Комплект марок. 1974. 25 шт ;  ;  ;  ;  ; 3 ; Житель12 ; 10 
 6135 ; Комплект марок. 1974. 27 шт ;  ;  ;  ;  ; 3 ; Житель12 ; 10 
 6136 ; Комплект марок. 1968. 30 шт ;  ;  ;  ;  ; 3 ; cr4049 ; 23 
 6137 ; Комплект марок. США. 1938-1970. 99 шт ;  ;  ;  ;  ; 37 ; cr4049 ; 203 
 6138 ; Марки в буклете. 12 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6139 ; Марки в буклете. 12 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6140 ; Марки в буклете. 5 шт ;  ;  ;  ;  ; 4 ; topotun ; 5 
 6141 ; Марки в буклете. 10 шт ;  ;  ;  ;  ; 4 ; topotun ; 6 
 6142 ; Марки в буклете. 8 шт ;  ;  ;  ;  ; 5 ; topotun ; 6 
 6143 ; Марки в буклете. 8 шт ;  ;  ;  ;  ; 5 ; topotun ; 6 
 6144 ; Марки в буклете. 13 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6145 ; Марки в буклете. 10 шт ;  ;  ;  ;  ; 4 ; topotun ; 6 
 6146 ; Марки в буклете. 12 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6147 ; Марки в буклете. 10 шт ;  ;  ;  ;  ; 4 ; topotun ; 6 
 6148 ; Марки в буклете. 11 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6149 ; Марки в буклете. 11 шт ;  ;  ;  ;  ; 5 ; topotun ; 14 
 6150 ; Марки в буклете. 9 шт ;  ;  ;  ;  ; 5 ; topotun ; 6 
 6151 ; Марки в буклете. 9 шт ;  ;  ;  ;  ; 7 ; topotun ; 12 
 6152 ; Марки в буклете. 8 шт ;  ;  ;  ;  ; 7 ; topotun ; 12 
 6153 ; Марки в буклете. 9 шт ;  ;  ;  ;  ; 7 ; topotun ; 32 
 6201 ; Почтовая карточка ;  ;  ;  ;  ; 31 ; masha_93 ; 142 
 6202 ; Почтовая карточка ;  ;  ;  ;  ; 13 ; aletta ; 99 
 6203 ; Почтовая карточка ;  ;  ;  ;  ; 15 ; aletta ; 116 
 6204 ; Почтовая карточка. Одесса ;  ;  ;  ;  ; 13 ; aletta ; 125 
 6205 ; Почтовая карточка. Лебеди на пруду ;  ;  ;  ;  ; 13 ; aletta ; 125 
 6206 ; Почтовая карточка. Нижний-Новгород ;  ;  ;  ;  ; 26 ; Agava ; 192 
 6207 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 13 ; Рисковый ; 99 
 6208 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; Джентльмен удачи ; 77 
 6209 ; Почтовая карточка. Львов ;  ;  ;  ;  ; 12 ; vlad77 ; 108 
 6210 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 11 ; vadsev73 ; 108 
 6211 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 21 ; RAPAN ; 241 
 6212 ; Почтовая карточка ;  ;  ;  ;  ; 15 ; vlad77 ; 115 
 6213 ; Почтовая карточка. Крым ;  ;  ;  ;  ; 9 ; RAPAN ; 108 
 6214 ; Почтовая карточка. Московский дворик ;  ;  ;  ;  ; 9 ; Agava ; 91 
 6215 ; Почтовая карточка ;  ;  ;  ;  ; 6 ; Рисковый ; 58 
 6216 ; Почтовая карточка. "Меч мужества" ;  ;  ;  ;  ; 8 ; vlad77 ; 80 
 6217 ; Почтовая карточка ;  ;  ;  ;  ; 11 ; vladmarkin ; 51 
 6071 ; Альбом с марками и блоками. КНДР ;  ;  ;  ;  ; 22 ; Джентльмен удачи ; 779 
 6072 ; Альбом + 94 марки ;  ;  ;  ;  ; 71 ; cr4049 ; 2415 
 6073 ; Марочные этикетки. Китай, Япония. 1950-1960. 39 шт ;  ;  ;  ;  ; 35 ; Чуча ; 283 
 6074 ; Марочные этикетки. Китай, Япония. 1950-1960. 30 шт ;  ;  ;  ;  ; 28 ; alapabula ; 407 
 6075 ; Марочные этикетки. Китай, Япония. 1950-1960. 28 шт ;  ;  ;  ;  ; 18 ; num ; 255 
 6076 ; Комплект марок. 10 шт ;  ;  ;  ;  ; 21 ; Olimpia ; 214 
 6077 ; Комплект марок. 89 шт ;  ;  ;  ;  ; 6 ; красносёл ; 57 
 6078 ; Комплект марок. 6 шт ;  ;  ;  ;  ; 26 ; гоша334 ; 266 
 6079 ; Комплект марок. 7 шт ;  ;  ;  ;  ; 10 ; Джентльмен удачи ; 114 
 6080 ; Комплект марок. 6 шт ;  ;  ;  ;  ; 9 ; Джентльмен удачи ; 105 
 6081 ; Комплект марок. 5 шт ;  ;  ;  ;  ; 29 ; гоша334 ; 305 
 6082 ; Комплект марок. 7 шт ;  ;  ;  ;  ; 20 ; гоша334 ; 203 
 6083 ; Комплект марок. 17 шт ;  ;  ;  ;  ; 8 ; electra ; 102 
 6084 ; Комплект марок. 7 шт ;  ;  ;  ;  ; 32 ; electra ; 161 
 6085 ; Комплект марок. 14 шт ;  ;  ;  ;  ; 7 ; vic2 ; 100 
 6086 ; Комплект марок. 10 шт ;  ;  ;  ;  ; 7 ; vic2 ; 50 
 6087 ; Комплект марок. 9 шт ;  ;  ;  ;  ; 9 ; Джентльмен удачи ; 105 
 6088 ; Комплект марок. 6 шт ;  ;  ;  ;  ; 6 ; vic2 ; 50 
 6089 ; Комплект марок. 12 шт ;  ;  ;  ;  ; 12 ; cr4049 ; 153 
 6090 ; Комплект марок. 14 шт ;  ;  ;  ;  ; 6 ; electra ; 31 
 6091 ; Комплект марок. 13 шт ;  ;  ;  ;  ; 7 ; vic2 ; 30 
 6092 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 29 ; Babasya ; 222 
 6093 ; Комплект марок. 6 шт ;  ;  ;  ;  ; 51 ; орел414151 ; 601 
 6094 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 52 ; student1977 ; 2048 
 6095 ; Комплект марок. 2 шт ;  ;  ;  ;  ; 18 ; Babasya ; 237 
 6096 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 22 ; Приор ; 227 
 6097 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 40 ; гоша334 ; 462 
 6098 ; Марка ;  ;  ;  ;  ; 4 ; птичка16 ; 114 
 6099 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 11 ; гоша334 ; 101 
 6100 ; Марка ;  ;  ;  ;  ; 7 ; гоша334 ; 546 
 6101 ; Комплект марок. 3 шт ;  ;  ;  ;  ; 25 ; Приор ; 728 
 6102 ; Комплект марок. 12 шт ;  ;  ;  ;  ; 27 ; Приор ; 559 
 6103 ; Комплект марок. 8 шт ;  ;  ;  ;  ; 47 ; орел414151 ; 637 
 6104 ; Комплект марок. 11 шт ;  ;  ;  ;  ; 44 ; Приор ; 625 
 6105 ; Комплект марок. 10 шт ;  ;  ;  ;  ; 11 ; Holder31 ; 82 
 6106 ; Комплект марок. 4 шт ;  ;  ;  ;  ; 45 ; cr4049 ; 271 
 6107 ; Марка ;  ;  ;  ;  ; 12 ; гоша334 ; 121 
 6108 ; Комплект марок. 5 шт ;  ;  ;  ;  ; 29 ; орел414151 ; 827 
 6109 ; Комплект марок. 9 шт ;  ;  ;  ;  ; 54 ; орел414151 ; 1019 
 6110 ; Комплект марок. 20 шт ;  ;  ;  ;  ; 11 ; cr4049 ; 462 
 6111 ; Комплект марок. 5 шт ;  ;  ;  ;  ; 13 ; гоша334 ; 93 
 6112 ; Комплект марок. 6 шт ;  ;  ;  ;  ; 15 ; Holder31 ; 238 
 6113 ; Комплект марок. 12 шт ;  ;  ;  ;  ; 27 ; Holder31 ; 243 
 6114 ; Комплект марок. 10 шт ;  ;  ;  ;  ; 19 ; electra ; 362 
 6115 ; Комплект марок. ГДР. 48 шт ;  ;  ;  ;  ; 40 ; 100alf ; 63 
 6116 ; Комплект марок. Чехословакия. 50 шт ;  ;  ;  ;  ; 26 ; Sandello ; 42 
 6117 ; Комплект марок. Польша. 46 шт ;  ;  ;  ;  ; 19 ; Redkyt ; 65 
 6118 ; Комплект марок. КНДР. 50 шт ;  ;  ;  ;  ; 7 ; Sandello ; 36 
 6119 ; Комплект марок. Куба. 45 шт ;  ;  ;  ;  ; 26 ; Джентльмен удачи ; 148 
 6120 ; Комплект марок. Болгария. 47 шт ;  ;  ;  ;  ; 2 ; Sandello ; 34 
 6021 ; 5 листов марок ;  ;  ;  ;  ; 20 ; Df 788 ; 216 
 6022 ; Комплект марок. СССР, Россия. 60 шт ;  ;  ;  ;  ; 28 ; cr4049 ; 541 
 6023 ; Комплект марок. Россия. 45 шт ;  ;  ;  ;  ; 23 ; QSL ; 390 
 6024 ; Комплект марок. Россия. 35 шт ;  ;  ;  ;  ; 22 ; cr4049 ; 137 
 6025 ; Комплект марок. Россия. Разновидности. 45 шт ;  ;  ;  ;  ; 13 ; cr4049 ; 509 
 6026 ; Комплект марок. СССР, Россия. 45 шт ;  ;  ;  ;  ; 54 ; cr4049 ; 687 
 6027 ; Комплект марок. СССР. 45 шт ;  ;  ;  ;  ; 15 ; гоша334 ; 609 
 6028 ; Комплект марок. СССР. 45 шт ;  ;  ;  ;  ; 23 ; гоша334 ; 564 
 6029 ; Комплект марок. СССР. 45 шт ;  ;  ;  ;  ; 28 ; electra ; 370 
 6030 ; Комплект марок. СССР. 45 шт ;  ;  ;  ;  ; 11 ; Ratmen ; 153 
 6031 ; Комплект марок. СССР. 45 шт ;  ;  ;  ;  ; 17 ; solo5 ; 114 
 6032 ; Комплект марок. Монголия. 7 марок + 2 блока. Без зубцов ;  ;  ;  ;  ; 11 ; Olimpia ; 48 
 6033 ; Комплект марок. Гражданская война. 25 шт ;  ;  ;  ;  ; 13 ; QSL ; 666 
 6034 ; Марка. Китай. 1962. Редкая ;  ;  ;  ;  ; 116 ; Чуча ; 4884 
 6035 ; Комплект марок. Монголия. 18 марок + 2 блока. Без зубцов ;  ;  ;  ;  ; 22 ; alapabula ; 386 
 6036 ; Комплект марок. Монголия. 2 серии + 2 блока. Без зубцов. Редкие ;  ;  ;  ;  ; 15 ; alapabula ; 300 
 6037 ; Комплект марок. Гражданская война. 29 шт ;  ;  ;  ;  ; 31 ; vladimirV ; 1484 
 6038 ; Комплект марок. Гражданская война. 1919-1923. 38 шт ;  ;  ;  ;  ; 33 ; vladimirV ; 1556 
 6039 ; Комплект марок. СССР. 1955. 6 шт ;  ;  ;  ;  ; 33 ; Olimpia ; 1609 
 6040 ; Комплект марок. СССР. 1955. 6 шт ;  ;  ;  ;  ; 16 ; Приор ; 405 
 6041 ; Комплект марок. СССР. 32 шт ;  ;  ;  ;  ; 15 ; Df 788 ; 73 
 6042 ; Комплект марок. СССР. 1953. 6 шт ;  ;  ;  ;  ; 17 ; Приор ; 1028 
 6043 ; Комплект марок. СССР. 1953. 8 шт ;  ;  ;  ;  ; 18 ; гоша334 ; 744 
 6044 ; Комплект марок. СССР. 1953. 6 шт ;  ;  ;  ;  ; 69 ; Приор ; 5410 
 6045 ; Комплект марок. СССР. 1954. 4 шт ;  ;  ;  ;  ; 30 ; Приор ; 952 
 6046 ; Комплект марок. СССР. 1954. 9 шт ;  ;  ;  ;  ; 8 ; Olimpia ; 680 
 6047 ; Комплект марок. СССР. 1954. 8 шт ;  ;  ;  ;  ; 20 ; QSL ; 711 
 6048 ; Комплект марок. СССР. 1954. 5 шт ;  ;  ;  ;  ; 22 ; Olimpia ; 906 
 6049 ; Комплект марок. СССР. 1954. 8 шт ;  ;  ;  ;  ; 18 ; Приор ; 735 
 6050 ; Комплект марок. СССР. 1954. 9 шт ;  ;  ;  ;  ; 18 ; Приор ; 624 
 6051 ; Комплект марок. СССР. 1954. 10 шт ;  ;  ;  ;  ; 16 ; Приор ; 638 
 6052 ; Комплект марок. СССР. 1948. 6 шт ;  ;  ;  ;  ; 26 ; гоша334 ; 676 
 6053 ; Комплект марок. СССР. 1948. 6 шт ;  ;  ;  ;  ; 27 ; flutter ; 655 
 6054 ; Комплект марок. СССР. 1948. 7 шт ;  ;  ;  ;  ; 31 ; Приор ; 2000 
 6055 ; Комплект марок. СССР. 1948. 20 шт ;  ;  ;  ;  ; 35 ; птичка16 ; 5678 
 6056 ; Комплект марок. Россия. 150 шт ;  ;  ;  ;  ; 17 ; cr4049 ; 170 
 6057 ; Комплект марок. Россия. 130 шт ;  ;  ;  ;  ; 24 ; vladimirV ; 269 
 6058 ; Комплект марок. СССР. 1948. 9 шт ;  ;  ;  ;  ; 39 ; Приор ; 2165 
 6059 ; Комплект марок. СССР. 1948. 6 шт ;  ;  ;  ;  ; 35 ; гоша334 ; 432 
