 4851 ; Бона иностранная Германия ; 1919 ;  ;  ;  ; 15 ; sikachai ; 159 
 3399 ; 2 евро. Греция. Олимпиада ; 2004 ;  ; Би/м ; VF-XF ; 13 ; ASlab ; 153 
 3400 ; 1/12 талера. Германия, Ганновер ; 1845В ;  ; Ag ; F+ ; 16 ; SergeyDzen ; 171 
 3401 ; 1 крейцер. Германия, Вюртемберг ; 1856 ;  ; Ag ; F-VF ; 9 ; LosLos ; 110 
 3402 ; 1 крейцер. Германия, Гессен-Дармштадт ; 1838 ;  ; Ag ; F ; 37 ; jj ; 192 
 3403 ; 1 пфенниг. Германия, Гессен-Дармштадт ; 1804 RF ;  ; Cu ; F- ; 5 ; ratiandr ; 101 
 3404 ; 1 пфенниг. Германия, Гессен-Дармштадт ; 1819 ;  ; Cu ; F ; 35 ; jj ; 101 
 3405 ; 1 хеллер. Германия, Гессен-Дармштадт ; 1855 ;  ; Cu ; F-VF ; 62 ; jj ; 138 
 3406 ; 1 мариенгрош. Германия, Ганновер ; 1817 H ;  ; Ag ; F-VF ; 36 ; mkm1968 ; 250 
 3407 ; 1 хеллер. Германия, Гессен-Кассель ; 1728 ;  ; Cu ; F ; 21 ; LosLos ; 322 
 3408 ; 1 хеллер. Германия, Гессен-Кассель ; 1758 ;  ; Cu ; VG ; 11 ; krugerrand ; 261 
 3309 ; 5 гривен. Украина. Рада Европы ; 2009 ;  ; Би/м ; AU ; 5 ; denita ; 180 
 3310 ; 5 гривен. Украина. «Джерело Життя» ; 2007 ;  ; Би/м ; AU ; 14 ; Mike! ; 166 
 3311 ; 5 гривен. Украина. Всеукраинское общество им Тараса Шевченко ; 2008 ;  ; Би/м ; AU ; 5 ; denita ; 180 
 3312 ; 5 гривен Украина. Голодомор ; 2007 ;  ; Cu-Ni ; AU ; 6 ; denita ; 227 
 3313 ; 5 гривен Украина. 120 лет Театру Оперы и Балета ; 2007 ;  ; Cu-Ni ; AU ; 9 ; D.F.C. ; 166 
 3314 ; 5 гривен Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 11 ; denita ; 180 
 3315 ; 5 гривен Украина. Антарктическая станция ; 2006 ;  ; Cu-Ni ; AU ; 11 ; v_bond ; 159 
 3316 ; 5 гривен Украина. Гончар ; 2010 ;  ; Cu-Ni ; AU ; 8 ; denita ; 220 
 3317 ; 5 гривен Украина. Национальный музей ; 2009 ;  ; Cu-Ni ; AU ; 5 ; denita ; 180 
 3318 ; 5 гривен Украина. Кузнец ; 2011 ;  ; Cu-Ni ; AU ; 3 ; denita ; 180 
 3319 ; 5 гривен Украина. 925 лет городу Луцку ; 2010 ;  ; Cu-Ni ; AU ; 3 ; denita ; 180 
 3320 ; 5 гривен Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 12 ; D.F.C. ; 201 
 3321 ; 5 гривен Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 10 ; ирбис ; 177 
 3322 ; 5 гривен Украина. Дендрологический парк ; 2008 ;  ; Cu-Ni ; AU ; 5 ; denita ; 180 
 3323 ; 5 гривен Украина. Стельмах ; 2009 ;  ; Cu-Ni ; AU ; 9 ; D.F.C. ; 165 
 3324 ; 20 франков. Саарленд ; 1954 ;  ; Al/Br ; VF ; 1 ; Mike! ; 222 
 3325 ; 50 прута. Израиль ; 1954 ;  ; Cu-Ni ; XF+ ; 35 ; Mukoved ; 101 
 3326 ; 10 прута. Израиль ; 1955 ;  ; Br ; VF+ ; 10 ; Mike! ; 102 
 3327 ; 5 прута. Израиль ; 1955 ;  ; Br ; VF ; 13 ; Mukoved ; 113 
 3328 ; 10 новых шекелей. Израиль ;  ;  ; Би/м ; VF-XF ; 29 ; Mike! ; 93 
 3329 ; Мангир. Шахин-Гирея. Крымское ханство   ;  ;  ; Cu ; F-VF ; 15 ; vb96 ; 161 
 3330 ; 10 центов. Канада ; 1918 ;  ; Ag ; VF ; 10 ; ASlab ; 153 
 3331 ; 2 евро. Монако ; 2011 ;  ; Би/м ; AU ; 36 ; Gell13 ; 323 
 3332 ; 50 евроцентов. Ватикан ; 2011 ;  ; Латунь ; AU ; 12 ; Smit ; 107 
 3333 ; 1 цент. США. Индеец ; 1906 ;  ; Br ; VF-XF ; 43 ; murka1973 ; 378 
 3334 ; 5 центов. США ; 1906 ;  ; Cu-Ni ; VF-XF ; 20 ; Harder ; 306 
 3335 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu-Ni ; Proof ; 24 ; GENA  2 05 ; 114 
 3336 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF ; 20 ; sotnik ; 797 
 3337 ; 10 марок. Финляндия ; 1993 ;  ; Би/м ; F-VF ; 20 ; LAB-A ; 46 
 3338 ; 50000 лир. Турция ; 1999 ;  ; Al ; AU ; 12 ; Серж PirGS ; 53 
 3339 ; 5 крон. Исландия ; 2007 ;  ; Cu-Ni ; AU ; 15 ; re_re_re ; 82 
 3340 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3341 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3342 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3343 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3344 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3345 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3346 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3347 ; 10 марок. Нотгельд. Майсен ; 1921 ;  ; Керамика ; XF ; 28 ; злой ; 1111 
 3348 ; 5 марок. Нотгельд. Верхняя Силезия ; 1921 ;  ; Керамика ; XF- ; 22 ; злой ; 554 
 3349 ; 1 марка. Нотгельд. Бад-Вайксдорф-Лауза ; 1921 ;  ; Керамика ; XF ; 33 ; злой ; 1111 
 3350 ; 1 гривна. Украина. Евро 2012 ; 2012 ;  ; Латунь ; AU ; 15 ; I.E.V. ; 34 
 3351 ; 20 сентаво. Филиппины ; 1945 ;  ; Ag ; XF+ ; 39 ; Araks ; 250 
 3352 ; 6 пенсов. Австралия ; 1951 ;  ; Ag ; XF- ; 15 ; t_v_v ; 102 
 3353 ; 6 пенсов. Великобритания ; 1930 ;  ; Ag ; VF-XF ; 20 ; маманя ; 134 
 3354 ; 1 дайм. США ; 1955 ;  ; Ag ; AU ; 19 ; niger ; 318 
 3355 ; 1 дайм. США ; 1945 ;  ; Ag ; XF ; 16 ; niger ; 269 
 3356 ; 6 пенсов. Великобритания ; 1942 ;  ; Ag ; VF-XF ; 9 ; ASlab ; 90 
 3357 ; 10 сентаво. Филиппины ; 1945 ;  ; Ag ; AU ; 13 ; mitia-32 ; 306 
 3358 ; 2 злотых. Польша ; 1934 ;  ; Ag ; XF- ; 23 ; vesta78 ; 169 
 3259 ; 2 марки. ФРГ ; 1951D ;  ; Cu-Ni ; VF ; 2 ; Mike! ; 555 
 3260 ; 20 марок. ГДР. Вильгельм Пик ; 1972A ;  ; Cu-Ni ; XF ; 1 ; Mike! ; 150 
 3261 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972A ;  ; Cu-Ni ; XF ; 2 ; Mike! ; 150 
 3262 ; 10 марок. ГДР. Фестиваль молодежи и студентов ; 1973A ;  ; Cu-Ni ; XF+ ; 2 ; Rober ; 144 
 3263 ; 10 марок. ГДР. 25 лет ГДР ; 1974A ;  ; Cu-Ni ; XF+ ; 4 ; Mike! ; 129 
 3264 ; 5 марок. ГДР. Мейсен ; 1972A ;  ; Cu-Ni ; XF ; 3 ; Rober ; 136 
 3265 ; 1/4 доллара. США. Миссури ; 2003D ;  ; Cu-Ni ; XF ; 13 ; ASlab ; 43 
 3266 ; 2 доллара. Гон-Конг ; 1997 ;  ; Cu-Ni ; VF ; 13 ; Jordan ; 42 
 3267 ; 10 сен. Бруней ; 1984 ;  ; Cu-Ni ; VF-XF ; 6 ; westing ; 30 
 3268 ; 5 крон. Норвегия ; 1975 ;  ; Cu-Ni ; VF-XF ; 11 ; denisok69 ; 51 
 3269 ; 25 сентимов. Бельгия ; 1922 ;  ; Cu-Ni ; VF ; 7 ; ASlab ; 32 
 3270 ; 1 сентаво. Куба ; 1920 ;  ; Cu-Ni ; VF ; 11 ; krugerrand ; 36 
 3271 ; 50 сентимов. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 9 ; ASlab ; 36 
 3272 ; 1 крона. Исландия ; 1981 ;  ; Cu-Ni ; VF-XF ; 3 ; I.E.V. ; 23 
 3273 ; 10000 марок. Германия. Нотгельд. Вестфалия ; 1923 ;  ; Ж/м ; XF ; 38 ; Ходор ; 811 
 3274 ; 2 фунта. Великобритания ; 1986 ;  ; Ni-Лат ; AU ; 9 ; dikiy17 ; 209 
 3275 ; 100 песет. Испания ; 1989 ;  ; Лат ; AU ; 19 ; v_bond ; 46 
 3276 ; 100 песет. Испания ; 1996 ;  ; Лат ; VF-XF ; 9 ; ИЮМов1 ; 28 
 3277 ; 1 доллар. Канада ; 1987 ;  ; Лат ; VF ; 9 ; D.F.C. ; 72 
 3278 ; 50 сантимов. Франция ; 1938 ;  ; al/Br ; XF ; 27 ; av ; 62 
 3279 ; 2 франка. Франция ; 1922 ;  ; al/Br ; VF ; 7 ; cvetlana1 ; 28 
 3280 ; 5 крон. Эстония ; 1993 ;  ; лат ; XF ; 5 ; re_re_re ; 45 
 3281 ; 50 пиастров. Египет ; 2007 ;  ; лат ; AU ; 10 ; cvetlana1 ; 40 
 3282 ; 1 фунт. Египет ; 2007 ;  ; Би/м ; AU ; 13 ; cvetlana1 ; 44 
 3283 ; 2 песо. Мексика ; 2008 ;  ; Би/м ; VF-XF ; 20 ; cvetlana1 ; 45 
 3284 ; 2 евро. Финляндия. 200 лет Банку Финляндии ; 2011 ;  ; Би/м ; XF ; 8 ; kovav ; 118 
 3285 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 33 ; Smit ; 122 
 3286 ; 5 евро. Финляндия. Аландские острова ; 2011 ;  ; Би/м ; AU ; 9 ; grond ; 317 
 3287 ; 5 евро. Финляндия. Лапландия ; 2011 ;  ; Би/м ; AU ; 7 ; grond ; 317 
 3288 ; 500 рупий. Индонезия ; 2003 ;  ; Al ; AU ; 10 ; cvetlana1 ; 28 
 3289 ; 1 цент. США. Индеец ; 1901 ;  ; Cu ; VF- ; 13 ; Aleks72 ; 214 
 3290 ; 1 цент. США. Индеец ; 1907 ;  ; Cu ; VF- ; 14 ; москтур ; 204 
 3291 ; 1 цент. США. Индеец ; 1900 ;  ; Cu ; VF- ; 19 ; Jordan ; 340 
 3292 ; 1 цент. США. Линкольн ; 1944 ;  ; Cu-Zn ; VF ; 6 ; dikiy17 ; 26 
 3293 ; 1 цент. Канада ; 1940 ;  ; Br ; VF-XF ; 14 ; маманя ; 57 
 3294 ; 1 пфенниг. Германия ; 1938A ;  ; Br ; VF-XF ; 9 ; taa ; 36 
 3295 ; 1 пфенниг. Германия ; 1912J ;  ; Cu ; VF+ ; 15 ; i.box ; 23 
 3296 ; 1 цент. Нидерланды ; 1925 ;  ; Br ; F-VF ; 11 ; xct ; 32 
 3297 ; 2 пфеннига. Веймар ; 1923A ;  ; Br ; VF-XF ; 10 ; Опятор ; 36 
 3298 ; 10 пенни. Финляндия ; 1941 ;  ; Cu ; VF-XF ; 9 ; П.А.Н. ; 45 
 3299 ; 2 эре. Дания ; 1937 ;  ; Br ; VF ; 13 ; olga42 ; 24 
 3300 ; 1 пфенниг. Германия ; 1876A ;  ; Cu ; VF ; 11 ; solder13 ; 34 
 3301 ; 1 эре. Дания ; 1936 ;  ; Br ; VF ; 5 ; westing ; 12 
 3302 ; 5 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 15 ; av ; 48 
 3303 ; 10 чентезимо. Италия ; 1930 ;  ; Br ; F-VF ; 10 ; jashka39 ; 48 
 3304 ; 10 пфеннигов. Германия ; 1898A ;  ; Cu-Ni ; F-VF ; 16 ; LosLos ; 27 
 3305 ; 5 пфеннигов. Германия ; 1907А ;  ; Cu-Ni ; VF- ; 7 ; LosLos ; 23 
 3306 ; 2 гривны. Украина. Национальный Технический университет ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 125 
 3307 ; 2 гривны. Украина. Ковыль Украинский ; 2010 ;  ; Cu-Ni ; AU ; 10 ; D.F.C. ; 155 
 3308 ; 2 гривны. Украина. Харьковский Национальный Экономический университет ; 2006 ;  ; Cu-Ni ; AU ; 7 ; denita ; 180 
 3209 ; 5 шиллингов. Южная Африка. Георг VI ; 1952 ;  ; Ag ; AU ; 42 ; 1177 ; 810 
 3210 ; 1/2 афгани. Афганистан. Амманулла ; 1305/8 ;  ; Ag ; VG ; 20 ; mkm1968 ; 357 
 3211 ; 25 пул. Афганистан. Заир шах ; 1313 ;  ; Латунь ; F-VF ; 21 ; kont ; 312 
 3212 ; 1 питис. Малайя. Султанаты. Келантан. Мухаммад II ; 1300 ;  ; Олово ; F ; 35 ; krugerrand ; 580 
 3213 ; 1/2 стивера. Нидерландская Индия. Суматра ; 1826S ;  ; Cu ; VF-/F-VF ; 20 ; Jordan ; 255 
 3214 ; 2 цента. Нидерландская Индия. Суматра ; 1838J ;  ; Cu ; F-VF ; 9 ; Jordan ; 190 
 3215 ; 2 пе. Бутан ; ND(1847) ;  ; Cu ; F ; 17 ; mkm1968 ; 334 
 3216 ; 25 пайса. Непал ; 1957 ;  ; Cu-Ni ; F-VF ; 16 ; kont ; 224 
 3217 ; 1 рупия. Индия. Конфедерация Марата. Торговые надчеканы ; 18 век ;  ; Ag ; VF- ; 34 ; vb96 ; 1076 
 3218 ; 1 пайса. Британская Индия. Бомбей ; 1827 ;  ; Cu ; VF- ; 37 ; alex1974 ; 1326 
 3219 ; 1/12 анны. Британская Индия. Эдуард VII ; 1910 ;  ; Cu ; VF ; 13 ; Slava O ; 164 
 3220 ; 1/4 рупии. Британская Индия. Георг VI ; 1946 ;  ; Cu-Ni ; VF ; 17 ; Slava O ; 72 
 3221 ; 1/2 рупии. Британская Индия. Георг VI ; 1947 ;  ; Cu-Ni ; VF ; 15 ; Slava O ; 72 
 3222 ; 1 рупия. Британская Индия. Георг VI ; 1947 ;  ; Cu-Ni ; VF ; 20 ; krugerrand ; 191 
 3223 ; 2 раппена. Швейцария ; 1890 ;  ; Cu ; XF- ; 16 ; Flagman ; 104 
 3224 ; 10 пенни. Финляндия ; 1940 ;  ; Cu ; VF+ ; 16 ; П.А.Н. ; 36 
 3225 ; 10 пенни. Финляндия ; 1939 ;  ; Cu ; VF+ ; 15 ; I.E.V. ; 31 
 3226 ; 10 пенни. Финляндия ; 1934 ;  ; Cu ; VF+ ; 16 ; П.А.Н. ; 26 
 3227 ; 10 пенни. Финляндия ; 1930 ;  ; Cu ; VF+ ; 10 ; I.E.V. ; 24 
 3228 ; 10 пенни. Финляндия ; 1929 ;  ; Cu ; VF+ ; 11 ; I.E.V. ; 25 
 3229 ; 10 пенни. Финляндия ; 1928 ;  ; Cu ; VF+ ; 11 ; ckpynch ; 30 
 3230 ; 10 пенни. Финляндия ; 1927 ;  ; Cu ; VF+ ; 9 ; LAB-A ; 36 
 3231 ; 5 пенни. Финляндия ; 1934 ;  ; Cu ; VF+ ; 12 ; П.А.Н. ; 29 
 3232 ; 5 пенни. Финляндия ; 1935 ;  ; Cu ; VF+ ; 14 ; cvetlana1 ; 29 
 3233 ; 5 пенни. Финляндия ; 1920 ;  ; Cu ; VF+ ; 11 ; av ; 26 
 3234 ; 5 пенни. Финляндия ; 1921 ;  ; Cu ; VF+ ; 19 ; i.box ; 24 
 3235 ; 5 пенни. Финляндия ; 1922 ;  ; Cu ; VF+ ; 7 ; I.E.V. ; 29 
 3236 ; 5 пенни. Финляндия ; 1929 ;  ; Cu ; VF+ ; 9 ; П.А.Н. ; 28 
 3237 ; 5 пенни. Финляндия ; 1930 ;  ; Cu ; VF+ ; 8 ; R2010 ; 25 
 3238 ; 5 пенни. Финляндия ; 1932 ;  ; Cu ; VF+ ; 6 ; R2010 ; 29 
 3239 ; 5 пенни. Финляндия ; 1940 ;  ; Cu ; VF+ ; 7 ; П.А.Н. ; 29 
 3240 ; 5 пенни. Финляндия ; 1939 ;  ; Cu ; VF+ ; 12 ; i.box ; 26 
 3241 ; 5 пенни. Финляндия ; 1937 ;  ; Cu ; VF+ ; 7 ; R2010 ; 29 
 3242 ; 5 пенни. Финляндия ; 1936 ;  ; Cu ; VF+ ; 13 ; i.box ; 24 
 3243 ; 40 пара. Турция ; 1255л.х. ;  ; Cu ; VF- ; 7 ; Mike! ; 357 
 3244 ; 10 марок. Финляндия. 75 лет со дня рождения президента Кекконена ; 1975 ;  ; Ag ; AU ; 2 ; Mike! ; 444 
 3245 ; 2 шиллинга. Австрия. Шуберт ; 1928 ;  ; Ag ; XF ; 7 ; cvet71 ; 426 
 3246 ; 10 марок. ФРГ. Олимпиада в Германии ; 1972J ;  ; Ag ; AU ; 3 ; Bonyf ; 485 
 3247 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; AU ; 2 ; Mike! ; 475 
 3248 ; 10 марок. ФРГ. Немецкий союз ; 1991A ;  ; Ag ; AU ; 2 ; Mike! ; 475 
 3249 ; 10 марок. ФРГ. 125 лет со дня рождения Кетти Кольвитц ; 1992G ;  ; Ag ; AU ; 2 ; Mike! ; 475 
 3250 ; 10 марок. ФРГ. 150 лет со дня рождения Вильгельма Конрада Рентгена ; 1995D ;  ; Ag ; AU ; 2 ; Mike! ; 475 
 3251 ; 5 марок. ФРГ. Вильгельм и Александр фон Гумбольдт ; 1967F ;  ; Ag ; AU ; 4 ; Mike! ; 500 
 3252 ; 5 марок. ФРГ. 150 лет со дня рождения Макса фон Петтенкофера ; 1968D ;  ; Ag ; AU ; 13 ; Mike! ; 465 
 3253 ; 5 марок. ФРГ. 200 лет со дня рождения Бетховена ; 1970F ;  ; Ag ; AU ; 6 ; Mike! ; 365 
 3254 ; 5 марок. ФРГ. 200 лет со дня рождения Карла Фридриха Гаусса ; 1977J ;  ; Ag ; AU ; 14 ; advokatx ; 506 
 3255 ; 5 марок. ФРГ. 150 лет со дня смерти Штейна ; 1981G ;  ; Cu-Ni ; AU ; 5 ; advokatx ; 200 
 3256 ; 5 марок. ФРГ. 150 лет немецкому таможенному союзу ; 1984D ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 185 
 3257 ; 5 марок. ФРГ. 600 лет Хейдельбергскому университету ; 1986D ;  ; Cu-Ni ; AU ; 2 ; S1952 ; 189 
 3258 ; 5 марок. ФРГ. 200 лет со дня смерти Фридриха Великого ; 1986F ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 169 
 3159 ; 20 марок. ГДР. 100-летие со дня рождения писателя Генриха Манна ; 1971 ;  ; Cu-Ni ; AU ; 40 ; dsp ; 133 
 3160 ; 20 марок. ГДР. 85-летие Эрнста Тальмана ; 1971A ;  ; Cu-Ni ; AU ; 29 ; dsp ; 136 
 3161 ; 20 марок. ГДР. Вильгельм Пик ; 1972A ;  ; Cu-Ni ; XF+ ; 19 ; dsp ; 106 
 3162 ; 20 марок. ГДР. Фридрих Шиллер ; 1972A ;  ; Cu-Ni ; AU ; 30 ; v_bond ; 106 
 3163 ; 20 марок. ГДР. Отто Гротенволь ; 1973A ;  ; Cu-Ni ; AU/XF ; 19 ; dsp ; 161 
 3164 ; 20 марок. ГДР. 30 лет ГДР ; 1979A ;  ; Cu-Ni ; AU ; 18 ; dsp ; 106 
 3165 ; 20 марок. ГДР. 100 лет со дня смерти Карла Маркса ; 1983A ;  ; Cu-Ni ; AU ; 55 ; v_bond ; 602 
 3166 ; 20 марок. ГДР. Открытие Бранденбургских ворот 22 декабря 1989 г. ; 1990A ;  ; Cu-Ni ; AU ; 13 ; D.F.C. ; 111 
 3167 ; 10 марок. ГДР. Мемориал Бухенвальд ; 1972A ;  ; Cu-Ni ; AU ; 56 ; b197312 ; 255 
 3168 ; 10 марок. ГДР. X Международный Фестиваль молодежи и студентов в Берлине ; 1973A ;  ; Cu-Ni ; AU ; 26 ; dsp ; 159 
 3169 ; 10 марок. ГДР. 25 лет ГДР ; 1974A ;  ; Cu-Ni ; AU ; 47 ; v_bond ; 231 
 3170 ; 10 марок. ГДР. 20 лет Варшавского договора ; 1975A ;  ; Cu-Ni ; AU ; 37 ; dsp ; 169 
 3171 ; 10 марок. ГДР. 20 лет национальной армии ; 1976A ;  ; Cu-Ni ; AU ; 54 ; v_bond ; 435 
 3172 ; 10 марок. ГДР. Совместный космический полет СССР-ГДР ; 1978A ;  ; Cu-Ni ; AU ; 42 ; Krechet ; 328 
 3173 ; 10 марок. ГДР. 25 лет национальной армии ; 1981A ;  ; Cu-Ni ; AU ; 27 ; Атлантик ; 302 
 3174 ; 10 марок. ГДР. 30 лет боевой дружине рабочего класса ; 1983A ;  ; Cu-Ni ; AU ; 46 ; alexpakh ; 567 
 3175 ; 10 марок. ГДР. 40 лет освобождения от фашизма ; 1985A ;  ; Cu-Ni ; AU ; 44 ; dsp ; 459 
 3176 ; 10 марок. ГДР. 100 лет со дня рождения Эрнста Тальмана ; 1986A ;  ; Cu-Ni ; AU ; 21 ; dsp ; 153 
 3177 ; 10 марок. ГДР. 40 лет Союза Спорта ГДР ; 1988A ;  ; Cu-Ni ; AU ; 35 ; dsp ; 612 
 3178 ; 10 марок. ГДР. 40 лет правительства ГДР ; 1989A ;  ; Cu-Ni ; AU ; 36 ; alexpakh ; 410 
 3179 ; 10 марок. ГДР. Всемирный день труда ; 1990A ;  ; Cu-Ni ; AU ; 36 ; v_bond ; 231 
 3180 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni-Br ; XF ; 13 ; dsp ; 61 
 3181 ; 5 марок. ГДР. Бранденбургские ворота ; 1971A ;  ; Cu-Ni ; AU ; 25 ; vesta78 ; 63 
 3182 ; 5 марок. ГДР. Город Мейсен ; 1972A ;  ; Cu-Ni ; AU ; 32 ; v_bond ; 295 
 3183 ; 5 марок. ГДР. Международный год борьбы с апартеидом ; 1978A ;  ; Cu-Ni ; AU ; 48 ; v_bond ; 695 
 3184 ; 5 марок. ГДР. Санссуси  в Потсдаме ; 1986A ;  ; Cu-Ni ; AU ; 32 ; alexpakh ; 397 
 3185 ; 5 марок. ГДР. Александр Платц ; 1987A ;  ; Cu-Ni ; AU ; 32 ; v_bond ; 338 
 3186 ; 5 марок. ГДР. Красная ратуша ; 1987A ;  ; Cu-Ni ; AU ; 34 ; v_bond ; 373 
 3187 ; 5 марок. ГДР. Бранденбургские ворота ; 1987A ;  ; Cu-Ni ; AU ; 26 ; solder13 ; 204 
 3188 ; 5 марок. ГДР. Николай Вертель ; 1987A ;  ; Cu-Ni ; AU ; 20 ; solder13 ; 204 
 3189 ; 5 марок. ГДР. Верфь в Ростоке ; 1988A ;  ; Cu-Ni ; AU ; 44 ; v_bond ; 288 
 3190 ; 5 марок. ГДР. Железная дорога в Саксонии ; 1988A ;  ; Cu-Ni ; AU ; 32 ; alexpakh ; 365 
 3191 ; 5 марок. ГДР. Церковь Катарины в Цвикау ; 1989A ;  ; Cu-Ni ; AU ; 32 ; Опятор ; 204 
 3192 ; 5 марок. ГДР. Церковь Марии в Мюльхаузене ; 1989A ;  ; Cu-Ni ; AU ; 37 ; Атлантик ; 201 
 3193 ; 5 марок. ГДР. 500 лет почте ; 1990A ;  ; Cu-Ni ; AU ; 28 ; alexpakh ; 200 
 3194 ; 5 марок. ГДР. Цвейгхаус ; 1990A ;  ; Cu-Ni ; AU ; 28 ; v_bond ; 327 
 3195 ; 50 рейхпфеннигов. Германия ; 1943A ;  ; Al ; VF+ ; 42 ; ppi ; 249 
 3196 ; 10 пфеннигов. Германия ; 1939A ;  ; Al/Br ; VF-XF ; 16 ; terner230 ; 123 
 3197 ; 10 пфеннигов. Германия ; 1944B ;  ; Zn ; VF- ; 9 ; sikachai ; 114 
 3198 ; 5 пфеннигов. Германия ; 1938A ;  ; Al/Br ; VF ; 19 ; Опятор ; 102 
 3199 ; 5 пфеннигов. Германия ; 1938J ;  ; Al/Br ; XF ; 14 ; Опятор ; 114 
 3200 ; 5 пфеннигов. Германия ; 1939A ;  ; Al/Br ; XF ; 26 ; Опятор ; 135 
 3201 ; 1 пфенниг. Германия ; 1940J ;  ; Cu ; VF-XF ; 29 ; ASlab ; 59 
 3202 ; 5 пфеннигов. Германия ; 1940A ;  ; Zn ; F-VF ; 24 ; i.box ; 28 
 3203 ; 5 пфеннигов. Германия ; 1941A ;  ; Zn ; VF-XF ; 24 ; Опятор ; 36 
 3204 ; 5 пфеннигов. Германия ; 1941G ;  ; Zn ; VF ; 12 ; lsp25 ; 82 
 3205 ; 10 мазун. Марокко. Юсуф ; 1340 ;  ; Br ; VF- ; 17 ; aziya11 ; 152 
 3206 ; 50 сантимов. Французское Марокко ; ND(1921) ;  ; Ni ; XF ; 31 ; voldemar56 ; 340 
 3207 ; 1 пенни. Южная Африка. Георг VI ; 1938 ;  ; Br ; VF+ ; 26 ; Omeron ; 114 
 3208 ; 1 пенни. Южная Африка. Елизавета II ; 1957 ;  ; Br ; XF- ; 29 ; Mukoved ; 123 
 3109 ; 200 эскудо. Португалия. 50 лет ООН ; 1995 ;  ; Би/м ; AU ; 18 ; udaw ; 126 
 3110 ; 100 эскудо. Португалия. ЮНИСЕФ ; 1999 ;  ; Би/м ; AU ; 31 ; udaw ; 136 
 3111 ; 200 эскудо. Португалия. Тайвань ; 1996 ;  ; Cu-Ni ; AU ; 43 ; olga42 ; 145 
 3112 ; 200 эскудо. Португалия. Танегасима ; 1993 ;  ; Cu-Ni ; AU ; 63 ; Omeron ; 133 
 3113 ; 200 эскудо. Португалия. Гашпар Корте Реал ; 2000 ;  ; Cu-Ni ; AU ; 41 ; alexpakh ; 216 
 3114 ; 200 эскудо. Португалия. Макау ; 1996 ;  ; Cu-Ni ; AU ; 37 ; matehev ; 136 
 3115 ; 10 евро. Германия. Братья Гримм ; 2012F ;  ; Cu-Ni ; AU ; 7 ; фёкла ; 429 
 3116 ; 2 евро. Мальта ; 2008 ;  ; Би/м ; AU ; 33 ; Smit ; 258 
 3117 ; 2 евро. Португалия. 500 лет со дня рождения Фернана Мендеса Пинто ; 2011 ;  ; Би/м ; AU ; 10 ; advokatx ; 300 
 3118 ; 2 евро. Люксембург. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 11 ; Gell13 ; 153 
 3119 ; 2 евро. Мальта. Первые избранные представители совета Мальты ; 2011 ;  ; Би/м ; AU ; 46 ; ppi ; 457 
 3120 ; 2 евро. Люксембург. 100 лет со дня смерти Великого герцога Люксембургского Вильгельма IV ; 2012 ;  ; Би/м ; AU ; 7 ; ASlab ; 153 
 3121 ; 2 евро. Сан-Марино ; 2011 ;  ; Би/м ; AU ; 21 ; ppi ; 274 
 3122 ; 2 евро. Люксембург. Три годовщины ; 2005 ;  ; Би/м ; AU ; 11 ; Komod ; 173 
 3123 ; 1000 эскудо. Португалия. 400 лет со дня смерти Луиса де Камоса ; 1980 ;  ; Ag ; AU ; 25 ; vicnic ; 1020 
 3124 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; VF-XF ; 19 ; I.E.V. ; 120 
 3125 ; 3 пенса. Великобритания ; 1925 ;  ; Ag ; VF-XF ; 37 ; olga42 ; 110 
 3126 ; 200 эскудо. Португалия. Гарсиа де Орта ; 2000 ;  ; Би/м ; AU ; 29 ; udaw ; 185 
 3127 ; 200 эскудо. Португалия. ЭКСПО 86 ; 1998 ;  ; Би/м ; AU ; 27 ; udaw ; 135 
