 5496 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 10 ; 3ТЭП75 ; 38 
 4430 ; Лот монет ГДР: 20 пфеннигов (5шт) ; 1969-1984 ;  ; Лат ; VF ; 9 ; banks ; 59 
 4431 ; Набор монет Чехословакии: 5,2,1 крона, 50,20,10,5 хеллеров (7шт) ; 1985 ;  ; Cu-Ni,лат,Al ; AU ; 29 ; Magger ; 272 
 4432 ; Набор монет Финляндии: 5,2,1 евроцент (3шт). Буклет ; 2000-2003 ;  ; Cu/St ; AU ; 17 ; banks ; 51 
 4433 ; Набор монет Финляндии: 5,2,1 евроцент (3шт). Буклет ; 2000-2003 ;  ; Cu/St ; AU ; 15 ; slavaa ; 50 
 4434 ; Набор монет Финляндии: 5,2,1 евроцент (3шт). Буклет ; 2000 ;  ; Cu/St ; AU ; 9 ; krugerrand ; 55 
 4435 ; Набор монет Финляндии: 5,2,1 евроцент (3шт). Буклет ; 1999-2000 ;  ; Cu/St ; AU ; 13 ; Boroddd ; 50 
 4436 ; Набор монет Финляндии: 5,2,1 евроцент (3шт). Буклет ; 1999-2000 ;  ; Cu/St ; AU ; 21 ; кс ; 48 
 4437 ; Набор монет США: 1 доллар, 1/2, 1/4 доллара, дайм, 5,1 цент (6шт). В пластиковой упаковке ; 1978S ;  ; Br,Cu-Ni ; Proof ; 50 ; heops ; 1201 
 4438 ; Набор монет Финляндии (17шт):  50 пенни ; 1963-1979 ;  ; Al/Br ; VF/XF ; 19 ; ШУТник ; 120 
 4439 ; Набор монет Финляндии (19шт): 1 марка, 5 марок ; 1964-1980 ;  ; б/м,жм ; XF/AU ; 33 ; mr.gold ; 444 
 4440 ; Набор монет США (19шт): 1/4 доллара. Штаты ; 2003-2004 ;  ; Cu-Ni ; XF/AU ; 16 ; Вини-Пруф ; 532 
 4441 ; Набор монет Финляндии (41шт): 20пенни,10пенни,5пенни ; 20век ;  ; Al/Br ; XF/AU ; 19 ; ШУТник ; 157 
 4442 ; Набор монет Узбекистана (19шт). Упаковка ;  ;  ; б/м,жм ; VF/XF- ; 30 ; Хаа ; 1298 
 4443 ; Лот монет Эстонии (5шт) ;  ;  ; Ж/м ; VF+/XF ; 30 ; Мотя ; 59 
 4444 ; Лот монет Макао (4шт) ;  ;  ; Ж/м ; VF+ ; 14 ; rusin ; 51 
 4445 ; Лот монет США: 1/4 доллара (13шт) ;  ;  ; Cu-Ni ; VF/XF ; 25 ; xxxl ; 188 
 4446 ; Лот монет США: 5 центов (13шт) ;  ;  ; Cu-Ni ; VF ; 14 ; Danilos ; 67 
 4447 ; Лот монет Европы (8шт) ;  ;  ;  ; VF/XF ; 14 ; S1952 ; 80 
 4448 ; Лот монет Великобритании (2шт) ; 1997,1999 ;  ; Cu-Ni ; VF+ ; 9 ; collector64 ; 70 
 4449 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 4450 ; Лот монет Чехословакии, Чехии (22шт) ;  ;  ; Ni,Al/Br,Al ; VF-/XF ; 17 ; всыня ; 73 
 4451 ; Лот монет Японии, Египта, Восточной Африки, о-ва Джерси, Мексики 5шт ; 1917-1945 ;  ; Br,Cu-Ni ; VF-/VF+ ; 30 ; Maks87 ; 244 
 4452 ; Лот монет Финлянди (4шт) ;  ;  ; Би/м,Cu-Ni,ж/м ; VF/XF ; 22 ; sergey2015 ; 48 
 4453 ; Лот монет Индии, Южной и Западной Африки 4шт ; 1930-1944 ;  ; Ag,Cu-Ni,Br ; F+/VF ; 11 ; Termist ; 407 
 4454 ; Лот евро монет Испания, Нидерланды, Люксембург 1 евро, 50 центов 3шт ; 2011,2014,2015 ;  ; Би/м,Лат ; XF- ; 18 ; Интересант ; 209 
 4455 ; Лот монет Венгрии (8шт) ;  ;  ; Б/м,ж/м ; VF/XF ; 25 ; sergey2015 ; 38 
 4456 ; Лот монет Испании: 12шт ;  ;  ; Лат,Al,Cu-Ni ; VF/XF+ ; 19 ; Jek327 ; 79 
 4457 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 4458 ; Лот монет Финлянди (13шт) ;  ;  ; Cu-Ni,Cu ; VF/XF ; 10 ; Jek327 ; 26 
 4459 ; Лот иностранных монет (8шт) ;  ;  ; бм.жм ; VF/XF ; 12 ; snol ; 94 
 4460 ; Лот монет Бразилии (6шт) ;  ;  ; Б/м,ж/м ; F/XF ; 34 ; lenskij1837 ; 44 
 4461 ; Лот монет Швеции (35шт) ;  ;  ; Cu-Ni ; VF/XF ; 15 ; 333985 ; 83 
 4462 ; Лот евроцентов: 1 евроцент (19шт). Все разные ;  ;  ; Cu/St ; XF-/AU ; 38 ; тарнум ; 129 
 4463 ; Лот монет Мальдивы (9шт) ;  ;  ; Al,Ni/St,ж/м ; XF/AU ; 33 ; Звездолёты ; 188 
 4464 ; Лот монет иностранных: 6шт ;  ;  ; Cu-Ni,Лат,br ; VF/XF ; 23 ; спарта ; 53 
 4365 ; 2 гривны. Украина. Знаки зодиака. Рыбы. Буклет, сертификат ; 2015 ;  ; Ag ; Unc ; 36 ; Mike! ; 793 
 4366 ; 2 гривны. Украина. Знаки зодиака. Лев. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 15 ; ЛБС ; 936 
 4367 ; 2 гривны. Украина. Знаки зодиака. Телец. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 17 ; ЛБС ; 1031 
 4368 ; 2 гривны. Украина. Знаки зодиака. Рак. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 9 ; Mike! ; 805 
 4369 ; 2 гривны. Украина. Знаки зодиака. Дева. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 13 ; Mike! ; 816 
 4370 ; 2 гривны. Украина. Знаки зодиака. Весы. Буклет, сертификат ; 2015 ;  ; Ag ; Unc ; 9 ; Mike! ; 805 
 4371 ; 2 гривны. Украина. Знаки зодиака. Близнецы. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 20 ; Ratmen ; 1041 
 4372 ; 1 гривна. Украина. Грошовая реформа. Буклет ; 2016 ;  ; Лат ; Unc ; 17 ; Mike! ; 421 
 4373 ; Набор монет Украины (25 лет независимости): 5 гривен (4шт) ; 2016 ;  ; Cu-Ni ; Unc ; 17 ; Mike! ; 1224 
 4374 ; 5 гривен. Украина. Год астрономии. Буклет ; 2009 ;  ; Cu-Ni ; Unc ; 28 ; Mike! ; 313 
 4375 ; Набор монет Финляндии (5шт)6 10марок,5марок,1марка,50пенни,10пенни + жетон. Буклет ; 1995 ;  ; ж/м,бм,би/м ; Unc ; 30 ; себер ; 378 
 4376 ; Набор евромонет Финляндии (8шт): 2евро,1евро,50центов,20центов,10центов,5центов,2цента,1цент + жетон. Буклет ; 2010 ;  ; би/м,ж/м ; Unc ; 28 ; melkore ; 874 
 4377 ; Набор монет Македонии (3шт): 5,2,1денар. Буклет ; 1995 ;  ; Cu-Ni ; Unc ; 5 ; cotangens ; 139 
 4378 ; Набор монет Словении (12шт): 5 толарев. Буклет ; 1993-1996 ;  ; Cu-Zn ; Unc ; 19 ; dencon ; 1022 
 4379 ; Набор монет "25 лет независимости Украины" (4шт): 5 гривен. Буклет ; 2016 ;  ; Cu-Ni ; Unc ; 35 ; Vol4en0k ; 1224 
 4380 ; 5 гривен. Украина. Петряковская роспись. Буклет ; 2016 ;  ; Cu-Ni ; AU ; 21 ; Ratmen ; 457 
 4381 ; 5 гривен. Украина. Киевский фуникулер. Упаковка ; 2015 ;  ; Cu-Ni ; AU ; 22 ; an78gg ; 206 
 4382 ; 5 гривен. Украина. Конный трамвай. Упаковка ; 2016 ;  ; Cu-Ni ; AU ; 16 ; u10257 ; 300 
 4383 ; 25 лит. Литва. Упаковка ; 2013 ;  ; St/Lat ; AU ; 19 ; ТРОЛ ; 906 
 4384 ; 5 гривен. Украина. Освобождение Украины от фашистских захватчиков. Буклет ; 2015 ;  ; Cu-Ni ; AU ; 26 ; 1969 ; 308 
 4385 ; Набор монет Гондураса: 5шт. Упаковка ; 1992-1999 ;  ; Cu-Ni,Лат ; AU ; 31 ; ворон2015 ; 308 
 4386 ; Набор монет Ирака: 3шт. Упаковка ; 2004 ;  ; Cu-Ni,Br,Лат ; AU ; 11 ; Mike! ; 105 
 4387 ; Набор монет Зимбабве: 7шт. Упаковка ; 1997-2002 ;  ; Cu-Ni,Лат,Br ; AU ; 25 ; Mike! ; 552 
 4388 ; Набор монет Лезото: 5шт. Упаковка ; 1998 ;  ; Cu-Ni,Лат ; AU ; 19 ; teso ; 413 
 4389 ; Набор монет Болгарии: 7шт. Упаковка ; 1999-2002 ;  ; Би/м,Cu-Ni,Br ; AU ; 20 ; Mike! ; 203 
 4390 ; Набор монет Фиджи: 7шт. Упаковка ; 1995-1999 ;  ; Cu-Ni,Лат,Br ; AU ; 13 ; Mike! ; 550 
 4391 ; Набор монет Танзании: 5шт. Упаковка ; 1981-1993 ;  ; Cu-Ni,Лат ; AU ; 11 ; Mike! ; 255 
 4392 ; Набор монет Намибии: 5шт. Упаковка ; 1998-2003 ;  ; Cu-Ni,Лат ; AU ; 7 ; ворон2015 ; 400 
 4393 ; Набор монет Нигерии: 5шт. Упаковка ; 1991-2006 ;  ; Би/м,Br,Cu-Ni ; AU ; 10 ; ворон2015 ; 412 
 4394 ; Набор монет Ганы: 5шт. Упаковка ; 1984-1999 ;  ; Cu-Ni,Лат ; AU ; 21 ; Moryak ; 777 
 4395 ; Набор монет Канады: 6шт. Упаковка ; 2002-2007 ;  ; Cu-Ni,Br ; AU ; 9 ; Mike! ; 249 
 4396 ; Набор монет Малайзии: 5шт. Упаковка ; 2005 ;  ; Cu-Ni,Br ; AU ; 11 ; sveta6369 ; 404 
 4397 ; Набор монет Бразилии: 6шт. Упаковка ; 1986-1988 ;  ; St ; AU ; 11 ; sveta6369 ; 303 
 4398 ; Набор монет Багам: 5шт. Упаковка ; 1992-2000 ;  ; Cu-Ni,Br ; AU ; 15 ; sveta6369 ; 355 
 4399 ; Набор монет Туркменистана: 5шт. Упаковка ; 1993 ;  ; Cu-Ni,Br ; AU ; 11 ; sveta6369 ; 347 
 4400 ; Набор монет Македонии: 4шт. Упаковка ; 1993-2001 ;  ; Al/Br ; AU ; 17 ; Mike! ; 270 
 4401 ; Набор монет Болгарии: 7шт. Упаковка ; 1999-2002 ;  ; Би/м,Cu-Ni,Br ; AU ; 22 ; ворон2015 ; 83 
 4402 ; Набор монет Румынии: 3шт. Упаковка ; 2000-2004 ;  ; Al ; AU ; 10 ; ворон2015 ; 100 
 4403 ; Набор монет Боливии: 5шт. Упаковка ; 1997-2004 ;  ; Ni/St,Br ; AU ; 15 ; Bronco ; 456 
 4404 ; Набор монет Соломоновых островов: 7шт. Упаковка ; 2005 ;  ; Cu-Ni,Br ; AU ; 7 ; Mike! ; 510 
 4405 ; Набор монет Cейшелл: 6шт. Упаковка ; 1982-2003 ;  ; Cu-Ni,Лат ; AU ; 16 ; sveta6369 ; 389 
 4406 ; Набор монет Эстонии: 5шт. Упаковка ; 1992-2001 ;  ; Al/Br ; AU ; 15 ; Mike! ; 346 
 4407 ; Набор монет Армении: 7шт. Упаковка ; 1994 ;  ; Al ; AU ; 7 ; sveta6369 ; 328 
 4408 ; Набор монет Йемена: 4шт. Упаковка ; 1993-2004 ;  ; Би/м,Ni/St ; AU ; 15 ; sveta6369 ; 370 
 4409 ; Набор монет Колумбии: 5шт. Упаковка ; 1997-2003 ;  ; Cu-Ni,Лат ; AU ; 9 ; Mike! ; 403 
 4410 ; Набор монет Свазиленда: 5шт. Упаковка ; 1998 ;  ; Cu-Ni,Лат ; AU ; 13 ; sveta6369 ; 446 
 4411 ; Набор монет Суринама: 6шт. Упаковка ; 1979-1989 ;  ; Cu-Ni,Br,Al ; AU ; 23 ; critter ; 600 
 4412 ; Набор монет Ямайки: 6шт. Упаковка ; 1995-2000 ;  ; Би/м,Cu/St,Cu-N ; AU ; 8 ; sveta6369 ; 320 
 4413 ; Набор монет Французской Полинезии: 5шт. Упаковка ; 2004,2005 ;  ; Cu-Ni,Al ; AU ; 30 ; sveta6369 ; 412 
 4414 ; Набор монет Канада: 7шт. Упаковка ; 2002-2007 ;  ; Би/м,Cu-Ni,Br ; AU ; 7 ; Mike! ; 500 
 4315 ; 20 центов. Австралия ; 1973 ;  ; Cu-Ni ; VF+ ; 5 ; страус ; 22 
 4316 ; Набор монет Тайланда: 7шт. К 50-летию правления Рама IX ; 1996 ;  ; Cu-Ni,лат,Al ; AU ; 32 ; seva777 ; 466 
 4317 ; Набор монет Финляндии (6шт): 5марок,1марка,50пенни,20пенни,10пенни,5пенни + жетон. Упаковка, сертификат ; 1989 ;  ; б/м,жм ; AU ; 11 ; tss ; 303 
 4318 ; Набор монет Финляндии (6шт): 5марок,1марка,50пенни,20пенни,10пенни,5пенни + жетон. Упаковка, сертификат ; 1989 ;  ; б/м,жм ; AU ; 13 ; banks ; 334 
 4319 ; Набор монет Ватикана (6шт): 100,50,10,5,2,1лир. Упаковка ; 1956 ;  ; Cu-Ni ; AU ; 24 ; banks ; 616 
 4320 ; Набор монет Ватикана (7шт): 100,50,20,10,5,2,1лир. Упаковка ; 1957 ;  ; Cu-Ni ; AU ; 23 ; banks ; 738 
 4321 ; Набор монет Ватикана (8шт): 500,100,50,20,10,5,2,1лир. Упаковка ; 1958 ;  ; Cu-Ni ; AU ; 39 ; banks ; 1032 
 4322 ; Набор монет Финляндии (6шт): 5марок,1марка,50пенни,20пенни,10пенни,5пенни. Упаковка ; 1983 ;  ; б/м,жм ; AU ; 27 ; Ok203 ; 449 
 4323 ; Набор монет Ватикана (6шт): 100,50,10,5,2,1лир. Упаковка ; 1955 ;  ; Cu-Ni ; AU ; 17 ; banks ; 651 
 4324 ; Набор монет Финляндии (6шт): 5марок,1марка,50пенни,20пенни,10пенни,5пенни. Упаковка ; 1987 ;  ; б/м,жм ; AU ; 12 ; Lex2000 ; 328 
 4325 ; 500 лир. Италия. Буклет. Сертификат ; 1985 ;  ; Ag ; AU ; 16 ; Звездолёты ; 728 
 4326 ; 50 евроцентов. Ватикан. Буклет ; 2015 ;  ; Латунь ; AU ; 24 ; melkore ; 206 
 4327 ; 500 лир. Италия. Буклет ; 1975 ;  ; Ag ; AU ; 20 ; Lex2000 ; 800 
 4328 ; 1000 лир. Сан-Марино. Буклет ; 1980 ;  ; Ag ; AU ; 46 ; SKeeper ; 622 
 4329 ; Набор монет Сан-Марино: 1000 и 500 лир (2шт). Коробка, сертификат ; 1985 ;  ; Ag ; Proof ; 28 ; Ok203 ; 1657 
 4330 ; Набор монет Словакии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) + жетон. Буклет ; 2009 ;  ; Ag,Би/м,Лат,Cu/ ; AU ; 43 ; Ok203 ; 1675 
 4331 ; Набор монет Армении: 200 драм (6шт). Буклет ; 2014 ;  ; Cu/Al/Ni ; Unc ; 20 ; snol ; 555 
 4332 ; Экю. Нидерланды. В конверте, с маркой ; 1998 ;  ; Cu-Ni ; AU ; 13 ; ВМШ ; 1007 
 4333 ; 1 фунт. Великобритания. В конверте, с маркой ; 1990 ;  ; Ni/Лат ; AU ; 9 ; Ok203 ; 340 
 4334 ; 20 франков. Бельгия. В конверте, с маркой ; 1981 ;  ; Al/Br ; XF- ; 9 ; Ok203 ; 340 
 4335 ; 50 сентимо. Филиппины. В конверте, с маркой ; 1984 ;  ; Ж/м ; AU ; 27 ; Ok203 ; 357 
 4336 ; 1/4 бальбао. Панама. В конверте, с маркой ; 1983 ;  ; Cu-Ni ; AU ; 19 ; Ok203 ; 357 
 4337 ; 20 крон. Дания. В конверте, с маркой ; 1990 ;  ; Лат ; AU ; 14 ; Ok203 ; 340 
 4338 ; 10 крон. Дания. В конверте, с маркой ; 1986 ;  ; Лат ; AU ; 17 ; Ok203 ; 340 
 4339 ; Экю. Нидерланды. В конверте, с маркой ; 1997 ;  ; Cu-Ni ; AU ; 13 ; Lex2000 ; 204 
 4340 ; 5 крон. Швеция. В конверте, с маркой ; 1997 ;  ; Cu-Ni ; AU ; 30 ; dsp ; 599 
 4341 ; 5 хао. Вьетнам. В конверте, с маркой ; 1976 ;  ; Al ; AU ; 24 ; Ok203 ; 357 
 4342 ; 25 центов. Сейшелы. Буклет ; 1977 ;  ; Cu-Ni ; AU ; 13 ; Inspector ; 115 
 4343 ; 1/4 доллара. США. Буклет ; 1980 ;  ; Cu-Ni ; AU ; 25 ; 🇷🇺Михаил ; 453 
 4344 ; 1 цент. Фолклендские острова. Буклет ; 1989 ;  ; Br ; AU ; 5 ; seva777 ; 92 
 4345 ; 2 доллара. Багамы. Буклет ; 1979 ;  ; Cu-Ni ; AU ; 44 ; banks ; 477 
 4346 ; 20 центов. Новая Зеландия. Буклет ; 1978 ;  ; Cu-Ni ; AU ; 15 ; Inspector ; 96 
 4347 ; 1 доллар. Белиз. Буклет ; 1980 ;  ; Cu-Ni ; AU ; 33 ; Zarik ; 371 
 4348 ; 1 цент. Кирибати. Буклет ; 1979 ;  ; Br ; AU ; 17 ; Inspector ; 198 
 4349 ; 50 тхебе. Ботсвана. Буклет ; 1977 ;  ; Cu-Ni ; AU ; 9 ; Palik ; 121 
 4350 ; 50 центов. Британские Виргинские острова. Буклет ; 1980 ;  ; Cu-Ni ; AU ; 23 ; Dinar02 ; 255 
 4351 ; 20 сенти. Танзания. Буклет ; 1979 ;  ; Ж/м ; AU ; 16 ; Звездолёты ; 102 
 4352 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 29 ; Для души ; 1416 
 4353 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 16 ; sileng ; 1474 
 4354 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 19 ; sileng ; 1421 
 4355 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 16 ; Mike! ; 1416 
 4356 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 12 ; Mike! ; 1416 
 4357 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 18 ; sileng ; 1515 
 4358 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 15 ; sileng ; 1525 
 4359 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 11 ; Для души ; 1388 
 4360 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 13 ; sileng ; 1421 
 4361 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 11 ; sileng ; 1421 
 4362 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 17 ; sileng ; 1515 
 4363 ; 10 евро. Австрия. Астерикс и Обеликс. Буклет ; 2015 ;  ; Ag ; Unc ; 15 ; sileng ; 1411 
 4364 ; 2 гривны. Украина. Знаки зодиака. Овен. Буклет, сертификат ; 2014 ;  ; Ag ; Unc ; 19 ; Mike! ; 714 
 4265 ; 5 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; VF ; 4 ; Max1976 ; 31 
 4266 ; 5 раппен. Швейцария ; 1942 ;  ; Cu-Ni ; VF ; 9 ; Flagman ; 57 
 4267 ; 1 раппен. Швейцария ; 1931 ;  ; Br ; VF+ ; 14 ; Maks87 ; 90 
 4268 ; 1 раппен. Швейцария ; 1937 ;  ; Br ; XF- ; 14 ; val211 ; 100 
 4269 ; 1 раппен. Швейцария ; 1946 ;  ; Zn ; VF- ; 15 ; Maks87 ; 90 
 4270 ; 50 пфенниг. Веймар ; 1920J ;  ; Al ; VF+ ; 17 ; Метро62 ; 90 
 4271 ; 50 пфенниг. Веймар ; 1922A ;  ; Al ; VF-XF ; 10 ; flutter ; 57 
 4272 ; 50 пфенниг. Веймар ; 1921A ;  ; Al ; XF+ ; 11 ; flutter ; 55 
 4273 ; 200 марок. Веймар ; 1923A ;  ; Al ; XF ; 4 ; franklin ; 40 
 4274 ; 1 юань. Китай ; 2004 ;  ; Ni ; VF+ ; 6 ; SerjZ ; 11 
 4275 ; 5 фен. Китай ; 1983 ;  ; Al ; XF+ ; 11 ; Palik ; 24 
 4276 ; 2 фен. Китай ; 1974 ;  ; Al ; XF+ ; 7 ; gdrg2 ; 21 
 4277 ; 1 фен. Китай ; 1982 ;  ; Al ; XF ; 6 ; gdrg2 ; 21 
 4278 ; 20 лепт. Греция ; 1969 ;  ; Al ; XF- ; 8 ; митяй ; 53 
 4279 ; 50 грошен. Австрия ; 1947 ;  ; Al ; VF- ; 12 ; Palik ; 22 
 4280 ; 1 пенго. Венгрия ; 1941 ;  ; Al ; VF- ; 9 ; collector64 ; 25 
 4281 ; 1 песо. Филиппины ; 2000 ;  ; Cu-Ni ; VF ; 5 ; SerjZ ; 11 
 4282 ; 1 песо. Филиппины ; 2003 ;  ; Cu-Ni ; VF ; 4 ; страус ; 10 
 4283 ; 1 крона. Швеция ; 2009 ;  ; Cu-Ni ; XF ; 12 ; sergey2015 ; 46 
 4284 ; 2 доллара. Австралия ; 1989 ;  ; Лат ; VF+ ; 23 ; Звездолёты ; 116 
 4285 ; 1 доллар. Гон Конг ; 1994 ;  ; Cu-Ni ; VF ; 13 ; RUN ; 31 
 4286 ; 10 центов. Гон Конг ; 1982 ;  ; Лат ; VF+ ; 7 ; гус4 ; 18 
 4287 ; 25 песет. Испания ; 1991 ;  ; Ж/м ; XF ; 14 ; тарнум ; 42 
 4288 ; 5 песет. Испания ; 1996 ;  ; Ж/м ; XF ; 12 ; тарнум ; 30 
 4289 ; 5 песет. Испания ; 1997 ;  ; Ж/м ; XF ; 26 ; Palik ; 45 
 4290 ; 5 песет. Испания ; 1998 ;  ; Ж/м ; XF ; 8 ; тарнум ; 16 
 4291 ; 5 шиллингов. Австрия ; 1963 ;  ; Ag ; XF ; 19 ; Maks87 ; 203 
 4292 ; 1/2 шиллинга. Австрия ; 1926 ;  ; Ag ; XF+ ; 15 ; arcadymer ; 225 
 4293 ; 10 сент. Нидерланды ; 1919 ;  ; Ag ; F-VF ; 4 ; 54заза ; 58 
 4294 ; 10 сент. Нидерланды ; 1941 ;  ; Ag ; VF+ ; 15 ; porte33 ; 89 
 4295 ; 10 сент. Нидерланды ; 1936 ;  ; Ag ; XF- ; 8 ; porte33 ; 79 
 4296 ; 10 сент. Нидерланды ; 1938 ;  ; Ag ; XF ; 9 ; gdrg2 ; 81 
 4297 ; 10 сент. Нидерланды ; 1937 ;  ; Ag ; XF- ; 8 ; porte33 ; 77 
 4298 ; 10 сент. Нидерланды ; 1916 ;  ; Ag ; F+ ; 6 ; 54заза ; 58 
 4299 ; 1 шиллинг. Великобритания ; 1953 ;  ; Cu-Ni ; VF+ ; 9 ; SKeeper ; 20 
 4300 ; 1 шиллинг. Великобритания ; 1957 ;  ; Cu-Ni ; VF+ ; 6 ; зуммер ; 19 
 4301 ; 1 шиллинг. Великобритания ; 1955 ;  ; Cu-Ni ; XF- ; 6 ; SKeeper ; 20 
 4302 ; 1 шиллинг. Великобритания ; 1956 ;  ; Cu-Ni ; XF- ; 6 ; зуммер ; 19 
 4303 ; 1 шиллинг. Великобритания ; 1961 ;  ; Cu-Ni ; VF+ ; 6 ; зуммер ; 19 
 4304 ; 1 шиллинг. Великобритания ; 1960 ;  ; Cu-Ni ; XF ; 6 ; зуммер ; 19 
 4305 ; 1 шиллинг. Великобритания ; 1963 ;  ; Cu-Ni ; XF ; 8 ; CASABLANCA ; 20 
 4306 ; 50 пенсов. Великобритания ; 1973 ;  ; Cu-Ni ; XF ; 16 ; sergey2015 ; 101 
 4307 ; 50 пенсов. Великобритания ; 2000 ;  ; Cu-Ni ; XF ; 15 ; t_v_v ; 105 
 4308 ; 20 пенсов. Великобритания ; 1985 ;  ; Cu-Ni ; XF- ; 3 ; жора ; 30 
 4309 ; 20 пенсов. Великобритания ; 1993 ;  ; Cu-Ni ; XF ; 7 ; yourius ; 51 
 4310 ; 20 пенсов. Великобритания ; 1982 ;  ; Cu-Ni ; XF ; 8 ; зуммер ; 20 
 4311 ; 20 пенсов. Великобритания ; 1991 ;  ; Cu-Ni ; XF ; 3 ; жора ; 30 
 4312 ; 20 центов. Австралия ; 1981 ;  ; Cu-Ni ; XF- ; 5 ; страус ; 22 
 4313 ; 20 центов. Австралия ; 1968 ;  ; Cu-Ni ; VF+ ; 5 ; страус ; 22 
 4314 ; 20 центов. Австралия ; 1970 ;  ; Cu-Ni ; VF+ ; 5 ; страус ; 22 
 4215 ; 50 тенге. Казахстан. Кокпар ; 2014 ;  ; Cu-Ni ; AU ; 14 ; Markgraf ; 82 
 4216 ; 50 тенге. Казахстан. Шокан ; 2014 ;  ; Cu-Ni ; AU ; 22 ; Jek327 ; 108 
 4217 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu-Ni ; AU ; 25 ; RustyNail ; 163 
 4218 ; 50 тенге. Казахстан. И.Есенбаев ; 2015 ;  ; Cu-Ni ; XF ; 7 ; Markgraf ; 67 
 4219 ; 50 тенге. Казахстан. О.Хан ; 2016 ;  ; Cu-Ni ; AU ; 20 ; kornum ; 117 
 4220 ; 50 тенге. Казахстан. Наурыз ; 2012 ;  ; Cu-Ni ; AU ; 18 ; Markgraf ; 89 
 4221 ; 50 тенге. Казахстан. Священный казан ; 2014 ;  ; Cu-Ni ; AU ; 17 ; Markgraf ; 128 
 4222 ; 50 тенге. Казахстан. Буран ; 2014 ;  ; Cu-Ni ; AU ; 22 ; Markgraf ; 120 
 4223 ; 50 тенге. Казахстан. М.Габдуллин ; 2015 ;  ; Cu-Ni ; XF+ ; 8 ; Markgraf ; 65 
 4224 ; 50 тенге. Казахстан. Муфлон ; 2015 ;  ; Cu-Ni ; XF ; 22 ; parusL ; 104 
 4225 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu-Ni ; AU ; 15 ; Jek327 ; 125 
 4226 ; 50 тенге. Казахстан. Абай ; 2015 ;  ; Cu-Ni ; XF+ ; 17 ; Jek327 ; 85 
 4227 ; 50 тенге. Казахстан. 550 лет казахскому ханству ; 2015 ;  ; Cu-Ni ; XF ; 8 ; Markgraf ; 61 
 4228 ; 50 центов. ЮАР ; 1969 ;  ; Cu-Ni ; Proof ; 71 ; salim ; 271 
 4229 ; 50 центов. ЮАР ; 1989 ;  ; Cu-Ni ; Proof ; 61 ; salim ; 203 
 4230 ; 50 центов. ЮАР ; 1968 ;  ; Cu-Ni ; Proof ; 68 ; salim ; 230 
 4231 ; 20 центов. ЮАР ; 1968 ;  ; Cu-Ni ; Proof ; 51 ; salim ; 230 
 4232 ; 2-1/2 цента. ЮАР ; 1963 ;  ; Ag ; Proof ; 51 ; bva150979 ; 577 
 4233 ; 2 шиллинга. Южная Родезия ; 1952 ;  ; Cu-Ni ; VF ; 48 ; SKeeper ; 302 
 4234 ; 1 франк. Бельгийское Конго ; 1926 ;  ; Cu-Ni ; VF ; 24 ; SerKon ; 155 
 4235 ; 1 франк. Бельгийское Конго ; 1926 ;  ; Cu-Ni ; VF ; 42 ; lesnik1 ; 196 
 4236 ; 1 лат. Латвия ; 1992 ;  ; Cu-Ni ; VF+ ; 15 ; всыня ; 82 
 4237 ; 1 пенни. Южная Родезия ; 1934 ;  ; Cu-Ni ; VF+ ; 24 ; banks ; 295 
 4238 ; 50 центов. Бельгийское Конго ; 1921 ;  ; Cu-Ni ; VF- ; 26 ; val211 ; 107 
 4239 ; 50 центов. Бельгийское Конго ; 1926 ;  ; Cu-Ni ; VF- ; 9 ; Zarik ; 101 
