 251 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 27 ; sax ; 3400 
 3596 ; Лот монет Польши: 14шт ; 1923-1985 ;  ; Al,Zn,Лат ; F/VF ; 36 ; волга ; 45 
 3597 ; Лот монет Югославии: 10шт ; 1953-1987 ;  ; Cu-Ni,Лат,Al ; F-VF/XF ; 22 ; lubopitnaja ; 56 
 3598 ; Лот монет ГДР и ФРГ: 14шт ; 1948-1978 ;  ; Al,Zn,Лат ; F/VF ; 29 ; Harlock ; 102 
 3599 ; Лот монет Чехословакии: 14шт ; 1955-1995 ;  ; Al,Cu-Ni,Лат ; VF/VF+ ; 26 ; Al0851 ; 56 
 3600 ; Лот монет Бельгии: 8шт ; 1952-1958 ;  ; Br ; VF-/VF ; 13 ; С Урала ; 41 
 3601 ; Лот монет Бельгии: 19шт ; 1942-1997 ;  ; Br,Cu-Ni,Zn ; F/VF ; 25 ; Ghjcnj ; 112 
 3602 ; Лот монет Бельгии: 10шт ; 1980-1988 ;  ; Латунь ; VF-/VF ; 13 ; koga ; 37 
 3603 ; Лот монет Аргентины: 6шт ; 1933-1948 ;  ; Cu-Ni,Br ; VF-/VF ; 25 ; zx123 ; 67 
 3604 ; Лот монет Исландии: 12шт ; 1959-1987 ;  ; Cu-Ni ; F-VF/VF+ ; 25 ; lielais ; 155 
 3605 ; Лот монет Кубы: 8шт ; 1968-1981 ;  ; Cu-Ni,Al ; F-VF/XF ; 27 ; Юбер ; 79 
 3606 ; Лот монет Румынии: 17шт ;  ;  ; Cu,Al,Cu-Ni ; F/VF- ; 31 ; Harlock ; 86 
 3607 ; Лот монет Бельгии: 12шт ; 1989-1998 ;  ; Cu-Ni ; VF+/XF ; 33 ; Harlock ; 54 
 3608 ; Лот монет Югославии: 8шт ; 1955-1977 ;  ; Cu-Ni,Лат ; F-VF/VF ; 22 ; Harlock ; 64 
 3609 ; Лот монет Югославии: 12шт ; 1955-1990 ;  ; Cu-Ni,Лат,Al ; F-VF/VF ; 24 ; Harlock ; 110 
 3610 ; Лот монет Кипра: 14шт ; 1955-1988 ;  ; Cu-Ni,Лат,Br ; VF-/VF ; 25 ; StanislavAK ; 175 
 3611 ; Лот монет Великобритании: 18шт ; 19 век, 1912-1974 ;  ; Br,Ni-Лат ; F/VF+ ; 3 ; grigoriKK ; 159 
 3512 ; Лот монет Швеции (32шт) ; 1977-1982 ;  ; Br ; VF/VF+ ; 21 ; koga ; 105 
 3513 ; Лот монет Дании (10шт) ; 1973-1978 ;  ; Cu-Ni ; VF/VF-XF ; 13 ; волга ; 24 
 3514 ; Лот монет Бельгии (8шт) ; 1949-1978 ;  ; Cu-Ni ; VF-/VF ; 22 ; koga ; 24 
 3515 ; Лот монет Дании (10шт) ; 1961-1967 ;  ; Cu-Ni ; VF/VF+ ; 27 ; StanislavAK ; 28 
 3516 ; Лот монет Испании (8шт) ; 1957-1983 ;  ; Cu-Ni ; VF/VF-X ; 12 ; Aleks72 ; 24 
 3517 ; Лот монет Франции (5шт) ; 1988-1991 ;  ; Би/м ; VF-/VF ; 23 ; Юбер ; 55 
 3518 ; Лот монет Франции (4шт) ; 1976-1978 ;  ; Al/Br ; VF/VF- ; 44 ; StanislavAK ; 45 
 3519 ; Лот монет Швеции (10шт) ; 1965-1982 ;  ; Cu-Ni ; VF/VF+ ; 61 ; Harlock ; 104 
 3520 ; Лот монет Норвегии (5шт) ; 1968-1983 ;  ; Cu-Ni ; VF/VF-XF ; 33 ; strestas ; 77 
 3521 ; Лот монет Нидерланды (16шт) ; 1948-1968 ;  ; Cu-Ni ; VF/VF-XF ; 19 ; Harlock ; 81 
 3522 ; Лот монет Норвегии (10шт) ; 1952-1971 ;  ; Cu-Ni ; VF/VF-XF ; 19 ; StanislavAK ; 67 
 3523 ; Лот монет Норвегии (8шт) ; 1953-1969 ;  ; Cu-Ni ; VF/VF-XF ; 27 ; StanislavAK ; 63 
 3524 ; Лот монет Швейцарии (4шт) ; 1946-1963 ;  ; Cu-Ni ; VF/VF-XF ; 9 ; t_v_v ; 37 
 3525 ; Лот монет Норвегии (10шт) ; 1952-1966 ;  ; Cu-Ni ; VF/VF-XF ; 43 ; StanislavAK ; 67 
 3526 ; Лот монет Норвегии (10шт) ; 1953-1966 ;  ; Cu-Ni ; VF/VF-XF ; 9 ; Searcher ; 46 
 3527 ; Лот монет Швейцарии (5шт) ; 1957-1976 ;  ; Cu-Ni ; VF/VF-XF ; 15 ; t_v_v ; 43 
 3528 ; Лот монет Дании (10шт) ; 1961-1970 ;  ; Би/м ; VF/VF+ ; 7 ; t_v_v ; 27 
 3529 ; Лот монет Чехославакии (7шт) ; 1972-1990 ;  ; Cu-Ni ; VF/VF+ ; 12 ; zx123 ; 25 
 3530 ; Лот монет Финляндии (20шт) ; 1963-1969 ;  ; Cu ; VF-/VF ; 30 ; Умка1975 ; 100 
 3531 ; Лот монет Норвегии (10шт) ; 1952-1968 ;  ; Cu-Ni ; VF/VF-XF ; 11 ; Searcher ; 46 
 3532 ; Лот монет Швеции (15шт) ; 1976-1984 ;  ; Br ; VF/VF+ ; 27 ; HRed767 ; 37 
 3533 ; Лот монет Норвегии, Швеции, Финляндии (10шт) ; 1956-1969 ;  ; Cu-Ni ; VF/VF-XF ; 20 ; t_v_v ; 46 
 3534 ; Лот монет Норвегии (10шт) ; 1952-1968 ;  ; Cu-Ni ; VF/VF-XF ; 31 ; Harlock ; 61 
 3535 ; Лот монет Дании (3шт) ; 1972-1983 ;  ; Cu-Ni ; VF/VF+ ; 46 ; strestas ; 61 
 3536 ; Лот монет Финляндии (15шт) ; 1963 ;  ; Cu ; VF-/VF+ ; 17 ; Умка1975 ; 73 
 3537 ; Лот монет Финляндии (20шт) ; 1963-1966 ;  ; Cu ; VF/VF+ ; 28 ; волга ; 102 
 3538 ; Лот монет Дании (10шт) ; 1949-1958 ;  ; Cu-Ni ; VF/VF+ ; 18 ; t_v_v ; 54 
 3539 ; Лот монет Норвегии (5шт) ; 1962-1982 ;  ; Cu-Ni ; VF/VF+ ; 44 ; StanislavAK ; 84 
 3540 ; Лот монет Финляндии (10шт) ; 1963-1992 ;  ; Al/Br,Cu-Ni ; VF/VF+ ; 9 ; Умка1975 ; 63 
 3541 ; Лот монет Норвегии (14шт) ; 1962-1973 ;  ; Cu-Ni ; VF/VF-XF ; 23 ; StanislavAK ; 70 
 3542 ; Лот монет Финляндии (20шт) ; 1963-1969 ;  ; Cu ; VF/VF+ ; 24 ; волга ; 102 
 3543 ; Лот монет Нидерланды (10шт) ; 1975-1979 ;  ; Cu-Ni ; VF+/XF ; 22 ; StanislavAK ; 46 
 3544 ; Лот монет Норвегии (10шт) ; 1952-1966 ;  ; Cu-Ni ; VF/VF-XF ; 12 ; Searcher ; 35 
 3545 ; Лот монет Финляндии (11шт) ; 1963-1977 ;  ; Cu,Al ; VF+/VF-XF ; 11 ; Умка1975 ; 64 
 3546 ; Лот монет Испании (15шт) ; 1957-1989 ;  ; Cu-Ni ; VF/VF+ ; 41 ; волга ; 39 
 3547 ; Лот монет Швеции (18шт) ; 1988-1990 ;  ; Cu-Ni ; VF-XF/XF ; 8 ; волга ; 58 
 3548 ; Лот монет ФРГ (14шт) ; 1950-1981 ;  ; Cu/St ; VF-/VF ; 21 ; alex995 ; 50 
 3549 ; Лот монет Испании (8шт) ; 1980 ;  ; Al/Br ; VF+/XF- ; 6 ; Aleks72 ; 23 
 3550 ; Лот монет Дании (10шт) ; 1973-1978 ;  ; Cu-Ni ; VF/VF+ ; 39 ; StanislavAK ; 67 
 3551 ; Лот монет Чехославакии (10шт) ; 1972-1990 ;  ; Cu-Ni ; VF/VF+ ; 13 ; Al0851 ; 42 
 3552 ; Лот монет США "Штаты": 1/4 доллара (50 шт) ; 1999-2008 ;  ; Cu-Ni ; AU ; 59 ; lielais ; 2218 
 3553 ; Лот монет Модавии и Грузии (4шт) ; 1993-2005 ;  ; Лат,St,Al ; VF-XF/XF ; 22 ; koga ; 57 
 3554 ; Лот монет Латвии (3шт) ; 1992,2008,2009 ;  ; Al/Br,Cu/Fe ; VF/XF- ; 14 ; teemu ; 57 
 3555 ; Лот монет Северной Кореи  "FAO"(7шт) ; 2002 ;  ; Лат,Al,Cu/Ni ; AU ; 125 ; ask ; 340 
 3556 ; Лот монет Литвы (8шт) ; 1991-2007 ;  ; Би/м,Al,Cu/Ni,Л ; VF+/XF- ; 52 ; Mikola_1 ; 131 
 3557 ; Лот монет Северной кореи "жИвотные"  (7шт) ; 2002 ;  ; Al ; AU ; 57 ; Aleks72 ; 308 
 3558 ; Лот монет Намибии: 6шт ; 1993-2010 ;  ; Cu-Ni,Лат,Би/м ; AU ; 4 ; Harlock ; 408 
 3559 ; Лот монет США (Президенты): 4шт ; 2010-2011 ;  ; Cu-Ni-Zn ; AU ; 3 ; Harlock ; 340 
 3560 ; Лот монет США (Президенты): 3шт ; 2009 ;  ; Cu-Ni-Zn ; AU ; 2 ; Harlock ; 239 
 3561 ; Лот монет США (Штаты): 5шт ; 2008 ;  ; Cu-Ni ; AU ; 25 ; Aleks72 ; 363 
 3462 ; Лот монет Великобритании, Испании, Дании, Португалии, Канады, Польши, Швеции, Нидерландов, Уругвая, Египта, Италии, Венесуэлы, ОАЭ,Исландии, Аргентины, Кореи, Чехословакии, Колумбии: 25шт ; 1972-2005 ;  ; Cu-Ni,лат,Би/м, ; VF/XF ; 15 ; Ghjcnj ; 295 
 3463 ; Лот монет Европы: 18шт. На одной монете отверстие ; 1948-2001 ;  ; Cu-Ni,St,Br,лат ; VF-/XF ; 15 ; волга ; 54 
 3464 ; Лот монет Юго-Восточной Азии: 15шт ; 1923-2008 ;  ; Cu-Ni,Al,лат ; F-VF/XF ; 18 ; zx123 ; 194 
 3465 ; Лот монет Латинской Америки: 12шт ; 1991-2010 ;  ; Би/м,Лат,Br,Cu- ; VF/AU ; 18 ; t_v_v ; 255 
 3466 ; Лот монет ЮАР: 6шт ; 1981-1989 ;  ; Cu-Ni,Br ; VF/VF+ ; 22 ; criss ; 173 
 3467 ; Лот монет Родезия: 5шт ; 1970-1977 ;  ; Cu-Ni,Br ; AU ; 22 ; criss ; 226 
 3468 ; Лот монет Намибии: 5шт ; 1993-1998 ;  ; Cu-Ni,Лат ; XF/AU ; 39 ; _1111_ ; 182 
 3469 ; Лот монет Ботсваны: 5шт ; 1998-2002 ;  ; Cu-Ni,Би/м,Br ; XF/AU ; 13 ; _1111_ ; 216 
 3470 ; Лот монет О-ва Св. Елены: 4шт ; 1997-1998 ;  ; Cu-Ni,Br ; VF+/VF-XF ; 28 ; patap100 ; 255 
 3471 ; Лот монет Сейшельских островов: 2шт ; 1987-1997 ;  ; Cu-Ni ; VF ; 34 ; Ghjcnj ; 79 
 3472 ; Лот монет Алжира: 4шт ; 1970-1974 ;  ; Al,лат ; F-VF/VF- ; 30 ; Ghjcnj ; 83 
 3473 ; Лот монет Пакистана: 4шт ; 1981-2001 ;  ; Cu-Ni,Br ; VF/VF-XF ; 33 ; vc57 ; 112 
 3474 ; Лот монет Израиля: 5шт ; 1961-1993 ;  ; Al,лат,Cu-Ni ; VF/VF+ ; 30 ; zx123 ; 28 
 3475 ; Лот монет Непала: 5шт ; 1974-2000 ;  ; Al ; VF+/AU ; 19 ; Ghjcnj ; 216 
 3476 ; Лот монет Бирмы (Аунг Сан): 5шт ; 1966 ;  ; Al ; VF+/VF-XF ; 42 ; t_v_v ; 135 
 3477 ; Лот монет Эквадора: 5шт ; 2000 ;  ; Ni/St,лат ; XF ; 11 ; alskr ; 141 
 3478 ; Лот монет США: 1 цент (2шт) ; 2010 ;  ; Cu-Zn ; AU ; 16 ; С Урала ; 16 
 3479 ; Лот монет Люксембурга: 2 евро (3шт) ; 2007-2009 ;  ; Би/м ; AU ; 68 ; cammal ; 553 
 3480 ; Лот монет Люксембурга: 2 евро (3шт) ; 2004-2009 ;  ; Би/м ; AU ; 50 ; vitalik72v ; 601 
 3481 ; Лот монет Люксембурга, Бельгии, Словении: 2 евро (3шт) ; 2011 ;  ; Би/м ; AU ; 39 ; vitalik72v ; 563 
 3482 ; Лот монет Люксембурга: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 34 ; Vov ; 426 
 3483 ; Лот монет Бельгии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2007-2011 ;  ; Би/м, Cu/St,лат ; AU ; 40 ; oleg_055 ; 348 
 3484 ; Лот монет Финляндии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м, Cu/St,лат ; AU ; 60 ; Vov ; 461 
 3485 ; Лот монет Германии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2002-2011 ;  ; Би/м, Cu/St,лат ; AU ; 77 ; zx123 ; 160 
 3486 ; Лот монет Германии: 1 евро, 50,20,10,5,2,1 евроцентов (7шт) ; 2002-2011 ;  ; Би/м, Cu/St,лат ; AU ; 30 ; grisha2401 ; 116 
 3487 ; Лот монет Финляндии: 50,20,10,5 евроцентов (4шт) ; 2011 ;  ; Cu/St, латунь ; AU ; 37 ; Умка1975 ; 99 
 3488 ; Лот монет США "Президенты": 1 доллар (5шт) ; 2004, 2011 ;  ; Латунь ; AU ; 55 ; andreyM ; 313 
 3489 ; Лот монет Хорватии (7шт) ; 1993-2009 ;  ; Al, Cu-Ni, лату ; VF/XF ; 29 ; teemu ; 77 
 3490 ; Лот монет Финляндии (6шт) ; 1966-1990 ;  ; Cu-Ni, ж/м ; VF/VF+ ; 29 ; Умка1975 ; 60 
 3491 ; Лот монет Финляндии (6шт) ; 1941-1988 ;  ; Al, Cu-Ni, ж/м ; VF-/VF+ ; 21 ; revun ; 102 
 3492 ; Лот монет Финляндии (7шт) ; 1921-1974 ;  ; Al, Cu-Ni, ж/м ; VF-/VF ; 22 ; Умка1975 ; 93 
 3493 ; Лот монет Греции: 3шт ; 1978-1988 ;  ; Cu-Ni,Лат ; VF/XF ; 1 ; temichek ; 20 
 3494 ; Лот монет Хорватии: 6шт ; 1999-2007 ;  ; Cu-Ni,Лат ; VF+/XF ; 37 ; AGM62 ; 84 
 3495 ; Лот монет Египта, Южной Африки, Туниса: 6шт ; 1973-2010 ;  ; Би/м,Br,Cu-Ni,л ; VF/AU ; 17 ; Юбер ; 68 
 3496 ; Лот монет Финляндии, Норвегии, Исландии, Швеции: 12шт ; 1968-2008 ;  ; Cu-Ni,Лат,Br ; VF/XF ; 35 ; strestas ; 130 
 3497 ; Лот монет Белиза: 4шт ; 2000-2007 ;  ; Cu-Ni,Al ; XF/AU ; 36 ; criss ; 193 
 3498 ; Лот монет Турции и Пакистана: 4шт ; 1961-1972 ;  ; St,Br,Al ; F/VF-XF ; 52 ; Aleks72 ; 113 
 3499 ; Лот монет Тайланда: 4шт ;  ;  ; Cu-Ni,лат ; VF/XF ; 9 ; koga ; 40 
 3500 ; Лот монет Южной Африки: 3шт ; 1965-1971 ;  ; Cu-Ni,Br ; VF-/VF-XF ; 23 ; Harlock ; 105 
 3501 ; Лот монет Швейцарии (4шт) ; 1883-1941 ;  ; Cu-Ni, ж/м ; F/F-VF ; 36 ; revun ; 122 
 3502 ; Лот монет Сирии (3шт) ; 20 век ;  ; Cu-Ni ; VF/VF-XF ; 46 ; Harlock ; 83 
 3503 ; Лот монет Венгрии: 7шт ; 1970-1994 ;  ; Cu-Ni,лат ; VF/VF+ ; 16 ; Harlock ; 72 
 3504 ; Лот монет Испании (18шт) ; 1917-1980 ;  ; Al/Br ; VF-/XF- ; 16 ; Aleks72 ; 85 
 3505 ; Лот монет ФРГ (22шт) ; 1950-1979 ;  ; Br ; VF-/VF+ ; 39 ; Aleks72 ; 116 
 3506 ; Лот монет Дании (10шт) ; 1951-1958 ;  ; Cu-Ni ; VF/VF-XF ; 28 ; StanislavAK ; 42 
 3507 ; Лот монет Дании (6шт) ; 1953-1958 ;  ; Cu-Ni ; VF/VF-XF ; 17 ; StanislavAK ; 24 
 3508 ; Лот монет Дании (15шт) ; 1954-1986 ;  ; Cu-Ni ; VF+/VF-XF ; 39 ; StanislavAK ; 47 
 3509 ; Лот монет Дании (10шт) ; 1973-1986 ;  ; Cu-Ni ; VF+/XF- ; 13 ; StanislavAK ; 34 
 3510 ; Лот монет ФРГ (19шт) ; 1949-1994 ;  ; Лат/St ; VF-/VF+ ; 43 ; lubopitnaja ; 187 
 3511 ; Лот монет Франции (14шт) ; 1963-1996 ;  ; Al/Br ; VF-/VF+ ; 16 ; нэри ; 46 
 3412 ; 200 марок. Финляндия ; 1957Н ;  ; Ag ; XF+ ; 30 ; gurtov ; 306 
 3413 ; 100 марок. Финляндия ; 1956Н ;  ; Ag ; AU ; 41 ; westof ; 219 
 3414 ; 100 марок. Финляндия ; 1957Н ;  ; Ag ; AU ; 23 ; gurtov ; 255 
 3415 ; 1 цент. США. Индеец. В капсуле NGC ; 1888 ;  ; Br ; F 12 ; 117 ; dbnfvby ; 816 
 3416 ; 1/2 доллара. США. 100 лет Статуе Свободы. В подарочной коробке, с сертификатом ; 1986S ;  ; Cu-Ni ; Proof ; 37 ; Aleks72 ; 478 
 3417 ; 1/2 доллара. США. Bald Eagle. В подарочной коробке, с сертификатом ; 2008S ;  ; Cu-Ni ; Proof ; 31 ; dbnfvby ; 779 
 3418 ; 1/2 доллара. США. Кеннеди. В подарочной коробке ; 1968D ;  ; Ag, эмаль ; Unc ; 71 ; dbnfvby ; 922 
 3419 ; 1/2 доллара. США. Кеннеди. В коробке, с сертификатом ; 2003 ;  ; Cu-Ni ; AU ; 88 ; dbnfvby ; 995 
 3420 ; 1/4 доллара. США. Мировой торговый центр Нью-Йорка. В коробке, с сертификатом ; 2001 ;  ; Cu-Ni ; AU ; 50 ; dbnfvby ; 606 
 3421 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка ; 1971S ;  ; Cu-Ni, Cu-Zn ; Proof ; 51 ; купидон ; 432 
 3422 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка ; 1972S ;  ; Cu-Ni, Cu-Zn ; Proof ; 41 ; Freezzzz ; 660 
 3423 ; Годовой набор монет США: 1 доллар, 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (6шт). Пластиковая упаковка ; 1976 ;  ; Cu-Ni, Cu-Zn ; Proof ; 51 ; купидон ; 435 
 3424 ; Годовой набор монет США: 1 доллар, 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (6шт). Пластиковая упаковка ; 1979 ;  ; Cu-Ni, Cu-Zn ; Proof ; 52 ; купидон ; 371 
 3425 ; Годовой набор монет США: 1 доллар, 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (6шт). Пластиковая упаковка ; 1980 ;  ; Cu-Ni, Cu-Zn ; Proof ; 39 ; саров ; 363 
 3426 ; Годовой набор монет США: 1 доллар, 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (6шт). Пластиковая упаковка ; 1982 ;  ; Cu-Ni, Cu-Zn ; Proof ; 50 ; саров ; 361 
 3427 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка ; 1985 ;  ; Cu-Ni, Cu-Zn ; Proof ; 30 ; купидон ; 381 
 3428 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1986 ;  ; Cu-Ni, Cu-Zn ; Proof ; 44 ; купидон ; 395 
 3429 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1988 ;  ; Cu-Ni, Cu-Zn ; Proof ; 38 ; купидон ; 340 
 3430 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1989 ;  ; Cu-Ni, Cu-Zn ; Proof ; 30 ; veter 9 ; 417 
 3431 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1990 ;  ; Cu-Ni, Cu-Zn ; Proof ; 32 ; veter 9 ; 453 
 3432 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1991 ;  ; Cu-Ni, Cu-Zn ; Proof ; 34 ; купидон ; 402 
 3433 ; Годовой набор монет США: 1/2 доллара, 1/4 доллара, 5 центов, 1 цент, 1 дайм (5шт). Пластиковая упаковка. С сертификатом ; 1992 ;  ; Cu-Ni, Cu-Zn ; Proof ; 22 ; купидон ; 340 
 3434 ; Набор монет США "Т. Джефферсон": 1 доллар (2шт). В коробке, с сертификатом ; 2007 ;  ; Латунь ; AU ; 30 ; саров ; 122 
 3435 ; Набор монет США "А. Линкольн": 1 доллар (2шт). В коробке, с сертификатом ; 2010 ;  ; Латунь ; AU ; 19 ; саров ; 126 
 3436 ; Набор монет США "Мухаммед Али":1/2 доллара, 1/4 доллара (2шт). В коробке, с сертификатом ; 2001, 2009 ;  ; Cu-Ni, позолота ; AU ; 101 ; dbnfvby ; 538 
 3437 ; Набор монет США "Президенты: Филлмор, Пирс, Линкольн, Бьюкенен ": 1 доллар (4шт). В коробке, с сертификатом ;  ;  ; Латунь ; AU ; 105 ; dbnfvby ; 517 
 3438 ; Набор монет США "75 лет со дня рождения Элвиса Пресли":1/2 доллара, 1/4 доллара (2шт). В коробке, с сертификатом ; 2002, 2009 ;  ; Cu-Ni, позолота ; AU ; 78 ; veter 9 ; 440 
 3439 ; Набор монет США "Ураган "Катрина": 1/4 доллара (3шт). Цветные. В коробке, с сертификатом ; 2002 ;  ; Cu-Ni ; AU ; 133 ; dbnfvby ; 419 
 3440 ; Набор монет США (Штаты: Иллиноис, Алабама, Мэн, Миссури, Арканзас): 1/4 доллара (5шт). Пластиковая упаковка. С сертификатом ; 2003S ;  ; Cu-Ni ; Proof ; 114 ; lielais ; 408 
 3441 ; Лот монет США: 5 центов (5шт) ; 2004-2006 ;  ; Cu-Ni ; XF/AU ; 25 ; Юбер ; 65 
 3442 ; Лот монет США: 5 центов (5шт) ; 2004-2006 ;  ; Cu-Ni ; XF/AU ; 54 ; rem16 ; 67 
 3443 ; Лот монет США: 1/4 доллара (12шт) ; 1971-2004 ;  ; Cu-Ni ; VF/AU ; 18 ; Моряк-собиратель ; 104 
 3444 ; Лот монет Бельгии (4шт): 5,10,25 сантимов, 2 франка ; 1942-1944 ;  ; Zn,Fe ; F ; 30 ; revun ; 72 
 3445 ; Лот монет Греции (3шт): 50 лепт, 2,20 драхм ; 1954-1976 ;  ; Cu/Ni ; VF-/VF ; 30 ; StanislavAK ; 62 
 3446 ; Лот монет Норвегии (4шт): 1,5,10 эре ; 1940-1941 ;  ; Br,Fe,Cu/Ni ; F/VF ; 7 ; С Урала ; 36 
 3447 ; Лот монет Румынии (4шт): 25 бани, 3,5 лей ; 1942-1982 ;  ; Zn,Al,St/Ni ; F/F-VF ; 30 ; krugerrand ; 43 
 3448 ; Лот монет Швеции (5шт): 1,10,25 эре ; 1940-1944 ;  ; Fe,Ni/Br ; F/F-VF ; 10 ; С Урала ; 48 
 3449 ; Лот монет Малайи и Британского Борнео (3шт): 5,10,20 центов ; 1948-1961 ;  ; Cu/Ni ; VF-/VF ; 58 ; Опятор ; 162 
 3450 ; Лот монет  Цейлона (3шт): 5,10,25 центов ; 1942-1944 ;  ; Ni/Лат ; VF-/VF ; 43 ; andreyM ; 213 
 3451 ; Лот монет Туниса (4шт): 5,50,100 миллимов, 1 динар ; 1960-1983 ;  ; Al,Cu/Ni, лат ; VF-/VF ; 34 ; С Урала ; 42 
 3452 ; Лот монет Кубы, Тринидад и Тобаго, Ямайки (3шт): 5 сентаво, 5,25 центов ; 1993-2000 ;  ; Cu/Ni,St/Ni ; VF+/XF+ ; 14 ; Атлантик ; 48 
 3453 ; Лот монет Австрии и Германии: 2шт ; 1895,1914 ;  ; Cu-Ni ; VF/VF- ; 45 ; westof ; 85 
 3454 ; Лот иностранных монет "Фауна" (20шт) ; XXв ;  ; Ag,Cu/Ni,Cu,Al ; VF/VF+ ; 48 ; Ghjcnj ; 492 
 3455 ; Лот монет Великобритании, Германии, Бельгии, Австрии, Польши, Австрии, Швеции (10шт) ; 1896-1954 ;  ; Ag,Cu/Ni,Cu,Zn ; F/VF ; 54 ; Ghjcnj ; 293 
 3456 ; Лот монет Прибалтики (12шт) ; 1922-1939 ;  ; Ag,Cu/Ni,Cu ; F/VF- ; 54 ; criss ; 598 
 3457 ; Лот монет ГДР, США, Дании, Швеции (4шт) ; 1966-1976 ;  ; Cu/Ni,Cu ; XF-/XF ; 82 ; cammal ; 257 
 3458 ; Лот монет Кубы (5шт) ; 1962-1992 ;  ; Cu/Ni,Al ; VF+/XF+ ; 35 ; criss ; 156 
 3459 ; Лот монет Мозамбика, Анголы, Испании, Гамбии, Франции, Восточной Экваториальной Африки, Гондураса (9шт) ; 1966-1992 ;  ; Cu/Ni,Al/Br,Al ; VF/VF-XF ; 40 ; zx123 ; 203 
 3460 ; Лот евромонет Италии (7шт): 1 евроцент ; 2002-2008 ;  ; Cu/Fe ; VF/VF+ ; 15 ; С Урала ; 32 
 3461 ; Лот монет Финляндии, Израиля, Польши, ФРГ, Словакии, Испании, Великобритании, ГДР, Эстонии, Бельгии, Австрии, Греции, Тайланда, Италии, Дании: 25шт ; 1961-2000 ;  ; Cu-Ni,лат ; VF-/VF-XF ; 24 ; micha375 ; 261 
 3362 ; 10 пфеннигов. Веймар ; 1935J ;  ; Al/Br ; AU ; 33 ; лесной ; 306 
 3363 ; 10 центов. Кения ; 1984 ;  ; лат ; XF+ ; 12 ; rahmn ; 28 
 3364 ; 1 крона. Дания ; 1947 ;  ; лат ; AU ; 20 ; 1456 ; 165 
 3365 ; 1 франк. Франция ; 1922 ;  ; Al/Br ; AU ; 31 ; 1456 ; 125 
 3366 ; 50 сантимов. Франция ; 1922 ;  ; Al/Br ; AU ; 18 ; 1456 ; 125 
 3367 ; 2 доллара. Австралия ; 1988 ;  ; лат ; XF ; 22 ; rahmn ; 135 
 3368 ; 50 пиастров. Египет ; 2007 ;  ; лат ; AU ; 23 ; Aleks72 ; 23 
 3369 ; 1 фунт. Египет ; 2007 ;  ; Би/м ; AU ; 22 ; Aleks72 ; 60 
 3370 ; 2 евро. Финляндия. Права человека ; 2008 ;  ; Би/м ; XF ; 43 ; vc57 ; 208 
 3371 ; 2 евро. Финляндия. 90 лет независимости Финляндии ; 2007 ;  ; Би/м ; AU ; 41 ; oleg_055 ; 272 
 3372 ; 5 евро. Финляндия. Остроботния ; 2011 ;  ; Би/м ; AU ; 16 ; vitalik72v ; 351 
 3373 ; 5 евро. Финляндия. Аландские острова ; 2011 ;  ; Би/м ; AU ; 39 ; nikitin782 ; 419 
 3374 ; 5 евро. Финляндия. Лапландия ; 2011 ;  ; Би/м ; AU ; 27 ; vitalik72v ; 410 
 3375 ; 2 скиллинга. Норвегия ; 182? ;  ; Cu ; F ; 49 ; ADD ; 79 
 3376 ; 10 сентимов. Франция ; 1853 ;  ; Cu ; VF- ; 32 ; sever1967 ; 142 
 3377 ; 1 цент. Канада ; 1913 ;  ; Cu ; VF ; 35 ; pvg ; 123 
 3378 ; 1 цент. Канада ; 1918 ;  ; Cu ; VF- ; 17 ; Юбер ; 51 
