 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 4306 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ; VF+ ; 66 ; verunk1 ; 6630 
 4307 ; 3 рубля золотом ; 1924 ; Гос.казначейские билеты СССР ;  ; VF ; 57 ; lvd ; 35700 
 4308 ; 5 червонцев ; 1937 ; Билет ;  ; XF ; 90 ; biker58rus ; 2223 
 4309 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 67 ; каламбурчик ; 2550 
 4310 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 73 ; каламбурчик ; 2040 
 4311 ; 100 рублей ; 1947 ; билет ;  ; XF+ ; 69 ; sdfg ; 2408 
 4312 ; Лот бон.3шт.500 рублей 1912г. ; 1912 ;  ;  ; F ; 117 ; pref ; 547 
 4313 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ; VF ; 40 ; obr73 ; 876 
 4104 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 41 ; biker58rus ; 269 
 4105 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 61 ; krut0803 ; 203 
 4106 ; 5 копеек ; 1985 ;  ;  ;  ; 56 ; Хакас ; 271 
 4107 ; 2 гривни ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 37 ; Cuff ; 102 
 4108 ; 25 рублей. Красноярск ; 1919 ;  ;  ; AU ; 51 ; kirkar ; 1622 
 4109 ; 1 рубль ; 1918 ;  ;  ; AU ; 111 ; GenyM ; 1020 
 4110 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 62 ; verunk1 ; 270 
 4111 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 36 ; verunk1 ; 269 
 4112 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 46 ; комот ; 419 
 4113 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 81 ; biker58rus ; 505 
 4114 ; 5 рублей ; 1909 ; Денежные знаки ;  ; AU ; 66 ; verunk1 ; 261 
 4115 ; 5 рублей ; 1909 ; Денежные знаки ;  ; AU ; 30 ; verunk1 ; 261 
 4116 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 43 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 351 
 4117 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 85 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 383 
 4118 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 56 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 325 
 4119 ; 1 копейка. Без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 49 ; verunk1 ; 2255 
 4120 ; 2 копейки. Без надпечатки ; 1915 ; Деньги-марки ;  ; AU ; 44 ; verunk1 ; 2274 
 4121 ; 20 копеек. Ростов ;  ;  ;  ; AU ; 70 ; МОЁ ; 1587 
 4122 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 14 ; bonipari ; 357 
 4123 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ; AU ; 41 ; Woker ; 1020 
 4124 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 9 ; medved09 ; 306 
 4125 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 15 ; joper69 ; 300 
 4126 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 53 ; Хакас ; 1587 
 4127 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 50 ; каламбурчик ; 426 
 4128 ; 50 копеек ;  ;  ;  ; AU ; 60 ; dragonfly ; 351 
 4129 ; 3 рубля ; 1919 ; Грузия ;  ; AU ; 24 ; kirkar ; 555 
 4130 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 34 ; Хакас ; 612 
 4131 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ; AU ; 77 ; _1111_ ; 577 
 4132 ; 20 крон. Образец ; 1944 ;  ;  ; AU ; 12 ; Sky2 ; 340 
 4133 ; 100 крон. Образец ; 1944 ;  ;  ; AU ; 45 ; verunk1 ; 682 
 4134 ; 5000000 марок ; 1923 ;  ;  ; AU ; 73 ; obr73 ; 151 
 4135 ; 500 крон. Образец ; 1944 ;  ;  ; AU ; 28 ; verunk1 ; 726 
 4136 ; 1000 крон. Образец ; 1944 ;  ;  ; AU ; 25 ; verunk1 ; 465 
 4137 ; 10000 рублей ; 1919 ;  ;  ; AU ; 56 ; bon15041980 ; 682 
 4138 ; 1000 рублей ; 1919 ;  ;  ; AU ; 48 ; mich555 ; 1351 
 4139 ; 1000 рублей ; 1919 ;  ;  ; XF- ; 86 ; GenyM ; 922 
 4140 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 31 ; serg98 ; 601 
 4141 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 26 ; off ; 943 
 4142 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 55 ; biker58rus ; 744 
 4143 ; 3 рубля ; 1934 ; Гос.казначейские билеты ;  ;  ; 41 ; verunk1 ; 7933 
 4144 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 66 ; Andrak ; 1111 
 4145 ; 15000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 60 ; krut0803 ; 1222 
 4146 ; 15000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 47 ; Хакас ; 3939 
 4147 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 59 ; mep58 ; 4045 
 4148 ; 1 рубль ; 1924 ; Гос.казначейские билеты СССР ;  ;  ; 73 ; сс400 ; 3005 
 4149 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 32 ; mep58 ; 4023 
 4150 ; 5 червонцев. Пятаков ; 1928 ; Билет ;  ;   ; 41 ; verunk1 ; 32436 
 4151 ; Акция. Харьков ; 1894 ;  ;  ;  ; 15 ; himik121 ; 330 
 4152 ; Облигация ; 1896 ;  ;  ;  ; 17 ; 161rus ; 410 
 4153 ; Облигация ; 1896 ;  ;  ;  ; 16 ; 161rus ; 410 
 4054 ; 10 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 10 ; don-juras ; 61 
 4055 ; 1 рубль. Тифлис ;  ;  ;  ;  ; 51 ; k212 ; 654 
 4056 ; 25 копеек. Юденич ; 1919 ;  ;  ;  ; 17 ; smel ; 488 
 4057 ; 5 рублей ;  ;  ;  ;  ; 17 ; Хакас ; 94 
 4058 ; 1 рубль ;  ;  ;  ;  ; 69 ; alex241 ; 150 
 4059 ; 25 рублей ; 1961 ; билет ;  ;  ; 4 ; KYZIA ; 55 
 4060 ; 25 рублей ; 1961 ; Приднестровье ;  ;  ; 64 ; vladzory ; 403 
 4061 ; 10 рублей ; 1991 ; Приднестровье ;  ;  ; 18 ; vladzory ; 393 
 4062 ; 100 рублей ; 1991 ; Приднестровье ;  ;  ; 20 ; vladzory ; 373 
 4063 ; 50 рублей ; 1961 ; билет ;  ;  ; 16 ; карпер ; 126 
 4064 ; 50 рублей ; 1992 ; Приднестровье ;  ;  ; 15 ; vladzory ; 202 
 4065 ; 50 рублей ; 1991 ; Приднестровье ;  ;  ; 32 ; vladzory ; 363 
 4066 ; 50 рублей ; 1991 ; билет ;  ;  ; 11 ; карпер ; 50 
 4067 ; 100 рублей ; 1991 ; билет ;  ;  ; 20 ; карпер ; 50 
 4068 ; 100 рублей ; 1991 ; билет ;  ;  ; 38 ; havana ; 53 
 4069 ; 200 рублей ; 1991 ; билет ;  ;  ; 16 ; baron ; 132 
 4070 ; 200 рублей ; 1991 ; билет ;  ;  ; 44 ; xct ; 101 
 4071 ; 200 рублей ; 1992 ; Приднестровье ;  ;  ; 49 ; vladzory ; 209 
 4072 ; 1000 рублей ; 1992 ; билет ;  ;  ; 37 ; rim ; 83 
 4073 ; 1000 рублей ; 1992 ; билет ;  ;  ; 19 ; havana ; 59 
 4074 ; 1000 рублей ; 1992 ; Приднестровье ;  ;  ; 9 ; vladzory ; 203 
 4075 ; 1000 рублей ; 1991 ; Приднестровье ;  ;  ; 17 ; vladzory ; 633 
 4076 ; 5000 рублей ; 1992 ; Приднестровье ;  ;  ; 65 ; vladzory ; 260 
 4077 ; 5000 рублей ; 1992 ;  ;  ;  ; 54 ; BAG ; 134 
 4078 ; 5000 рублей ; 1992 ;  ;  ;  ; 15 ; 199z ; 53 
 4079 ; 10000 рублей ; 1992 ; Приднестровье ;  ;  ; 5 ; 199z ; 163 
 4080 ; 500 рублей ; 1992 ; Приднестровье ;  ;  ; 8 ; vladzory ; 203 
 4081 ; 500 рублей ; 1992 ; билет ;  ;  ; 34 ; rim ; 204 
 4082 ; 500 рублей ; 1991 ; Приднестровье ;  ;  ; 16 ; vladzory ; 633 
 4083 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 123 ; про ; 703 
 4084 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 51 ; rsmmm ; 969 
 4085 ; 5000 рублей ; 1993 ; банкнота ;  ;  ; 64 ; cochu ; 313 
 4086 ; 5000 рублей ; 1994 ; банкнота ;  ;  ; 52 ; rsmmm ; 628 
 4087 ; 10 юаней ; 1942 ;  ;  ;  ; 29 ; Хакас ; 357 
 4088 ; Билет лотереи ; 1991 ;  ;  ;  ; 35 ; solder13 ; 50 
 4089 ; 100 юаней ; 1941 ;  ;  ;  ; 61 ; Хакас ; 408 
 4090 ; 10 юаней ; 1937 ;  ;  ;  ; 36 ; sdfg ; 385 
 4091 ; 250 рублей ; 1919 ; Армения ;  ;  ; 36 ; Lasto4kaSPB ; 105 
 4092 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 19 ; К215 ; 133 
 4093 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 12 ; Lasto4kaSPB ; 101 
 4094 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 10 ; Lasto4kaSPB ; 101 
 4095 ; 250 рублей ; 1918 ; Закавказье ;  ;  ; 39 ; Lasto4kaSPB ; 101 
 4096 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; Cuff ; 57 
 4097 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; Cuff ; 104 
 4098 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; Alex75 ; 169 
 4099 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 35 ; ML ; 123 
 4100 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; SergeyAnatoljevich ; 151 
 4101 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 82 ; biker58rus ; 302 
 4102 ; 1 рубль ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 101 ; biker58rus ; 226 
 4103 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 78 ; albar ; 379 
 3451 ; Лот монет США (Президенты): 3шт ; 2010-2011 ;  ; Cu-Ni-Zn ; AU ; 16 ; veter 9 ; 308 
 3452 ; Лот монет Мавритании: 4шт ; 2009-2010 ;  ; Cu-Ni,Лат,Би/м ; AU ; 4 ; vc57 ; 465 
 3453 ; Лот монет Малави: 6шт ; 1996-2003 ;  ; Ni/St,Br,лат ; AU ; 6 ; krut0803 ; 277 
 3454 ; Лот монет Центрального банка Западноафриканских государств: 8шт ; 2002-2009 ;  ; Лат,Би/м,St,Cu- ; AU ; 17 ; aurin1 ; 551 
 3455 ; Лот монет Грузии: 3шт ; 2010 ;  ; Cu-Ni,Би/м ; AU ; 6 ; Mike! ; 255 
 3456 ; Лот монет Омана: 5шт ; 1984-2008 ;  ; Cu-Ni,Br ; AU ; 5 ; sveta6369 ; 284 
 3457 ; Лот монет Сан Марино (4шт) ; 1973 ;  ; Al, латунь ; AU ; 14 ; Mikola_1 ; 186 
 3458 ; Лот монет Багам (5шт) ; 1974 ;  ; Cu-Ni, латунь ; Proof ; 92 ; _1111_ ; 443 
 3459 ; Лот монет Бельгии (3шт) ; 1970-1981 ;  ; Cu-Ni, Al/Br ; VF-/VF ; 7 ; taigist ; 35 
 3460 ; Лот монет Франции (6шт) ; 1971-1991 ;  ; Cu-Ni, би/м, ж/ ; VF+/XF ; 18 ; joper69 ; 41 
 3461 ; Лот монет Германии (6шт) ; 1950-1982 ;  ; Cu-Ni, ж/м ; VF-/VF ; 9 ; buben ; 42 
 3462 ; Лот монет Германии (10шт) ; 1950-1991 ;  ; Ж/м ; VF/XF ; 32 ; zelya ; 38 
 3463 ; Лот монет Германии (9шт) ; 1950-1982 ;  ; Cu ; VF-/VF ; 36 ; zelya ; 40 
 3464 ; Лот монет Турции (3шт) ; 1989-2005 ;  ; Би/м,Cu-Ni, ж/м ; VF-/VF+ ; 14 ; alex995 ; 21 
 3465 ; Лот монет Австрии (4шт) ; 1969-1986 ;  ; Al, Cu-Ni, ж/м ; VF/VF+ ; 13 ; taigist ; 55 
 3466 ; Лот монет США (7шт) ; 1973-2004 ;  ; Cu-Ni, Cu-Zn ; VF/VF+ ; 81 ; veter 9 ; 141 
 3467 ; Лот монет Венгрии (5шт) ; 1972-1986 ;  ; Al, Cu-Ni, ж/м ; VF/VF+ ; 58 ; 2262н ; 63 
 3468 ; Лот монет Португалии (4шт) ; 1980-1990 ;  ; Би/м, Cu-Ni ; VF-/VF+ ; 37 ; a54 ; 33 
 3469 ; Лот монет США (5шт) ; 1940-1947 ;  ; Cu-Zn ; VF-/VF+ ; 23 ; Habibulin ; 62 
 3470 ; Лот монет Эстонии (7шт) ; 1991-2007 ;  ; Al, ж/м ; VF-/VF+ ; 13 ; vladzory ; 54 
 3471 ; Лот монет Швейцарии (4шт) ; 1957-1981 ;  ; Cu-Ni ; VF-/VF+ ; 27 ; Gari 77 ; 55 
 3472 ; Лот монет США (3шт): 1/4 доллара ; 1970,1974,1977 ;  ; Cu/Ni ; VF-/VF ; 27 ; Harlock ; 62 
 3473 ; Лот монет США (4шт): 1/4 доллара ; 1965,1967,1979,1978 ;  ; Cu/Ni ; VF-/VF ; 13 ; Harlock ; 82 
 3474 ; Лот евромонет Финляндии, Испании, Греции (3шт): 5 евроцентов ; 2002,2005 ;  ; Cu/St ; VF+/XF- ; 19 ; vladimir-sirke ; 18 
 3475 ; Лот евромонет Австрии, Германии, Италии, Ирландии (4шт): 5 евроцентов ; 2002,2008 ;  ; Cu/St ; XF-/AU ; 19 ; vladimir-sirke ; 18 
 3476 ; Лот евромонет Австрии, Эстонии, Бельгии, Италии (4шт): 50 евроцентов ; 2002,2009,2011 ;  ; Латунь ; XF-/XF+ ; 48 ; t_v_v ; 82 
 3477 ; Лот евромонет Финляндии, Испании, Словении (3шт): 50 евроцентов ; 2000,2009 ;  ; Латунь ; XF-/XF ; 29 ; t_v_v ; 68 
 3478 ; Лот евромонет Люксембурга, Бельгии, Франции (3шт): 2 евро ; 2007,2009 ;  ; Би/м ; XF-/AU ; 19 ; filtr ; 329 
 3479 ; Лот евромонет Австрии, Франции, Эстонии (3шт): 10 евроцентов ; 2002,2007,2011 ;  ; Латунь ; XF-/XF+ ; 29 ; vladimir-sirke ; 27 
 3480 ; Лот евромонет Финляндии, Италии, Нидерландов, Германии  (4шт): 10 евроцентов ; 1999,2007,2002 ;  ; Латунь ; XF-/XF ; 31 ; vladimir-sirke ; 29 
 3481 ; Лот монет Италии (6шт) ; 1955,1981,1975,1981 ;  ; St,Al ; VF-/VF+ ; 2 ; 542 ; 43 
 3482 ; Лот монет Германии (6шт) ; 1897-1978 ;  ; Cu/Ni,Cu,Al ; F-VF/VF ; 13 ; zelya ; 122 
 3483 ; Лот монет Австрии (4шт) ; 1974-1990 ;  ; Cu/Ni,Al,Zn ; F/VF- ; 27 ; 2262н ; 66 
 3484 ; Лот монет Германии (4шт) ; 1949-1990 ;  ; Cu,Al/Br ; VF-/VF ; 8 ; 542 ; 25 
 3485 ; Лот монет Норвегии (6шт): 10 эре ; 1924-1989 ;  ; Cu/Ni ; VF/VF+ ; 2 ; 542 ; 63 
 3486 ; Лот монет Швеции (3шт) ; 1965,1972,1979 ;  ; Cu/Ni ; VF/VF+ ; 4 ; 542 ; 35 
 3487 ; Лот монет Испании (3шт) ; 1966,1986,1975 ;  ; Cu/Ni,Al/Br ; VF/VF- ; 2 ; 542 ; 35 
 3488 ; Лот монет Великобритании (4шт): 1 пенни ; 1986-2007 ;  ; Cu ; VF/XF- ; 8 ; комот ; 23 
 3489 ; Лот монет Германии (15шт): 1 пфенниг ; 1950-1996 ;  ; Cu ; VF+/XF ; 3 ; alex995 ; 65 
 3490 ; Лот монет Великобритании (23шт): 1 пенни ; 1971-2003 ;  ; Cu ; VF/XF- ; 43 ; Cuff ; 116 
 3491 ; Лот монет Германии (10шт): 2 пфеннига ; 1965-1995 ;  ; Cu ; VF/VF-XF ; 8 ; xct ; 35 
 3492 ; Лот монет Канады (4шт): 1 цент ; 1989,2007 ;  ; Cu ; XF-/XF ; 5 ; 542 ; 26 
 3493 ; Лот монет Чехословакии, Норвегии, Франции, Финляндии, Испании (5шт) ; 1965-1994 ;  ; Cu/Ni,Al/Br,Cu ; VF/VF+ ; 28 ; t_v_v ; 49 
 3494 ; Лот монет Венгрии (9шт) ; 1968-2004 ;  ; Al,лат ; F-VF/VF ; 3 ; 542 ; 44 
 3495 ; Лот монет Венгрии (6шт) ; 1970-2003 ;  ; Cu/Ni,Al/Br ; VF/VF+ ; 4 ; 542 ; 35 
 3496 ; Лот монет Великобритании (6шт): 5 пенсов ; 1990-2007 ;  ; Cu/Ni ; VF-/VF ; 9 ; olga42 ; 87 
 3497 ; Лот монет Бельгии, Нидерландов, Испании, Португалии, Гон-Конга (7шт) ; 1942-1980 ;  ; Cu/Ni,Cu,Zn ; VF/VF+ ; 22 ; валери ; 72 
 4051 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 68 ; Синица ; 567 
 4052 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 47 ; Синица ; 306 
 4053 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 98 ; Woker ; 714 
 3401 ; Лот монет Люксембурга: 2 евро (3шт) ; 2004-2009 ;  ; Би/м ; AU ; 31 ; vc57 ; 357 
 3402 ; Лот монет Люксембурга: 2 евро (3шт) ; 2007-2009 ;  ; Би/м ; AU ; 21 ; kirkar ; 257 
 3403 ; Лот монет Люксембурга, Бельгии, Словении: 2 евро (3шт) ; 2011 ;  ; Би/м ; AU ; 12 ; Ronald ; 379 
 3404 ; Лот монет Финляндии: 50,20,10,5,2,1 евроцентов (6шт) ; 2011 ;  ; Cu/St, латунь ; AU ; 16 ; Mikola_1 ; 51 
 3405 ; Лот монет Люксембурга: 5,2,1 евроцентов (3шт) ; 2011 ;  ; Cu/St ; AU ; 24 ; solder13 ; 34 
 3406 ; Лот монет Бельгии: 5,2,1 евроцентов (3шт) ; 2007-2011 ;  ; Cu/St ; AU ; 28 ; Cuff ; 27 
 3407 ; Лот монет США "Президенты": 1 доллар (5шт) ; 2009, 2011 ;  ; Латунь ; AU ; 52 ; Habibulin ; 355 
 3408 ; Лот монет Германии: 1 евро, 50,20,10,5,2,1 евроцентов (7шт) ; 2002-2011 ;  ; Би/м, Cu/St, ла ; AU ; 81 ; Cuff ; 110 
 3409 ; Лот монет США: 1 цент (2шт) ; 2010, 2010D ;  ; Cu-Zn ; AU ; 23 ; veter 9 ; 53 
 3410 ; Лот монет Финляндии (6шт) ; 1935-1951 ;  ; Cu, Zn ; F/F-VF ; 69 ; владизапад ; 113 
 3411 ; Лот монет Великобритании (12шт) ; 1971-2008 ;  ; Cu-Ni, Br ; VF/VF+ ; 20 ; Al0851 ; 58 
 3412 ; Лот монет Финляндии (6шт) ; 1937-1954 ;  ; Cu-Ni, Br ; VF/VF+ ; 37 ; vladimir-sirke ; 105 
 3413 ; Лот монет Финляндии (7шт) ; 1973-1994 ;  ; Би/м, Cu-Ni, ж/ ; VF/XF- ; 19 ; zx123 ; 41 
 3414 ; Лот монет Финляндии (7шт) ; 1961-1991 ;  ; Al, Cu-Ni, ж/м ; VF/VF+ ; 21 ; buver ; 33 
 3415 ; Лот монет Хорватии (7шт) ; 1993-2009 ;  ; Al, Cu-Ni, ж/м ; VF/XF ; 22 ; StanislavAK ; 81 
 3416 ; Лот монет Швеции, США, Испании, Финляндии, Украины, ГДР + жетон: 8шт ; 1981-2005 ;  ; Cu-NI,Лат,Cu/St ; VF+/VF-XF ; 61 ; strestas ; 101 
 3417 ; Лот монет Люксембурга: 3шт ; 1961-1980 ;  ; Cu-Ni ; VF/VF- ; 33 ; 2372 ; 67 
 3418 ; Лот монет Испании: 8шт ; 1957-1988 ;  ; Cu-Ni,лат ; VF-/VF+ ; 33 ; комот ; 46 
 3419 ; Лот монет Швеции и Дании: 9шт ; 1964-1988 ;  ; Cu-Ni,Br ; F-VF/VF ; 17 ; Andrak ; 33 
 3420 ; Лот монет Африки: 8шт ; 1969-2002 ;  ; Cu-Ni,лат ; VF-/VF ; 34 ; t_v_v ; 146 
 3421 ; Лот монет Скандинавии: 11шт ; 1955-1988 ;  ; Cu-Ni,Br,Al ; VF-/VF ; 8 ; Andrak ; 33 
 3422 ; Лот монет Кипра, Ирландии, Тсландии, Мальты: 5шт ; 1966-1987 ;  ; Cu-Ni,Br ; VF/VF+ ; 39 ; tdp ; 197 
 3423 ; Лот монет Мальты: 3шт ; 1972-1977 ;  ; Cu-Ni,Br ; VF-/VF+ ; 24 ; StanislavAK ; 55 
 3424 ; Лот монет Кипра: 3шт ; 1963-1973 ;  ; Cu-Ni,Br ; VF-/VF+ ; 50 ; andreyM ; 79 
 3425 ; Лот монет Великобритании: фартинг (12шт) ; 1928-1951 ;  ; Br ; F-VF/XF- ; 5 ; Ученик ; 204 
 3426 ; Лот монет Великобритании: фартинг (10шт) ; 1912-1952 ;  ; Br ; F/XF- ; 33 ; МНП68 ; 301 
 3427 ; Лот монет Польши: 8шт ; 1923-1976 ;  ; Ni,Al,лат ; VF/XF ; 38 ; Ученик ; 216 
 3428 ; Лот монет Франциии: 5шт ; 1945-1992 ;  ; Al,Cu-Ni ; XF-/AU ; 13 ; revun ; 199 
 3429 ; Лот монет Греции: 12шт ; 1912-1973 ;  ; Cu-Ni,Al ; VF/VF-XF ; 27 ; aziya11 ; 354 
 3430 ; Лот монет Венгрии: 4шт ; 1971-1983 ;  ; Cu-Ni,Al ; AU ; 24 ; дед морос ; 124 
 3431 ; Лот монет Венгрии: 5шт ; 1971-2003 ;  ; Би/м,Cu-Ni,лат ; VF/AU ; 19 ; Fu ; 102 
 3432 ; Лот монет Греции: 6шт ; 1973-1994 ;  ; Cu-Ni,Al ; AU/XF ; 33 ; andreyM ; 231 
 3433 ; Лот монет Венгрии: 5шт ; 1894-1995 ;  ; Cu-Ni,Al ; F-VF/VF ; 78 ; Ученик ; 134 
 3434 ; Лот монет Кабо-Верде (корабли и черепаха): 7шт ; 1994 ;  ; Br,лат,Cu-Ni ; F/VF+ ; 41 ; Ybrjkfif ; 413 
 3435 ; Лот монет Кабо-Верде (птицы и черепаха): 8шт ; 1994 ;  ; Br,лат,Cu-Ni ; VF-/XF ; 26 ; Ghjcnj ; 195 
 3436 ; Лот монет Кабо-Верде (растения и черепаха): 7шт. Одна монета с отверстием ; 1994 ;  ; Br,лат,Cu-Ni ; VG/XF ; 21 ; Sterh ; 170 
 3437 ; Лот монет Азии: 10шт ;  ;  ; Al,Лат,Cu-Ni ; VF/XF ; 25 ; Galancer ; 61 
 3438 ; Лот монет Испании: 7шт ; 1957-1998 ;  ; Al,Лат,Cu-Ni ; VF/XF ; 9 ; buver ; 41 
 3439 ; Лот монет Франция: 5шт ; 1961-1976 ;  ; Cu-Ni,Al/Br ; VF+/XF ; 20 ; joper69 ; 47 
 3440 ; Лот монет Бельгии: 3шт ; 1952-1966 ;  ; Cu-Ni,Br ; VF+/VF-XF ; 12 ; xct ; 26 
 3441 ; Лот монет Италии: 4шт ; 1954-1957 ;  ; St,Al ; VF-/VF+ ; 15 ; Ghjcnj ; 75 
 3442 ; Лот монет Кубы: 6шт ; 1953-1986 ;  ; Cu-Ni,Al,лат ; VF-/XF ; 31 ; aurin1 ; 152 
 3443 ; Лот монет Египет: 4шт ; 1938-1972 ;  ; Al,лат,Br ; VF/XF ; 28 ; aziya11 ; 105 
 3444 ; Лот монет Швеции: 5шт ; 1960-1973 ;  ; Cu-Ni,Br ; VF/XF ; 18 ; StanislavAK ; 36 
 3445 ; Лот монет Австралии и Канады: 5шт ; 1967-1978 ;  ; Cu-Ni,Br ; VF/XF ; 39 ; www62 ; 77 
 3446 ; Лот монет Уругвая: 5шт ; 1989 ;  ; Cu-Ni,St ; AU/XF ; 2 ; Mike! ; 230 
 3447 ; Лот монет Перу: 4шт ; 2010 ;  ; Латунь,Би/м ; AU ; 4 ; Mike! ; 456 
 3448 ; Лот монет Марокко: 6шт ; 1987-2002 ;  ; Латунь,Cu-Ni,Al ; AU ; 4 ; Mike! ; 447 
 3449 ; Лот монет Аргентины: 5шт ; 2010 ;  ; Би/м ; AU ; 4 ; Mike! ; 444 
 3450 ; Лот монет Уругвая: 4шт ; 2000-2008 ;  ; Лат,Би/м ; AU ; 9 ; vova10 ; 165 
 3351 ; Лот монет ГДР: 9шт ; 1968-1980 ;  ; Al ; VF/XF ; 19 ; lessnoy ; 43 
 3352 ; Лот жетонов: 4шт ;  ;  ; Б/м,ж/м ; VF-/VF+ ; 28 ; FireFly ; 74 
 3353 ; Лот монет Бельгии (3шт): 5,10 сантимов, 1 франк ; 1916-1946 ;  ; Zn ; F/F+ ; 11 ; Ghjcnj ; 92 
 3354 ; Лот монет Великобритании (2шт): 1,2 шиллинга ; 1948-1960 ;  ; Cu/Ni ; F-VF ; 42 ; garsn ; 79 
 3355 ; Лот монет Греции (3шт): 10,25 лепт, 1 драхма ; 1959-1982 ;  ; Al,Ni/лат ; VF/VF+ ; 27 ; vladimir-sirke ; 51 
 3356 ; Лот монет Дании (3шт): 1,2,10 эре ; 1924-1936 ;  ; Br,Cu/Ni ; VF-/VF+ ; 30 ; Ghjcnj ; 53 
 3357 ; Лот монет Исландии (3шт): 10,25 эре, 1 крона ; 1946-1974 ;  ; Cu/Ni,Ni/лат ; VF-/VF ; 14 ; t_v_v ; 59 
 3358 ; Лот монет Норвегии (4шт): 1,2,10,25 эре ; 1913-1929 ;  ; Cu/Ni,Br ; VF-/VF ; 14 ; Ghjcnj ; 63 
 3359 ; Лот монет Румынии (3шт): 1,2,5 лей ; 1941-1947 ;  ; Лат,Zn ; F/F+ ; 12 ; Ghjcnj ; 84 
 3360 ; Лот монет Швеции (4шт): 1,2,10,25 эре ; 1920-1940 ;  ; Br,Ni/Br ; VF-/VF ; 5 ; MC17 ; 30 
