 5644 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; sifirot ; 35 
 5070 ; Лот бон 10 шт. 5 рублей ; 1909 ;  ;  ;  ; 15 ; сортам70 ; 278 
 5071 ; Лот бон 3 шт. 25 рублей ; 1909 ;  ;  ;  ; 19 ; alex241 ; 351 
 5072 ; Лот бон 7 шт ; 1905-09 ;  ;  ;  ; 29 ; SIBPROPILOT ; 450 
 5073 ; 2 копейки. Квартблок ; 1917 ; Деньги-марки ;  ; AU ; 27 ; dali ; 600 
 5074 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 19 ; zsexdr ; 306 
 5075 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 18 ; Sky2 ; 362 
 5076 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ; AU ; 19 ; zsexdr ; 308 
 5077 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 55 ; BSR ; 839 
 5078 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 12 ; zsexdr ; 73 
 5079 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 39 ; zsexdr ; 308 
 5080 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 23 ; sharapov.s21 ; 368 
 5081 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; sharapov.s21 ; 382 
 5082 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 27 ; lelik13821 ; 356 
 5083 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 19 ; mars6307 ; 567 
 5084 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 24 ; 312 ; 126 
 5085 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 13 ; SS007 ; 139 
 5086 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 33 ; Lex2000 ; 148 
 5087 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 10 ; alexkz2010 ; 104 
 5088 ; 1000 рублей ; 1919 ;  ;  ;  ; 22 ; Коллекционеръ. ; 602 
 5089 ; 250 рублей ; 1918 ;  ;  ;  ; 48 ; гоша334 ; 918 
 5090 ; 25 рублей ; 1918 ;  ;  ;  ; 30 ; val211 ; 738 
 5091 ; 5 рублей ; 1918 ;  ;  ;  ; 38 ; natalka ; 255 
 5092 ; 500 рублей ; 1918 ;  ;  ;  ; 78 ; Alekc19781 ; 510 
 5093 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 24 ; гоша334 ; 1514 
 4256 ; Лот монет Франции: 7шт ;  ;  ; Al,Al/Br, ; F-VF/VF ; 16 ; MaximusM ; 114 
 4257 ; Лот монет Словении: 3шт ;  ;  ; Al/Br ; XF- ; 29 ; MaximusM ; 267 
 4258 ; Лот монет Азии (7шт) ;  ;  ;  ; VF/XF ; 13 ; nfandeev ; 114 
 4259 ; Лот монет Египта (2шт) ;  ;  ; бм/м,ж/м ; AU ; 11 ; Hotey ; 53 
 4260 ; Набор монет Грузии (5шт) ; 1993 ;  ; б/м ; XF+ ; 41 ; Каенн ; 153 
 4261 ; Лот монет Швеции: 2,1 эре (2шт) ; 1883,1898 ;  ; Br ; VF- ; 22 ; canario ; 126 
 4262 ; Лот монет Японии: 11шт ;  ;  ; Al,Zn,Al/Br ; F/VF ; 42 ; Aurora810 ; 370 
 5001 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; ReSeRVeD ; 603 
 5002 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; zsexdr ; 713 
 5003 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; алим ; 408 
 5004 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; mars6307 ; 793 
 5005 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Ustin ; 670 
 5006 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 43 ; zsexdr ; 1020 
 5007 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Ustin ; 459 
 5008 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; ReSeRVeD ; 374 
 5009 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 28 ; bonipari ; 2537 
 5010 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; lelik13821 ; 204 
 5011 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; majkl ; 204 
 5012 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Ustin ; 153 
 5013 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Коллекционеръ. ; 158 
 5014 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; stabah ; 192 
 5015 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; taa ; 192 
 5016 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; persianfarsi ; 279 
 5017 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; Ustin ; 350 
 5018 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Ravalnath ; 206 
 5019 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Nastrom ; 188 
 5020 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; Ustin ; 487 
 5021 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; taa ; 204 
 5022 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; vfuflfy49 ; 51 
 5023 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; vfuflfy49 ; 125 
 5024 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; vfuflfy49 ; 90 
 5025 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; hobot ; 114 
 5026 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Ravalnath ; 115 
 5027 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Aleksey 76 ; 90 
 5028 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; flutter ; 93 
 5029 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; Ustin ; 151 
 5030 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 42 ; Ustin ; 151 
 5031 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; persianfarsi ; 69 
 5032 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; lelik13821 ; 473 
 5033 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; SANGOLD1 ; 79 
 5034 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; A1 ; 72 
 5035 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; lelik13821 ; 84 
 5036 ; 5 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 48 ; kont ; 9800 
 5037 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; Ustin ; 153 
 5038 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Ustin ; 114 
 5039 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; Ravalnath ; 306 
 5040 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; Ustin ; 381 
 5041 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; Ustin ; 101 
 5042 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; flutter ; 79 
 5043 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; A1 ; 69 
 4206 ; Лот монет Африканского монетного союза: 5шт ;  ;  ; Al/Br,Cu-Ni ; VF-XF ; 29 ; юрий73 ; 207 
 4207 ; Лот монет Польши: 4шт ; 1923-1939 ;  ; Zn ; VF ; 24 ; vihufa ; 1247 
 4208 ; Лот евромонет (10шт): 20 евроцентов ; 2001-2011 ;  ; Лат/St ; XF ; 19 ; qver ; 193 
 4209 ; Лот монет Непала: 5шт ;  ;  ; Al/Br,Al ; VF-XF ; 24 ; MaximusM ; 153 
 4210 ; Лот монет иностранных (8шт) Джерси, Свазиленд, Гана ; 20в ;  ; б/м,Жм ; VF-/XF+ ; 13 ; MaximusM ; 468 
 4211 ; Лот монет Европы (7шт) ;  ;  ;  ; VF/VF+ ; 39 ; banks ; 769 
 4212 ; Лот монет Великобритании: 1 пенни (3шт) ; 1918-1967 ;  ; Cu ; F-VF ; 28 ; prostor.71 ; 41 
 4213 ; Лот иностранных монет (6шт). Индия, Италия, Южная Африка, Турция ; 1928-1945 ;  ; Ag,Cu-Ni,Br,St ; VF-/VF+ ; 75 ; нионила ; 555 
 4214 ; Лот монет Индии: 6шт ;  ;  ; Al/Br,Cu-Ni ; VF ; 42 ; t_v_v ; 283 
 4215 ; Лот монет Германии. Нотгельд: 4шт ;  ;  ; Fe,Zn ; F-VF ; 34 ; $$$ ; 457 
 4216 ; Лот монет Японии и Китая: 4шт ;  ;  ; Cu,Cu-Ni ; F/VF ; 30 ; banks ; 189 
 4217 ; Лот монет Уганды: 3шт ;  ;  ; Cu-Ni,лат ; F/VF ; 23 ; MaximusM ; 120 
 4218 ; Лот монет Пакистан: 5шт ;  ;  ; Br,Al,Cu-Ni ; VF-/VF ; 21 ; StanislavAK ; 114 
 4219 ; Лот монет Германии: 5шт ;  ;  ; Fe,Cu-Ni ; F/F-VF ; 23 ; Каенн ; 111 
 4220 ; Лот монет Кувейта: 5шт ;  ;  ; Cu-Ni,Al/Br ; XF- ; 20 ; MaximusM ; 164 
 4221 ; Лот монет Нидерландов (6шт) ; 20в ;  ; бм,жм ; XF- ; 25 ; StanislavAK ; 128 
 4222 ; Лот монет Великобритании: 6 пенсов (5шт) ; 1967 ;  ; Cu-Ni ; VF/VF+ ; 9 ; Каенн ; 41 
 4223 ; Лот монет Парагвай (4шт) ; 2007-2011 ;  ; Б/м ; AU ; 17 ; юрий73 ; 146 
 4224 ; Лот иностранных монет (5шт). Австралия, Индия, Египет ; 1929-1945 ;  ; Ag,Br ; VF/VF+ ; 55 ; Maks87 ; 464 
 4225 ; Лот иностранных монет (4шт). О-ва Джерси, Египет, Италия ; 1917-1943 ;  ; Br,Cu-Ni,St ; VF-/VF+ ; 49 ; MaximusM ; 370 
 4226 ; Лот монет Эстонии: 8шт ;  ;  ; ag,Br,Cu-Ni ; F-/VF ; 37 ; banks ; 1393 
 4227 ; Лот иностранных монет (30шт) ;  ;  ; Cu-Ni,Al/Br,Al ; XF/AU ; 65 ; MaximusM ; 1841 
 4228 ; Лот монет США (23шт): 1/4 доллара ; 1999-2007 ;  ; Cu/Ni ; XF ; 23 ; moneta1924 ; 904 
 4229 ; Лот евромонет (9шт): 10 евроцентов ; 1999-2011 ;  ; Лат/St ; XF ; 26 ; Александр974 ; 128 
 4230 ; Лот монет иностранных (Дания, Норвегия, Венгрия, Перу, Колумбия. Мексика, Великобритания, Кипр): 11шт ;  ;  ; Br,Cu-Ni,Al/Br ; VF-/VF+ ; 52 ; MaximusM ; 999 
 4231 ; Лот монет Дании: 1 крона (4шт) ; 1976-1988 ;  ; Cu-Ni ; XF- ; 37 ; Каенн ; 111 
 4232 ; Лот монет Латвии: 20,10,5,2 сантима (12шт) ; 1922 ;  ; Cu-Ni,Br ; VF-/VF+ ; 37 ; юрий73 ; 555 
 4233 ; Лот монет Турции (5шт). Отверстия ;  ;  ; Ag ; F ; 33 ; roza77 ; 281 
 4234 ; Лот монет Польши (7шт) ; 1949-1975 ;  ; Cu-Ni,ж/м ; XF-AU ; 62 ; Почта России ; 700 
 4235 ; Лот монет Польши (5шт) ; 1923-1929 ;  ; Ni,Br ; VF-AU ; 48 ; electra ; 210 
 4236 ; Лот монет Мозамбика (5шт) ; 2006 ;  ; Би/м, Cu/Ni, Ла ; XF ; 53 ; alapabula ; 453 
 4237 ; Лот монет Бразилии, Латвии, Германии, Греции и Египта: 7шт ;  ;  ; Br,Al/Br,Cu-Ni ; F/XF ; 48 ; Maks87 ; 464 
 4238 ; Лот монет Польши (3шт) ; 1975 ;  ; Cu-Ni ; AU ; 39 ; gusar ; 187 
 4239 ; Лот монет Польши (11шт) ; 1949-1970 ;  ; Al ; XF-AU ; 68 ; electra ; 355 
 4240 ; Лот монет Венгрии (5шт) ; 1926-1942 ;  ; Cu-Ni,Al,Br ; VF-AU ; 51 ; banks ; 318 
 4241 ; Лот монет Турции (8шт) ; 1989-2004 ;  ; Cu/Ni, Лат ; VF-XF ; 9 ; ZET ; 89 
 4242 ; Лот монет Швеции: 1 крона (6шт) ; 1970-1987 ;  ; Cu-Ni ; VF-XF ; 26 ; Почта России ; 61 
 4243 ; Лот монет Норвегии: 24шт ;  ;  ; Cu-Ni,Br ; VF/VF+ ; 42 ; Maks87 ; 370 
 4244 ; Лот монет США (5шт): 1/4 доллара ; 2001 ;  ; Cu-Ni ; XF ; 25 ; игорь 222 ; 200 
 4245 ; Лот монет США (5шт): 1/4 доллара ; 2000 ;  ; Cu-Ni ; XF ; 6 ; moneta1924 ; 192 
 4246 ; Лот монет Чехословакии (11шт) ;  ;  ; б/м,ж/м ; VF/XF ; 29 ; СТРЕКОЗА ; 245 
 4247 ; Лот монет Люксембурга (3шт): 20,2,1евроцент ; 2009-2010 ;  ; ж/м ; VF-XF ; 42 ; Интересант ; 250 
 4248 ; Лот монет Швеции: 5шт ;  ;  ; Ag,Cu ; G/F- ; 55 ; banks ; 1338 
 4249 ; Лот монет Великобритании, Цейлона, Индии и Ирландии: 5шт ;  ;  ; Cu-Ni,Br ; F/F+ ; 20 ; banks ; 191 
 4250 ; Лот монет Колумбии (2шт) ; 1965 ;  ;  ; AU ; 23 ; MaximusM ; 161 
 4251 ; Лот иностранных монет (5шт). Индия, Италия, Южная Африка, о-ва Джерси ; 1917-1947 ;  ; Ag,Br,Al-Br ; VF/XF- ; 57 ; дилитант ; 411 
 4252 ; Лот монет США (5шт): 1/4 доллара ; 1967-2015 ;  ; б/м ; XF ; 22 ; electra ; 175 
 4253 ; Лот монетовидных жетонов Приднестровья (4шт) ; 2014 ;  ; пластик ; XF+ ; 21 ; Dmitry21 ; 204 
 4254 ; Лот монет Ирландии и Великобритании: 9шт ;  ;  ; Ag,Br ; F/VF ; 57 ; STANDART ; 555 
 4255 ; Лот монет США: 3шт ;  ;  ; Cu-Ni ; VF/XF ; 27 ; игорь 222 ; 128 
 4156 ; 10 гривен. Украина. Пилохвост украинский. В коробке, с сертификатом ; 2006 ;  ; Ag ; Proof ; 23 ; Жигурда ; 2256 
 4157 ; 500 вон. Северная Корея. Первый корабль. Коробка ; 1991 ;  ; Ag ; Proof ; 41 ; варяг2004 ; 2856 
 4158 ; 70000 кип. Лаос. Денежное дерево. В коробке, с сертификатом ; 2013ММД ;  ; Ag925 ; Proof ; 73 ; 7854 ; 4309 
 4159 ; Набор Ирландии 1 фунт+ бона в 1 фунт. Буклет ; 1990 ;  ; Cu-Ni ; Proof ; 25 ; D-503 ; 1326 
 4160 ; Набор монет Нидерланды: 5, 2 1/2,1 гульден, 25,10,5 сент (6шт). Буклет ; 2001 ;  ; Cu-Ni,Br,ж/м ; AU ; 51 ; Lex2000 ; 367 
 4161 ; Лот монет Нидерланды: 2 1/2,1 гульден, 25,10,5 сент (5шт)+ жетон. Упаковка ; 1982 ;  ; Cu-Ni,Br,ж/м ; AU ; 44 ; Dmitry21 ; 379 
 4162 ; Лот монет Нидерланды: 2 1/2,1 гульден, 25,10,5,1 сент (6шт)+ жетон. Буклет ; 1980 ;  ; Cu-Ni,Br,ж/м ; AU ; 55 ; Dmitry21 ; 360 
 4163 ; Набор монет Великобритании: 2,1 фунт, 50,20,10,5,2,1 пенс (9шт). Буклет ; 2000 ;  ; Би/м,Cu-Ni,Br ; AU ; 72 ; Lex2000 ; 1376 
 4164 ; Набор монет Бельгии, Нидерланды: 5 гульденов, 50 франков (3шт)+ жетон. Футбол. Буклет ; 2000 ;  ; Cu-Ni,Би/м,ж/м ; AU ; 39 ; seva777 ; 997 
 4165 ; Набор монет Великобритании: 5шт ; 1968-1971 ;  ; Cu-Ni,Br ; XF+ ; 26 ; Lex2000 ; 129 
 4166 ; Набор монет Израиля: 6шт ; 1968 ;  ; Cu-Ni,Br ; AU ; 28 ; b197312 ; 406 
 4167 ; Набор монет Украины "15 лет монетному двору Украины" (8шт): 1 гривна, 50,25,10,5,2,1 копейка+Жетон. В пластиковой капсуле ; 2013 ;  ; Al/Br,St ; Unc ; 19 ; Коллекционер СНГ ; 772 
 4168 ; Набор монет Японии (5шт)+жетон с отверстием. Буклет ; 1980 ;  ; Cu-Ni,Br,Al ; XF/AU ; 22 ; banks ; 272 
 4169 ; Лот монет Швеции: 2 кроны (5шт). Пластиковая упаковка ; 1897-1938 ;  ; Ag ; VF/XF ; 43 ; 333985 ; 4999 
 4170 ; Набор монет Ватикана (8шт) ; 1964 ;  ; Ag,St,Al/Br,Al ; AU ; 37 ; SERGE5064 ; 1009 
 4171 ; 1/4 доллара. США. Юта. Буклет ; 2007P ;  ; Cu-Ni ; AU ; 47 ; феникс55 ; 300 
 4172 ; 1/4 доллара. США. Монтана. Буклет ; 2007D ;  ; Cu-Ni ; AU ; 37 ; феникс55 ; 296 
 4173 ; 1/4 доллара. США. Айдахо. Буклет ; 2007P ;  ; Cu-Ni ; AU ; 29 ; феникс55 ; 300 
 4174 ; 1/4 доллара. США. Вашингтон. Буклет ; 2007P ;  ; Cu-Ni ; AU ; 15 ; феникс55 ; 300 
 4175 ; 1/4 доллара. США. Вайоминг. Буклет ; 2007P ;  ; Cu-Ni ; AU ; 34 ; феникс55 ; 300 
 4176 ; 1/4 доллара. США. Невада. Буклет ; 2006P ;  ; Cu-Ni ; AU ; 23 ; феникс55 ; 300 
 4177 ; 1/4 доллара. США. Колорадо. Буклет ; 2006P ;  ; Cu-Ni ; AU ; 15 ; феникс55 ; 300 
 4178 ; 1/4 доллара. США. Небраска. Буклет ; 2006D ;  ; Cu-Ni ; AU ; 18 ; феникс55 ; 300 
 4179 ; 1/4 доллара. США. Южная Дакота. Буклет ; 2006P ;  ; Cu-Ni ; AU ; 34 ; феникс55 ; 300 
 4180 ; 1/4 доллара. США. Северная Дакота. Буклет ; 2006D ;  ; Cu-Ni ; AU ; 19 ; феникс55 ; 300 
 4181 ; Набор монет Македонии (4шт). Буклет ; 1993 ;  ; Al/Br ; AU ; 26 ; циркус ; 173 
 4182 ; 2 евро. Сан-Марино. 500 лет со смерти художника Пинтуриккьо. Буклет ; 2013 ;  ; Би/м ; AU ; 45 ; cotangens ; 1998 
 4183 ; Набор монет Финляндии (6шт). Пластиковая упаковка ; 1986 ;  ; Cu-Ni,Al/Br,Al ; AU ; 28 ; LEXAI ; 373 
 4184 ; Набор монет Македонии (3шт). Буклет ; 1995 ;  ; Cu-Zn-Ni ; AU ; 34 ; Lex2000 ; 185 
 4185 ; 5 евро. Финляндия. Буклет ; 2006 ;  ; Би/м ; AU ; 10 ; molodes ; 793 
 4186 ; Набор монет Словении: 5 толари (12шт) ; 1993-2000 ;  ; Cu-Zn-Ni ; AU ; 28 ; vovaT25 ; 906 
 4187 ; Набор монет Норвегии: 5шт (Отсутствует жетон) ; 2001 ;  ; Cu-Ni,Br ; Proof ; 43 ; zx123 ; 918 
 4188 ; 5 крон. Норвегия. Буклет ; 1997 ;  ; Cu-Ni ; AU ; 29 ; dsp ; 214 
 4189 ; Набор монет Финляндии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт) + жетон. Буклет ; 2003 ;  ; Лат,Cu/St,Би/м ; AU ; 35 ; bliznetz ; 1401 
 4190 ; Лот монет Югославии (6шт) ; 1991 ;  ; Cu-Ni,Al/Br ; AU ; 13 ; иг64 ; 727 
 4191 ; Лот монет Великобритании: 50 пенсов 4шт + 2 жетона ; 2011 ;  ; Cu-Ni,Лат ; XF ; 31 ; D-503 ; 914 
 4192 ; Лот монет Великобритании: 50 пенсов 5шт ; 2011 ;  ; Cu-Ni ; XF ; 41 ; banks ; 745 
 4193 ; Лот монет Финляндии: 65шт ;  ;  ; Cu-Ni,Br,Fe ; VF/XF ; 31 ; bliznetz ; 520 
 4194 ; Лот монет Германии: 100шт ;  ;  ; Al,Al/Br ; VF/XF ; 82 ; Vol4en0k ; 1113 
 4195 ; Лот монет Австрии: 100шт ;  ;  ; Al ; VF/XF ; 17 ; Каенн ; 184 
 4196 ; Лот монет Веймара: 100шт ;  ;  ; Al ; VF/XF ; 32 ; Emv ; 1230 
 4197 ; Лот евроцентов: 84шт ;  ;  ; Сu/St ; VF/XF ; 28 ; collector64 ; 308 
 4198 ; Лот монет иностранных: 100шт ;  ;  ; Cu-Ni,Br ; F-VF/XF ; 27 ; Почта России ; 723 
 4199 ; Лот евроцентов: 100шт ;  ;  ; Сu/St ; VF/XF ; 41 ; collector64 ; 302 
 4200 ; Лот монет иностранных: 50шт ;  ;  ; Cu-Ni,Al,Al/Br ; VF/XF ; 20 ; MaximusM ; 453 
 4201 ; Лот монет США: 100шт ;  ;  ; Br ; VF/XF ; 17 ; Westin ; 135 
 4202 ; Лот евро монет Финляндии (8шт) ; 2013 ;  ; Би/м,St/Cu,Лат ; XF/AU ; 24 ; nfandeev ; 510 
 4203 ; 25 центов Канада (2шт). Упаковка ; 2013 ;  ; Cu-Ni ; AU ; 17 ; Victory-2001 ; 126 
 4204 ; 25 центов Канада (2шт). Упаковка ; 2013 ;  ; Cu-Ni ; AU ; 29 ; Victory-2001 ; 125 
 4205 ; Лот монетовидных жетонов США (3шт) ;  ;  ; Ж/м ; VF ; 33 ; ain ; 465 
 4106 ; 2 гривны. Украина. Лесь Курбас ; 2007 ;  ; Cu-Ni ; AU ; 7 ; Redkyt ; 114 
 4107 ; 4 пфенниг. Германия ; 1932Е ;  ; Br ; VF ; 22 ; smapd ; 412 
 4108 ; 10 стотинок. Болгария ; 1906 ;  ; Cu-Ni ; F+ ; 24 ; mongol64 ; 54 
 4109 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF ; 20 ; MaximusM ; 91 
 4110 ; 1 дуит. Нидерланды ; 1787 ;  ; Cu ; F+ ; 19 ; sparrow ; 101 
 4111 ; 1 крейцер. Австрия ; 1881 ;  ; Cu ; VF ; 19 ; Рубчик ; 88 
 4112 ; 5 злотых. Польша ; 1986 ;  ; Лат ; VF ; 4 ; vitab ; 51 
 4113 ; 500 злотых. Польша. 50 лет с начала Второй Мировой войны ; 1989 ;  ; Сu-Ni ; AU ; 34 ; vitab ; 140 
 4114 ; 2 злотых. Польша. Солидарность ; 2005 ;  ; латунь ; AU ; 31 ; kvs ; 157 
 4115 ; 2 злотых. Польша.60 лет окончания ВМВ ; 2005 ;  ; латунь ; AU ; 27 ; aidih ; 150 
 4116 ; 2 злотых. Польша. Экспо ; 2005 ;  ; латунь ; AU ; 23 ; kvs ; 157 
 4117 ; 2 злотых. Польша. Ясная Гора ; 2005 ;  ; латунь ; AU ; 25 ; kvs ; 157 
 4118 ; 1 крона. Чехословакия ; 1951 ;  ; Al ; VF ; 36 ; teso ; 119 
 4119 ; 50 хеллеров. Чехословакия ; 1948 ;  ; ж/м ; VF+ ; 31 ; Rusik ; 150 
 4120 ; 5 гривен. Украина. 225 лет Симферополю ; 2009 ;  ; Cu-Ni ; AU ; 47 ; Дима1970 ; 264 
 4121 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; AU ; 11 ; aziya11 ; 129 
 4122 ; 5 гривен. Украина.  150 лет со дня смерти Т.Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 16 ; иржик86 ; 258 
 4123 ; 5 гривен. Украина. Парк "Тростянец" ; 2008 ;  ; Cu-Ni ; AU ; 18 ; vadsev73 ; 226 
 4124 ; 5 гривен. Украина. 225 лет Симферополю ; 2009 ;  ; Cu-Ni ; AU ; 37 ; P@UL ; 247 
 4125 ; 5 гривен. Украина. 50 лет премии им.Тараса Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 13 ; страус ; 153 
 4126 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 13 ; Mikl2015 ; 163 
 4127 ; 5 гривен. Украина. 225 лет Симферополю ; 2009 ;  ; Cu-Ni ; AU ; 51 ; Дима1970 ; 263 
 4128 ; 5 гривен. Украина. Ткаля ; 2010 ;  ; Cu-Ni ; AU ; 21 ; canario ; 201 
 4129 ; 5 гривен. Украина. 925 лет Луцку ; 2010 ;  ; Cu-Ni ; AU ; 38 ; vadsev73 ; 316 
 4130 ; 2 гривны. Украина. Е.Петрушевич ; 2008 ;  ; Cu-Ni ; AU ; 11 ; kornum ; 101 
 4131 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 101 
 4132 ; 2 гривны. Украина. Андрей Левицкий ; 2009 ;  ; Cu-Ni ; AU ; 22 ; Vol4en0k ; 125 
 4133 ; 2 гривны. Украина. Национальный Львовский политехнический университет ; 2010 ;  ; Cu-Ni ; AU ; 15 ; всыня ; 99 
 4134 ; 2 гривны. Украина.  Е.Петрушевич ; 2008 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 101 
 4135 ; 2 гривны. Украина. Богдан-Игорь Антонич ; 2009 ;  ; Cu-Ni ; AU ; 5 ; kornum ; 101 
 4136 ; 2 гривны. Украина. С.Голубович ; 2008 ;  ; Cu-Ni ; AU ; 5 ; всыня ; 99 
 4137 ; 2 гривны. Украина. 350 лет Львовскому национальному университету ; 2011 ;  ; Cu-Ni ; AU ; 13 ; иржик86 ; 177 
