 3644 ; Бона иностранная ;  ;  ;  ;  ; 17 ; nik23455 ; 42 
 2201 ; 5 эскудо. Португалия. 500 лет со дня смерти принца Генри Навигатора ; 1960 ;  ; Ag ; AU ; 29 ; 542 ; 458 
 2202 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 32 ; Ходор ; 684 
 2203 ; 1 шиллинг. Австралия ; 1948 ;  ; Ag ; VF- ; 16 ; $ab$er ; 140 
 2204 ; 1 шиллинг. Австралия ; 1952 ;  ; Ag ; VF- ; 66 ; SadKo ; 116 
 2205 ; 1 шиллинг. Австралия ; 1953 ;  ; Ag ; F-VF ; 13 ; $ab$er ; 99 
 2206 ; 1 шиллинг. Австралия ; 1955 ;  ; Ag ; VF- ; 11 ; vitapool ; 89 
 2207 ; 1 шиллинг. Австралия ; 1956 ;  ; Ag ; VF ; 29 ; Серый_Михей ; 134 
 2208 ; 1 шиллинг. Австралия ; 1957 ;  ; Ag ; F-VF ; 42 ; SadKo ; 99 
 2209 ; 1 шиллинг. Австралия ; 1958 ;  ; Ag ; VF- ; 28 ; SadKo ; 101 
 2210 ; 1 шиллинг. Австралия ; 1959 ;  ; Ag ; VF ; 7 ; nik23455 ; 99 
 2211 ; 1 шиллинг. Австралия ; 1961 ;  ; Ag ; VF- ; 11 ; Gold_42 ; 100 
 2212 ; 1 шиллинг. Австралия ; 1962 ;  ; Ag ; VF+ ; 27 ; uuu ; 104 
 2213 ; 1 шиллинг.Великобритания ; 1927 ;  ; Ag ; VF- ; 97 ; Pak ; 185 
 2214 ; 1 шиллинг.Великобритания ; 1931 ;  ; Ag ; F-VF ; 77 ; sveta6369 ; 131 
 2215 ; 1 шиллинг.Великобритания ; 1941 ;  ; Ag ; VF ; 39 ; temichek ; 263 
 2216 ; 1 шиллинг.Великобритания ; 1945 ;  ; Ag ; VF ; 23 ; uuu ; 161 
 2217 ; 10 центов. Канада. 100 лет конфидерации ; 1967 ;  ; Ag ; VF-XF ; 48 ; _1111_ ; 281 
 2218 ; 3 пенса. Новая Зеландия ; 1934 ;  ; Ag ; VF-XF ; 28 ; $ab$er ; 88 
 2219 ; 3 пенса. Новая Зеландия ; 1937 ;  ; Ag ; XF- ; 46 ; $ab$er ; 89 
 2220 ; 5 центов. США ; 1944Р ;  ; Cu/Ag ; VF- ; 21 ; mgradov ; 128 
 2221 ; 5 долларов. Маршалловы Острова. Первый человек на Луне ; 1989 ;  ; Cu-Ni ; Proof ; 42 ; ask ; 365 
 2222 ; 4 доллара. Британская колония. Антигуа. ФАО ; 1970 ;  ; Cu-Ni ; XF ; 72 ; hobot ; 1734 
 2223 ; 4 доллара. Британская колония. Сент-Кристофер Невис Ангилья. ФАО ; 1970 ;  ; Cu-Ni ; XF+ ; 48 ; hobot ; 1190 
 2224 ; 1 доллар. США. Эйзенхауэр ; 1972 ;  ; Cu-Ni ; VF+ ; 17 ; SadKo ; 122 
 2225 ; 1 доллар. США. Эйзенхауэр. 200 лет ; 1976 ;  ; Cu-Ni ; XF+ ; 15 ; SadKo ; 105 
 2226 ; 1 доллар. США. XXIII Олимпиада ; 1983P ;  ; Ag ; AU ; 115 ; oleg61 ; 1062 
 2227 ; 1 доллар. США.100 лет Статуе Свободы ; 1986S ;  ; Ag ; Proof ; 37 ; murzik20 ; 969 
 2228 ; 1 доллар. США. 200 лет Конституции ; 1987S ;  ; Ag ; Proof ; 67 ; 2742 ; 1200 
 2229 ; 1 доллар. США. 150 лет Колумбу ; 1992P ;  ; Ag ; Proof ; 49 ; iaiaia ; 1320 
 2230 ; 1 доллар. США. 200 лет Белому Дому ; 1992W ;  ; Ag ; Proof ; 20 ; iaiaia ; 1004 
 2231 ; 1 доллар. США. 250 лет со дня рождения Томаса Джефферсона ; 1993S ;  ; Ag ; Proof ; 58 ; iaiaia ; 980 
 2232 ; 1 доллар. США. Гражданская война ; 1995S ;  ; Ag ; Proof ; 30 ; джокер ; 1377 
 2233 ; 1 доллар. США. Основание Джеймстауна ; 2007P ;  ; Ag ; AU ; 50 ; Ромбор ; 1593 
 2234 ; 100 марок. Финляндия. 75 лет независимости ; 1992 ;  ; Ag ; AU ; 54 ; vicnic ; 1459 
 2235 ; 1 фунт. Египет ; 2007 ;  ; Би/м ; XF- ; 26 ; r52andrey ; 26 
 2236 ; 5 песет. Испания ; 1871 ;  ; Ag ; VF+ ; 61 ; udaw ; 1527 
 2237 ; 5 лат. Латвия ; 1931 ;  ; Ag ; VF-XF ; 30 ; Ходор ; 1098 
 2238 ; 2 короны. Австрия. В пластиковой упаковке ; 1913 ;  ; Ag ; XF+ ; 128 ; М662 ; 410 
 2239 ; 5 крон. Швеция. 80 лет со дня рождения Густава VI Адольфа ; 1962 ;  ; Ag ; XF+ ; 78 ; andorf ; 1277 
 2240 ; 5 крон. Швеция. 150 лет конституции ; 1959 ;  ; Ag ; AU ; 85 ; nik23455 ; 570 
 2241 ; 2 кроны. Швеция. 400 лет политической свободе ; 1921 ;  ; Ag ; AU ; 41 ; Dbrnjh ; 618 
 2142 ; 10 марок. ГДР. Международный день труда ; 1990А ;  ; Cu/Ni ; AU ; 78 ; 147 ; 104 
 2143 ; 10 марок. ГДР. Международный день труда ; 1990А ;  ; Cu/Ni ; AU ; 26 ; lomaster75 ; 101 
 2144 ; 5 марок. ГДР. 125 лет со дня рождения Роберта Коха ; 1968 ;  ; Cu/Ni ; AU ; 8 ; джокер ; 579 
 2145 ; 5 марок. ГДР. 100 лет со дня рождения Томаса Манна ; 1975 ;  ; Cu/Ni ; AU ; 23 ; salim ; 531 
 2146 ; 5 марок. ГДР. 75 лет со дня смерти Адольфа фон Мензеля ; 1980 ;  ; Cu/Ni ; AU ; 12 ; k212 ; 680 
 2147 ; 5 марок. ГДР. 200 лет со дня рождения Фердинанда фон Шилля ; 1976 ;  ; Cu/Ni ; AU ; 23 ; DM2713 ; 847 
 2148 ; 5 евроцентов. Сан-Марино ; 2006R ;  ; Cu/St ; AU ; 26 ; nikolay ; 37 
 2149 ; 2 евроцента. Сан-Марино ; 2006R ;  ; Cu/St ; AU ; 35 ; Tonyxxx82 ; 35 
 2150 ; 1 евроцент. Сан-Марино ; 2006R ;  ; Cu/St ; AU ; 33 ; r52andrey ; 36 
 2151 ; 1 соль. Перу ; 1934 ;  ; Ag ; VF+ ; 80 ; FEDOTOV1920 ; 671 
 2152 ; 5 марок. ФРГ ; 1987D ;  ; Cu-Ni ; VF+ ; 29 ; 542 ; 159 
 2153 ; 2 марки. ФРГ ; 1988F ;  ; Cu-Ni ; XF ; 38 ; 542 ; 118 
 2154 ; 3 су. 2 тип с линейным ободком. Французская колония. Isles de France et de bourbon (О-ва Реюньон и Маврикий). Один год чеканки ; 1781A ;  ; Ag ; F ; 61 ; vb96 ; 2580 
 2155 ; 2 пенса. Маунди. Рождественские деньги для слепых. Великобритания. Георг V. 1 тип ; 1911 ;  ; Ag900 ; XF/AU ; 69 ; max1958 ; 952 
 2156 ; 3 пенса. Маунди. Рождественские деньги для слепых. 3 тип в другой пробе металла. Великобритания. Георг VI ; 1951 ;  ; Ag400 ; AU ; 55 ; max1958 ; 971 
 2157 ; 1/2 цента. Восточная Африка и Уганда протекторат. Эдуард VII ; 1909 ;  ; Cu-Ni ; XF ; 36 ; Alexdav ; 957 
 2158 ; 1 шиллинг. SSC (South Sea Company). Великобритания. Георг I. 1 портрет. Ошибка. Год над гербом Франции ; 1723SSC ;  ; Ag ; F-VF ; 122 ; $ab$er ; 3126 
 2159 ; 1 шиллинг. 1 тип. Ровное поле. Великобритания. Георг I. 1 портрет ; 1720 ;  ; Ag ; F-VF ; 101 ; чусер ; 1631 
 2160 ; 1/2 кроны. 2 тип. Великобритания. Георг III. Малая голова ; 1819 ;  ; Ag ; VF-XF ; 70 ; 995953 ; 5011 
 2161 ; 400 рейс. Португалия. Лиссабон. Жоао VI. Герб круглый ; 1821 ;  ; Ag ; VF-XF ; 112 ; udaw ; 3211 
 2162 ; 1 пардао - 1/2 рупии (300 рейс). Португальская Индия. Штат ГОА. Мария I и Педро III. Герб барочный ; 1783 ;  ; Ag ; F-VF ; 89 ; kont ; 7709 
 2163 ; 1/2 рупии. Один год чеканки. О.Маврикий. Георг VI ; 1946 ;  ; Ag ; VF ; 32 ; 995953 ; 4772 
 2164 ; 1/2 пенни. Токен. Ирландия. Дублин. Корабль и герб Ирландии "Бог дарует мир" ; ND ;  ; Cu ; VF- ; 79 ; чусер ; 695 
 2165 ; 40 рейс. 1 тип. Высокая корона. Португалия. Порто. Жоао - принц регент. Герб овальный ; 1811 ;  ; Cu ; VF- ; 53 ; AndrCh58 ; 1012 
 2166 ; 2 кас. Датская Ост-Индийская Компания. Транквебар. Фредерик IV ; ND ;  ; Cu ; F+ ; 22 ; 995953 ; 1285 
 2167 ; 1/2 пенни. Британская территория. О Мэн. Георг III ; 1786 ;  ; Cu ; XF- ; 93 ; 995953 ; 2819 
 2168 ; 1 эскудо. Португальская колония. Гвинея ; 1933 ;  ; Ni/Br ; VF ; 35 ; БЫВАЛЫЙ ; 837 
 2169 ; 5 эскудо. Португальская колония. Сан-Томе и Принсипи ; 1939 ;  ; Ag ; VF- ; 33 ; БЫВАЛЫЙ ; 816 
 2170 ; 20 bazarucos-tutenaga. Португальская Индия. Штат Diu. Педро IV (1826-1828) ; 1828 ;  ; Pb/Zn ; F ; 67 ; 995953 ; 1233 
 2171 ; 1/12 анны. Британская Индия. Георг V ; 1915 ;  ; Br ; VF ; 44 ; Серый_Михей ; 116 
 2172 ; 1/12 анны. Британская Индия. Георг V ; 1921 ;  ; Br, покрыт ; VF-XF ; 29 ; Серый_Михей ; 125 
 2173 ; 2 цента. Сейшелы. Елизавета II ; 1959 ;  ; Br ; XF+ ; 35 ; wikileaks ; 102 
 2174 ; 1/2 пенни. Великобритания  "На благо народа". Гуртовая надпись ; 1795 ;  ; Cu ; VF- ; 42 ; Sonic ; 1013 
 2175 ; 1/2 пенни. Великобритания  "Король и конституция". Гуртовая надпись ; 1794 ;  ; Cu ; VF- ; 123 ; serg2010 ; 1372 
 2176 ; 1 дуит. Нидерландская Индия. О. Ява. Французская оккупация. Монограмма "LN" (луи Наполеон) ; 1810Z ;  ; Cu ; F+ ; 74 ; caterpi ; 750 
 2177 ; 1 кипинг. Восточная Индийская Компания. О.Суматра ; 1804 (1219лх) ;  ; Cu ; F-VF ; 65 ; shest ; 1393 
 2178 ; 1 мазуна. Французское Марокко. Мон двор Бирмингем ; 1320лх ;  ; Br ; VF- ; 75 ; Санитар ; 434 
 2179 ; 1/20 гульдена. Нидерландская Индия ; 1855 ;  ; Ag ; VF ; 46 ; Poiuyt ; 363 
 2180 ; 1 мангир. Крым. Шахин-Гирей. 3 год правления ; 1191лх ;  ; Cu ; F ; 39 ; caterpi ; 120 
 2181 ; 1/2 пенни. Токен. Великобритания. Бритсоль ; 1793 ;  ; Cu ; VF- ; 74 ; молоток ; 1122 
 2182 ; 1/2 пенни. Токен. Великобритания. Бирмингем. Портрет и надпись. Георг III ; ND ;  ; Cu ; F-VF ; 114 ; sima ; 1077 
 2183 ; 1/2 пенни. Токен. Британская колония. ЮАР. Мыс Доброй Надежды. Кейптаун ; 1861 ;  ; Cu ; F ; 61 ; Санитар ; 340 
 2184 ; 1 пенни. Австралия. Елизавета II ; 1964 ;  ; Br ; VF-XF ; 31 ; nikolay ; 38 
 2185 ; 6 мараведи. Испания. Филипп III ; ND ;  ; Cu ; F+ ; 39 ; rokada77 ; 155 
 2186 ; 1/16 фуанта (1 солот). 1 тип. Накоронацию Рамы IV. Слон в центре (маленький). Тайланд ; 1862 ;  ; Zn ; F-VF ; 37 ; kont ; 908 
 2187 ; 1 дуит. Нидерландская Индия. Провиния Зеландия. 3 тип с гирляндой над VOC ; 1894 ;  ; Cu ; F-VF ; 48 ; shest ; 637 
 2188 ; 100000 лир. Турция ; 2000 ;  ; Cu-Ni-Zn ; XF ; 46 ; vc57 ; 57 
 2189 ; 5 сентаво (1 макута). Португальская Ангола. Брак монетного двора. Аверс/реверс 40 градусов ; 1927 ;  ; Ni-Br ; VF ; 63 ; tania-5 ; 463 
 2190 ; 1 мангир. Крым. Шахин-Гирей ; 1191лх ;  ; Cu ; F-VF ; 48 ; rokada77 ; 156 
 2191 ; 5000 динаров (5 кран). Иран. Ремонт ; 1308?лх ;  ; Ag ; F-VF ; 45 ; Гурий ; 371 
 2092 ; 20 крейцеров. Австрия ; 1834 ;  ; Ag ; VF+ ; 45 ; 525 ; 532 
 2093 ; 20 крейцеров. Австрия ; 1847С ;  ; Ag ; VF+ ; 59 ; 525 ; 1224 
 2094 ; 10 крейцеров. Австрийская империя, франц Иосиф I ; 1858А ;  ; Ag ; F-VF ; 31 ; andreyM ; 263 
 2095 ; 6 крейцеров. Гессен ; 1835 ;  ; Ag ; VF- ; 21 ; бормоглот ; 383 
 2096 ; 1 крейцер. Германия, Саксен-Мейнинген, Бернхард (1803-1866) ; 1866 ;  ; Ag ; VF+ ; 33 ; бормоглот ; 312 
 2097 ; 6 грошей. Пруссия ; 1709 ;  ; Ag ; F+ ; 17 ; murew ; 612 
 2098 ; 4 грошен. Пруссия, Фридрих Вильгельм II (1786-1797). Деформация ; 1797A ;  ; Ag ; F-VF ; 40 ; vitapool ; 376 
 2099 ; 1 зильбергрош. Гессен-Кассель, Вильгельм II (1821-1847) ; 1841 ;  ; Ag ; F ; 42 ; vitapool ; 211 
 2100 ; 1 зильбергрош. Пруссия, Вильгельм I (1861-1888) ; 1869C ;  ; Ag ; VF+ ; 10 ; бормоглот ; 226 
 2101 ; 5 песет. Испания ; 1892 ;  ; Ag ; VF+ ; 30 ; FEDOTOV1920 ; 1361 
 2102 ; 5 песет. Испания ; 1898 ;  ; Ag ; VF-XF ; 28 ; gulyy_mik ; 1542 
 2103 ; 5 марок. ФРГ. Вильгельм и Александр Гумбольдты ; 1967F ;  ; Ag ; AU ; 31 ; zydor ; 827 
 2104 ; 5 марок. ФРГ. Иоганн Гутенберг ; 1968G ;  ; Ag ; AU ; 30 ; sveta6369 ; 325 
 2105 ; 5 марок. ФРГ ; 1969F ;  ; Ag ; XF ; 41 ; Gold_42 ; 320 
 2106 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 90 ; $ab$er ; 317 
 2107 ; 1 корона. Австрия ; 1915 ;  ; Ag ; VF+ ; 31 ; $ab$er ; 155 
 2108 ; 1 корона. Австрия ; 1916 ;  ; Ag ; XF ; 57 ; М662 ; 341 
 2109 ; 50 шиллингов. Австрия. 50 лет Республике ; 1968 ;  ; Ag ; AU ; 41 ; 525 ; 821 
 2110 ; 50 шиллингов. Австрия. 100 лет институту агрокультуры ; 1972 ;  ; Ag ; AU ; 63 ; 525 ; 765 
 2111 ; 50 шиллингов. Австрия. 500 лет бывшей гостиницы "Золотой лев" ; 1973 ;  ; Ag ; AU ; 51 ; udaw ; 509 
 2112 ; 50 шиллингов. Австрия. Международная выставка садоводов ; 1974 ;  ; Ag ; AU ; 37 ; 525 ; 552 
 2113 ; 25 шиллингов. Австрия. Антон Брукнер ; 1962 ;  ; Ag ; XF+ ; 21 ; andorf ; 291 
 2114 ; 25 шиллингов. Австрия. 100 лет со дня рождения Франца Легара ; 1970 ;  ; Ag ; XF/AU ; 16 ; vitapool ; 245 
 2115 ; 50000 злотых. Польша. 70 лет независимости Польши ; 1988 ;  ; Ag ; AU ; 55 ; молоток ; 623 
 2116 ; 10000 злотых. Польша. Иоанн Павел II ; 1987 ;  ; Ag ; AU ; 14 ; monge ; 524 
 2117 ; 100 крон. Чехословакия. 700 лет горному делу Йиглавы ; 1949 ;  ; Ag ; XF+ ; 56 ; dimon-2007 ; 351 
 2118 ; 10 лева. Болгария. XXIV летние олимпийские игры ; 1988 ;  ; Ag ; Proof ; 57 ; $ab$er ; 301 
 2119 ; 1 ранд. Южная Африка ; 1966 ;  ; Ag ; XF ; 24 ; _1111_ ; 467 
 2120 ; 500 лир. Италия ; 1964 ;  ; Ag ; XF ; 28 ; shais1 ; 485 
 2121 ; 200 соль. Перу. Герои авиации ; 1975 ;  ; Ag ; AU ; 99 ; staro ; 544 
 2122 ; 1 доллар. Канада ; 1966 ;  ; Ag ; XF/AU ; 41 ; ratiandr ; 501 
 2123 ; 1 доллар. Канада. Британская Колумбия ; 1958 ;  ; Ag ; XF ; 69 ; andorf ; 510 
 2124 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 27 ; andorf ; 628 
 2125 ; 1 бальбоа. Панама ; 1966 ;  ; Ag ; AU ; 68 ; sima ; 1134 
 2126 ; 25 марок. Финляндия. Зимние игры в Лахти ; 1978KN ;  ; Ag ; AU ; 129 ; triha ; 330 
 2127 ; 10 марок. Финляндия. 100 лет со дня рождения президента Паасикиви ; 1970SH ;  ; Ag ; AU ; 33 ; Komod ; 317 
 2128 ; 10 марок. Финляндия. 10 международные соревнования по легкой атлетике ; 1971SH ;  ; Ag ; AU ; 24 ; env ; 340 
 2129 ; 10 марок. Финляндия. 10 международные соревнования по легкой атлетике ; 1971SH ;  ; Ag ; AU ; 100 ; oleg61 ; 328 
 2130 ; 3 гроша. Польша ; 1811IS ;  ; Сu ; VF ; 68 ; $$$ ; 811 
 2131 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu/Ni ; VF-XF ; 40 ; k2e ; 329 
 2132 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF+ ; 11 ; _1111_ ; 255 
 2133 ; 5 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF-XF ; 29 ; _1111_ ; 241 
 2134 ; 5 пфеннигов. Данциг ; 1923 ;  ; Cu/Ni ; XF- ; 33 ; k2e ; 326 
 2135 ; 2 пфеннига. Данциг ; 1926 ;  ; Br ; VF-XF ; 41 ; lsp25 ; 300 
 2136 ; 1 пфенниг. Данциг ; 1926 ;  ; Br ; VF-XF ; 30 ; k2e ; 277 
 2137 ; 10 марок. ГДР. Концертный зал Гевандхаус в Лейпциге ; 1982 ;  ; Ag ; AU ; 55 ; DennisG ; 2754 
 2138 ; 10 марок. ГДР. 100 лет со дня смерти Ричарда Вагнера ; 1983 ;  ; Ag ; AU ; 27 ; DennisG ; 2754 
 2139 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu/Ni ; XF+ ; 55 ; satyrn1 ; 129 
 2140 ; 10 марок. ГДР. 25 лет с дивизом ; 1974А ;  ; Cu/Ni ; AU ; 78 ; satyrn1 ; 169 
 2141 ; 10 марок. ГДР. Международный день труда ; 1990А ;  ; Cu/Ni ; AU ; 13 ; solder13 ; 122 
 2042 ; 50 долларов. Острова Кука. Олимпийские игры 1996г, гимнастика. М-7,77гр ; 1993 ;  ; Au ; Proof ; 76 ; marinin70 ; 8229 
 2043 ; 50 долларов. Фиджи. Олимпийские игры 1996г, хоккей на траве. М-7,77гр ; 1996 ;  ; Au ; Proof ; 52 ; marinin70 ; 8207 
 2044 ; 100 паанга. Тонго. Олимпийские игры 1992, гимнастика. М-7,77гр ; 1993 ;  ; Au ; Proof ; 51 ; marinin70 ; 8194 
 2045 ; Монета золотая. Индия. М-0,37гр ;  ;  ; Au ; VF ; 67 ; asnik ; 775 
 2046 ; Талер. Австрия. Карл VI (1711-1740гг). М-28,95г ; 1733 ;  ; Ag ; XF- ; 47 ; georg20 ; 9000 
 2047 ; Талер. Нюрнберг. Губертсбургский мир. М-28,01г ; 1763SF ;  ; Ag ; VF ; 48 ; нумизмат ; 5507 
 2048 ; Талер. Австрия. Мария Терезия. М-28,08г ; 1765 ;  ; Ag ; VF+ ; 125 ; SNS1111 ; 8160 
 2049 ; Талер. Зальцбург. Архиепископ Иероним (1772-1803гг). М-28,02г ; 1795М ;  ; Ag ; VF+ ; 74 ; AVLid ; 7000 
 2050 ; Талер. Вестфалия ; 1813С ;  ; Ag ; VF-XF ; 114 ; Георг ; 4725 
 2051 ; Талер. Бавария ; 1857 ;  ; Ag ; VF ; 27 ; В1951 ; 2154 
 2052 ; Талер. Пруссия ; 1860А ;  ; Ag ; VF-XF ; 69 ; gulyy_mik ; 2058 
 2053 ; Талер. Пруссия. В честь победы над Францией ; 1871А ;  ; Ag ; VF+ ; 17 ; gulyy_mik ; 1478 
 2054 ; 1/2 талера. Шварцбург-Рудольштадт ; 1791ICK ;  ; Ag ; XF- ; 57 ; Nico ; 9193 
 2055 ; 1/12 талера. Брауншвейг-Вольфенбуттель ; 1793МС ;  ; Ag ; F-VF ; 16 ; ppp ; 280 
 2056 ; 1/12 талера. Германия, Мекленбург-Шверин, Фридрих Франц II (1842-1883) ; 1848 ;  ; Ag ; F ; 32 ; jj ; 165 
 2057 ; 1/24 талера. Германия, Штольберг. Христофор Фридрих и Йост Христиан (1704-1738). Отломана напайка ; 1724 IIG ;  ; Ag ; F+ ; 4 ; ratiandr ; 313 
 2058 ; 1/24 талера. Саксония, Фридрих Август II (1733-1763) ; 1763 FWoF ;  ; Ag ; F-VF ; 70 ; von_Schwarz ; 470 
 2059 ; 1/24 талера. Саксония ; 1763 ;  ; Ag ; F+ ; 18 ; von_Schwarz ; 419 
 2060 ; 1/48 талера. Пруссия, Фридрих II (1740-1786) ; 1771A ;  ; Ag ; F-VF ; 20 ; molchun ; 184 
 2061 ; 32 шиллинга. Любек. М-18,37г ; 1797HDF ;  ; Ag ; VF-XF ; 30 ; нумизмат ; 3909 
 2062 ; 1/2 дуката (клиппа). Штутгарт. М-1,36г ; ND ;  ; Ag ; XF+ ; 48 ; Nico ; 3589 
 2063 ; 5 марок. Бавария ; 1914D ;  ; Ag ; XF+ ; 102 ; vicnic ; 5270 
 2064 ; 5 марок. Медальные. В честь П. Гинденбурга. Веймар. D-36мм ; 1927D ;  ; Ag ; AU ; 53 ; Sky2 ; 2691 
 2065 ; 5 марок. Германия. Церковь в Потсдаме ; 1934D ;  ; Ag ; VF+ ; 42 ; }|{ивотное ; 463 
 2066 ; 5 марок. Германия. Церковь в Потсдаме ; 1934J ;  ; Ag ; F-VF ; 28 ; o.k. ; 326 
 2067 ; 5 марок. Германия. Церковь в Потсдаме ; 1935А ;  ; Ag ; VF ; 64 ; o.k. ; 352 
 2068 ; 5 марок. Германия. Церковь в Потсдаме ; 1935А ;  ; Ag ; VF ; 119 ; solder13 ; 378 
 2069 ; 5 марок. Германия. Церковь в Потсдаме ; 1935D ;  ; Ag ; VF ; 32 ; }|{ивотное ; 457 
 2070 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936J ;  ; Ag ; VF-XF ; 68 ;  каменьщик 8 ; 689 
 2071 ; 5 марок. Германия. Пауль фон Гинденбург ; 1937G ;  ; Ag ; VF-XF ; 67 ; }|{ивотное ; 604 
 2072 ; 5 марок. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; VF+ ; 32 ; александр владимирович ; 465 
 2073 ; 5 марок. Германия. Пауль фон Гинденбург ; 1938J ;  ; Ag ; VF-XF ; 132 ; }|{ивотное ; 604 
 2074 ; 5 марок. Германия. Пауль фон Гинденбург ; 1939А ;  ; Ag ; VF-XF ; 89 ; kiks ; 497 
 2075 ; 5 марок. Германия. Пауль фон Гинденбург ; 1939J ;  ; Ag ; XF- ; 101 ; }|{ивотное ; 629 
 2076 ; 3 марки. Саксон-Веймар-Айзенах. Великий герцог с женой ; 1910А ;  ; Ag ; AU ; 86 ; 525 ; 4991 
 2077 ; 3 марки. Анхальт ; 1911А ;  ; Ag ; XF-/XF+ ; 149 ; werter ; 2360 
 2078 ; 3 марки. Пруссия ; 1912А ;  ; Ag ; VF-XF ; 33 ; SadKo ; 596 
 2079 ; 3 марки. Гамбург ; 1912J ;  ; Ag ; VF-XF ; 42 ; dsp ; 976 
 2080 ; 3 марки. Анхальт. Годовщина серебряной свадьбы ; 1914 ;  ; Ag ; AU ; 60 ; fgh ; 2992 
 2081 ; 2 марки. Баден. 50 лет правления ; 1902 ;  ; Ag ; VF-XF ; 35 ; Sky2 ; 1226 
 2082 ; 2 марки. Гессен-Дарштадт. 400 лет Филиппу Магнанимусу ; 1904 ;  ; Ag ; AU ; 123 ; ШВС59 ; 3317 
 2083 ; 2 марки. Саксон-Веймар-Айзенах. 350 лет университету Йены ; 1908 ;  ; Ag ; AU ; 84 ; Sky2 ; 5206 
 2084 ; 2 марки. Пруссия. 25 лт правления ; 1913А ;  ; Ag ; XF+ ; 27 ; sveta6369 ; 714 
 2085 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; VF-XF ; 23 ; o.k. ; 199 
 2086 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; XF- ; 6 ; Серый_Михей ; 220 
 2087 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938G ;  ; Ag ; XF- ; 24 ; }|{ивотное ; 254 
 2088 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938J ;  ; Ag ; VF-XF ; 20 ; }|{ивотное ; 253 
 2089 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939А ;  ; Ag ; XF- ; 18 ; o.k. ; 233 
 2090 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939G ;  ; Ag ; VF ; 10 ; }|{ивотное ; 228 
 2091 ; 1 марка. Веймар ; 1924А ;  ; Ag ; VF ; 29 ; В1951 ; 510 
 1984 ; Лот монет СССР (7шт): 20к,15к,10к,5к,3к,2к,1к ; 1988 ;  ; Cu/Ni,Cu/Z ; XF-/AU ; 4 ; NK ; 5 
 1985 ; Лот монет СССР (7шт): 20к,15к,10к,5к,3к,2к,1к ; 1987 ;  ; Cu/Ni,Cu/Z ; VF-XF/XF+ ; 3 ; Cvetkov ; 4 
 1986 ; Лот монет СССР (7шт): 20к,15к,10к,5к,3к,2к,1к ; 1982 ;  ; Cu/Ni,Cu/Z ; VF/XF ; 6 ; Celika ; 7 
 1987 ; Лот монет СССР: 1 копейка (102шт) ; 1986-1991 ;  ; Cu-Zn ; XF/AU ; 45 ; bgb007 ; 67 
 1988 ; Лот монет СССР: 1 рубль (50 лет Советской Власти, 20 лет победы, 100 лет Ленину) ; 1964-1970 ;  ; Cu-Ni ; VF/VF+ ; 5 ; Gell13 ; 24 
 1989 ; Лот монет СССР: 15,10 коп (29шт) ; 1961-1991 ;  ; Cu-Ni ; VF+/XF+ ; 31 ; Smit ; 31 
 1990 ; Лот монет СССР: 20,15,10,3,2,1 коп (9шт) ; 1924 ;  ; Cu,Ni ; F/F+ ; 45 ; молоток ; 317 
 1991 ; Лот монет СССР: 15,10,5 коп (3шт) ; 1932,1936,1955 ;  ; Ni,BR ; F-VF/VF ; 16 ; Инвестор ; 80 
 1992 ; Лот монет СССР (17шт): 5 копеек ; 1930-1957 ;  ; Br ; VG/F ; 37 ; Statuetka ; 313 
 1993 ; Лот монет СССР (6шт): 5 копеек ; 1946-1957 ;  ; Br ; F+/VF- ; 18 ; first ; 88 
 1994 ; Лот монет СССР (10шт): 3 копейки ; 1929-1957 ;  ; Br ; F-VF/VF ; 34 ; рабинович ; 272 
 1995 ; Лот монет СССР (8шт): 2копейки,1 копейка ; 1926-1939 ;  ; Br ; F+/F-VF ; 31 ; o.k. ; 183 
 1996 ; Лот монет СССР: 5,3,2,1 коп (8шт) ; 1924 ;  ; Cu ; F/F+ ; 50 ; молоток ; 329 
 1997 ; Лот монет СССР: 2 коп (8шт) ; 1924 ;  ; Cu ; F/F+ ; 42 ; молоток ; 163 
 1998 ; Лот монет СССР: 15,10 коп (3шт) ; 1923,1925,1929 ;  ; Биллон ; F+ ; 48 ; don-juras ; 91 
 1999 ; Лот монет СССР: 5,3,2,1 коп (8шт) ; 1924 ;  ; Cu ; F/F+ ; 91 ; молоток ; 414 
