 3263 ; 50 рублей ; 1919 ;  ;  ;  ; 56 ; vanamo ; 194 
 2399 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 27 ; maka ; 906 
 2400 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; XF+ ; 4 ; Mike! ; 809 
 2401 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; XF- ; 47 ; vitapool ; 770 
 2402 ; 2 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; AU ; 40 ; ilshatgs ; 791 
 2403 ; 2 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; AU ; 18 ; maka ; 1041 
 2404 ; 2 марки. Пруссия. 25 лет правления ; 1913A ;  ; Ag ; XF/AU ; 5 ; ez ; 809 
 2405 ; 2 марки. Германия. 450 лет со дня рождения Мартина Лютера ; 1933А ;  ; Ag ; VF+ ; 73 ; derbnik ; 1326 
 2406 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 30 ; Rober ; 176 
 2407 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 6 ; vitapool ; 174 
 2408 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937A ;  ; Ag ; VF+ ; 26 ; sergei62 ; 173 
 2409 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937D ;  ; Ag ; VF+ ; 37 ; sergei62 ; 193 
 2410 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF+ ; 15 ; mishanya ; 189 
 2411 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF+ ; 21 ; Rober ; 132 
 2412 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938B ;  ; Ag ; VF+ ; 17 ; vitapool ; 131 
 2313 ; Жетон. США. М-0,51г ;  ;  ; Au ; AU ; 77 ; galaktik ; 1000 
 2314 ; Талер. Пруссия. Деформация ; 1750B ;  ; Ag ; VF- ; 78 ; Георг ; 7772 
 2315 ; Талер. Пруссия ; 1781B ;  ; Ag ; VF ; 28 ; sherif-69 ; 3060 
 2316 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; XF+ ; 60 ; BST ; 2039 
 2317 ; Талер. Пруссия. Коронация ; 1861A ;  ; Ag ; XF- ; 54 ; ФРАНКИНШТЕЙН ; 1421 
 2318 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; XF-/VF+ ; 26 ; dvg ; 1249 
 2319 ; Талер. Пруссия ; 1866А ;  ; Ag ; VF- ; 45 ; vitapool ; 809 
 2320 ; Талер. Пруссия. В честь победы над Францией ; 1871A ;  ; Ag ; VF-XF ; 70 ; vol ; 1428 
 2321 ; Талер. Пруссия. В честь победы над Францией ; 1871A ;  ; Ag ; VF+ ; 77 ; AVLid ; 1353 
 2322 ; Талер. Пруссия. В честь побед над Францией ; 1871А ;  ; Ag ; F-VF/VF- ; 61 ; derbnik ; 1474 
 2323 ; 2/3 талера. Вестфалия ; 1811С ;  ; Ag ; VF- ; 78 ; kott35 ; 2826 
 2324 ; 1/12 талера. Пруссия, Фридрих II (1740-1786) ; 1765B ;  ; Ag ; F-VF ; 7 ; vitapool ; 373 
 2325 ; 1/12 талера. Саксония, Фридрих III (1763-1827) ; 1809SGH ;  ; Ag ; F+ ; 79 ; vitapool ; 285 
 2326 ; 1/24 талера. Пруссия ; 1782А ;  ; Ag ; VF ; 71 ; Luka ; 918 
 2327 ; 5 марок. Саксония ; 1875E ;  ; Ag ; VF- ; 48 ; vol ; 1384 
 2328 ; 5 марок. Баден ; 1875G ;  ; Ag ; VF- ; 30 ; vol ; 1256 
 2329 ; 5 марок. Гамбург ; 1875J ;  ; Ag ; VF- ; 32 ; vol ; 950 
 2330 ; 5 марок. Пруссия ; 1876B ;  ; Ag ; F-VF ; 39 ; kirov ; 843 
 2331 ; 5 марок. Бавария ; 1876D ;  ; Ag ; VF ; 11 ; димитрий ; 1230 
 2332 ; 5 марок. Вюртемберг ; 1876F ;  ; Ag ; VF- ; 206 ; Luka ; 1600 
 2333 ; 5 марок. Пруссия. Ремонт гурта ; 1888A ;  ; Ag ; VF- ; 47 ; nabon ; 1181 
 2334 ; 5 марок. Бавария ; 1894D ;  ; Ag ; VF ; 19 ; Poiuyt ; 711 
 2335 ; 5 марок. Пруссия ; 1895A ;  ; Ag ; VF- ; 48 ; vitapool ; 741 
 2336 ; 5 марок. Пруссия ; 1898A ;  ; Ag ; VF- ; 48 ; 787878 ; 536 
 2337 ; 5 марок. Бавария ; 1902D ;  ; Ag ; VF ; 2 ; Mike! ; 888 
 2338 ; 5 марок. Пруссия ; 1903А ;  ; Ag ; VF ; 2 ; Mike! ; 777 
 2339 ; 5 марок. Бавария ; 1903D ;  ; Ag ; VF ; 41 ; Rober ; 596 
 2340 ; 5 марок. Баден ; 1903G ;  ; Ag ; VF ; 45 ; FEDOTOV1920 ; 1138 
 2341 ; 5 марок. Вюртемберг ; 1903F ;  ; Ag ; VF+ ; 33 ; vitapool ; 902 
 2342 ; 5 марок. Пруссия ; 1904A ;  ; Ag ; XF-/XF+ ; 7 ; dvg ; 903 
 2343 ; 5 марок. Мекленбург-Шверин. На бракосочетание ; 1904A ;  ; Ag ; XF/XF+ ; 49 ; ШВС59 ; 5667 
 2344 ; 5 марок. Пруссия ; 1907A ;  ; Ag ; VF+ ; 7 ; 787878 ; 538 
 2345 ; 5 марок. Саксония ; 1907E ;  ; Ag ; VF-XF ; 25 ; k212 ; 1259 
 2346 ; 5 марок. Бавария ; 1908D ;  ; Ag ; VF+/VF-XF ; 27 ; KKK ; 786 
 2347 ; 5 марок. Гамбург ; 1908J ;  ; Ag ; VF-XF ; 25 ; sinisha ; 1134 
 2348 ; 5 марок. Гамбург ; 1908J ;  ; Ag ; VF ; 7 ; FEDOTOV1920 ; 1134 
 2349 ; 5 марок. Пруссия ; 1913A ;  ; Ag ; AU ; 49 ; 439 ; 1554 
 2350 ; 5 марок. Баден ; 1913G ;  ; Ag ; XF- ; 44 ; vol ; 1502 
 2351 ; 5 марок. Гамбург ; 1913J ;  ; Ag ; XF/XF+ ; 49 ; maka ; 1663 
 2352 ; 5 марок. Пруссия ; 1914A ;  ; Ag ; XF+ ; 32 ; Luka ; 890 
 2353 ; 5 марок. Пруссия ; 1914А ;  ; Ag ; XF+ ; 50 ; Rober ; 867 
 2354 ; 5 марок. Германия. Церковь в Потсдаме ; 1935A ;  ; Ag ; F-VF ; 11 ; sergei62 ; 348 
 2355 ; 5 марок. Германия. Церковь в Потсдаме ; 1935A ;  ; Ag ; VF ; 13 ; Borix ; 315 
 2356 ; 5 марок. Германия. Пауль фон Гинденбург ; 1935F ;  ; Ag ; VF- ; 15 ; Николай 81 ; 295 
 2357 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF ; 4 ; Mike! ; 325 
 2358 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF+ ; 10 ; sergei62 ; 258 
 2359 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF ; 11 ; ФРАНКИНШТЕЙН ; 264 
 2360 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936A ;  ; Ag ; VF- ; 10 ; sergei62 ; 258 
 2361 ; 5 марок. Германия. Пауль фон Гинденбург ; 1937E ;  ; Ag ; VF ; 5 ; sergei62 ; 332 
 2362 ; 5 марок. Германия. Пауль фон Гинденбург ; 1938A ;  ; Ag ; VF-XF ; 11 ; Vico ; 299 
 2261 ; Лот монет СССР:3 копейки (3шт) ; 1930-1932 ;  ; Br ; F+/VF- ; 13 ; valsv ; 12 
 2262 ; Лот монет СССР:3 копейки (6шт) ; 1946-1957 ;  ; Br ; F+/VF+ ; 14 ; valsv ; 13 
 2263 ; Лот монет СССР:2 копейки (3шт) ; 1950-1957 ;  ; Br ; F-VF ; 6 ; valsv ; 7 
 2264 ; Лот монет СССР: 2,1 коп (2шт) ; 1924 ;  ; Cu ; F ; 61 ; valsv ; 71 
 2265 ; Лот монет России: 10коп,2коп (2шт) ; 19век,1903 ;  ; Ag,Cu ; F/F-VF ; 17 ; Al0851 ; 20 
 2266 ; Лот монет СССР (23шт): 1 копейка ; 1963-1991 ;  ; Cu/Zn ; VF/AU ; 37 ; EWGN345 ; 139 
 2267 ; Лот монет СССР:1 копейка (7шт) ; 1946-1956 ;  ; Br ; VF/XF ; 16 ; valsv ; 15 
 2268 ; Лот монет СССР (12шт): 1 копейка ; 1965-1991 ;  ; Br ; F-VF/AU ; 11 ; valsv ; 12 
 2269 ; Лот монет СССР: 3 к (19шт) 2 к (17шт) 1 к (17шт) ; 1961-1991 ;  ; Cu-Zn ; VF-/XF+ ; 62 ; EWGN345 ; 133 
 2270 ; Лот монет Банка России (8шт): 50р, 20р, 10р, 5р, 1р, 50к, 10к ; 1991-1993 ;  ; Би/м,Cu/Ni ; XF/AU ; 11 ; bolik ; 16 
 2271 ; Лот монет Банка России (7шт): 50р, 20р, 10р, 5р, 1р ; 1992-1993 ;  ; Cu/Zn,Cu/N ; XF-/AU ; 3 ; bolik ; 4 
 2272 ; Лот монет Банка России:2 рубля (ММД,ЛМД), 1 рубль (ММД,ЛМД), 50 копеек (СП,М),10 копеек(СП) (7шт) ; 1999 ;  ; Cu-Ni-Zn,B ; XF-/AU ; 8 ; Lotus 99 ; 216 
 2273 ; Лот монет СССР (7шт): 2р,1р,50к,10к,5к, 1к ; 2008,2009 ;  ; Cu в Cu/Ni ; AU ; 2 ; 439 ; 99 
 2274 ; Лот монет Банка России: 10, 5,2,1 рублей, 50,10,5,1 коп (8шт) ; 2009ММД ;  ; Cu в Cu-Ni ; AU ; 93 ; норд ; 173 
 2275 ; Лот монет Банка России: 5,2,1 рублей, 50,10,5,1 коп (7шт) ; 2009СПМД ;  ; Cu в Cu-Ni ; AU ; 131 ; scop ; 456 
 2276 ; Лот монет Банка России серии "Древние города России" и "Российская федерация", и 60 лет победы: 10 рублей (18шт) ; 2002-2009 ;  ; Би/м ; AU ; 41 ; VIVA ; 381 
 2277 ; Лот монет Банка России: 10 рублей (МинЭконом,МинФин,Вооруженные силы,МинЮст,Гагарин,55 лет победы) 6шт ; 2000-2002 ;  ; Би/м ; XF/AU ; 46 ; Rober ; 120 
 2278 ; Лот монет Банка России: 10 рублей (Старая Русса,Ряжск,Дорогобуж,Дмитров,Мценск) 5шт ; 2002-2005 ;  ; Би/м ; XF/AU ; 73 ; MishanD ; 142 
 2279 ; Лот монет Банка России: 10 рублей (Удмуртская республика,Свердловская о.,Ленинградская о.,Архангельская о.,Республика Башкортостан,Читинская о,Краснодарский Край,Орловская о.,Приморский край) 9шт ; 2005-2008 ;  ; Би/м ; XF+/AU ; 65 ; NFV ; 133 
 2280 ; Лот монет Банка России: 10 рублей (Азов,Смоленск,Приозерск,Владимир) 4шт ; 2008СПМД ;  ; Би/м ; AU ; 33 ; MishanD ; 124 
 2281 ; Лот монет Банка России: 10 рублей (Великий Новгород, Республика Адыгея) 2шт ; 2009СПМД ;  ; Би/м ; AU ; 57 ; TanechkaRE ; 100 
 2282 ; Лот монет Банка России: 10 рублей (Галич,Калуга,Еврейская Автономная область) 3шт ; 2009СПМД ;  ; Би/м ; AU ; 38 ; gjyd ; 60 
 2283 ; Лот монет Банка России: 10 рублей (Великий Новгород, Республика Адыгея) 2шт ; 2009ММД ;  ; Би/м ; AU ; 39 ; Kurganec ; 72 
 2284 ; Набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт)+2 жетона. Пластиковая упаковка ; 1977ЛМД ;  ; Cu-Ni,Cu-Z ; Unc/AU ; 44 ; nybyk ; 924 
 2287 ; Соверен. Великобритания. М-8,03г ; 1958 ;  ; Au ; AU ; 13 ; YSV ; 10168 
 2288 ; Соверен. Великобритания. М-8г ; 1965 ;  ; Au ; AU ; 8 ; кашира ; 10202 
 2289 ; Соверен. Великобритания. М-8,03г ; 1968 ;  ; Au ; AU ; 8 ; кашира ; 10202 
 2290 ; 20000 рейс. Бразилия, Петрус II. В капсуле NGC ; 1851 ;  ; Au ; AU 55 ; 37 ; world1 ; 17586 
 2291 ; 20000 рейс. Бразилия, Петрус II. Тираж: 186000 шт. В капсуле NGC ; 1852 ;  ; Au ; XF 45 ; 41 ; кузин ; 17500 
 2292 ; 1000 шиллингов. Австрия. 1000 лет династии Бабенбергер. М-13,55гр ; 1976 ;  ; Au ; AU ; 12 ; кашира ; 15810 
 2293 ; 20 крон. Австрия. М-6,79г ; 1893 ;  ; Au ; AU ; 16 ; popovas ; 7077 
 2294 ; 50 франков. Лихтенштейн. Принц Иосиф и принцесса Джина. Тираж 17тыс шт. М-11,33г ; 1956 ;  ; Au ; AU ; 15 ; u87 ; 12390 
 2295 ; 25 франков. Лихтенштейн. Принц Иосиф и принцесса Джина. Тираж 17тыс шт. М-5,66г ; 1956 ;  ; Au ; AU ; 16 ; kvasok ; 7140 
 2296 ; 20 франков. Бельгия, Леопольд. М-6,40гр ; 1865 ;  ; Au ; VF-XF ; 14 ; alexnkru ; 7125 
 2297 ; 20 франков. Бельгия, Леопольд II. М-6,46гр ; 1870 ;  ; Au ; AU ; 16 ; кашира ; 7972 
 2298 ; 20 франков. Бельгия, Альберт. М-6,46гр ; 1914 ;  ; Au ; AU ; 18 ; кашира ; 8090 
 2299 ; 10 марок. Гамбург. Тираж 41тыс шт. М-3,99г ; 1910J ;  ; Au ; XF+ ; 33 ; Ля-ля ; 8418 
 2300 ; 20 лир. Сардиния. Виктор Эммануил II. М-6,47г ; 1859 ;  ; Au ; AU ; 22 ; georg20 ; 8449 
 2301 ; 1 аргентино. Аргентина. М-8,06гр ; 1888 ;  ; Au ; AU ; 18 ; кашира ; 9832 
 2302 ; 5 колон. Коста-Рика, Христофор Колумб. М-3,90гр ; 1899 ;  ; Au ; XF+ ; 22 ; варяг2004 ; 4955 
 2303 ; 1 гинея. Саудовская Аравия. М-8,02г ; 1950 ;  ; Au ; AU ; 14 ; кашира ; 9575 
 2304 ; 5 песо. Уругвай. Тираж: 14415 шт. М-8,50гр ; 1930А ;  ; Au ; AU ; 11 ; u87 ; 9364 
 2305 ; 5 песо. Мексика. М-4,16г ; 1907 ;  ; Au ; VF-XF ; 12 ; Бэк ; 4652 
 2306 ; 2-1/2 песо. Мексика. М-2,08г ; 1945 ;  ; Au ; AU ; 29 ; Ohotnik ; 2817 
 2307 ; 2 песо. Мексика. М-1,69г ; 1945 ;  ; Au ; AU ; 33 ; Ohotnik ; 2160 
 2308 ; 2000 франков. Гвинея. 10 лет независимости. Высадка на луне. М-8,02г ; 1969 ;  ; Au ; Proof ; 41 ; кашира ; 9955 
 2309 ; 10 долларов. Эфиопия. 75 лет со дня рождения и 50 лет правления Хайле Селассие I. М-4,03г ; 1966 ;  ; Au ; Proof ; 32 ; димитрий ; 4248 
 2310 ; Жетон. 18-я Олимпиада в Токио. М-3,54г ; 1964 ;  ; Au ; Proof ; 40 ; Igorek81 ; 3888 
 2311 ; Жетон. Мексика. М-0,43г ; 1865 ;  ; Au ; AU ; 86 ; Parkevich ; 517 
 2312 ; Жетон. Китай. М-0,12г ; 1986 ;  ; Au ; AU ; 47 ; Parkevich ; 243 
 2211 ; 1 рубль - 1 доллар. Разоружения ; 1988 ;  ; Al ; AU ; 35 ; kai2009 ; 424 
 2212 ; Жетон. Метрополитен. Новосибирск ;  ;  ; Б/м ; XF ; 50 ; Borix ; 225 
 2213 ; Жетон. Метрополитен. Екатеринбург ;  ;  ; Пластмасса ; XF ; 62 ; Borix ; 126 
 2214 ; Жетон. Метрополитен. Москва ;  ;  ; Пластмасса ; XF+ ; 63 ; Borix ; 102 
 2215 ; Жетон. Метрополитен. Москва ;  ;  ; Пластмасса ; XF+ ; 37 ; sv13 ; 51 
 2216 ; Жетон. Метрополитен. Самара ; 1992 ;  ; Пластмасса ; XF+ ; 54 ; Borix ; 181 
 2217 ; Жетон. Метрополитен. Самара ;  ;  ; Ж/м ; AU ; 50 ; Borix ; 210 
 2218 ; Жетон. Метрополитен ;  ;  ; Ж/м ; VF+ ; 31 ; sv13 ; 136 
 2219 ; Жетон. Метрополитен. Москва ;  ;  ; Б/м ; VF-XF ; 93 ; sv13 ; 239 
 2220 ; 15 копеек 1991г. Сделаны вырезы под  телефонный жетон ;  ;  ; Cu/Ni ; F ; 5 ; kont ; 58 
 2221 ; Жетон. Телефон ;  ;  ; Б/м ; VF+ ; 15 ; edv1968 ; 15 
 2222 ; Жетон. Телефон. МТА ;  ;  ; Б/м ; VF ; 16 ; edv1968 ; 26 
 2223 ; Жетон. Телефон. Молдова ;  ;  ; Б/м ; VF+ ; 12 ; edv1968 ; 24 
 2224 ; Жетон. Телефон. МТС ;  ;  ; Б/м ; XF+ ; 17 ; vc57 ; 16 
 2225 ; Жетон. Телефон ;  ;  ; Ж/м ; XF ; 7 ; edv1968 ; 15 
 2226 ; Жетон. Телефон. МГТС ;  ;  ; Ж/м ; XF- ; 12 ; edv1968 ; 24 
 2227 ; Жетон. Телефон ;  ;  ; Ж/м ; XF+ ; 12 ; edv1968 ; 24 
 2228 ; Жетон. Телефон. Звязок ;  ;  ; Ж/м ; AU ; 3 ; Коллекционер ; 4 
 2229 ; Жетон. Московский метрополитен ;  ;  ; Пластмасса ; VF+ ; 14 ; sv13 ; 14 
 2230 ; Жетон. Московский метрополитен ;  ;  ; Ж/м ; VF-XF ; 2 ; Rober ; 3 
 2231 ; Жетон 2.  Рубль ;  ;  ; Ж/м ; XF+ ; 43 ; seaman ; 247 
 2232 ; Жетон. 1 рубль. Ленинградское Балтийское морское параходство ;  ;  ; Ж/м ; AU ; 56 ; SPA ; 1032 
 2233 ; Жетон. 10 копеек ;  ;  ; Ж/м ; VF ; 64 ; SV2009 ; 204 
 2234 ; Жетон. 5 копеек. ВЛСО А.Б. ;  ;  ; Б/м ; VF- ; 27 ; von_Schwarz ; 258 
 2235 ; Жетон. 3 ;  ;  ; Ж/м ; VF- ; 80 ; Sky2 ; 107 
 2236 ; Жетон. ММД. Упаковка ;  ;  ; Al ; Unc ; 36 ; vladzory ; 99 
 2237 ; Набор монет СССР (9шт): 1р, 50к, 20к,15к,10к,5к,3к,2к,1к. Упаковка ; 1976 ;  ; Cu/Ni/Zn,Л ; Unc/AU ; 12 ; QSCl ; 3232 
 2238 ; Набор монет СССР (10шт): 1р, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к+Жетон ЛМД. Упаковка пластиковая ; 1979ЛМД ;  ; Cu/Ni,Cu/Z ; Unc/AU ; 37 ; dragonfly ; 816 
 2239 ; Набор монет СССР "50 лет Советской власти": 1 рубль, 50,20,15,10 коп (5шт)+жетон. Целостность упаковки нарушена ; 1967ЛМД ;  ; Cu-Ni,Cu-Z ; Unc/AU ; 32 ; zigzag ; 558 
 2240 ; Набор монет СССР: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт)+жетон. Упаковка ; 1972ЛМД ;  ; Cu-Ni,Cu-Z ; Unc ; 30 ; 16091956vel ; 7409 
 2241 ; Набор монет СССР (10шт): 1р, 50к, 20к, 15к, 10к, 5к, 3к, 2к, 1к+Жетон ММД. Упаковка ; 1989ММД ;  ; Cu/Ni,Cu/Z ; Unc ; 42 ; nybyk ; 428 
 2242 ; 5 рублей ; 1991 ; Комплект "Красная книга СССР"  ; биметалл ; AU ; 2 ; Mike! ; 333 
 2243 ; Набор монет + 2 рубля Гагарин (8шт) ; 2000,2001 ; Города-герои ; Cu-Ni ; VF-XF/AU ; 58 ; кашира ; 134 
 2244 ; Лот юбилейных монет СССР: 1 рубль (3шт) ; 1965-1970 ;  ; Cu-Ni ; VF-/VF+ ; 4 ; Rustman ; 26 
 2245 ; Лот монет СССР: 50 копеек (7шт) ; 1964-1986 ;  ; Cu-Ni ; VF/XF+ ; 11 ; valsv ; 142 
 2246 ; Лот монет СССР:20 копеек (7шт) ; 1946-1957 ;  ; Ni ; VF-/XF ; 28 ; valsv ; 102 
 2247 ; Лот монет СССР: 20 к (6шт) 15 к (10шт) 10 к (19шт) ; 1961-1991 ;  ; Cu-Ni ; VF-/XF+ ; 35 ; EWGN345 ; 69 
 2248 ; Лот монет СССР:15 копеек (9шт) ; 1946-1957 ;  ; Ni ; VF-/XF ; 18 ; mic61 ; 107 
 2249 ; Лот монет СССР (11шт): 15 копеек ; 1979-1991 ;  ; Cu/Ni ; VF/AU ; 2 ; bolik ; 11 
 2250 ; Лот монет СССР (13шт): 20 копеек ; 1977-1990 ;  ; Cu/Ni ; VF/XF ; 48 ; EWGN345 ; 104 
 2251 ; Лот монет СССР (17шт): 10 копеек ; 1961-1990 ;  ; Cu/Ni ; VF/AU ; 9 ; bolik ; 21 
 2252 ; Лот монет СССР (17шт): 10 копеек ; 1961-1990 ;  ; Cu/Ni ; VF/AU ; 12 ; bolik ; 20 
 2253 ; Лот монет СССР (11шт): 15 копеек ; 1977-1991 ;  ; Cu/Ni ; VF/AU ; 13 ; bolik ; 13 
 2254 ; Лот монет СССР:10 копеек (2шт) ; 1956,1957 ;  ; Ni ; VF/XF- ; 30 ; bolik ; 30 
 2255 ; Лот монет СССР (17шт): 10 копеек ; 1961-1990 ;  ; Cu/Ni ; VF-XF ; 9 ; bolik ; 10 
 2256 ; Лот монет СССР (17шт): 10 копеек ; 1961-1990 ;  ; Cu/Ni ; VF/AU ; 15 ; bolik ; 16 
 2257 ; Лот монет СССР: 20,15,5,3,2 коп (14шт) ; 1930-1956 ;  ; Ni,Br ; F/VF ; 26 ; Антошка ; 104 
 2258 ; Лот монет СССР (13шт): 5к,3к,2к,1к ; 1961-1991 ;  ; Br ; VF/AU ; 12 ; bolik ; 31 
 2259 ; Лот монет СССР:20,15,10,3, 2,1 копкопеек (20шт) ; 1930-1957 ;  ; Ni,Br ; VF-/VF+ ; 3 ; molodes ; 368 
 2260 ; Лот монет СССР (3шт): 3 копейки, 5 копеек ; 1987,1991 ;  ; Cu/Zn ; AU ; 7 ; bolik ; 7 
 2161 ; 20 рублей ; 1993 ; ММД белый металл (магнитный) ; Cu-Ni ; AU ; 47 ; prostoFila ; 250 
 2162 ; 20 рублей ; 1992 ; ЛМД ; Cu-Ni ; AU ; 1 ; bolik ; 2 
 2163 ; 10 копеек ; 1991 ; М ; St ; AU ; 15 ; bolik ; 16 
 2164 ; 50 рублей ; 1993 ; ЛМД плакир.сталь ; Cu-Zn ; AU ; 1 ; Коллекционер ; 2 
 2165 ; 1 рубль ; 1992 ; Л ; Cu-Ni ; AU ; 1 ; Cvetkov ; 2 
 2166 ; 10 рублей. Брак чеканки ; 1992 ; ЛМД белый металл (немагнитный) ; Fe in Br ; AU ; 41 ; michuman33 ; 175 
 2167 ; 50 рублей ; 1993 ; ЛМД плакир.сталь ; Cu-Zn ; AU ; 4 ; @@@ ; 5 
 2168 ; 2 рубля. Города-Герои.Смоленск ; 2000ММД ;  ; Cu/Ni ; AU ; 5 ; bau-bai ; 25 
 2169 ; 2 рубля. Города-Герои.Всероссийск ; 2000СПМД ;  ; Cu/Ni ; AU ; 3 ; кашира ; 17 
 2170 ; 2 рубля. Города-Герои.Сталининград ; 2000СПМД ;  ; Cu/Ni ; AU ; 11 ; imi ; 12 
 2171 ; 10 рублей ; 2009ММД ;  ; Ж/м ; AU ; 107 ; fanil ; 367 
 2172 ; 2 рубля ; 1999 ; ММД ; Cu-Ni-Zn ; VF-XF ; 47 ; гость ; 160 
 2173 ; 2 рубля ; 1999 ; СПМД ; Cu-Ni-Zn ; XF- ; 12 ; kingarold ; 21 
 2174 ; 2 рубля ; 2001СПМД ; Ю.Гагарин ; Cu-Ni ; AU ; 29 ; pete ; 32 
 2175 ; 1 рубль ; 1999 ; ММД 200 лет со дня рождения А. ; Cu-Ni ; AU ; 41 ; stroitel61 ; 110 
 2176 ; 1 рубль ; 1999 ; СПМД 200 лет со дня рождения А ; Cu-Ni ; XF+ ; 30 ; kvm64 ; 107 
 2177 ; 1 рубль ; 1999 ; СПМД ; Cu-Ni-Zn ; XF ; 14 ; nybyk ; 12 
 2178 ; 1 рубль ; 1999 ; ММД ; Cu-Ni-Zn ; XF+ ; 10 ; гость ; 11 
 2179 ; 5 рублей. Магнитные ; 2009ММД ;  ; Б/м ; AU ; 79 ; michuman33 ; 255 
 2180 ; 10 рублей ; 2009ММД ;  ; Ж/м ; AU ; 69 ; vladzory ; 122 
 2181 ; 1 рубль ; 2001 ; 10 лет СНГ ; Cu-Ni ; AU ; 15 ; кашира ; 104 
 2182 ; 1 рубль ; 1999 ; ММД 200 лет со дня рождения А. ; Cu-Ni ; AU ; 53 ; michuman33 ; 140 
 2183 ; 1 рубль ; 1999 ; СПМД 200 лет со дня рождения А ; Cu-Ni ; AU ; 85 ; michuman33 ; 261 
 2184 ; 1 рубль ; 1999 ; ММД 200 лет со дня рождения А. ; Cu-Ni ; AU ; 41 ; Ksandor ; 113 
 2185 ; 5 рублей "Красная книга. Винторогий козел". В оригинальной упаковке ; 1991ЛМД ;  ; Би/м ; Unc ; 26 ; Batya.Manowar ; 300 
 2186 ; 10 рублей ; 2000 ; СПМД 55 лет Победы ; Би/м ; XF+ ; 3 ; kvm64 ; 31 
 2187 ; 10 рублей ; 2004 ; Кемь ; Би/м ; AU ; 25 ; Rober ; 32 
 2188 ; 10 рублей. Калининград ; 2005ММД ;  ; Би/м ; AU ; 44 ; Rober ; 59 
 2189 ; 10 рублей ; 2006ММД ; Каргополь ; Би/м ; AU ; 10 ; nybyk ; 32 
 2190 ; 10 рублей ; 2007СПМД ; Гдов. Древние города России ; Би/м ; AU ; 32 ; ira7774 ; 63 
 2191 ; 10 рублей. Древние города России. Смоленск ; 2008СПМД ;  ; Би/м ; AU ; 7 ; MishanD ; 32 
 2192 ; 10 рублей. Древние города России. Владимир ; 2008СПМД ;  ; Би/м ; AU ; 33 ; del ; 65 
 2193 ; 10 рублей. Древние города России. Азов ; 2008СПМД ;  ; Би/м ; AU ; 13 ; MishanD ; 32 
 2194 ; 10 рублей. Древние города России. Приозерск ; 2008СПМД ;  ; Би/м ; AU ; 54 ; ira7774 ; 98 
 2195 ; 10 рублей. Кабардино-Балкарская Республика ; 2008ММД ;  ; Би/м ; AU ; 17 ; Vico ; 31 
 2196 ; 10 рублей. Приозерск ; 2008ММД ;  ; биметалл ; AU ; 31 ; vjacha ; 33 
 2197 ; 10 рублей. Смоленск ; 2008ММД ;  ; биметалл ; AU ; 49 ; del ; 50 
 2198 ; 10 рублей. Азов ; 2008ММД ;  ; биметалл ; AU ; 39 ; ira7774 ; 46 
 2199 ; 10 рублей. Республика Калмыкия ; 2009ММД ;  ; биметалл ; AU ; 17 ; vjacha ; 34 
 2200 ; 10 рублей. Выборг ; 2009ММД ;  ; биметалл ; AU ; 13 ; Kurganec ; 23 
 2201 ; 10 рублей. Еврейская Автономная область ; 2009ММД ;  ; биметалл ; AU ; 15 ; Kurganec ; 26 
 2202 ; 10 рублей. Галич ; 2009ММД ;  ; биметалл ; AU ; 15 ; Kurganec ; 32 
 2203 ; 10 рублей. Калуга ; 2009ММД ;  ; биметалл ; AU ; 11 ; tania-5 ; 26 
 2204 ; 10 рублей. Татарстан. Медведь ; 2008 ;  ; Ж/м ; AU ; 23 ; MishanD ; 254 
 2205 ; 5 рублей. Татарстан. Волк ; 2008 ;  ; Б/м ; AU ; 28 ; MishanD ; 258 
 2206 ; 3 рубля. Татарстан. Лиса ; 2008 ;  ; Б/м ; AU ; 24 ; MishanD ; 258 
 2207 ; 1 рубль. Татарстан. Олень ; 2008 ;  ; Ж/м ; AU ; 35 ; MishanD ; 258 
