 5556 ; Почтовая карточка Будапешт ; 1932 ;  ;  ;  ; 26 ; Приор ; 255 
 4085 ; 1 доллар. Эритрея. Защита планеты Земля ; 1994 ;  ; Cu-Ni ; AU ; 50 ; SKeeper ; 276 
 4086 ; 1 доллар. Эритрея. Защита планеты Земля ; 1994 ;  ; Cu-Ni ; AU ; 56 ; SKeeper ; 273 
 4087 ; 1 доллар. Эритрея. Защита планеты Земля ; 1996 ;  ; Cu-Ni ; AU ; 67 ; птичка16 ; 323 
 4088 ; 1 доллар. Эритрея. Защита планеты Земля ; 1996 ;  ; Cu-Ni ; XF+ ; 30 ; SKeeper ; 276 
 4089 ; 1 песо. Куба. ; 1993 ;  ; Cu-Ni ; AU ; 17 ; SKeeper ; 286 
 4090 ; 1 песо. Куба. Игуана ; 1985 ;  ; Cu-Ni ; AU ; 19 ; salim ; 353 
 4091 ; 1 песо. Куба. Попугай ; 1985 ;  ; Cu-Ni ; AU ; 17 ; птичка16 ; 420 
 4092 ; 2 вон. Северная Корея. Чемпионат мира по футболу в 2006 ; 2000 ;  ; Ag ; AU ; 36 ; collector64 ; 867 
 4093 ; 5 евро. Нидерланды ; 2005 ;  ; Ag, позол ; AU ; 48 ; chief com ; 607 
 4094 ; 10 марок. Германия. Карл Зейсс ; 1988 ;  ; Ag, позол ; XF ; 15 ; Elephant ; 343 
 4095 ; 10 долларов. Либерия. Чемпионат мира по футболу в 2006г. Англия ; 2005 ;  ; Ag ; Proof ; 19 ; miranda ; 1576 
 4096 ; 500 вон. Северная Корея. Олимпиада 2000г ; 1996 ;  ; Ag ; Proof ; 24 ; EVR ; 1542 
 4097 ; 25 песо. Мексика. Чемпионат мира по футболу в 1986г ; 1985 ;  ; Ag ; Proof ; 15 ; Varoh ; 600 
 4098 ; 5 долларов. Либерия. Год собаки ; 2000 ;  ; Cu/Ni ; AU ; 18 ; SKeeper ; 204 
 4099 ; 2 евро. Люксембург ; 2005 ;  ; Би/м ; AU ; 7 ; sia.beauty ; 200 
 4100 ; 5 центов. Сан Марино ; 2004 ;  ; Cu ; AU ; 17 ; x-file ; 41 
 4101 ; 2 цента. Мальта. Проба. Упаковка ; 2006 ;  ; Cu ; AU ; 7 ; x-file ; 48 
 4102 ; 2 цента. Норвегия. Проба. Упаковка ; 2004 ;  ; Cu ; AU ; 9 ; x-file ; 53 
 4103 ; 5 центов. Монако. Проба ; 2005 ;  ; Cu ; AU ; 8 ; x-file ; 48 
 4104 ; 2 цента. Лихтенштейн. Проба. Упаковка ; 2004 ;  ; Cu ; AU ; 12 ; official ; 85 
 4105 ; 10 экю. Нидерланды ; 1995 ;  ; Cu-Ni ; AU ; 15 ; SKeeper ; 136 
 4106 ; 2 евро. Проба. Словения ; 2003 ;  ; Би/м ; AU ; 5 ; крлкв ; 46 
 4107 ; 2 евро. Проба. Ватикан ; 2007 ;  ; Би/м ; AU ; 10 ; крлкв ; 153 
 4108 ; 2 евро. Проба. Ватикан ; 2007 ;  ; Би/м ; AU ; 51 ; Elephant ; 138 
 4009 ; 2 гривны. Украина. Игорь Сикорский ; 2009 ;  ; Cu-Ni ; XF+ ; 18 ; Dinar02 ; 303 
 4010 ; 2 гривны. Украина. Стерлядь ; 2012 ;  ; Cu-Ni ; AU ; 19 ; Mike! ; 281 
 4011 ; 5 гривен. Украина. 50 лет Украины в ЮНЕСКО ; 2004 ;  ; Би/м ; XF+ ; 20 ; u10257 ; 309 
 4012 ; 5 гривен. Украина. Банкура ; 2003 ;  ; Би/м ; AU ; 14 ; Хромосян ; 1500 
 4013 ; 5 гривен. Украина. 50 лет Украины в ЮНЕСКО ; 2001 ;  ; Би/м ; XF ; 38 ; Mike! ; 907 
 4014 ; 1 доллар. Канада. Трон ; 1977 ;  ; Ag ; AU ; 18 ; Mike! ; 588 
 4015 ; 1 экю. Великобритания ; 1992 ;  ; Cu-Ni ; XF ; 24 ; Ok203 ; 136 
 4016 ; Монетовидный жетон 1 флорин ;  ;  ; Cu-Ni ; XF ; 27 ; franklin ; 102 
 4017 ; 1 шиллинг. Великобритания ; 1951 ;  ; Cu-Ni ; XF ; 44 ; Jeff ; 153 
 4018 ; 10 динаров. Югославия ; 1976 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 148 
 4019 ; 25 эскудо. Португалия. Хоккей ; 1982 ;  ; Cu-Ni ; AU ; 20 ; luchano ; 100 
 4020 ; 10 злотых. Польша. Коперник ; 1959 ;  ; Cu-Ni ; XF ; 27 ; Oleg73 ; 116 
 4021 ; 20 франков. Французская Полинезия ; 1967 ;  ; Cu-Ni ; XF ; 12 ; лексан 98 ; 90 
 4022 ; 2 марки. ФРГ ; 1974 ;  ; Cu-Ni ; XF ; 33 ; uhfvv7 ; 79 
 4023 ; 2 марки. ФРГ ; 1994 ;  ; Cu-Ni ; VF+ ; 18 ; uhfvv7 ; 102 
 4024 ; 20 франков. Французская Полинезия ; 1969 ;  ; Cu-Ni ; VF+ ; 49 ; STANDART ; 95 
 4025 ; 5 крон. Норвегия ; 1994 ;  ; Cu-Ni ; AU ; 23 ; DVZ ; 101 
 4026 ; 3 пенса. Гернси ; 1959 ;  ; Cu-Ni ; AU ; 28 ; митяй ; 128 
 4027 ; 6 пенсов. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 32 ; val211 ; 86 
 4028 ; 1 шиллинг. Великобритания ; 1953 ;  ; Cu-Ni ; AU ; 32 ; 1879 ; 152 
 4029 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; AU ; 7 ; luchano ; 51 
 4030 ; 6 пенсов. Великобритания ; 1948 ;  ; Cu-Ni ; XF ; 17 ; Jeff ; 153 
 4031 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; XF+ ; 19 ; Mike! ; 77 
 4032 ; 5 шиллингов. Австрия ; 1975 ;  ; Cu-Ni ; Proof ; 33 ; hanim ; 48 
 4033 ; 1 доллар. Барбадос ; 1973 ;  ; Cu-Ni ; Proof ; 11 ; Mike! ; 175 
 4034 ; 5 шиллингов. Австрия ; 1983 ;  ; Cu-Ni ; Proof ; 23 ; hanim ; 72 
 4035 ; 1 шиллинг. Великобритания ; 1949 ;  ; Cu-Ni ; XF+ ; 27 ; Shundr ; 117 
 4036 ; 1 шиллинг. Великобритания ; 1963 ;  ; Cu-Ni ; AU ; 29 ; Mike! ; 73 
 4037 ; 6 пенсов. Великобритания ; 1949 ;  ; Cu-Ni ; XF ; 26 ; Mike! ; 62 
 4038 ; 50 прута. Израиль ;  ;  ; Cu-Ni ; VF ; 19 ; Mike! ; 38 
 4039 ; 50 центов. Канада ; 1979 ;  ; Cu-Ni ; XF+ ; 10 ; Mike! ; 66 
 4040 ; 2 шиллинга. Великобритания ; 1947 ;  ; Cu-Ni ; VF ; 28 ; Mike! ; 43 
 4041 ; 2 марки. ФРГ ; 1990 ;  ; Cu-Ni ; VF+ ; 11 ; Holder31 ; 123 
 4042 ; 10 сентаво. Мексика ; 1946 ;  ; Cu-Ni ; VF ; 7 ; Mike! ; 23 
 4043 ; 2 марки. ФРГ ; 1990 ;  ; Cu-Ni ; VF ; 19 ; uhfvv7 ; 123 
 4044 ; 6 пенсов. Великобритания ; 1966 ;  ; Cu-Ni ; AU ; 23 ; Mike! ; 65 
 4045 ; 50 крон. Чехословакия. Коллар ; 1977 ;  ; Ag ; AU ; 26 ; chief com ; 568 
 4046 ; 10 евро. Германия. Немецкий музей ; 2003D ;  ; Ag ; Proof ; 20 ; SKeeper ; 739 
 4047 ; 100 крон. Чехословакия. Богуслав Мартину ; 1990 ;  ; Ag ; XF ; 23 ; vasek ; 533 
 4048 ; 25 крон. Чехословакия. 50 лет Словакскому Национальному театру ; 1970 ;  ; Ag ; XF ; 11 ; jj ; 555 
 4049 ; 2 кроны. Австрия ; 2012 ;  ; Ag ; XF ; 34 ; vlagren ; 547 
 4050 ; 50 крон. Чехословакия. Янко Есенский ; 1974 ;  ; Ag ; AU ; 13 ; jj ; 520 
 4051 ; 25 крон. Чехословакия. 25 лет победы ; 1965 ;  ; Ag ; XF ; 14 ; salim ; 369 
 4052 ; 50 крон. Чехословакия. 650 лет мон двору Кремницы ; 1978 ;  ; Ag ; AU ; 25 ; jj ; 599 
 4053 ; 100 крон. Чехословакия. Сталин ; 1949 ;  ; Ag ; VF+ ; 28 ; заяц побегаец ; 901 
 4054 ; 2 короны. Венгрия ; 1912 ;  ; Ag ; VF ; 36 ; 3ТЭП75 ; 554 
 4055 ; 1 корона. Венгрия ; 1915 ;  ; Ag ; XF ; 35 ; StasStas ; 333 
 4056 ; 50 крон. Чехословакия. Сталин ; 1949 ;  ; Ag ; XF ; 23 ; заяц побегаец ; 862 
 4057 ; 5 крон. Словакия ; 1939 ;  ; Cu-Ni ; XF ; 35 ; AGA ; 206 
 4058 ; 2 злотых. Польша ; 2001 ;  ; Al/Br ; AU ; 15 ; dim66 ; 318 
 3959 ; Фартинг. Великобритания ; 1873 ;  ; Br ; VF- ; 14 ; Mike! ; 222 
 3960 ; 5 сантимов. Франция ; 1918 ;  ; Br ; VF- ; 4 ; Mike! ; 22 
 3961 ; 1 марка. Веймар ; 1934A ;  ; Cu-Ni ; XF- ; 25 ; Mike! ; 322 
 3962 ; 10 сантимов. Бельгия ; 1915 ;  ; Zn ; VF ; 8 ; Mike! ; 23 
 3963 ; 1 крейцер. Вюртемберг ; 1849 ;  ; Ag ; F+ ; 18 ; von_Schwarz ; 261 
 3964 ; 10 стотинок. Болгария ; 1906 ;  ; Cu-Ni ; VF ; 5 ; Mike! ; 23 
 3965 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; XF ; 14 ; Mike! ; 199 
 3966 ; 2 пфеннига. Саксен-Мейнинген ; 1855 ;  ; Cu ; VF+ ; 17 ; buhar1956 ; 306 
 3967 ; 20 раппен Чехословакия ; 1921 ;  ; Cu-Ni ; VF+ ; 7 ; Mike! ; 23 
 3968 ; 2 раппен. Швейцария ; 1905 ;  ; Br ; F ; 4 ; Mike! ; 22 
 3969 ; 1 крона. Чехословакия ; 1922 ;  ; Cu-Ni ; VF ; 18 ; Mike! ; 47 
 3970 ; 10 марок. Германия. Шлезвиг-гольштейн ; 1923 ;  ; Al ; VF ; 5 ; osir12 ; 106 
 3971 ; 1 пфенниг. Саксен-Мейнинген ; 1856 ;  ; Cu ; VF ; 11 ; Mike! ; 235 
 3972 ; 1 доллар. Канада. Игры содружества ; 1978 ;  ; Ag ; AU ; 17 ; Mike! ; 526 
 3973 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 212 
 3974 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 11 ; Промитей ; 230 
 3975 ; 5 гривен. Украина. Керчь ; 2000 ;  ; Cu-Ni ; XF ; 28 ; Mike! ; 1307 
 3976 ; 5 гривен. Украина. Независимость ; 2006 ;  ; Cu-Ni ; AU ; 8 ; Mike! ; 224 
 3977 ; 5 гривен. Украина. Чигирин ; 2012 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 303 
 3978 ; 5 гривен. Украина. "Савур-Могила" ; 2013 ;  ; Cu-Ni ; AU ; 18 ; u10257 ; 400 
 3979 ; 5 гривен. Украина. Академия ; 2001 ;  ; Cu-Ni ; AU ; 27 ; Хромосян ; 1765 
 3980 ; 5 гривен. Украина. Национальная парламентская библиотека ; 2016 ;  ; Cu-Ni ; AU ; 12 ; v_bond ; 189 
 3981 ; 5 гривен. Украина. ООН ; 2016 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 189 
 3982 ; Медаль. Чернобыль. Украина. D-35мм ; 2016 ;  ; Cu-Ni ; AU ; 17 ; dinkini ; 202 
 3983 ; 5 гривен. Украина. Дуга Струве ; 2016 ;  ; Cu-Ni ; AU ; 18 ; Mike! ; 189 
 3984 ; 5 гривен. Украина. Корсунь-Шевченковская битва ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 189 
 3985 ; 5 гривен. Украина. 15 лет конституции ; 2011 ;  ; Cu-Ni ; AU ; 38 ; Mike! ; 312 
 3986 ; 5 гривен. Украина. 725 лет Ровно ; 2008 ;  ; Cu-Ni ; AU ; 7 ; Foxes ; 153 
 3987 ; 5 гривен. Украина. Ровно ; 2008 ;  ; Cu-Ni ; XF ; 12 ; Mike! ; 190 
 3988 ; 5 гривен. Украина. Древний Малин ; 2016 ;  ; Cu-Ni ; AU ; 14 ; Dahan ; 194 
 3989 ; 5 гривен. Украина. Собор Святого Николая ; 2016 ;  ; Cu-Ni ; AU ; 18 ; Mike! ; 193 
 3990 ; 5 гривен. Украина. Дрогобыч ; 2016 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 204 
 3991 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 207 
 3992 ; 5 гривен. Украина. Геноцид ; 2016 ;  ; Cu-Ni ; AU ; 16 ; Mike! ; 465 
 3993 ; 5 гривен. Украина. Чернигов ; 2007 ;  ; Cu-Ni ; AU ; 14 ; Mike! ; 207 
 3994 ; 5 гривен. Украина. Благовещение ; 2008 ;  ; Cu-Ni ; AU ; 38 ; макс555 ; 340 
 3995 ; 5 гривен. Украина. Роспись ; 2016 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 362 
 3996 ; 2 гривны. Украина. Тернопольский университет ; 2016 ;  ; Cu-Ni ; AU ; 4 ; Mike! ; 111 
 3997 ; 2 гривны. Украина. Михаил Грушевский ; 2006 ;  ; Cu-Ni ; XF ; 13 ; Mike! ; 114 
 3998 ; 2 гривны. Украина. Софья Русова ; 2016 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 204 
 3999 ; 2 гривны. Украина. Иван Карпенко-Карий ; 2015 ;  ; Cu-Ni ; AU ; 14 ; Mike! ; 134 
 4000 ; 2 гривны. Украина. Лекарское Товарищество ; 2010 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 174 
 4001 ; 2 гривны. Украина. Олег Антонов ; 2006 ;  ; Cu-Ni ; AU ; 12 ; kornum ; 354 
 4002 ; 2 гривны. Украина. Зубр ; 2003 ;  ; Cu-Ni ; XF- ; 28 ; Хромосян ; 878 
 4003 ; 2 гривны. Украина. Спорт ; 2007 ;  ; Cu-Ni ; AU ; 10 ; Хромосян ; 250 
 4004 ; 2 гривны. Украина. Паралимпийские игры ; 2012 ;  ; Cu-Ni ; AU ; 20 ; Mike! ; 182 
 4005 ; 2 гривны. Украина. Олимпиада ; 2016 ;  ; Cu-Ni ; AU ; 27 ; Mike! ; 561 
 4006 ; 2 гривны. Украина. 20 лет конституции ; 2016 ;  ; Cu-Ni ; AU ; 4 ; Mike! ; 111 
 4007 ; 2 гривны. Украина. Аграрный университет ; 2016 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 148 
 4008 ; 2 гривны. Украина. Иван Миколайчук ; 2016 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 153 
 3909 ; 1 пфенниг. Бавария ; 1859 ;  ; Cu ; VF- ; 11 ; Mike! ; 120 
 3910 ; 5 евро. Португалия ; 2004 ;  ; Ag ; XF+ ; 28 ; Mike! ; 473 
 3911 ; 1/2 стубера. Юлих-Берг ; 1785 ;  ; Cu ; F ; 23 ; Mike! ; 138 
 3912 ; 1/4 стубера. Юлих-Берг ; 1783 ;  ; Cu ; F-VF ; 11 ; Mike! ; 159 
 3913 ; 1/2 крейцер. Баден ; 1849 ;  ; Cu ; F ; 7 ; Mike! ; 101 
 3914 ; 2 кроны. Дания ; 1939 ;  ; Al/Br ; VF ; 14 ; Mike! ; 126 
 3915 ; 1/10 гирша. Египет ; 1327 ;  ; Cu-Ni ; VF+ ; 16 ; Mike! ; 101 
 3916 ; 2 цента. Нидерландская Индия ; 1838 ;  ; Cu ; VG ; 5 ; Mike! ; 24 
 3917 ; 5 сантимов. Франция ; 1916 ;  ; Cu ; VF ; 6 ; Mike! ; 22 
 3918 ; 20 рейс. Португалия ; 1891 ;  ; Cu ; F-VF ; 5 ; Mike! ; 34 
 3919 ; 100 лей. Румыния ; 1936 ;  ; Cu-Ni ; XF- ; 25 ; DVZ ; 352 
 3920 ; 20 рейс. Португалия ; 1891 ;  ; Br ; VF ; 16 ; Mike! ; 36 
 3921 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Zn ; F-VF ; 7 ; Mike! ; 114 
 3922 ; 1 грош. Австрия ; 1950 ;  ; Al ; VF ; 24 ; Mike! ; 100 
 3923 ; 1 хеллер. Франкфурт ; 1853 ;  ; Cu ; VF ; 13 ; Mike! ; 107 
 3924 ; 1 хеллер. Франкфурт ; 1857 ;  ; Cu ; VF ; 13 ; Mike! ; 113 
 3925 ; 1 хеллер. Франкфурт ; 1803 ;  ; Cu ; F ; 14 ; Mike! ; 102 
 3926 ; 25 пфеннигов. Германия ; 1912A ;  ; Cu-Ni ; VF-XF ; 25 ; Mike! ; 257 
 3927 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF ; 9 ; Mike! ; 33 
 3928 ; 5 шиллингов. Австрия ; 1952 ;  ; Al ; VF- ; 19 ; Mike! ; 57 
 3929 ; 3 крейцера. Франкфурт ; 1856 ;  ; Ag ; F+ ; 26 ; buhar1956 ; 406 
 3930 ; 1 крейцер. Германия ; 1871 ;  ; Ag ; F+ ; 15 ; buhar1956 ; 340 
 3931 ; 5 пфеннигов. Германия. Нотгельд. Брауншвейг ; 1918 ;  ; Fe ; VF ; 13 ; Mike! ; 61 
 3932 ; 5 пфеннигов. Германия. Нотгельд. Изерлохн ; 1917 ;  ; Zn ; VF- ; 9 ; Mike! ; 69 
 3933 ; 5 пфеннигов. Германия. Нотгельд. Бонн ; 1917 ;  ; Zn ; F+ ; 8 ; Mike! ; 46 
 3934 ; 1 хеллер. Немецкая Ост-Африка ; 1908J ;  ; Br ; VF- ; 9 ; Mike! ; 143 
 3935 ; 1 хеллер. Немецкая Ост-Африка ; 1913A ;  ; Br ; VF- ; 2 ; Mike! ; 133 
 3936 ; 5 пфеннигов. Германия. Нотгельд.Брауншвейг ; 1918 ;  ; Fe ; VF ; 11 ; Mike! ; 90 
 3937 ; 2 пфеннига. Бремен ;  ;  ; Al/Br ; VF ; 18 ; saha_2001 ; 1095 
 3938 ; 1/2 пиастра. Кипр ; 1938 ;  ; Cu-Ni ; VF ; 30 ; Mike! ; 200 
 3939 ; 10 франков. Марокко ; 1371 ;  ; Al/Br ; VF ; 6 ; Mike! ; 23 
 3940 ; 1 крейцер. Вюртемберг ; 1851 ;  ; Ag ; F ; 11 ; Mike! ; 114 
 3941 ; 1 крейцер. Вюртемберг ; 1845 ;  ; Ag ; VF- ; 11 ; Mike! ; 184 
 3942 ; 1/2 цента Нидерланды ; 1940 ;  ; Br ; VF ; 29 ; Mike! ; 61 
 3943 ; 200 марок. Веймар ; 1923G ;  ; Al ; XF ; 44 ; Mike! ; 53 
 3944 ; 10 сантимов. Люксембург ; 1930 ;  ; Br ; VF ; 29 ; Mike! ; 51 
 3945 ; 1 песева. Немецкая Ост-Африка ; 1890 ;  ; Br ; VF- ; 30 ; Mike! ; 393 
 3946 ; 1 сентим. Андорра ; 1999 ;  ; Al ; XF+ ; 24 ; Mike! ; 111 
 3947 ; 25 пфеннигов. Германия ; 1910A ;  ; Cu-Ni ; XF ; 10 ; Mike! ; 306 
 3948 ; 6 крейцеров. Нассау ; 1841 ;  ; Ag ; F ; 65 ; Mike! ; 221 
 3949 ; 10 пфеннигов. Германия. Нотгельд. Люденшейд ; 1917 ;  ; Fe ; VF- ; 9 ; ДПСКР ; 234 
 3950 ; 1 крейцер. Бремен ;  ;  ; Ag ; F ; 16 ; Mike! ; 179 
 3951 ; 1 сольдо. Ватикан ; 1867 ;  ; Br ; F ; 16 ; Mike! ; 130 
 3952 ; 1 цент. Нидерланды ; 1918 ;  ; Br ; VF- ; 13 ; Mike! ; 21 
 3953 ; 5 пфеннигов. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; VF+ ; 19 ; Mike! ; 255 
 3954 ; 1 пфенниг. Данциг ; 1923 ;  ; Br ; XF ; 43 ; Flagman ; 313 
 3955 ; 1 раппен. Швейцария ; 1898 ;  ; Br ; VF ; 12 ; Mike! ; 83 
 3956 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Br ; XF ; 7 ; Mike! ; 51 
 3957 ; 1 крейцер. Баден ; 1842 ;  ; Br ; F ; 10 ; Mike! ; 69 
 3958 ; 50 сантимов. Бельгия ; 1932 ;  ; Cu-Ni ; VF+ ; 5 ; Mike! ; 23 
 3859 ; 1 цент. Канада. 100 лет Конфедерации ; 1967 ;  ; Br ; XF ; 17 ; Mike! ; 29 
 3860 ; 2 гривны. Украина. Николай Рерих ; 2014 ;  ; Cu-Ni ; AU ; 10 ; Mike! ; 266 
 3861 ; 2,5 песеты. Испания ; 1953 ;  ; Al/Br ; XF ; 7 ; Mike! ; 44 
 3862 ; 20 лек. Албания ; 2000 ;  ; Al/Br ; AU ; 27 ; митяй ; 91 
 3863 ; 5 франков. Бельгия ; 1938 ;  ; Cu-Ni ; VF+ ; 16 ; chks69 ; 90 
 3864 ; 25 сантимов. Франция ; 1904 ;  ; Cu-Ni ; VF ; 20 ; Mike! ; 44 
 3865 ; 25 сантимов. Испания ; 1937 ;  ; Cu-Ni ; VF ; 12 ; Mike! ; 22 
 3866 ; 2 шиллинга. Австрия ; 1947 ;  ; Al ; VF-XF ; 16 ; Mike! ; 68 
 3867 ; 1 крона. Норвегия ; 1950 ;  ; Cu-Ni ; VF ; 17 ; ZOLTAN333 ; 35 
 3868 ; 5 центов. Нидерланды ; 1938 ;  ; Cu-Ni ; VF+ ; 8 ; DVZ ; 41 
 3869 ; 10 филлеров. Венгрия ; 1894 ;  ; Cu-Ni ; XF ; 16 ; vicnic ; 133 
 3870 ; 1 франк. Бельгия ; 1939 ;  ; Cu-Ni ; XF ; 27 ; Mike! ; 37 
 3871 ; 2 шиллинга. Австрия ; 1946 ;  ; Al ; VF ; 9 ; chks69 ; 90 
 3872 ; 2 франка. Бельгия ; 1944 ;  ; Fe ; VF- ; 5 ; Mike! ; 117 
 3873 ; 20 сантимов Франция ; 1941 ;  ; Zn ; F ; 11 ; Mike! ; 75 
 3874 ; 5 крон. Норвегия ; 1975 ;  ; Cu-Ni ; XF ; 17 ; Mike! ; 66 
 3875 ; 50 сентаво. Филиппины ; 1964 ;  ; Cu-Ni ; VF ; 22 ; Mike! ; 57 
 3876 ; 50 новых пенсов. Гернси ; 1969 ;  ; Cu-Ni ; XF+ ; 27 ; shknikolay ; 144 
 3877 ; 1 доллар. Канада. Манитоба ; 1970 ;  ; Cu-Ni ; XF ; 11 ; Mike! ; 110 
 3878 ; 1 тугрик. Монголия ; 1988 ;  ; Al/Br ; XF ; 32 ; avvas ; 714 
 3879 ; 1-1/2 евро. Португалия ; 2008 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 190 
 3880 ; 5 франков. Камерун ; 1958 ;  ; Al/Br ; VF ; 5 ; Mike! ; 91 
 3881 ; 5 лир. Сан-Марино ; 1974 ;  ; Al ; AU ; 11 ; Mike! ; 113 
 3882 ; 5 лир. Сан-Марино ; 1977 ;  ; Al ; AU ; 27 ; Хаа ; 340 
 3883 ; 2 лиры. Сан-Марино ; 1972 ;  ; Al ; AU ; 8 ; Mike! ; 111 
 3884 ; 20 лир. Сан-Марино ; 1974 ;  ; Al/Br ; AU ; 13 ; Метро62 ; 113 
 3885 ; 20 лир. Сан-Марино ; 1973 ;  ; Al/Br ; AU ; 12 ; Mike! ; 101 
 3886 ; 3 пенса. Новая Зеландия ; 1965 ;  ; Cu-Ni ; XF+ ; 11 ; Mike! ; 57 
 3887 ; 100 лир. Италия ; 1979 ;  ; St ; AU ; 9 ; Mike! ; 28 
 3888 ; 100 лир. Италия ; 1974 ;  ; St ; AU ; 5 ; Mike! ; 51 
 3889 ; 100 эскудо. Португалия. Бартоломео Диас ; 1988 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 102 
 3890 ; 1 доллар. Гон-Конг ; 1960 ;  ; Cu-Ni ; VF+ ; 22 ; chief com ; 91 
 3891 ; 100 эскудо. Португалия. Небесная навигация ; 1990 ;  ; Cu-Ni ; AU ; 38 ; Mike! ; 123 
 3892 ; 2 фунта. Южная Джорджия и Южный Сандвичевы острова ; 2007 ;  ; Cu-Ni ; AU ; 14 ; valerdon ; 408 
 3893 ; 10 пфеннигов. Германия. Нотгельд ; 1921 ;  ; Fe ; VF+ ; 11 ; Mike! ; 123 
 3894 ; 25 сантимов. Люксембург ; 1920 ;  ; Fe ; VF ; 15 ; Mike! ; 158 
 3895 ; 25 пфеннигов. Германия. Нотгельд ; 1921 ;  ; Fe ; VF-XF ; 21 ; Shundr ; 281 
 3896 ; 50 пфеннигов. Германия. Нотгельд ; 1921 ;  ; Fe ; VF ; 11 ; Mike! ; 300 
 3897 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 8 ; Mike! ; 22 
 3898 ; 10 пфеннигов. Германия. Нотгельд ; ND ;  ; Zn ; F+ ; 14 ; Mike! ; 69 
 3899 ; 5 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 7 ; Mike! ; 34 
 3900 ; 10 vert-marke ;  ;  ; Б/м ; VF ; 9 ; avg1974 ; 151 
 3901 ; 1 пфенниг. Сакс-Веймар-Айзенах ; 1858 ;  ; Cu ; F+ ; 9 ; Mike! ; 114 
 3902 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F-VF ; 7 ; Mike! ; 31 
 3903 ; 1 хеллер. Франкфурт ; 1819 ;  ; Cu ; F-VF ; 7 ; Mike! ; 111 
 3904 ; 1 хеллер. Франкфурт ; 1821 ;  ; Cu ; VF- ; 26 ; Mike! ; 115 
 3905 ; 1 хеллер. Франкфурт ; 1819 ;  ; Cu ; F+ ; 7 ; Mike! ; 115 
 3906 ; 1 пфенниг. Франкфурт ; 1804 ;  ; Cu ; F ; 7 ; Mike! ; 61 
 3907 ; 2 пфеннига. Сакс-Веймар-Айзенах ; 1858 ;  ; Cu ; F ; 9 ; Mike! ; 101 
 3908 ; 1/2 крейцера. Бавария ; 1851 ;  ; Cu ; VF ; 9 ; qver ; 120 
 3809 ; 5 сантимов. Бельгия ; 1833 ;  ; Br ; VF- ; 70 ; Женеманж Пасижуров ; 466 
 3810 ; 5 рейс. Португалия ; 1875 ;  ; Br ; VF+ ; 56 ; Mike! ; 615 
 3811 ; 1 цент. Британская Малайя ; 1943 ;  ; Br ; XF- ; 23 ; Mike! ; 69 
 3812 ; 10 сантимов. Франция ; 1915 ;  ; Br ; VF+ ; 16 ; Mike! ; 48 
 3813 ; 1/12 шиллинга. Джерси ; 1960 ;  ; Br ; AU ; 24 ; kornum ; 153 
 3814 ; 10 лепта. Греция ; 1869 ;  ; Br ; F ; 21 ; mr.gold ; 114 
 3815 ; 1 пенни. Великобритания ; 1936 ;  ; Br ; XF- ; 7 ; Mike! ; 136 
 3816 ; 2 лева. Болгария ; 1925 ;  ; Cu-Ni ; VF- ; 7 ; Mike! ; 33 
 3817 ; 1 доллар. Тринидад и Тобаго ; 1969 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 175 
 3818 ; 200 эскудо. Португалия. Президентство в ЕС ; 1992 ;  ; Cu-Ni ; AU ; 16 ; Mike! ; 102 
 3819 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 102 
 3820 ; 5 рупий. Маврикий ; 1992 ;  ; Cu-Ni ; XF- ; 16 ; Mike! ; 33 
