 5905 ; Бона иностранная ;  ;  ;  ; AU ; 20 ; Папа с рацией ; 82 
 3979 ; 100 рупий. Индонезия ; 2001 ;  ; Al ; XF+ ; 4 ; Eilenau ; 21 
 3980 ; 2 липы. Хорватия ; 1994 ;  ; Al ; AU ; 9 ; 220W ; 51 
 3981 ; 2 франка. Французская Африка ; 1948 ;  ; Al ; VF ; 12 ; Mukoved ; 126 
 3982 ; 1 франк. Франция ; 1950 ;  ; Al ; XF ; 10 ; kornum ; 57 
 3983 ; 10 лир. Италия ; 1955 ;  ; Al ; XF+ ; 15 ; Скрудж ; 21 
 3984 ; 1 марка. Финляндия ; 1945 ;  ; Fe ; XF ; 30 ; anshel ; 112 
 3985 ; 1 пенни. Австралия ; 1952 ;  ; Br ; VF ; 7 ; Володя ; 31 
 3986 ; 1 цент. Цейлон ; 1943 ;  ; Br ; VF ; 24 ; igor26 ; 115 
 3987 ; 1/4 анны. Индия ; 1931 ;  ; Br ; F ; 18 ; Westin ; 42 
 3988 ; 5 эре. Норвегия ; 1896 ;  ; Cu ; VF ; 39 ; HARDCOROV ; 203 
 3989 ; 5 эре. Дания ; 1930 ;  ; Br ; VF+ ; 9 ; av ; 34 
 3990 ; 10 пенни. Финляндия ; 1919 ;  ; Br ; XF+ ; 25 ; kornum ; 83 
 3991 ; 1/4 анны. Индия ; 1939 ;  ; Br ; VF-XF ; 9 ; ilmar ; 71 
 3992 ; 10 франков. Мадагаскар ; 1996 ;  ; Br ; XF+ ; 10 ; kornum ; 44 
 3993 ; 1 цент. Нидерланды ; 1930 ;  ; Br ; VF ; 8 ; Westin ; 21 
 3994 ; 1 пфенниг. Германия ; 1900A ;  ; Br ; VF+ ; 11 ; ipax ; 36 
 3995 ; 50 эре. Швеция ; 2006 ;  ; Br ; AU ; 5 ; stark-2006 ; 21 
 3996 ; 2 эре. Дания ; 1931 ;  ; Br ; VF ; 5 ; юрий73 ; 31 
 3997 ; 2 пфеннига. Веймар ; 1924J ;  ; Br ; VF ; 15 ; TiBuL ; 50 
 3898 ; Монетовидный жетон. 1 марка. Германия ; 1953 ;  ; Al ; VF+ ; 18 ; Sky2 ; 251 
 3899 ; Монетовидный жетон. 1 марка ?. Германия ;  ;  ; Al ; F-VF ; 19 ; Mike! ; 194 
 3900 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Al ; VF ; 41 ; derbnik ; 350 
 3901 ; 2 кроны. Швеция ; 1971 ;  ; Cu-Ni ; XF ; 3 ; Mike! ; 89 
 3902 ; 10 крон. Дания ; 1979 ;  ; Cu-Ni ; VF-XF ; 13 ; SKeeper ; 78 
 3903 ; 1/2 кроны. Великобритания ; 1957 ;  ; Cu-Ni ; VF ; 1 ; Mike! ; 88 
 3904 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; XF ; 7 ; Mike! ; 74 
 3905 ; 2 марки. ФРГ ; 1973 ;  ; Cu-Ni ; VF ; 3 ; maleevsw ; 59 
 3906 ; 100 франков. Тунис ; 1950 ;  ; Cu-Ni ; VF ; 31 ; igor26 ; 320 
 3907 ; 2-1/2 экю. Нидерланды ; 1995 ;  ; Cu-Ni ; AU ; 9 ; ВМШ ; 182 
 3908 ; 100 йен. Япония. Олимпиада Саппоро ; 1972 ;  ; Cu-Ni ; XF ; 36 ; Mike! ; 284 
 3909 ; 5 франков. Швейцария. Год защиты Европейских памятников ; 1975 ;  ; Cu-Ni ; XF ; 8 ; Mike! ; 327 
 3910 ; Монетовидный жетон. Германия ;  ;  ; Al ; VF-XF ; 32 ; derbnik ; 363 
 3911 ; Монетовидный жетон. 2. Германия ;  ;  ; Al ; VF-XF ; 28 ; derbnik ; 333 
 3912 ; Монетовидный жетон. 5. Германия ;  ;  ; Al ; VF-XF ; 24 ; doiu33 ; 310 
 3913 ; Монетовидный жетон. 10. Германия ;  ;  ; Al/Br ; VF ; 20 ; doiu33 ; 311 
 3914 ; Монетовидный жетон. 15. Германия ;  ;  ; Br ; VF+ ; 26 ; doiu33 ; 311 
 3915 ; Монетовидный жетон. 20. Германия ;  ;  ; Br ; VF-XF ; 20 ; doiu33 ; 311 
 3916 ; Жетон. D-24мм ;  ;  ; Br ; XF ; 6 ; derbnik ; 133 
 3917 ; Жетон. Werth-marke ;  ;  ; Al/Br ; VF ; 6 ; derbnik ; 144 
 3918 ; 1 лев. Болгария ; 1925 ;  ; Cu-Ni ; VF ; 18 ; Володя ; 125 
 3919 ; 25 рупий. Индонезия ; 1971 ;  ; Cu-Ni ; XF ; 6 ; Westin ; 32 
 3920 ; 1 юань. Китай ; 2009 ;  ; Cu-Ni ; XF ; 12 ; Володя ; 21 
 3921 ; 50 лепт. Греция ; 1964 ;  ; Cu-Ni ; XF ; 12 ; gusar ; 40 
 3922 ; 50 лева. Болгария ; 1943 ;  ; Cu-Ni ; VF ; 13 ; Володя ; 100 
 3923 ; 50 центов. Аруба ; 1995 ;  ; Cu-Ni ; XF ; 14 ; Westin ; 39 
 3924 ; 5 раппен. Швейцария ; 1932 ;  ; Cu-Ni ; XF ; 23 ; gremlyn ; 30 
 3925 ; 10 стотинок. Болгария ; 1951 ;  ; Cu-Ni ; XF ; 10 ; Mukoved ; 71 
 3926 ; 2 доллара. Австралия ; 1988 ;  ; Al/Br ; VF+ ; 27 ; ilmar ; 88 
 3927 ; 1 крона. Дания ; 1926 ;  ; Al/Br ; VF+ ; 11 ; banks ; 60 
 3928 ; 10 пфеннигов. Веймар ; 1925D ;  ; Al/Br ; VF ; 17 ; TiBuL ; 50 
 3929 ; 20 крон. Дания ; 2010 ;  ; Al/Br ; XF ; 7 ; kornum ; 203 
 3930 ; 50 сантимов. Франция ; 1921 ;  ; Al/Br ; VF ; 12 ; av ; 35 
 3931 ; 5 марок. Финляндия ; 1985 ;  ; Al/Br ; XF+ ; 10 ; anshel ; 56 
 3932 ; 5 франков. Французская Африка ; 1956 ;  ; Al/Br ; VF+ ; 6 ; kornum ; 71 
 3933 ; 5 центов. Барбадос ; 1996 ;  ; Al/Br ; VF+ ; 14 ; Westin ; 17 
 3934 ; 5 пфеннигов. Веймар ; 1924G ;  ; Al/Br ; VF+ ; 8 ; TiBuL ; 35 
 3935 ; 10 франков. Франция ; 1975 ;  ; Al/Br ; XF ; 7 ; gremlyn ; 18 
 3936 ; Монета Китай ;  ;  ; Al/Br ; F+ ; 10 ; maymuse ; 66 
 3937 ; 200 лир. Сан-Марино ; 1995 ;  ; Al/Br ; XF+ ; 13 ; SKeeper ; 47 
 3938 ; 200 лир. Сан-Марино ; 1994 ;  ; Al/Br ; XF+ ; 13 ; aziya11 ; 42 
 3939 ; 2 толари. Словения ; 1992 ;  ; Al/Br ; AU ; 4 ; Heaven ; 23 
 3940 ; 200 лир. Сан-Марино ; 1993 ;  ; Al/Br ; AU ; 9 ; SKeeper ; 42 
 3941 ; 5 франков. Центральная Африка ; 1979 ;  ; Al/Br ; AU ; 14 ; kornum ; 132 
 3942 ; 10 франков. Мадагаскар ; 1972 ;  ; Al/Br ; AU ; 6 ; kornum ; 44 
 3943 ; 20 франков. Франция ; 1951 ;  ; Al/Br ; VF+ ; 6 ; bobby23 ; 23 
 3944 ; 200 лир. Сан-Марино ; 1997 ;  ; Al/Br ; AU ; 17 ; кве ; 67 
 3945 ; 200 лир. Сан-Марино ; 1996 ;  ; Al/Br ; AU ; 14 ; кве ; 68 
 3946 ; 200 лир. Сан-Марино ; 1992 ;  ; Al/Br ; AU ; 15 ; кве ; 73 
 3947 ; 5 марок. Финляндия ; 1941 ;  ; Al/Br ; XF- ; 12 ; Rober ; 44 
 3848 ; 1 песа. Немецкая Ост-Африка ; 1890 ;  ; Сu ; F-VF ; 24 ; Mike! ; 566 
 3849 ; 1 крейцер. Австрия ; 1851 ;  ; Сu ; F+ ; 1 ; Mike! ; 111 
 3850 ; Экю. Нидерланды ; 1996 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 182 
 3851 ; 20 марок. ГДР. Вильгельм Пик ; 1972 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 123 
 3852 ; 20 марок. ГДР. Эрнст Тельманн ; 1971 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 111 
 3853 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 111 
 3854 ; 2-1/2 экю Нидерланды ; 1993 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 190 
 3855 ; 2-1/2 экю Нидерланды ; 1991 ;  ; Cu-Ni ; AU ; 3 ; aziya11 ; 148 
 3856 ; 2-1/2 экю Нидерланды ; 1992 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 141 
 3857 ; 2-1/2 экю Нидерланды ; 1992 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 111 
 3858 ; 2-1/2 экю Нидерланды ; 1992 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 188 
 3859 ; 2-1/2 экю Нидерланды ; 1994 ;  ; Cu-Ni ; AU ; 8 ; SKeeper ; 174 
 3860 ; 50 афгани. Афганистан. Продовольственный саммит ; 1996 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 125 
 3861 ; 1000 шиллингов. Уганда. Денежная система ; 1999 ;  ; Cu-Ni ; AU ; 31 ; SKeeper ; 339 
 3862 ; 25 пфеннигов. Германия ; 1910 ;  ; Cu-Ni ; VF-XF ; 19 ; Mike! ; 376 
 3863 ; 2-1/2 гульдена. Нидерланды ; 1980 ;  ; Cu-Ni ; XF ; 1 ; Mike! ; 111 
 3864 ; 5 песет. Испания ; 1949 ;  ; Cu-Ni ; XF ; 1 ; Mike! ; 55 
 3865 ; 1 франк. Монако ; 1968 ;  ; Cu-Ni ; XF ; 7 ; Mike! ; 123 
 3866 ; 2 гривны. Украина. . Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 3 ; Mike! ; 333 
 3867 ; 2 гривны. Украина. Киевский Национальный университет Тараса Шевченко ; 2014 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 365 
 3868 ; 2 гривны. Украина. Декларация о государственном суверенитете Украины ; 2010 ;  ; Cu-Ni ; AU ; 34 ; Baikal ; 295 
 3869 ; 2 гривны. Украина. Иван Кожедуб ; 2010 ;  ; Cu-Ni ; AU ; 23 ; ваван 5 ; 300 
 3870 ; 2 гривны. Украина. Евгений Березняк ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 203 
 3871 ; 2 гривны. Украина. Давид Гурамишвили ; 2005 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 132 
 3872 ; 2 гривны. Украина. Сергей Королев ; 2007 ;  ; Cu-Ni ; AU ; 29 ; Cosmos ; 320 
 3873 ; 2 гривны. Украина. Анна Ярославна ; 2014 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 306 
 3874 ; 2 гривны. Украина. Игорь Сикорский ; 2009 ;  ; Cu-Ni ; AU ; 10 ; AID57 ; 211 
 3875 ; 2 гривны. Украина. Чемпионат по легкой атлетике ; 2013 ;  ; Cu-Ni ; AU ; 18 ; Bambr ; 225 
 3876 ; 2 гривны. Украина. Черный гриф ; 2008 ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 312 
 3877 ; 2 гривны. Украина. Донецкая область ; 2007 ;  ; Cu-Ni ; AU ; 18 ; edi ; 354 
 3878 ; 2 гривны. Украина. Университет Тараса Шевченко ; 2004 ;  ; Cu-Ni ; AU ; 10 ; Bambr ; 227 
 3879 ; 5 гривен. Украина. Джерело Життя ; 2007 ;  ; Би/м ; AU ; 8 ; Mike! ; 200 
 3880 ; Жетон. Werth-marke ;  ;  ; Al/Br ; VF ; 4 ; derbnik ; 144 
 3881 ; Жетон. Werth-marke ;  ;  ; Al/Br ; VF+ ; 5 ; derbnik ; 144 
 3882 ; Жетон. Werth-marke ;  ;  ; Al/Br ; F-VF ; 7 ; derbnik ; 144 
 3883 ; Жетон. 10. ;  ;  ; Al/Br ; VF ; 8 ; derbnik ; 155 
 3884 ; Плаьтежный жетон Литр пива ;  ;  ; Al/Br ; F-VF ; 25 ; nikfed ; 261 
 3885 ; Жетон Spiel marke ;  ;  ; Al/Br ; F-VF ; 1 ; Mike! ; 111 
 3886 ; Жетон Spiel marke ;  ;  ; Al/Br ; F-VF ; 1 ; Mike! ; 111 
 3887 ; Жетон Spiel marke ;  ;  ; Al/Br ; F-VF ; 1 ; Mike! ; 111 
 3888 ; Жетон Spiel marke ;  ;  ; Al/Br ; F-VF ; 1 ; Mike! ; 111 
 3889 ; Жетон Spiel marke ;  ;  ; Al/Br ; F-VF ; 3 ; Mike! ; 117 
 3890 ; Платежный жетон. 1 литр ;  ;  ; Al/Br ; VF ; 29 ; nikfed ; 223 
 3891 ; Монетовидный жетон. 20 ;  ;  ; Al/Br ; F-VF ; 7 ; Mike! ; 148 
 3892 ; 200 Ludwigs-Eisenbahn ; 1921 ;  ; Al ; VF-XF ; 20 ; derbnik ; 255 
 3893 ; 100 Ludwigs-Eisenbahn ; 1921 ;  ; Al ; VF- ; 21 ; derbnik ; 255 
 3894 ; Монетовидный жетон. 2 марки. Германия ; 1953 ;  ; Al ; VF-XF ; 11 ; Sky2 ; 163 
 3895 ; 1 стефанс грошен Австрия ; 1950 ;  ; Al ; XF ; 8 ; derbnik ; 155 
 3896 ; Монетовидный жетон. Австрия ;  ;  ; Al ; VF ; 40 ; derbnik ; 333 
 3897 ; Монетовидный жетон. 1/2 марки. Германия ; 1953 ;  ; Al ; XF ; 22 ; Sky2 ; 247 
 3798 ; 1 крейцер. Австрия ; 1851 ;  ; Сu ; F-VF/VF- ; 3 ; Mike! ; 117 
 3799 ; 1 цент. Гон-Конг ; 1933 ;  ; Br ; VF ; 4 ; Mike! ; 124 
 3800 ; 5 лепт. Греция ; 1833 ;  ; Сu ; F-VF ; 55 ; кве ; 2055 
 3801 ; 1/4 скиллинга. Швеция ; 1803 ;  ; Сu ; F-VF ; 16 ; Mike! ; 404 
 3802 ; 1 крейцер. Австрия ; 1881 ;  ; Сu ; VF- ; 1 ; Mike! ; 111 
 3803 ; 1 крейцер. Австрия ; 1881 ;  ; Сu ; VF- ; 1 ; Mike! ; 111 
 3804 ; 1 крейцер. Австрия ; 1881 ;  ; Сu ; VF- ; 1 ; Mike! ; 111 
 3805 ; 1 крейцер. Австрия ; 1858 ;  ; Сu ; VF ; 22 ; igor26 ; 181 
 3806 ; 1 крейцер. Австрия ; 1860 ;  ; Сu ; VF- ; 7 ; Mike! ; 139 
 3807 ; 1 крейцер. Австрия ; 1858 ;  ; Сu ; VF- ; 7 ; Mike! ; 79 
 3808 ; 1/12 скиллинга. Швеция ; 1812 ;  ; Сu ; VF ; 34 ; кве ; 504 
 3809 ; 1 цент. США ; 1896 ;  ; Br ; VF ; 28 ; Oleht ; 363 
 3810 ; 1 цент. США ; 1890 ;  ; Br ; F-VF ; 16 ; virtualman ; 258 
 3811 ; 1 цент. США ; 1893 ;  ; Br ; F-VF ; 3 ; Mike! ; 117 
 3812 ; 1 цент. США ; 1887 ;  ; Br ; VF ; 21 ; Mike! ; 237 
 3813 ; 1 цент. США ; 1907 ;  ; Br ; F-VF ; 17 ; Mike! ; 117 
 3814 ; 1 цент. США ; 1906 ;  ; Br ; VF- ; 3 ; Mike! ; 117 
 3815 ; 1 цент. США ; 1897 ;  ; Br ; VF ; 15 ; сама71 ; 181 
 3816 ; 1 цент. США ; 1903 ;  ; Br ; VF ; 31 ; Mike! ; 153 
 3817 ; 1 цент. США ; 1908 ;  ; Br ; F-VF ; 13 ; Mike! ; 117 
 3818 ; 1 цент. США ; 1862 ;  ; Br ; F-VF ; 11 ; Oleht ; 441 
 3819 ; 1 цент. США ; 1863 ;  ; Br ; F-VF ; 21 ; Oleht ; 451 
 3820 ; 5 гривен. Украина. Луганская область ; 2013 ;  ; Би/м ; AU ; 31 ; Mike! ; 403 
 3821 ; 5 гривен. Украина. Парламентская ассамблея ; 2007 ;  ; Би/м ; AU ; 13 ; Cosmos ; 239 
 3822 ; 5 гривен. Украина. Херсонская область ; 2014 ;  ; Би/м ; AU ; 8 ; edi ; 326 
 3823 ; 5 гривен. Украина. Запарожская область ; 2014 ;  ; Би/м ; AU ; 10 ; ввп ; 352 
 3824 ; 5 центов. США ; 1937 ;  ; Cu-Ni ; VF ; 14 ; Mike! ; 147 
 3825 ; 5 центов. США ; 1907 ;  ; Cu-Ni ; VF+ ; 23 ; Mike! ; 210 
 3826 ; 10 филлеров. Венгрия ; 1909 ;  ; Cu-Ni ; VF-XF ; 3 ; kornum ; 46 
 3827 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; VF-XF ; 21 ; westof ; 420 
 3828 ; 100 рейс Португалия ; 1900 ;  ; Cu-Ni ; F-VF ; 1 ; Mike! ; 111 
 3829 ; 2 хеллера. Австрия ; 1918 ;  ; Fe ; VF ; 20 ; igor26 ; 186 
 3830 ; 1 чентезимо. Италия. Ломбардия и Венеция ; 1862 ;  ; Cu ; F-VF ; 36 ; igor26 ; 348 
 3831 ; 2 хеллера. Австрия ; 1897 ;  ; Cu ; VF+ ; 21 ; Mike! ; 79 
 3832 ; 1 хеллер. Австрия ; 1895 ;  ; Cu ; VF+ ; 17 ; SKeeper ; 72 
 3833 ; 1 раппен. Швецария ; 1941 ;  ; Br ; VF-XF ; 13 ; igor26 ; 217 
 3834 ; 15 сентимо. Парагвай ; 1953 ;  ; Al/Br ; AU ; 5 ; Mike! ; 66 
 3835 ; 10 сентимо. Парагвай ; 1953 ;  ; Al/Br ; VF-XF ; 5 ; Mike! ; 32 
 3836 ; 5 чентезимо. Сомали ; 1967 ;  ; Al/Br ; AU ; 16 ; gusar ; 80 
 3837 ; 25 сентимо. Парагвай ; 1953 ;  ; Al/Br ; AU ; 1 ; Mike! ; 66 
 3838 ; 2 франка. Франция ; 1923 ;  ; Al/Br ; VF ; 1 ; Mike! ; 77 
 3839 ; 2 франка. Тунис ; 1945 ;  ; Al/Br ; VF ; 25 ; igor26 ; 227 
 3840 ; Монета Китай ;  ;  ; Br ; F ; 23 ; bobby23 ; 110 
 3841 ; 50 пфеннигов. Веймар ; 1924A ;  ; Al/Br ; VF ; 16 ; westof ; 656 
 3842 ; 5 центов. Уганда ; 1966 ;  ; Br ; AU ; 5 ; Mike! ; 48 
 3843 ; 1/2 песевы. Гана ; 1967 ;  ; Br ; AU ; 10 ; Mike! ; 147 
 3844 ; 1 тамбала. Малави ; 1971 ;  ; Br ; AU ; 11 ; Mike! ; 139 
 3845 ; 1/2 пенни. Джерси ; 1971 ;  ; Br ; AU/XF ; 39 ; igor26 ; 153 
 3846 ; 10 сентимо. Испания ; 1870 ;  ; Сu ; F ; 1 ; Mike! ; 111 
 3847 ; 20 кэш. Восточная Индийская Компания ; 1808 ;  ; Сu ; F ; 10 ; Mike! ; 327 
 3748 ; 2 евро. Бельгия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 8 ; KRASLAVA ; 285 
 3749 ; 2 евро. Испания. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 10 ; KRASLAVA ; 255 
 3750 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 14 ; KRASLAVA ; 261 
 3751 ; 2 евро. Италия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 24 ; nivva ; 210 
 3752 ; 2 евро. Франция. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 20 ; nivva ; 277 
 3753 ; 2 евро. Австрия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 14 ; nivva ; 266 
 3754 ; 5 франков. Швейцария ; 1997 ;  ; Cu-Ni ; XF+ ; 23 ; kornum ; 211 
 3755 ; 2 франка. Швейцария ; 1992 ;  ; Cu-Ni ; XF+ ; 15 ; Bonyf ; 93 
 3756 ; 1 франк. Швейцария ; 1978 ;  ; Cu-Ni ; XF ; 7 ; buben ; 23 
 3757 ; 20 раппен Швейцария ; 1976 ;  ; Cu-Ni ; AU ; 6 ; ppi ; 31 
 3758 ; 10 раппен Швейцария ; 1996 ;  ; Cu-Ni ; XF ; 3 ; buben ; 9 
 3759 ; 5 раппен Швейцария ; 1971 ;  ; Cu-Ni ; AU ; 10 ; Волк33 ; 82 
 3760 ; 1/2 франка. Швейцария ; 1991 ;  ; Cu-Ni ; AU ; 6 ; bva150979 ; 51 
 3761 ; 2 раппен Швейцария ; 1963 ;  ; Br ; XF+ ; 24 ; CASABLANCA ; 340 
 3762 ; 1 раппен Швейцария ; 1958 ;  ; Br ; XF+ ; 12 ; Flagman ; 16 
 3763 ; 20 лир. Ватикан ; 1987 ;  ; Al/Br ; AU ; 13 ; jj ; 159 
 3764 ; 20 лир. Ватикан ; 1989 ;  ; Al/Br ; AU ; 8 ; jj ; 102 
 3765 ; 20 лир. Ватикан ; 1981 ;  ; Al/Br ; AU ; 16 ; jj ; 182 
 3766 ; 1 фунт. Египет ; 2008 ;  ; Би/м ; VF-XF ; 7 ; Володя ; 18 
 3767 ; 1 гривна. Украина ; 2006 ;  ; Лат ; VF+ ; 6 ; bobby23 ; 6 
 3768 ; 1 гривна. Украина ; 2003 ;  ; Лат ; VF+ ; 4 ; Mukoved ; 5 
 3769 ; 20 марок. ГДР. Вильгельм Пик ; 1972А ;  ; Cu/Ni ; XF ; 32 ; SKeeper ; 102 
 3770 ; 20 марок. ГДР. Эрнст Тельманн ; 1971А ;  ; Cu/Ni ; XF ; 25 ; dudinjohn ; 101 
 3771 ; 10 марок. ГДР. Бухенвальд ; 1972А ;  ; Cu/Ni ; XF ; 20 ; цеховик ; 114 
 3772 ; 5 марок. ГДР ; 1969 ;  ; Ni/Br ; XF ; 7 ; dudinjohn ; 47 
 3773 ; 5 марок. ФРГ ; 1976G ;  ; Cu/Ni ; XF ; 25 ; kornum ; 115 
 3774 ; 5 марок. ФРГ. Карл фон Штейн ; 1981G ;  ; Cu/Ni ; XF ; 19 ; aziya11 ; 132 
 3775 ; 5 марок. ФРГ. Мартин Лютер ; 1983G ;  ; Cu/Ni ; XF ; 20 ; aziya11 ; 148 
 3776 ; 5 марок. ФРГ.Феликс Бартольди ; 1984J ;  ; Cu/Ni ; XF ; 51 ; aziya11 ; 169 
 3777 ; 5 марок. ФРГ. Вальтер фон Вогельвейде ; 1980D ;  ; Cu/Ni ; XF ; 25 ; Эквитес ; 184 
 3778 ; 5 марок. ФРГ. Готхольд Лессинг ; 1981J ;  ; Cu/Ni ; XF ; 12 ; aziya11 ; 125 
 3779 ; 5 марок. ФРГ. Карл Маркс ; 1983J ;  ; Cu/Ni ; XF ; 25 ; aziya11 ; 169 
 3780 ; 5 марок. ФРГ. Отто Ханх ; 1979G ;  ; Cu/Ni ; XF ; 27 ; aziya11 ; 127 
 3781 ; 5 марок. ФРГ. Фридрих Гросс ; 1986F ;  ; Cu/Ni ; XF ; 18 ; aziya11 ; 146 
 3782 ; 5 марок. ФРГ. Немецкая таможня ; 1984D ;  ; Cu/Ni ; XF ; 14 ; aziya11 ; 132 
 3783 ; 5 марок. ФРГ. Европейский год музыки ; 1985F ;  ; Cu/Ni ; XF ; 24 ; aziya11 ; 102 
 3784 ; 5 марок. ФРГ. Кельнский собор ; 1980F ;  ; Cu/Ni ; XF- ; 13 ; aziya11 ; 135 
 3785 ; 5 марок. ФРГ. Немецкая железная дорога ; 1985G ;  ; Cu/Ni ; XF ; 16 ; aziya11 ; 131 
 3786 ; 5 марок. ФРГ. Иоганн Вольфганг Гете ; 1982D ;  ; Cu/Ni ; XF ; 40 ; aziya11 ; 170 
 3787 ; 5 марок. ФРГ. Университет Хейдельберга ; 1986D ;  ; Cu/Ni ; XF ; 26 ; aziya11 ; 182 
 3788 ; 1 кордоба. Никарагуа ; 1972 ;  ; Cu/Ni ; XF+ ; 16 ; kornum ; 92 
 3789 ; 200 песо. Мексика ; 1985 ;  ; Cu/Ni ; XF ; 7 ; kornum ; 36 
 3790 ; 20 злотых. Польша ; 1974 ;  ; Cu/Ni ; XF ; 6 ; lalula ; 32 
 3791 ; 5 крон. Норвегия ; 1966 ;  ; Cu/Ni ; XF ; 6 ; scipion ; 32 
 3792 ; 20 шиллингов. Австрия ; 1980 ;  ; Лат ; XF ; 11 ; krugerrand ; 68 
 3793 ; 2 марки. ФРГ. Курт Шумахер ; 1984F ;  ; Cu/Ni ; XF- ; 12 ; maleevsw ; 125 
 3794 ; 5 марок. ГДР. Мейсен ; 1972А ;  ; Cu/Ni ; XF- ; 35 ; karl ; 111 
 3795 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu/Ni ; XF ; 17 ; dudinjohn ; 92 
 3796 ; 20 крон. Дания ; 1993 ;  ; Al/Br ; XF ; 27 ; rekaSvir ; 79 
 3797 ; 1 крейцер. Австрия ; 1851 ;  ; Сu ; F-VF ; 1 ; Mike! ; 111 
 3698 ; 10 центов. Фиджи ; 1969 ;  ; Cu-Ni ; VF+ ; 11 ; ag58 ; 31 
 3699 ; 2 цента. Фиджи ; 1969 ;  ; Br ; XF ; 10 ; ilmar ; 24 
 3700 ; 1 лат. Латвия ; 2006 ;  ; Cu-Ni ; AU ; 24 ; sibirian ; 129 
 3701 ; 5 эре. Норвегия ; 1940 ;  ; Br ; VF ; 7 ; Searcher ; 23 
 3702 ; 5 центов. Канада ; 1965 ;  ; Cu-Ni ; XF ; 4 ; i.box ; 13 
 3703 ; 50 сентавос. Эквадор ; 1977 ;  ; Cu-Ni ; XF ; 8 ; t_v_v ; 32 
 3704 ; 50 сольдорос. Перу ; 1980 ;  ; Al/Br ; XF ; 9 ; ag58 ; 31 
 3705 ; 25 центов. Канада. 100 лет конной полиции Канады ; 1973 ;  ; Cu-Ni ; XF ; 21 ; юрий73 ; 77 
 3706 ; 25 сентимес. Парагвай ; 1953 ;  ; Al/Br ; XF+ ; 13 ; юрий73 ; 53 
 3707 ; 3 марки. Веймар ; 1922А ;  ; Al ; VF+ ; 16 ; karl ; 71 
 3708 ; 1 седи. Гана ; 1979 ;  ; Al/Br ; XF ; 15 ; irino4ka ; 45 
 3709 ; 25 сен. Бельгия ; 1943 ;  ; Zn ; VF ; 19 ; av ; 46 
 3710 ; 1 франк. Бельгия ; 1943 ;  ; Zn ; VF ; 6 ; stok ; 22 
 3711 ; 1 франк. Бельгия ; 1943 ;  ; Zn ; VF+ ; 19 ; av ; 46 
 3712 ; 10 сен. Бельгия ; 1943 ;  ; Zn ; VF+ ; 5 ; rik ; 23 
 3713 ; 10 сен. Бельгия ; 1943 ;  ; Zn ; VF ; 6 ; stok ; 18 
 3714 ; 5 сен. Бельгия ; 1942 ;  ; Zn ; VF ; 8 ; rik ; 24 
 3715 ; 10 грошен. Австрия ; 1948 ;  ; Zn ; VF ; 9 ; ag58 ; 25 
 3716 ; 5 эре. Дания ; 1951 ;  ; Zn ; VF ; 3 ; Володя ; 13 
 3717 ; 10 сент. Нидерланды ; 1942 ;  ; Zn ; VF ; 7 ; krugerrand ; 32 
 3718 ; 1 сент. Нидерланды ; 1942 ;  ; Zn ; VF ; 6 ; banks ; 32 
 3719 ; 1 сент. Нидерланды ; 1942 ;  ; Zn ; VF ; 12 ; banks ; 32 
 3720 ; 1 руфия. Мальдивы ; 1996 ;  ; Cu-Ni ; XF ; 7 ; buben ; 21 
 3721 ; 50 куруш. Турция ; 1975 ;  ; St ; XF ; 6 ; kornum ; 45 
 3722 ; 5 сольдорос. Перу ; 1980 ;  ; Al/Br ; XF ; 7 ; ag58 ; 27 
 3723 ; 50 пенсов. Великобритания ; 1969 ;  ; Cu-Ni ; VF+ ; 3 ; rekaSvir ; 23 
 3724 ; 50 сукрес. Эквадор ; 1991 ;  ; Cu-Ni ; XF ; 4 ; RomanMSK ; 23 
