 6007 ; Лот бон иностранных  Индонезия 5 шт. ;  ;  ;  ; AU ; 24 ; кент ; 179 
 3471 ; 2 раппен. Швейцария ; 1944 ;  ; Zn ; VF ; 35 ; igor26 ; 107 
 3472 ; 2 франка. Бельгия ; 1944 ;  ; Fe ; VF- ; 16 ; val211 ; 81 
 3473 ; 10 kreis budingen oberhessen ;  ;  ; Zn ; VF ; 16 ; derbnik ; 222 
 3474 ; 10 эре. Норвегия ; 1943 ;  ; Zn ; F ; 7 ; Fontan ; 36 
 3475 ; 25 эре. Дания ; 1942 ;  ; Zn ; VF ; 9 ; karl ; 83 
 3476 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Zn ; VF ; 19 ; brigadir ; 406 
 3477 ; 10 сантимов. Франция ; 1941 ;  ; Zn ; F-VF ; 12 ; нормировщик9 ; 50 
 3478 ; 5 сантимов. Франция ; 1962 ;  ; St ; XF ; 9 ; Fontan ; 51 
 3479 ; 1 крейцер. Австрия ; 1885 ;  ; Br ; VF ; 11 ; t_v_v ; 81 
 3480 ; 1 пенни. Финляндия ; 1923 ;  ; Br ; XF ; 29 ; нормировщик9 ; 91 
 3481 ; 1 эре. Норвегия ; 1876 ;  ; Br ; VF ; 35 ; yourius ; 138 
 3482 ; 5 эре. Норвегия ; 1876 ;  ; Br ; F ; 19 ; banks ; 144 
 3483 ; 1/4 скиллинга. Швеция ; 1803 ;  ; Br ; F ; 9 ; banks ; 88 
 3484 ; 2 пфеннига. Германия ; 1875C ;  ; Br ; VF+ ; 17 ; dim66 ; 102 
 3485 ; 1 раппен. Швейцария ; 1951 ;  ; Br ; XF ; 22 ; альтаир ; 65 
 3486 ; 1/12 скиллинга. Швеция ; 1812 ;  ; Br ; XF- ; 20 ; ct200h ; 873 
 3487 ; 1 цент. США ; 1946 ;  ; Br ; AU ; 37 ; bcg ; 173 
 3488 ; 2 эре. Норвегия ; 1921 ;  ; Br ; XF ; 30 ; V.I.P.E.R. ; 57 
 3489 ; 2 скиллинга. Швеция ; 1810 ;  ; Br ; VF ; 33 ; Александр007 ; 929 
 3490 ; 1 пенни. Великобритания ; 1947 ;  ; Br ; VF+ ; 9 ; sneg ; 41 
 3491 ; 2 сантима. Бельгия ; 1911 ;  ; Br ; VF- ; 9 ; sneg ; 100 
 3492 ; 1/2 пенни. Токен. Великобритания ; 1791 ;  ; Br ; F ; 20 ; братья Гавс ; 459 
 3493 ; 5 пфеннигов. Саксония ; 1863 ;  ; Br ; VF ; 21 ; gdrg2 ; 396 
 3494 ; 5 чентезимо. Италия ; 1920 ;  ; Br ; VF ; 20 ; sneg ; 105 
 3495 ; 1 сантим. Бельгия ; 1904 ;  ; Br ; VF ; 19 ; banks ; 100 
 3496 ; 1 раппен. Швейцария ; 1938 ;  ; Br ; VF ; 27 ; русман ; 151 
 3497 ; 5 сантимов. Латвия ; 1922 ;  ; Br ; VF ; 9 ; sneg ; 61 
 3498 ; 1/2 пенни. Великобритания ; 1924 ;  ; Br ; F-VF ; 5 ; sneg ; 40 
 3499 ; 2 грошена. Австрия ; 1925 ;  ; Br ; VF+ ; 17 ; gdrg2 ; 115 
 3500 ; 1 цент. США ; 1891 ;  ; Br ; VF- ; 47 ; Oleht ; 345 
 3501 ; 1 эре. Дания ; 1915 ;  ; Br ; VF ; 16 ; yourius ; 113 
 3502 ; 2 пфеннига. Веймар ; 1925E ;  ; Br ; VF+ ; 9 ; sneg ; 46 
 3503 ; 50 сантимов. Франция ; 1963 ;  ; Al/Br ; XF ; 15 ; banks ; 54 
 3504 ; 200 лир. Италия ; 1992 ;  ; Al/Br ; XF+ ; 11 ; альтаир ; 50 
 3505 ; 5 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF ; 35 ; westof ; 420 
 3506 ; 1 крона. Эстония ; 2008 ;  ; Al/Br ; XF+ ; 26 ; V.I.P.E.R. ; 30 
 3507 ; 10 пфеннигов. Германия ; 1937A ;  ; Al/Br ; XF+ ; 26 ; dim66 ; 319 
 3508 ; 20 миллимов. Тунис ; 2011 ;  ; Al/Br ; AU ; 28 ; u10257 ; 57 
 3509 ; 2 кроны. Дания ; 1939 ;  ; Al/Br ; VF ; 19 ; av ; 155 
 3510 ; 10 франков. Франция ; 1983 ;  ; Al/Br ; XF ; 27 ; artur2000 ; 226 
 3511 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; AU ; 15 ; open ; 101 
 3512 ; Жетон ; 1979 ;  ; Al/Br ; AU ; 5 ; sneg ; 37 
 3513 ; 20 франков. Франция ; 1950 ;  ; Al/Br ; AU ; 30 ; kornum ; 179 
 3414 ; 2 гривны. Украина. Сидор Голубович ; 2008 ;  ; Cu/Ni ; AU ; 21 ; KHODOVNV77 ; 306 
 3415 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu/Ni ; AU ; 17 ; KHODOVNV77 ; 301 
 3416 ; 2 гривны. Украина. Галшка Гулевична ; 2015 ;  ; Cu/Ni ; AU ; 25 ; Vol4en0k ; 305 
 3417 ; 2 гривны. Украина. Николай Боголюбов ; 2009 ;  ; Cu/Ni ; AU ; 5 ; heavy_fly ; 110 
 3418 ; 2 гривны. Украина. Григорий Квитка-Основяненко ; 2008 ;  ; Cu/Ni ; AU ; 15 ; KHODOVNV77 ; 312 
 3419 ; 2 гривны. Украина. Константин Левицкий ; 2009 ;  ; Cu/Ni ; AU ; 7 ; heavy_fly ; 159 
 3420 ; 2 гривны. Украина. Василий Симоненко ; 2008 ;  ; Cu/Ni ; AU ; 7 ; KHODOVNV77 ; 306 
 3421 ; 2 гривны. Украина. Государственный технический университет ; 2010 ;  ; Cu/Ni ; AU ; 21 ; KHODOVNV77 ; 363 
 3422 ; 2 гривны. Украина. Львовский национальный университет им. И. Франка ; 2011 ;  ; Cu/Ni ; AU ; 14 ; sneg ; 163 
 3423 ; 2 гривны. Украина. Академик М.Д. Стражеско ; 2006 ;  ; Cu/Ni ; AU ; 9 ; KHODOVNV77 ; 317 
 3424 ; 1 доллар. США ; 1978 ;  ; Cu-Ni ; XF ; 39 ; heavy_fly ; 343 
 3425 ; 5 крон. Дания ; 1982 ;  ; Cu-Ni ; XF ; 11 ; serg98 ; 79 
 3426 ; 10 центов. Фолклендские острова ; 1980 ;  ; Cu-Ni ; VF-XF ; 29 ; irino4ka ; 84 
 3427 ; 200 песет. Испания ; 1996 ;  ; Cu-Ni ; XF ; 16 ; kornum ; 191 
 3428 ; 5 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; XF ; 18 ; sneg ; 46 
 3429 ; 10 пенни. Ирландия ; 1980 ;  ; Cu-Ni ; XF ; 11 ; irino4ka ; 56 
 3430 ; 1 доллар. Канада. Виннипег ; 1974 ;  ; Cu-Ni ; XF+ ; 17 ; shura 7 ; 328 
 3431 ; 1 гульден. Нидерланды ; 1980 ;  ; Cu-Ni ; XF ; 19 ; val211 ; 73 
 3432 ; 10 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; VF+ ; 13 ; kostya12.04.1994 ; 57 
 3433 ; 1 доллар. Гон-Конг ; 1990 ;  ; Cu-Ni ; XF ; 7 ; Семен ; 126 
 3434 ; 10 пенсов. Великобритания ; 1976 ;  ; Cu-Ni ; XF ; 10 ; sneg ; 37 
 3435 ; 20 раппен. Швейцария ; 1912 ;  ; Cu-Ni ; VF ; 13 ; Масясик ; 31 
 3436 ; 1 доллар. Гон-Конг ; 1997 ;  ; Cu-Ni ; VF+ ; 18 ; Семен ; 101 
 3437 ; 25 центов. Канада ; 1973 ;  ; Cu-Ni ; XF ; 15 ; irino4ka ; 53 
 3438 ; 1 франк. Бельгия ; 1939 ;  ; Cu-Ni ; XF ; 36 ; gusar ; 159 
 3439 ; 2 марки. ФРГ ; 1966D ;  ; Cu-Ni ; XF ; 26 ; dim66 ; 255 
 3440 ; 200 песет. Испания ; 1987 ;  ; Cu-Ni ; XF ; 7 ; teso ; 80 
 3441 ; 50 эре. Норвегия ; 1929 ;  ; Cu-Ni ; VF ; 5 ; natpulkovo ; 31 
 3442 ; 1 флорин 2 шиллинга. Ирландия ; 1959 ;  ; Cu-Ni ; F-VF ; 10 ; Dahan ; 79 
 3443 ; 1 йунт. Ирландия ; 1990 ;  ; Cu-Ni ; VF+ ; 10 ; aralsk ; 99 
 3444 ; 10 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; VF+ ; 22 ; папашаГарпагон ; 48 
 3445 ; 1 марка. Финляндия ; 1921 ;  ; Cu-Ni ; XF ; 26 ; D-503 ; 135 
 3446 ; 2,5 эскудо. Португалия ; 1940 ;  ; Ag ; VF+ ; 34 ; av ; 230 
 3447 ; 20 злотых. Польша ; 1979 ;  ; Cu-Ni ; AU ; 18 ; kornum ; 71 
 3448 ; 2 марки. ФРГ ; 1971 ;  ; Cu-Ni ; XF+ ; 46 ; maleevsw ; 1000 
 3449 ; 20 раппен. Швейцария ; 1939 ;  ; Cu-Ni ; VF+ ; 13 ; kostya12.04.1994 ; 32 
 3450 ; 5 пфеннигов. Германия ; 1876D ;  ; Cu-Ni ; VF ; 23 ; An12 ; 171 
 3451 ; 1 крона. Дания ; 1974 ;  ; Cu-Ni ; XF ; 40 ; aralsk ; 102 
 3452 ; 1 лит. Литва ; 1991 ;  ; Cu-Ni ; XF ; 32 ; bva150979 ; 317 
 3453 ; 5 центов. США ; 1935 ;  ; Cu-Ni ; VF ; 39 ; Ozon ; 134 
 3454 ; 1 франк. Франция ; 1988 ;  ; Cu-Ni ; AU ; 17 ; sneg ; 49 
 3455 ; 20 филлеров. Венгрия ; 1926 ;  ; Cu-Ni ; VF ; 42 ; NL.minkki ; 229 
 3456 ; 20 франков. Монако ; 1947 ;  ; Cu-Ni ; VF-XF ; 40 ; vb96 ; 261 
 3457 ; 20 филлеров. Венгрия ; 1908 ;  ; Cu-Ni ; VF+ ; 36 ; kornum ; 305 
 3458 ; 1 марка. Веймар ; 1936A ;  ; Cu-Ni ; VF ; 22 ; sahakala ; 332 
 3459 ; 2 эре. Дания ; 1907 ;  ; Cu-Ni ; VF ; 17 ; visitor ; 303 
 3460 ; 3 пенса Ирландия ; 1966 ;  ; Cu-Ni ; VF+ ; 26 ; irino4ka ; 40 
 3461 ; 5 раппен. Швейцария ; 1911 ;  ; Cu-Ni ; VF ; 9 ; dr. ; 34 
 3462 ; 5 центов. Бельгийское Конго ; 1921 ;  ; Cu-Ni ; VF ; 41 ; niki ; 161 
 3463 ; 10 хеллеров. Австрия ; 1916 ;  ; Cu-Ni ; VF ; 15 ; vihufa ; 57 
 3364 ; Монетовидный жетон. 2 райтера. Нидерланды ; 2007 ;  ; Би/м ; AU ; 30 ; sileng ; 283 
 3365 ; Монетовидный жетон. 1 рембрандт. Нидерланды ; 2006 ;  ; Би/м ; AU ; 26 ; banks ; 211 
 3366 ; Монетовидный жетон. 1 райтер. Нидерланды ; 2007 ;  ; Би/м ; AU ; 37 ; Bronco ; 526 
 3367 ; Монетовидный жетон. 1/2 райтера. Нидерланды ; 2007 ;  ; Лат ; AU ; 19 ; VitorioVeneto ; 203 
 3368 ; Монетовидный жетон. 1/2 рембрандта. Нидерланды ; 2006 ;  ; Лат ; AU ; 18 ; VitorioVeneto ; 73 
 3369 ; 50 тенге. Казахстан. Шокан. Упаковка ; 2014 ;  ; Cu-Ni ; AU ; 17 ; Lena6975 ; 121 
 3370 ; 50 тенге. Казахстан. Шевченко. Упаковка ; 2014 ;  ; Cu-Ni ; AU ; 33 ; buynyi76 ; 152 
 3371 ; 50 тенге. Казахстан. Шокан ; 2014 ;  ; Cu-Ni ; XF+ ; 44 ; KHODOVNV77 ; 147 
 3372 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; XF+ ; 20 ; альтаир ; 84 
 3373 ; 50 тенге. Казахстан. Колобок ; 2013 ;  ; Cu-Ni ; XF ; 24 ; очень мало денег ; 92 
 3374 ; 50 тенге. Казахстан. Алдар-Косе ; 2013 ;  ; Cu-Ni ; AU ; 13 ; chest ; 76 
 3375 ; 50 тенге. Казахстан. Серько ; 2014 ;  ; Cu-Ni ; AU ; 34 ; KHODOVNV77 ; 306 
 3376 ; 50 тенге. Казахстан. 20 лет тенге ; 2013 ;  ; Cu-Ni ; AU ; 30 ; heavy_fly ; 95 
 3377 ; 50 тенге. Казахстан. М, Жумабаев ; 2013 ;  ; Cu-Ni ; XF ; 19 ; 312 ; 72 
 3378 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu-Ni ; AU ; 20 ; k1reeff ; 73 
 3379 ; 50 тенге. Казахстан. Айтыс ; 2011 ;  ; Cu-Ni ; AU ; 23 ; heavy_fly ; 204 
 3380 ; 50 тенге. Казахстан. МКС ; 2013 ;  ; Cu-Ni ; AU ; 17 ; chest ; 101 
 3381 ; 50 тенге. Казахстан. Космическая станция "Мир" ; 2012 ;  ; Cu-Ni ; XF+ ; 29 ; buynyi76 ; 208 
 3382 ; 50 тенге. Казахстан. Гагарин ; 2011 ;  ; Cu-Ni ; AU ; 39 ; buynyi76 ; 224 
 3383 ; 50 тенге. Казахстан. Усть-Каменогорск ; 2011 ;  ; Cu-Ni ; AU ; 42 ; Arlekino82 ; 284 
 3384 ; 50 тенге. Казахстан. Караганда ; 2011 ;  ; Cu-Ni ; XF ; 27 ; kaa65 ; 98 
 3385 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu-Ni ; AU ; 17 ; heavy_fly ; 215 
 3386 ; 50 тенге. Казахстан. Ёж ; 2013 ;  ; Cu-Ni ; XF ; 27 ; chest ; 153 
 3387 ; 50 тенге. Казахстан. Актау ; 2012 ;  ; Cu-Ni ; XF+ ; 34 ; kaa65 ; 192 
 3388 ; 50 тенге. Казахстан. Павлодар ; 2012 ;  ; Cu-Ni ; XF+ ; 21 ; kaa65 ; 160 
 3389 ; 50 тенге. Казахстан. Атырау ; 2012 ;  ; Cu-Ni ; XF+ ; 23 ; buynyi76 ; 167 
 3390 ; 50 тенге. Казахстан. Тараз ; 2013 ;  ; Cu-Ni ; XF+ ; 21 ; Опятор ; 192 
 3391 ; 50 тенге. Казахстан. Костанай ; 2013 ;  ; Cu-Ni ; XF+ ; 25 ; kaa65 ; 142 
 3392 ; 50 тенге. Казахстан. Талдыкорган ; 2013 ;  ; Cu-Ni ; XF ; 17 ; kaa65 ; 105 
 3393 ; 50 тенге. Казахстан. Дикобраз ; 2009 ;  ; Cu-Ni ; XF ; 17 ; heavy_fly ; 212 
 3394 ; 50 тенге. Казахстан. Ястребиная сова ; 2011 ;  ; Cu-Ni ; XF+ ; 18 ; Опятор ; 240 
 3395 ; 2 злотых. Польша. Зубр ; 2013 ;  ; Cu-Ni ; AU ; 19 ; mask ; 97 
 3396 ; 2 злотых. Польша. Конь ; 2014 ;  ; Cu-Ni ; AU ; 20 ; Rober ; 101 
 3397 ; 1 лира. Турция. Олень ; 2012 ;  ; Би/м ; AU ; 35 ; sahakala ; 196 
 3398 ; 1 лира. Турция. Барс ; 2012 ;  ; Би/м ; AU ; 30 ; k1reeff ; 165 
 3399 ; 5 гривен. Украина. 800 лет г. Збараж ; 2011 ;  ; Cu/Ni ; AU ; 24 ; KHODOVNV77 ; 510 
 3400 ; 5 гривен. Украина. 500 лет битве под Оршей ; 2014 ;  ; Cu/Ni ; AU ; 16 ; Опятор ; 359 
 3401 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu/Ni ; AU ; 6 ; heavy_fly ; 153 
 3402 ; 5 гривен. Украина. 50 лет национальной премии Украины им. Т. Шевченко ; 2011 ;  ; Cu/Ni ; AU ; 8 ; heavy_fly ; 206 
 3403 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu/Ni ; AU ; 26 ; KHODOVNV77 ; 519 
 3404 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu/Ni ; AU ; 28 ; KHODOVNV77 ; 508 
 3405 ; 5 гривен. Украина. Кузнец ; 2011 ;  ; Cu/Ni ; AU ; 17 ; onedima ; 510 
 3406 ; 5 гривен. Украина. 175 лет национальному дендрологическому парку "Тростянец" ; 2008 ;  ; Cu/Ni ; AU ; 33 ; KHODOVNV77 ; 530 
 3407 ; 5 гривен. Украина.  Стельмах ; 2009 ;  ; Cu/Ni ; AU ; 16 ; heavy_fly ; 193 
 3408 ; 5 гривен. Украина. 850 лет г. Снятин ; 2008 ;  ; Cu/Ni ; AU ; 25 ; KHODOVNV77 ; 619 
 3409 ; 5 гривен. Украина. 925 лет г. Луцк ; 2010 ;  ; Cu/Ni ; AU ; 26 ; KHODOVNV77 ; 488 
 3410 ; 5 гривен. Украина. Последний путь кобзаря ; 2011 ;  ; Cu/Ni ; AU ; 21 ; KHODOVNV77 ; 500 
 3411 ; 2 гривны. Украина. Георгий Вороний ; 2008 ;  ; Cu/Ni ; AU ; 6 ; Vitalik1 ; 163 
 3412 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu/Ni ; AU ; 7 ; Vitalik1 ; 152 
 3413 ; 2 гривны. Украина. Государственный университет "Львовский политехник" ; 2010 ;  ; Cu/Ni ; AU ; 24 ; sneg ; 275 
 3314 ; 2 гривны. Украина. Петр григоренко ; 2007 ;  ; Cu/Ni ; AU ; 11 ; heavy_fly ; 110 
 3315 ; 10000 злотых. Польша. Солидарность ; 1990 ;  ; Cu/Ni ; XF ; 26 ; Александр974 ; 83 
 3316 ; 2 евро. Франция. 70 лет мира в Европе ; 2015 ;  ; Би/*м ; AU ; 30 ; bcg ; 279 
 3317 ; 50 тенге. Казахстан. Айтыс ; 2011 ;  ; Cu/Ni ; AU ; 18 ; heavy_fly ; 144 
 3318 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu/Ni ; AU ; 15 ; heavy_fly ; 128 
 3319 ; 50 тенге. Казахстан.Магжан Жумабаев ; 2013 ;  ; Cu/Ni ; AU ; 11 ; kaa65 ; 79 
 3320 ; 50 тенге. Казахстан.Алдар-Косе ; 2013 ;  ; Cu/Ni ; AU ; 11 ; gdrg2 ; 79 
 3321 ; 50 тенге. Казахстан. Богомол ; 2012 ;  ; Cu/Ni ; XF ; 11 ; Vanka ; 100 
 3322 ; 100 эскудо. Португалия. Атлантика ; 1990 ;  ; Cu/Ni ; XF ; 22 ; SKeeper ; 88 
 3323 ; 100 эскудо. Португалия.Мореплаватель Нуну Триштан ; 1987 ;  ; Cu/Ni ; XF ; 17 ; t_v_v ; 127 
 3324 ; 100 эскудо. Португалия. Год инвалидов ; 1981 ;  ; Cu/Ni ; XF+ ; 15 ; karl ; 79 
 3325 ; 25 эскудо. Португалия. Год инвалидов ; 1981 ;  ; Cu/Ni ; XF ; 18 ; Bronco ; 67 
 3326 ; 5 лева. Болгария ; 1943 ;  ; Cu/Ni ; VF ; 16 ; sneg ; 54 
 3327 ; 5 стотинок. Болгария ; 1912 ;  ; Cu/Ni ; VF ; 15 ; альтаир ; 42 
 3328 ; 2 евро. Словения. 800 лет открытию пещеры Постойнска-Яма ; 2013 ;  ; Би/м ; XF+ ; 33 ; bcg ; 226 
 3329 ; 2 евро. Италия. Боккаччо ; 2013 ;  ; Би/м ; XF ; 13 ; Dahan ; 208 
 3330 ; 5 злотых. Польша. Замок в Варшаве ; 2014 ;  ; Би/м ; AU ; 15 ; bcg ; 122 
 3331 ; 50 стотинок. Болгария. Универсиада в Софии ; 1977 ;  ; Cu/Ni ; XF ; 25 ; heavy_fly ; 104 
 3332 ; 5 гривен. Украина.Ровне ; 2008 ;  ; Cu/Ni ; AU ; 13 ; KHODOVNV77 ; 363 
 3333 ; 5 гривен. Украина. Луцк ; 2010 ;  ; Cu/Ni ; AU ; 17 ; KHODOVNV77 ; 363 
 3334 ; 5 гривен. Украина. Ивано-Франковск ; 2012 ;  ; Cu/Ni ; AU ; 25 ; Дорого? ; 363 
 3335 ; 5 гривен. Украина. Казацкий човен ; 2010 ;  ; Cu/Ni ; AU ; 23 ; KHODOVNV77 ; 336 
 3336 ; 5 гривен. Украина. Збараж ; 2011 ;  ; Cu/Ni ; AU ; 25 ; Дорого? ; 363 
 3337 ; 5 гривен. Украина. Украинская лиричная песня ; 2012 ;  ; Cu/Ni ; AU ; 28 ; KHODOVNV77 ; 287 
 3338 ; 5 гривен. Украина. Елецкий Свято-Успенский монастырь ; 2012 ;  ; Cu/Ni ; AU ; 23 ; KHODOVNV77 ; 308 
 3339 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu/Ni ; AU ; 8 ; heavy_fly ; 132 
 3340 ; 2 гривны. Украина.Владимир Чеховский ; 2006 ;  ; Cu/Ni ; AU ; 11 ; KHODOVNV77 ; 261 
 3341 ; 2 гривны. Украина. Иван Франко ; 2006 ;  ; Cu/Ni ; AU ; 17 ; KHODOVNV77 ; 308 
 3342 ; 20 марок. Финляндия ; 1937 ;  ; Al/Br ; VF-XF ; 27 ; кент ; 232 
 3343 ; 10 марок. Финляндия ; 1930 ;  ; Al/Br ; VF+ ; 13 ; Whosaid ; 126 
 3344 ; 10 крон. Исландия ; 1946 ;  ; Al/Br ; XF- ; 17 ; gdrg2 ; 79 
 3345 ; 25 сенти. Эстония ; 1928 ;  ; Ni-Br ; VF+ ; 38 ; VAPK ; 1576 
 3346 ; 25 сенти. Эстония ; 1928 ;  ; Ni-Br ; VF+ ; 53 ; com ; 1530 
 3347 ; 1 марка. Финляндия ; 1921 ;  ; Cu-Ni ; VF+ ; 33 ; нормировщик9 ; 123 
 3348 ; 5 эре. Норвегия ; 1940 ;  ; Br ; VF ; 11 ; sneg ; 33 
 3349 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF+ ; 21 ; 669966 ; 100 
 3350 ; 2 гривны. Украина. Константин Левицкий ; 2009 ;  ; Cu/Ni ; Proof ; 7 ; heavy_fly ; 108 
 3351 ; 2 гривны. Украина. Василий Симоненко ; 2008 ;  ; Cu/Ni ; Proof ; 12 ; heavy_fly ; 114 
 3352 ; 2 гривны. Украина. Николай Боголюбов ; 2009 ;  ; Cu/Ni ; Proof ; 37 ; KHODOVNV77 ; 222 
 3353 ; 2 гривны. Украина. Сидор Голубович ; 2008 ;  ; Cu/Ni ; Proof ; 9 ; heavy_fly ; 109 
 3354 ; 2 гривны. Украина. Львовский национальный университет им. И. Франка ; 2011 ;  ; Cu/Ni ; Proof ; 9 ; heavy_fly ; 175 
 3355 ; 20 тенге. Казахстан.  560 лет ООН ; 1995 ;  ; Cu/Ni ; XF ; 37 ; buynyi76 ; 204 
 3356 ; 2 пенса. Фолклендские 0-ва ; 1998 ;  ; Cu/Fe ; XF ; 19 ; sneg ; 59 
 3357 ; 1/2 доллара. США ; 1986S ;  ; Cu-Ni ; Proof ; 57 ; heavy_fly ; 452 
 3358 ; 1/2 доллара. США. 200 лет независимости ; 1976S ;  ; Ag ; Proof ; 42 ; bcg ; 632 
 3359 ; Монетовидный жетон. 2 рембрандта. Нидерланды ; 2006 ;  ; Би/м ; AU ; 30 ; sileng ; 211 
 3360 ; Монетовидный жетон. 2 рембрандта. Нидерланды ; 2006 ;  ; Би/м ; AU ; 32 ; sneg ; 211 
 3361 ; Монетовидный жетон. 2 рембрандта. Нидерланды ; 2006 ;  ; Би/м ; AU ; 21 ; sileng ; 211 
 3362 ; Монетовидный жетон. 2 райтера. Нидерланды ; 2007 ;  ; Би/м ; AU ; 24 ; sileng ; 211 
 3363 ; Монетовидный жетон. 2 райтера. Нидерланды ; 2007 ;  ; Би/м ; AU ; 22 ; sileng ; 211 
 3264 ; 1/12 шиллинга. Джерси ; 1894 ;  ; Cu ; VF ; 47 ; gdrg2 ; 225 
 3265 ; 2 хеллера. Австрия ; 1893 ;  ; Cu ; VF- ; 7 ; sneg ; 37 
 3266 ; 10 пфеннигов. Германия ; 1889F ;  ; Cu/Ni ; VF ; 12 ; 312 ; 34 
 3267 ; 5 пфеннигов. Германия ; 1897А ;  ; Cu/Ni ; VF ; 22 ; sneg ; 37 
 3268 ; 2 пфеннига. Германия ; 1876А ;  ; Cu ; VF ; 41 ; sneg ; 88 
 3269 ; 2 пфеннига. Германия ; 1874F ;  ; Cu ; VF ; 12 ; Jauho ; 93 
 3270 ; 10 сантимов. Бельгия ; 1861 ;  ; Cu/Ni ; VF ; 27 ; sneg ; 153 
 3271 ; 1/2 пенни. Англия, Йоркшир ; 1812 ;  ; Cu ; F ; 15 ; mkm1968 ; 329 
 3272 ; 1 дуит. Нидерланды, Зеландия ; 1779 ;  ; Cu ; F ; 7 ; t_v_v ; 37 
 3273 ; 1/12 анны. Британская Индия ; 1883 ;  ; Cu ; F+ ; 11 ; Александр974 ; 101 
 3274 ; 1 крона. Швеция ; 1906 ;  ; Ag ; VF- ; 47 ; aralsk ; 278 
 3275 ; 1 крона. Швеция ; 1915 ;  ; Ag ; VF- ; 10 ; banks ; 134 
 3276 ; 5 эскудо. Португалия. ФАО ; 1983 ;  ; Cu-Ni ; XF+ ; 11 ; Mike! ; 117 
 3277 ; 5 шиллингов. Великобритания. Коронация ; 1953 ;  ; Cu-Ni ; XF ; 9 ; Mike! ; 255 
 3278 ; 5 гривен. Украина. Троица ; 2004 ;  ; Cu-Ni ; AU ; 22 ; Mike! ; 400 
 3279 ; 5 чентезимо. Италия ; 1861 ;  ; Cu ; VF ; 43 ; Аня ; 465 
 3280 ; 1 сентаво. Филиппины ; 1944 ;  ; Cu ; VF+ ; 16 ; Mike! ; 166 
 3281 ; 5 сантимов. Франция ; 1916 ;  ; Cu ; VF ; 15 ; Mike! ; 155 
 3282 ; 1 цент. США ; 1907 ;  ; Cu ; VF- ; 35 ; Mike! ; 104 
 3283 ; 500 злотых. Польша. 50 лет народной армии ; 1989 ;  ; Cu/Ni ; VF+ ; 15 ; chest ; 76 
 3284 ; 50 злотых. Польша. F.A.O. ; 1981 ;  ; Cu/Ni ; XF ; 18 ; bva150979 ; 72 
 3285 ; 50 злотых. Польша. Большой театр ; 1983 ;  ; Cu/Ni ; XF ; 33 ; СЁМА ; 329 
 3286 ; 10 злотых. Польша. Тадеуш Костюшко ; 1960 ;  ; Cu/Ni ; VF+ ; 23 ; TiBuL ; 67 
 3287 ; 10 злотых. Польша. Мария Кюри ; 1967 ;  ; Cu/Ni ; XF ; 24 ; kornum ; 114 
 3288 ; 20 злотых. Польша ; 1973 ;  ; Cu/Ni ; XF ; 19 ; TiBuL ; 69 
 3289 ; 10 злотых. Польша. 25 лет войска польского ; 1968 ;  ; Cu/Ni ; XF ; 19 ; кент ; 114 
 3290 ; 20 злотых. Польша. 25 лет Польской Республике ; 1974 ;  ; Cu/Ni ; XF ; 12 ; kornum ; 79 
 3291 ; 20 злотых. Польша. Мария Кнгопицкая ; 1978 ;  ; Cu/Ni ; XF ; 20 ; TiBuL ; 75 
 3292 ; 20 злотых. Польша. Год женщины ; 1975 ;  ; Cu/Ni ; XF ; 13 ; кент ; 79 
 3293 ; 10 злотых. Польша. Николай Коперник ; 1959 ;  ; Cu/Ni ; XF ; 25 ; ТРОЛ ; 90 
 3294 ; 10 злотых. Польша. Болеслав Прус ; 1982 ;  ; Cu/Ni ; XF ; 6 ; TiBuL ; 68 
 3295 ; 10 злотых. Польша. Генерал Свирчевский ; 1967 ;  ; Cu/Ni ; XF ; 20 ; ТРОЛ ; 79 
 3296 ; 20 злотых. Польша. Марсель Новотко ; 1974 ;  ; Cu/Ni ; XF ; 20 ; TiBuL ; 83 
 3297 ; 10 злотых. Польша. 50 лет Силезского восстания ; 1971 ;  ; Cu/Ni ; XF ; 17 ; TiBuL ; 75 
 3298 ; 20 злотых. Польша. Парусник ; 1980 ;  ; Cu/Ni ; XF ; 46 ; chest ; 126 
 3299 ; 10 злотых. Польша. Тадеуш Костюшко ; 1972 ;  ; Cu/Ni ; XF ; 12 ; TiBuL ; 67 
